Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages**","All causes, by age (years), All Ages**, flag","All causes, by age (years), ?65","All causes, by age (years), ?65, flag","All causes, by age (years), 45–64","All causes, by age (years), 45–64, flag","All causes, by age (years), 25–44","All causes, by age (years), 25–44, flag","All causes, by age (years), 1–24","All causes, by age (years), 1–24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I† Total,"P&I† Total, flag",Location 1,Location 2
"Tucson, AZ",2015,30,147,,110,,27,,5,,4,,1,,6,,"Tucson, AZ
(50.813007, 19.117083)",
"St. Louis, MO",2015,30,109,,48,,32,,17,,7,,5,,3,,"St. Louis, MO
(38.630276, -90.200309)",
"Seattle, WA",2015,30,101,,53,,31,,12,,2,,3,,4,,"Seattle, WA
(47.603229, -122.33028)",
"Denver, CO",2015,30,92,,59,,18,,7,,2,,6,,3,,"Denver, CO
(39.738453, -104.984853)",
"Nashville, TN",2015,30,83,,55,,20,,6,,2,,,-,5,,"Nashville, TN
(36.166687, -86.779932)",
"Tulsa, OK",2015,30,119,,80,,24,,10,,3,,2,,13,,"Tulsa, OK
(50.777773, 2.206962)",
"Pittsburgh, PA§",2015,30,,U,,U,,U,,U,,U,,U,,U,"Pittsburgh, PA
(40.442169, -79.994945)",
"Glendale, CA",2015,34,29,,21,,4,,3,,1,,,-,3,,"Glendale, CA
(34.148138, -118.246437)",
"Tampa, FL",2015,34,122,,78,,28,,7,,5,,4,,9,,"Tampa, FL
(52.7296, 41.4487)",
"Colorado Springs, CO",2015,34,60,,40,,14,,3,,3,,,-,1,,"Colorado Springs, CO
(38.835224, -104.819798)",
New England,2015,14,606,,411,,128,,47,,12,,8,,52,,,
Mid. Atlantic,2015,14,1862,,1343,,389,,82,,29,,19,,93,,,
E.N. Central,2015,14,2135,,1427,,489,,134,,43,,40,,129,,,
W.N. Central,2015,14,710,,441,,188,,47,,22,,11,,47,,,
Pacific,2015,14,1765,,1283,,351,,72,,27,,32,,128,,,
Total¶,2015,14,11946,,8210,,2639,,666,,238,,187,,729,,,
"Fort Wayne, IN",2015,31,89,,65,,17,,5,,1,,1,,5,,"Fort Wayne, IN
(41.331128, -73.987189)",
"St. Louis, MO",2015,31,74,,36,,23,,6,,8,,1,,1,,"St. Louis, MO
(38.630276, -90.200309)",
"Portland, OR",2015,31,129,,103,,17,,6,,1,,2,,5,,"Portland, OR
(45.516018, -122.681425)",
"Las Vegas, NV",2015,31,269,,191,,60,,10,,6,,2,,16,,"Las Vegas, NV
(36.169202, -115.140597)",
"Chicago, IL",2015,31,252,,146,,71,,25,,7,,3,,14,,"Chicago, IL
(49.65195, 2.08099)",
"Jacksonville, FL",2015,31,147,,86,,46,,10,,3,,2,,11,,"Jacksonville, FL
(30.325968, -81.65676)",
"Syracuse, NY",2015,31,59,,44,,10,,1,,4,,,-,9,,"Syracuse, NY
(43.047945, -76.147448)",
"San Jose, CA",2015,31,200,,146,,35,,8,,7,,4,,9,,"San Jose, CA
(35.398134, -105.477067)",
"New Bedford, MA",2015,31,16,,12,,3,,,-,1,,,-,1,,"New Bedford, MA
(41.63405, -70.92766)",
