BRAND-NAME,DOSAGE-FORM,PRODUCER,PRODUCT-IMAGE,LABEL-IMAGE,APPROVAL-DATE,REGISTRATION-NUMBER,TETRAHYDROCANNABINOL-THC,TETRAHYDROCANNABINOL-ACID-THCA,CANNABIDIOLS-CBD,CANNABIDIOL-ACID-CBDA,A-PINENE,B-MYRCENE,B-CARYOPHYLLENE,B-PINENE,LIMONENE,OCIMENE,LINALOOL-LIN,HUMULENE-HUM,CBG,CBG-A,CANNABAVARIN-CBDV,CANNABICHROMENE-CBC,CANNBINOL-CBN,TETRAHYDROCANNABIVARIN-THCV,A-BISABOLOL,A-PHELLANDRENE,A-TERPINENE,B-EUDESMOL,B-TERPINENE,FENCHONE,PULEGOL,BORNEOL,ISOPULEGOL,CARENE,CAMPHENE,CAMPHOR,CARYOPHYLLENE-OXIDE,CEDROL,EUCALYPTOL,GERANIOL,GUAIOL,GERANYL-ACETATE,ISOBORNEOL,MENTHOL,L-FENCHONE,NEROL,SABINENE,TERPINEOL,TERPINOLENE,TRANS-B-FARNESENE,VALENCENE,A-CEDRENE,A-FARNESENE,B-FARNESENE,CIS-NEROLIDOL,FENCHOL,TRANS-NEROLIDOL
Lexikan TS T96% S 8402,"Extracts, sprays, tinctures or oils",CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3422481&GUID=E18B1114-44C7-4F9A-BE75-C7C9A6876A3C),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3422478&GUID=26C64CA0-51B0-458F-9C08-D87C6D0CB919),04/09/2020 12:00:00 AM,MMBR.0007325,8.48,88.00,8.48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balinica T25 6702,Raw material (flower),THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3031044&GUID=1C5F5794-4F14-4F98-B823-8789D27812CA),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3031042&GUID=F19EAC83-0838-4706-BEE9-9F3C846A8B01),06/07/2019 12:00:00 AM,MMBR.0005493,0.34,24.9,0.34,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBD1:1 C887T856 6134,"Extracts, sprays, tinctures or oils",THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2879975&GUID=AA2E2261-9EF3-4945-8989-62F2D10777D6),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2879974&GUID=23BB143E-29FE-4707-826B-DEBA302B1562),02/11/2019 12:00:00 AM,MMBR.0004878,2.99,<0.10,2.99,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBDPlume2:1 T134C275 2552,"1.2mL Vape Refill Syringe: 427.3mg total cannabinoids, 35.6/0.1mL, =1.71g flower",THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2085007&GUID=1B11782D-BA7D-4152-93CC-3F665CF7F255),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2085002&GUID=8C0575CC-572A-49F6-8737-150FE23E44F0),12/21/2016 12:00:00 AM,MMBR.0001677,6.9,3.9,6.9,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPS C500 5459 Oral Solution,"Extracts, sprays, tinctures or oils",CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2788097&GUID=DAFB9F45-D16D-4142-96C9-A10C99B56C23),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2788096&GUID=85D8021C-4AA8-4FDE-BC0E-81E0960CCE38),11/19/2018 12:00:00 AM,MMBR.0004451,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lexikan Vape,Vape,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=1776904&GUID=0059ED86-3C64-48B1-B62A-CBB454B5D13B),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=1776905&GUID=AEB8DC7D-A74E-4332-A56D-B25333E374D6),02/23/2016 12:00:00 AM,MMBR.0000781,33.50%,21.30%,33.50%,0.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilavex Flower SC T27 4776,Flower SC,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2678087&GUID=35EC1226-045B-4C39-8530-8BCE7D366240),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2678086&GUID=F092F650-5A5B-4277-B6E1-3AB912AA7432),08/08/2018 12:00:00 AM,MMBR.0003877,0.67,26.12,0.67,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LILAVEX FLOWER T27 4775,Flower,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2678083&GUID=C634C6C4-F9FD-4A2E-995B-2BC63EDE0EB5),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2678082&GUID=90096A68-1444-4F38-84A1-3FB845DEF36B),08/08/2018 12:00:00 AM,MMBR.0003876,0.67,26.12,0.67,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilavex T83 4804 CR,"Extracts, sprays, tinctures or oils",CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2722547&GUID=EBF33FB6-A210-4045-9EA9-1BBD249A6F3F),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2722545&GUID=7E07FA10-35B6-48D2-8D57-D3DD7DA190AC),09/18/2018 12:00:00 AM,MMBR.0004090,19.30,63.52,19.30,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limunex Flower T24 6880,Raw material (flower),CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3040581&GUID=E6AEA99C-29C8-40AF-B4B9-974A0D3CB6D0),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3040511&GUID=8005A216-4F55-45B1-B6CD-AC7A991A6D89),06/17/2019 12:00:00 AM,MMBR.0005550,0.40,23.33,0.40,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limunex Pre-Rolls T24 6894,Cigarettes (pre-rolled cones),CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3057455&GUID=655A95E7-D5FD-4872-9884-238101D3EA95),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3057454&GUID=9A8315C2-1A03-41A3-9E2C-94A5B395F999),06/27/2019 12:00:00 AM,MMBR.0005663,0.40,23.33,0.40,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loolica T21 1547,3.5g Raw Flower,THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=1772202&GUID=966C9983-8507-4EDB-94AD-6F2268B44FC3),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=1772203&GUID=0C1EE2B2-4CE9-41BC-8FB5-804BC04E6DE4),04/18/2016 12:00:00 AM,MMBR.0000979,0.7,20.1,0.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loolica T27 PR 7090,Cigarettes (pre-rolled cones),THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3118033&GUID=2522AA44-1E94-4546-93FA-1A0F61499DA2),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3118032&GUID=AB081F97-57D7-4FBA-84E8-80C9DF26E159),08/16/2019 12:00:00 AM,MMBR.0005947,0.21,27.0,0.21,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loolica T28 7038,Raw material (flower),THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3059107&GUID=29AB017F-D9A7-49C2-A05A-665021669113),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3056475&GUID=7EF09C9D-D881-454C-83DF-DDFFE22B72A3),06/28/2019 12:00:00 AM,MMBR.0005671,0.19,28.1,0.19,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balinica T25 PR 5593,Cigarettes (pre-rolled cones),THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2804387&GUID=F77BDCB9-D4F3-4EF6-BA6A-EE8521A370C0),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2804383&GUID=F29A32E8-B396-4F04-AC95-CCCADC8320C9),12/05/2018 12:00:00 AM,MMBR.0004526,0.98,24.1,0.98,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balinica T26 3977,3.5g Flower,THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2470047&GUID=366D3343-8906-4CCE-985D-9B1A15B07D75),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2470046&GUID=14582CEE-708A-4472-B26B-A3A0B8BCA4E6),01/26/2018 12:00:00 AM,MMBR.0002980,0.5,25.3,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bianca C14% T10% CBD 6382,Raw material (flower),CURALEAF LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2940659&GUID=0AA39FB6-9704-4CAD-AF88-823C27040AB8),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2940657&GUID=CF626CA4-54F5-463C-A9C6-3ADBEC2E5A4E),04/01/2019 12:00:00 AM,MMBR.0005159,0.49,9.24,0.49,13.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biscay T24 4447,2.1g Pre-rolls; 3 pack,THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2526511&GUID=8D69DCA5-F477-4A9D-9315-E6D68F2D6B39),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2526509&GUID=9F948ED8-0473-4F43-9F22-93A969E0F06B),03/23/2018 12:00:00 AM,MMBR.0003215,0.2,23.7,0.2,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black T21% I 5353,Raw material (flower),CURALEAF LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2705336&GUID=1DF029E0-5907-466B-A4C8-B83D766A0341),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2705335&GUID=01FB2408-2B5D-4D82-9D25-A4B64E21CD49),08/31/2018 12:00:00 AM,MMBR.0003988,0.56,20.50,0.56,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Pure Oil S,"Extracts, sprays, tinctures or oils",CURALEAF LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2791985&GUID=023DCC57-4FA3-4F76-861B-62597481A5E4),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2791983&GUID=D0C7A126-B05A-4543-98ED-B77ADB6FFE23),11/21/2018 12:00:00 AM,MMBR.0004468,79.93,7.67,79.93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5 Micro Dose Tabs 7840,Capsules or pills,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3232144&GUID=001446AD-8E92-4DDD-9DDE-560D9C574720),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3231785&GUID=7DC51300-40E1-4E93-96D8-782F28FDE182),11/19/2019 12:00:00 AM,MMBR.0006423,<0.10,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citron T25% S 2923,Flower,CURALEAF LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2140861&GUID=19DDAC63-C13B-4E5D-AA25-930814942233),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2140859&GUID=01A1AAF3-7929-4A0F-B399-9B90BFBDB230),02/28/2017 12:00:00 AM,MMBR.0001880,0.2,24.6,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicol B Pure Oil T791 NDC: 5976,"Extracts, sprays, tinctures or oils",ADVANCED GROW LABS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2833758&GUID=0E98C95C-FE75-4016-A477-233B4B3D4658),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2833756&GUID=DBABF685-DCA0-40B1-85DF-FCAC5D4A76CF),12/31/2018 12:00:00 AM,MMBR.0004646,78.5,0.62,78.5,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balinica T26 3978,2.1g Pre-rolls (3pk),THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2470060&GUID=52E97B7A-EDD7-44ED-AFA8-804B2A341504),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2470059&GUID=877ACE44-86B8-433F-8E55-A81D287F6826),01/26/2018 12:00:00 AM,MMBR.0002981,0.5,25.3,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannabidiol D 1:1 Honey NDC: 3304,Edible,ADVANCED GROW LABS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2241220&GUID=35D4369B-8C2C-4CA8-8A75-B58655D1E0BF),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2241219&GUID=48770EEE-8288-45C1-AE5D-287E14635761),06/08/2017 12:00:00 AM,MMBR.0002196,0.1,<0.1,0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charudine,"(Charudine50) 50mg pills= 605.6x3/700= 2.60g Raw Flower or 60.5mg/pill. (Charudine100) 100mg pills= 1211.2x3/700= 5.20g Raw Flower or 121.12mg/pill. *Gross Wt (50mg)=3.g, Gross Wt (100mg)= 5.9g",THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=1795988&GUID=98CE7CB4-B0A3-4D90-BBBB-6DE4767D7D59),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=1795990&GUID=2B92B0D6-BBAB-4A0D-B75C-53FC599436C9),09/21/2015 12:00:00 AM,MMBR.0000474,20.227,1.963,20.227,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPS C500 5460 Oral Solution,"Extracts, sprays, tinctures or oils",CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2788112&GUID=AA5D0C60-52EE-470B-983B-CAE20F39DC3B),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2788111&GUID=CDE3E611-22CA-47A6-BB2A-6403563F801D),11/19/2018 12:00:00 AM,MMBR.0004446,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElioracaPure T700C57 8016,"Extracts, sprays, tinctures or oils",THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3251020&GUID=B4426F0D-08CB-4937-ADDC-436687D30154),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3251018&GUID=9F5CE559-7EF6-4AB4-932E-BF6ED197DDBB),12/03/2019 12:00:00 AM,MMBR.0006505,69.6,<0.10,69.6,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hybridol C VPen 200MG,Vape Pen,ADVANCED GROW LABS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=1804476&GUID=A8B121AB-7F72-42C8-9A75-96E01EB4C8AE),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=1804477&GUID=696ED758-9F2E-4410-A985-3042E5798922),04/20/2015 12:00:00 AM,MMBR.0000197,45.046,.933,45.046,.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicol B Pure Oil T820 NDC: 3755,Pure Oil Syringe,ADVANCED GROW LABS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2362834&GUID=AB5F32C3-2C67-4489-BA2F-5CD23531588A),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2362831&GUID=C254A0EE-EC5A-49F7-BD08-3FB8AC49BA36),10/10/2017 12:00:00 AM,MMBR.0002601,81.19,0.79,81.19,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loolica T28 7521,Raw material (flower),THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3145833&GUID=14F0DB92-7145-49F2-85AE-44B362F9D7D7),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3145831&GUID=9093A968-523F-4772-B823-AA5A2727E058),09/12/2019 12:00:00 AM,MMBR.0006061,0.30,27.2,0.30,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loolica T28 PR 7039,Cigarettes (pre-rolled cones),THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3059111&GUID=C0A2279F-B417-4E49-BE01-6F906F571FA3),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3059110&GUID=9065E54B-101D-42A4-B5BA-F5EC744F45B0),06/28/2019 12:00:00 AM,MMBR.0005672,0.19,28.1,0.19,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loolica T29 5599,Raw material (flower),THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2834006&GUID=768CB46A-00F1-4C09-8C7B-124CEC6F0251),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2834003&GUID=82FF009A-6399-49EF-8EAD-871F64C1E8ED),12/31/2018 12:00:00 AM,MMBR.0004641,0.22,29.0,0.22,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hybridol D 25.34 NDC: 4312,Raw Flower,ADVANCED GROW LABS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2463199&GUID=1AEC795A-DA1D-4692-9D92-9BF7660C6B81),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2463198&GUID=8CA38F2C-8D77-4CA0-AD4A-9D7A0C419190),01/16/2018 12:00:00 AM,MMBR.0002955,0.32,25.02,0.32,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hybridol I Pure Mini Vape T232 NDC: 7729,"Extracts, sprays, tinctures or oils",ADVANCED GROW LABS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3212104&GUID=240254C1-21C1-466D-844F-5ED9D7A9B994),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3212103&GUID=DA761A22-D860-489C-9FC7-A6F3BBCFD0B7),11/04/2019 12:00:00 AM,MMBR.0006349,77.58,<0.1,77.58,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hybridol K 80 1/2 Gram,Concentrate,ADVANCED GROW LABS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=1795985&GUID=0209384D-04E1-48CD-A6C2-0630346A14DD),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=1795986&GUID=31700FD5-DEE0-42C2-89BB-8F29430B13FA),09/17/2015 12:00:00 AM,MMBR.0000469,10.32,70.135,10.32,.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hybridol Q 25.91 NDC: 6253,Raw material (flower),ADVANCED GROW LABS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2864539&GUID=DD40E354-889F-4CE2-9682-E824F153CB82),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2864538&GUID=293C844E-80C5-46EA-B5FA-40D30F6E6B21),01/30/2019 12:00:00 AM,MMBR.0004797,0.91,25.0,0.91,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hybridol R 27.47 NDC: 4367,Raw Flower,ADVANCED GROW LABS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2511671&GUID=0918D0D2-9E65-4FFF-BBF2-AECF1C27B581),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2511670&GUID=E9B42189-3D36-4F91-9BBC-817F1AE238AE),03/07/2018 12:00:00 AM,MMBR.0003150,0.90,26.57,0.90,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicol B Pure VPen 316 NDC: 6277,"Extracts, sprays, tinctures or oils",ADVANCED GROW LABS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2877946&GUID=A622729D-CD09-4A47-967F-FC8DDCAE8411),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2877945&GUID=2CEC01AD-7EC0-4D59-ADB5-B2BF252B8170),02/07/2019 12:00:00 AM,MMBR.0004869,78.5,0.62,78.5,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loolica T29 PR 5600,Cigarettes (pre-rolled cones),THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2834015&GUID=27373956-4AE8-4D62-B3F5-66B64E1CD721),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2834014&GUID=F9344D67-D6E6-4EA7-947C-221C25B9EAF7),12/31/2018 12:00:00 AM,MMBR.0004640,0.22,29.0,0.22,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loolica T30 6136,Raw material (flower),THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2879979&GUID=53A84201-2E77-405B-B4A4-CCA83670B38E),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2879978&GUID=47B1F0B8-75EE-48D2-9960-50FB714CD4B9),02/11/2019 12:00:00 AM,MMBR.0004875,0.34,29.6,0.34,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loolica T30 PR 6185,Cigarettes (pre-rolled cones),THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2915376&GUID=2F82B996-989F-45A9-BF44-F13A396B2B74),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2915375&GUID=3C19B6C6-F60D-470F-8016-DE1BEE3DD3C7),03/13/2019 12:00:00 AM,MMBR.0005071,0.22,29.4,0.22,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loolica T30 PR 7594,Cigarettes (pre-rolled cones),THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3276505&GUID=14A23374-6E4A-4679-84A0-021DDC6C3DF2),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3276502&GUID=EE2FFD40-B3E9-4392-B413-70303CDD0426),12/20/2019 12:00:00 AM,MMBR.0006655,0.30,29.8,0.30,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loolica T30 PR 8463,Cigarettes (pre-rolled cones),THERAPLANT LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3376723&GUID=153FF6B7-14F5-4F8F-9486-B21A821B85EE),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=3376720&GUID=7C46C3A8-5B03-463A-9BB1-3C681BA760A4),03/09/2020 12:00:00 AM,MMBR.0007098,0.20,30.2,0.20,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
