PermitID,PermitApplication,FullPermitNo,FullApplicationNo,ApplicationDate,IssueDate,PermitFromDate,PermitToDate,ApplicationTypeName,ApplicationTypeOther,OldPermitNo,OldExpirationDate,OldGrossVehicleWeight,PermitServiceCompany,PermitteeCompany,IndustryTypeName,IndustryTypeOther,LeaseCompanyName,LeaseExpirationDate,Year,Make,Model,State,CDNo,SerialNo,ManufacturerGVWR,RegisteredGVWR,VehicleType,VehicleTypeOther,PermitType,OverallWidth,OverallLength,OverallHeight,TotalNoOfAxle,WheelBase,LoadInDescription,LoadInWidth,LoadInHeight,LoadInLength,LoadInWeight,LoadOutDescription,LoadOutWidth,LoadOutHeight,LoadOutLength,LoadOutWeight,SteeringWeight,SteeringNoOfTires,SteeringLoadRating,Axle2Weight,Axle2Space,Axle2NoOfTires,Axle2LoadRating,Axle3Weight,Axle3Space,Axle3NoOfTires,Axle3LoadRating,Axle4Weight,Axle4Space,Axle4NoOfTires,Axle4LoadRating,Axle5Weight,Axle5Space,Axle5NoOfTires,Axle5LoadRating,Axle6Weight,Axle6Space,Axle6NoOfTires,Axle6LoadRating,Axle7Weight,Axle7Space,Axle7NoOfTires,Axle7LoadRating,Axle8Weight,Axle8Space,Axle8NoOfTires,Axle8LoadRating,Axle9Weight,Axle9Space,Axle9NoOfTires,Axle9LoadRating,Axle10Weight,Axle10Space,Axle10NoOfTires,Axle10LoadRating,Axle11Weight,Axle11Space,Axle11NoOfTires,Axle11LoadRating
4424,Overweight,B2GR-20151122-1058,con-2015112-1173,11/02/2015 09:27:30 AM,11/22/2015 06:03:00 PM,11/22/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1069,,,consolidated edison co. inc.,,Other,,,,2010,FREIGHTLINER,,,,,60600,60600,Other Single,UTILITY,"Type 2, 3 to 4 axles",8,34,12,3,17.11,,,,,,,,,,,14600,2,7300,23000,13.03,4,5750,23000,4.08,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4425,Overweight,B2GR-20151122-1059,con-2015112-1174,11/02/2015 09:29:15 AM,11/22/2015 06:03:59 PM,11/22/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1070,,,consolidated edison co. inc.,,Other,,,,2010,FREIGHTLINER,,,,,60600,60600,Other Single,UTILITY,"Type 2, 3 to 4 axles",8,34,12,3,17.11,,,,,,,,,,,14600,2,7300,23000,13.03,4,5750,23000,4.08,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426,Overweight,B2GR-20151122-1060,con-2015112-1175,11/02/2015 09:45:42 AM,11/22/2015 06:04:50 PM,11/22/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1072,,,consolidated edison co. inc.,,Other,,,,2010,FREIGHTLINER,,,,,64000,64000,Other Single,UTILITY,"Type 2, 3 to 4 axles",8,34,12,3,17.11,,,,,,,,,,,18000,2,9000,23000,13.03,4,5750,23000,4.08,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429,Overweight,B2GR-20151122-1063,con-2015112-1178,11/02/2015 09:53:40 AM,11/22/2015 06:21:03 PM,11/22/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1071,,,consolidated edison co. inc.,,Other,,,,2010,FREIGHTLINER,,,,,60600,60600,Other Single,UTILITY,"Type 2, 3 to 4 axles",8,34,12,3,17.11,,,,,,,,,,,14600,2,7300,23000,13.03,4,5750,23000,4.08,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4430,Overweight,B2GR-20151122-1064,con-2015112-1179,11/02/2015 10:05:10 AM,11/22/2015 06:22:02 PM,11/22/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1075,,,consolidated edison co. inc.,,Other,,,,2010,FREIGHTLINER,,,,,60600,60600,Other Single,UTILITY,"Type 2, 3 to 4 axles",8,34,12,3,17.11,,,,,,,,,,,14600,2,7300,23000,13.03,4,5750,23000,4.08,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4431,Overweight,B2GR-20151122-1065,con-2015112-1180,11/02/2015 10:10:28 AM,11/22/2015 06:23:01 PM,11/22/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1076,,,consolidated edison co. inc.,,Other,,,,2010,freightliner,,,,,60600,60600,Other Single,1002tank,"Type 2, 3 to 4 axles",8,34,13,3,17.11,,,,,,,,,,,14600,2,7300,23000,13.03,4,5750,23000,4.08,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4432,Overweight,B2GR-20151122-1066,con-2015112-1181,11/02/2015 10:17:34 AM,11/22/2015 06:24:00 PM,11/22/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1077,,,consolidated edison co. inc.,,Other,,,,2010,FREIGHTLINER,,,,,60600,60600,Other Single,UTILITY,"Type 2, 3 to 4 axles",8,34,12,3,17.11,,,,,,,,,,,14600,2,7300,23000,13.03,4,5750,23000,4.08,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4433,Overweight,B2GR-20151122-1067,con-2015112-1182,11/02/2015 10:48:28 AM,11/22/2015 06:24:59 PM,11/22/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1078,,,consolidated edison co. inc.,,Other,,,,2010,FREIGHTLINER,,,,,60600,60600,Other Single,UTILITY,"Type 2, 3 to 4 axles",8,34,12,3,17.11,,,,,,,,,,,14600,2,7300,23000,13.03,4,5750,23000,4.08,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4434,Overweight,B2GR-20151122-1069,con-2015112-1183,11/02/2015 10:50:36 AM,11/22/2015 06:26:55 PM,11/22/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1079,,,consolidated edison co. inc.,,Other,,,,2012,freig,,,,,60600,60600,Other Single,1072tank,"Type 2, 3 to 4 axles",8,34,13,3,18,,,,,,,,,,,14600,2,7300,23000,4.08,4,5750,23000,13.04,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4162,Crane,IFB7-2015916-791,Bay-201594-911,09/04/2015 08:13:25 AM,09/16/2015 11:53:53 AM,09/16/2015 12:00:00 AM,12/31/2015 12:00:00 AM,,,,,,Bay Crane Service Inc,,Special Hauling,,,,2011,Liebherr,LTM1100,NY,4737,064221,105600,,,,,9,44.04,13.01,4,18.08,,,,,,,,,,,26400,,,26400,5.05,,,26400,7.10,,,26400,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4436,Overweight,B2GR-20151122-1071,con-2015112-1185,11/02/2015 11:28:50 AM,11/22/2015 06:30:14 PM,11/22/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1081,,,consolidated edison co. inc.,,Other,,,,2012,freig,,,,,60600,60600,Other Single,tank,"Type 2, 3 to 4 axles",8,34,13,3,18,,,,,,,,,,,14600,2,7300,23000,4.08,4,5750,23000,13.04,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4437,Overweight,B2GR-20151122-1072,con-2015112-1186,11/02/2015 11:32:08 AM,11/22/2015 06:30:58 PM,11/22/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1082,,,consolidated edison co. inc.,,Other,,,,2012,freightliner,,,,,60600,60600,Other Single,tank,"Type 2, 3 to 4 axles",8,35,9,3,18,,,,,,,,,,,14600,2,7300,23000,13.04,4,5750,23000,4.08,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4438,Overweight,B2GR-20151122-1073,con-2015112-1187,11/02/2015 11:43:57 AM,11/22/2015 06:33:51 PM,11/22/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1083,,,consolidated edison co. inc.,,Other,,,,2012,mack,,,,,60600,60600,Other Single,tank,"Type 2, 3 to 4 axles",7,34,12,3,18.01,,,,,,,,,,,14600,2,9000,23000,4.09,4,5750,23000,13.04,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4439,Overweight,B2GR-20151122-1074,con-2015112-1188,11/02/2015 01:01:39 PM,11/22/2015 06:34:42 PM,11/22/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1084,,,consolidated edison co. inc.,,Other,,,,2012,freightliner,,,,,60600,60600,Other Single,utility,"Type 2, 3 to 4 axles",8,34,13,3,18.01,,,,,,,,,,,14600,2,7600,23000,4.09,4,5750,23000,13.04,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4440,Overweight,B2GR-20151122-1075,con-2015112-1189,11/02/2015 01:05:37 PM,11/22/2015 06:35:33 PM,11/22/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1085,,,consolidated edison co. inc.,,Other,,,,2012,freightliner,,,,,60600,60600,Other Single,utility,"Type 2, 3 to 4 axles",8,34,12,3,18.01,,,,,,,,,,,14600,2,7300,23000,4.09,4,5750,23000,13.04,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4441,Overweight,B2GR-20151122-1076,con-2015112-1190,11/02/2015 01:08:58 PM,11/22/2015 06:36:43 PM,11/22/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1086,,,consolidated edison co. inc.,,Other,,,,2012,FREIGHTLINER,,,,,64000,64000,Other Single,UTILITY,"Type 2, 3 to 4 axles",8,34,12,3,17.11,,,,,,,,,,,18000,2,9000,23000,13.03,4,5750,23000,4.08,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4446,Overweight,B2GR-20151122-1081,con-2015112-1195,11/02/2015 01:55:05 PM,11/22/2015 06:52:38 PM,11/22/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1091,,,consolidated edison co. inc.,,Other,,,,2012,FREIGHTLINER,,,,,60600,60600,Other Single,UTILITY,"Type 2, 3 to 4 axles",8,34,12,3,17.11,,,,,,,,,,,14600,2,7300,23000,13.03,4,5750,23000,4.08,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4447,Overweight,B2GR-20151122-1082,con-2015112-1196,11/02/2015 02:01:49 PM,11/22/2015 06:53:46 PM,11/22/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1092,,,consolidated edison co. inc.,,Other,,,,2012,freightliner,,,,,60600,60600,Other Single,,"Type 2, 3 to 4 axles",8,30,12,3,17.11,,,,,,,,,,,14600,2,7300,23000,13.03,4,5750,23000,4.08,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4448,Overweight,B2GR-20151122-1083,con-2015112-1197,11/02/2015 02:21:23 PM,11/22/2015 06:55:01 PM,11/22/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1093,,,consolidated edison co. inc.,,Other,,,,2013,freig,,,,,64000,50500,Other Single,utility,"Type 2, 3 to 4 axles",8,28.06,11.06,3,19.01,,,,,,,,,,,18000,2,9000,23000,14.06,4,5750,23000,4.07,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4449,Overweight,B2GR-20151122-1084,con-2015112-1198,11/02/2015 02:25:39 PM,11/22/2015 06:56:00 PM,11/22/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1094,,,consolidated edison co. inc.,,Other,,,,2013,freig,,,,,64000,51000,Other Single,utility,"Type 2, 3 to 4 axles",8,34,12,3,17.11,,,,,,,,,,,18000,2,9000,23000,13.03,4,5750,23000,4.08,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4450,Overweight,V7G8-20151123-1085,con-2015112-1199,11/02/2015 02:27:47 PM,11/23/2015 04:18:47 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1095,,,consolidated edison co. inc.,,Other,,,,2013,freig,,,,,60600,60600,Other Single,tank truck,"Type 2, 3 to 4 axles",8,34,12,3,18,,,,,,,,,,,14600,2,7300,23000,13.03,4,5750,23000,4.09,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4451,Overweight,V7G8-20151123-1086,con-2015112-1200,11/02/2015 02:40:42 PM,11/23/2015 04:19:44 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1096,,,consolidated edison co. inc.,,Other,,,,2013,freig,,,,,60600,52000,Other Single,tank truck,"Type 2, 3 to 4 axles",8,34,12,3,18,,,,,,,,,,,14600,2,7300,23000,13.03,4,5750,23000,4.09,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4452,Overweight,V7G8-20151123-1087,con-2015112-1201,11/02/2015 02:47:35 PM,11/23/2015 04:20:47 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1097,,,consolidated edison co. inc.,,Other,,,,2013,freig,,,,,60600,60600,Other Single,1091tank truck,"Type 2, 3 to 4 axles",8,34,12,3,18,,,,,,,,,,,14600,2,7300,23000,13.03,4,5750,23000,4.09,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4453,Overweight,V7G8-20151123-1088,con-2015112-1202,11/02/2015 02:49:43 PM,11/23/2015 04:21:39 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1106,,,consolidated edison co. inc.,,Other,,,,2013,freig,,,,,60600,49500,Other Single,tank truck,"Type 2, 3 to 4 axles",8,34,12,3,18,,,,,,,,,,,14600,2,7300,23000,13.03,4,5750,23000,4.09,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4455,Overweight,JFXV-2016128-177,Dis-2015112-1204,11/02/2015 05:29:45 PM,01/28/2016 11:55:47 AM,01/28/2016 12:00:00 AM,10/31/2016 12:00:00 AM,Other,,AWN2-2014517-702,10/31/2014 12:00:00 AM,,Disano Trucking Inc.,,Construction,,,,1998,PETERBILT,,,,,56000,120000,Tractor Trailer,,"Type 4, 6 axles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4457,Overweight,V7G8-20151123-1089,con-2015113-1206,11/03/2015 08:05:53 AM,11/23/2015 04:22:38 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1107,,,consolidated edison co. inc.,,Other,,,,2013,freig,,,,,60600,52000,Other Single,tank truck,"Type 2, 3 to 4 axles",8,34,12,3,18,,,,,,,,,,,14600,2,7300,23000,13.03,4,5750,23000,4.09,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4458,Overweight,V7G8-20151123-1090,con-2015113-1207,11/03/2015 08:10:59 AM,11/23/2015 04:23:24 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,ZPME-2015120-2,,,consolidated edison co. inc.,,Other,,,,2013,FREIGHTLINER,,,,,60600,60600,Other Single,UTILITY,"Type 2, 3 to 4 axles",8,35,13,3,22.11,,,,,,,,,,,14600,2,14780,23000,18.05,4,24020,23000,4.06,4,24020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4459,Overweight,V7G8-20151123-1091,con-2015113-1208,11/03/2015 08:15:41 AM,11/23/2015 04:28:25 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,BGJT-2015225-44,,,consolidated edison co. inc.,,Other,,,,2013,FREIGHTLINER,,,,,60600,60600,Other Single,UTILITY,"Type 2, 3 to 4 axles",8,35,13,3,22.11,,,,,,,,,,,14600,2,14780,23000,18.05,4,24020,23000,4.06,4,24020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4460,Overweight,V7G8-20151123-1092,con-2015113-1209,11/03/2015 08:20:29 AM,11/23/2015 04:29:35 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,evwi-2014111-1108,,,consolidated edison co. inc.,,Other,,,,2013,FREIGHTLINER,,,,,64000,64000,Other Single,utility,"Type 2, 3 to 4 axles",8,34,12,3,17.05,,,,,,,,,,,18000,2,9000,23000,12.11,4,5750,23000,4.06,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4461,Overweight,V7G8-20151123-1093,con-2015113-1210,11/03/2015 08:24:02 AM,11/23/2015 04:30:38 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1109,,,consolidated edison co. inc.,,Other,,,,2013,Freightliner,,,,,64000,64000,Other Single,,"Type 2, 3 to 4 axles",8,34,13,3,18.01,,,,,,,,,,,18000,2,9000,23000,13.04,4,5750,23000,4.09,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4462,Overweight,V7G8-20151123-1094,con-2015113-1211,11/03/2015 08:28:22 AM,11/23/2015 04:31:51 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1110,,,consolidated edison co. inc.,,Other,,,,2013,FREIGHTLINER,,,,,64000,64000,Other Single,CABLE TRUCK,"Type 2, 3 to 4 axles",8,34,12,3,17.04,,,,,,,,,,,18000,2,9000,23000,12.08,4,5750,23000,4.08,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4463,Overweight,V7G8-20151123-1095,con-2015113-1212,11/03/2015 08:40:23 AM,11/23/2015 04:32:56 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1111,,,consolidated edison co. inc.,,Other,,,,2013,FREIGHTLINER,,,,,64000,64000,Other Single,UTILITY,"Type 2, 3 to 4 axles",8,34,13,3,18.01,,,,,,,,,,,18000,2,9000,23000,13.04,4,5750,23000,4.09,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4464,Overweight,V7G8-20151123-1096,con-2015113-1213,11/03/2015 08:43:36 AM,11/23/2015 04:34:13 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,EVWI-2014111-1112,,,consolidated edison co. inc.,,Other,,,,2013,FREIGHTLINER,,,,,64000,64000,Other Single,CABLE TRUCK,"Type 2, 3 to 4 axles",8,34,12,3,17.04,,,,,,,,,,,18000,2,9000,23000,12.08,4,5750,23000,4.08,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4467,Overweight,V7G8-20151123-1099,con-2015113-1216,11/03/2015 09:13:18 AM,11/23/2015 04:38:09 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,evwi-2014111-1115,,,consolidated edison co. inc.,,Other,,,,2012,Freightliner,,,,,60600,60600,Other Single,vACTOR,"Type 2, 3 to 4 axles",8,34,12,3,19.06,,,,,,,,,,,14600,2,7350,23000,15.06,4,5750,23000,4,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4468,Overweight,V7G8-20151123-1100,con-2015113-1217,11/03/2015 09:46:09 AM,11/23/2015 04:39:24 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,evwi-2014111-1116,,,consolidated edison co. inc.,,Other,,,,2013,Freightliner,,,,,60600,60600,Other Single,VACTOR,"Type 2, 3 to 4 axles",8,34,12,3,19.06,,,,,,,,,,,14600,2,7350,23000,15.06,4,5750,23000,4,4,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4469,Overweight,V7G8-20151123-1101,con-2015113-1218,11/03/2015 11:32:10 AM,11/23/2015 04:40:33 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,T8QG-20141218-1269,,,consolidated edison co. inc.,,Other,,,,2014,FREIGHTLINER,,,,,60600,60600,Other Single,STAK,"Type 2, 3 to 4 axles",8,30,12,3,22.11,,,,,,,,,,,14600,2,14780,23000,18.05,4,24020,23000,4.06,4,24020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4470,Overweight,V7G8-20151123-1102,con-2015113-1219,11/03/2015 11:35:10 AM,11/23/2015 04:41:34 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,QW9G-20141217-1259,,,consolidated edison co. inc.,,Other,,,,2014,FREIGHTLINER,,,,,60600,60600,Other Single,DUMP,"Type 2, 3 to 4 axles",8,35,11.05,3,25.02,,,,,,,,,,,14600,2,14780,23000,20.08,4,24020,23000,4.06,4,24020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4471,Overweight,V7G8-20151123-1103,con-2015113-1220,11/03/2015 11:38:11 AM,11/23/2015 04:42:59 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,zvpy-2015914-788,,,consolidated edison co. inc.,,Other,,,,2015,Freightliner,,,,,64000,64000,Other Single,Utility,"Type 2, 3 to 4 axles",8,34,12,3,22.06,,,,,,,,,,,18000,2,18000,23000,18,4,24020,23000,4.06,4,24020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4472,Overweight,B2GR-20151122-1068,con-2015113-1221,11/03/2015 01:33:35 PM,11/22/2015 06:26:05 PM,11/22/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,BGJT-2015225-43,,,consolidated edison co. inc.,,Other,,,,2015,freightliner,,,,,62000,62000,Other Single,utility,"Type 2, 3 to 4 axles",8,34,12,3,22.11,,,,,,,,,,,16000,2,20000,23000,18.05,4,24020,23000,4.06,4,24050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4473,Overweight,V7G8-20151123-1104,con-2015113-1222,11/03/2015 01:38:01 PM,11/23/2015 04:45:12 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,S8W5-2015421-382,,,consolidated edison co. inc.,,Other,,,,2015,Freightliner,,,,,62000,62000,Other Single,Tank,"Type 2, 3 to 4 axles",8,34,12,3,22.11,,,,,,,,,,,16000,2,20000,23000,18.05,2,24020,23000,4.06,4,24020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4474,Overweight,V7G8-20151123-1105,con-2015113-1223,11/03/2015 01:40:38 PM,11/23/2015 04:46:09 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,GMEJ-2015722-666,,,consolidated edison co. inc.,,Other,,,,2015,Freightliner,,,,,62000,62000,Other Single,Tank,"Type 2, 3 to 4 axles",8,34,12,3,22.11,,,,,,,,,,,16000,2,20000,23000,18.05,4,24020,23000,4.06,4,24020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4475,Overweight,V7G8-20151123-1106,con-2015113-1224,11/03/2015 01:46:22 PM,11/23/2015 04:47:04 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,GMEJ-2015722-667,,,consolidated edison co. inc.,,Other,,,,2015,FREIGHTLINER,,,,,62000,62000,Other Single,Tank,"Type 2, 3 to 4 axles",8,34,12,3,22.11,,,,,,,,,,,16000,2,20000,23000,18.05,4,24020,23000,4.06,4,24020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4477,Overweight,V7G8-20151123-1107,con-2015113-1226,11/03/2015 02:15:21 PM,11/23/2015 04:50:06 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,KUPW-2015711-592,,,consolidated edison co. inc.,,Other,,,,2015,FREIGHTLINER,,,,,62000,62000,Other Single,Tank,"Type 2, 3 to 4 axles",8,34,12,3,22.11,,,,,,,,,,,14600,2,20000,23000,18.05,4,24020,23000,4.06,4,24020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4478,Overweight,V7G8-20151123-1108,con-2015113-1227,11/03/2015 02:17:54 PM,11/23/2015 04:51:21 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,ZVPY-2015914-789,,,consolidated edison co. inc.,,Other,,,,2016,Freightliner,,,,,62000,62000,Other Single,UTILITY,"Type 2, 3 to 4 axles",8,34,12,3,22.11,,,,,,,,,,,16000,2,20000,23000,18.05,4,24020,23000,4.06,4,24020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4479,Overweight,V7G8-20151123-1109,con-2015113-1228,11/03/2015 02:54:42 PM,11/23/2015 04:52:10 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,PMHA-20151019-874,,,consolidated edison co. inc.,,Other,,,,2015,Freightliner,,,,,64000,64000,Other Single,UTILITY,"Type 2, 3 to 4 axles",8,34,12,3,22.06,,,,,,,,,,,18000,2,18000,23000,18,4,24020,23000,4.06,4,24020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4480,Overweight,V7G8-20151123-1110,con-2015113-1229,11/03/2015 02:57:49 PM,11/23/2015 04:53:46 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,PMHA-20151019-876,,,consolidated edison co. inc.,,Other,,,,2015,Freightliner,,,,,64000,64000,Other Single,Utility,"Type 2, 3 to 4 axles",8,34,12,3,22.07,,,,,,,,,,,18000,2,18000,23000,18,4,24020,23000,4.07,4,24020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4481,Overweight,V7G8-20151123-1111,con-2015113-1230,11/03/2015 03:00:55 PM,11/23/2015 04:54:55 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,PMHA-20151019-875,,,consolidated edison co. inc.,,Other,,,,2015,Freightliner,,,,,64000,64000,Other Single,Utility,"Type 2, 3 to 4 axles",8,34,12,3,22.07,,,,,,,,,,,18000,2,18000,23000,18,4,24020,23000,4.07,4,24020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4482,Overweight,V7G8-20151123-1112,con-2015113-1231,11/03/2015 03:02:43 PM,11/23/2015 04:56:02 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,PMHA-20151019-877,,,consolidated edison co. inc.,,Other,,,,2015,FREIGHTLINER,,,,,64000,64000,Other Single,UTILITY,"Type 2, 3 to 4 axles",8,34,12,3,22.07,,,,,,,,,,,18000,2,18000,23000,18,4,24020,23000,4.07,4,24020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4483,Overweight,V7G8-20151123-1113,con-2015113-1232,11/03/2015 03:05:04 PM,11/23/2015 04:58:07 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Renewal,,PMHA-20151019-878,,,consolidated edison co. inc.,,Other,,,,2016,FREIGHTLINER,,,,,62000,62000,Other Single,UTILITY,"Type 2, 3 to 4 axles",8,34,12,3,22.11,,,,,,,,,,,16000,2,20000,23000,18.05,4,24020,23000,4.06,4,24020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5438,Overweight,LE2R-20161024-780,Bed-2016928-710,09/28/2016 04:03:37 PM,10/24/2016 10:49:54 AM,10/24/2016 12:00:00 AM,04/30/2017 12:00:00 AM,Other,adding a trailer,,,,Bedford Construction Corp,,Construction,,Bedford Carp Construction Corp,20210808000000.000000000,2000,Mack,,,,,120000,120000,Tractor Trailer,,"Type 4, 6 axles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
