id,Year,Employer_Name,Employer_Email,Employer_Phone,Employer_Address,Employer_City,Employer_State,Employer_Zip,Employer_Country,compensation,expenditures,agg_contrib,ballot_prop,entertain,vendor,expert_retain,inform_material,lobbying_comm,ie_in_support,itemized_exp,other_l3_exp,political,corr_compensation,corr_expend,total_exp,l3_nid,employer_nid
16487-2016,2016,GUN OWNERS ACTION LEAGUE OF WA,JWALDRON@HALCYON.COM,(425) 985-4867,PO BOX 50012,BELLEVUE,WA,980150143,US,6000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6000.00,30540,16487
16487-2017,2017,GUN OWNERS ACTION LEAGUE OF WA,JWALDRON@HALCYON.COM,(425) 985-4867,PO BOX 50012,BELLEVUE,WA,980150143,US,15000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18000.00,0.00,15000.00,41985,16487
16124-2018,2018,AMERICAN TRAFFIC SOLUTIONS INC,ZACH.GAMZA@ATSOL.COM,(480) 719-7061,1150 N ALMA SCHOOL RD,MESA,AZ,85282,US,54000.00,10000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37000.00,52007,16124
16488-2016,2016,H2VTECH LLC,DANIEL@H2VTECH.COM,(425) 422-0680,10280 SE 6TH ST STE 3,BELLEVUE,WA,980096188,US,60000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60000.00,30958,16488
16489-2016,2016,HABITAT FOR HUMANITY OF WA ST,OFFICE@HABITATWA.ORG,(253) 759-2780,PO BOX 112033,TACOMA,WA,98411,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16489
17311-2019,2019,WILLIAMS CO,dallas.scholes@williams.com,(206) 224-5000,295 CHIPETA WY MS 1D1,SALT LAKE CITY,UT,84158,US,60000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60000.00,63349,17311
16490-2016,2016,HAMPTON AFFILIATES,nikkicommerford@hamptonlumber.com,(503) 203-6496,9600 SW BARNES RD STE 200,PORTLAND,OR,972256666,US,40000.00,4000.00,42500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42500.00,0.00,0.00,129000.00,29261,16490
16490-2017,2017,HAMPTON AFFILIATES,nikkicommerford@hamptonlumber.com,(503) 203-6496,9600 SW BARNES RD STE 200,PORTLAND,OR,972256666,US,48355.76,346.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48701.90,39991,16490
16483-2018,2018,GREATER SEATTLE CHAMBER OF COMMERCE,ACCOUNTING@SEATTLECHAMBER.COM,(206) 389-7200,1301 5TH AVE STE 1500,SEATTLE,WA,98101-2611,US,75793.54,243.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61750.00,243.99,243.99,52583,16483
16491-2016,2016,HANCOCK NATURAL RESOURCE GROUP,JIM.RILEY@RELEYANDASSOCIATES.COM,,C/O BRIAN KERNOHAN,BOSTON,MA,02110,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16491
16492-2016,2016,HARMONY HOUSE,DIANAHITCHINGS@WHCA.ORG,(360) 352-3304,PO BOX 829,BREWSTER,WA,98812,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16492
16492-2017,2017,HARMONY HOUSE,DIANAHITCHINGS@WHCA.ORG,(360) 352-3304,PO BOX 829,BREWSTER,WA,98812,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16492
16139-2020,2020,BP AMERICA INC,thomas.wolf@BP.com,(360) 483-7438,4519 GRANDVIEW ROAD,BLAINE,WA,98230,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16139
16494-2018,2018,ONEAMERICA,lori@WEAREONEAMERICA.ORG,206-452-8405,1225 S Weller St Ste 430,Seattle,WA,98144-1906,US,36510.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36510.00,51270,16494
16418-2018,2018,EQUAL JUSTICE COALITION,WILL@EJC.ORG,(206) 957-6287,1325 4TH AVE STE 1335,SEATTLE,WA,981012509,US,71400.00,49.65,0.00,0.00,0.00,0.00,0.00,1024.00,265.00,0.00,0.00,0.00,0.00,0.00,0.00,72738.65,63090,16418
16343-2018,2018,COLVILLE CONFEDERATED TRIBES,invalid@invalid.com,(509) 634-2384,PO BOX 150,NESPELEM,WA,991550150,US,78000.00,30500.00,20500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26500.00,78000.00,0.00,155500.00,63439,16343
16495-2016,2016,WA ST ASSN OF HEADSTART ECEAP,JOEL@WSAHEADSTARTECEAP.COM,(425) 453-1227,345 118TH AVE SE STE 110,BELLEVUE,WA,980051365,US,12000.00,639.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12639.88,30754,16495
16495-2017,2017,WA ST ASSN OF HEADSTART ECEAP,JOEL@WSAHEADSTARTECEAP.COM,(425) 453-1227,345 118TH AVE SE STE 110,BELLEVUE,WA,980051365,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16495
17248-2020,2020,Washington State Funeral Directors Association,thewsfda@gmail.com,5096080710,9116 E. Sprague #809,Spokane Valley,WA,99206,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,17248
16496-2017,2017,HEALTHCARE DISTRIBUTION ALLIANCE,BFISCH@MULTISTATE.US,(703) 885-0231,901 N GLEBE RD,ARLINGTON,VA,22203,US,276.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,276.80,40822,16496
16490-2018,2018,HAMPTON AFFILIATES,nikkicommerford@hamptonlumber.com,(503) 203-6496,9600 SW BARNES RD STE 200,PORTLAND,OR,972256666,US,46151.99,34000.00,37000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37000.00,0.00,0.00,152000.00,44407,16490
16487-2018,2018,GUN OWNERS ACTION LEAGUE OF WA,JWALDRON@HALCYON.COM,(425) 985-4867,PO BOX 50012,BELLEVUE,WA,980150143,US,6000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9000.00,0.00,6000.00,51149,16487
16443-2017,2017,Washington Filmworks,julie@washingtonfilmworks.org,2062640667,1411 4th Avenue - Ste 1000,Seattle,WA,98101,US,52250.00,0.00,0.00,0.00,0.00,0.00,0.00,1171.15,0.00,0.00,0.00,0.00,0.00,11875.00,0.00,53421.15,41772,16443
16496-2016,2016,HEALTHCARE DISTRIBUTION ALLIANCE,BFISCH@MULTISTATE.US,(703) 885-0231,901 N GLEBE RD,ARLINGTON,VA,22203,US,335.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,335.54,30549,16496
16497-2016,2016,HEALTH FACILITIES PLANNING & DEVELOPMENT,HEALTHFAC@AHEALTHFACILITIESPLANNING.COM,(206) 441-0971,120 1ST AVE W STE 100,SEATTLE,WA,98119,US,5000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10000.00,0.00,5000.00,31158,16497
16498-2016,2016,HEALTHPORT (THRU MULTISTATE),CCASTRO@MULTISTATE.COM,(703) 684-1110,515 KING ST STE 300,ALEXANDER,VA,22314,US,10000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10000.00,30664,16498
39718-2019,2019,Northwest HPBA,nwhpba@aminc.org,2532653042,5727 Baker Way NW,Gig Harbor,WA,98332,US,22000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22000.00,64700,39718
16633-2019,2019,MERSCORP INC (THRU MULTISTATE),CCASTRO@MULTISTATE.COM,(703) 684-1110,515 KING ST STE 300,ALEXANDRIA,VA,22314,US,19000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19000.00,64924,16633
16496-2018,2018,HEALTHCARE DISTRIBUTION ALLIANCE,BFISCH@MULTISTATE.US,(703) 885-0231,901 N GLEBE RD,ARLINGTON,VA,22203,US,1227.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1227.00,52278,16496
16507-2018,2018,HNTB CORP,reporting@politicomlaw.com,(415) 903-2800,c/o Politicom Law LLP,Sausalito,CA,94965,US,48000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,242.91,0.00,0.00,48242.91,52389,16507
16443-2018,2018,Washington Filmworks,julie@washingtonfilmworks.org,2062640667,1411 4th Avenue - Ste 1000,Seattle,WA,98101,US,3500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3500.00,52721,16443
16722-2018,2018,NW ENERGY EFFICIENCY CNCL,martin.goldstein@neec.net,206-588-4985,1200 12th Avenue South,SEATTLE,WA,98144,US,48000.00,1766.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,101050.00,48000.00,989.08,102039.08,51559,16722
16551-2017,2017,ITEK ENERGY,INFO@ITEKENERGY.COM,(360) 647-9531,3886 HAMMER DR,BELLINGHAM,WA,98226,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62872,16551
16502-2016,2016,HIGHLINE PUBLIC SCHOOLS,invalid@invalid.com,(206) 631-3078,15675 AMBAUM BLVD SW,BURIEN,WA,98166,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16502
16502-2017,2017,HIGHLINE PUBLIC SCHOOLS,invalid@invalid.com,(206) 631-3078,15675 AMBAUM BLVD SW,BURIEN,WA,98166,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16502
16502-2018,2018,HIGHLINE PUBLIC SCHOOLS,invalid@invalid.com,(206) 631-3078,15675 AMBAUM BLVD SW,BURIEN,WA,98166,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16502
16503-2016,2016,NAVOS,ALICE.BRAVERMAN@NAVOS.ORG,,2600 SW HOLDEN ST,SEATTLE,WA,98126,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16503
16503-2017,2017,NAVOS,ALICE.BRAVERMAN@NAVOS.ORG,,2600 SW HOLDEN ST,SEATTLE,WA,98126,US,30000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30000.00,42119,16503
17126-2020,2020,WA HEALTH ALLIANCE,CLANHAM@WAHEALTHALLIANCE.ORG,(206) 454-2959,600 STEWART ST STE 824,SEATTLE,WA,98101,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,17126
16504-2016,2016,Hillis Clark Martin & Peterson PS,dan.gottlieb@hcmp.com,(206) 470-7627,999 3rd Ave Ste 4600,Seattle,WA,98104,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29478,16504
16504-2017,2017,Hillis Clark Martin & Peterson PS,dan.gottlieb@hcmp.com,(206) 470-7627,999 3rd Ave Ste 4600,Seattle,WA,98104,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40458,16504
16834-2020,2020,PURSE SEINE VESSEL OWNERS ASSN,rfk@psvoa.org,(206) 283-7733,1900 W NICKERSON ST STE 320,SEATTLE,WA,98119,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16834
16506-2016,2016,HMS,DANA.ROBBINS@HMS.COM,(760) 331-7571,725 HUALAPAI WAY UNIT 1074,LAS VEGAS,NV,89145,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16506
16507-2016,2016,HNTB CORP,reporting@politicomlaw.com,(415) 903-2800,c/o Politicom Law LLP,Sausalito,CA,94965,US,48000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48000.00,29706,16507
16507-2017,2017,HNTB CORP,reporting@politicomlaw.com,(415) 903-2800,c/o Politicom Law LLP,Sausalito,CA,94965,US,49000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49000.00,41571,16507
17126-2017,2017,WA HEALTH ALLIANCE,CLANHAM@WAHEALTHALLIANCE.ORG,(206) 454-2959,600 STEWART ST STE 824,SEATTLE,WA,98101,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63435,17126
16562-2017,2017,JOHNSON & JOHNSON,SDagost1@its.jnj.com,6127994961,10117 Bridgewater Parkway,Woodbury,MN,55129,US,50900.00,7000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57900.00,47989,16562
16905-2018,2018,SEIU 775,holly.elliott@seiu775.org,(206) 538-5735,215 Columbia St,Seattle,WA,98104,US,311861.13,836575.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1148436.64,51305,16905
16510-2016,2016,HONDA NORTH AMERICA (THRU MULTISTATE),CCASTRO@MULTISTATE.COM,(703) 684-1110,5115 KING ST STE 300,ALEXANDRIA,VA,22314,US,47250.00,101.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47351.70,30650,16510
16510-2017,2017,HONDA NORTH AMERICA (THRU MULTISTATE),CCASTRO@MULTISTATE.COM,(703) 684-1110,5115 KING ST STE 300,ALEXANDRIA,VA,22314,US,56587.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42000.00,621.27,621.27,41262,16510
16504-2018,2018,Hillis Clark Martin & Peterson PS,dan.gottlieb@hcmp.com,(206) 470-7627,999 3rd Ave Ste 4600,Seattle,WA,98104,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50169,16504
16505-2016,2016,HISTORYLINK,phil@seattlecfo.com,(206) 382-55532,93 Pike Street,SEATTLE,WA,98101,US,2000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2000.00,31077,16505
16500-2016,2016,HIGHLINE COLLEGE,sericksen@highline.edu ,(206) 592-3200,PO BOX 98000,DES MOINES,WA,981989800,US,21000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19000.00,0.00,21000.00,30089,16500
17126-2018,2018,WA HEALTH ALLIANCE,CLANHAM@WAHEALTHALLIANCE.ORG,(206) 454-2959,600 STEWART ST STE 824,SEATTLE,WA,98101,US,12850.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12850.00,63432,17126
17235-2017,2017,WA ST COALITION MENTAL HLTH PROF & CONSUMERS,SWIEDENFELD@me.com,2069302343,2808 E MADISON #201,SEATTLE,WA,98112,US,5050.00,550.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6000.00,500.00,500.00,41680,17235
16479-2017,2017,GRANT CO COMMISSION,jtgingrich@grantcountywa.gov,5097542011,35 C ST NW,EPHRATA,WA,98823,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16479
16516-2018,2018,IBEW LOCAL 77,ibew77pac@ibew77.com,(206) 323-4505,PO BOX 68728,SEATTLE,WA,981680728,US,8925.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8925.00,51643,16516
16514-2016,2016,HUMANE SOCIETY OF THE UNITED STATES,HCARPENTER@HUMANESOCIETY.ORG,702-929-2999,"1255 23rd Street, NW",WASHINGTON,DC,20037,US,14317.40,182.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14500.04,30921,16514
16514-2017,2017,HUMANE SOCIETY OF THE UNITED STATES,HCARPENTER@HUMANESOCIETY.ORG,702-929-2999,"1255 23rd Street, NW",WASHINGTON,DC,20037,US,16276.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16276.73,40572,16514
16795-2020,2020,PORT OF CENTRALIA,AGRABER@PORTOFCENTRALIA.COM,(360) 736-3527,3508 Galvin Rd.,CENTRALIA,WA,98531,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16795
16142-2018,2018,ARTSFUND,andrew@ARTSFUND.ORG,(206) 281-9050,10 HARRISON ST STE 200,SEATTLE,WA,98109,US,9000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9000.00,52242,16142
16439-2017,2017,CEDAR RIVER CLINICS,MARLENED@CEDARRIVERCLINICS.ORG,(509) 575-6473,106 EAST E ST,YAKIMA,WA,989012312,US,9000.00,4625.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13250.00,40601,16439
16406-2017,2017,EDUCATIONAL SERVICE DISTRICT 105,kevin.chase@esd105.org,509-454-5314,33 SOUTH 2ND AVE,YAKIMA,WA,98902,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40107,16406
16510-2018,2018,HONDA NORTH AMERICA (THRU MULTISTATE),CCASTRO@MULTISTATE.COM,(703) 684-1110,5115 KING ST STE 300,ALEXANDRIA,VA,22314,US,56004.00,73.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19251.00,0.00,36826.88,52406,16510
16516-2016,2016,IBEW LOCAL 77,ibew77pac@ibew77.com,(206) 323-4505,PO BOX 68728,SEATTLE,WA,981680728,US,14015.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14015.76,30954,16516
16516-2017,2017,IBEW LOCAL 77,ibew77pac@ibew77.com,(206) 323-4505,PO BOX 68728,SEATTLE,WA,981680728,US,18754.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18754.00,39972,16516
16512-2016,2016,HUDSON GOVT AFFAIRS LLC,larry@hudsonga.com,,328 EUDORA ST,DENVER,CO,80220,US,48000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48000.00,52011,16512
40493-2020,2020,Latino Community Fund of Washington State,lilliane@latinocommunityfund.org,6617172761,68 S. Washington St.,Seattle,WA,98104,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,40493
16518-2016,2016,INTL BROTHERHOOD OF TEAMSTERS LOCAL 231,PAULA@231TEAMSTERS.ORG,(360) 734-7780,PO BOX H,BELLINGHAM,WA,98227,US,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1200.00,0.00,0.00,2400.00,30213,16518
16518-2017,2017,INTL BROTHERHOOD OF TEAMSTERS LOCAL 231,PAULA@231TEAMSTERS.ORG,(360) 734-7780,PO BOX H,BELLINGHAM,WA,98227,US,734.14,0.00,650.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,650.00,0.00,0.00,2034.14,40579,16518
16515-2016,2016,HUNTERS HERITAGE COUNCIL,huntersheritagecouncil@gmail.com,(425) 221-3986,PO Box 126,Republic,WA,99166-0126,US,4500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4500.00,32034,16515
16479-2016,2016,GRANT CO COMMISSION,jtgingrich@grantcountywa.gov,5097542011,35 C ST NW,EPHRATA,WA,98823,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16479
16520-2016,2016,IDENTITY CLARK CO,admin@iccbusiness.org,(360) 695-4116,900 Washington St,VANCOUVER,WA,98660,US,16999.92,607.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17607.68,29711,16520
16520-2017,2017,IDENTITY CLARK CO,admin@iccbusiness.org,(360) 695-4116,900 Washington St,VANCOUVER,WA,98660,US,16999.92,295.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17295.88,40106,16520
17311-2020,2020,WILLIAMS CO,dallas.scholes@williams.com,(206) 224-5000,295 CHIPETA WY MS 1D1,SALT LAKE CITY,UT,84158,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,17311
16521-2016,2016,PROF & TECH EMPLOYEES LOCAL 17,UNION@PTE17.ORG,(206) 328-7321,2900 EASTLAKE AVE E STE 300,SEATTLE,WA,981023012,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100200.00,0.00,0.00,29126,16521
16521-2017,2017,PROF & TECH EMPLOYEES LOCAL 17,UNION@PTE17.ORG,(206) 328-7321,2900 EASTLAKE AVE E STE 300,SEATTLE,WA,981023012,US,95450.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95450.00,39276,16521
16522-2016,2016,IGPS LOGISTICS LLC,TSIZEMORE@IGPS.NET,(321) 281-9204,225 E ROBINSON ST STE 200,ORLANDO,FL,32801,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16522
17311-2017,2017,WILLIAMS CO,dallas.scholes@williams.com,(206) 224-5000,295 CHIPETA WY MS 1D1,SALT LAKE CITY,UT,84158,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41879,17311
16511-2016,2016,HOPELINK,manzlovar@hopelink.org,(425) 869-6020,8990 154TH AVE NE,REDMOND,WA,98052,US,36000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36000.00,30915,16511
16511-2017,2017,HOPELINK,manzlovar@hopelink.org,(425) 869-6020,8990 154TH AVE NE,REDMOND,WA,98052,US,36000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36000.00,40471,16511
16519-2017,2017,INTL BROTHERHOOD OF TEAMSTERS LOCAL 38,bsaul@teamsters38.org,4252523800,2601 EVERETT AVE,EVERETT,WA,98201,US,2588.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2588.40,41566,16519
16697-2020,2020,LIFELONG AIDS ALLIANCE,barbarae@lifelong.org,(206) 957-1621,210 S. Lucile Street,SEATTLE,WA,98108,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16697
16547-2018,2018,IRON WORKERS DIST CNCL OF THE PNW,STEVEP@IRONWORKERSNW.ORG,(425) 771-4766,110 MAIN ST STE 100,EDMONDS,WA,98020,US,8000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31550.45,0.00,0.00,39550.45,52992,16547
16524-2016,2016,INDEMAND INTERPRETING,ADRAKE@INDEMANDINTERPRETING.COM,(509) 888-3824,555 ANDOVER PARK W #201,TUKWILA,WA,98188,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16524
16525-2016,2016,INDEPENDENT INS AGENTS & BROKERS OF WA,DHOLST@WAINSURANCE.ORG,(425) 649-0102,15015 MAIN ST,BELLEVUE,WA,98007,US,61500.00,4294.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65794.55,30895,16525
16525-2017,2017,INDEPENDENT INS AGENTS & BROKERS OF WA,DHOLST@WAINSURANCE.ORG,(425) 649-0102,15015 MAIN ST,BELLEVUE,WA,98007,US,61000.00,3833.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64833.20,41583,16525
16530-2018,2018,INLAND EMPIRE PAPER,LORIMCMAHON@IEPCO.COM,(509) 720-5853,3320 N ARGONNE RD,SPOKANE,WA,99212,US,36000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36000.00,52161,16530
16526-2016,2016,INDEPENDENT PHARMACY COOPERATIVE,JIM.DRISCOLL@IPCRX.COM,,2537 CURTIS ST,DENVER,CO,80205,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16526
16527-2016,2016,INDIVIOR PLC,CCASTRO1@MULTISTATE.COM,(801) 643-7003,10710 MIDLOTHIAN TURNPIKE,RICHMOND,VA,23235,US,229.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,229.00,30522,16527
16529-2016,2016,BIO ENERGY WA / INDUSTRIAL POWER GENERATING CO,RPUTNEY@INGENCOHOLDINGS.COM,(804) 833-3633,PO Box 11648,RICHMOND,VA,23230,US,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16529
16530-2016,2016,INLAND EMPIRE PAPER,LORIMCMAHON@IEPCO.COM,(509) 720-5853,3320 N ARGONNE RD,SPOKANE,WA,99212,US,33000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33000.00,29443,16530
