License Number,Entity Name,Telephone Number,SHL Endorsed,Building,Street,City,State,Postcode,Type of Base,Latitude,Longitude,Date,Time,Location
B01263,"RACHEL'S CAR SERVICE,INC.",7189722223,No,548,EAST    2 STREET,BROOKLYN,NY,11218,LIVERY BASE,40.637716,-73.977401,05/10/2020,18:02:48,"(40.637716, -73.977401)"
B02688,KJ TRANSPORTATION,7185152600,No,11,EAST 213 STREET,BRONX,NY,10467,LIVERY BASE,40.884924,-73.878591,05/10/2020,18:02:48,"(40.884924, -73.878591)"
B03168,KAYROS TRANSPORTATION INC,9174408678,No,726,BROADWAY,BAYONNE,NJ,07002,BLACK CAR BASE,,,05/10/2020,18:02:48,
B01466,FIVE STAR,7189400044,No,787,CONEY ISLAND AVENUE,BROOKLYN,NY,11218,LIVERY BASE,40.638265,-73.96821,05/10/2020,18:02:48,"(40.638265, -73.96821)"
B02408,"PETER EXECUTIVE LIMOUSINE, CORP",7187847900,No,34-39,31 STREET,ASTORIA,NY,11106,BLACK CAR BASE,40.758334,-73.92795,05/10/2020,18:02:48,"(40.758334, -73.92795)"
B03148,JUNIORS LUXURY 2 INC.,7186904306,No,1617,CORTELYOU ROAD,BROOKLYN,NY,11226,BLACK CAR BASE,,,05/10/2020,18:02:48,
B90729,"GREEN TRIPS,INC.",7183536800,No,29-30,UNION STREET,FLUSHING,NY,11354,PARATRANSIT BASE,,,05/10/2020,18:02:48,
B01436,NEW PRONTO TRANSP INC,7184575777,Yes,41-09,49 STREET,L.I.C.,NY,11104,LIVERY BASE,40.746164,-73.91524,05/10/2020,18:02:48,"(40.746164, -73.91524)"
B00448,DIAL CAR INC.,7187438042,No,2104,AVENUE X,BROOKLYN,NY,11235,BLACK CAR BASE,40.592698,-73.948855,05/10/2020,18:02:48,"(40.592698, -73.948855)"
B01848,GRAND LIMO & CAR SERVICE INC.,7184334255,Yes,47-01,VAN DAM STREET,LIC,NY,11101,LIVERY BASE,40.755937,-73.92898,05/10/2020,18:02:48,"(40.755937, -73.92898)"
B03243,"CAPRICE CAR SERVICE NO.2,INC",7184603454,No,147-15,45 AVENUE,FLUSHING,NY,11355,BLACK CAR BASE,,,05/10/2020,18:02:48,
B02163,JUNIORS EXPRESS CAR SERVICE INC.,7188591155,No,1509,CORTELYOU ROAD,BROOKLYN,NY,11226,LIVERY BASE,40.641619,-73.96416,05/10/2020,18:02:48,"(40.641619, -73.96416)"
B02414,CAIRO LIMO SERVICE INC.,7186514222,Yes,18-33,27 AVENUE,LIC,NY,11102,LIVERY BASE,40.758356,-73.936101,05/10/2020,18:02:48,"(40.758356, -73.936101)"
B03214,MALIBU CAR SERVICE INC.,6466714360,No,1231,LAFAYETTE AVENUE  L2,BRONX,NY,10474,BLACK CAR BASE,,,05/10/2020,18:02:48,
B03066,FORTY-FOUR CAR & LIMO,7182004159,No,1048,OGDEN AVENUE  STORE,BRONX,NY,10452,BLACK CAR BASE,,,05/10/2020,18:02:48,
B01653,ART'S PLACE INC.,7189342222,No,2077,EAST   16 STREET,BROOKLYN,NY,11229,LIVERY BASE,40.599389,-73.95554,05/10/2020,18:02:48,"(40.599389, -73.95554)"
B03185,G&J LUXURY TRANSPORTATION INC,7189144454,No,1776,BOSTON ROAD,BRONX,NY,10460,BLACK CAR BASE,,,05/10/2020,18:02:48,
B02535,LFS LIMO CORP.,6317767786,No,24,TUTHILL CREEK DRIVE,PATCHOGUE,NY,11772,LUXURY/LIMOUSINE,40.773186,-73.038617,05/10/2020,18:02:48,"(40.773186, -73.038617)"
B02554,IMMEDIATE LUXURY CAR & LIMO SERVICE INC.,3475703748,No,1979,MARCUS AVE  210,LAKE SUCCESS,NY,11042,LUXURY/LIMOUSINE,40.755027,-73.693562,05/10/2020,18:02:48,"(40.755027, -73.693562)"
B90419,D & J SERVICES INC,7188288888,No,1200,ZEREGA AVENUE,BRONX,NY,10462,PARATRANSIT BASE,40.833354,-73.843531,05/10/2020,18:02:48,"(40.833354, -73.843531)"
B02765,GRUN LLC,7189715628,Yes,636,WEST   28 STREET,NEW YORK,NY,10001,BLACK CAR BASE,40.74844,-73.93946,05/10/2020,18:02:48,"(40.74844, -73.93946)"
B02671,COMMUNITY CAR SERVICE PRISCILLA CORP,7183668800,No,896,WYCKOFF AVENUE  2R,BROOKLYN,NY,11237,LIVERY BASE,40.696906,-73.906739,05/10/2020,18:02:48,"(40.696906, -73.906739)"
B02749,FACE LIMO INC,9176764239,No,111-15A,ROOSEVELT AVENUE  1FL,CORONA,NY,11368,BLACK CAR BASE,40.744986,-73.86426,05/10/2020,18:02:48,"(40.744986, -73.86426)"
B03016,BEST DEAL BLACK INC.,7185155555,No,757 A,BURKE AVENUE,BRONX,NY,10467,BLACK CAR BASE,,,05/10/2020,18:02:48,
B03018,AUREUS LLC,9178872105,No,240,KENT AVENUE,BROOKLYN,NY,11249,BLACK CAR BASE,,,05/10/2020,18:02:48,
B01128,PAK-EAGLE INC.,7185751212,Yes,72-55,KISSENA BOULEVARD,FLUSHING,NY,11367,LIVERY BASE,40.727695,-73.8129,05/10/2020,18:02:48,"(40.727695, -73.8129)"
B00369,BOULEVARD OPERATING INC.,7185911111,No,122-11,HILLSIDE AVENUE,RICHMOND HILL,NY,11418,LIVERY BASE,40.70212,-73.82873,05/10/2020,18:02:48,"(40.70212, -73.82873)"
B03270,ABI GROUP LUXURY INC.,3474620133,No,135,DREISER LOOP,BRONX,NY,10475,BLACK CAR BASE,,,05/10/2020,18:02:48,
B03201,NYDKB INC.,9179692574,No,46 - 13B,188 STREET,FLUSHING,NY,11358,BLACK CAR BASE,,,05/10/2020,18:02:48,
B03218,CHOICE TRANSPORTATION CORP.,3472321165,No,325,SOUNDVIEW AVENUE  SUITE #2,BRONX,NY,10473,BLACK CAR BASE,,,05/10/2020,18:02:48,
B02851,GALLANT CAR SERVICE CORP.,3474651844,No,5030,BROADWAY  SUITE #804,NEW YORK,NY,10034,LIVERY BASE,40.86885,-73.916637,05/10/2020,18:02:48,"(40.86885, -73.916637)"
B02869,"ZEHN-NY,LLC.",6466657439,No,636,WEST   28 STREET,NEW YORK,NY,10001,BLACK CAR BASE,40.75273,-74.00641,05/10/2020,18:02:48,"(40.75273, -74.00641)"
B03126,YUR DRIVERS NETWORK INC,2019875702,No,151,WEST PASSAIC ST  2ND FL,ROCHELLE PARK,NJ,07662,BLACK CAR BASE,,,05/10/2020,18:02:48,
B00536,"WINTHROP HOLDING OF NEW YORK, INC",7182091616,No,5924,GLENWOOD ROAD,BROOKLYN,NY,11234,LIVERY BASE,40.634075,-73.919437,05/10/2020,18:02:48,"(40.634075, -73.919437)"
B00990,"MIRAGE LIMOUSINE SERVICE, INC.",7189377500,No,36-01,20 AVENUE,ASTORIA,NY,11105,LIVERY BASE,40.777951,-73.903755,05/10/2020,18:02:48,"(40.777951, -73.903755)"
B00457,PREMIUM BRONX CORP,7183288080,Yes,1963,SOUTHERN BOULEVARD,BRONX,NY,10460,LIVERY BASE,40.841813,-73.884211,05/10/2020,18:02:48,"(40.841813, -73.884211)"
B03258,CHERRY TRANSPORTATION NY INC.,7188882020,No,45-55,162ND STREET  1ST FL.,FLUSHING,NY,11358,BLACK CAR BASE,,,05/10/2020,18:02:48,
B03085,W DIAMOND LIMO INC,7184954444,No,107-04,37 AVENUE,CORONA,NY,11368,BLACK CAR BASE,,,05/10/2020,18:02:48,
B02360,BRIDGES LIMOUSINE INC,7187775743,No,35-28,19 AVENUE,ASTORIA,NY,11105,BLACK CAR BASE,40.779639,-73.901658,05/10/2020,18:02:48,"(40.779639, -73.901658)"
B01644,MUSIC EXPRESS/N.Y. INC,2127365405,No,674,CLIFTON AVENUE,CLIFTON,NJ,07011,LUXURY/LIMOUSINE,40.901484,-74.115919,05/10/2020,18:02:48,"(40.901484, -74.115919)"
B02931,NEW TECHNOLOGY TRANSPORTATION INC.,3473900666,No,69,FEATHERBED LANE,BRONX,NY,10452,BLACK CAR BASE,40.846629,-73.917362,05/10/2020,18:02:48,"(40.846629, -73.917362)"
B02173,ADMIRE LLP LLC,9086885777,No,2421,IORIO COURT  STE B,UNION,NJ,07083,LUXURY/LIMOUSINE,40.694913,-74.2986,05/10/2020,18:02:48,"(40.694913, -74.2986)"
B02724,PRIME TIME LIMOUSINE INC.,2033483199,No,30,COMMERCE ROAD,STAMFORD,CT,06902,LUXURY/LIMOUSINE,41.046382,-73.56163,05/10/2020,18:02:48,"(41.046382, -73.56163)"
B00837,CAREY LIMO N Y INC,7188981000,No,24-59,47 STREET,ASTORIA,NY,11103,LUXURY/LIMOUSINE,40.740878,-73.942043,05/10/2020,18:02:48,"(40.740878, -73.942043)"
B03226,PAXXIA LUXURY CORP.,9292074747,No,541,KINGSTON AVENUE,BROOKLYN,NY,11225,BLACK CAR BASE,,,05/10/2020,18:02:48,
B01176,SANTO DOMINGO CAR LIMO SERVICES INC,7186995959,No,96-28,ALSTYNE AVENUE,CORONA,NY,11368,LIVERY BASE,40.743032,-73.866445,05/10/2020,18:02:48,"(40.743032, -73.866445)"
B02182,"FINEST CAR SERVICE, LLC",3475878364,Yes,335,BOND STREET,BROOKLYN,NY,11231,LIVERY BASE,40.678782,-73.98998,05/10/2020,18:02:48,"(40.678782, -73.98998)"
B01087,ELITE LIMO PLUS INC,7184722300,No,32-72,GALE AVENUE,LIC,NY,11101,BLACK CAR BASE,40.737893,-73.933857,05/10/2020,18:02:48,"(40.737893, -73.933857)"
B03211,GREENLIGHT TRANSPORTATION SERVICE,7184874256,No,101-20,LIBERTY AVENUE,OZONE PARK,NY,11417,BLACK CAR BASE,,,05/10/2020,18:02:48,
B02709,DASH CAR SERVICE CORP,7182805322,No,983,ALLERTON AVENUE,BRONX,NY,10469,LIVERY BASE,40.853661,-73.84232,05/10/2020,18:02:48,"(40.853661, -73.84232)"
B02912,FIRST CLASS LUXURY INC,2123040452,No,4980,BROADWAY,NEW YORK,NY,10034,BLACK CAR BASE,40.868198,-73.91923,05/10/2020,18:02:48,"(40.868198, -73.91923)"
B80028,CITY EXPRESS CORP,8886468666,No,152-32,ROCKAWAY BLVD  #205,JAMAICA,NY,11434,COMMUTER VAN AUTHORITY BASE,40.671623,-73.785164,05/10/2020,18:02:48,"(40.671623, -73.785164)"
B00296,PRIME TIME TRANS. INC,7184381100,No,41-24,38TH STREET,LIC,NY,11101,BLACK CAR BASE,40.745789,-73.94498,05/10/2020,18:02:48,"(40.745789, -73.94498)"
B02021,EASYRIDE CAR SERVICE INC.,7184445557,No,2982,NOSTRAND AVENUE,BROOKLYN,NY,11229,LIVERY BASE,40.611528,-73.944318,05/10/2020,18:02:48,"(40.611528, -73.944318)"
B03015,TRI-COUNTY BLACK CARS INC,7188460747,No,86-29,102 STREET,RICHMOND HILL,NY,11418,BLACK CAR BASE,,,05/10/2020,18:02:48,
B00271,UTOG 2-WAY RADIO INC,7183617290,No,25-20,39 AVENUE,LONGISLANDCITY,NY,11101,BLACK CAR BASE,40.754227,-73.93631,05/10/2020,18:02:48,"(40.754227, -73.93631)"
B03208,MACOMBS TRANSPORTION CORP.,3479639200,No,695,EAST  132 STREET  SUITE 1C,BRONX,NY,10454,BLACK CAR BASE,,,05/10/2020,18:02:48,
B00202,"EXCELSIOR CAR & LIMO, INC.",7186433900,No,335,BOND STREET,BROOKLYN,NY,11231,BLACK CAR BASE,40.678782,-73.989979,05/10/2020,18:02:48,"(40.678782, -73.989979)"
B03231,BIG 'O' LIMO CORP,3478625252,No,281,EAST KINGSBRIDGE ROAD  2ND FLOOR,BRONX,NY,10458,BLACK CAR BASE,,,05/10/2020,18:02:48,
B02723,CHARLIE BLACK CAR INC.,2016662222,No,162 - 13,46TH AVENUE  SUITE #3A,FLUSHING,NY,11358,BLACK CAR BASE,40.7557,-73.8046,05/10/2020,18:02:48,"(40.7557, -73.8046)"
B02825,GUADALUPANA II CAR & LIMO INC,7186210404,No,6506,20 AVE,BROOKLYN,NY,11204,BLACK CAR BASE,40.616294,-73.98612,05/10/2020,18:02:48,"(40.616294, -73.98612)"
B01527,NEW FAMILY RAD DISP INC,2127497777,No,72,WEST  106 STREET,NEW YORK,NY,10025,LIVERY BASE,40.799069,-73.962505,05/10/2020,18:02:48,"(40.799069, -73.962505)"
B01944,"DAG NETWORK TRANSPORTATION,CORP",2122791700,No,1204,CONEY ISLAND AVENUE,BROOKLYN,NY,11230,LUXURY/LIMOUSINE,40.628184,-73.966085,05/10/2020,18:02:48,"(40.628184, -73.966085)"
B03263,RITZY TRANSPORTATION CORP.,7183134977,No,207,WICKSHIRE DRIVE,EAST MEADOWS,NY,11554,BLACK CAR BASE,,,05/10/2020,18:02:48,
B02871,"ACHT-NY,LLC",6466657268,No,636,WEST   28 STREET,NEW YORK,NY,10001,BLACK CAR BASE,40.75242,-74.00622,05/10/2020,18:02:48,"(40.75242, -74.00622)"
B03213,PRIMARY TRANSPORTATION CORP,7188922020,No,3451,EAST TREMONT AVENUE,BRONX,NY,10465,BLACK CAR BASE,,,05/10/2020,18:02:48,
B01877,U.S.A. LIMO. INC.,7184381100,No,41 - 24,38 STREET,LIC,NY,11101,LUXURY/LIMOUSINE,40.638477,-73.983333,05/10/2020,18:02:48,"(40.638477, -73.983333)"
B00053,CHARGE AND RIDE INC,7183925200,Yes,47-01,VERNON BOULEVARD,L.I.C,NY,11101,BLACK CAR BASE,40.745304,-73.95305,05/10/2020,18:02:48,"(40.745304, -73.95305)"
B01313,JOY CAR SERVICES INC.,7184023333,Yes,2078,CROSS BRONX EXPRESSWAY,BRONX,NY,10472,LIVERY BASE,40.831091,-73.85419,05/10/2020,18:02:48,"(40.831091, -73.85419)"
B90140,VEGA TRANSPORTATION CO INC,7185070500,No,83-03,24 AVENUE  2ND FLOOR,EAST ELMHURSTS,NY,11370,PARATRANSIT BASE,40.765173,-73.885915,05/10/2020,18:02:48,"(40.765173, -73.885915)"
B00337,KEW GARDENS ENTERPRISES INC.,7188466666,No,122-11,HILLSIDE AVENUE,RICHMOND HILL,NY,11418,LIVERY BASE,40.70212,-73.82873,05/10/2020,18:02:48,"(40.70212, -73.82873)"
B03181,EVEREST LUXURY CORP,6469192353,No,7602,21ST AVE,EAST ELMHURST,NY,11370,BLACK CAR BASE,,,05/10/2020,18:02:48,
B90721,GREATER LIVING TRANSPORTATION LLC,7184519700,No,5617,BEVERLEY ROAD,BROOKLYN,NY,11203,PARATRANSIT BASE,40.646949,-73.923343,05/10/2020,18:02:48,"(40.646949, -73.923343)"
B02196,"N & T DOUBLE DIAMOND LIMOUSINES, INC.",7182326565,No,2041-D,HYLAN BOULEVARD,STATEN ISLAND,NY,10306,LUXURY/LIMOUSINE,40.580669,-74.09968,05/10/2020,18:02:48,"(40.580669, -74.09968)"
B03156,EPIC CAR SERVICE INC.,7184013742,No,385,EAST  152 STREET,BRONX,NY,10455,BLACK CAR BASE,,,05/10/2020,18:02:48,
B01432,TOVAR TRANSPORTATION INC,7189728877,No,5511,16 AVENUE,BROOKLYN,NY,11204,LIVERY BASE,40.627342,-73.98909,05/10/2020,18:02:48,"(40.627342, -73.98909)"
B03195,DOMINICAN DREAM TRANSPORTATION INC.,3477440840,No,387,EAST  167 STREET,BRONX,NY,10456,BLACK CAR BASE,,,05/10/2020,18:02:48,
B03217,RRD TRANSPORTATION INC,7182959000,No,1220,MORRIS AVENUE,BRONX,NY,10456,BLACK CAR BASE,,,05/10/2020,18:02:48,
B02569,LAPUMA GO GREEN LLC,2123642000,No,33-24,NORTHERN BOULEVARD  5TH FLOOR,LONG ISLAND CIT,NY,11101,LIVERY BASE,40.751777,-73.930235,05/10/2020,18:02:48,"(40.751777, -73.930235)"
B02437,"EXCELLENT CAR & LIMO SERVICE, INC.",7187317777,No,144,EAST  174 STREET,BRONX,NY,10457,LIVERY BASE,40.844708,-73.909828,05/10/2020,18:02:48,"(40.844708, -73.909828)"
B03180,STATEN ISLAND TRANSPORTATION SERVICES INC.,7186330944,No,4604,7 AVENUE,BROOKLYN,NY,11220,BLACK CAR BASE,,,05/10/2020,18:02:48,
B03033,FLEX EXPRESS CORP.,7186025000,No,1266,MYRTLE AVENUE,BROOKLYN,NY,11221,BLACK CAR BASE,,,05/10/2020,18:02:48,
B00756,T & S HILLSIDE INC.,7186585252,No,169-08,HILLSIDE AVENUE  2ND FLR,JAMAICA,NY,11432,LIVERY BASE,40.711551,-73.79299,05/10/2020,18:02:48,"(40.711551, -73.79299)"
B01233,NEW LACONIA RAD DISP INC,7187982222,No,3934,LACONIA AVENUE,BRONX,NY,10466,LIVERY BASE,40.883201,-73.849761,05/10/2020,18:02:48,"(40.883201, -73.849761)"
B03124,MARR LIMO LLC,3477442474,No,177,WHITE PLAINS RD  77A,TARRYTOWN,NY,10591,LUXURY/LIMOUSINE,,,05/10/2020,18:02:48,
B80012,MONTEGO VAN SERVICE INC.,7184817715,No,258-27,147 AVENUE,ROSEDALE,NY,11422,COMMUTER VAN AUTHORITY BASE,40.657683,-73.729753,05/10/2020,18:02:48,"(40.657683, -73.729753)"
B02590,LUXOR LIMO INC,7189984111,No,100-110,HUNTINGTON STREET,BROOKLYN,NY,11231,LUXURY/LIMOUSINE,40.680577,-74.00932,05/10/2020,18:02:48,"(40.680577, -74.00932)"
B01751,CONCORDE EXP OF N.Y. INC,7186455555,No,1611,EAST   19 STREET,BROOKLYN,NY,11229,LIVERY BASE,40.610532,-73.954634,05/10/2020,18:02:48,"(40.610532, -73.954634)"
B90533,"ALL AROUND TRANS, INC.",7183326033,No,2667,CONEY ISLAND AVENUE  2ND FL,BROOKLYN,NY,11223,PARATRANSIT BASE,40.591779,-73.960354,05/10/2020,18:02:48,"(40.591779, -73.960354)"
B00889,MEXICANA CAR SERVICE INC.,7184468700,No,70-18,35 AVENUE,JACKSON HEIGHTS,NY,11372,LIVERY BASE,40.752792,-73.88013,05/10/2020,18:02:48,"(40.752792, -73.88013)"
B01764,QUICK RIDE CORP.,2122330005,No,88,HESTER STREET,NEW YORK,NY,10002,LIVERY BASE,40.716178,-73.992475,05/10/2020,18:02:48,"(40.716178, -73.992475)"
B90469,MERCY CARE TRANSPORTATION INC.,7182663355,No,2699,RICHMOND TERRACE,STATEN ISLAND,NY,10303,PARATRANSIT BASE,40.637594,-74.150488,05/10/2020,18:02:48,"(40.637594, -74.150488)"
B02617,WEITER LLC,7189715638,No,636,WEST   28 STREET,NY,NY,10001,BLACK CAR BASE,40.75273,-74.00641,05/10/2020,18:02:48,"(40.75273, -74.00641)"
B02148,MAVRIK TRANS INC.,5164884600,No,247-34,JERICHO TURNPIKE,BELLEROSE,NY,11001,LUXURY/LIMOUSINE,40.728467,-73.703462,05/10/2020,18:02:48,"(40.728467, -73.703462)"
B00031,QUEENS VILLAGE INC.,7187768787,No,96-23,SPRINGFIELD BOULEVARD,QUEENS VILLAGE,NY,11429,LIVERY BASE,40.718001,-73.73506,05/10/2020,18:02:48,"(40.718001, -73.73506)"
B01437,MERENGUE LIMO & C/S INC,7186585700,No,135-10,JAMAICA AVENUE,RICHMOND HILL,NY,11418,LIVERY BASE,40.70241,-73.817189,05/10/2020,18:02:48,"(40.70241, -73.817189)"
B80197,GUYMACK EXPRESS INC,9293127483,No,92-20,213 STREET,QUEEN VILLAGE,NY,11428,COMMUTER VAN AUTHORITY BASE,40.720043,-73.747082,05/10/2020,18:02:48,"(40.720043, -73.747082)"
B90034,"NEW YORK CITY AMBULETTE, LLC",7188052500,No,601,BRIGHTON BEACH AVENUE  UNIT #2,BROOKLYN,NY,11235,PARATRANSIT BASE,40.577898,-73.961479,05/10/2020,18:02:48,"(40.577898, -73.961479)"
B03173,ABIAN TRANSPORTATION INC.,7187551266,No,1441,49 E L GRANT HIGHWAY,BRONX,NY,10452,BLACK CAR BASE,,,05/10/2020,18:02:48,
B02987,7 WAYS TRANSPORTATION CORP.,3476416431,No,138,GLEN AVE,MOUNT VERNON,NY,10550,BLACK CAR BASE,,,05/10/2020,18:02:48,
B00429,SURF CAR SYSTEMS INC,7183274444,No,1092,BEACH   22 STREET,FAR ROCKAWAY,NY,11691,LIVERY BASE,40.60493,-73.754284,05/10/2020,18:02:48,"(40.60493, -73.754284)"
B01243,EILAT TRANSPORTATION CORP,7183761122,Yes,1601,VOORHIES AVENUE,BROOKLYN,NY,11235,LIVERY BASE,40.604462,-73.97275,05/10/2020,18:02:48,"(40.604462, -73.97275)"
B01066,DOMINICANA RAD DISP INC,7185071700,No,101-09,NORTHERN BOULEVARD,CORONA,NY,11368,LIVERY BASE,40.757541,-73.867041,05/10/2020,18:02:48,"(40.757541, -73.867041)"
B01308,LIL'D DISPATCH INC.,3472341474,No,6202,NEW UTRECHT AVENUE,BROOKLYN,NY,11219,LIVERY BASE,40.607908,-74.00157,05/10/2020,18:02:48,"(40.607908, -74.00157)"
B02822,MILKY WAY LIMO CORP,7183802398,Yes,75-19,PARSONS BOULEVARD,FRESH MEADOWS,NY,11366,BLACK CAR BASE,40.72595,-73.810672,05/10/2020,18:02:48,"(40.72595, -73.810672)"
B00381,BELL RADIO INC,7184381100,No,41-24,38 STREET,LIC,NY,11101,BLACK CAR BASE,40.638477,-73.983333,05/10/2020,18:02:48,"(40.638477, -73.983333)"
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,2127777777,No,43-23,35 STREET,LIC,NY,11101,LIVERY BASE,40.745471,-73.929332,05/10/2020,18:02:48,"(40.745471, -73.929332)"
B00827,"CASTLE CAR SERVICE, INC",7184999333,No,440,4 AVENUE,BROOKLYN,NY,11215,LIVERY BASE,40.670603,-73.988814,05/10/2020,18:02:48,"(40.670603, -73.988814)"
B02751,RELIANCE GROUP INC,5164391666,No,148-09,LIBERTY AVENUE,JAMAICA,NY,11435,LUXURY/LIMOUSINE,40.728434,-73.78331,05/10/2020,18:02:48,"(40.728434, -73.78331)"
B90522,UNIVERSAL CARRIER INC.,7186464444,No,1805,GRAVESEND NECK ROAD  2ND FLR,BROOKLYN,NY,11229,PARATRANSIT BASE,40.59599,-73.952765,05/10/2020,18:02:48,"(40.59599, -73.952765)"
B03113,MIKE'S VIP TRANSPORTATION INC.,7183933335,No,8652,WOODHAVEN BLVD,WOODHAVEN,NY,11421,BLACK CAR BASE,,,05/10/2020,18:02:48,
B01711,FLUSHING LIMO TRANSP CORP,7183581111,No,36-09,164 STREET,FLUSHING,NY,11358,LIVERY BASE,40.76236,-73.801615,05/10/2020,18:02:48,"(40.76236, -73.801615)"
B02725,KIRIN TRANSPORTATION INC,7185268888,No,136 - 85,ROOSEVELT AVENUE  SUITE #2002,FLUSHING,NY,11354,BLACK CAR BASE,40.755756,-73.836021,05/10/2020,18:02:48,"(40.755756, -73.836021)"
B00459,910 CAR SERVICE INC,7189221500,No,117,JAMAICA AVENUE,BROOKLYN,NY,11207,LIVERY BASE,40.679046,-73.89599,05/10/2020,18:02:48,"(40.679046, -73.89599)"
B90696,CENTURY AMBULANCE SERVICE INC,7182359000,No,87-30,123 STREET,RICHMOND HILL,NY,11418,PARATRANSIT BASE,40.699742,-73.827209,05/10/2020,18:02:48,"(40.699742, -73.827209)"
B02839,YERUSHALAYIM CAR&LIMO INC,7183874900,No,343,ROEBLING STREET,BROOKLYN,NY,11211,LIVERY BASE,40.707303,-73.96101,05/10/2020,18:02:48,"(40.707303, -73.96101)"
B03249,ZEUS LIMO INC,5162898807,No,11,JULIAN ST,HICKSVILLE,NY,11801,LUXURY/LIMOUSINE,,,05/10/2020,18:02:48,
B02971,"ULTRA BLACK CAR TRANSPORTATION, CORP.",7189929162,No,277,EAST  165 STREET,BRONX,NY,10456,BLACK CAR BASE,40.82939,-73.916073,05/10/2020,18:02:48,"(40.82939, -73.916073)"
B02594,FENIX MOBILE DISPATCHERS LTD,7188212900,No,586,SENECA AVE  1,RIDGEWOOD,NY,11385,LIVERY BASE,40.704224,-73.9103,05/10/2020,18:02:48,"(40.704224, -73.9103)"
B03259,LATINO EXECUTIVE INC,7186990700,No,109-20,CORONA AVENUE  1ST FLR,CORONA,NY,11368,BLACK CAR BASE,,,05/10/2020,18:02:48,
B02534,DV LUXURY TRANSPORTATION CORPORATION,7186198970,No,1313,PROSPECT AVENUE,BRONX,NY,10459,BLACK CAR BASE,40.828071,-73.898435,05/10/2020,18:02:48,"(40.828071, -73.898435)"
B02229,NEW FAT INC.,7183283333,No,1804,RANDALL AVENUE,BRONX,NY,10473,LIVERY BASE,40.816803,-73.862557,05/10/2020,18:02:48,"(40.816803, -73.862557)"
B80157,"YOURS 'N MINE TRANSPORTATION SERVICE, INC.",7185275519,No,146-28,GUY R BREWER BOULEVARD,JAMAICA,NY,11434,COMMUTER VAN AUTHORITY BASE,40.662412,-73.768312,05/10/2020,18:02:48,"(40.662412, -73.768312)"
B02356,"XYZ LIMOUSINE, INC.",7184992007,No,275,20 STREET,BROOKLYN,NY,11215,BLACK CAR BASE,40.661323,-73.991415,05/10/2020,18:02:48,"(40.661323, -73.991415)"
B02972,BLESSING TRANSPORTATION GROUP INC,9174737373,No,5030,BROADWAY  SUITE 679,NEW YORK,NY,10034,BLACK CAR BASE,40.830852,-73.881796,05/10/2020,18:02:48,"(40.830852, -73.881796)"
B02797,CJ LIMOUSINE LLC,7187553263,No,1605,JOHN STREET  SUITE 201,FORT LEE,NJ,07024,BLACK CAR BASE,40.854042,-73.979192,05/10/2020,18:02:48,"(40.854042, -73.979192)"
B01341,A NEW DAY RAD DISP INC,2122286666,No,84,CLINTON STREET,NEW YORK,NY,10002,LIVERY BASE,40.718549,-73.98515,05/10/2020,18:02:48,"(40.718549, -73.98515)"
B02252,ASIANA LIMOUSINE INC.,2125710080,No,37-19,MAIN STREET  SUITE 2C,FLUSHING,NY,11354,LUXURY/LIMOUSINE,40.761168,-73.830606,05/10/2020,18:02:48,"(40.761168, -73.830606)"
B02788,TAKE ME 2 INC,6466534575,No,31-00,47 AVENUE  SUITE 3100,LIC,NY,11101,BLACK CAR BASE,40.633484,-74.02124,05/10/2020,18:02:48,"(40.633484, -74.02124)"
B01148,EVELYN CAR SERVICE INC,7182308244,No,587,VANDERBILT AVENUE,BROOKLYN,NY,11238,LIVERY BASE,40.67995,-73.96778,05/10/2020,18:02:48,"(40.67995, -73.96778)"
B01394,KINGSWAY CAR & LIMO SVC INC,6467990663,No,52-29,35 STREET,LIC,NY,11101,LIVERY BASE,40.603784,-73.972558,05/10/2020,18:02:48,"(40.603784, -73.972558)"
B03292,PIBE TRANSPORTATION INC.,3473910707,No,1700,HOLLAND AVE,BRONX,NY,10462,BLACK CAR BASE,,,05/10/2020,18:02:48,
B00419,KOOP DISPATCHING INC.,7187922222,No,3287B,WESTCHESTER AVENUE,BRONX,NY,10461,LIVERY BASE,40.853011,-73.827527,05/10/2020,18:02:48,"(40.853011, -73.827527)"
B01868,LIMO 4 LLC,7183919130,No,36-31,10TH STREET,LIC,NY,11106,LIVERY BASE,40.760313,-73.9412,05/10/2020,18:02:48,"(40.760313, -73.9412)"
B02838,THA MAYA CAR SERVICE INC,9175645451,No,6121,17 AVENUE,BROOKLYN,NY,11204,BLACK CAR BASE,40.622281,-73.99041,05/10/2020,18:02:48,"(40.622281, -73.99041)"
B90712,HANNAH MEDTRANS INC.,9174789757,No,97-11,64 ROAD  LOWER FLOOR,REGO PARK,NY,11374,PARATRANSIT BASE,40.725572,-73.862489,05/10/2020,18:02:48,"(40.725572, -73.862489)"
B03301,ELITE COACH INC.,7184722300,No,32-72,GALE AVE,L.I.C.,NY,11101,LUXURY/LIMOUSINE,,,05/10/2020,18:02:48,
B03225,ALCON EXPRESS INC,3473227735,No,1140,BAY STREET,STATEN ISLAND,NY,10305,BLACK CAR BASE,,,05/10/2020,18:02:48,
