year_month,month_of_release,passenger_type,direction,sex,age,estimate,standard_error,status
2019-04,2019-12,Long-term migrant,Net,Male,25-29 years,-100,28,Provisional
2019-05,2019-12,Long-term migrant,Net,Male,25-29 years,-104,30,Provisional
2019-06,2019-12,Long-term migrant,Net,Male,25-29 years,-39,29,Provisional
2019-07,2019-12,Long-term migrant,Net,Male,25-29 years,243,31,Provisional
2019-08,2019-12,Long-term migrant,Net,Male,25-29 years,224,37,Provisional
2019-09,2019-12,Long-term migrant,Net,Male,25-29 years,334,39,Provisional
2019-10,2019-12,Long-term migrant,Net,Male,25-29 years,373,47,Provisional
2019-11,2019-12,Long-term migrant,Net,Male,25-29 years,334,54,Provisional
2019-12,2019-12,Long-term migrant,Net,Male,25-29 years,-14,77,Provisional
2018-08,2019-12,Long-term migrant,Net,Female,30-34 years,358,0,Final
2018-09,2019-12,Long-term migrant,Net,Female,30-34 years,418,0,Provisional
2018-10,2019-12,Long-term migrant,Net,Female,30-34 years,401,3,Provisional
2018-11,2019-12,Long-term migrant,Net,Female,30-34 years,371,6,Provisional
2018-12,2019-12,Long-term migrant,Net,Female,30-34 years,365,10,Provisional
2019-01,2019-12,Long-term migrant,Net,Female,30-34 years,375,14,Provisional
2019-02,2019-12,Long-term migrant,Net,Female,30-34 years,366,21,Provisional
2019-03,2019-12,Long-term migrant,Net,Female,30-34 years,210,23,Provisional
2019-04,2019-12,Long-term migrant,Net,Female,30-34 years,118,22,Provisional
2019-05,2019-12,Long-term migrant,Net,Female,30-34 years,132,23,Provisional
2019-06,2019-12,Long-term migrant,Net,Female,30-34 years,157,24,Provisional
2019-07,2019-12,Long-term migrant,Net,Female,30-34 years,247,25,Provisional
2019-08,2019-12,Long-term migrant,Net,Female,30-34 years,375,27,Provisional
2019-09,2019-12,Long-term migrant,Net,Female,30-34 years,403,30,Provisional
2019-10,2019-12,Long-term migrant,Net,Female,30-34 years,403,38,Provisional
2019-11,2019-12,Long-term migrant,Net,Female,30-34 years,301,39,Provisional
2019-12,2019-12,Long-term migrant,Net,Female,30-34 years,257,58,Provisional
2018-08,2019-12,Long-term migrant,Net,Male,30-34 years,402,0,Final
2018-09,2019-12,Long-term migrant,Net,Male,30-34 years,461,1,Provisional
2018-10,2019-12,Long-term migrant,Net,Male,30-34 years,508,4,Provisional
2018-11,2019-12,Long-term migrant,Net,Male,30-34 years,432,7,Provisional
2018-12,2019-12,Long-term migrant,Net,Male,30-34 years,253,11,Provisional
2019-01,2019-12,Long-term migrant,Net,Male,30-34 years,231,13,Provisional
2019-02,2019-12,Long-term migrant,Net,Male,30-34 years,497,22,Provisional
2019-03,2019-12,Long-term migrant,Net,Male,30-34 years,277,23,Provisional
2019-04,2019-12,Long-term migrant,Net,Male,30-34 years,39,22,Provisional
2019-05,2019-12,Long-term migrant,Net,Male,30-34 years,181,23,Provisional
2019-06,2019-12,Long-term migrant,Net,Male,30-34 years,219,24,Provisional
2019-07,2019-12,Long-term migrant,Net,Male,30-34 years,306,27,Provisional
2019-08,2019-12,Long-term migrant,Net,Male,30-34 years,386,28,Provisional
2019-09,2019-12,Long-term migrant,Net,Male,30-34 years,428,32,Provisional
2019-10,2019-12,Long-term migrant,Net,Male,30-34 years,488,41,Provisional
2019-11,2019-12,Long-term migrant,Net,Male,30-34 years,422,40,Provisional
2019-12,2019-12,Long-term migrant,Net,Male,30-34 years,231,61,Provisional
2018-08,2019-12,Long-term migrant,Net,Female,35-39 years,233,0,Final
2018-09,2019-12,Long-term migrant,Net,Female,35-39 years,317,0,Provisional
2018-10,2019-12,Long-term migrant,Net,Female,35-39 years,297,2,Provisional
2018-11,2019-12,Long-term migrant,Net,Female,35-39 years,289,4,Provisional
2018-12,2019-12,Long-term migrant,Net,Female,35-39 years,270,7,Provisional
2019-01,2019-12,Long-term migrant,Net,Female,35-39 years,310,10,Provisional
2019-02,2019-12,Long-term migrant,Net,Female,35-39 years,296,15,Provisional
2019-03,2019-12,Long-term migrant,Net,Female,35-39 years,168,15,Provisional
2019-04,2019-12,Long-term migrant,Net,Female,35-39 years,124,18,Provisional
2019-05,2019-12,Long-term migrant,Net,Female,35-39 years,106,18,Provisional
2019-06,2019-12,Long-term migrant,Net,Female,35-39 years,180,18,Provisional
2019-07,2019-12,Long-term migrant,Net,Female,35-39 years,252,22,Provisional
2019-08,2019-12,Long-term migrant,Net,Female,35-39 years,252,22,Provisional
2019-09,2019-12,Long-term migrant,Net,Female,35-39 years,211,23,Provisional
2019-10,2019-12,Long-term migrant,Net,Female,35-39 years,254,26,Provisional
2019-11,2019-12,Long-term migrant,Net,Female,35-39 years,167,30,Provisional
2019-12,2019-12,Long-term migrant,Net,Female,35-39 years,107,54,Provisional
2018-08,2019-12,Long-term migrant,Net,Male,35-39 years,411,0,Final
2018-09,2019-12,Long-term migrant,Net,Male,35-39 years,332,0,Provisional
2018-10,2019-12,Long-term migrant,Net,Male,35-39 years,350,4,Provisional
2018-11,2019-12,Long-term migrant,Net,Male,35-39 years,340,6,Provisional
2018-12,2019-12,Long-term migrant,Net,Male,35-39 years,212,10,Provisional
2019-01,2019-12,Long-term migrant,Net,Male,35-39 years,410,12,Provisional
2019-02,2019-12,Long-term migrant,Net,Male,35-39 years,456,19,Provisional
2019-03,2019-12,Long-term migrant,Net,Male,35-39 years,296,20,Provisional
2019-04,2019-12,Long-term migrant,Net,Male,35-39 years,149,19,Provisional
2019-05,2019-12,Long-term migrant,Net,Male,35-39 years,250,19,Provisional
2019-06,2019-12,Long-term migrant,Net,Male,35-39 years,234,20,Provisional
2019-07,2019-12,Long-term migrant,Net,Male,35-39 years,277,22,Provisional
2019-08,2019-12,Long-term migrant,Net,Male,35-39 years,389,24,Provisional
2019-09,2019-12,Long-term migrant,Net,Male,35-39 years,370,26,Provisional
2019-10,2019-12,Long-term migrant,Net,Male,35-39 years,382,31,Provisional
2019-11,2019-12,Long-term migrant,Net,Male,35-39 years,324,33,Provisional
2019-12,2019-12,Long-term migrant,Net,Male,35-39 years,155,56,Provisional
2018-08,2019-12,Long-term migrant,Net,Female,40-44 years,147,0,Final
2018-09,2019-12,Long-term migrant,Net,Female,40-44 years,146,0,Provisional
2018-10,2019-12,Long-term migrant,Net,Female,40-44 years,152,2,Provisional
2018-11,2019-12,Long-term migrant,Net,Female,40-44 years,157,4,Provisional
2018-12,2019-12,Long-term migrant,Net,Female,40-44 years,141,6,Provisional
2019-01,2019-12,Long-term migrant,Net,Female,40-44 years,265,10,Provisional
2019-02,2019-12,Long-term migrant,Net,Female,40-44 years,149,12,Provisional
2019-03,2019-12,Long-term migrant,Net,Female,40-44 years,100,12,Provisional
2019-04,2019-12,Long-term migrant,Net,Female,40-44 years,49,13,Provisional
2019-05,2019-12,Long-term migrant,Net,Female,40-44 years,99,13,Provisional
2019-06,2019-12,Long-term migrant,Net,Female,40-44 years,92,13,Provisional
2019-07,2019-12,Long-term migrant,Net,Female,40-44 years,160,18,Provisional
2019-08,2019-12,Long-term migrant,Net,Female,40-44 years,138,17,Provisional
2019-09,2019-12,Long-term migrant,Net,Female,40-44 years,138,18,Provisional
2019-10,2019-12,Long-term migrant,Net,Female,40-44 years,148,21,Provisional
2019-11,2019-12,Long-term migrant,Net,Female,40-44 years,95,24,Provisional
2019-12,2019-12,Long-term migrant,Net,Female,40-44 years,15,39,Provisional
2018-08,2019-12,Long-term migrant,Net,Male,40-44 years,304,0,Final
2018-09,2019-12,Long-term migrant,Net,Male,40-44 years,310,0,Provisional
2018-10,2019-12,Long-term migrant,Net,Male,40-44 years,261,3,Provisional
2018-11,2019-12,Long-term migrant,Net,Male,40-44 years,253,5,Provisional
2018-12,2019-12,Long-term migrant,Net,Male,40-44 years,153,8,Provisional
2019-01,2019-12,Long-term migrant,Net,Male,40-44 years,260,11,Provisional
2019-02,2019-12,Long-term migrant,Net,Male,40-44 years,297,15,Provisional
2019-03,2019-12,Long-term migrant,Net,Male,40-44 years,149,15,Provisional
2019-04,2019-12,Long-term migrant,Net,Male,40-44 years,101,16,Provisional
2019-05,2019-12,Long-term migrant,Net,Male,40-44 years,185,16,Provisional
2019-06,2019-12,Long-term migrant,Net,Male,40-44 years,225,17,Provisional
2019-07,2019-12,Long-term migrant,Net,Male,40-44 years,197,19,Provisional
2019-08,2019-12,Long-term migrant,Net,Male,40-44 years,285,19,Provisional
2019-09,2019-12,Long-term migrant,Net,Male,40-44 years,240,23,Provisional
2019-10,2019-12,Long-term migrant,Net,Male,40-44 years,260,27,Provisional
2019-11,2019-12,Long-term migrant,Net,Male,40-44 years,274,28,Provisional
2019-12,2019-12,Long-term migrant,Net,Male,40-44 years,105,39,Provisional
2018-08,2019-12,Long-term migrant,Net,Female,45-49 years,38,0,Final
2018-09,2019-12,Long-term migrant,Net,Female,45-49 years,77,0,Provisional
2018-10,2019-12,Long-term migrant,Net,Female,45-49 years,54,2,Provisional
2018-11,2019-12,Long-term migrant,Net,Female,45-49 years,35,4,Provisional
2018-12,2019-12,Long-term migrant,Net,Female,45-49 years,67,7,Provisional
2019-01,2019-12,Long-term migrant,Net,Female,45-49 years,144,8,Provisional
2019-02,2019-12,Long-term migrant,Net,Female,45-49 years,77,10,Provisional
2019-03,2019-12,Long-term migrant,Net,Female,45-49 years,27,12,Provisional
2019-04,2019-12,Long-term migrant,Net,Female,45-49 years,38,13,Provisional
2019-05,2019-12,Long-term migrant,Net,Female,45-49 years,40,12,Provisional
2019-06,2019-12,Long-term migrant,Net,Female,45-49 years,46,13,Provisional
2019-07,2019-12,Long-term migrant,Net,Female,45-49 years,49,15,Provisional
2019-08,2019-12,Long-term migrant,Net,Female,45-49 years,94,14,Provisional
2019-09,2019-12,Long-term migrant,Net,Female,45-49 years,92,18,Provisional
2019-10,2019-12,Long-term migrant,Net,Female,45-49 years,87,19,Provisional
2019-11,2019-12,Long-term migrant,Net,Female,45-49 years,46,22,Provisional
2019-12,2019-12,Long-term migrant,Net,Female,45-49 years,21,44,Provisional
2018-08,2019-12,Long-term migrant,Net,Male,45-49 years,126,0,Final
2018-09,2019-12,Long-term migrant,Net,Male,45-49 years,209,0,Provisional
2018-10,2019-12,Long-term migrant,Net,Male,45-49 years,140,4,Provisional
2018-11,2019-12,Long-term migrant,Net,Male,45-49 years,134,5,Provisional
2018-12,2019-12,Long-term migrant,Net,Male,45-49 years,116,7,Provisional
2019-01,2019-12,Long-term migrant,Net,Male,45-49 years,193,9,Provisional
2019-02,2019-12,Long-term migrant,Net,Male,45-49 years,142,11,Provisional
2019-03,2019-12,Long-term migrant,Net,Male,45-49 years,120,15,Provisional
2019-04,2019-12,Long-term migrant,Net,Male,45-49 years,82,14,Provisional
2019-05,2019-12,Long-term migrant,Net,Male,45-49 years,97,14,Provisional
2019-06,2019-12,Long-term migrant,Net,Male,45-49 years,83,16,Provisional
2019-07,2019-12,Long-term migrant,Net,Male,45-49 years,90,17,Provisional
2019-08,2019-12,Long-term migrant,Net,Male,45-49 years,158,19,Provisional
2019-09,2019-12,Long-term migrant,Net,Male,45-49 years,161,22,Provisional
2019-10,2019-12,Long-term migrant,Net,Male,45-49 years,164,25,Provisional
2019-11,2019-12,Long-term migrant,Net,Male,45-49 years,149,25,Provisional
2019-12,2019-12,Long-term migrant,Net,Male,45-49 years,82,43,Provisional
2018-08,2019-12,Long-term migrant,Net,Female,5-9 years,186,0,Final
2018-09,2019-12,Long-term migrant,Net,Female,5-9 years,132,0,Provisional
2018-10,2019-12,Long-term migrant,Net,Female,5-9 years,122,1,Provisional
2018-11,2019-12,Long-term migrant,Net,Female,5-9 years,137,2,Provisional
2018-12,2019-12,Long-term migrant,Net,Female,5-9 years,242,5,Provisional
2019-01,2019-12,Long-term migrant,Net,Female,5-9 years,277,10,Provisional
2019-02,2019-12,Long-term migrant,Net,Female,5-9 years,172,8,Provisional
2019-03,2019-12,Long-term migrant,Net,Female,5-9 years,107,9,Provisional
2019-04,2019-12,Long-term migrant,Net,Female,5-9 years,83,12,Provisional
2019-05,2019-12,Long-term migrant,Net,Female,5-9 years,134,10,Provisional
2019-06,2019-12,Long-term migrant,Net,Female,5-9 years,136,12,Provisional
2019-07,2019-12,Long-term migrant,Net,Female,5-9 years,207,16,Provisional
2019-08,2019-12,Long-term migrant,Net,Female,5-9 years,208,15,Provisional
2019-09,2019-12,Long-term migrant,Net,Female,5-9 years,162,18,Provisional
2019-10,2019-12,Long-term migrant,Net,Female,5-9 years,147,23,Provisional
2019-11,2019-12,Long-term migrant,Net,Female,5-9 years,78,21,Provisional
2019-12,2019-12,Long-term migrant,Net,Female,5-9 years,5,48,Provisional
2018-08,2019-12,Long-term migrant,Net,Male,5-9 years,178,0,Final
2018-09,2019-12,Long-term migrant,Net,Male,5-9 years,210,0,Provisional
2018-10,2019-12,Long-term migrant,Net,Male,5-9 years,148,1,Provisional
2018-11,2019-12,Long-term migrant,Net,Male,5-9 years,187,2,Provisional
2018-12,2019-12,Long-term migrant,Net,Male,5-9 years,212,4,Provisional
2019-01,2019-12,Long-term migrant,Net,Male,5-9 years,278,9,Provisional
2019-02,2019-12,Long-term migrant,Net,Male,5-9 years,172,7,Provisional
2019-03,2019-12,Long-term migrant,Net,Male,5-9 years,92,8,Provisional
2019-04,2019-12,Long-term migrant,Net,Male,5-9 years,106,11,Provisional
2019-05,2019-12,Long-term migrant,Net,Male,5-9 years,102,10,Provisional
2019-06,2019-12,Long-term migrant,Net,Male,5-9 years,101,11,Provisional
2019-07,2019-12,Long-term migrant,Net,Male,5-9 years,181,15,Provisional
2019-08,2019-12,Long-term migrant,Net,Male,5-9 years,202,14,Provisional
2019-09,2019-12,Long-term migrant,Net,Male,5-9 years,151,17,Provisional
2019-10,2019-12,Long-term migrant,Net,Male,5-9 years,184,23,Provisional
2019-11,2019-12,Long-term migrant,Net,Male,5-9 years,79,26,Provisional
2019-12,2019-12,Long-term migrant,Net,Male,5-9 years,21,50,Provisional
2018-08,2019-12,Long-term migrant,Net,Female,50-54 years,5,0,Final
2018-09,2019-12,Long-term migrant,Net,Female,50-54 years,20,0,Provisional
2018-10,2019-12,Long-term migrant,Net,Female,50-54 years,45,2,Provisional
2018-11,2019-12,Long-term migrant,Net,Female,50-54 years,49,4,Provisional
2018-12,2019-12,Long-term migrant,Net,Female,50-54 years,21,6,Provisional
2019-01,2019-12,Long-term migrant,Net,Female,50-54 years,63,7,Provisional
2019-02,2019-12,Long-term migrant,Net,Female,50-54 years,48,10,Provisional
2019-03,2019-12,Long-term migrant,Net,Female,50-54 years,23,11,Provisional
2019-04,2019-12,Long-term migrant,Net,Female,50-54 years,-23,13,Provisional
2019-05,2019-12,Long-term migrant,Net,Female,50-54 years,13,13,Provisional
2019-06,2019-12,Long-term migrant,Net,Female,50-54 years,11,13,Provisional
2019-07,2019-12,Long-term migrant,Net,Female,50-54 years,26,14,Provisional
2019-08,2019-12,Long-term migrant,Net,Female,50-54 years,53,15,Provisional
2019-09,2019-12,Long-term migrant,Net,Female,50-54 years,64,17,Provisional
2019-10,2019-12,Long-term migrant,Net,Female,50-54 years,57,20,Provisional
2019-11,2019-12,Long-term migrant,Net,Female,50-54 years,56,23,Provisional
2019-12,2019-12,Long-term migrant,Net,Female,50-54 years,62,37,Provisional
2018-08,2019-12,Long-term migrant,Net,Male,50-54 years,61,0,Final
2018-09,2019-12,Long-term migrant,Net,Male,50-54 years,43,0,Provisional
2018-10,2019-12,Long-term migrant,Net,Male,50-54 years,69,2,Provisional
2018-11,2019-12,Long-term migrant,Net,Male,50-54 years,71,5,Provisional
2018-12,2019-12,Long-term migrant,Net,Male,50-54 years,38,7,Provisional
2019-01,2019-12,Long-term migrant,Net,Male,50-54 years,49,8,Provisional
2019-02,2019-12,Long-term migrant,Net,Male,50-54 years,51,9,Provisional
2019-03,2019-12,Long-term migrant,Net,Male,50-54 years,34,11,Provisional
2019-04,2019-12,Long-term migrant,Net,Male,50-54 years,-13,13,Provisional
2019-05,2019-12,Long-term migrant,Net,Male,50-54 years,18,12,Provisional
2019-06,2019-12,Long-term migrant,Net,Male,50-54 years,23,13,Provisional
2019-07,2019-12,Long-term migrant,Net,Male,50-54 years,25,14,Provisional
2019-08,2019-12,Long-term migrant,Net,Male,50-54 years,51,16,Provisional
2019-09,2019-12,Long-term migrant,Net,Male,50-54 years,60,18,Provisional
2019-10,2019-12,Long-term migrant,Net,Male,50-54 years,78,22,Provisional
2019-11,2019-12,Long-term migrant,Net,Male,50-54 years,103,23,Provisional
2019-12,2019-12,Long-term migrant,Net,Male,50-54 years,76,35,Provisional
2018-08,2019-12,Long-term migrant,Net,Female,55-59 years,55,0,Final
2018-09,2019-12,Long-term migrant,Net,Female,55-59 years,38,0,Provisional
2018-10,2019-12,Long-term migrant,Net,Female,55-59 years,55,2,Provisional
2018-11,2019-12,Long-term migrant,Net,Female,55-59 years,53,4,Provisional
2018-12,2019-12,Long-term migrant,Net,Female,55-59 years,86,6,Provisional
2019-01,2019-12,Long-term migrant,Net,Female,55-59 years,40,8,Provisional
2019-02,2019-12,Long-term migrant,Net,Female,55-59 years,32,9,Provisional
2019-03,2019-12,Long-term migrant,Net,Female,55-59 years,33,12,Provisional
2019-04,2019-12,Long-term migrant,Net,Female,55-59 years,-7,12,Provisional
2019-05,2019-12,Long-term migrant,Net,Female,55-59 years,2,14,Provisional
2019-06,2019-12,Long-term migrant,Net,Female,55-59 years,24,15,Provisional
2019-07,2019-12,Long-term migrant,Net,Female,55-59 years,42,14,Provisional
2019-08,2019-12,Long-term migrant,Net,Female,55-59 years,54,15,Provisional
2019-09,2019-12,Long-term migrant,Net,Female,55-59 years,75,18,Provisional
2019-10,2019-12,Long-term migrant,Net,Female,55-59 years,72,21,Provisional
2019-11,2019-12,Long-term migrant,Net,Female,55-59 years,85,24,Provisional
2019-12,2019-12,Long-term migrant,Net,Female,55-59 years,111,49,Provisional
2018-08,2019-12,Long-term migrant,Net,Male,55-59 years,60,0,Final
2018-09,2019-12,Long-term migrant,Net,Male,55-59 years,38,0,Provisional
2018-10,2019-12,Long-term migrant,Net,Male,55-59 years,60,3,Provisional
2018-11,2019-12,Long-term migrant,Net,Male,55-59 years,67,4,Provisional
2018-12,2019-12,Long-term migrant,Net,Male,55-59 years,60,7,Provisional
2019-01,2019-12,Long-term migrant,Net,Male,55-59 years,34,8,Provisional
2019-02,2019-12,Long-term migrant,Net,Male,55-59 years,35,9,Provisional
2019-03,2019-12,Long-term migrant,Net,Male,55-59 years,3,11,Provisional
2019-04,2019-12,Long-term migrant,Net,Male,55-59 years,-26,11,Provisional
2019-05,2019-12,Long-term migrant,Net,Male,55-59 years,-3,12,Provisional
2019-06,2019-12,Long-term migrant,Net,Male,55-59 years,7,13,Provisional
2019-07,2019-12,Long-term migrant,Net,Male,55-59 years,14,13,Provisional
2019-08,2019-12,Long-term migrant,Net,Male,55-59 years,32,14,Provisional
2019-09,2019-12,Long-term migrant,Net,Male,55-59 years,53,16,Provisional
2019-10,2019-12,Long-term migrant,Net,Male,55-59 years,59,22,Provisional
2019-11,2019-12,Long-term migrant,Net,Male,55-59 years,93,24,Provisional
2019-12,2019-12,Long-term migrant,Net,Male,55-59 years,109,50,Provisional
2018-08,2019-12,Long-term migrant,Net,Female,60-64 years,52,0,Final
2018-09,2019-12,Long-term migrant,Net,Female,60-64 years,85,0,Provisional
2018-10,2019-12,Long-term migrant,Net,Female,60-64 years,92,2,Provisional
2018-11,2019-12,Long-term migrant,Net,Female,60-64 years,80,4,Provisional
2018-12,2019-12,Long-term migrant,Net,Female,60-64 years,71,7,Provisional
2019-01,2019-12,Long-term migrant,Net,Female,60-64 years,55,7,Provisional
2019-02,2019-12,Long-term migrant,Net,Female,60-64 years,27,8,Provisional
2019-03,2019-12,Long-term migrant,Net,Female,60-64 years,38,11,Provisional
2019-04,2019-12,Long-term migrant,Net,Female,60-64 years,6,12,Provisional
2019-05,2019-12,Long-term migrant,Net,Female,60-64 years,32,13,Provisional
2019-06,2019-12,Long-term migrant,Net,Female,60-64 years,62,13,Provisional
2019-07,2019-12,Long-term migrant,Net,Female,60-64 years,32,15,Provisional
2019-08,2019-12,Long-term migrant,Net,Female,60-64 years,55,15,Provisional
2019-09,2019-12,Long-term migrant,Net,Female,60-64 years,73,18,Provisional
2019-10,2019-12,Long-term migrant,Net,Female,60-64 years,75,21,Provisional
2019-11,2019-12,Long-term migrant,Net,Female,60-64 years,120,23,Provisional
2019-12,2019-12,Long-term migrant,Net,Female,60-64 years,123,44,Provisional
2018-08,2019-12,Long-term migrant,Net,Male,60-64 years,36,0,Final
2018-09,2019-12,Long-term migrant,Net,Male,60-64 years,91,0,Provisional
2018-10,2019-12,Long-term migrant,Net,Male,60-64 years,86,2,Provisional
2018-11,2019-12,Long-term migrant,Net,Male,60-64 years,89,4,Provisional
2018-12,2019-12,Long-term migrant,Net,Male,60-64 years,114,6,Provisional
2019-01,2019-12,Long-term migrant,Net,Male,60-64 years,51,7,Provisional
2019-02,2019-12,Long-term migrant,Net,Male,60-64 years,55,9,Provisional
2019-03,2019-12,Long-term migrant,Net,Male,60-64 years,20,11,Provisional
2019-04,2019-12,Long-term migrant,Net,Male,60-64 years,11,10,Provisional
2019-05,2019-12,Long-term migrant,Net,Male,60-64 years,11,12,Provisional
2019-06,2019-12,Long-term migrant,Net,Male,60-64 years,51,12,Provisional
2019-07,2019-12,Long-term migrant,Net,Male,60-64 years,24,13,Provisional
2019-08,2019-12,Long-term migrant,Net,Male,60-64 years,61,14,Provisional
2019-09,2019-12,Long-term migrant,Net,Male,60-64 years,66,16,Provisional
2019-10,2019-12,Long-term migrant,Net,Male,60-64 years,86,21,Provisional
2019-11,2019-12,Long-term migrant,Net,Male,60-64 years,115,22,Provisional
2019-12,2019-12,Long-term migrant,Net,Male,60-64 years,131,54,Provisional
2018-08,2019-12,Long-term migrant,Net,Female,65-69 years,17,0,Final
2018-09,2019-12,Long-term migrant,Net,Female,65-69 years,29,0,Provisional
2018-10,2019-12,Long-term migrant,Net,Female,65-69 years,24,2,Provisional
2018-11,2019-12,Long-term migrant,Net,Female,65-69 years,54,3,Provisional
2018-12,2019-12,Long-term migrant,Net,Female,65-69 years,46,4,Provisional
2019-01,2019-12,Long-term migrant,Net,Female,65-69 years,24,6,Provisional
2019-02,2019-12,Long-term migrant,Net,Female,65-69 years,18,7,Provisional
2019-03,2019-12,Long-term migrant,Net,Female,65-69 years,10,11,Provisional
2019-04,2019-12,Long-term migrant,Net,Female,65-69 years,12,10,Provisional
2019-05,2019-12,Long-term migrant,Net,Female,65-69 years,10,10,Provisional
2019-06,2019-12,Long-term migrant,Net,Female,65-69 years,14,11,Provisional
2019-07,2019-12,Long-term migrant,Net,Female,65-69 years,1,12,Provisional
2019-08,2019-12,Long-term migrant,Net,Female,65-69 years,30,11,Provisional
2019-09,2019-12,Long-term migrant,Net,Female,65-69 years,49,17,Provisional
2019-10,2019-12,Long-term migrant,Net,Female,65-69 years,50,22,Provisional
2019-11,2019-12,Long-term migrant,Net,Female,65-69 years,83,22,Provisional
2019-12,2019-12,Long-term migrant,Net,Female,65-69 years,92,53,Provisional
2018-08,2019-12,Long-term migrant,Net,Male,65-69 years,36,0,Final
2018-09,2019-12,Long-term migrant,Net,Male,65-69 years,35,1,Provisional
2018-10,2019-12,Long-term migrant,Net,Male,65-69 years,59,2,Provisional
2018-11,2019-12,Long-term migrant,Net,Male,65-69 years,58,3,Provisional
2018-12,2019-12,Long-term migrant,Net,Male,65-69 years,41,5,Provisional
2019-01,2019-12,Long-term migrant,Net,Male,65-69 years,24,6,Provisional
2019-02,2019-12,Long-term migrant,Net,Male,65-69 years,16,7,Provisional
2019-03,2019-12,Long-term migrant,Net,Male,65-69 years,16,10,Provisional
2019-04,2019-12,Long-term migrant,Net,Male,65-69 years,2,10,Provisional
2019-05,2019-12,Long-term migrant,Net,Male,65-69 years,16,11,Provisional
2019-06,2019-12,Long-term migrant,Net,Male,65-69 years,16,11,Provisional
2019-07,2019-12,Long-term migrant,Net,Male,65-69 years,16,12,Provisional
2019-08,2019-12,Long-term migrant,Net,Male,65-69 years,47,12,Provisional
2019-09,2019-12,Long-term migrant,Net,Male,65-69 years,48,17,Provisional
2019-10,2019-12,Long-term migrant,Net,Male,65-69 years,61,22,Provisional
2019-11,2019-12,Long-term migrant,Net,Male,65-69 years,94,23,Provisional
2019-12,2019-12,Long-term migrant,Net,Male,65-69 years,103,54,Provisional
2018-08,2019-12,Long-term migrant,Net,Female,70-74 years,21,0,Final
2018-09,2019-12,Long-term migrant,Net,Female,70-74 years,11,0,Provisional
2018-10,2019-12,Long-term migrant,Net,Female,70-74 years,18,1,Provisional
2018-11,2019-12,Long-term migrant,Net,Female,70-74 years,9,3,Provisional
2018-12,2019-12,Long-term migrant,Net,Female,70-74 years,26,3,Provisional
2019-01,2019-12,Long-term migrant,Net,Female,70-74 years,-3,4,Provisional
2019-02,2019-12,Long-term migrant,Net,Female,70-74 years,3,5,Provisional
2019-03,2019-12,Long-term migrant,Net,Female,70-74 years,-11,6,Provisional
2019-04,2019-12,Long-term migrant,Net,Female,70-74 years,-8,7,Provisional
2019-05,2019-12,Long-term migrant,Net,Female,70-74 years,-12,7,Provisional
2019-06,2019-12,Long-term migrant,Net,Female,70-74 years,0,7,Provisional
2019-07,2019-12,Long-term migrant,Net,Female,70-74 years,-1,8,Provisional
2019-08,2019-12,Long-term migrant,Net,Female,70-74 years,11,8,Provisional
2019-09,2019-12,Long-term migrant,Net,Female,70-74 years,20,13,Provisional
2019-10,2019-12,Long-term migrant,Net,Female,70-74 years,21,23,Provisional
2019-11,2019-12,Long-term migrant,Net,Female,70-74 years,44,16,Provisional
2019-12,2019-12,Long-term migrant,Net,Female,70-74 years,51,47,Provisional
2018-08,2019-12,Long-term migrant,Net,Male,70-74 years,16,0,Final
2018-09,2019-12,Long-term migrant,Net,Male,70-74 years,12,0,Provisional
2018-10,2019-12,Long-term migrant,Net,Male,70-74 years,28,1,Provisional
2018-11,2019-12,Long-term migrant,Net,Male,70-74 years,36,2,Provisional
2018-12,2019-12,Long-term migrant,Net,Male,70-74 years,26,3,Provisional
2019-01,2019-12,Long-term migrant,Net,Male,70-74 years,10,4,Provisional
2019-02,2019-12,Long-term migrant,Net,Male,70-74 years,7,6,Provisional
2019-03,2019-12,Long-term migrant,Net,Male,70-74 years,-7,8,Provisional
2019-04,2019-12,Long-term migrant,Net,Male,70-74 years,-11,6,Provisional
2019-05,2019-12,Long-term migrant,Net,Male,70-74 years,-4,8,Provisional
2019-06,2019-12,Long-term migrant,Net,Male,70-74 years,9,7,Provisional
2019-07,2019-12,Long-term migrant,Net,Male,70-74 years,-2,8,Provisional
2019-08,2019-12,Long-term migrant,Net,Male,70-74 years,22,8,Provisional
2019-09,2019-12,Long-term migrant,Net,Male,70-74 years,24,12,Provisional
2019-10,2019-12,Long-term migrant,Net,Male,70-74 years,40,26,Provisional
2019-11,2019-12,Long-term migrant,Net,Male,70-74 years,60,16,Provisional
2019-12,2019-12,Long-term migrant,Net,Male,70-74 years,65,43,Provisional
2018-08,2019-12,Long-term migrant,Net,Female,75-79 years,2,0,Final
2018-09,2019-12,Long-term migrant,Net,Female,75-79 years,10,0,Provisional
2018-10,2019-12,Long-term migrant,Net,Female,75-79 years,-11,1,Provisional
2018-11,2019-12,Long-term migrant,Net,Female,75-79 years,5,1,Provisional
2018-12,2019-12,Long-term migrant,Net,Female,75-79 years,2,2,Provisional
2019-01,2019-12,Long-term migrant,Net,Female,75-79 years,4,2,Provisional
2019-02,2019-12,Long-term migrant,Net,Female,75-79 years,1,4,Provisional
2019-03,2019-12,Long-term migrant,Net,Female,75-79 years,0,5,Provisional
2019-04,2019-12,Long-term migrant,Net,Female,75-79 years,-12,4,Provisional
