Posting Date,Contract Number,Department,Description,Contract Amount,Recommended Vendor,MBE/WBE/DBE Participation,MBE/WBE/DBE type,Direct Participation,Indirect Participation
06/27/2017,1730-16543,1300.JUDICIARY,"Lunch, dinner meals & additional beverage service at the Maywood Courthouse",7829.75,"Twomaytoz, Inc.",N/A,"No Goal Set - Contract < $25,000",,
09/18/2017,1745-16575,1200.DEPT. OF FACILITIES/MGMT,Motorola Batteries,3760.50,"Chicago United Industries, Ltd.",,"No Goal Set - Contract < $25,000",,
08/28/2017,1728-16652,1500.COUNTY HIGHWAY DEPARTMENT,Salt Dome Conveyor System Inspection Maintanence and Repair,90000.00,"Sargents Equipment Repair Services, Inc.",N/A,,,
06/28/2017,1730-16540,1310.OFFICE OF THE CHIEF JUDGE,Breakfast and additional beverage service at the Maywood Courthouse,2118.40,"Twomaytoz, Inc.",N/A,"No Goal Set - Contract < $25,000",,
08/21/2017,1712-16369,1210.OFFICE OF THE SHERIFF,Pick up and Transport of Deceased Persons,90000.00,"Allied Services Group, Inc.","Allied Services Group, Inc.",MBE-6,95,
09/22/2017,1735-16482,1259.MEDICAL EXAMINER,Ergometrics Microscopes,21000.00,"Visual Dynamix, LLC",,"No Goal Set - Contract < $25,000",,
06/27/2017,1618-15810,1440.JUVENILE TEMPORARY DETENT.CNTR,Stainless steel 2/3 Steam Jacketed Cooker/Mixer,59917.32,"Douglas Food Stores, Inc.",N/A,0% Goal,,
08/16/2017,1745-16521,1200.DEPT. OF FACILITIES/MGMT,Batteries and Battery Chargers,82869.05,J. P. Simmons and Company,,N/A,,
10/18/2017,1768-16823,1259.MEDICAL EXAMINER,X-Ray System and Sensors,23899.00,"Henry Schein, Inc.",,"No Goal Set - Contract < $25,000",,
10/25/2017,1723-16664,1500.COUNTY HIGHWAY DEPARTMENT,Bituminous Materials (Hot Patch) and Prime Coat Materials for South Area 2,140000.00,Markham Asphalt Company,N/A,,,
10/25/2017,1723-16681,1500.COUNTY HIGHWAY DEPARTMENT,Bituminous Materials (Hot Patch) and Prime Coat Materials for South Area 1,140000.00,K-Five Hodgkins LLC,N/A,,,
10/13/2017,1712-16460,1210.OFFICE OF THE SHERIFF,Employee Drug Testing Services,49050.00,"Phamatech, Inc.",N/A,N/A,,
09/06/2017,1745-16531,,,,,"Taylor Business Equipment, LLC",WBE-7,,10
09/06/2017,1745-16531,1200.DEPT. OF FACILITIES/MGMT,Goodway Products,45000.00,"Atlas and Associates, Inc.","Atlas and Associates, Inc.",MBE-6,100,
09/06/2017,1735-16533,1259.MEDICAL EXAMINER,Self-Contained Breathing Apparatus (SCBA) Hazmat Suits and Accessories,17669.00,"Air One Equipment, Inc.",,"No Goal Set - Contract < $25,000",,
11/08/2017,1755-16873,1500.COUNTY HIGHWAY DEPARTMENT,Heavy Duty Tire Changer,17584.50,"Chicago United Industries, Ltd.",N/A,,,
11/09/2017,1735-16788,1524.COUNTY CLERK ELECTION DIV.FUND,Customized Round Stickers,10410.67,"J.J. Coolins Sons, Inc.",N/A,,,
11/14/2017,1735-16235A,1259.MEDICAL EXAMINER,Forensic Anthoropology Consultation Services,40000.00,Erin Waxenbaum Dennison,N/A,,,
11/14/2017,1735-16235B,1259.MEDICAL EXAMINER,Forensic Anthoropology Consultation Services,40000.00,"ALG Consulting, Inc.",N/A,,,
11/14/2017,1735-16343,1110.COUNTY CLERK,Plastic Padlock Security Seals,42900.00,"Election Works, Inc.",N/A,,,
11/15/2017,1728-16890,1500.COUNTY HIGHWAY DEPARTMENT,Hot Water Pressure Washers Replacement,9600.00,"Hotsy of Chicago d/b/a High PSI, Ltd",,,,
11/16/2017,1768-16752,1110.COUNTY CLERK,Ballot Managment Services,40950.00,Gary Rycyzyn Consulting,17.5% Combined,N/A,0,0
11/17/2017,1735-16640,1259.MEDICAL EXAMINER,Cryostat,27231.00,Fisher Scientific,N/A,,,
11/16/2017,1718-16372,1305.PUBLIC GUARDIAN,Leasing of Postage Machines and Meters,17996.16,"Neopost USA, Inc.",,,,
11/28/2017,1718-15805,1009.ENTERPRISE TECHNOLOGY,UPS Replacement Batteries,52601.39,"Vertiv Services, Inc.",N/A,,,
11/29/2017,1768-17012,1260.PUBLIC DEFENDER,Storage Boxes,21400.00,"Chicago United Industries, Ltd.",,"No Goal Set - Contract < $25,000",,
11/29/2017,1768-17065,1524.COUNTY CLERK ELECTION DIV.FUND,Bail Bond Books,18300.00,"World's Printing & Specialities Co., Ltd.",,"No Goal Set - Contract < $25,000",,
12/06/2017,1745-16626,,Trane Centravac Chiller Repair,102679.00,"Anchor Mechanical, Inc.",N/A,,,
12/08/2017,1712-16459,1210.OFFICE OF THE SHERIFF,Commercial Driver's License On-Site Drug and Alcohol Testing,80274.00,"ALIA Drug Testing, LLC",Lakar Enterprise,MBE-6,12.5,
12/08/2017,1712-16459,,,,,"HRRC Screening Solution, Inc.",WBE-7,5,
12/15/2017,1785-16497,1200.DEPT. OF FACILITIES/MGMT,RIXSON DOOR PARTS,82825.00,"M.J.T. DBA EWERT, INC",BURHANI ENTERPRISES DBA CLEAR RIDGE HARDWARE,MBE-8,12.5,
12/15/2017,1785-16509,1200.DEPT. OF FACILITIES/MGMT,CANISTER VACUUMS,4216.00,"TILES IN STYLE, LLC DBA TAZA SUPPLIES",N/A,"No Goal Set - Contract < $25,000",,
12/15/2017,1785-16513,1200.DEPT. OF FACILITIES/MGMT,MASTER LOCKS PRODUCTS,67500.00,"M.J.T. Inc., dba Ewert, Inc.",N/A,N/A,,
12/15/2017,1745-16530,1200.DEPT. OF FACILITIES/MGMT,"Remove, Inspect, Replae and Test Fire Hydrants",59000.00,"American Backflow, Inc.",N/A,Full Waiver Granted,,
12/18/2017,1753-16254E,1205.JUDICIAL ADVISORY COUNCIL,Recidivism Reduction Capacity Building Grant,20000.00,Every Block A Village Christian Fellowship,,"No Goal Set - Contract < $25,000",,
12/18/2017,1753-16254B,1205.JUDICIAL ADVISORY COUNCIL,Recidivism Reduction Capacity Building Grant,20000.00,The Alumni Association,,"No Goal Set - Contract < $25,000",,
12/18/2017,1753-16254C,1205.JUDICIAL ADVISORY COUNCIL,Recidivism Reduction Capacity Building Grant,20000.00,Bridge to Freedom,,"No Goal Set - Contract < $25,000",,
12/15/2017,1785-16510,1200.DEPT. OF FACILITIES/MGMT,NO TOUCH CLEANING MACHINES,45785.20,"Chicago United Industries, Ltd.","TRUCK TIRE SALES, INC",MBE-9,2.185,
12/15/2017,1785-16510,1200.DEPT. OF FACILITIES/MGMT,NO TOUCH CLEANING MACHINES,,"Chicago United Industries, Ltd.","ANZY SUPPLY, INC",WBE-7,10,
12/22/2017,1712-16591,1210.OFFICE OF THE SHERIFF,Insulated Food Delivery Carts,85049.85,"Chicago United Industries, Ltd.",N/A,,,
01/09/2018,1735-16480,1259.MEDICAL EXAMINER,Microtomes,24000.00,"TILES IN STYLE, LLC DBA TAZA SUPPLIES",N/A,"No Goal Set - Contract < $25,000",,
01/09/2018,1735-16458,1259.MEDICAL EXAMINER,Armed Security Service,,"Moore Security, Inc.","Steiner Security Services, Inc.",WBE-7,,10
01/09/2018,1735-16458,1259.MEDICAL EXAMINER,Armed Security Service,103181.16,"Moore Security, Inc.","Moore Security, Inc.",MBE-6,90,
01/10/2018,1745-16642,1200.DEPT. OF FACILITIES/MGMT,Recycling of Fluorescent Lamps and Ballast,83690.00,"Everlights, Inc.",N/A,0% Goal,,
01/19/2018,1745-17039,1200.DEPT. OF FACILITIES/MGMT,Square D Flex Drive,6987.12,"Chicago United Industries, Ltd.",,"No Goal Set - Contract < $25,000",,
01/19/2018,1745-16694,1200.DEPT. OF FACILITIES/MGMT,TWR2 LED Wall Luminaire Lights,,Evergreen Supply Co.,Evergreen Supply Co.,WBE-7,87.5,
01/19/2018,1745-16720,1200.DEPT. OF FACILITIES/MGMT,Duplex Bariable Speed Booster Systems,50306.40,Root Brothers Manufacturing & Supply Company,,Full Waiver Granted,,
01/19/2018,1745-16694,1200.DEPT. OF FACILITIES/MGMT,TWR2 LED Wall Luminaire Lights,67500.00,Evergreen Supply Co.,"Express Electric Supply, LLC",MBE-9,12.5,
01/05/2018,1735-16343,1111.COUNTY CLERK - ELECTION DIVISION,Plastic Padlock Security Seals,69000.00,"TILES IN STYLE, LLC DBA TAZA SUPPLIES",,0% Goal,,
01/29/2018,1730-17090,1007.REVENUE,2018 Vehicle Stickers,20171.00,"Dri-Stick Decal Corp., d/b/a Rydin Decal",N/A,"No Goal Set - Contract < $25,000",,
01/29/2018,1753-16932,1280.ADULT PROBATION DEPT.,Ballistic Vests,29631.25,"Galls, LLC",N/A,0% Goal,,
01/30/2018,1730-16924,1440.JUVENILE TEMPORARY DETENT.CNTR,Linen Supplies,37290.80,"Tabb Textiles Co., Inc.",N/A,N/A,,
01/31/2018,1745-16753,1200.DEPT. OF FACILITIES/MGMT,Linear Florescent Lamps,9659.80,"Discount Light Depot, Inc.","No Goal Set - Contract < $25,000","No Goal Set - Contract < $25,000",,
01/31/2018,1745-17128,1200.DEPT. OF FACILITIES/MGMT,Electronic Hand Dryers,6955.00,"Chicago United Industries, Ltd.","No Goal Set - Contract < $25,000","No Goal Set - Contract < $25,000",,
02/07/2018,1745-16777,1200.DEPT. OF FACILITIES/MGMT,Utility Vehicle and Accessories,,"Shorewood Home and Auto, Inc.,",G. Copper Oil Company,WBE-7,5,
02/07/2018,1745-16777,1200.DEPT. OF FACILITIES/MGMT,Utility Vehicle and Accessories,94742.75,"Shorewood Home and Auto, Inc.","Sutton Ford, Inc.",MBE-6,25,
02/07/2018,1784-16766,1510.ANIMAL CONTROL DEPARTMENT,After Hours Answering Service,2988.00,"Unicom Teleservices, Inc.",N/A,N/A,,
02/13/2018,1753-17109,1440.JUVENILE TEMPORARY DETENT.CNTR,Egg Products,,"Black Dog Foods, LLC","Savan Source, Inc",WBE-8,10,
02/13/2018,1753-17109,1440.JUVENILE TEMPORARY DETENT.CNTR,Egg Products,99815.00,"Black Dog Foods, LLC","Black Dog Foods, LLC",MBE-8,90,
02/15/2018,1725-16781,1305.PUBLIC GUARDIAN,Answering Services,25056.00,"Excel Answering Services, Inc.",,,,
02/21/2018,1753-17075,1310.OFFICE OF THE CHIEF JUDGE,Marriage and Civil Union Audit Fund Services,11495.00,Prado and Renteria CPAs Prof. Corp.,"No Goal Set - Contract < $25,000","No Goal Set - Contract < $25,000",,
02/23/2018,1735-16835,1110.COUNTY CLERK,Thermal Paper Rolls,62370.00,E Label Solutions Inc. d/b/a E Media Solutions,N/A,N/A,0,0
02/27/2018,1735-16825,1110.COUNTY CLERK,Election Judge Pins,16380.00,"Bay Promo, LLC","No Goal Set - Contract < $25,000","No Goal Set - Contract < $25,000",,
03/01/2018,1745-16978,1200.DEPT. OF FACILITIES/MGMT,Service and Repair of C-Cure Access Security System,23375.00,Midco Inc.,"No Goal Set - Contract < $25,000","No Goal Set - Contract < $25,000",,
03/01/2018,1790-17025,BOT-GIS,Census Local Update of Address Operations (LUCA),117228.00,"Urban GIS, Inc.","Urban GIS, Inc.",MBE-6,100,
03/01/2018,1785-16848,1161.DEPT OF ENVIROMENTAL CTRL,Nitrogen Oxide Monitors,20591.00,Thermo Environmental Instruments,"No Goal Set - Contract < $25,000","No Goal Set - Contract < $25,000",,
03/01/2018,1785-16846,ANIMAL & RABIES CONTROL,Rabies Vaccine,32980.00,Legend & White Animal Health Corp,N/A,N/A,,
03/15/2018,1853-17150,1440.JUVENILE TEMPORARY DETENT.CNTR,Ice Cream and Frozen Dessert Prodcuts,49999.95,"Black Dog Foods, LLC","Black Dog Foods, LLC",MBE-8,90,
03/15/2018,1853-17150,1440.JUVENILE TEMPORARY DETENT.CNTR,Ice Cream and Frozen Dessert Prodcuts,49999.95,"Black Dog Foods, LLC","Savan Source, Inc",WBE-8,10,
03/16/2018,1745-16618,1200.DEPT. OF FACILITIES/MGMT,Elevator Inspections for Vertical Transportation Units,120960.00,Citywide Elevator Inspection Services,,Full Waiver Granted,,
03/29/2018,1890-17145,1440.JUVENILE TEMPORARY DETENT.CNTR,Kitchen Supplies,133973.98,"Beams Technologies, Inc.",,Full Waiver Granted,,
04/09/2018,1830-17243,1007.REVENUE,2018 Vehicle Tags,24000.00,"Keyes-Davis Company, Inc.","No Goal Set - Contract < $25,000","No Goal Set - Contract < $25,000",,
04/11/2018,1723-17135,1510.ANIMAL CONTROL DEPARTMENT,Rabies Vaccination Tags,132358.00,Legend & White Animal Health Corp,N/A,N/A,,
04/20/2018,1828-17274,1500.COUNTY HIGHWAY DEPARTMENT,Rotary Cutters,9925.00,"Russo Hardware, Inc. d/b/a Russo Power Equipment",,"No Goal Set - Contract < $25,000",,
04/23/2018,1845-17280,1200.DEPT. OF FACILITIES/MGMT,Water Heater,10411.00,Banner Plumbing Supply Co LLC,"No Goal Set - Contract < $25,000","No Goal Set - Contract < $25,000",,
04/23/2018,1745-17146,1200.DEPT. OF FACILITIES/MGMT,Preventive Maintenance of Software System,8280.00,"Bates Water Solutions, Inc.","No Goal Set - Contract < $25,000","No Goal Set - Contract < $25,000",,
04/23/2018,1845-17085,1200.DEPT. OF FACILITIES/MGMT,Pneumatic Rotary Screw Air Compressor,20893.00,Johnson Pipe and Supply Corporation,"No Goal Set - Contract < $25,000","No Goal Set - Contract < $25,000",,
05/01/2018,1723-16847,1161.DEPT OF ENVIROMENTAL CTRL,Multi-Event Sequential Air Monitors,76281.25,"Met One Instruments, Inc.",N/A,N/A,,
05/01/2018,1745-17167,1200.DEPT. OF FACILITIES/MGMT,Trane Cabinet Heaters,7469.31,Johnson Pipe and Supply Corporation,"No Goal Set - Contract < $25,000","No Goal Set - Contract < $25,000",,
05/14/2018,1745-17163,1200.DEPT. OF FACILITIES/MGMT,Pneumatic Control Supplies,76748.40,Root Brothers Manufacturing & Supply Company,Nelson Transport Services,MBE-6,,25
05/24/2018,1845-17223,1200.DEPT. OF FACILITIES/MGMT,DeWalt Power Tools and Accessories,41025.00,Johnson Pipe and Supply Corporation,"Boye Janitorial Service, Inc.",MBE-6,,12.5
05/31/2018,1825-17392,COMMISSIONER,Printing & Mailing of 17th District Commissioner Newsletter,18363.00,"Kevron Printing & Mailing, Inc.","N/A, No Goal Set - Contract < $25,000","No Goal Set - Contract < $25,000",,
06/07/2018,1828-17208,1500.COUNTY HIGHWAY DEPARTMENT,Crack Fill Materials,64267.00,Root Brothers Mfg. & Supply Company,"N/A, No Goal set","N/A, No Goal set",,
06/11/2018,1784-16697,1500.COUNTY HIGHWAY DEPARTMENT,Herbicide Spray Services - North Area,,"Semper Fi Yard Services, Inc","Work Zone Safety, Inc.",WBE-7,10,
06/11/2018,1784-16697,1500.COUNTY HIGHWAY DEPARTMENT,Herbicide Spray Services - North Area,112253.00,"Semper Fi Yard Services, Inc.","Semper Fi Yard Services, inc.",MBE-9,90,
07/05/2018,1845-17399,1250.STATE'S ATTORNEY,Ford Expedition,66915.30,"Sutton Ford, Inc.","Sutton Ford, Inc",MBE-6,100,
07/25/2018,1845-17328,1200.DEPT. OF FACILITIES/MGMT,Trane Roof Top Units,41151.17,Beams Technologies Incorporated,"N/A, No Goal set",,,
08/01/2018,1855-17336,1500.COUNTY HIGHWAY DEPARTMENT,Tire Changers,17021.34,"Chicago United Industries, Ltd.",N/A,N/A,,
08/08/2018,1855-17358,1500.COUNTY HIGHWAY DEPARTMENT,Lemont Township 2018 MFT Project,148002.86,P. T. Ferro Construction,N/A,N/A,,
08/08/2018,1845-17418,1200.DEPT. OF FACILITIES/MGMT,Tramco Pump and Accessories,6949.95,"Chicago United Industries, LTD","No Goal Set - Contract < $25,000","No Goal Set - Contract < $25,000",,
08/08/2018,1845-17396,1200.DEPT. OF FACILITIES/MGMT,Square D Flex Drives,16814.47,"Chicago United Industries, LTD","No Goal Set - Contract < $25,000","No Goal Set - Contract < $25,000",,
08/22/2018,1885-17342,1500.COUNTY HIGHWAY DEPARTMENT,Hot Box Asphalt Recyclers,142170.00,"Midwest Paving Equipment, Inc.",N/A,N/A,,
08/29/2018,1885-17211,1500.COUNTY HIGHWAY DEPARTMENT,Tree Removal Services,,"Trees ""R"" Us, Inc.,","Mower Works, Ltd.",WBE-7,10,
08/29/2018,1885-17211,1500.COUNTY HIGHWAY DEPARTMENT,Tree Removal Services,64300.00,"Trees ""R"" Us, Inc.,","Tri-Angle Fabrication & Body Co., Inc.",MBE-9,25,
08/28/2018,1725-17058,Juvenile Temporary Detention Center,Two Section Correctional Roll-In Heated Holding Cabinets,24999.00,"Beams Technologies, Inc.",N/A,N/A,,
09/07/2018,1735-16676,1259.MEDICAL EXAMINER,"Autopsy, Microscopic, Neuropathology and Radiology Report Transcription Services",112992.00,"We Type, LLC","Quintana, Inc.",MBE-9,35,
09/07/2018,1812-17349,1210.OFFICE OF THE SHERIFF,"Smith & Wesson Handcuffs, Smith & Wesson Leg Irons and Restraining Devices",57206.00,"Chicago United Industries, Ltd.",N/A,N/A,,
09/14/2018,1768-16898D,1259.MEDICAL EXAMINER,Licensed Funeral Directors for Veterans,0.00,Cremation Society of Illinois. Inc.,"No Goal Set - Contract < $25,000","No Goal Set - Contract < $25,000",,
09/14/2018,1768-16898B,1259.MEDICAL EXAMINER,Licensed Funeral Directors for Veterans,0.00,"Brookins Funeral Home, Ltd.","No Goal Set - Contract < $25,000","No Goal Set - Contract < $25,000",,
09/14/2018,1768-16898C,1259.MEDICAL EXAMINER,Licensed Funeral Directors for Veterans,0.00,Sacred Memories Funeral Home,"No Goal Set - Contract < $25,000","No Goal Set - Contract < $25,000",,
09/14/2018,1768-16898A,1259.MEDICAL EXAMINER,Licensed Funeral Directors for Veterans,0.00,"Collins & Stone Funeral Home, Inc.","No Goal Set - Contract < $25,000","No Goal Set - Contract < $25,000",,
10/12/2018,1768-16728B,1110.COUNTY CLERK,Professional Photography and Videography Services,36750.00,Video Parachute,0,N/A,,
10/12/2018,1768-16728C,1110.COUNTY CLERK,Professional Photography and Videography Services,36750.00,"Powell Photography, Inc.",0,N/A,,
10/12/2018,1768-16728A,1110.COUNTY CLERK,Professional Photography and Videography Services,36750.00,"Zuno Photographic, Inc",0,N/A,,
10/18/2018,1853-17272,1130.RECORDER OF DEEDS,"Surveillance Camera, Furnish and Install",69320.00,"Pentegra Systems, LLC",0%,0%,,
10/18/2018,1853-17522,1440.JUVENILE TEMPORARY DETENT.CNTR,Cooking Equipment Preventive Maintenance and Repair,69527.00,A.M.C. Mechanical Inc.,MBE,MBE,,
11/01/2018,1845-17494,1200.DEPT. OF FACILITIES/MGMT,Electric Hand Dryers,,"Chicago United Industries, Ltd","Anzy Supply, Inc.",WBE-7,,10
11/01/2018,1845-17494,1200.DEPT. OF FACILITIES/MGMT,Electric Hand Dryers,47300.00,"Chicago United Industries, Ltd",Triangle Fabrications,MBE-6,,25
11/02/2018,1845-17231,1200.DEPT. OF FACILITIES/MGMT,Ultra Low Sulfur #2 Red Dye Diesel Fuel,149860.82,"Black Dog Petroleum, LLC","Black Dog Petroleum, LLC",MBE (8),95,
11/02/2018,1845-17231,1200.DEPT. OF FACILITIES/MGMT,Ultra Low Sulfur #2 Red Dye Diesel Fuel,,"Black Dog Petroleum, LLC",G. Cooper Oil Company,WBE-7,5,
11/06/2018,1868-17600,1259.MEDICAL EXAMINER,Microtomes,32141.90,"Fisher Scientific Company, LLC",N/A,N/A,,
11/19/2018,1790-17144E,1280.ADULT PROBATION DEPT.,Sex Offender Assessment and Treatment Services,135000.00,New Hope Community Service Center,N/A,N/A,,
11/19/2018,1790-17144D,1280.ADULT PROBATION DEPT.,Sex Offender Assessment nd Treatment Services,135000.00,"Establishing, Managing and Generating Effective Services, Inc. D/B/A EMAGES, Inc.",N/A,N/A,,
11/19/2018,1790-17144F,1280.ADULT PROBATION DEPT.,Sex Offender Assessment and Treatment Services,75000.00,"Ronald Simmons, Inc.",N/A,N/A,,
11/19/2018,1790-17144B,1280.ADULT PROBATION DEPT.,Sex Offender Assessment and Treatment Services,75000.00,Center for Contextual Change,N/A,N/A,,
11/27/2018,1812-17368,1210.OFFICE OF THE SHERIFF,Pre-Paid Parking Pass Tickets,28800.00,Interpark LLC,N/A,N/A,,
12/03/2018,1853-17606,1130.RECORDER OF DEEDS,Microfilm Scanners and Maintenance and Repair Services,11970.00,Microfilm Equipment & Supplies Inc.,"No Goal Set - Contract < $25,000","No Goal Set - Contract < $25,000",,
12/31/2018,1830-17589,1009.ENTERPRISE TECHNOLOGY,UPS Critical Servicing,47398.80,Weissco Power LLC,N/A,N/A,,
01/08/2019,1868-17350,1259.MEDICAL EXAMINER,Laboratory Coats and Scrubs,49505.17,"Uniforms Manufacturing, Inc.",C.H. Millery,MBE-6,,12.5
01/14/2019,1855-17471,1500.COUNTY HIGHWAY DEPARTMENT,High Performance Bituminous Materials (Cold Patch) for South Area,116775.00,"K-Five Hodgkins, LLC",N/A,0% Goal,,
01/14/2019,1868-17484,1259.MEDICAL EXAMINER,Laundry Services,50228.00,"Select Ventures, LLC d/b/a/Kimbark Laundry","Select Ventures, LLC d/b/a/Kimbark Laundry",MBE-6,100,
01/14/2019,1855-17469,1500.COUNTY HIGHWAY DEPARTMENT,High Performance Bituminous Materials (Cold Patch) for North Area,116775.00,DuPage Materials Company LLC,N/A,0% Goal,,
01/23/2019,1868-17491,1011.OFFICE OF CHIEF ADMIN OFFICER,Equipment Preventative Maintenance and Repair Services,108160.00,Tompkins Printing Equipment Co.,Tribune Products,MBE-8,,10
01/22/2019,1845-17602,1200.DEPT. OF FACILITIES/MGMT,Weil Pumps and Accessories,19687.00,Daugherty Sales Inc.,No goal set,0%,,
01/22/2019,1845-17510,1200.DEPT. OF FACILITIES/MGMT,Inspection and Service of Vesda Preaction Sprinkler Systems,66040.00,Phoenix Fire Systems,N/A,N/A,,
02/05/2019,1868-17592R,1259.MEDICAL EXAMINER,Chemicals and Solvents,74247.55,"Chicago United Industries, Ltd.",Aztec Supply Corp.,MBE-9,25,
02/05/2019,1845-17708,1200.DEPT. OF FACILITIES/MGMT,Wood Supplies,16359.00,"Indi Enterprise, Inc.","No Goal Set - Contract < $25,000","No Goal Set - Contract < $25,000",,
02/05/2019,1845-17660,1200.DEPT. OF FACILITIES/MGMT,Johnson Control Network Controller,9315.00,Chi Supply Company,"No Goal Set - Contract < $25,000","No Goal Set - Contract < $25,000",,
02/05/2019,1868-17592R,1259.MEDICAL EXAMINER,Chemicals and Solvents,,"Chicago United Industries, Ltd.","Anzy Supply, Inc.",WBE-7,10,
02/13/2019,1845-17647,1200.DEPT. OF FACILITIES/MGMT,Industrial Steam Multi-Stage Centrifugal Pump,16688.75,G & O Thermal Supply Company,"No Goal Set - Contract < $25,000","No Goal Set - Contract < $25,000",,
03/20/2019,1825-17540R,Juvenile Temporary Detention Center,Dishwasher Maintenance and Repair,48925.00,AMC Mechanical Inc,,"N/A, No Goal set",,
04/02/2019,1825-17526,1009.ENTERPRISE TECHNOLOGY,Cable TV Equipment Maintenance,70260.00,"AVI Systems, Inc.",N/A,N/A,,
04/02/2019,1825-17540R,1440.JUVENILE TEMPORARY DETENT.CNTR,Dishwasher Maintenance and Repair,48925.00,"A.M.C. Mechanical, Inc.",N/A,N/A,,
04/02/2019,1845-17633,1200.DEPT. OF FACILITIES/MGMT,Floor Mats,28830.00,World's Printing and Specialties Company,N/A,N/A,,
04/10/2019,1885-17544,1500.COUNTY HIGHWAY DEPARTMENT,Digital Video Drainage Camera,16600.00,Standard Equipment Co.,NA,"No Goal Set - Contract < $25,000",,
04/10/2019,1953-17759,1009.ENTERPRISE TECHNOLOGY,"Food Service for Judicial Meals at the George N. Leighton Criminal Court Building, 2600 South California Avenue, Chicago Illinois",,"Twomaytoz, Inc","All American Paper, Inc.",WBE-7,10,
04/10/2019,1953-17759,1009.ENTERPRISE TECHNOLOGY,"Food Service for Judicial Meals at the George N. Leighton Criminal Court Building, 2600 South California Avenue, Chicago Illinois",99880.20,"Twomaytoz, Inc",Cristina Foods,MBE-9,25,
04/12/2019,1845-17629,1200.DEPT. OF FACILITIES/MGMT,Supply and Install Magnesium Anode Bags,8779.00,"Cathodic Protection Managment, Inc.","No Goal Set - Contract < $25,000","No Goal Set - Contract < $25,000",,
04/25/2019,1725-17023,1310.OFFICE OF THE CHIEF JUDGE,Rental and Maintenance of Pitney Bowes Equipment,12015.48,Pitney Bowes,N/A,"No Goal Set - Contract < $25,000",,
04/25/2019,1953-17851,1205.JUDICIAL ADVISORY COUNCIL,Juvenile Counsel Representation Services,143100.00,First Defense Legal Aid,,0% Goal,,
04/29/2019,1812-17619,1210.OFFICE OF THE SHERIFF,Certified Mail Envelopes,123300.00,"Chicago United Industries, Ltd.",N/A,N/A,,
04/29/2019,1912-17748,1210.OFFICE OF THE SHERIFF,Aftermarket Vehicle Equipment for a Ford Expedition XL Max,120146.62,Federal Signal Corporation,N/A,N/A,,
04/30/2019,1812-17698,1210.OFFICE OF THE SHERIFF,Instructional Services,38720.00,"Healthy Soul Talk, LLC",N/A,0%,,
06/06/2019,1945-17806,1259.MEDICAL EXAMINER,Body (Cadaver) Bags,74400.00,"Salam International, Inc.",0%,N/A,,
06/13/2019,1953-17841,Office of the Chief Judge,Breakfast Meals and Additional Beverages for Jurors and Deputies at the George N. Leighton Criminal Court Buidling,130600.00,"Twomaytoz Catering, Inc.",25% MBE / 10% WBE,,35,
07/22/2019,1812-17687,1210.OFFICE OF THE SHERIFF,Postage Meters Lease and Maintenance,16529.28,"Pitney Bowes Global Financial Services, LLC",,0,0,
07/24/2019,1955-17813,1259.MEDICAL EXAMINER,Autopsy Saws and Blades,70575.00,"Salam International, Inc.",0,0,,
07/31/2019,1925-17752,Office of the Chief Judge,Red Journals,48969.00,Runco Office Supplies & Equipment,N/A,,,
08/01/2019,1812-17687,1210.OFFICE OF THE SHERIFF,Postal Machine Leases,16529.28,PITNEY BOWES INC,DNA,DNA,,
08/01/2019,1945-17964,1020.COUNTY COMPTROLLER,LINEAR FLORESCENT LAMPS AND BULBS,5888.00,JP SIMONS & COMPANY,DNA,DNA,,
08/02/2019,1945-17886,1265.EMERGENCY MANAGEMENT AGENCY,Honda Motors,13617.92,CHICAGO UNITED INDUSTRIES LTD,DNA,DNA,,
08/22/2019,1912-17787,1210.OFFICE OF THE SHERIFF,Canine Food,42368.85,Legend + White Animal Health Corp.,0,NA,,
08/23/2019,1945-17868,1200.DEPT. OF FACILITIES/MGMT,Johnson Control Parts and Accessories,118080.00,J.P. Simons and Company,J.P. Simons and Company,WBE-7,75,
08/23/2019,1945-17868,1200.DEPT. OF FACILITIES/MGMT,Johnson Control Parts and Accessories,,J.P. Simons and Company,"R.D.'s HVAC, Inc.",MBE-6,25,
08/30/2019,1818-17644,1130.RECORDER OF DEEDS,20/20 Perfect Vision System Maintenance and Support,85000.00,"Avenu Insights & Analytics, LLC",,Full Waiver Granted,,
08/30/2019,1925-17967,1018.OFFICE OF THE COUNTY COMMISSIONER,Cook County Commissioner Newsletter 17th District,20121.44,"Kevron Printing & Mailing, Inc.",,"No Goal Set - Contract < $25,000",,
09/25/2019,1923-17819,1259.MEDICAL EXAMINER,Embedding Workstations,32310.08,"Chicago United Industries, Ltd.",0%,No Goal Set,,
09/25/2019,1868-17678,1161.DEPT OF ENVIROMENTAL CTRL,Air Monitoring Support Services,94120.00,"GSG Probe Consulting, Inc.",0%,No Goal Set,,
10/29/2019,1950-17993,1010.OFFICE OF THE PRESIDENT,State Lobbyist Services,36000.00,"John J. Millner and Associates, Inc.",,0% Goal,,
10/29/2019,1953-17983,1205.JUDICIAL ADVISORY COUNCIL,Juvenile Justice Council Program,11000.00,Southland Juvenile Justice Council,,"No Goal Set - Contract < $25,000",,
