number,dorregionnumber,type,name,address1,address2,city,state,zipcode,located_in,county,phone,fax,size,email,agent,officemanager,contractmanager,daysopen,daysclosed,holidaysclosed,additionaldaysclosed,remarks,latlng,twitter_url,facebook_url,textingPhoneNumber,ManagerContactNumber,ManagerContactNumber2,OtherContactInfo,additional_license_office_info
099,10,1MV,PIEDMONT,105 BUSINESS HH,,PIEDMONT,MO,63957,NORRIS INSURANCE AGENCY,Wayne,(573) 223-2156,(573) 223-4526,2,PIEDMONTAGENTOFFICE@DOR.MO.GOV,NORRIS INSURANCE AGENCY,ANGELA DENISE LAPLANT,,Monday - Friday - 8:30 to 5:30,,"Lincoln’s Birthday (02/12/20), President’s Day (02/17/20), Truman’s Birthday (05/08/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","4/6/2020,   04/07/20,   04/08/20,   04/09/20,   04/10/20,   04/11/20,   04/13/20,   04/14/20,   04/15/20,   04/16/20,   04/17/20,   04/18/20,   4/20/2020 (open at 8:30 AM),  04/21/20,  04/22/20,  04/23/20,  04/24/20,  4/24/2020,  04/25/20,   4/27/2020 (open at 8:30 PM ), 04/27/20, 04/28/20, 04/29/20, 04/30/20, 05/01/20, 05/02/20,  5/4/2020 (open at 8:30 AM ),   11/27/20,   12/24/20",,"(37.141826, -90.701723)",,,,,,Public E-mail Address: PiedmontAgentOffice@dor.mo.gov,
184,6,1MV,COLUMBIA SOUTH,"1101 GRINDSTONE PKWY, STE 103",,COLUMBIA,MO,65201,GRINDSTONE PLAZA,Boone,(573) 615-1054,(573) 615-1057,3,COLUMBIASOUTHLICENSEOFFICE@DOR.MO.GOV,"ELLE MANAGEMENT, LLC",JOSHUA PALMER,,"Monday - Friday - 8:30 to 5:30, Saturdays - 8:30 to 12:30",,"Lincoln’s Birthday (02/12/20), President’s Day (02/17/20), Truman’s Birthday (05/08/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","2/5/2020 (at 2:00 PM ), 3/23/2020 (at 8:30 AM until 11:00 AM ), 3/24/2020, 03/25/20, 03/26/20, 03/27/20, 03/28/20, 03/30/20, 03/31/20, 04/01/20, 04/02/20, 04/03/20, 04/04/20,  4/6/2020 (open at 8:30 AM ), 5/23/20, 7/4/20, 9/5/20, 11/27/20, 12/24/20, 12/26/20",,"(38.910861, -92.325439)",,https://www.facebook.com/ColumbiaSouthLicense/,(314) 374-6222,,,Contractor Web Page Address: https://elledmv.com/Public E-Mail Address: columbiasouthdmv@gmail.com,"Due to COVID-19 the office is temporarily adjusting hoursFrom March 23 - April 6, 2020By Appointment OnlyMonday - Friday 9:00 a.m. - 5:00 p.m.Saturday 9:00 a.m. - 1:00 p.m.Visit www.sharpmediallc.com/columbias to reserve a spot in line. Ability to join virtual lines, schedule appointments from your computer or mobile device and receive wait time updates. Ways to contact office: Email or ""Contact Us"" link on the Internet, Facebook and Texting. Services for the Elderly or Disabled: Curbside Service, Special Appointments, Assist with changing or replacing plates/tabs, Process Transactions in the customer waiting area, Direct customers to front of the line, Wheelchair availability. Customer Satisfaction Initiatives: Completed Comment Cards will be used in drawing. Other Services: Motor Vehicle transaction drop-off service, Free WiFi."
023,2,1MV,TRENTON,611 E 9TH ST,,TRENTON,MO,64683-0084,,Grundy,(660) 359-4324,(660) 359-4606,1,TRENTONAGENTOFFICE@DOR.MO.GOV,TRENTON AREA CHAMBER OF COMMERCE,LORRAINE RODERICK,,Monday - Friday - 8:00 to 5:00,,"Lincoln’s Birthday (02/12/20), President’s Day (02/17/20), Truman’s Birthday (05/08/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","3/9/2020,  03/10/20,  03/11/20,  03/12/20,  03/13/20,  03/14/20,  03/16/2020 (open at 8:00 AM),  03/23/2020,   03/24/20,  03/25/20,  03/26/20,  03/27/20,  03/28/20,  03/30/20,  03/31/20,  04/01/20,  04/02/20,  04/03/20,  04/04/20,  04/6/2020 (open at 8:00 AM),  04/07/20,  04/08/20,  04/09/20,  04/10/20,  04/11/20,  04/13/20,  04/14/20,  04/15/20,  04/16/20,  04/17/20,  04/18/20,  04/20/20,  04/21/20,  04/22/20,  04/23/20,  04/24/20,  04/25/20,  4/27/2020 (open at 8:00 AM), 04/28/20, 04/29/20, 04/30/20, 05/01/20, 05/02/20,  5/4/2020 (open at 8:00 AM ),  5/6/20,  7/6/20,  11/27/20",,"(40.0740107, -93.61243489999998)",,https://www.facebook.com/trentonlicenseoffice/,,,,Public E-mail Address: trentonlb@att.net,Due to COVID-19 office is requesting that you bring your own pen to sign documents with
183,8,1MV,IMPERIAL,1238 MAIN ST,,IMPERIAL,MO,63052-0000,,Jefferson,(636) 464-3330,(636) 464-2326,3,IMPERIALAGENTOFFICE@DOR.MO.GOV,"BELLE HART SCHMIDT, LLC",ADRIAN GLOVER,,"Monday - Friday - 8:30 to 6:30, Saturday - 8:00 to 1:00",,"Lincoln’s Birthday (02/12/20), President’s Day (02/17/20), Truman’s Birthday (05/08/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","2/5/2020 (at 1:00 PM ),    3/11/2020,    3/12/2020,      3/13/2020,    03/14/20,    3/16/2020 (open at 8:30 AM ),    4/13/2020,   04/14/20,   04/15/20,   04/16/20,   04/17/20,   04/18/20,    4/20/2020 (open at 8:30 AM ),   04/20/20,   04/21/20,   04/22/20,   04/23/20,   04/24/20,   04/25/20,   04/27/20,   04/28/20,   04/29/20,   04/30/20,    5/1/2020 (open at 8:30 AM ),  05/02/20,   5/4/2020 (open at 8:30 AM ), 05/05/20, 05/06/20, 05/07/20, 05/08/20, 05/09/20,  5/11/2020 (open at 8:30 AM ),    7/4/20,    9/5/20,    11/27/20,    11/28/20,    12/24/20,    12/26/20",,"(38.3692727, -90.3804844)",,https://www.facebook.com/Imperial-License-Office-755778484498767/,(314) 698-8664,,,Website: www.molicense.com/imperial/E-Mail: imperial@molicense.com,"Temporarily closed due to COVID-19 until May 11, 2020"
176,4,1MV,BELTON,325 MAIN STREET,,BELTON,MO,64012-0000,,Cass,(816) 331-9400,(816) 331-0452,3,BELTONAGENTOFFICE@DOR.MO.GOV,"DOWNTOWN BELTON MAIN STREET, INC",SHIRLEY TURNER,,"Monday - Friday - 8:00 to 5:00, Last Saturday - 8:00 to 12:00",,"Lincoln’s Birthday (02/12/20), President’s Day (02/17/20), Truman’s Birthday (05/08/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","3/23/2020,   03/24/20,   03/25/20,   03/26/20,   03/27/20,   03/28/20,   03/30/20,   03/31/20,   04/01/20,   04/02/20,   04/03/20,   04/04/20,   4/6/2020 (open at 8:00 AM ),  04/07/20,  04/08/20,  04/09/20,  04/10/20,  04/11/20,  04/13/20,  04/14/20,  04/15/20,  04/16/20,  04/17/20,  04/18/20,  04/20/20,  04/21/20,  04/22/20,  04/23/20,  04/24/20,  04/25/20,  04/27/20,  04/28/20,  04/29/20,  04/30/20,  05/01/20,  05/02/20,   5/4/2020 (open at 8:00 AM ), 05/05/20, 05/06/20, 05/07/20, 05/08/20, 05/09/20, 05/11/20, 05/12/20, 05/13/20, 05/14/20, 05/15/20, 05/16/20,  5/18/2020 (open at 8:00 AM ),   11/27/20,   11/28/20,   12/24/20,   12/26/20",,"(38.8123006, -94.532927)",,https://www.facebook.com/belton-license_office-1264142763600500/,(816) 666-7106,,,Website: www.beltonlicenseoffice.comPublic E-mail Address: beltonlicenseoffice@yahoo.com,"Closed until May 18, 2020Ability to join virtual lines and schedule appointments from your computer or mobile device. Ways to contact office: Email or ""Contact Us"" link on the internet, texting (information listed below). Special Services for the elderly or disabled: Curbside Service, Special Appointments, Assist with changing or replacing plates/tabs, Process transactions in the customer waiting area, direct customers to front of the line, wheelchair availability, handicap accessible Motor Vehicle desk. Customer Satisfaction Initiatives: completed Comment Cards will be used in drawing. Other services: Free WiFi."
086,14,1MV,DEXTER,119 VINE ST,,DEXTER,MO,63841-0000,,Stoddard,(573) 624-8808,(573) 624-8724,2,DEXTERAGENTOFFICE@DOR.MO.GOV,STODDARD COUNTY LICENSE OFFICE,RAY ROWLAND,,"Monday - Friday - 8:30 to 4:30, Last three days of the month - 8:30 to 5:30",,"Lincoln’s Birthday (02/12/20), President’s Day (02/17/20), Truman’s Birthday (05/08/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","11/27/20, 11/28/20, 12/24/20, 12/26/20",,"(36.791655, -89.955942)",,,,,,,"Due to COVID-19 the office will be temporarily the number of customers allowed in the office at one timeServices for the Elderly or Disabled: Curbside Service, Special Appointments, Assist with changing or replacing plates/tabs, Process Transactions in the customer waiting area, Direct customers to front of the line, Wheelchair availability. Other Services: Motor Vehicle transaction drop-off service."
131,12,1MV,FORSYTH,147 Main ST,,FORSYTH,MO,65653-0000,,Taney,(417) 546-3085,(417) 546-3086,1,FORSYTHAGENTOFFICE@DOR.MO.GOV,FORSYTH LICENSE OFFICE,RANA SCHRIDDE,,"Monday - Friday - 8:30 to 5:00, Last Saturday - 9:00 to 1:00",,"President’s Day (02/17/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","2/6/2020 (at 3:30 PM ), 11/27/20, 11/28/20, 12/24/20, 12/26/20",,"(36.686078, -93.118808)",,https://www.facebook.com/forsylic,,,,Public E-mail Address: forsylic@outlook.com,Due to COVID-19 the office is temporarily adjusting hoursMonday - Friday 10:00 a.m. - 4:00 p.m.
110,13,1MV,WEST PLAINS,308 KENTUCKY AVE SUITE 2,,WEST PLAINS,MO,65775-0000,,Howell,(417) 256-0678,(417) 256-5385,2,WESTPLAINSAGENTOFFICE@DOR.MO.GOV,"YORK MANAGEMENT GROUP, LLC",JEANNINE CAPITOLO,,"Monday - Friday - 8:00 to 5:00, 1st and Last Saturday - 8:00 to 12:00",,"President’s Day (02/17/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","4/4/2020, 7/4/20, 9/5/20, 11/27/20, 11/28/20, 12/24/20, 12/26/20",,"(36.731592, -91.87618)",https://twitter.com/west_plains,https://www.facebook.com/308west,(314) 730-0606,,,Public E-Mail: westplains@yorkmanagementgroup.com,"Due to COVID-19 the office will be temporarily the number of customers allowed in the office at one timeWays to contact office: Email or ""Contact Us"" link on the internet, Facebook, Twitter and texting. Special Services for the elderly or disabled: Curbside Service, Special Appointments, Assist with changing or replacing plates/tabs, Process transactions in the customer waiting area, direct customers to front of the line, wheelchair availability. Customer Satisfaction Initiatives: completed comment cards will be used in drawing. Other Services and Initiatives: Motor Vehicle transaction drop-off service, Free WiFi."
203,4,1MV,KANSAS CITY,1161 EMANUEL CLEAVER II BLVD,,KANSAS CITY,MO,64106-0000,,Jackson,(816) 548-1135,(816) 492-6620,3,KANSASCITYAGENTOFFICE@DOR.MO.GOV,SHARP SERVICES,VICTORIA ROY,,"Mon,Tue,Wed,Fri - 8:00 to 5:00, Thursday - 7:30 to 5:30, Last Saturday - 8:00 to 12:00, Last Business Day of Month - 7:30 to 5:30",,"Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","3/18/2020 (at 3:00 PM ),  3/24/2020,  03/25/20,  03/26/20,  03/27/20,  03/28/20,  03/30/20,  03/31/20,  3/31/2020,  04/01/20,  04/02/20,  04/03/20,  04/04/20,  04/06/20,  04/07/20,  04/08/20,  04/09/20,  04/10/20,  04/11/20,  4/13/2020 (open at 8:00 AM ), 04/14/20, 04/16/20, 04/17/20, 04/18/20, 04/20/20, 04/21/20, 04/22/20, 04/23/20, 04/24/20, 04/25/20,  4/27/2020 (open at 8:00 AM ), 11/27/20, 11/28/2020,  12/24/20, 12/26/2020",,"(39.0413793, -94.57196210000001)",,,,,,,"Due to COVID-19 an appointment is required for all transaction typesWays to contact office: Email or ""Contact Us"" link on the internet, Social Media. Special Services for the elderly or disabled: Curbside Services, Special Appointments, Assist with changing or replacing plates/tabs, Process transactions in the customer waiting area, direct customers to front of the line, wheelchair availability. Customer Satisfaction Initiatives: Completed Comment Cards will be used in drawing. Other services: Motor Vehicle drop off services and Free WiFi."
033,2,1MV,EDINA,"55682 STATE HWY 6, STE B",,EDINA,MO,63537-0000,JIM SEARS TECHNICAL BUILDING,Knox,(660) 397-4120,(660) 397-4132,1,EDINAAGENTOFFICE@DOR.MO.GOV,BARBARA HUNZIKER,BARBARA HUNZIKER,,"Monday - Wednesday - 9:00 to 4:30, Thursday - 9:00 to 6:00, Friday - 9:00 to 12:00",Monday - Thursday from 12:00 to 12:30,"Lincoln’s Birthday (02/12/20), President’s Day (02/17/20), Truman’s Birthday (05/08/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","2/11/2020 (at 12:00 PM until 1:15 PM ),  2/11/2020 (open at 1:15 PM ),  3/10/2020 (at 10:30 AM until 12:30 PM ),   3/10/2020 (open at 12:30 PM ),  3/25/2020 (at 9:00 AM ),   4/6/2020 (at 9:00 AM ),  4/20/2020 (at 9:00 AM ),  11/27/20,  12/24/20,  12/31/20 (p.m. only)",,"(40.168196, -92.139643)",,,,,,Public E-mail Address: KCLICENS@MARKTWAIN.NET,"Due to COVID-19 the office is temporarily adjusting hoursHours through at least May 4, 2020Monday - Thursday 9:00 a.m. - 3:00 p.m.Closed from 12:00 p.m. - 12:30 p.m.Driver License transactions by appointment only. Closed Fridays.Services for the Elderly or Disabled: Curbside Service, Process Transactions in the customer waiting area."
020,1,1MV,SAVANNAH,420 COURT STREET,,SAVANNAH,MO,64485,,Andrew,(816) 324-5122,(816) 324-5977,2,SAVANNAHAGENTOFFICE@DOR.MO.GOV,CONNIE F. GORDON,CAROL D. BRANDON,,"Monday - Friday - 8:00 to 4:00, Saturday - 8:00 to 11:00",,"President’s Day (02/17/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","3/25/2020,     03/26/20,     03/27/20,     03/28/20,     03/30/20,     03/31/20,     04/01/20,     04/02/20,     04/03/20,     04/04/20,     4/6/2020 (open at 8:00 AM),     04/07/20,     04/08/20,     04/09/20,     04/10/20,     04/11/20,      4/13/2020 (open at 8:00 AM),    4/17/2020 (at 12:00 PM ),     4/18/2020,   04/18/20,    4/20/2020 (open at 8:00 AM ),   4/25/2020,  5/2/2020,     5/23/20,     7/4/20,     10/10/20,     11/27/20,     11/28/20,      12/24/20 (p.m. only),     12/26/20",,"(39.941024, -94.829686)",,,,,,Public E-mail Address: savannahlicensebureau1@yahoo.com,"Due to COVID-19 the office is temporarily adjusting hoursMonday - Friday8:00 a.m. - 4:00 p.m.Closed on SaturdaysLimiting the number of customers seen a dayWays to contact office: Email or ""Contact Us"" link on the Internet. Curbside Service, Assist with changing or replacing plates/tabs, Process transactions in the customer waiting area. Completed comment cards will be used in drawing.Other Services and Initiatives: Motor vehicle transaction drop-off service."
213,3,1MV,RAYTOWN,6138 RAYTOWN TRAFFICWAY,,RAYTOWN,MO,64133-0000,CENTER 63 SHOPPING CENTER,Jackson,(816) 301-7440,(816) 325-3089,3,RAYTOWNAGENTOFFICE@DOR.MO.GOV,"ELLE MANAGEMENT, LLC",SHERRY KRIEGER,,"Monday - Friday - 7:30 to 7:00, Saturdays - 8:00 to 2:00",,"Lincoln’s Birthday (02/12/20), President’s Day (02/17/20), Truman’s Birthday (05/08/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","3/21/2020, 03/23/20, 03/24/20, 03/25/20, 03/26/20, 03/27/20, 03/28/20, 03/30/20, 03/31/20, 04/01/20, 04/02/20, 04/03/20, 04/04/20, 4/5/2020 (open at 7:30 AM), 5/23/20, 7/4/20, 9/5/20, 11/27/20, 12/24/20, 12/26/20",,"(39.0116757, -94.4666836)",,https://www.facebook.com/RaytownLicenseOffice/,(314) 374-6222,,,Contractors Web Page: https://elledmv.com/Public E-Mail Address: raytowndmv@gmail.com,"Due to COVID-19 the office is temporarily adjusting hours and services By appointment onlyMonday - Friday 9:00 a.m. - 5:00 p.m.Saturday 9:00 a.m. - 1:00 p.m.Visit www.sharpmediallc.com/raytown to reserve a spot in line.Ability to join virtual lines, schedule appointments from your computer or mobile device and receive wait time updates. Ways to contact office: Email or ""Contact Us"" link on the Internet, Facebook and Texting. Services for the Elderly or Disabled: Curbside Service, Special Appointments, Assist with changing or replacing plates/tabs, Process Transactions in the customer waiting area, direct customers to front of the line, Wheelchair availability. Customer Satisfaction Initiatives: Completed Comment Cards will be used in drawing. Other Services: Motor Vehicle transaction drop-off service, Free WiFi."
206,1,1MV,SAINT JOSEPH,1301 VILLAGE DRIVE,,ST JOSEPH,MO,64506-0000,,Buchanan,(816) 325-3013,(816) 266-4097,3,SAINTJOSEPHAGENTOFFICE@DOR.MO.GOV,"ELLE MANAGEMENT, LLC",DORTHY ROBINSON,,"Monday - Friday - 8:00 to 6:00, Saturdays - 8:00 to 2:00",,"Lincoln’s Birthday (02/12/20), President’s Day (02/17/20), Truman’s Birthday (05/08/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","3/21/2020,  03/23/20,  03/24/20,  03/25/20,  03/26/20,  03/27/20,  03/28/20,  03/30/20,  03/31/20,  04/01/20,  04/02/20,  04/03/20,  04/04/20,   4/6/2020 (open at 8:00 AM),  4/27/2020,  5/23/20,  7/4/20,  9/5/20,  11/27/20,  12/24/20,  12/26/20",,"(39.778881, -94.799601)",,https://www.facebook.com/StJosephLicenseOffice/,(314) 374-6222,,,Visit www.sharpmediallc.com/stjoe to reserve a spot in line.Contractors Web Page: https://elledmv.com/Public E-mail Address: stjosephdmv@gmail.com,"Due to COVID-19 the office is operating by appointment onlyAbility to join virtual lines and schedule appointments from your computer or mobile device. Ways to contact office: Email or ""Contact Us"" link on the internet, Facebook, Twitter and texting. Special Services for the elderly or disabled: Curbside Service, Special Appointments, Assist with changing or replacing plates/tabs, Process transactions in the customer waiting area, direct customers to front of the line, wheelchair availability. Customer Satisfaction Initiatives: completed comment cards will be used in drawing. Other Services and Initiatives: Motor Vehicle transaction drop-off service, Free WiFi."
160,5,1MV,BRIDGETON,11977 ST. CHARLES ROCK ROAD SUITE 111,,BRIDGETON,MO,63044-0000,ORCHARD BEND SHOPPING CENTER,St. Louis County,(314) 298-0127,(314) 298-0177,3,BRIDGETONAGENTOFFICE@DOR.MO.GOV,LICENSE OFFICE OPERATIONS,LESLIE BREEDING,,"Monday - Friday - 7:30 to 5:30, First & Last Saturday - 8:00 to 12:00",,"Lincoln’s Birthday (02/12/20), President’s Day (02/17/20), Truman’s Birthday (05/08/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","2/5/2020 (at 2:00 PM ), 5/23/20, 9/5/20, 11/27/20, 11/28/20, 12/24/20, 12/26/20",,"(38.7476753, -90.4217975)",Twitter.com/BridgetonLicen2,https://www.facebook.com/Bridgeton-License-Office-487641484775628/,(314) 375-3445,,,Public E-mail Address: BridgetonAgentOffice@dor.mo.gov,"Due to COVID-19 Office is temporarily adjusting hoursMonday - Friday 8:30 a.m. - 5:00 p.m.Office will have a greeter to ensure customers has proper documents, Motor Vehicle transaction drop –off service for busy times. Ways to contact office: Public E-mail, Facebook, Twitter and Texting Number. Special Services for the elderly or disabled: Curbside Service, Special Appointments, Assist with changing or replacing plates/tabs, Process transactions in the customer waiting area. Customer Satisfaction Initiatives: Completed comment cards will be used in drawing. Other Services and initiatives: Play area will be available within the waiting area for customer’s children."
092,8,1MV,TWIN CITY,101 BORGA BULDING,,FESTUS,MO,63028-1905,,Jefferson,(636) 638-1878,(636) 638-1477,3,TWINCITYAGENTOFFICE@DOR.MO.GOV,"YORK MANAGEMENT GROUP, LLC",CARL GARLAND,,"Monday - Friday  - 8:00 to 5:00, 1st & Last Saturday - 8:00 to 12:00",,"Christmas Day (12/25/19), New Year’s Day (01/01/20), Martin Luther King Day (01/20/20), President’s Day (02/17/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","7/4/20, 9/5/20, 11/27/20, 11/28/20, 12/24/20, 12/26/20",,"(38.232572, -90.393017)",,www.facebook.com/tclicense/,(314) 730-0606,,,Public E-Mail: twincity@yorkmanagementgroup.com,"Due to COVID-19 the office is temporarily adjusting hoursMonday - Friday 9:00 a.m. - 3:00 p.m.First and last Saturday of the month 8:00 a.m. - 12:00 p.m.Ways to contact office: Email or ""Contact Us"" link on the internet, Social Media and texting number. Special Services for the elderly or disabled: Curbside Service, Special Appointments, Assist with changing or replacing plates/tabs, process transactions in the customer waiting area wheelchair availability, direct customers to front of line. Customer Satisfaction Initiatives: Completed comment cards will be used in drawing. Other Services: Motor Vehicle drop off services and free WiFi."
018,3,1MV,RICHMOND,111 NORTH THORNTON,,RICHMOND,MO,64085-0000,,Ray,(816) 776-3330,(816) 776-3332,1,RICHMONDAGENTOFFICE@DOR.MO.GOV,LEXINGTON AREA CHAMBER OF COMMERCE,LESA DUNWOODIE,,"Monday - Friday - 8:30 to 4:30, LAST SAT - 8:30 to 12:00",,"Lincoln’s Birthday (02/12/20), President’s Day (02/17/20), Truman’s Birthday (05/08/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","3/18/2020, 03/19/20, 03/20/20, 03/21/20, 03/23/20, 03/24/20, 03/25/20, 03/26/20, 03/27/20, 03/28/20, 3/30/2020 (open at 8:30 AM), 3/31/2020, 04/01/20, 04/02/20, 04/03/20, 04/04/20, 04/06/20, 04/07/20, 04/08/20, 04/09/20, 4/10/20, 04/10/20, 04/11/20, 04/13/20, 04/14/20, 04/15/20, 04/16/20, 04/17/20, 04/18/20, 04/20/20, 04/21/20, 04/22/20, 04/23/20, 04/24/20, 04/25/20, 4/27/2020 (open at 8:30 AM), 11/27/20, 11/28/20, 12/24/20, 12/26/20",,"(39.278526, -93.976536)",,https://www.facebook.com/RichmondLicenseOffice/,(816) 615-3926,,,E-Mail: RichmondLicenseOffice@gmail.com,"Due to COVID-19 the office will be temporarily the number of customers allowed in the office at one timeWays to contact office: Email or ""Contact Us"" link on the internet, Facebook and texting. Special Services for the elderly or disabled: Curbside Service, Special Appointments, Assist with changing or replacing plates/tabs, Process transactions in the customer waiting area, direct customers to front of the line, wheelchair availability. Customer Satisfaction Initiatives: completed comment cards will be used in drawing. Other Services and Initiatives: Motor Vehicle transaction drop-off service, Free WiFi."
124,10,1MV,OWENSVILLE,1106 WEST HWY 28,,OWENSVILLE,MO,65066-0000,FARM BUREAU BUILDING,Gasconade,(573) 437-4182,(573) 437-7054,1,OWENSVILLEAGENTOFFICE@DOR.MO.GOV,GASCONADE COUNTY FARM BUREAU,DEBORA HECK,,"Monday - Friday - 8:30 to 4:30, All Saturdays except last - 8:30 to 11:30, Last Saturday of the month - 8:30 to 12:00",,"President’s Day (02/17/20), Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Columbus Day (10/12/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","3/31/2020, 04/01/20, 04/02/20, 04/03/20, 04/04/20, 04/06/20, 04/07/20, 04/08/20, 04/09/20, 04/10/20, 04/11/20, 04/13/20, 04/14/20, 04/15/20, 04/16/20, 04/17/20, 04/18/20, 04/20/20, 04/21/20, 04/22/20, 04/23/20, 04/24/20, 04/25/20, 4/30/2020 (open at 8:30 AM), 5/23/20, 7/4/20, 9/5/20, 11/27/20, 11/28/20, 12/24/20, 12/26/20",,"(38.336974, -91.519297)",,,,,,Public E-mail Address: Owensvillelicense@hotmail.com,Due to COVID-19 the office will be temporarily the number of customers allowed in the office at one time
019,1,1MV,ROCK PORT,214 SOUTH MAIN STREET,,ROCK PORT,MO,64482,ROCK PORT TELEPHONE CO BUILDING,Atchison,(660) 744-2828,(660) 744-6499,1,ROCKPORTAGENTOFFICE@DOR.MO.GOV,MIDWEST DATA CENTER INC,CARRIE STONER,,Monday - Friday - 8:00 to 4:30,,"Memorial Day (05/25/20), Independence Day (07/03/20), Labor Day (09/07/20), Veterans Day (11/11/20), Thanksgiving (11/26/20), Christmas Day (12/25/20)","3/23/2020,  03/24/20,  03/25/20,  03/26/20,  03/27/20,  03/28/20,  03/30/20,  03/31/20,  04/01/20,  04/02/20,  04/03/20,  04/04/20,  4/6/2020 (open at 8:00 AM),  04/07/20,  04/08/20,  04/09/20,  04/10/20,  04/11/20,  04/13/20,  04/14/20,  04/15/20,  04/16/20,  04/17/20,  04/18/20,  04/20/20,  04/21/20,  04/22/20,  04/23/20,  04/24/20,  04/25/20,  04/27/20,  04/28/20,  04/29/20,  04/30/20,  05/01/20,  05/02/20,   5/4/2020 (open at 8:00 AM), 05/05/20, 05/06/20, 05/07/20, 05/08/20, 05/09/20,  5/11/2020 (open at 8:00 AM ),  11/27/20,  12/24/20 (p.m. only)",,"(40.4131712, -95.5148379)",,,,,,,"Due to COVID-19 the office is closed until May 11, 2020"
