Application Type,Application Number,Process Date,Issued Date,Final Date,Expire Date,Street number,Street Pre direction,Street name,Street Post direction,Street suffix,City,State   ,Zip Code,Proposed Construction,Section 59,Existing Structure,New SFD,Non Complying,Non Conforming,Proposed Structure,Room Add,Accessory structure,Fence - Retaining wall,Porch,Swim Pool,Garage - Carport,Shed,Deck,Other,Zoning Type,Location,Comments,Location1
DEVELOPMENT STANDARDS VARIANCE,220782,03/14/2003,03/19/2003,,,9509,,CLEMENT,,RD,SILVER SPRING,MD,20910,OF A ROOM ADDN REQ A VAR FROM THE 20' REAR YD SETBACK.,C-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,BLDG PERMIT#300109,"9509 CLEMENT RD
SILVER SPRING, MD 20910
(39.008485, -77.028584)"
DEVELOPMENT STANDARDS VARIANCE,227299,03/09/2004,03/10/2004,,,6508,,ALLEGHENY,,AVE,TAKOMA PARK,MD,20912,OF A NEW DWELLING REPLACES EX. HOUSE IN SAME LOCATION.,C-1.323(a),N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,R-60,,,"6508 ALLEGHENY AVE
TAKOMA PARK, MD 20912
(38.970665, -77.005245)"
DEVELOPMENT STANDARDS VARIANCE,219829,12/13/2002,12/13/2002,,,15804,,ESQUIRE,,CT,ROCKVILLE,MD,20855,EXISTING 1888 SFD REQ A VAR FROM FRONT MIN SETBACKS.,C-1.323(a),Y,N,N,N,N,N,N,N,N,N,N,N,N,N,R-200,,,"15804 ESQUIRE CT
ROCKVILLE, MD 20855
(39.115101, -77.159425)"
DEVELOPMENT STANDARDS VARIANCE,266455,07/30/2010,07/30/2010,,,231,,GRANT,,AVE,TAKOMA PARK,MD,20912,OF A SHED REQ A VAR FROM 60' STREET LINE SETBACK.,C-1.326(a)(2)(A),N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,R-60,,building permit denial to reduce setback from street line,"231 GRANT AVE
TAKOMA PARK, MD 20912
(38.983324, -77.011761)"
DEVELOPMENT STANDARDS VARIANCE,362765,03/29/2018,,,,,,,,,,,,is a new home. The established building line is 100.45,4.4.7. B-2,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,R-200,,,
DEVELOPMENT STANDARDS VARIANCE,261521,05/05/2009,05/06/2009,,,701,,RICHMOND,,AVE,SILVER SPRING,MD,20910,OF ROOM ADDN REQ A VAR FROM 25' SETBACK @ RICHMOND AVE,C-1.323(a),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,building permit denial to reduce front yard setback from 25' to 15.26' along Richmond Avenue,"701 RICHMOND AVE
SILVER SPRING, MD 20910
(38.987348, -77.01771)"
DEVELOPMENT STANDARDS VARIANCE,361476,01/04/2018,01/05/2018,01/05/2018,,17500,,RIDGE,,DR,ROCKVILLE,MD,20853,solar array forward of rear bldg line.59.4.4.6.B.2.c.,4.4.6.B.2,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,RE-1,,REQUIRES A 2FT VARIANCE&nbsp; FOR ACCESSORY STRUCTURE - AS IT IS WITHIN 13 FT OF&nbsp;THE SIDE LOT LINE.,"17500 RIDGE DR
ROCKVILLE, MD 20853
(39.142899, -77.10132)"
DEVELOPMENT STANDARDS VARIANCE,327546,12/05/2014,,,,11819,,GAINSBOROUGH,,RD,POTOMAC,MD,20854,IS A NEW HOME. NEEDS 5.05 FT. HEIGHT VARIANCE,,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,R-90,,,"11819 GAINSBOROUGH RD
POTOMAC, MD 20854
(39.050003, -77.156104)"
DEVELOPMENT STANDARDS VARIANCE,216667,04/19/2002,04/19/2002,,,727,,EASLEY,,ST,SILVER SPRING,MD,20910,OF A  ROOM ADDN REQ A VAR FROM THE EST BLDG LINE.,C-1.323(a),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,BLDG PERMIT#274865,"727 EASLEY ST
SILVER SPRING, MD 20910
(38.994144, -77.020291)"
DEVELOPMENT STANDARDS VARIANCE,203708,03/16/2000,03/16/2000,,,7110,,EXETER,,RD,BETHESDA,MD,20814,OF AN ADDITION ON A CORNER LOT REQUIRES A VARIANCE.,C-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,,"7110 EXETER RD
BETHESDA, MD 20814
(38.981664, -77.103056)"
DEVELOPMENT STANDARDS VARIANCE,272322,12/16/2011,,,,8600,,OLD GEORGETOWN,,RD,BETHESDA,MD,20817,DRIVE AISLES EXTEND UP TO THE 20'BEYOND PARKING SETBACK,E-2.83(b),N,N,N,N,N,N,N,N,N,N,N,N,N,Y,R-60,,,"8600 OLD GEORGETOWN RD
BETHESDA, MD 20817
(38.997251, -77.10922)"
DEVELOPMENT STANDARDS VARIANCE,253730,07/06/2007,07/06/2007,,,9,,SCHINDLER,,CT,SILVER SPRING,MD,20903,OF A CARPORT REQ A VAR FROM 8'MIN & 25' TOTAL SIDE YDS.,C-1.323(b)(1),N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-90,,building permit denial to reduce the minimum side yard setback from 8' to 0' and the total side yard setback from 25' to 15',"9 SCHINDLER CT
SILVER SPRING, MD 20903
(39.026731, -76.989413)"
DEVELOPMENT STANDARDS VARIANCE,237613,06/24/2005,06/24/2005,,,3921,,ASPEN,,ST,CHEVY CHASE,MD,20815,OF EXISTING SFD REQ A VAR FROM 7' SIDE YARD SETBACK.,B-5.3(a),Y,N,N,N,N,N,N,N,N,N,N,N,N,N,R-60,,permit denial to reduce existing SFD from 7' to 5.7' from side yard,"3921 ASPEN ST
CHEVY CHASE, MD 20815
(38.98624, -77.079356)"
DEVELOPMENT STANDARDS VARIANCE,245023,04/11/2006,04/11/2006,04/11/2006,,3704,,THORNAPPLE,,ST,CHEVY CHASE,MD,20815,ENCROACHES ON THE EST. BLDG. LINE WHICH IS 27.1 FT.,C-1.323(a)&59-A-5.33,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,R-60,,,"3704 THORNAPPLE ST
CHEVY CHASE, MD 20815
(38.982302, -77.074047)"
DEVELOPMENT STANDARDS VARIANCE,261504,05/04/2009,05/04/2009,,,16536,,BAEDERWOOD,,LN,ROCKVILLE,MD,20855,GARAGE REQ A VAR FROM 12' MIN & 25' TOTAL SIDE YARDS.,C-1.323(b)(1),N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-200,,building permit denial to reduce side yard setback from 12' to 3' and total side yard setback from 25' to 16',"16536 BAEDERWOOD LN
ROCKVILLE, MD 20855
(39.127938, -77.154334)"
DEVELOPMENT STANDARDS VARIANCE,214721,11/30/2001,11/30/2001,09/28/2006,,2505,,FOREST GLEN,,RD,SILVER SPRING,MD,20910,DETACHED GARAGE REQUIRES A VARIANCE FROM THE SIDE YARD,C-1.326(a)(2)(C)(4),N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-60,,,"2505 FOREST GLEN RD
SILVER SPRING, MD 20910
(39.01454, -77.052985)"
DEVELOPMENT STANDARDS VARIANCE,272567,01/12/2012,01/12/2012,,,8001,,MAPLE,,AVE,TAKOMA PARK,MD,20912,OF PORCH & ROOM ADDN REQ VAR FROM 25' FRONT YD SETBACK,C-1.323(a),N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,R-40,,building permit denial to reduce front yard setback of proposed screened porch and room addition from 25' to 13',"8001 MAPLE AVE
TAKOMA PARK, MD 20912
(38.987266, -77.003494)"
DEVELOPMENT STANDARDS VARIANCE,230698,07/27/2004,07/27/2004,,,8302,,MACARTHUR,,BLVD,CABIN JOHN,MD,20818,EXISTING SFD REQ A VAR FROM 30' FRONT SETBACK.,C-1.323(a),Y,N,N,N,N,N,N,N,N,N,N,N,N,N,R-90,,permit denial for existing dwellign to reduce front yard setback from 30' to 0.59',"8302 MACARTHUR BLVD
CABIN JOHN, MD 20818
(38.974306, -77.16962)"
DEVELOPMENT STANDARDS VARIANCE,234197,02/10/2005,,,,5206,,FALMOUTH,,CT,BETHESDA,MD,20816,OF A 2ND FL ROOM ADDN REQ A VAR FROM THE 20' REAR YARD,C-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,building permit denial to reduce rear yard setback for second floor room addition,"5206 FALMOUTH CT
BETHESDA, MD 20816
(38.951654, -77.105399)"
DEVELOPMENT STANDARDS VARIANCE,218014,07/16/2002,07/16/2002,07/16/2002,,12101,,CHARLES,,RD,SILVER SPRING,MD,20906,OF A ROOM ADDN REQ A VAR FROM THE 42' EST BLDG LINE.,C-1.323(a),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,BLDG PERMIT#282116,"12101 CHARLES RD
SILVER SPRING, MD 20906
(39.05364, -77.085468)"
DEVELOPMENT STANDARDS VARIANCE,226550,02/06/2004,02/06/2004,,,14801,,HAROLD,,RD,SILVER SPRING,MD,20905,OF A GARAGE REQ A VAR FROM THE 73.3' EST BLDG LINE.,C-1.323(a),N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-200,,variance for attached garage to reduce front setback from 73.3' to 63'-BLDG PERMIT#331348,"14801 HAROLD RD
SILVER SPRING, MD 20905
(39.097718, -76.977649)"
DEVELOPMENT STANDARDS VARIANCE,214522,11/13/2001,11/13/2001,,,19413,,FREDERICK,,RD,GERMANTOWN,MD,20876,IS AN ADD BEYOND THE ESTABLISHED BLDG LINE OF 115 FEET,C-1.323(a),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-200,,,"19413 FREDERICK RD
GERMANTOWN, MD 20876
(39.175317, -77.23792)"
DEVELOPMENT STANDARDS VARIANCE,221975,05/30/2003,05/30/2003,,,19,,WESSEX,,RD,SILVER SPRING,MD,20910,OF A 1 STY ROOM ADDN REQ A VAR FROM THE 20' REAR YARD.,C-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,,"19 WESSEX RD
SILVER SPRING, MD 20910
(38.992922, -77.008249)"
DEVELOPMENT STANDARDS VARIANCE,221469,05/07/2003,05/07/2003,,,8205,,GARFIELD,,ST,BETHESDA,MD,20817,OF A ROOM ADDN REQ A VAR FROM THE REAR YARD SETBACK.,C-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,BLDG PERMIT #305139,"8205 GARFIELD ST
BETHESDA, MD 20817
(38.992835, -77.1156)"
DEVELOPMENT STANDARDS VARIANCE,209248,12/04/2000,12/04/2000,,,8014,,GLENDALE,,RD,CHEVY CHASE,MD,20815,OF A CARPORT REQUIRES A VARIANCE,C-1.323(b)(1),N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-90,,,"8014 GLENDALE RD
CHEVY CHASE, MD 20815
(38.991061, -77.07449)"
DEVELOPMENT STANDARDS VARIANCE,237718,06/29/2005,08/30/2006,,,2209,,MICHIGAN,,AVE,SILVER SPRING,MD,20910,OF A 2 STY ROOM ADDN REQ A VAR FROM 25' STREET SETBACK,C-1.323(a),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,building permit denial to reduce streetline setback from 25' to 6.2',"2209 MICHIGAN AVE
SILVER SPRING, MD 20910
(39.002416, -77.047887)"
DEVELOPMENT STANDARDS VARIANCE,208643,10/20/2000,10/20/2000,,,7203,,DENTON,,RD,BETHESDA,MD,20814,IS A COVERED PORCH AT THE FRONT,c-1.323(a),N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,R-60,,,"7203 DENTON RD
BETHESDA, MD 20814
(38.98225, -77.101851)"
DEVELOPMENT STANDARDS VARIANCE,223315,07/29/2003,,,,12709,,CASTLELEIGH,,CT,SILVER SPRING,MD,20904,OF A PORCH REQ A VAR FROM THE 30' REAR YD SETBACK.,C-1.323(b)(2),N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,R-90,,BLDG PERMIT#313700,"12709 CASTLELEIGH CT
SILVER SPRING, MD 20904
(39.064641, -76.939397)"
DEVELOPMENT STANDARDS VARIANCE,204246,04/10/2000,04/10/2000,,,4135,,WOODBINE,,ST,CHEVY CHASE,MD,20815,IS A GARAGE ON THE SIDE PROPERTY LINE IN A R-60 ZONE.,C-1.326(a)(2)(C),N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,R-60,,,"4135 WOODBINE ST
CHEVY CHASE, MD 20815
(38.984792, -77.082617)"
DEVELOPMENT STANDARDS VARIANCE,299207,08/14/2013,,,,7025,,MACARTHUR,,BLVD,BETHESDA,MD,20816,min. setback is 5ft.Garage is 16 feet tall to roof mean,C-1.326(a)(3)(B),N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,R-90,,"CASE; A-6418 PETITION TO EXTEND TIME FOR WRITTEN DECISION OF THE BOARD WAS GRANTED - COPY SENT TO IMAGING ON THIS DATE(JR), VARIANCE GRANTED: 11-20-2013 EFFECTIVE DATE: 12-20-2013","7025 MACARTHUR BLVD
BETHESDA, MD 20816
(38.958461, -77.130784)"
DEVELOPMENT STANDARDS VARIANCE,270955,08/15/2011,08/15/2011,,,7817,,POLARA,,PL,ROCKVILLE,MD,20855,OF A ROOM ADDN REQ A VAR FROM 25' REAR YD SETBACK.,C-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-90,,building permit denial to reduce rear yard setback from 25' to 20',"7817 POLARA PL
ROCKVILLE, MD 20855
(39.136661, -77.160894)"
DEVELOPMENT STANDARDS VARIANCE,206949,09/01/2000,09/01/2000,04/26/2002,,5524,,PEMBROKE,,RD,BETHESDA,MD,20817,IS A NEW HOUSE.(EST.BUILDING LINE 82FT PER APPLICANT),c-1.323(a),N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,R-90,,,"5524 PEMBROKE RD
BETHESDA, MD 20817
(38.977765, -77.11131)"
DEVELOPMENT STANDARDS VARIANCE,226678,02/13/2004,02/13/2004,,,727,,SILVER SPRING,,AVE,SILVER SPRING,MD,20910,OF A 2ND FL ROOM ADDN REQ A VAR FROM THE 25' FRONT YD.,C-1.323(a),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,denial statement for proposed second floor over existing dwelling,"727 SILVER SPRING AVE
SILVER SPRING, MD 20910
(38.991858, -77.019016)"
DEVELOPMENT STANDARDS VARIANCE,262813,08/19/2009,08/19/2009,,,18312,,DARNELL,,DR,OLNEY,MD,20832,OF A SHED REQ A VAR FROM 12' SIDE YD SETBACK-LEFTSIDE,C-1.326(a)(2)(C),N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,R-200,,building permit denial to reduce side yard setback for proposed 144 sq/ft shed from the required 12' side yard setback,"18312 DARNELL DR
OLNEY, MD 20832
(39.15726, -77.086057)"
DEVELOPMENT STANDARDS VARIANCE,218033,07/17/2002,07/17/2002,,,5225,,ELLIOTT,,RD,BETHESDA,MD,20816,OF A BAY WINDOW REQ A VAR FROM THE SIDE YARD SETBACK.,C-1.323(b)(1),N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,R-60,,BLDG PERMIT#282896,"5225 ELLIOTT RD
BETHESDA, MD 20816
(38.95102, -77.105455)"
DEVELOPMENT STANDARDS VARIANCE,237827,07/01/2005,07/01/2005,,,11231,,RIVER VIEW,,DR,POTOMAC,MD,20854,OF A GATEHOUSE REQ A VAR TO BE LOCATED IN FRONT YARD.,C-1.326(a),N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,RE-2C,,building permit denial to allow gatehouse to remain in front yard,"11231 RIVER VIEW DR
POTOMAC, MD 20854
(39.024837, -77.235653)"
DEVELOPMENT STANDARDS VARIANCE,217918,07/10/2002,07/10/2002,,,7309,,NEEDWOOD,,RD,ROCKVILLE,MD,20855,OF A SHED REQ A VAR FROM THE REAR YARD SETBACK.,C-1.326(a)(2)(B),N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,R-200,,BLDG PERMIT#282255,"7309 NEEDWOOD RD
ROCKVILLE, MD 20855
(39.122894, -77.149575)"
DEVELOPMENT STANDARDS VARIANCE,208983,11/13/2000,11/13/2000,,,11008,,PICASSO,,LN,POTOMAC,MD,20854,IS A 8FT.FENCE(ACC.STRUCTURE)PARTIALLY IN SIDE YARD,1.326(a)(2)(C),N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,R-200,,,"11008 PICASSO LN
POTOMAC, MD 20854
(38.992781, -77.227272)"
DEVELOPMENT STANDARDS VARIANCE,358436,06/15/2017,,,,6814,,GREYSWOOD,,RD,BETHESDA,MD,20817,of an addn req a variance from 8' side setback,4.4.8.B.2,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-90,,,"6814 GREYSWOOD RD
BETHESDA, MD 20817
(39.017787, -77.141021)"
DEVELOPMENT STANDARDS VARIANCE,252911,05/15/2007,05/15/2007,,,4626,,ASPEN HILL,,RD,ROCKVILLE,MD,20853,OF A ROOM ADDN REQ A VAR FROM 8' SIDE YARD SETBACK.,C-1.323(b)(1),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,building permit denial to reduce side yard setback from 8' to 5' as authorized in previous approved variance case A-5320,"4626 ASPEN HILL RD
ROCKVILLE, MD 20853
(39.075699, -77.093347)"
DEVELOPMENT STANDARDS VARIANCE,204619,04/28/2000,05/02/2000,,,4336,,LELAND,,ST,CHEVY CHASE,MD,20815,IS FOR A FRONT PORCH BEYOND THE EBL.,C-1.323(a),N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,R-60,,,"4336 LELAND ST
CHEVY CHASE, MD 20815
(38.980508, -77.088012)"
DEVELOPMENT STANDARDS VARIANCE,355613,12/02/2016,,,,14528,,TURKEY FOOT,,RD,GAITHERSBURG,MD,20878,Addition to existing home and porches,4.4.4.B.2,Y,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,RE-2,,Proposed 2nd story addition over existing house and porch with 4' additional footprint. &nbsp;Need variance in front and rear setbacks.,"14528 TURKEY FOOT RD
GAITHERSBURG, MD 20878
(39.093292, -77.274596)"
DEVELOPMENT STANDARDS VARIANCE,200543,09/20/1999,09/20/1999,,,5,,MILESTONE CENTER,,CT,GERMANTOWN,MD,20876,IS CELLULAR TOWERS,C-5.34(a)(4),N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,I-3,,,"5 MILESTONE CENTER CT
GERMANTOWN, MD 20876
(39.201681, -77.259866)"
DEVELOPMENT STANDARDS VARIANCE,225802,12/11/2003,12/11/2003,,,6112,,MAIDEN,,LN,BETHESDA,MD,20817,OF A GARAGE REQ A VAR FROM THE 8' MIN & 25' TOTAL YDS.,C-1.323(b)(1),N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-90,,denial statement for variance to construct garage within 5 feet of side lot line and less 25 foot total side yards-BLDG PERMIT#327373,"6112 MAIDEN LN
BETHESDA, MD 20817
(38.984375, -77.122914)"
DEVELOPMENT STANDARDS VARIANCE,366004,11/09/2018,,,,3614,,TAYLOR,,ST,CHEVY CHASE,MD,20815,is a garage addition facing Fulton Street,4.4.9 B- 2,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-60,,,"3614 TAYLOR ST
CHEVY CHASE, MD 20815
(38.980973, -77.073577)"
DEVELOPMENT STANDARDS VARIANCE,217521,06/18/2002,06/18/2002,,,13301,,NEW HAMPSHIRE,,AVE,SILVER SPRING,MD,20904,OF A 8' FENCE ADJACENT TO R-90 REAR LOT LINE REQ A VAR,C-4.343(b)(1),N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,C-1,,,"13301 NEW HAMPSHIRE AVE
SILVER SPRING, MD 20904
(39.073661, -77.002456)"
DEVELOPMENT STANDARDS VARIANCE,208635,10/20/2000,10/20/2000,10/20/2000,,6003,,POINDEXTER,,LN,ROCKVILLE,MD,20852,REQUIRES VARIANCE FROM 30.1' ESTABLISHED BLDG. LINE.,C-1.323(a),N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,R-200,,,"6003 POINDEXTER LN
ROCKVILLE, MD 20852
(39.04036, -77.123381)"
DEVELOPMENT STANDARDS VARIANCE,265294,04/13/2010,04/13/2010,,,6516,,75TH,,PL,CABIN JOHN,MD,20818,OF DECK REQ VAR FROM 9' EXEMPTION ALONG ARDEN ROAD,C-1.323(a),N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,R-90,,building permit denial to reduce 9' exemption of proposed deck from 9' to 5.5' along Arden Road,"6516 75TH PL
CABIN JOHN, MD 20818
(38.974605, -77.154267)"
DEVELOPMENT STANDARDS VARIANCE,218527,08/26/2002,08/26/2002,,,10420,,WINDFALL,,CT,DAMASCUS,MD,20872,OF A CARPORT REQ A VAR FROM THE 10' MIN SIDE YARD.,C-1.433(b),N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-150,,,"10420 WINDFALL CT
DAMASCUS, MD 20872
(39.258212, -77.21595)"
DEVELOPMENT STANDARDS VARIANCE,220919,03/26/2003,03/26/2003,,,8515,,HEMPSTEAD,,AVE,BETHESDA,MD,20817,OF A 2ND FLOOR ROOM ADDITION REQUIRES A VARIANCE.,C-1.323(a),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,BLDG PERMIT#300943,"8515 HEMPSTEAD AVE
BETHESDA, MD 20817
(38.995818, -77.11701)"
DEVELOPMENT STANDARDS VARIANCE,248511,09/01/2006,,,,909,,EDNOR,,RD,SILVER SPRING,MD,20905,OF A SWIMMING POOL REQ A VAR TO BE PLACED IN SIDE YARD.,C-1.326(a)(1),N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,RC,,building permit denial to place swimming pool in side yard of RC (Rural Cluster),"909 EDNOR RD
SILVER SPRING, MD 20905
(39.136757, -76.99311)"
DEVELOPMENT STANDARDS VARIANCE,225768,12/10/2003,12/10/2003,,,3812,,RANDOLPH,,RD,SILVER SPRING,MD,20902,OF A ROOM ADDN REQ A VAR FROM THE 51' EST BLDG LINE,C-1.323(a),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,permit denial for room addition 20' into 51' established building line-BLDG PERMIT#327158,"3812 RANDOLPH RD
SILVER SPRING, MD 20902
(39.057313, -77.076161)"
DEVELOPMENT STANDARDS VARIANCE,359696,08/31/2017,,,,3410,,OBERON,,ST,KENSINGTON,MD,20895,of detached garage req a var to be located in front,4.4.9.2.a,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-60,,,"3410 OBERON ST
KENSINGTON, MD 20895
(39.028003, -77.06859)"
DEVELOPMENT STANDARDS VARIANCE,267847,12/20/2010,12/21/2010,,,11000,,SEVEN HILL,,LN,POTOMAC,MD,20854,OF A GENERATOR REQ A 4.5' VAR FROM 8' MIN SIDE YD SET,C-1.323(b)(1),N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,R-90,,building permit denial to reduce side yard setback of proposed generator,"11000 SEVEN HILL LN
POTOMAC, MD 20854
(39.03657, -77.157771)"
DEVELOPMENT STANDARDS VARIANCE,217922,07/10/2002,07/10/2002,,,4600,,CHASE,,AVE,BETHESDA,MD,20814,ROOM ADDITION REQ A VAR FROM THE FRONT STREET LINE.,C-1.323(a),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,BLDG PERMIT#282267,"4600 CHASE AVE
BETHESDA, MD 20814
(38.98986, -77.091948)"
DEVELOPMENT STANDARDS VARIANCE,220761,03/13/2003,03/14/2003,,,13006,,ALPENHORN,,WAY,SILVER SPRING,MD,20904,EXISTING SFD REQ A VAR FROM THE 25' MIN FRONT SETBACK.,C-1.534,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,R-200,,,"13006 ALPENHORN WAY
SILVER SPRING, MD 20904
(39.068491, -76.938007)"
DEVELOPMENT STANDARDS VARIANCE,210632,03/07/2001,03/07/2001,03/07/2001,,4524,,CHELTENHAM,,DR,BETHESDA,MD,20814,REQUIRES A VARIANCE FROM THE ESTABLISHED BUILDING LINE,C-1.323(a),N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,R-60,,,"4524 CHELTENHAM DR
BETHESDA, MD 20814
(38.988614, -77.091325)"
DEVELOPMENT STANDARDS VARIANCE,250636,12/01/2006,12/01/2006,,,2101,,PLYERS MILL,,RD,SILVER SPRING,MD,20902,OF EXISTING SFD REQ A VAR FROM 20' REAR YD SETBACK.,C-1.323(b)(2),Y,N,N,N,N,N,N,N,N,N,N,N,N,N,R-60,,building permit denial to reduce rear yard setback from 20' to 15.1',"2101 PLYERS MILL RD
SILVER SPRING, MD 20902
(39.030656, -77.045539)"
DEVELOPMENT STANDARDS VARIANCE,278949,08/17/2012,,,,706,,AUBURN,,AVE,TAKOMA PARK,MD,20912,the existing shed with a new addition is in the rear ya,C-1.326(A)(3)(B),Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,R-60,,,"706 AUBURN AVE
TAKOMA PARK, MD 20912
(38.976442, -76.995115)"
DEVELOPMENT STANDARDS VARIANCE,359869,09/13/2017,,,,14528,,TURKEY FOOT,,RD,GAITHERSBURG,MD,20878,Const.detached garage forward of rear building line,4.4.4.B.2.c,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,RE-2,,Construction of a detached garage forward of the rear building line and&nbsp; variance from front setback.,"14528 TURKEY FOOT RD
GAITHERSBURG, MD 20878
(39.093292, -77.274596)"
DEVELOPMENT STANDARDS VARIANCE,214956,05/06/2002,,,,817,,HERON,,DR,SILVER SPRING,MD,20901,IS AN EXISTING 9FT.3 INCH TALL FENCE SETBACK 3 INCHES,C-1.326(a)(2)(C)(4),Y,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,R-60,,,"817 HERON DR
SILVER SPRING, MD 20901
(39.001297, -76.993437)"
DEVELOPMENT STANDARDS VARIANCE,204505,04/25/2000,04/25/2000,,,4317,,MT OLNEY,,LN,OLNEY,MD,20832,IS A KITCHEN/GARAGE ADD IN THE RE-1/CLUSTER ZONE.,C-1.535,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,RE-1,,building permit denial to construct room extension and garage less than 15' from the side lot line or within 8',"4317 MT OLNEY LN
OLNEY, MD 20832
(39.179267, -77.074822)"
DEVELOPMENT STANDARDS VARIANCE,216090,03/15/2002,03/15/2002,,,9700,,OLD SPRING,,RD,KENSINGTON,MD,20895,OF A ROOM ADDITION REQUIRES A VARIANCE.,C-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-90,,BLDG PERMIT#279645,"9700 OLD SPRING RD
KENSINGTON, MD 20895
(39.015425, -77.071479)"
DEVELOPMENT STANDARDS VARIANCE,271133,09/01/2011,09/01/2011,,,1202,,MORNINGSIDE,,DR,SILVER SPRING,MD,20904,OF GARAGE REQ A VAR FROM 8' MIN & 25' SIDE YD SETBACKS.,C-1.323(b)(1),N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-90,,building permit denial to reduce 8' minimum side yard and 25' total side yard setback for proposed garage,"1202 MORNINGSIDE DR
SILVER SPRING, MD 20904
(39.069413, -76.986367)"
DEVELOPMENT STANDARDS VARIANCE,227291,03/08/2004,03/09/2004,,,6608,,GUDE,,AVE,TAKOMA PARK,MD,20912,NOTE: ESTABLISHED BUILDING LINE IS 25 FT.,1.323(a),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,,"6608 GUDE AVE
TAKOMA PARK, MD 20912
(38.971832, -77.00079)"
DEVELOPMENT STANDARDS VARIANCE,364992,09/10/2018,,,,8004,,CARITA,,CT,BETHESDA,MD,20817,is a one story rear addition,4.4.7 B-2,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-200,,,"8004 CARITA CT
BETHESDA, MD 20817
(39.000431, -77.16469)"
