Reporting Area,MMWR Year,MMWR Week,"Brucellosis, Current week","Brucellosis, Current week, flag","Brucellosis, Previous 52 weeks Max†","Brucellosis, Previous 52 weeks Max†, flag","Brucellosis, Cum 2020†","Brucellosis, Cum 2020†, flag","Brucellosis, Cum 2019†","Brucellosis, Cum 2019, flag","Campylobacteriosis, Current week","Campylobacteriosis, Current week, flag","Campylobacteriosis, Previous 52 weeks Max†","Campylobacteriosis, Previous 52 weeks Max†, flag","Campylobacteriosis, Cum 2020†","Campylobacteriosis, Cum 2020†, flag","Campylobacteriosis, Cum 2019†","Campylobacteriosis, Cum 2019†, flag","Candida auris, clinical§, Current week","Candida auris, clinical§, Current week, flag","Candida auris, clinical§, Previous 52 weeks Max†","Candida auris, clinical§, Previous 52 weeks Max†, flag","Candida auris, clinical§, Cum 2020†","Candida auris, clinical§, Cum 2020†, flag","Candida auris, clinical§, Cum 2019†","Candida auris, clinical§, Cum 2019, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
MONTANA,2020,16,,-,0,,,-,,-,,-,19,,28,,83,,,-,0,,,-,,-,MONTANA,,20201652,POINT (-109.645127 47.033521)
WASHINGTON,2020,6,,-,1,,,-,,-,6,,75,,166,,192,,,-,0,,,-,,-,WASHINGTON,,20200662,POINT (-120.592492 47.411715)
MASSACHUSETTS,2020,4,,-,1,,,-,,-,9,,66,,77,,85,,,-,0,,,-,,-,MASSACHUSETTS,,20200405,POINT (-71.481104 42.151077)
INDIANA,2020,4,,-,0,,,-,,-,,-,0,,,-,1,,,-,0,,,-,,-,INDIANA,,20200416,POINT (-86.2818 39.919991)
WEST NORTH CENTRAL,2020,4,,-,1,,,-,,-,12,,161,,143,,299,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200420,
FLORIDA,2020,4,,-,3,,,-,,-,,-,123,,,-,312,,,-,0,,,-,,-,FLORIDA,,20200431,POINT (-82.420978 28.260731)
WEST VIRGINIA,2020,4,,-,0,,,-,,-,,-,16,,3,,29,,,-,0,,,-,,-,WEST VIRGINIA,,20200437,POINT (-80.613729 38.642579)
MOUNTAIN,2020,4,,-,2,,,-,,-,22,,178,,145,,255,,,-,0,,,-,,-,,MOUNTAIN,20200448,
MONTANA,2020,4,,-,0,,,-,,-,,-,19,,2,,10,,,-,0,,,-,,-,MONTANA,,20200452,POINT (-109.645127 47.033521)
US TERRITORIES,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200463,
NON-US RESIDENTS,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200469,
TOTAL,2020,5,1,,7,,1,,8,,398,,2143,,2806,,5091,,,-,7,,,-,18,,,TOTAL,20200570,
US RESIDENTS,2020,5,1,,7,,1,,8,,398,,2143,,2806,,5091,,,-,7,,,-,18,,,US RESIDENTS,20200501,
NEW HAMPSHIRE,2020,5,,-,0,,,-,,-,,-,15,,6,,18,,,-,0,,,-,,-,NEW HAMPSHIRE,,20200506,POINT (-71.57139 43.680429)
NEW YORK,2020,5,,-,1,,,-,,-,24,,90,,121,,114,,,-,0,,,-,,-,NEW YORK,,20200511,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2020,5,,-,4,,,-,1,,54,,295,,213,,400,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200543,
NEBRASKA,2020,5,,-,1,,,-,,-,6,,41,,42,,31,,,-,0,,,-,,-,NEBRASKA,,20200525,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,5,,-,1,,,-,1,,7,,99,,95,,223,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200538,
NORTH DAKOTA,2020,5,,-,0,,,-,,-,,-,15,,4,,21,,,-,0,,,-,,-,NORTH DAKOTA,,20200526,POINT (-100.46931 47.446305)
ILLINOIS,2020,5,,-,2,,,-,,-,,-,86,,36,,195,,,-,7,,,-,18,,ILLINOIS,,20200515,POINT (-89.148632 40.124144)
IOWA,2020,5,,-,1,,,-,,-,12,,57,,97,,120,,,-,0,,,-,,-,IOWA,,20200521,POINT (-93.500061 42.074659)
TEXAS,2020,5,,-,3,,,-,,-,31,,199,,97,,208,,,-,0,,,-,,-,TEXAS,,20200547,POINT (-99.317341 31.447238)
ALASKA,2020,5,,-,1,,,-,,-,,-,7,,,-,16,,,-,0,,,-,,-,ALASKA,,20200558,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,5,,-,1,,,-,,-,,-,5,,,-,13,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200530,POINT (-77.016275 38.904785)
WASHINGTON,2020,5,,-,1,,,-,,-,16,,75,,143,,176,,,-,0,,,-,,-,WASHINGTON,,20200562,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,5,,-,1,,,-,,-,12,,133,,119,,226,,,-,0,,,-,,-,,NEW ENGLAND,20200502,
RHODE ISLAND,2020,5,,-,0,,,-,,-,,-,19,,2,,21,,,-,0,,,-,,-,RHODE ISLAND,,20200507,POINT (-71.534637 41.572574)
OREGON,2020,5,,-,0,,,-,,-,7,,38,,71,,94,,,-,0,,,-,,-,OREGON,,20200561,POINT (-120.605279 43.940449)
DELAWARE,2020,5,,-,2,,,-,,-,1,,11,,13,,24,,,-,0,,,-,,-,DELAWARE,,20200529,POINT (-75.452394 38.994926)
ALABAMA,2020,5,,-,1,,,-,1,,5,,24,,36,,69,,,-,0,,,-,,-,ALABAMA,,20200539,POINT (-86.844516 32.756889)
KANSAS,2020,5,,-,0,,,-,,-,,-,23,,,-,54,,,-,0,,,-,,-,KANSAS,,20200522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,5,,-,1,,,-,,-,,-,66,,19,,163,,,-,0,,,-,,-,NORTH CAROLINA,,20200534,POINT (-79.130883 35.52603)
GUAM,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200566,POINT (144.653198 13.3532)
NEW JERSEY,2020,5,,-,1,,,-,,-,,-,67,,,-,170,,,-,0,,,-,,-,NEW JERSEY,,20200510,POINT (-74.655514 40.110253)
NEW MEXICO,2020,5,,-,0,,,-,,-,,-,34,,23,,42,,,-,0,,,-,,-,NEW MEXICO,,20200554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,5,,-,2,,,-,,-,38,,274,,308,,625,,,-,7,,,-,18,,,EAST NORTH CENTRAL,20200514,
TENNESSEE,2020,5,,-,1,,,-,,-,,-,32,,29,,68,,,-,0,,,-,,-,TENNESSEE,,20200542,POINT (-86.343226 35.842998)
NON-US RESIDENTS,2020,5,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200569,
GUAM,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200666,POINT (144.653198 13.3532)
LOUISIANA,2020,5,,-,1,,,-,1,,,-,32,,15,,91,,,-,0,,,-,,-,LOUISIANA,,20200545,POINT (-91.840238 30.921314)
HAWAII,2020,5,,-,1,,,-,,-,1,,21,,24,,29,,,-,0,,,-,,-,HAWAII,,20200560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,5,,-,3,,,-,1,,38,,325,,242,,983,,,-,0,,,-,,-,,SOUTH ATLANTIC,20200528,
PENNSYLVANIA,2020,5,,-,1,,,-,,-,28,,94,,166,,222,,,-,0,,,-,,-,PENNSYLVANIA,,20200513,POINT (-77.838886 40.896694)
UTAH,2020,5,,-,1,,,-,1,,,-,22,,21,,44,,,-,0,,,-,,-,UTAH,,20200555,POINT (-111.678222 39.323779)
COLORADO,2020,5,,-,1,,,-,,-,,-,45,,41,,77,,,-,0,,,-,,-,COLORADO,,20200550,POINT (-105.547832 38.998552)
VERMONT,2020,5,,-,0,,,-,,-,,-,9,,10,,13,,,-,0,,,-,,-,VERMONT,,20200508,POINT (-72.662695 44.075252)
KENTUCKY,2020,5,,-,0,,,-,,-,,-,44,,,-,43,,,-,0,,,-,,-,KENTUCKY,,20200540,POINT (-85.290484 37.526683)
PUERTO RICO,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200567,POINT (-66.414655 18.215692)
MAINE,2020,5,,-,0,,,-,,-,3,,8,,10,,11,,,-,0,,,-,,-,MAINE,,20200504,POINT (-69.06137 45.117911)
VIRGINIA,2020,5,,-,1,,,-,,-,14,,84,,91,,92,,,-,0,,,-,,-,VIRGINIA,,20200536,POINT (-78.666382 37.510861)
ARIZONA,2020,5,1,,1,,1,,,-,8,,65,,56,,99,,,-,0,,,-,,-,ARIZONA,,20200549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200564,
WISCONSIN,2020,5,,-,1,,,-,,-,12,,55,,82,,113,,,-,0,,,-,,-,WISCONSIN,,20200519,POINT (-89.732969 44.639954)
IDAHO,2020,5,,-,1,,,-,,-,1,,24,,23,,21,,,-,0,,,-,,-,IDAHO,,20200551,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200568,POINT (-64.840836 18.060868)
MICHIGAN,2020,5,,-,1,,,-,,-,1,,59,,32,,127,,,-,0,,,-,,-,MICHIGAN,,20200517,POINT (-85.730977 44.874798)
GEORGIA,2020,5,,-,0,,,-,,-,,-,42,,,-,116,,,-,0,,,-,,-,GEORGIA,,20200532,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,5,,-,1,,,-,1,,63,,76,,297,,302,,,-,0,,,-,,-,,NEW YORK CITY,20200512,
ARKANSAS,2020,5,,-,1,,,-,,-,9,,28,,39,,33,,,-,0,,,-,,-,ARKANSAS,,20200544,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,5,,-,0,,,-,,-,2,,23,,30,,43,,,-,0,,,-,,-,MISSISSIPPI,,20200541,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,5,,-,0,,,-,,-,,-,30,,9,,22,,,-,0,,,-,,-,SOUTH DAKOTA,,20200527,POINT (-100.230491 44.43614)
WYOMING,2020,5,,-,0,,,-,,-,,-,11,,,-,10,,,-,0,,,-,,-,WYOMING,,20200556,POINT (-107.55145 42.999627)
MISSOURI,2020,5,,-,1,,,-,,-,,-,49,,25,,113,,,-,0,,,-,,-,MISSOURI,,20200524,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,5,,-,2,,,-,1,,115,,314,,584,,808,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200509,
CALIFORNIA,2020,5,,-,2,,,-,3,,83,,309,,661,,828,,,-,0,,,-,,-,CALIFORNIA,,20200559,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,5,,-,0,,,-,,-,,-,16,,4,,39,,,-,0,,,-,,-,WEST VIRGINIA,,20200537,POINT (-80.613729 38.642579)
FLORIDA,2020,5,,-,3,,,-,,-,,-,123,,,-,407,,,-,0,,,-,,-,FLORIDA,,20200531,POINT (-82.420978 28.260731)
MONTANA,2020,5,,-,0,,,-,,-,,-,19,,3,,13,,,-,0,,,-,,-,MONTANA,,20200552,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,5,,-,1,,,-,,-,18,,161,,177,,361,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200520,
MASSACHUSETTS,2020,5,,-,1,,,-,,-,9,,66,,91,,109,,,-,0,,,-,,-,MASSACHUSETTS,,20200505,POINT (-71.481104 42.151077)
MOUNTAIN,2020,5,1,,2,,1,,1,,9,,178,,169,,322,,,-,0,,,-,,-,,MOUNTAIN,20200548,
INDIANA,2020,5,,-,0,,,-,,-,,-,0,,,-,1,,,-,0,,,-,,-,INDIANA,,20200516,POINT (-86.2818 39.919991)
US TERRITORIES,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200563,
WEST NORTH CENTRAL,2020,16,,-,2,,,-,3,,15,,229,,619,,1566,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20201620,
TOTAL,2020,6,,-,7,,1,,10,,356,,2136,,3448,,6097,,,-,7,,,-,20,,,TOTAL,20200670,
US RESIDENTS,2020,6,,-,7,,1,,10,,356,,2136,,3448,,6097,,,-,7,,,-,20,,,US RESIDENTS,20200601,
NEW HAMPSHIRE,2020,6,,-,0,,,-,,-,3,,15,,14,,23,,,-,0,,,-,,-,NEW HAMPSHIRE,,20200606,POINT (-71.57139 43.680429)
NEW YORK,2020,6,,-,1,,,-,,-,26,,90,,147,,145,,,-,0,,,-,,-,NEW YORK,,20200611,POINT (-75.59655 42.921241)
PACIFIC,2020,6,,-,2,,,-,4,,79,,418,,1025,,1324,,,-,0,,,-,,-,,PACIFIC,20200657,
WEST SOUTH CENTRAL,2020,6,,-,4,,,-,1,,62,,295,,293,,503,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200643,
NEBRASKA,2020,6,,-,1,,,-,,-,6,,41,,52,,42,,,-,0,,,-,,-,NEBRASKA,,20200625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,6,,-,1,,,-,1,,5,,99,,117,,274,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200638,
NORTH DAKOTA,2020,6,,-,0,,,-,,-,,-,15,,5,,24,,,-,0,,,-,,-,NORTH DAKOTA,,20200626,POINT (-100.46931 47.446305)
NEVADA,2020,6,,-,1,,,-,,-,,-,9,,2,,21,,,-,0,,,-,,-,NEVADA,,20200653,POINT (-114.916992 39.283294)
ILLINOIS,2020,6,,-,2,,,-,,-,,-,86,,82,,230,,,-,7,,,-,20,,ILLINOIS,,20200615,POINT (-89.148632 40.124144)
IOWA,2020,6,,-,1,,,-,,-,10,,57,,113,,143,,,-,0,,,-,,-,IOWA,,20200621,POINT (-93.500061 42.074659)
TEXAS,2020,6,,-,3,,,-,,-,38,,199,,154,,266,,,-,0,,,-,,-,TEXAS,,20200647,POINT (-99.317341 31.447238)
ALASKA,2020,6,,-,1,,,-,,-,,-,7,,,-,18,,,-,0,,,-,,-,ALASKA,,20200658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,6,,-,1,,,-,,-,,-,5,,,-,16,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200630,POINT (-77.016275 38.904785)
NEW ENGLAND,2020,6,,-,1,,,-,,-,12,,133,,158,,264,,,-,0,,,-,,-,,NEW ENGLAND,20200602,
RHODE ISLAND,2020,6,,-,0,,,-,,-,1,,19,,17,,29,,,-,0,,,-,,-,RHODE ISLAND,,20200607,POINT (-71.534637 41.572574)
OREGON,2020,6,,-,0,,,-,,-,9,,38,,78,,110,,,-,0,,,-,,-,OREGON,,20200661,POINT (-120.605279 43.940449)
DELAWARE,2020,6,,-,2,,,-,,-,,-,11,,13,,26,,,-,0,,,-,,-,DELAWARE,,20200629,POINT (-75.452394 38.994926)
ALABAMA,2020,6,,-,1,,,-,1,,1,,24,,47,,84,,,-,0,,,-,,-,ALABAMA,,20200639,POINT (-86.844516 32.756889)
KANSAS,2020,6,,-,0,,,-,,-,,-,23,,,-,65,,,-,0,,,-,,-,KANSAS,,20200622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,6,,-,1,,,-,,-,,-,66,,50,,201,,,-,0,,,-,,-,NORTH CAROLINA,,20200634,POINT (-79.130883 35.52603)
NEW JERSEY,2020,6,,-,1,,,-,,-,,-,67,,,-,213,,,-,0,,,-,,-,NEW JERSEY,,20200610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,6,,-,0,,,-,,-,,-,34,,31,,52,,,-,0,,,-,,-,NEW MEXICO,,20200654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,6,,-,2,,,-,,-,32,,267,,396,,732,,,-,7,,,-,20,,,EAST NORTH CENTRAL,20200614,
TENNESSEE,2020,6,,-,1,,,-,,-,4,,32,,41,,91,,,-,0,,,-,,-,TENNESSEE,,20200642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,6,,-,0,,,-,,-,,-,29,,,-,61,,,-,0,,,-,,-,CONNECTICUT,,20200603,POINT (-72.738288 41.575155)
MARYLAND,2020,6,,-,1,,,-,,-,12,,38,,89,,95,,,-,0,,,-,,-,MARYLAND,,20200633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,6,,-,1,,,-,1,,7,,30,,52,,56,,,-,0,,,-,,-,SOUTH CAROLINA,,20200635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,6,,-,1,,,-,,-,15,,51,,77,,85,,,-,0,,,-,,-,OKLAHOMA,,20200646,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200665,POINT (145.725693 15.1834)
OHIO,2020,6,,-,0,,,-,,-,27,,99,,185,,222,,,-,0,,,-,,-,OHIO,,20200618,POINT (-82.70936 40.415534)
MINNESOTA,2020,6,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200623,POINT (-94.198308 46.349153)
LOUISIANA,2020,6,,-,1,,,-,1,,,-,32,,15,,107,,,-,0,,,-,,-,LOUISIANA,,20200645,POINT (-91.840238 30.921314)
HAWAII,2020,6,,-,1,,,-,,-,,-,21,,27,,30,,,-,0,,,-,,-,HAWAII,,20200660,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,6,,-,3,,,-,1,,37,,325,,321,,1178,,,-,0,,,-,,-,,SOUTH ATLANTIC,20200628,
PENNSYLVANIA,2020,6,,-,1,,,-,,-,28,,94,,203,,258,,,-,0,,,-,,-,PENNSYLVANIA,,20200613,POINT (-77.838886 40.896694)
UTAH,2020,6,,-,1,,,-,1,,,-,22,,27,,61,,,-,0,,,-,,-,UTAH,,20200655,POINT (-111.678222 39.323779)
COLORADO,2020,6,,-,1,,,-,,-,8,,45,,77,,95,,,-,0,,,-,,-,COLORADO,,20200650,POINT (-105.547832 38.998552)
VERMONT,2020,6,,-,0,,,-,,-,1,,9,,14,,17,,,-,0,,,-,,-,VERMONT,,20200608,POINT (-72.662695 44.075252)
KENTUCKY,2020,6,,-,0,,,-,,-,,-,44,,,-,52,,,-,0,,,-,,-,KENTUCKY,,20200640,POINT (-85.290484 37.526683)
PUERTO RICO,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200667,POINT (-66.414655 18.215692)
MAINE,2020,6,,-,0,,,-,,-,1,,8,,11,,11,,,-,0,,,-,,-,MAINE,,20200604,POINT (-69.06137 45.117911)
VIRGINIA,2020,6,,-,1,,,-,,-,18,,85,,113,,120,,,-,0,,,-,,-,VIRGINIA,,20200636,POINT (-78.666382 37.510861)
ARIZONA,2020,6,,-,1,,1,,,-,8,,65,,71,,118,,,-,0,,,-,,-,ARIZONA,,20200649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200664,
WISCONSIN,2020,6,,-,1,,,-,,-,4,,55,,85,,136,,,-,0,,,-,,-,WISCONSIN,,20200619,POINT (-89.732969 44.639954)
IDAHO,2020,6,,-,1,,,-,,-,,-,24,,23,,24,,,-,0,,,-,,-,IDAHO,,20200651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200668,POINT (-64.840836 18.060868)
MICHIGAN,2020,6,,-,1,,,-,,-,1,,59,,44,,143,,,-,0,,,-,,-,MICHIGAN,,20200617,POINT (-85.730977 44.874798)
GEORGIA,2020,6,,-,0,,,-,,-,,-,42,,,-,135,,,-,0,,,-,,-,GEORGIA,,20200632,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,6,,-,1,,,-,1,,24,,75,,316,,371,,,-,0,,,-,,-,,NEW YORK CITY,20200612,
ARKANSAS,2020,6,,-,1,,,-,,-,9,,28,,47,,45,,,-,0,,,-,,-,ARKANSAS,,20200644,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,6,,-,0,,,-,,-,,-,23,,29,,47,,,-,0,,,-,,-,MISSISSIPPI,,20200641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,6,,-,0,,,-,,-,,-,30,,12,,27,,,-,0,,,-,,-,SOUTH DAKOTA,,20200627,POINT (-100.230491 44.43614)
WYOMING,2020,6,,-,0,,,-,,-,,-,11,,,-,11,,,-,0,,,-,,-,WYOMING,,20200656,POINT (-107.55145 42.999627)
MISSOURI,2020,6,,-,1,,,-,,-,19,,49,,54,,134,,,-,0,,,-,,-,MISSOURI,,20200624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,6,,-,2,,,-,1,,78,,314,,666,,987,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200609,
CALIFORNIA,2020,6,,-,2,,,-,4,,64,,309,,754,,974,,,-,0,,,-,,-,CALIFORNIA,,20200659,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,6,,-,0,,,-,,-,,-,16,,4,,46,,,-,0,,,-,,-,WEST VIRGINIA,,20200637,POINT (-80.613729 38.642579)
FLORIDA,2020,6,,-,3,,,-,,-,,-,123,,,-,483,,,-,0,,,-,,-,FLORIDA,,20200631,POINT (-82.420978 28.260731)
MONTANA,2020,6,,-,0,,,-,,-,,-,19,,5,,18,,,-,0,,,-,,-,MONTANA,,20200652,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,6,,-,1,,,-,1,,35,,161,,236,,435,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200620,
MASSACHUSETTS,2020,6,,-,1,,,-,,-,6,,66,,102,,123,,,-,0,,,-,,-,MASSACHUSETTS,,20200605,POINT (-71.481104 42.151077)
MOUNTAIN,2020,6,,-,2,,1,,1,,16,,178,,236,,400,,,-,0,,,-,,-,,MOUNTAIN,20200648,
INDIANA,2020,6,,-,0,,,-,,-,,-,0,,,-,1,,,-,0,,,-,,-,INDIANA,,20200616,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,6,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200669,
US TERRITORIES,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200663,
TOTAL,2020,7,2,,7,,3,,12,,434,,2137,,4629,,7164,,,-,7,,,-,21,,,TOTAL,20200770,
US RESIDENTS,2020,7,2,,7,,3,,12,,434,,2137,,4629,,7164,,,-,7,,,-,21,,,US RESIDENTS,20200701,
NEW HAMPSHIRE,2020,7,,-,0,,,-,,-,2,,15,,22,,29,,,-,0,,,-,,-,NEW HAMPSHIRE,,20200706,POINT (-71.57139 43.680429)
NEW YORK,2020,7,,-,1,,,-,,-,19,,90,,167,,183,,,-,0,,,-,,-,NEW YORK,,20200711,POINT (-75.59655 42.921241)
PACIFIC,2020,7,,-,2,,,-,4,,117,,418,,1260,,1536,,,-,0,,,-,,-,,PACIFIC,20200757,
WEST SOUTH CENTRAL,2020,7,,-,4,,,-,2,,43,,295,,348,,618,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200743,
NEBRASKA,2020,7,,-,1,,,-,,-,8,,41,,60,,50,,,-,0,,,-,,-,NEBRASKA,,20200725,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,7,,-,1,,,-,1,,14,,99,,155,,316,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200738,
NORTH DAKOTA,2020,7,,-,0,,,-,,-,,-,15,,7,,30,,,-,0,,,-,,-,NORTH DAKOTA,,20200726,POINT (-100.46931 47.446305)
NEVADA,2020,7,,-,1,,,-,,-,,-,9,,9,,23,,,-,0,,,-,,-,NEVADA,,20200753,POINT (-114.916992 39.283294)
ILLINOIS,2020,7,,-,2,,,-,,-,,-,86,,92,,273,,,-,7,,,-,21,,ILLINOIS,,20200715,POINT (-89.148632 40.124144)
IOWA,2020,7,,-,1,,,-,,-,11,,57,,135,,174,,,-,0,,,-,,-,IOWA,,20200721,POINT (-93.500061 42.074659)
TEXAS,2020,7,,-,3,,,-,1,,23,,199,,191,,334,,,-,0,,,-,,-,TEXAS,,20200747,POINT (-99.317341 31.447238)
ALASKA,2020,7,,-,1,,,-,,-,,-,7,,,-,21,,,-,0,,,-,,-,ALASKA,,20200758,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,7,,-,1,,,-,,-,,-,7,,2,,18,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200730,POINT (-77.016275 38.904785)
WASHINGTON,2020,7,,-,1,,,-,,-,13,,75,,192,,216,,,-,0,,,-,,-,WASHINGTON,,20200762,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,7,,-,1,,,-,,-,14,,133,,197,,312,,,-,0,,,-,,-,,NEW ENGLAND,20200702,
RHODE ISLAND,2020,7,,-,0,,,-,,-,,-,19,,18,,32,,,-,0,,,-,,-,RHODE ISLAND,,20200707,POINT (-71.534637 41.572574)
OREGON,2020,7,,-,0,,,-,,-,2,,38,,103,,126,,,-,0,,,-,,-,OREGON,,20200761,POINT (-120.605279 43.940449)
DELAWARE,2020,7,,-,2,,,-,,-,1,,11,,18,,31,,,-,0,,,-,,-,DELAWARE,,20200729,POINT (-75.452394 38.994926)
ALABAMA,2020,7,,-,1,,,-,1,,2,,24,,59,,91,,,-,0,,,-,,-,ALABAMA,,20200739,POINT (-86.844516 32.756889)
KANSAS,2020,7,,-,0,,,-,,-,,-,23,,,-,76,,,-,0,,,-,,-,KANSAS,,20200722,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,7,,-,1,,,-,,-,,-,66,,96,,231,,,-,0,,,-,,-,NORTH CAROLINA,,20200734,POINT (-79.130883 35.52603)
GUAM,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200766,POINT (144.653198 13.3532)
NEW JERSEY,2020,7,,-,1,,,-,,-,,-,67,,,-,256,,,-,0,,,-,,-,NEW JERSEY,,20200710,POINT (-74.655514 40.110253)
NEW MEXICO,2020,7,,-,1,,,-,,-,,-,34,,32,,62,,,-,0,,,-,,-,NEW MEXICO,,20200754,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,7,,-,2,,,-,,-,21,,267,,473,,859,,,-,7,,,-,21,,,EAST NORTH CENTRAL,20200714,
TENNESSEE,2020,7,,-,1,,,-,,-,3,,32,,52,,103,,,-,0,,,-,,-,TENNESSEE,,20200742,POINT (-86.343226 35.842998)
CONNECTICUT,2020,7,,-,0,,,-,,-,,-,29,,,-,77,,,-,0,,,-,,-,CONNECTICUT,,20200703,POINT (-72.738288 41.575155)
MARYLAND,2020,7,2,,1,,2,,,-,5,,38,,95,,115,,,-,0,,,-,,-,MARYLAND,,20200733,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,7,,-,1,,,-,1,,3,,30,,59,,60,,,-,0,,,-,,-,SOUTH CAROLINA,,20200735,POINT (-80.864614 33.878572)
OKLAHOMA,2020,7,,-,1,,,-,,-,14,,51,,90,,93,,,-,0,,,-,,-,OKLAHOMA,,20200746,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200765,POINT (145.725693 15.1834)
OHIO,2020,7,,-,0,,,-,,-,16,,99,,201,,256,,,-,0,,,-,,-,OHIO,,20200718,POINT (-82.70936 40.415534)
