REPORT_DATE,AGE_GROUP,ENGAGEMENT_CATEGORY,CITYWIDE_COUNT
01/03/2019,18-20 Years,CONCILIATION/CONFERENCE,317
01/03/2019,18-20 Years,DASIS CASES,59
01/03/2019,18-20 Years,EDUCATION/TRAINING,277
01/03/2019,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,19
01/03/2019,18-20 Years,EMPLOYMENT- GRANT DIVERSION,31
01/03/2019,18-20 Years,EMPLOYMENT-BUDGETED,151
01/03/2019,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,37
01/03/2019,18-20 Years,FAIR HEARING (CONTESTING),4
01/03/2019,18-20 Years,FAIR HEARING (NOT CONTESTING),2
01/03/2019,18-20 Years,FTR/FTC,1
01/03/2019,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,3
01/03/2019,18-20 Years,NEEDED AT HOME,22
01/03/2019,18-20 Years,NOI ISSUED,20
01/03/2019,18-20 Years,OTHER WORK ACTIVITY,63
01/03/2019,18-20 Years,PENDING SUITABLE WEP ASSIGN.,1
01/03/2019,18-20 Years,PENDING WECARE SCHEDULING/OUT,65
01/03/2019,18-20 Years,RECEIVING SSI,6
01/03/2019,18-20 Years,SANCTION IN EFFECT,1
01/03/2019,18-20 Years,SSI PENDING/APPEALING,5
01/03/2019,18-20 Years,STUDENT OVER AGE 15,121
01/03/2019,18-20 Years,SUBSTANCE ABUSE & JOB SEARCH,28
01/03/2019,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,30
01/03/2019,18-20 Years,TEMP. INCAPACITATED - HEALTH,21
01/03/2019,18-20 Years,TEMPORARILY EXEMPT,26
01/03/2019,18-20 Years,UNDERCARE AWAITING SCHEDULING,13
01/03/2019,18-20 Years,UNENGAGED,2
01/03/2019,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,47
01/03/2019,18-20 Years,WECARE VOCATIONAL REHABILITAT,6
01/03/2019,18-20 Years,WECARE/COMMUNITY SERVICE,2
01/03/2019,18-20 Years,WECARE/CONCURRENT ACTIVITY,4
01/03/2019,18-20 Years,WELLNESS/REHAB PROGRAM,25
01/03/2019,21-24 Years,ACTIVE SINGLE ISSUE CASES,269
01/03/2019,21-24 Years,AGE 60 OR OVER,1
01/03/2019,21-24 Years,ASSIGNED JOB SEARCH,688
01/03/2019,21-24 Years,AWAITING CONCILIATION SCHED.,103
01/03/2019,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,1813
01/03/2019,21-24 Years,CHILD UNDER 3 MONTHS,52
01/03/2019,21-24 Years,CONCILIATION/CONFERENCE,692
01/03/2019,21-24 Years,DASIS CASES,505
01/03/2019,21-24 Years,EDUCATION/TRAINING,320
01/03/2019,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,41
01/03/2019,21-24 Years,EMPLOYMENT- GRANT DIVERSION,183
01/03/2019,21-24 Years,EMPLOYMENT-BUDGETED,909
01/03/2019,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,124
01/03/2019,21-24 Years,FAIR HEARING (CONTESTING),12
01/03/2019,21-24 Years,FAIR HEARING (NOT CONTESTING),11
01/03/2019,21-24 Years,FTR/FTC,9
01/03/2019,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,21
01/03/2019,21-24 Years,NEEDED AT HOME,109
01/03/2019,21-24 Years,NOI ISSUED,42
01/03/2019,21-24 Years,OTHER WORK ACTIVITY,102
01/03/2019,21-24 Years,PENDING CASAC SCHEDULING/OUT,1
01/03/2019,21-24 Years,PENDING SUITABLE WEP ASSIGN.,3
01/03/2019,21-24 Years,PENDING WECARE SCHEDULING/OUT,605
01/03/2019,21-24 Years,RECEIVING SSI,29
01/03/2019,21-24 Years,SANCTION IN EFFECT,15
01/03/2019,21-24 Years,SSI PENDING/APPEALING,45
01/03/2019,21-24 Years,STUDENT OVER AGE 15,1
01/03/2019,21-24 Years,SUBSTANCE ABUSE & JOB SEARCH,93
01/03/2019,21-24 Years,SUBSTANCE ABUSE CONCURRENT,1
01/03/2019,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,109
01/03/2019,21-24 Years,SUBSTANCE ABUSE TREATMENT,60
01/03/2019,21-24 Years,TEMP. INCAPACITATED - HEALTH,112
01/03/2019,21-24 Years,TEMPORARILY EXEMPT,161
01/03/2019,21-24 Years,UNDERCARE AWAITING SCHEDULING,22
01/03/2019,21-24 Years,UNENGAGED,6
01/03/2019,21-24 Years,WAGE SUBSIDY,1
01/03/2019,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,298
01/03/2019,21-24 Years,WECARE VOCATIONAL REHABILITAT,48
01/03/2019,21-24 Years,WECARE/COMMUNITY SERVICE,26
01/03/2019,21-24 Years,WECARE/CONCURRENT ACTIVITY,30
01/03/2019,21-24 Years,WELLNESS/REHAB PROGRAM,186
02/05/2019,16-17 Years,AWAITING CONCILIATION SCHED.,1
02/05/2019,16-17 Years,EMPLOYMENT-BUDGETED,10
02/05/2019,16-17 Years,IN ENGAGEMENT REVIEW PROCESS,1
02/05/2019,16-17 Years,STUDENT OVER AGE 15,40
02/05/2019,16-17 Years,UNENGAGED,1
02/05/2019,18-20 Years,ACTIVE SINGLE ISSUE CASES,45
02/05/2019,18-20 Years,ASSIGNED JOB SEARCH,179
02/05/2019,18-20 Years,AWAITING CONCILIATION SCHED.,69
02/05/2019,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,753
02/05/2019,18-20 Years,CHILD UNDER 3 MONTHS,9
02/05/2019,18-20 Years,CONCILIATION/CONFERENCE,177
02/05/2019,18-20 Years,DASIS CASES,59
02/05/2019,18-20 Years,EDUCATION/TRAINING,345
02/05/2019,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,19
02/05/2019,18-20 Years,EMPLOYMENT- GRANT DIVERSION,39
02/05/2019,18-20 Years,EMPLOYMENT-BUDGETED,125
02/05/2019,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,40
02/05/2019,18-20 Years,FAIR HEARING (CONTESTING),5
02/05/2019,18-20 Years,FAIR HEARING (NOT CONTESTING),3
02/05/2019,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,5
02/05/2019,18-20 Years,NEEDED AT HOME,19
02/05/2019,18-20 Years,NOI ISSUED,8
02/05/2019,18-20 Years,OTHER WORK ACTIVITY,68
02/05/2019,18-20 Years,PENDING SUITABLE WEP ASSIGN.,1
02/05/2019,18-20 Years,PENDING WECARE SCHEDULING/OUT,119
02/05/2019,18-20 Years,RECEIVING SSI,6
02/05/2019,18-20 Years,SSI PENDING/APPEALING,4
02/05/2019,18-20 Years,STUDENT OVER AGE 15,149
02/05/2019,18-20 Years,SUBSTANCE ABUSE & JOB SEARCH,29
02/05/2019,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,28
02/05/2019,18-20 Years,TEMP. INCAPACITATED - HEALTH,12
02/05/2019,18-20 Years,TEMPORARILY EXEMPT,25
02/05/2019,18-20 Years,UNDERCARE AWAITING SCHEDULING,6
02/05/2019,18-20 Years,UNENGAGED,6
02/05/2019,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,21
02/05/2019,18-20 Years,WECARE VOCATIONAL REHABILITAT,2
02/05/2019,18-20 Years,WELLNESS/REHAB PROGRAM,21
02/05/2019,21-24 Years,ACTIVE SINGLE ISSUE CASES,273
02/05/2019,21-24 Years,ASSIGNED JOB SEARCH,904
02/05/2019,21-24 Years,AWAITING CONCILIATION SCHED.,117
02/05/2019,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,1887
02/05/2019,21-24 Years,CHILD UNDER 3 MONTHS,31
02/05/2019,21-24 Years,CONCILIATION/CONFERENCE,430
02/05/2019,21-24 Years,DASIS CASES,499
02/05/2019,21-24 Years,EDUCATION/TRAINING,360
02/05/2019,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,32
02/05/2019,21-24 Years,EMPLOYMENT- GRANT DIVERSION,188
02/05/2019,21-24 Years,EMPLOYMENT-BUDGETED,872
02/05/2019,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,126
02/05/2019,21-24 Years,FAIR HEARING (CONTESTING),17
02/05/2019,21-24 Years,FAIR HEARING (NOT CONTESTING),10
02/05/2019,21-24 Years,FTR/FTC,13
02/05/2019,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,23
02/05/2019,21-24 Years,NEEDED AT HOME,116
02/05/2019,21-24 Years,NOI ISSUED,51
02/05/2019,21-24 Years,NULL PIW STATUS,1
02/05/2019,21-24 Years,OTHER WORK ACTIVITY,113
02/05/2019,21-24 Years,PENDING CASAC SCHEDULING/OUT,2
02/05/2019,21-24 Years,PENDING SUITABLE WEP ASSIGN.,2
02/05/2019,21-24 Years,PENDING WECARE SCHEDULING/OUT,853
02/05/2019,21-24 Years,RECEIVING SSI,27
02/05/2019,21-24 Years,SANCTION IN EFFECT,8
02/05/2019,21-24 Years,SSI PENDING/APPEALING,42
02/05/2019,21-24 Years,SUBSTANCE ABUSE & JOB SEARCH,124
02/05/2019,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,108
02/05/2019,21-24 Years,SUBSTANCE ABUSE TREATMENT,56
02/05/2019,21-24 Years,TEMP. INCAPACITATED - HEALTH,67
02/05/2019,21-24 Years,TEMPORARILY EXEMPT,165
02/05/2019,21-24 Years,UNDERCARE AWAITING SCHEDULING,9
02/05/2019,21-24 Years,UNENGAGED,10
02/05/2019,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,203
02/05/2019,21-24 Years,WECARE VOCATIONAL REHABILITAT,26
02/05/2019,21-24 Years,WECARE/CONCURRENT ACTIVITY,6
02/05/2019,21-24 Years,WELLNESS/REHAB PROGRAM,152
03/05/2019,16-17 Years,ACTIVE SINGLE ISSUE CASES,2
03/05/2019,16-17 Years,CONCILIATION/CONFERENCE,1
03/05/2019,16-17 Years,EMPLOYMENT-BUDGETED,12
03/05/2019,16-17 Years,PENDING SUITABLE WEP ASSIGN.,1
03/05/2019,16-17 Years,STUDENT OVER AGE 15,38
03/05/2019,16-17 Years,UNDERCARE AWAITING SCHEDULING,1
03/05/2019,16-17 Years,UNENGAGED,3
03/05/2019,18-20 Years,ACTIVE SINGLE ISSUE CASES,55
03/05/2019,18-20 Years,ASSIGNED JOB SEARCH,185
03/05/2019,18-20 Years,AWAITING CONCILIATION SCHED.,5
03/05/2019,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,324
03/05/2019,18-20 Years,CHILD UNDER 3 MONTHS,9
03/05/2019,18-20 Years,CONCILIATION/CONFERENCE,280
03/05/2019,18-20 Years,DASIS CASES,54
03/05/2019,18-20 Years,EDUCATION/TRAINING,437
03/05/2019,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,27
03/05/2019,18-20 Years,EMPLOYMENT- GRANT DIVERSION,32
03/05/2019,18-20 Years,EMPLOYMENT-BUDGETED,118
03/05/2019,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,29
03/05/2019,18-20 Years,FAIR HEARING (CONTESTING),3
03/05/2019,18-20 Years,FAIR HEARING (NOT CONTESTING),3
02/04/2020,21-24 Years,NOI ISSUED,286
03/05/2019,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,4
03/05/2019,18-20 Years,NEEDED AT HOME,19
03/05/2019,18-20 Years,NOI ISSUED,243
03/05/2019,18-20 Years,OTHER WORK ACTIVITY,61
03/05/2019,18-20 Years,PENDING WECARE SCHEDULING/OUT,3
03/05/2019,18-20 Years,RECEIVING SSI,5
03/05/2019,18-20 Years,SSI PENDING/APPEALING,5
03/05/2019,18-20 Years,STUDENT OVER AGE 15,193
03/05/2019,18-20 Years,SUBSTANCE ABUSE & JOB SEARCH,23
03/05/2019,18-20 Years,SUBSTANCE ABUSE & TRAINING,1
03/05/2019,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,26
03/05/2019,18-20 Years,SUBSTANCE ABUSE TREATMENT,1
03/05/2019,18-20 Years,TEMP. INCAPACITATED - HEALTH,15
03/05/2019,18-20 Years,TEMPORARILY EXEMPT,25
03/05/2019,18-20 Years,UNDERCARE AWAITING SCHEDULING,2
03/05/2019,18-20 Years,UNENGAGED,7
03/05/2019,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,140
03/05/2019,18-20 Years,WECARE VOCATIONAL REHABILITAT,1
03/05/2019,18-20 Years,WELLNESS/REHAB PROGRAM,19
03/05/2019,21-24 Years,ACTIVE SINGLE ISSUE CASES,263
03/05/2019,21-24 Years,ASSIGNED JOB SEARCH,958
03/05/2019,21-24 Years,AWAITING CONCILIATION SCHED.,10
03/05/2019,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,908
03/05/2019,21-24 Years,CHILD UNDER 3 MONTHS,48
03/05/2019,21-24 Years,CONCILIATION/CONFERENCE,791
03/05/2019,21-24 Years,DASIS CASES,481
03/05/2019,21-24 Years,EDUCATION/TRAINING,443
03/05/2019,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,33
03/05/2019,21-24 Years,EMPLOYMENT- GRANT DIVERSION,202
03/05/2019,21-24 Years,EMPLOYMENT-BUDGETED,852
03/05/2019,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,112
03/05/2019,21-24 Years,FAIR HEARING (CONTESTING),14
03/05/2019,21-24 Years,FAIR HEARING (NOT CONTESTING),12
03/05/2019,21-24 Years,FTR/FTC,8
03/05/2019,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,21
03/05/2019,21-24 Years,NEEDED AT HOME,116
03/05/2019,21-24 Years,NOI ISSUED,653
03/05/2019,21-24 Years,OTHER WORK ACTIVITY,123
03/05/2019,21-24 Years,PENDING SUITABLE WEP ASSIGN.,1
03/05/2019,21-24 Years,PENDING WECARE SCHEDULING/OUT,21
03/05/2019,21-24 Years,RECEIVING SSI,33
03/05/2019,21-24 Years,SANCTION IN EFFECT,32
03/05/2019,21-24 Years,SSI PENDING/APPEALING,43
03/05/2019,21-24 Years,SUBSTANCE ABUSE & JOB SEARCH,111
03/05/2019,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,109
03/05/2019,21-24 Years,SUBSTANCE ABUSE TREATMENT,53
03/05/2019,21-24 Years,TEMP. INCAPACITATED - HEALTH,64
03/05/2019,21-24 Years,TEMPORARILY EXEMPT,162
03/05/2019,21-24 Years,UNDERCARE AWAITING SCHEDULING,5
03/05/2019,21-24 Years,UNENGAGED,12
03/05/2019,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,1087
03/05/2019,21-24 Years,WECARE VOCATIONAL REHABILITAT,11
03/05/2019,21-24 Years,WECARE/CONCURRENT ACTIVITY,6
03/05/2019,21-24 Years,WELLNESS/REHAB PROGRAM,128
04/03/2019,16-17 Years,ACTIVE SINGLE ISSUE CASES,1
04/03/2019,16-17 Years,CALL-IN APPOINTMENT SCHEDULED,2
04/03/2019,16-17 Years,DASIS CASES,3
04/03/2019,16-17 Years,EMPLOYMENT-BUDGETED,13
04/03/2019,16-17 Years,NOI ISSUED,1
04/03/2019,16-17 Years,STUDENT OVER AGE 15,38
04/03/2019,18-20 Years,ACTIVE SINGLE ISSUE CASES,57
04/03/2019,18-20 Years,ASSIGNED JOB SEARCH,182
04/03/2019,18-20 Years,AWAITING CONCILIATION SCHED.,5
04/03/2019,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,398
04/03/2019,18-20 Years,CHILD UNDER 3 MONTHS,7
04/03/2019,18-20 Years,CONCILIATION/CONFERENCE,84
04/03/2019,18-20 Years,DASIS CASES,54
04/03/2019,18-20 Years,EDUCATION/TRAINING,507
04/03/2019,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,23
04/03/2019,18-20 Years,EMPLOYMENT- GRANT DIVERSION,25
04/03/2019,18-20 Years,EMPLOYMENT-BUDGETED,122
04/03/2019,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,28
04/03/2019,18-20 Years,FAIR HEARING (CONTESTING),4
04/03/2019,18-20 Years,FAIR HEARING (NOT CONTESTING),3
04/03/2019,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,2
04/03/2019,18-20 Years,NEEDED AT HOME,18
04/03/2019,18-20 Years,NOI ISSUED,217
04/03/2019,18-20 Years,OTHER WORK ACTIVITY,65
04/03/2019,18-20 Years,PENDING SUITABLE WEP ASSIGN.,1
04/03/2019,18-20 Years,PENDING WECARE SCHEDULING/OUT,4
04/03/2019,18-20 Years,RECEIVING SSI,9
04/03/2019,18-20 Years,SANCTION IN EFFECT,32
04/03/2019,18-20 Years,SSI PENDING/APPEALING,6
04/03/2019,18-20 Years,STUDENT OVER AGE 15,234
04/03/2019,18-20 Years,SUBSTANCE ABUSE & JOB SEARCH,16
04/03/2019,18-20 Years,SUBSTANCE ABUSE & TRAINING,1
04/03/2019,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,25
04/03/2019,18-20 Years,SUBSTANCE ABUSE TREATMENT,4
04/03/2019,18-20 Years,TEMP. INCAPACITATED - HEALTH,19
04/03/2019,18-20 Years,TEMPORARILY EXEMPT,20
04/03/2019,18-20 Years,UNDERCARE AWAITING SCHEDULING,3
04/03/2019,18-20 Years,UNENGAGED,11
04/03/2019,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,150
04/03/2019,18-20 Years,WECARE VOCATIONAL REHABILITAT,3
04/03/2019,18-20 Years,WELLNESS/REHAB PROGRAM,20
04/03/2019,21-24 Years,ACTIVE SINGLE ISSUE CASES,253
04/03/2019,21-24 Years,ASSIGNED JOB SEARCH,947
04/03/2019,21-24 Years,AWAITING CONCILIATION SCHED.,33
04/03/2019,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,1153
04/03/2019,21-24 Years,CHILD UNDER 3 MONTHS,45
04/03/2019,21-24 Years,CONCILIATION/CONFERENCE,357
04/03/2019,21-24 Years,DASIS CASES,480
04/03/2019,21-24 Years,EDUCATION/TRAINING,520
04/03/2019,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,47
04/03/2019,21-24 Years,EMPLOYMENT- GRANT DIVERSION,189
04/03/2019,21-24 Years,EMPLOYMENT-BUDGETED,824
04/03/2019,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,134
04/03/2019,21-24 Years,FAIR HEARING (CONTESTING),12
04/03/2019,21-24 Years,FAIR HEARING (NOT CONTESTING),22
04/03/2019,21-24 Years,FTR/FTC,9
04/03/2019,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,15
04/03/2019,21-24 Years,NEEDED AT HOME,117
04/03/2019,21-24 Years,NOI ISSUED,491
04/03/2019,21-24 Years,OTHER WORK ACTIVITY,113
04/03/2019,21-24 Years,PENDING CASAC SCHEDULING/OUT,2
04/03/2019,21-24 Years,PENDING SUITABLE WEP ASSIGN.,2
04/03/2019,21-24 Years,PENDING WECARE SCHEDULING/OUT,35
04/03/2019,21-24 Years,RECEIVING SSI,33
04/03/2019,21-24 Years,SANCTION IN EFFECT,239
04/03/2019,21-24 Years,SSI PENDING/APPEALING,41
04/03/2019,21-24 Years,SUBSTANCE ABUSE & JOB SEARCH,89
04/03/2019,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,110
04/03/2019,21-24 Years,SUBSTANCE ABUSE TREATMENT,52
04/03/2019,21-24 Years,TEMP. INCAPACITATED - HEALTH,51
04/03/2019,21-24 Years,TEMPORARILY EXEMPT,174
04/03/2019,21-24 Years,UNDERCARE AWAITING SCHEDULING,6
04/03/2019,21-24 Years,UNENGAGED,19
04/03/2019,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,1056
04/03/2019,21-24 Years,WECARE VOCATIONAL REHABILITAT,19
04/03/2019,21-24 Years,WECARE/CONCURRENT ACTIVITY,6
04/03/2019,21-24 Years,WELLNESS/REHAB PROGRAM,118
04/30/2019,16-17 Years,ACTIVE SINGLE ISSUE CASES,1
04/30/2019,16-17 Years,AWAITING CONCILIATION SCHED.,1
04/30/2019,16-17 Years,CALL-IN APPOINTMENT SCHEDULED,1
04/30/2019,16-17 Years,DASIS CASES,5
04/30/2019,16-17 Years,EMPLOYMENT-BUDGETED,12
04/30/2019,16-17 Years,SANCTION IN EFFECT,1
04/30/2019,16-17 Years,STUDENT OVER AGE 15,48
04/30/2019,18-20 Years,ACTIVE SINGLE ISSUE CASES,61
04/30/2019,18-20 Years,ASSIGNED JOB SEARCH,170
04/30/2019,18-20 Years,AWAITING CONCILIATION SCHED.,27
04/30/2019,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,338
04/30/2019,18-20 Years,CHILD UNDER 3 MONTHS,13
04/30/2019,18-20 Years,CONCILIATION/CONFERENCE,139
04/30/2019,18-20 Years,DASIS CASES,56
04/30/2019,18-20 Years,EDUCATION/TRAINING,512
04/30/2019,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,28
04/30/2019,18-20 Years,EMPLOYMENT- GRANT DIVERSION,25
04/30/2019,18-20 Years,EMPLOYMENT-BUDGETED,119
04/30/2019,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,30
04/30/2019,18-20 Years,FAIR HEARING (CONTESTING),1
04/30/2019,18-20 Years,FAIR HEARING (NOT CONTESTING),6
04/30/2019,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,2
04/30/2019,18-20 Years,NEEDED AT HOME,16
04/30/2019,18-20 Years,NOI ISSUED,134
04/30/2019,18-20 Years,OTHER WORK ACTIVITY,60
04/30/2019,18-20 Years,PENDING SUITABLE WEP ASSIGN.,1
04/30/2019,18-20 Years,PENDING WECARE SCHEDULING/OUT,3
04/30/2019,18-20 Years,RECEIVING SSI,12
04/30/2019,18-20 Years,SANCTION IN EFFECT,47
04/30/2019,18-20 Years,SSI PENDING/APPEALING,4
04/30/2019,18-20 Years,STUDENT OVER AGE 15,258
04/30/2019,18-20 Years,SUBSTANCE ABUSE & JOB SEARCH,16
04/30/2019,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,21
04/30/2019,18-20 Years,SUBSTANCE ABUSE TREATMENT,8
04/30/2019,18-20 Years,TEMP. INCAPACITATED - HEALTH,27
04/30/2019,18-20 Years,TEMPORARILY EXEMPT,17
04/30/2019,18-20 Years,UNENGAGED,9
04/30/2019,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,148
04/30/2019,18-20 Years,WECARE VOCATIONAL REHABILITAT,6
04/30/2019,18-20 Years,WELLNESS/REHAB PROGRAM,20
04/30/2019,21-24 Years,ACTIVE SINGLE ISSUE CASES,260
04/30/2019,21-24 Years,ASSIGNED JOB SEARCH,992
04/30/2019,21-24 Years,AWAITING CONCILIATION SCHED.,92
04/30/2019,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,1073
04/30/2019,21-24 Years,CHILD UNDER 3 MONTHS,50
04/30/2019,21-24 Years,CONCILIATION/CONFERENCE,338
04/30/2019,21-24 Years,DASIS CASES,475
04/30/2019,21-24 Years,EDUCATION/TRAINING,488
04/30/2019,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,42
04/30/2019,21-24 Years,EMPLOYMENT- GRANT DIVERSION,187
04/30/2019,21-24 Years,EMPLOYMENT-BUDGETED,833
04/30/2019,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,145
04/30/2019,21-24 Years,FAIR HEARING (CONTESTING),13
04/30/2019,21-24 Years,FAIR HEARING (NOT CONTESTING),48
04/30/2019,21-24 Years,FTR/FTC,11
04/30/2019,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,12
04/30/2019,21-24 Years,NEEDED AT HOME,113
04/30/2019,21-24 Years,NOI ISSUED,387
04/30/2019,21-24 Years,OTHER WORK ACTIVITY,119
04/30/2019,21-24 Years,PENDING SUITABLE WEP ASSIGN.,4
04/30/2019,21-24 Years,PENDING WECARE SCHEDULING/OUT,15
04/30/2019,21-24 Years,RECEIVING SSI,31
04/30/2019,21-24 Years,SANCTION IN EFFECT,317
04/30/2019,21-24 Years,SSI PENDING/APPEALING,43
04/30/2019,21-24 Years,SUBSTANCE ABUSE & JOB SEARCH,81
04/30/2019,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,100
04/30/2019,21-24 Years,SUBSTANCE ABUSE TREATMENT,50
04/30/2019,21-24 Years,TEMP. INCAPACITATED - HEALTH,103
04/30/2019,21-24 Years,TEMPORARILY EXEMPT,183
04/30/2019,21-24 Years,UNDERCARE AWAITING SCHEDULING,1
04/30/2019,21-24 Years,UNENGAGED,13
04/30/2019,21-24 Years,WAGE SUBSIDY,1
04/30/2019,21-24 Years,WECARE & SUBSTANCE ABUSE,1
04/30/2019,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,992
04/30/2019,21-24 Years,WECARE VOCATIONAL REHABILITAT,49
04/30/2019,21-24 Years,WECARE/CONCURRENT ACTIVITY,3
04/30/2019,21-24 Years,WELLNESS/REHAB PROGRAM,121
07/03/2019,16-17 Years,DASIS CASES,4
07/03/2019,16-17 Years,EMPLOYMENT-BUDGETED,13
07/03/2019,16-17 Years,STUDENT OVER AGE 15,46
07/03/2019,18-20 Years,ACTIVE SINGLE ISSUE CASES,63
07/03/2019,18-20 Years,ASSIGNED JOB SEARCH,238
07/03/2019,18-20 Years,AWAITING CONCILIATION SCHED.,21
07/03/2019,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,428
07/03/2019,18-20 Years,CHILD UNDER 3 MONTHS,10
07/03/2019,18-20 Years,CONCILIATION/CONFERENCE,106
07/03/2019,18-20 Years,DASIS CASES,55
07/03/2019,18-20 Years,EDUCATION/TRAINING,271
07/03/2019,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,30
07/03/2019,18-20 Years,EMPLOYMENT- GRANT DIVERSION,29
07/03/2019,18-20 Years,EMPLOYMENT-BUDGETED,137
07/03/2019,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,40
07/03/2019,18-20 Years,FAIR HEARING (NOT CONTESTING),7
07/03/2019,18-20 Years,FTR/FTC,6
07/03/2019,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,1
07/03/2019,18-20 Years,NEEDED AT HOME,15
07/03/2019,18-20 Years,NOI ISSUED,135
07/03/2019,18-20 Years,OTHER WORK ACTIVITY,60
07/03/2019,18-20 Years,PENDING SUITABLE WEP ASSIGN.,1
07/03/2019,18-20 Years,PENDING WECARE SCHEDULING/OUT,81
07/03/2019,18-20 Years,RECEIVING SSI,15
07/03/2019,18-20 Years,SANCTION IN EFFECT,81
07/03/2019,18-20 Years,SSI PENDING/APPEALING,2
07/03/2019,18-20 Years,STUDENT OVER AGE 15,295
07/03/2019,18-20 Years,SUBSTANCE ABUSE & JOB SEARCH,6
07/03/2019,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,19
07/03/2019,18-20 Years,SUBSTANCE ABUSE TREATMENT,2
07/03/2019,18-20 Years,TEMP. INCAPACITATED - HEALTH,29
07/03/2019,18-20 Years,TEMPORARILY EXEMPT,21
07/03/2019,18-20 Years,UNDERCARE AWAITING SCHEDULING,6
07/03/2019,18-20 Years,UNENGAGED,8
07/03/2019,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,41
07/03/2019,18-20 Years,WECARE VOCATIONAL REHABILITAT,16
07/03/2019,18-20 Years,WECARE/CONCURRENT ACTIVITY,1
07/03/2019,18-20 Years,WELLNESS/REHAB PROGRAM,21
07/03/2019,21-24 Years,ACTIVE SINGLE ISSUE CASES,291
07/03/2019,21-24 Years,ASSIGNED JOB SEARCH,1129
07/03/2019,21-24 Years,AWAITING CONCILIATION SCHED.,31
07/03/2019,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,1207
