Project Number,Contract Number,Title,Status,Procurement Type,Award Type,Contract Award Date,Contract End Date,Contract Amount,Expended Amount YTD,Expended Amount LTD,Remaining Balance,Number of Bids,MWBE,MWBE Proposals,Vendor Name,Address Line 1,Address Line 2,City,State,Zip Code,Country,Location 1
281009,T006512,DESIGN: Renovate Foster Hall,Active,Design and Construction/Maintenance,Authority Contract - Best Value,07/22/2019,09/06/2024,3368000.00,0.00,192516.68,3175483.32,34,N,4,"Mitchell/Giurgola Architects, LLP","Film Center Bldg, Ste 711",630 Ninth Avenue,New York,NY,10036,USA,
01X842,T005478,DESIGN: Program Study - Renovate Page Hall,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,04/01/2009,03/26/2010,273287.89,0.00,273287.89,0.00,20,Y,3,"Envision Architects, P.C.",52 James Street,,Albany,NY,12207,USA,"52 James Street
Albany, NY 12207
(42.651717, -73.750239)"
231020,T006368,DESIGN: Mechanical & Electrical Systems Study - MacArthur & Wicks Halls,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,01/19/2018,09/26/2020,50974.70,0.00,50974.70,0.00,0,Y,0,Pathfinder Engineers & Architects LLP,134 South Fitzhugh Street,,Rochester,NY,14608,USA,"134 South Fitzhugh Street
Rochester, NY 14608
(43.150511, -77.612233)"
39X145,T005563,CONSTR: Field House,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,08/25/2009,08/24/2013,15374660.00,197815.00,15374660.00,0.00,15,N,0,"Northeast Construction Services, Inc.",609 Erie Boulevard West,,Syracuse,NY,13204,USA,"609 Erie Boulevard West
Syracuse, NY 13204
(43.049159, -76.164297)"
09X375,T006167,CONSTR: Rehab Synthetic Turf Athletic Field,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,06/11/2015,09/30/2016,745118.00,0.00,745118.00,0.00,2,N,0,Ballard Construction Inc.,320 Bridge St,,Syracuse,NY,13209,USA,"320 Bridge St
Syracuse, NY 13209
(43.064213, -76.216958)"
04X330,T005194,DESIGN: Commissioning Services - New Education Building W/ Integrated Child Care,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,03/30/2007,12/31/2013,95422.16,0.00,95422.16,0.00,0,N,0,SmartEdge,4 Peuquet Parkway,,Tonawanda,NY,14150,USA,"4 Peuquet Parkway
Tonawanda, NY 14150
(43.01577, -78.865669)"
071032,T006099,DESIGN: Building Study - Castle on the Hill,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,06/08/2017,09/01/2019,139344.15,0.00,139344.15,0.00,0,Y,0,JMZ Architects & Planners PC,190 Glen Street,P. O. Box 725,Glens Falls,NY,12801,USA,"190 Glen Street
Glens Falls, NY 12801
(43.309981, -73.644771)"
30XA56,T005265,DESIGN: New Engineering Building - Phase I ,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,05/24/2007,12/15/2013,3785578.28,0.00,3785578.28,0.00,5,N,0,Perkins & Will Architects P.C.,4th Floor,215 Park Avenue South,New York,NY,10003,USA,
01XA51,T005956,CONSTR: Job Order Contracting Program - Albany,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,04/18/2012,11/20/2018,10841.00,0.00,10841.00,0.00,0,Y,0,"Cutting Edge Group, LLC",14 Walkup Cutoff Road,P.O. Box 733,Lake George,NY,12845,USA,"14 Walkup Cutoff Road
Lake George, NY 12845
(43.386894, -73.648077)"
15X448,T005074,DESIGN: Rehab Labs and Vivarium Space Bldg 2,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,10/31/2005,10/28/2010,701462.22,0.00,701462.22,0.00,5,N,0,"Quinlivan,Pierik & Krause A/E DBA Qpk Design",450 South Salina Street,P.O. Box 29,Syracuse,NY,13201,USA,"450 South Salina Street
Syracuse, NY 13201
(43.045519, -76.152253)"
26X279,T005424,DESIGN: Construction Manager - Major Projects Phase 1,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,02/11/2009,07/01/2017,2943870.36,441775.37,2943870.36,0.00,16,N,1,Gilbane Building Company,"88 Pine Street, 27th Flr",,New York,NY,10005,USA,"88 Pine Street
New York, NY 10005
(40.705324, -74.006195)"
111008,T006325,CONSTR: Renovate & Upgrade Clinton Dining Hall,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,04/11/2017,08/29/2019,6797357.00,0.00,6797357.00,0.00,3,N,0,MLB Construction Services LLC,One Stone Break Road,,Malta,NY,12020,USA,"One Stone Break Road
Malta, NY 12020"
241010,T006386,"CONSTR: Renovate Bouck Theater, Gym and Lobby",Active,Design and Construction/Maintenance,Authority Contract - Competitive Bid,11/20/2017,01/11/2020,4504835.00,0.00,4499835.00,5000.00,3,Y,1,"Hoosick Valley Contractors, Inc.",52 Melrose Valley,Falls Road,Melrose,NY,12121,USA,"52 Melrose Valley
Melrose, NY 12121"
011032,T006439,DESIGN: Renovate Building 35 for Liberal Arts & Social Sciences,Active,Design and Construction/Maintenance,Authority Contract - Best Value,07/25/2019,10/16/2021,61017.00,0.00,0.00,61017.00,29,N,3,"Guth Deconzo Consulting Engineers, P.C.",242 West 30th Street,,New York,NY,10001,USA,"242 West 30th Street
New York, NY 10001
(40.749261, -73.994317)"
31X227,T006222,CONSTR: Job Order Contracting: NYC Region,Active,Design and Construction/Maintenance,Authority Contract - Competitive Bid,02/29/2016,04/30/2019,7440.00,0.00,13097.00,-5657.00,0,N,0,"Volmar Construction, Inc",4400 Second Avenue,,Brooklyn,NY,11232,USA,"4400 Second Avenue
Brooklyn, NY 11232
(40.652263, -74.013635)"
091036,T006353,DESIGN: ADA Accessibility Study,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,07/03/2018,09/25/2020,152263.93,0.00,152263.93,0.00,0,Y,0,Chiang O'Brien Architects,Crescent Building,217 North Aurora Street,Ithaca,NY,14850,USA,
35X817,T005586,DESIGN: Facilities Master Plan - Alfred Ceramics,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,11/23/2009,05/19/2011,443481.95,0.00,443481.95,0.00,22,N,1,NBBJ Architecture PLLC,One Beacon Street,Suite 5200,Boston,MA,2108,USA,"One Beacon Street
Boston, MA 02108"
26X295,T005627,DESIGN: Commissioning Agent- New Day Care Ctr.,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,02/09/2012,12/31/2018,68731.97,12602.85,68731.97,0.00,0,N,0,"OLA Consulting Engineers, PC",50 Broadway,,Hawthorne,NY,10532,USA,"50 Broadway
Hawthorne, NY 10532
(41.108943, -73.797266)"
031046,T006354,DESIGN: Campus Space & Classroom Utilization Study,Active,Design and Construction/Maintenance,Authority Contract - Best Value,02/11/2019,09/25/2020,195520.00,0.00,153681.83,41838.17,0,N,0,HBT Architects,2 Elton Street,,Rochester,NY,14118,USA,"2 Elton Street
Rochester, NY 14118
(43.154897, -77.580115)"
34X102,T005619,CONSTR: Replace Fire Alarms - Barton Lab,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,01/07/2010,10/15/2011,376098.00,0.00,376098.00,0.00,8,N,1,O'Connell Electric Co.,830 Phillips Road,,Victor,NY,14564,USA,"830 Phillips Road
Victor, NY 14564
(42.998376, -77.455932)"
30XA99,T005727,DESIGN: Restoration of Site & Underground Utilities - North Campus Ph I,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,10/08/2010,10/01/2015,718620.28,117393.96,718620.28,0.00,17,N,1,Saratoga Associates,443 Broadway,,Saratoga Springs,NY,12866,USA,"443 Broadway
Saratoga Springs, NY 12866
(43.082412, -73.785113)"
24X223,D005290,CONSTR: Water Tank / Water System Rehab Campus Wide,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,05/30/2007,12/31/2010,916962.00,0.00,916962.00,0.00,2,N,1,Blue Heron Construction Co.,9289 Bonta Bridge Road,,Jordan,NY,13080,USA,"9289 Bonta Bridge Road
Jordan, NY 13080
(43.070071, -76.512925)"
10X357,T005917,"CONSTR: Infrastructure Improvement - Electrical Capacity, Campuswide",Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,02/14/2012,09/20/2014,2594267.00,1612875.00,2594267.00,0.00,5,N,0,"Ridley Electric Co.,Inc.",1810 LeMoyne Avenue,P.O. Box 316,Syracuse,NY,13208,USA,"1810 LeMoyne Avenue
Syracuse, NY 13208
(43.085804, -76.14597)"
11X7A6,T005633,CONSTR: JOCs - Plattsburg Region - General State,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,12/18/2009,12/08/2015,127953.00,0.00,127953.00,0.00,0,N,0,Sorensen Gross Construction Services,3407 torrey Road,,Flint,MI,48507,USA,"3407 torrey Road
Flint, MI 48507
(42.976689, -83.732564)"
06X342,T005467,DESIGN: New College Stadium,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,02/27/2009,03/14/2017,1946390.06,211576.18,1946390.06,0.00,9,N,0,Clough Harbour & Associates,2200 Main Place tower,,Buffalo,NY,14202,USA,"2200 Main Place
Buffalo, NY 14202"
08X471,T005845,CONSTR: Replace Roof - Sojourner Truth Library,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,06/03/2011,11/30/2012,844990.00,46586.00,844990.00,0.00,9,N,1,Marpat Construction Corp.,310 Nassau Avenue,,Brooklyn,NY,11222,USA,"310 Nassau Avenue
Brooklyn, NY 11222
(40.726274, -73.937563)"
391010,T006431,CONSTR: Reconstruct Various Roadways and Parking,Active,Design and Construction/Maintenance,Authority Contract - Competitive Bid,05/18/2018,09/27/2019,824400.00,0.00,729021.00,95379.00,5,N,0,Central Paving Inc.,4247 Acme Road,,Frankfort,NY,13340,USA,"4247 Acme Road
Frankfort, NY 13340
(43.02887, -75.059669)"
02X351,T005638,"CONSTR: Renovate Restrooms, Various Buildings",Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,01/04/2010,07/29/2012,877313.00,53280.00,877313.00,0.00,14,N,1,"Betacon Construction, Inc",6920 State Route 5 and 20,,Bloomfield,NY,14469,USA,"6920 State Route
Bloomfield, NY 14469"
40X030,T006131,DESIGN: 808BU Construct Regional Centers Statewide,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,12/06/2016,12/05/2020,587651.90,0.00,587651.90,0.00,5,N,1,Gilbane Building Company,7 Southwoods Boulevard,3rd Floor,Albany,NY,12211,USA,"7 Southwoods Boulevard
Albany, NY 12211
(42.683415, -73.770704)"
24X822,T005668,DESIGN: SUNY COBLESKILL FACILITIES MASTER PLAN,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,07/22/2010,01/14/2012,488711.99,0.00,488711.99,0.00,21,N,2,"Perkins Eastman Architects, P.C.",115 Fifth Avenue - 3rd Fl,,New York,NY,10003,USA,"115 Fifth Avenue
New York, NY 10003
(40.738916, -73.9915)"
36X817,T005855,DESIGN: Update Development Study,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,04/15/2014,08/19/2014,27456.47,0.00,27456.47,0.00,0,N,0,Perkins & Will Architects P.C.,4th Floor,215 Park Avenue South,New York,NY,10003,USA,
23X200,T005345,DESIGN: Construction Management Services ,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,03/21/2008,03/17/2013,1008804.92,0.00,1008804.92,0.00,4,N,0,"C & S Design Build, Inc.",499 Col. E. Collins Blvd.,,Syracuse,NY,13212,USA,"499 Col E Collins Blvd
Syracuse, NY 13212"
09X313,T005226,"DESIGN: Rehabilitate Fine Arts Building, Phase II",Closed,Design and Construction/Maintenance,Authority Contract - Best Value,02/23/2007,09/09/2012,1340926.14,0.00,1340926.14,0.00,5,N,0,Architecture +,297 River Street,,Troy,NY,12180,USA,"297 River Street
Troy, NY 12180
(42.73246, -73.690162)"
24X287,T005888,CONSTR: Wheeler Hall Interior Renovation,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,11/07/2011,08/15/2013,4609609.00,3550155.00,4609609.00,0.00,13,N,1,"AOW Associates, Inc.",30 Essex Street,,Albany,NY,12206,USA,"30 Essex Street
Albany, NY 12206
(42.677542, -73.779722)"
09X346,T005365,"DESIGN: Replace Roofs - Morris, Bacon, Denison Halls",Closed,Design and Construction/Maintenance,Authority Contract - Best Value,11/25/2009,04/14/2017,61808.19,0.00,61808.19,0.00,0,N,0,Architecture +,297 River Street,,Troy,NY,12180,USA,"297 River Street
Troy, NY 12180
(42.73246, -73.690162)"
12X339,T005612,DESIGN: Commissioning  - Upgr HVAC/Labs Stowell,Active,Design and Construction/Maintenance,Authority Contract - Best Value,06/15/2011,04/13/2017,83205.00,22209.95,41499.31,41705.69,0,N,0,"Genesys Engineering, P.C.",38 Maiden Lane,,Kingston,NY,12401,USA,"38 Maiden Lane
Kingston, NY 12401
(41.931949, -74.014516)"
28X429,T005708,DESIGN: Site Restoration South Campus,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,09/10/2010,09/03/2015,565826.34,0.00,565826.34,0.00,22,N,0,"Pressley Associates, Inc.",Unit 136,28 Atlantic Avenue,Boston,MA,2110,USA,"136 Boston
MA 02110
(42.417487, -71.130782)"
13XC96,T005784,DESIGN: CM Services - Mech Sys Upgrd Life Sci,Active,Design and Construction/Maintenance,Authority Contract - Best Value,04/05/2011,03/27/2016,1278938.00,325061.67,1222602.79,56335.21,11,N,3,Jacobs Project Management Co.,Suite 245,1305 Franklin Avenue,Garden City,NY,11530,USA,"245 Garden
City, NY 11530"
10X340,T005609,DESIGN: CM - Major Improvements to the Education & Science Buildings,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,01/29/2010,01/21/2015,3802935.57,1254349.50,3802935.57,0.00,13,N,0,The Whiting-Turner Contracting Company,Suite 180,1720 Spillman Drive,Bethlehem,PA,18015,USA,"180 Bethlehem
PA 18015"
11X252,T005490,CONSTR: Hudson Hall - General Reconstruction ,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,04/01/2009,12/31/2012,12109285.00,32155.00,12109285.00,0.00,5,N,0,"Northland Associates, Incorporated",4701 Buckley Road,P.O. Box 2549,Liverpool,NY,13220,USA,"4701 Buckley Road
Liverpool, NY 13220"
12X265,T004926,DESIGN: Exterior Masonry Repairs - Campus Wide ,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,01/20/2006,03/31/2011,118513.00,0.00,118513.00,0.00,0,Y,0,"Joy McCoola & Zilch Architects & Planners, PC",190 Glen Street,P.O. Box 725,Glens Falls,NY,12801,USA,"190 Glen Street
Glens Falls, NY 12801
(43.309981, -73.644771)"
02X366,T006066,CONSTR: JOCs - Rochester Region,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,04/23/2015,02/11/2018,624.00,0.00,37970.00,-37346.00,0,N,0,Sorensen Gross Construction Services,3407 torrey Road,,Flint,MI,48507,USA,"3407 torrey Road
Flint, MI 48507
(42.976689, -83.732564)"
061030,T006368,DESIGN: Renovate Milne Library,Active,Design and Construction/Maintenance,Authority Contract - Best Value,01/27/2020,09/26/2020,552000.00,0.00,11100.90,540899.10,30,Y,8,Pathfinder Engineers & Architects LLP,134 South Fitzhugh Street,,Rochester,NY,14608,USA,"134 South Fitzhugh Street
Rochester, NY 14608
(43.150511, -77.612233)"
36X124,T005351,DESIGN: General Infrastructure/Space rehab Plaza,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,02/09/2011,12/31/2017,366907.17,119416.05,366907.17,0.00,0,N,0,Architecture +,297 River Street,,Troy,NY,12180,USA,"297 River Street
Troy, NY 12180
(42.73246, -73.690162)"
24X268,D005545,CONSTR: Library Basement Repair,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,06/26/2009,12/28/2010,437938.00,0.00,437938.00,0.00,3,N,0,"Bennett Contracting, Inc.",693 South Pearl Street,,Albany,NY,12202,USA,"693 South Pearl Street
Albany, NY 12202
(42.629208, -73.766397)"
23X224,T006022,CONSTR: Cook Hall Building Stabilization & Restoration,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,08/09/2013,08/29/2015,3064035.00,0.00,3064035.00,0.00,7,N,0,DC Building Systems Inc,19086 US Route 11,,Watertown,NY,13602,USA,"19086 US Route
Watertown, NY 13602"
29X409,T006412,DESIGN: CM HVAC Renovations - Dance Building,Active,Design and Construction/Maintenance,Authority Contract - Best Value,12/18/2018,04/17/2021,362000.00,0.00,117948.76,244051.24,0,N,0,LiRo Engineering and Construction Management,3 Aerial Way,,Syosset,NY,11791,USA,"3 Aerial Way
Syosset, NY 11791
(40.800808, -73.518033)"
271023,T006385,DESIGN: Construct Alternative Energy Building,Active,Design and Construction/Maintenance,Authority Contract - Best Value,11/14/2017,12/05/2022,2113706.68,0.00,912085.78,1201620.90,8,N,1,"SWBR Architects & Engineers, P.C.",387 East Main Street,,Rochester,NY,14604,USA,"387 East Main Street
Rochester, NY 14604
(43.158145, -77.602015)"
36X125,T005919,DESIGN: Replace Exterior Doors & Security Sys,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,02/27/2012,03/05/2017,201481.79,117162.59,201481.79,0.00,0,Y,0,Hamlin Design Group,163 Homestead Avenue,,Albany,NY,12203,USA,"163 Homestead Avenue
Albany, NY 12203
(42.673408, -73.793648)"
13XD75,T005729,DESIGN: HTHW - Phase II,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,10/08/2010,10/04/2015,821698.93,225641.50,821698.93,0.00,14,N,1,"Schuyler Engineering, P.C.",Suite 6,163 North Wellwood Avenue,Lindenhurst,NY,11757,USA,"6 Lindenhurst
NY 11757"
06X323,T004917,DESIGN: ADA/Elevator Upgrades - Various Bldgs.,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,12/27/2007,01/31/2012,301460.63,0.00,301460.63,0.00,0,N,0,"Fontanese Folts Aubrecht Ernst Architects, P.C.",6395 West Quaker Street,,Orchard Park,NY,14127,USA,"6395 West Quaker Street
Orchard Park, NY 14127
(42.766453, -78.747302)"
21X245,T005844,DESIGN: Emergency Generator Upgrades Marvin Tode,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,07/10/2014,05/16/2018,122290.29,0.00,122290.29,0.00,0,N,0,Lilker Associates,1001 Ave of the Americas,,New York,NY,10018,USA,"1001 Ave
New York, NY 10018
(40.779009, -73.957899)"
03X368,T005510,DESIGN: Rehab Rockwell Hall - 2nd Floor,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,05/12/2009,05/04/2014,1275298.46,233445.63,1275298.46,0.00,28,N,3,"Architectural Resources, P.C.",505 Franklin Street,,Buffalo,NY,14202,USA,"505 Franklin Street
Buffalo, NY 14202
(42.900014, -78.872075)"
271033,T006372,"DESIGN: Replace MTHW/Water Lines & Sitework, Whipple to STUAC",Active,Design and Construction/Maintenance,Authority Contract - Best Value,04/06/2018,09/26/2020,366919.00,0.00,267677.56,99241.44,0,N,0,"C & S Engineers, Inc.",499 Col. E. Collins Blvd.,,Syracuse,NY,13212,USA,"499 Col E Collins Blvd
Syracuse, NY 13212"
15X478,T004921,DESIGN: Repair Historic Stone Wall - Weiskotten Hall,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,02/12/2007,02/13/2012,41093.89,0.00,41093.89,0.00,0,N,0,"Quinlivan,Pierik & Krause A/E DBA Qpk Design",450 South Salina Street,P.O. Box 29,Syracuse,NY,13201,USA,"450 South Salina Street
Syracuse, NY 13201
(43.045519, -76.152253)"
20X205,T005602,DESIGN: Construction Manager - Gateway Building,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,02/04/2010,01/22/2015,1537850.97,458996.56,1537850.97,0.00,15,N,0,Turner Construction Company,Suite 200,50 Lakefront Boulevard,Buffalo,NY,14202,USA,"200 Buffalo
NY 14202"
141015,T006100,DESIGN: Upgrade CO Detection Systems Various Buildings,Active,Design and Construction/Maintenance,Authority Contract - Best Value,06/08/2016,12/20/2021,132500.00,0.00,81792.59,50707.41,0,N,0,Peter Gisolfi Associates,566 Warburton Avenue,,Hastings-On-Hudson,NY,10706,USA,"566 Warburton Avenue
Hastings-On-Hudson, NY 10706
(40.995664, -73.88218)"
091000,T006103,DESIGN: Replace Maintenance Operations Center Boiler Plant and Related Asbestos Work,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,07/22/2015,01/01/2023,74569.23,0.00,74569.23,0.00,0,N,0,"IBC Engineering, Pc",Suite 219,3445 Winton Place,Rochester,NY,14623,USA,"219 Rochester
NY 14623"
07xA84,T006067,CONSTR: JOCs - Syracuse Region,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,04/28/2015,05/01/2018,101239.00,0.00,101239.00,0.00,0,Y,0,"Cutting Edge Group, LLC",14 Walkup Cutoff Road,P.O. Box 733,Lake George,NY,12845,USA,"14 Walkup Cutoff Road
Lake George, NY 12845
(43.386894, -73.648077)"
02X410,T006062,CONSTR: ADA Access to Ped Bridge,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,03/17/2014,05/13/2017,3148508.00,0.00,3148508.00,0.00,6,Y,1,Black Horse Group,800 Starbuck Avenue,,Watertown,NY,13601,USA,"800 Starbuck Avenue
Watertown, NY 13601
(43.986657, -75.895128)"
29X333,T004949,DESIGN: Repair/Replace Roofs Campus Center Southand Performing Arts Center,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,04/04/2007,12/31/2013,94096.42,0.00,94096.42,0.00,0,N,0,"Hoffmann Architects, Inc.",Suite 14C,1040 Ave of the Americas,New York,NY,10018,USA,"14C New
York, NY 10018"
41X029,D004972,CONSTR: Exterior Restoration/Rehabilitation 33 West 42 Street,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,02/23/2005,07/30/2010,5080122.00,0.00,5080122.00,0.00,10,N,0,Abax Inc.,51-09 2nd Street,,Long Island City,NY,11101,USA,"51 09 2nd Street
Long Island City, NY 11101"
12X300,T005506,CONSTR: Rehab Computer Center - Stillman Hall ,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,04/22/2009,03/01/2011,341343.00,0.00,341343.00,0.00,6,N,0,"Murnane Building Contractors, Inc.",P.O. Box 3048,104 Sharron Avenue,Plattsburgh,NY,12901,USA,"3048 Plattsburgh
NY 12901"
13XB69,T005753,CONSTR: Rehab Old Chem Classroom Bldg #02,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,11/15/2010,12/01/2014,24723904.00,11156461.00,24723904.00,0.00,10,N,0,"J. Kokolakis Contracting, Inc",Suite A,1500 Ocean Avenue,Bohemia,NY,11716,USA,
091023,T006526,CONSTR: Renovate Hunt Union- West for Applied Learning,Active,Design and Construction/Maintenance,Authority Contract - Competitive Bid,09/25/2019,08/31/2021,4526000.00,0.00,1973730.00,2552270.00,1,N,0,LeChase Construction Services LLC,Suite 303,31 Lewis Street,Binghamton,NY,13901,USA,"303 Binghamton
NY 13901"
36X083,T004930,DESIGN: Mechanical System Upgrades State University Plaza,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,05/30/2007,03/31/2011,189265.22,0.00,174836.62,14428.60,0,N,0,"Sage Engineering Associates, L.L.P.",1211 Western Avenue,,Albany,NY,12203,USA,"1211 Western Avenue
Albany, NY 12203
(42.675897, -73.821406)"
09X367,T005365,DESIGN: Replace Roof - Hulbert Dining Hall,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,06/18/2010,04/14/2017,29806.99,378.49,29806.99,0.00,0,N,0,Architecture +,297 River Street,,Troy,NY,12180,USA,"297 River Street
Troy, NY 12180
(42.73246, -73.690162)"
12X357,T006107,"DESIGN: Repalce Windows, Various Buildings",Closed,Design and Construction/Maintenance,Authority Contract - Best Value,10/23/2014,11/30/2021,215836.27,0.00,215836.27,0.00,0,N,0,Architecture +,297 River Street,,Troy,NY,12180,USA,"297 River Street
Troy, NY 12180
(42.73246, -73.690162)"
39X165,T006067,CONSTR: JOCs - Syracuse Region,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,04/28/2015,05/01/2018,593080.00,0.00,593080.00,0.00,0,Y,0,"Cutting Edge Group, LLC",14 Walkup Cutoff Road,P.O. Box 733,Lake George,NY,12845,USA,"14 Walkup Cutoff Road
Lake George, NY 12845
(43.386894, -73.648077)"
25X292,T005365,DESIGN: Masonry & Mechanical Improvements - Kunsela Hall,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,08/10/2009,04/14/2017,254519.36,38745.66,254519.36,0.00,0,N,0,Architecture +,297 River Street,,Troy,NY,12180,USA,"297 River Street
Troy, NY 12180
(42.73246, -73.690162)"
16X281,T005744,CONSTR: Stocking Hall Rehab/System Upgrades ,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,11/22/2010,05/28/2016,72574640.00,24346264.00,72574640.00,0.00,7,N,0,The Pike Company Inc,One Circle Street,,Rochester,NY,14607,USA,"One Circle Street
Rochester, NY 14607"
28X431,T005909,CONSTR: Replace Roof Kimball Hall,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,01/13/2012,11/26/2013,666351.00,553347.00,666351.00,0.00,5,N,0,"Grove Roofing Services, Inc.",131 Reading Street,,Buffalo,NY,14220,USA,"131 Reading Street
Buffalo, NY 14220
(42.840927, -78.827831)"
03X350,T005171,DESIGN: Academic Quad/Bulger Plaza Renovations,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,09/01/2006,05/04/2012,730195.39,433.13,730195.39,0.00,5,N,0,"Watts Architecture & Engineering, P.C.",Suite 300,95 Perry Street,Buffalo,NY,14203,USA,"300 Buffalo
NY 14203"
01X7A6,T005395,CONSTR: Job Order Contracting Program - Albany,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,04/15/2008,09/30/2014,106019.00,0.00,106019.00,0.00,0,Y,0,"Cutting Edge Group, LLC",14 Walkup Cutoff Road,P.O. Box 733,Lake George,NY,12845,USA,"14 Walkup Cutoff Road
Lake George, NY 12845
(43.386894, -73.648077)"
211002,T006102,"DESIGN: Water System Improvements, Phase 2",Active,Design and Construction/Maintenance,Authority Contract - Best Value,07/07/2015,07/10/2023,698995.80,0.00,884792.04,-185796.24,0,N,0,"Labella Associates, D.P.C",Suite 201,300 State Street,Rochester,NY,14614,USA,"201 Rochester
NY 14614"
231004,T006097,DESIGN: RENOVATE DANA HALL,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,09/29/2015,05/21/2023,133060.88,0.00,133060.88,0.00,0,N,0,"Hyman Hayes Assoc., LLC",6 Wembley Court,,Albany,NY,12205,USA,"6 Wembley Court
Albany, NY 12205
(42.740545, -73.844673)"
24X285,T005365,DESIGN: Building Shell Improvements - Warner - Holmes,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,07/07/2009,04/14/2017,206476.82,7520.79,206476.82,0.00,0,N,0,Architecture +,297 River Street,,Troy,NY,12180,USA,"297 River Street
Troy, NY 12180
(42.73246, -73.690162)"
31X221,T005431,CONSTR: Renovate Bookstore/Student Services Area Campus Center,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,11/24/2008,12/16/2010,1746042.00,83301.00,1746042.00,0.00,13,N,0,Stalco Construction Inc.,1316 Motor Parkway,,Islandia,NY,11749,USA,"1316 Motor Parkway
Islandia, NY 11749
(40.806518, -73.194062)"
07XA26,T005857,CONSTR: Central Plant Upgrade Ph 1,Terminated,Design and Construction/Maintenance,Authority Contract - Competitive Bid,08/08/2011,11/02/2013,5369620.00,2847273.00,5369620.00,0.00,2,N,0,Nicholson & Hall Corp.,41 Columbia Street,,Buffalo,NY,14203,USA,"41 Columbia Street
Buffalo, NY 14203
(42.873598, -78.87272)"
131026,T006100,DESIGN: Replace Fire Proofing - Grad Chem Building,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,02/03/2017,12/20/2021,65629.42,0.00,65629.42,0.00,3,N,0,Peter Gisolfi Associates,566 Warburton Avenue,,Hastings-On-Hudson,NY,10706,USA,"566 Warburton Avenue
Hastings-On-Hudson, NY 10706
(40.995664, -73.88218)"
