Lobbyist Firm/Sole Proprietor,Activity Date,Client,Person Lobbied,Person Lobbied Title,Lobbyist,Contact Nature,Subject Matter
BETTER GOVERNMENT ASSOCIATION,08/13/2015,BETTER GOVERNMENT ASSOCIATION, TASHA R.G.  CRUZAT, CHIEF OF STAFF,JUDY STEVENS ,Meeting,"IN A BRIEFING ON COUNTY FINANCES AND REFORMS TO WHICH WE WERE INVITED, WE ENCOURAGED STAFF PRESENT TO LOOK FOR OPPORTUNITIES TO INCREASE TRANSPARENCY AND ACCOUNTABILITY IN COUNTY PROGRAMS. "
BETTER GOVERNMENT ASSOCIATION,12/05/2015,BETTER GOVERNMENT ASSOCIATION," TONI  PRECKWINKLE, LAWRENCE  WILSON, ANITA ALVAREZ, TASHA R.G.  CRUZAT, MARTHA MARTINEZ, GARVIN AMBROSE, KATHLEEN MCKEE, IVANA DABIZLJEVIC"," COOK COUNTY BOARD PRESIDENT, COMPTROLLER, STATE'S ATTORNEY, CHIEF OF STAFF, CHAIR AND COOK COUNTY BOARD PRESIDENT'S DESIGNEE TO THE LOCAL RECORDS COMMISSION OF COOK COUNTY, CHIEF OF STAFF, COOK COUNTY STATE'S ATTORNEY, COOK COUNTY STATE'S ATTORNEY'S DESIGNEE TO THE LOCAL RECORDS COMMISSION OF COOK COUNTY, COOK COUNTY COMPTROLLER'S DESIGNEE TO THE LOCAL RECORDS COMMISSION OF COOK COUNTY",ANDY SHAW ,Email,"URGED COUNTY APPOINTEES AND DESIGNEES TO THE COOK COUNTY LOCAL RECORDS COMMISSION, AS WELL AS MEMBERS OF THEIR STAFF, TO PROTECT FROM DESTRUCTION ALL POLICE MISCONDUCT RECORDS MAINTAINED BY THE CITY OF CHICAGO."
BETTER GOVERNMENT ASSOCIATION,09/16/2016,BETTER GOVERNMENT ASSOCIATION," DAVID ORR, SARAH REZNIAK, NATHAN BERNACCHI"," CLERK, CHIEF OF STAFF TO CLERK, DEPUTY CLERK OF THE BOARD",ALEXANDRA GILEWICZ ,Meeting,"ON FRIDAY, 9/16, THE BGA URGED THEM TO CONSIDER ADOPTING A WITNESS SLIPPING AND ORDINANCE-TRACKING SYSTEM SIMILAR TO THAT USED BY THE ILLINOIS GENERAL ASSEMBLY."
BETTER GOVERNMENT ASSOCIATION,09/16/2016,BETTER GOVERNMENT ASSOCIATION," DAVID ORR, SARAH REZNIAK, NATHAN BERNACCHI"," CLERK, CHIEF OF STAFF TO CLERK, DEPUTY CLERK OF THE BOARD",JUDY STEVENS ,Meeting,"ON FRIDAY, 9/16, THE BGA URGED THEM TO CONSIDER ADOPTING A WITNESS SLIPPING AND ORDINANCE-TRACKING SYSTEM SIMILAR TO THAT USED BY THE ILLINOIS GENERAL ASSEMBLY."
BETTER GOVERNMENT ASSOCIATION,11/14/2016,BETTER GOVERNMENT ASSOCIATION," SARAH REZNIAK, NATHAN BERNACCHI"," CHIEF OF STAFF TO CLERK, DEPUTY CLERK OF THE BOARD",ALEXANDRA GILEWICZ ,Email,"PROVIDED RESEARCH RELATED TO A POTENTIAL WITNESS-SLIPPING AND ORDINANCE TRACKING SYSTEM. IN ADDITION, REQUESTED A MEETING."
BETTER GOVERNMENT ASSOCIATION,12/14/2016,BETTER GOVERNMENT ASSOCIATION, SARAH REZNIAK, CHIEF OF STAFF TO CLERK,ALEXANDRA GILEWICZ ,Email,FOLLOWING UP ON INFORMATION RELATED TO THE WITNESS SLIPPING EFFORT.
BETTER GOVERNMENT ASSOCIATION,12/14/2016,BETTER GOVERNMENT ASSOCIATION, SARAH REZNIAK, CHIEF OF STAFF TO CLERK,ALEXANDRA GILEWICZ ,Phone Call,SPOKE ABOUT NEXT STEPS TOWARDS A POTENTIAL COUNTY WITNESS-SLIPPING AND ORDINANCE TRACKING SYSTEM.
BETTER GOVERNMENT ASSOCIATION,01/13/2017,BETTER GOVERNMENT ASSOCIATION, SARAH RESNICK, CHIEF OF STAFF TO CLERK,ALEXANDRA GILEWICZ ,Phone Call,SPOKE ABOUT NEXT STEPS TOWARDS A POTENTIAL COUNTY WITNESS-SLIPPING AND ORDINANCE TRACKING SYSTEM.
BETTER GOVERNMENT ASSOCIATION,02/14/2017,BETTER GOVERNMENT ASSOCIATION, SARAH RESNICK, CHIEF OF STAFF TO CLERK,ALEXANDRA GILEWICZ ,Phone Call,SPOKE ABOUT NEXT STEPS TOWARDS A POTENTIAL COUNTY WITNESS-SLIPPING AND ORDINANCE TRACKING SYSTEM.
BETTER GOVERNMENT ASSOCIATION,03/16/2017,BETTER GOVERNMENT ASSOCIATION, SARAH RESNICK, CHIEF OF STAFF TO CLERK,ALEXANDRA GILEWICZ ,Email,SHARED RESEARCH VIA EMAIL ABOUT THE STATE'S WITNESS-SLIPPING AND BILL-TRACKING SYSTEMS.
BETTER GOVERNMENT ASSOCIATION,03/22/2017,BETTER GOVERNMENT ASSOCIATION, SARAH RESNICK, CHIEF OF STAFF TO CLERK,ALEXANDRA GILEWICZ ,Email,REQUESTING A MEETING TO TALK ABOUT NEXT STEPS TOWARDS A POTENTIAL COUNTY WITNESS-SLIPPING AND ORDINANCE TRACKING SYSTEM.
BETTER GOVERNMENT ASSOCIATION,03/29/2017,BETTER GOVERNMENT ASSOCIATION, SARAH RESNICK, CHIEF OF STAFF TO CLERK,ALEXANDRA GILEWICZ ,Phone Call,"LEFT A VOICEMAIL FOR SARAH RESNICK, COOK COUNTY CLERK DAVID ORR'S CHIEF OF STAFF REQUESTING A MEETING TO DISCUSS A POTENTIAL COUNTY WITNESS-SLIPPING AND ORDINANCE TRACKING SYSTEM."
BETTER GOVERNMENT ASSOCIATION,04/05/2017,BETTER GOVERNMENT ASSOCIATION, SARAH RESNICK, CHIEF OF STAFF TO CLERK,ALEXANDRA GILEWICZ ,Phone Call,"LEFT A VOICEMAIL FOR SARAH RESNICK, COOK COUNTY CLERK DAVID ORR'S CHIEF OF STAFF REQUESTING A MEETING AND AN OPPORTUNITY TO DISCUSS A POTENTIAL COUNTY WITNESS-SLIPPING AND ORDINANCE TRACKING SYSTEM."
BETTER GOVERNMENT ASSOCIATION,04/05/2017,BETTER GOVERNMENT ASSOCIATION, SARAH RESNICK, CHIEF OF STAFF TO CLERK,ALEXANDRA GILEWICZ ,Phone Call,"LEFT A VOICEMAIL FOR SARAH RESNICK, COOK COUNTY CLERK DAVID ORR'S CHIEF OF STAFF REQUESTING A MEETING TO DISCUSS A POTENTIAL COUNTY WITNESS-SLIPPING AND ORDINANCE TRACKING SYSTEM."
BETTER GOVERNMENT ASSOCIATION,04/06/2017,BETTER GOVERNMENT ASSOCIATION, SARAH RESNICK, CHIEF OF STAFF TO CLERK,ALEXANDRA GILEWICZ ,Phone Call,RECEIVED A CALL FROM SARAH RESNICK TO DISCUSS THE COUNTY'S POSITION ON A POTENTIAL WITNESS-SLIPPING AND ORDINANCE TRACKING SYSTEM.
BETTER GOVERNMENT ASSOCIATION,04/14/2017,BETTER GOVERNMENT ASSOCIATION, SARAH RESNICK, CHIEF OF STAFF TO CLERK,JUDY STEVENS ,Email,SENT AN EMAIL TO SARAH RESNICK REQUESTING A MEETING TO DISCUSS STRATEGY AROUND A POTENTIAL WITNESS-SLIPPING AND ORDINANCE TRACKING SYSTEM.
BETTER GOVERNMENT ASSOCIATION,04/18/2017,BETTER GOVERNMENT ASSOCIATION, SARAH RESNICK, CHIEF OF STAFF TO CLERK,ALEXANDRA GILEWICZ ,Phone Call,"LEFT A VOICEMAIL FOR SARAH RESNICK, REQUESTING A MEETING TO DISCUSS A POTENTIAL COUNTY WITNESS-SLIPPING AND ORDINANCE TRACKING SYSTEM."
BETTER GOVERNMENT ASSOCIATION,04/19/2017,BETTER GOVERNMENT ASSOCIATION, SARAH RESNICK, CHIEF OF STAFF TO CLERK,ALEXANDRA GILEWICZ ,Other,"SPOKE WITH SARAH RESNICK ON THE PHONE ABOUT SCHEDULING A MEETING, AND FOLLOWED UP WITH HER BY EMAIL, TO DISCUSS STRATEGY AROUND A POTENTIAL WITNESS-SLIPPING AND ORDINANCE TRACKING SYSTEM."
BETTER GOVERNMENT ASSOCIATION,04/24/2017,BETTER GOVERNMENT ASSOCIATION, SARAH RESNICK, CHIEF OF STAFF TO CLERK,ALEXANDRA GILEWICZ ,Phone Call,"LEFT A VOICEMAIL FOR SARAH RESNICK, COOK COUNTY CLERK DAVID ORR'S CHIEF OF STAFF, ASKING TO CONFIRM A SCHEDULED MEETING TIME."
BETTER GOVERNMENT ASSOCIATION,04/25/2017,BETTER GOVERNMENT ASSOCIATION, SARAH RESNICK, CHIEF OF STAFF TO CLERK,ALEXANDRA GILEWICZ ,Phone Call,CALLED AND SPOKE WITH SARAH RESNICK AND CONFIRMED A FACE-TO-FACE MEETING TIME.
BETTER GOVERNMENT ASSOCIATION,04/27/2017,BETTER GOVERNMENT ASSOCIATION, SARAH RESNICK, CHIEF OF STAFF TO CLERK,ALEXANDRA GILEWICZ ,Meeting,MET WITH SARAH RESNICK AT HER OFFICE ABOUT A POTENTIAL WITNESS SLIPPING PROGRAM AT THE COUNTY LEVEL.
BETTER GOVERNMENT ASSOCIATION,04/27/2017,BETTER GOVERNMENT ASSOCIATION, SARAH RESNICK, CHIEF OF STAFF TO CLERK,JUDY STEVENS ,Meeting,MET WITH SARAH RESNICK AT HER OFFICE ABOUT A POTENTIAL WITNESS SLIPPING PROGRAM AT THE COUNTY LEVEL.
BETTER GOVERNMENT ASSOCIATION,05/01/2017,BETTER GOVERNMENT ASSOCIATION, SARAH RESNICK, CHIEF OF STAFF TO CLERK,ALEXANDRA GILEWICZ ,Phone Call,"CALLED AND SPOKE WITH SARAH, FOLLOWING UP ON ITEMS DISCUSSED AT THURSDAY'S MEETING."
BETTER GOVERNMENT ASSOCIATION,05/04/2017,BETTER GOVERNMENT ASSOCIATION, LARRY SUFFREDIN," COOK COUNTY COMMISSIONER, 13TH DISTRICT",ALEXANDRA GILEWICZ ,Email,EMAILED COMMISSIONER LARRY SUFFREDIN TO SET A MEETING TO DISCUSS A POTENTIAL WITNESS SLIPPING PROGRAM AT THE COUNTY.
BETTER GOVERNMENT ASSOCIATION,05/04/2017,BETTER GOVERNMENT ASSOCIATION, SARAH RESNICK, CHIEF OF STAFF TO CLERK,ALEXANDRA GILEWICZ ,Phone Call,CALLED SARAH RESNICK TO DISCUSS AND UPDATE HER ON OUR PLANS TO MOVE AHEAD ON ITEMS RELATED TO A WITNESS SLIPPING PROGRAM AT THE COUNTY LEVEL.
BETTER GOVERNMENT ASSOCIATION,05/09/2017,BETTER GOVERNMENT ASSOCIATION, BRIAN  MILLER, GENERAL COUNSEL TO COMMISSIONER LARRY SUFFREDIN,ALEXANDRA GILEWICZ ,Email,PROVIDED FEEDBACK ON A DRAFT WITNESS SLIPPING ORDINANCE.
BETTER GOVERNMENT ASSOCIATION,05/09/2017,BETTER GOVERNMENT ASSOCIATION," LARRY SUFFREDIN, BRIAN  MILLER, SARAH RESNICK, TIMOTHY CASEY"," COOK COUNTY COMMISSIONER, 13TH DISTRICT, GENERAL COUNSEL TO COMMISSIONER LARRY SUFFREDIN, CHIEF OF STAFF TO CLERK, LEGISLATIVE REFERENCE COORDINATOR",ALEXANDRA GILEWICZ ,Meeting,DISCUSS A POTENTIAL WITNESS SLIPPING PROGRAM AT THE COUNTY LEVEL.
BETTER GOVERNMENT ASSOCIATION,05/09/2017,BETTER GOVERNMENT ASSOCIATION," LARRY SUFFREDIN, BRIAN  MILLER, SARAH RESNICK, TIMOTHY CASEY"," COOK COUNTY COMMISSIONER, 13TH DISTRICT, GENERAL COUNSEL TO COMMISSIONER LARRY SUFFREDIN, CHIEF OF STAFF TO CLERK, LEGISLATIVE REFERENCE COORDINATOR",JUDY STEVENS ,Meeting,DISCUSSED A POTENTIAL WITNESS SLIPPING PROGRAM AT THE COUNTY LEVEL.
BETTER GOVERNMENT ASSOCIATION,05/10/2017,BETTER GOVERNMENT ASSOCIATION, LARRY SUFFREDIN," COOK COUNTY COMMISSIONER, 13TH DISTRICT",ALEXANDRA GILEWICZ ,Other,"SPOKE IN PERSON WITH COMMISSIONER SUFFREDIN, THANKING HIM FOR HIS WORK ON THE WITNESS SLIPPING ISSUE AND OFFERING TO DO WHAT WE CAN TO ADVANCE IT."
BETTER GOVERNMENT ASSOCIATION,05/12/2017,BETTER GOVERNMENT ASSOCIATION, LARRY SUFFREDIN," COOK COUNTY COMMISSIONER, 13TH DISTRICT",ALEXANDRA GILEWICZ ,Email,SHARED A LINK TO OUR COLUMN ON WITNESS SLIPPING AND OFFERED TO HELP MOVE THE ISSUE FORWARD IN ANY WAY WE COULD.
BETTER GOVERNMENT ASSOCIATION,05/15/2017,BETTER GOVERNMENT ASSOCIATION, LARRY SUFFREDIN," COOK COUNTY COMMISSIONER, 13TH DISTRICT",ALEXANDRA GILEWICZ ,Email,EMAILED WITH A CONCERN RAISED IN RESPONSE TO A BGA COLUMN ON WITNESS SLIPPING AND OFFERING A POTENTIAL SOLUTION.
BETTER GOVERNMENT ASSOCIATION,05/30/2017,BETTER GOVERNMENT ASSOCIATION, SARAH RESNICK, CHIEF OF STAFF TO CLERK,ALEXANDRA GILEWICZ ,Email,EMAILED SARAH RESNICK TO SET A MEETING TO DISCUSS THE PENDING WITNESS SLIPPING ORDINANCE.
BETTER GOVERNMENT ASSOCIATION,06/05/2017,BETTER GOVERNMENT ASSOCIATION," LARRY SUFFREDIN, BRIAN  MILLER"," COOK COUNTY COMMISSIONER, 13TH DISTRICT, GENERAL COUNSEL TO COMMISSIONER LARRY SUFFREDIN",ALEXANDRA GILEWICZ ,Email,EMAILED COMMISSIONER LARRY SUFFREDIN AND HIS CHIEF OF STAFF BRIAN MILLER TO CHECK IN ON THE STATUS OF THE WITNESS SLIPPING ORDINANCE.
BETTER GOVERNMENT ASSOCIATION,06/05/2017,BETTER GOVERNMENT ASSOCIATION, MICHELLE  JORDAN, SUFFREDIN OFFICE,ALEXANDRA GILEWICZ ,Other,"SPOKE WITH MICHELLE JORDAN, SUFFREDIN'S GENERAL COUNSEL, ABOUT THE EXPECTED TIMELINE FOR THE WITNESS SLIPPING ORDINANCE."
BETTER GOVERNMENT ASSOCIATION,06/05/2017,BETTER GOVERNMENT ASSOCIATION, SARAH RESNICK, CHIEF OF STAFF TO CLERK,ALEXANDRA GILEWICZ ,Meeting,MET WITH SARAH RESNICK TO DISCUSS UPDATES ON THE WITNESS SLIPPING ORDINANCE.
BETTER GOVERNMENT ASSOCIATION,06/05/2017,BETTER GOVERNMENT ASSOCIATION, SARAH RESNICK, CHIEF OF STAFF TO CLERK,JUDY STEVENS ,Meeting,MET WITH SARAH RESNICK TO DISCUSS UPDATES ON THE WITNESS SLIPPING ORDINANCE.
BETTER GOVERNMENT ASSOCIATION,07/14/2017,BETTER GOVERNMENT ASSOCIATION, BRIAN  MILLER, GENERAL COUNSEL TO COMMISSIONER LARRY SUFFREDIN,RACHEL LEVEN ,Email,ASKING CLARIFYING QUESTIONS ABOUT WITNESS SLIP ORDINANCE.
BETTER GOVERNMENT ASSOCIATION,07/17/2017,BETTER GOVERNMENT ASSOCIATION, BRIAN  MILLER, GENERAL COUNSEL TO COMMISSIONER LARRY SUFFREDIN,RACHEL LEVEN ,Email,TO DISCUSS WITNESS SLIPS.
BETTER GOVERNMENT ASSOCIATION,07/17/2017,BETTER GOVERNMENT ASSOCIATION, BRIAN  MILLER, GENERAL COUNSEL TO COMMISSIONER LARRY SUFFREDIN,RACHEL LEVEN ,Phone Call,DISCUSSED WITNESS SLIP ORDINANCE.
BETTER GOVERNMENT ASSOCIATION,07/21/2017,BETTER GOVERNMENT ASSOCIATION," LARRY SUFFREDIN, BRIAN  MILLER, SARAH RESNICK"," COOK COUNTY COMMISSIONER, 13TH DISTRICT, GENERAL COUNSEL TO COMMISSIONER LARRY SUFFREDIN, CHIEF OF STAFF TO CLERK",RACHEL LEVEN ,Email,STATING CONGRATULATIONS ON THE PASSAGE OF THE WITNESS SLIP ORDINANCE.
BETTER GOVERNMENT ASSOCIATION,07/27/2017,BETTER GOVERNMENT ASSOCIATION, SARAH RESNICK, CHIEF OF STAFF TO CLERK,RACHEL LEVEN ,Meeting,COOK COUNTY GOOD GOVERNMENT POLICIES AND OPERATIONS.
BETTER GOVERNMENT ASSOCIATION,09/07/2017,BETTER GOVERNMENT ASSOCIATION, BRIAN  MILLER, GENERAL COUNSEL TO COMMISSIONER LARRY SUFFREDIN,RACHEL LEVEN ,Email,EMAIL WAS ABOUT THE WITNESS SLIP PROGRAM.
BETTER GOVERNMENT ASSOCIATION,09/07/2017,BETTER GOVERNMENT ASSOCIATION, MATTHEW DELEON, SECRETARY TO THE BOARD OF COMMISSIONERS,RACHEL LEVEN ,Email,EMAIL WAS ABOUT THE WITNESS SLIPPING PROGRAM.
BETTER GOVERNMENT ASSOCIATION,05/24/2018,BETTER GOVERNMENT ASSOCIATION," SARAH RESNICK, ABDELNASSER RASHID"," CHIEF OF STAFF TO CLERK, DEPUTY CHIEF OF STAFF",DANISH MURTAZA ,Meeting,MEETING ABOUT ELECTION REFORM PROPOSALS.
BETTER GOVERNMENT ASSOCIATION,05/24/2018,BETTER GOVERNMENT ASSOCIATION," SARAH RESNICK, ABDELNASSER RASHID"," CHIEF OF STAFF TO CLERK, DEPUTY CHIEF OF STAFF",MADELEINE DOUBEK ,Meeting,MEETING ABOUT ELECTION REFORM PROPOSALS.
BETTER GOVERNMENT ASSOCIATION,05/24/2018,BETTER GOVERNMENT ASSOCIATION," SARAH RESNICK, ABDELNASSER RASHID"," CHIEF OF STAFF TO CLERK, DEPUTY CHIEF OF STAFF",RACHEL LEVEN ,Meeting,MEETING ABOUT ELECTION REFORM PROPOSALS.
BETTER GOVERNMENT ASSOCIATION,10/10/2018,BETTER GOVERNMENT ASSOCIATION, VICTORIA MORENO, DIRECTOR OF LEGISLATION,RACHEL LEVEN ,Phone Call,REQUESTING PROPOSED LEGISLATION.
BETTER GOVERNMENT ASSOCIATION,10/12/2018,BETTER GOVERNMENT ASSOCIATION, VICTORIA MORENO, DIRECTOR OF LEGISLATION,RACHEL LEVEN ,Phone Call,REQUESTING PROPOSED LEGISLATION.
BETTER GOVERNMENT ASSOCIATION,10/15/2018,BETTER GOVERNMENT ASSOCIATION, VICTORIA MORENO, DIRECTOR OF LEGISLATION,RACHEL LEVEN ,Phone Call,REQUESTING PROPOSED LEGISLATION.
CALIFORNIA NURSES ASSOCIATION (DBA NATIONAL NURSES ORGANIZING COMMITTEE),09/09/2015,CALIFORNIA NURSES ASSOCIATION (DBA NNOC), BRIDGET GAINER," COOK COUNTY COMMISSIONER, 10TH DISTRICT",SHEILAH GARLAND-OLANIRAN ,Meeting,LOBBYING IN SUPPORT OF PEDIATRIC ISSUE.
CALIFORNIA NURSES ASSOCIATION (DBA NATIONAL NURSES ORGANIZING COMMITTEE),05/12/2016,CALIFORNIA NURSES ASSOCIATION (DBA NNOC), DEBORAH SIMS," COOK COUNTY COMMISSIONER, 5TH DISTRICT",SHEILAH GARLAND-OLANIRAN ,Meeting,ENCOURAGED SUPPORT FOR THE RESPONSIBLE BUSINESS ACT.
CALIFORNIA NURSES ASSOCIATION (DBA NATIONAL NURSES ORGANIZING COMMITTEE),06/29/2016,CALIFORNIA NURSES ASSOCIATION (DBA NNOC), JOHN DALEY," COOK COUNTY COMMISSIONER, 11TH DISTRICT",SHEILAH GARLAND-OLANIRAN ,Meeting,ENCOURAGED SUPPORT FOR THE RESPONSIBLE BUSINESS ACT.
CALIFORNIA NURSES ASSOCIATION (DBA NATIONAL NURSES ORGANIZING COMMITTEE),10/12/2016,CALIFORNIA NURSES ASSOCIATION (DBA NNOC)," STANLEY  MOORE, LUIS  ARROYO, JR."," COMMISSIONER, COMMISSIONER",SHEILAH GARLAND-OLANIRAN ,Meeting,SUGGESTED ALTERNATIVE SOURCES OF REVENUE FOR COUNTY BUDGET
CHICAGOLAND APARTMENT ASSOCIATION,04/03/2019,CHICAGOLAND APARTMENT ASSOCIATION, FRITZ KAEGI, TAX ASSESSOR,TOM BENEDETTO ,Meeting,PROPERTY TAX ASSESSMENTS  - MEMBER INFORMATION SESSION
CALIFORNIA NURSES ASSOCIATION (DBA NATIONAL NURSES ORGANIZING COMMITTEE),10/17/2016,CALIFORNIA NURSES ASSOCIATION (DBA NNOC)," RICHARD R. BOYKIN, DEBORAH SIMS, JOHN DALEY"," COOK COUNTY COMMISSIONER, DISTRICT 1, COOK COUNTY COMMISSIONER, 5TH DISTRICT, COOK COUNTY COMMISSIONER, 11TH DISTRICT",SHEILAH GARLAND-OLANIRAN ,Meeting,SUGGESTED ALTERNATIVE SOURCES OF REVENUE FOR COUNTY BUDGET
CALIFORNIA NURSES ASSOCIATION (DBA NATIONAL NURSES ORGANIZING COMMITTEE),10/17/2017,CALIFORNIA NURSES ASSOCIATION (DBA NNOC), JESUS GARCIA," COOK COUNTY COMMISSIONER, 7TH DISTRICT",JAN RODOLFO ,Meeting,IMPROVED HEALTHCARE POLICY AND PROTECTION OF COLLECTIVE BARGAINING RIGHTS
CALIFORNIA NURSES ASSOCIATION (DBA NATIONAL NURSES ORGANIZING COMMITTEE),10/24/2017,CALIFORNIA NURSES ASSOCIATION (DBA NNOC), JOHN DALEY," COOK COUNTY COMMISSIONER, 11TH DISTRICT",JAN RODOLFO ,Meeting,IMPROVED HEALTHCARE POLICY AND PROTECTION OF COLLECTIVE BARGAINING RIGHTS
CALIFORNIA NURSES ASSOCIATION (DBA NATIONAL NURSES ORGANIZING COMMITTEE),10/24/2017,CALIFORNIA NURSES ASSOCIATION (DBA NNOC), LARRY SUFFREDIN," COOK COUNTY COMMISSIONER, 13TH DISTRICT",SHEILAH GARLAND-OLANIRAN ,Meeting,IMPROVED HEALTHCARE POLICY AND PROTECTION OF COLLECTIVE BARGAINING RIGHTS
CALIFORNIA NURSES ASSOCIATION (DBA NATIONAL NURSES ORGANIZING COMMITTEE),10/27/2017,CALIFORNIA NURSES ASSOCIATION (DBA NNOC), BRIDGET GAINER," COOK COUNTY COMMISSIONER, 10TH DISTRICT",SHEILAH GARLAND-OLANIRAN ,Meeting,IMPROVED HEALTHCARE POLICY AND PROTECTION OF COLLECTIVE BARGAINING RIGHTS
CALIFORNIA NURSES ASSOCIATION (DBA NATIONAL NURSES ORGANIZING COMMITTEE),11/01/2017,CALIFORNIA NURSES ASSOCIATION (DBA NNOC), DENNIS DEER," COUNTY BOARD COMMISSIONER, 2ND DISTRICT",SHEILAH GARLAND-OLANIRAN ,Meeting,IMPROVED HEALTHCARE POLICY AND PROTECTION OF COLLECTIVE BARGAINING RIGHTS
CALIFORNIA NURSES ASSOCIATION (DBA NATIONAL NURSES ORGANIZING COMMITTEE),11/01/2017,CALIFORNIA NURSES ASSOCIATION (DBA NNOC), LARRY SUFFREDIN," COOK COUNTY COMMISSIONER, 13TH DISTRICT",SHEILAH GARLAND-OLANIRAN ,Meeting,IMPROVED HEALTHCARE POLICY AND PROTECTION OF COLLECTIVE BARGAINING RIGHTS
CALIFORNIA NURSES ASSOCIATION (DBA NATIONAL NURSES ORGANIZING COMMITTEE),11/07/2017,CALIFORNIA NURSES ASSOCIATION (DBA NNOC), RICHARD R. BOYKIN," COOK COUNTY COMMISSIONER, DISTRICT 1",SHEILAH GARLAND-OLANIRAN ,Meeting,IMPROVED HEALTHCARE POLICY AND PROTECTION OF COLLECTIVE BARGAINING RIGHTS
CALIFORNIA NURSES ASSOCIATION (DBA NATIONAL NURSES ORGANIZING COMMITTEE),11/08/2017,CALIFORNIA NURSES ASSOCIATION (DBA NNOC), DEBORAH SIMS," COOK COUNTY COMMISSIONER, 5TH DISTRICT",MARTI SMITH ,Meeting,IMPROVED HEALTHCARE POLICY AND COLLECTIVE BARGAINING RIGHTS
CALIFORNIA NURSES ASSOCIATION (DBA NATIONAL NURSES ORGANIZING COMMITTEE),11/08/2017,CALIFORNIA NURSES ASSOCIATION (DBA NNOC), PETER  SILVESTRI, COOK COUNTY COMMISSIONER,MARTI SMITH ,Meeting,IMPROVED HEALTHCARE POLICY AND COLLECTIVE BARGAINING RIGHTS
CALIFORNIA NURSES ASSOCIATION (DBA NATIONAL NURSES ORGANIZING COMMITTEE),11/08/2017,CALIFORNIA NURSES ASSOCIATION (DBA NNOC), STANLEY  MOORE, COMMISSIONER,MARTI SMITH ,Meeting,IMPROVED HEALTHCARE POLICY AND COLLECTIVE BARGAINING RIGHTS
CALIFORNIA NURSES ASSOCIATION (DBA NATIONAL NURSES ORGANIZING COMMITTEE),11/14/2017,CALIFORNIA NURSES ASSOCIATION (DBA NNOC), DEBORAH SIMS," COOK COUNTY COMMISSIONER, 5TH DISTRICT",MARTI SMITH ,Meeting,IMPROVED HEALTHCARE POLICY AND COLLECTIVE BARGAINING RIGHTS
CALIFORNIA NURSES ASSOCIATION (DBA NATIONAL NURSES ORGANIZING COMMITTEE),11/14/2017,CALIFORNIA NURSES ASSOCIATION (DBA NNOC), JESUS GARCIA," COOK COUNTY COMMISSIONER, 7TH DISTRICT",MARTI SMITH ,Meeting,IMPROVED HEALTHCARE POLICY AND COLLECTIVE BARGAINING RIGHTS
CALIFORNIA NURSES ASSOCIATION (DBA NATIONAL NURSES ORGANIZING COMMITTEE),11/14/2017,CALIFORNIA NURSES ASSOCIATION (DBA NNOC), JOHN  KELLER, PRESIDENT'S OFFICE,MARTI SMITH ,Meeting,IMPROVED HEALTHCARE POLICY AND COLLECTIVE BARGAINING RIGHTS
CALIFORNIA NURSES ASSOCIATION (DBA NATIONAL NURSES ORGANIZING COMMITTEE),11/14/2017,CALIFORNIA NURSES ASSOCIATION (DBA NNOC), JOHN FRITCHEY," COOK COUNTY COMMISSIONER, 12TH DISTRICT",MARTI SMITH ,Meeting,IMPROVED HEALTHCARE POLICY AND COLLECTIVE BARGAINING RIGHTS
CALIFORNIA NURSES ASSOCIATION (DBA NATIONAL NURSES ORGANIZING COMMITTEE),11/14/2017,CALIFORNIA NURSES ASSOCIATION (DBA NNOC), LARRY SUFFREDIN," COOK COUNTY COMMISSIONER, 13TH DISTRICT",MARTI SMITH ,Meeting,IMPROVED HEALTHCARE POLICY AND COLLECTIVE BARGAINING RIGHTS
CALIFORNIA NURSES ASSOCIATION (DBA NATIONAL NURSES ORGANIZING COMMITTEE),11/14/2017,CALIFORNIA NURSES ASSOCIATION (DBA NNOC)," LUIS  ARROYO, JR.", COMMISSIONER,MARTI SMITH ,Meeting,IMPROVED HEALTHCARE POLICY AND COLLECTIVE BARGAINING RIGHTS
CALIFORNIA NURSES ASSOCIATION (DBA NATIONAL NURSES ORGANIZING COMMITTEE),11/14/2017,CALIFORNIA NURSES ASSOCIATION (DBA NNOC), STANLEY  MOORE, COMMISSIONER,MARTI SMITH ,Meeting,IMPROVED HEALTHCARE POLICY AND COLLECTIVE BARGAINING RIGHTS
