Case Number,Open Date,Close Date,Description,Year,Type,Sub-Type
22115,07/31/2009,08/20/2009,"WSSC reports a sewage overflow occurred at 10209 Cove Ledge Court in Gaithersburg, MD.  The estimated flow of 1/2 gallon is ongoing at 12:40 PM.  The cause is unknown at this time.  The inspector found that approximately 1/2 gallon total had overflowed onto the ground.  A repair crew was dispatched to snake out the clean out on the property.",2009,Water Quality,Overflows
22181,08/10/2009,08/20/2009,Email notification of SSO received from WSSC on 8/9/09 at 1904.  Level One SSO at 14501 Quince Orchard Rd in Gaithersburg. It began at 450p with estimated flow of 2 gal/min. SSO is ongoing . Cause is UNKNOWN. Work Order #9058363. UC on call is Min Lwin.,2009,Water Quality,Overflows
22248,08/19/2009,08/27/2009,"Email notification from WSSC received 8/18/09 at 1028 reporting a Level One SSO at 10915 Montrose Ave in Garrett Park MD. It began at 10:09 am with estimated flow of 02 gal/min. SSO is ongoing . Cause is contractor over pumping sewer main, pump stopped working causing mh# 05 to overflow. Work Order #9077488 UC on call is Nathan Gross.",2009,Water Quality,Overflows
22273,08/25/2009,08/27/2009,Email notification from WSSC received on 8/25/09 at 0137 reporting a Level One SSO at 3331 Hewitt Ave. in Silver Spring.  It began at 11:15pm with estimated flow of 20 gal total.  SSO ended at 1:17am. Cause is UNKNOWN. Work Order #9087818. UC on call is Min Lwin.,2009,Water Quality,Overflows
22278,08/26/2009,10/20/2009,Email notification received 8/19/09 at 1052.  Level Two Waterway SSO at 9700 Admiralty Drive in Silver Spring into a storm drain swale.  It began at 08:37 AM and ended at 10:15 AM with estimated flow of 2 gal/min.  The cause was grease in the sewer line. Work Order #9079492.  The UC on call is Nate Gross.,2009,Water Quality,Overflows
22282,08/27/2009,08/27/2009,Email notification from WSSC received on 8/26/09 at 1634.  Level Two Waterway SSO at 8812 Ivory Gull Ct in Gaithersburg into unknown creek. It began at 2:21pm with estimated flow of .05 gal/min. Cause is unknown. Work Order #9091133. UC on call is Veric Brown 211 enroute.,2009,Water Quality,Overflows
22331,09/03/2009,09/14/2009,"As reported by WSSC: - Event: 4601 
Email Sent: 1:21:37 PM 

 
Message: Level Two Waterway SSO at 9400 Crimson Leaf Ter in Potomac into Storm Drain. It began at 1:12pm with estimated flow of 1 gal/min. Cause is unknown. Work Order #9122391. UC on call is Veric Brown.**the basin is rock run**",2009,Water Quality,Overflows
22546,10/20/2009,11/05/2009,Received via email from WSSC: - Level One SSO at 10303 Potomac Corner Dr Rockvill. It began at 9:16am with estimated flow of 1gal total. SSO ended at 10:20am. Cause is UNKNOWN. Work Order #9213885. UC on call is Min Lwin.,2009,Water Quality,Overflows
22572,10/27/2009,11/24/2009,Received via email from WSSC: - Level One SSO at 11435-67 Lockwood Dr in Silver Spring. It began at 133pm with estimated flow of 5 gal. SSO is ended at 235p. Cause is Grease. Work Order #9224205 UC on call is V. Brown.,2009,Water Quality,Overflows
22405,09/18/2009,10/14/2009,Received via email through WSSC communications: - Level Two Waterway SSO at 2604 Baywood Ct located in Silver Spring going into a storm drain draining into the NorthWest Branch. It began at 8:46pm with estimated flow of 1/2 gal/min. Cause is unknown. Work Order #9144767. UC on call is Richard Thompson. Level Two SSO at 2604 Baywood Ct in Silver Spring has ended. It began at 09:30pm and ended at 03:00am. Estimated flow of 187 gallons. Cause is roots.,2009,Water Quality,Overflows
22406,09/18/2009,09/25/2009,Received via email through WSSC Communications: - Level Two Waterway SSO at 10425 Kensington Parkway in Kensington entered into Rock Creek WATERWAY. It began at 12:00pm with estimated flow of 20 gal. Cause is vaccum on jet truck overflowed due to mechanical trouble and rain washed into storm drain. Work Order #9144445. UC on call is Richard Thompson,2009,Water Quality,Overflows
22410,09/21/2009,09/28/2009,Reported by WSSC via email: - Level Two Waterway SSO at 11305 Greenbriar Preserve Ln in Potomac into Unknown WATERWAY. It began at 3:54pm with estimated flow of 1 gal per min. Cause is leak on a pressure sewer. Work Order #9147612. UC on call is Richard Thompson. Level two SSO at 11305 Greenbriar Preserve Ln in Potomac has ended. It began at 3:54pm and ended at 10:00pm. Estimated flow of 366 galllons. Cause is on property problem.,2009,Water Quality,Overflows
22417,09/22/2009,09/28/2009,Referred via email by WSSC: - Level One SSO at 7829 Muncaster Mill Rd Gaithersburg. It began at 10:53am with estimated flow of 1 gal/min. SSO ended at 10:54am. Cause is soft UNKNOWN. Work Order #9149857. UC on call is Richard Thompson.,2009,Water Quality,Overflows
22430,09/23/2009,10/20/2009,Referred by WSSC via email: - Level One SSO at 19505 Jerusalem Ch Ter in Poolesville. It began at 11:27am with estimated flow of 1 gal. SSO is ended at 12:16pm. Cause is property grinder pump failure. Work Order #9153180. UC on call is Min Lwin.,2009,Water Quality,Overflows
22431,09/23/2009,09/28/2009,Reported by WSSC via email: - Level One SSO at 6405 Offutt Rd in Chevy Chase. It began at 9:00am with estimated flow of .5 gal/min. SSO is ongoing Cause is UNKNOWN. Work Order #9153925. UC on call is Robert Martin.,2009,Water Quality,Overflows
22434,09/24/2009,10/14/2009,Reported by WSSC via email: - Level One SSO at 7902 Pearl St located in Bethesda. It began at 4:14pm with estimated flow of 1 gal/min. SSO is ongoing. Cause is UNKNOWN. Work Order #9154188. UC on call is Min Lwin.,2009,Water Quality,Overflows
22435,09/24/2009,11/04/2009,Reported by WSSC via email:  SSO Level Two Waterway at 6301 River Rd. in West Bethesda is going into both a storm drain and an unknown creek. It began at 3:41 PM on 09-23-09 with an estimated flow of 5 gal/min.   The work order is #9154337.  The UC on call is Min Lwin.   The level two SSO in Waterway at 6301 River Rd. in West Bethesda has ended.  It began at 3:41 PM. and ended at 7:38 PM.  The estimated loss is 1185 gallons.   The cause is heavy tree roots & debris.   All other notifications have been made.,2009,Water Quality,Overflows
22457,09/29/2009,09/29/2009,Referred by Jocelyn from call tracking: - From WSSC: There was an SSO on 6333 Auburn Ave.  It was caused by grease.  Took place at 7:47 and cleared up at 9:30.  Believes they jetted the main line.  It was contained and didn't run into any water ways.  Went from one manhole to another.,2009,Water Quality,Overflows
22469,10/02/2009,10/26/2009,Reported by WSSC via email: - Level Two Waterway SSO at 12011 Veirs Mill Rd located in Wheaton going into a storm drain. It began at 6:24pm with estimated flow of 5 gal/min. Cause is unknown. Work Order #9168428. UC on call is Bobby Martin.  Level Two SSO at 12011 Veirs Mill Rd located in Wheaton has ended. It began at 6:24pm ended at 8:30pm. Estimated flow of 630 gallons. Cause is unknown. Crew onsite gave full report at 9:55pm,2009,Water Quality,Overflows
22480,10/05/2009,10/22/2009,Reported by WSSC via email: - Level Two Waterway SSO at 106 W University Blvd. in Silver Spring into storm drain. It began at 4:14 a.m. with estimated flow of 1 gal/min (when water is used). Cause is broken pipe. Work Order #9185265. UC on call is Robert Martin.  Update: Level Two Waterway SSO at 106 W University Blvd in Silver Spring began at 10:34pm on 10/03/09 cause is an overflow from grease trap about 1 gpm into a storm drain crew has water off to the McDonald to prevent further overflow. Overflow only occurs when customer uses water. Dave Alexander is onsite until repairs are completed. Orbit Construction is still excuvating as of 3:45 pm. Work Order #9185265. UC on call is Robert Martin,2009,Water Quality,Overflows
22501,10/08/2009,10/15/2009,"Received from WSSC via email: - Level Two Waterway SSO at 8504 Shady Pine Circle in Gaithersburg is entering a storm drain. It began at 8:52 Pm with an estimated flow of 10 gal/min. Cause is unknown. Work Order #9193483. UC on call is Min Lwin. Our crew is on site and will jet the mainline shortly. All other notifications are currently in progress. This SSO was confirmed by our inspector at 10:45 Pm.  Level 2 SSO at 8504 Shady Pine Cir in Gaithersburg has ended. It began at 08:52PM and ended at 03:00am. Estimated flow of 2550 gallons. Cause is black top in the main line.**Crew advised Radio Room at 4:30am that overflow had stopped at 3:00am, a contractor repaved the sidewalk and they found black top in the main line.**",2009,Water Quality,Overflows
22509,10/08/2009,10/15/2009,Reported by WSSC via email: - Level One SSO at 25304 Ridge RD in Damascus MD. It began at 1:55 pm with estimated flow of 1gal/min. SSO is ongoing Cause is UNKNOWN. Work Order #9195611. UC on call is Scott Sauers (Acting UC),2009,Water Quality,Overflows
22523,10/14/2009,10/20/2009,WSSC email notification received 10/12/09 at 6:53 pm.  Level One SSO at 13720 Canal Vista Ct. in Potomac. It began at 2:59 Pm and was confirmed at 6:30 Pm. It has an estimated flow of 1/2 gal/min. SSO is ongoing. The cause is UNKNOWN. Work Order is #9199472. UC on call is Min Lwin.,2009,Water Quality,Overflows
22549,10/20/2009,10/28/2009,Received via email from WSSC: - Level One SSO at 900 Ellsworth Dr Silver Spring. It began at 11:20am with estimated flow of 1 gal total. SSO ended at 12:16pm. Cause is broken pipe. Work Order #9214172. UC on call is Joe Fulton.,2009,Water Quality,Overflows
22570,10/26/2009,11/10/2009,Received via email from WSSC: - Level One SSO at 5321 Kenwood Ave in Chevy Chase. It began at 12:09pm with estimated flow of 1/4 gal/min. SSO is ongoing at . Cause is hole in pipe. Work Order #9223827. UC on call is Veric Brown.**sewer crew was tv a sewer main line and found a hole in the pipe.a 1/4 gal total is entering the ground. no sewer is coming up thru the ground.**,2009,Water Quality,Overflows
22820,01/11/2010,01/28/2010,Level One SSO at 13708 Travilah Rd in Rockville. It began at 9:46 am with estimated flow of 1/2 gal per/min. SSO is ongoing . Cause is Grinder Pump. Work Order 9387408. UC on call is Veric Brown.,2010,Water Quality,Overflows
22605,11/02/2009,11/16/2009,Email notification received from WSSC on 11/2/09 at 12:08pm.  Level One SSO at 6713 Right Away Eastern Ave in Takoma Park. It began at 12:00pm with estimated flow of a total of 1/4 gal. SSO is ongoing until repairs are made. Cause is Hole in Sewer Pipe. Work Order #9236217. UC on call is Veric Brown.,2009,Water Quality,Overflows
22620,11/06/2009,11/12/2009,Email notification received from WSSC on 11/5/2009 3:26 PM reporting a Level One SSO at 7800 Old Georgetown Rd in Bethesda.  It began at 1:53pm with estimated flow of 1 gal/min.  SSO is ongoing . Cause is UNKNOWN.  Work Order #9254889. UC on call is Robert Martin.,2009,Water Quality,Overflows
22625,11/09/2009,12/07/2009,Email notification received 11/6/09 at 9:52 pm.  Level Two Waterway SSO at 8712 Piney Branch Rd located in Silver Spring going into Sligo Creek. It began at 8:51pm with estimated flow of 12 gal/min. Cause is unknown. Work Order #9257288. UC on call is Joe Fulton,2009,Water Quality,Overflows
22676,11/20/2009,12/22/2009,Email notification received 11/19/09 at 3:17 PM.  Level One SSO at 7710 Maple Ave in Takoma Park.  It began at 3:10 PM with an unknown estimated flow.  The SSO is ongoing . The cause is a hole in the sewer m/l. The Work Order #9274903. The UC on call is Joe Fulton.,2009,Water Quality,Overflows
22694,11/25/2009,12/01/2009,Level One SSO at 5301 Flanders Ave in Kensington began on 11/24/2009 at 1:30 PM with estimated flow of 5gal/min.  The SSO ended at 3:00 PM. The cause is grease.   Work Order 9282542. UC on call is Veric Brown.,2009,Water Quality,Overflows
22707,11/30/2009,11/30/2009,Email notification received 11/25/09 at 0954.  Level One SSO at 5301 Flanders Ave in Kensington It began on 11/24/2009 at 1:30 pm with estimated flow of 5gal/min. SSO ended at 3:00 pm. Cause is Grease. Work Order 9282542. UC on call is Veric Brown,2009,Water Quality,Overflows
22725,12/03/2009,12/29/2009,Level Two Waterway SSO at 14505 Notley Rd in Silver Spring into a storm drain. It began at 7:37 am with estimated flow of 2 gal/min. Cause is unknown. Work Order #9299835. UC on call is Veric Brown.,2009,Water Quality,Overflows
22726,12/03/2009,12/30/2009,Level One SSO at 26 wellesley Cir Glen Echo. It began at 10:58am with estimated flow of 1 gal/min. SSO is ongoing at 11:40am. Cause is unknown. Work Order #9300468. UC on call is Robert Martin.,2009,Water Quality,Overflows
22727,12/04/2009,12/04/2009,Email notification received on 12/3/09 at 0903.  Level Two Waterway SSO at 14505 Notley Rd in Silver Spring into a storm drain.  It began at 7:37 am with estimated flow of 2 gal/min.  Cause is unknown. Work Order #9299835.  UC on call is Veric Brown.,2009,Water Quality,Overflows
22734,12/07/2009,01/06/2010,Email notification received 12/4/09 at 9:36 pm.  Level One SSO at 609 Sligo Creek Pkw located in Takoma Park.  It began at 3:01pm with estimated flow of 1gal/min.  SSO ended at 4:15pm. Cause was a rag stoppage in line.  Work Order #9303645.  UC on call is Joe Fulton.,2009,Water Quality,Overflows
22751,12/14/2009,01/26/2010,"WSSC contacted MCDEP at 18:33 hours on 12/11/09 to report a level 2 waterway sanitary sewer overflow at 635 Marcia Lane in Rockville, MD.  The cause is unknown at this time.  The work order # is 9315904.  The UC on call is Richard Thompson.",2009,Water Quality,Overflows
22762,12/15/2009,12/23/2009,"Hotline message received 12/14/09 at 0910.  Caller was walking along the hiker-biker path in Sligo Creek Park, when she noticed a considerable amount of white powder, possibly dry wall, dumped on both sides of the walkway path.  The exact location is halfway between Carroll Ave. overpass bridge and the hiker-biker path.",2009,Water Quality,Overflows
22781,12/23/2009,01/27/2010,Email notification received 12/23/09 at 1057.  Level One SSO at 12911 Poppyseed Ct in Germantown. It began at 9:47 am with estimated flow of 1 gal/min. SSO is ongoing. Cause is UNKNOWN. Work Order #9340456. UC on call is Veric Brown.,2009,Water Quality,Overflows
22784,12/28/2009,01/21/2010,Email notification received 12/25/09 at 11:02 PM.  Level One SSO at 4210 Matthews Ln located in Kensington . It began at 3:13 PM with an estimated flow of 14 gal/min. SSO is ongoing.  The cause is UNKNOWN.  The work Order #9343476. UC on call is Bobby Martin.,2009,Water Quality,Overflows
23956,10/18/2010,11/30/2010,"Email notification received Fri 10/15/2010 3:30 PM.  Lvl 2 Waterway SSO @ 9726 Hedin Dr, Adelphi into Northwest Branch. Began @ 10:00am. Estim. flow of 1 gal/min. Cause is UNKNOWN. WO#0036996. UC on call is Joe Fulton.",2010,Water Quality,Overflows
22792,12/30/2009,02/01/2010,Level Two Waterway SSO at 10930 Clermont Ave in Garrett Park into Rock Creek.  It began at 03:32 PM with an estimated flow of 3 gal/min. The cause is unknown.  The work order # is 9350364.  The UC on call is Robert Martin. A Repair crew was dispatched as of 4:49 PM.,2009,Water Quality,Overflows
22799,01/04/2010,01/21/2010,Level One SSO at 18352 Allspice Dr. in Germantown. It began at 02:05pm with estimated flow of 1 gal/min. SSO is ongoing. Cause is UNKNOWN. Work Order #9357658. UC on call is Min Lwin.  Level 1 SSO at 18352 Allspice Dr. in Germantown has ended. It began at 2:05 Pm. and ended at 6:00 Pm. Estimated flow of 235 gallons. Cause is unknown. Crew is on site and will restore the area once repairs have been completed. All other notifications have been made.,2010,Water Quality,Overflows
22804,01/05/2010,01/21/2010,Level One SSO at 4013 Byrd Rd in Kensington. It began at 3:15pm with estimated flow of 1/4 gal/min. SSO is ongoing. Cause is broken sewer pipe underground. Work Order #9360942. UC on call is Robert Martin.,2010,Water Quality,Overflows
22814,01/06/2010,01/27/2010,Level Two Waterway SSO at 2916 Marlow Rd in Silver Spring into Paint Branch. It began at 11:32am with estimated flow of 1 gal/min. Cause is unknown. Work Order #9364845. UC on call is Veric Brown. Sewer crew is currently onsite.  Level ONE SSO at 2916 Marlow Rd in Silver Spring has ended. It began at 11:32am and ended at 1:45pm. Estimated flow of 133 gallons. Cause is hard unknown. After further assessment crew found no sewer entered any waterway.,2010,Water Quality,Overflows
22815,01/06/2010,01/26/2010,"Notification of WSSC overflow, no initial report of overflow was received, only ending result report.  Level two SSO at 13615 Georgia Ave in Silver Spring has ended. It began at 1:44pm and ended at 3:00pm. Estimated flow of 76 gallons. Cause is soft paper.",2010,Water Quality,Overflows
22818,01/11/2010,01/14/2010,Level Two Waterway SSO at 7900 Connecticut Ave in Chevy Chase into Unnamed Pond on Golf Course. It began at 10:34am with estimated flow of 2 gal/min. Cause is Collapsed Pipe. Work Order #9375627. UC on call is Robert Martin.**Contractor will be making repairs.**,2010,Water Quality,Overflows
22822,01/12/2010,01/20/2010,Level One SSO at 19441 Transhire Rd Gaithersburg.  It began at 7:12 PM with an estimated flow of 1/2 gal/min.  SSO is ongoing at 10:35 PM.  The cause is UNKNOWN.  The work order # is 9388745.  The unit coordinator on call is Richard Thompson.,2010,Water Quality,Overflows
22827,01/12/2010,02/01/2010,Level Two Waterway SSO at 16620 Summertree Ct in Rockville into Rock Creek. It began at 08:42am with estimated flow of 10 gal/min. Cause is unknown. Work Order #9389438. UC on call is Richard Thompson.,2010,Water Quality,Overflows
22839,01/15/2010,02/03/2010,Email notification received 1/14/10 at 1806.  Level One SSO at 9030 Comprint Ct Gaithersburg. It began at 2:30pm with estimated flow of 70 gal/min. SSO has ended at 3:40pm. Cause is paper. Work Order #9396599. UC on call is Lwin Min.,2010,Water Quality,Overflows
22857,01/20/2010,01/26/2010,WSSC notification: - Level Two Waterway SSO at 10008 Broad St Bethesda into unknown WATERWAY. It began at 8:55pm with estimated flow of 1 gal/min. Cause is unknown. Work Order #9403981. UC on call is Joe Fulton. Level 2 SSO at 10008 Broad St Bethsda has ended. It began at 8:55pm and ended at 10:32pm. Estimated flow of 98 gallons. Cause is grease.,2010,Water Quality,Overflows
22932,02/04/2010,02/19/2010,Referred by WSSC via email: - Level Two Waterway SSO at 6110 Oberlin Ave in Glen Echo into Storm Drain. It began at 11:26am with estimated flow of 1/2 gal/min. Cause is unknown. Work Order #9443060. UC on call is Veric Brown.,2010,Water Quality,Overflows
22939,02/09/2010,02/24/2010,Email notification received 2/8/10 at 0216 reporting a Level Two Waterway SSO at 11705 Centurion Way located in Potomac going into a Storm Drain entering the Watts Branch Basin. It began at 3:19pm with an estimated flow of 1 gal/min. Cause is unknown. Work Order #9448762. UC on call is Richard Thompson.,2010,Water Quality,Overflows
22962,03/01/2010,03/09/2010,Email notification received 2/26/10 at 2052.  Level One SSO at 3131 Norbeck RD located in Silver Spring. It began at 3:12pm with a total volume of 288 gal. SSO ended at 8:00pm. Cause was a root and grease stoppage. Work Order #9481573. UC on call is Min Lwin.,2010,Water Quality,Overflows
22963,03/01/2010,04/26/2010,Email notification received 2/28/10 at 1753.  Level One SSO at 11318 Cushman RD Rockville MD. It began at 04:28 PM with estimated flow of 2 gal/min.  The SSO is ongoing .  At this time the cause is UNKNOWN.  The Work Order #9482282.  The UC on call is Min Lwin.,2010,Water Quality,Overflows
22982,03/02/2010,03/30/2010,Referred by WSSC on 03/02/2010:  Level Two Waterway SSO at 10401 Lewis Dr in Damascus into Seneca Creek.  It began at 7:56 AM with an estimated flow of 17 gal/hour.  The cause is unknown.  The Work Order # is 9499849.  The Unit Coordinator on call is Richard Thompson.  (Small leak on force main per Richard Thompson.  A crew will make repairs in the AM on 3/3/10).,2010,Water Quality,Overflows
23957,10/18/2010,11/17/2010,"Email notification received Sat 10/16/2010 8:43 PM.  Lvl 2 Waterway SSO @ 5703 Warwick Pl, Chevy Chase into UKN WATERWAY. Began @ 06:23pm. Estim. flow of 1 gal/min. Cause is UNKNOWN. WO#0037770. UC on call is Joe Fulton.",2010,Water Quality,Overflows
22991,03/04/2010,03/09/2010,Referred by WSSC on 03/04/10: - Level Two Waterway SSO at 20519 Addenbrook Way in Gaithersburg into Seneca Creek. It began at 12:43pm with estimated flow of .25gal/min. Cause is unknown. Work Order #9504903. UC on call is Richard Thompson,2010,Water Quality,Overflows
22995,03/05/2010,03/16/2010,Referred by WSSC on 04/05/10: - Level Two Waterway SSO at 12907 Ruxton Rd in Silver Spring into Paint Branch. It began at 1:35pm with estimated flow of 1 gal total. Cause is unknown. Work Order #9506445. UC on call is Richard Thompson.,2010,Water Quality,Overflows
23012,03/10/2010,03/15/2010,Referred by WSSC: - Level One SSO at 29 Quincy St in Chevy Chase. It began at 2:15pm with estimated flow of 47 gal. SSO ended at 4:30pm. Cause is medium to heavy root blockage. Work Order #9513409. UC on call is Bobby Martin.,2010,Water Quality,Overflows
23048,03/18/2010,04/05/2010,Referred by WSSC: - Level Two Waterway SSO at 2100blk Viers Mill Rd in Rockville into Rock Creek. It began at 11:33am with estimated flow of 3 gal/min. Cause is unknown. Work Order #9528662. UC on call is Veric Brown. Crew#211 Kevin Kolpack is onsite.,2010,Water Quality,Overflows
23058,03/22/2010,04/27/2010,Received via WSSC email: - Level Two Waterway SSO at 8402 Jeb Stuart Rd in Rockville into an Unknown Creek. It began at 11:31 am with estimated flow of 5 gal/min. Cause is unknown. Work Order #9533233. UC on call is Min Lwin.  Level two SSO at 8404 Jeb Stuart Dr in Rockville has ended. It began at 11:31am and ended at 3:38pm. Estimated flow of 1236 gallons. Cause is heavy roots .,2010,Water Quality,Overflows
23069,03/23/2010,04/09/2010,End report received from WSSC on 03/22/10 at 9:22PM (No Beginning notification was received for location): - Level two SSO at 2828 Jutland Rd in Kensington has ended. It began at 7:30pm and ended at 8:00pm. Estimated flow of 186 gallons. Cause is rags and tissue.,2010,Water Quality,Overflows
23084,03/24/2010,04/15/2010,"Received via voice mail from Steve: - Report of manhole cover overflow at 7560 Lindbergh Drive in Gaithersburg which began one week prior. Today, 03/24/10 the WSSC contractor is at property line and has determined that the overflow was caued by broken pipe.",2010,Water Quality,Overflows
23222,04/19/2010,05/11/2010,"Received via email by WSSC: - Lvl 2 Waterway SSO @ 9117 Trams Way, Gaithersburg into Seneca Creek. Began @ 10:42 am. Estim. flow of 1 gal/min. Cause is UNKNOWN. WO#9605924. UC on call is Min Lwin. Lvl 2 SSO @ 9117 Trams Way, Gaithersburg ended. Began @ 10:42 am. Ended @ 12:00 pm. Estim. flow of 78 gal. Cause is roots.",2010,Water Quality,Overflows
23223,04/19/2010,04/29/2010,"Received via email from WSSC:  Lvl 1 SSO @ 10405 Amherst Ave, Silver Spring. Began @ 2:06 pm. Estim. flow 3 gal. SSO is ONGOING. Cause is UNKNOWN. WO#9606088. UC on call is Min Lwin. Lvl 1 SSO @ 10405 Amherst Ave, Silver Spring ended. Began @ 2:06 pm. Ended @ 4:30 pm. Estim. flow 3 gal. Cause is unknown.",2010,Water Quality,Overflows
23232,04/20/2010,05/11/2010,Received via email from WSSC: - Lvl 1 SSO @ 9315 Warren St located in Silver Spring. Began @ 4:20pm. Estim. flow 4 gal/min.Cause is UNKNOWN. WO#9608365. UC on call is Min Lwin.  Lvl 1 SSO @ 9315 Warren St located in Silver Spring ended. Began @ 4:20pm. Ended @ 7:30pm. Estim. flow 4 gal. Cause is UNKNOWN.,2010,Water Quality,Overflows
23238,04/20/2010,05/10/2010,Received via email from WSSC:  (No beginning notification of overflow was received).  The following is a message from WSSC: Level 1 SSO at 7713 Chicago Avenue (Montgomery College) in Silver Spring has ended.  The overflow began @ 11:35 am. and ended @ 2:17 pm.  The estimated total flow was +/-10 gal.  The cause is UNKNOWN.,2010,Water Quality,Overflows
23250,04/26/2010,06/21/2010,"Received via email from WSSC on 04/24/10:  Level 2 Waterway SSO @ 11100 Flanagan Lane, Germantown, MD in the rear r/w  into Seneca Creek. The overflow began @ 7:45pm.  The estimated flow is unknown at this time.  The cause is also unknown.  The work order # is 9617333.  The UC on call is Joseph Fulton.   The Level 2 SSO @ 11100 Flanagan Ln located in Germantown has ended @ 10:30pm. The estimated flow was 495 gal. The cause is unknown.",2010,Water Quality,Overflows
23251,04/26/2010,04/26/2010,"The following is a message from WSSC: - Lvl 2 Waterway SSO @ 7848-94 Sheriff Rd r/w, Kentland into Ukn WATERWAY. Began @ 613pm. Estim. flow of 200 gal. Cause is Hard Grease. WO#9616855. UC on call is M. Simpson. SSO is stopped at 10:30pm.",2010,Water Quality,Overflows
23285,04/30/2010,05/26/2010,"Received via email from WSSC: - Lvl 1 SSO @ 11315 RLvl 2 SSO @ 11315R/W ROLLING House Rd, Rockville ended. Began @ 726pm. Ended @ 1030pm. Estim. flow of 92 gal. Cause is UNKNOWN.",2010,Water Quality,Overflows
23289,04/30/2010,05/07/2010,"Received via email from WSSC on 04/30/10: - Lvl 1 SSO @ 21212 Watercress Circle in Germantown ended. Began @ 9:45 am. Ended @ 10:15 am. Estim. flow 1 gal. Cause is Soft Paper Products, No initial start report was ever sent or received regarding incident.",2010,Water Quality,Overflows
23290,04/30/2010,06/01/2010,"Received via email from WSSC on 04/30/10: - Lvl 1 SSO @ 12642 Piedmont Trail Rd, Clarksburg. Began @ 159pm. Estim. flow 5 gal. SSO has ENDED @ 245pm. Cause is UNKNOWN. WO#9628298. UC on call is M.Byrd.  No initial start report was ever sent or received regarding overflow.",2010,Water Quality,Overflows
23297,05/03/2010,05/26/2010,Received via email from WSSC on 05/02/10: - Lvl 1 SSO @ 18622 Winding Creek Pl located in Germantown. Began @ 2:41pm. Estim. flow 1/2 gal/min. SSO ENDED @ 5:00pm. Cause is UNKNOWN. WO#9656372. UC on call is Min Lwin. Lvl 1 SSO @ 18622 Winding Creek Pl located in Germantown ended. Began @ 2:41pm. Ended @ 5:00pm. Estim. volume 70 gal. Cause is UNKNOWN.,2010,Water Quality,Overflows
23304,05/05/2010,05/18/2010,"Received via email from WSSC on 05/04/10: - Lvl 1 SSO @ 8600 Fenway Rd., Bethesda. Began @ 11:00pm. Estim. flow 1 gal total. SSO ENDED @ 12:36am]. Cause is UNKNOWN. WO#9660291. UC on call is Min Lwin.",2010,Water Quality,Overflows
23320,05/10/2010,05/11/2010,"received via email from WSSC on 05/07/10: - Lvl 2 Waterway SSO @ 4803 Eades St located in Rockville,going into a Storm Drain. Began @ 6:24pm. Estim. flow of 1/2 gal/min. Cause is UNKNOWN. WO#9678905. UC on call is Bobby Martin. Lvl 2 SSO @ 4803 Eades St located in Rockville ended. Began @ 6:24pm. Ended @ 9:05pm. Estim. flow of 80 gal. Cause is UNKNOWN.",2010,Water Quality,Overflows
23369,05/20/2010,06/17/2010,"Received via email from WSSC: - Lvl 2 Waterway SSO @ 11031 Dobbins Dr, Potomac into Kilgore Creek. Began @ 10:26 am. Estim. flow of 5 gal/min. Cause is UNKNOWN. WO#9698598. UC on call is Mike Umstot. Crew is on-site.",2010,Water Quality,Overflows
23406,05/28/2010,06/15/2010,"Received from WSSC via email on 05/28/10: - Lvl 2 Waterway SSO @ 8701 Bradford Rd,Silver Spring into Sligo Creek. Began on 5.26.10 @ 5:52 pm. Estim. flow of .5 gal/min. Cause is leakign sewer. WO#9708942 UC on call is Joe Fulton.",2010,Water Quality,Overflows
23435,06/08/2010,06/29/2010,"Received from WSSC via email on 06/07/2010: - Lvl 2 Waterway SSO @ 11616-20 Rockville Pk , Rockville into Cabin John. Began @ 1:57pm. Estim. flow of 1 gal/min. Cause is UNKNOWN. WO#9737537. UC on call is Robert Martin. Crew is enroute.",2010,Water Quality,Overflows
23465,06/14/2010,07/09/2010,"Email notification received 6/12/10 at 10:52 am reporting a Lvl 1 SSO @ 4905 Riding Ridge Ct, Laurel ended. Began @ 9:29am. Ended @ 10:35am. Estim. flow 2 gal. Cause is UNKNOWN. Crew #133 found evidence of very small amt of sewage around cleanout that had overflowed.",2010,Water Quality,Overflows
23497,06/22/2010,07/29/2010,Email notification received 6/22/10 at 12:17 pm reporting a Lvl 1 SSO @ 1326 Canyon Rd Silver Spring . Began @ 1:15p. Estim. flow 30 gal. SSO [stop]. Cause is UNKNOWN. WO#9764036. UC on call is Veric Brown.,2010,Water Quality,Overflows
23542,07/08/2010,07/09/2010,"Level 1 SSO @ 2817 East West Highway located in Chevy Chase, MD.  The SSO began @ 5:09 pm on 07/07/10.   The estimated flow was a total of <1 gal.  The  SSO ended @ 6:50 pm on 07/07/10. The cause is unknown. The WO# is 9814930.  The unit coordinator on call is Bobby Martin.",2010,Water Quality,Overflows
23593,07/20/2010,08/09/2010,"Lvl 1 SSO @ 12307 Connecticut Ave, Silver Spring ended. Began @ 10:25am ON 7/19/10. Ended @ 12:00pm ON 7/19/10. Estim. flow 1 gal. Cause is hard unknown substance.",2010,Water Quality,Overflows
23651,08/02/2010,08/23/2010,"Lvl 2 SSO @ 18551 Split Rock Lane Germantown MD ended @ 4:40pm, it Began @ 2:08pm. Estimated flow of 455gal. Cause is concrete & grease.",2010,Water Quality,Overflows
