Competitive Bid Service Area ID,Competitive Bid Service Area Name,Company Name,DBA Name,Address,Address 2,City,State,Zip,Zip Plus 4,Phone,Toll-Free Telephone,Product Category Name,Competitive Bid
,,LEGACY OXYGEN AND HOME CARE EQUIPMENT LLC,LEGACY OXYGEN AND HOME CARE EQUIPME,800 BROADWAY ST,,PADUCAH,KY,42001,,(270)442-7887,,Automatic External Defibrillators (AEDS),N
,,LEGACY OXYGEN AND HOME CARE EQUIPMENT LLC,LEGACY OXYGEN AND HOMECARE EQUIPMEN,924 S 12TH ST,,MURRAY,KY,42071,,(270)753-2001,,Automatic External Defibrillators (AEDS),N
,,LEGACY OXYGEN AND HOME CARE EQUIPMENT LLC,LEGACY OXYGEN AND HOME CARE,707 S MAIN ST,,MARION,KY,42064,,(270)965-7080,,Automatic External Defibrillators (AEDS),N
,,ROCKY MOUNTAIN RESPIRATORY RESOURCE,ROCKY MOUNTAIN RESPIRATORY RESOURCE,11050 SPOTSWOOD TER,,PEYTON,CO,80831,,(719)200-9697,,Automatic External Defibrillators (AEDS),N
,,"SUPER ROCKWALL DRUGSTORE,LP",SUPER DRUG,104 W KAUFMAN ST,,ROCKWALL,TX,75087,,(972)772-8801,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEYS PHARMACY #236,2325 MYERS ST,,OROVILLE,CA,95966,,(530)533-6876,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #310,2900 GEER RD,,TURLOCK,CA,95382,,(209)667-4919,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #420,8391 FOLSOM BLVD,,SACRAMENTO,CA,95826,,(916)383-4541,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #103,1441 MAYBERRY DR,,RENO,NV,89509,,(775)786-3655,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #333,3632 LONE TREE WAY,,ANTIOCH,CA,94509,,(925)754-5288,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #311,1280 LATHROP ROAD,,MANTECA,CA,95336,,(209)825-0494,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEYS PHARMACY #213,692 FREEMAN LN,,GRASS VALLEY,CA,95949,,(530)272-2496,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #337,100 RALEYS TOWNE CTR,,ROHNERT PARK,CA,94928,,(707)585-3444,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #421,8870 MADISON AVE,,FAIR OAKS,CA,95628,,(916)966-6371,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #249,2485 NOTRE DAME BLVD,,CHICO,CA,95928,,(530)895-0895,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #229,13384 LINCOLN WAY,,AUBURN,CA,95603,,(530)885-7989,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY # 431,5159 FAIR OAKS BLVD,,CARMICHAEL,CA,95608,,(916)483-0419,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #438,6366 MACK RD,,SACRAMENTO,CA,95823,,(916)421-3267,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEYS PHARMACY #247,1842 FORT JONES RD,,YREKA,CA,96097,,(530)842-4182,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S #340/350,40041 HIGHWAY 49,,OAKHURST,CA,93644,,(559)683-8360,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S #304/394,2077 MAIN STREET,,OAKLEY,CA,94561,,(925)625-4500,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #343,890 SOUTHAMPTON RD,,BENICIA,CA,94510,,(707)746-5565,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #309,3550 NORTH G ST,,MERCED,CA,95348,,(209)722-3853,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEYS PHARMACY #114,3701 S CARSON ST,,CARSON CITY,NV,89701,,(775)882-3116,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEYS PHARMACY #328,1315 N STATE ST,,UKIAH,CA,95482,,(707)468-5156,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #412,6845 DOUGLAS BLVD,,GRANITE BAY,CA,95746,,(916)791-8015,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #417,4840 SAN JUAN AVE,,FAIR OAKS,CA,95628,,(916)966-2266,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #315,39200 PASEO PADRE PARKWAY,,FREMONT,CA,94538,,(510)791-0657,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY # 344,3061 ALAMO DR,,VACAVILLE,CA,95687,,(707)447-2526,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #445,311 SOUTH LOWER SACRAMENTO RD,,LODI,CA,95242,,(209)369-7403,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #242,700 W ONSTOTT RD,,YUBA CITY,CA,95991,,(530)673-8880,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #239,7847 LICHEN DRIVE,,CITRUS HEIGHTS,CA,95621,,(916)722-1755,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #248,201 LAKE BLVD,UNIT B,REDDING,CA,96003,,(530)246-3511,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #127,1040 EMERALD BAY RD,,SOUTH LAKE TAHOE,CA,96150,,(530)541-5230,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEYS PHARMACY #422,166 PLACERVILLE DR,,PLACERVILLE,CA,95667,,(530)622-6630,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #109,1363 HWY 395 N,,GARDNERSVILLE,NV,89410,,(775)782-2226,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEYS PHARMACY #424,3935 PARK DR,STE B,EL DORADO HILLS,CA,95762,,(916)933-0374,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #206,367 WEST MAIN ST,,WOODLAND,CA,95695,,(530)666-1445,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEYS PHARMACY #448,1601 W CAPITOL AVE,,WEST SACRAMENTO,CA,95691,,(916)372-3111,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #316,5420 SUNOL BLVD,,PLEASANTON,CA,94566,,(925)846-7944,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #227,1915 DOUGLAS BLVD,,ROSEVILLE,CA,95661,,(916)781-7840,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY # 313,1407 FULTON RD,,SANTA ROSA,CA,95403,,(707)546-4313,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEYS PHARMACY #330,270 SUNSET AVENUE,,SUISUN CITY,CA,94585,,(707)426-1274,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #341,8852 LAKEWOOD DR,,WINDSOR,CA,95492,,(707)838-4319,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #108,18144 WEDGE PKWY,,RENO,NV,89511,,(775)850-8920,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #319,217 SOSCOL AVE,,NAPA,CA,94559,,(707)224-1269,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S #231,6119 HORSESHOE BAR RD,,LOOMIS,CA,95650,,(916)652-5633,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEYS PHARMACY #245,211 W EAST AVE,,CHICO,CA,95926,,(530)899-3790,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEYS PHARMACY #102,2895 N MCCARRAN BLVD,,SPARKS,NV,89431,,(775)353-8818,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEYS PHARMACY #426,781 SOUTH HIGHWAY 49,,JACKSON,CA,95642,,(209)223-9670,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEYS PHARMACY #331,3330 N TEXAS ST,,FAIRFIELD,CA,94533,,(707)421-9010,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEYS PHARMACY #409,715 EAST BIDWELL STREET,,FOLSOM,CA,95630,,(916)983-6574,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #416,3518 MARCONI AVE,,SACRAMENTO,CA,95821,,(916)972-7198,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY 233,725 S MAIN ST,,RED BLUFF,CA,96080,,(530)527-2137,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEYS PHARMACY #115,1075 N HILLS BLVD,STE 270,RENO,NV,89506,,(775)677-8750,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #336,2400 SAND CREEK RD,,BRENTWOOD,CA,94513,,(925)513-8844,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #447,4650 NATOMAS BLVD,,SACRAMENTO,CA,95835,,(916)419-6644,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEYS #302,10430 TWIN CITIES RD,,GALT,CA,95632,,(209)745-4881,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #105,1630 ROBB DR,,RENO,NV,89523,,(775)746-6404,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #230,39 LINCOLN BOULEVARD,,LINCOLN,CA,95648,,(916)408-3633,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEYS PHARMACY #410,25025 BLUE RAVINE RD,,FOLSOM,CA,95630,,(916)351-0303,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEYS PHARMACY #443,4900 ELK GROVE BLVD,,ELK GROVE,CA,95758,,(916)683-0720,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #306,4255 E MORADA LANE,,STOCKTON,CA,95212,,(209)956-9444,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #228,4051 WOODCREEK OAKS BLVD,,ROSEVILLE,CA,95747,,(916)774-3344,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #329,157 N MCDOWELL BLVD,,PETALUMA,CA,94954,,(707)765-9100,,Automatic External Defibrillators (AEDS),N
,,HOME HEALTH CARE INC.,COMMONWEALTH HOME HEALTH CARE,479 PINEY FOREST RD,,DANVILLE,VA,24540,,(434)797-2332,,Automatic External Defibrillators (AEDS),N
,,JOHN CURELLI,JOHN CURELLI,12 OLD SCHOOLHOUSE VILLAGE,,VINEYARD HAVEN,MA,02568,,(508)693-4380,,Automatic External Defibrillators (AEDS),N
,,"DASCO-ALLIANCE, LTD.",DASCO/ALLIANCE LTD,270 E STATE ST,STE 130,ALLIANCE,OH,44601,,(330)829-0565,,Automatic External Defibrillators (AEDS),N
,,SAKRX LLC,SAKRX LLC,808 N 27TH ST,,LINCOLN,NE,68503,,(402)476-3342,,Automatic External Defibrillators (AEDS),N
,,SAKRX LLC,KOHLLS RX,2915 LEAVENWORTH ST,,OMAHA,NE,68105,,(402)342-6548,,Automatic External Defibrillators (AEDS),N
,,MIRACULOUS MEDICAL SUPPLIES INC,MIRACULOUS MEDICAL SUPPLIES INC,15411 SW 137TH AVE,,MIAMI,FL,33177,,(786)701-8843,,Automatic External Defibrillators (AEDS),N
,,ARN MON INC,ARN MON INC,6853 DOUGLAS BLVD,STE A,DOUGLASVILLE,GA,30135,,(678)813-8758,,Automatic External Defibrillators (AEDS),N
,,INTEGRA MEDICAL SUPPLY,INTEGRA MEDICAL SUPPLY,399 CAMINO GARDENS BLVD,STE 102,BOCA RATON,FL,33432,,(561)440-8550,,Automatic External Defibrillators (AEDS),N
,,STONEROCK HEALTH CARE LLC,STONEROCK HEALTH CARE LLC,9620 E STATE ROUTE 350,STE 104,RAYTOWN,MO,64133,,(816)994-3366,,Automatic External Defibrillators (AEDS),N
,,RED HAT SERVICES INC,RED HAT SERVICES INC,1111 OAKFIELD DR,STE 115D,BRANDON,FL,33511,,(813)324-6541,,Automatic External Defibrillators (AEDS),N
,,AMERICAN GENERAL MEDICAL SUPPLY,AMERICAN GENERAL MEDICAL SUPPLY,3213 INTERSTATE 30,STE 410,MESQUITE,TX,75150,,(972)270-0500,,Automatic External Defibrillators (AEDS),N
,,MEDCENTER PRIMARY CARE,MEDCENTER PRIMARY CARE,4960 RICE MINE RD NE,STE 10,TUSCALOOSA,AL,35406,,(205)333-9467,,Automatic External Defibrillators (AEDS),N
,,ZARA PHARMACY LLC,PHARMACY PLUS & SURGICAL SUPPLIES,57 LINDEN ST,,HACKENSACK,NJ,07601,,(201)968-5260,,Automatic External Defibrillators (AEDS),N
,,PREMIER HOME MEDICAL EQUIPMENT SERVICES INC,PREMIER HOME MEDICAL EQUIPMENT SERV,3070 MCCANN FARM DR,STE 104,GARNET VALLEY,PA,19060,,(610)558-6222,,Automatic External Defibrillators (AEDS),N
,,ROYAL MEDICAL SUPPLIES LLC,ROYAL MEDICAL SUPPLIES LLC,10630 LITTLE PATUXENT PKWY,STE 314J,COLUMBIA,MD,21044,,(443)703-6078,,Automatic External Defibrillators (AEDS),N
,,SHORELINE MEDICAL EQUIPMENT LLC,SHORELINE MEDICAL EQUIPMENT LLC,320 S CALIFORNIA AVE,STE 1,CHICAGO,IL,60612,,(773)886-1533,,Automatic External Defibrillators (AEDS),N
,,MMS EQUIPMENT OF DALLAS WEST LLC,MAJORS MEDICAL SERVICE,523 S HENDERSON ST,,FT WORTH,TX,76104,,(682)250-7115,,Automatic External Defibrillators (AEDS),N
,,TACHIINII NURSING SERVICES INC,TACHIINII NURSING SERVICES INC,ONE MISSION LANE WEST OF HWY 191,,ROCK POINT,AZ,86545,,(928)659-4141,,Automatic External Defibrillators (AEDS),N
,,NEW LIFE PHARMACY & MEDICAL SUPPLY INC,NEW LIFE PHARMACY & MEDICAL SUPPLY,11200 SW VILLAGE PKWY,STE 100,PORT ST LUCIE,FL,34987,,(772)877-1125,,Automatic External Defibrillators (AEDS),N
,,PROVISIONAM,PROVISIONAM,3819 PHELAN BLVD,,BEAUMONT,TX,77707,,(409)363-5022,,Automatic External Defibrillators (AEDS),N
,,PATTON DURABLE EQUIPMENT SUPPLIES LLC,PATTON DURABLE EQUIPMENT SUPPLIES L,305 CLINTON BLVD,,CLINTON,MS,39056,,(601)708-5097,,Automatic External Defibrillators (AEDS),N
,,SCEPTER HEALTH RESOURCES LLC,HEALTHPRO PHARMACY&WELLNESS CENTER,9400 LAKEVIEW PKWY,STE 111,ROWLETT,TX,75088,,(972)954-1231,,Automatic External Defibrillators (AEDS),N
,,"TATA RESOURCES, LLC",BAY AREA PHARMACY & MEDICAL SUPPLY,10549 N FLORIDA AVE,STE A,TAMPA,FL,33612,,(813)221-3131,,Automatic External Defibrillators (AEDS),N
,,SDS MEDICAL SUPPLIES INC.,"SDS MEDICAL SUPPLIES, INC.",2375 WALL ST SE,"STE 240, ROOM 50",CONYERS,GA,30013,,(770)285-4104,,Automatic External Defibrillators (AEDS),N
,,WORLD PHARMACY LLC,WORLD PHARMACY LLC,14901 41ST AVE,,FLUSHING,NY,11355,,(718)358-4800,,Automatic External Defibrillators (AEDS),N
,,MEDICAL MART & DME,HEALTH PLUS PHARMACY - MISSION,3401 W MILE 5 RD,STE 2,MISSION,TX,78574,,(956)424-3535,,Automatic External Defibrillators (AEDS),N
,,LIFESURE LLC,LIFESURE LLC,3151 EXECUTIVE WAY,,MIRAMAR,FL,33025,,(954)585-0184,,Automatic External Defibrillators (AEDS),N
,,A AND Z TECHNOLOGIES LLC,A AND Z MEDICAL SUPPLIES,785 S STATE ST,,WESTERVILLE,OH,43081,,(614)776-4445,,Automatic External Defibrillators (AEDS),N
,,ROCKY MOUNTAIN MEDICAL EQUIPMENT LLC,ROCKY MOUNTAIN MEDICAL EQUIPMENT LL,5620 N UNION BLVD,,COLORADO SPRINGS,CO,80918,,(719)475-1236,,Automatic External Defibrillators (AEDS),N
,,"ORTHO-TEC MEDICAL, INC.",ORTHO TEC MEDICAL INC,15 GORE RD,,WEBSTER,MA,01570,,(888)616-9811,,Automatic External Defibrillators (AEDS),N
,,"U.S. MEDICAL EQUIPMENT, INC.",US MEDICAL EQUIPMENT INC,36967 AMRHEIN RD,,LIVONIA,MI,48150,,(734)425-0001,,Automatic External Defibrillators (AEDS),N
,,EDLUCY INC,ONE STEP AHEAD & HME,1010 W MAIN ST,,FAIRFIELD,IL,62837,,(618)842-2531,,Automatic External Defibrillators (AEDS),N
,,"CENTRAL VIRGINIA PHARMACY CONSULTANTS, P.C.",TIMBERLAKE FAMILY PHARM,20276 TIMBERLAKE RD,STE A,LYNCHBURG,VA,24502,,(434)237-6337,,Automatic External Defibrillators (AEDS),N
,,P & R HOME IV SERVICE INC,P & R MEDICAL CONNECTION,16937 DEFIANCE TRL,,VAN WERT,OH,45891,,(800)587-7670,,Automatic External Defibrillators (AEDS),N
,,"RESOURCE MEDICAL GROUP OF CHARLESTON, LLC",RESOURCE MEDICAL GROUP OF CHARLESTO,4042 ASHLEY PHOSPHATE RD,,NORTH CHARLESTON,SC,29418,,(843)767-3344,,Automatic External Defibrillators (AEDS),N
,,"RESOURCE MEDICAL GROUP OF CHARLESTON, LLC",RESOURCE MEDICAL GROUP OF CHARLESTO,1406 COMMERCE PLACE,SUITE J,MYRTLE BEACH,SC,29577,,(843)839-5101,,Automatic External Defibrillators (AEDS),N
,,"RESOURCE MEDICAL GROUP OF CHARLESTON, LLC",RESOURCE MEDICAL,1180 RIBAUT RD,STE 2&4,BEAUFORT,SC,29902,,(843)379-0612,,Automatic External Defibrillators (AEDS),N
,,BREATHE RITE MEDICAL AND SURGICAL EQUIPMENT LLC,BREATHE RITE MEDICAL AND SURGICAL E,1285 S BROAD ST,,TRENTON,NJ,08610,,(609)394-2770,,Automatic External Defibrillators (AEDS),N
,,SUPREME HEALTHCARE SUPPLY LLC,SUPREME HEALTHCARE SUPPLY LLC,6043 NW 167TH ST,STE A1,MIAMI,FL,33015,,(786)348-0009,,Automatic External Defibrillators (AEDS),N
,,LEON HOME MEDICAL LLC,"LEON HOME MEDICAL, INC.",8600 NW 41ST ST,STE 1A,DORAL,FL,33166,,(305)631-3460,,Automatic External Defibrillators (AEDS),N
,,"KERN MEDICAL SUPPLY, LLC","KERN MEDICAL SUPPLY, LLC",5209 MINTER FIELD AVE,STE 101,SHAFTER,CA,93263,,(661)393-4877,,Automatic External Defibrillators (AEDS),N
,,SAIL HEALTHCARE LLC,SAIL HEALTHCARE LLC,121 INTERPARK BLVD,STE 308,SAN ANTONIO,TX,78216,,(210)201-7245,,Automatic External Defibrillators (AEDS),N
,,PARTNERS MEDICAL SUPPLIES INC.,PARTNERS MEDICAL SUPPLIES INC,395 BROAD AVE,,RIDGEFIELD,NJ,07657,,(201)820-1598,,Automatic External Defibrillators (AEDS),N
,,CIRCLE OF PROFESSIONALS INC,SUPREMEMED,7044 SOPHIA AVE,,VAN NUYS,CA,91406,,(800)594-2295,,Automatic External Defibrillators (AEDS),N
,,DME MEDICAL EQUIPMENT INC,"DME MEDICAL EQUIPMENT, INC.",2000 E MAIN ST,STE C,UVALDE,TX,78801,,(830)591-2620,,Automatic External Defibrillators (AEDS),N
,,"MOUNTAINEER HOME MEDICAL, LLC",MOUNTAINEER HOME MEDICAL LLC,5000 GREENBAG RD,STE F6,MORGANTOWN,WV,26501,,(304)225-6290,,Automatic External Defibrillators (AEDS),N
,,"AMES MED EQUIP,INC",ALLIANCE MEDICAL SUPPLY & RENTAL,301 N JACKSON AVE,STE 7A,SAN JOSE,CA,95133,,(408)942-9000,,Automatic External Defibrillators (AEDS),N
,,CRESSCARE MEDICAL INC,CRESSCARE MEDICAL INC,1531 COMMERCE AVE,,CARLISLE,PA,17015,,(717)241-4441,,Automatic External Defibrillators (AEDS),N
,,CRESSCARE MEDICAL INC,CRESSCARE MEDICAL INC,1820 LINGLESTOWN RD,,HARRISBURG,PA,17110,,(717)236-7482,,Automatic External Defibrillators (AEDS),N
,,PRITCHETT MEDICAL EQUIPMENT INC,ASSOCIATED MEDICAL EQUIPMENT,211 W MOORE AVE,,TERRELL,TX,75160,,(972)524-6800,,Automatic External Defibrillators (AEDS),N
,,D & D SERVICES INC,PREFERRED PEDIATRIC HOME HEALTH CAR,12331 E 60TH ST,,TULSA,OK,74146,,(918)252-2000,,Automatic External Defibrillators (AEDS),N
,,D & D SERVICES INC,PREFERRED PEDIATRIC HOME HEALTH CAR,720 NE 63RD ST,,OKLAHOMA CITY,OK,73105,,(405)848-7337,,Automatic External Defibrillators (AEDS),N
,,D & D SERVICES INC,PREFERRED HOME HEALTH CARE MIDWEST,945 SE 2ND ST,,GALVA,IL,61434,,(309)932-3000,,Automatic External Defibrillators (AEDS),N
,,D & D SERVICES INC,PREFERRED PEDIATRIC HOME HEALTH CAR,3550 COLLEGE AVE,STE C,ALTON,IL,62002,,(618)467-1100,,Automatic External Defibrillators (AEDS),N
,,GREENHILL PHARMACY CORPORATION,GREENHILLS PHARMACY,164 PARSIPPANY RD,,PARSIPPANY,NJ,07054,,(973)887-9444,,Automatic External Defibrillators (AEDS),N
,,TRANS ALLIANCE LAB INC,TRANS ALLIANCE MED & DRUGS,2650 HOLCOMB BRIDGE RD,STE 540,ALPHARETTA,GA,30022,,(770)992-9940,,Automatic External Defibrillators (AEDS),N
,,APPLECARE LLC,APPLECARE STATESBORO,586 BRANNEN ST,,STATESBORO,GA,30458,,(912)871-6611,,Automatic External Defibrillators (AEDS),N
,,"HAWKEYE MEDICAL, LLC",DHC MEDICAL SUPPLY,8855 ANNAPOLIS ROAD,SUITE 100,LANHAM,MD,20706,,(301)918-1750,,Automatic External Defibrillators (AEDS),N
,,DOBSON INTERNATIONAL INC,DOBSON MEDICAL EQUIPMENT SUPPLY,8040 ALONDRA BLVD,STE C,PARAMOUNT,CA,90723,,(562)602-5501,,Automatic External Defibrillators (AEDS),N
,,KNIGHT MEDICAL SUPPLY LLC,KNIGHT MEDICAL SUPPLY LLC,802 S LEWIS ST,,STILLWATER,OK,74074,,(405)743-1646,,Automatic External Defibrillators (AEDS),N
,,"MID JERSEY RESP. ASSOCIATES, MEDICAL SUPPLIES & CLINICAL SVCS., INC",MJRA MID JERSEY MEDICAL SUPPLIES,106 N BROADWAY,,SOUTH AMBOY,NJ,08879,,(732)721-0028,,Automatic External Defibrillators (AEDS),N
,,"BENEMED HOLDINGS, INC.",JACKSON MEDICAL SUPPLY,5006 HIGHWAY 80 E,STE B,PEARL,MS,39208,,(601)376-0855,,Automatic External Defibrillators (AEDS),N
,,BETTER LIVING MEDICAL SUPPLY AND EQUIPMENT INC.,BETTER LIVING MEDICAL SUPPLY AND EQ,2625 OLD DENTON RD,STE 452,CARROLLTON,TX,75007,,(972)820-8700,,Automatic External Defibrillators (AEDS),N
,,"ZYLSTRA MEDICAL SUPPLY, INC","ZYLSTRA MEDICAL SUPPLY, INC.",1998 44TH ST SE,,KENTWOOD,MI,49508,,(616)827-9290,,Automatic External Defibrillators (AEDS),N
,,LUTHERAN MEDICAL GROUP LLC,LUTHERAN MEDICAL GROUP LLC,2516 E DUPONT RD,,FORT WAYNE,IN,46825,,(260)434-6076,,Automatic External Defibrillators (AEDS),N
,,LUTHERAN MEDICAL GROUP LLC,LUTHERAN MEDICAL GROUP LLC,7980 W JEFFERSON BLVD,,FORT WAYNE,IN,46804,,(260)459-1587,,Automatic External Defibrillators (AEDS),N
,,LUTHERAN MEDICAL GROUP LLC,LUTHERAN MEDICAL GROUP,3534 BROOKLYN AVE,,FORT WAYNE,IN,46809,,(260)432-2297,,Automatic External Defibrillators (AEDS),N
,,MEDICAL LOGIC INC,MEDLOGIC,16175A LANDON RD,,GULFPORT,MS,39503,,(228)832-1126,,Automatic External Defibrillators (AEDS),N
,,SANTA MONICA HEALTH SYSTEMS INC,SANTA MONICA PHARMACY AND MEDICAL S,4300 BELAIR RD,STE E,BALTIMORE,MD,21206,,(410)617-0116,,Automatic External Defibrillators (AEDS),N
,,LIFETIME MEDICAL EQUIPMENT AND SUPPLIES,LIFETIME MEDICAL EQUIPMENT AND SUPP,5200 PAIGE RD,STE 300,THE COLONY,TX,75056,,(972)787-0072,,Automatic External Defibrillators (AEDS),N
,,YALOBUSHA GENERAL HOSPITAL,YALOBUSHA DURABLE MEDICAL EQUIPMENT,420 N MAIN ST,,WATER VALLEY,MS,38965,,(662)473-5282,,Automatic External Defibrillators (AEDS),N
,,PERFORMANCE PLUS MEDICAL SUPPLIES LLC,PERFORMANCE PLUS MEDICAL SUPPLIES L,1802 N WOODBINE RD,,SAINT JOSEPH,MO,64506,,(816)232-5113,,Automatic External Defibrillators (AEDS),N
,,QUALICARE MEDICAL SUPPLIES LLC,QUALICARE MEDICAL SUPPLIES LLC,9320 ANNAPOLIS RD,STE 210,LANHAM,MD,20706,,(301)577-4077,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,2024S MAIDEN LN 1,,JOPLIN,MO,64804,,(417)782-6212,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,4210 1ST AVE 310,,NITRO,WV,25143,,(304)755-0718,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,3202 ROBERT C BYRD DR,,BECKLEY,WV,25801,,(304)255-1464,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,4 PRESIDENTIAL WAY,UNIT A,WOBURN,MA,01801,,(978)657-8446,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,2198 WILLIAMS HWY 207/208,,WILLIAMSTOWN,WV,26187,,(304)375-2039,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,170 CARANDO DR,,SPRINGFIELD,MA,01104,,(413)736-4529,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,678 ELMWOOD AVE,,SHARON HILL,PA,19079,,(610)461-5190,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,4416S 40TH ST,,SAINT JOSEPH,MO,64503,,(816)233-2449,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,70 CATAMORE BLVD,,EAST PROVIDENCE,RI,02914,,(401)435-8500,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,1319 E OHIO ST,,CLINTON,MO,64735,,(660)885-8129,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,170 OBERLIN N AVE 24,,LAKEWOOD,NJ,08701,,(732)905-1400,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,5345S MOORLAND RD,,NEW BERLIN,WI,53151,,(262)207-1551,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,16815 COLLEGE BLVD,,LENEXA,KS,66219,,(913)492-2212,,Automatic External Defibrillators (AEDS),N
