Reporting Area,MMWR Year,MMWR Week,"Gonorrhea, Current week","Gonorrhea, Current week, flag","Gonorrhea, Previous 52 weeks Max†","Gonorrhea, Previous 52 weeks Max†, flag","Gonorrhea, Cum 2020†","Gonorrhea, Cum 2020†, flag","Gonorrhea, Cum 2019†","Gonorrhea, Cum 2019†, flag","Haemophilus influenza, invasive disease, All ages, all serotypes, Current week","Haemophilus influenza, invasive disease, All ages, all serotypes, Current week, flag","Haemophilus influenza, invasive disease, All ages, all serotypes, Previous 52 weeks Max†","Haemophilus influenza, invasive disease, All ages, all serotypes, Previous 52 weeks Max†, flag","Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2020†","Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2020†, flag","Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2019†","Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2019†, flag","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Current week","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Current week, flag","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Previous 52 weeks Max†","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Previous 52 weeks Max†, flag","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Cum 2020†","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Cum 2020†, flag","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Cum 2019†","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
TEXAS,2020,4,2,,807,,566,,2580,,5,,23,,16,,18,,,-,1,,,-,1,,TEXAS,,20200447,POINT (-99.317341 31.447238)
ARIZONA,2020,4,24,,358,,526,,1080,,4,,9,,22,,17,,,-,1,,,-,,-,ARIZONA,,20200449,POINT (-111.664616 34.293239)
COLORADO,2020,4,202,,278,,670,,621,,,-,8,,9,,11,,,-,0,,,-,,-,COLORADO,,20200450,POINT (-105.547832 38.998552)
NEVADA,2020,4,,-,157,,,-,453,,,-,4,,2,,4,,,-,0,,,-,,-,NEVADA,,20200453,POINT (-114.916992 39.283294)
NEW MEXICO,2020,4,4,,123,,151,,407,,,-,4,,6,,10,,,-,0,,,-,,-,NEW MEXICO,,20200454,POINT (-106.108388 34.421369)
UTAH,2020,4,46,,75,,195,,208,,2,,5,,5,,4,,,-,0,,,-,,-,UTAH,,20200455,POINT (-111.678222 39.323779)
PACIFIC,2020,4,410,,2210,,5905,,7880,,,-,10,,15,,17,,,-,1,,,-,,-,,PACIFIC,20200457,
ALASKA,2020,4,,-,59,,,-,180,,,-,3,,,-,1,,,-,1,,,-,,-,ALASKA,,20200458,POINT (-151.631889 63.631126)
HAWAII,2020,4,,-,40,,,-,139,,,-,3,,1,,4,,,-,0,,,-,,-,HAWAII,,20200460,POINT (-157.854309 21.361013)
OREGON,2020,4,145,,156,,505,,415,,,-,6,,12,,10,,,-,0,,,-,,-,OREGON,,20200461,POINT (-120.605279 43.940449)
WASHINGTON,2020,4,114,,321,,614,,874,,,-,2,,,-,1,,,-,0,,,-,,-,WASHINGTON,,20200462,POINT (-120.592492 47.411715)
NORTHERN MARIANA ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200465,POINT (145.725693 15.1834)
GUAM,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200466,POINT (144.653198 13.3532)
PUERTO RICO,2020,4,,-,17,,1,,34,,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200467,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2020,4,,-,0,,,-,,-,,N,,NC,,N,,N,,-,0,,,-,,-,VIRGIN ISLANDS,,20200468,POINT (-64.840836 18.060868)
NON-US RESIDENTS,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200469,
KANSAS,2020,5,,-,120,,,-,547,,,-,2,,,-,,-,,-,0,,,-,,-,KANSAS,,20200522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,5,,-,573,,,-,2556,,,-,11,,8,,22,,,-,0,,,-,,-,NORTH CAROLINA,,20200534,POINT (-79.130883 35.52603)
GUAM,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200566,POINT (144.653198 13.3532)
NEW JERSEY,2020,5,106,,249,,854,,916,,,-,6,,3,,13,,,-,0,,,-,,-,NEW JERSEY,,20200510,POINT (-74.655514 40.110253)
NEW MEXICO,2020,5,19,,123,,216,,512,,,-,5,,7,,12,,,-,0,,,-,,-,NEW MEXICO,,20200554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,5,524,,2105,,5058,,8554,,9,,32,,85,,116,,,-,2,,,-,,-,,EAST NORTH CENTRAL,20200514,
TENNESSEE,2020,5,,-,393,,730,,1538,,5,,9,,23,,23,,,-,0,,,-,,-,TENNESSEE,,20200542,POINT (-86.343226 35.842998)
CONNECTICUT,2020,5,,-,111,,,-,417,,,-,3,,2,,11,,,-,0,,,-,,-,CONNECTICUT,,20200503,POINT (-72.738288 41.575155)
MARYLAND,2020,5,17,,284,,618,,952,,1,,6,,11,,19,,,-,1,,,-,,-,MARYLAND,,20200533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,5,,-,360,,,-,1476,,,-,8,,7,,11,,,-,0,,,-,,-,SOUTH CAROLINA,,20200535,POINT (-80.864614 33.878572)
OKLAHOMA,2020,5,20,,229,,463,,765,,1,,5,,13,,10,,,-,0,,,-,,-,OKLAHOMA,,20200546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200565,POINT (145.725693 15.1834)
OHIO,2020,5,225,,598,,2245,,2535,,8,,16,,46,,41,,,-,1,,,-,,-,OHIO,,20200518,POINT (-82.70936 40.415534)
MINNESOTA,2020,5,16,,212,,607,,774,,,-,6,,,-,1,,,-,0,,,-,,-,MINNESOTA,,20200523,POINT (-94.198308 46.349153)
LOUISIANA,2020,5,99,,313,,1103,,1185,,,-,6,,4,,12,,,-,0,,,-,,-,LOUISIANA,,20200545,POINT (-91.840238 30.921314)
HAWAII,2020,5,,-,40,,,-,170,,,-,3,,2,,4,,,-,0,,,-,,-,HAWAII,,20200560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,5,960,,2541,,6674,,12105,,11,,42,,93,,147,,,-,1,,,-,,-,,SOUTH ATLANTIC,20200528,
PENNSYLVANIA,2020,5,298,,396,,1704,,1572,,2,,13,,33,,35,,,-,0,,,-,,-,PENNSYLVANIA,,20200513,POINT (-77.838886 40.896694)
UTAH,2020,5,,-,75,,195,,258,,,-,5,,5,,6,,,-,0,,,-,,-,UTAH,,20200555,POINT (-111.678222 39.323779)
COLORADO,2020,5,,-,278,,670,,767,,1,,8,,10,,15,,,-,0,,,-,,-,COLORADO,,20200550,POINT (-105.547832 38.998552)
VERMONT,2020,5,,-,8,,12,,2,,,-,4,,3,,,-,,-,0,,,-,,-,VERMONT,,20200508,POINT (-72.662695 44.075252)
TOTAL,2020,3,4109,,12363,,17439,,33733,,60,,161,,288,,384,,,-,3,,1,,,-,,TOTAL,20200370,
US RESIDENTS,2020,3,4109,,12351,,17439,,33707,,60,,161,,288,,384,,,-,3,,1,,,-,,US RESIDENTS,20200301,
NEW HAMPSHIRE,2020,3,,-,20,,,-,32,,,-,3,,,-,2,,,-,0,,,-,,-,NEW HAMPSHIRE,,20200306,POINT (-71.57139 43.680429)
NEW YORK,2020,3,285,,487,,529,,415,,5,,18,,9,,11,,,-,1,,,-,,-,NEW YORK,,20200311,POINT (-75.59655 42.921241)
PACIFIC,2020,3,603,,2244,,3997,,5987,,,-,10,,11,,12,,,-,1,,,-,,-,,PACIFIC,20200357,
WEST SOUTH CENTRAL,2020,3,161,,1325,,865,,3513,,14,,26,,29,,29,,,-,1,,,-,,-,,WEST SOUTH CENTRAL,20200343,
NEBRASKA,2020,3,,-,80,,41,,138,,1,,3,,5,,3,,,-,0,,,-,,-,NEBRASKA,,20200325,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,3,256,,1232,,1092,,2677,,4,,17,,37,,34,,,-,1,,1,,,-,,EAST SOUTH CENTRAL,20200338,
MAINE,2020,2,,-,24,,3,,24,,,-,4,,1,,,-,,-,0,,,-,,-,MAINE,,20200204,POINT (-69.06137 45.117911)
MASSACHUSETTS,2020,2,,-,187,,88,,304,,,-,7,,,-,7,,,-,0,,,-,,-,MASSACHUSETTS,,20200205,POINT (-71.481104 42.151077)
VERMONT,2020,2,2,,7,,5,,1,,1,,4,,1,,,-,,-,0,,,-,,-,VERMONT,,20200208,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2020,2,1087,,1534,,1965,,2373,,13,,23,,25,,37,,,-,1,,,-,,-,,MIDDLE ATLANTIC,20200209,
NEW YORK CITY,2020,2,433,,715,,867,,1141,,2,,8,,4,,5,,,-,0,,,-,,-,,NEW YORK CITY,20200212,
PENNSYLVANIA,2020,2,293,,387,,557,,629,,7,,12,,17,,21,,,-,0,,,-,,-,PENNSYLVANIA,,20200213,POINT (-77.838886 40.896694)
INDIANA,2020,2,102,,304,,230,,313,,1,,8,,4,,11,,,-,1,,,-,,-,INDIANA,,20200216,POINT (-86.2818 39.919991)
MICHIGAN,2020,2,43,,462,,128,,671,,1,,8,,3,,6,,,-,0,,,-,,-,MICHIGAN,,20200217,POINT (-85.730977 44.874798)
WISCONSIN,2020,2,133,,248,,270,,320,,,-,5,,3,,7,,,-,1,,,-,,-,WISCONSIN,,20200219,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2020,2,361,,859,,663,,1529,,6,,12,,12,,19,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200220,
MISSOURI,2020,2,282,,379,,475,,573,,5,,7,,8,,11,,,-,0,,,-,,-,MISSOURI,,20200224,POINT (-92.477244 38.3675)
NORTH DAKOTA,2020,3,,-,43,,,-,95,,,-,2,,,-,2,,,-,0,,,-,,-,NORTH DAKOTA,,20200326,POINT (-100.46931 47.446305)
NEVADA,2020,3,,-,156,,,-,339,,,-,4,,2,,3,,,-,0,,,-,,-,NEVADA,,20200353,POINT (-114.916992 39.283294)
ILLINOIS,2020,3,,-,620,,,-,1556,,,-,11,,5,,15,,,-,0,,,-,,-,ILLINOIS,,20200315,POINT (-89.148632 40.124144)
IOWA,2020,3,6,,130,,160,,340,,,-,1,,,-,,-,,-,0,,,-,,-,IOWA,,20200321,POINT (-93.500061 42.074659)
TEXAS,2020,3,,-,805,,,-,1964,,6,,19,,11,,10,,,-,1,,,-,,-,TEXAS,,20200347,POINT (-99.317341 31.447238)
ALASKA,2020,3,,-,59,,,-,143,,,-,3,,,-,1,,,-,1,,,-,,-,ALASKA,,20200358,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,3,27,,126,,197,,290,,,-,1,,,-,2,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200330,POINT (-77.016275 38.904785)
WASHINGTON,2020,3,214,,321,,500,,658,,,-,2,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200362,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,3,35,,359,,326,,811,,,-,11,,3,,21,,,-,0,,,-,,-,,NEW ENGLAND,20200302,
RHODE ISLAND,2020,3,33,,77,,39,,7,,,-,4,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200307,POINT (-71.534637 41.572574)
OREGON,2020,3,164,,156,,360,,311,,,-,6,,9,,7,,,-,0,,,-,,-,OREGON,,20200361,POINT (-120.605279 43.940449)
DELAWARE,2020,3,,-,59,,,-,131,,,-,3,,,-,2,,,-,0,,,-,,-,DELAWARE,,20200329,POINT (-75.452394 38.994926)
ALABAMA,2020,3,,-,371,,326,,841,,,-,6,,7,,10,,,-,0,,,-,,-,ALABAMA,,20200339,POINT (-86.844516 32.756889)
KANSAS,2020,3,,-,120,,,-,329,,,-,2,,,-,,-,,-,0,,,-,,-,KANSAS,,20200322,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,3,,-,590,,,-,1557,,,-,11,,3,,9,,,-,0,,,-,,-,NORTH CAROLINA,,20200334,POINT (-79.130883 35.52603)
GUAM,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200366,POINT (144.653198 13.3532)
NEW JERSEY,2020,3,152,,249,,528,,580,,,-,6,,1,,9,,,-,0,,,-,,-,NEW JERSEY,,20200310,POINT (-74.655514 40.110253)
NEW MEXICO,2020,3,10,,123,,97,,304,,,-,4,,5,,8,,,-,0,,,-,,-,NEW MEXICO,,20200354,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,3,572,,2103,,2440,,5209,,6,,37,,54,,78,,,-,2,,,-,,-,,EAST NORTH CENTRAL,20200314,
TENNESSEE,2020,3,108,,389,,315,,932,,,-,9,,14,,15,,,-,0,,,-,,-,TENNESSEE,,20200342,POINT (-86.343226 35.842998)
CONNECTICUT,2020,3,,-,111,,,-,259,,,-,4,,,-,8,,,-,0,,,-,,-,CONNECTICUT,,20200303,POINT (-72.738288 41.575155)
MARYLAND,2020,3,18,,282,,248,,609,,,-,7,,8,,13,,,-,1,,,-,,-,MARYLAND,,20200333,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,3,,-,367,,,-,901,,,-,8,,7,,8,,,-,0,,,-,,-,SOUTH CAROLINA,,20200335,POINT (-80.864614 33.878572)
OKLAHOMA,2020,3,33,,229,,227,,426,,4,,5,,9,,5,,,-,0,,,-,,-,OKLAHOMA,,20200346,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200365,POINT (145.725693 15.1834)
OHIO,2020,3,321,,598,,1301,,1530,,6,,16,,33,,30,,,-,1,,,-,,-,OHIO,,20200318,POINT (-82.70936 40.415534)
MINNESOTA,2020,3,,-,210,,,-,474,,,-,6,,,-,1,,,-,0,,,-,,-,MINNESOTA,,20200323,POINT (-94.198308 46.349153)
LOUISIANA,2020,3,128,,311,,630,,683,,,-,8,,4,,11,,,-,0,,,-,,-,LOUISIANA,,20200345,POINT (-91.840238 30.921314)
HAWAII,2020,3,,-,40,,,-,110,,,-,3,,1,,4,,,-,0,,,-,,-,HAWAII,,20200360,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,3,826,,2720,,3253,,7158,,17,,42,,64,,93,,,-,1,,,-,,-,,SOUTH ATLANTIC,20200328,
PENNSYLVANIA,2020,3,290,,387,,954,,995,,2,,12,,23,,24,,,-,0,,,-,,-,PENNSYLVANIA,,20200313,POINT (-77.838886 40.896694)
UTAH,2020,3,30,,75,,138,,150,,,-,5,,3,,4,,,-,0,,,-,,-,UTAH,,20200355,POINT (-111.678222 39.323779)
COLORADO,2020,3,188,,278,,463,,476,,6,,8,,9,,9,,,-,0,,,-,,-,COLORADO,,20200350,POINT (-105.547832 38.998552)
VERMONT,2020,3,1,,8,,9,,1,,,-,4,,2,,,-,,-,0,,,-,,-,VERMONT,,20200308,POINT (-72.662695 44.075252)
KENTUCKY,2020,3,,-,259,,,-,176,,4,,9,,12,,3,,,-,1,,1,,,-,KENTUCKY,,20200340,POINT (-85.290484 37.526683)
PUERTO RICO,2020,3,,-,17,,,-,26,,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200367,POINT (-66.414655 18.215692)
MAINE,2020,3,1,,27,,15,,35,,,-,4,,1,,2,,,-,0,,,-,,-,MAINE,,20200304,POINT (-69.06137 45.117911)
VIRGINIA,2020,3,245,,353,,796,,770,,3,,9,,9,,11,,,-,0,,,-,,-,VIRGINIA,,20200336,POINT (-78.666382 37.510861)
ARIZONA,2020,3,11,,358,,185,,821,,1,,9,,16,,13,,,-,1,,,-,,-,ARIZONA,,20200349,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200364,
WISCONSIN,2020,3,123,,247,,452,,496,,,-,5,,3,,10,,,-,1,,,-,,-,WISCONSIN,,20200319,POINT (-89.732969 44.639954)
IDAHO,2020,3,,-,52,,15,,72,,,-,3,,1,,3,,,-,0,,,-,,-,IDAHO,,20200351,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,3,,-,0,,,-,,-,,N,,NC,,N,,N,,-,0,,,-,,-,VIRGIN ISLANDS,,20200368,POINT (-64.840836 18.060868)
MICHIGAN,2020,3,45,,462,,254,,1051,,,-,8,,8,,9,,,-,0,,,-,,-,MICHIGAN,,20200317,POINT (-85.730977 44.874798)
GEORGIA,2020,3,141,,503,,582,,1374,,1,,13,,5,,24,,,-,0,,,-,,-,GEORGIA,,20200332,POINT (-83.426574 32.638481)
ARKANSAS,2020,3,,-,174,,8,,440,,4,,7,,5,,3,,,-,0,,,-,,-,ARKANSAS,,20200344,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,3,148,,310,,451,,728,,,-,5,,4,,6,,,-,1,,,-,,-,MISSISSIPPI,,20200341,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,3,,-,57,,2,,130,,,-,2,,,-,2,,,-,0,,,-,,-,SOUTH DAKOTA,,20200327,POINT (-100.230491 44.43614)
WYOMING,2020,3,2,,16,,12,,25,,,-,2,,,-,,-,,-,0,,,-,,-,WYOMING,,20200356,POINT (-107.55145 42.999627)
MISSOURI,2020,3,279,,379,,808,,882,,,-,7,,8,,16,,,-,0,,,-,,-,MISSOURI,,20200324,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,3,1130,,1535,,3545,,3698,,11,,23,,41,,51,,,-,1,,,-,,-,,MIDDLE ATLANTIC,20200309,
CALIFORNIA,2020,3,225,,1788,,3137,,4765,,,-,5,,1,,,-,,-,0,,,-,,-,CALIFORNIA,,20200359,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,3,,-,146,,,-,21,,,-,4,,1,,4,,,-,0,,,-,,-,WEST VIRGINIA,,20200337,POINT (-80.613729 38.642579)
FLORIDA,2020,3,395,,889,,1430,,1505,,13,,26,,31,,20,,,-,0,,,-,,-,FLORIDA,,20200331,POINT (-82.420978 28.260731)
MONTANA,2020,3,,-,57,,,-,79,,,-,4,,,-,2,,,-,0,,,-,,-,MONTANA,,20200352,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,3,285,,859,,1011,,2388,,1,,12,,13,,24,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200320,
MASSACHUSETTS,2020,3,,-,187,,263,,477,,,-,7,,,-,9,,,-,0,,,-,,-,MASSACHUSETTS,,20200305,POINT (-71.481104 42.151077)
MOUNTAIN,2020,3,241,,952,,910,,2266,,7,,20,,36,,42,,,-,1,,,-,,-,,MOUNTAIN,20200348,
INDIANA,2020,3,83,,307,,433,,576,,,-,8,,5,,14,,,-,1,,,-,,-,INDIANA,,20200316,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200369,
US TERRITORIES,2020,3,,-,17,,,-,26,,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200363,
US RESIDENTS,2020,4,3864,,12210,,26858,,44695,,38,,148,,353,,494,,,-,3,,1,,1,,,US RESIDENTS,20200401,
NEW HAMPSHIRE,2020,4,,-,20,,,-,52,,,-,3,,,-,4,,,-,0,,,-,,-,NEW HAMPSHIRE,,20200406,POINT (-71.57139 43.680429)
NEW YORK,2020,4,250,,506,,776,,568,,3,,19,,12,,13,,,-,1,,,-,,-,NEW YORK,,20200411,POINT (-75.59655 42.921241)
TOTAL,2020,4,3864,,12220,,26859,,44729,,38,,148,,353,,494,,,-,3,,1,,1,,,TOTAL,20200470,
PACIFIC,2020,10,452,,2238,,17295,,19493,,2,,10,,43,,49,,,-,1,,,-,,-,,PACIFIC,20201057,
PACIFIC,2020,5,486,,2210,,7799,,10009,,1,,10,,19,,19,,,-,1,,,-,,-,,PACIFIC,20200557,
WEST SOUTH CENTRAL,2020,5,150,,1292,,2505,,5699,,7,,41,,54,,56,,,-,1,,,-,1,,,WEST SOUTH CENTRAL,20200543,
EAST SOUTH CENTRAL,2020,5,252,,1232,,2669,,4369,,5,,21,,51,,52,,,-,1,,1,,,-,,EAST SOUTH CENTRAL,20200538,
NEVADA,2020,5,,-,158,,,-,573,,,-,4,,2,,8,,,-,0,,,-,,-,NEVADA,,20200553,POINT (-114.916992 39.283294)
GUAM,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200866,POINT (144.653198 13.3532)
TOTAL,2020,6,3513,,12267,,45049,,67244,,52,,157,,578,,709,,,-,3,,1,,1,,,TOTAL,20200670,
KANSAS,2020,6,,-,120,,,-,633,,,-,2,,,-,,-,,-,0,,,-,,-,KANSAS,,20200622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,6,,-,573,,,-,3057,,,-,11,,12,,23,,,-,0,,,-,,-,NORTH CAROLINA,,20200634,POINT (-79.130883 35.52603)
GUAM,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200666,POINT (144.653198 13.3532)
NEW JERSEY,2020,6,105,,249,,1025,,1093,,,-,6,,6,,15,,,-,0,,,-,,-,NEW JERSEY,,20200610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,6,9,,123,,280,,600,,,-,5,,9,,13,,,-,0,,,-,,-,NEW MEXICO,,20200654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,6,612,,2109,,6576,,10290,,6,,33,,101,,131,,,-,2,,,-,,-,,EAST NORTH CENTRAL,20200614,
TENNESSEE,2020,6,,-,393,,865,,1896,,4,,9,,28,,30,,,-,0,,,-,,-,TENNESSEE,,20200642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,6,,-,111,,,-,490,,,-,3,,2,,12,,,-,0,,,-,,-,CONNECTICUT,,20200603,POINT (-72.738288 41.575155)
MARYLAND,2020,6,15,,289,,831,,1129,,2,,6,,14,,21,,,-,1,,,-,,-,MARYLAND,,20200633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,6,,-,360,,,-,1703,,,-,8,,7,,13,,,-,0,,,-,,-,SOUTH CAROLINA,,20200635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,6,16,,229,,554,,912,,4,,5,,17,,10,,,-,0,,,-,,-,OKLAHOMA,,20200646,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200665,POINT (145.725693 15.1834)
OHIO,2020,6,283,,598,,2803,,3021,,6,,16,,52,,46,,,-,1,,,-,,-,OHIO,,20200618,POINT (-82.70936 40.415534)
MINNESOTA,2020,6,17,,212,,805,,895,,,-,6,,,-,1,,,-,0,,,-,,-,MINNESOTA,,20200623,POINT (-94.198308 46.349153)
LOUISIANA,2020,6,98,,316,,1370,,1395,,,-,6,,4,,14,,,-,0,,,-,,-,LOUISIANA,,20200645,POINT (-91.840238 30.921314)
HAWAII,2020,6,,-,40,,,-,198,,,-,3,,2,,5,,,-,0,,,-,,-,HAWAII,,20200660,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,6,710,,2553,,8430,,14632,,10,,42,,122,,159,,,-,1,,,-,,-,,SOUTH ATLANTIC,20200628,
PENNSYLVANIA,2020,6,242,,397,,2048,,1826,,1,,13,,38,,43,,,-,0,,,-,,-,PENNSYLVANIA,,20200613,POINT (-77.838886 40.896694)
UTAH,2020,6,,-,75,,251,,308,,,-,5,,4,,8,,,-,0,,,-,,-,UTAH,,20200655,POINT (-111.678222 39.323779)
COLORADO,2020,6,216,,278,,1072,,971,,1,,8,,11,,17,,,-,0,,,-,,-,COLORADO,,20200650,POINT (-105.547832 38.998552)
VERMONT,2020,6,,-,8,,12,,2,,,-,4,,3,,1,,,-,0,,,-,,-,VERMONT,,20200608,POINT (-72.662695 44.075252)
KENTUCKY,2020,6,,-,259,,57,,406,,,-,9,,15,,9,,,-,1,,1,,,-,KENTUCKY,,20200640,POINT (-85.290484 37.526683)
PUERTO RICO,2020,6,,-,17,,1,,60,,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200667,POINT (-66.414655 18.215692)
MAINE,2020,6,,-,27,,42,,75,,,-,4,,3,,3,,,-,0,,,-,,-,MAINE,,20200604,POINT (-69.06137 45.117911)
VIRGINIA,2020,6,,-,358,,1417,,1637,,,-,9,,13,,15,,,-,0,,,-,,-,VIRGINIA,,20200636,POINT (-78.666382 37.510861)
ARIZONA,2020,6,46,,359,,1186,,1643,,,-,9,,27,,27,,,-,1,,,-,,-,ARIZONA,,20200649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200664,
WISCONSIN,2020,6,132,,245,,1003,,924,,,-,4,,3,,15,,,-,1,,,-,,-,WISCONSIN,,20200619,POINT (-89.732969 44.639954)
IDAHO,2020,6,,-,52,,33,,172,,,-,2,,3,,6,,,-,0,,,-,,-,IDAHO,,20200651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,6,,-,0,,,-,,-,,N,,NC,,N,,N,,-,0,,,-,,-,VIRGIN ISLANDS,,20200668,POINT (-64.840836 18.060868)
MICHIGAN,2020,6,60,,466,,881,,2059,,,-,9,,18,,20,,,-,0,,,-,,-,MICHIGAN,,20200617,POINT (-85.730977 44.874798)
GEORGIA,2020,6,188,,503,,1616,,2554,,,-,10,,16,,39,,,-,0,,,-,,-,GEORGIA,,20200632,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,6,411,,718,,3086,,3293,,3,,8,,16,,12,,,-,0,,,-,,-,,NEW YORK CITY,20200612,
ARKANSAS,2020,6,,-,147,,46,,834,,2,,8,,13,,6,,,-,0,,,-,,-,ARKANSAS,,20200644,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,6,16,,311,,1064,,1313,,,-,5,,6,,10,,,-,1,,,-,,-,MISSISSIPPI,,20200641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,6,,-,57,,12,,230,,,-,2,,,-,4,,,-,0,,,-,,-,SOUTH DAKOTA,,20200627,POINT (-100.230491 44.43614)
WYOMING,2020,6,2,,16,,22,,52,,,-,2,,,-,,-,,-,0,,,-,,-,WYOMING,,20200656,POINT (-107.55145 42.999627)
MISSOURI,2020,6,208,,379,,1441,,1807,,2,,7,,14,,24,,,-,0,,,-,,-,MISSOURI,,20200624,POINT (-92.477244 38.3675)
US RESIDENTS,2020,6,3513,,12257,,45048,,67183,,52,,157,,578,,709,,,-,3,,1,,1,,,US RESIDENTS,20200601,
NEW HAMPSHIRE,2020,6,3,,15,,34,,68,,1,,3,,1,,6,,,-,0,,,-,,-,NEW HAMPSHIRE,,20200606,POINT (-71.57139 43.680429)
NEW YORK,2020,6,271,,523,,1331,,970,,5,,19,,21,,27,,,-,1,,,-,,-,NEW YORK,,20200611,POINT (-75.59655 42.921241)
PACIFIC,2020,6,454,,2210,,9664,,11903,,2,,10,,24,,26,,,-,1,,,-,,-,,PACIFIC,20200657,
