PEPID,Inspection ID,Observation,Comments
24837,110246,Homeless persons present,Homeless sleeping on benches
24836,110246,Drug use,Patrons smoking marijuana
24835,110246,Alcohol use,Patrons drinking alcohol
24832,110201,Unsightly paint or repair,Graffiti cover on HBCT wall.
24844,110204,Drainage issues/standing water,on 1st Ave.
24833,110217,Unsightly paint or repair,on HBCT
24846,110236,Drainage issues/standing water,Flooding in pot holes i/f/o CS.
24834,110236,Drainage issues/standing water,Standing water/clogged drains within BBCT & HBCT.  Clogged drain also within sprinkler area.
24815,110171,Other patron complaints or suggestions,Park patron picking up litter during inspection adj Buffalo Av (non-pks staff).
24819,110172,Drainage issues/standing water,Large amounts of water at both small & large dog run.
24818,110172,Drainage issues/standing water,On pathway adj AF bleachers & cs near picnic area.
24817,110172,Unleashed dogs,Unleashed dog on lawn adj AF almost attacked birds. (I advised patron of the rules).
24816,110172,Unleashed dogs,Unleashed dogs (multiple) throughout zone adj plgd & AF due to larges amount of water inside both dog runs.
24822,110174,Alcohol use,Park patron drinking liquor with bottle in hand & in plain view adj entrance on Lorimer St & Nassu
24820,110175,Drainage issues/standing water,"Water in walkway. Rained in the morning, drains are clogged"
24825,110176,Illegal vehicles/dirt bikes,Area adj AF.
24824,110176,Drug use,People smoking pot in area btw AF & Mt Morris Pk W closer to rec center.
24823,110176,Drainage issues/standing water,Heavy flooding on & adj AF.
24829,110177,Drainage issues/standing water,"""Blue"" picnic area flooded with water."
24827,110181,Drainage issues/standing water,"Morning Rains, clogged drains throughout park, especially BBCT & playground"
24826,110181,Homeless persons present,Homeless/displaced individuals sleeping on bench & lawn areas.
24830,110183,Drug use,People smoking pot along 123rd St.
24831,110185,Illegal vehicles/dirt bikes,People delivering picnic supplies to tables.
24828,110185,Drainage issues/standing water,"Flooding due to water pouring over stone wall from natural area on path through pk & onto St Nicholas Av @ 133 St. 2 drains clogged in this area, 1 on the path inside the pk the other in the street.Flooding @ 135th St entrance."
24812,110131,Homeless persons present,sitting around the MTA building at site.
24813,110137,Drainage issues/standing water,"Sprinkler not able to properly drain, damaging and uplifting nearby safety surface.  Plumbers on site."
24840,110141,Unsightly paint or repair,"Unsightly paint on retaining walls along Cedar Avenue, and in natural area adjacent Sedgwick Avenue."
24842,110145,Alcohol use,Patron drinking alcohol inside playground at the ballfield.
24841,110145,Smoking/cigarette butts inside park,Patrons smoking inside playground.
24843,110147,Homeless persons present,Homeless persons present at lawns inside sitting area.
24845,110151,Unsightly paint or repair,HBCT & pk house
24814,110162,Other patron complaints or suggestions,Patron requests a sprinkler be installed.
24810,110109,Homeless (or other) encampment,Homeless person sleeping & obstructing bench on sw adj CPW & 73 St.
24809,110109,Homeless (or other) encampment,Behind ssg wall along CPW btn 80-81 Sts. (clothes hanging on trees)
24811,110110,Homeless (or other) encampment,Homeless persons with debris on wall & tables adj north side of dog run.
24808,110111,Homeless persons present,Homeless woman sleeping on bench W/o memorial
24802,110092,Drug use,under the Madison Ave Bridge.
24803,110097,Unsightly paint or repair,Graffiti cover on HBCT wall.
24804,110101,Unsightly paint or repair,Graffiti cover on MPPA.
24806,110102,Unleashed dogs,one unleashed dog on main trail next to Veladrome
24805,110102,Homeless (or other) encampment,possible encampment in natural area btw velodrome & Kissena Pk greenway path.Two men sleeping in the natural area
24796,110082,Homeless persons present,Homeless persons (3) in park adj C+C tables & adj AF 1.
24795,110082,Drainage issues/standing water,On pathway & lawns btn AF 2/HBCT clf.
24801,110083,Illegal vehicles/dirt bikes,Non-parks vehicle inside park & blocking entrance adj Lorimer St .
24800,110083,Homeless (or other) encampment,Homeless male sleeping on lawn adj Lorimer St fence line. Male has with clothes over fencing & spread over bench across from rec center.
24797,110085,Drainage issues/standing water,Large flooded area on MPPA BF/BBCTs.
24799,110087,Drug use,"Staff in visitor center states that remnants of opioid epidemic are an on-going issue in the parking lot (needles, baggies, etc.)."
24798,110087,Other staff complaints or suggestions,"Staff in visitor center states that snow-picket on bluffs above shoreline is constantly being knocked-down, requests a more permanent solution (possibly tension wires like at Mount Loretto)."
24784,110034,Drug use,Adults smoking pot on BBCT.
24790,110044,Homeless persons present,"Large number of patrons sleeping on multiple elements of park- all benches, sprinkler steps, open asphalt areas, etc."
24789,110044,Smoking/cigarette butts inside park,"Multiple patrons smoking in park, mainly in c+c table areas at opposite ends."
24788,110044,Hort areas need improvement,Almost all lawns and hort areas bare.
24787,110044,Public urination/defecation,Multiple instances of human feces scattered throughout park.
24786,110044,Drainage issues/standing water,"Multiple instances of standing fetid water thoughout site, hotspots near comfort station and at main entrance on Broadway."
24785,110044,Alcohol use,"Multiple empty bottles scattered throughout site, as well as patrons openly drinking during inspection."
24791,110047,Unsightly paint or repair,Unsightly paint on Playground Environments in playground.
24793,110048,Unsightly paint or repair,Unsightly paint on walls adjacent to ramp.
24792,110061,Homeless persons present,Homeless person sleeping on bench
24807,110066,Unsightly paint or repair,Graffiti cover on BBCT
24783,110022,Other inspector suggestions for improving site,Dumping of charcoal on lawn are leaving multiple burn marks at bbq area.
24782,110009,Unleashed dogs,Unleashed dog on tree lines at upper level adj Hoyt Place pk entrance.
24781,110009,Other inspector suggestions for improving site,Staff should finish cleaning areas before moving on to the next section of the park. M&O staff in site cleaning during inspection left behind >30 pieces of litter.
24780,110009,Smoking/cigarette butts inside park,Park patron smoking cigarettes adj plgd (X104-01) & tennis courts.
24775,109965,Unleashed dogs,Unleashed dog (pit bull) on lawn adj picnic tables/HBCT on Woodycrest Av.
24771,109965,Homeless persons present,Homeless male changing his adult diaper in plain view adj C+C tables btwn. J-swings & sprinklers. CS closed during inspection.
24778,109972,Unsightly paint or repair,Unsightly fence (chain-link) repair at asphalt ballfield.
24772,109972,Homeless persons present,Homeless persons present inside park.
24774,109973,Smoking/cigarette butts inside park,Patron smoking inside playground.
24773,109973,Homeless persons present,Homeless persons present inside playground.
24776,109979,Drainage issues/standing water,Sprinkler not draining properly near J swings.
24777,109988,Unsightly paint or repair,Graffiti cover with multiple paint colors.
24766,109941,Unsightly paint or repair,"Graffiti cover on trees, rocks and cliffs throughout."
24770,109949,Unleashed dogs,Unleashed dog on lawn btn E Drive & 60 St pk/vehicle entrance.
24769,109949,Homeless persons present,Homeless male laying down on sw adj ssg wall on Central Pk S near 59 St.
24768,109949,Homeless persons present,Two homeless males sleeping & obstructing benches on path adj pond at SW side of zone.
24764,109938,Public urination/defecation,Public defecation at rock formation north of dog run.
24719,109698,Unleashed dogs,Unleashed dog in ballfields.
24753,109896,Homeless persons present,sleeping at the base of the monument.
24754,109900,Unleashed dogs,5 or 6 throughout zone.
24755,109905,Smoking/cigarette butts inside park,Patrons smoking at shuffleboard courts.
24757,109906,Unsightly paint or repair,Black paint on artificial turf field.
24756,109906,Alcohol use,"Men drinking and hanging out near CS, outside of PE area."
24759,109908,Drug use,Patrons smoking marijuana underneath Washington Bridge.
24758,109908,Homeless (or other) encampment,Large encampment underneath Washington Bridge.
24760,109913,Unsightly paint or repair,Graffiti cover on HBCT wall.
24761,109914,Smoking/cigarette butts inside park,Cigarette butts inside park at sitting area adjacent to Albany St.
24739,109844,Unleashed dogs,Unleashed dog in play equipment area.
24738,109844,Alcohol use,"Multiple empty bottles scattered throughout site, as well as patrons actively drinking during inspection."
24740,109847,Unsightly paint or repair,on HBCT wall.
24748,109849,Homeless (or other) encampment,Homeless males under foot bridge adj BBCT area. (plgd under construction)
24741,109850,Unsightly paint or repair,On HBCTwall.
24751,109852,Drainage issues/standing water,"Litter covering drain creating flood over hort area, tree pits & surrounding benches at east end of plgd."
24742,109861,Homeless persons present,Sleeping on bench.
24744,109865,Drainage issues/standing water,Sprinkler flooding adj PE areas and PS.
24743,109865,Unsightly paint or repair,Graffiti cover on PE.
24745,109870,Unsightly paint or repair,Unsightly paint on adventure gametime adventure and paved surfaces inside playground.
24752,109871,Unsightly paint or repair,"Unsightly paint on paved surface adjacent to basketball court, and on sidewalk along Walton Avenue."
24747,109871,Public urination/defecation,Public defecation on lawns adjacent to private apartment building near Walton Avenue.
24746,109871,Homeless persons present,Homeless persons present at lawn adjacent to basketball court.
24736,109807,Unsightly paint or repair,Graffiti cover on HBCT wall.
24735,109807,Drainage issues/standing water,"Near ""A"" fountain in HBCT."
24762,109812,Unsightly paint or repair,Spraypaint on MPPA
24737,109814,Smoking/cigarette butts inside park,Park patron smoking cigarette inside playground.
24765,109774,Other inspector suggestions for improving site,Inspector suggests painting manhole cover in lawn adj 29 av W/o 159 st red or yellow to be more visible
24733,109785,Drainage issues/standing water,On pathway adj south side of tennis court & adj natural AF's on Belt Pkwy side of park.
24732,109785,Unsightly paint or repair,On HBCT wall.
24730,109749,Unsightly paint or repair,Exercise equipment & pe roofs with spray paint patches used to cover graffiti.
24731,109752,Drug use,Four park patrons (2 men/2women) smoking drugs inside mens cs. During inspection I did observe a fifth male enter park & conduct a drug transaction adj mens cs (with same group that was in the cs).
24725,109717,Unsightly paint or repair,Graffiti cover on climbing wall and HBCT wall.
24729,109719,Unauthorized presence/truancy,Student in plgd during school hours at pergola adj sprinkler.
24726,109724,Unsightly paint or repair,Graffiti cover on surface of BBCTs.
24966,109726,Homeless persons present,Homeless persons present at sitting area near fountain along Essex Street.
24727,109726,Smoking/cigarette butts inside park,Patrons smoking inside park.
24728,109726,Homeless (or other) encampment,Homeless encampment at sitting area near fountain along Essex Street.
24712,109688,Illegal vehicles/dirt bikes,Non-pks vehicle (van) on asphalt path near soccer field near Ramona Av.
24714,109689,Other enforcement issues,Male in closed beach section adj south side of park.
24713,109689,Areas/equipment being used other than intended,Skate boarder grinding on exercise equipment & on benches adj lifeguard station.
24715,109694,Illegal vehicles/dirt bikes,Patron riding dirt bike on paths between ballfields + parking lot.  Second patron driving unauthorized vehicle on same path.
24722,109696,Other inspector suggestions for improving site,"Almost all ballfields and lawns heavily overgrown, preventing proper use."
24717,109697,Other patron complaints or suggestions,"Patrons complain of heavy weeds at ballfield #11 infield, stating that they had removed much of them themselves."
24721,109698,Other inspector suggestions for improving site,"Most lawns and some ballfields heavily overgrown, preventing proper use."
24720,109698,Alcohol use,Multiple empty alcohol bottles scattered throughout park.
24718,109698,Drug use,Patrons smoking marijuana in ballfields.
24707,109684,Unleashed dogs,Unleashed dogs (2) on lawn behind tennis # 4.
24708,109685,Other enforcement issues,Three fishermen on rocks at northern side & on closed/barricaded pier adj creek.
24710,109686,Unleashed dogs,Unleashed dog on lawn adj tennis cts.
24709,109686,Alcohol use,Large group with cans of beer in plain view at c-lawn adj plgd sprinklers & AF bleachers.
24711,109687,Unleashed dogs,Unleashed dog on lawn adj 84 St.
24705,109671,Drug use,Males smoking marijuana while on 2nd level steps adj Broadway & W 212 St.
24704,109671,Homeless persons present,Male laying down on steps sleeping adj entrance on Broadway & W 212 St.
24701,109654,Unsightly paint or repair,Graffiti cover on PS at both overlooks.
24703,109655,Unleashed dogs,Unleashed dog on drive adj park entrance on Plaza St.
24702,109655,Areas/equipment being used other than intended,Park patrons using lampposts for fitness purposes adj Plaza St park entrances.
24700,109655,Illegal vending,Male selling drinks from a white cooler on the West Drive (at triangle) adj Plaza St entrance.
24723,109661,Drainage issues/standing water,Standing water within dugout AF #6
24699,109640,Illegal BBQ,Patrons BBQ outside of BBQ areas.
24691,109627,Other patron complaints or suggestions,Patron complained about uneven infield at ballfield #11.
24692,109629,Smoking/cigarette butts inside park,Cigarette butts inside park at parking lot.
24693,109630,Smoking/cigarette butts inside park,Patron smoking at Amphitheater.
24694,109631,Unleashed dogs,Unleashed pit bulls on lawn area btn AF & plgd (X002-04) adj Bronx Pk E near Boaston Rd.
24698,109636,Other enforcement issues,Vehicle idling (more than 15 min's) under bridge parking area on s/e side of zone opposite to orange cs.
24697,109636,Other inspector suggestions for improving site,PEP should stay in areas of the park for minutes at a time. I observed a crowd turn off there amplified music once they saw PEP driving by. Once the vehicle passed the music was then turned back on.
24696,109636,Amplified sound,On lawn area on waterside across from orange cs adj Ward Meadow Loop.
24686,109597,Unsightly paint or repair,Grafitti cover on PE and HBCT wall.
24688,109605,Drainage issues/standing water,"Concrete sprinkler basin does not drain, pooling water 4"" high."
24680,109582,Unleashed dogs,at the old model airplane area off the Jackie Rob.
24683,109583,Homeless (or other) encampment,Homeless (or other) encampment in natural area East of Freedom Drive and south of Myrtle Avenue.
24682,109584,Other patron complaints or suggestions,Park patron’s states the tree IA mentioned in this report has been dangling for about a year.
24681,109584,Unleashed dogs,Unleashed pit bull with owner on trail adj Jackie Rob Exwy.
24677,109550,Unsightly paint or repair,"Unsightly paint on playground environment, retaining wall and basketball court inside playground."
24678,109550,Smoking/cigarette butts inside park,Cigarette butts inside park.
24679,109553,Unsightly paint or repair,"Unsightly paint on Landscape Structures, pool wall, retaining walls and basketball court inside playground."
24673,109521,Other patron complaints or suggestions,FDNY softball league requests additional clay for ballfield #2.
26109,119707,Alcohol use,Many homeless men drinking throughout park
24674,109523,Other structural or usage issues,Large wood log structure being built in the natural area off trail near Page Ave.  Site is roughly 400 yards from trail head adj parking lot.
24675,109528,Homeless persons present,Homeless man in sitting area
24671,109496,Unleashed dogs,At least a dozen on lawns throughout site.
24687,109505,Other staff complaints or suggestions,Staff complained roof in park house dilapidated and coming down.
24670,109461,Homeless (or other) encampment,possible encampment in natural area at NW corner of site. Btw Van Wyck & MPPA
24685,109463,Unsightly paint or repair,on tree along main trail closer to Purdy Ave.
24667,109437,Unsightly paint or repair,Graffiti cover on rocks around Moses Mountain.
24666,109437,Abandoned building/structure,Near parking area at Rockland and Manor.
24668,109438,Illegal BBQ,Multiple illegal BBQ sites throughout entire natural area along shoreline.
24672,109441,Drainage issues/standing water,On AFs 7 & 8.
24669,109443,Unsightly paint or repair,Unsightly paint on Basketball court.
24659,109388,Unsightly paint or repair,Graffiti cover.
24660,109391,Unsightly paint or repair,Graffiti cover on HBCT wall.
24661,109409,Unsightly paint or repair,Unsightly paint on Playground Environments inside playground.
24663,109410,Homeless persons present,Many homeless persons present on benches at playground.
24662,109410,Smoking/cigarette butts inside park,Cigarette butts inside playground.
26085,119506,Unleashed dogs,Unleashed dog with owner on the beac.
26244,121526,Other patron complaints or suggestions,more light in Dog run and in PG
24664,109411,Smoking/cigarette butts inside park,Cigarette butts inside park near Handball Court.
24690,109411,Unsightly paint or repair,Unsightly paint on handball court.
24684,109412,Unsightly paint or repair,Unsightly repair on chain-link fence at handball court.
24657,109364,Homeless (or other) encampment,Multiple small encampments in natural area overlooking Walton Ave.
24656,109364,Homeless persons present,Multiple homeless people sleeping on benches in central pavilion.
24655,109366,Drainage issues/standing water,At dog fountain near top of hill.
24658,109372,Unsightly paint or repair,Unsightly paint on paved path NW corner of park.
24653,109344,Other inspector suggestions for improving site,Deteriorated asphalt on E Drive north of E 64 St is creating a danger for horse & carriages. I did observe horses go around sunken areas on the drive almost tilting over.
24654,109345,Homeless (or other) encampment,Homeless persons sleeping on sw adj ssg wall on Central Pk W & inside park adj cs.
24652,109352,Unleashed dogs,On cricket pitch & softball fields - 6 in total.
24644,109305,Other patron complaints or suggestions,"Park patron stated his child was yelled at by Parks staff due to his child going under a barricade where there is exposed wires. Park staff stated the area has ""live wires""."
24643,109319,Unsightly paint or repair,Graffiti cover on most rocks and trees along all trails.
24647,109322,Other patron complaints or suggestions,"Park patron stated a nearby school "" Avenues"" private school students take over AF during the hours of 12-2pm. Male states it is difficult to utilize the field when they arrive."
24646,109322,Alcohol use,Homeless males drinking alcohol adj HBCT entrance.
24645,109322,Homeless persons present,"Homeless persons with debris or sleeping on benches in both AF dugouts, plgd sprinkler area & adj HBCT entrance."
24649,109336,Unleashed dogs,One Unleashed dog
24637,109252,Drainage issues/standing water,Standing water/poor drainage at sprinkler basin.
24639,109265,Drainage issues/standing water,Flooded area on MPPA.
24640,109265,Unsightly paint or repair,On HBCT wall.
24651,109267,Other inspector suggestions for improving site,"Site originally had murals on school wall and storage container, but these areas are now increasingly suffering from unsightly non-mural graffiti."
24642,109291,Homeless (or other) encampment,Displaced individual sleeping on bench.
24635,109236,Alcohol use,Park patrons drinking alcohol in park.
24633,109198,Unsightly paint or repair,Unsightly paint on paved surface near j-swing.
24632,109164,Other enforcement issues,Chalk advertisement for exercise class in central park on path leading into park form 96th street.
24638,109156,Unsightly paint or repair,on storage container adjacent hockey rink.
24626,109130,Other enforcement issues,"Patron states that contractors and landscapers routinely dump construction material into park from adjacent houses, request PEP/NYPD action."
24625,109130,Unsightly paint or repair,on multiple trees and rocks on south side of pond near Chapin Ave trailhead.
24634,109133,Unsightly paint or repair,Tape and foam on bleachers.
24636,109138,Homeless (or other) encampment,Possible Homeless encampment adjacent ramp near Grand Central Parkway.
24628,109142,Drug use,Park patrons smoking marijuana inside park adj E 181 St.
24627,109142,Smoking/cigarette butts inside park,Park patrons smoking cigarettes through out site.
24630,109143,Drug use,Park patrons with drugs in plain view south of E Tremont.
24629,109143,Smoking/cigarette butts inside park,Park patrons smoking cigarettes inside pk through site.
24631,109144,Drug use,Park patrons on rock & on wall using drugs with syringe at s/w side of park.
24641,109100,Unsightly paint or repair,Tape used on PE.
24621,109107,Unsightly paint or repair,Unsightly paint on paved surface at play area near Pulaski Street.
24622,109108,Unsightly paint or repair,unsightly paint on paved surface at handball and basketball courts.
24624,109109,Other patron complaints or suggestions,Park patrons complained exercise equipment is too old and outdated.
24623,109109,Unsightly paint or repair,paint on exercise equipment & handball Ct inside playground.
24620,109076,Drug use,Drug dealing at this site.
24618,109056,Unsightly paint or repair,Graffiti cover on BBCT.
24619,109057,Unsightly paint or repair,Graffiti cover on PS throughout.
24615,109037,Unsightly paint or repair,Unsightly paint on paved surface adjacent ballfield dugout.
24616,109042,Unleashed dogs,One unleashed dog
24617,109002,Unsightly paint or repair,Unsightly paint on retaining walls along Lafayette Avenue and Manida Street.
24609,108943,Unauthorized presence/truancy,Adults using PE as exercise equipment
24610,108946,Drug use,Men smoking pot in sitting area.
24612,108971,Unsightly paint or repair,Unsightly paint on gametime adventure and paved surface at BBCT in playground.
24606,108915,Homeless (or other) encampment,Multiple active encampments along west side of zone.
24607,108922,Homeless persons present,Displaced individual sleeping with shopping cart.
24600,108894,Other patron complaints or suggestions,"Dog walker states park consolidated signs are misleading in regards to “unleashed dog times”. Patron stated the signs are misleading & NYPD gives summonses after hours, due to the sign not starting 9pm-9am dog rule doesn’t apply while park in closed."
24599,108894,Other patron complaints or suggestions,Park patron states garbage cans are needed throughout bbq areas or near entrances adj Bayview Av.
24597,108894,Other inspector suggestions for improving site,Heavy litter along bay in natural areas & on rocks unsightly btn Bayview Av & east end of site.
24601,108902,Smoking/cigarette butts inside park,Patrons smoking inside courts and ping-pong area east of Ft. Washington Avenue.
24604,108907,Unsightly paint or repair,On all HBCT walls.
24603,108907,Homeless (or other) encampment,Possible encampment along bay at west end of zone adj HBCT walls.
24595,108857,Other inspector suggestions for improving site,"Inspector suggests painting large, low visibility bolt on FDR drain pipe on 89th and East End Ave to a more noticeable color."
24593,108868,Unsightly paint or repair,Poorly removed profanity on HBCT.
24594,108873,Other enforcement issues,Evidence of used fireworks on lawn W/o parking lot
24590,108832,Unsightly paint or repair,Unsightly repair on chain-link fence at handball court.
24589,108832,Unsightly paint or repair,Unsightly paint on game time adventure near 56 Street.
24591,108833,Unsightly paint or repair,Unsightly paint on playground environment in playground.
24605,108842,Unsightly paint or repair,on benches throughout site.
24588,108849,Homeless persons present,several homeless people on benches near 101 st entrance
24587,108849,Alcohol use,Homeless persons drinking alcohol
24577,108814,Unleashed dogs,6 throughout zn.
24579,108823,Other enforcement issues,Family of three pulling up flowers & roots in hort area adj 56 rd & AF # 13
24578,108823,Homeless (or other) encampment,Possible encampment in natural area N/o Peck av near 151 st
24596,108823,Drainage issues/standing water,damaged drain along Greenway path near AF # 13
24582,108825,Homeless (or other) encampment,in natural area btw 56 av entrance & AF's
24581,108825,Homeless persons present,in natural area btw 56 av entrance & AF's
24580,108825,Unleashed dogs,Several unleashed dogs
24575,108802,Smoking/cigarette butts inside park,Park patron smoking cigarette at sitting area c/o Utopia Pkwy & Peck Av
24592,108804,Unsightly paint or repair,Graffiti cover on rocks and trees.
24561,108781,Unleashed dogs,several persons w unleashed dogs
24567,108783,Disorderly patrons,In park near AF & park house adj Stanton & Chrystie Sts. Central notified & NYPD was called & also repsonded.
24566,108783,Homeless (or other) encampment,"Throughout entire site, mostly between Grand St & E Houston."
24563,108787,Drug use,Extremely heavy amount of needle caps and wrappers found throughout site.
24571,108787,Unsightly paint or repair,"Multiple sections of graffiti poorly removed throughout entire zone (skate park, non-park elements, rock faces, etc.)."
24570,108787,Homeless (or other) encampment,Multiple active homeless encampments throughout zone.
24562,108788,Unsightly paint or repair,Graffiti cover on concrete bleachers.
24569,108762,Drainage issues/standing water,Flooded area just north of rec center.
24559,108769,Drainage issues/standing water,Between bleachers & ballfield 4 clf adj boardwalk.
24560,108775,Homeless persons present,Homeless persons present on bench at sitting area in mall.
24551,108711,Unsightly paint or repair,Graffiti cover.
24552,108721,Homeless persons present,In BBCT adj plgd entrance next to NYCHA property.
24557,108736,Unsightly paint or repair,Unsightly paint on multipurpose play area.
24568,108743,Other enforcement issues,Unauthorized sign (car wash) along Mcguinness Blvd & India St.
24558,108750,Amplified sound,BBCT players using boom-box
24547,108694,Drainage issues/standing water,On pathways throughout zn.
24564,108698,Unsightly paint or repair,on storage unit near BF 2.
24548,108699,Drainage issues/standing water,Standing water in lawn near dog run close to haven Avenue.
24549,108699,Unsightly paint or repair,Unsightly paint on monument at sitting area (overlook) near Haven Avenue.
24550,108699,Smoking/cigarette butts inside park,Cigarette butts inside park at rock formation near Haven Avenue.
24553,108662,Unsightly paint or repair,on bandshell.
24546,108667,Illegal vehicles/dirt bikes,Car parked on lawn adj private property west side of 118th St.
24545,108668,Unsightly paint or repair,on PE
24572,108685,Unsightly paint or repair,HBCT wall spraypaint still visible.
24544,108658,Drainage issues/standing water,Standing water on track and lawn at park.
24541,108592,Homeless persons present,Men camped out in CS.
24538,108597,Unsightly paint or repair,Graffiti cover on walls.
24539,108598,Unsightly paint or repair,Graffiti cover on surface of BBCTs.
24540,108616,Drainage issues/standing water,Standing water in ballfield.
24542,108617,Unsightly paint or repair,Unsightly paint on Playground Environments at playground.
24543,108618,Unsightly paint or repair,Unsightly paint on comfort station door and Basketball court..
24565,108619,Unsightly paint or repair,On HBCT wall.
24534,108541,Drug use,patrons smoking weed adj the chess tables in the corner of the park near the HBCT.
24573,108544,Other enforcement issues,"Potential encampment, due to an open non-pks panel door on pedestrian bridge wall on north side."
24536,108561,Unsightly paint or repair,Spray paint on PE.
24535,108566,Drainage issues/standing water,"Flooded areas on both sides of PE, creating uplift of SS."
24537,108576,Public urination/defecation,Park patron caught urinating inside Esplanade during inspection.
24531,108526,Homeless (or other) encampment,"Multiple encampments present on hillside above tennis courts, patrons request additional PEP presence."
24532,108530,Homeless (or other) encampment,"Homeless encampment under botanical bridge, no person present."
24533,108531,Drainage issues/standing water,Standing water on paved path near Adventure Course building.
24528,108515,Homeless persons present,In women's CS
24527,108469,Unsightly paint or repair,On HBCT wall.
24530,108475,Unsightly paint or repair,Spray paint cover on PE
24529,108492,Unsightly paint or repair,Unsightly paint on comfort station and basketball court.
24522,108446,Unsightly paint or repair,Graffiti cover on HBCT wall.
24525,108452,Homeless (or other) encampment,Homeless man living under HHP ramp in center section of zone
24517,108427,Drainage issues/standing water,Flooded/frozen area on greenway.
24524,108428,Unsightly paint or repair,Graffiti cover on rocks along shoreline.
24518,108430,Unauthorized presence/truancy,At BBCT adj
24519,108439,Homeless (or other) encampment,Area adj GCP & LIRR overpass.
24521,108441,Other enforcement issues,Delivery bicyclists biking too fast along bike lane
24520,108441,Homeless persons present,Homeless man sleeping along Ocean Pkwy West btw Cortelyou Rd & Ditmas Av
24512,108385,Smoking/cigarette butts inside park,Cigarette butts inside playground.
24523,108400,Unsightly paint or repair,Duct tape used to repair benches.
24514,108413,Disorderly patrons,one very drunk man constantly screaming adj Bayard st CS
24515,108418,Other enforcement issues,Bicycle delivery men using park as a thoroughfare.
24516,108422,Unleashed dogs,One unleashed dog in swing area
24505,108330,Large asphalt spaces with no markings or play equipment,Area around flagpole.
24507,108331,Drug use,Heavy smell of pot in men's CS.
24508,108334,Homeless persons present,Throughout site.
24506,108337,Smoking/cigarette butts inside park,2 persons smoking on benches
24511,108340,Drainage issues/standing water,"Uneven, flooded area at PE."
24509,108343,Illegal vending,one woman selling unknown food from a cooler to school kids at picnic table closest to school
24510,108357,Smoking/cigarette butts inside park,Park patron smoking inside park.
24504,108277,Homeless persons present,Two homeless patrons inside park adj corner of BBCT.
24526,108277,Unsightly paint or repair,Painting required on HBCT wall.
24499,108242,Large asphalt spaces with no markings or play equipment,"Most of MPPA in state of heavy disrepair, with open composting sections."
24500,108250,Homeless persons present,Displaced individual sleeping upright on bench
24501,108251,Unsightly paint or repair,Graffiti cover on PE.
24502,108255,Unsightly paint or repair,Unsightly paint on play station at playground.
24503,108263,Homeless (or other) encampment,below scaffolding of 91 st Marine Transfer Station
24498,108191,Illegal vehicles/dirt bikes,Blue sedan parked on SW along Bergen St.
24494,108164,Unleashed dogs,Unleashed dogs on AF's.
24497,108165,Homeless persons present,Homeless persons present at lawn area north of Terrace Drive near 5th Avenue.
24496,108166,Smoking/cigarette butts inside park,Cigarette butts inside park near 5th Avenue & E 67 Street.
24495,108173,Unsightly paint or repair,Graffiti cover on rocks in natural area.
24488,108142,Drainage issues/standing water,On hex path adj west side of tennis courts facing Reservoir Oval W.
24487,108142,Unleashed dogs,Unleashed dogs inside park adj Reservoir Oval E.
24486,108143,Homeless (or other) encampment,Multiple homeless encampments in natural area between Adee + Arnow Aves.
24489,108147,Unleashed dogs,Unleashed dogs in natural area btwn. AF & X201-01 on W 235 St.
24492,108153,Areas/equipment being used other than intended,natural area S/o pond being used for campfires
24491,108154,Public urination/defecation,the same man peeing & smoking in the natural area adj 73av
24490,108154,Smoking/cigarette butts inside park,the same man smoking & peeing in the natural area adj 73av
24493,108157,Homeless (or other) encampment,"Homeless encampment in natural area adj Louisiana Ave., just south of ice ladder # 4"
24484,108127,Abandoned building/structure,Center of zone along old road/trail.
24483,108127,Unsightly paint or repair,Graffiti cover on trees and rocks throughout zone.
24485,108136,Public urination/defecation,man urinating on tree adj AF # 80
24478,108091,Unsightly paint or repair,Paint on playground environment in playground.
24479,108096,Unsightly paint or repair,On lamppost adj flag pole at upper level on Wadsworth Terr.
24480,108097,Unsightly paint or repair,On lamppost adj. north play area.
24476,108097,Other enforcement issues,Dogs inside plgd. adj. W 164 St & Edgecomb Av.
24477,108101,Unleashed dogs,3 on lawn @ site.
24481,108111,Unleashed dogs,One unleashed dog
24473,108046,Drainage issues/standing water,Standing water at Handball Court.
24482,108049,Unsightly paint or repair,Unsightly paint on gametime adventure near Walton Street.
24474,108052,Drainage issues/standing water,Clogged drain
24467,108012,Unsightly paint or repair,Graffiti cover on paths.
24470,108014,Unleashed dogs,Unleashed dogs (5) throughout park.
24469,108014,Homeless persons present,With some debris next to bench adj. men's cs.
24468,108014,Smoking/cigarette butts inside park,Park patron(s) smoking cigarettes in side park adj. entrance on Av. A & adj. Av. B.
24471,108018,Drainage issues/standing water,Stading water on paved surfaces adjacent Basketball Court.
24472,108028,Smoking/cigarette butts inside park,Person smoking in CS Men's room
24460,107988,Other patron complaints or suggestions,"Patrons request resurfacing of tennis courts, not just filling cracks, stating it's uneven and a slip and trip hazard."
24462,107992,Unleashed dogs,6 on AF
24465,107995,Public urination/defecation,Residents say that drug users also use area for urination/ defecation.
24464,107995,Drug use,Residents complain of ongoing drug use
24463,107995,Other patron complaints or suggestions,Excessive dumping. Residents of neighborhood expressed deep concern re: dumping Resident Micheal Jackson ph # 718 341-2417 would like to be contacted re: this ongoing condition
