Reporting Area,MMWR Year,MMWR Week,"Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Previous 52 weeks Max†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Previous 52 weeks Max†, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2020†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2020†, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†, flag","Chancroid, Current week","Chancroid, Current week, flag","Chancroid, Previous 52 weeks Max†","Chancroid, Previous 52 weeks Max†, flag","Chancroid, Cum 2020†","Chancroid, Cum 2020†, flag","Chancroid, Cum 2019†","Chancroid, Cum 2019†, flag","Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Max†","Chlamydia trachomatis infection, Previous 52 weeks Max†, flag","Chlamydia trachomatis infection, Cum 2020†","Chlamydia trachomatis infection, Cum 2020†, flag","Chlamydia trachomatis infection, Cum 2019†","Chlamydia trachomatis infection, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
SOUTH DAKOTA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,27,,108,,197,,455,,SOUTH DAKOTA,,20200527,POINT (-100.230491 44.43614)
WYOMING,2020,5,,-,1,,1,,,-,,-,0,,,-,,-,35,,58,,151,,212,,WYOMING,,20200556,POINT (-107.55145 42.999627)
MISSOURI,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,791,,1371,,3304,,MISSOURI,,20200524,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,2422,,4713,,17010,,20895,,,MIDDLE ATLANTIC,20200509,
CALIFORNIA,2020,5,,-,3,,5,,,-,,-,1,,,-,,-,432,,5068,,16269,,23545,,CALIFORNIA,,20200559,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,38,,354,,530,,284,,WEST VIRGINIA,,20200537,POINT (-80.613729 38.642579)
FLORIDA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,1775,,2495,,8456,,9112,,FLORIDA,,20200531,POINT (-82.420978 28.260731)
MONTANA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,45,,116,,399,,433,,MONTANA,,20200552,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,96,,2167,,4054,,10348,,,WEST NORTH CENTRAL,20200520,
MASSACHUSETTS,2020,5,,-,0,,,-,,-,,-,1,,,-,,-,421,,731,,2808,,3124,,MASSACHUSETTS,,20200505,POINT (-71.481104 42.151077)
MOUNTAIN,2020,5,,-,6,,5,,16,,,-,1,,,-,,-,667,,2965,,7128,,12219,,,MOUNTAIN,20200548,
INDIANA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,315,,858,,2692,,3063,,INDIANA,,20200516,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,1,,,NON-US RESIDENTS,20200569,
US TERRITORIES,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,304,,26,,490,,,US TERRITORIES,20200563,
TOTAL,2020,8,,-,13,,26,,39,,,-,1,,,-,,-,10392,,35475,,174458,,266948,,,TOTAL,20200870,
MASSACHUSETTS,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,,-,730,,1713,,2517,,MASSACHUSETTS,,20200405,POINT (-71.481104 42.151077)
INDIANA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,176,,858,,1599,,2385,,INDIANA,,20200416,POINT (-86.2818 39.919991)
WEST NORTH CENTRAL,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,244,,2208,,2274,,8206,,,WEST NORTH CENTRAL,20200420,
MOUNTAIN,2020,4,,-,6,,5,,15,,,-,1,,,-,,-,852,,2966,,5689,,9580,,,MOUNTAIN,20200448,
US TERRITORIES,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,9,,304,,26,,371,,,US TERRITORIES,20200463,
NON-US RESIDENTS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,,NON-US RESIDENTS,20200469,
US RESIDENTS,2020,8,,-,13,,26,,39,,,-,1,,,-,,-,10392,,35305,,174432,,266150,,,US RESIDENTS,20200801,
NEW HAMPSHIRE,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,68,,124,,445,,575,,NEW HAMPSHIRE,,20200806,POINT (-71.57139 43.680429)
NEW YORK,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,923,,2105,,6153,,6266,,NEW YORK,,20200811,POINT (-75.59655 42.921241)
PACIFIC,2020,8,,-,4,,9,,1,,,-,1,,,-,,-,822,,6343,,34545,,47472,,,PACIFIC,20200857,
WEST SOUTH CENTRAL,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,266,,2758,,9996,,21070,,,WEST SOUTH CENTRAL,20200843,
NEBRASKA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,104,,244,,1130,,1244,,NEBRASKA,,20200825,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,8,,-,0,,,-,,-,,-,1,,,-,,-,215,,2782,,8351,,16685,,,EAST SOUTH CENTRAL,20200838,
NORTH DAKOTA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,96,,375,,640,,NORTH DAKOTA,,20200826,POINT (-100.46931 47.446305)
NEVADA,2020,8,,-,2,,,-,,-,,-,0,,,-,,-,217,,710,,2189,,4544,,NEVADA,,20200853,POINT (-114.916992 39.283294)
ILLINOIS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,95,,1698,,3918,,12238,,ILLINOIS,,20200815,POINT (-89.148632 40.124144)
IOWA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,47,,390,,1761,,2450,,IOWA,,20200821,POINT (-93.500061 42.074659)
TEXAS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,219,,1499,,4064,,9186,,TEXAS,,20200847,POINT (-99.317341 31.447238)
ALASKA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,151,,,-,989,,ALASKA,,20200858,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,6,,246,,1411,,1458,,DISTRICT OF COLUMBIA,,20200830,POINT (-77.016275 38.904785)
WASHINGTON,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,345,,1056,,3563,,5293,,WASHINGTON,,20200862,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,8,,-,0,,,-,,-,,-,1,,,-,,-,153,,1427,,4423,,8272,,,NEW ENGLAND,20200802,
RHODE ISLAND,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,293,,561,,49,,RHODE ISLAND,,20200807,POINT (-71.534637 41.572574)
OREGON,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,333,,437,,2837,,2767,,OREGON,,20200861,POINT (-120.605279 43.940449)
DELAWARE,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,116,,222,,1037,,997,,DELAWARE,,20200829,POINT (-75.452394 38.994926)
ALABAMA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,823,,2312,,5047,,ALABAMA,,20200839,POINT (-86.844516 32.756889)
KANSAS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,321,,,-,2224,,KANSAS,,20200822,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,1490,,,-,11198,,NORTH CAROLINA,,20200834,POINT (-79.130883 35.52603)
GUAM,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200866,POINT (144.653198 13.3532)
NEW JERSEY,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,355,,885,,5471,,5862,,NEW JERSEY,,20200810,POINT (-74.655514 40.110253)
NEW MEXICO,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,73,,332,,1670,,2167,,NEW MEXICO,,20200854,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,8,,-,8,,3,,19,,,-,0,,,-,,-,1332,,5653,,25556,,39967,,,EAST NORTH CENTRAL,20200814,
TENNESSEE,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,215,,952,,3743,,6326,,TENNESSEE,,20200842,POINT (-86.343226 35.842998)
CONNECTICUT,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,343,,,-,1985,,CONNECTICUT,,20200803,POINT (-72.738288 41.575155)
MARYLAND,2020,8,,-,0,,,-,,-,,-,1,,,-,,-,84,,837,,3592,,5695,,MARYLAND,,20200833,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,890,,,-,5764,,SOUTH CAROLINA,,20200835,POINT (-80.864614 33.878572)
OKLAHOMA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,47,,440,,1713,,2841,,OKLAHOMA,,20200846,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200865,POINT (145.725693 15.1834)
OHIO,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,476,,1438,,8503,,10417,,OHIO,,20200818,POINT (-82.70936 40.415534)
MOUNTAIN,2020,11,,-,6,,15,,27,,,-,1,,,-,,-,1206,,3208,,24020,,29614,,,MOUNTAIN,20201148,
MINNESOTA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,11,,558,,2684,,3755,,MINNESOTA,,20200823,POINT (-94.198308 46.349153)
LOUISIANA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,837,,4143,,6274,,LOUISIANA,,20200845,POINT (-91.840238 30.921314)
HAWAII,2020,8,,-,1,,,-,1,,,-,0,,,-,,-,,-,209,,,-,1037,,HAWAII,,20200860,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,8,,-,0,,,-,,-,,-,1,,,-,,-,2703,,8209,,34865,,61340,,,SOUTH ATLANTIC,20200828,
PENNSYLVANIA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,979,,1402,,9417,,9582,,PENNSYLVANIA,,20200813,POINT (-77.838886 40.896694)
UTAH,2020,8,,-,2,,3,,2,,,-,0,,,-,,-,169,,274,,1709,,1703,,UTAH,,20200855,POINT (-111.678222 39.323779)
COLORADO,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,462,,1072,,3270,,4464,,COLORADO,,20200850,POINT (-105.547832 38.998552)
VERMONT,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,23,,61,,151,,157,,VERMONT,,20200808,POINT (-72.662695 44.075252)
KENTUCKY,2020,8,,-,0,,,-,,-,,-,1,,,-,,-,,-,605,,177,,1664,,KENTUCKY,,20200840,POINT (-85.290484 37.526683)
PUERTO RICO,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,304,,26,,797,,PUERTO RICO,,20200867,POINT (-66.414655 18.215692)
MAINE,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,62,,125,,458,,623,,MAINE,,20200804,POINT (-69.06137 45.117911)
VIRGINIA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,869,,1107,,7095,,7809,,VIRGINIA,,20200836,POINT (-78.666382 37.510861)
ARIZONA,2020,8,,-,5,,10,,17,,,-,1,,,-,,-,434,,955,,5656,,6679,,ARIZONA,,20200849,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200864,
WISCONSIN,2020,8,,-,3,,3,,5,,,-,0,,,-,,-,346,,685,,3938,,4415,,WISCONSIN,,20200819,POINT (-89.732969 44.639954)
IDAHO,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,1,,163,,738,,1156,,IDAHO,,20200851,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200868,POINT (-64.840836 18.060868)
MICHIGAN,2020,8,,-,6,,,-,14,,,-,0,,,-,,-,101,,1169,,4241,,7698,,MICHIGAN,,20200817,POINT (-85.730977 44.874798)
GEORGIA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,1519,,5363,,11856,,GEORGIA,,20200832,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,663,,1657,,9815,,11613,,,NEW YORK CITY,20200812,
ARKANSAS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,393,,76,,2769,,ARKANSAS,,20200844,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,604,,2119,,3648,,MISSISSIPPI,,20200841,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,16,,108,,360,,714,,SOUTH DAKOTA,,20200827,POINT (-100.230491 44.43614)
WYOMING,2020,8,,-,1,,1,,,-,,-,0,,,-,,-,38,,59,,295,,319,,WYOMING,,20200856,POINT (-107.55145 42.999627)
MISSOURI,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,366,,791,,3356,,5250,,MISSOURI,,20200824,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,2920,,4762,,30856,,33323,,,MIDDLE ATLANTIC,20200809,
CALIFORNIA,2020,8,,-,4,,9,,,-,,-,1,,,-,,-,144,,4995,,28145,,37386,,CALIFORNIA,,20200859,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,101,,354,,1046,,847,,WEST VIRGINIA,,20200837,POINT (-80.613729 38.642579)
FLORIDA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,1527,,2600,,15321,,15716,,FLORIDA,,20200831,POINT (-82.420978 28.260731)
MONTANA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,43,,116,,647,,712,,MONTANA,,20200852,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,544,,2171,,9666,,16277,,,WEST NORTH CENTRAL,20200820,
MASSACHUSETTS,2020,8,,-,0,,,-,,-,,-,1,,,-,,-,,-,731,,2808,,4883,,MASSACHUSETTS,,20200805,POINT (-71.481104 42.151077)
TOTAL,2020,6,,-,11,,18,,37,,,-,1,,,-,,-,10342,,35164,,124349,,199786,,,TOTAL,20200670,
US RESIDENTS,2020,6,,-,11,,18,,37,,,-,1,,,-,,-,10342,,34994,,124323,,199197,,,US RESIDENTS,20200601,
NEW HAMPSHIRE,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,61,,124,,316,,404,,NEW HAMPSHIRE,,20200606,POINT (-71.57139 43.680429)
NEW YORK,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,978,,2059,,4167,,4545,,NEW YORK,,20200611,POINT (-75.59655 42.921241)
PACIFIC,2020,6,,-,4,,8,,1,,,-,1,,,-,,-,1080,,6692,,25143,,36445,,,PACIFIC,20200657,
WEST SOUTH CENTRAL,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,255,,2737,,6676,,16314,,,WEST SOUTH CENTRAL,20200643,
NEBRASKA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,76,,241,,637,,947,,NEBRASKA,,20200625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,6,,-,0,,,-,,-,,-,1,,,-,,-,19,,2781,,6451,,12384,,,EAST SOUTH CENTRAL,20200638,
NORTH DAKOTA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,96,,36,,455,,NORTH DAKOTA,,20200626,POINT (-100.46931 47.446305)
NEVADA,2020,6,,-,2,,,-,,-,,-,0,,,-,,-,,-,395,,,-,1800,,NEVADA,,20200653,POINT (-114.916992 39.283294)
ILLINOIS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,69,,1677,,2177,,9016,,ILLINOIS,,20200615,POINT (-89.148632 40.124144)
IOWA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,51,,390,,1213,,1816,,IOWA,,20200621,POINT (-93.500061 42.074659)
TEXAS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,1484,,1994,,7326,,TEXAS,,20200647,POINT (-99.317341 31.447238)
ALASKA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,151,,,-,737,,ALASKA,,20200658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,48,,244,,1055,,1124,,DISTRICT OF COLUMBIA,,20200630,POINT (-77.016275 38.904785)
WASHINGTON,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,535,,1056,,2702,,4280,,WASHINGTON,,20200662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,6,,-,0,,,-,,-,,-,1,,,-,,-,190,,1427,,3935,,6385,,,NEW ENGLAND,20200602,
RHODE ISLAND,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,76,,287,,404,,33,,RHODE ISLAND,,20200607,POINT (-71.534637 41.572574)
OREGON,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,353,,437,,2086,,2105,,OREGON,,20200661,POINT (-120.605279 43.940449)
DELAWARE,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,108,,222,,760,,754,,DELAWARE,,20200629,POINT (-75.452394 38.994926)
ALABAMA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,823,,2312,,3575,,ALABAMA,,20200639,POINT (-86.844516 32.756889)
KANSAS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,321,,,-,1669,,KANSAS,,20200622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,1495,,,-,8403,,NORTH CAROLINA,,20200634,POINT (-79.130883 35.52603)
GUAM,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200666,POINT (144.653198 13.3532)
NEW JERSEY,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,383,,849,,3636,,4589,,NEW JERSEY,,20200610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,46,,332,,1163,,1654,,NEW MEXICO,,20200654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,6,,-,7,,3,,20,,,-,0,,,-,,-,1737,,5597,,18105,,29610,,,EAST NORTH CENTRAL,20200614,
TENNESSEE,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,951,,2015,,4795,,TENNESSEE,,20200642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,343,,,-,1604,,CONNECTICUT,,20200603,POINT (-72.738288 41.575155)
MARYLAND,2020,6,,-,0,,,-,,-,,-,1,,,-,,-,55,,835,,2877,,4341,,MARYLAND,,20200633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,890,,,-,4004,,SOUTH CAROLINA,,20200635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,32,,440,,1169,,2185,,OKLAHOMA,,20200646,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200665,POINT (145.725693 15.1834)
OHIO,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,684,,1438,,6809,,7854,,OHIO,,20200618,POINT (-82.70936 40.415534)
MINNESOTA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,3,,556,,1872,,2877,,MINNESOTA,,20200623,POINT (-94.198308 46.349153)
LOUISIANA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,223,,837,,3447,,4725,,LOUISIANA,,20200645,POINT (-91.840238 30.921314)
HAWAII,2020,6,,-,1,,,-,1,,,-,0,,,-,,-,,-,209,,,-,775,,HAWAII,,20200660,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,6,,-,0,,,-,,-,,-,1,,,-,,-,2329,,8321,,26019,,45495,,,SOUTH ATLANTIC,20200628,
PENNSYLVANIA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,918,,1356,,6882,,7218,,PENNSYLVANIA,,20200613,POINT (-77.838886 40.896694)
UTAH,2020,6,,-,2,,2,,2,,,-,0,,,-,,-,,-,273,,1001,,1310,,UTAH,,20200655,POINT (-111.678222 39.323779)
COLORADO,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,580,,1073,,2537,,3357,,COLORADO,,20200650,POINT (-105.547832 38.998552)
VERMONT,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,61,,84,,110,,VERMONT,,20200608,POINT (-72.662695 44.075252)
KENTUCKY,2020,6,,-,0,,,-,,-,,-,1,,,-,,-,,-,605,,177,,1233,,KENTUCKY,,20200640,POINT (-85.290484 37.526683)
PUERTO RICO,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,304,,26,,588,,PUERTO RICO,,20200667,POINT (-66.414655 18.215692)
MAINE,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,53,,125,,323,,472,,MAINE,,20200604,POINT (-69.06137 45.117911)
VIRGINIA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,1095,,4345,,5952,,VIRGINIA,,20200636,POINT (-78.666382 37.510861)
ARIZONA,2020,6,,-,5,,4,,14,,,-,1,,,-,,-,429,,955,,4203,,5141,,ARIZONA,,20200649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200664,
WISCONSIN,2020,6,,-,3,,3,,5,,,-,0,,,-,,-,402,,685,,2828,,3244,,WISCONSIN,,20200619,POINT (-89.732969 44.639954)
IDAHO,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,170,,130,,871,,IDAHO,,20200651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200668,POINT (-64.840836 18.060868)
MICHIGAN,2020,6,,-,5,,,-,15,,,-,0,,,-,,-,144,,1169,,2706,,5705,,MICHIGAN,,20200617,POINT (-85.730977 44.874798)
GEORGIA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,481,,1519,,5363,,9003,,GEORGIA,,20200632,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,1077,,1649,,7125,,8951,,,NEW YORK CITY,20200612,
ARKANSAS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,405,,66,,2078,,ARKANSAS,,20200644,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,19,,603,,1947,,2781,,MISSISSIPPI,,20200641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,38,,108,,269,,550,,SOUTH DAKOTA,,20200627,POINT (-100.230491 44.43614)
TOTAL,2020,7,,-,13,,22,,39,,,-,1,,,-,,-,10292,,35450,,150714,,235141,,,TOTAL,20200770,
WYOMING,2020,6,,-,1,,1,,,-,,-,0,,,-,,-,37,,58,,198,,253,,WYOMING,,20200656,POINT (-107.55145 42.999627)
MISSOURI,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,116,,791,,2526,,4047,,MISSOURI,,20200624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,3356,,4713,,21810,,25303,,,MIDDLE ATLANTIC,20200609,
CALIFORNIA,2020,6,,-,4,,8,,,-,,-,1,,,-,,-,192,,5069,,20355,,28548,,CALIFORNIA,,20200659,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,155,,354,,795,,503,,WEST VIRGINIA,,20200637,POINT (-80.613729 38.642579)
FLORIDA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,1482,,2495,,10824,,11411,,FLORIDA,,20200631,POINT (-82.420978 28.260731)
MONTANA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,116,,399,,514,,MONTANA,,20200652,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,284,,2167,,6553,,12361,,,WEST NORTH CENTRAL,20200620,
MASSACHUSETTS,2020,6,,-,0,,,-,,-,,-,1,,,-,,-,,-,731,,2808,,3762,,MASSACHUSETTS,,20200605,POINT (-71.481104 42.151077)
MOUNTAIN,2020,6,,-,6,,7,,16,,,-,1,,,-,,-,1092,,2963,,9631,,14900,,,MOUNTAIN,20200648,
INDIANA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,438,,858,,3585,,3791,,INDIANA,,20200616,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,1,,,NON-US RESIDENTS,20200669,
US TERRITORIES,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,304,,26,,588,,,US TERRITORIES,20200663,
US RESIDENTS,2020,7,,-,13,,22,,39,,,-,1,,,-,,-,10292,,35280,,150688,,234468,,,US RESIDENTS,20200701,
NEW HAMPSHIRE,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,59,,124,,376,,511,,NEW HAMPSHIRE,,20200706,POINT (-71.57139 43.680429)
NEW YORK,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,1066,,2073,,5230,,5439,,NEW YORK,,20200711,POINT (-75.59655 42.921241)
PACIFIC,2020,7,,-,4,,8,,1,,,-,1,,,-,,-,1112,,6343,,30224,,42282,,,PACIFIC,20200757,
WEST SOUTH CENTRAL,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,331,,2737,,7688,,18786,,,WEST SOUTH CENTRAL,20200743,
NEBRASKA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,88,,241,,903,,1111,,NEBRASKA,,20200725,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,7,,-,0,,,-,,-,,-,1,,,-,,-,16,,2782,,7831,,14529,,,EAST SOUTH CENTRAL,20200738,
NORTH DAKOTA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,96,,372,,544,,NORTH DAKOTA,,20200726,POINT (-100.46931 47.446305)
NEVADA,2020,7,,-,2,,,-,,-,,-,0,,,-,,-,239,,710,,1882,,3995,,NEVADA,,20200753,POINT (-114.916992 39.283294)
ILLINOIS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,78,,1691,,3068,,10559,,ILLINOIS,,20200715,POINT (-89.148632 40.124144)
IOWA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,37,,390,,1475,,2143,,IOWA,,20200721,POINT (-93.500061 42.074659)
TEXAS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,1484,,1994,,8283,,TEXAS,,20200747,POINT (-99.317341 31.447238)
