Reporting Area,MMWR Year,MMWR Week,"Severe acute respiratory syndrome-associated coronavirus desease, Current week","Severe acute respiratory syndrome-associated coronavirus desease, Current week, flag","Severe acute respiratory syndrome-associated coronavirus desease, Previous 52 weeks Max†","Severe acute respiratory syndrome-associated coronavirus desease, Previous 52 weeks Max†, flag","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2020†","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2020†, flag","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2019†","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2019†, flag","Shiga toxin-producing Escherichia coli(STEC), Current week","Shiga toxin-producing Escherichia coli(STEC), Current week, flag","Shiga toxin-producing Escherichia coli(STEC), Previous 52 weeks Max†","Shiga toxin-producing Escherichia coli(STEC), Previous 52 weeks Max†, flag","Shiga toxin-producing Escherichia coli(STEC), Cum 2020†","Shiga toxin-producing Escherichia coli(STEC), Cum 2020†, flag","Shiga toxin-producing Escherichia coli(STEC), Cum 2019†","Shiga toxin-producing Escherichia coli(STEC), Cum 2019†, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Max†","Shigellosis, Previous 52 weeks Max†, flag","Shigellosis, Cum 2020†","Shigellosis, Cum 2020†, flag","Shigellosis, Cum 2019†","Shigellosis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
CALIFORNIA,2020,2,,-,0,,,-,,-,1,,90,,8,,80,,7,,97,,15,,110,,CALIFORNIA,,20200259,POINT (-119.662127 37.211164)
HAWAII,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,1,,5,,2,,2,,HAWAII,,20200260,POINT (-157.854309 21.361013)
OREGON,2020,2,,-,0,,,-,,-,2,,16,,5,,6,,,-,8,,,-,6,,OREGON,,20200261,POINT (-120.605279 43.940449)
WASHINGTON,2020,2,,-,0,,,-,,-,,-,16,,,-,8,,1,,13,,8,,16,,WASHINGTON,,20200262,POINT (-120.592492 47.411715)
US TERRITORIES,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200263,
AMERICAN SAMOA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200264,
NORTHERN MARIANA ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200265,POINT (145.725693 15.1834)
GUAM,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200266,POINT (144.653198 13.3532)
PUERTO RICO,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200267,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200268,POINT (-64.840836 18.060868)
NON-US RESIDENTS,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,20200269,
TOTAL,2020,2,,-,0,,,-,,-,31,,540,,82,,320,,75,,458,,154,,501,,,TOTAL,20200270,
SOUTH CAROLINA,2020,3,,-,0,,,-,,-,,-,7,,3,,5,,1,,15,,4,,7,,SOUTH CAROLINA,,20200335,POINT (-80.864614 33.878572)
OKLAHOMA,2020,3,,-,0,,,-,,-,,-,43,,1,,,-,4,,6,,12,,1,,OKLAHOMA,,20200346,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200365,POINT (145.725693 15.1834)
OHIO,2020,3,,-,0,,,-,,-,9,,29,,22,,21,,4,,21,,15,,28,,OHIO,,20200318,POINT (-82.70936 40.415534)
MINNESOTA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200323,POINT (-94.198308 46.349153)
LOUISIANA,2020,3,,-,0,,,-,,-,,-,6,,,-,,-,12,,32,,12,,19,,LOUISIANA,,20200345,POINT (-91.840238 30.921314)
HAWAII,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,5,,2,,4,,HAWAII,,20200360,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,3,,-,0,,,-,,-,4,,80,,10,,77,,7,,70,,27,,131,,,SOUTH ATLANTIC,20200328,
PENNSYLVANIA,2020,3,,-,0,,,-,,-,4,,25,,11,,16,,3,,11,,15,,17,,PENNSYLVANIA,,20200313,POINT (-77.838886 40.896694)
UTAH,2020,3,,-,0,,,-,,-,,-,15,,2,,7,,,-,11,,3,,5,,UTAH,,20200355,POINT (-111.678222 39.323779)
COLORADO,2020,3,,-,0,,,-,,-,,-,20,,4,,18,,,-,13,,,-,10,,COLORADO,,20200350,POINT (-105.547832 38.998552)
VERMONT,2020,3,,-,0,,,-,,-,,-,5,,1,,1,,,-,1,,,-,,-,VERMONT,,20200308,POINT (-72.662695 44.075252)
KENTUCKY,2020,3,,-,0,,,-,,-,,-,43,,2,,1,,,-,8,,,-,5,,KENTUCKY,,20200340,POINT (-85.290484 37.526683)
PUERTO RICO,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200367,POINT (-66.414655 18.215692)
MAINE,2020,3,,-,0,,,-,,-,1,,2,,1,,1,,,-,2,,,-,,-,MAINE,,20200304,POINT (-69.06137 45.117911)
VIRGINIA,2020,3,,-,0,,,-,,-,2,,17,,3,,4,,1,,16,,3,,4,,VIRGINIA,,20200336,POINT (-78.666382 37.510861)
ARIZONA,2020,3,,-,0,,,-,,-,2,,13,,11,,7,,3,,17,,11,,11,,ARIZONA,,20200349,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200364,
WISCONSIN,2020,3,,-,0,,,-,,-,,-,30,,11,,18,,1,,9,,3,,7,,WISCONSIN,,20200319,POINT (-89.732969 44.639954)
IDAHO,2020,3,,-,0,,,-,,-,,-,11,,1,,6,,,-,7,,,-,1,,IDAHO,,20200351,POINT (-114.659366 44.389073)
MICHIGAN,2020,3,,-,0,,,-,,-,,-,15,,,-,17,,,-,12,,,-,10,,MICHIGAN,,20200317,POINT (-85.730977 44.874798)
GEORGIA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200332,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200312,
ARKANSAS,2020,3,,-,0,,,-,,-,,-,12,,2,,2,,1,,14,,2,,4,,ARKANSAS,,20200344,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,3,,-,0,,,-,,-,,-,5,,2,,4,,1,,10,,5,,11,,MISSISSIPPI,,20200341,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,3,,-,0,,,-,,-,,-,20,,,-,1,,,-,2,,,-,,-,SOUTH DAKOTA,,20200327,POINT (-100.230491 44.43614)
WYOMING,2020,3,,-,0,,,-,,-,,-,6,,,-,,-,,-,1,,,-,,-,WYOMING,,20200356,POINT (-107.55145 42.999627)
MISSOURI,2020,3,,-,0,,,-,,-,,-,20,,7,,13,,,-,7,,2,,7,,MISSOURI,,20200324,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,3,,-,0,,,-,,-,7,,47,,16,,26,,10,,51,,33,,118,,,MIDDLE ATLANTIC,20200309,
CALIFORNIA,2020,3,,-,0,,,-,,-,3,,93,,28,,112,,6,,98,,55,,185,,CALIFORNIA,,20200359,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,3,,-,0,,,-,,-,,-,4,,,-,3,,,-,2,,,-,,-,WEST VIRGINIA,,20200337,POINT (-80.613729 38.642579)
FLORIDA,2020,3,,-,0,,,-,,-,,-,33,,,-,34,,,-,42,,,-,85,,FLORIDA,,20200331,POINT (-82.420978 28.260731)
MONTANA,2020,3,,-,0,,,-,,-,,-,4,,,-,5,,,-,2,,,-,,-,MONTANA,,20200352,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,3,,-,0,,,-,,-,,-,81,,17,,37,,2,,15,,8,,22,,,WEST NORTH CENTRAL,20200320,
MASSACHUSETTS,2020,3,,-,0,,,-,,-,,-,7,,2,,3,,2,,12,,11,,9,,MASSACHUSETTS,,20200305,POINT (-71.481104 42.151077)
MOUNTAIN,2020,3,,-,0,,,-,,-,2,,52,,18,,50,,3,,38,,18,,32,,,MOUNTAIN,20200348,
INDIANA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200316,POINT (-86.2818 39.919991)
US RESIDENTS,2020,16,,-,0,,,-,,-,19,,575,,1682,,3511,,17,,574,,3164,,4409,,,US RESIDENTS,20201601,
NEW HAMPSHIRE,2020,16,,-,0,,,-,,-,,-,3,,6,,9,,,-,2,,,-,8,,NEW HAMPSHIRE,,20201606,POINT (-71.57139 43.680429)
NEW YORK,2020,16,,-,0,,,-,,-,6,,40,,85,,106,,3,,15,,63,,84,,NEW YORK,,20201611,POINT (-75.59655 42.921241)
PACIFIC,2020,16,,-,0,,,-,,-,1,,119,,352,,742,,4,,107,,559,,1058,,,PACIFIC,20201657,
WEST SOUTH CENTRAL,2020,16,,-,0,,,-,,-,1,,91,,131,,300,,7,,346,,832,,669,,,WEST SOUTH CENTRAL,20201643,
NEBRASKA,2020,16,,-,0,,,-,,-,,-,12,,32,,30,,,-,6,,13,,17,,NEBRASKA,,20201625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,16,,-,0,,,-,,-,1,,31,,66,,304,,,-,44,,279,,190,,,EAST SOUTH CENTRAL,20201638,
NORTH DAKOTA,2020,16,,-,0,,,-,,-,,-,9,,3,,10,,,-,5,,5,,7,,NORTH DAKOTA,,20201626,POINT (-100.46931 47.446305)
NEVADA,2020,16,,-,0,,,-,,-,,-,4,,7,,7,,,-,6,,13,,17,,NEVADA,,20201653,POINT (-114.916992 39.283294)
ILLINOIS,2020,16,,-,0,,,-,,-,,-,23,,54,,122,,,-,16,,81,,124,,ILLINOIS,,20201615,POINT (-89.148632 40.124144)
IOWA,2020,16,,-,0,,,-,,-,1,,35,,47,,102,,,-,6,,32,,20,,IOWA,,20201621,POINT (-93.500061 42.074659)
TEXAS,2020,16,,-,0,,,-,,-,,-,82,,94,,241,,6,,343,,692,,555,,TEXAS,,20201647,POINT (-99.317341 31.447238)
ALASKA,2020,16,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,3,,ALASKA,,20201658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,16,,-,0,,,-,,-,,-,2,,1,,6,,,-,4,,4,,28,,DISTRICT OF COLUMBIA,,20201630,POINT (-77.016275 38.904785)
WASHINGTON,2020,16,,-,0,,,-,,-,,-,16,,41,,106,,1,,13,,53,,88,,WASHINGTON,,20201662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,16,,-,0,,,-,,-,1,,16,,61,,101,,,-,19,,90,,121,,,NEW ENGLAND,20201602,
RHODE ISLAND,2020,16,,-,0,,,-,,-,,-,4,,6,,9,,,-,5,,5,,23,,RHODE ISLAND,,20201607,POINT (-71.534637 41.572574)
OREGON,2020,16,,-,0,,,-,,-,1,,16,,47,,81,,1,,6,,38,,63,,OREGON,,20201661,POINT (-120.605279 43.940449)
DELAWARE,2020,16,,-,0,,,-,,-,,-,4,,2,,7,,,-,2,,4,,8,,DELAWARE,,20201629,POINT (-75.452394 38.994926)
ALABAMA,2020,16,,-,0,,,-,,-,,-,8,,9,,33,,,-,35,,196,,72,,ALABAMA,,20201639,POINT (-86.844516 32.756889)
KANSAS,2020,16,,-,0,,,-,,-,,-,12,,22,,46,,,-,5,,4,,18,,KANSAS,,20201622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,16,,-,0,,,-,,-,,-,20,,37,,80,,,-,16,,64,,97,,NORTH CAROLINA,,20201634,POINT (-79.130883 35.52603)
GUAM,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201666,POINT (144.653198 13.3532)
NEW JERSEY,2020,16,,-,0,,,-,,-,,-,3,,,-,11,,,-,15,,37,,239,,NEW JERSEY,,20201610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,16,,-,0,,,-,,-,,-,7,,5,,23,,,-,13,,25,,17,,NEW MEXICO,,20201654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,16,,-,0,,,-,,-,,-,72,,219,,448,,1,,36,,226,,368,,,EAST NORTH CENTRAL,20201614,
TENNESSEE,2020,16,,-,0,,,-,,-,1,,16,,48,,111,,,-,10,,60,,38,,TENNESSEE,,20201642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,16,,-,0,,,-,,-,,-,9,,13,,39,,,-,7,,26,,26,,CONNECTICUT,,20201603,POINT (-72.738288 41.575155)
MARYLAND,2020,16,,-,0,,,-,,-,,-,10,,32,,61,,,-,8,,46,,72,,MARYLAND,,20201633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,16,,-,0,,,-,,-,,-,7,,16,,23,,,-,15,,18,,26,,SOUTH CAROLINA,,20201635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,16,,-,0,,,-,,-,,-,43,,24,,15,,,-,11,,90,,24,,OKLAHOMA,,20201646,POINT (-97.508297 35.583449)
PACIFIC,2020,12,,-,0,,,-,,-,3,,117,,294,,500,,5,,107,,441,,828,,,PACIFIC,20201257,
PACIFIC,2020,10,,-,0,,,-,,-,1,,117,,233,,401,,5,,107,,367,,694,,,PACIFIC,20201057,
AMERICAN SAMOA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200664,
TOTAL,2020,4,,-,1,,,-,,-,34,,509,,244,,579,,87,,440,,452,,993,,,TOTAL,20200470,
PACIFIC,2020,4,,-,1,,,-,,-,4,,118,,49,,170,,12,,105,,107,,282,,,PACIFIC,20200457,
WEST SOUTH CENTRAL,2020,4,,-,0,,,-,,-,4,,90,,11,,30,,39,,271,,111,,137,,,WEST SOUTH CENTRAL,20200443,
NEBRASKA,2020,4,,-,0,,,-,,-,,-,12,,5,,8,,1,,6,,4,,7,,NEBRASKA,,20200425,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,4,,-,0,,,-,,-,,-,69,,12,,25,,2,,43,,55,,61,,,EAST SOUTH CENTRAL,20200438,
NORTH DAKOTA,2020,4,,-,0,,,-,,-,,-,9,,,-,,-,,-,2,,,-,2,,NORTH DAKOTA,,20200426,POINT (-100.46931 47.446305)
NEVADA,2020,4,,-,0,,,-,,-,,-,4,,,-,1,,3,,4,,5,,4,,NEVADA,,20200453,POINT (-114.916992 39.283294)
ILLINOIS,2020,4,,-,0,,,-,,-,,-,23,,10,,23,,,-,16,,2,,35,,ILLINOIS,,20200415,POINT (-89.148632 40.124144)
IOWA,2020,4,,-,0,,,-,,-,1,,35,,11,,18,,1,,6,,7,,5,,IOWA,,20200421,POINT (-93.500061 42.074659)
TEXAS,2020,4,,-,0,,,-,,-,,-,78,,4,,27,,30,,268,,76,,108,,TEXAS,,20200447,POINT (-99.317341 31.447238)
ALASKA,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,ALASKA,,20200458,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,4,,-,0,,,-,,-,,-,1,,,-,1,,,-,4,,,-,6,,DISTRICT OF COLUMBIA,,20200430,POINT (-77.016275 38.904785)
WASHINGTON,2020,4,,-,0,,,-,,-,,-,16,,,-,20,,1,,13,,12,,22,,WASHINGTON,,20200462,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,4,,-,0,,,-,,-,,-,16,,10,,21,,2,,19,,16,,33,,,NEW ENGLAND,20200402,
RHODE ISLAND,2020,4,,-,0,,,-,,-,,-,4,,2,,3,,,-,5,,,-,6,,RHODE ISLAND,,20200407,POINT (-71.534637 41.572574)
OREGON,2020,4,,-,1,,,-,,-,1,,16,,13,,12,,3,,8,,5,,13,,OREGON,,20200461,POINT (-120.605279 43.940449)
DELAWARE,2020,4,,-,0,,,-,,-,,-,4,,2,,1,,,-,2,,,-,2,,DELAWARE,,20200429,POINT (-75.452394 38.994926)
ALABAMA,2020,4,,-,0,,,-,,-,,-,8,,1,,7,,1,,35,,40,,18,,ALABAMA,,20200439,POINT (-86.844516 32.756889)
KANSAS,2020,4,,-,0,,,-,,-,,-,14,,,-,4,,,-,4,,,-,4,,KANSAS,,20200422,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,4,,-,0,,,-,,-,,-,20,,2,,19,,,-,16,,18,,17,,NORTH CAROLINA,,20200434,POINT (-79.130883 35.52603)
GUAM,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200466,POINT (144.653198 13.3532)
NEW JERSEY,2020,4,,-,0,,,-,,-,,-,4,,,-,6,,1,,18,,12,,100,,NEW JERSEY,,20200410,POINT (-74.655514 40.110253)
NEW MEXICO,2020,4,,-,0,,,-,,-,,-,7,,,-,7,,,-,12,,4,,1,,NEW MEXICO,,20200454,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,4,,-,0,,,-,,-,6,,75,,52,,88,,9,,36,,29,,90,,,EAST NORTH CENTRAL,20200414,
TENNESSEE,2020,4,,-,0,,,-,,-,,-,25,,7,,13,,,-,10,,8,,16,,TENNESSEE,,20200442,POINT (-86.343226 35.842998)
CONNECTICUT,2020,4,,-,0,,,-,,-,,-,9,,,-,8,,,-,7,,,-,8,,CONNECTICUT,,20200403,POINT (-72.738288 41.575155)
MARYLAND,2020,4,,-,0,,,-,,-,2,,10,,5,,14,,3,,8,,13,,19,,MARYLAND,,20200433,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,4,,-,0,,,-,,-,1,,7,,4,,5,,1,,15,,5,,9,,SOUTH CAROLINA,,20200435,POINT (-80.864614 33.878572)
OKLAHOMA,2020,4,,-,0,,,-,,-,4,,43,,5,,,-,7,,7,,19,,4,,OKLAHOMA,,20200446,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200465,POINT (145.725693 15.1834)
OHIO,2020,4,,-,0,,,-,,-,6,,29,,28,,23,,8,,21,,23,,33,,OHIO,,20200418,POINT (-82.70936 40.415534)
MINNESOTA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200423,POINT (-94.198308 46.349153)
LOUISIANA,2020,4,,-,0,,,-,,-,,-,6,,,-,1,,1,,32,,13,,20,,LOUISIANA,,20200445,POINT (-91.840238 30.921314)
HAWAII,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,,-,5,,3,,4,,HAWAII,,20200460,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,4,,-,0,,,-,,-,9,,80,,24,,95,,5,,70,,40,,177,,,SOUTH ATLANTIC,20200428,
PENNSYLVANIA,2020,4,,-,0,,,-,,-,1,,26,,13,,21,,3,,11,,19,,27,,PENNSYLVANIA,,20200413,POINT (-77.838886 40.896694)
UTAH,2020,4,,-,0,,,-,,-,,-,15,,5,,9,,,-,11,,3,,6,,UTAH,,20200455,POINT (-111.678222 39.323779)
COLORADO,2020,4,,-,0,,,-,,-,2,,20,,17,,23,,3,,13,,10,,16,,COLORADO,,20200450,POINT (-105.547832 38.998552)
VERMONT,2020,4,,-,0,,,-,,-,,-,5,,2,,1,,,-,1,,,-,1,,VERMONT,,20200408,POINT (-72.662695 44.075252)
KENTUCKY,2020,4,,-,0,,,-,,-,,-,43,,2,,1,,,-,8,,,-,6,,KENTUCKY,,20200440,POINT (-85.290484 37.526683)
PUERTO RICO,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200467,POINT (-66.414655 18.215692)
MAINE,2020,4,,-,0,,,-,,-,,-,2,,1,,2,,,-,2,,,-,,-,MAINE,,20200404,POINT (-69.06137 45.117911)
VIRGINIA,2020,4,,-,0,,,-,,-,6,,17,,11,,7,,1,,20,,4,,5,,VIRGINIA,,20200436,POINT (-78.666382 37.510861)
ARIZONA,2020,4,,-,0,,,-,,-,4,,13,,19,,13,,1,,17,,14,,17,,ARIZONA,,20200449,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200464,
WISCONSIN,2020,4,,-,0,,,-,,-,,-,31,,14,,22,,1,,9,,4,,11,,WISCONSIN,,20200419,POINT (-89.732969 44.639954)
IDAHO,2020,4,,-,0,,,-,,-,,-,11,,1,,7,,,-,7,,,-,1,,IDAHO,,20200451,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200468,POINT (-64.840836 18.060868)
MICHIGAN,2020,4,,-,0,,,-,,-,,-,15,,,-,20,,,-,12,,,-,11,,MICHIGAN,,20200417,POINT (-85.730977 44.874798)
GEORGIA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200432,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200412,
ARKANSAS,2020,4,,-,0,,,-,,-,,-,12,,2,,2,,1,,14,,3,,5,,ARKANSAS,,20200444,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,4,,-,0,,,-,,-,,-,5,,2,,4,,1,,10,,7,,21,,MISSISSIPPI,,20200441,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,4,,-,0,,,-,,-,,-,20,,,-,2,,,-,2,,,-,1,,SOUTH DAKOTA,,20200427,POINT (-100.230491 44.43614)
WYOMING,2020,4,,-,0,,,-,,-,,-,6,,,-,,-,,-,1,,,-,,-,WYOMING,,20200456,POINT (-107.55145 42.999627)
MISSOURI,2020,4,,-,0,,,-,,-,,-,20,,7,,14,,,-,7,,2,,9,,MISSOURI,,20200424,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,4,,-,0,,,-,,-,4,,48,,21,,37,,9,,34,,45,,140,,,MIDDLE ATLANTIC,20200409,
CALIFORNIA,2020,4,,-,0,,,-,,-,3,,93,,36,,138,,8,,98,,87,,243,,CALIFORNIA,,20200459,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,4,,-,0,,,-,,-,,-,4,,,-,3,,,-,2,,,-,1,,WEST VIRGINIA,,20200437,POINT (-80.613729 38.642579)
FLORIDA,2020,4,,-,0,,,-,,-,,-,33,,,-,45,,,-,42,,,-,118,,FLORIDA,,20200431,POINT (-82.420978 28.260731)
MONTANA,2020,4,,-,0,,,-,,-,,-,4,,,-,7,,,-,2,,,-,,-,MONTANA,,20200452,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,4,,-,0,,,-,,-,1,,81,,23,,46,,2,,15,,13,,28,,,WEST NORTH CENTRAL,20200420,
MASSACHUSETTS,2020,4,,-,0,,,-,,-,,-,7,,5,,6,,2,,12,,16,,17,,MASSACHUSETTS,,20200405,POINT (-71.481104 42.151077)
MOUNTAIN,2020,4,,-,0,,,-,,-,6,,52,,42,,67,,7,,38,,36,,45,,,MOUNTAIN,20200448,
INDIANA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200416,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,20200469,
US TERRITORIES,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200463,
NORTHERN MARIANA ISLANDS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201665,POINT (145.725693 15.1834)
OHIO,2020,16,,-,0,,,-,,-,,-,29,,75,,124,,1,,21,,72,,149,,OHIO,,20201618,POINT (-82.70936 40.415534)
MINNESOTA,2020,16,,-,0,,,-,,-,,-,37,,,-,159,,,-,13,,,-,89,,MINNESOTA,,20201623,POINT (-94.198308 46.349153)
TOTAL,2020,5,,-,0,,,-,,-,30,,541,,352,,798,,122,,494,,771,,1423,,,TOTAL,20200570,
US RESIDENTS,2020,5,,-,0,,,-,,-,30,,541,,352,,797,,122,,494,,771,,1423,,,US RESIDENTS,20200501,
NEW HAMPSHIRE,2020,5,,-,0,,,-,,-,,-,3,,,-,3,,,-,2,,,-,2,,NEW HAMPSHIRE,,20200506,POINT (-71.57139 43.680429)
NEW YORK,2020,5,,-,0,,,-,,-,7,,36,,15,,13,,6,,15,,20,,17,,NEW YORK,,20200511,POINT (-75.59655 42.921241)
PACIFIC,2020,5,,-,0,,,-,,-,3,,118,,67,,224,,11,,105,,163,,358,,,PACIFIC,20200557,
WEST SOUTH CENTRAL,2020,5,,-,0,,,-,,-,2,,90,,15,,53,,51,,307,,178,,216,,,WEST SOUTH CENTRAL,20200543,
NEBRASKA,2020,5,,-,0,,,-,,-,3,,12,,10,,9,,,-,6,,4,,7,,NEBRASKA,,20200525,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,5,,-,0,,,-,,-,2,,69,,22,,32,,,-,43,,61,,71,,,EAST SOUTH CENTRAL,20200538,
NORTH DAKOTA,2020,5,,-,0,,,-,,-,,-,9,,,-,,-,,-,5,,5,,3,,NORTH DAKOTA,,20200526,POINT (-100.46931 47.446305)
NEVADA,2020,5,,-,0,,,-,,-,,-,4,,,-,1,,,-,4,,5,,4,,NEVADA,,20200553,POINT (-114.916992 39.283294)
ILLINOIS,2020,5,,-,0,,,-,,-,,-,23,,11,,26,,,-,16,,15,,39,,ILLINOIS,,20200515,POINT (-89.148632 40.124144)
IOWA,2020,5,,-,0,,,-,,-,,-,35,,13,,18,,1,,6,,10,,5,,IOWA,,20200521,POINT (-93.500061 42.074659)
TEXAS,2020,5,,-,0,,,-,,-,,-,78,,6,,43,,42,,304,,135,,179,,TEXAS,,20200547,POINT (-99.317341 31.447238)
ALASKA,2020,5,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,ALASKA,,20200558,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,5,,-,0,,,-,,-,,-,1,,,-,2,,,-,4,,,-,7,,DISTRICT OF COLUMBIA,,20200530,POINT (-77.016275 38.904785)
WASHINGTON,2020,5,,-,0,,,-,,-,,-,16,,,-,27,,1,,13,,17,,29,,WASHINGTON,,20200562,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,5,,-,0,,,-,,-,,-,16,,11,,28,,4,,19,,22,,41,,,NEW ENGLAND,20200502,
RHODE ISLAND,2020,5,,-,0,,,-,,-,,-,4,,2,,3,,,-,5,,,-,9,,RHODE ISLAND,,20200507,POINT (-71.534637 41.572574)
OREGON,2020,5,,-,0,,,-,,-,,-,16,,13,,20,,2,,8,,10,,20,,OREGON,,20200561,POINT (-120.605279 43.940449)
DELAWARE,2020,5,,-,0,,,-,,-,,-,4,,2,,1,,,-,2,,1,,2,,DELAWARE,,20200529,POINT (-75.452394 38.994926)
