School_Year,Vendor_Name,Vehicle_TypeDescription,Active_Vehicles
2016-2017,HOYT TRANSPORTATION CORP.,Type A or B Flex Vehicle,10
2016-2017,PENNY TRANSPORTATION,Mini-Wagon,7
2017-2018,"BORO TRANSIT, INC.",Hydraulic Lift,44
2016-2017,I & Y TRANSIT CORP,Mini-Wagon,10
2016-2017,IC BUS INC. (PRE-K),Mini-Wagon,47
2016-2017,IC BUS INC. (PRE-K),Ramp-Wagon,8
2016-2017,IC BUS INC.,Mini-Wagon,75
2016-2017,JOFAZ TRANSPORTATION INC.,Mini-Wagon,62
2016-2017,JOFAZ TRANSPORTATION INC.,Standard Bus (GE),254
2016-2017,JOFAZ TRANSPORTATION INC.,Standard Bus (SE),42
2016-2017,L & M BUS CORP (A),Hydraulic Lift,16
2016-2017,L & M BUS CORP (A),Standard Bus (SE),5
2016-2017,L & M BUS CORP. (B2192),Standard Bus (SE),66
2016-2017,L & M BUS CORP. (B2321),Hydraulic Lift,11
2016-2017,L & M BUS CORP.,Mini-Wagon,192
2016-2017,L & M BUS CORP.,Ramp-Wagon,15
2016-2017,L & M BUS CORP.,Standard Bus (GE),8
2016-2017,L & M BUS CORP.,Standard Bus (SE),1
2016-2017,L & M BUS CORP.,Type A or B Flex Vehicle,12
2016-2017,LEESEL TRANSP CORP (B2192),Mini-Wagon,346
2016-2017,LEESEL TRANSP CORP (B2192),Wheelchair Accessible Alternative (WC),13
2016-2017,"LITTLE LINDA BUS CO.,INC.",Mini-Wagon,15
2016-2017,LITTLE LISA BUS CO. INC.,Mini-Wagon,133
2016-2017,LITTLE RICHIE BUS SERVICE,Mini-Wagon,566
2016-2017,LOGAN BUS COMPANY INC.,Mini-Wagon,315
2016-2017,LOGAN BUS COMPANY INC.,Standard Bus (GE),58
2016-2017,LOGAN BUS COMPANY INC.,Standard Bus (SE),15
2016-2017,LOGAN TRANSPORTATION SYSTEMS,Standard Bus (GE),33
2016-2017,LORINDA ENT. LTD.,Mini-Wagon,251
2016-2017,LORINDA ENT. LTD.,Standard Bus (SE),17
2016-2017,LORISSA BUS SERVICE INC.,Standard Bus (GE),104
2016-2017,LORISSA BUS SERVICE INC.,Standard Bus (SE),20
2016-2017,MAR-CAN TRANSPORT CO. INC (B2192),Mini-Wagon,242
2016-2017,MONTAUK STUDENT TRANS LLC (B2192),Wheelchair Accessible Alternative (WC),2
2016-2017,"MONTAUK STUDENT TRANS, INC. (B2321)",Mini-Wagon,10
2016-2017,"MONTAUK STUDENT TRANS, INC. (B2321)",Non-Wheelchair Accessible Alternative (NWC),1
2016-2017,"MONTAUK STUDENT TRANS, INC. (B2321)",Standard Bus (SE),1
2016-2017,"MONTAUK STUDENT TRANS, INC. (B2321)",Wheelchair Accessible Alternative (WC),20
2016-2017,MUTUAL BUS CORP. (B2192),Non-Wheelchair Accessible Alternative (NWC),10
2016-2017,MUTUAL BUS CORP. (B2192),Type C or D Flex,8
2016-2017,MUTUAL BUS CORP. (B2321),Type A or B Flex Vehicle,21
2016-2017,"MV TRANSPORTATION, INC.",Mini-Wagon,1
2016-2017,"MV TRANSPORTATION, INC.",Standard Bus (GE),12
2016-2017,"MV TRANSPORTATION, INC.",Standard Bus (SE),7
2016-2017,"NEW DAWN TRANSIT, LLC (B2321)",Mini-Wagon,2
2016-2017,"NEW DAWN TRANSIT, LLC (B2321)",Ramp-Wagon,6
2016-2017,"NEW DAWN TRANSIT, LLC (B2321)",Standard Bus (GE),5
2016-2017,"NEW DAWN TRANSIT, LLC (B2321)",Standard Bus (SE),186
2016-2017,"NEW DAWN TRANSIT, LLC (B2321)",Type A or B Flex Vehicle,23
2016-2017,PENNY TRANSPORTATION,Non-Wheelchair Accessible Alternative (NWC),1
2016-2017,PENNY TRANSPORTATION,Standard Bus (GE),67
2016-2017,PENNY TRANSPORTATION,Standard Bus (SE),29
2016-2017,PHILLIP BUS CORP (B2192),Non-Wheelchair Accessible Alternative (NWC),37
2016-2017,PHILLIPS BUS SERVICE,Hydraulic Lift,6
2016-2017,PHILLIPS BUS SERVICE,Mini-Wagon,45
2016-2017,PIONEER TRANSPORTATION CORP,Mini-Wagon,39
2016-2017,PIONEER TRANSPORTATION CORP,Ramp-Wagon,20
2016-2017,PIONEER TRANSPORTATION CORP,Standard Bus (GE),557
2016-2017,PIONEER TRANSPORTATION CORP,Standard Bus (SE),171
2016-2017,PRIDE TRANSPORTATION (SCH AGE),Hydraulic Lift,11
2016-2017,PRIDE TRANSPORTATION (SCH AGE),Mini-Wagon,31
2016-2017,PRIDE TRANSPORTATION (SCH AGE),Ramp-Wagon,1
2016-2017,PRIDE TRANSPORTATION (SCH AGE),Standard Bus (GE),15
2016-2017,PRIDE TRANSPORTATION (SCH AGE),Standard Bus (SE),52
2016-2017,QUALITY TRANSPORTATION CORP.,Standard Bus (GE),134
2016-2017,QUALITY TRANSPORTATION CORP.,Standard Bus (SE),112
2016-2017,"R & C TRANSIT, INC. (B2321)",Mini-Wagon,5
2016-2017,"RELIANT TRANS, INC. (B2321)",Mini-Wagon,799
2016-2017,"RELIANT TRANS, INC. (B2321)",Ramp-Wagon,2
2016-2017,"RELIANT TRANS, INC. (B2321)",Standard Bus (GE),2
2016-2017,"RELIANT TRANS, INC. (B2321)",Standard Bus (SE),185
2016-2017,"RELIANT TRANS, INC. (B2321)",Type A or B Flex Vehicle,20
2016-2017,RICHMOND COUNTY AMBULANCE SERV,Ambulance Transportation Service,50
2016-2017,ROYAL EXPRESS LINE CORP.,Mini-Wagon,15
2016-2017,SAFE COACH INC. (B2321),Mini-Wagon,63
2016-2017,SELBY TRANS CORP. (B2192),Standard Bus (SE),1
2016-2017,SELBY TRANS CORP. (B2192),Wheelchair Accessible Alternative (WC),2
2016-2017,SELBY TRANSPORTATION,Mini-Wagon,63
2016-2017,SELBY TRANSPORTATION,Ramp-Wagon,1
2016-2017,SELBY TRANSPORTATION,Standard Bus (GE),2
2016-2017,SELBY TRANSPORTATION,Type A or B Flex Vehicle,2
2016-2017,SMART PICK,Mini-Wagon,2
2016-2017,SMART PICK,Standard Bus (GE),13
2016-2017,SMART PICK,Standard Bus (SE),8
2016-2017,SNT BUS INC,Standard Bus (GE),435
2016-2017,SNT BUS INC,Standard Bus (SE),21
2016-2017,"SUBURBAN TRAILS, INC",Motor Coach Bus,47
2016-2017,THIRD AVENUE TRANSIT,Standard Bus (GE),1
2016-2017,THIRD AVENUE TRANSIT,Standard Bus (SE),13
2016-2017,THOMAS BUSES INC (B2192),Type A or B Flex Vehicle,25
2016-2017,"THOMAS BUSES, INC. (B2321)",Mini-Wagon,18
2016-2017,"THOMAS BUSES, INC. (B2321)",Non-Wheelchair Accessible Alternative (NWC),38
2016-2017,"THOMAS BUSES, INC.",Mini-Wagon,16
2016-2017,"THOMAS BUSES, INC.",Standard Bus (GE),2
2016-2017,TWENTY FIRST AV TRANSP (B2192),Mini-Wagon,148
2016-2017,VAN TRANS LLC (B2192),Mini-Wagon,28
2016-2017,VAN TRANS LLC (B2192),Non-Wheelchair Accessible Alternative (NWC),32
2016-2017,VAN TRANS LLC (B2192),Standard Bus (SE),108
2016-2017,VAN TRANS LLC (B2192),Type A or B Flex Vehicle,10
2016-2017,VAN TRANS LLC (B2192),Wheelchair Accessible Alternative (WC),2
2016-2017,VINNY`S BUS SERVICES (B2321),Mini-Wagon,53
2016-2017,Y & M TRANSIT CORP (B2192),Mini-Wagon,274
2016-2017,Y & M TRANSIT CORP (B2321),Mini-Wagon,29
2017-2018,MJT BUS,Mini-Wagon,6
2017-2018,ACME BUS CORP. (B2321),Mini-Wagon,71
2017-2018,ALL AMERICAN SCHOOL BUS CORP.,Type A or B Flex Vehicle,3
2017-2018,ACADEMY EXPRESS LLC,Motor Coach Bus,22
2017-2018,ALINA SERVICES CORP.,Mini-Wagon,70
2017-2018,ALINA SERVICES CORP.,Ramp-Wagon,1
2017-2018,ALINA SERVICES CORP.,Standard Bus (SE),4
2017-2018,ALL AMERICAN SCHOOL BUS CORP.,Mini-Wagon,6
2017-2018,ALL AMERICAN SCHOOL BUS CORP.,Ramp-Wagon,92
2017-2018,ALL AMERICAN SCHOOL BUS CORP.,Standard Bus (GE),63
2017-2018,ALL AMERICAN SCHOOL BUS CORP.,Standard Bus (SE),47
2017-2018,ALL COUNTY BUS LLC (B2321),Mini-Wagon,79
2017-2018,"MONTAUK STUDENT TRANS, INC. (B2321)",Standard Bus (SE),1
2017-2018,PHILLIPS BUS SERVICE,Standard Bus (SE),1
2017-2018,"B & F SKILLED, INC.",Mini-Wagon,1
2017-2018,LEESEL TRANSP CORP (B2192),Standard Bus (GE),1
2017-2018,ALL COUNTY BUS LLC (B2321),Standard Bus (SE),1
2017-2018,ALLIED TRANSIT CORP.,Mini-Wagon,19
2017-2018,SMART PICK,Standard Bus (GE),20
2017-2018,ALLIED TRANSIT CORP.,Standard Bus (GE),53
2017-2018,ALLIED TRANSIT CORP.,Standard Bus (SE),21
2017-2018,ANOTHER RIDE INC.,Mini-Wagon,7
2017-2018,B & F SKILLED INC.(B2192),Mini-Wagon,33
2017-2018,B & F SKILLED INC.(B2192),Ramp-Wagon,1
2017-2018,B & F SKILLED INC.(B2192),Standard Bus (GE),3
2017-2018,"G.V.C., LTD.",Standard Bus (SE),35
2017-2018,B & F SKILLED INC.(B2192),Standard Bus (SE),1
2017-2018,B & F SKILLED INC.(B2192),Type A or B Flex Vehicle,1
2017-2018,B & F SKILLED INC.(B2192),Wheelchair Accessible Alternative (WC),17
2017-2018,MONTAUK STUDENT TRANS LLC (B2192),Wheelchair Accessible Alternative (WC),2
2017-2018,"MONTAUK STUDENT TRANS, INC. (B2321)",Mini-Wagon,2
2017-2018,"MONTAUK STUDENT TRANS, INC. (B2321)",Non-Wheelchair Accessible Alternative (NWC),1
2017-2018,"MONTAUK STUDENT TRANS, INC. (B2321)",Wheelchair Accessible Alternative (WC),5
2017-2018,SELBY TRANS CORP. (B2192),Standard Bus (SE),1
2017-2018,"B & F SKILLED, INC.",Standard Bus (GE),4
2017-2018,"B & F SKILLED, INC.",Standard Bus (SE),4
2017-2018,"B & F SKILLED, INC.",Type A or B Flex Vehicle,1
2017-2018,BOBBY`S BUS CO. INC.,Mini-Wagon,29
2017-2018,BOBBY`S BUS CO. INC.,Standard Bus (GE),140
2017-2018,BOBBY`S BUS CO. INC.,Standard Bus (SE),5
2017-2018,"BORO TRANSIT, INC.",Mini-Wagon,40
2017-2018,"BORO TRANSIT, INC.",Ramp-Wagon,119
2017-2018,"BORO TRANSIT, INC.",Standard Bus (GE),223
2017-2018,"BORO TRANSIT, INC.",Standard Bus (SE),181
2017-2018,"BORO TRANSIT, INC.",Type A or B Flex Vehicle,33
2017-2018,CAREFUL BUS SERVICE INC (B2192),Type C or D Flex,13
2017-2018,FIRST STEPS,Mini-Wagon,17
2017-2018,FIRST STEPS,Type A or B Flex Vehicle,1
2017-2018,SMART PICK,Standard Bus (SE),1
2017-2018,LEESEL TRANSP CORP (B2192),Type A or B Flex Vehicle,1
2017-2018,CONSOLIDATED BUS TRANS. INC.,Hydraulic Lift,36
2017-2018,CONSOLIDATED BUS TRANS. INC.,Mini-Wagon,80
2017-2018,CONSOLIDATED BUS TRANS. INC.,Ramp-Wagon,2
2017-2018,CONSOLIDATED BUS TRANS. INC.,Standard Bus (SE),42
2017-2018,CONSOLIDATED BUS TRANS. INC.,Type A or B Flex Vehicle,62
2017-2018,FIRST STEPS TRANSP INC. (B2192),Type A or B Flex Vehicle,148
2017-2018,FIRST STEPS TRANSP INC. (B2192),Wheelchair Accessible Alternative (WC),7
2017-2018,CAREFUL BUS,Hydraulic Lift,15
2017-2018,CAREFUL BUS,Mini-Wagon,94
2017-2018,CAREFUL BUS,Type C or D Flex,1
2017-2018,L & M BUS CORP. (B2321),Mini-Wagon,1
2017-2018,LEESEL TRANSP CORP (B2192),Mini-Wagon,379
2017-2018,LEESEL TRANSP CORP (B2192),Wheelchair Accessible Alternative (WC),11
2017-2018,LORINDA ENT. LTD.,Mini-Wagon,252
2017-2018,LORINDA ENT. LTD.,Standard Bus (GE),10
2017-2018,LORINDA ENT. LTD.,Standard Bus (SE),23
2017-2018,"RELIANT TRANS, INC. (B2321)",Mini-Wagon,782
2017-2018,"RELIANT TRANS, INC. (B2321)",Ramp-Wagon,1
2017-2018,"RELIANT TRANS, INC. (B2321)",Standard Bus (GE),1
2017-2018,"RELIANT TRANS, INC. (B2321)",Standard Bus (SE),192
2017-2018,"RELIANT TRANS, INC. (B2321)",Type A or B Flex Vehicle,18
2017-2018,SELBY TRANS CORP. (B2192),Wheelchair Accessible Alternative (WC),2
2017-2018,THIRD AVENUE TRANSIT,Standard Bus (GE),1
2017-2018,THIRD AVENUE TRANSIT,Standard Bus (SE),13
2017-2018,Y & M TRANSIT CORP (B2192),Standard Bus (GE),1
2017-2018,CHILDREN`S TRANS INC. (B2321),Non-Wheelchair Accessible Alternative (NWC),16
2017-2018,"CONSOLIDATED BUS TRANSIT, INC.",Hydraulic Lift,36
2017-2018,"CONSOLIDATED BUS TRANSIT, INC.",Mini-Wagon,80
2017-2018,"CONSOLIDATED BUS TRANSIT, INC.",Ramp-Wagon,2
2017-2018,"CONSOLIDATED BUS TRANSIT, INC.",Standard Bus (SE),42
2017-2018,"CONSOLIDATED BUS TRANSIT, INC.",Type A or B Flex Vehicle,61
2017-2018,"DON THOMAS BUSES, INC. (B2321)",Mini-Wagon,113
2017-2018,"DON THOMAS BUSES, INC.",Mini-Wagon,26
2017-2018,FIRST STEPS TRANS INC. (B2192),Type A or B Flex Vehicle,149
2017-2018,FIRST STEPS TRANS INC. (B2192),Wheelchair Accessible Alternative (WC),7
2017-2018,LEESEL TRANSPORTATION CORP (B2192),Mini-Wagon,378
2017-2018,LEESEL TRANSPORTATION CORP (B2192),Type A or B Flex Vehicle,1
2017-2018,LEESEL TRANSPORTATION CORP (B2192),Wheelchair Accessible Alternative (WC),10
2017-2018,E-Z BUS LLC (B2321),Non-Wheelchair Accessible Alternative (NWC),10
2017-2018,LEESEL TRANSPORTATION CORP (B2192),Standard Bus (GE),1
2017-2018,PENNY TRANSPORTATION,Non-Wheelchair Accessible Alternative (NWC),1
2017-2018,L & M BUS CORP.,Standard Bus (SE),1
2017-2018,SMART PICK INC,Standard Bus (GE),18
2017-2018,SMART PICK INC,Standard Bus (SE),2
2017-2018,EMPIRE CHARTER SERVICE INC,Standard Bus (SE),55
2017-2018,EMPIRE STATE BUS CORP.,Mini-Wagon,9
2017-2018,FORTUNA BUS COMPANY,Standard Bus (SE),2
2017-2018,EMPIRE STATE BUS CORP.,Standard Bus (GE),4
2017-2018,EMPIRE STATE BUS CORP.,Standard Bus (SE),14
2017-2018,"FIRST STEPS TRANS, INC",Mini-Wagon,17
2017-2018,"FIRST STEPS TRANS, INC",Type A or B Flex Vehicle,1
2017-2018,FORTUNA BUS COMPANY,Mini-Wagon,37
2017-2018,FORTUNA BUS COMPANY,Wheelchair Accessible Alternative (WC),2
2017-2018,G.V.C. LTD. (B2192),Mini-Wagon,132
2017-2018,G.V.C. LTD. (B2192),Type A or B Flex Vehicle,13
2017-2018,"G.V.C., LTD.",Hydraulic Lift,6
2017-2018,"G.V.C., LTD.",Mini-Wagon,48
2017-2018,"G.V.C., LTD.",Ramp-Wagon,3
2017-2018,"G.V.C., LTD.",Standard Bus (GE),10
2017-2018,"G.V.C., LTD.",Type A or B Flex Vehicle,1
2017-2018,"GRANDPA`S BUS CO., INC.",Mini-Wagon,19
2017-2018,"GRANDPA`S BUS CO., INC.",Standard Bus (GE),274
2017-2018,"GRANDPA`S BUS CO., INC.",Standard Bus (SE),25
2017-2018,HAPPY CHILD TRANS LLC (B2192),Standard Bus (GE),4
2017-2018,HAPPY CHILD TRANS LLC (B2192),Standard Bus (SE),20
2017-2018,HAPPY CHILD TRANS LLC (B2192),Type A or B Flex Vehicle,82
2017-2018,HAPPY DAY TRANSIT,Mini-Wagon,56
2017-2018,HOYT TRANSPORTATION CORP.,Mini-Wagon,120
2017-2018,HOYT TRANSPORTATION CORP.,Ramp-Wagon,93
2017-2018,HOYT TRANSPORTATION CORP.,Type A or B Flex Vehicle,24
2017-2018,I & Y TRANSIT CORP,Mini-Wagon,10
2017-2018,IC BUS INC. (PRE-K),Hydraulic Lift,4
2017-2018,IC BUS INC. (PRE-K),Mini-Wagon,49
2017-2018,IC BUS INC. (PRE-K),Ramp-Wagon,5
2017-2018,IC BUS INC.,Mini-Wagon,76
2017-2018,JOFAZ TRANSPORTATION INC.,Mini-Wagon,62
2017-2018,JOFAZ TRANSPORTATION INC.,Standard Bus (GE),252
2017-2018,JOFAZ TRANSPORTATION INC.,Standard Bus (SE),43
2017-2018,L & M BUS CORP (A),Hydraulic Lift,14
2017-2018,L & M BUS CORP (A),Standard Bus (SE),5
2017-2018,L & M BUS CORP. (B2192),Standard Bus (SE),66
2017-2018,L & M BUS CORP. (B2321),Hydraulic Lift,11
2017-2018,L & M BUS CORP.,Mini-Wagon,180
2017-2018,L & M BUS CORP.,Ramp-Wagon,15
2017-2018,L & M BUS CORP.,Standard Bus (GE),9
2017-2018,L & M BUS CORP.,Type A or B Flex Vehicle,12
2017-2018,"LITTLE LINDA BUS CO.,INC.",Mini-Wagon,15
2017-2018,LITTLE LISA BUS CO. INC.,Mini-Wagon,127
2017-2018,LITTLE RICHIE BUS SERVICE,Mini-Wagon,563
2017-2018,LITTLE RICHIE BUS SERVICE,Standard Bus (GE),2
2017-2018,LOGAN BUS COMPANY INC.,Mini-Wagon,346
2017-2018,LOGAN BUS COMPANY INC.,Standard Bus (GE),42
2017-2018,LOGAN BUS COMPANY INC.,Standard Bus (SE),17
2017-2018,LOGAN TRANSPORTATION SYSTEMS,Standard Bus (GE),41
2017-2018,LOGAN TRANSPORTATION SYSTEMS,Standard Bus (SE),3
2017-2018,"LORINDA ENTERPRISES, LTD.",Mini-Wagon,249
2017-2018,"LORINDA ENTERPRISES, LTD.",Standard Bus (GE),10
2017-2018,"LORINDA ENTERPRISES, LTD.",Standard Bus (SE),24
2017-2018,LORISSA BUS SERVICE INC.,Standard Bus (GE),119
2017-2018,LORISSA BUS SERVICE INC.,Standard Bus (SE),21
2017-2018,MAR-CAN TRANSPORT CO. INC (B2192),Mini-Wagon,254
2017-2018,MAR-CAN TRANSPORT CO. INC (B2192),Standard Bus (SE),1
2017-2018,"MJT BUS COMPANY, INC",Mini-Wagon,6
2017-2018,MUTUAL BUS CORP. (B2192),Non-Wheelchair Accessible Alternative (NWC),9
2017-2018,MUTUAL BUS CORP. (B2192),Type C or D Flex,6
2017-2018,MUTUAL BUS CORP. (B2321),Type A or B Flex Vehicle,19
2017-2018,"MV TRANSPORTATION, INC.",Mini-Wagon,1
2017-2018,"MV TRANSPORTATION, INC.",Standard Bus (GE),12
2017-2018,"MV TRANSPORTATION, INC.",Standard Bus (SE),7
2017-2018,"NEW DAWN TRANSIT, LLC (B2321)",Standard Bus (GE),5
2017-2018,"NEW DAWN TRANSIT, LLC (B2321)",Standard Bus (SE),184
2017-2018,"NEW DAWN TRANSIT, LLC (B2321)",Type A or B Flex Vehicle,4
2017-2018,PENNY TRANSPORTATION,Mini-Wagon,20
2017-2018,PENNY TRANSPORTATION,Ramp-Wagon,7
2017-2018,PENNY TRANSPORTATION,Standard Bus (GE),28
2017-2018,PENNY TRANSPORTATION,Standard Bus (SE),14
2017-2018,PHILLIP BUS CORP (B2192),Mini-Wagon,1
2017-2018,PHILLIP BUS CORP (B2192),Non-Wheelchair Accessible Alternative (NWC),39
2017-2018,PHILLIPS BUS SERVICE,Hydraulic Lift,7
2017-2018,PHILLIPS BUS SERVICE,Mini-Wagon,46
2017-2018,PIONEER TRANSPORTATION CORP,Mini-Wagon,59
2017-2018,PIONEER TRANSPORTATION CORP,Ramp-Wagon,23
2017-2018,PIONEER TRANSPORTATION CORP,Standard Bus (GE),574
2017-2018,PIONEER TRANSPORTATION CORP,Standard Bus (SE),171
2017-2018,PRIDE TRANSPORTATION (SCH AGE),Hydraulic Lift,16
2017-2018,PRIDE TRANSPORTATION (SCH AGE),Mini-Wagon,99
2017-2018,PRIDE TRANSPORTATION (SCH AGE),Ramp-Wagon,1
2017-2018,PRIDE TRANSPORTATION (SCH AGE),Standard Bus (GE),13
2017-2018,PRIDE TRANSPORTATION (SCH AGE),Standard Bus (SE),33
2017-2018,QUALITY TRANSPORTATION CORP.,Standard Bus (GE),134
2017-2018,QUALITY TRANSPORTATION CORP.,Standard Bus (SE),116
2017-2018,"R & C TRANSIT, INC. (B2321)",Mini-Wagon,5
2017-2018,"RELIANT TRANSPORTATION, INC (B2321)",Mini-Wagon,784
2017-2018,"RELIANT TRANSPORTATION, INC (B2321)",Ramp-Wagon,1
2017-2018,"RELIANT TRANSPORTATION, INC (B2321)",Standard Bus (GE),1
2017-2018,"RELIANT TRANSPORTATION, INC (B2321)",Standard Bus (SE),192
2017-2018,"RELIANT TRANSPORTATION, INC (B2321)",Type A or B Flex Vehicle,18
2017-2018,RICHMOND COUNTY AMBULANCE SERV,Ambulance Transportation Service,50
2017-2018,ROYAL EXPRESS LINE CORP.,Mini-Wagon,16
2017-2018,ROYAL EXPRESS LINE CORP.,Standard Bus (SE),1
2017-2018,SAFE COACH INC. (B2321),Mini-Wagon,67
2017-2018,SELBY TRANSPORTATION CORP (B2192),Wheelchair Accessible Alternative (WC),3
2017-2018,SELBY TRANSPORTATION,Mini-Wagon,36
2017-2018,SELBY TRANSPORTATION,Ramp-Wagon,1
2017-2018,SELBY TRANSPORTATION,Standard Bus (GE),1
2017-2018,SELBY TRANSPORTATION,Standard Bus (SE),2
2017-2018,SELBY TRANSPORTATION,Type A or B Flex Vehicle,1
2017-2018,SELBY TRANSPORTATION,Wheelchair Accessible Alternative (WC),2
2017-2018,SMART PICK INC,Mini-Wagon,21
2017-2018,SMART PICK INC,Ramp-Wagon,1
2017-2018,SNT BUS INC,Mini-Wagon,1
2017-2018,SNT BUS INC,Standard Bus (GE),462
2017-2018,SNT BUS INC,Standard Bus (SE),24
2017-2018,"SUBURBAN TRAILS, INC",Motor Coach Bus,47
2017-2018,"THIRD AVENUE TRANSIT, INC",Standard Bus (GE),1
2017-2018,"THIRD AVENUE TRANSIT, INC",Standard Bus (SE),13
2017-2018,THOMAS BUSES INC (B2192),Type A or B Flex Vehicle,24
2017-2018,"THOMAS BUSES, INC. (B2321)",Mini-Wagon,17
2017-2018,"THOMAS BUSES, INC. (B2321)",Non-Wheelchair Accessible Alternative (NWC),39
2017-2018,"THOMAS BUSES, INC. (B2321)",Standard Bus (SE),1
2017-2018,"THOMAS BUSES, INC.",Mini-Wagon,16
2017-2018,"THOMAS BUSES, INC.",Standard Bus (GE),2
2017-2018,TWENTY FIRST AV TRANSP (B2192),Mini-Wagon,148
2017-2018,VAN TRANS LLC (B2192),Mini-Wagon,29
2017-2018,VAN TRANS LLC (B2192),Non-Wheelchair Accessible Alternative (NWC),32
2017-2018,VAN TRANS LLC (B2192),Standard Bus (SE),107
2017-2018,VAN TRANS LLC (B2192),Type A or B Flex Vehicle,34
2017-2018,VAN TRANS LLC (B2192),Wheelchair Accessible Alternative (WC),2
2017-2018,VINNY`S BUS SERVICES (B2321),Mini-Wagon,58
2017-2018,Y & M TRANSIT CORP (B2192),Mini-Wagon,312
2017-2018,Y & M TRANSIT CORP (B2321),Mini-Wagon,17
2018-2019,ROYAL EXPRESS LINE CORP.,Standard Bus (SE),1
2018-2019,"B & F SKILLED, INC.",Standard Bus (GE),3
2018-2019,"B & F SKILLED, INC.",Standard Bus (SE),2
2018-2019,"B & F SKILLED, INC.",Type A or B Flex Vehicle,1
2018-2019,BOBBY`S BUS CO. INC.,Mini-Wagon,29
2018-2019,BOBBY`S BUS CO. INC.,Standard Bus (GE),149
2018-2019,BOBBY`S BUS CO. INC.,Standard Bus (SE),2
2019-2020,B & F SKILLED INC.(B2192),Ramp-Wagon,1
2019-2020,B & F SKILLED INC.(B2192),Standard Bus (GE),1
2019-2020,B & F SKILLED INC.(B2192),Standard Bus (SE),1
2019-2020,B & F SKILLED INC.(B2192),Type A or B Flex Vehicle,2
2019-2020,B & F SKILLED INC.(B2192),Wheelchair Accessible Alternative (WC),23
2019-2020,"B & F SKILLED, INC.",Mini-Wagon,1
2019-2020,"B & F SKILLED, INC.",Standard Bus (GE),2
2019-2020,"B & F SKILLED, INC.",Type A or B Flex Vehicle,1
2019-2020,BOBBY`S BUS CO. INC.,Mini-Wagon,10
2018-2019,ALINA SERVICES CORP.,Mini-Wagon,71
2018-2019,ALINA SERVICES CORP.,Ramp-Wagon,1
2018-2019,ALINA SERVICES CORP.,Standard Bus (SE),5
2018-2019,ALL AMERICAN SCHOOL BUS CORP.,Mini-Wagon,34
2018-2019,ALL AMERICAN SCHOOL BUS CORP.,Ramp-Wagon,87
2018-2019,ALL AMERICAN SCHOOL BUS CORP.,Standard Bus (GE),75
2018-2019,ALL AMERICAN SCHOOL BUS CORP.,Standard Bus (SE),43
2018-2019,LORISSA BUS SERVICE INC.,Mini-Wagon,1
2018-2019,"MJT BUS COMPANY, INC",Mini-Wagon,6
2018-2019,"MV TRANSPORTATION, INC.",Mini-Wagon,1
2018-2019,"MV TRANSPORTATION, INC.",Standard Bus (GE),12
2018-2019,"MV TRANSPORTATION, INC.",Standard Bus (SE),7
2018-2019,ALL AMERICAN SCHOOL BUS CORP.,Type A or B Flex Vehicle,4
2018-2019,ALL COUNTY BUS LLC (B2321),Mini-Wagon,88
2018-2019,ALL COUNTY BUS LLC (B2321),Standard Bus (SE),1
2018-2019,ALLIED TRANSIT CORP.,Mini-Wagon,18
2018-2019,ALLIED TRANSIT CORP.,Standard Bus (GE),54
2018-2019,ALLIED TRANSIT CORP.,Standard Bus (SE),45
2018-2019,ANOTHER RIDE INC.,Mini-Wagon,10
2018-2019,B & F SKILLED INC.(B2192),Mini-Wagon,31
2018-2019,B & F SKILLED INC.(B2192),Ramp-Wagon,1
2019-2020,BOBBY`S BUS CO. INC.,Standard Bus (GE),158
2019-2020,ALL COUNTY BUS LLC (B2321),Standard Bus (SE),1
2019-2020,"BORO TRANSIT, INC.",Hydraulic Lift,39
2019-2020,"BORO TRANSIT, INC.",Mini-Wagon,85
2019-2020,"BORO TRANSIT, INC.",Ramp-Wagon,76
2018-2019,SAFE COACH INC. (B2321),Standard Bus (SE),1
2019-2020,"BORO TRANSIT, INC.",Standard Bus (GE),209
2019-2020,"BORO TRANSIT, INC.",Standard Bus (SE),215
2019-2020,"B & F SKILLED, INC.",Standard Bus (SE),1
2019-2020,"BORO TRANSIT, INC.",Type A or B Flex Vehicle,103
2019-2020,"B & F SKILLED, INC.",Wheelchair Accessible Alternative (WC),1
2019-2020,CAREFUL BUS SERVICE INC (B2192),Type C or D Flex,13
2019-2020,CAREFUL BUS,Hydraulic Lift,15
2019-2020,BOBBY`S BUS CO. INC.,Standard Bus (SE),5
2019-2020,CAREFUL BUS,Mini-Wagon,100
2019-2020,CAREFUL BUS,Type C or D Flex,1
2019-2020,CHILDREN`S TRANS INC. (B2321),Mini-Wagon,2
2019-2020,CHILDREN`S TRANS INC. (B2321),Non-Wheelchair Accessible Alternative (NWC),11
2019-2020,CHILDREN`S TRANS INC. (B2321),Type A or B Flex Vehicle,1
2019-2020,CHILDREN`S TRANS INC. (B2321),Wheelchair Accessible Alternative (WC),1
2019-2020,"CONSOLIDATED BUS TRANSIT, INC.",Hydraulic Lift,41
2019-2020,"CONSOLIDATED BUS TRANSIT, INC.",Mini-Wagon,69
2019-2020,"CONSOLIDATED BUS TRANSIT, INC.",Ramp-Wagon,2
2019-2020,"CONSOLIDATED BUS TRANSIT, INC.",Standard Bus (GE),10
