Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Survey Date,Survey Type,Deficiency Prefix,Deficiency Category,Deficiency Description,Deficiency Tag Number,Scope Severity Code,Deficiency Corrected,Correction Date,Inspection Cycle,Standard Deficiency,Complaint Deficiency,Location,Processing Date
045394,RECTOR NURSING AND REHAB,1023 HIGHWAY 119,RECTOR,AR,72461,07/19/2018,Health,F,Quality of Life and Care Deficiencies,Provide safe and appropriate respiratory care for a resident when needed.,0695,D,"Deficient, Provider has date of correction",08/18/2018,2,Y,false,,04/01/2020
045401,WHITE RIVER HEALTHCARE,1569 AR HIGHWAY 56,CALICO ROCK,AR,72519,01/12/2018,Health,F,Nursing and Physician Services Deficiencies,Ensure that nurses and nurse aides have the appropriate competencies to care for every resident in a way that maximizes each resident's well being.,0726,E,"Deficient, Provider has date of correction",02/11/2018,3,Y,false,,04/01/2020
045413,METHODIST HEALTH AND REHAB,7425 EUPER LANE,FORT SMITH,AR,72903,09/28/2018,Health,F,Pharmacy Service Deficiencies,Ensure medication error rates are not 5 percent or greater.,0759,E,"Deficient, Provider has date of correction",10/28/2018,2,Y,false,"7425 EUPER LANE FORT SMITH, AR 72903 (35.362905, -94.350061)",04/01/2020
045418,OAKDALE NURSING FACILITY,101 CYNTHIA STREET,JUDSONIA,AR,72081,02/01/2019,Health,F,Quality of Life and Care Deficiencies,Ensure that a nursing home area is free from accident hazards and provides adequate supervision to prevent accidents.,0689,D,"Deficient, Provider has date of correction",03/01/2019,2,Y,false,"101 CYNTHIA STREET JUDSONIA, AR 72081 (35.26867, -91.665225)",04/01/2020
045419,"ASHTON PLACE HEALTH AND REHAB, LLC",318 STROZIER LANE,BARLING,AR,72923,12/06/2019,Health,F,Quality of Life and Care Deficiencies,Provide safe and appropriate respiratory care for a resident when needed.,0695,D,"Deficient, Provider has date of correction",01/06/2020,1,Y,false,"318 STROZIER LANE BARLING, AR 72923 (35.32769, -94.3145)",04/01/2020
045428,EDGEWOOD HEALTH AND REHAB,1393 E DON TYSON PARKWAY,SPRINGDALE,AR,72764,12/06/2018,Health,F,Quality of Life and Care Deficiencies,Provide appropriate pressure ulcer care and prevent new ulcers from developing.,0686,E,"Deficient, Provider has date of correction",01/05/2019,2,N,true,"1393 E DON TYSON PARKWAY SPRINGDALE, AR 72764 (36.152349, -94.116154)",04/01/2020
045437,"STONEGATE VILLA HEALTH AND REHABILITATION, LLC",118 JERRY SELBY DRIVE,CROSSETT,AR,71635,07/26/2019,Health,F,Resident Assessment and Care Planning Deficiencies,PASARR screening for Mental disorders or Intellectual Disabilities,0645,D,"Deficient, Provider has date of correction",08/25/2019,1,Y,false,"118 JERRY SELBY DRIVE CROSSETT, AR 71635 (33.139932, -91.939036)",04/01/2020
045438,TRINITY VILLAGE MEDICAL CENTER,6400 TRINITY DRIVE,PINE BLUFF,AR,71603,10/02/2019,Health,F,Quality of Life and Care Deficiencies,Provide safe and appropriate respiratory care for a resident when needed.,0695,E,"Deficient, Provider has date of correction",10/31/2019,1,Y,true,"6400 TRINITY DRIVE PINE BLUFF, AR 71603 (34.164598, -92.028617)",04/01/2020
045439,GOSNELL HEALTH AND REHAB,700 MOODY STREET,GOSNELL,AR,72315,10/04/2019,Health,F,Resident Rights Deficiencies,Reasonably accommodate the needs and preferences of each resident.,0558,E,"Deficient, Provider has date of correction",10/25/2019,1,Y,true,"700 MOODY STREET GOSNELL, AR 72315 (35.963208, -89.973822)",04/01/2020
045441,HILLCREST HOME,1111 MAPLEWOOD RD,HARRISON,AR,72601,02/03/2017,Health,F,Environmental Deficiencies,Ensure that a nursing home area is free from accident hazards and provide adequate supervision to prevent avoidable accidents.,0323,J,"Deficient, Provider has date of correction",03/01/2017,3,Y,false,"1111 MAPLEWOOD RD HARRISON, AR 72601 (36.241516, -93.103821)",04/01/2020
045443,RANDOLPH COUNTY NURSING HOME,500 CAMP ROAD,POCAHONTAS,AR,72455,10/26/2018,Health,F,Nutrition and Dietary Deficiencies,"Procure food from sources approved or considered satisfactory and store, prepare, distribute and serve food in accordance with professional standards.",0812,F,"Deficient, Provider has date of correction",11/12/2018,2,Y,false,,04/01/2020
045450,MIDTOWN POST ACUTE AND REHABILITATION - A WATERS C,5720 WEST MARKHAM STREET,LITTLE ROCK,AR,72205,06/27/2019,Health,F,Nursing and Physician Services Deficiencies,Post nurse staffing information every day.,0732,C,"Deficient, Provider has date of correction",06/27/2019,1,Y,false,"5720 WEST MARKHAM STREET LITTLE ROCK, AR 72205 (34.752024, -92.338409)",04/01/2020
045451,COMMUNITY COMPASSION CENTER OF YELLVILLE,620 NORTH PANTHER AVENUE,YELLVILLE,AR,72687,05/04/2018,Health,F,Nutrition and Dietary Deficiencies,"Ensure food and drink is palatable, attractive, and at a safe and appetizing temperature.",0804,E,"Deficient, Provider has date of correction",05/24/2018,2,N,true,"620 NORTH PANTHER AVENUE YELLVILLE, AR 72687 (36.230713, -92.686173)",04/01/2020
045456,PINK BUD HOME FOR THE GOLDEN YEARS,400 SO COKER,GREENWOOD,AR,72936,02/07/2018,Health,F,Resident Rights Deficiencies,Keep residents' personal and medical records private and confidential.,0583,E,"Deficient, Provider has date of correction",03/04/2018,2,Y,false,,04/01/2020
045459,HAPPY VALLEY NURSING & REHABILITATION,955 DIVISION STREET,MALVERN,AR,72104,09/22/2017,Health,F,Environmental Deficiencies,Provide housekeeping and maintenance services.,0253,E,"Deficient, Provider has date of correction",10/21/2017,3,N,true,"955 DIVISION STREET MALVERN, AR 72104 (34.377247, -92.814753)",04/01/2020
04A293,ARKANSAS HEALTH CENTER,6701 HWY 67,BENTON,AR,72015,02/14/2020,Health,F,Environmental Deficiencies,Provide and implement an infection prevention and control program.,0880,E,"Deficient, Provider has date of correction",03/11/2020,1,Y,false,,04/01/2020
04A293,ARKANSAS HEALTH CENTER,6701 HWY 67,BENTON,AR,72015,02/04/2019,Health,F,Resident Rights Deficiencies,"Provide timely notification to the resident, and if applicable to the resident representative and ombudsman, before transfer or discharge, including appeal rights.",0623,E,"Deficient, Provider has date of correction",02/28/2019,2,Y,false,,04/01/2020
055013,EISENBERG VILLAGE,18855 VICTORY BL,RESEDA,CA,91335,08/09/2019,Health,F,Quality of Life and Care Deficiencies,Provide safe and appropriate respiratory care for a resident when needed.,0695,D,"Deficient, Provider has date of correction",09/06/2019,1,Y,false,"18855 VICTORY RESEDA, CA 91335 (34.186602, -118.543754)",04/01/2020
055014,FAIRFIELD POST-ACUTE REHAB,1255 TRAVIS BLVD,FAIRFIELD,CA,94533,05/26/2017,Health,F,Administration Deficiencies,"Train all employees on what to do in an emergency, and carry out unannounced staff drills.",0518,E,"Deficient, Provider has date of correction",07/13/2017,3,Y,false,"1255 TRAVIS BLVD FAIRFIELD, CA 94533 (38.258142, -122.048664)",04/01/2020
055017,"HEARTS & HANDS, POST ACUTE CARE & REHAB CENTER",2990 SOQUEL AVENUE,SANTA CRUZ,CA,95062,02/01/2019,Health,F,Resident Assessment and Care Planning Deficiencies,Ensure services provided by the nursing facility meet professional standards of quality.,0658,D,"Deficient, Provider has date of correction",02/14/2019,2,N,true,"2990 SOQUEL AVENUE SANTA CRUZ, CA 95062 (36.98634, -121.984521)",04/01/2020
055041,ROYAL CARE SKILLED NURSING CTR,2725 PACIFIC AVENUE,LONG BEACH,CA,90806,10/11/2019,Health,F,Resident Rights Deficiencies,Reasonably accommodate the needs and preferences of each resident.,0558,D,"Deficient, Provider has date of correction",11/12/2019,1,Y,false,"2725 PACIFIC AVENUE LONG BEACH, CA 90806 (33.806626, -118.19373)",04/01/2020
055042,ALTA VISTA HEALTHCARE & WELLNESS CENTRE,9020 GARFIELD STREET,RIVERSIDE,CA,92503,09/27/2018,Health,F,Quality of Life and Care Deficiencies,Provide activities to meet all resident's needs.,0679,D,"Deficient, Provider has date of correction",11/02/2018,2,Y,false,"9020 GARFIELD STREET RIVERSIDE, CA 92503 (33.928554, -117.440269)",04/01/2020
055045,RIVIERA HEALTHCARE CENTER,8203 TELEGRAPH RD,PICO RIVERA,CA,90660,04/17/2018,Health,F,Quality of Life and Care Deficiencies,Provide or obtain dental services for each resident.,0791,D,"Deficient, Provider has date of correction",05/09/2018,2,Y,false,"8203 TELEGRAPH RD PICO RIVERA, CA 90660 (33.967002, -118.115749)",04/01/2020
055052,CALIFORNIA POST-ACUTE CARE,3615 E. IMPERIAL HIWY,LYNWOOD,CA,90262,09/23/2019,Health,F,Resident Assessment and Care Planning Deficiencies,Create and put into place a plan for meeting the resident's most immediate needs within 48 hours of being admitted,0655,E,"Deficient, Provider has date of correction",11/05/2019,1,Y,false,"3615 E IMPERIAL HIWY LYNWOOD, CA 90262 (33.930954, -118.203977)",04/01/2020
055052,CALIFORNIA POST-ACUTE CARE,3615 E. IMPERIAL HIWY,LYNWOOD,CA,90262,04/25/2018,Health,F,Resident Assessment and Care Planning Deficiencies,Ensure each resident receives an accurate assessment.,0641,D,"Deficient, Provider has date of correction",04/26/2018,2,N,true,"3615 E IMPERIAL HIWY LYNWOOD, CA 90262 (33.930954, -118.203977)",04/01/2020
055052,CALIFORNIA POST-ACUTE CARE,3615 E. IMPERIAL HIWY,LYNWOOD,CA,90262,09/13/2018,Health,F,Quality of Life and Care Deficiencies,Provide activities to meet all resident's needs.,0679,D,"Deficient, Provider has date of correction",10/16/2018,2,Y,false,"3615 E IMPERIAL HIWY LYNWOOD, CA 90262 (33.930954, -118.203977)",04/01/2020
055056,"PINE GROVE HEALTHCARE & WELLNESS CENTRE, LP",126 N. SAN GABRIEL BLVD.,SAN GABRIEL,CA,91775,10/29/2017,Health,F,Administration Deficiencies,"Train all employees on what to do in an emergency, and carry out unannounced staff drills.",0518,E,"Deficient, Provider has date of correction",01/08/2018,3,Y,false,"126 N SAN GABRIEL BLVD SAN GABRIEL, CA 91775 (34.104515, -118.091026)",04/01/2020
055060,COUNTRY VILLA WESTWOOD,12121 SANTA MONICA BOULEVARD,LOS ANGELES,CA,90025,02/12/2019,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",Respond appropriately to all alleged violations.,0610,D,"Deficient, Provider has date of correction",03/12/2019,2,Y,true,"12121 SANTA MONICA BOULEVARD LOS ANGELES, CA 90025 (34.040254, -118.464068)",04/01/2020
055064,COTTONWOOD CANYON HEALTHCARE CENTER,1391 MADISON AVENUE,EL CAJON,CA,92021,04/23/2019,Health,F,Environmental Deficiencies,Provide and implement an infection prevention and control program.,0880,D,"Deficient, Provider has date of correction",05/23/2019,1,N,true,"1391 MADISON AVENUE EL CAJON, CA 92021 (32.800188, -116.931981)",04/01/2020
055072,ROSECRANS CARE CENTER,1140 WEST ROSECRANS AVENUE,GARDENA,CA,90247,06/10/2017,Health,F,Environmental Deficiencies,Provide housekeeping and maintenance services.,0253,E,"Deficient, Provider has date of correction",06/22/2017,3,N,true,"1140 WEST ROSECRANS AVENUE GARDENA, CA 90247 (33.901896, -118.295059)",04/01/2020
055078,PARKWAY HILLS NURSING & REHABILITATION,7760 PARKWAY DRIVE,LA MESA,CA,91942,11/08/2018,Health,F,Environmental Deficiencies,Provide rooms that are at least 80 square feet per resident in multiple rooms and 100 square feet for single resident rooms.,0912,B,"Deficient, Provider has date of correction",01/07/2019,2,Y,false,"7760 PARKWAY DRIVE LA MESA, CA 91942 (32.774201, -117.029481)",04/01/2020
055079,MISSION VIEW HEALTH CENTER,1425 WOODSIDE DR,SAN LUIS OBISPO,CA,93401,10/24/2019,Health,F,Pharmacy Service Deficiencies,Ensure that residents are free from significant medication errors.,0760,D,"Deficient, Provider has date of correction",11/14/2019,1,N,true,"1425 WOODSIDE DR SAN LUIS OBISPO, CA 93401 (35.265538, -120.638925)",04/01/2020
055079,MISSION VIEW HEALTH CENTER,1425 WOODSIDE DR,SAN LUIS OBISPO,CA,93401,07/13/2017,Health,F,Environmental Deficiencies,Dispose of garbage and refuse properly.,0372,D,"Deficient, Provider has date of correction",08/02/2017,3,Y,false,"1425 WOODSIDE DR SAN LUIS OBISPO, CA 93401 (35.265538, -120.638925)",04/01/2020
055084,CENTRAL VALLEY POST ACUTE,2649 TOPEKA STREET,RIVERBANK,CA,95367,09/11/2019,Health,F,Quality of Life and Care Deficiencies,Provide routine and 24-hour emergency dental care for each resident.,0790,D,"Deficient, Provider has date of correction",11/05/2019,1,Y,false,"2649 TOPEKA STREET RIVERBANK, CA 95367 (37.736998, -120.948359)",04/01/2020
055085,MORAGA POST ACUTE,348 RHEEM BOULEVARD,MORAGA,CA,94556,09/12/2018,Health,F,Resident Rights Deficiencies,Reasonably accommodate the needs and preferences of each resident.,0558,D,"Deficient, Provider has date of correction",10/12/2018,2,Y,false,"348 RHEEM BOULEVARD MORAGA, CA 94556 (37.861435, -122.128585)",04/01/2020
055093,SOUTH MARIN HEALTH & WELLNESS CENTER,1220 SOUTH ELISEO DRIVE,GREENBRAE,CA,94904,05/31/2018,Health,F,Environmental Deficiencies,Provide and implement an infection prevention and control program.,0880,F,"Deficient, Provider has date of correction",07/30/2018,2,Y,false,"1220 SOUTH ELISEO DRIVE GREENBRAE, CA 94904 (37.944028, -122.535799)",04/01/2020
055104,SUNSET MANOR CONV HOSP,2720 NEVADA AVENUE,EL MONTE,CA,91733,07/11/2017,Health,F,Environmental Deficiencies,Provide bedrooms that hold no more than 4 residents per room.,0457,B,Waiver has been granted,08/01/2017,3,Y,false,"2720 NEVADA AVENUE EL MONTE, CA 91733 (34.061096, -118.036817)",04/01/2020
055105,ROYAL VISTA CARE CENTER,909 W. SANTA ANITA AVE,SAN GABRIEL,CA,91776,02/27/2018,Health,F,Pharmacy Service Deficiencies,Ensure each resident�s drug regimen must be free from unnecessary drugs.,0757,D,"Deficient, Provider has date of correction",03/28/2018,3,Y,false,"909 W SANTA ANITA AVE SAN GABRIEL, CA 91776 (34.094629, -118.112174)",04/01/2020
055109,DRIFTWOOD HEALTHCARE CENTER - SANTA CRUZ,675 24TH AVENUE,SANTA CRUZ,CA,95062,02/08/2018,Health,F,Quality of Life and Care Deficiencies,Assist a resident in gaining access to vision and hearing services.,0685,D,"Deficient, Provider has date of correction",03/10/2018,3,Y,false,"675 24TH AVENUE SANTA CRUZ, CA 95062 (36.964747, -121.979543)",04/01/2020
055115,HOLLENBECK PALMS,573 S. BOYLE AVE.,LOS ANGELES,CA,90033,04/21/2017,Health,F,Environmental Deficiencies,"Have a program that investigates, controls and keeps infection from spreading.",0441,D,"Deficient, Provider has date of correction",05/10/2017,3,Y,false,"573 S BOYLE AVE LOS ANGELES, CA 90033 (34.039891, -118.219835)",04/01/2020
055121,FLAGSHIP HEALTHCARE CENTER,466 FLAGSHIP ROAD,NEWPORT BEACH,CA,92663,08/22/2017,Health,F,Resident Assessment and Care Planning Deficiencies,"Develop a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",0279,D,"Deficient, Provider has date of correction",09/13/2017,3,N,true,"466 FLAGSHIP ROAD NEWPORT BEACH, CA 92663 (33.628337, -117.928651)",04/01/2020
055126,CHINO VALLEY HEALTH CARE CENTE,2351 S TOWNE AVENUE,POMONA,CA,91766,07/18/2019,Health,F,Resident Rights Deficiencies,Reasonably accommodate the needs and preferences of each resident.,0558,D,"Deficient, Provider has date of correction",08/14/2019,1,Y,false,"2351 S TOWNE AVENUE POMONA, CA 91766 (34.02855, -117.740342)",04/01/2020
055129,GRAND TERRACE CARE CENTER,12000 MT VERNON AVENUE,GRAND TERRACE,CA,92313,07/17/2018,Health,F,Resident Rights Deficiencies,Keep residents' personal and medical records private and confidential.,0583,D,"Deficient, Provider has date of correction",07/27/2018,2,N,true,"12000 MT VERNON AVENUE GRAND TERRACE, CA 92313 (34.03581, -117.313632)",04/01/2020
055135,MONTROSE HEALTHCARE CENTER,2123 VERDUGO BLVD.,MONTROSE,CA,91020,09/15/2019,Health,F,Quality of Life and Care Deficiencies,"Provide safe, appropriate dialysis care/services for a resident who requires such services.",0698,D,"Deficient, Provider has date of correction",10/08/2019,1,Y,false,"2123 VERDUGO BLVD MONTROSE, CA 91020 (34.204973, -118.224264)",04/01/2020
055136,BERKLEY WEST CONV HOSP,1623 ARIZONA AVENUE,SANTA MONICA,CA,90404,04/24/2019,Health,F,Resident Rights Deficiencies,Give residents notice of Medicaid/Medicare coverage and potential liability for services not covered.,0582,D,"Deficient, Provider has date of correction",05/17/2019,1,Y,false,"1623 ARIZONA AVENUE SANTA MONICA, CA 90404 (34.02751, -118.484692)",04/01/2020
055139,SANTA TERESITA MANOR,819 BUENA VISTA ST.,DUARTE,CA,91010,07/11/2019,Health,F,Environmental Deficiencies,Develop and implement policies and procedures for flu and pneumonia vaccinations.,0883,D,"Deficient, Provider has date of correction",08/05/2019,1,Y,false,"819 BUENA VISTA ST DUARTE, CA 91010 (34.14304, -117.977554)",04/01/2020
055139,SANTA TERESITA MANOR,819 BUENA VISTA ST.,DUARTE,CA,91010,08/07/2017,Health,F,Pharmacy Service Deficiencies,"Keep the rate of medication errors (wrong drug, wrong dose, wrong time) to less than 5%.",0332,E,"Deficient, Provider has date of correction",09/06/2017,3,Y,false,"819 BUENA VISTA ST DUARTE, CA 91010 (34.14304, -117.977554)",04/01/2020
055141,RAMONA NURSING & REHABILITATION CENTER,11900 RAMONA BOULEVARD,EL MONTE,CA,91732,02/11/2019,Health,F,Environmental Deficiencies,Implement a program that monitors antibiotic use.,0881,D,"Deficient, Provider has date of correction",03/26/2019,1,Y,false,"11900 RAMONA BOULEVARD EL MONTE, CA 91732 (34.074956, -118.015607)",04/01/2020
055142,MAGNOLIA GARDENS CONVALESCENT HOSPITAL,17922 SAN FERNANDO MISSION RD,GRANADA HILLS,CA,91344,04/19/2019,Health,F,Resident Rights Deficiencies,Reasonably accommodate the needs and preferences of each resident.,0558,D,"Deficient, Provider has date of correction",05/13/2019,1,Y,false,"17922 SAN FERNANDO MISSION RD GRANADA HILLS, CA 91344 (34.272159, -118.525031)",04/01/2020
366153,TERRACE VIEW GARDENS,3904 NORTH BEND ROAD,CINCINNATI,OH,45211,05/03/2018,Health,F,Quality of Life and Care Deficiencies,Provide or obtain dental services for each resident.,0791,D,"Deficient, Provider has date of correction",06/11/2018,2,Y,false,"3904 NORTH BEND ROAD CINCINNATI, OH 45211 (39.158321, -84.606109)",04/01/2020
055153,MONTEBELLO CARE CENTER,1035 W BEVERLY BLVD,MONTEBELLO,CA,90640,12/10/2018,Health,F,Quality of Life and Care Deficiencies,Provide safe and appropriate respiratory care for a resident when needed.,0695,D,"Deficient, Provider has date of correction",01/11/2019,2,Y,false,"1035 W BEVERLY BLVD MONTEBELLO, CA 90640 (34.017925, -118.109747)",04/01/2020
055153,MONTEBELLO CARE CENTER,1035 W BEVERLY BLVD,MONTEBELLO,CA,90640,11/18/2017,Health,F,Environmental Deficiencies,Keep all essential equipment working safely.,0456,D,"Deficient, Provider has date of correction",01/26/2018,3,Y,false,"1035 W BEVERLY BLVD MONTEBELLO, CA 90640 (34.017925, -118.109747)",04/01/2020
055160,COUNTRY VILLA PAVILION NURSING CENTER,5916 W. PICO BOULEVARD,LOS ANGELES,CA,90035,07/09/2018,Health,F,Environmental Deficiencies,Provide and implement an infection prevention and control program.,0880,D,"Deficient, Provider has date of correction",07/13/2018,2,N,true,"5916 W PICO BOULEVARD LOS ANGELES, CA 90035 (34.051809, -118.36828)",04/01/2020
055161,GARDEN CREST REHABILITATION CENTER,909 LUCILE AVE.,LOS ANGELES,CA,90026,07/11/2017,Health,F,Quality of Life and Care Deficiencies,Provide necessary care and services to maintain or improve the highest well being of each resident .,0309,D,"Deficient, Provider has date of correction",08/11/2017,3,Y,false,"909 LUCILE AVE LOS ANGELES, CA 90026 (34.08552, -118.282535)",04/01/2020
055181,SAN GABRIEL CONV CENTER,8035 E HILL DRIVE,ROSEMEAD,CA,91770,10/19/2018,Health,F,Nursing and Physician Services Deficiencies,Post nurse staffing information every day.,0732,B,"Deficient, Provider has date of correction",11/19/2018,2,Y,false,"8035 E HILL DRIVE ROSEMEAD, CA 91770 (34.045539, -118.092867)",04/01/2020
055182,LEMON GROVE CARE AND REHABILITATION CENTER,8351 BROADWAY,LEMON GROVE,CA,91945,08/19/2019,Health,F,Environmental Deficiencies,Keep all essential equipment working safely.,0908,E,"Deficient, Provider has date of correction",09/20/2019,1,Y,false,"8351 BROADWAY LEMON GROVE, CA 91945 (32.747035, -117.017628)",04/01/2020
055183,HERITAGE GARDENS HEALTH CARE CENTER,25271 BARTON ROAD,LOMA LINDA,CA,92354,07/12/2017,Health,F,Pharmacy Service Deficiencies,Ensure that residents are safe from serious medication errors.,0333,D,"Deficient, Provider has date of correction",07/27/2017,3,N,true,"25271 BARTON ROAD LOMA LINDA, CA 92354 (34.048277, -117.253494)",04/01/2020
366178,WIDOWS HOME OF DAYTON,50 SOUTH FINDLAY STREET,DAYTON,OH,45403,05/09/2018,Health,F,Resident Assessment and Care Planning Deficiencies,Ensure each resident receives an accurate assessment.,0641,D,"Deficient, Provider has date of correction",06/22/2018,2,Y,false,"50 SOUTH FINDLAY STREET DAYTON, OH 45403 (39.763591, -84.156804)",04/01/2020
055187,GARDEN VIEW POST- ACUTE REHABILITATION,14475 GARDEN VIEW LANE,BALDWIN PARK,CA,91706,11/18/2017,Health,F,Quality of Life and Care Deficiencies,Give residents proper treatment to prevent new bed (pressure) sores or heal existing bed sores.,0314,E,"Deficient, Provider has date of correction",12/18/2017,3,Y,false,"14475 GARDEN VIEW LANE BALDWIN PARK, CA 91706 (34.06862, -117.960438)",04/01/2020
055191,AVALON HEALTH CARE-MADERA,1700 HOWARD ROAD,MADERA,CA,93637,02/07/2020,Health,F,Resident Assessment and Care Planning Deficiencies,Ensure services provided by the nursing facility meet professional standards of quality.,0658,E,"Deficient, Provider has date of correction",03/11/2020,1,Y,false,"1700 HOWARD ROAD MADERA, CA 93637 (36.952727, -120.077746)",04/01/2020
055196,MARYCREST MANOR,10664 ST. JAMES DRIVE,CULVER CITY,CA,90230,10/31/2019,Health,F,Quality of Life and Care Deficiencies,Provide safe and appropriate respiratory care for a resident when needed.,0695,D,"Deficient, Provider has date of correction",12/03/2019,1,Y,false,"10664 ST JAMES DRIVE CULVER CITY, CA 90230 (33.999173, -118.383866)",04/01/2020
055201,GOLDEN LIVING CENTER - HY-PANA,4545 SHELLEY COURT,STOCKTON,CA,95207,03/03/2017,Health,F,Resident Rights Deficiencies,Reasonably accommodate the needs and preferences of each resident.,0246,D,"Deficient, Provider has date of correction",05/19/2017,3,Y,false,"4545 SHELLEY COURT STOCKTON, CA 95207 (37.993085, -121.303487)",04/01/2020
055206,COUNTRY VILLA PLAZA CONVALESCENT CENTER,1209 HEMLOCK WAY,SANTA ANA,CA,92707,03/28/2018,Health,F,Environmental Deficiencies,Provide and implement an infection prevention and control program.,0880,D,"Deficient, Provider has date of correction",04/28/2018,2,Y,false,"1209 HEMLOCK WAY SANTA ANA, CA 92707 (33.709809, -117.884208)",04/01/2020
055213,RIALTO POST ACUTE CENTER,1471 S RIVERSIDE AVE,RIALTO,CA,92376,01/27/2017,Health,F,Environmental Deficiencies,"Have a program that investigates, controls and keeps infection from spreading.",0441,E,"Deficient, Provider has date of correction",02/22/2017,3,Y,false,"1471 S RIVERSIDE AVE RIALTO, CA 92376 (34.074563, -117.370285)",04/01/2020
055223,SAN JACINTO HEALTHCARE,275 NORTH SAN JACINTO STREET,HEMET,CA,92543,07/26/2018,Health,F,Environmental Deficiencies,Provide and implement an infection prevention and control program.,0880,E,"Deficient, Provider has date of correction",08/22/2018,2,Y,false,"275 NORTH SAN JACINTO STREET HEMET, CA 92543 (33.750772, -116.958656)",04/01/2020
055247,COUNTRY OAKS CARE CENTER,215 W PEARL ST,POMONA,CA,91768,09/15/2017,Health,F,Environmental Deficiencies,Provide rooms that are at least 80 square feet per resident in multiple rooms and 100 square feet for single resident rooms.,0458,B,Waiver has been granted,10/03/2017,3,Y,false,"215 W PEARL ST POMONA, CA 91768 (34.064574, -117.752777)",04/01/2020
055252,"ORANGE HEALTHCARE & WELLNESS CENTRE, LLC",920 WEST LA VETA STREET,ORANGE,CA,92868,01/14/2020,Health,F,Resident Assessment and Care Planning Deficiencies,"Develop the complete care plan within 7 days of the comprehensive assessment; and prepared, reviewed, and revised by a team of health professionals.",0657,D,"Deficient, Provider has date of correction",03/03/2020,1,Y,false,"920 WEST LA VETA STREET ORANGE, CA 92868 (33.780341, -117.86238)",04/01/2020
055252,"ORANGE HEALTHCARE & WELLNESS CENTRE, LLC",920 WEST LA VETA STREET,ORANGE,CA,92868,02/28/2019,Health,F,Pharmacy Service Deficiencies,Ensure that residents are free from significant medication errors.,0760,D,"Deficient, Provider has date of correction",03/22/2019,2,N,true,"920 WEST LA VETA STREET ORANGE, CA 92868 (33.780341, -117.86238)",04/01/2020
055252,"ORANGE HEALTHCARE & WELLNESS CENTRE, LLC",920 WEST LA VETA STREET,ORANGE,CA,92868,01/30/2019,Health,F,Quality of Life and Care Deficiencies,Provide enough food/fluids to maintain a resident's health.,0692,D,"Deficient, Provider has date of correction",02/26/2019,2,Y,false,"920 WEST LA VETA STREET ORANGE, CA 92868 (33.780341, -117.86238)",04/01/2020
055255,CORONA HEALTH CARE CENTER,1400 CIRCLE CITY DRIVE,CORONA,CA,92879,02/01/2018,Health,F,Nutrition and Dietary Deficiencies,Dispose of garbage and refuse properly.,0814,E,"Deficient, Provider has date of correction",02/26/2018,3,Y,false,"1400 CIRCLE CITY DRIVE CORONA, CA 92879 (33.87169, -117.548948)",04/01/2020
055259,MONROVIA POST ACUTE,1220 E. HUNTINGTON DRIVE,DUARTE,CA,91010,09/15/2017,Health,F,Pharmacy Service Deficiencies,Maintain drug records and properly mark/label drugs and other similar products according to accepted professional standards.,0431,E,"Deficient, Provider has date of correction",10/12/2017,3,Y,false,"1220 E HUNTINGTON DRIVE DUARTE, CA 91010 (34.139542, -117.97883)",04/01/2020
055261,PILGRIM PLACE HEALTH SERVICES CENTER,721 HARRISON AVE,CLAREMONT,CA,91711,09/02/2017,Health,F,Resident Rights Deficiencies,Reasonably accommodate the needs and preferences of each resident.,0246,E,"Deficient, Provider has date of correction",10/03/2017,3,Y,false,"721 HARRISON AVE CLAREMONT, CA 91711 (34.098614, -117.726622)",04/01/2020
055261,PILGRIM PLACE HEALTH SERVICES CENTER,721 HARRISON AVE,CLAREMONT,CA,91711,09/02/2017,Health,F,Nutrition and Dietary Deficiencies,"Store, cook, and serve food in a safe and clean way.",0371,E,"Deficient, Provider has date of correction",10/03/2017,3,Y,false,"721 HARRISON AVE CLAREMONT, CA 91711 (34.098614, -117.726622)",04/01/2020
055262,LOMITA POST-ACUTE CARE CENTER,1955  LOMITA BLVD,LOMITA,CA,90717,10/14/2018,Health,F,Environmental Deficiencies,"Make sure that the nursing home area is safe, easy to use, clean and comfortable for residents, staff and the public.",0921,D,"Deficient, Provider has date of correction",11/08/2018,2,Y,false,"1955 LOMITA BLVD LOMITA, CA 90717 (33.799743, -118.313789)",04/01/2020
055282,POMONA VISTA CARE CENTER,651 N MAIN ST,POMONA,CA,91768,01/18/2019,Health,F,Environmental Deficiencies,Implement a program that monitors antibiotic use.,0881,E,"Deficient, Provider has date of correction",03/06/2019,2,Y,false,"651 N MAIN ST POMONA, CA 91768 (34.063977, -117.752197)",04/01/2020
055292,SHIELDS RICHMOND NURSING CENTER,1919 CUTTING BLVD,RICHMOND,CA,94804,05/30/2019,Health,F,Quality of Life and Care Deficiencies,Ensure that a nursing home area is free from accident hazards and provides adequate supervision to prevent accidents.,0689,D,"Deficient, Provider has date of correction",07/11/2019,1,N,true,"1919 CUTTING BLVD RICHMOND, CA 94804 (37.92519, -122.350839)",04/01/2020
