business name,address1,address2,city,state,zipcode,county,contact name,website,email,company profile,company description,location description,latlong
Chateauvert Farm,10049 Tucker Drive,,Mountain Grove,MO,65711,Texas,Paul Chateauvert,,chateauvertpaul1952@gmail.com,"Chateauvert Farm has been a farm since 1997. We started out growing a garden 50 ft by 50 ft where we raised organic vegetables. At the present time we grow 2 acres of vegetables, all organic and chemical free, and we have 3 high tunnels where we grow crops all year round. I am a beekeeper also.","During spring, we grow different varieties of vegetables like different types of tomatoes. We grow 3 different varieties of potatoes including Purple, Yukon, and Pontiac. We also grow broccoli, cauliflower, yellow squash, zucchini, corn, cucumber, pok choy, spinach, kale, pepper and eggplant. We do have non-GMO pasture range eggs from our chickens and raw honey.","You can visit Chateauvert Farm from 8 a.m. until 5 p.m. open any day. We do 2 farmers’ markets. One in West Plains Area Farmers’ Market open 8 a.m. to 2 p.m. Wednesday and Saturday.<br><br>During winter, West Plains Area Farmers’ Market is open only Saturday from 9 a.m. until 1 p.m.<br><br>The second, the market in Ava Missouri on the square starts first week of April until the end of October. The market times are 7 a.m. to 12 noon.","(37.16593, -92.2454)"
Monett Area Farmers Market sponsored by Tyson Foods,490 East Front Street,,Monett,MO,65708,Barry,Jeff Meredith,https://www.facebook.com/MonettFarmersMarket/?epa=SEARCH_BOX,jeff@monett-mo.com,"April- October, Saturday 8:00 a.m.- 12:00 p.m.<br><br>The Monett Area Farmers Market is located at 504 Front Street in Monett, MO. The hours are Saturday 8-12, April 28-October 31st. The market is proud to be a producer-only market, which means all agricultural products sold at the market are grown within a 75 mile radius.","For additional information about products available at the Monett Area Farmers&#39; Market, visit our Facebook page or contact the market manager directly.","The Monett Area Farmers Market is located at 504 Front Street in Monett, MO. The hours are Saturday 8-12, April 28-October 31st. The market is proud to be a producer-only market, which means all agricultural products sold at the market are grown within a 75 mile radius.","(36.920138, -93.922706)"
Historic Downtown Liberty Farmers' Market,117 B North Main St,,Liberty,MO,64068,Clay,Shawn Garland,https://www.facebook.com/DowntownLibertyFarmersMarket/,farmersmarket@historicdowntownliberty.org,"<p><span style=""color: rgb(0, 0, 0);"">The Historic Downtown Liberty Farmers&#39; Market is open </span><span style=""color: rgb(0, 0, 0); font-family: Helvetica, sans-serif; font-size: 10.5pt;"">May through September every Saturday from 7 am to 12 pm. </span></p><p><br></p><p><span style=""color: rgb(0, 0, 0); font-family: Helvetica, sans-serif; font-size: 10.5pt;"">October Hours: 8 am to noon.</span></p>",The Historic Downtown Liberty Farmers&#39; Market sells a variety of products.,The Historic Downtown Liberty Farmers Market is located at 117 B North Main St.,"(39.247402, -94.420072)"
Historic Downtown Sikeston Farmers' Market,American Legion Square,,Sikeston,MO,63801,Scott,Lynn Lancaster,https://www.facebook.com/DowntownSikestonFarmersMarket/,director@downtownsikeston.org,The Historic Downtown Sikeston Farmers Market is open May through December on Saturday from 7 am until 12 pm.,The Historic Downtown Farmers&#39; Market sells a variety of products.,The Historic Downtown Farmers&#39; Market is located in the American Legion Square.,"(36.87358, -89.587276)"
Jolliff Farm,5550 County Road 1820,,West Plains,MO,65775,Howell,Mark or Yumi Jolliff,https://jollifffarm.wordpress.com/,jolliff.farm@gmail.com,"Jolliff Farm is a family owned, four season farm located in West Plains, Missouri, dedicated to providing clean, healthy, local food to our community. Our business started in 2013 at the West Plains Area Farmers Market and has since expanded to include a wider variety of outlets.  It has also expanded to include a wide selection of homemade artisan breads and a weekly delivery plan.<br><br>Our goal is to grow a wide variety of high-quality produce for you to enjoy. Jolliff Farm produce is always grown without the use of synthetic chemicals of any type, sustainably grown and is non-GMO. We believe that these practices make it better for your health and tastier too.<br><br>We also try to make as small of a carbon footprint as possible by using largely machine-free methodologies, minimal packaging, and keeping our produce as &#39;local&#39;� as possible.","A wide variety of naturally grown, GMO-free, heirloom vegetables; such as lettuce, spinach, beets, Swiss Chard, broccoli, Brussels sprouts, green beans, cabbage, cauliflower, kohlrabi, tomatoes, eggplants, peppers, cucumbers, squash, pumpkins, garlic, leeks, turnips, radishes, okra, snow peas, and many, many more. Oriental vegetables such as - chingensai, nannohana, mizuna, nira, Shimonita leeks, and daikon. Fresh herbs such as sage, rosemary, thyme, mint, basil, Thai basil, etc. Free-range chicken eggs and duck eggs. European-style artisan breads, New York-style bagels, organic and/or gluten- free breads. Weekly deliveries/CSA available.",Jolliff Farm Mon. - Fri. 8:00 a.m. to 5:00 p.m.<br><br>JB&#39;s Health Mart Mon. - Fri. 9:00 a.m. to 5:30 pm; Sat. 9:00 a.m. to 4:00 p.m.<br><br>West Plains Farmers&#39; Market Wed. &amp; Sat. 8:00 a.m. to 1:00 p.m. (Apri. - Nov.)<br>Sat. only 9:30 a.m. to 1:00 p.m. (Dec. - Mar.)<br><br>Local delivery is available after the above market hours.,"(36.832272, -91.860542)"
Columbia Farmers Market,601 Business Loop 70 West,,Columbia,MO,65205,Boone,Corrina Smith,https://www.facebook.com/ColumbiaFarmersMarket/,manager@columbiafarmersmarket.org,"Experience the taste of mid-Missouri at the Columbia Farmers&#39; Market! CFA is open year-round, with summer Saturday hours of 8am to 12pm, mid-March through mid-November and winter Satruday hours 9am to 12pm, mid-November through mid-March. Fresh vegetables and fruit, meat, farm fresh eggs, cheeses, honey, cut flowers, plants, artisan items and more. As a producer-only market, everything sold here is offered by the farmers and artisans who help sustain our region. SNAP (food stamps) accepted at all markets, plus matching programs. Live music every Satruday! Rain or Shine!<br><br>Groundbreaking should take place this spring at Clary-She Agriculture Park. While construction takes place, we will be setting up in the northeast parking lot at Parkade Center. Make sure to follow our social media pages to stay up-to-date on the progress.","The Columbia Farmers&#39; Market is a producer-only market, with all items coming from within a 50 mile radius of the market. CFM strongly believes in creating a reliable, regulated marketplace for the direct exchange of high quality and safe food, and conducts the inspections to ensure you, as the customer, are receiving the safest, freshest, most local products available in mid-Missouri. With over 80 members, you&#39;ll find a wide variety of products including vegetables, fruits and herbs, plants, fresh eggs, meats, cheese, honey and honey ice cream, mushrooms, baked goods, candles, body products, canned goods and more.","<h3>COLUMBIA FARMERS MARKET</h3><h5>Parkade Center, NE Parking Lot (601 Business Loop 70W)</h5><p><b><i>Summer Season</i></b><i>: Saturdays: 8am-12pm (March 9-May 11)</i></p><h5>MU Health Care Pavilion at Columbia’s Agriculture Park (1769 West Ash)**</h5><p><b><i>Summer Season:</i></b><i> Saturdays 8am-12pm (May 18-Oct.)</i></p><p><b><i>Winter Season:</i></b><i> Saturdays 9am-12pm (Nov.-March)</i></p><p><b><i>Weekday Season:</i></b><i> Tuesdays 10am-1pm &amp; Thursdays 3-6pm (May 21 &amp; 23-October)</i></p><h6>**May 18 is the anticipated opening date of Columbia’s Agriculture Park.  The Market will remain at Parkade until construction is completed of the MU Health Care Pavilion at Columbia’s Agriculture Park. We’ll be watching the weather and progress over the coming weeks.  Stay tuned for more information about this big milestone and other fun events planned for the weekend.</h6>","(38.967668, -92.363132)"
North City Farmers' Market (13th Street Community Garden),2700 block of N. 13th Street.,,St Louis,MO,63106,St. Louis City,Luz Maria Evans,https://www.onsl.org/market,luz-maria.evans@refinitiv.com,"<p>The North City Farmers&#39; Market was started in 2007 and has been serving up fresh produce to local residents ever since. Our mission is to grow community health in North St. Louis by offering affordable fresh produce, free health screenings and healthy cooking demonstrations while encouraging community participation through art and being a stabilizing force in the community.</p>","<p>seasonal produce: peas, lettuce, radishes, leeks, turnips, zucchini, tomatoes, bush beans, greens, okra, peppers, eggplant, cucumbers, carrots, onions, squash, herbs and flowers. </p><p>This is a community garden, and we do not use any kind of pesticides.</p>","<p>The market moved to the 13th Street Community Garden in the 2700 block of N. 13th Street. </p><p>Each Saturday morning from late May through October, neighbors harvest fresh, organic produce form the garden to sell to our neighbors in a large produce stand. </p><p>Most everything is sold for $1 per pound or less. </p><p>Hours: 9:30 a.m. to 12:00 p.m. every Saturday</p>","(38.651094, -90.196019)"
Cape Riverfront Market,35 South Spanish Str.,,Cape Girardeau,MO,63701,Cape Girardeau,Emily Vines,https://www.facebook.com/CapeRiverfrontMarket/,emilyvines@oldtowncape.org,"The Cape Riverfront Market is a farmer’s market that (1) provides access to local, high-quality goods from farmers, artists, craftspeople, and food producers; (2) creates a gathering space downtown that offers educational opportunities and family-friendly activities; and (3) fosters a healthy community by promoting nutritious food choices and sustainable practices. The Cape Riverfront Market is run by Old Town Cape, Inc., a 501(c) 3 non-profit organization that seeks to revitalize downtown Cape Girardeau.","The market includes seasonal vendors, bi-monthly vendors, daily vendors, and specialty vendors, all who sell a variety of products including farm-fresh produce, organic products, meats, cheeses, baked goods, jams, honey, and arts and crafts. All products are locally grown, produced, or prepared.<br><br>The Cape Riverfront Market also offers weekly entertainment and educational demonstrations. The Cape Riverfront Market is unique in that it offers something for everyone, even those with food restrictions: gluten free, vegan, hormone-free, and organic options are available every Saturday during market season.","The Cape Riverfront Market runs every Saturday morning between the months of May and October from 8 a.m. to noon in the parking lot at 35 S. Spanish, next to Celebrations Downtown and across from The Library&#39;s Playground.","(37.300356, -89.520054)"
Aurora Local Farmers' Market - Summer Market,Sutherlands Parking Lot,,Aurora,MO,65605,Lawrence,Trish Matheny,,mathenytrish@yahoo.com,"The market gathers in the Sutherlands Parking lot at Highway 60 and 39 on Wednesdays at 8 am until 12 pm and Saturdays 7 am until 12 pm, May through October.","The market gathers on Wednesdays from 8 am until 12 pm and Saturdays 7 am until 12 pm, May through October and on Saturdays from 9 am until sellout, November through April.","Summer Market: May through October every Wednesday, 8 am-12 pm and every Saturday, 7 am-12 pm.<br><br>Winter Market: November through April every Saturday 9am until sellout.","(36.994072, -93.719074)"
U City Farmers' Market,6655 Delmar Blvd,,University City,MO,63130,St. Louis,Deborah Henderson,,midtownfarms1@yahoo.com,"Our parent organization, the Midwest Association of Farmers&#39; Markets is a 501c(3) non-profit. It&#39;s our mission to provide, through area farmers&#39; markets and programs, the following to our communities:  public education about regionally sourced food, nutrition and health, and sustainable agriculture; direct access to farm fresh products and other locally produced foods; support for local businesses and partnerships with community organizations; and vital economic opportunities for small family farms.    <br><br>We support  the sustainability of farmers&#39; markets in the Greater St Louis region; always including the practices of doing no harm and putting our farmers first.","Our Saturday morning Market is where farmers gather, friends meet and the Fresh Food Festival begins.<br><br>We&#39;re a producer/maker only farmers market.  Featuring live music, kids events &amp; chef demos.  Programs include SNAP/EBT, DUFB, HPES, POP Club and more.","Midtown Farmers&#39; Market:  6655 Delmar, Blvd, St Louis, MO  63130<br><br>Located in St Louis, County in the inner-ring suburb of University City. We are at the “Historic Market in the Loop” on one of “Americas Ten Best Streets”.  <br><br>April - November, Saturday 9:00 a.m. - 1:00 p.m.","(38.656288, -90.307414)"
Canton Farmers' Market / Canton Community Center,210 N 7th Street,,Canton,MO,63435,Lewis,Crystal Nelson,http://www.cantoncommunitycenter.com/farmers-market.html,cantoncommunitycenter@gmail.com,We are a local community center organizing a farmers&#39; market to benefit the community.<br><br>We were incorporated in 2014 and have been providing community events as fundraisers FREE OF CHARGE. This market has no set up fee. It is purely for the benefit of local producers and consumers. We aim to bring an organized market for distribution to benefit all local needs.,We need and have multiple vendors that are producing organic or homegrown produce as well as ointments and all-natural products.,210 N. 7th Street in Canton on 1st and 3rd Saturdays of every month from May - September starting at 8 am to 12 pm.,"(40.131409, -91.523424)"
Mexico Farmers' Market,"3001 S. Clark,  Orscheln's Parking Lot",,Mexico,MO,65265,Audrain,Matthew Van Schyndel,https://www.facebook.com/MexicoMOAreaFarmersMarket/,mexicofarmersmarket@gmail.com,"<p>The Mexico Farmers&#39; Market (MFM) is a market comprised of local farmers or producers in Audrain County or within one of the adjoining counties of Audrain.</p><p>Farmers or producers who grow raw agricultural products such as vegetables, fruits, flowers and plants and animal-based products such as meat, eggs, honey, etc. may sell at the market. Vendors selling animal-based products or produce may be subject to a farm visit(s) by Board Members or Market Manager. </p><p>The resale of produce or animal-based products from any source is not allowed at the MFM. Direct sales and craft vendors are welcome, and it is at the Market Manager’s discretion to approve prior to the selling of any products. No duplicate direct sale vendors are allowed.  </p>",The Mexico Farmers&#39; Market sells a variety of items.,<p>The Mexico Farmers&#39; Market is located at 3001 S. Clark St.</p><p>The Mexico Farmers&#39; Market is open April through October on Saturdays from 8 a.m. to 12 p.m.</p>,"(39.12039, -91.891991)"
Hamilton Missouri Farmers' Market,J.C. Penney Park Lot,,Hamilton,MO,64644,Caldwell,Valerie Hollon,https://www.facebook.com/HamiltonMissouriFarmersMarket,hamiltonmissourifarmersmarket@gmail.com,"The Hamilton Missouri Farmers&#39; Market is a locally grown, handmade community farmers&#39; market.","We provide the community with locally grown seasonal produce, hand crafted items, baked goods, fresh eggs, frozen meats, greenhouse plants and artisan products such as candles and soap.",Operating hours are every Friday evening 4 to 7 pm from May through October,"(39.7464, -93.998771)"
"Honeybloom Farms, LLC",886 SW 301 Road,,Chilhowee,MO,64733,Johnson,Angela Moeller,http://honeybloomfarms.com,honeybloomfarms@gmail.com,"Honeybloom Farms started with a dream and a lot of hard work. We believe local and fresh is always better.<br> <br>It is estimated that 80% of flowers in the United States are imported, but our flowers are Missouri grown and can go from field to vase within 24 hours. Buying local not only leaves a much smaller carbon footprint than buying imported goods but also helps support our local economy.",We offer seasonal fresh cut flowers and are currently building up bee hives so we can produce local raw honey in the future.,"Follow us on <a href=""http://www.honeybloomfarms.com/"" target=""_blank"">www.honeybloomfarms.com</a>, <a href=""http://www.facebook.com/honeybloomfarms/"" target=""_blank"">Facebook</a> and/or <a href=""http://www.instagram.com/honeybloomfarms/"" target=""_blank"">Instagram</a> for updates on where we will be selling.","(38.622835, -93.805225)"
Market on the Square,108 S. 17th Street,,Unionville,MO,63565,Putnam,Joseph Koenen,https://www.facebook.com/historicunionvillesquare/,koenenj@missouri.edu,"<p>Farmers&#39; Market on the Square has been an active farmers&#39; market since 1981.  Three years ago it relocated to the West Side of the Square to allow for an increase in vendors and consumers.  </p><p>We offer an opportunity to not only shop local producers&#39; goods, but experience musical events, speakers, local cuisine demonstrations, learn agricultural knowledge, in a relaxed Historical Downtown atmosphere.  Areas for indoor sales provided for inclement weather.</p>","<p>Free Range Chicken Eggs, Vegetables, Fruits, Specialty Products, Home Bake Goods, Flowering and Garden Plants, Homemade Crafts, Leather Goods, Woodworking, Kettle Corn, Clothing, Specialty Goat Soaps, Honey, Jewelry and Amish Furniture</p>","<p>Every Saturday beginning in May through October from 7:00 a.m. to noon.  </p><p>Located on the west side of the square of the Unionville, Missouri, Historical Downtown District.</p>","(40.476621, -93.003432)"
Bollinger County Farmers' Market,200 State Hwy 34Behind County Co-op,,Marble Hill,MO,63764,Bollinger,Kevin Godsey,https://www.facebook.com/BoCoFarmersMkt/,kkgodsey@gmail.com,"Our market has grown a lot in the last few years! Bring the whole family to the Bollinger County Farmers&#39; Market. Visit with the vendors, who will be happy to talk to you about their products. Kids will love to see the animals.<br><br>April- September, Saturday 8:00 a.m.- 12:00 p.m.","Customers can visit with the vendors as they browse the selection of farm fresh produce, fruits, eggs, baked goods, goat milk soaps, honey, local crafts, vegetable plants, flowers, small farm animals and poultry.","The market gathers on Saturday mornings from 8am until 12pm, April through October.","(37.305885, -89.970383)"
Fair Play Farmers Market,4302 S 31st Road,,Fair Play,MO,65649,Polk,Tony Milosevich,http://www.fairplayfarmersmarket.com/,president@fairplayfarmersmarket.com,"We have no affiliation to any other entity and are a standalone market. We have applied for 501.c.3 status so that we may receive donations and grants. Our goal is to buy the property we are on and build a permanent structure in which to operate. We have a board of business minded people and vendors in the market. Every vendor has a vote in the operation of the market. It is the intent to give food that will not last till the next market to the Cayman’s House of Hope, as there are no fresh vegetables to purchase in our town. We are providing a food oasis in the desert in which we live.","The Fair Play Farmers market is a ‘local producer only’ market. Our mission is to primarily offer fresh fruits and vegetables, farm raised fish and meats; as well as other farm raised products such as fowl and eggs.<br> <br>We will also provide hand made goods such as breads, pastries and jellies. The other portion of our members will provide hand crafted artisan items such as soaps, woodwork and the like.<br> ",We meet Tuesdays 8 a.m. – 2 p.m. and Fridays 3 p.m. – 7 p.m.<br> <br>The market is located on the south side of Hwy 32 between Kennedy’s Kaf-A and Hannah’s General Store.,"(37.629344, -93.573378)"
Grandview Farmers' Market,8th and Goode,,Grandview,MO,64030,Jackson,Larry French,https://www.facebook.com/Gardensassfarmers/,lfrench@kc.rr.com,The Grandview Farmers&#39; Market is open May through October on Saturday from 7:30 am to 12 pm.,The Grandview Farmers&#39; Market sells a variety of products.,The Grandview Farmers&#39; Market is located at the corner of 8th and Goode.,"(38.890381, -94.536042)"
Silver Lake Produce,3791 Silver Lake Rd,,Billings,MO,65610,Stone,Bailey Keltner,http://www.facebook.com/baileysilverlakeproduce,silverlakeproduce19@gmail.com,"<p>Silver Lake Produce began offering produce off farm in 2019. </p><p>Currently, we are just a small backyard garden with future plans to expand the growing season and area. We are not a stranger to the farming community, 4th generation farmer.</p>","<p>Silver Lake Produce offers farm fresh products with limited pesticide and herbicide usage. We strive to bring local, farm raised, and healthy options to the community. During the season we have a variety of vegetables, cage free brown eggs from ISA chickens, and a rotating variety of fresh breads. Follow us on <a href=""http://www.facebook.com/baileysilverlakeproduce"" target=""_blank"">Facebook</a>!</p>","<p>March - October on the farm- call or email for days and times and to assure produce is available. </p><p>Saturdays beginning in April- Spring Creek Market in Hurley, MO 9 a.m. - 2 p.m. </p><p>The market is located across from the Tiger&#39;s Den and post office.</p>","(36.964352, -93.43544)"
Kennett Farmers' Market,311 Kennett Street,,Kennett,MO,63857,Dunklin,Venna Oldsen,http://www.caringcouncil.org/farmersmarket,voldsen@caringcouncil.org,"<p>The Kennett Farmers&#39; Market was established in 1979, originally sponsored by the Kennett First Presbyterian Church. </p><p>The market is now sponsored by the Dunklin County Caring Council, a 501(c)3 nonprofit agency.</p>","<p>The Kennett Farmers&#39; Market works with local vendors who set up booth space to sell locally-grown produce, handmade crafts, baked goods, jams, jellies, honey and much more.</p>",<p>The time and location of the 2020 Kennett Farmers&#39; Market will be announced in early April.</p>,"(36.234274, -90.055824)"
USDA Beacon Facility Farmers' Market,6501 Beacon Drive,,Raytown,MO,64133,Jackson,Carol Buchanan,,carol.buchanan@ams.usda.gov,"<p>June - September, Thursday 10:00 a.m. - 1:30 p.m.,</p>","<p>We offer products like fruit, vegetables, honey, jellies, jams, and herbs!</p>","<p><span style=""color: rgb(62, 62, 60);"">June - September, Thursday 10:00 a.m. - 1:30 p.m.</span></p>","(39.008477, -94.50651)"
"Warrensburg Main Street, Inc",125C North Holden Street,,Warrensburg,MO,64093,Johnson,Buck and Heather Counts,http://www.warrensburgmainstreet.com,heather@buckeye-acres.com,"The Warrensburg Farmers&#39; Market is our county-wide market that supplies fresh locally grown produce as well as jams, jellies, artisan and sweet breads along with a variety of other home grown products. We also have an artisan component to the market as we offer locally hand carved wood products, wall hangings, sweaters, scarves and much more.<br><br>The market has special events that include Military Appreciation Day, Customer Appreciation Day, Health &amp; Fitness Day and Safety Day. We include children&#39;s events at the market on special days as well. Entertainment is offered most Saturdays at the market.","The Warrensburg Farmers&#39; Market carries a variety of locally grown and locally made products. The items include but are not limited to garden fresh vegetables, fresh fruits, dog treats, wood and textile artisans, sweet breads, cookies, cakes and artisan breads. We also have a variety of jams and jellies, herbs and specialty items.",The Warrensburg Farmers&#39; Market is located on the Johnson County Courthouse Lawn on North Holden Street on Saturdays from 7:30 am until noon and on Wednesdays from 3:30 pm - 5:30 pm.<br><br>The Warrensburg Winter Farmers&#39; Market is located at 200 South Holden Street on the 1st and 3rd Saturdays of December through April from 9:00 am to noon.,"(38.763962, -93.739998)"
Rogersville Farmers' Market,270 County Line Road,,Rogersville,MO,65742,Webster,Lauren Brooke,https://www.facebook.com/rogersvillefriendsofthepark/,laurenbrooke@reecenichols.com,"<p>Rogersville Friends of the Park hosts this Farmers&#39; Market the first Saturday of the month from May through October, 9 a.m. to 1 p.m., at the Rogersville Community Park, 270 County Line Road.  A festival atmosphere under the pavilion featuring locally grown produce, baked goods, crafts and much more!</p>","<p>Locally grown produce, baked goods, handmade crafts, jams, jellies, plants, artists, community resource booths, live music and food vendors.</p>","<p>Rogersville Community Par, 270 County Line Road, Rogersville, MO 65742</p><p><br></p><p>First Saturday of the month May through October 9 a.m. to 1 p.m. under the pavilion</p>","(37.114233, -93.06465)"
Farmers' Market in Camdenton,761 Rodeo Rd,,Camdenton,MO,65020,Camden,Sandy Nelson,https://www.facebook.com/Farmers-Market-in-Camdenton-112904532058542/,farmissouri@gmail.com,"May- October, Saturday 7:00 a.m.- 12:00 p.m.","Baked goods; Cheese and/ or dairy products; Crafts and/ or woodworking items; Eggs; Fresh fruit; Fresh vegetables; Fresh and/ or dried herbs; Honey; Canned or preserved fruits and vegetables; Red and other non-poultry meat; Plants in containers; Poultry meat and products; Soap and/ or body care products; Trees, shrubs; Fresh roasted coffee beans.","Open Saturday Mornings from 7:00 am until 12:00 noon, May through September.","(37.994029, -92.741037)"
Kirkwood Farmers' Market,150 E. Argoone Dr.,,Kirkwood,MO,63122,St. Louis,Kori Thompson,,info@downtownkirkwood.com,"April- September, Sunday- Friday 9:00 a.m.- 6:00 p.m., Saturday 8:00 a.m.- 5:00 p.m.",The Kirkwood Farmers&#39; Market sells a variety of products.,The Kirkwood Farmers&#39; Market is located at 150 E. Argoone Drive.,"(38.580874, -90.404493)"
Raymore Original Town Farmers' Market,214 S. Washington St.,,Raymore,MO,64083,,Katie VanKeulen,https://www.facebook.com/events/854993914701856/,kvankeulen@raymore.com,<p>The Raymore Original Town Farmers&#39; Market is open June through September on Tuesday from 4 pm to 7 pm.</p>,<p>The Raymore Original Town Farmers&#39; Market sells a variety of products.</p>,<p>The Raymore Original Town Farmers&#39; Market is located at 214 S. Washington Street.</p>,"(38.802559, -94.453423)"
Downtown Marketplace,100 State Street,,Mountain Grove,MO,65711,Wright,Tim Schook,http://www.mountaingrove.net,mgclerk@getgoin.net,"April - October, Tuesday, Thursday &amp; Saturday 7:00 am - 2:00 pm","Locally grown, fresh produce, home-made crafts, home-baked goods, jam, jellies, preserves, eggs annuals and perennials.","The marketplace is located on the downtown city square.<br><br>Market times are 7 am to 2 pm, Thursdays and Saturdays April through October.","(37.105213, -92.331421)"
Oregon County Farmers Market,Alton City Walking Park,,Alton,MO,65606,Oregon,Kerry Kelley,https://facebook.com/oregoncountyfarmersmarket/,oregoncountyfarmersmarket@gmail.com,"We adhere to a policy of supplying our patrons with only locally grown and produced vegetables, fruits, products and select crafts, making us unique and definitely worth the drive to our part of the beautiful Ozarks!<br><br>We will occasionally have informative speakers and artisan demonstrations as well.","<p>All sorts of delicious, in season fruits and vegetables from a seasoned group of farmer/gardeners/crafters. Everything from baskets to birdhouses, delicious baked goods, grass fed meats, honey, small farm animals and fowl, essential oil body care products, handcrafted lye soaps, candles, crocheted and hand knit items, hybrid iris, so much more to choose from.</p>","<p>LOCATION Saturdays April through October 9 am to 1 pm</p><p><br></p><p>Alton City Walking Park &amp; Pool Hwy 19 South, &amp; Tucker Creek Road, Alton, Missouri 65606</p><p><br></p><p>For more information or to receive a vendor application, (subject to approval) phone Kerry at 417-270-6098.</p>","(36.695427, -91.397465)"
Chillicothe Farmers' Market,620 N Washington,,Chillicothe,MO,64601,Linn,Tonja Tiemeyer,https://www.facebook.com/chillicothefarmersmarketmo/,tonjamoss@hotmail.com,"Since the Summer of 1986 the Chillicothe Farmers Market has traditionally gathered from the first Saturday in May through the last Saturday in October, rain or shine, from 8:00am until 12:30pm.<br><br>The Market averages 12 vendors per day, 30 per season and is the largest in North Central Missouri.<br><br>The Market is open to bonafide growers and craft persons from Livingston and the surrounding Green Hills counties, assuring customers a &quot;Fresh from your neighbors&quot; product.<br><br>Market customers are notoriously loyal to the quality standards the Market has maintained. Market vendors are some of the nicest farmers, bakers and craftsman in the state of Missouri.<br><br>Our vendors create a very personal and friendly community. Welcome to the neighborhood!","Locally grown or made products offered by various vendors at the Chillicothe Farmers Market include all vegetables and fruits in season, honey, syrups, molasses, herbs, bedding plants, flowers, eggs, live animals, live fish, frozen meats, baked items and jams and jellies as long as the items are high quality, attractive, locally produced and consumer safe.<br><br>Items such as cream pies and fresh/frozen dairy are not permitted due to health regulations.","The Chillicothe Farmers Market is located on the east side of Hwy 65 in the parking lot of the Livingston County Courthouse, downtown Chillicothe (700 Webster Street). The market continues a 25 year tradition of beginning the first Saturday in May and operating every Saturday, rain or shine, through the last Saturday in October.<br><br>Sales begin strictly with the &quot;ringing of the bell&quot; at 8:00am and closes at 12:30pm.<br><br>Patron parking is available on the streets all around the square and in the courthouse&#39;s second parking lot.","(39.793643, -93.571725)"
Eldon Farmers Market,"Rock Island Park,  Bus. 54 & 8th Street",,Eldon,MO,65026,Miller,Jenny Imler,https://www.facebook.com/farmersmarketofeldon/,eldonfarmersmarket_est2012@hotmail.com,"Find us at Rock Island Park along Business 54 and 8th Street in Eldon.<br><br>Open Friday afternoons from 3 pm to 6 pm.<br><br>Market opens Friday, May 6 through Friday, August 26.<br><br>Be sure to find and like us on Facebook - Farmers Market of Eldon","Find us at Rock Island Park along Business 54 and 8th Street in Eldon.<br><br>Open Friday afternoons from 3 pm to 6 pm.<br><br>Market opens Friday, May 6 through Friday, August 26.<br><br>Be sure to find and like us on Facebook - Farmers Market of Eldon","Find us at Rock Island Park along Business 54 and 8th Street in Eldon.<br><br>Open Friday afternoons from 3 pm to 6 pm.<br><br>Market opens Friday, May 6 through Friday, August 26.<br><br>Be sure to find and like us on Facebook - Farmers Market of Eldon","(36.711974, -97.786443)"
Buckner Farmers' Street Market,Hudson & Adams Corner,,Buckner,MO,64016,Jackson,Kim Pittman,https://www.facebook.com/BucknerMoChamber/,bucknermochamber@gmail.com,The Buckner Chamber of Commerce is sponsoring the Farmers&#39;s Market in Downtown Buckner to help bring the farmers together in the community. It will run every Saturday from May through October (weather permitting) from 7 a.m. to 11 a.m.,The Buckner Farmers&#39; Street Market sells a variety of products.,We will be located in the large parking lot on Hudson Street in downtown Buckner.,"(39.133345, -94.198461)"
Sullivan County Farmers' Market,120 W. 1st Street,,Milan,MO,63556,Sullivan,Dennis A. Ryan,https://www.facebook.com/SullivanCountyFarmersMarket/,dsryan@windstream.net,Open Thursdays 3:30-6:00pm,The Sullivan County Farmers&#39; Market sells a variety of products.,"The Sullivan County Farmers Market is located at 120 W. 1st Street, Milan, MO 63556","(40.203528, -93.125918)"
Greater Springfield Farmers' Market,2825 South Glenstone,,Springfield,MO,65804,Greene,Renette Wardlow,https://www.facebook.com/greaterspringfieldfarmersmarket/,info@springfieldfarmersmarket.com,"The Greater Springfield Farmers&#39; Market is open year round on Saturday from 8 am until 12 pm.<br><br>It is also open April through October, Tuesday and Thursday from 8 am until 12 pm.<br><br>The Greater Springfield Farmers&#39; Market is currently in its 40th season as the area’s original producer only market. GSFM provides a spacious open air market experience which is home to over 75 local producers annually. In addition, the market provides a platform for other non-profit community partners to share in the down home atmosphere of traditional farmers’ markets everyone has grown to love.","The Greater Springfield Farmers&#39; Market sells a variety of products.A year round producer only market that provides freshly harvested fruits and vegetables in season when produce is at its ripest and tastes best. From asparagus to zucchini, growers supply everything grown locally. Premium meat products include hormone/antibiotic free chicken, pork, beef, lamb, grass fed and Halal meat products. Free-range eggs, honey, jams, Amish baked goods, kettle corn, pork rinds, roasted nuts, make it a fun place to shop. Garden starts, plants, and flowers make it a cinch to beautify your home and there are even dog treats for your best friend.","The Greater Springfield Farmers&#39; Market is located at 2825 S. Glenstone, Springfield MO, 65804.<br><br>Located at the intersection of East Battlefield and South Glenstone in the southeast corner of the Battlefield Mall parking lot.<br><br>GSFM is always open from 8 am until noon over 100 times a year.<br><br>Mid-April through October on Tuesdays, Thursdays and Saturdays.<br><br>Year round on Saturdays from 8am-12pm.","(37.163014, -93.2665)"
