OPA Case Number,Status,Status Description,Due Date,Completed Date,Task Creation Date,External Case Number,Due_Date,Completed_Date,Task_Creation_Date,CurrentStatus
2016OPA-0751,Done,OPA Close CL,08/08/2016 12:00:00 AM,08/10/2016 12:00:00 AM,08/03/2016 12:00:00 AM,2016-239029,2016-08-08T00:00:00.000,2016-08-10T00:00:00.000,2016-08-03T00:00:00.000,Done
2017OPA-1097,Done,OPA Close Case,03/12/2018 12:00:00 AM,08/01/2018 12:00:00 AM,03/12/2018 12:00:00 AM,2017-381465,2018-03-12T00:00:00.000,2018-08-01T00:00:00.000,2018-03-12T00:00:00.000,Done
2018OPA-0185,Done,OPA Close SA,,05/10/2018 12:00:00 AM,05/10/2018 12:00:00 AM,,,2018-05-10T00:00:00.000,2018-05-10T00:00:00.000,Done
2018OPA-0804,Done,OPA Close CL,09/18/2018 12:00:00 AM,09/14/2018 12:00:00 AM,09/13/2018 12:00:00 AM,,2018-09-18T00:00:00.000,2018-09-14T00:00:00.000,2018-09-13T00:00:00.000,Done
2019OPA-0483,Done,OPA Close CL,08/07/2019 12:00:00 AM,08/09/2019 12:00:00 AM,08/02/2019 12:00:00 AM,2019-250421,2019-08-07T00:00:00.000,2019-08-09T00:00:00.000,2019-08-02T00:00:00.000,Done
2015OPA-0157,Done,OPA Director SA Review,04/07/2015 12:00:00 AM,04/13/2015 12:00:00 AM,04/02/2015 12:00:00 AM,,2015-04-07T00:00:00.000,2015-04-13T00:00:00.000,2015-04-02T00:00:00.000,Done
2015OPA-0358,Done,OPA Appeal Findings Upheld,,11/16/2016 12:00:00 AM,11/28/2016 12:00:00 AM,2015-086445,,2016-11-16T00:00:00.000,2016-11-28T00:00:00.000,Done
2015OPA-1292,Done,OPA Close CL,,09/03/2015 12:00:00 AM,10/15/2015 12:00:00 AM,,,2015-09-03T00:00:00.000,2015-10-15T00:00:00.000,Done
2018OPA-0462,Done,OPA Close CL,06/20/2018 12:00:00 AM,06/18/2018 12:00:00 AM,06/15/2018 12:00:00 AM,,2018-06-20T00:00:00.000,2018-06-18T00:00:00.000,2018-06-15T00:00:00.000,Done
2015OPA-1427,Done,OPA Close Case,02/18/2016 12:00:00 AM,03/14/2016 12:00:00 AM,02/05/2016 12:00:00 AM,2015-300647,2016-02-18T00:00:00.000,2016-03-14T00:00:00.000,2016-02-05T00:00:00.000,Done
2015OPA-1526,Done,OPA Close CL,10/31/2015 12:00:00 AM,10/28/2015 12:00:00 AM,10/26/2015 12:00:00 AM,,2015-10-31T00:00:00.000,2015-10-28T00:00:00.000,2015-10-26T00:00:00.000,Done
2016OPA-0296,Done,OPA Close CL,04/18/2016 12:00:00 AM,04/15/2016 12:00:00 AM,04/13/2016 12:00:00 AM,,2016-04-18T00:00:00.000,2016-04-15T00:00:00.000,2016-04-13T00:00:00.000,Done
2016OPA-0652,Done,OPA Close Case,12/24/2017 12:00:00 AM,02/21/2018 12:00:00 AM,12/14/2017 12:00:00 AM,2016-205544,2017-12-24T00:00:00.000,2018-02-21T00:00:00.000,2017-12-14T00:00:00.000,Done
2017OPA-0309,Done,OPA Training Referral,09/20/2018 12:00:00 AM,03/30/2020 12:00:00 AM,09/10/2018 12:00:00 AM,,2018-09-20T00:00:00.000,2020-03-30T00:00:00.000,2018-09-10T00:00:00.000,Done
2017OPA-0785,Done,OPA Send Complainant Closing Letter,11/05/2017 12:00:00 AM,11/08/2017 12:00:00 AM,10/31/2017 12:00:00 AM,2017-279251,2017-11-05T00:00:00.000,2017-11-08T00:00:00.000,2017-10-31T00:00:00.000,Done
2015OPA-1221,Done,OPA Close CL,,08/27/2015 12:00:00 AM,10/15/2015 12:00:00 AM,,,2015-08-27T00:00:00.000,2015-10-15T00:00:00.000,Done
2015OPA-1598,Done,OPA Close CL,11/18/2015 12:00:00 AM,11/16/2015 12:00:00 AM,11/13/2015 12:00:00 AM,,2015-11-18T00:00:00.000,2015-11-16T00:00:00.000,2015-11-13T00:00:00.000,Done
2016OPA-0974,Done,OPA Close Case,01/27/2017 12:00:00 AM,01/27/2017 12:00:00 AM,01/13/2017 12:00:00 AM,,2017-01-27T00:00:00.000,2017-01-27T00:00:00.000,2017-01-13T00:00:00.000,Done
2017OPA-0763,Done,OPA Close CL,08/26/2017 12:00:00 AM,08/02/2017 12:00:00 AM,07/27/2017 12:00:00 AM,2017-249229,2017-08-26T00:00:00.000,2017-08-02T00:00:00.000,2017-07-27T00:00:00.000,Done
2017OPA-0876,Done,OPA Close SA,,11/20/2017 12:00:00 AM,11/20/2017 12:00:00 AM,,,2017-11-20T00:00:00.000,2017-11-20T00:00:00.000,Done
2015OPA-0669,Done,OPA Close SA,07/25/2015 12:00:00 AM,07/21/2015 12:00:00 AM,07/20/2015 12:00:00 AM,2015-109387,2015-07-25T00:00:00.000,2015-07-21T00:00:00.000,2015-07-20T00:00:00.000,Done
2015OPA-1075,Done,OPA Close SA,12/05/2015 12:00:00 AM,12/01/2015 12:00:00 AM,11/30/2015 12:00:00 AM,,2015-12-05T00:00:00.000,2015-12-01T00:00:00.000,2015-11-30T00:00:00.000,Done
2016OPA-0062,Done,OPA Close CL,02/22/2016 12:00:00 AM,02/18/2016 12:00:00 AM,02/18/2016 12:00:00 AM,,2016-02-22T00:00:00.000,2016-02-18T00:00:00.000,2016-02-18T00:00:00.000,Done
2017OPA-0718,Done,OPA Schedule Discipline Meeting,01/09/2018 12:00:00 AM,01/08/2018 12:00:00 AM,10/05/2017 12:00:00 AM,2017-250775,2018-01-09T00:00:00.000,2018-01-08T00:00:00.000,2017-10-05T00:00:00.000,Done
2017OPA-1276,Done,OPA Intake Review,01/02/2018 12:00:00 AM,12/14/2017 12:00:00 AM,12/14/2017 12:00:00 AM,,2018-01-02T00:00:00.000,2017-12-14T00:00:00.000,2017-12-14T00:00:00.000,Done
2018OPA-0627,Done,OPA Close SA,,08/27/2018 12:00:00 AM,08/27/2018 12:00:00 AM,,,2018-08-27T00:00:00.000,2018-08-27T00:00:00.000,Done
2019OPA-0078,Done,OPA Close SA,,03/14/2019 12:00:00 AM,03/14/2019 12:00:00 AM,,,2019-03-14T00:00:00.000,2019-03-14T00:00:00.000,Done
2015OPA-0695,Done,OPA Close SA,07/13/2015 12:00:00 AM,07/10/2015 12:00:00 AM,07/08/2015 12:00:00 AM,,2015-07-13T00:00:00.000,2015-07-10T00:00:00.000,2015-07-08T00:00:00.000,Done
2015OPA-1144,Done,OPA Close SA,09/02/2015 12:00:00 AM,09/01/2015 12:00:00 AM,08/28/2015 12:00:00 AM,,2015-09-02T00:00:00.000,2015-09-01T00:00:00.000,2015-08-28T00:00:00.000,Done
2015OPA-1498,Done,OPA Close CL,,10/19/2015 12:00:00 AM,10/19/2015 12:00:00 AM,2015-327307,,2015-10-19T00:00:00.000,2015-10-19T00:00:00.000,Done
2015OPA-1688,Done,OPA Close CL,11/30/2015 12:00:00 AM,11/30/2015 12:00:00 AM,11/25/2015 12:00:00 AM,,2015-11-30T00:00:00.000,2015-11-30T00:00:00.000,2015-11-25T00:00:00.000,Done
2016OPA-0978,Done,OPA Close SA,,10/10/2016 12:00:00 AM,10/10/2016 12:00:00 AM,,,2016-10-10T00:00:00.000,2016-10-10T00:00:00.000,Done
2017OPA-0387,Done,OPA Management Action,03/31/2018 12:00:00 AM,12/05/2017 12:00:00 AM,12/07/2017 12:00:00 AM,2017-122549,2018-03-31T00:00:00.000,2017-12-05T00:00:00.000,2017-12-07T00:00:00.000,Done
2018OPA-0619,Done,OPA Close Case,,01/22/2019 12:00:00 AM,01/13/2019 12:00:00 AM,2018-242515,,2019-01-22T00:00:00.000,2019-01-13T00:00:00.000,Done
2019OPA-0100,Done,OPA Close Case,10/10/2019 12:00:00 AM,10/10/2019 12:00:00 AM,09/26/2019 12:00:00 AM,,2019-10-10T00:00:00.000,2019-10-10T00:00:00.000,2019-09-26T00:00:00.000,Done
2015OPA-0183,Done,OPA Close CL,,03/05/2015 12:00:00 AM,10/22/2015 12:00:00 AM,,,2015-03-05T00:00:00.000,2015-10-22T00:00:00.000,Done
2015OPA-1560,Done,OPA Close SA,11/24/2015 12:00:00 AM,11/20/2015 12:00:00 AM,11/19/2015 12:00:00 AM,2015-368182,2015-11-24T00:00:00.000,2015-11-20T00:00:00.000,2015-11-19T00:00:00.000,Done
2016OPA-0117,Done,OPA Close CL,02/10/2016 12:00:00 AM,02/10/2016 12:00:00 AM,02/05/2016 12:00:00 AM,2016-040589,2016-02-10T00:00:00.000,2016-02-10T00:00:00.000,2016-02-05T00:00:00.000,Done
2017OPA-0334,Done,OPA Send Complaint Receipt,04/08/2017 12:00:00 AM,04/03/2017 12:00:00 AM,04/03/2017 12:00:00 AM,,2017-04-08T00:00:00.000,2017-04-03T00:00:00.000,2017-04-03T00:00:00.000,Done
2017OPA-0623,Done,OPA Close SA,,09/21/2017 12:00:00 AM,09/21/2017 12:00:00 AM,,,2017-09-21T00:00:00.000,2017-09-21T00:00:00.000,Done
2017OPA-1211,Done,OPA Close CL,12/20/2017 12:00:00 AM,12/18/2017 12:00:00 AM,11/20/2017 12:00:00 AM,2017-418674,2017-12-20T00:00:00.000,2017-12-18T00:00:00.000,2017-11-20T00:00:00.000,Done
2018OPA-0539,Done,OPA Close CL,07/23/2018 12:00:00 AM,07/24/2018 12:00:00 AM,07/18/2018 12:00:00 AM,,2018-07-23T00:00:00.000,2018-07-24T00:00:00.000,2018-07-18T00:00:00.000,Done
2019OPA-0749,Done,OPA Close CL,11/14/2019 12:00:00 AM,11/15/2019 12:00:00 AM,11/07/2019 12:00:00 AM,,2019-11-14T00:00:00.000,2019-11-15T00:00:00.000,2019-11-07T00:00:00.000,Done
2015OPA-0274,Done,OPA Close SA,05/24/2016 12:00:00 AM,08/03/2016 12:00:00 AM,05/03/2016 12:00:00 AM,2014-417946,2016-05-24T00:00:00.000,2016-08-03T00:00:00.000,2016-05-03T00:00:00.000,Done
2016OPA-0529,Done,OPA Close Case,11/18/2016 12:00:00 AM,11/07/2016 12:00:00 AM,11/08/2016 12:00:00 AM,2016-170581,2016-11-18T00:00:00.000,2016-11-07T00:00:00.000,2016-11-08T00:00:00.000,Done
2016OPA-0921,Done,OPA Close SA,,09/27/2016 12:00:00 AM,09/27/2016 12:00:00 AM,2015-001089,,2016-09-27T00:00:00.000,2016-09-27T00:00:00.000,Done
2020OPA-0244,Done,OPA Close CL,05/06/2020 12:00:00 AM,04/29/2020 12:00:00 AM,04/29/2020 12:00:00 AM,2020-126460,2020-05-06T00:00:00.000,2020-04-29T00:00:00.000,2020-04-29T00:00:00.000,Done
2016OPA-0960,Done,OPA Close Case,01/27/2017 12:00:00 AM,01/27/2017 12:00:00 AM,01/17/2017 12:00:00 AM,,2017-01-27T00:00:00.000,2017-01-27T00:00:00.000,2017-01-17T00:00:00.000,Done
2017OPA-0355,Done,OPA Close CL,04/22/2017 12:00:00 AM,04/20/2017 12:00:00 AM,04/17/2017 12:00:00 AM,,2017-04-22T00:00:00.000,2017-04-20T00:00:00.000,2017-04-17T00:00:00.000,Done
2018OPA-0100,Done,OPA Close CL,02/28/2018 12:00:00 AM,02/27/2018 12:00:00 AM,01/29/2018 12:00:00 AM,,2018-02-28T00:00:00.000,2018-02-27T00:00:00.000,2018-01-29T00:00:00.000,Done
2018OPA-0866,Done,OPA Close SA,,10/25/2018 12:00:00 AM,10/25/2018 12:00:00 AM,,,2018-10-25T00:00:00.000,2018-10-25T00:00:00.000,Done
2019OPA-0339,Done,OPA Close SA,,07/05/2019 12:00:00 AM,07/05/2019 12:00:00 AM,,,2019-07-05T00:00:00.000,2019-07-05T00:00:00.000,Done
2015OPA-1296,Done,OPA Management Action,,02/01/2016 12:00:00 AM,12/16/2016 12:00:00 AM,,,2016-02-01T00:00:00.000,2016-12-16T00:00:00.000,Done
2016OPA-0019,Done,OPA Close CL,02/09/2016 12:00:00 AM,02/05/2016 12:00:00 AM,02/04/2016 12:00:00 AM,,2016-02-09T00:00:00.000,2016-02-05T00:00:00.000,2016-02-04T00:00:00.000,Done
2017OPA-0619,Done,OPA Close CL,07/21/2017 12:00:00 AM,07/21/2017 12:00:00 AM,06/22/2017 12:00:00 AM,,2017-07-21T00:00:00.000,2017-07-21T00:00:00.000,2017-06-22T00:00:00.000,Done
2017OPA-0671,Done,OPA Close CL,07/24/2017 12:00:00 AM,07/21/2017 12:00:00 AM,07/19/2017 12:00:00 AM,,2017-07-24T00:00:00.000,2017-07-21T00:00:00.000,2017-07-19T00:00:00.000,Done
2017OPA-1141,Done,OPA Close CL,12/02/2017 12:00:00 AM,12/01/2017 12:00:00 AM,11/02/2017 12:00:00 AM,,2017-12-02T00:00:00.000,2017-12-01T00:00:00.000,2017-11-02T00:00:00.000,Done
2019OPA-0922,Done,OPA Close Case,,04/15/2020 12:00:00 AM,03/21/2020 12:00:00 AM,2019-462045,,2020-04-15T00:00:00.000,2020-03-21T00:00:00.000,Done
2015OPA-0677,Done,OPA Close CL,,06/08/2015 12:00:00 AM,10/19/2015 12:00:00 AM,,,2015-06-08T00:00:00.000,2015-10-19T00:00:00.000,Done
2016OPA-0593,Done,OPA Close CL,07/02/2016 12:00:00 AM,06/30/2016 12:00:00 AM,06/27/2016 12:00:00 AM,2016-173731,2016-07-02T00:00:00.000,2016-06-30T00:00:00.000,2016-06-27T00:00:00.000,Done
2016OPA-0906,Done,OPA Close SA,,10/31/2016 12:00:00 AM,10/31/2016 12:00:00 AM,2016-279116,,2016-10-31T00:00:00.000,2016-10-31T00:00:00.000,Done
2016OPA-1358,Done,OPA Close SA,,12/28/2016 12:00:00 AM,12/28/2016 12:00:00 AM,2016-185319,,2016-12-28T00:00:00.000,2016-12-28T00:00:00.000,Done
2018OPA-0405,Done,OPA Close CL,05/20/2018 12:00:00 AM,05/31/2018 12:00:00 AM,05/15/2018 12:00:00 AM,,2018-05-20T00:00:00.000,2018-05-31T00:00:00.000,2018-05-15T00:00:00.000,Done
2019OPA-0899,Done,OPA Close SA,,03/10/2020 12:00:00 AM,03/10/2020 12:00:00 AM,,,2020-03-10T00:00:00.000,2020-03-10T00:00:00.000,Done
2020OPA-0193,Done,OPA SA Review,05/09/2020 12:00:00 AM,05/06/2020 12:00:00 AM,04/24/2020 12:00:00 AM,2020-100133,2020-05-09T00:00:00.000,2020-05-06T00:00:00.000,2020-04-24T00:00:00.000,Done
2015OPA-0197,Done,OPA Close SA,,12/29/2015 12:00:00 AM,12/29/2015 12:00:00 AM,2014-336528,,2015-12-29T00:00:00.000,2015-12-29T00:00:00.000,Done
2015OPA-0776,Done,OPA Close SA,07/25/2015 12:00:00 AM,07/21/2015 12:00:00 AM,07/20/2015 12:00:00 AM,2015-093682,2015-07-25T00:00:00.000,2015-07-21T00:00:00.000,2015-07-20T00:00:00.000,Done
2015OPA-1461,Done,OPA Close CL,,10/15/2015 12:00:00 AM,10/15/2015 12:00:00 AM,2015-295115,,2015-10-15T00:00:00.000,2015-10-15T00:00:00.000,Done
2017OPA-0344,Done,OPA Close CL,04/22/2017 12:00:00 AM,04/19/2017 12:00:00 AM,04/17/2017 12:00:00 AM,,2017-04-22T00:00:00.000,2017-04-19T00:00:00.000,2017-04-17T00:00:00.000,Done
2020OPA-0208,Done,OPA Close CL,04/27/2020 12:00:00 AM,04/17/2020 12:00:00 AM,04/09/2020 12:00:00 AM,,2020-04-27T00:00:00.000,2020-04-17T00:00:00.000,2020-04-09T00:00:00.000,Done
2015OPA-0591,Done,OPA Close CL,,05/11/2015 12:00:00 AM,10/20/2015 12:00:00 AM,,,2015-05-11T00:00:00.000,2015-10-20T00:00:00.000,Done
2015OPA-1225,Done,OPA Management Action,,02/01/2016 12:00:00 AM,12/16/2016 12:00:00 AM,,,2016-02-01T00:00:00.000,2016-12-16T00:00:00.000,Done
2015OPA-1652,Done,OPA Close SA,02/02/2016 12:00:00 AM,01/28/2016 12:00:00 AM,01/28/2016 12:00:00 AM,,2016-02-02T00:00:00.000,2016-01-28T00:00:00.000,2016-01-28T00:00:00.000,Done
2016OPA-0471,Done,OPA Close CL,05/16/2016 12:00:00 AM,05/16/2016 12:00:00 AM,05/16/2016 12:00:00 AM,,2016-05-16T00:00:00.000,2016-05-16T00:00:00.000,2016-05-16T00:00:00.000,Done
2016OPA-1007,Done,OPA Close CL,09/24/2016 12:00:00 AM,09/20/2016 12:00:00 AM,09/19/2016 12:00:00 AM,2016-195346,2016-09-24T00:00:00.000,2016-09-20T00:00:00.000,2016-09-19T00:00:00.000,Done
2018OPA-0646,Done,OPA Training Referral,02/05/2019 12:00:00 AM,02/22/2019 12:00:00 AM,02/14/2019 12:00:00 AM,2018-228707,2019-02-05T00:00:00.000,2019-02-22T00:00:00.000,2019-02-14T00:00:00.000,Done
2018OPA-0793,Done,OPA Close CL,09/16/2018 12:00:00 AM,09/13/2018 12:00:00 AM,09/11/2018 12:00:00 AM,2018-302895,2018-09-16T00:00:00.000,2018-09-13T00:00:00.000,2018-09-11T00:00:00.000,Done
2015OPA-0104,Done,OPA SA Review,03/29/2015 12:00:00 AM,04/03/2015 12:00:00 AM,03/24/2015 12:00:00 AM,,2015-03-29T00:00:00.000,2015-04-03T00:00:00.000,2015-03-24T00:00:00.000,Done
2015OPA-0138,Done,OPA Director SA Review,04/27/2015 12:00:00 AM,05/11/2015 12:00:00 AM,04/22/2015 12:00:00 AM,2014-276279,2015-04-27T00:00:00.000,2015-05-11T00:00:00.000,2015-04-22T00:00:00.000,Done
2015OPA-0584,Done,OPA Director SA Review,06/24/2015 12:00:00 AM,08/13/2015 12:00:00 AM,06/19/2015 12:00:00 AM,2015-085969,2015-06-24T00:00:00.000,2015-08-13T00:00:00.000,2015-06-19T00:00:00.000,Done
2015OPA-1213,Done,OPA Close Case,04/07/2016 12:00:00 AM,04/06/2016 12:00:00 AM,03/11/2016 12:00:00 AM,,2016-04-07T00:00:00.000,2016-04-06T00:00:00.000,2016-03-11T00:00:00.000,Done
2016OPA-0476,Done,OPA Close CL,06/01/2016 12:00:00 AM,06/01/2016 12:00:00 AM,05/27/2016 12:00:00 AM,,2016-06-01T00:00:00.000,2016-06-01T00:00:00.000,2016-05-27T00:00:00.000,Done
2018OPA-0953,Done,OPA Close CL,10/20/2018 12:00:00 AM,10/19/2018 12:00:00 AM,10/15/2018 12:00:00 AM,,2018-10-20T00:00:00.000,2018-10-19T00:00:00.000,2018-10-15T00:00:00.000,Done
2017OPA-0628,Done,OPA Close Case,12/16/2017 12:00:00 AM,02/21/2018 12:00:00 AM,12/06/2017 12:00:00 AM,2017-214702,2017-12-16T00:00:00.000,2018-02-21T00:00:00.000,2017-12-06T00:00:00.000,Done
2017OPA-1197,Done,OPA Close CL,12/16/2017 12:00:00 AM,12/12/2017 12:00:00 AM,12/11/2017 12:00:00 AM,,2017-12-16T00:00:00.000,2017-12-12T00:00:00.000,2017-12-11T00:00:00.000,Done
2019OPA-0580,Done,OPA Close CL,09/06/2019 12:00:00 AM,09/04/2019 12:00:00 AM,08/30/2019 12:00:00 AM,,2019-09-06T00:00:00.000,2019-09-04T00:00:00.000,2019-08-30T00:00:00.000,Done
2019OPA-0704,Done,OPA SA Review,01/08/2020 12:00:00 AM,01/30/2020 12:00:00 AM,10/24/2019 12:00:00 AM,,2020-01-08T00:00:00.000,2020-01-30T00:00:00.000,2019-10-24T00:00:00.000,Done
2015OPA-1693,Done,OPA Disregard Notice,02/26/2016 12:00:00 AM,03/18/2016 12:00:00 AM,02/22/2016 12:00:00 AM,,2016-02-26T00:00:00.000,2016-03-18T00:00:00.000,2016-02-22T00:00:00.000,Done
2016OPA-0064,Done,OPA Close SA,03/07/2016 12:00:00 AM,03/02/2016 12:00:00 AM,03/02/2016 12:00:00 AM,,2016-03-07T00:00:00.000,2016-03-02T00:00:00.000,2016-03-02T00:00:00.000,Done
2016OPA-0484,Done,OPA Close CL,06/01/2016 12:00:00 AM,05/27/2016 12:00:00 AM,05/27/2016 12:00:00 AM,,2016-06-01T00:00:00.000,2016-05-27T00:00:00.000,2016-05-27T00:00:00.000,Done
2016OPA-0534,Done,OPA Close CL,06/12/2016 12:00:00 AM,06/09/2016 12:00:00 AM,06/07/2016 12:00:00 AM,,2016-06-12T00:00:00.000,2016-06-09T00:00:00.000,2016-06-07T00:00:00.000,Done
2017OPA-0319,Done,OPA Close CL,04/09/2017 12:00:00 AM,04/11/2017 12:00:00 AM,04/04/2017 12:00:00 AM,2017-092155,2017-04-09T00:00:00.000,2017-04-11T00:00:00.000,2017-04-04T00:00:00.000,Done
2016OPA-0995,Done,OPA Close CL,09/27/2016 12:00:00 AM,08/29/2016 12:00:00 AM,08/23/2016 12:00:00 AM,,2016-09-27T00:00:00.000,2016-08-29T00:00:00.000,2016-08-23T00:00:00.000,Done
2016OPA-1390,Done,OPA Close CL,12/12/2016 12:00:00 AM,12/16/2016 12:00:00 AM,12/07/2016 12:00:00 AM,,2016-12-12T00:00:00.000,2016-12-16T00:00:00.000,2016-12-07T00:00:00.000,Done
2017OPA-1036,Done,OPA Final Discipline Action Report,,05/04/2018 12:00:00 AM,01/22/2019 12:00:00 AM,,,2018-05-04T00:00:00.000,2019-01-22T00:00:00.000,Done
2018OPA-1013,Done,OPA Close Case,05/09/2019 12:00:00 AM,07/08/2019 12:00:00 AM,04/29/2019 12:00:00 AM,,2019-05-09T00:00:00.000,2019-07-08T00:00:00.000,2019-04-29T00:00:00.000,Done
2019OPA-0054,Done,OPA Close Case,08/02/2019 12:00:00 AM,09/18/2019 12:00:00 AM,07/23/2019 12:00:00 AM,,2019-08-02T00:00:00.000,2019-09-18T00:00:00.000,2019-07-23T00:00:00.000,Done
2015OPA-0754,Done,OPA Close Case,02/16/2016 12:00:00 AM,03/10/2016 12:00:00 AM,12/10/2015 12:00:00 AM,,2016-02-16T00:00:00.000,2016-03-10T00:00:00.000,2015-12-10T00:00:00.000,Done
2015OPA-0904,Done,OPA Close Case,,12/23/2015 12:00:00 AM,11/25/2015 12:00:00 AM,,,2015-12-23T00:00:00.000,2015-11-25T00:00:00.000,Done
2016OPA-0119,Done,OPA Close CL,02/21/2016 12:00:00 AM,02/18/2016 12:00:00 AM,02/16/2016 12:00:00 AM,,2016-02-21T00:00:00.000,2016-02-18T00:00:00.000,2016-02-16T00:00:00.000,Done
2016OPA-1080,Done,OPA Close Case,03/06/2017 12:00:00 AM,03/17/2017 12:00:00 AM,02/24/2017 12:00:00 AM,2016-141086,2017-03-06T00:00:00.000,2017-03-17T00:00:00.000,2017-02-24T00:00:00.000,Done
2016OPA-1514,Done,OPA Close Case,08/04/2017 12:00:00 AM,08/08/2017 12:00:00 AM,07/25/2017 12:00:00 AM,2016-363886,2017-08-04T00:00:00.000,2017-08-08T00:00:00.000,2017-07-25T00:00:00.000,Done
2018OPA-0946,Done,OPA Close Case,03/28/2019 12:00:00 AM,04/05/2019 12:00:00 AM,03/18/2019 12:00:00 AM,2018-351446,2019-03-28T00:00:00.000,2019-04-05T00:00:00.000,2019-03-18T00:00:00.000,Done
2015OPA-0062,Done,OPA Director SA Review,03/01/2015 12:00:00 AM,03/11/2015 12:00:00 AM,02/24/2015 12:00:00 AM,2014-402660,2015-03-01T00:00:00.000,2015-03-11T00:00:00.000,2015-02-24T00:00:00.000,Done
2015OPA-1244,Done,OPA Close CL,,08/27/2015 12:00:00 AM,10/15/2015 12:00:00 AM,,,2015-08-27T00:00:00.000,2015-10-15T00:00:00.000,Done
2015OPA-1396,Done,OPA Close CL,,10/01/2015 12:00:00 AM,10/13/2015 12:00:00 AM,,,2015-10-01T00:00:00.000,2015-10-13T00:00:00.000,Done
2016OPA-0093,Done,OPA Close Case,10/15/2016 12:00:00 AM,10/17/2016 12:00:00 AM,10/04/2016 12:00:00 AM,2015-368075,2016-10-15T00:00:00.000,2016-10-17T00:00:00.000,2016-10-04T00:00:00.000,Done
2016OPA-1337,Done,OPA Close CL,12/10/2016 12:00:00 AM,11/28/2016 12:00:00 AM,11/10/2016 12:00:00 AM,,2016-12-10T00:00:00.000,2016-11-28T00:00:00.000,2016-11-10T00:00:00.000,Done
2017OPA-0245,Done,OPA Close CL,04/06/2017 12:00:00 AM,03/27/2017 12:00:00 AM,03/07/2017 12:00:00 AM,,2017-04-06T00:00:00.000,2017-03-27T00:00:00.000,2017-03-07T00:00:00.000,Done
2017OPA-0738,Done,OPA Close CL,09/18/2017 12:00:00 AM,08/02/2017 12:00:00 AM,07/20/2017 12:00:00 AM,2017-255321,2017-09-18T00:00:00.000,2017-08-02T00:00:00.000,2017-07-20T00:00:00.000,Done
2017OPA-0823,Done,OPA Close CL,09/06/2017 12:00:00 AM,09/18/2017 12:00:00 AM,09/01/2017 12:00:00 AM,,2017-09-06T00:00:00.000,2017-09-18T00:00:00.000,2017-09-01T00:00:00.000,Done
2018OPA-0671,Done,OPA Close CL,08/21/2018 12:00:00 AM,08/21/2018 12:00:00 AM,08/16/2018 12:00:00 AM,,2018-08-21T00:00:00.000,2018-08-21T00:00:00.000,2018-08-16T00:00:00.000,Done
2015OPA-1313,Done,OPA Close SA,10/11/2015 12:00:00 AM,10/07/2015 12:00:00 AM,10/06/2015 12:00:00 AM,2015-119112,2015-10-11T00:00:00.000,2015-10-07T00:00:00.000,2015-10-06T00:00:00.000,Done
2016OPA-0639,Done,OPA Close CL,07/13/2016 12:00:00 AM,07/15/2016 12:00:00 AM,07/08/2016 12:00:00 AM,,2016-07-13T00:00:00.000,2016-07-15T00:00:00.000,2016-07-08T00:00:00.000,Done
2019OPA-0474,Done,OPA Close SA,,09/27/2019 12:00:00 AM,09/27/2019 12:00:00 AM,2019-249665,,2019-09-27T00:00:00.000,2019-09-27T00:00:00.000,Done
2019OPA-0635,Done,OPA Close CL,09/24/2019 12:00:00 AM,09/20/2019 12:00:00 AM,09/16/2019 12:00:00 AM,,2019-09-24T00:00:00.000,2019-09-20T00:00:00.000,2019-09-16T00:00:00.000,Done
2016OPA-1444,Done,OPA Close Case,06/01/2017 12:00:00 AM,06/12/2017 12:00:00 AM,05/30/2017 12:00:00 AM,,2017-06-01T00:00:00.000,2017-06-12T00:00:00.000,2017-05-30T00:00:00.000,Done
2017OPA-0176,Done,OPA Close CL,03/21/2017 12:00:00 AM,03/13/2017 12:00:00 AM,02/21/2017 12:00:00 AM,,2017-03-21T00:00:00.000,2017-03-13T00:00:00.000,2017-02-21T00:00:00.000,Done
2017OPA-0791,Done,OPA Close SA,,06/04/2018 12:00:00 AM,01/22/2018 12:00:00 AM,,,2018-06-04T00:00:00.000,2018-01-22T00:00:00.000,Done
2017OPA-1135,Done,OPA Close CL,12/04/2017 12:00:00 AM,12/01/2017 12:00:00 AM,11/29/2017 12:00:00 AM,,2017-12-04T00:00:00.000,2017-12-01T00:00:00.000,2017-11-29T00:00:00.000,Done
2016OPA-0024,Done,OPA Close CL,01/23/2016 12:00:00 AM,01/21/2016 12:00:00 AM,01/15/2016 12:00:00 AM,2015-406463,2016-01-23T00:00:00.000,2016-01-21T00:00:00.000,2016-01-15T00:00:00.000,Done
2016OPA-0314,Done,OPA Close CL,04/01/2016 12:00:00 AM,03/29/2016 12:00:00 AM,03/27/2016 12:00:00 AM,,2016-04-01T00:00:00.000,2016-03-29T00:00:00.000,2016-03-27T00:00:00.000,Done
2016OPA-0951,Done,OPA Close CL,08/31/2016 12:00:00 AM,08/29/2016 12:00:00 AM,08/26/2016 12:00:00 AM,,2016-08-31T00:00:00.000,2016-08-29T00:00:00.000,2016-08-26T00:00:00.000,Done
2017OPA-0289,Done,OPA Investigation Review,08/14/2017 12:00:00 AM,10/04/2018 12:00:00 AM,04/19/2017 12:00:00 AM,2017-094165,2017-08-14T00:00:00.000,2018-10-04T00:00:00.000,2017-04-19T00:00:00.000,Done
