Reporting Area,MMWR Year,MMWR Week,"Invasive pneumococcal disease, all ages§, Confirmed, Current week","Invasive pneumococcal disease, all ages§, Confirmed, Current week, flag","Invasive pneumococcal disease, all ages§, Confirmed, Previous 52 weeks Max†","Invasive pneumococcal disease, all ages§, Confirmed, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2020†","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2020†, flag","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2019†","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2019†, flag","Invasive pneumococcal disease, all ages§, Probable, Current week","Invasive pneumococcal disease, all ages§, Probable, Current week, flag","Invasive pneumococcal disease, all ages§, Probable, Previous 52 weeks Max†","Invasive pneumococcal disease, all ages§, Probable, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, all ages§, Probable,  Cum 2020†","Invasive pneumococcal disease, all ages§, Probable,  Cum 2020†, flag","Invasive pneumococcal disease, all ages§, Probable,  Cum 2019†","Invasive pneumococcal disease, all ages§, Probable, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
IDAHO,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20200551,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200568,POINT (-64.840836 18.060868)
MICHIGAN,2020,5,,-,34,,71,,121,,,-,3,,,-,2,,MICHIGAN,,20200517,POINT (-85.730977 44.874798)
GEORGIA,2020,5,,-,33,,35,,119,,,-,0,,,-,,-,GEORGIA,,20200532,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,5,26,,44,,140,,100,,,-,3,,,-,,-,,NEW YORK CITY,20200512,
ARKANSAS,2020,5,14,,33,,40,,41,,,-,0,,,-,,-,ARKANSAS,,20200544,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,5,7,,20,,49,,51,,,-,0,,,-,,-,MISSISSIPPI,,20200541,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,5,1,,6,,13,,6,,,-,2,,,-,1,,SOUTH DAKOTA,,20200527,POINT (-100.230491 44.43614)
WYOMING,2020,5,,-,4,,5,,3,,,-,0,,,-,,-,WYOMING,,20200556,POINT (-107.55145 42.999627)
MISSOURI,2020,5,,-,31,,47,,94,,,-,4,,1,,10,,MISSOURI,,20200524,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,5,55,,118,,274,,303,,2,,7,,16,,10,,,MIDDLE ATLANTIC,20200509,
CALIFORNIA,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,CALIFORNIA,,20200559,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,5,1,,17,,21,,36,,,-,0,,,-,,-,WEST VIRGINIA,,20200537,POINT (-80.613729 38.642579)
FLORIDA,2020,5,14,,62,,142,,73,,,-,2,,3,,2,,FLORIDA,,20200531,POINT (-82.420978 28.260731)
MONTANA,2020,5,,-,8,,6,,15,,,-,1,,,-,,-,MONTANA,,20200552,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,5,13,,45,,108,,166,,,-,4,,1,,13,,,WEST NORTH CENTRAL,20200520,
MASSACHUSETTS,2020,5,,-,21,,50,,83,,,-,1,,1,,2,,MASSACHUSETTS,,20200505,POINT (-71.481104 42.151077)
MOUNTAIN,2020,5,32,,92,,318,,373,,,-,2,,1,,1,,,MOUNTAIN,20200548,
INDIANA,2020,5,1,,25,,36,,84,,,-,1,,,-,,-,INDIANA,,20200516,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200569,
US TERRITORIES,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200563,
WEST VIRGINIA,2020,16,,-,16,,76,,148,,,-,2,,2,,,-,WEST VIRGINIA,,20201637,POINT (-80.613729 38.642579)
TOTAL,2020,6,227,,678,,2374,,2918,,3,,14,,44,,47,,,TOTAL,20200670,
US RESIDENTS,2020,6,227,,678,,2374,,2918,,3,,14,,44,,47,,,US RESIDENTS,20200601,
NEW HAMPSHIRE,2020,6,1,,10,,12,,16,,,-,0,,,-,,-,NEW HAMPSHIRE,,20200606,POINT (-71.57139 43.680429)
NEW YORK,2020,6,19,,90,,99,,98,,,-,4,,8,,,-,NEW YORK,,20200611,POINT (-75.59655 42.921241)
PACIFIC,2020,6,,-,11,,4,,36,,,-,1,,,-,1,,,PACIFIC,20200657,
WEST SOUTH CENTRAL,2020,6,19,,251,,226,,327,,,-,4,,1,,,-,,WEST SOUTH CENTRAL,20200643,
NEBRASKA,2020,6,5,,9,,37,,29,,,-,0,,,-,1,,NEBRASKA,,20200625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,6,12,,75,,289,,326,,,-,2,,,-,2,,,EAST SOUTH CENTRAL,20200638,
NORTH DAKOTA,2020,6,2,,4,,19,,11,,,-,0,,,-,,-,NORTH DAKOTA,,20200626,POINT (-100.46931 47.446305)
NEVADA,2020,6,,-,17,,18,,68,,,-,0,,,-,,-,NEVADA,,20200653,POINT (-114.916992 39.283294)
ILLINOIS,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20200615,POINT (-89.148632 40.124144)
IOWA,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20200621,POINT (-93.500061 42.074659)
TEXAS,2020,6,14,,203,,140,,206,,,-,4,,1,,,-,TEXAS,,20200647,POINT (-99.317341 31.447238)
ALASKA,2020,6,,-,6,,,-,24,,,-,1,,,-,1,,ALASKA,,20200658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,6,,-,5,,,-,9,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200630,POINT (-77.016275 38.904785)
WASHINGTON,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,WASHINGTON,,20200662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,6,4,,40,,100,,208,,,-,1,,1,,3,,,NEW ENGLAND,20200602,
RHODE ISLAND,2020,6,,-,8,,1,,9,,,-,1,,,-,,-,RHODE ISLAND,,20200607,POINT (-71.534637 41.572574)
OREGON,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20200661,POINT (-120.605279 43.940449)
DELAWARE,2020,6,,-,6,,12,,9,,,-,0,,,-,,-,DELAWARE,,20200629,POINT (-75.452394 38.994926)
ALABAMA,2020,6,,-,19,,35,,87,,,-,1,,,-,,-,ALABAMA,,20200639,POINT (-86.844516 32.756889)
KANSAS,2020,6,,-,11,,,-,42,,,-,1,,,-,1,,KANSAS,,20200622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,NORTH CAROLINA,,20200634,POINT (-79.130883 35.52603)
GUAM,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200666,POINT (144.653198 13.3532)
NEW JERSEY,2020,6,8,,22,,64,,112,,1,,3,,9,,9,,NEW JERSEY,,20200610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,6,1,,14,,44,,69,,,-,0,,,-,,-,NEW MEXICO,,20200654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,6,40,,138,,449,,521,,1,,6,,17,,11,,,EAST NORTH CENTRAL,20200614,
TENNESSEE,2020,6,7,,29,,114,,121,,,-,2,,,-,1,,TENNESSEE,,20200642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,6,,-,14,,3,,42,,,-,0,,,-,,-,CONNECTICUT,,20200603,POINT (-72.738288 41.575155)
MARYLAND,2020,6,12,,23,,89,,81,,,-,1,,,-,,-,MARYLAND,,20200633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,6,,-,33,,51,,85,,,-,2,,1,,2,,SOUTH CAROLINA,,20200635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,OKLAHOMA,,20200646,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200665,POINT (145.725693 15.1834)
OHIO,2020,6,38,,63,,249,,218,,1,,5,,17,,9,,OHIO,,20200618,POINT (-82.70936 40.415534)
MINNESOTA,2020,6,,-,12,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200623,POINT (-94.198308 46.349153)
LOUISIANA,2020,6,,-,22,,41,,74,,,-,1,,,-,,-,LOUISIANA,,20200645,POINT (-91.840238 30.921314)
HAWAII,2020,6,,-,8,,4,,12,,,-,0,,,-,,-,HAWAII,,20200660,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,6,33,,137,,454,,479,,1,,3,,5,,4,,,SOUTH ATLANTIC,20200628,
PENNSYLVANIA,2020,6,,-,9,,5,,41,,,-,1,,,-,1,,PENNSYLVANIA,,20200613,POINT (-77.838886 40.896694)
UTAH,2020,6,,-,12,,26,,36,,,-,1,,,-,1,,UTAH,,20200655,POINT (-111.678222 39.323779)
COLORADO,2020,6,16,,23,,101,,90,,,-,1,,,-,,-,COLORADO,,20200650,POINT (-105.547832 38.998552)
VERMONT,2020,6,1,,5,,9,,5,,,-,0,,,-,1,,VERMONT,,20200608,POINT (-72.662695 44.075252)
KENTUCKY,2020,6,,-,33,,86,,58,,,-,1,,,-,1,,KENTUCKY,,20200640,POINT (-85.290484 37.526683)
PUERTO RICO,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200667,POINT (-66.414655 18.215692)
MAINE,2020,6,2,,9,,25,,36,,,-,0,,,-,,-,MAINE,,20200604,POINT (-69.06137 45.117911)
VIRGINIA,2020,6,,-,3,,3,,3,,,-,0,,,-,,-,VIRGINIA,,20200636,POINT (-78.666382 37.510861)
ARIZONA,2020,6,27,,37,,170,,156,,,-,2,,1,,,-,ARIZONA,,20200649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200664,
WISCONSIN,2020,6,2,,23,,70,,67,,,-,0,,,-,,-,WISCONSIN,,20200619,POINT (-89.732969 44.639954)
IDAHO,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20200651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200668,POINT (-64.840836 18.060868)
MICHIGAN,2020,6,,-,34,,88,,138,,,-,4,,,-,2,,MICHIGAN,,20200617,POINT (-85.730977 44.874798)
GEORGIA,2020,6,5,,38,,114,,152,,,-,0,,,-,,-,GEORGIA,,20200632,POINT (-83.426574 32.638481)
ARKANSAS,2020,6,5,,33,,45,,47,,,-,0,,,-,,-,ARKANSAS,,20200644,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,6,5,,20,,54,,60,,,-,0,,,-,,-,MISSISSIPPI,,20200641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,6,2,,6,,18,,12,,,-,2,,,-,1,,SOUTH DAKOTA,,20200627,POINT (-100.230491 44.43614)
WYOMING,2020,6,2,,4,,10,,4,,,-,0,,,-,,-,WYOMING,,20200656,POINT (-107.55145 42.999627)
MISSOURI,2020,6,9,,31,,66,,109,,,-,4,,2,,12,,MISSOURI,,20200624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,6,55,,120,,337,,375,,1,,7,,17,,10,,,MIDDLE ATLANTIC,20200609,
CALIFORNIA,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,CALIFORNIA,,20200659,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,6,2,,17,,29,,47,,,-,0,,,-,,-,WEST VIRGINIA,,20200637,POINT (-80.613729 38.642579)
FLORIDA,2020,6,14,,62,,156,,93,,1,,2,,4,,2,,FLORIDA,,20200631,POINT (-82.420978 28.260731)
MONTANA,2020,6,,-,8,,6,,20,,,-,1,,,-,,-,MONTANA,,20200652,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,6,18,,45,,140,,203,,,-,4,,2,,15,,,WEST NORTH CENTRAL,20200620,
MASSACHUSETTS,2020,6,,-,21,,50,,100,,,-,1,,1,,2,,MASSACHUSETTS,,20200605,POINT (-71.481104 42.151077)
MOUNTAIN,2020,6,46,,91,,375,,443,,,-,2,,1,,1,,,MOUNTAIN,20200648,
INDIANA,2020,6,,-,25,,42,,98,,,-,1,,,-,,-,INDIANA,,20200616,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200669,
US TERRITORIES,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200663,
TOTAL,2020,7,229,,691,,2768,,3416,,3,,14,,50,,54,,,TOTAL,20200770,
US RESIDENTS,2020,7,229,,691,,2768,,3416,,3,,14,,50,,54,,,US RESIDENTS,20200701,
NEW HAMPSHIRE,2020,7,1,,10,,13,,26,,,-,0,,,-,,-,NEW HAMPSHIRE,,20200706,POINT (-71.57139 43.680429)
NEW YORK,2020,7,17,,90,,115,,116,,,-,4,,8,,,-,NEW YORK,,20200711,POINT (-75.59655 42.921241)
PACIFIC,2020,7,1,,11,,5,,42,,,-,1,,,-,1,,,PACIFIC,20200757,
WEST SOUTH CENTRAL,2020,7,19,,257,,265,,404,,,-,4,,2,,,-,,WEST SOUTH CENTRAL,20200743,
NEBRASKA,2020,7,5,,9,,43,,38,,,-,0,,,-,1,,NEBRASKA,,20200725,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,7,6,,75,,310,,390,,,-,2,,,-,3,,,EAST SOUTH CENTRAL,20200738,
NORTH DAKOTA,2020,7,,-,6,,19,,14,,,-,0,,,-,,-,NORTH DAKOTA,,20200726,POINT (-100.46931 47.446305)
NEVADA,2020,7,,-,17,,36,,71,,,-,0,,,-,,-,NEVADA,,20200753,POINT (-114.916992 39.283294)
ILLINOIS,2020,7,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20200715,POINT (-89.148632 40.124144)
IOWA,2020,7,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20200721,POINT (-93.500061 42.074659)
TEXAS,2020,7,4,,209,,164,,253,,,-,4,,2,,,-,TEXAS,,20200747,POINT (-99.317341 31.447238)
ALASKA,2020,7,,-,6,,,-,27,,,-,1,,,-,1,,ALASKA,,20200758,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,7,,-,5,,8,,11,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200730,POINT (-77.016275 38.904785)
WASHINGTON,2020,7,,N,,NC,,N,,N,,N,,NC,,N,,N,WASHINGTON,,20200762,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,7,5,,40,,109,,248,,,-,1,,1,,3,,,NEW ENGLAND,20200702,
RHODE ISLAND,2020,7,,-,8,,4,,12,,,-,1,,,-,,-,RHODE ISLAND,,20200707,POINT (-71.534637 41.572574)
OREGON,2020,7,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20200761,POINT (-120.605279 43.940449)
DELAWARE,2020,7,,-,6,,12,,10,,,-,0,,,-,,-,DELAWARE,,20200729,POINT (-75.452394 38.994926)
ALABAMA,2020,7,2,,19,,44,,106,,,-,1,,,-,1,,ALABAMA,,20200739,POINT (-86.844516 32.756889)
KANSAS,2020,7,,-,10,,,-,48,,,-,1,,,-,1,,KANSAS,,20200722,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,7,,N,,NC,,N,,N,,N,,NC,,N,,N,NORTH CAROLINA,,20200734,POINT (-79.130883 35.52603)
GUAM,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200766,POINT (144.653198 13.3532)
NEW JERSEY,2020,7,6,,22,,71,,123,,,-,3,,9,,11,,NEW JERSEY,,20200710,POINT (-74.655514 40.110253)
NEW MEXICO,2020,7,6,,14,,54,,74,,,-,0,,,-,,-,NEW MEXICO,,20200754,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,7,52,,142,,546,,599,,2,,6,,19,,14,,,EAST NORTH CENTRAL,20200714,
TENNESSEE,2020,7,,-,29,,114,,150,,,-,2,,,-,1,,TENNESSEE,,20200742,POINT (-86.343226 35.842998)
CONNECTICUT,2020,7,,-,14,,3,,46,,,-,0,,,-,,-,CONNECTICUT,,20200703,POINT (-72.738288 41.575155)
MARYLAND,2020,7,3,,23,,92,,91,,,-,1,,,-,,-,MARYLAND,,20200733,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,7,,-,34,,76,,103,,,-,2,,3,,2,,SOUTH CAROLINA,,20200735,POINT (-80.864614 33.878572)
OKLAHOMA,2020,7,,N,,NC,,N,,N,,N,,NC,,N,,N,OKLAHOMA,,20200746,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200765,POINT (145.725693 15.1834)
OHIO,2020,7,40,,63,,289,,250,,2,,5,,19,,12,,OHIO,,20200718,POINT (-82.70936 40.415534)
MINNESOTA,2020,7,,-,12,,,-,1,,,-,0,,,-,,-,MINNESOTA,,20200723,POINT (-94.198308 46.349153)
LOUISIANA,2020,7,,-,22,,41,,93,,,-,1,,,-,,-,LOUISIANA,,20200745,POINT (-91.840238 30.921314)
HAWAII,2020,7,1,,8,,5,,15,,,-,0,,,-,,-,HAWAII,,20200760,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,7,44,,139,,532,,559,,1,,3,,8,,4,,,SOUTH ATLANTIC,20200728,
PENNSYLVANIA,2020,7,,-,8,,5,,49,,,-,1,,,-,1,,PENNSYLVANIA,,20200713,POINT (-77.838886 40.896694)
UTAH,2020,7,5,,12,,44,,48,,,-,1,,,-,1,,UTAH,,20200755,POINT (-111.678222 39.323779)
COLORADO,2020,7,20,,23,,121,,106,,,-,1,,,-,,-,COLORADO,,20200750,POINT (-105.547832 38.998552)
VERMONT,2020,7,3,,5,,12,,6,,,-,0,,,-,1,,VERMONT,,20200708,POINT (-72.662695 44.075252)
KENTUCKY,2020,7,4,,33,,98,,70,,,-,1,,,-,1,,KENTUCKY,,20200740,POINT (-85.290484 37.526683)
PUERTO RICO,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200767,POINT (-66.414655 18.215692)
MAINE,2020,7,1,,9,,27,,41,,,-,0,,,-,,-,MAINE,,20200704,POINT (-69.06137 45.117911)
VIRGINIA,2020,7,,-,3,,3,,4,,,-,0,,,-,,-,VIRGINIA,,20200736,POINT (-78.666382 37.510861)
ARIZONA,2020,7,23,,37,,193,,175,,,-,2,,1,,,-,ARIZONA,,20200749,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,7,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200764,
WISCONSIN,2020,7,9,,23,,83,,72,,,-,0,,,-,,-,WISCONSIN,,20200719,POINT (-89.732969 44.639954)
IDAHO,2020,7,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20200751,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200768,POINT (-64.840836 18.060868)
MICHIGAN,2020,7,,-,35,,111,,159,,,-,4,,,-,2,,MICHIGAN,,20200717,POINT (-85.730977 44.874798)
GEORGIA,2020,7,,-,38,,114,,178,,,-,0,,,-,,-,GEORGIA,,20200732,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,7,18,,44,,188,,147,,,-,3,,,-,,-,,NEW YORK CITY,20200712,
ARKANSAS,2020,7,15,,33,,60,,58,,,-,0,,,-,,-,ARKANSAS,,20200744,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,7,,-,20,,54,,64,,,-,0,,,-,,-,MISSISSIPPI,,20200741,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,7,,-,6,,19,,14,,,-,2,,,-,1,,SOUTH DAKOTA,,20200727,POINT (-100.230491 44.43614)
WYOMING,2020,7,1,,4,,11,,6,,,-,0,,,-,,-,WYOMING,,20200756,POINT (-107.55145 42.999627)
MISSOURI,2020,7,,-,31,,66,,122,,,-,4,,2,,13,,MISSOURI,,20200724,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,7,41,,120,,379,,435,,,-,7,,17,,12,,,MIDDLE ATLANTIC,20200709,
CALIFORNIA,2020,7,,N,,NC,,N,,N,,N,,NC,,N,,N,CALIFORNIA,,20200759,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,7,1,,17,,31,,52,,,-,0,,,-,,-,WEST VIRGINIA,,20200737,POINT (-80.613729 38.642579)
FLORIDA,2020,7,40,,62,,196,,110,,1,,2,,5,,2,,FLORIDA,,20200731,POINT (-82.420978 28.260731)
MONTANA,2020,7,1,,8,,16,,22,,,-,1,,,-,,-,MONTANA,,20200752,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,7,5,,45,,147,,237,,,-,4,,2,,16,,,WEST NORTH CENTRAL,20200720,
MASSACHUSETTS,2020,7,,-,19,,50,,117,,,-,1,,1,,2,,MASSACHUSETTS,,20200705,POINT (-71.481104 42.151077)
MOUNTAIN,2020,7,56,,92,,475,,502,,,-,2,,1,,1,,,MOUNTAIN,20200748,
INDIANA,2020,7,3,,25,,63,,118,,,-,1,,,-,,-,INDIANA,,20200716,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200769,
US TERRITORIES,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200763,
FLORIDA,2020,16,8,,62,,349,,293,,,-,2,,7,,6,,FLORIDA,,20201631,POINT (-82.420978 28.260731)
TOTAL,2020,8,223,,695,,3341,,3880,,3,,14,,57,,61,,,TOTAL,20200870,
US RESIDENTS,2020,8,223,,695,,3341,,3880,,3,,14,,57,,61,,,US RESIDENTS,20200801,
NEW HAMPSHIRE,2020,8,1,,10,,16,,29,,,-,0,,,-,,-,NEW HAMPSHIRE,,20200806,POINT (-71.57139 43.680429)
NEW YORK,2020,8,18,,90,,133,,136,,,-,4,,8,,,-,NEW YORK,,20200811,POINT (-75.59655 42.921241)
PACIFIC,2020,8,1,,11,,6,,52,,,-,1,,,-,1,,,PACIFIC,20200857,
WEST SOUTH CENTRAL,2020,8,26,,259,,384,,481,,1,,4,,3,,2,,,WEST SOUTH CENTRAL,20200843,
NEBRASKA,2020,8,3,,9,,46,,44,,,-,0,,,-,1,,NEBRASKA,,20200825,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,8,12,,76,,373,,436,,,-,2,,1,,3,,,EAST SOUTH CENTRAL,20200838,
NORTH DAKOTA,2020,8,,-,6,,19,,17,,,-,0,,,-,,-,NORTH DAKOTA,,20200826,POINT (-100.46931 47.446305)
NEVADA,2020,8,1,,17,,68,,79,,,-,0,,,-,,-,NEVADA,,20200853,POINT (-114.916992 39.283294)
ILLINOIS,2020,8,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20200815,POINT (-89.148632 40.124144)
IOWA,2020,8,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20200821,POINT (-93.500061 42.074659)
TEXAS,2020,8,15,,211,,224,,308,,,-,4,,2,,2,,TEXAS,,20200847,POINT (-99.317341 31.447238)
ALASKA,2020,8,,-,6,,,-,32,,,-,1,,,-,1,,ALASKA,,20200858,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,8,,-,5,,8,,11,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200830,POINT (-77.016275 38.904785)
WASHINGTON,2020,8,,N,,NC,,N,,N,,N,,NC,,N,,N,WASHINGTON,,20200862,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,8,8,,40,,179,,279,,,-,1,,,-,3,,,NEW ENGLAND,20200802,
RHODE ISLAND,2020,8,,-,8,,6,,14,,,-,1,,,-,,-,RHODE ISLAND,,20200807,POINT (-71.534637 41.572574)
OREGON,2020,8,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20200861,POINT (-120.605279 43.940449)
DELAWARE,2020,8,,-,6,,12,,10,,,-,0,,,-,,-,DELAWARE,,20200829,POINT (-75.452394 38.994926)
ALABAMA,2020,8,,-,19,,48,,119,,,-,1,,,-,1,,ALABAMA,,20200839,POINT (-86.844516 32.756889)
KANSAS,2020,8,,-,10,,,-,52,,,-,1,,,-,1,,KANSAS,,20200822,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,8,,N,,NC,,N,,N,,N,,NC,,N,,N,NORTH CAROLINA,,20200834,POINT (-79.130883 35.52603)
GUAM,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200866,POINT (144.653198 13.3532)
NEW JERSEY,2020,8,3,,22,,80,,138,,,-,3,,10,,13,,NEW JERSEY,,20200810,POINT (-74.655514 40.110253)
NEW MEXICO,2020,8,1,,15,,61,,83,,,-,0,,,-,,-,NEW MEXICO,,20200854,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,8,38,,147,,620,,663,,1,,6,,20,,16,,,EAST NORTH CENTRAL,20200814,
TENNESSEE,2020,8,11,,29,,163,,162,,,-,2,,1,,1,,TENNESSEE,,20200842,POINT (-86.343226 35.842998)
CONNECTICUT,2020,8,,-,14,,17,,51,,,-,0,,,-,,-,CONNECTICUT,,20200803,POINT (-72.738288 41.575155)
MARYLAND,2020,8,16,,23,,108,,101,,,-,1,,,-,,-,MARYLAND,,20200833,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,8,,-,34,,76,,117,,,-,2,,3,,3,,SOUTH CAROLINA,,20200835,POINT (-80.864614 33.878572)
OKLAHOMA,2020,8,,N,,NC,,N,,N,,N,,NC,,N,,N,OKLAHOMA,,20200846,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200865,POINT (145.725693 15.1834)
OHIO,2020,8,32,,63,,321,,273,,1,,5,,20,,13,,OHIO,,20200818,POINT (-82.70936 40.415534)
MINNESOTA,2020,8,,-,12,,,-,1,,,-,0,,,-,,-,MINNESOTA,,20200823,POINT (-94.198308 46.349153)
LOUISIANA,2020,8,1,,24,,90,,101,,,-,1,,,-,,-,LOUISIANA,,20200845,POINT (-91.840238 30.921314)
HAWAII,2020,8,1,,8,,6,,20,,,-,0,,,-,,-,HAWAII,,20200860,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,8,43,,141,,579,,641,,1,,3,,10,,5,,,SOUTH ATLANTIC,20200828,
PENNSYLVANIA,2020,8,,-,13,,47,,53,,,-,1,,2,,1,,PENNSYLVANIA,,20200813,POINT (-77.838886 40.896694)
UTAH,2020,8,3,,12,,51,,59,,,-,1,,,-,1,,UTAH,,20200855,POINT (-111.678222 39.323779)
COLORADO,2020,8,24,,23,,145,,122,,,-,1,,,-,,-,COLORADO,,20200850,POINT (-105.547832 38.998552)
VERMONT,2020,8,,-,5,,12,,6,,,-,0,,,-,1,,VERMONT,,20200808,POINT (-72.662695 44.075252)
KENTUCKY,2020,8,1,,33,,108,,80,,,-,0,,,-,1,,KENTUCKY,,20200840,POINT (-85.290484 37.526683)
PUERTO RICO,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200867,POINT (-66.414655 18.215692)
