Establishment Name,Street Address,City,Zip Code,Inspection Date,Inspection Results,Inspection Type,Lifeguard on Deck,Main Drains Visible,Recirculation System Operating,Water Level Adequate,Disinfection System Operating,Bathhouse Operational ,DHHS Permitted Entry,Immediate Hazard Absent,CPR Certified Personnel,Water Chemistry,Organization,Category,Location 1,Establishment #
OLDE TOWN FOUNTAIN,3 S SUMMIT AVE,Gaithersburg,20877,07/18/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CITY OF GAITHERSBURG,Government,"3 S SUMMIT AVE
Gaithersburg, MD 20877
(39.141976, -77.193425)",33256
CHURCHILL VILLAGE-WINTERSPOON,13407 WINTERSPOON LN,GERMANTOWN,20874,07/19/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CHURCHILL VILLAGE SOUTH HOA,Community,"13407 WINTERSPOON LN
GERMANTOWN, MD 20874
(39.18243, -77.279106)",19617
GAITHER HOUSE,501-B  S FREDERICK AVE,GAITHERSBURG,20877,07/18/2019,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ARC DEVELOPERS INC,Apartments/Condos,"501-B S FREDERICK AVE
GAITHERSBURG, MD 20877
(39.134986, -77.19127)",19676
EDINBURGH VILLAGE,7339 BRENISH DR,GAITHERSBURG,20879,07/16/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CAS,Community,"7339 BRENISH DR
GAITHERSBURG, MD 20879
(39.176284, -77.155454)",19651
INVERNESS FOREST,10820 DEBORAH DR,POTOMAC,20854,07/18/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,INVERNESS RECREATION,Community,"10820 DEBORAH DR
POTOMAC, MD 20854
(39.034009, -77.163982)",19729
PARK TERRACE,12732 VIERS MILL RD,ROCKVILLE,20853,08/28/2019,Critical Violations Noted,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ABARIS REALTY INC,Apartments/Condos,"12732 VIERS MILL RD
ROCKVILLE, MD 20853
(39.064825, -77.097793)",19823
CAMP OLYMPIA,5511 MUNCASTER MILL RD,DERWOOD,20855,07/19/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ELIZABETH BENEDEK,Other,"5511 MUNCASTER MILL RD
DERWOOD, MD 20855
(39.119661, -77.108745)",19597
DIAMOND FARMS,1203 QUINCE ORCHARD BLVD,GAITHERSBURG,20878,07/16/2019,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,DIAMOND FARMS HOA,Community,"1203 QUINCE ORCHARD BLVD
GAITHERSBURG, MD 20878
(39.134628, -77.225008)",19647
FIRESIDE PARK,735 MONROE ST,ROCKVILLE,20850,07/11/2019,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,RHE FIRESIDE PARK,Apartments/Condos,"735 MONROE ST
ROCKVILLE, MD 20850
(39.073532, -77.153126)",19663
WOODLEY GARDENS,850 NELSON ST,ROCKVILLE,20850,07/22/2019,,Visit/No Action,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,"WOODLEY GARDENS SWIM CLUB, INC",,"850 NELSON ST
ROCKVILLE, MD 20850
(39.093983, -77.171835)",19965
GRAND,5801 NICHOLSON LN,NORTH BETHESDA,20852,07/11/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,BROOKFIELD PROPERTIES,Apartments/Condos,"5801 NICHOLSON LN
NORTH BETHESDA, MD 20852
(39.045048, -77.114904)",19980
AMERICANA CENTRE,118 MONROE ST,ROCKVILLE,20850,08/29/2019,,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,AMERICANA CENTRE CONDOMINIUMS INC,Apartments/Condos,"118 MONROE ST
ROCKVILLE, MD 20850
(39.082607, -77.14896)",19556
FAIRFIELD INN,20025 CENTURY BLVD,GERMANTOWN,20874,07/11/2019,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,BAYWOOD HOTELS,Hotel,"20025 CENTURY BLVD
GERMANTOWN, MD 20874
(39.184287, -77.260176)",20020
FALLSWOOD,5800 NICHOLSON LN,ROCKVILLE,20852,07/10/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,FALLSWOOD CONDOMINIUM,Apartments/Condos,"5800 NICHOLSON LN
ROCKVILLE, MD 20852
(39.045024, -77.116152)",19660
LONDONDERRY-OUTDOOR,17041 DOWNING ST,GAITHERSBURG,20877,06/21/2019,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,KAY MANAGEMENT INC,Apartments/Condos,"17041 DOWNING ST
GAITHERSBURG, MD 20877
(39.136255, -77.208166)",19754
GRAND,5801 NICHOLSON LN,NORTH BETHESDA,20852,07/10/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,BROOKFIELD PROPERTIES,Apartments/Condos,"5801 NICHOLSON LN
NORTH BETHESDA, MD 20852
(39.045048, -77.114904)",19980
GLEN WAYE GARDENS,2300 GREENERY LN,SILVER SPRING,20906,08/29/2018,Pool closed but may resume operation once correcte,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,GLEN WAYE GARDENS CONDOMINIUM,Apartments/Condos,"2300 GREENERY LN
SILVER SPRING, MD 20906
(39.06165, -77.048834)",19689
MALLORY SQUARE,15251 SIESTA KEY WAY,Rockville,20850,07/01/2019,Pool closed but may resume operation once correcte,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,BOZZUTI,Apartments/Condos,"15251 SIESTA KEY WAY
Rockville, MD 20850
(39.10563, -77.194433)",29238
THOMAS CHOICE GARDENS,19401 BRASSIE PL,MONTGOMERY VILLAGE,20879,07/01/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CLARITY,Apartments/Condos,"19401 BRASSIE PL
MONTGOMERY VILLAGE, MD 20879
(39.174208, -77.202201)",19903
GLEN WAYE GARDENS,2300 GREENERY LN,SILVER SPRING,20906,06/17/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,GLEN WAYE GARDENS CONDOMINIUM,Apartments/Condos,"2300 GREENERY LN
SILVER SPRING, MD 20906
(39.06165, -77.048834)",19689
TWINBROOK FOREST,533 MEADOW HALL DR,ROCKVILLE,20850,08/29/2019,Critical Violations Noted,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,TWINBROOK FOREST,Apartments/Condos,"533 MEADOW HALL DR
ROCKVILLE, MD 20850
(39.075946, -77.108458)",19913
ARORA HILLS #2,23230 ARORA HILLS DR,CLARKSBURG,20871,07/01/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ARORA HILLS II,Community,"23230 ARORA HILLS DR
CLARKSBURG, MD 20871
(39.235726, -77.243191)",21120
QUAIL VALLEY,18701 QUAIL VALLEY DR,GAITHERSBURG,20879,07/10/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,RUCHITA PATEL,Community,"18701 QUAIL VALLEY DR
GAITHERSBURG, MD 20879
(39.161591, -77.185978)",19846
BENDER JEWISH COMMUNITY CENTER,6125 MONTROSE RD,ROCKVILLE,20852,07/20/2018,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,JEWISH COMMUNITY CENTER,Other,"6125 MONTROSE RD
ROCKVILLE, MD 20852
(39.052735, -77.12432)",19702
HADLEY FARMS,7420 HADLEY FARMS DR,GAITHERSBURG,20879,07/16/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,HADLEY FARMS HOA,Community,"7420 HADLEY FARMS DR
GAITHERSBURG, MD 20879
(39.181396, -77.157779)",19703
WATER PARK-BOHRER PARK,512 S FREDERICK AVE,GAITHERSBURG,20877,06/27/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CITY OF GAITHERSBURG,Government,"512 S FREDERICK AVE
GAITHERSBURG, MD 20877
(39.133504, -77.190206)",19896
RANDOLPH SQUARE,5301 RANDOLPH RD,ROCKVILLE,20852,06/17/2019,,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,FALLER MANAGEMENT CO INC.,Apartments/Condos,"5301 RANDOLPH RD
ROCKVILLE, MD 20852
(39.053597, -77.105136)",19850
DIAMOND FARMS,1203 QUINCE ORCHARD BLVD,GAITHERSBURG,20878,06/26/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,DIAMOND FARMS HOA,Community,"1203 QUINCE ORCHARD BLVD
GAITHERSBURG, MD 20878
(39.134628, -77.225008)",19647
HURLEY PARK,20737 HIGHLAND HALL DR,MONTGOMERY VILLAGE,20886,06/14/2019,Pool approved to operate,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MONTGOMERY VILLAGE FOUNDATION,Community,"20737 HIGHLAND HALL DR
MONTGOMERY VILLAGE, MD 20886
(39.190937, -77.189228)",19725
CROSSING AT OLDE TOWNE,200 OLDE TOWNE AVE,Gaithersburg,20877,07/13/2019,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,OLDE TOWNE ASSOCIATED LP,Community,"200 OLDE TOWNE AVE
Gaithersburg, MD 20877
(39.140776, -77.196094)",30566
RANDOLPH SQUARE,5301 RANDOLPH RD,ROCKVILLE,20852,06/14/2019,Pool closed but may resume operation once correcte,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,FALLER MANAGEMENT CO INC.,Apartments/Condos,"5301 RANDOLPH RD
ROCKVILLE, MD 20852
(39.053597, -77.105136)",19850
VILLA RIDGE,414 GIRARD ST,GAITHERSBURG,20877,07/02/2019,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,VILLA RIDGE CONDO,Apartments/Condos,"414 GIRARD ST
GAITHERSBURG, MD 20877
(39.148284, -77.186164)",19920
ENCLAVE,11225 OAK LEAF DR,SILVER SPRING,20901,06/13/2019,Pool approved to operate,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,THE DONALDSON GROUP,Apartments/Condos,"11225 OAK LEAF DR
SILVER SPRING, MD 20901
(39.040254, -76.995468)",21221
GERMANTOWN PARK,18400 CINNAMON DR,GERMANTOWN,20874,06/14/2019,Pool approved to operate,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,GERMANTOWN PARK HOMES ASSOC,Community,"18400 CINNAMON DR
GERMANTOWN, MD 20874
(39.161145, -77.263354)",19619
PEPPERTREE FARM,14120 WEEPING WILLOW DR,SILVER SPRING,20906,06/14/2019,,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,PEPPERTREE GARDENS LLC,Apartments/Condos,"14120 WEEPING WILLOW DR
SILVER SPRING, MD 20906
(39.088854, -77.06692)",19830
ROLLINGWOOD,2535 ROSS RD,SILVER SPRING,20910,06/13/2019,,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,GREYSTAR,Apartments/Condos,"2535 ROSS RD
SILVER SPRING, MD 20910
(38.995738, -77.053072)",19865
WATERFORD,3333 W UNIVERSITY BLVD,KENSINGTON,20895,06/14/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,THE WATERFORD CONDO,Apartments/Condos,"3333 W UNIVERSITY BLVD
KENSINGTON, MD 20895
(39.035623, -77.065604)",19931
HOMEWOOD SUITES,805 RUSSELL AVE,GAITHERSBURG,20879,07/11/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ROCKVILLE HOSPITALITY LLC,Hotel,"805 RUSSELL AVE
GAITHERSBURG, MD 20879
(39.155652, -77.210673)",19638
WATKINS MILL,19501 CLUB LAKE RD,MONTGOMERY VILLAGE,20886,06/14/2019,Pool approved to operate,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MONTGOMERY VILLAGE FOUNDATION,Community,"19501 CLUB LAKE RD
MONTGOMERY VILLAGE, MD 20886
(39.176881, -77.209255)",19934
ROLLINGWOOD,2535 ROSS RD,SILVER SPRING,20910,06/13/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,GREYSTAR,Apartments/Condos,"2535 ROSS RD
SILVER SPRING, MD 20910
(38.995738, -77.053072)",19865
SAWYER FLATS I,9806 MAHOGANY DR,GAITHERSBURG,20878,06/13/2019,Pool approved to operate,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,THRIVE COMMUNITIES,Apartments/Condos,"9806 MAHOGANY DR
GAITHERSBURG, MD 20878
(39.114884, -77.201438)",19803
FIRESIDE,116 DUVALL LN,GAITHERSBURG,20877,07/19/2019,Pool closed but may resume operation once correcte,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,PROCAM LLC,Apartments/Condos,"116 DUVALL LN
GAITHERSBURG, MD 20877
(39.12885, -77.202086)",19662
FOXWOOD,117 AUTUMN HILL WAY,GAITHERSBURG,20878,06/26/2019,Pool closed AND requires re-inspection prior to re,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,FOXWOOD HOMEOWNERS ASSOCIATION,Apartments/Condos,"117 AUTUMN HILL WAY
GAITHERSBURG, MD 20878
(39.132237, -77.204172)",19979
MILESTONE,12700 ROYAL CARRIAGE DR,GERMANTOWN,20876,07/01/2019,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,LAURA ETCHISON,Community,"12700 ROYAL CARRIAGE DR
GERMANTOWN, MD 20876
(39.20473, -77.260924)",19770
GLEN WAYE GARDENS,2300 GREENERY LN,SILVER SPRING,20906,05/11/2018,Pool failed pre-opening. Reinspection Required.,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,GLEN WAYE GARDENS CONDOMINIUM,Apartments/Condos,"2300 GREENERY LN
SILVER SPRING, MD 20906
(39.06165, -77.048834)",19689
GLEN WAYE GARDENS,2300 GREENERY LN,SILVER SPRING,20906,05/31/2019,Pool approved to operate,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,GLEN WAYE GARDENS CONDOMINIUM,Apartments/Condos,"2300 GREENERY LN
SILVER SPRING, MD 20906
(39.06165, -77.048834)",19689
MILESTONE-GERMANTOWN,12526 GREAT PARK CIR,GERMANTOWN,20876,07/01/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,BRYAN HAHN,Apartments/Condos,"12526 GREAT PARK CIR
GERMANTOWN, MD 20876
(39.201424, -77.255994)",19771
CHEVY CHASE RECREATION ASSOC,8922 SPRING VALLEY RD,CHEVY CHASE,20815,06/27/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CHEVY CHASE RECREATION ASSOC,Other,"8922 SPRING VALLEY RD
CHEVY CHASE, MD 20815
(39.004559, -77.080268)",19612
FOREST,2021 BALTIMORE RD,ROCKVILLE,20851,07/11/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,BOZZUTO MANAGEMENT GROUP,Apartments/Condos,"2021 BALTIMORE RD
ROCKVILLE, MD 20851
(39.084779, -77.118265)",19668
GLEN WAYE GARDENS,2300 GREENERY LN,SILVER SPRING,20906,08/24/2018,Pool closed AND requires re-inspection prior to re,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,GLEN WAYE GARDENS CONDOMINIUM,Apartments/Condos,"2300 GREENERY LN
SILVER SPRING, MD 20906
(39.06165, -77.048834)",19689
GLEN WAYE GARDENS,2300 GREENERY LN,SILVER SPRING,20906,06/26/2018,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,GLEN WAYE GARDENS CONDOMINIUM,Apartments/Condos,"2300 GREENERY LN
SILVER SPRING, MD 20906
(39.06165, -77.048834)",19689
SIESTA KEYS,15250 SIESTA KEY WAY,Rockville,20850,07/01/2019,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,GREYSTAR RS NE LLC,Apartments/Condos,"15250 SIESTA KEY WAY
Rockville, MD 20850
(39.105851, -77.194318)",37015
STEDWICK,10401 STEDWICK RD,MONTGOMERY VILLAGE,20886,07/01/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MONTGOMERY VILLAGE FOUNDATION,Community,"10401 STEDWICK RD
MONTGOMERY VILLAGE, MD 20886
(39.170858, -77.213231)",19884
WHETSTONE,19140 BROOKE GROVE CT,MONTGOMERY VILLAGE,20886,07/01/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MONTGOMERY VILLAGE FOUNDATION,Community,"19140 BROOKE GROVE CT
MONTGOMERY VILLAGE, MD 20886
(39.169748, -77.197444)",19946
WESTCHESTER ROCKVILLE STATION,100 FIRST ST,ROCKVILLE,20850,07/19/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,EQUITY RESIDENTAL,Community,"100 FIRST ST
ROCKVILLE, MD 20850
(39.07958, -77.138049)",22509
GLEN WAYE GARDENS,2300 GREENERY LN,SILVER SPRING,20906,05/23/2018,Pool approved to operate,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,GLEN WAYE GARDENS CONDOMINIUM,Apartments/Condos,"2300 GREENERY LN
SILVER SPRING, MD 20906
(39.06165, -77.048834)",19689
VILLAGE OF DECOVERLY,9901 GABLE RIDGE TERR,ROCKVILLE,20960,07/20/2019,,,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,STELLER ADVISORS,Community,"9901 GABLE RIDGE TERR
ROCKVILLE, MD 20960
(39.108236, -77.20676)",19674
ELDWICK,11130 BROAD GREEN DR,POTOMAC,20854,07/18/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ELDWICK HOMES ASSOC,Country Club,"11130 BROAD GREEN DR
POTOMAC, MD 20854
(39.039817, -77.203208)",19653
SAYBROOKE,702 SAYBROOKE OAKS BLVD,GAITHERSBURG,20877,06/14/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,HOA,Community,"702 SAYBROOKE OAKS BLVD
GAITHERSBURG, MD 20877
(39.151235, -77.181713)",19868
COURTYARD CHEVY CHASE,5520 WISCONSIN AVE,CHEVY CHASE,20815,05/11/2018,Critical Violations Noted,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,GROSVENOR,Hotel,"5520 WISCONSIN AVE
CHEVY CHASE, MD 20815
(38.964264, -77.087517)",19720
LAKEWOOD COUNTRY CLUB,13901 GLEN MILL RD,ROCKVILLE,20850,06/17/2019,Pool closed but may resume operation once correcte,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,LAKEWOOD COUNTRY CLUB,Country Club,"13901 GLEN MILL RD
ROCKVILLE, MD 20850
(39.08438, -77.197761)",19748
MILLSTONE AT KINGSVIEW,13611 ALE HOUSE CIR,GERMANTOWN,20874,06/17/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MELANIE JETT,Apartments/Condos,"13611 ALE HOUSE CIR
GERMANTOWN, MD 20874",21224
CEDARBROOK CLUB,10150 CEDAR LN,KENSINGTON,20895,06/17/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,"CEDARBROOK CLUB, INC",Community,"10150 CEDAR LN
KENSINGTON, MD 20895
(39.022896, -77.082552)",19602
SUMMIT CREST,38 N SUMMIT AVE,GAITHERSBURG,20877,06/14/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,SOUTHERN MGMT CORPORATION,Community,"38 N SUMMIT AVE
GAITHERSBURG, MD 20877
(39.143288, -77.193115)",19895
CAMDEN-WASHINGTONIAN,10201 WASHINGTONIAN BLVD,Gaithersburg,20878,07/18/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CAMDEN,Apartments/Condos,"10201 WASHINGTONIAN BLVD
Gaithersburg, MD 20878
(39.118032, -77.206538)",33219
BRETTON WOODS,15700 RIVER RD,GERMANTOWN,20874,08/13/2018,No Critical Violations,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,INTERNATIONAL MONETARY FUND,Community,"15700 RIVER RD
GERMANTOWN, MD 20874
(39.077899, -77.327158)",19586
NORTH CHEVY CHASE,8817 BRIERLY RD,CHEVY CHASE,20815,06/17/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,SEAN MUFFITT,Country Club,"8817 BRIERLY RD
CHEVY CHASE, MD 20815
(39.00021, -77.0696)",19793
4620 NORTH PARK,4620 NORTH PARK AVE,Chevy Chase,20815,07/11/2019,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,LEGUN & NORMAN INC,Apartments/Condos,"4620 NORTH PARK AVE
Chevy Chase, MD 20815
(38.963345, -77.092494)",19552
FIRESIDE,116 DUVALL LN,GAITHERSBURG,20877,06/13/2019,Pool closed but may resume operation once correcte,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,PROCAM LLC,Apartments/Condos,"116 DUVALL LN
GAITHERSBURG, MD 20877
(39.12885, -77.202086)",19662
CONGRESSIONAL COUNTRY CLUB,8500 RIVER RD,BETHESDA,20817,06/12/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,"CONGRESSIONAL COUNTRY CLUB, INC",Country Club,"8500 RIVER RD
BETHESDA, MD 20817
(38.999234, -77.17405)",19632
LONDONDERRY-OUTDOOR,17041 DOWNING ST,GAITHERSBURG,20877,06/21/2019,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,KAY MANAGEMENT INC,Apartments/Condos,"17041 DOWNING ST
GAITHERSBURG, MD 20877
(39.136255, -77.208166)",19754
PROMENADE TOWERS,5225 POOKS HILL RD,BETHESDA,20814,07/10/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,PROMENADE TOWERS MUTUAL HOUSING CORP,Apartments/Condos,"5225 POOKS HILL RD
BETHESDA, MD 20814
(39.015152, -77.107936)",19845
BENDER JEWISH COMMUNITY CENTER,6125 MONTROSE RD,ROCKVILLE,20852,04/12/2018,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,JEWISH COMMUNITY CENTER,Other,"6125 MONTROSE RD
ROCKVILLE, MD 20852
(39.052735, -77.12432)",19702
NORTH CREEK PLACE,14435 PARKVALE RD,ROCKVILLE,20853,07/11/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CAPITOL MANAGEMENT CO,Apartments/Condos,"14435 PARKVALE RD
ROCKVILLE, MD 20853
(39.092933, -77.112373)",19795
