Reporting Area,MMWR Year,MMWR Week,"Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Current week","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Current week, flag","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Previous 52 weeks Max†","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Previous 52 weeks Max†, flag","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2020†","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2020†, flag","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2019†","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2019†, flag","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Current week","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Current week, flag","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Previous 52 weeks Max†","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Previous 52 weeks Max†, flag","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Cum 2020†","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Cum 2020†, flag","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Cum 2019†","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Cum 2019†, flag","Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Max†","Giardiasis, Previous 52 weeks Max†, flag","Giardiasis, Cum 2020†","Giardiasis, Cum 2020†, flag","Giardiasis, Cum 2019†","Giardiasis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
OHIO,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,1,,59,,50,,19,,OHIO,,20200218,POINT (-82.70936 40.415534)
WISCONSIN,2020,2,,-,0,,,-,,-,,-,2,,,-,,-,2,,37,,5,,17,,WISCONSIN,,20200219,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2020,2,,-,3,,,-,,-,,-,5,,,-,,-,7,,30,,13,,26,,,WEST NORTH CENTRAL,20200220,
IOWA,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,14,,2,,10,,IOWA,,20200221,POINT (-93.500061 42.074659)
PACIFIC,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,12,,101,,98,,210,,,PACIFIC,20200457,
GUAM,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,GUAM,,20200466,POINT (144.653198 13.3532)
TOTAL,2020,4,,-,4,,,-,,-,,-,8,,1,,1,,67,,361,,395,,733,,,TOTAL,20200470,
KANSAS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,,-,5,,KANSAS,,20200222,POINT (-98.38018 38.484729)
MINNESOTA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200223,POINT (-94.198308 46.349153)
MISSOURI,2020,2,,-,3,,,-,,-,,-,4,,,-,,-,6,,10,,8,,1,,MISSOURI,,20200224,POINT (-92.477244 38.3675)
NEBRASKA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,1,,6,,3,,1,,NEBRASKA,,20200225,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,6,,,-,7,,NORTH DAKOTA,,20200226,POINT (-100.46931 47.446305)
SOUTH DAKOTA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,9,,,-,2,,SOUTH DAKOTA,,20200227,POINT (-100.230491 44.43614)
SOUTH ATLANTIC,2020,2,,-,1,,,-,,-,,-,2,,,-,,-,4,,60,,10,,37,,,SOUTH ATLANTIC,20200228,
DELAWARE,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,DELAWARE,,20200229,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,4,,,-,4,,DISTRICT OF COLUMBIA,,20200230,POINT (-77.016275 38.904785)
FLORIDA,2020,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,39,,,-,21,,FLORIDA,,20200231,POINT (-82.420978 28.260731)
GEORGIA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,19,,,-,5,,GEORGIA,,20200232,POINT (-83.426574 32.638481)
MARYLAND,2020,2,,-,1,,,-,,-,,-,1,,,-,,-,2,,8,,6,,4,,MARYLAND,,20200233,POINT (-76.687282 38.946466)
NORTH CAROLINA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20200234,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2020,2,,-,0,,,-,,-,,-,2,,,-,,-,2,,9,,3,,3,,SOUTH CAROLINA,,20200235,POINT (-80.864614 33.878572)
VIRGINIA,2020,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,16,,1,,,-,VIRGINIA,,20200236,POINT (-78.666382 37.510861)
WEST VIRGINIA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,5,,,-,,-,WEST VIRGINIA,,20200237,POINT (-80.613729 38.642579)
EAST SOUTH CENTRAL,2020,2,,-,1,,,-,,-,,-,2,,,-,,-,,-,8,,,-,8,,,EAST SOUTH CENTRAL,20200238,
ALABAMA,2020,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,8,,,-,8,,ALABAMA,,20200239,POINT (-86.844516 32.756889)
KENTUCKY,2020,2,,-,1,,,-,,-,,-,1,,,-,,-,,N,,NC,,N,,N,KENTUCKY,,20200240,POINT (-85.290484 37.526683)
MISSISSIPPI,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20200241,POINT (-89.65344 32.713378)
TENNESSEE,2020,2,,-,1,,,-,,-,,-,1,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20200242,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2020,2,,-,2,,,-,,-,,-,1,,,-,,-,1,,17,,1,,4,,,WEST SOUTH CENTRAL,20200243,
ARKANSAS,2020,2,,-,2,,,-,,-,,-,1,,,-,,-,1,,9,,1,,,-,ARKANSAS,,20200244,POINT (-92.439162 34.899825)
LOUISIANA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,12,,,-,4,,LOUISIANA,,20200245,POINT (-91.840238 30.921314)
OKLAHOMA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20200246,POINT (-97.508297 35.583449)
TEXAS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20200247,POINT (-99.317341 31.447238)
MOUNTAIN,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,2,,53,,13,,46,,,MOUNTAIN,20200248,
ARIZONA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,1,,6,,5,,7,,ARIZONA,,20200249,POINT (-111.664616 34.293239)
COLORADO,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,22,,4,,15,,COLORADO,,20200250,POINT (-105.547832 38.998552)
IDAHO,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,7,,1,,9,,IDAHO,,20200251,POINT (-114.659366 44.389073)
MONTANA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,11,,,-,1,,MONTANA,,20200252,POINT (-109.645127 47.033521)
NEVADA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,5,,,-,3,,NEVADA,,20200253,POINT (-114.916992 39.283294)
NEW MEXICO,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,6,,,-,4,,NEW MEXICO,,20200254,POINT (-106.108388 34.421369)
UTAH,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,1,,9,,3,,7,,UTAH,,20200255,POINT (-111.678222 39.323779)
WYOMING,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,,-,,-,WYOMING,,20200256,POINT (-107.55145 42.999627)
ALASKA,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,8,,,-,5,,ALASKA,,20200258,POINT (-151.631889 63.631126)
CALIFORNIA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,11,,85,,17,,59,,CALIFORNIA,,20200259,POINT (-119.662127 37.211164)
HAWAII,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,1,,5,,HAWAII,,20200260,POINT (-157.854309 21.361013)
OREGON,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,1,,15,,2,,3,,OREGON,,20200261,POINT (-120.605279 43.940449)
WASHINGTON,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,11,,1,,13,,WASHINGTON,,20200262,POINT (-120.592492 47.411715)
US TERRITORIES,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,US TERRITORIES,20200263,
AMERICAN SAMOA,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,,AMERICAN SAMOA,20200264,
NORTHERN MARIANA ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200265,POINT (145.725693 15.1834)
GUAM,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,GUAM,,20200266,POINT (144.653198 13.3532)
PUERTO RICO,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,1,,,-,,-,PUERTO RICO,,20200267,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200268,POINT (-64.840836 18.060868)
NON-US RESIDENTS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,20200269,
TOTAL,2020,2,,-,4,,,-,,-,,-,7,,,-,,-,67,,390,,175,,380,,,TOTAL,20200270,
TOTAL,2020,3,,-,4,,,-,,-,,-,8,,,-,,-,80,,361,,278,,511,,,TOTAL,20200370,
US RESIDENTS,2020,3,,-,4,,,-,,-,,-,8,,,-,,-,80,,361,,278,,511,,,US RESIDENTS,20200301,
NEW HAMPSHIRE,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,,-,4,,NEW HAMPSHIRE,,20200306,POINT (-71.57139 43.680429)
NEW YORK,2020,3,,-,0,,,-,,-,,-,4,,,-,,-,23,,48,,28,,24,,NEW YORK,,20200311,POINT (-75.59655 42.921241)
PACIFIC,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,20,,101,,79,,138,,,PACIFIC,20200357,
WEST SOUTH CENTRAL,2020,3,,-,2,,,-,,-,,-,1,,,-,,-,4,,17,,5,,7,,,WEST SOUTH CENTRAL,20200343,
NEBRASKA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,2,,6,,5,,2,,NEBRASKA,,20200325,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,3,,-,1,,,-,,-,,-,2,,,-,,-,1,,8,,6,,10,,,EAST SOUTH CENTRAL,20200338,
NORTH DAKOTA,2020,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,3,,,-,7,,NORTH DAKOTA,,20200326,POINT (-100.46931 47.446305)
NEVADA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,5,,,-,4,,NEVADA,,20200353,POINT (-114.916992 39.283294)
ILLINOIS,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,20200315,POINT (-89.148632 40.124144)
IOWA,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,14,,2,,15,,IOWA,,20200321,POINT (-93.500061 42.074659)
TEXAS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20200347,POINT (-99.317341 31.447238)
ALASKA,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,8,,,-,5,,ALASKA,,20200358,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,4,,,-,4,,DISTRICT OF COLUMBIA,,20200330,POINT (-77.016275 38.904785)
WASHINGTON,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,11,,1,,20,,WASHINGTON,,20200362,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,3,,-,0,,,-,,-,,-,2,,,-,,-,13,,34,,30,,46,,,NEW ENGLAND,20200302,
RHODE ISLAND,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,7,,2,,3,,RHODE ISLAND,,20200307,POINT (-71.534637 41.572574)
OREGON,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,1,,15,,9,,9,,OREGON,,20200361,POINT (-120.605279 43.940449)
DELAWARE,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,DELAWARE,,20200329,POINT (-75.452394 38.994926)
ALABAMA,2020,3,,-,1,,,-,,-,,-,1,,,-,,-,1,,8,,6,,10,,ALABAMA,,20200339,POINT (-86.844516 32.756889)
KANSAS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,,-,9,,KANSAS,,20200322,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20200334,POINT (-79.130883 35.52603)
GUAM,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,GUAM,,20200366,POINT (144.653198 13.3532)
NEW JERSEY,2020,3,,-,1,,,-,,-,,-,2,,,-,,-,1,,18,,5,,27,,NEW JERSEY,,20200310,POINT (-74.655514 40.110253)
NEW MEXICO,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,6,,,-,5,,NEW MEXICO,,20200354,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,3,,-,1,,,-,,-,,-,2,,,-,,-,5,,73,,62,,66,,,EAST NORTH CENTRAL,20200314,
TENNESSEE,2020,3,,-,1,,,-,,-,,-,1,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20200342,POINT (-86.343226 35.842998)
CONNECTICUT,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,9,,,-,16,,CONNECTICUT,,20200303,POINT (-72.738288 41.575155)
MARYLAND,2020,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,8,,6,,7,,MARYLAND,,20200333,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,3,,-,0,,,-,,-,,-,2,,,-,,-,4,,9,,7,,4,,SOUTH CAROLINA,,20200335,POINT (-80.864614 33.878572)
OKLAHOMA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20200346,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200365,POINT (145.725693 15.1834)
OHIO,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,3,,59,,53,,22,,OHIO,,20200318,POINT (-82.70936 40.415534)
MINNESOTA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200323,POINT (-94.198308 46.349153)
LOUISIANA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,2,,12,,2,,7,,LOUISIANA,,20200345,POINT (-91.840238 30.921314)
HAWAII,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,1,,6,,HAWAII,,20200360,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,3,,-,1,,,-,,-,,-,2,,,-,,-,4,,51,,15,,58,,,SOUTH ATLANTIC,20200328,
PENNSYLVANIA,2020,3,,-,0,,,-,,-,,-,4,,,-,,-,2,,22,,14,,28,,PENNSYLVANIA,,20200313,POINT (-77.838886 40.896694)
UTAH,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,2,,9,,5,,11,,UTAH,,20200355,POINT (-111.678222 39.323779)
COLORADO,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,22,,4,,25,,COLORADO,,20200350,POINT (-105.547832 38.998552)
VERMONT,2020,3,,-,0,,,-,,-,,-,2,,,-,,-,,N,,NC,,N,,N,VERMONT,,20200308,POINT (-72.662695 44.075252)
KENTUCKY,2020,3,,-,1,,,-,,-,,-,1,,,-,,-,,N,,NC,,N,,N,KENTUCKY,,20200340,POINT (-85.290484 37.526683)
PUERTO RICO,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,1,,,-,,-,PUERTO RICO,,20200367,POINT (-66.414655 18.215692)
MAINE,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,8,,3,,5,,MAINE,,20200304,POINT (-69.06137 45.117911)
VIRGINIA,2020,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,16,,2,,1,,VIRGINIA,,20200336,POINT (-78.666382 37.510861)
ARIZONA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,3,,6,,8,,8,,ARIZONA,,20200349,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,,AMERICAN SAMOA,20200364,
WISCONSIN,2020,3,,-,0,,,-,,-,,-,2,,,-,,-,2,,37,,9,,21,,WISCONSIN,,20200319,POINT (-89.732969 44.639954)
IDAHO,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,7,,1,,11,,IDAHO,,20200351,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200368,POINT (-64.840836 18.060868)
MICHIGAN,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,18,,,-,23,,MICHIGAN,,20200317,POINT (-85.730977 44.874798)
GEORGIA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200332,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200312,
ARKANSAS,2020,3,,-,2,,,-,,-,,-,1,,,-,,-,2,,9,,3,,,-,ARKANSAS,,20200344,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20200341,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,9,,,-,3,,SOUTH DAKOTA,,20200327,POINT (-100.230491 44.43614)
WYOMING,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,1,,,-,WYOMING,,20200356,POINT (-107.55145 42.999627)
MISSOURI,2020,3,,-,3,,,-,,-,,-,4,,,-,,-,,-,10,,8,,6,,MISSOURI,,20200324,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,3,,-,1,,,-,,-,,-,5,,,-,,-,26,,61,,47,,79,,,MIDDLE ATLANTIC,20200309,
CALIFORNIA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,19,,86,,68,,98,,CALIFORNIA,,20200359,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,5,,,-,1,,WEST VIRGINIA,,20200337,POINT (-80.613729 38.642579)
FLORIDA,2020,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,39,,,-,41,,FLORIDA,,20200331,POINT (-82.420978 28.260731)
MONTANA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,11,,,-,1,,MONTANA,,20200352,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,3,,-,3,,,-,,-,,-,5,,,-,,-,2,,30,,15,,42,,,WEST NORTH CENTRAL,20200320,
MASSACHUSETTS,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,13,,22,,25,,18,,MASSACHUSETTS,,20200305,POINT (-71.481104 42.151077)
MOUNTAIN,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,5,,53,,19,,65,,,MOUNTAIN,20200348,
INDIANA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200316,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,20200369,
US TERRITORIES,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,US TERRITORIES,20200363,
NEW HAMPSHIRE,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,1,,13,,NEW HAMPSHIRE,,20200506,POINT (-71.57139 43.680429)
NEW YORK,2020,5,,-,0,,,-,,-,,-,4,,,-,,-,20,,53,,66,,59,,NEW YORK,,20200511,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2020,5,,-,2,,,-,,-,,-,1,,,-,,-,1,,17,,8,,20,,,WEST SOUTH CENTRAL,20200543,
NEBRASKA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,5,,6,,NEBRASKA,,20200525,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,5,,-,1,,,-,,-,,-,2,,,-,,-,3,,8,,12,,13,,,EAST SOUTH CENTRAL,20200538,
NORTH DAKOTA,2020,5,,-,1,,,-,,-,,-,1,,,-,,-,,-,3,,2,,8,,NORTH DAKOTA,,20200526,POINT (-100.46931 47.446305)
NEVADA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,5,,,-,6,,NEVADA,,20200553,POINT (-114.916992 39.283294)
ILLINOIS,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,20200515,POINT (-89.148632 40.124144)
IOWA,2020,5,,-,0,,,-,,-,,-,1,,,-,,-,,-,14,,4,,22,,IOWA,,20200521,POINT (-93.500061 42.074659)
TEXAS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20200547,POINT (-99.317341 31.447238)
ALASKA,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,8,,,-,6,,ALASKA,,20200558,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,4,,,-,6,,DISTRICT OF COLUMBIA,,20200530,POINT (-77.016275 38.904785)
WASHINGTON,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,11,,6,,34,,WASHINGTON,,20200562,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,5,,-,0,,,-,,-,,-,2,,,-,,-,6,,34,,49,,81,,,NEW ENGLAND,20200502,
RHODE ISLAND,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,7,,4,,4,,RHODE ISLAND,,20200507,POINT (-71.534637 41.572574)
OREGON,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,2,,15,,14,,23,,OREGON,,20200561,POINT (-120.605279 43.940449)
DELAWARE,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,1,,3,,DELAWARE,,20200529,POINT (-75.452394 38.994926)
TOTAL,2020,14,,-,4,,1,,,-,,-,9,,6,,10,,34,,406,,2133,,3264,,,TOTAL,20201470,
ALABAMA,2020,5,,-,1,,,-,,-,,-,1,,,-,,-,3,,8,,12,,13,,ALABAMA,,20200539,POINT (-86.844516 32.756889)
KANSAS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,,-,12,,KANSAS,,20200522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20200534,POINT (-79.130883 35.52603)
GUAM,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,GUAM,,20200566,POINT (144.653198 13.3532)
NEW JERSEY,2020,5,,-,1,,,-,,-,,-,2,,,-,2,,,-,18,,9,,43,,NEW JERSEY,,20200510,POINT (-74.655514 40.110253)
NEW MEXICO,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,1,,6,,3,,8,,NEW MEXICO,,20200554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,5,,-,1,,,-,,-,,-,2,,,-,,-,16,,74,,99,,115,,,EAST NORTH CENTRAL,20200514,
TENNESSEE,2020,5,,-,1,,,-,,-,,-,1,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20200542,POINT (-86.343226 35.842998)
CONNECTICUT,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,9,,,-,22,,CONNECTICUT,,20200503,POINT (-72.738288 41.575155)
MARYLAND,2020,5,,-,1,,,-,,-,,-,1,,,-,,-,1,,8,,8,,14,,MARYLAND,,20200533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,5,,-,0,,,-,,-,,-,2,,,-,,-,1,,9,,13,,14,,SOUTH CAROLINA,,20200535,POINT (-80.864614 33.878572)
OKLAHOMA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20200546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200565,POINT (145.725693 15.1834)
OHIO,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,14,,59,,72,,45,,OHIO,,20200518,POINT (-82.70936 40.415534)
MINNESOTA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200523,POINT (-94.198308 46.349153)
LOUISIANA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,12,,2,,16,,LOUISIANA,,20200545,POINT (-91.840238 30.921314)
HAWAII,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,2,,7,,HAWAII,,20200560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,5,,-,1,,,-,,-,,-,2,,,-,,-,3,,60,,31,,154,,,SOUTH ATLANTIC,20200528,
PENNSYLVANIA,2020,5,,-,0,,,-,,-,,-,4,,1,,,-,1,,22,,24,,37,,PENNSYLVANIA,,20200513,POINT (-77.838886 40.896694)
UTAH,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,3,,9,,11,,17,,UTAH,,20200555,POINT (-111.678222 39.323779)
COLORADO,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,22,,32,,38,,COLORADO,,20200550,POINT (-105.547832 38.998552)
VERMONT,2020,5,,-,0,,,-,,-,,-,2,,,-,,-,,N,,NC,,N,,N,VERMONT,,20200508,POINT (-72.662695 44.075252)
KENTUCKY,2020,5,,-,1,,,-,,-,,-,1,,,-,,-,,N,,NC,,N,,N,KENTUCKY,,20200540,POINT (-85.290484 37.526683)
PUERTO RICO,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,1,,,-,,-,PUERTO RICO,,20200567,POINT (-66.414655 18.215692)
MAINE,2020,5,,-,0,,,-,,-,,-,1,,,-,,-,4,,8,,8,,7,,MAINE,,20200504,POINT (-69.06137 45.117911)
VIRGINIA,2020,5,,-,1,,,-,,-,,-,1,,,-,,-,1,,16,,9,,4,,VIRGINIA,,20200536,POINT (-78.666382 37.510861)
