Customer,Address Line 1,Address Line 2,City,State,Zip,Date Enrolled,VAT202 Category,Status,Observation Date,Crash Notification,Conviction Notification,Suspension Notification,Point Insurance Reduction Course Completion Notification,Driver Status Change Notification,License Expiration Notification,Hazardous Material Endorsement Notification,CDL Medical Certification Status Change Notification,Ticket Notification,Drivers Monitored,Latest Driver Add Date,Latest Driver Drop Date,LENS Internet Interface Users
BMB LEASING CORP,567 FIFTH AVENUE,,NEW ROCHELLE,NY,10801,03/17/2008,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,N,N,Y,N,N,4,03/17/2020,03/07/2019,1
BMJ EXPRESS CORP,1929 W 9TH ST,,BROOKLYN,NY,11223,07/30/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,0,12/07/2019,12/12/2019,2
BMS BATTERY INC,161 25TH STREET,,BROOKLYN,NY,11232,10/23/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,Y,N,19,04/29/2020,05/04/2020,1
BMT HOSPITALITY LLC,3615 VESTAL PARKWAY E,,VESTAL,NY,13850,05/09/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,N,Y,N,N,N,0,,,1
BNOS ESTHER PAPA,P. O. BOX 978,,MONSEY,NY,10952,11/12/2014,PAYING,ACTIVE,05/07/2020,N,N,N,N,N,N,N,N,N,0,,,0
BNYCP/PALMARK,63 FLUSHING AVENUE,BUILDING 41,BROOKLYN,NY,11205,04/16/2003,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,0,,,0
BNYDC,141 FLUSHING AVE UNIT 801,,BROOKLYN,NY,11205,03/28/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,Y,N,1,10/22/2019,01/02/2020,1
BOB FANCHER,115 CONTINUUM DRIVE,,LIVERPOOL,NY,13088,05/30/2003,PAYING,NOT ACTIVE,05/07/2020,N,N,Y,N,Y,N,N,N,N,0,,,0
BOB GAULT,2507 NORTH STREET,,ENDICOTT,NY,13760,06/12/2001,PAYING,NOT ACTIVE,05/07/2020,Y,N,N,N,N,N,N,N,N,0,,,0
BOB GAYDOS AUTO BODY,6212 RTE 2091,PO BOX 425,KEEHONKSON,NY,12446,08/07/2006,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,0,,,0
"BOB TALHAM, INC",71 BRUNSWICK ROAD,,TROY,NY,12180,04/21/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,0,,,1
BOB YOCKEY,2240 OLD UNION ROAD,,CHEEKTOWAGA,NY,14227,06/20/2002,PAYING,NOT ACTIVE,05/07/2020,N,N,Y,N,Y,N,N,N,N,0,,,0
"BOB'S INSTANT PLUMBING, INC",4652 ROUTE 9 SOUTH,,PLATTSBURGH,NY,12901,06/24/2014,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,0,,,1
BOB'S TREE AND STUMP AERVICE,9731 BLACK CREEK RD,,BREWERTON,NY,13029,10/02/2018,PAYING,ACTIVE,05/07/2020,Y,N,Y,N,N,Y,N,Y,N,4,10/25/2018,,1
BOBAR'S INTERSTATE TOWING LTD.,104 OLD MILL LN,,SCHENECTADY,NY,12306,03/03/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,18,03/02/2020,03/06/2020,2
"BOBCAT OF NEW YORK, INC.",5864A MAURICE AVE,,MASPETH,NY,11378,10/03/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,8,03/13/2018,10/09/2019,1
BOBS DINER,929 19TH STREET,,WATERVLIET,NY,12189,03/09/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,0,,,1
BOCES BROOME TIOGA,435 GLENWOOD ROAD,,BINGHAMTON,NY,13905,10/03/2000,EXEMPT,NOT ACTIVE,05/07/2020,N,N,Y,N,N,N,N,N,N,0,,,0
BOCES BROOME TIOGA,435 GLENWOOD RD.,,BINGHAMTON,NY,13905,05/30/2017,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,N,N,N,Y,N,1,06/23/2017,08/22/2018,1
BOCES CAPITAL REGION,900 WATEVLIET SHAKER RD. SUITE 102,,ALBANY,NY,12205,01/24/2012,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,334,03/24/2020,11/21/2019,4
BOCES CATTARAUGUS ALLEGANY,1825 WINDFALL ROAD,,OLEAN,NY,14760,03/29/2010,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,N,Y,N,N,N,20,04/23/2020,04/23/2020,1
BOCES CAYUGA-ONONDAGA,1879 W. GENESEE STREET ROAD,,AUBURN,NY,13021,04/26/2010,EXEMPT,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,5,07/12/2010,,0
BOCES CAYUGA-ONONDAGA,1879 WEST GENESEE STREET ROAD,,AUBURN,NY,13021,06/09/2011,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,8,04/22/2020,04/22/2020,1
BOCES CAYUGA-ONONDAGA,1879 WEST GENESEE ST RD,,AUBURN,NY,13021,10/27/2011,EXEMPT,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,5,06/20/2013,,0
BOCES DCMO,6678 CT RD 32,,NORWICH,NY,13815,05/13/2010,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,8,06/13/2019,06/12/2018,1
BOCES DELAWARE-CHENANGO-MADISON-OTSEGO,6678 COUNTY RD 32,,NORWICH,NY,13815,04/24/2013,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,Y,N,8,10/15/2019,09/16/2019,2
BOCES DELAWARE-CHENANGO-MADISON-OTSEGO,6678 COUNTY ROAD 32,,NORWICH,NY,13815,03/24/2016,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,3,04/05/2019,03/23/2018,3
BOCES DUTCHESS COUNTY,5 BOCES ROAD,,POUGHKEEPSIE,NY,12601,02/04/2015,EXEMPT,ACTIVE,05/07/2020,N,N,N,N,N,N,N,Y,N,15,11/07/2019,01/21/2020,1
BOCES EASTERN SUFFOLK,201 SUNRISE HIGHWAY,,PATCHOGUE,NY,11772,01/30/2007,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,Y,N,280,05/06/2020,05/06/2020,2
BOCES ERIE 2 CHAUTAUQUA CATTARAUGUS,8685 ERIE RD,,ANGOLA,NY,14006,04/17/2008,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,47,06/10/2019,04/24/2019,3
BOCES ERIE2 CHAUTAUQUA CATTARAUGUS,8685 ERIE RD,,ANGOLA,NY,14006,06/02/2011,EXEMPT,NOT ACTIVE,05/07/2020,N,Y,Y,N,Y,Y,N,N,N,20,06/16/2017,,0
BOCES FRANKLIN-ESSEX-HAMILTON,23 HUSKIE LANE,PO BOX 28,MALONE,NY,12953,06/29/2016,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,1,06/07/2018,02/05/2020,2
BOCES GENESEE LIVINGSTON STEUBEN WYOMING,40 SPRING STREET,PO BOX E,LIVONIA,NY,14487,11/24/2010,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,176,03/27/2020,03/20/2020,1
BOCES GREATER SOUTHERN TIER,459 PHILO ROAD,,ELMIRA,NY,14903,05/17/2010,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,62,01/22/2020,05/16/2018,3
BOCES HERKIMER-FULTON-HAMILTON-OTSEGO,352 GROS BLVD,,HERKIMER,NY,13350,09/17/2013,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,5,12/13/2019,05/24/2018,1
BOCES JEFFERSON LEWIS,20104 STATE ROUTE 3,,WATERTOWN,NY,13601,03/05/2014,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,29,03/20/2020,03/20/2020,1
BOCES MADISON ONEIDA,1136 FREEDOM DRIVE,,ONEIDA,NY,13421,08/31/2015,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,97,02/04/2020,01/11/2019,1
BOCES MADISON ONEIDA PERSONNEL,4937 SPRING RD,PO BOX 168,VERONA,NY,13478,08/04/2009,EXEMPT,NOT ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,11,09/10/2009,02/04/2013,0
BOCES MADISON-ONEIDA,4937 SPRING RD.,PO BOX 168,VERONA,NY,13478,03/29/2010,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,N,Y,N,N,N,8,02/20/2020,11/20/2019,1
BOCES MADISON-ONEIDA  ADULT & CONTINUING ED,4937 SPRING RD.,PO BOX 168,VERONA,NY,13421,11/01/2010,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,Y,N,N,N,N,6,05/01/2019,05/01/2019,1
BOCES MONROE 2 ORLEANS,3599 BIG RIDGE RD,,SPENCERPORT,NY,14559,02/19/2004,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,337,02/18/2020,03/31/2020,3
BOCES NASSAU,100 HASKET DR.,,SYOSSET,NY,11791,02/04/2015,EXEMPT,NOT ACTIVE,05/07/2020,N,N,N,N,N,N,N,Y,N,0,,,0
BOCES ONEIDA-HERKIMER-MADSION,1214 LINCOLN AVENUE,,UTICA,NY,13502,05/28/2010,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,10,06/12/2019,,1
BOCES ONONDAGA-CORTLAND-MADISON,4500 CROWN ROAD,,LIVERPOOL,NY,13090,04/07/2010,EXEMPT,ACTIVE,05/07/2020,N,Y,Y,N,Y,Y,N,N,N,9,04/29/2019,06/24/2019,1
BOCES ORLEANS NIAGARA,4232 SHELBY BASIN RD,,MEDINA,NY,14103,02/13/2008,EXEMPT,ACTIVE,05/07/2020,N,Y,Y,N,N,Y,N,N,N,151,02/25/2020,11/06/2019,1
BOCES OSWEGO COUNTY,179 COUNTY RTE. 64,,MEXICO,NY,13114,03/30/2010,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,11,01/24/2020,05/06/2019,1
BOCES OSWEGO COUNTY,179 COUNTY ROUTE 64,,MEXICO,NY,13114,02/08/2008,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,199,03/09/2020,01/03/2020,3
BOCES OTSEGO NORTHERN CATSKILLS,2020 JUMP BROOK RD,PO BOX 382,GRAND GORGE,NY,12434,06/29/2010,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,3,03/12/2018,03/13/2018,1
BOCES OTSEGO NORTHERN CATSKILLS,2020 JUMP BROOK ORAD,PO BOX 382,GRAND GORGE,NY,12434,06/06/2008,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,31,11/19/2019,11/19/2019,1
BOCES PUTNAM NORTHERN WESTCHESTER,200 BOCES DRIVE,,YORKTOWN HGHTS,NY,10598,07/30/2012,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,0,,,1
BOCES ROCKLAND,65 PARROTT RD.,,WEST NYACK,NY,10994,04/30/2014,EXEMPT,NOT ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,Y,N,0,,,0
BOCES ROCKLAND  C/O (LMI),60 N HARRISON AVE,STE 40,CONGERS,NY,10920,11/29/2005,EXEMPT,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,0,,,0
BOCES SCHUYLER-STEUBEN-CHEMUNG-TIOGA,9579 VOCATIONAL DRIVE,,PAINTED POST,NY,14870,12/03/2010,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,3,11/03/2011,05/15/2013,1
BOCES ST LAWRENCE LEWIS,7225 NY 56,,NORWOOD,NY,13642,05/03/2013,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,1,06/17/2016,01/27/2020,1
BOCES SULLIVAN COUNTY,6 WIERK AVENUE,,LIBERTY,NY,12754,06/25/2012,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,139,03/17/2020,03/05/2020,1
BOCES TOMPKINS SENECA TIOGA,555 WARREN RD,,ITHACA,NY,14850,12/24/2007,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,346,02/14/2020,11/18/2019,2
BOCES ULSTER COUNTY,175 RTE 32 NORTH,,NEW PALTZ,NY,12561,06/11/2008,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,Y,N,333,08/17/2015,10/01/2014,2
BOCES WAYNE-FINGER LAKES,EISENHOWER BUILDING,131 DRUMLIN COURT,NEWARK,NY,14513,03/31/2010,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,201,02/10/2020,11/13/2019,2
BOCES WAYNE-FINGER LAKES (LMI),EISENHOWER BLDG,131 DRUMLIN CT,NEWARK,NY,14513,09/04/2015,EXEMPT,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,0,,,1
BOENING BROS INC,1098 RTE 109,,N LINDENHURST,NY,11757,08/19/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,Y,N,65,01/08/2020,01/08/2020,1
BOENING BROS. INC.,1098 ROUTE 109,,N LINDENHURST,NY,11757,07/21/2016,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,Y,N,0,,,0
BOGHT COMMUNITY FIRE DISTRICT,8 PRESTON DRIVE,,COHOES,NY,12047,01/12/2011,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,38,02/20/2019,03/05/2020,1
BOHEMIA FIRE DISTRICT,950 PEARL ST,5 KATHY LANE,BOHEMIA,NY,11716,09/11/2006,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,80,12/13/2018,12/01/2019,1
BOHREN LOGISTICS INC,325 NORTH TAYLOR ROAD,,GARRETT,IN,46738,02/20/2017,PAYING,NOT ACTIVE,05/07/2020,N,N,Y,N,Y,N,N,Y,N,1,03/03/2017,,0
BOICE BROTHERS DAIRY INC,36 O'NEIL STREET,,KINGSTON,NY,12401,06/02/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,Y,Y,N,9,01/23/2019,01/23/2019,1
BOILERMATIC WELDING INDUSTRIES INC,17 PECONIC AVENUE,,MEDFORD,NY,11763,07/10/2013,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,11,01/10/2020,06/13/2019,1
"BOILEROOM EQUIPMENT SALES, LLC",64 OAK DRIVE,,SYOSSET,NY,11791,06/12/2015,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,Y,N,N,15,07/10/2019,04/13/2018,1
"BOILEROOM RENTALS, LLC",64 OAK DRIVE,,SYOSSET,NY,11791,06/12/2015,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,Y,N,N,0,,,1
"BOILEROOM TECHNOLOGIES, LLC",64 OAK DRIVE,,SYOSSET,NY,11791,06/12/2015,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,Y,N,N,0,,,1
"BOLAND'S EXCAVATING & TOPSOIL, INC.",1403 MILLBURN DRIVE,,CONKLIN,NY,13748,02/01/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,23,10/23/2018,10/23/2018,2
BOLIVAR-RICHBURG CENTRAL SCHOOL,100 SCHOOL STREET,,BOLIVAR,NY,14715,10/09/2015,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,27,02/10/2020,02/26/2019,1
BOLT PARKING LLC,8415 ASTORIA BOULEVARD,,EAST ELMHURST,NY,11370,12/06/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,17,02/27/2020,03/04/2020,1
BOLT TRANSPORTATION INC,933 LIMPET DR,,WEBSTER,NY,14580,08/13/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,0,,,1
BOLTON CENTRAL SCHOOL,26 HORICON AVENUE,,BOLTON LANDING,NY,12814,02/04/2011,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,10,10/07/2014,10/22/2019,1
"BOLTON EMERGENCY MEDICAL SERVICES, INC",5003 LAKE SHORE DRIVE,PO BOX 1054,BOLTON LANDING,NY,12814,05/16/2016,EXEMPT,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,N,N,N,N,0,,,0
BOLTON FIRE DISTRICT,5003 LAKE SHORE DR,PO BOX 1365,BOLTON LANDING,NY,12814,03/11/2011,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,N,Y,N,N,N,30,03/23/2020,01/29/2020,1
BOLTON FIRE DISTRICT,5003 LAKE SHORE DRIVE,,BOLTON LANDING,NY,12814,02/04/2010,EXEMPT,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,N,Y,Y,N,N,0,,,0
BOMBARDIER,"JFK INTERNATIONAL AIRPORT, BLDG 402",PAN AM RD,JAMAICA,NY,11430,09/18/2007,PAYING,ACTIVE,05/07/2020,N,Y,Y,N,Y,Y,N,N,N,113,03/04/2020,02/27/2020,1
BOMBARDIER TRANSPORTATION,JFK INTERNATIONAL AIRPORT,EAST HANGAR RD  BLDG 15,JAMAICA,NY,11430,10/18/2000,PAYING,NOT ACTIVE,05/07/2020,N,N,Y,N,N,N,N,N,N,0,,,0
BOMBAY VOL FIRE  RESCUE DEPT,1856 STATE ROUTE 95,PO BOX 27,BOMBAY,NY,12914,04/01/2011,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,30,08/31/2011,,1
BON SECOURS CHARITY HEALTH SYSTEM,255 LAFAYETTE AVE,,SUFFERN,NY,10901,06/20/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,222,04/28/2020,04/28/2020,1
BONACIO CONSTRUCTION INCORPORATED,18 DIVISION STREET SUITE 401,,SARATOGA SPGS,NY,12866,06/10/2011,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,161,05/05/2020,02/17/2020,2
"BONADIO & CO., LLP",432 NORTH FRANKLIN ST. # 60,,SYRACUSE,NY,13204,12/04/2009,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,634,04/28/2020,04/08/2020,1
BONDED BUILDING MATERIALS,1329 AMSTERDAM RD,,SCOTIA,NY,12302,01/30/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,0,,,1
BONDED CONCRETE,P O BOX 189,,WATERVLIET,NY,12189,05/11/2004,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,Y,Y,N,84,04/21/2020,04/29/2020,3
BONDEE ENTERPRISES INC,151-01 14TH AVE,,WHITESTONE,NY,11357,09/07/2006,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,N,N,Y,Y,N,N,0,,,0
BONHAMS AND BUTTERFIELDS AUCTIONEERS CORP,220 SAN BRUNO AVE,,SAN FRANCISCO,CA,94103,05/07/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,1,06/29/2018,,1
BONNIE STIBER,29 LIBERTY STREET,,BATAVIA,NY,14020,09/04/2002,PAYING,NOT ACTIVE,05/07/2020,N,N,Y,N,Y,N,N,N,N,0,,,0
BONTON OF SYRACUSE INC,459 BURNET AVE,,SYRACUSE,NY,13203,11/16/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,17,08/27/2019,08/27/2019,2
BOOM!HEALTH,760 EAST 160TH STREET,,BRONX,NY,10456,07/10/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,8,12/16/2019,12/16/2019,2
BOON & SONS INC,1 BOON DRIVE,PO BOX 370,NORTH CHILI,NY,14514,06/23/2009,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,39,10/29/2018,01/09/2019,1
BOONVILLE VILLAGE,13149 STATE ROUTE 12,,BOONVILLE,NY,13309,07/18/2012,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,17,07/19/2019,07/19/2018,1
BOQUET VALLEY CENTRAL SCHOOL DISTRICT,7530 COURT ST,,ELIZABETHTOWN,NY,12932,02/04/2015,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,Y,Y,N,22,02/05/2020,02/10/2020,2
BORAX PAPER PRODUCTS,1390 SPOFFORD AVENUE,,BRONX,NY,10474,03/06/2013,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,22,05/01/2014,01/14/2014,0
BORDEN HOSE CO #1,1698 STATE HWY 8,PO BOX 197,MT UPTON,NY,13809,02/15/2018,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,0,,,1
BOROUGH OF BUTLER,1 ACE RD,,BUTLER,NJ,07405,01/20/2006,EXEMPT,NOT ACTIVE,05/07/2020,Y,N,Y,N,N,N,N,N,N,0,,,0
"BORWEGEN TRUCKING, INC.",6570 STATE RT. 81,,GREENVILLE,NY,12083,02/11/2015,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,17,04/29/2020,04/29/2020,1
BOSTON BUFFALO EXPRESS,7200 FLY RD,,EAST SYRACUSE,NY,13057,01/11/2001,PAYING,NOT ACTIVE,05/07/2020,N,N,Y,N,N,N,N,N,N,0,,,0
BOSTON DELUXE INC.,PO BOX 737224,,ELMHURST,NY,11373,12/12/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,0,,,1
BOSTON FIRE COMPANY,PO BOX 357,,BOSTON,NY,14025,01/26/2014,EXEMPT,ACTIVE,05/07/2020,N,Y,Y,N,Y,Y,N,N,N,29,02/24/2018,04/04/2019,1
BOTHAR CONSTRUCTION LLC,170 EAST SERVICE ROAD,,BINGHAMTON,NY,13901,01/24/2014,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,70,04/27/2020,05/01/2020,1
BOTTINI FUEL,2785 WEST MAIN ST,,WAPPINGER FALLS,NY,12590,08/28/2001,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,Y,N,N,185,04/24/2020,05/05/2020,3
BOTTO MECHANICAL CORPORATION,95 COMMERCIAL STREET,,PLAINVIEW,NY,11803,03/22/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,18,09/26/2019,,1
BOUILLE ELECTRIC INC,154 E 5TH STREET,NEW YORK,ELMIRA,NY,14901,01/02/2020,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,Y,N,0,,,1
BOULDER OIL COMPANY,3 RAILROAD AVE,PO BOX 361,UNADILLA,NY,13849,08/07/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,Y,Y,N,6,12/17/2019,02/27/2020,1
BOULEVARD TRUCKING CORP.,344 TIFFANY STREET,,BRONX,NY,10474,03/10/2010,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,1,08/23/2010,,1
"BOULEY ASSOCIATES, INC.",265 GENESEE STREET,,AUBURN,NY,13021,10/16/2014,PAYING,ACTIVE,05/07/2020,N,N,N,N,N,N,N,N,N,0,,,1
"BOULTER INDUSTRIAL CONTRACTORS, INC",P.O. BOX 967,,WEBSTER,NY,14580,09/26/2014,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,24,04/01/2019,01/05/2020,2
BOVE INDUSTRIES INC.,16 HULSE RD,,ESETAUKET,NY,11733,09/05/2014,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,80,05/04/2020,01/06/2020,1
"BOWERY RESIDENTS COMMITTEE, INC.",131 WEST 25TH STREET,12TH FLOOR,NEW YORK,NY,10001,10/23/2019,PAYING,ACTIVE,05/07/2020,N,N,Y,N,Y,Y,N,N,N,149,01/31/2020,01/31/2020,2
BOWLES CORPORATE SERVICES,100 EAST OLD COUNTRY ROAD,,MINEOLA,NY,11501,04/05/2011,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,N,Y,Y,N,N,32,12/29/2011,,0
BOWMAN ELITE ENTERPRISES LLC,2094 MAIN ST,,NEW WOODSTOCK,NY,13122,04/25/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,Y,N,1,11/10/2018,12/13/2018,1
BOWSER-REGAL INC.,6202 SHORTMAN ROAD,,RIPLEY,NY,14775,09/24/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,42,04/27/2020,04/23/2020,3
BOXART,79 NORTH 5TH ST,,BROOKLYN,NY,11249,01/16/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,0,,,1
BOXER TRUCKING LLC,2208 SINE RD,,AUBURN,NY,13021,02/28/2013,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,1,03/02/2015,03/01/2018,2
BOXLEYS SERVICES,22 WESTBURY DRIVE,,SARATOGA SPGS,NY,12866,11/18/2014,PAYING,ACTIVE,05/07/2020,N,N,N,N,N,N,N,N,N,9,10/20/2015,,1
BOYCE EXCAVATING,2817 US ROUTE 6,PO BOX 367,SLATE HILL,NY,10924,03/03/2020,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,0,,,1
BOYD ARTESIAN WELL CO INC,1054 ROUTE 52,,CARMEL,NY,10512,02/28/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,Y,Y,N,16,02/26/2020,03/02/2020,1
BOYS & GIRLS CLUB OF OYSTER BAY- EAST NORWICH,1 PINE HOLLOW ROAD,,OYSTER BAY,NY,11771,11/13/2008,PAYING,ACTIVE,05/07/2020,N,Y,Y,N,Y,Y,N,N,N,12,03/12/2020,03/12/2020,1
BOYS & GIRLS CLUBS OF SYRACUSE,201 HAMILTON ST.,,SYRACUSE,NY,13204,07/29/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,0,,,1
BOYS TOWN NEW YORK,451 PARK AVENUE SOUTH 2ND FLOOR,,NEW YORK,NY,10016,03/21/2016,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,61,04/25/2017,06/09/2017,0
BP ELEVATOR CO,1400 PARKER STREET,,BRONX,NY,10462,11/06/2012,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,28,10/25/2019,03/16/2020,1
