Data as of,Start week,End Week,Group,State,Indicator,COVID Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID Deaths,Influenza Deaths,"Pneumonia, Influenza, and COVID Deaths",Footnote
05/07/2020,04/18/2020,04/18/2020,By week,Mississippi,Week-ending,51,676,1.14,79,24,0,106,
05/07/2020,04/25/2020,04/25/2020,By week,Mississippi,Week-ending,38,596,1.01,58,14,0,82,
05/07/2020,05/02/2020,05/02/2020,By week,Mississippi,Week-ending,18,359,0.49,27,,0,40,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/01/2020,02/01/2020,By week,Missouri,Week-ending,0,1346,1,86,0,12,98,
05/07/2020,02/08/2020,02/08/2020,By week,Missouri,Week-ending,0,1313,0.96,71,0,,75,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/15/2020,02/15/2020,By week,Missouri,Week-ending,0,1326,0.94,65,0,13,78,
05/07/2020,02/22/2020,02/22/2020,By week,Missouri,Week-ending,0,1333,1,61,0,30,91,
05/07/2020,02/29/2020,02/29/2020,By week,Missouri,Week-ending,0,1322,1.02,88,0,24,112,
05/07/2020,03/07/2020,03/07/2020,By week,Missouri,Week-ending,0,1306,1,85,0,22,107,
05/07/2020,03/14/2020,03/14/2020,By week,Missouri,Week-ending,0,1216,0.93,76,0,20,96,
05/07/2020,03/21/2020,03/21/2020,By week,Missouri,Week-ending,,1182,0.89,61,,22,83,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/28/2020,03/28/2020,By week,Missouri,Week-ending,12,1222,0.96,98,,13,116,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/04/2020,04/04/2020,By week,Missouri,Week-ending,41,1158,0.95,100,18,,129,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/11/2020,04/11/2020,By week,Missouri,Week-ending,77,1279,1.06,92,23,,147,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/18/2020,04/18/2020,By week,Missouri,Week-ending,59,1081,0.88,75,14,,122,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/25/2020,04/25/2020,By week,Missouri,Week-ending,43,873,0.71,70,16,0,97,
05/07/2020,05/02/2020,05/02/2020,By week,Missouri,Week-ending,12,442,0.31,22,,0,30,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/01/2020,02/01/2020,By week,Montana,Week-ending,0,217,1.05,10,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/08/2020,02/08/2020,By week,Montana,Week-ending,0,202,0.94,,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/15/2020,02/15/2020,By week,Montana,Week-ending,0,198,0.9,,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/22/2020,02/22/2020,By week,Montana,Week-ending,0,218,0.97,15,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/29/2020,02/29/2020,By week,Montana,Week-ending,0,235,1.14,,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/07/2020,03/07/2020,By week,Montana,Week-ending,0,218,0.96,12,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/14/2020,03/14/2020,By week,Montana,Week-ending,0,218,1.06,11,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/21/2020,03/21/2020,By week,Montana,Week-ending,0,225,1.09,21,0,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/28/2020,03/28/2020,By week,Montana,Week-ending,,201,1.1,21,,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/04/2020,04/04/2020,By week,Montana,Week-ending,,173,0.85,12,0,,16,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/11/2020,04/11/2020,By week,Montana,Week-ending,0,192,0.98,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/18/2020,04/18/2020,By week,Montana,Week-ending,0,121,0.6,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/25/2020,04/25/2020,By week,Montana,Week-ending,0,94,0.49,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,05/02/2020,05/02/2020,By week,Montana,Week-ending,0,33,0.18,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/01/2020,02/01/2020,By week,Nebraska,Week-ending,0,372,1.07,28,0,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/08/2020,02/08/2020,By week,Nebraska,Week-ending,0,345,0.94,21,0,,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/15/2020,02/15/2020,By week,Nebraska,Week-ending,0,325,0.95,28,0,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/22/2020,02/22/2020,By week,Nebraska,Week-ending,0,316,0.88,29,0,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/29/2020,02/29/2020,By week,Nebraska,Week-ending,0,340,0.99,22,0,,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/07/2020,03/07/2020,By week,Nebraska,Week-ending,0,355,1.02,29,0,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/14/2020,03/14/2020,By week,Nebraska,Week-ending,0,337,0.96,24,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/21/2020,03/21/2020,By week,Nebraska,Week-ending,0,341,1.08,31,0,,33,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/28/2020,03/28/2020,By week,Nebraska,Week-ending,,322,0.92,20,0,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/04/2020,04/04/2020,By week,Nebraska,Week-ending,,299,0.87,29,,,33,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/11/2020,04/11/2020,By week,Nebraska,Week-ending,11,303,0.93,19,,0,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/18/2020,04/18/2020,By week,Nebraska,Week-ending,,245,0.77,19,0,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/25/2020,04/25/2020,By week,Nebraska,Week-ending,0,185,0.59,12,0,0,12,
05/07/2020,05/02/2020,05/02/2020,By week,Nebraska,Week-ending,0,56,0.17,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/01/2020,02/01/2020,By week,Nevada,Week-ending,0,529,1,32,0,,38,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/08/2020,02/08/2020,By week,Nevada,Week-ending,0,576,1.06,45,0,,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/15/2020,02/15/2020,By week,Nevada,Week-ending,0,527,1.05,29,0,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/22/2020,02/22/2020,By week,Nevada,Week-ending,0,542,1.06,24,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/29/2020,02/29/2020,By week,Nevada,Week-ending,0,539,0.99,39,0,,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/07/2020,03/07/2020,By week,Nevada,Week-ending,0,531,1.02,32,0,,36,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/14/2020,03/14/2020,By week,Nevada,Week-ending,0,503,0.94,43,0,,47,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/21/2020,03/21/2020,By week,Nevada,Week-ending,,495,0.97,46,,,50,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/28/2020,03/28/2020,By week,Nevada,Week-ending,18,525,1.07,56,15,,61,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/04/2020,04/04/2020,By week,Nevada,Week-ending,38,562,1.1,70,29,,80,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/11/2020,04/11/2020,By week,Nevada,Week-ending,50,548,1.08,84,39,0,95,
05/07/2020,04/18/2020,04/18/2020,By week,Nevada,Week-ending,36,481,0.96,45,29,,53,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/25/2020,04/25/2020,By week,Nevada,Week-ending,39,404,0.79,52,34,0,57,
05/07/2020,05/02/2020,05/02/2020,By week,Nevada,Week-ending,,198,0.35,20,,0,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/01/2020,02/01/2020,By week,New Hampshire,Week-ending,0,240,0.89,12,0,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/08/2020,02/08/2020,By week,New Hampshire,Week-ending,0,257,1.01,12,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/15/2020,02/15/2020,By week,New Hampshire,Week-ending,0,236,0.87,10,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/22/2020,02/22/2020,By week,New Hampshire,Week-ending,0,277,1.05,25,0,,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/29/2020,02/29/2020,By week,New Hampshire,Week-ending,0,228,0.94,14,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/07/2020,03/07/2020,By week,New Hampshire,Week-ending,0,268,1.05,16,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/14/2020,03/14/2020,By week,New Hampshire,Week-ending,0,238,1.01,19,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/21/2020,03/21/2020,By week,New Hampshire,Week-ending,0,252,1.09,20,0,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/28/2020,03/28/2020,By week,New Hampshire,Week-ending,,258,1.09,24,,0,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/04/2020,04/04/2020,By week,New Hampshire,Week-ending,10,244,0.96,13,,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/11/2020,04/11/2020,By week,New Hampshire,Week-ending,18,267,1.23,25,,0,37,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/18/2020,04/18/2020,By week,New Hampshire,Week-ending,15,240,1,16,,0,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/25/2020,04/25/2020,By week,New Hampshire,Week-ending,17,266,1.07,30,,0,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,05/02/2020,05/02/2020,By week,New Hampshire,Week-ending,13,183,0.62,11,,0,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/01/2020,02/01/2020,By week,New Jersey,Week-ending,0,1512,0.95,83,0,10,93,
05/07/2020,02/08/2020,02/08/2020,By week,New Jersey,Week-ending,0,1487,0.92,82,0,11,93,
05/07/2020,02/15/2020,02/15/2020,By week,New Jersey,Week-ending,0,1481,0.93,76,0,,83,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/22/2020,02/22/2020,By week,New Jersey,Week-ending,0,1486,0.97,79,0,,87,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/29/2020,02/29/2020,By week,New Jersey,Week-ending,0,1567,1.04,89,0,12,101,
05/07/2020,03/07/2020,03/07/2020,By week,New Jersey,Week-ending,0,1497,0.98,86,0,11,97,
05/07/2020,03/14/2020,03/14/2020,By week,New Jersey,Week-ending,,1462,1,87,0,,97,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/21/2020,03/21/2020,By week,New Jersey,Week-ending,37,1578,1.06,117,22,,140,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/28/2020,03/28/2020,By week,New Jersey,Week-ending,264,2090,1.43,329,143,12,462,
05/07/2020,04/04/2020,04/04/2020,By week,New Jersey,Week-ending,1064,3386,2.31,850,551,,1371,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/11/2020,04/11/2020,By week,New Jersey,Week-ending,1867,4369,3.07,1274,955,,2189,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/18/2020,04/18/2020,By week,New Jersey,Week-ending,1790,4019,2.83,1093,837,,2048,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/25/2020,04/25/2020,By week,New Jersey,Week-ending,921,2589,1.9,636,457,,1102,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,05/02/2020,05/02/2020,By week,New Jersey,Week-ending,46,803,0.5,77,23,0,100,
05/07/2020,02/01/2020,02/01/2020,By week,New Mexico,Week-ending,0,359,0.96,26,0,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/08/2020,02/08/2020,By week,New Mexico,Week-ending,0,358,0.89,19,0,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/15/2020,02/15/2020,By week,New Mexico,Week-ending,0,373,1,32,0,,37,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/22/2020,02/22/2020,By week,New Mexico,Week-ending,0,371,0.96,23,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/29/2020,02/29/2020,By week,New Mexico,Week-ending,0,387,1.01,23,0,,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/07/2020,03/07/2020,By week,New Mexico,Week-ending,0,377,1.03,22,0,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/14/2020,03/14/2020,By week,New Mexico,Week-ending,0,321,0.84,21,0,,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/21/2020,03/21/2020,By week,New Mexico,Week-ending,0,352,0.95,26,0,,30,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/28/2020,03/28/2020,By week,New Mexico,Week-ending,,331,0.94,20,,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/04/2020,04/04/2020,By week,New Mexico,Week-ending,,360,1,29,,0,33,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/11/2020,04/11/2020,By week,New Mexico,Week-ending,20,343,0.91,33,,0,44,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/18/2020,04/18/2020,By week,New Mexico,Week-ending,22,326,0.94,30,13,0,39,
05/07/2020,04/25/2020,04/25/2020,By week,New Mexico,Week-ending,18,215,0.6,17,,0,29,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,05/02/2020,05/02/2020,By week,New Mexico,Week-ending,,54,0.15,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/01/2020,02/01/2020,By week,New York,Week-ending,0,2017,0.98,145,0,16,161,
05/07/2020,02/08/2020,02/08/2020,By week,New York,Week-ending,0,2043,0.96,148,0,20,168,
05/07/2020,02/15/2020,02/15/2020,By week,New York,Week-ending,0,1970,0.96,159,0,13,172,
05/07/2020,02/22/2020,02/22/2020,By week,New York,Week-ending,0,2006,0.96,154,0,24,178,
05/07/2020,02/29/2020,02/29/2020,By week,New York,Week-ending,0,2100,1.04,157,0,16,173,
05/07/2020,03/07/2020,03/07/2020,By week,New York,Week-ending,0,1994,0.96,161,0,23,184,
05/07/2020,03/14/2020,03/14/2020,By week,New York,Week-ending,0,1879,0.94,165,0,19,184,
05/07/2020,03/21/2020,03/21/2020,By week,New York,Week-ending,40,2013,0.99,202,21,13,234,
05/07/2020,03/28/2020,03/28/2020,By week,New York,Week-ending,249,2401,1.22,400,153,15,509,
05/07/2020,04/04/2020,04/04/2020,By week,New York,Week-ending,905,3503,1.81,852,515,13,1251,
05/07/2020,04/11/2020,04/11/2020,By week,New York,Week-ending,1717,4367,2.22,1225,891,11,2058,
05/07/2020,04/18/2020,04/18/2020,By week,New York,Week-ending,1637,4044,2.09,1089,811,,1918,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/25/2020,04/25/2020,By week,New York,Week-ending,961,2929,1.54,654,454,,1162,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,05/02/2020,05/02/2020,By week,New York,Week-ending,186,1547,0.63,195,87,,294,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/01/2020,02/01/2020,By week,New York City,Week-ending,0,1168,1.02,95,0,19,114,
05/07/2020,02/08/2020,02/08/2020,By week,New York City,Week-ending,0,1169,0.97,95,0,18,113,
05/07/2020,02/15/2020,02/15/2020,By week,New York City,Week-ending,0,1130,0.99,86,0,13,99,
05/07/2020,02/22/2020,02/22/2020,By week,New York City,Week-ending,0,1092,1.01,75,0,,84,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/29/2020,02/29/2020,By week,New York City,Week-ending,0,1105,1.01,83,0,,89,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/07/2020,03/07/2020,By week,New York City,Week-ending,0,1111,1.01,92,0,,100,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/14/2020,03/14/2020,By week,New York City,Week-ending,,1124,1.03,103,,,112,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/21/2020,03/21/2020,By week,New York City,Week-ending,112,1390,1.33,153,35,14,240,
05/07/2020,03/28/2020,03/28/2020,By week,New York City,Week-ending,871,2724,2.65,584,328,45,1134,
05/07/2020,04/04/2020,04/04/2020,By week,New York City,Week-ending,2812,5861,5.69,1643,1176,208,3288,
05/07/2020,04/11/2020,04/11/2020,By week,New York City,Week-ending,4123,7251,6.8,1904,1496,320,4541,
05/07/2020,04/18/2020,04/18/2020,By week,New York City,Week-ending,3106,5067,4.99,1232,1055,161,3286,
05/07/2020,04/25/2020,04/25/2020,By week,New York City,Week-ending,1731,3054,3.09,759,634,68,1860,
05/07/2020,05/02/2020,05/02/2020,By week,New York City,Week-ending,366,1146,0.94,185,139,,412,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/01/2020,02/01/2020,By week,North Carolina,Week-ending,0,1969,1.01,118,0,15,133,
05/07/2020,02/08/2020,02/08/2020,By week,North Carolina,Week-ending,0,2038,1,119,0,20,139,
05/07/2020,02/15/2020,02/15/2020,By week,North Carolina,Week-ending,0,2018,1.01,138,0,25,163,
05/07/2020,02/22/2020,02/22/2020,By week,North Carolina,Week-ending,0,1864,0.94,116,0,29,145,
05/07/2020,02/29/2020,02/29/2020,By week,North Carolina,Week-ending,0,1792,0.93,103,0,30,133,
05/07/2020,03/07/2020,03/07/2020,By week,North Carolina,Week-ending,0,1554,0.8,89,0,17,106,
05/07/2020,03/14/2020,03/14/2020,By week,North Carolina,Week-ending,0,909,0.47,51,0,,60,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/21/2020,03/21/2020,By week,North Carolina,Week-ending,0,569,0.3,31,0,,36,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/28/2020,03/28/2020,By week,North Carolina,Week-ending,0,224,0.12,19,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/04/2020,04/04/2020,By week,North Carolina,Week-ending,0,38,0.02,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/11/2020,04/11/2020,By week,North Carolina,Week-ending,0,0,0,0,0,0,0,
05/07/2020,04/18/2020,04/18/2020,By week,North Carolina,Week-ending,0,0,0,0,0,0,0,
05/07/2020,04/25/2020,04/25/2020,By week,North Carolina,Week-ending,0,0,0,0,0,0,0,
05/07/2020,05/02/2020,05/02/2020,By week,North Carolina,Week-ending,0,0,0,0,0,0,0,
05/07/2020,02/01/2020,02/01/2020,By week,North Dakota,Week-ending,0,130,0.97,10,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/08/2020,02/08/2020,By week,North Dakota,Week-ending,0,137,1.01,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/15/2020,02/15/2020,By week,North Dakota,Week-ending,0,145,0.99,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/22/2020,02/22/2020,By week,North Dakota,Week-ending,0,174,1.17,11,0,0,11,
05/07/2020,02/29/2020,02/29/2020,By week,North Dakota,Week-ending,0,149,1.06,13,0,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/07/2020,03/07/2020,By week,North Dakota,Week-ending,0,163,1.19,17,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/14/2020,03/14/2020,By week,North Dakota,Week-ending,0,140,1.08,15,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/21/2020,03/21/2020,By week,North Dakota,Week-ending,0,119,0.86,20,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/28/2020,03/28/2020,By week,North Dakota,Week-ending,,88,0.63,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/04/2020,04/04/2020,By week,North Dakota,Week-ending,,81,0.5,,0,,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/11/2020,04/11/2020,By week,North Dakota,Week-ending,,94,0.68,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/18/2020,04/18/2020,By week,North Dakota,Week-ending,,103,0.72,15,,0,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/25/2020,04/25/2020,By week,North Dakota,Week-ending,,89,0.68,11,,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,05/02/2020,05/02/2020,By week,North Dakota,Week-ending,,46,0.3,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/01/2020,02/01/2020,By week,Ohio,Week-ending,0,2483,0.97,124,0,26,150,
05/07/2020,02/08/2020,02/08/2020,By week,Ohio,Week-ending,0,2524,0.98,128,0,18,146,
05/07/2020,02/15/2020,02/15/2020,By week,Ohio,Week-ending,0,2462,0.99,137,0,23,160,
05/07/2020,02/22/2020,02/22/2020,By week,Ohio,Week-ending,0,2499,0.99,118,0,19,137,
05/07/2020,02/29/2020,02/29/2020,By week,Ohio,Week-ending,0,2422,0.97,120,0,30,150,
05/07/2020,03/07/2020,03/07/2020,By week,Ohio,Week-ending,,2391,0.95,133,,19,152,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/14/2020,03/14/2020,By week,Ohio,Week-ending,,2324,0.94,128,,38,166,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/21/2020,03/21/2020,By week,Ohio,Week-ending,,2113,0.85,135,,21,161,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/28/2020,03/28/2020,By week,Ohio,Week-ending,29,2175,0.89,157,10,21,197,
05/07/2020,04/04/2020,04/04/2020,By week,Ohio,Week-ending,93,2288,0.9,173,38,,236,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/11/2020,04/11/2020,By week,Ohio,Week-ending,120,2286,0.94,191,53,,263,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/18/2020,04/18/2020,By week,Ohio,Week-ending,85,1788,0.76,135,40,,183,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/25/2020,04/25/2020,By week,Ohio,Week-ending,38,986,0.43,56,17,,81,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,05/02/2020,05/02/2020,By week,Ohio,Week-ending,0,281,0.12,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/01/2020,02/01/2020,By week,Oklahoma,Week-ending,0,718,0.83,65,0,,72,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/08/2020,02/08/2020,By week,Oklahoma,Week-ending,0,797,0.93,56,0,,63,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/15/2020,02/15/2020,By week,Oklahoma,Week-ending,0,776,0.88,75,0,,81,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/22/2020,02/22/2020,By week,Oklahoma,Week-ending,0,739,0.89,67,0,,71,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/29/2020,02/29/2020,By week,Oklahoma,Week-ending,0,778,0.96,69,0,13,82,
05/07/2020,03/07/2020,03/07/2020,By week,Oklahoma,Week-ending,,778,0.93,64,0,18,83,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
