Available_Bag_Type,BBL,BIN,Borough,CouncilDist,Latitude,Longitude,NTAName,Number,ObjectId,Street,Vendor_Address,Vendor_Name,Vendor_Phone_Number,Vendor_Site,Vendor_Type,Vendor_Website,ZipCode,boroCD,ct2010,point,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
Certified Compostable,1014237501,1043902,Manhattan,4,40.847,-73.83297,Lenox Hill-Roosevelt Island,1175,124,3 Avenue,1175 3 Avenue,Food Emporium,(212) 249-6778,1175 3 Avenue New York NY 10021,Retail,http://thefoodemporium.com/,10021,108,118,POINT (-73.832972 40.84699799999999),11270,43,5,12,28
Certified Compostable,1005590009,1077569,Manhattan,2,40.73386,-73.98956,East Village,145,109,4TH Ave,145 4TH AVE,Walgreens,(212) 677-0214,145 4TH AVE NEW YORK NY 10003,Retail,https://www.walgreens.com/storelocator/find.jsp,10003,103,42,POINT (-73.989554 40.733856),11724,70,4,50,5
Certified Compostable,3025970011,3065333,Brooklyn,33,40.84698,-73.83295,Greenpoint,802,50,Manhattan Ave,802 Manhattan Ave,Associated Supermarket,(718) 383-7973,802 Manhattan Ave Brooklyn NY 11222,Retail,,11222,301,561,POINT (-73.83295 40.846976),11270,43,5,12,28
Certified Compostable,4030660012,4071772,Queens,30,40.84696,-73.83293,Middle Village,75-43,141,Metropolitan Ave,75-43 Metropolitan Ave,C-Town Supermarket,(718) 326-7323,75-43 Metropolitan Ave Middle Village NY 11379,Retail,,11379,405,65703,POINT (-73.832933 40.846959000000005),11270,43,5,12,28
Certified Compostable,2041640001,2045970,Bronx,13,40.84692,-73.83289,Pelham Bay-Country Club-City Island,2937,97,Westchester Ave,2937 Westchester Ave,Pruzzo's Grocery,(718) 836-5650,"2937 Westchester Ave, Bronx, NY 10461",Retail,http://www.pruzzosbronx.com/,10461,210,26601,POINT (-73.832891 40.84691699999999),11270,43,5,12,28
Certified Compostable,5002380207,5106720,Staten Island,49,40.62665,-74.13073,West New Brighton-New Brighton-St. George,1227,156,FOREST AVE,1227 FOREST AVE,Walgreens,(718) 448-6486,1227 FOREST AVE STATEN ISLAND NY 10310,Retail,https://www.walgreens.com/storelocator/find.jsp,10310,501,141,POINT (-74.130727 40.626653),10697,4,1,13,74
Certified Compostable,1008707501,1083247,Manhattan,2,40.847,-73.83297,Gramercy,10,114,Union Square,10 Union Square East,Food Emporium,(212) 353-3840,10 Union Square East New York NY 10003,Retail,http://thefoodemporium.com/,10003,105,50,POINT (-73.832971 40.846997),11270,43,5,12,28
Certified Compostable,3073190037,3198080,Brooklyn,48,40.59909,-73.95677,Madison,1417,24,Avenue U,1417 Avenue U,Duane Reade,(718) 787-1665,1417 Avenue U Brooklyn NY 11229,Retail,https://www.walgreens.com/topic/duane-reade/duane-reade.jsp,11229,315,580,POINT (-73.95677 40.599092999999996),13512,32,2,15,36
Certified Compostable,1012367501,1071151,Manhattan,6,40.847,-73.83297,Upper West Side,2415,119,Broadway,2415 Broadway,Food Emporium,(212) 873-4031,2415 Broadway New York NY 10024,Retail,http://thefoodemporium.com/,10024,107,175,POINT (-73.832973 40.84699899999998),11270,43,5,12,28
Certified Compostable,3061660041,3157031,Brooklyn,43,40.62305,-74.00499,Dyker Heights,7002,82,13TH AVE,7002 13TH AVE,Walgreens,(718) 921-1896,7002 13TH AVE BROOKLYN NY 11228,Retail,https://www.walgreens.com/storelocator/find.jsp,11228,310,196,POINT (-74.004989 40.623054999999994),13511,10,2,44,41
Certified Compostable,3010520049,3024135,Brooklyn,39,40.84692,-73.83289,Park Slope-Gowanus,584,9,5 Avenue,584 5 Avenue,CNS Family Hardware,(718) 499-2323,584 5 Avenue Brooklyn NY 11215,Retail,,11215,307,141,POINT (-73.832896 40.846922),11270,43,5,12,28
Certified Compostable,3023520009,3000000,Brooklyn,34,40.84698,-73.83295,North Side-South Side,159,55,N 3rd St,159 N 3rd St,Foodtown,(718) 302-5533,159 N 3rd St Brooklyn NY 11211,Retail,,11211,301,553,POINT (-73.832951 40.846976999999995),11270,43,5,12,28
Certified Compostable,3050820055,3116593,Brooklyn,40,40.65055,-73.9596,Flatbush,2101,87,CHURCH AVE,2101 CHURCH AVE,Walgreens,(718) 469-7012,2101 CHURCH AVE BROOKLYN NY 11226,Retail,https://www.walgreens.com/storelocator/find.jsp,11226,314,50801,POINT (-73.959605 40.65054799999999),13510,60,2,11,43
Certified Compostable,2023570045,2119099,Bronx,8,40.82402,-73.93005,West Concourse,700,92,Exterior Street,700 Exterior Street,Target,(718) 401-5651,700 Exterior Street Bronx NY 10451,Retail,www.target.com,10451,204,63,POINT (-73.930045 40.82401899999999),10929,50,5,35,27
Certified Compostable,5033450032,5148296,Staten Island,50,40.58638,-74.0927,Old Town-Dongan Hills-South Beach,1759,161,HYLAN BLVD,1759 HYLAN BLVD,Walgreens,(718) 351-2039,1759 HYLAN BLVD STATEN ISLAND NY 10305,Retail,https://www.walgreens.com/storelocator/find.jsp,10305,502,9602,POINT (-74.092697 40.586377),10692,30,1,14,76
"Certified Compostable, Paper Lawn & Leaf",4050660622,4115028,Queens,20,40.847,-73.83298,Flushing,131-35,129,Avery Avenue,131-35 Avery Avenue,Home Depot,(718) 358-9600,131-35 Avery Avenue Flushing NY 11355,Retail,www.homedepot.com,11355,407,849,POINT (-73.832979 40.847004999999996),11270,43,5,12,28
Certified Compostable,3021170040,3059337,Brooklyn,35,40.68636,-73.97398,Fort Greene,765,70,Fulton Street,765 Fulton Street,The Greene Grape,(718) 233-2700,765 Fulton Street Brooklyn NY 11217,Retail,http://www.greenegrape.com/,11217,302,181,POINT (-73.973978 40.686362999999986),17619,68,2,48,55
Certified Compostable,3023510006,3062367,Brooklyn,34,40.71635,-73.9603,North Side-South Side,238,65,Bedford Ave,238 Bedford Ave,Whole Foods,(718) 734-2321,238 Bedford Ave Brooklyn NY 11249,Retail,http://www.wholefoodsmarket.com/stores/williamsburg,11249,301,553,POINT (-73.960308 40.716353999999995),17613,36,2,30,57
Certified Compostable,2044300004,2051305,Bronx,15,40.86171,-73.8671,Bronxdale,2431,28,BOSTON RD,2431 BOSTON RD,Walgreens,(718) 652-0492,2431 BOSTON RD BRONX NY 10467,Retail,https://www.walgreens.com/storelocator/find.jsp,10467,211,330,POINT (-73.867097 40.861714),11605,59,5,22,32
Certified Compostable,3010180050,3022713,Brooklyn,39,40.66589,-73.98274,Park Slope-Gowanus,368,77,7 Avenue,368 7 Avenue,Food Train,(718) 832-6916,368 7 Avenue Brooklyn NY 11215,Retail,www.foodtrainmarket.biz,11215,306,151,POINT (-73.982741 40.665894),17617,14,2,27,50
Certified Compostable,1001427501,1087715,Manhattan,1,40.84695,-73.83292,SoHo-TriBeCa-Civic Center-Little Italy,270,102,Greenwich Street,270 Greenwich Street,Whole Foods,(212) 349-6555,270 Greenwich Street New York NY 10007,Retail,www.wholefoodsmarket.com,10007,101,21,POINT (-73.832925 40.84695099999999),11270,43,5,12,28
Certified Compostable,3009500001,3019583,Brooklyn,39,40.84696,-73.83294,Park Slope-Gowanus,185,13,5th Ave,185 5th Ave,5th Avenue Market,(718) 230-8050,185 5th Ave Brooklyn NY 11217,Retail,,11217,306,131,POINT (-73.832937 40.846963),11270,43,5,12,28
Certified Compostable,3006110011,3008873,Brooklyn,38,40.84695,-73.83292,Carroll Gardens-Columbia Street-Red Hook,480,60,Van Brunt Street,480 Van Brunt Street,Fairway,(718) 254-0923,480 Van Brunt Street Brooklyn NY 11231,Retail,http://www.fairwaymarket.com/store/red-hook-brooklyn-ny/,11231,306,53,POINT (-73.832922 40.846948),11270,43,5,12,28
Certified Compostable,2024430100,2002457,Bronx,16,40.82545,-73.91908,East Concourse-Concourse Village,244,38,E 161ST ST,244 E 161ST ST,Walgreens,(718) 410-5950,244 E 161ST ST BRONX NY 10451,Retail,https://www.walgreens.com/storelocator/find.jsp,10451,204,61,POINT (-73.919078 40.82545199999999),10929,50,5,42,27
Certified Compostable,3051450070,3118399,Brooklyn,40,40.84693,-73.8329,Flatbush,1415,33,Cortelyou Road,1415 Cortelyou Road,Flatbush Food Coop,(718) 284-9717,1415 Cortelyou Road Brooklyn NY 11226,Retail,http://flatbushfood.coop/,11226,314,1522,POINT (-73.8329 40.846925999999996),11270,43,5,12,28
Certified Compostable,5015480150,5133437,Staten Island,50,40.60997,-74.15958,New Springville-Bloomfield-Travis,1551,165,Richmond Avenue,1551 RICHMOND AV,Walgreens,(718) 698-8526,1551 RICHMOND AV STATEN ISLAND NY 10314,Retail,https://www.walgreens.com/storelocator/find.jsp,10314,502,29104,POINT (-74.159583 40.60997199999999),10700,30,1,14,75
Certified Compostable,3075767501,3396696,Brooklyn,45,40.63093,-73.94666,Flatbush,1598,88,Flatbush Avenue,1598 Flatbush Avenue,Target,(718) 637-5005,1598 Flatbush Avenue Brooklyn NY 11210,Retail,www.target.com,11210,314,774,POINT (-73.946658 40.63093099999999),17217,60,2,26,43
Certified Compostable,3059280045,3148231,Brooklyn,43,40.84695,-73.83292,Bay Ridge,7414,1,3 Avenue,7414 3 Avenue,Lloyds Hometown Brooklyn LLC,(718) 745-1093,7414 3 Avenue Brooklyn NY 11209,Retail,https://local.yahoo.com/info-11322245-food-city-brooklyn,11209,310,66,POINT (-73.832923 40.846949),11270,43,5,12,28
Paper Lawn & Leaf,4095320009,4202342,Queens,28,40.84698,-73.83295,South Ozone Park,10920,133,Liberty Ave,10920 Liberty Ave,Molbegott's True Value Hardware,(718) 843-4460,10920 Liberty Ave Ozone Park NY 11419,Retail,,11419,410,96,POINT (-73.832956 40.846982),11270,43,5,12,28
Certified Compostable,3060860001,3154729,Brooklyn,43,40.84697,-73.83295,Bay Ridge,9105-27,6,3rd Ave,9105-27 3rd Ave,Foodtown,(718) 833-5080,9105-27 3rd Ave Brooklyn NY 11209,Retail,,11209,310,58,POINT (-73.83294700000002 40.84697299999999),11270,43,5,12,28
Certified Compostable,3002500007,3002095,Brooklyn,33,40.84694,-73.83292,Brooklyn Heights-Cobble Hill,175,56,Remsen Street,175 Remsen Street,Perelandra,(718) 855-6068,175 Remsen Street Brooklyn NY 11201,Retail,http://www.perelandranatural.com/,11201,302,9,POINT (-73.832913 40.846939),11270,43,5,12,28
Certified Compostable,3027650003,3068888,Brooklyn,34,40.71424,-73.94403,East Williamsburg,330,45,Graham Ave,330 Graham Ave,C-Town Supermarkets,(718) 388-8968,330 Graham Ave Brooklyn NY 11211,Retail,http://www.location.ctownsupermarkets.com/,11211,301,497,POINT (-73.94403 40.714237),17613,36,2,30,56
Certified Compostable,3002760016,3002774,Brooklyn,33,40.84697,-73.83294,Brooklyn Heights-Cobble Hill,169,23,Atlantic Ave,169 Atlantic Ave,Key Foods,(718) 625-2253,169 Atlantic Ave Brooklyn NY 11201,Retail,,11201,302,9,POINT (-73.832941 40.84696699999999),11270,43,5,12,28
Certified Compostable,1018687501,1056068,Manhattan,6,40.79523,-73.97206,Upper West Side,2575,120,BROADWAY,2575 BROADWAY,Walgreens,(212) 678-8556,2575 BROADWAY NEW YORK NY 10025,Retail,https://www.walgreens.com/storelocator/find.jsp,10025,107,183,POINT (-73.972061 40.795231),12422,20,4,19,15
Certified Compostable,1005720004,1009407,Manhattan,3,40.84694,-73.83291,West Village,408-410,105,6 Avenue,408-410 6 Avenue,LifeThyme Natural Foods,(212) 420-9099,408-410 6 Avenue New York NY 10011,Retail,http://lifethymemarket.com/,10011,102,63,POINT (-73.832909 40.846934999999995),11270,43,5,12,28
Certified Compostable,4029200031,4066678,Queens,30,40.84696,-73.83294,Middle Village,8005,150,Caldwell Avenue,8005 Caldwell Avenue,Village Barn,(718) 639-3103,8005 Caldwell Avenue Flushing NY 11379,Retail,,11379,405,507,POINT (-73.832936 40.846962),11270,43,5,12,28
Certified Compostable,3010630007,3024556,Brooklyn,39,40.847,-73.83297,Park Slope-Gowanus,75,18,7 Avenue,75 7 Avenue,7th Avenue Gourmet,(718) 783-3806,75 7 Avenue Brooklyn NY 11217,Retail,,11217,306,159,POINT (-73.83297 40.84699599999999),11270,43,5,12,28
Certified Compostable,3014800029,3397063,Brooklyn,41,40.68924,-73.92222,Stuyvesant Heights,1366,73,BROADWAY,1366 BROADWAY,Walgreens,(718) 452-6391,1366 BROADWAY BROOKLYN NY 11221,Retail,https://www.walgreens.com/storelocator/find.jsp,11221,303,375,POINT (-73.922218 40.68924400000001),18181,69,2,17,52
Certified Compostable,1011660020,1030724,Manhattan,6,40.84695,-73.83292,Upper West Side,2127,118,Broadway,2127 Broadway,Fairway,(212) 595-1888,2127 Broadway New York NY 10023,Retail,www.fairwaymarket.com,10023,107,163,POINT (-73.832921 40.84694699999999),11270,43,5,12,28
Certified Compostable,2050690066,2070705,Bronx,11,40.89893,-73.85439,Woodlawn-Wakefield,4401,101,WHITE PLAINS RD,4401 WHITE PLAINS RD,Walgreens,(718) 509-1552,4401 WHITE PLAINS RD BRONX NY 10470,Retail,https://www.walgreens.com/storelocator/find.jsp,10470,212,414,POINT (-73.854391 40.89892499999999),11608,29,5,40,30
Certified Compostable,4021400001,4051287,Queens,29,40.72386,-73.84803,Forest Hills,10425,152,QUEENS BLVD,10425 QUEENS BLVD,Walgreens,(718) 896-7901,10425 QUEENS BLVD FOREST HILLS NY 11375,Retail,https://www.walgreens.com/storelocator/find.jsp,11375,406,71303,POINT (-73.84802700000002 40.72385799999999),14786,40,3,28,70
Certified Compostable,3011640003,3029030,Brooklyn,35,40.84697,-73.83295,Prospect Heights,369,41,Flatbush Avenue,369 Flatbush Avenue,Key Foods,(718) 789-3007,369 Flatbush Avenue Brooklyn NY 11238,Retail,,11238,308,163,POINT (-73.832943 40.846969),11270,43,5,12,28
"Certified Compostable, Paper Lawn & Leaf",4129990044,4279930,Queens,27,40.84701,-73.83298,St. Albans,132-20,137,Merrick Boulevard,132-20 Merrick Boulevard,Home Depot,(718) 977-2081,132-20 Merrick Boulevard Jamaica NY 11434,Retail,www.homedepot.com,11434,412,352,POINT (-73.83298 40.847006),11270,43,5,12,28
Certified Compostable,3009430240,3018991,Brooklyn,39,40.84697,-73.83294,Park Slope-Gowanus,120,14,5th Ave,120 5th Ave,Key Food,(718) 783-8339,120 5th Ave Brooklyn NY 11217,Retail,,11217,306,12901,POINT (-73.832942 40.846968),11270,43,5,12,28
Certified Compostable,5003480001,5009514,Staten Island,50,40.84692,-73.83289,Westerleigh,1677,157,Victory Boulevard,1677 Victory Boulevard,Doody Home Center,(718) 872-0099,1677 Victory Boulevard Staten Island NY 10314,Retail,http://doodyhomecenters.com/,10314,501,147,POINT (-73.832897 40.84692299999998),11270,43,5,12,28
Certified Compostable,2039880034,2041966,Bronx,13,40.8422,-73.84531,Van Nest-Morris Park-Westchester Square,2722,96,E Tremont Ave,2722 E Tremont Ave,Key Foods,(718) 792-0058,"2722 E Tremont Ave, Bronx, NY 10461",Retail,http://www.keyfood.com/,10461,210,200,POINT (-73.845307 40.842199),11270,43,5,12,28
Certified Compostable,3073350046,3198971,Brooklyn,46,40.60086,-73.94144,Madison,2931,25,Avenue U,2931 Avenue U,Duane Reade,(718) 648-8303,"2931 Avenue U Brooklyn, NY 11229",Retail,https://www.walgreens.com/topic/duane-reade/duane-reade.jsp,11229,315,566,POINT (-73.941446 40.60086199999999),13512,32,2,8,36
Certified Compostable,1014470023,1080484,Manhattan,5,40.84695,-73.83292,Lenox Hill-Roosevelt Island,1347,125,1 Avenue,1347 1 Avenue,"A Matter of Health NYC, Inc.",(212) 288-8280,1347 1 Avenue New York NY 10021,Retail,http://www.amatterofhealth.net/retailer/store_templates/shell_id_1.asp?storeID=2A8B64F0FFC24B1CB2A4D0231EEB7B74,10021,108,126,POINT (-73.83292 40.846946),11270,43,5,12,28
Certified Compostable,3020017501,3348849,Brooklyn,35,40.68451,-73.97681,Fort Greene,139,69,Flatbush Avenue,139 Flatbush Avenue,Target,(718) 290-1109,139 Flatbush Avenue Brooklyn NY 11217,Retail,www.target.com,11217,302,35,POINT (-73.976809 40.684514),17619,68,2,48,50
Certified Compostable,3061130035,3155450,Brooklyn,43,40.61769,-74.03392,Bay Ridge,9408,81,3RD AVE,9408 3RD AVE,Walgreens,(718) 748-1673,9408 3RD AVE BROOKLYN NY 11209,Retail,https://www.walgreens.com/storelocator/find.jsp,11209,310,54,POINT (-74.033924 40.617692),17216,10,2,44,41
,3027610006,3068770,Brooklyn,34,40.71364,-73.95123,North Side-South Side,440,64,Union Ave,440 Union Ave,Sunac Food Corporation,(718) 643-0508,440 Union Ave Brooklyn NY 11211,Retail,http://sunacfancyfood.com/,11211,301,513,POINT (-73.951231 40.713643999999995),17613,36,2,30,56
Certified Compostable,4051920027,4117220,Queens,20,40.75377,-73.8219,Flushing,4415,128,KISSENA BLVD,4415 KISSENA BLVD,Walgreens,(718) 461-8112,4415 KISSENA BLVD FLUSHING NY 11355,Retail,https://www.walgreens.com/storelocator/find.jsp,11355,407,859,POINT (-73.821896 40.753771),14190,22,3,3,67
Certified Compostable,4027240070,4060816,Queens,30,40.84696,-73.83293,Maspeth,66-17,142,Grand Ave,66-17 Grand Ave,Key Foods,(718) 476-8000,66-17 Grand Ave Maspeth NY 11378,Retail,,11378,405,517,POINT (-73.832934 40.84696),11270,43,5,12,28
Certified Compostable,3010520055,3024141,Brooklyn,39,40.84694,-73.83291,Park Slope-Gowanus,596,10,5 Avenue,596 5 Avenue,Park Slope Hardware,(718) 788-6683,596 5 Avenue Brooklyn NY 11215,Retail,,11215,307,141,POINT (-73.83291200000001 40.84693800000001),11270,43,5,12,28
Certified Compostable,1007830070,1014387,Manhattan,3,40.75126,-73.99237,Midtown-Midtown South,1,113,PENN PLZ,1 PENN PLZ,Walgreens,(212) 268-3999,1 PENN PLZ NEW YORK NY 10119,Retail,https://www.walgreens.com/storelocator/find.jsp,10119,105,101,POINT (-73.992374 40.751262999999994),11722,11,4,10,8
Certified Compostable,2039377501,2096623,Bronx,18,40.83767,-73.86199,Parkchester,1371,54,METROPOLITAN AVE,1371 METROPOLITAN AVE,Walgreens,(718) 597-7690,1371 METROPOLITAN AVE BRONX NY 10462,Retail,https://www.walgreens.com/storelocator/find.jsp,10462,209,21602,POINT (-73.861995 40.837675000000004),11271,58,5,31,26
Certified Compostable,2047290001,2060401,Bronx,12,40.87899,-73.84394,Eastchester-Edenwald-Baychester,3575,29,BOSTON RD,3575 BOSTON RD,Walgreens,(347) 601-4018,3575 BOSTON RD BRONX NY 10469,Retail,https://www.walgreens.com/storelocator/find.jsp,10469,212,386,POINT (-73.843937 40.87899),11607,29,5,2,30
Certified Compostable,4034450009,4082329,Queens,34,40.84698,-73.83296,Ridgewood,5411,145,Myrtle Ave,5411 Myrtle Ave,Duane Reade,718-386-6692,"5411 Myrtle Ave, Ridgewood, NY 11385",Retail,www.wallgreens.com,11385,405,549,POINT (-73.832959 40.84698499999999),11270,43,5,12,28
Certified Compostable,5013800155,5028665,Staten Island,49,40.84699,-73.83297,Mariner's Harbor-Arlington-Port Ivory-Graniteville,2501,160,Forest Avenue,2501 Forest Avenue,Home Depot,(718) 273-5096,2501 Forest Avenue Staten Island NY 10303,Retail,www.homedepot.com,10303,501,323,POINT (-73.832967 40.84699299999999),11270,43,5,12,28
Certified Compostable,1022150700,1086533,Bronx,10,40.8731,-73.90853,Marble Hill-Inwood,40,93,W 225 Street,40 W 225 Street,Target,(718) 733-7199,40 W 225 Street Bronx NY 10463,Retail,www.target.com,10463,207,309,POINT (-73.90853 40.873106),11272,24,4,39,34
Certified Compostable,3025580042,3321507,Brooklyn,33,40.84693,-73.8329,Greenpoint,921,49,Manhattan Ave,921 Manhattan Ave,Garden Food Market,(718) 389-6448,921 Manhattan Ave Brooklyn NY 11222,Retail,http://thegardenfoodmarket.com/,11222,301,565,POINT (-73.832902 40.846928),11270,43,5,12,28
Certified Compostable,1007747501,1014176,Manhattan,3,40.84695,-73.83292,Hudson Yards-Chelsea-Flatiron-Union Square,250,110,7 Avenue,250 7 Avenue,Whole Foods,(212) 924-5969,250 7 Avenue New York NY 10001,Retail,www.wholefoodsmarket.com,10001,104,91,POINT (-73.832924 40.846949999999985),11270,43,5,12,28
Certified Compostable,3053530004,3125228,Brooklyn,39,40.64249,-73.97877,Kensington-Ocean Parkway,114,86,BEVERLEY RD,114 BEVERLEY RD,Walgreens,(718) 437-7802,114 BEVERLEY RD BROOKLYN NY 11218,Retail,https://www.walgreens.com/storelocator/find.jsp,11218,312,486,POINT (-73.978765 40.642492),17620,2,2,27,39
Certified Compostable,3010240044,3023022,Brooklyn,39,40.84695,-73.83292,Park Slope-Gowanus,378,17,7 Avenue #1,378 7 Avenue,The Bad Wife,(718) 499-7513,378 7 Avenue #1 Brooklyn NY 11215,Retail,,11215,306,151,POINT (-73.832927 40.846953),11270,43,5,12,28
"Certified Compostable, Paper Lawn & Leaf",4095350009,4202534,Queens,28,40.84698,-73.83295,South Ozone Park,112-18,132,Liberty Ave,112-18 Liberty Ave,Empire Hardware and Supply,(718) 738-1804,112-18 Liberty Ave South Richmond Hill NY 11419,Retail,,11419,410,100,POINT (-73.83295500000001 40.84698099999999),11270,43,5,12,28
Certified Compostable,3010057501,3022124,Brooklyn,39,40.84694,-73.83292,Park Slope-Gowanus,329,22,9 Street,329 9 Street,Steve's C-Town,(718) 965-9765,329 9 Street Brooklyn NY 11215,Retail,,11215,306,137,POINT (-73.832914 40.84694),11270,43,5,12,28
Certified Compostable,4008330040,4017062,Queens,22,40.84695,-73.83293,Steinway,31-28,138,Ditmars Boulevard,31-28 Ditmars Boulevard,Natural Frontier - Astoria,(718) 255-6530,31-28 Ditmars Boulevard Astoria NY 11105,Retail,http://www.naturalfrontiermarket.net/,11105,401,115,POINT (-73.832929 40.84695500000001),11270,43,5,12,28
Certified Compostable,1009720001,1082871,Manhattan,4,40.73172,-73.9779,Stuyvesant Town-Cooper Village,298,117,1ST AVE,298 1ST AVE,Walgreens,(212) 777-0740,298 1ST AVE NEW YORK NY 10009,Retail,https://www.walgreens.com/storelocator/find.jsp,10009,106,44,POINT (-73.977896 40.73172399999999),11729,71,4,51,7
Certified Compostable,4029160030,4066540,Queens,30,40.84695,-73.83293,Middle Village,82-03,149,Eliot Avenue,82-03 Eliot Avenue,Harry�s True Value,(718) 458-5917,82-03 Eliot Avenue Middle Village NY 11379,Retail,www.truevalue.com,11379,405,507,POINT (-73.832928 40.84695400000001),11270,43,5,12,28
Certified Compostable,2027270001,2005801,Bronx,17,40.82463,-73.89258,Hunts Point,1041,61,WESTCHESTER AVE,1041 WESTCHESTER AVE,Walgreens,(718) 589-5415,1041 WESTCHESTER AVE BRONX NY 10459,Retail,https://www.walgreens.com/storelocator/find.jsp,10459,202,12701,POINT (-73.892576 40.82462899999999),10937,8,5,43,24
Certified Compostable,5024600001,5000000,Staten Island,51,40.57478,-74.16679,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,2873,164,Richmond Avenue,2873 Richmond Avenue,Target,(917) 791-5851,2873 Richmond Avenue Staten Island NY 10314,Retail,www.target.com,10314,502,27702,POINT (-74.166788 40.57478199999999),10700,30,1,9,75
Certified Compostable,3054260001,3398029,Brooklyn,44,40.84693,-73.83291,Flatbush,101-10,42,Foster Avenue,101-10 Foster Avenue,Jetro - Borough Park,(718) 649-8000,101-10 Foster Avenue Brooklyn NY 11236,Wholesale,http://jetro.com/store-locations/,11236,314,480,POINT (-73.832905 40.846930999999984),11270,43,5,12,28
Certified Compostable,3050780042,3116502,Brooklyn,40,40.84692,-73.8329,Flatbush,1701,32,Church Avenue,1701 Church Avenue,Downtown Natural Market,(718) 282-0110,1701 Church Avenue Brooklyn NY 11226,Retail,,11226,314,506,POINT (-73.832898 40.846923999999994),11270,43,5,12,28
Certified Compostable,3074190045,3323035,Brooklyn,48,40.59094,-73.95263,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2461,89,East 17 Street,2461 East 17 Street,Doody Home Center,(718) 648-6000,2461 East 17 Street Brooklyn NY 11235,Retail,https://www.doodyhomecenters.com/contact-us.php#brooklyn,11235,315,592,POINT (-73.952631 40.590942000000005),13826,32,2,15,36
Certified Compostable,3031300002,3071670,Brooklyn,34,40.7007,-73.94118,Bushwick South,755,74,BROADWAY,755 BROADWAY,Walgreens,(718) 963-2702,755 BROADWAY BROOKLYN NY 11206,Retail,https://www.walgreens.com/storelocator/find.jsp,11206,304,389,POINT (-73.941182 40.700700999999995),17213,42,2,30,53
"Certified Compostable, Paper Lawn & Leaf",3017640001,3049016,Brooklyn,33,40.84699,-73.83296,Bedford,585,37,Dekalb Avenue,585 Dekalb Avenue,Home Depot,(718) 230-0833,585 Dekalb Avenue Brooklyn NY 11205,Retail,www.homedepot.com,11205,303,241,POINT (-73.832965 40.846990999999996),11270,43,5,12,28
Certified Compostable,1018700052,1056410,Manhattan,6,40.84693,-73.8329,Upper West Side,2611,121,Broadway,2611 Broadway,Health Nuts - Upper West Side,(212) 678-0054,2611 Broadway New York NY 10025,Retail,http://www.manhattanhealthfoodstore.com/,10025,107,187,POINT (-73.832904 40.84693),11270,43,5,12,28
"Certified Compostable, Paper Lawn & Leaf",4038860074,4095037,Queens,29,40.84701,-73.83298,Glendale,75-09,153,Woodhaven Boulevard,75-09 Woodhaven Boulevard,Home Depot,(718) 830-3323,75-09 Woodhaven Boulevard Glendale NY 11385,Retail,www.homedepot.com,11385,406,637,POINT (-73.832983 40.847009),11270,43,5,12,28
Certified Compostable,3009780016,3397192,Brooklyn,39,40.84694,-73.83292,Park Slope-Gowanus,214,5,3 Street,214 3 Street,Whole Foods,(718) 907-3622,214 3 Street Brooklyn NY 11215,Retail,http://www.wholefoodsmarket.com/,11215,306,119,POINT (-73.832916 40.846942),11270,43,5,12,28
Certified Compostable,2044810015,2053036,Bronx,13,40.86304,-73.84306,Allerton-Pelham Gardens,2504,100,EASTCHESTER RD,2504 EASTCHESTER RD,Walgreens,(718) 881-1578,2504 EASTCHESTER RD BRONX NY 10469,Retail,https://www.walgreens.com/storelocator/find.jsp,10469,211,312,POINT (-73.843064 40.86304199999999),11607,59,5,12,32
Certified Compostable,1006180033,1011112,Manhattan,3,40.84696,-73.83293,West Village,56,106,7 Avenue,56 7 Avenue,Elm Health,(212) 225-6300,56 7 Avenue New York NY 10011,Retail,www.elmhealth.net,10011,102,77,POINT (-73.832932 40.846957999999994),11270,43,5,12,28
Certified Compostable,3011160043,3027435,Brooklyn,39,40.65668,-73.97755,Windsor Terrace,589,78,PROSPECT AVE,589 PROSPECT AVE,Walgreens,(347) 955-3029,589 PROSPECT AVE BROOKLYN NY 11215,Retail,https://www.walgreens.com/storelocator/find.jsp,11215,307,171,POINT (-73.97755 40.656679000000004),17617,9,2,27,45
Certified Compostable,3001940001,3001237,Brooklyn,33,40.84697,-73.83294,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,147,57,Smith St,147 Smith St,Mom and Pop's Organic Market,(718) 389-7912,147 Smith St Brooklyn NY 11201,Retail,,11201,302,43,POINT (-73.832938 40.84696400000001),11270,43,5,12,28
Certified Compostable,3006250065,3008890,Brooklyn,38,40.84693,-73.83291,Sunset Park West,566,46,Hamilton Avenue,566 Hamilton Avenue,Jetro - Red Hook,(718) 768-0555,566 Hamilton Avenue Brooklyn NY 11232,Wholesale,http://jetro.com/store-locations/,11232,307,18,POINT (-73.832907 40.846932999999986),11270,43,5,12,28
Certified Compostable,3063410001,3165662,Brooklyn,43,40.61151,-74.00883,Bath Beach,1511,85,86TH ST,1511 86TH ST,Walgreens,(347) 856-5679,1511 86TH ST BROOKLYN NY 11228,Retail,https://www.walgreens.com/storelocator/find.jsp,11228,311,172,POINT (-74.008828 40.611507),13511,1,2,44,37
