Name,City,State,Total Payments
New Orleans East Hospital,New Orleans,LA,"$   10,402,390.04"
Hemet Valley Medical Center,Hemet,CA,"$   10,064,068.70"
Kaiser Permanente - Los Angeles Medical Center,Los Angeles,CA,"$   8,558,189.78"
Mobile Infirmary,Mobile,AL,"$   12,172,442.55"
Waterbury Hospital,Waterbury,CT,"$   10,109,405.48"
Coosa Valley Medical Center,Sylacauga,AL,"$   8,700,862.06"
UM Prince Georges Hospital Center (FKA Prince Georges Hospital Center),Cheverly,MD,"$   8,313,383.78"
AMITA Health Saint Mary and Elizabeth Medical Center Chicago - Saint Mary Campus (FKA Presence Saint Mary and Elizabeth Medical Center - Saint Mary Campus),Chicago,IL,"$   12,772,119.93"
Houston Medical Center,Warner Robins,GA,"$   11,525,425.46"
Virtua Voorhees Hospital,Voorhees,NJ,"$   10,166,311.50"
Hudson Regional Hospital (FKA Meadowlands Hospital Medical Center),Secaucus,NJ,"$   8,550,812.72"
LAC & USC Medical Center,Los Angeles,CA,"$   22,986,059.66"
Community Hospital,Munster,IN,"$   10,320,364.97"
Brigham and Womens Faulkner Hospital,Boston,MA,"$   10,088,955.48"
Swedish Medical Center - Issaquah Campus,Issaquah,WA,"$   8,654,525.10"
MedStar Southern Maryland Hospital Center,Clinton,MD,"$   8,159,432.23"
St Vincent Hospital,Worcester,MA,"$   9,940,426.80"
IU Health West Hospital (FKA Clarian West Medical Center),Avon,IN,"$   8,851,468.33"
Inova Alexandria Hospital,Alexandria,VA,"$   11,092,968.20"
Houston Methodist Sugar Land Hospital (FKA Methodist Sugar Land Hospital),Sugar Land,TX,"$   10,715,660.45"
Holy Cross Hospital,Fort Lauderdale,FL,"$   8,711,230.96"
Virtua Memorial Hospital (FKA Virtua Memorial Hospital of Burlington County),Mount Holly,NJ,"$   9,316,630.98"
Millard Fillmore Suburban Hospital,Williamsville,NY,"$   14,810,932.30"
Community Hospital East,Indianapolis,IN,"$   12,422,113.90"
Emory Decatur Hospital (FKA DeKalb Medical Center North Decatur),Decatur,GA,"$   12,041,457.19"
Covenant Medical Center - Harrison,Saginaw,MI,"$   11,656,685.99"
Cape Coral Hospital,Cape Coral,FL,"$   9,966,384.92"
Tuba City Regional Health Care,Tuba City,AZ,"$   8,703,109.13"
M Health Fairview Southdale Hospital,Edina,MN,"$   8,025,837.46"
Ohio State University Wexner Medical Center,Columbus,OH,"$   19,813,761.40"
Providence Holy Cross Medical Center,Mission Hills,CA,"$   13,212,292.21"
AMITA Health Saint Joseph Medical Center Joliet (FKA Presence Saint Joseph Medical Center),Joliet,IL,"$   10,633,280.26"
WellStar Atlanta Medical Center (FKA Atlanta Medical Center),Atlanta,GA,"$   12,759,475.24"
Bayhealth Hospital - Kent Campus,Dover,DE,"$   11,159,933.80"
University of Miami Health System (AKA UHealth),Miami,FL,"$   7,774,553.35"
HealthPark Medical Center,Fort Myers,FL,"$   17,366,062.75"
Bethesda Hospital East (FKA Bethesda Memorial Hospital),Boynton Beach,FL,"$   12,783,481.03"
St Peters Hospital,Albany,NY,"$   10,623,281.57"
Howard County General Hospital,Columbia,MD,"$   7,697,577.57"
