Application Type,Application Number,Process Date,Issued Date,Final Date,Expire Date,Type and purpose of work,Use Group,Watershed,Tributary,WSSC map grid,Tax map,Location,Street number,Street Pre direction,Street name,Street Post direction,Street suffix,City,State,Zip Code,Count Street Map Coordinate,Disturbed Area 100 Year FD,Impervious Surface 100 Year FD,State Water Use,Comments,Location1
FLOODPLAIN DISTRICT PERMIT,214476,11/07/2001,12/07/2001,,,SWM OUTFALL INTO MNCPPC FLOODPLAIN,,LSC,,"231NW12, 13",,"RUNNING BROOK DRIVE & FREDERICK RD: LOTS 10-20, 1-8/A & D; PARCELS B,C,D",,,,,,,,,,3000,0,0,"Lots 10-20, 1-8/A,D; Parcels B,C,D",
FLOODPLAIN DISTRICT PERMIT,354832,10/10/2016,04/06/2020,,04/06/2022,EMERGENCY HYDRAULICALLY IN-KIND CULVERT REPLACEMENT.,,,,,,WEST WILLARD ROAD - EMERGENCY CULVERT REPLACEMENT.  APPROXIMATELY 1.0 MILE SOUTH OF WEST OFFUTT ROAD.,,,,,,,,,,3541,,0,,
FLOODPLAIN DISTRICT PERMIT,264424,01/25/2010,02/03/2010,,02/03/2017,CONSTRUCT ROADWAY WITH CULVERT ACROSS UNNAMED TRIBUTARY TO THE CABIN BRANCH; STORM OUTFALLS AND BUFFER GRADING IN SAME TRIBUTARY AND CABIN BRANCH,,GSC,,,GU-12,CENTERPARK - INTERSECTION OF SHOUFFER SCHOOL ROAD & TURKEY THICKET DR,,,,,,,,,"19, H3",178300,12800,0,,
FLOODPLAIN DISTRICT PERMIT,201123,10/28/1999,11/18/1999,,,REPAIR/MAINTENANCE OF BRIDGE MKP12C.RIPRAP SIDESLO,CONS,LRC,MAIN STEM,212NW5,HP122,BRIDGE ON BEACH DR OVER ROCK CREEK MPK-12C,,,,,,,,,35K5,435,435,0,,
FLOODPLAIN DISTRICT PERMIT,230207,07/06/2004,07/16/2004,,07/17/2006,"REPLACE A SMALL ENTRANCE BRIDGE OVER THE STREAM AT WHITE'S FERRY SPORTSMAN CLUB AT  DICKERSON, MD.     -RIVER ROAD.",,PRD,UNNAMED,225NW25,AT342,RIVER RD AT WHITE'S FERRY,,,,,,,,,14H6-7,5000,0.1,0,Parcel 077,
FLOODPLAIN DISTRICT PERMIT,218923,09/24/2002,11/22/2002,,11/22/2008,STABILIZATION OF STREAM CHANNEL USING RIPRAP & BIOENGINEERING TECHNIQUES,,LRC,,"800, 846, 843",,TURKEY BRANCH FROM CONNECTICUT AVE TO GEORGIA AVE,,,,,,,,,,"27,712",0,0,Turkey Branch from Connecticut to Georgia,
FLOODPLAIN DISTRICT PERMIT,210060,02/02/2001,03/05/2001,,,INSTALL TRAIL BRIDGE IN FLOODPLAIN ON RURAL LEGACY TRAIL,,NWB,,"222, 223NW1",,"END OF ALEXANDER MANOR DRIVE, LOTS 19-62",,,,,,,,,22B11,14400,592,0,,
FLOODPLAIN DISTRICT PERMIT,218925,09/24/2002,01/28/2003,10/21/2008,10/21/2010,RETROFIT EXISTING DETENTION POND TO A RETENTION/EXTENDED DETENION FACILITY TO ENHANCE WATER QUALITY MANAGEMENT CAPABILITIES SC#204236,,LRC,,757,,EAST END OF PEPPERTREE LANE,,,,,,,,,,78408,0,0,,
FLOODPLAIN DISTRICT PERMIT,208976,11/09/2000,11/16/2000,,,INSTALL SWM FACILITY AND REMOVE EXISTING FARM POND,,WBR,,216NW10,,"EAST OF GLEN MILL RD, SOUTH OF GLENN HILLS SUBDIVISION",,,,,,,,,,36459.72,0,0,,
FLOODPLAIN DISTRICT PERMIT,256176,12/31/2007,,,,"INSTALLING A NEW SEDIMENT OUTFALL INTO THE FLOOD PLAIN AREA SHOWN ON LITTLE BENNETT MEADOWS LOT 1, SUBDIVISION PLAT# 22882",CONS,LSC,,233NW14,EW-32,MARYLAND ROUTE 355 @ SNOWDEN FARM PARKWAY,,,,,,,,,P99 B-3,3100,0,0,,
FLOODPLAIN DISTRICT PERMIT,373098,01/13/2020,04/11/2020,,04/11/2022,Proposed addition on existing single family dwelling.,,,,215NW11,FQ122,,10915,,GLEN,,RD,POTOMAC,MD,20854,5283-D3,258,61,0,,"10915 GLEN RD
POTOMAC, MD 20854
(39.047207, -77.22535)"
FLOODPLAIN DISTRICT PERMIT,253582,06/27/2007,02/26/2008,,02/26/2010,TO CONSTRUCT BIKE TRAIL AND BRIDGE TO CONNECT EXISTING SEGMENTS OF TRAIL ON BOTH SIDES OF VEIRS MILL ROAD.,CONS,LRC,,217NW5,HR 21&22,"VEIRS MILL ROAD, ASPEN HILL ROAD, BIKE TRAIL AND BRIDGE",,,,,,,,,29;J-9,"54,450","7,326",0,,
FLOODPLAIN DISTRICT PERMIT,260261,12/11/2008,12/24/2008,,12/24/2010,REPLACE TWO EXISTING BRIDGES ON THE SLIGO CREEK TRAIL; ONE IS OVER SLIGO CREEK AND ONE IS OVER A TRIBUTARY.THE EXISTING BRIDGES P58-4 & P58-5 ARE OLD.,CONS,SCR,,211NW01,JP341,WEST OF SLIGO CREEK PARKWAY BETWEEN THREE OAKS DRIVE AND SCHUYLER ROAD,,,,,,,,,PAGE 37C8,0,0,0,,
FLOODPLAIN DISTRICT PERMIT,374471,04/10/2020,,,,DEP owns the closed Gude Landfill.  In order to achieve compliance with the consent order for the Landfill (MDE Case Number CO-11-SW-036...,,URC,,,,,600,E,GUDE,,DR,ROCKVILLE,MD,20855,,0,0,0,"DEP owns the closed Gude Landfill.&nbsp; In order to achieve compliance with the consent order for the Landfill (MDE Case Number CO-11-SW-036), the DEP will construct a toupee closure cap (geomembrane","E 600 GUDE DR
ROCKVILLE, MD 20855"
FLOODPLAIN DISTRICT PERMIT,374510,04/15/2020,,,,"Construction of non-inhabitable, flood tolerable structure and minor grading.  The structure is a covered pavilion-style horse riding arena.",,,,210NW03,HN563,,8200,,MEADOWBROOK,,LN,CHEVY CHASE,MD,20815,,56994,28882,0,"Construction of non-inhabitable, flood tolerable structure and minor grading.&nbsp; The structure is a covered pavilion-style horse riding arena.","8200 MEADOWBROOK LN
CHEVY CHASE, MD 20815
(38.990578, -77.060241)"
FLOODPLAIN DISTRICT PERMIT,374559,04/17/2020,,,,Kaiser Permanente Aspen Hill,,,,218NW04,HR342,,4115,,ASPEN HILL,,RD,ROCKVILLE,MD,20853,,28973,0,0,"Existing building demolition, stabilization of existing building","4115 ASPEN HILL RD
ROCKVILLE, MD 20853
(39.080178, -77.081827)"
FLOODPLAIN DISTRICT PERMIT,339768,06/29/2015,07/09/2015,,07/09/2017,CONSTRUCTION OF STORMWATER OUTFALL PIPES AS SHOWN ON THE POND 11 REVISION PLAN SET (sedctrol # 231537),CONS,LSC,,231NW14,EV23 & EV3,"SOUTHWEST QUADRANT, INTERSECTION OF CLARKSBURG ROAD & I-270",,,,,,,,,EV23 & EV3,1030,,0,,
FLOODPLAIN DISTRICT PERMIT,278485,08/10/2012,08/14/2013,08/10/2015,08/14/2015,"CONS OF GREENWAY TRAIL FRM PH 1 TO LITTLE SENECA PKWY IN PH 2. INCLUDE INSTALL OF A PEDEST BRIDGE, INSTALL DRYWELLS FOR WQ, INSTALL OF ASPHALT PATH.",CONS,LSC,,,,"LITTLE SENECA PARKWAY, CLARKSBURG",,,,,,,,,4928 J-4,43255,12080,0,,
FLOODPLAIN DISTRICT PERMIT,238418,07/21/2005,10/20/2005,,10/20/2009,REPLACE EXISTING STONE WALL WITH TOP-DOWN RETAINING WALL TO IMPROVE ROADWAY & CHANNEL BANK SAFETY,,SCR,,211NE1NW,JP41,SLIGO CREEK PARKWAY SILVER SPRING,,,,,,,,,37C8,18730,17860,0,,
FLOODPLAIN DISTRICT PERMIT,218924,09/24/2002,10/09/2003,,10/09/2008,NEW SWM FACILITY TO PROVIDE RETENTION/EXTENDED DETENTION FOR EXISTING DEVELOPMENT,,LRC,,"799, 800",,NW OF TURKEY BR & SW OF GEORGIA AVE,,,,,,,,,,155509,0,0,,
FLOODPLAIN DISTRICT PERMIT,254823,09/28/2007,06/11/2008,02/16/2016,06/11/2016,"AS MITIGATION REQUIRED BY THE MDSPGP-2 ISSUED FOR THIS PROJECT, APPORXIMATELY 150 LINEAR FEET OF STREAM IS TO BE STABILIZED.",,LBC,,233NW1314,EW-32,"MARYLAND ROUTE 355, CLARKSBURG",,,,,,,,,"P892, 3C","13,707",,0,,
FLOODPLAIN DISTRICT PERMIT,351293,02/11/2016,02/29/2016,,02/28/2018,"Parks improvements including removal of pavement, trail re-alignment and stormwater facility construction.",,SCR,,212NW02,JT122,"Holy Cross Hospital,Sligo Creek Park Improvements/Forest Glen Road & Sligo Creek Parkway, Silver Spring, MD 20910",,,,,,,,,5286 E8,26152,8235,0,"Parks improvements including removal of pavement, trail re-alignment and stormwater facility construction.",
FLOODPLAIN DISTRICT PERMIT,301046,09/11/2013,10/23/2013,,10/23/2015,"Restore 70lf of degraded stream channel using in-stream, channel and bank protection measures to improve public safety along the pedestrian path.",,LSC,,,EU43,Lake Churchill Stream Restoration/Intersection of Watersude Drive & Waterside Circle,,,,,,,,,EU43,1016,0,0,,
FLOODPLAIN DISTRICT PERMIT,253719,07/05/2007,,,,TO REPLACE AN EXISTING SUBSTANDARD BRIDGE WITH A PROPOSED STRUCTURE THAT WILL IMPROVE SAFETY AND REDUCE FLOODING OF THE ROADWAY (WHITE GROUND RD).,CONS,PRD,BUCKLODGE,"16NW, 224NW",DT32,"WHITE GROUND ROAD, 400' SOUTH OF SCHAEFFER ROAD",,,,,,,,,,48000,2178,0,***VOIDED 6/7/10 * SUPERCEDED BY FPDP #260761***,
FLOODPLAIN DISTRICT PERMIT,258044,06/03/2008,11/07/2008,11/04/2009,11/04/2011,STREAM BANK STABILIZATION ALONG THE EAST BANK OF MUDDY BRANCH AS WELL AS REPLACEMENT OF THE EXISTING BOAT RAMP.,,MBR,,216NW14,EQ23,"PENNYFIELD LOCK BOAT RAMP,PENNYFIELD LOCK ROAD, POTOMAC",,,,,,,,,27A11,8600,,0,,
FLOODPLAIN DISTRICT PERMIT,354833,10/10/2016,10/11/2016,,10/11/2018,Rehabilitation of park,,LRC,,212NW04,HP342,"[KENSINGTON PARK - FPD]

10000 KENSINGTON PARKWAY

(KENSINGTON PARKWAY: From Everett St to 750-ft north; EVERETT STREET: From Kensington Pkwy to 80 feet west.)",,,,,,,,,D-5,14530,,0,,
FLOODPLAIN DISTRICT PERMIT,219972,12/23/2002,05/01/2003,,05/01/2005,"DEMO OF EXISTING BUILDING AT 5409, DRAINAGE IMPROVEMENTS & CONVERSION OF REMAINING BLDG & SITE TO REPAIR CARS",,LFB,,207NW05,,"5409, 5415, 5419, BUTLER ROAD, BETHESDA",,,,,,,,,,6295,6295,0,"Parcel D, P435, P434
SC#206862",
FLOODPLAIN DISTRICT PERMIT,220242,01/22/2003,01/24/2003,,01/24/2005,REPLACE CULVERT WITH FOOTBRIDGE; MAINTENANCE AT THREE EXISTING FOOTBRIDGES,,HWR,JAMES CR,224NW2,,"LAKE HALLOWELL, OLNEY, MD PARCELS W, O-O, U-U, H-H",,,,,,,,,,200,200,0,"Parcels W, O-O, U-U, H-H",
FLOODPLAIN DISTRICT PERMIT,272525,01/06/2012,01/24/2012,01/03/2017,01/24/2014,CONSTRUCT STORM DRAIN OUTFALL INTO 100 YEAR FLOODPLAIN,,URC,,221NW04,HS342,"THISTLEBRIDGE DR/CT, ROCKVILLE",,,,,,,,,5165 H3,930,,0,,
FLOODPLAIN DISTRICT PERMIT,204312,04/13/2000,05/01/2000,,,SWM/STM DRAIN OUTFALLS HEADWALLS AND STABILIZATION RIPRAP INCLUDED,,LRC,,213NW5,HP123,"GROSVENOR METRO STATION, BETWEEN ROCKVILE PK & TUCKERMAN LN - PARCEL A",,,,,,,,,35;K-3,3092.76,0,0,,
FLOODPLAIN DISTRICT PERMIT,301448,09/18/2013,07/01/2014,02/22/2017,07/01/2017,THE PROJECT IS A STRUCTURALLY IN-KIND BRIDGE REPLACEMENT AND ASSOCIATED IMPROVEMENTS FOR MAINTENANCE PURPOSES.,CONS,LRC,,211NW05,PH121,"ELMHIRST PARKWAY, BETHESDA, MD  20814",,,,,,,,,F10B,"4,242",0,0,,
FLOODPLAIN DISTRICT PERMIT,213015,07/27/2001,12/10/2001,,,CONSTRUCTION OF SWM FACILITY & OUTFALL,,PBR,RIGHT FORK,220NE3NE,,"BRIARCLIFF MANOR NORTH, SPENCERVILLE RD @ BURTONSVILLE DRIVE & UNION CEMETERY",,,,,,,,,32C2,1500,0,0,Lot 1-23/E; 1-45/F; Parcels A & B/F,
FLOODPLAIN DISTRICT PERMIT,374615,04/22/2020,04/29/2020,,04/29/2022,Installation of rip rap for abandonment of existing pond,,GSC,,227NW09,FU341,,19550,,MONTGOMERY VILLAGE,,AVE,MONTGOMERY VILLAGE,MD,20886,,2779,0,0,Installation of rip rap for abandonment of existing pond,"19550 MONTGOMERY VILLAGE AVE
MONTGOMERY VILLAGE, MD 20886
(39.179228, -77.201403)"
FLOODPLAIN DISTRICT PERMIT,203640,03/13/2000,04/03/2000,,,EXTENSION OF EXISTING GOLF CART PATHS,,NWB,,221NW1,JS122,"NW BR GOLF COURSE, LAYHILL RD. ASPEN HILL",,,,,,,,,,49658.40,6403.32,0,,
FLOODPLAIN DISTRICT PERMIT,372020,10/23/2019,11/01/2019,05/01/2020,11/01/2021,EMERGENCY CULVERT IMPROVEMENT AND REPLACEMENT DUE TO COLLAPSE.,,,,,,,9300,,WILLOW CREEK,,DR,MONTGOMERY VILLAGE,MD,20886,,4990,,0,,"9300 WILLOW CREEK DR
MONTGOMERY VILLAGE, MD 20886
(39.1564, -77.193539)"
FLOODPLAIN DISTRICT PERMIT,201110,10/28/1999,11/17/1999,,,REPAIR/MAINTENACE OF BRIDGE/STREAM-HEADWALL/DEBRIS,CONS,LRC,UNNAMED,213 NW 5,HP123,BRIDGE ON BEACH DRIVE OVER ROCK CREEK,,,,,,,,,35K4,435,0.00,0,Repair/maintenance of bridge/stream,
FLOODPLAIN DISTRICT PERMIT,203630,03/13/2000,03/14/2000,,,REPLACEMENT OF OLD PEDESTRIAN BRIDGE OVER SLIGO CREEK AT LADD STREET.,,SCR,-,214NW2,JQ121,"SLIGO CREEK & LADD STREET,WHEATON",,,,,,,,,,500,0,0,,
FLOODPLAIN DISTRICT PERMIT,320653,08/12/2014,06/15/2016,,06/15/2018,Retrofit of the existing stormwater management dry pond to meet 2000 MDE criteria for CPv and WQv to MEP,,WBR,SANDY BR,5163/C7,FR22,Grey Colt Drive/WRE12-01/Potomac Ridge Asset #10887,,,,,,,,,218NW11,0,0,0,,
FLOODPLAIN DISTRICT PERMIT,200953,10/19/1999,10/27/1999,,,SWM POND OUTFALL PROTECTION,CONS,LSC,UNNAMED,226NW13,EU341,INTERSECTION OF MD RT 118 & DAWSON FARM RD IN GERMANTOWN,,,,,,,,,13A10,200,0,0,,
FLOODPLAIN DISTRICT PERMIT,282814,10/25/2012,01/31/2018,05/04/2020,01/31/2020,Pond retro fit for compliance with Montgomery County NPDES permit requirements.,,WBR,,215NW9,FQ53,Reach Rd. Potomac Md 20854,,,,,,,,,,"103,806",0,0,,
FLOODPLAIN DISTRICT PERMIT,374322,03/27/2020,05/04/2020,,05/04/2022,Retrofit an existing stormwater management facility in the Rolling Hills Apartment complex,,,,226NW13,EU41,"Rolling Hills
Circle Gate Drive, Germantown, MD 20874",,,,,,,,,5046,24120,0,0,Retrofit an existing stormwater management facility in the Rolling Hills Apartment complex,
FLOODPLAIN DISTRICT PERMIT,355643,12/05/2016,01/19/2017,06/12/2018,01/19/2019,Sidewalk improvements along Central Ave and Oakmont Ave.,,MBR,,223NW09,FT561,"[OAKMONT - FLOODPLAIN PERMIT]

CENTRAL AVENUE: Starting approximately +430 feet northeast of Oakmont Street to Oakmont Avenue;

OAKMONT AVENUE: From Central Avenue continuing northeast then southeast approximately 630 feet.",,,,,,,,,5048-B9,1389,0,0,,
FLOODPLAIN DISTRICT PERMIT,262236,06/30/2009,07/14/2011,04/12/2016,07/14/2013,REVIEW AND APPROVE FARM POND RESTORATION PLAN,,LSC,,231NE14,EV562; FV122,"WEST OLD BALTIMORE ROAD, I-270 AND CLARKSBURG ROAD",,,,,,,,,PAGES 8 & 9,"13,678.42 SF",,0,FPDP- For a review and approval of a Farm Pond Restoration Plan.,
FLOODPLAIN DISTRICT PERMIT,266259,07/09/2010,07/13/2010,,07/13/2012,DEMOLISH EXISTING ASPHALT PATH & PERMANENTLY STABILIZE,CONS,URC,,214NW05,HQ121,"STRATHMORE AVENUE, ROCKVILLE",,,,,,,,,,,,0,,
FLOODPLAIN DISTRICT PERMIT,372780,12/16/2019,05/06/2020,,05/06/2022,GRADING AND UTILITIES IN FLOOD PLAIN AND BRL.,CONS,LSC,,227NW09,FU341,"EAST OF MONTGOMERY VILLAGE AVENUE, STEWARDTOWN ROAD, ARROWHEAD ROAD",,,,,,,,,,65658,,0,,
FLOODPLAIN DISTRICT PERMIT,212938,07/23/2001,08/09/2001,12/13/2018,,REPLACE EXISTING BRIDGE & REALIGNMENT OF GOSHEN RD,,GSC,CABIN BRCH,226NW9,FU561,REPLACEMENT OF BRIDGE #M-61 GOSHEN ROAD,,,,,,,,,"19G3,4",39204,17424,0,,
FLOODPLAIN DISTRICT PERMIT,201379,11/09/1999,11/10/1999,,,CONSTRUCT GOLF COURSE PARTIAL GRADING,ROUGRD,UPR,,228NW5,"HU122/123,GU562/563",,5821,,OLNEY-LAYTONSVILLE,,RD,LAYTONSVILLE,MD,20882,11H13,167618.8,0,0,,"5821 OLNEY-LAYTONSVILLE RD
LAYTONSVILLE, MD 20882
(39.186536, -77.117801)"
FLOODPLAIN DISTRICT PERMIT,293663,05/14/2013,06/20/2013,,06/20/2015,Replace bridge super structure/make minor repairs to abutments. No additional paving will be done.,,,BOOZE CRK,210NW06,GN53,Valley Rd. at Fallen Oak Drive Bethesda MD. 20817,,,,,,,,,GN53,4950,0.00,0,"Replace DPWT Bridge M-0111, over Booze Creek at Valley Rd / Fallen Oak Dr, Bethesda &amp; Repair Abutments. The Bridge passes a 2-yr storm.",
FLOODPLAIN DISTRICT PERMIT,252973,05/21/2007,11/23/2007,,11/23/2009,THE PROPOSED REHABIULITATION WORK INCLUDES REPLACING THE EXISTING SUPERSTRUCTURE WITH NEW CONCRETE PRE-STRESSED SOLID SLABS AND CONCRETE OVERLAY.,,CJC,BOOK CREEK,210 NW - 7 NW,"GN43, GN41","ON BURNING TREE ROAD OVER BOOZE CREEK, 75.5 FEET SOUTH OF INTERSECTION OF BEECH TREE ROAD AND BURNING TREE ROAD",,,,,,,,,35/D9,10448,871,0,,
FLOODPLAIN DISTRICT PERMIT,204848,05/11/2000,05/14/2001,,,"INSTALLATION OF A 60"" ALCMP CULVERT & ROADWAY CROSSING",,URC,,222NW7,,"KINGSVIEW VILLAGE, SEC. 8 ROUTE 228, GERMANTOWN",,,,,,,,,"18,  C-5",23958,3049.20,0,,
FLOODPLAIN DISTRICT PERMIT,216906,05/02/2002,05/16/2002,,,"WORK WITHIN FP FOR SWM POND #3 OUTFALL, CONSISTING OF INSTALLATION OF PIPE ENOWALL, RIP-RAP & EXCAVATION OF GRASS SWALE.",,NWB,,223 & 224 NW 1 & 2,,"BETWEEN NORWOOD RD & 108, SANDY SPRINGS",,,,,,,,,,7840,0,0,"Lots 31-44, Parcels J, K, L, M, N, O, P, Y & Z",
FLOODPLAIN DISTRICT PERMIT,201341,11/08/1999,07/31/2000,,,"CONSTRUCT CHURCH, PARKING LOT, SWM FACILITIES",CONS,UPR,,226NW8,,"RT 108 & LONG CORNER RD, DAMASCUS",,,,,,,,,5A10,42253,0,0,,
FLOODPLAIN DISTRICT PERMIT,356852,02/23/2017,,,,GRADING TO CREATE A WETLAND AREA.,,,,,,"ADJACENT TO 23258-23346 STRINGTOWN ROAD

CLARKSBURG, MD 20871",,,,,,,,,,10387,,0,,
FLOODPLAIN DISTRICT PERMIT,218927,09/24/2002,10/09/2003,,10/09/2008,NEW SWM FACILITY TO PROVIDE DETENTION/EXTENDED DETENTION FOR EXISTING DEVELOPMENT,,LRC,,"800, 843",,SE OF TURKEY BR & SW OF GEORGIA AVE,,,,,,,,,,45302,0,0,,
FLOODPLAIN DISTRICT PERMIT,267577,11/17/2010,11/24/2010,,11/24/2012,BREACH THE DAM ON AN EXISTING FARM POND AND CONSTRUCT A NATURAL CHANNEL IN ACCORDANCE WITH MDE PERMIT.FLOODPLAIN STUDY #238455 WAS APPROVED.,,WBR,SOUTH GLEN,213NW11,FQ-12 FP-123,,,,,,,,,,5283-D6,36266,,0,,
FLOODPLAIN DISTRICT PERMIT,320652,08/12/2014,07/13/2016,,07/13/2018,Retrofit of the existing stormwater management dry pond to meet 2000 MDE criteria for CPv and WQv to MEP,,WBR,SANDY BR,5163/B7,ER62,Saddleview Drive/WRE12-01/Potomac Ridge Asset #10847,,,,,,,,,218NW12,0,0,0,,
FLOODPLAIN DISTRICT PERMIT,270950,08/12/2011,12/07/2012,,12/07/2015,"CONSTRUCTION OF 1 SWM POND, 2 SEDIMENT TRAPS, GRADING",,NWB,,218NW2,"JR 121,122,341,342","13600 LAYHILL ROAD, SILVER SPRING, MD  20906",,,,,,,,,5166/E8,"67,315 SQUARE FEET",,0,Poplar Run Phase 3,
FLOODPLAIN DISTRICT PERMIT,201116,10/28/1999,11/18/1999,,,REPAIR/MAINTENANCE OF BRIDGE MPK-06C.RIPRAP-SIDESL,,LRC,MAIN STEM,214NW4,HQ341,BRIDGE REPAIRS BEACH DR OVER CHANNEL OF ROCK CREEK MPK-06C,,,,,,,,,36B2 & 3,435,435,65894,bRIDGE REPAIR & MAINTENANCE AND SIDESLOPES,
FLOODPLAIN DISTRICT PERMIT,254779,09/26/2007,04/06/2009,12/23/2010,12/23/2012,THE EXISTING CMP CULVERTS ARE STRUCTURALLY FAILING AND THE CROSSING IS UNSAFE OF VEHICULAR USAGE. THE CMP PIPES ARE PROPOSED TO BE REPLACED.,CONS,,,229N-W20,ES61,"WOODSTOCK EQUESTRIAN PARK, BEALLSVILLE",,,,,,,,,7-A13,10802,1370,0,,
FLOODPLAIN DISTRICT PERMIT,229464,05/19/2004,08/09/2005,12/18/2007,12/18/2009,REPLACE FAILING BRIDGE & RE-ALIGN ROADWAY APPROACHES FOR SAFETY IMPROVEMENTS.,,GSC,GOSHEN BR,229NW9,FV561,BRIDGE OVER TRIB TO GOSHEN BR @ BRINK RD NORTH OF GOSHEN RD,,,,,,,,,10G10,"13,350","6,425",0,,
FLOODPLAIN DISTRICT PERMIT,221858,05/27/2003,08/20/2003,,08/20/2005,POND BANK STABILIZATION @ NORTH CREEK LAKE,,GSC,,,,"MONTGOMERY VILLAGE AVENUE, PARCEL P577",,,,,,,,,,"172,158",0,0,,
FLOODPLAIN DISTRICT PERMIT,226553,02/06/2004,10/05/2004,,10/05/2006,"INSTALL HELICAL PIERS & RAMP TO INSTALL PRE-MANUFACTURED EQUESTRIAN/PEDESTRIAN BRIDGE ACROSS STREAMS # 1, 2, 3, 4.",,LMR,,,CU23,"DARNESTOWN RD, BEALLSVILLE, PARCEL P524",,,,,,,,,10K7,256,0,0,"Stream Crossing's 1, 2, 3, 4",
FLOODPLAIN DISTRICT PERMIT,344711,09/02/2015,09/04/2015,11/18/2016,09/04/2017,"Emergency replacement of existing failing twin 48"" Dia CMP culvert with a 2 cell Conc.Box Culvert. 4' rise x 5' span and 5' rise.",,,,234NW10,FW343,"Sweepstakes Road Culvert Replacement/10400 Block Sweepstakes Road/Damascus, MD 20872",,,,,,,,,,"13,998",0,0,,
FLOODPLAIN DISTRICT PERMIT,229952,06/16/2004,,,,,,,,,,,,,,,,,,,,,,0,,
FLOODPLAIN DISTRICT PERMIT,231665,09/17/2004,10/11/2004,,10/11/2006,"DREDGING ACCUMULATED SEDIMENT, REPAIRING THE STABILIZATION CHANNEL, REPLACEMENT OF THE EXISTING FLOW SPUTTER & STABILIZE EMBANKMENT.",,SCR,ONE,214NW2,JQ121,UNIVERSITY BLVD PARCEL P564,,,,,,,,,36K2,196000,0,0,Parcel P564,
FLOODPLAIN DISTRICT PERMIT,233526,01/03/2005,01/25/2005,06/29/2012,01/26/2007,CONSTRUCT PEDESTRIAN BRIDGE OVER UPPER SANDY BRANCH,,,SANDY BR,,,TRAVILAH RD FROM DUFIEF MILL TO DARNSTOWN RD,,,,,,,,,27H7 TO 28D4,"16,117","2,178",0,Dufief Mill Rd to Darnstown Rd,
FLOODPLAIN DISTRICT PERMIT,206585,10/26/2000,08/01/2001,,,STORM DRAIN OUTFALL & SEWER CONNECTION TO EXISTING SEWER RUNNING ACROSS STREAM (TRIB),,LRC,,213NW3,HP563,"PLYERS MILL & DRUMM AVE, KENSINGTON",,,,,,,,,36;E-3,1600,319,0,,
FLOODPLAIN DISTRICT PERMIT,225735,12/08/2003,04/28/2004,,04/28/2006,CONSTRUCTION OF SWM OUTFALL & SANITARY SEWER CONNECTION,CONS,GSC,,,FU53,"SNOUFFER SCHOOL ROAD - 400' WEST OF GOSHEN RD, MONTGOMERY VILLAGE, PARACEL P940, LOTS A & B",,,,,,,,,"19, G-1",2640,,0,,
FLOODPLAIN DISTRICT PERMIT,224107,09/04/2003,09/09/2003,,09/09/2005,"BRIDGE REHAB INCLUDING SUPERSTRUCTURE REPLACEMENT OF SCOUR COUNTERMEASURES, SIDEWALKS & RESURFACING.",,SCR,163,213NW2,JP123,BRIDGE #M139 AT INWOOD AVE OVER SLIGO CR,,,,,,,,,36K4,3843,4012,0,,
FLOODPLAIN DISTRICT PERMIT,254666,09/20/2007,02/02/2009,,02/02/2011,SYCAMORE CREEK STREAM RESTORATION,,,,,,"1.43 ACRES SYCAMORE CREEK @ RUSSETT ROAD/ROCKVILLE, MD 20850",,,,,,,,,30A5A6/29J6K6K5,62258,0,0,,
FLOODPLAIN DISTRICT PERMIT,324127,10/08/2014,,,,"REPLACE EXISTING TWIN 24"" CMP CULVERTS THAT HAVE FAILED.",,PRD,,24NW-225NW,,"APPROX. 23904 WHITES FERRY ROAD

POOLESVILLE, MD",,,,,,,,,14K5,7261,960,0,,
FLOODPLAIN DISTRICT PERMIT,232447,11/03/2004,01/06/2005,,,FLOODPLAIN BUFFER DISTURBANCE WITH SEDIMENT CONTROLS,,WBR,,"215NW11, 216NW11-12",,"GLEN ROAD, POTOMAC 20854 (LOTS 21-31/A)",,,,,,,,,"EQ63, FQ13",.07 ACRE,0,0,North,
FLOODPLAIN DISTRICT PERMIT,205626,06/21/2000,04/05/2001,,,STREAM RESTORATION,,SCR,,210NW01,,SLIGO CREEK PARKWAY STREAM RESTORATION,,,,,,,,,,72309.60,0,0,,
FLOODPLAIN DISTRICT PERMIT,202981,01/28/2000,01/28/2000,02/23/2006,02/23/2008,SWM POND OUTFALL PROTECTION WITHIN THE 100-YR FP.,,LSC,UNNAMED,226NW13,EU 341,"INTERSECTION OF MD RT 118 & DAWSON FARM RD, GERMANTOWN",,,,,,,,,13A10,217,0,0,,
FLOODPLAIN DISTRICT PERMIT,202866,01/20/2000,01/31/2000,,,"CONSTRUCT STORMDRAIN TO EX 60"" IN FP FOR 6 SF LOTS",,LRC,UNAMED,214NW3,HQ561,GEIGER AVE & WEST ST,,,,,,,,,36E2,479,0,0,,
FLOODPLAIN DISTRICT PERMIT,208188,09/19/2000,10/18/2000,,,INSTALLATION OF 2 PRE-FAB PEDESTRIAN BRIDGE CROSSINGS AS REQUED BY MNCPPC FOR THE ON-SITE TRAIL SYSTEM,,GSC,,225NW13,,"GREAT SENECA HYWY, GERMANTOWN",,,,,,,,,18C4,2178.00,,0,,
