Program Administrator,Program Name,Fuel Type,Sector,Net Fuel Savings Acquired,Fuel Savings Unit,Cumulative Net Energy Savings Acquired as of Date
Corning Natural Gas Corporation,Residential HVAC Program,Gas,Residential,22344.60,Dth,06/30/2015
Rochester Gas and Electric Corporation,Multifamily Program,Electric,Multi-Family,16234.23,MWh,06/30/2015
KeySpan Gas East Corp. d/b/a National Grid,Commercial Energy Efficiency Program,Gas,Commercial,87250.27,Dth,09/30/2015
Central Hudson Gas & Electric Corporation,Residential Appliance Recycling Program,Elecric,Residential,18987.79,MWh,09/30/2015
The Brooklyn Union Gas Company d/b/a National Grid NY,Multifamily Energy Efficiency Program,Gas,Multi-Family,141343.57,Dth,06/30/2015
New York State Energy Research and Development Authority,Multifamily Performance Program,Elecric,Multi-Family,14080.13,MWh,09/30/2015
New York State Energy Research and Development Authority,Benchmarking and Operations Efficiency Program,Elecric,Commercial,0.00,MWh,09/30/2015
"Orange and Rockland Utilities, Inc.",* Residential HVAC Program,Electric,Residential,253.58,MWh,06/30/2015
New York State Energy Research and Development Authority,Assisted NY Energy Star Homes,Electric,Residential,2826.65,MWh,06/30/2015
Rochester Gas and Electric Corporation,C&I Custom Rebate Program,Gas,Commercial,496.00,Dth,09/30/2015
KeySpan Gas East Corp. d/b/a National Grid,Residential Energy Star Products Program,Gas,Residential,2386.38,Dth,06/30/2015
Central Hudson Gas & Electric Corporation,Mid-Size Commercial Business Program,Elecric,Commercial,34203.84,MWh,09/30/2015
Central Hudson Gas & Electric Corporation,Residential HVAC Program,Gas,Residential,55543.82,Dth,06/30/2015
New York State Energy Research and Development Authority,* Home Performance with Energy Star,Gas,Residential,-280.51,Dth,09/30/2015
Niagara Mohawk Power Corporation,Residential Energy Star Products Program,Gas,Residential,7900.16,Dth,09/30/2015
New York State Energy Research and Development Authority,* Home Performance with Energy Star,Elecric,Residential,869.89,MWh,09/30/2015
"Orange and Rockland Utilities, Inc.",Commercial Existing Buildings Program,Electric,Commercial,25677.58,MWh,06/30/2015
Rochester Gas and Electric Corporation,Residential HVAC Program,Gas,Residential,814419.68,Dth,09/30/2015
New York State Energy Research and Development Authority,* Existing Facilities Program,Electric,Commercial,7.15,MWh,06/30/2015
Rochester Gas and Electric Corporation,* Residential HVAC Program,Electric,Residential,12999.83,MWh,06/30/2015
Rochester Gas and Electric Corporation,C&I Electric Program,Electric,Commercial,35277.45,MWh,06/30/2015
Central Hudson Gas & Electric Corporation,Expanded Residential HVAC Program,Elecric,Residential,0.00,MWh,09/30/2015
KeySpan Gas East Corp. d/b/a National Grid,Residential Energy Star Products Program,Gas,Residential,2386.38,Dth,09/30/2015
Niagara Mohawk Power Corporation,Energy Initiative Program - Large Industrial,Elecric,Commercial,43778.41,MWh,09/30/2015
"Orange and Rockland Utilities, Inc.",Commercial Existing Buildings Program,Elecric,Commercial,28025.72,MWh,09/30/2015
Niagara Mohawk Power Corporation,Residential HVAC Program,Gas,Residential,731647.73,Dth,06/30/2015
Rochester Gas and Electric Corporation,Energy Saver Program,Gas,Residential,9118.71,Dth,09/30/2015
New York State Energy Research and Development Authority,EmPower New York Program,Electric,Residential,52906.70,MWh,06/30/2015
"Consolidated Edison Company of New York, Inc.",Multifamily Low-Income Program,Gas,Multi-Family,68390.79,Dth,06/30/2015
New York State Energy Research and Development Authority,* FlexTech Expansion Program,Gas,Commercial,-1203110.17,Dth,06/30/2015
National Fuel Gas Distribution Corporation,Small Non-Residential Rebate (Existing Facilities),Gas,Commercial,91710.95,Dth,09/30/2015
New York State Energy Research and Development Authority,Low-Income Multifamily Performance Program,Gas,Multi-Family,457103.52,Dth,09/30/2015
Niagara Mohawk Power Corporation,Residential Energy Star Products and Recycling,Elecric,Residential,55596.46,MWh,09/30/2015
New York State Energy Research and Development Authority,Multifamily Performance Program,Gas,Multi-Family,185168.86,Dth,06/30/2015
"Consolidated Edison Company of New York, Inc.",Multifamily Energy Efficiency Program,Electric,Multi-Family,56640.35,MWh,06/30/2015
New York State Energy Research and Development Authority,EmPower New York,Gas,Residential,557158.62,Dth,06/30/2015
National Fuel Gas Distribution Corporation,* Residential Rebate Program,Elecric,Residential,6398.40,MWh,09/30/2015
"Orange and Rockland Utilities, Inc.",Residential HVAC,Electric,Residential,51.19,MWh,06/30/2015
"Consolidated Edison Company of New York, Inc.",Appliance Bounty Program,Electric,Residential,17402.20,MWh,06/30/2015
New York State Energy Research and Development Authority,* Existing Facilities Program,Elecric,Commercial,7.15,MWh,09/30/2015
New York State Energy Research and Development Authority,* Agricultural Disaster Program,Gas,Commercial,5274.00,Dth,06/30/2015
"Consolidated Edison Company of New York, Inc.",* Residential Direct Installation Program,Gas,Residential,21.74,Dth,06/30/2015
New York State Energy Research and Development Authority,Agricultural Disaster Program,Electric,Commercial,1546.06,MWh,06/30/2015
Rochester Gas and Electric Corporation,Refrigerator and Freezer Recycling Program,Elecric,Residential,39818.02,MWh,09/30/2015
New York State Electric & Gas Corporation,Residential HVAC Program,Gas,Residential,479961.44,Dth,06/30/2015
New York State Energy Research and Development Authority,Advanced Sub-Metering Program,Electric,Multi-Family,1363.98,MWh,06/30/2015
Niagara Mohawk Power Corporation,Small Business Direct Install Program,Electric,Commercial,564445.37,MWh,06/30/2015
National Fuel Gas Distribution Corporation,Small Non-Residential Rebate (Existing Facilities),Gas,Commercial,90885.35,Dth,06/30/2015
"St. Lawrence Gas Company, Inc.",Residential Gas HVAC Program,Gas,Residential,20957.31,Dth,06/30/2015
"Consolidated Edison Company of New York, Inc.",C&I Equipment Rebate Program,Elecric,Commercial,186783.68,MWh,09/30/2015
New York State Energy Research and Development Authority,Home Performance with Energy Star,Electric,Residential,3625.85,MWh,06/30/2015
New York State Electric & Gas Corporation,C&I Prescriptive Rebate Program,Gas,Commercial,15624.34,Dth,09/30/2015
"Consolidated Edison Company of New York, Inc.",Residential HVAC Program,Gas,Residential,155187.33,Dth,06/30/2015
New York State Energy Research and Development Authority,New Construction Program,Gas,Commercial,190314.66,Dth,06/30/2015
"Consolidated Edison Company of New York, Inc.",* Small Business Direct Install Program,Gas,Commercial,-349.68,Dth,06/30/2015
Niagara Mohawk Power Corporation,Residential Building Practices and Demonstration,Gas,Residential,729175.52,Dth,09/30/2015
"Consolidated Edison Company of New York, Inc.",Residential Direct Installation Program,Elecric,Residential,2663.10,MWh,09/30/2015
Corning Natural Gas Corporation,Residential HVAC Program,Gas,Residential,22925.10,Dth,09/30/2015
The Brooklyn Union Gas Company d/b/a National Grid NY,Commercial Energy Efficiency Program,Gas,Commercial,74885.45,Dth,06/30/2015
Rochester Gas and Electric Corporation,Refrigerator and Freezer Recycling Program,Electric,Residential,36567.46,MWh,06/30/2015
Rochester Gas and Electric Corporation,C&I Custom Rebate Program,Electric,Commercial,2459.03,MWh,06/30/2015
New York State Energy Research and Development Authority,Existing Facilities Program,Gas,Commercial,273477.93,Dth,09/30/2015
"Consolidated Edison Company of New York, Inc.",* Small Business Direct Install Program,Gas,Commercial,-349.68,Dth,09/30/2015
New York State Electric & Gas Corporation,C&I Custom Rebate Program,Gas,Commercial,2842.39,Dth,06/30/2015
Rochester Gas and Electric Corporation,C&I Prescriptive Rebate Program,Elecric,Commercial,871.54,MWh,09/30/2015
New York State Energy Research and Development Authority,* EmPower New York,Electric,Residential,49.91,MWh,06/30/2015
New York State Electric & Gas Corporation,Refrigerator and Freezer Recycling Program,Electric,Residential,52854.42,MWh,06/30/2015
"Consolidated Edison Company of New York, Inc.",Multifamily Energy Efficiency Program,Gas,Multi-Family,649880.97,Dth,09/30/2015
New York State Energy Research and Development Authority,* EmPower New York Program,Gas,Residential,-17954.77,Dth,06/30/2015
The Brooklyn Union Gas Company d/b/a National Grid NY,"Residential High Efficiency Heating, Water Heating & Controls Programs",Gas,Residential,58193.88,Dth,09/30/2015
Rochester Gas and Electric Corporation,Energy Saver Program,Electric,Residential,-1042.39,MWh,06/30/2015
New York State Energy Research and Development Authority,* Assisted Home Performance with Energy Star,Elecric,Residential,541.53,MWh,09/30/2015
New York State Energy Research and Development Authority,* Assisted Home Performance with Energy Star,Electric,Residential,584.73,MWh,06/30/2015
New York State Energy Research and Development Authority,Benchmarking and Operations Efficiency Program,Electric,Commercial,0.00,MWh,06/30/2015
New York State Energy Research and Development Authority,CFL Expansion Program,Electric,Residential,992099.27,MWh,06/30/2015
Niagara Mohawk Power Corporation,Energy Initiative Program - Mid-Size C&I,Electric,Commercial,108660.32,MWh,06/30/2015
Niagara Mohawk Power Corporation,Residential Building Practices and Demonstration,Gas,Residential,700826.64,Dth,06/30/2015
New York State Energy Research and Development Authority,FlexTech Expansion Program,Elecric,Commercial,486715.80,MWh,09/30/2015
New York State Energy Research and Development Authority,Advanced Sub-Metering Program,Elecric,Multi-Family,1399.08,MWh,09/30/2015
Niagara Mohawk Power Corporation,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,421768.02,Dth,06/30/2015
Rochester Gas and Electric Corporation,C&I Gas Program,Gas,Commercial,56691.40,Dth,09/30/2015
Central Hudson Gas & Electric Corporation,Home Energy Reporting,Gas,Residential,79044.87,Dth,06/30/2015
New York State Electric & Gas Corporation,Small Business Direct Install Program,Elecric,Commercial,129378.98,MWh,09/30/2015
New York State Energy Research and Development Authority,Geothermal Heat Pump Systems Program,Electric,Multi-Family,0.00,MWh,06/30/2015
KeySpan Gas East Corp. d/b/a National Grid,Residential HVAC Program,Gas,Residential,210886.70,Dth,06/30/2015
Rochester Gas and Electric Corporation,C&I Electric Program,Elecric,Commercial,37729.43,MWh,09/30/2015
New York State Electric & Gas Corporation,Energy Saver Program,Elecric,Residential,4418.65,MWh,09/30/2015
Central Hudson Gas & Electric Corporation,* Residential HVAC Program,Electric,Residential,125.68,MWh,06/30/2015
New York State Energy Research and Development Authority,* EmPower New York Program,Gas,Residential,-19363.28,Dth,09/30/2015
Niagara Mohawk Power Corporation,"Residential High Efficiency Heating, Water Heating & Controls",Gas,Residential,390437.06,Dth,06/30/2015
New York State Energy Research and Development Authority,* EmPower New York,Elecric,Residential,71.51,MWh,09/30/2015
Rochester Gas and Electric Corporation,C&I Custom Rebate Program,Elecric,Commercial,2459.03,MWh,09/30/2015
Central Hudson Gas & Electric Corporation,* Small and Mid-Size Commercial Buildings,Elecric,Commercial,16.28,MWh,09/30/2015
New York State Energy Research and Development Authority,NY Energy Star Homes,Electric,Residential,12405.28,MWh,06/30/2015
Rochester Gas and Electric Corporation,C&I Prescriptive Rebate Program,Electric,Commercial,871.54,MWh,06/30/2015
The Brooklyn Union Gas Company d/b/a National Grid NY,"Residential High Efficiency Heating, Water Heating & Controls Programs",Gas,Residential,51739.76,Dth,06/30/2015
The Brooklyn Union Gas Company d/b/a National Grid NY,Large Industrial Energy Efficiency Program,Gas,Commercial,157318.79,Dth,09/30/2015
The Brooklyn Union Gas Company d/b/a National Grid NY,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,339220.90,Dth,09/30/2015
"Consolidated Edison Company of New York, Inc.",Small Business Direct Install Program,Electric,Commercial,464706.15,MWh,06/30/2015
New York State Energy Research and Development Authority,New York Energy Star Homes,Gas,Residential,391220.32,Dth,09/30/2015
"Consolidated Edison Company of New York, Inc.",Residential HVAC Program,Electric,Residential,6443.58,MWh,06/30/2015
New York State Electric & Gas Corporation,* Residential HVAC Program,Elecric,Residential,5222.04,MWh,09/30/2015
"Consolidated Edison Company of New York, Inc.",* Residential HVAC Program,Electric,Residential,521.59,MWh,06/30/2015
New York State Energy Research and Development Authority,Existing Facilities Program,Elecric,Commercial,434877.47,MWh,09/30/2015
"Orange and Rockland Utilities, Inc.",Small Business Direct Install Program,Elecric,Commercial,34538.27,MWh,09/30/2015
"Consolidated Edison Company of New York, Inc.",Multifamily Energy Efficiency Program,Gas,Multi-Family,627078.86,Dth,06/30/2015
New York State Energy Research and Development Authority,New Construction Program,Electric,Commercial,174270.15,MWh,06/30/2015
Central Hudson Gas & Electric Corporation,* Small and Mid-Size Commercial Buildings,Electric,Commercial,16.28,MWh,06/30/2015
Niagara Mohawk Power Corporation,Energy Initiative Program - Mid-Size C&I,Elecric,Commercial,108660.32,MWh,09/30/2015
"Consolidated Edison Company of New York, Inc.",C&I Custom Efficiency Program,Elecric,Commercial,112816.15,MWh,09/30/2015
New York State Energy Research and Development Authority,Existing Facilities Program,Gas,Commercial,236468.58,Dth,06/30/2015
Rochester Gas and Electric Corporation,C&I Custom Rebate Program,Gas,Commercial,496.00,Dth,06/30/2015
Niagara Mohawk Power Corporation,"Residential High Efficiency Heating, Water Heating & Controls",Gas,Residential,420090.74,Dth,09/30/2015
Central Hudson Gas & Electric Corporation,Expanded Residential HVAC Program,Electric,Residential,0.00,MWh,06/30/2015
New York State Electric & Gas Corporation,C&I Prescriptive Rebate Program,Gas,Commercial,15624.34,Dth,06/30/2015
"Orange and Rockland Utilities, Inc.",* Residential HVAC Program,Elecric,Residential,268.76,MWh,09/30/2015
New York State Energy Research and Development Authority,* FlexTech Expansion Program,Gas,Commercial,-1242539.01,Dth,09/30/2015
"Consolidated Edison Company of New York, Inc.",Multifamily Energy Efficiency Program,Elecric,Multi-Family,58020.56,MWh,09/30/2015
Niagara Mohawk Power Corporation,Residential Building Practices and Demonstration,Elecric,Residential,186318.16,MWh,09/30/2015
New York State Electric & Gas Corporation,Energy Saver Program,Electric,Residential,4418.65,MWh,06/30/2015
New York State Energy Research and Development Authority,* Assisted Home Performance with Energy Star,Gas,Residential,-783.77,Dth,06/30/2015
Niagara Mohawk Power Corporation,Enhanced Home Sealing Incentives Program,Gas,Residential,8016.89,Dth,09/30/2015
Rochester Gas and Electric Corporation,C&I Prescriptive Rebate Program,Gas,Commercial,23859.30,Dth,06/30/2015
"Orange and Rockland Utilities, Inc.",Residential HVAC Program,Gas,Residential,69160.29,Dth,06/30/2015
New York State Energy Research and Development Authority,Industrial & Process Efficiency Program,Gas,Commercial,1992439.07,Dth,06/30/2015
Niagara Mohawk Power Corporation,Commercial High-Eff. Heating and Water Heating,Gas,Commercial,34992.18,Dth,06/30/2015
National Fuel Gas Distribution Corporation,Residential Rebate Program,Gas,Residential,956542.57,Dth,09/30/2015
New York State Electric & Gas Corporation,Block Bidding Program,Elecric,Commercial,6958.39,MWh,09/30/2015
Central Hudson Gas & Electric Corporation,Home Energy Reporting,Electric,Residential,63311.45,MWh,06/30/2015
Niagara Mohawk Power Corporation,Energy Wise Program,Electric,Multi-Family,29062.87,MWh,06/30/2015
KeySpan Gas East Corp. d/b/a National Grid,"Residential High Efficiency Heating, Water Heating & Controls Programs",Gas,Residential,150883.84,Dth,09/30/2015
Central Hudson Gas & Electric Corporation,Residential Appliance Recycling Program,Electric,Residential,18219.33,MWh,06/30/2015
Niagara Mohawk Power Corporation,Residential HVAC Program,Elecric,Residential,1345.25,MWh,09/30/2015
New York State Energy Research and Development Authority,Industrial & Process Efficiency Program,Gas,Commercial,2139454.07,Dth,09/30/2015
National Fuel Gas Distribution Corporation,* Residential Rebate Program,Electric,Residential,5907.00,MWh,06/30/2015
Niagara Mohawk Power Corporation,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,478984.49,Dth,12/31/2015
"Consolidated Edison Company of New York, Inc.",* C&I Equipment Rebate Program,Gas,Commercial,-30491.55,Dth,12/31/2015
New York State Energy Research and Development Authority,Assisted Home Performance with Energy Star,Gas,Residential,219152.56,Dth,12/31/2015
Niagara Mohawk Power Corporation,"Residential High Efficiency Heating, Water Heating & Controls",Gas,Residential,497045.36,Dth,12/31/2015
"Consolidated Edison Company of New York, Inc.",* Small Business Direct Install Program,Gas,Commercial,-349.68,Dth,12/31/2015
Niagara Mohawk Power Corporation,Small Business Direct Install Program,Electric,Commercial,609718.51,MWh,12/31/2015
Niagara Mohawk Power Corporation,Energy Initiative Program - Large Industrial,Gas,Commercial,60555.66,Dth,12/31/2015
Rochester Gas and Electric Corporation,Refrigerator and Freezer Recycling Program,Electric,Residential,41843.53,MWh,12/31/2015
"Consolidated Edison Company of New York, Inc.",Multifamily Energy Efficiency Program,Gas,Multi-Family,670640.34,Dth,12/31/2015
Rochester Gas and Electric Corporation,* Residential HVAC Program,Electric,Residential,13782.24,MWh,12/31/2015
New York State Energy Research and Development Authority,Existing Facilities Program,Electric,Commercial,470082.07,MWh,12/31/2015
"Consolidated Edison Company of New York, Inc.",Residential Direct Installation Program,Electric,Residential,2663.10,MWh,12/31/2015
The Brooklyn Union Gas Company d/b/a National Grid NY,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,405688.65,Dth,12/31/2015
Central Hudson Gas & Electric Corporation,Residential HVAC Program,Gas,Residential,60746.45,Dth,12/31/2015
New York State Energy Research and Development Authority,* Agricultural Disaster Program,Gas,Commercial,5274.00,Dth,12/31/2015
Central Hudson Gas & Electric Corporation,* Small and Mid-Size Commercial Buildings,Electric,Commercial,16.28,MWh,12/31/2015
Niagara Mohawk Power Corporation,Residential HVAC Program,Electric,Residential,1345.25,MWh,12/31/2015
KeySpan Gas East Corp. d/b/a National Grid,Large Industrial Energy Efficiency Program,Gas,Commercial,68109.50,Dth,12/31/2015
New York State Electric & Gas Corporation,Block Bidding Program,Electric,Commercial,6958.39,MWh,12/31/2015
Rochester Gas and Electric Corporation,Block Bidding Program,Electric,Commercial,11595.37,MWh,12/31/2015
New York State Energy Research and Development Authority,* Assisted Home Performance with Energy Star,Gas,Residential,-1021.20,Dth,12/31/2015
New York State Electric & Gas Corporation,C&I Prescriptive Rebate Program,Gas,Commercial,15624.34,Dth,12/31/2015
New York State Energy Research and Development Authority,Home Performance with Energy Star,Electric,Residential,4315.05,MWh,12/31/2015
Niagara Mohawk Power Corporation,Enhanced Home Sealing Incentives Program,Gas,Residential,8016.89,Dth,12/31/2015
New York State Energy Research and Development Authority,* Multifamily Performance Program,Gas,Multi-Family,18101.98,Dth,12/31/2015
New York State Energy Research and Development Authority,New Construction Program,Electric,Commercial,207187.38,MWh,12/31/2015
Niagara Mohawk Power Corporation,Energy Initiative - Commercial & Industrial Electric Program,Electric,Commercial,349886.97,MWh,12/31/2015
New York State Energy Research and Development Authority,Benchmarking and Operations Efficiency Program,Electric,Commercial,0.00,MWh,12/31/2015
"Consolidated Edison Company of New York, Inc.",Residential HVAC Program,Gas,Residential,166724.66,Dth,12/31/2015
The Brooklyn Union Gas Company d/b/a National Grid NY,Large Industrial Energy Efficiency Program,Gas,Commercial,157318.79,Dth,12/31/2015
New York State Energy Research and Development Authority,Assisted Home Performance with Energy Star,Electric,Residential,2851.15,MWh,12/31/2015
New York State Energy Research and Development Authority,* New Construction Program,Gas,Commercial,258195.43,Dth,12/31/2015
"Consolidated Edison Company of New York, Inc.",Multifamily Low-Income Program,Gas,Multi-Family,100012.23,Dth,12/31/2015
"Orange and Rockland Utilities, Inc.",Residential HVAC,Electric,Residential,51.19,MWh,12/31/2015
"Consolidated Edison Company of New York, Inc.",* C&I Custom Efficiency Program,Gas,Commercial,-78002.69,Dth,12/31/2015
Rochester Gas and Electric Corporation,C&I Prescriptive Rebate Program,Electric,Commercial,871.54,MWh,12/31/2015
The Brooklyn Union Gas Company d/b/a National Grid NY,Residential HVAC Program,Gas,Residential,107635.43,Dth,12/31/2015
New York State Energy Research and Development Authority,Multifamily Performance Program,Gas,Multi-Family,198242.23,Dth,12/31/2015
Corning Natural Gas Corporation,Small Commercial HVAC Program,Gas,Commercial,1398.30,Dth,12/31/2015
"Consolidated Edison Company of New York, Inc.",* Residential HVAC Program,Electric,Residential,558.56,MWh,12/31/2015
New York State Energy Research and Development Authority,NY Energy Star Homes,Electric,Residential,15102.58,MWh,12/31/2015
Niagara Mohawk Power Corporation,Commercial High-Eff. Heating and Water Heating,Gas,Commercial,34992.18,Dth,12/31/2015
New York State Energy Research and Development Authority,Assisted NY Energy Star Homes,Electric,Residential,2826.65,MWh,12/31/2015
New York State Energy Research and Development Authority,Home Performance with Energy Star,Gas,Residential,409530.94,Dth,12/31/2015
New York State Electric & Gas Corporation,C&I Prescriptive Rebate Program,Electric,Commercial,2953.32,MWh,12/31/2015
New York State Electric & Gas Corporation,C&I Gas Program,Gas,Commercial,44299.34,Dth,12/31/2015
New York State Energy Research and Development Authority,* EmPower New York,Electric,Residential,80.23,MWh,12/31/2015
New York State Energy Research and Development Authority,* Multifamily Performance Program,Electric,Multi-Family,-279.15,MWh,12/31/2015
New York State Energy Research and Development Authority,New Construction Program,Gas,Commercial,227714.41,Dth,12/31/2015
New York State Electric & Gas Corporation,Residential HVAC Program,Gas,Residential,505471.77,Dth,12/31/2015
KeySpan Gas East Corp. d/b/a National Grid,"Residential High Efficiency Heating, Water Heating & Controls Programs",Gas,Residential,175179.98,Dth,12/31/2015
"Consolidated Edison Company of New York, Inc.",C&I Equipment Rebate Program,Electric,Commercial,190734.68,MWh,12/31/2015
New York State Electric & Gas Corporation,Energy Saver Program,Electric,Residential,4418.65,MWh,12/31/2015
Rochester Gas and Electric Corporation,Small Business Direct Install Program,Electric,Commercial,62193.32,MWh,12/31/2015
Niagara Mohawk Power Corporation,Energy Initiative Program - Mid-Size C&I,Electric,Commercial,108660.32,MWh,12/31/2015
Central Hudson Gas & Electric Corporation,Residential HVAC Program,Electric,Residential,8083.90,MWh,12/31/2015
New York State Energy Research and Development Authority,Existing Facilities Program,Gas,Commercial,338121.24,Dth,12/31/2015
KeySpan Gas East Corp. d/b/a National Grid,Multifamily Energy Efficiency Program,Gas,Multi-Family,16534.02,Dth,12/31/2015
KeySpan Gas East Corp. d/b/a National Grid,Residential HVAC Program,Gas,Residential,210886.70,Dth,12/31/2015
New York State Energy Research and Development Authority,* Home Performance with Energy Star,Gas,Residential,-421.67,Dth,12/31/2015
"Consolidated Edison Company of New York, Inc.",* Residential Direct Installation Program,Gas,Residential,21.74,Dth,12/31/2015
New York State Energy Research and Development Authority,Assisted NY Energy Star Homes,Gas,Residential,37681.94,Dth,12/31/2015
"Consolidated Edison Company of New York, Inc.",Residential Room Air Conditioning Program,Electric,Residential,3213.46,MWh,12/31/2015
New York State Energy Research and Development Authority,FlexTech Expansion Program,Electric,Commercial,535037.86,MWh,12/31/2015
Rochester Gas and Electric Corporation,C&I Prescriptive Rebate Program,Gas,Commercial,23859.30,Dth,12/31/2015
"Consolidated Edison Company of New York, Inc.",Residential HVAC Program,Electric,Residential,6443.58,MWh,12/31/2015
"St. Lawrence Gas Company, Inc.",Small Commercial HVAC Program,Gas,Commercial,4801.27,Dth,12/31/2015
New York State Energy Research and Development Authority,Geothermal Heat Pump Systems Program,Electric,Multi-Family,0.00,MWh,12/31/2015
Central Hudson Gas & Electric Corporation,Mid-Size Commercial Business Program,Electric,Commercial,33931.00,MWh,12/31/2015
New York State Energy Research and Development Authority,Agricultural Energy Efficiency,Electric,Commercial,21413.89,MWh,12/31/2015
New York State Energy Research and Development Authority,* Existing Facilities Program,Gas,Commercial,-56534.10,Dth,12/31/2015
New York State Electric & Gas Corporation,Multifamily Program,Electric,Multi-Family,14878.04,MWh,12/31/2015
New York State Electric & Gas Corporation,Refrigerator and Freezer Recycling Program,Electric,Residential,61659.36,MWh,12/31/2015
The Brooklyn Union Gas Company d/b/a National Grid NY,Enhanced Home Sealing Incentives Program,Gas,Residential,3995.34,Dth,12/31/2015
New York State Energy Research and Development Authority,* Low-Income Multifamily Performance Program,Gas,Multi-Family,-5038.60,Dth,12/31/2015
Corning Natural Gas Corporation,Residential HVAC Program,Gas,Residential,25206.60,Dth,12/31/2015
Rochester Gas and Electric Corporation,C&I Custom Rebate Program,Electric,Commercial,2459.03,MWh,12/31/2015
Rochester Gas and Electric Corporation,C&I Custom Rebate Program,Gas,Commercial,496.00,Dth,12/31/2015
"Consolidated Edison Company of New York, Inc.",C&I Gas Efficient Equipment Rebate Program,Gas,Commercial,283318.83,Dth,12/31/2015
"Consolidated Edison Company of New York, Inc.",Residential Electric Program,Electric,Residential,37685.96,MWh,12/31/2015
"Orange and Rockland Utilities, Inc.",Commercial Existing Buildings Program,Electric,Commercial,31996.42,MWh,12/31/2015
New York State Electric & Gas Corporation,* Residential HVAC Program,Electric,Residential,5447.66,MWh,12/31/2015
New York State Energy Research and Development Authority,* EmPower New York Program,Gas,Residential,-20048.18,Dth,12/31/2015
"Consolidated Edison Company of New York, Inc.",C&I Custom Gas Efficiency Program,Gas,Commercial,85230.07,Dth,12/31/2015
Central Hudson Gas & Electric Corporation,Small Business Direct Install Program,Electric,Commercial,87548.50,MWh,12/31/2015
Central Hudson Gas & Electric Corporation,Residential Appliance Recycling Program,Electric,Residential,19513.98,MWh,12/31/2015
New York State Energy Research and Development Authority,* Home Performance with Energy Star,Electric,Residential,924.40,MWh,12/31/2015
The Brooklyn Union Gas Company d/b/a National Grid NY,"Residential High Efficiency Heating, Water Heating & Controls Programs",Gas,Residential,74598.18,Dth,12/31/2015
New York State Energy Research and Development Authority,* FlexTech Expansion Program,Gas,Commercial,-1424393.88,Dth,12/31/2015
The Brooklyn Union Gas Company d/b/a National Grid NY,Multifamily Energy Efficiency Program,Gas,Multi-Family,219564.20,Dth,12/31/2015
New York State Energy Research and Development Authority,EmPower New York,Gas,Residential,650535.85,Dth,12/31/2015
New York State Electric & Gas Corporation,C&I Custom Rebate Program,Electric,Commercial,8003.14,MWh,12/31/2015
Rochester Gas and Electric Corporation,Residential HVAC Program,Gas,Residential,839476.92,Dth,12/31/2015
Niagara Mohawk Power Corporation,Residential Building Practices and Demonstration,Gas,Residential,1012247.33,Dth,12/31/2015
Central Hudson Gas & Electric Corporation,Home Energy Reporting,Electric,Residential,68138.07,MWh,12/31/2015
Rochester Gas and Electric Corporation,Multifamily Program,Electric,Multi-Family,17841.12,MWh,12/31/2015
Niagara Mohawk Power Corporation,Energy Wise Program,Gas,Multi-Family,146036.36,Dth,12/31/2015
New York State Energy Research and Development Authority,Flex Tech Program,Gas,Commercial,300666.50,Dth,12/31/2015
"St. Lawrence Gas Company, Inc.",Residential Gas HVAC Program,Gas,Residential,23498.91,Dth,12/31/2015
Rochester Gas and Electric Corporation,Energy Saver Program,Gas,Residential,9118.71,Dth,12/31/2015
National Fuel Gas Distribution Corporation,Residential Rebate Program,Gas,Residential,1031146.34,Dth,12/31/2015
"Consolidated Edison Company of New York, Inc.",* Multifamily Energy Efficiency Program,Gas,Multi-Family,-36172.46,Dth,12/31/2015
The Brooklyn Union Gas Company d/b/a National Grid NY,Commercial Energy Efficiency Program,Gas,Commercial,74885.44,Dth,12/31/2015
"Orange and Rockland Utilities, Inc.",Residential Efficient Products Program,Electric,Residential,10734.97,MWh,12/31/2015
Rochester Gas and Electric Corporation,C&I Gas Program,Gas,Commercial,63028.72,Dth,12/31/2015
New York State Energy Research and Development Authority,* Assisted Home Performance with Energy Star,Electric,Residential,587.43,MWh,12/31/2015
New York State Electric & Gas Corporation,C&I Electric Program,Electric,Commercial,73314.73,MWh,12/31/2015
National Fuel Gas Distribution Corporation,Low-Income Usage Reduction Program (EmPower),Gas,Residential,141907.62,Dth,12/31/2015
Rochester Gas and Electric Corporation,C&I Electric Program,Electric,Commercial,46377.27,MWh,12/31/2015
New York State Energy Research and Development Authority,EmPower New York Program,Electric,Residential,56514.99,MWh,12/31/2015
KeySpan Gas East Corp. d/b/a National Grid,Enhanced Home Sealing Incentives Program,Gas,Residential,3498.10,Dth,12/31/2015
KeySpan Gas East Corp. d/b/a National Grid,Residential Energy Star Products Program,Gas,Residential,2386.38,Dth,12/31/2015
"Orange and Rockland Utilities, Inc.",Residential HVAC Program,Gas,Residential,90995.70,Dth,12/31/2015
National Fuel Gas Distribution Corporation,* Residential Rebate Program,Electric,Residential,6924.00,MWh,12/31/2015
KeySpan Gas East Corp. d/b/a National Grid,Commercial Energy Efficiency Program,Gas,Commercial,87250.27,Dth,12/31/2015
