Date,Address,Event,the_geom,LONG,LAT
07/07/2015 12:00:00 AM +0000,29 Essex Street,Delancey Car Service Inc.,POINT (-73.98963981432014 40.71579746191382),-73.9896398143,40.7157974619
07/08/2015 12:00:00 AM +0000,111-5A Roosevelt Avenue,Face Limo Inc,POINT (-73.85561195258227 40.75165272987154),-73.8556119526,40.7516527299
07/08/2015 12:00:00 AM +0000,112-47 Roosevelt Avenue,ZPI Corporation,POINT (-73.85420703225293 40.75207365189587),-73.8542070323,40.7520736519
07/08/2015 12:00:00 AM +0000,109-20 Corona Avenue,Cooperativa Clbna De Con Inc,POINT (-73.85344985018956 40.74188142483266),-73.8534498502,40.7418814248
07/09/2015 12:00:00 AM +0000,2319 1St Avenue,U N C Car & Limo Service,POINT (-73.9341144619216 40.797781093320914),-73.9341144619,40.7977810933
07/09/2015 12:00:00 AM +0000,2320 Amsterdam Avenue,Washington Rad Disp Inc,POINT (-73.93359116828678 40.844435513751904),-73.9335911683,40.8444355138
07/09/2015 12:00:00 AM +0000,376 Audubon Avenue,Professional Car Service Inc,POINT (-73.93114898393516 40.85038460474576),-73.9311489839,40.8503846047
07/14/2015 12:00:00 AM +0000,10 Waterside Plaza,Dmcls Inc.,POINT (-73.9742427908371 40.737151999997565),-73.9742427908,40.737152
07/15/2015 12:00:00 AM +0000,923 Livonia Avenue,State Car & Limo Service Corp,POINT (-73.88283123486724 40.666433968080774),-73.8828312349,40.6664339681
07/15/2015 12:00:00 AM +0000,117 Jamaica Avenue,910 Car Service Inc.,POINT (-73.89593632360341 40.678872177789415),-73.8959363236,40.6788721778
07/15/2015 12:00:00 AM +0000,712 Broadway,A & S Limousine Service Corp,POINT (-73.94294117399299 40.701338096058514),-73.942941174,40.7013380961
07/16/2015 12:00:00 AM +0000,153 Lincoln Avenue,Ivoire Limo Inc.,POINT (-73.92886943348131 40.80863885843053),-73.9288694335,40.8086388584
07/16/2015 12:00:00 AM +0000,1831 Grand Concourse,Super Class Radio Disp Inc,POINT (-73.90784952018157 40.847563256418),-73.9078495202,40.8475632564
07/16/2015 12:00:00 AM +0000,1588 Dr M L King Jr Blvd,New College Car Svce Inc,POINT (-73.92126054895304 40.84637649771164),-73.921260549,40.8463764977
07/21/2015 12:00:00 AM +0000,77 Water Street,Semperide Llc,POINT (-74.00868128713104 40.704275087225355),-74.0086812871,40.7042750872
07/21/2015 12:00:00 AM +0000,17 State Street,Gogreenride Inc,POINT (-74.01424608333244 40.70279784962907),-74.0142460833,40.7027978496
07/22/2015 12:00:00 AM +0000,550 West 45th Street,"Chauffeur Services, Inc.",POINT (-73.99580538484042 40.76227199109836),-73.9958053848,40.7622719911
07/22/2015 12:00:00 AM +0000,4980 Broadway,First Class C/L Svc Corp,POINT (-73.91936180878714 40.868225757173114),-73.9193618088,40.8682257572
07/22/2015 12:00:00 AM +0000,1642 Saint Nicholas Avenue,Riverside Radio Dispatcher,POINT (-73.92862326665042 40.856289671346985),-73.9286232667,40.8562896713
07/23/2015 12:00:00 AM +0000,507a 77th Street,"77 Express Car & Limo Service, Inc.",POINT (-74.02279690711313 40.62770209334991),-74.0227969071,40.6277020934
07/23/2015 12:00:00 AM +0000,7718 3 Avenue,Alex Ali,POINT (-74.02847542265573 40.62982254876266),-74.0284754227,40.6298225488
07/23/2015 12:00:00 AM +0000,7920 5 Avenue,Samia Car & Limo Service Inc.,POINT (-74.02394921810469 40.62630201633378),-74.0239492181,40.6263020163
07/28/2015 12:00:00 AM +0000,18 West 33 Street,Regal Carriage Lux. Car & Limo. Svc Inc.,POINT (-73.98584889160844 40.74810007606519),-73.9858488916,40.7481000761
07/28/2015 12:00:00 AM +0000,108 Madison Street,W.K. Car & Limo Service Inc,POINT (-73.99520253933014 40.71222414882684),-73.9952025393,40.7122241488
07/29/2015 12:00:00 AM +0000,1534 Stillwell Avenue,Dash Car Service Corp,POINT (-73.84259005810874 40.85386587725753),-73.8425900581,40.8538658773
07/29/2015 12:00:00 AM +0000,1733 Edison Avenue,Tremont Dispatching Corp,POINT (-73.83262592516779 40.8459388554604),-73.8326259252,40.8459388555
07/29/2015 12:00:00 AM +0000,900 East Tremont Avenue,"Jc'S Transportation Network, Inc.",POINT (-73.88502955739168 40.842393696255776),-73.8850295574,40.8423936963
07/30/2015 12:00:00 AM +0000,425 Edgecombe Avenue,Premium Radio Disp,POINT (-73.93974867694658 40.82983154371688),-73.9397486769,40.8298315437
07/30/2015 12:00:00 AM +0000,501 West 145th Street,New Daynight Car Service,POINT (-73.94800895337254 40.82541382733829),-73.9480089534,40.8254138273
07/30/2015 12:00:00 AM +0000,3759 Broadway,Power Luxury Radio Dispatch Inc.,POINT (-73.94535363994731 40.83369614681916),-73.9453536399,40.8336961468
08/04/2015 12:00:00 AM +0000,2002 McDonald Avenue,Kingsway Car & Limo service Inc.,POINT (-73.97226672651512 40.60381032903157),-73.9722667265,40.603810329
08/04/2015 12:00:00 AM +0000,207 Bedford Ave,New North Side Luxury Corp.,POINT (-73.95860901461712 40.71699818241077),-73.9586090146,40.7169981824
08/05/2015 12:00:00 AM +0000,502 Coney Island Avenue,Mahaica Express Service Inc,POINT (-73.9706205934838 40.645544460176914),-73.9706205935,40.6455444602
08/05/2015 12:00:00 AM +0000,787 Coney Island Avenue,Five Star,POINT (-73.96844759275673 40.638105516068514),-73.9684475928,40.6381055161
08/05/2015 12:00:00 AM +0000,548 East 2nd Street,"Rachel's Car Service, Inc",POINT (-73.9772573739144 40.63756138357769),-73.9772573739,40.6375613836
08/06/2015 12:00:00 AM +0000,11-35 31st Drive,"Tsu Global Service, Inc",POINT (-73.93519053904234 40.76833344182686),-73.935190539,40.7683334418
08/06/2015 12:00:00 AM +0000,36-31 10th Street,Carmel Limo Service,POINT (-73.9410888800592 40.76090384657815),-73.9410888801,40.7609038466
08/11/2015 12:00:00 AM +0000,330 West 38th Street,Quest International Limousine Inc,POINT (-73.99266923343511 40.75513824384116),-73.9926692334,40.7551382438
08/12/2015 12:00:00 AM +0000,132-08 Sandford Avenue,BWJ Group Inc,POINT (-73.83270324774914 40.75483309459471),-73.8327032477,40.7548330946
08/12/2015 12:00:00 AM +0000,133-56 41st Avenue,Yellowstone Transportation Inc,POINT (-73.83020865196946 40.757854159738464),-73.830208652,40.7578541597
08/12/2015 12:00:00 AM +0000,41-10 Main Street,"Eager Limo Service Inc., Raja Car & Limousine Service Inc.",POINT (-73.82933141970078 40.75789403460252),-73.8293314197,40.7578940346
08/13/2015 12:00:00 AM +0000,425 Edgecombe Avenue,Premium Radio Dispatch,POINT (-73.93974867694658 40.82983154371688),-73.9397486769,40.8298315437
08/13/2015 12:00:00 AM +0000,501 West 145th Street,New Daynight Car Service,POINT (-73.94800895337254 40.82541382733829),-73.9480089534,40.8254138273
08/13/2015 12:00:00 AM +0000,3759 Broadway,Power Luxury Radio Dispatch Inc.,POINT (-73.94535363994731 40.83369614681916),-73.9453536399,40.8336961468
08/18/2015 12:00:00 AM +0000,134 West 37th Street,Groundlink Holdings LLC and Groundlink Anywhere LLC,POINT (-73.98802799325077 40.75237664040299),-73.9880279933,40.7523766404
08/18/2015 12:00:00 AM +0000,377 Bayridge Avenue,3rd Avenue Express Corp,POINT (-74.02428740158533 40.634967243570344),-74.0242874016,40.6349672436
08/19/2015 12:00:00 AM +0000,122-11 Hillside Avenue,Kew Garden Operating corp,POINT (-73.82865190062937 40.70212223658917),-73.8286519006,40.7021222366
08/19/2015 12:00:00 AM +0000,135-10 Jamaica Avenue,Merenue Limo and Car Service,POINT (-73.81735530823016 40.70241502470389),-73.8173553082,40.7024150247
08/19/2015 12:00:00 AM +0000,86-11 Lefferts Blvd,Chauffeured Executive Transportation LLC,POINT (-73.83132371417565 40.700956911194915),-73.8313237142,40.7009569112
08/20/2015 12:00:00 AM +0000,1 Riverdale Avenue,Kingsdale Dispatch,POINT (-73.91119625119646 40.88024152073602),-73.9111962512,40.8802415207
08/20/2015 12:00:00 AM +0000,244 West 231st Street,Alltown Limo Corp,POINT (-73.90634044366878 40.879680509338705),-73.9063404437,40.8796805093
08/27/2015 12:00:00 AM +0000,208 Wyckoff Avenue,La Poblanita Car Service Corp.,POINT (-73.91456488764227 40.7014495357564),-73.9145648876,40.7014495358
08/27/2015 12:00:00 AM +0000,131 Wyckoff Avenue,Williamsburg Car & Limo Services Corp,POINT (-73.91893273927981 40.70413433192953),-73.9189327393,40.7041343319
08/27/2015 12:00:00 AM +0000,896 Wyckoff Avenue,Community Car Service Priscilla Corp,POINT (-73.90662589437646 40.697024292188196),-73.9066258944,40.6970242922
09/01/2015 12:00:00 AM +0000,86-29 102 Street,Big Q Car Svc. Inc.,POINT (-73.8455208363481 40.69546808483091),-73.8455208363,40.6954680848
09/01/2015 12:00:00 AM +0000,120-19 Jamaica Avenue,General Car Service Inc.,POINT (-73.82964119832411 40.70028196376119),-73.8296411983,40.7002819638
09/01/2015 12:00:00 AM +0000,104-09 109th Street,Royal Car and Limo Service,POINT (-73.83278072378502 40.68371087681697),-73.8327807238,40.6837108768
09/03/2015 12:00:00 AM +0000,91-12 63rd Drive,Level Limo,POINT (-73.86465728602849 40.72651352126823),-73.864657286,40.7265135213
09/03/2015 12:00:00 AM +0000,73-18 Yellowstone Boulevard,"Diane Car Service, Inc",POINT (-73.85734967185206 40.71716427513402),-73.8573496719,40.7171642751
09/08/2015 12:00:00 AM +0000,1 Ferry Terminal Driver,Double A Car Service Inc,POINT (-74.07249016328548 40.644045927275975),-74.0724901633,40.6440459273
09/08/2015 12:00:00 AM +0000,200 Bay Street,"Vic And Bay Car Service, Inc",POINT (-74.07647115255266 40.637060611713714),-74.0764711526,40.6370606117
09/08/2015 12:00:00 AM +0000,8 St Pauls Avenue,Los Paisanos Luxury Car Service Inc,POINT (-74.07798503030014 40.637570125383526),-74.0779850303,40.6375701254
09/15/2015 12:00:00 AM +0000,2 Tompkins Avenue,Nelpel Car Service Inc,POINT (-74.07955118958948 40.6244901294021),-74.0795511896,40.6244901294
09/15/2015 12:00:00 AM +0000,42 Canal Street,Invasora Express Car Service Corp,POINT (-74.07474094190601 40.62674408603473),-74.0747409419,40.626744086
09/15/2015 12:00:00 AM +0000,21 Brook Street,St George Express Car Service,POINT (-74.08137511048618 40.637227422345845),-74.0813751105,40.6372274223
09/17/2015 12:00:00 AM +0000,43-22 Van Dam Street,"Royal Dispatch Services, Inc",POINT (-73.93335010872191 40.745940756845286),-73.9333501087,40.7459407568
09/17/2015 12:00:00 AM +0000,53-38 35Th Street,"V.I.P. Connection, Inc",POINT (-73.93764749266616 40.735296270919896),-73.9376474927,40.7352962709
09/17/2015 12:00:00 AM +0000,35-11 43Rd Avenue,On Duty Car Service Corp,POINT (-73.9292753684396 40.74617437576872),-73.9292753684,40.7461743758
09/22/2015 12:00:00 AM +0000,1131 Coney Island Avenue,Pia Car And Limo,POINT (-73.96623926629837 40.630235581523074),-73.9662392663,40.6302355815
09/24/2015 12:00:00 AM +0000,107-04 37 Avenue,Champion Car & Limo Svc. Inc,POINT (-73.86141452108359 40.75392153126744),-73.8614145211,40.7539215313
09/24/2015 12:00:00 AM +0000,53-24 98 Street,Direct Car & Limo Service Inc.,POINT (-73.86377203764307 40.74127652661732),-73.8637720376,40.7412765266
09/24/2015 12:00:00 AM +0000,112-44 Roosevelt Avenue,Cibao Radio Dispatch,POINT (-73.8542034590374 40.75205717890214),-73.854203459,40.7520571789
09/29/2015 12:00:00 AM +0000,32-72 Gale Avenue,Elite Limo Plus Inc.,POINT (-73.93383058659353 40.7381816214345),-73.9338305866,40.7381816214
11/19/2015 12:00:00 AM +0000,80-06 101 Avenue,CITY LINE CAR SERVICE INC.,POINT (-73.85852372700606 40.68069596174945),-73.858523727,40.6806959617
09/29/2015 12:00:00 AM +0000,46-17 Vernon Boulevard,All Queens Car & Limousine Inc.,POINT (-73.95288140796856 40.74634015759974),-73.952881408,40.7463401576
10/01/2015 12:00:00 AM +0000,221 Ditmas Avenue,New American C/L Svc,POINT (-73.97661667353916 40.63571401347284),-73.9766166735,40.6357140135
10/01/2015 12:00:00 AM +0000,1440 39 Street,All City Corp Trans Inc.,POINT (-73.9831373064448 40.63870971647514),-73.9831373064,40.6387097165
10/01/2015 12:00:00 AM +0000,1571 63Rd Street,Limo Seven Transportation Inc.,POINT (-73.9944812379932 40.62362820760791),-73.994481238,40.6236282076
10/02/2015 12:00:00 AM +0000,1623 Cortelyou Road,Mex Service Inc,POINT (-73.96328233957729 40.641740824418015),-73.9632823396,40.6417408244
10/02/2015 12:00:00 AM +0000,1509 Cortelyou Road,Mega Mex Inc,POINT (-73.96412571706972 40.64135956525971),-73.9641257171,40.6413595653
10/06/2015 12:00:00 AM +0000,522 West 37Th Street,Group Americar Transp. Llc,POINT (-73.99894962436146 40.75698843053011),-73.9989496244,40.7569884305
10/06/2015 12:00:00 AM +0000,8 West 38Th Street Suite #1206,Suk Incorporated,POINT (-73.98335425586556 40.751215031456915),-73.9833542559,40.7512150315
10/06/2015 12:00:00 AM +0000,447 West 36Th Street,Automotive Svc System Inc,POINT (-73.99726042294947 40.75547330371602),-73.9972604229,40.7554733037
10/08/2015 12:00:00 AM +0000,4002 14Th Avenue,Munkacs Car Svc Ltd,POINT (-73.98477674956982 40.63864681524176),-73.9847767496,40.6386468152
10/08/2015 12:00:00 AM +0000,3411 14 Avenue,Church Ave C/S In,POINT (-73.98134204358736 40.64192632816535),-73.9813420436,40.6419263282
10/08/2015 12:00:00 AM +0000,507 Coney Island Avenue,Nortena Express Car Service Inc,POINT (-73.97056658818735 40.64543739998867),-73.9705665882,40.6454374
10/13/2015 12:00:00 AM +0000,201-09 Linden Boulevard,Linden Express Car Services Inc.,POINT (-73.7509827359438 40.69480555699142),-73.7509827359,40.694805557
10/13/2015 12:00:00 AM +0000,200-10 Hollis Avenue,St.Albans-Hollis Car Service Inc.,POINT (-73.75710429042067 40.706173781379704),-73.7571042904,40.7061737814
10/13/2015 12:00:00 AM +0000,116-34 Springfield Boulevard,Personal Touch C/S,POINT (-73.74337651577827 40.69688037031093),-73.7433765158,40.6968803703
10/15/2015 12:00:00 AM +0000,31-08 21 Street,Mexicana High Class #2 Inc.,POINT (-73.93005097768905 40.76709804703631),-73.9300509777,40.767098047
10/16/2015 12:00:00 AM +0000,205-25 Hillside Avenue,P J Car Svce,POINT (-73.76005259565457 40.720773916279214),-73.7600525957,40.7207739163
10/16/2015 12:00:00 AM +0000,202-19 Jamaica Avenue,204 Car & Limo Inc,POINT (-73.75699100257259 40.713504831716634),-73.7569910026,40.7135048317
10/16/2015 12:00:00 AM +0000,94-44 213 Street,Discount Car Svce,POINT (-73.74525412322701 40.717033938351996),-73.7452541232,40.7170339384
10/20/2015 12:00:00 AM +0000,96-28 Alstyne Avenue,Santo Domingo C/S Inc,POINT (-73.86699433600164 40.743215344248306),-73.866994336,40.7432153442
10/20/2015 12:00:00 AM +0000,49-07 103 Street,Mexicana High Class Inc.,POINT (-73.85986533118576 40.74399189054991),-73.8598653312,40.7439918906
10/20/2015 12:00:00 AM +0000,102-54 43 Avenue,New Commando Car Service Corp,POINT (-73.86244248693382 40.74727223286099),-73.8624424869,40.7472722329
10/22/2015 12:00:00 AM +0000,131 West Kingsbridge Road,Bailey Radio Car & Limo. Corp.,POINT (-73.90283753591045 40.8689678183842),-73.9028375359,40.8689678184
10/22/2015 12:00:00 AM +0000,2304 Sedgwick Avenue,Diplo Radio Dispatch Inc,POINT (-73.90922121583911 40.86212224986592),-73.9092212158,40.8621222499
10/22/2015 12:00:00 AM +0000,2269 Hampden Place,High Class Bronx Limo C/S Corp,POINT (-73.91140249046977 40.861160555878186),-73.9114024905,40.8611605559
10/23/2015 12:00:00 AM +0000,75-19 Parsons Boulevard,Milky Way Limo Corp,POINT (-73.81070967446695 40.72608614279681),-73.8107096745,40.7260861428
10/23/2015 12:00:00 AM +0000,185-08 Union Turnpike,"Crestwood Car & Limo Svc,Ltd",POINT (-73.78345533086052 40.728450759972965),-73.7834553309,40.72845076
10/27/2015 12:00:00 AM +0000,34-39 31 Street,"Peter Executive Limousine, Corp",POINT (-73.92776733799654 40.759016113353205),-73.927767338,40.7590161134
10/27/2015 12:00:00 AM +0000,20-11A Steinway Street,New American Class L/C Service Corp.,POINT (-73.90207399969441 40.77610511695214),-73.9020739997,40.776105117
09/29/2015 12:00:00 AM +0000,53-38 35 Street,"V.I.P. Connection, Inc",POINT (-73.93764749266616 40.735296270919896),-73.9376474927,40.7352962709
11/05/2015 12:00:00 AM +0000,19-22 45 Street,SEDANZ INC.,POINT (-73.89725451708128 40.77569195511482),-73.8972545171,40.7756919551
11/05/2015 12:00:00 AM +0000,48-02 25 Avenue,QUIET SERVICES INC.,POINT (-73.90518783386172 40.76489545480745),-73.9051878339,40.7648954548
11/05/2015 12:00:00 AM +0000,24-04 24 Street,Olympic Operating Car Service Inc.,POINT (-73.91998703106246 40.775301016346255),-73.9199870311,40.7753010163
11/06/2015 12:00:00 AM +0000,158 Nassau Avenue,Mcguiness Car Service,POINT (-73.94687863321707 40.725054725416655),-73.9468786332,40.7250547254
11/06/2015 12:00:00 AM +0000,220 Marcus Garvey Boulevard,DEKALB CAR SERVICE CORP.,POINT (-73.9395213149579 40.690373745118386),-73.939521315,40.6903737451
11/06/2015 12:00:00 AM +0000,372 Wilson Avenue,NATASHAS GRP CAR CORP.,POINT (-73.91568387964844 40.694980941638875),-73.9156838796,40.6949809416
11/10/2015 12:00:00 AM +0000,687 Washington Avenue,ALL NATIONS LUXURY LIMO CORP,POINT (-73.9635550877682 40.676745093066515),-73.9635550878,40.6767450931
11/10/2015 12:00:00 AM +0000,1025 Atlantic Avenue,UNITED EXP C/L SVCE,POINT (-73.95786419165881 40.67975142150931),-73.9578641917,40.6797514215
11/10/2015 12:00:00 AM +0000,587 Vanderbilt Avenue,EVELYN CAR SERVICE INC.,POINT (-73.96800954555225 40.680004464255255),-73.9680095456,40.6800044643
11/12/2015 12:00:00 AM +0000,55-16 69 Street,UNICAR LUXURY INC.,POINT (-73.89548512967326 40.727520020315005),-73.8954851297,40.7275200203
11/12/2015 12:00:00 AM +0000,64-32 Shaler Avenue,"GROUND TRAVEL SERVICES II, LTD",POINT (-73.89265248250523 40.70313842974166),-73.8926524825,40.7031384297
11/12/2015 12:00:00 AM +0000,689 Seneca Avenue,LIBERTY CAR SERVICE INC,POINT (-73.90800966554853 40.70300900013707),-73.9080096655,40.7030090001
11/13/2015 12:00:00 AM +0000,169-08 Hillside Avenue,T & S HILLSIDE INC.,POINT (-73.79282613600857 40.7107779788391),-73.792826136,40.7107779788
11/13/2015 12:00:00 AM +0000,87-52 169 Street,HILLSIDE 24 HOURS RADIO DISPATCH INC,POINT (-73.79320783275253 40.710987267255284),-73.7932078328,40.7109872673
11/17/2015 12:00:00 AM +0000,335 Bond Street,NYC 2 WAY INTERNATIONAL LTD,POINT (-73.99017911519961 40.67901762922658),-73.9901791152,40.6790176292
11/17/2015 12:00:00 AM +0000,534 Court street,LINDENBAUM SUPPLY CO. INC.,POINT (-73.99919245140416 40.6755486507769),-73.9991924514,40.6755486508
11/17/2015 12:00:00 AM +0000,579 Smith street,APEX CAR & LIMO SVCE INC,POINT (-73.9994628641141 40.67200789213196),-73.9994628641,40.6720078921
11/19/2015 12:00:00 AM +0000,6 Coleman Square,QUEENS DISPATCH SVC INC,POINT (-73.83051830133753 40.660272626823264),-73.8305183013,40.6602726268
11/19/2015 12:00:00 AM +0000,88-19 101 Avenue,INTA-BORO ACRES INC,POINT (-73.85174482969745 40.68264170769349),-73.8517448297,40.6826417077
11/20/2015 12:00:00 AM +0000,33-70 Prince street,NEW APPLE TRANS. INC.,POINT (-73.8333655003592 40.764243053632796),-73.8333655004,40.7642430536
11/20/2015 12:00:00 AM +0000,131-10 40TH  Road,KIRIN TRANSPORTATION INC.,POINT (-73.83595614173373 40.75597409998193),-73.8359561417,40.7559741
11/24/2015 12:00:00 AM +0000,712 3RD Avenue,"CONCORD LIMOUSINE 1, LLC",POINT (-73.99861228563448 40.66304618698118),-73.9986122856,40.663046187
11/24/2015 12:00:00 AM +0000,717 4TH Avenue,Jupiter Car Service,POINT (-73.99698314435234 40.66144869489057),-73.9969831444,40.6614486949
11/24/2015 12:00:00 AM +0000,746 4TH Avenue,ASIANA LIMOUSINE INC,POINT (-73.99762834705363 40.66085858181555),-73.9976283471,40.6608585818
12/01/2015 12:00:00 AM +0000,522 EAST 149TH STREET,AMERICAN BASE NO.1 INC,POINT (-73.91432194044802 40.8147167603751),-73.9143219404,40.8147167604
12/01/2015 12:00:00 AM +0000,2535 Third Avenue,"ECONOMY CAR SERVICE, LLC",POINT (-73.92763523024473 40.81084210348093),-73.9276352302,40.8108421035
12/03/2015 12:00:00 AM +0000,90-03 31 Avenue,NEW IMPERIAL CAR SERVICE INC,POINT (-73.87844322284914 40.7600368443748),-73.8784432228,40.7600368444
12/03/2015 12:00:00 AM +0000,94-12 Astoria Boulevard,"CENTRAL CAR SERVICES,INC",POINT (-73.87505906099256 40.76295637775385),-73.875059061,40.7629563778
12/03/2015 12:00:00 AM +0000,98-02 Astoria Boulevard,CONTINENTAL RADIO DISPATCH CORP,POINT (-73.8712013865009 40.7622988805067),-73.8712013865,40.7622988805
10/29/2015 12:00:00 AM +0000,33 Beaver St,Vision Zero Base and Fleet Report Charette,POINT (-74.01171102243838 40.70496649907216),-74.0117110224,40.7049664991
01/05/2016 12:00:00 AM +0000,37-18 Northern Boulevard,"First Corporate Sedans, Inc.",POINT (-73.92588719242055 40.75209541363477),-73.9258871924,40.7520954136
01/05/2016 12:00:00 AM +0000,40-14 23Rd Street,London Town Cars,POINT (-73.93975591962133 40.753986398328216),-73.9397559196,40.7539863983
01/05/2016 12:00:00 AM +0000,36-01 20th Avenue,Mirage Limousine Service,POINT (-73.90373223486318 40.777923531022985),-73.9037322349,40.777923531
01/07/2016 12:00:00 AM +0000,49 West 170 Street,Llama Limo Car Service Corp,POINT (-73.92051210550099 40.84054896941071),-73.9205121055,40.8405489694
01/07/2016 12:00:00 AM +0000,2774 Webster Avenue,Kiss Car Service Inc,POINT (-73.88562490240537 40.86609481013187),-73.8856249024,40.8660948101
01/07/2016 12:00:00 AM +0000,2809 Webster Avenue,NY Minute Car Service Inc,POINT (-73.88496981648252 40.86649214033685),-73.8849698165,40.8664921403
