Agency Name,Contact Name,CEO Title,Street Address,Street Address 2,City,Zip,County Name,Voice Number,Fax Number,Agency_Type
Franklin County Sheriff's Office,Steven Pelton,Sheriff,#1 Bruns Drive,,Union,63084,FRANKLIN,6365832560,6365832560,County
Fredericktown Police Dept.,Eric Hovis,Chief,120 West Main Street,PO Box 549,Fredericktown,63645,MADISON,5737837401,5737836687,Municipal
Freeman Police Dept.,Jason Lindsey,Chief,105 E Main St   PO Box 98,,Freeman,64746,CASS,8162502902,8168992480,Municipal
Frontenac Police Dept.,Mark Guttmann,Chief,10555 Clayton Road,,Frontenac,63131,ST. LOUIS,3149949300,3149940184,Municipal
Fulton Police Dept.,Steve Myers,Chief,P.O. Box 756,935 South Business 54,Fulton,65251,CALLAWAY,5735923100,5735923109,Municipal
Galena Police Dept.,John Coones,Mayor,PO Box 234,111 Main Street,Galena,65656,STONE,4173576226,4173578033,Municipal
Gallatin Police Dept.,Christopher Richards,Chief,112 E Grand,,Gallatin,64640,DAVIESS,6606633580,6606633937,Municipal
Garden City Police Dept.,Daniel Cantrell,Mayor,107 N Main St,PO Box 20,Garden City,64747,CASS,8167738201,8168627139,Municipal
Gasconade County Sheriff's Office,Mark Williams,Sheriff,119 E First St - Room 22,,Hermann,65041,GASCONADE,5734862424,5734863693,County
Gasconade Police Dept.,Riley Lewis,Chief,General Delivery,,Gasconade,65061,GASCONADE,5732947348,,Municipal
Gentry County Sheriff's Office,Timothy Davis,Sheriff,104 N. Polk St.  PO Box 37,,Albany,64402,GENTRY,6607263721,,County
Gerald Police Dept.,James Helton,Chief,106 East Fitzgerald,,Gerald,63037,FRANKLIN,5737643424,5737644841,Municipal
Gideon Police Dept.,Rinda Dillard,Acting Chief,PO Box 396,109 Main Street,Gideon,63848,NEW MADRID,5734483500,5734483122,Municipal
Gladstone Dept. of Public Safety,Michael Hasty,Chief,7010 N Holmes,,Gladstone,64118,CLAY,8164234021,8164363553,Municipal
Glasgow Police Dept.,Charles Polson,Chief,100 market street,,Glasgow,65254,HOWARD,6603382583,6603385137,Municipal
Glendale Police Dept.,Charles Beaton,Chief,424 N Sappington Rd,,Glendale,63122,ST. LOUIS,3149650000,3149652912,Municipal
Goodman Police Dept.,Benjamin Shoemaker,Chief,203 W Barlow St,,Goodman,64843,MCDONALD,4173648479,4173648650,Municipal
Gordonville Police Dept.,Chief of Police,Chief,PO Box 83,,Gordonville,63752,CAPE GIRARDEAU,5732047602,5732047181,Municipal
Gower Police Dept.,Adam Hill,Chief,94 N 4th Street,,Gower,64454,CLINTON,8164243077,8164243877,Municipal
Grain Valley Police Dept.,James Beale,Acting Chief,711 Main Street,,Grain Valley,64029,JACKSON,8168476250,8168476259,Municipal
Granby Police Dept.,Jacob Kelley,Chief,224 North Beaver Avenue,,Granby,64844,NEWTON,4174723535,4174727139,Municipal
Grandin Police Dept.,Rick Julian,Mayor,PO Box 59,#1 Walnut Street,Grandin,63943,CARTER,5735934237,5735934235,Municipal
Grandview Police Dept.,Charles Iseman,Chief,1200 Main Street,lower level,Grandview,64030,JACKSON,8163164920,8167639774,Municipal
Green City Police Dept.,Klayton Munden,Chief,PO Box 235,4 South Grant Street,Green City,63545,SULLIVAN,6608745900,6608745813,Municipal
Green Ridge Police Dept.,Allan Rohrbach,Mr.,104 W. Pettis Street,,Green Ridge,65332,PETTIS,6605273541,6605273726,Municipal
Greene County Sheriff's Office,James Arnott,Sheriff,1010 North Boonville,,Springfield,65802,GREENE,4178296283,4178296525,County
Greenfield Police Dept.,Timothy Larkin,Chief,115 N Main Street,,Greenfield,65661,DADE,4176372834,4176372836,Municipal
Greenville Police Dept.,Carroll Rainwater,Mayor,108 Walnut St    PO Box 427,,Greenville,63944,WAYNE,5732245358,5732243470,Municipal
Greenwood Police Dept.,Thomas Wright,Chief,709 W Main Street,,Greenwood,64034,JACKSON,8165375020,8165375632,Municipal
Grundy County Sheriff's Office,Rodney Herring,Sheriff,610 Main Street,,Trenton,64683,GRUNDY,6603592828,6603593761,County
Hale Police Dept.,Chief of Police,Chief,P.O. Box 67,413 Oak Street,Hale,64643,CARROLL,6605652916,6605652445,Municipal
Hallsville Police Dept.,Bryan Schultz,Chief,202 Highway 124 E,,Hallsville,65255,BOONE,5736963838,5736960605,Municipal
Hamilton Police Dept.,April Melte,Chief,104 West School,PO Box 217,Hamilton,64644,CALDWELL,8164650870,8165832752,Municipal
Hannibal Police Dept.,Lyndell Davis,Chief,777 Broadway,PO Box 793,Hannibal,63401,MARION,5732210987,5732213966,Municipal
Hardin Police Dept.,Theodore Kuhlman,Chief,100 E. Main Street,,Hardin,64035,RAY,6603984715,6603984880,Municipal
Harrison County Sheriff's Office,Trevor Place,Sheriff,1501 Central Street,,Bethany,64424,HARRISON,6604253199,6604257906,County
Harrisonville Police Dept.,John Hofer,Chief,205 North Lexington,,Harrisonville,64701,CASS,8163808929,8163808935,Municipal
Hartville Police Dept.,Adam Stigall,Chief,200 South Main,PO Box 37,Hartville,65667,WRIGHT,4177417334,4177411461,Municipal
Hawk Point Police Dept.,Robert Bone,Chief,161 W. Lincoln Street,PO Box 302,Hawk Point,63349,LINCOLN,6363384867,6363384867,Municipal
Hayti Police Dept.,Paul Sheckell,Chief,300 E Main Street,PO Box 332,Hayti,63851,PEMISCOT,5733591259,5733590353,Municipal
Hazelwood Police Dept.,Gregg Hall,Chief,415 Elm Grove Lane,,Hazelwood,63042,ST. LOUIS,3148385000,3148385169,Municipal
Henrietta Police Dept.,Richard Pacheco,Acting Chief,406 Main Street,,Henrietta,64036,RAY,8162905337,8164945342,Municipal
Henry County Sheriff's Office,James Oberkrom,Sheriff,200 North Main Street,,Clinton,64735,HENRY,6608857300,6608853173,County
Herculaneum Police Dept.,Mark Tulgetske,Chief,#1 Parkwood Court,,Herculaneum,63048,JEFFERSON,6364794791,6364757213,Municipal
Hermann Police Dept.,Marlon Walker,Chief,1902 Jefferson Street,,Hermann,65041,GASCONADE,5734862211,5734865079,Municipal
Hickory County Sheriff's Office,Brian Whalen,Sheriff,18682 Jackson Street,,Hermitage,65668,HICKORY,4177456415,4177456205,County
Higginsville Police Dept.,Thomas Long,Chief,1922 Main St   PO Box 110,,Higginsville,64037,LAFAYETTE,6605843354,6605843392,Municipal
High Hill Police Dept.,James Dean,Chief,P.O. Box 42,,High Hill,63350,MONTGOMERY,6365851309,,Municipal
Highlandville Police Dept.,Jackie Weeks,Chief,PO Box 157,216 Kentling Avenue,Highlandville,65669,CHRISTIAN,4178396463,4174436096,Municipal
Hillsboro Police Dept.,Steve Meinberg,Chief,101 Main Street,,Hillsboro,63050,JEFFERSON,6367975229,6367892476,Municipal
Hillsdale Police Dept.,John Bernsen,Chief,6614 Jesse Jackson Ave,,St. Louis,63121,ST. LOUIS,3143810527,3143830646,Municipal
Holcomb Police Dept.,Alvin Roberts,Chief,214 W. Main Street,,Holcomb,63852,DUNKLIN,5737923611,5737923782,Municipal
Holden Police Dept.,Trenton Neal,Chief,1110 W Third St,,Holden,64040,JOHNSON,8168504154,8167324155,Municipal
Hollister Police Dept.,Preston Schmidt,Chief,#1 Gage Dr.,,Hollister,65672,TANEY,4173346565,4173392252,Municipal
Holt County Sheriff's Office,David McClain,Sheriff,PO Box 229,107 South Main,Oregon,64473,HOLT,6604463305,6604462020,County
Holts Summit Police Dept.,Gordon McIntyre,Chief,245 S Summit Drive   PO Box 429,,Holts Summit,65043,CALLAWAY,5738968432,5738968297,Municipal
Hornersville Police Dept.,Sabrina Kellums,Chief,300 Main Street,,Hornersville,63855,DUNKLIN,5737372172,5737372704,Municipal
Houston Police Dept.,Timothy Ceplina,Chief,601 S Grand Ave,,Houston,65483,TEXAS,4179673348,4179674252,Municipal
Howard County Sheriff's Office,Michael Neal,Sheriff,100 N Mulberry,,Fayette,65248,HOWARD,6602482477,6602481444,County
Howardville Police Dept.,Eric Williamson,Chief,105 Howard Street,,Howardville,63869,NEW MADRID,5736882774,5736885445,Municipal
Howell County Sheriff's Office,James Shannon,Sheriff,1106 Missouri Ave,,West Plains,65775,HOWELL,4172562544,4172566464,County
Humansville Police Dept.,Justin Weathers,Chief,202 W. Buffalo St,,Humansville,65674,POLK,4177548110,4177548276,Municipal
Huntsville Police Dept.,Randall Mathews,Chief,205 S Main Street,,Huntsville,65259,RANDOLPH,6602774500,6602774551,Municipal
Iberia Police Dept.,Samuel Musick,Acting Chief,803 Hwy 42,,Iberia,65486,MILLER,5737932300,5737932665,Municipal
Independence Police Dept.,Brad Halsey,Chief,223 N Memorial Drive,,Independence,64051,JACKSON,8163257300,8163257809,Municipal
Indian Point Police Dept.,Edward Hamlin,Chief,957 Indian Point Rd,,Branson,65616,STONE,4173864203,4173385279,Municipal
Iron County Sheriff's Office,Roger Medley,Sheriff,220 S Shepherd St,,Ironton,63650,IRON,5735467051,5735467139,County
Iron Mountain Lake Police Dept.,John Washburn,Chief,538 Gallatin Drive,,Bismarck,63624,ST. FRANCOIS,5737342042,5737346390,Municipal
Ironton Police Dept.,Thomas Anderson,Chief,123 N Main Street,,Ironton,63650,IRON,5735467132,5735467770,Municipal
Jackson County Parks & Rec,Joseph Piccinini,Chief,22807 Woods Chapel Road,,Blue Springs,64015,JACKSON,8165034890,8167950986,County
Jackson County Sheriff's Office,Darryl Forte',Sheriff,4001 NE Lakewood Court,,Lee's Summit,64064,JACKSON,8165418017,8167951969,County
Jackson Police Dept.,James Humphreys,Chief,525 S Hope Street,,Jackson,63755,CAPE GIRARDEAU,5732433151,5732439797,Municipal
Jamestown Police Dept.,Gregg Laster,Chief,103 E Row,,Jamestown,65046,MONITEAU,6608492339,6608492335,Municipal
Jasper County Sheriff's Office,Randee Kaiser,Sheriff,231 South Main Street,,Carthage,64836,JASPER,4173588177,4173598620,County
Jasper Police Dept.,Chadwick Karr,Chief,PO Box 247,109 South Main Street,Jasper,64755,JASPER,4173942599,4173943178,Municipal
Jefferson City Police Dept.,Roger Schroeder,Chief,401 Monroe Street,,Jefferson City,65101,COLE,5736346400,5736348726,Municipal
Jefferson College Campus Police Department,Donald Riffe,Chief,1000 Viking Drive,,Hillsboro,63050,JEFFERSON,6364813420,6364672612,University
Jefferson County Sheriff's Office,David Marshak,Sheriff,PO Box 100,,Hillsboro,63050,JEFFERSON,6367975022,6367975049,County
Johnson County Sheriff's Office,Scott Munsterman,Sheriff,278 SW 871 Rd,,Centerview,64019,JOHNSON,6607476469,8167326382,County
Jonesburg Police Dept.,Gregory Houdyshell,Chief,PO Box 256,,Jonesburg,63351,MONTGOMERY,6364885200,6364880411,Municipal
Joplin Police Dept.,Sloan Rowland,Chief,303 E Third Street,,Joplin,64801,JASPER,4176233131,4176234604,Municipal
Kahoka Police Dept.,Billy Conger,Chief,250 North Morgan,,Kahoka,63445,CLARK,6607272512,6607273750,Municipal
Kansas City Int'l Airport Police Dept.,WILLIAM SIMPSON,Acting Chief,1 International Square,,Kansas City,64153,PLATTE,8162432249,8162435432,Airport
Kansas City Police Dept.,Richard Smith,Chief,1125 Locust Street,,Kansas City,64106,JACKSON,8162345000,8162345013,Municipal
Kansas City Southern Railway,Mr. Keith Martin,Chief,4601 Hilry Huckaby III Avenue,,"Shreveport, LA",71107,No County Affiliation,3186766081,,Rail Road
Kearney Police Dept.,Thomas Carey,Chief,PO Box 773,725 West 92 Highway,Kearney,64060,CLAY,8166283925,8166284218,Municipal
Kelso Police Dept.,Matthew Scroggins,Chief,PO Box 279,426 S Messmer St,Kelso,63758,SCOTT,5735453525,5735453527,Municipal
Kennett Police Dept.,Kenneth Wilson,Acting Chief,200 Cedar Street,,Kennett,63857,DUNKLIN,5738884622,5738884933,Municipal
Keytesville Police Dept.,Bob Littleton,Mayor,404 W Bridge,,Keytesville,65261,CHARITON,6602883745,,Municipal
Kimberling City Police Dept.,Craig Alexander,Chief,PO Box 370,34 Kimberling Blvd,Kimberling City,65686,STONE,4177392131,4177392400,Municipal
Kimmswick Police Dept.,Michael McElrath,Chief,6041 3rd Street,,Imperial,63053,JEFFERSON,6364647407,6364644777,Municipal
King City Police Dept.,Jeremy D. Green,Chief,PO Box 653,101 E. Vermont,King City,64463,GENTRY,6605354329,6605356344,Municipal
Kingsville Police Dept.,Brian Hobbs,Chief,PO Box 32,,Kingsville,64061,JOHNSON,6607475511,,Municipal
Kirksville Police Dept.,Steve Farnsworth,Chief,119  E McPherson Street,,Kirksville,63501,ADAIR,6607856945,6606652346,Municipal
Kirkwood Police Dept.,Brian Murphy,Chief,131 W Madison Ave,,Kirkwood,63122,ST. LOUIS,3148225858,3149845917,Municipal
Knob Noster Police Dept.,Brian Kniskern,Chief,218 North State St,,Knob Noster,65336,JOHNSON,6605632233,6605632476,Municipal
Knox County Sheriff's Office,Gerald Gudehus,Sheriff,107 N Fourth Street,,Edina,63537,KNOX,6603972186,,County
Laclede County Sheriff's Office,David Millsap,Sheriff,240 North Adams Avenue,,Lebanon,65536,LACLEDE,4175322311,4175326719,County
Laddonia Police Dept.,Josh Deimeke,Mayor,301 E 1st Street,P.O. Box 70,Laddonia,63352,AUDRAIN,5733732028,5733732028,Municipal
Ladue Police Dept.,Kenneth Andreski,Chief,9345 Clayton Road,,St Louis,63124,ST. LOUIS,3149931214,3144323025,Municipal
Lafayette County Sheriff's Office,Kerrick Alumbaugh,Sheriff,107  South 11th Street,,Lexington,64067,LAFAYETTE,6602593622,6602599077,County
LaGrange Police Dept.,Carl Knoche,Chief,204 W Washington St,,LaGrange,63448,LEWIS,5736554611,5736554528,Municipal
Lake Lafayette Police Dept.,Steven Singer,Acting Chief,1001 Lafayette Dr,,Lake Lafayette,64076,LAFAYETTE,8166338783,8166338955,Municipal
Lake Lotawana Police Dept.,Randal Wilson,Acting Chief,100 Lake Lotawana Dr,,Lake Lotawana,64086,JACKSON,8165784333,8165785714,Municipal
Lake Ozark Police Dept.,Gary Launderville,Chief,PO Box 370,3162 Bagnell Dam Blvd,Lake Ozark,65049,MILLER,5733655371,5733656329,Municipal
Lake St Louis Police Dept.,Christopher DiGiuseppi,Chief,200 Civic Center Dr,,Lake St Louis,63367,ST. CHARLES,6366258018,6366251428,Municipal
Lake Tapawingo Police Dept.,Tammy Taylor,Chief,144 Anchor Drive   Rt 2  Box 135,,Lake Tapawingo,64015,JACKSON,8162293722,8162281912,Municipal
Lake Waukomis Police Dept.,Dennis Todd,Mayor,1147 South Shore Drive,,Lake Waukomis,64151,PLATTE,8167412071,8167413791,Municipal
Lake Winnebago Police Dept.,Richard Williams,Chief,10 N Winnebago Drive,,Lake Winnebago,64034,CASS,8165377900,8165374167,Municipal
Lakeshire Police Dept.,Timothy Sullivan,Chief,10000 Puttington Drive,,Lakeshire,63123,ST. LOUIS,3146314670,3146319926,Municipal
Lamar Police Dept.,Rusty Rives,Chief,1106 Broadway,,Lamar,64759,BARTON,4176823546,4176824484,Municipal
LaMonte Police Dept.,Ronnie McNeive,Mayor,1010 South Oak,PO Box 147,LaMonte,65337,PETTIS,6603475606,6603475828,Municipal
Lanagan Police Dept.,Christopher Creekmore,Chief,P.O. Box 16,,Lanagan,64847,MCDONALD,4174390062,4174362663,Municipal
Lancaster Police Dept.,Jason Moss,Chief,PO Box 477,,Lancaster,63548,SCHUYLER,6604573022,6604573455,Municipal
LaPlata Police Dept.,Jason Bunch,Chief,117 East Moore Street,,La Plata,63549,MACON,6603324343,6603324353,Municipal
Lathrop Police Dept.,David Speiser,Chief,PO Box 225    117 Pine St,,Lathrop,64465,CLINTON,8165286550,8165286552,Municipal
Laurie Police Dept.,Mark Black,Chief,147 South Main,PO Box 1515,Laurie,65038,MORGAN,5733744871,5733740114,Municipal
Lawrence County Sheriff's Office,Brad Delay,Sheriff,240 N. Main Suite 10,,Mount Vernon,65712,LAWRENCE,4174662131,4174711303,County
Lawson Police Dept.,Bruce Summa,Chief,PO Box 185,104 West 3rd,Lawson,64062,RAY,8165807210,8162963184,Municipal
Leadington Police Dept.,Erik Powers,Chief,12 Weir Street,,Leadington,63601,ST. FRANCOIS,5734315196,5735180590,Municipal
Leadwood Police Dept.,William Dickey,Chief,102 E Seventh Street,,Leadwood,63653,ST. FRANCOIS,5735627337,5735622902,Municipal
Leasburg Police Dept.,Jared West,Mr.,2303 Highway H,PO Box 39,Leasburg,65535,CRAWFORD,5732456565,5732456590,Municipal
Lebanon Police Dept.,Keith Shumate,Acting Chief,401 S. Jefferson,PO Box 111,Lebanon,65536,LACLEDE,4175323131,4175321935,Municipal
Lee's Summit Police Dept.,William Forbes,Chief,10 NE Tudor Rd,,Lee's Summit,64086,JACKSON,8169691795,8169691635,Municipal
Leeton Police Dept.,William Brasel,Chief,108 W Summerfield   PO Box 87,,Leeton,64761,JOHNSON,6606534520,6606534575,Municipal
Lewis County Sheriff's Office,David Parrish,Sheriff,107 S Washington Street,,Monticello,63457,LEWIS,5737675311,5737675412,County
Lexington Police Dept.,Ronald Sims,Chief,203 North 25th Street,,Lexington,64067,LAFAYETTE,6602596321,6602593344,Municipal
Liberal Police Dept.,William Cliffman,Chief,207 S Main,,Liberal,64762,BARTON,4178436025,4178436028,Municipal
Liberty Police Dept.,James Simpson,Chief,101 East Kansas St   PO Box 159,,Liberty,64068,CLAY,8164394712,8164394745,Municipal
Licking Police Dept.,Patrick Burton,Chief,P.O. Box 89,,Licking,65542,TEXAS,5736742521,5736742914,Municipal
Lilbourn Police Dept.,Robert Taylor,Mayor,200 North 3rd Street,PO Box 643,Lilbourn,63862,NEW MADRID,5736882513,5736882193,Municipal
Lincoln County Sheriff's Office,John Cottle,Sheriff,65 Business Park Drive,,Troy,63379,LINCOLN,6365288546,6365288564,County
Lincoln Police Dept.,Robert Greene,Chief,PO Box 17,122 East Main,Lincoln,65338,BENTON,6605472718,6605473964,Municipal
Lincoln University DPS,Gary Hill,Chief,1118 Chestnut Street,,Jefferson City,65101,COLE,5736815555,5736810450,University
Linn County Sheriff's Office,Jeffrey Henke,Sheriff,PO Box 142,115 W Jackson Street,Linneus,64653,LINN,6608955312,6608955587,County
Linn Creek Police Dept.,Gregory Berry,Chief,P.O. Box 1177,,Linn Creek,65052,CAMDEN,5733466200,5733465867,Municipal
Linn Police Dept.,Richard Bray,Chief,1200 East Main Street,,Linn,65051,OSAGE,5738974234,5738973009,Municipal
Livingston County Sheriff's Office,Stephen Cox,Sheriff,901 Webster St,,Chillicothe,64601,LIVINGSTON,6606460515,,County
Logan-Rogersville Police Unit,Mark Hall,Director,4700 S. State Highway 125,,Rogersville,65742,GREENE,4179290550,4177533960,School District
Lone Jack Police Dept.,William Forbes,Chief,401 N Bynum,,Lone Jack,64070,JACKSON,8166972417,8166972532,Municipal
Louisiana Police Dept.,April Epperson,Chief,202 S Third Street - Suite 121,,Louisiana,63353,PIKE,5737544021,5737545491,Municipal
Lowry City Police Dept.,Heather Hynek,Chief,PO Box 143 -- City Hall,,Lowry City,64763,ST. CLAIR,4176442338,4176442035,Municipal
Macon County Sheriff's Office,Kevin Shoemaker,Sheriff,101 E Washington St.,,Macon,63552,MACON,6603852062,6603855308,County
Macon Police Dept.,Adam Dawdy,Chief,301 E Bourke Street,,Macon,63552,MACON,6603852195,6603854695,Municipal
Madison County Sheriff's Office,Katy McCutcheon,Sheriff,124 N Main,,Fredericktown,63645,MADISON,5737832234,5735611211,County
Malden Police Dept.,Jarrett Bullock,Chief,112 East Laclede Street,,Malden,63863,DUNKLIN,5732762211,5732762379,Municipal
Manchester Police Dept.,Scott Will,Chief,200 Highlands Blvd Drive,,Manchester,63011,ST. LOUIS,6362072816,6362072829,Municipal
Mansfield Police Dept.,Bradley Hanger,Chief,PO Box 467,,Mansfield,65704,WRIGHT,4179248212,4179249327,Municipal
Maplewood Police Dept.,Stephen Kruse,Chief,7601 Manchester Rd,,Maplewood,63143,ST. LOUIS,3146463620,3146463696,Municipal
Marble Hill Police Dept.,Earl Parker,Mayor,305 First Street,,Marble Hill,63764,BOLLINGER,5732382970,5732384991,Municipal
Marceline Police Dept.,Robert Donelson,Chief,123 East Santa Fe Avenue,,Marceline,64658,LINN,6603763556,6603763301,Municipal
Maries County Sheriff's Office,Harold Heitman,Sheriff,P.O. Box 23,211 4th Street,Vienna,65582,MARIES,5734223381,5734223100,County
Marion County Sheriff's Office,James Shinn,Sheriff,1703 Marion City Rd,,Palmyra,63461,MARION,5737692077,5737692080,County
Marionville Police Dept.,Richard Witthuhn,Chief,PO Box 410,,Marionville,65705,LAWRENCE,4172587578,4172582609,Municipal
Marquand Police Dept.,Edwin Kennon,Mayor,119 S. Harding Street,,Marquand,63655,MADISON,5737837780,5737837780,Municipal
Marshall Police Dept.,Michael Donnell,Chief,461 West Arrow,,Marshall,65340,SALINE,6608867411,6608867505,Municipal
Marshfield Police Dept.,Charles Fannen,Chief,798 S Marshall,,Marshfield,65706,WEBSTER,4174684402,,Municipal
Marston Police Dept.,Julie Brock,Mayor,209 E Elm,P.O. Box F,Marston,63866,NEW MADRID,5736432416,5736439032,Municipal
Martinsburg Police Dept.,Brian Maskey,Chief,PO Box 128,,Martinsburg,65264,AUDRAIN,5734926616,5734926054,Municipal
Maryland Heights Police Dept.,William Carson,Chief,11911 Dorsett Rd,,Maryland Heights,63043,ST. LOUIS,3147382300,3147382500,Municipal
Maryville Dept. of Public Safety,R. Keith Wood,Director,222 E Third Street,,Maryville,64468,NODAWAY,6605623209,6605822121,Municipal
Matthews Police Dept.,Dwayne Whitworth,Chief,PO Box 54,,Matthews,63867,NEW MADRID,5734712541,5734812353,Municipal
Maysville Police Dept.,Gerry Pearl,Mayor,PO Box 470,,Maysville,64469,DEKALB,8164492185,8164495755,Municipal
McDonald County Sheriff's Office,Michael Hall,Sheriff,PO Box 68,300 East 7th Street,Pineville,64856,MCDONALD,4172234319,4172232331,County
Memphis Police Dept.,William Holland,Chief,112 S Market - Suite #3,,Memphis,63555,SCOTLAND,6604652612,6604658584,Municipal
Mercer County Sheriff's Office,Stephen Stockman,Sheriff,802 East Main,,Princeton,64673,MERCER,6607483165,6607483180,County
Merriam Woods Police Dept.,Mark Trog,Chief,4401 State Hwy. 176,,Merriam Woods,65740,TANEY,4172944390,4173022503,Municipal
Metropolitan Community College Police Department,Londell Jamerson,Chief,3217 Broadway,Suite 130,Kansas City,64111,JACKSON,8166041111,8164821200,University
Mexico Police Dept.,Susan Rockett,Chief,300 N Coal Street,,Mexico,65265,AUDRAIN,5735812100,5735818597,Municipal
Milan Police Dept.,Gail Hayes,Chief,212 E 2nd St,P.O. Box 247,Milan,63556,SULLIVAN,6602654499,6602653005,Municipal
Miller County Sheriff's Office,Louis Gregoire,Sheriff,1999 Hwy 52,,Tuscumbia,65082,MILLER,5733692341,5733698870,County
Miller Police Dept.,Chief of Police,Chief,PO Box 188,105 S. Washam,Miller,65707,LAWRENCE,4174523371,4174522523,Municipal
Miner Police Dept.,James Buckley,Chief,"103 State Hwy ""H""",,Miner,63801,SCOTT,5734718568,5734719110,Municipal
Mineral Area College DPS,Tammy Belfield,Acting Chief,PO Box 1000,5270 Flat River Rd,Park Hills,63601,ST. FRANCOIS,5735182148,5735182286,University
Mississippi County Sheriff's Office,Britton Ferrell,Sheriff,200 W Commercial St,,Charleston,63834,MISSISSIPPI,5736832111,5736833852,County
Missouri Univ. of Science & Technology Police Dept,Douglas Roberts,Chief,1201 N. State Street,G-10 Campus Support Facility,Rolla,65409,PHELPS,5733414300,5733414307,University
Missouri Western DPS,Jill Voltmer,Chief,4525 Downs Dr,Student Union Rm 201,St. Joseph,64507,BUCHANAN,8162714438,8162715619,University
MO Capitol Police,Brian Kempker,Acting Chief,630 West Main,,Jefferson City,65101,COLE,5737512764,5735263898,State Agency
MO Department of Revenue,Lester Elder,Chief Investigator,P.O. Box 2073,"301 West High Street, Room 219",Jefferson City,65102,COLE,5735265122,5737514809,State Agency
MO Dept. Natural Resources-Park Rangers,Thomas Dresner,Chief,PO Box 176,,Jefferson City,65102,COLE,5737518883,5737518359,State Agency
MO Dept. of Conservation,Cheryl Fey,Chief,2901 W Truman Blvd,,Jefferson City,65109,COLE,5737514115,5737518971,State Agency
MO Division of Alcohol and Tobacco Control,Christin Templeton,Chief,"1738 East Elm, Lower Level",,Jefferson City,65102,COLE,5737512964,5735264369,State Agency
MO Division of Fire Safety,James Bean,Chief,PO Box 844,,Jefferson City,65102,COLE,5737512930,5735264600,State Agency
MO Social Services STAT Team,Emerson McGuire,Chief,"301 W. High Street, Room 590",PO Box 208,Jefferson City,65102,COLE,5737515980,5737511479,State Agency
MO State Highway Patrol,Eric Olson,Colonel,1510 East Elm Street,PO Box 568,Jefferson City,65101,COLE,5735266117,5737519924,State Agency
Moberly Police Dept.,Troy Link,Chief,300 N Clark Street,,Moberly,65270,RANDOLPH,6602630346,6602638540,Municipal
Moline Acres Police Dept.,Gregory Moore,Chief,2449 Chambers Road,,St. Louis,63136,ST. LOUIS,3148682433,3148686779,Municipal
Monett Police Dept.,Georges Daoud,Chief,1901 East Cleveland,,Monett,65708,BARRY,4172354241,4172354235,Municipal
Moniteau County Sheriff's Office,Anthony Wheatley,Sheriff,110 N High Street,,California,65018,MONITEAU,5737962525,5737964057,County
Monroe City Police Dept.,Tyler Wheeler,Chief,300 N Main,,Monroe City,63456,MONROE,5737354585,5737352128,Municipal
Monroe County Sheriff's Office,James Hoffman,Sheriff,300 N Main Street,,Paris,65275,MONROE,6603274060,6603275188,County
Montgomery City Police Dept.,David Turner,Chief,723 North Sturgeon,,Montgomery City,63361,MONTGOMERY,5735642511,5735643802,Municipal
Montgomery County Sheriff's Office,Matthew Schoo,Sheriff,211 E Third Street,Ste 209,Montgomery City,63361,MONTGOMERY,5735648084,5735648083,County
Morehouse Police Dept.,Jackie Hays,Chief,113 Beech St     PO Box 53,,Morehouse,63868,NEW MADRID,5736675575,5736679091,Municipal
Morgan County Sheriff's Office,Norman Dills,Sheriff,211 East Newton Suite 2,,Versailles,65084,MORGAN,5733785481,5733787171,County
Morley Police Dept.,Adam Bequette,Chief,P.O. Box 339,104 N. Kirkwood Street,Morley,63767,SCOTT,5732623094,5732622478,Municipal
Moscow Mills Police Dept.,Terry Foster,Chief,995 Main Street,,Moscow Mills,63362,LINCOLN,6363564612,6363564062,Municipal
Mound City Police Dept.,John Panning,Chief,PO Box 215,205 East Sixth Street,Mound City,64470,HOLT,6604423636,8168973985,Municipal
Mount Vernon Police Dept.,David Hubert,Chief,PO Box 70,319 E Dallas St,Mount Vernon,65712,LAWRENCE,4174662122,4174669192,Municipal
Mountain Grove Police Dept.,DANIEL BLEDSOE,Chief,102 East State Street,,Mountain Grove,65711,WRIGHT,4179265181,4179263326,Municipal
Mountain View Police Dept.,James Perkins,Chief,233 W Second St   PO Box 1270,,Mountain View,65548,HOWELL,4179342525,4179346796,Municipal
MSSU Police Department,Kenneth Kennedy,Chief,3950 East Newman Road,,Joplin,64801,JASPER,4176262222,4176253503,Municipal
Napoleon Police Dept.,Robert Vick,Chief,191 W 2nd Street,,Napoleon,64074,LAFAYETTE,8164277808,8169348560,Municipal
Naylor Police Dept.,Chief of Police,Chief,101 N Front St    PO Box 8,,Naylor,63953,RIPLEY,5733992592,,Municipal
Neosho Police Dept.,David Kennedy,Chief,201 North College Street,,Neosho,64850,NEWTON,4174518012,4174518008,Municipal
Nevada Police Dept.,Casey Crain,Chief,120 S Ash Street,,Nevada,64772,VERNON,4174485171,4173811923,Municipal
New Bloomfield Police Dept,Greg Rehagen,Mayor,501 Glenwood,,New Bloomfield,65063,CALLAWAY,5734913600,5734913722,Municipal
New Florence Police Dept.,David Ingle,Chief,217 South Main Street,PO Box 70,New Florence,63363,MONTGOMERY,5738351111,5738352104,Municipal
New Franklin Police Dept.,Mike Wise,Chief,130 East Broadway,PO Box 96,New Franklin,65274,HOWARD,6608482075,6608482183,Municipal
