Registration Number,Name,Street Address,City,State,Zip,Registration Date,Registration Expiration Date,Registration Status,Location
18-SA-001037,"VP Enterprises, LLC",5712 Industry Lane,Frederick,MD,21704,,01/08/2019,Expired,"5712 Industry Lane
Frederick, MD 21704
(39.391464, -77.414825)"
00-SA-000020,Appliance Master,21920 New Hampshire Ave.,Brookeville,MD,20833,09/18/2019,09/18/2020,Renewed,"21920 New Hampshire Ave.
Brookeville, MD 20833
(39.216149, -77.052287)"
19-SA-002134,Helix Corp,325 ELLINGTON BLVD,GAITHERSBURG,Maryland,20878,,04/08/2019,Expired,"325 ELLINGTON BLVD
GAITHERSBURG, Maryland 20878
(39.113914, -77.206279)"
00-SA-000046,Anytime Appliance Service,3141 UNIVERSITY BLVD,KENSINGTON,MARYLAND,20895,12/06/2018,12/06/2019,Expired,"3141 UNIVERSITY BLVD
KENSINGTON, MARYLAND 20895
(39.035819, -77.06469)"
00-SA-000046,Anytime Appliance Service,3141-4 University Blvd. West,Kensington,MD,20895,12/06/2018,12/06/2019,Expired,"3141-4 University Blvd. West
Kensington, MD 20895
(39.035623, -77.065604)"
00-SA-000008,The Electronic Clinic,17741 Stoneridge dr,North Potomac,MD,20878,,02/27/2019,Expired,"17741 Stoneridge dr
North Potomac, MD 20878
(39.148452, -77.241155)"
13-SA-000160,"Associated Appliance Service, Inc",3001 Taylor Ave,Baltimore,Maryland,21234,09/10/2019,09/10/2020,Renewed,"3001 Taylor Ave
Baltimore, Maryland 21234
(39.373557, -76.542448)"
17-SA-001004,"Audio Video Center,Inc",309 Whitcliff Ct,Gaithersburg,MD,20878-2783,09/19/2019,09/19/2020,Renewed,"309 Whitcliff Ct
Gaithersburg, MD 20878-2783
(39.110796, -77.215064)"
18-SA-002072,KJA & K Communications LLC,21207 Big Woods Rd,Dickerson,Maryland,20842,09/19/2019,09/19/2020,Renewed,"21207 Big Woods Rd
Dickerson, Maryland 20842
(39.20316, -77.41036)"
00-SA-000018,Bettar Appliance,10503 Wheatley St.,Kensington,MD,20895,09/18/2019,09/18/2020,Renewed,"10503 Wheatley St.
Kensington, MD 20895
(39.027384, -77.070982)"
19-SA-002136,THREE JS COMPANY LLC.,11050 Livingston Road,FORT WASHINGTON,MARYLAND,20744,,04/10/2019,Expired,"11050 Livingston Road
FORT WASHINGTON, MARYLAND 20744
(38.737738, -76.995243)"
17-SA-001004,"Audio Video Center,Inc",309 Whitcliff Ct,Gaithersburg,MD,20878-2783,08/13/2018,08/13/2019,Expired,"309 Whitcliff Ct
Gaithersburg, MD 20878-2783
(39.110796, -77.215064)"
00-SA-000020,Appliance Master,21920 New Hampshire Avenue,Brookeville,MD,20833,09/18/2019,09/18/2020,Renewed,"21920 New Hampshire Avenue
Brookeville, MD 20833
(39.216149, -77.052287)"
00-SA-000020,Appliance Master,21920 NEW HAMPSHIRE AVE,BROOKEVILLE,MD,20833,09/18/2019,09/18/2020,Renewed,"21920 NEW HAMPSHIRE AVE
BROOKEVILLE, MD 20833
(39.216149, -77.052287)"
17-SA-001004,"Audio Video Center,Inc",309 Whitcliff Ct,Gaithersburg,Maryland,20878,09/19/2019,09/19/2020,Renewed,"309 Whitcliff Ct
Gaithersburg, Maryland 20878
(39.110796, -77.215064)"
00-SA-000008,The Electronic Clinic,17741 Stoneridge Drive,North Potomac,Maryland,20878,,02/27/2019,Expired,"17741 Stoneridge Drive
North Potomac, Maryland 20878
(39.148452, -77.241155)"
00-SA-000003,"Human Circuit, Inc.",9346 Gaither Road,Gaithersburg,MD,20877,09/28/2018,09/28/2019,Expired,"9346 Gaither Road
Gaithersburg, MD 20877
(39.117901, -77.192875)"
17-SA-001004,"Audio Video Center,Inc",309 Whitcliff Ct,Gaithersburg,MD,20878-2783,08/25/2017,08/25/2018,Expired,"309 Whitcliff Ct
Gaithersburg, MD 20878-2783
(39.110796, -77.215064)"
18-SA-002072,KJA & K Communications LLC,21207 Big Woods Rd,Dickerson,MD,20842,09/19/2019,09/19/2020,Renewed,"21207 Big Woods Rd
Dickerson, MD 20842
(39.20316, -77.41036)"
00-SA-000018,Bettar Appliance,10503 WHEATLEY ST,KENSINGTON,MD,20895,09/18/2019,09/18/2020,Renewed,"10503 WHEATLEY ST
KENSINGTON, MD 20895
(39.027384, -77.070982)"
00-SA-000008,The Electronic Clinic,17741 Stoneridge Drive,North Potomac,MD,20878,,02/27/2019,Expired,"17741 Stoneridge Drive
North Potomac, MD 20878
(39.148452, -77.241155)"
16-SA-000174,"Jeff's Appliance Service, Inc.",1104 Cherry Hill Road,Adelphi,MD,20783,,06/07/2018,Expired,"1104 Cherry Hill Road
Adelphi, MD 20783"
00-SA-000046,Anytime Appliance Service,3141 UNIVERSITY BLVD W APT 4,KENSINGTON,Maryland,20895-1815,12/06/2018,12/06/2019,Expired,"3141 UNIVERSITY BLVD W APT 4
KENSINGTON, Maryland 20895-1815
(39.035819, -77.06469)"
00-SA-000137,Leisure World of Maryland Corp.,3701 Rossmor Blvd.,Silver Spring,MD,20906,07/06/2017,07/06/2018,Expired,"3701 Rossmor Blvd.
Silver Spring, MD 20906
(39.100813, -77.074648)"
00-SA-000394,"Universal Electronics, Inc.",10600 McArthur Blvd.,Potomac,MD,20854,02/13/2020,02/13/2021,Renewed,"10600 McArthur Blvd.
Potomac, MD 20854
(38.980398, -77.221345)"
08-SA-000342,"Mark M. Services, LLC",14514 Anchor Lane,Boyds,Maryland,20841,02/27/2020,02/27/2021,Renewed,"14514 Anchor Lane
Boyds, Maryland 20841
(39.172117, -77.300059)"
00-SA-000137,Leisure World of Maryland Corp.,3701 Rossmoor Blvd.,Silver Spring,MD,20906,02/19/2020,02/19/2021,Renewed,"3701 Rossmoor Blvd.
Silver Spring, MD 20906
(39.100813, -77.074648)"
17-SA-001026,Agape Appliance Repair Services,12602 horseshoe bend circle,clarksburg,Maryland,20871,02/19/2019,02/19/2020,Expired,"12602 horseshoe bend circle
clarksburg, Maryland 20871
(39.229386, -77.258668)"
12-SA-000144,"Asurion Delivery and Installation Services, Inc.",22894 Pacific Blvd.,Sterling,VA,20166,02/13/2019,02/13/2020,Expired,"22894 Pacific Blvd.
Sterling, VA 20166
(38.981609, -77.435017)"
00-SA-000137,Leisure World of Maryland Corp.,3701 Rossmoor Blvd.,Silver Spring,MD,20906,02/21/2019,02/21/2020,Expired,"3701 Rossmoor Blvd.
Silver Spring, MD 20906
(39.100813, -77.074648)"
08-SA-000342,"Mark M. Services, LLC",14514 Anchor Lane,Boyds,Maryland,20841,04/20/2017,04/20/2018,Expired,"14514 Anchor Lane
Boyds, Maryland 20841
(39.172117, -77.300059)"
00-SA-000381,"Bishop Equipment Co., Inc.",2825 Dorr Ave,Fairfax,VA,22031,11/26/2016,11/26/2017,Expired,"2825 Dorr Ave
Fairfax, VA 22031
(38.875715, -77.233988)"
00-SA-000381,"Bishop Equipment Co., Inc.",2825 Dorr Avenue,Fairfax,VA,22031,02/13/2020,02/13/2021,Renewed,"2825 Dorr Avenue
Fairfax, VA 22031
(38.875715, -77.233988)"
00-SA-000394,Universal Electronics,10600 McArthur Blvd.,Potomac,MD,20854,02/27/2019,02/27/2020,Expired,"10600 McArthur Blvd.
Potomac, MD 20854
(38.980398, -77.221345)"
20-SA-002223,Property Renovators LLC,17902 Cottonwood Terrace,Gaithersburg,MD,20877,04/13/2020,04/13/2021,New,"17902 Cottonwood Terrace
Gaithersburg, MD 20877
(39.148729, -77.164505)"
08-SA-000342,"Mark M. Services, LLC",14514 Anchor Lane,Boyds,MD,20841,02/28/2019,02/28/2020,Expired,"14514 Anchor Lane
Boyds, MD 20841
(39.172117, -77.300059)"
18-SA-002112,All Variety Service Company INC,2800 Dorr Ave,Fairfax,Virginia,22031,02/07/2020,02/07/2021,Renewed,"2800 Dorr Ave
Fairfax, Virginia 22031
(38.877816, -77.233671)"
18-SA-002060,"Best Buy Stores,  #293",1200 Rockville Pike,Rockville,MD,20852,02/25/2019,02/25/2020,Expired,"1200 Rockville Pike
Rockville, MD 20852
(39.070452, -77.131502)"
18-SA-002060,"Best Buy Stores,  #293",1200 Rockville Pike,Rockville,MD,20852,02/14/2020,02/14/2021,Renewed,"1200 Rockville Pike
Rockville, MD 20852
(39.070452, -77.131502)"
20-SA-002202,Factor Appliance,503 Lincoln St,Rockville,MD,20850,02/24/2020,02/24/2021,New,"503 Lincoln St
Rockville, MD 20850
(39.092116, -77.142041)"
00-SA-000137,Leisure World of Maryland Corp.,3701 Rossmoor Blvd.,Rockville,Md,20906,02/19/2020,02/19/2021,Renewed,"3701 Rossmoor Blvd.
Rockville, Md 20906
(39.100813, -77.074648)"
00-SA-000394,"Universal Electronics, Inc.",10600 Macarthur Blvd,Potomac,Maryland,20854,02/22/2017,02/22/2018,Expired,"10600 Macarthur Blvd
Potomac, Maryland 20854
(38.980398, -77.221345)"
00-SA-000137,Leisure World of Maryland Corp.,3701 Rossmoor Blvd.,Rockville,Md,20906,02/21/2019,02/21/2020,Expired,"3701 Rossmoor Blvd.
Rockville, Md 20906
(39.100813, -77.074648)"
08-SA-000342,"Mark M. Services, LLC",14514 Anchor Lane,Boyds,MD,20841,02/27/2020,02/27/2021,Renewed,"14514 Anchor Lane
Boyds, MD 20841
(39.172117, -77.300059)"
20-SA-002192,Sonic Appliance Services,14750 4th street,Laurel,Md,20707,,,Closed,"14750 4th street
Laurel, Md 20707
(39.093076, -76.861091)"
00-SA-000239,Hyssong Appliance Center,93 MONOCACY BLVD.,FREDERICK,MD,21701,02/20/2018,02/20/2019,Expired,"93 MONOCACY BLVD.
FREDERICK, MD 21701
(39.404993, -77.392388)"
17-SA-001026,Agape Appliance Repair Services,12602 horseshoe bend circle,Clarksburg,MD,20871,02/19/2019,02/19/2020,Expired,"12602 horseshoe bend circle
Clarksburg, MD 20871
(39.229386, -77.258668)"
19-SA-002135,ADVANCE VIDEO INC,2118 BURDOCK RD,BALTIMORE,MD,21209,04/12/2019,04/12/2020,Expired,"2118 BURDOCK RD
BALTIMORE, MD 21209
(39.38816, -76.673517)"
20-SA-002200,Transform Innovel Solutions LLC,3333 Beverly Road,Hoffman Estates,IL,60179,02/25/2020,02/25/2021,New,"3333 Beverly Road
Hoffman Estates, IL 60179
(42.07778, -88.223535)"
18-SA-002061,"Best Buy Stores, LP #288",15750 Shady Grove Rd,Gaithersburg,MD,20877,02/14/2020,02/14/2021,Renewed,"15750 Shady Grove Rd
Gaithersburg, MD 20877
(39.115192, -77.185397)"
00-SA-000394,"Universal Electronics, Inc.",10600 Macarthur Blvd,Potomac,Maryland,20854,02/13/2020,02/13/2021,Renewed,"10600 Macarthur Blvd
Potomac, Maryland 20854
(38.980398, -77.221345)"
19-SA-002153,Ascend Appliance Services LLC,108 Brighton Dam Rd,Brookeville,Maryland,20833,10/01/2019,10/01/2020,New,"108 Brighton Dam Rd
Brookeville, Maryland 20833
(39.190532, -77.009988)"
17-SA-001014,Acker & Sons,10516 Summit Avenue,Kensington,Maryland,20895,11/20/2017,11/20/2018,Expired,"10516 Summit Avenue
Kensington, Maryland 20895
(39.029026, -77.078639)"
18-SA-002061,"Best Buy Stores, LP #288",15750 Shady Grove Rd,Gaithersburg,MD,20877,02/25/2019,02/25/2020,Expired,"15750 Shady Grove Rd
Gaithersburg, MD 20877
(39.115192, -77.185397)"
12-SA-000144,"Asurion Delivery and Installation Services, Inc.",22894 Pacific Blvd,Sterling,VA,20166,02/13/2019,02/13/2020,Expired,"22894 Pacific Blvd
Sterling, VA 20166
(38.981609, -77.435017)"
13-SA-000160,"Associated Appliance Service, Inc",3001 Taylor Ave,Baltimore,Maryland,21234,10/05/2018,10/05/2019,Expired,"3001 Taylor Ave
Baltimore, Maryland 21234
(39.373557, -76.542448)"
13-SA-000160,"Associated Appliance Service, Inc",3001 Taylor Ave,BALTiMORE,MD,21234,10/05/2018,10/05/2019,Expired,"3001 Taylor Ave
BALTiMORE, MD 21234
(39.373557, -76.542448)"
18-SA-001036,Quick Service,,,,,01/18/2018,01/18/2019,Expired,
17-SA-001014,Acker & Sons,10516 Summit Avenue,Kensington,Maryland,20895,10/07/2019,10/07/2020,Renewed,"10516 Summit Avenue
Kensington, Maryland 20895
(39.029026, -77.078639)"
00-SA-000020,Appliance Master,21920 NEW HAMPSHIRE AVE,BROOKEVILLE,MD,20833,10/25/2018,10/25/2019,Expired,"21920 NEW HAMPSHIRE AVE
BROOKEVILLE, MD 20833
(39.216149, -77.052287)"
12-SA-000149,"Via, Inc.",2124 Baldwin Ave,Crofton,MD,21114,10/10/2018,10/10/2019,Expired,"2124 Baldwin Ave
Crofton, MD 21114
(38.990958, -76.695257)"
12-SA-000149,"Via, Inc.",2124 Baldwin Avenue,Crofton,MD,21114,10/10/2018,10/10/2019,Expired,"2124 Baldwin Avenue
Crofton, MD 21114
(38.990958, -76.695257)"
17-SA-000180,"Griffin Audio, LLC",7609 Newcastle Drive,Anandale,VA,22003,10/08/2018,10/08/2019,Expired,"7609 Newcastle Drive
Anandale, VA 22003
(38.819122, -77.208185)"
00-SA-000186,"Brother Sewing Machine of Washington, Inc.",1067N Rockville Pike,Rockville,MD,20852,10/30/2019,10/30/2020,Renewed,"1067N Rockville Pike
Rockville, MD 20852
(39.070871, -77.132082)"
00-SA-000187,"Brother Sewing Machine of Washington, Inc.",4826 St. Elmo Avenue,Bethesda,MD,20814,10/30/2019,10/30/2020,Renewed,"4826 St. Elmo Avenue
Bethesda, MD 20814
(38.989175, -77.09711)"
00-SA-000186,"Brother Sewing Machine of Washington, Inc.",10153 New Hampshire Ave,Silver Spring,MD,20903,10/30/2019,10/30/2020,Renewed,"10153 New Hampshire Ave
Silver Spring, MD 20903
(39.021465, -76.976931)"
19-SA-002145,A&B Appliance Co.,,,,,06/11/2019,06/11/2020,New,
00-SA-000394,"Universal Electronics, Inc.",10600 MacArthur Blvd,Potomac,Md,20854,02/13/2020,02/13/2021,Renewed,"10600 MacArthur Blvd
Potomac, Md 20854
(38.980398, -77.221345)"
00-SA-000239,"Hyssong Appliance Center, Inc.",93 Monocacy Blvd. #A-8,Frederick,MD,21701,03/01/2019,03/01/2020,Expired,"93 Monocacy Blvd. #A-8
Frederick, MD 21701
(39.404993, -77.392388)"
00-SA-000239,"Hyssong Appliance Center, Inc.",93 Monocacy Blvd,Frederick,MD,21701,03/01/2019,03/01/2020,Expired,"93 Monocacy Blvd
Frederick, MD 21701
(39.404993, -77.392388)"
00-SA-000239,"Hyssong Appliance Center, Inc.",93 MONOCACY BLVD.,FREDERICK,MD,21701,03/01/2019,03/01/2020,Expired,"93 MONOCACY BLVD.
FREDERICK, MD 21701
(39.404993, -77.392388)"
00-SA-000239,"Hyssong Appliance Center, Inc.","93 MONOCACY BLVD., A8",FREDERICK,Maryland,21701,03/01/2019,03/01/2020,Expired,"93 MONOCACY BLVD., A8
FREDERICK, Maryland 21701
(39.404993, -77.392388)"
18-SA-001036,Quick Service,,,,,06/26/2019,06/26/2020,New,
00-SA-000239,"Hyssong Appliance Center, Inc.","93 MONOCACY BLVD., A8",FREDERICK,Maryland,21701,03/02/2020,03/02/2021,Renewed,"93 MONOCACY BLVD., A8
FREDERICK, Maryland 21701
(39.404993, -77.392388)"
00-SA-000239,"Hyssong Appliance Center, Inc.",93 Monocacy Blvd,Frederick,MD,21701,03/02/2020,03/02/2021,Renewed,"93 Monocacy Blvd
Frederick, MD 21701
(39.404993, -77.392388)"
00-SA-000239,"Hyssong Appliance Center, Inc.",93 MONOCACY BLVD.,FREDERICK,MD,21701,03/02/2020,03/02/2021,Renewed,"93 MONOCACY BLVD.
FREDERICK, MD 21701
(39.404993, -77.392388)"
00-SA-000239,"Hyssong Appliance Center, Inc.",93 Monocacy Blvd. #A-8,Frederick,MD,21701,03/02/2020,03/02/2021,Renewed,"93 Monocacy Blvd. #A-8
Frederick, MD 21701
(39.404993, -77.392388)"
00-SA-000046,Anytime Appliance Service,3141 UNIVERSITY BLVD.,KENSINGTON,MD,20895,12/06/2018,12/06/2019,Expired,"3141 UNIVERSITY BLVD.
KENSINGTON, MD 20895
(39.035819, -77.06469)"
16-SA-000171,"American International Export, Inc.","8309 Sherwick Ct,  #",Jessup,MD,20794,12/17/2018,12/17/2019,Expired,"8309 Sherwick Ct, #
Jessup, MD 20794
(39.149231, -76.796326)"
00-SA-000186,"Brother Sewing Machine of Washington, Inc.",10153 New Hampshire Avenue,Silver Spring,MD,20903,12/10/2018,12/10/2019,Expired,"10153 New Hampshire Avenue
Silver Spring, MD 20903
(39.021465, -76.976931)"
00-SA-000186,"Brother Sewing Machine of Washington, Inc.",1067N Rockville Pike,Rockville,MD,20852,12/10/2018,12/10/2019,Expired,"1067N Rockville Pike
Rockville, MD 20852
(39.070871, -77.132082)"
00-SA-000023,"Charles A. Klein & Sons, Inc.",5220 Klees Mill Rd.,Sykesville,MD,21784,12/21/2018,12/21/2019,Expired,"5220 Klees Mill Rd.
Sykesville, MD 21784
(39.43181, -76.99225)"
17-SA-001029,Carpet & Vacuum Expo,8533 atlas dr,GAITHERSBURG,MD,20877,12/21/2018,12/21/2019,Expired,"8533 atlas dr
GAITHERSBURG, MD 20877
(39.129678, -77.176017)"
13-SA-000155,"Total Audio Visual Systems, Inc.",9301 Georgia Avenue,Silver Spring,MD,20910,10/10/2018,10/10/2019,Expired,"9301 Georgia Avenue
Silver Spring, MD 20910
(39.007353, -77.039647)"
09-SA-000346,Stan Jr's Appliance Service,114 Stull Court,Thurmont,MD,21788,10/10/2019,10/10/2020,Renewed,"114 Stull Court
Thurmont, MD 21788
(39.625945, -77.396877)"
18-SA-001054,AR WIRELESS & MULTI SERVICE LLC,19027 FREDERICK ROAD,GAITHERSBURG,MD,20879,05/07/2018,05/07/2019,Expired,"19027 FREDERICK ROAD
GAITHERSBURG, MD 20879
(39.168788, -77.233698)"
00-SA-000201,"Apache Appliance, Inc.",13866 Georgia Avenue,Silver Spring,MD,20906,03/04/2019,03/04/2020,Expired,"13866 Georgia Avenue
Silver Spring, MD 20906
(39.08294, -77.077543)"
00-SA-000188,"Brother Sewing Machine of Washington, Inc.",10153 New Hampshire Avenue,Silver Spring,MD,20903,10/30/2019,10/30/2020,Renewed,"10153 New Hampshire Avenue
Silver Spring, MD 20903
(39.021465, -76.976931)"
00-SA-000082,Kensington T.V. Service,10309 Kensington Pkwy.,Kensington,MD,20895,10/07/2019,10/07/2020,Renewed,"10309 Kensington Pkwy.
Kensington, MD 20895
(39.025077, -77.071541)"
17-SA-001014,Acker & Sons,10516 Summit Ave,Kensington,MD,20895,10/07/2019,10/07/2020,Renewed,"10516 Summit Ave
Kensington, MD 20895
(39.029026, -77.078639)"
04-SA-000294,"Alco Appliance Sales & Service, LLC",10101 Bacon Drive,Beltsville,MD,20705,10/08/2018,10/08/2019,Expired,"10101 Bacon Drive
Beltsville, MD 20705
(39.029042, -76.913194)"
17-SA-001014,Acker & Sons,10516 Summit Avenue,Kensington,MD,20895,10/07/2019,10/07/2020,Renewed,"10516 Summit Avenue
Kensington, MD 20895
(39.029026, -77.078639)"
00-SA-000020,Appliance Master,21920 New Hampshire Ave.,Brookeville,MD,20833,10/25/2018,10/25/2019,Expired,"21920 New Hampshire Ave.
Brookeville, MD 20833
(39.216149, -77.052287)"
00-SA-000018,Bettar Appliance,10503 Wheatley St.,Kensington,MD,20895,10/25/2018,10/25/2019,Expired,"10503 Wheatley St.
Kensington, MD 20895
(39.027384, -77.070982)"
00-SA-000082,Kensington T.V. Service,10309 Kensington Pkwy,Kensington,MD,20895,10/08/2018,10/08/2019,Expired,"10309 Kensington Pkwy
Kensington, MD 20895
(39.025077, -77.071541)"
17-SA-001013,Wireless Mobility LLC,10121 New Hampshire AVe,Silver Spring,Maryland,20903,10/08/2018,10/08/2019,Expired,"10121 New Hampshire AVe
Silver Spring, Maryland 20903
(39.020831, -76.97671)"
00-SA-000186,"Brother Sewing Machine of Washington, Inc.",10153 New Hampshire Avenue,Silver Spring,MD,20903,12/04/2017,12/04/2018,Expired,"10153 New Hampshire Avenue
Silver Spring, MD 20903
(39.021465, -76.976931)"
00-SA-000188,"Brother Sewing Machine of Washington, Inc.",1067 Rockville Pike,Rockville,MD,20852,10/30/2019,10/30/2020,Renewed,"1067 Rockville Pike
Rockville, MD 20852
(39.070871, -77.132082)"
00-SA-000186,"Brother Sewing Machine of Washington, Inc.",10153 New Hampshire Avenue,Silver Spring,MD,20903,10/30/2019,10/30/2020,Renewed,"10153 New Hampshire Avenue
Silver Spring, MD 20903
(39.021465, -76.976931)"
00-SA-000080,"Presidential Heating & Air Conditioning, Inc.",8000 Cessna Avenue,Gaithersburg,MD,20879,10/17/2019,10/17/2020,Renewed,"8000 Cessna Avenue
Gaithersburg, MD 20879
(39.172617, -77.16403)"
00-SA-000187,"Brother Sewing Machine of Washington, Inc.",4826 St. Elmo Avenue,Bethesda,Maryland,20814,10/30/2019,10/30/2020,Renewed,"4826 St. Elmo Avenue
Bethesda, Maryland 20814
(38.989175, -77.09711)"
00-SA-000082,Kensington T.V. Service,10309 Kensington Pkwy.,Kensington,MD,20895,10/08/2018,10/08/2019,Expired,"10309 Kensington Pkwy.
Kensington, MD 20895
(39.025077, -77.071541)"
17-SA-000180,"Griffin Audio, LLC",7609 NEWCASTLE DR,Annandale,VA,22003-5423,10/08/2018,10/08/2019,Expired,"7609 NEWCASTLE DR
Annandale, VA 22003-5423
(38.819122, -77.208185)"
04-SA-000294,"Alco Appliance Sales & Service, LLC","10101 Bacon Drive, Unit F",Beltsville,MD,20705,10/08/2018,10/08/2019,Expired,"10101 Bacon Drive, Unit F
Beltsville, MD 20705
(39.029042, -76.913194)"
00-SA-000018,Bettar Appliance,10503 WHEATLEY ST,KENSINGTON,MD,20895,10/25/2018,10/25/2019,Expired,"10503 WHEATLEY ST
KENSINGTON, MD 20895
(39.027384, -77.070982)"
17-SA-001013,Wireless Mobility LLC,10121 New Hampshire Ave,Silver Spring,MD,20903,10/08/2018,10/08/2019,Expired,"10121 New Hampshire Ave
Silver Spring, MD 20903
(39.020831, -76.97671)"
09-SA-000346,Stan Jr's Appliance Service,23421 Slidell Road,Boyds,MD,20841,10/10/2019,10/10/2020,Renewed,"23421 Slidell Road
Boyds, MD 20841
(39.240939, -77.321749)"
09-SA-000346,Stan Jr's Appliance Service,114 Stull Court,Thurmont,MD,21788,10/08/2018,10/08/2019,Expired,"114 Stull Court
Thurmont, MD 21788
(39.625945, -77.396877)"
00-SA-000082,Kensington T.V. Service,10309 Kensington Pkwy,Kensington,MD,20895,10/07/2019,10/07/2020,Renewed,"10309 Kensington Pkwy
Kensington, MD 20895
(39.025077, -77.071541)"
00-SA-000018,Bettar Appliance,10503 Wheatley Street,Kensington,MD,20895,10/25/2018,10/25/2019,Expired,"10503 Wheatley Street
Kensington, MD 20895
(39.027384, -77.070982)"
00-SA-000186,"Brother Sewing Machine of Wash., Inc.",10153 New Hampshire Avenue,Silver Spring,MD,20903,08/12/2016,08/12/2017,Expired,"10153 New Hampshire Avenue
Silver Spring, MD 20903
(39.021465, -76.976931)"
09-SA-000346,Stan Jr's Appliance Service,23421 Slidell Road,Boyds,MD,20841,10/08/2018,10/08/2019,Expired,"23421 Slidell Road
Boyds, MD 20841
(39.240939, -77.321749)"
00-SA-000020,Appliance Master,21920 New Hampshire Avenue,Brookeville,MD,20833,10/25/2018,10/25/2019,Expired,"21920 New Hampshire Avenue
Brookeville, MD 20833
(39.216149, -77.052287)"
17-SA-001004,"Audio Video Center,Inc",,,,,08/25/2017,08/25/2018,Expired,
00-SA-000046,Anytime Appliance Service,3141 UNIVERSITY BLVD.,KENSINGTON,MD,20895,12/12/2017,12/12/2018,Expired,"3141 UNIVERSITY BLVD.
KENSINGTON, MD 20895
(39.035819, -77.06469)"
00-SA-000027,"Adrian L. Merton, Inc.",9151 HAMPTON OVERLOOK,CAPITOL HEIGHTS,MD,20743,12/17/2018,12/17/2019,Expired,"9151 HAMPTON OVERLOOK
CAPITOL HEIGHTS, MD 20743
(38.886456, -76.848015)"
16-SA-000171,"American International Export, Inc.",8309B Sherwick Ct,Jessup,MD,20794,12/17/2018,12/17/2019,Expired,"8309B Sherwick Ct
Jessup, MD 20794
(39.149231, -76.796326)"
00-SA-000027,"Adrian L. Merton, Inc.",9151 HAMPTON OVERLOOK,CAPITOL HEIGHTS,MD,20743,11/30/2017,11/30/2018,Expired,"9151 HAMPTON OVERLOOK
CAPITOL HEIGHTS, MD 20743
(38.886456, -76.848015)"
00-SA-000046,Anytime Appliance Service,3141 UNIVERSITY BLVD.,KENSINGTON,MARYLAND,20895,12/18/2019,12/18/2020,Renewed,"3141 UNIVERSITY BLVD.
KENSINGTON, MARYLAND 20895
(39.035819, -77.06469)"
16-SA-000171,"American International Export, Inc.",8951 Brookville Road,Silver Spring,MD,20910,12/17/2018,12/17/2019,Expired,"8951 Brookville Road
Silver Spring, MD 20910
(39.003313, -77.052306)"
16-SA-000171,"American International Export, Inc.",8309 Sherwick Ct.,Jessup,MD,20794,12/17/2018,12/17/2019,Expired,"8309 Sherwick Ct.
Jessup, MD 20794
(39.149231, -76.796326)"
00-SA-000046,Anytime Appliance Service,3141-4 University Blvd. West,Kensington,MD,20895,12/18/2019,12/18/2020,Renewed,"3141-4 University Blvd. West
Kensington, MD 20895
(39.035623, -77.065604)"
00-SA-000027,"Adrian L. Merton, Inc.",9011 E HAMPTON DRIVE,CAPITOL HEIGHTS,MD,20743,12/16/2019,12/16/2020,Renewed,"9011 E HAMPTON DRIVE
CAPITOL HEIGHTS, MD 20743
(38.883477, -76.850027)"
00-SA-000027,"Adrian L. Merton, Inc.",9151 HAMPTON OVERLOOK,CAPITOL HEIGHTS,MD,20743,12/16/2019,12/16/2020,Renewed,"9151 HAMPTON OVERLOOK
CAPITOL HEIGHTS, MD 20743
(38.886456, -76.848015)"
00-SA-000046,Anytime Appliance Service,3141 UNIVERSITY BLVD W APT 4,KENSINGTON,Maryland,20895-1815,12/18/2019,12/18/2020,Renewed,"3141 UNIVERSITY BLVD W APT 4
KENSINGTON, Maryland 20895-1815
(39.035819, -77.06469)"
00-SA-000188,"Brother Sewing Machine of Washington, Inc.",10153 New Hampshire Avenue,Silver Spring,MD,20903,12/10/2018,12/10/2019,Expired,"10153 New Hampshire Avenue
Silver Spring, MD 20903
(39.021465, -76.976931)"
00-SA-000023,"Charles A. Klein & Sons, Inc.",5220 Klees Mill Rd.,Sykesville,Maryland,21784,12/21/2018,12/21/2019,Expired,"5220 Klees Mill Rd.
Sykesville, Maryland 21784
(39.43181, -76.99225)"
10-SA-000357,"Electronics Service Center, Inc.",23208 Ridge Road,Germantown,Maryland,20876,06/27/2018,06/27/2019,Expired,"23208 Ridge Road
Germantown, Maryland 20876
(39.236891, -77.236267)"
00-SA-000187,"Brother Sewing Machine of Washington, Inc.",4826 St. Elmo Avenue,Bethesda,MD,20814,12/10/2018,12/10/2019,Expired,"4826 St. Elmo Avenue
Bethesda, MD 20814
(38.989175, -77.09711)"
00-SA-000023,"Charles A. Klein & Sons, Inc.",5220 Klees Mill rd,Sykesville,MD,21784,12/21/2018,12/21/2019,Expired,"5220 Klees Mill rd
Sykesville, MD 21784
(39.43181, -76.99225)"
00-SA-000187,"Brother Sewing Machine of Washington, Inc.",4826 St. Elmo Avenue,Bethesda,Maryland,20814,12/10/2018,12/10/2019,Expired,"4826 St. Elmo Avenue
Bethesda, Maryland 20814
(38.989175, -77.09711)"
00-SA-000186,"Brother Sewing Machine of Washington, Inc.",10153 New Hampshire Ave,Silver Spring,MD,20903,12/10/2018,12/10/2019,Expired,"10153 New Hampshire Ave
Silver Spring, MD 20903
(39.021465, -76.976931)"
