Location_No,Report_Date,Indicator_Name,Indicator_Value
63,08/01/2018,Reported Placements,139
54,09/01/2018,Training Attendance Rate,1
99,04/01/2018,% SI over 45 Days,0
47,08/01/2018,SSN Validation,0.9412
23,05/01/2018,SNAP Application Timeliness,1
79,02/01/2018,SNAP Separate Determination Rate,1
44,07/01/2018,Same Day SNAP Issuance (weekly Avg),1
47,09/01/2018,SNAP Separate Determination Rate,1
79,09/01/2018,Missing or Outdated Employment Plan,0.9579
23,04/01/2018,SNAP Application Timeliness,0.9966
79,05/01/2018,SNAP Application Timeliness,0.9961
18,08/01/2018,% SI over 45 Days,0
47,02/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
64,08/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
38,05/01/2018,Fair Hearing Affirmation Rate,0.383
40,05/01/2018,Missing or Outdated Employment Plan,0.9204
13,03/01/2018,Employed Cases with Current Documentation,0.91
54,03/01/2018,Employed Cases with Current Documentation,0.9371
47,02/01/2018,Same Day SNAP Issuance (weekly Avg),1
53,02/01/2018,Fair Hearing Request Rate,0.0275
35,06/01/2018,Employed Cases with Current Documentation,0.9245
46,05/01/2018,Re-Engaged after Good Cause,0.983
35,08/01/2018,Training Attendance Rate,1
13,09/01/2018,Spot Violation,0
40,06/01/2018,Spot Violation,0
23,05/01/2018,Fair Hearing Withdrawal Rate,0.051
53,03/01/2018,Reported Placements,82
44,06/01/2018,% SI over 45 Days,0.0164
40,09/01/2018,Same Day SNAP Issuance (weekly Avg),1
18,02/01/2018,Employed Cases with Current Documentation,0.8864
44,08/01/2018,SNAP Application Timeliness,0.9819
79,05/01/2018,Reported Placements,66
45,05/01/2018,Eligible & Referred to Appropriate Activities,0.948
40,06/01/2018,Fair Hearing Request Rate,0.0427
53,05/01/2018,Reported Placements,98
44,03/01/2018,Missing or Outdated Employment Plan,0.9366
79,07/01/2018,SNAP Separate Determination Rate,0.9691
54,04/01/2018,Missing or Outdated Employment Plan,0.9722
79,04/01/2018,Cash Assistance Application Timeliness,0.9817
38,04/01/2018,Fair Hearing Request Rate,0.043
63,03/01/2018,SNAP Separate Determination Rate,1
53,09/01/2018,SNAP Separate Determination Rate,0.9871
79,07/01/2018,Spot Violation,0
63,06/01/2018,Employed Cases with Current Documentation,0.9841
64,08/01/2018,Rate of Child Care in Child Care System,0.9452
38,04/01/2018,Fair Hearing Withdrawal Rate,0.093
35,07/01/2018,Reported Placements,97
38,09/01/2018,SNAP Application Timeliness,0.8618
67,02/01/2018,Missing or Outdated Employment Plan,0.9599
46,05/01/2018,Cases Budgeted Timely (35 days),0.9756
70,09/01/2018,Reported Placements,58
38,06/01/2018,% SI over 45 Days,0.0111
13,09/01/2018,Fair Hearing Withdrawal Rate,0.137
99,03/01/2018,Cash Assistance Application Timeliness,0.9808
38,03/01/2018,Reported Placements,182
67,02/01/2018,SSN Validation,0.9821
53,07/01/2018,SNAP Separate Determination Rate,0.9948
35,03/01/2018,Missing or Outdated Employment Plan,0.972
18,09/01/2018,Missing or Outdated Employment Plan,0.9361
67,05/01/2018,Missing or Outdated Employment Plan,0.9639
79,04/01/2018,% SI over 45 Days,0
40,07/01/2018,Fair Hearing Affirmation Rate,0.477
13,05/01/2018,Missing or Outdated Employment Plan,0.9749
46,09/01/2018,SSN Validation,0.9677
70,02/01/2018,Rate of Child Care in Child Care System,0.9459
23,04/01/2018,Reported Placements,97
70,09/01/2018,Overdue Face To Face Recertifications,2
38,04/01/2018,Training Attendance Rate,0.982
64,09/01/2018,Rate of Child Care in Child Care System,0.9459
54,04/01/2018,Re-Engaged after Good Cause,0.9819
67,07/01/2018,Rate of Child Care in Child Care System,0.9692
46,03/01/2018,SNAP Separate Determination Rate,0.9948
38,02/01/2018,Overdue Face To Face Recertifications,1
44,09/01/2018,Reported Placements,105
67,07/01/2018,Reported Placements,214
99,07/01/2018,Spot Violation,0
53,04/01/2018,Eligible & Referred to Appropriate Activities,0.9675
99,06/01/2018,Fair Hearing Request Rate,0.0285
70,03/01/2018,Cash Assistance Application Timeliness,1
63,03/01/2018,Fair Hearing Withdrawal Rate,0.08
35,07/01/2018,Fair Hearing Withdrawal Rate,0.137
79,04/01/2018,Spot Violation,0
63,04/01/2018,Fair Hearing Affirmation Rate,0.714
99,04/01/2018,Employed Cases with Current Documentation,0.975
45,08/01/2018,Same Day SNAP Issuance (weekly Avg),0.913
23,08/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
18,06/01/2018,SSN Validation,1
53,09/01/2018,Re-Engaged after Good Cause,1
79,08/01/2018,Rate of Child Care in Child Care System,1
18,08/01/2018,Cash Assistance Application Timeliness,0.9846
99,03/01/2018,Missing or Outdated Employment Plan,0.955
79,08/01/2018,Reported Placements,74
40,04/01/2018,Fair Hearing Affirmation Rate,0.389
47,05/01/2018,SNAP Application Timeliness,1
46,05/01/2018,Rate of Child Care in Child Care System,0.9101
47,09/01/2018,Overdue Face To Face Recertifications,0
79,04/01/2018,SNAP Application Timeliness,1
66,09/01/2018,Rate of Child Care in Child Care System,0.8333
66,07/01/2018,SNAP Application Timeliness,0.9928
54,08/01/2018,Employed Cases with Current Documentation,0.9083
23,07/01/2018,Training Attendance Rate,1
53,04/01/2018,Employed Cases with Current Documentation,0.931
18,08/01/2018,Fair Hearing Request Rate,0.0397
63,06/01/2018,SNAP Separate Determination Rate,0.9928
67,08/01/2018,Reported Placements,212
46,07/01/2018,Fair Hearing Affirmation Rate,0.484
13,06/01/2018,% SI over 45 Days,0
70,02/01/2018,Fair Hearing Request Rate,0.0276
64,06/01/2018,Fair Hearing Request Rate,0.0611
46,09/01/2018,Fair Hearing Withdrawal Rate,0.107
99,05/01/2018,Cash Assistance Application Timeliness,0.9804
46,06/01/2018,Rate of Child Care in Child Care System,0.9268
23,07/01/2018,Fair Hearing Request Rate,0.0493
64,08/01/2018,Spot Violation,0
67,08/01/2018,Cash Assistance Application Timeliness,0.9551
54,06/01/2018,SSN Validation,0.9839
99,02/01/2018,Employed Cases with Current Documentation,0.6905
64,03/01/2018,SSN Validation,0.9583
47,05/01/2018,Eligible & Referred to Appropriate Activities,0.9375
67,09/01/2018,Fair Hearing Withdrawal Rate,0.108
35,04/01/2018,SNAP Application Timeliness,0.9814
13,06/01/2018,% Placements w/FIA3As (Employment Form),0.9785
47,09/01/2018,Reported Placements,11
63,07/01/2018,Eligible & Referred to Appropriate Activities,0.9878
46,05/01/2018,Fair Hearing Affirmation Rate,0.481
64,09/01/2018,SNAP Application Timeliness,0.9466
46,09/01/2018,Cases Budgeted Timely (35 days),0.8636
70,07/01/2018,% Placements w/FIA3As (Employment Form),0.9259
70,04/01/2018,Same Day SNAP Issuance (weekly Avg),1
79,04/01/2018,Reported Placements,74
54,06/01/2018,Cash Assistance Application Timeliness,0.9927
63,03/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
38,06/01/2018,SNAP Separate Determination Rate,0.9524
67,08/01/2018,Fair Hearing Affirmation Rate,0.299
46,05/01/2018,Spot Violation,0
18,03/01/2018,Rate of Child Care in Child Care System,0.6429
70,06/01/2018,SSN Validation,1
66,06/01/2018,Employed Cases with Current Documentation,1
13,07/01/2018,Missing or Outdated Employment Plan,0.9774
23,06/01/2018,Fair Hearing Affirmation Rate,0.667
23,06/01/2018,% SI over 45 Days,0
79,08/01/2018,Cases Budgeted Timely (35 days),0.8065
38,02/01/2018,Fair Hearing Affirmation Rate,0.543
45,04/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0.0476
66,05/01/2018,Same Day SNAP Issuance (weekly Avg),0.9754
18,06/01/2018,Overdue Face To Face Recertifications,0
66,07/01/2018,Fair Hearing Withdrawal Rate,0.11
23,03/01/2018,SNAP Separate Determination Rate,1.047
40,08/01/2018,Fair Hearing Request Rate,0.0489
38,04/01/2018,Fair Hearing Affirmation Rate,0.472
79,02/01/2018,Fair Hearing Affirmation Rate,0.357
67,04/01/2018,Rate of Child Care in Child Care System,0.9155
46,03/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
79,06/01/2018,Overdue Face To Face Recertifications,0
47,08/01/2018,Same Day SNAP Issuance (weekly Avg),1
40,07/01/2018,Reported Placements,151
18,08/01/2018,% Placements w/FIA3As (Employment Form),0.9375
67,05/01/2018,Rate of Child Care in Child Care System,0.9231
46,05/01/2018,Cash Assistance Application Timeliness,0.9935
67,06/01/2018,Cases Budgeted Timely (35 days),0.9231
13,06/01/2018,Re-Engaged after Good Cause,0.9747
35,09/01/2018,Reported Placements,79
23,08/01/2018,Same Day SNAP Issuance (weekly Avg),0.9968
44,05/01/2018,Spot Violation,0
35,07/01/2018,Fair Hearing Affirmation Rate,0.459
99,04/01/2018,Eligible & Referred to Appropriate Activities,0.9787
46,04/01/2018,Eligible & Referred to Appropriate Activities,0.974
53,02/01/2018,Overdue Face To Face Recertifications,8
53,09/01/2018,Fair Hearing Request Rate,0.0308
63,09/01/2018,SNAP Application Timeliness,0.9958
53,04/01/2018,Re-Engaged after Good Cause,1
13,03/01/2018,Reported Placements,120
40,04/01/2018,Fair Hearing Request Rate,0.0483
38,09/01/2018,SSN Validation,1
99,07/01/2018,Overdue Face To Face Recertifications,13
67,06/01/2018,Fair Hearing Affirmation Rate,0.479
79,08/01/2018,Fair Hearing Affirmation Rate,0.432
45,07/01/2018,Fair Hearing Request Rate,0.0425
66,09/01/2018,SNAP Separate Determination Rate,0.9963
54,06/01/2018,% Placements w/FIA3As (Employment Form),0.9773
40,06/01/2018,Same Day SNAP Issuance (weekly Avg),1
44,06/01/2018,Eligible & Referred to Appropriate Activities,0.9424
64,03/01/2018,Re-Engaged after Good Cause,0.9957
53,07/01/2018,% SI over 45 Days,0
40,05/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0.259
38,02/01/2018,% SI over 45 Days,0.0103
53,08/01/2018,Eligible & Referred to Appropriate Activities,0.9387
13,08/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
70,08/01/2018,Cases Budgeted Timely (35 days),0.875
70,09/01/2018,Missing or Outdated Employment Plan,1
63,08/01/2018,Missing or Outdated Employment Plan,0.9896
66,03/01/2018,Employed Cases with Current Documentation,0.9924
13,04/01/2018,Missing or Outdated Employment Plan,0.986
64,09/01/2018,Training Attendance Rate,0.963
54,05/01/2018,% SI over 45 Days,0
67,08/01/2018,Fair Hearing Withdrawal Rate,0.134
18,07/01/2018,Same Day SNAP Issuance (weekly Avg),1
67,06/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
45,06/01/2018,Spot Violation,0
44,06/01/2018,Re-Engaged after Good Cause,0.994
99,06/01/2018,SSN Validation,0.9583
45,05/01/2018,Fair Hearing Withdrawal Rate,0.093
70,09/01/2018,% Placements w/FIA3As (Employment Form),0.8936
44,06/01/2018,Cash Assistance Application Timeliness,0.9882
67,04/01/2018,Training Attendance Rate,0.9915
66,08/01/2018,SSN Validation,1
35,04/01/2018,% Placements w/FIA3As (Employment Form),0.869
46,04/01/2018,SNAP Application Timeliness,0.9911
45,08/01/2018,Spot Violation,0
79,09/01/2018,Overdue Face To Face Recertifications,0
54,05/01/2018,Cash Assistance Application Timeliness,0.9955
70,05/01/2018,Same Day SNAP Issuance (weekly Avg),1
67,07/01/2018,Cash Assistance Application Timeliness,0.9862
13,03/01/2018,Cases Budgeted Timely (35 days),1
18,03/01/2018,Re-Engaged after Good Cause,0.9829
44,09/01/2018,SSN Validation,1
18,04/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
38,08/01/2018,Cash Assistance Application Timeliness,0.9582
44,03/01/2018,Rate of Child Care in Child Care System,0.8636
38,07/01/2018,% SI over 45 Days,0.0171
18,05/01/2018,Cases Budgeted Timely (35 days),0.8889
44,03/01/2018,Overdue Face To Face Recertifications,1
40,05/01/2018,Re-Engaged after Good Cause,0.9898
53,04/01/2018,% Placements w/FIA3As (Employment Form),0.9412
54,04/01/2018,Reported Placements,254
47,04/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
66,09/01/2018,Training Attendance Rate,1
40,03/01/2018,Spot Violation,0
70,05/01/2018,Overdue Face To Face Recertifications,0
40,09/01/2018,Overdue Face To Face Recertifications,4
63,03/01/2018,Overdue Face To Face Recertifications,0
18,06/01/2018,% SI over 45 Days,0
47,06/01/2018,% SI over 45 Days,0
18,06/01/2018,Missing or Outdated Employment Plan,0.9667
46,02/01/2018,SNAP Separate Determination Rate,0.9937
45,03/01/2018,Fair Hearing Withdrawal Rate,0.137
38,03/01/2018,SSN Validation,0.9667
13,09/01/2018,SNAP Separate Determination Rate,0.9739
18,03/01/2018,Reported Placements,87
38,06/01/2018,Fair Hearing Affirmation Rate,0.475
38,05/01/2018,Cash Assistance Application Timeliness,0.9898
54,04/01/2018,Cases Budgeted Timely (35 days),1
13,05/01/2018,SSN Validation,0.9833
67,03/01/2018,Cash Assistance Application Timeliness,0.9784
18,04/01/2018,Employed Cases with Current Documentation,0.9091
35,06/01/2018,SNAP Application Timeliness,0.9825
54,07/01/2018,Re-Engaged after Good Cause,0.9793
40,09/01/2018,Spot Violation,0
18,07/01/2018,Fair Hearing Withdrawal Rate,0.058
13,03/01/2018,% SI over 45 Days,0
70,04/01/2018,Fair Hearing Withdrawal Rate,0.057
66,05/01/2018,% SI over 45 Days,0.102
44,04/01/2018,Cases Budgeted Timely (35 days),0.9403
70,07/01/2018,Missing or Outdated Employment Plan,0.9973
66,02/01/2018,% Placements w/FIA3As (Employment Form),0.9265
79,02/01/2018,Training Attendance Rate,1
45,06/01/2018,Overdue Face To Face Recertifications,39
47,03/01/2018,SNAP Separate Determination Rate,1
45,02/01/2018,Cash Assistance Application Timeliness,0.9345
70,02/01/2018,Fair Hearing Affirmation Rate,0.583
63,07/01/2018,SNAP Separate Determination Rate,0.9928
40,02/01/2018,SNAP Application Timeliness,0.947
23,09/01/2018,SSN Validation,0.9615
99,05/01/2018,Eligible & Referred to Appropriate Activities,0.9252
40,08/01/2018,Fair Hearing Withdrawal Rate,0.09
23,05/01/2018,Spot Violation,0
44,06/01/2018,SNAP Separate Determination Rate,0.9928
79,07/01/2018,SNAP Application Timeliness,0.9832
45,02/01/2018,Rate of Child Care in Child Care System,0.9434
64,04/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
44,07/01/2018,Training Attendance Rate,1
79,02/01/2018,Cases Budgeted Timely (35 days),0.7778
70,03/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
63,06/01/2018,Fair Hearing Affirmation Rate,0.525
18,03/01/2018,Overdue Face To Face Recertifications,0
67,02/01/2018,% Placements w/FIA3As (Employment Form),0.9315
53,06/01/2018,% SI over 45 Days,0
47,03/01/2018,SSN Validation,0.7778
45,03/01/2018,Fair Hearing Affirmation Rate,0.417
40,09/01/2018,Rate of Child Care in Child Care System,0.9219
45,06/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
18,09/01/2018,SNAP Separate Determination Rate,1
44,02/01/2018,Reported Placements,145
46,07/01/2018,Training Attendance Rate,0.9273
64,06/01/2018,Overdue Face To Face Recertifications,4
53,04/01/2018,Fair Hearing Withdrawal Rate,0.08
40,03/01/2018,Re-Engaged after Good Cause,0.9925
46,05/01/2018,SSN Validation,0.9091
67,03/01/2018,SNAP Separate Determination Rate,0.943
13,03/01/2018,% Placements w/FIA3As (Employment Form),0.9462
79,04/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
70,04/01/2018,Rate of Child Care in Child Care System,1
64,04/01/2018,Cash Assistance Application Timeliness,0.9765
67,02/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
54,07/01/2018,Eligible & Referred to Appropriate Activities,0.969
40,08/01/2018,Fair Hearing Affirmation Rate,0.288
53,09/01/2018,Eligible & Referred to Appropriate Activities,0.9259
13,04/01/2018,Cash Assistance Application Timeliness,0.9945
70,02/01/2018,Employed Cases with Current Documentation,0.8684
44,07/01/2018,Re-Engaged after Good Cause,0.9942
44,02/01/2018,Cash Assistance Application Timeliness,0.9968
35,05/01/2018,SSN Validation,1
18,09/01/2018,Fair Hearing Request Rate,0.0315
45,07/01/2018,Rate of Child Care in Child Care System,0.9273
54,09/01/2018,Fair Hearing Request Rate,0.0334
53,09/01/2018,% SI over 45 Days,0
66,04/01/2018,Training Attendance Rate,1
46,02/01/2018,Employed Cases with Current Documentation,0.7895
66,02/01/2018,Reported Placements,179
18,09/01/2018,Re-Engaged after Good Cause,0.9906
38,07/01/2018,SNAP Application Timeliness,0.9399
47,07/01/2018,Cases Budgeted Timely (35 days),1
13,08/01/2018,% SI over 45 Days,0.0381
44,05/01/2018,Missing or Outdated Employment Plan,0.9567
63,06/01/2018,Fair Hearing Withdrawal Rate,0.069
63,05/01/2018,Overdue Face To Face Recertifications,0
46,02/01/2018,Reported Placements,200
40,08/01/2018,Eligible & Referred to Appropriate Activities,0.9655
64,04/01/2018,Reported Placements,202
35,03/01/2018,Reported Placements,86
40,06/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0.17
63,07/01/2018,Missing or Outdated Employment Plan,0.9844
38,04/01/2018,Rate of Child Care in Child Care System,0.9038
64,09/01/2018,Fair Hearing Request Rate,0.0577
66,05/01/2018,Rate of Child Care in Child Care System,0.95
64,03/01/2018,Training Attendance Rate,0.9663
40,05/01/2018,Cash Assistance Application Timeliness,0.9645
99,07/01/2018,Eligible & Referred to Appropriate Activities,0.9831
18,05/01/2018,Eligible & Referred to Appropriate Activities,0.9643
44,09/01/2018,Fair Hearing Request Rate,0.0528
47,03/01/2018,Cases Budgeted Timely (35 days),1
47,07/01/2018,Rate of Child Care in Child Care System,0
23,04/01/2018,Cases Budgeted Timely (35 days),0.9706
18,04/01/2018,Training Attendance Rate,0.9722
54,08/01/2018,Re-Engaged after Good Cause,1
18,09/01/2018,% SI over 45 Days,0
23,09/01/2018,Eligible & Referred to Appropriate Activities,0.9503
70,08/01/2018,SNAP Separate Determination Rate,0.9459
66,07/01/2018,Fair Hearing Request Rate,0.0611
18,02/01/2018,Fair Hearing Request Rate,0.0326
18,05/01/2018,Training Attendance Rate,1
13,05/01/2018,SNAP Application Timeliness,0.9962
44,09/01/2018,Employed Cases with Current Documentation,0.9403
64,02/01/2018,% SI over 45 Days,0.0098
53,05/01/2018,Cases Budgeted Timely (35 days),0.9375
35,05/01/2018,Employed Cases with Current Documentation,0.7455
66,03/01/2018,Fair Hearing Withdrawal Rate,0.075
99,06/01/2018,Re-Engaged after Good Cause,0.9919
47,08/01/2018,Cash Assistance Application Timeliness,0.9718
64,09/01/2018,Overdue Face To Face Recertifications,4
13,09/01/2018,SSN Validation,0.9615
18,05/01/2018,% Placements w/FIA3As (Employment Form),0.9647
45,02/01/2018,Fair Hearing Affirmation Rate,0.25
45,05/01/2018,% Placements w/FIA3As (Employment Form),0.9451
38,03/01/2018,Fair Hearing Affirmation Rate,0.0493
35,09/01/2018,Eligible & Referred to Appropriate Activities,0.9721
63,09/01/2018,Reported Placements,90
38,05/01/2018,Training Attendance Rate,0.9604
44,04/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
99,03/01/2018,Spot Violation,0
63,07/01/2018,Cases Budgeted Timely (35 days),1
35,05/01/2018,Rate of Child Care in Child Care System,0.8125
44,04/01/2018,Training Attendance Rate,0.9891
53,03/01/2018,Employed Cases with Current Documentation,0.9571
40,02/01/2018,SSN Validation,0.9808
79,08/01/2018,% Placements w/FIA3As (Employment Form),0.96
54,07/01/2018,Overdue Face To Face Recertifications,0
66,02/01/2018,Cases Budgeted Timely (35 days),1
54,03/01/2018,Reported Placements,207
99,05/01/2018,% Placements w/FIA3As (Employment Form),0.9333
38,09/01/2018,Training Attendance Rate,0.913
63,08/01/2018,SSN Validation,1
35,08/01/2018,Re-Engaged after Good Cause,0.9896
67,06/01/2018,Fair Hearing Withdrawal Rate,0.096
47,05/01/2018,SSN Validation,0.8333
45,08/01/2018,Training Attendance Rate,1
46,04/01/2018,% Placements w/FIA3As (Employment Form),0.9315
67,08/01/2018,Cases Budgeted Timely (35 days),0.7284
70,07/01/2018,Rate of Child Care in Child Care System,0.9032
35,07/01/2018,Re-Engaged after Good Cause,0.9562
79,03/01/2018,Fair Hearing Withdrawal Rate,0.058
66,06/01/2018,% SI over 45 Days,0.0109
63,04/01/2018,SSN Validation,1
18,08/01/2018,Reported Placements,107
63,09/01/2018,Eligible & Referred to Appropriate Activities,1
66,08/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
99,04/01/2018,Training Attendance Rate,0.9074
40,04/01/2018,SNAP Application Timeliness,0.9799
70,02/01/2018,SSN Validation,0.9677
38,08/01/2018,SSN Validation,0.9615
54,04/01/2018,Cash Assistance Application Timeliness,0.991
67,08/01/2018,Fair Hearing Request Rate,0.0616
99,05/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
47,07/01/2018,SSN Validation,0.963
99,03/01/2018,Fair Hearing Affirmation Rate,0.273
54,08/01/2018,% SI over 45 Days,0
70,09/01/2018,Training Attendance Rate,0.9444
64,05/01/2018,Employed Cases with Current Documentation,0.9362
13,05/01/2018,Fair Hearing Request Rate,0.0316
46,04/01/2018,Training Attendance Rate,0.9127
54,02/01/2018,Employed Cases with Current Documentation,0.8981
67,07/01/2018,Re-Engaged after Good Cause,0.9871
13,08/01/2018,Re-Engaged after Good Cause,0.9765
44,06/01/2018,Fair Hearing Affirmation Rate,0.321
99,02/01/2018,Spot Violation,0
99,07/01/2018,% Placements w/FIA3As (Employment Form),0.9245
35,05/01/2018,Training Attendance Rate,1
99,08/01/2018,Employed Cases with Current Documentation,0.9063
99,02/01/2018,% SI over 45 Days,0
23,06/01/2018,SNAP Separate Determination Rate,0.9937
40,05/01/2018,% SI over 45 Days,0
47,06/01/2018,Re-Engaged after Good Cause,0.9231
64,09/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
64,04/01/2018,% Placements w/FIA3As (Employment Form),0.9625
46,06/01/2018,Eligible & Referred to Appropriate Activities,0.9755
63,02/01/2018,Overdue Face To Face Recertifications,0
53,08/01/2018,Missing or Outdated Employment Plan,0.9784
47,07/01/2018,Overdue Face To Face Recertifications,0
40,03/01/2018,SSN Validation,0.9615
40,06/01/2018,Cases Budgeted Timely (35 days),1
54,04/01/2018,SNAP Application Timeliness,0.9929
66,06/01/2018,Rate of Child Care in Child Care System,0.9067
66,05/01/2018,Fair Hearing Affirmation Rate,0.409
70,05/01/2018,Training Attendance Rate,0.9388
53,02/01/2018,Re-Engaged after Good Cause,0.9931
35,04/01/2018,Fair Hearing Affirmation Rate,0.412
47,08/01/2018,Fair Hearing Request Rate,0.0053
47,02/01/2018,Re-Engaged after Good Cause,1
54,09/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
18,09/01/2018,Reported Placements,95
64,07/01/2018,Fair Hearing Affirmation Rate,0.507
23,03/01/2018,Missing or Outdated Employment Plan,0.9449
45,06/01/2018,Missing or Outdated Employment Plan,0.9264
13,05/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
64,06/01/2018,Fair Hearing Withdrawal Rate,0.055
18,03/01/2018,SSN Validation,1
67,02/01/2018,Re-Engaged after Good Cause,0.996
18,05/01/2018,Spot Violation,0
54,06/01/2018,Training Attendance Rate,0.977
46,09/01/2018,SNAP Separate Determination Rate,0.9848
40,09/01/2018,Re-Engaged after Good Cause,0.9947
70,03/01/2018,Employed Cases with Current Documentation,0.8545
46,05/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0.2303
64,06/01/2018,Employed Cases with Current Documentation,0.8219
79,08/01/2018,Cash Assistance Application Timeliness,0.981
45,09/01/2018,Eligible & Referred to Appropriate Activities,0.9451
44,04/01/2018,Re-Engaged after Good Cause,0.9946
35,06/01/2018,Re-Engaged after Good Cause,0.9845
67,04/01/2018,SNAP Separate Determination Rate,0.9823
13,05/01/2018,Training Attendance Rate,0.9859
64,07/01/2018,Missing or Outdated Employment Plan,0.9843
99,07/01/2018,Reported Placements,74
46,07/01/2018,Eligible & Referred to Appropriate Activities,0.979
79,06/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
13,02/01/2018,Fair Hearing Affirmation Rate,0.536
70,09/01/2018,SNAP Separate Determination Rate,1
23,04/01/2018,Fair Hearing Request Rate,0.0478
46,12/01/2018,Spot Violation,0
18,08/01/2018,Missing or Outdated Employment Plan,0.9502
40,03/01/2018,% SI over 45 Days,0
38,03/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
38,09/01/2018,% Placements w/FIA3As (Employment Form),0.9348
45,05/01/2018,Missing or Outdated Employment Plan,0.948
23,03/01/2018,Reported Placements,67
46,04/01/2018,% SI over 45 Days,0.0351
35,09/01/2018,SSN Validation,1
46,06/01/2018,SSN Validation,0.9388
63,02/01/2018,SSN Validation,0.9828
13,04/01/2018,Fair Hearing Affirmation Rate,0.543
46,03/01/2018,Spot Violation,0
45,03/01/2018,SNAP Separate Determination Rate,0.9589
38,09/01/2018,Spot Violation,0
45,08/01/2018,Employed Cases with Current Documentation,0.8841
66,02/01/2018,SNAP Application Timeliness,0.9959
45,08/01/2018,% Placements w/FIA3As (Employment Form),0.9032
45,06/01/2018,SSN Validation,0.9583
79,02/01/2018,Missing or Outdated Employment Plan,0.9456
45,09/01/2018,Rate of Child Care in Child Care System,0.9737
47,06/01/2018,Employed Cases with Current Documentation,0.625
40,05/01/2018,Fair Hearing Affirmation Rate,0.407
67,05/01/2018,SSN Validation,0.9556
66,03/01/2018,SNAP (EQAS) Payment Error Rate (FFY),0
13,07/01/2018,Eligible & Referred to Appropriate Activities,0.9707
18,02/01/2018,Cash Assistance Application Timeliness,0.9807
53,04/01/2018,Spot Violation,0
46,07/01/2018,Same Day SNAP Issuance (weekly Avg),0.9889
67,04/01/2018,% Placements w/FIA3As (Employment Form),0.9053
44,03/01/2018,Training Attendance Rate,1
54,09/01/2018,Re-Engaged after Good Cause,0.9894
46,04/01/2018,Employed Cases with Current Documentation,0.8601
46,08/01/2018,Eligible & Referred to Appropriate Activities,0.9602
18,03/01/2018,Same Day SNAP Issuance (weekly Avg),0.9742
70,08/01/2018,Fair Hearing Withdrawal Rate,0.069
66,05/01/2018,Missing or Outdated Employment Plan,0.9748
70,06/01/2018,Training Attendance Rate,0.9792
54,04/01/2018,Spot Violation,0
38,02/01/2018,% Placements w/FIA3As (Employment Form),0.9153
35,03/01/2018,Same Day SNAP Issuance (weekly Avg),0.9809
47,02/01/2018,Spot Violation,0
38,03/01/2018,Fair Hearing Withdrawal Rate,0.083
23,02/01/2018,% Placements w/FIA3As (Employment Form),0.9483
64,03/01/2018,Fair Hearing Affirmation Rate,0.519
45,07/01/2018,Spot Violation,0
23,09/01/2018,% Placements w/FIA3As (Employment Form),0.9423
67,03/01/2018,Eligible & Referred to Appropriate Activities,0.9794
38,02/01/2018,Rate of Child Care in Child Care System,0.8636
53,03/01/2018,Cases Budgeted Timely (35 days),0.9385
47,07/01/2018,Cash Assistance Application Timeliness,1
64,08/01/2018,% Placements w/FIA3As (Employment Form),0.9524
63,02/01/2018,% Placements w/FIA3As (Employment Form),0.954
66,03/01/2018,Eligible & Referred to Appropriate Activities,0.9614
79,04/01/2018,SNAP Separate Determination Rate,0.9919
23,09/01/2018,Employed Cases with Current Documentation,0.9111
44,09/01/2018,Fair Hearing Affirmation Rate,0.462
44,04/01/2018,Missing or Outdated Employment Plan,0.9571
66,05/01/2018,Reported Placements,190
64,04/01/2018,Training Attendance Rate,0.9794
40,03/01/2018,Fair Hearing Request Rate,0.0457
99,03/01/2018,Eligible & Referred to Appropriate Activities,0.9683
64,02/01/2018,Missing or Outdated Employment Plan,0.9765
44,09/01/2018,Training Attendance Rate,0.8734
99,04/01/2018,Rate of Child Care in Child Care System,0.9444
46,03/01/2018,Same Day SNAP Issuance (weekly Avg),0.979
