State,Year,Sex,Age Group,Race and Hispanic Origin,Deaths,Population,Crude Death Rate,Standard Error for Crude Rate,Low Confidence Limit for Crude Rate,Upper Confidence Limit for Crude Rate,Age-adjusted Rate,Standard Error Age-adjusted Rate,Lower Confidence Limit for Age-adjusted Rate,Upper Confidence for Age-adjusted Rate,State Crude Rate in Range,US Crude Rate,US Age-adjusted Rate,Unit
Missouri,2005,Both Sexes,All Ages,All Races-All Origins,608,5790300,10.5003,0.42584,9.6657,11.335,10.6714,0.43555,9.8177,11.525,10.5–12.8,10.0884,10.0699,"per 100,000 population"
Missouri,2006,Both Sexes,All Ages,All Races-All Origins,743,5842704,12.7167,0.46653,11.8023,13.6311,12.9502,0.47841,12.0125,13.8879,12.8–16.7,11.5373,11.4883,"per 100,000 population"
Missouri,2007,Both Sexes,All Ages,All Races-All Origins,714,5887612,12.1272,0.45385,11.2376,13.0167,12.2524,0.46296,11.345,13.1598,10.5–12.8,11.9543,11.8775,"per 100,000 population"
Missouri,2008,Both Sexes,All Ages,All Races-All Origins,765,5923916,12.9138,0.4669,11.9986,13.8289,13.1468,0.48083,12.2043,14.0892,12.8–16.7,11.9864,11.8947,"per 100,000 population"
Missouri,2009,Both Sexes,All Ages,All Races-All Origins,863,5961088,14.4772,0.49281,13.5113,15.4431,14.6489,0.50539,13.6583,15.6394,12.8–16.7,12.0624,11.9388,"per 100,000 population"
Missouri,2010,Both Sexes,All Ages,All Races-All Origins,998,5988927,16.6641,0.52749,15.6302,17.698,17.0351,0.54823,15.9606,18.1096,16.7–57.8,12.4144,12.2966,"per 100,000 population"
Missouri,2011,Both Sexes,All Ages,All Races-All Origins,963,6010688,16.0215,0.51628,15.0095,17.0334,16.4063,0.53806,15.3517,17.4609,12.8–16.7,13.2674,13.1852,"per 100,000 population"
Missouri,2012,Both Sexes,All Ages,All Races-All Origins,942,6021988,15.6427,0.50967,14.6437,16.6416,16.1656,0.53654,15.1139,17.2172,12.8–16.7,13.2208,13.1422,"per 100,000 population"
Missouri,2013,Both Sexes,All Ages,All Races-All Origins,1025,6044171,16.9585,0.52969,15.9203,17.9967,17.4929,0.55825,16.3987,18.5871,16.7–57.8,13.9127,13.8005,"per 100,000 population"
Missouri,2014,Both Sexes,All Ages,All Races-All Origins,1067,6063589,17.5968,0.53871,16.541,18.6527,18.2146,0.56857,17.1002,19.329,16.7–57.8,14.7574,14.6831,"per 100,000 population"
Missouri,2015,Both Sexes,All Ages,All Races-All Origins,1066,6083672,17.5223,0.53668,16.4704,18.5742,17.8941,0.56043,16.7956,18.9925,16.7–57.8,16.304,16.2923,"per 100,000 population"
Missouri,2016,Both Sexes,All Ages,All Races-All Origins,1371,6093000,22.5012,0.6077,21.3101,23.6923,23.6436,0.6529,22.3639,24.9233,16.7–57.8,19.6925,19.7851,"per 100,000 population"
Missouri,2017,Both Sexes,All Ages,All Races-All Origins,1367,6113532,22.3602,0.60477,21.1749,23.5456,23.365,0.64708,22.0967,24.6333,16.7–57.8,21.5637,21.7048,"per 100,000 population"
Montana,1999,Both Sexes,All Ages,All Races-All Origins,41,897511,4.5682,0.71343,3.2782,6.1973,4.5828,0.71953,3.2887,6.2171,1.8–7.2,6.0382,6.057,"per 100,000 population"
Montana,2000,Both Sexes,All Ages,All Races-All Origins,41,902195,4.5445,0.70973,3.2612,6.1651,4.5396,0.71148,3.2577,6.1585,1.8–7.2,6.1882,6.1749,"per 100,000 population"
Montana,2001,Both Sexes,All Ages,All Races-All Origins,56,906961,6.1745,0.8251,4.6641,8.0181,6.2322,0.83884,4.695,8.1121,1.8–7.2,6.8057,6.7922,"per 100,000 population"
Montana,2002,Both Sexes,All Ages,All Races-All Origins,78,911667,8.5558,0.96875,6.763,10.678,8.6633,0.99024,6.8369,10.8276,7.2–10.5,8.1766,8.1957,"per 100,000 population"
Montana,2003,Both Sexes,All Ages,All Races-All Origins,93,919630,10.1128,1.04864,8.1623,12.3888,10.5536,1.10798,8.4971,12.9575,10.5–12.8,8.8881,8.8765,"per 100,000 population"
Montana,2004,Both Sexes,All Ages,All Races-All Origins,98,930009,10.5375,1.06445,8.5549,12.8419,10.9153,1.11863,8.8311,13.3434,10.5–12.8,9.366,9.3831,"per 100,000 population"
Montana,2005,Both Sexes,All Ages,All Races-All Origins,96,940102,10.2117,1.04222,8.2715,12.4702,10.1205,1.0537,8.1586,12.412,7.2–10.5,10.0884,10.0699,"per 100,000 population"
Montana,2006,Both Sexes,All Ages,All Races-All Origins,97,952692,10.1817,1.03379,8.2567,12.4208,10.2454,1.06117,8.2694,12.5513,7.2–10.5,11.5373,11.4883,"per 100,000 population"
Montana,2007,Both Sexes,All Ages,All Races-All Origins,125,964706,12.9573,1.15894,10.6858,15.2288,12.7584,1.16717,10.4707,15.046,10.5–12.8,11.9543,11.8775,"per 100,000 population"
Montana,2008,Both Sexes,All Ages,All Races-All Origins,134,976415,13.7237,1.18554,11.4,16.0473,14.0723,1.24771,11.6268,16.5178,12.8–16.7,11.9864,11.8947,"per 100,000 population"
Montana,2009,Both Sexes,All Ages,All Races-All Origins,142,983982,14.4312,1.21104,12.0575,16.8048,14.6404,1.26219,12.1665,17.1143,12.8–16.7,12.0624,11.9388,"per 100,000 population"
Montana,2010,Both Sexes,All Ages,All Races-All Origins,118,989415,11.9262,1.0979,9.7744,14.0781,12.8808,1.22305,10.4836,15.278,12.8–16.7,12.4144,12.2966,"per 100,000 population"
Montana,2011,Both Sexes,All Ages,All Races-All Origins,141,998199,14.1254,1.18958,11.7939,16.457,14.3899,1.2601,11.9201,16.8597,12.8–16.7,13.2674,13.1852,"per 100,000 population"
Montana,2012,Both Sexes,All Ages,All Races-All Origins,118,1005141,11.7396,1.08072,9.6214,13.8579,11.9145,1.12719,9.7052,14.1238,10.5–12.8,13.2208,13.1422,"per 100,000 population"
Montana,2013,Both Sexes,All Ages,All Races-All Origins,137,1015165,13.4953,1.15298,11.2355,15.7552,14.4557,1.27066,11.9652,16.9462,12.8–16.7,13.9127,13.8005,"per 100,000 population"
Montana,2014,Both Sexes,All Ages,All Races-All Origins,125,1023579,12.2121,1.09228,10.0712,14.3529,12.3826,1.15558,10.1177,14.6476,10.5–12.8,14.7574,14.6831,"per 100,000 population"
Montana,2015,Both Sexes,All Ages,All Races-All Origins,138,1032949,13.3598,1.13726,11.1308,15.5888,13.8332,1.22011,11.4417,16.2246,12.8–16.7,16.304,16.2923,"per 100,000 population"
Montana,2016,Both Sexes,All Ages,All Races-All Origins,119,1042520,11.4146,1.04638,9.3637,13.4656,11.6662,1.11139,9.4879,13.8445,10.5–12.8,19.6925,19.7851,"per 100,000 population"
Montana,2017,Both Sexes,All Ages,All Races-All Origins,119,1050493,11.328,1.03844,9.2927,13.3634,11.6682,1.1105,9.4916,13.8448,10.5–12.8,21.5637,21.7048,"per 100,000 population"
Nebraska,1999,Both Sexes,All Ages,All Races-All Origins,39,1704765,2.2877,0.36633,1.6268,3.1274,2.3386,0.37505,1.663,3.1969,1.8–7.2,6.0382,6.057,"per 100,000 population"
Nebraska,2000,Both Sexes,All Ages,All Races-All Origins,46,1711263,2.6881,0.39633,1.968,3.5855,2.7515,0.40593,2.0144,3.6701,1.8–7.2,6.1882,6.1749,"per 100,000 population"
Nebraska,2001,Both Sexes,All Ages,All Races-All Origins,66,1719836,3.8376,0.47237,2.968,4.8823,3.9472,0.48664,3.0528,5.0218,1.8–7.2,6.8057,6.7922,"per 100,000 population"
Nebraska,2002,Both Sexes,All Ages,All Races-All Origins,66,1728292,3.8188,0.47006,2.9535,4.8584,3.9426,0.48645,3.0492,5.016,1.8–7.2,8.1766,8.1957,"per 100,000 population"
Nebraska,2003,Both Sexes,All Ages,All Races-All Origins,55,1738643,3.1634,0.42655,2.3831,4.1176,3.2198,0.43611,2.4256,4.191,1.8–7.2,8.8881,8.8765,"per 100,000 population"
Nebraska,2004,Both Sexes,All Ages,All Races-All Origins,59,1749370,3.3726,0.43908,2.5674,4.3505,3.5566,0.46508,2.7006,4.5977,1.8–7.2,9.366,9.3831,"per 100,000 population"
Nebraska,2005,Both Sexes,All Ages,All Races-All Origins,86,1761497,4.8822,0.52646,3.9051,6.0295,5.023,0.54581,4.0122,6.211,1.8–7.2,10.0884,10.0699,"per 100,000 population"
Nebraska,2006,Both Sexes,All Ages,All Races-All Origins,91,1772693,5.1334,0.53813,4.1331,6.3027,5.376,0.56858,4.3173,6.6156,1.8–7.2,11.5373,11.4883,"per 100,000 population"
Nebraska,2007,Both Sexes,All Ages,All Races-All Origins,80,1783440,4.4857,0.50152,3.5569,5.5829,4.7707,0.53951,3.771,5.954,1.8–7.2,11.9543,11.8775,"per 100,000 population"
Nebraska,2008,Both Sexes,All Ages,All Races-All Origins,94,1796378,5.2328,0.53972,4.2286,6.4036,5.4608,0.57195,4.3967,6.7046,1.8–7.2,11.9864,11.8947,"per 100,000 population"
Nebraska,2009,Both Sexes,All Ages,All Races-All Origins,106,1812683,5.8477,0.56798,4.7344,6.9609,5.9086,0.58354,4.7648,7.0523,1.8–7.2,12.0624,11.9388,"per 100,000 population"
Nebraska,2010,Both Sexes,All Ages,All Races-All Origins,117,1826341,6.4063,0.59226,5.2454,7.5671,6.674,0.62846,5.4422,7.9058,1.8–7.2,12.4144,12.2966,"per 100,000 population"
Nebraska,2011,Both Sexes,All Ages,All Races-All Origins,129,1842641,7.0008,0.61639,5.7927,8.2089,7.125,0.63984,5.8709,8.3791,1.8–7.2,13.2674,13.1852,"per 100,000 population"
Nebraska,2012,Both Sexes,All Ages,All Races-All Origins,146,1855525,7.8684,0.65119,6.5921,9.1447,7.9099,0.66895,6.5988,9.2211,7.2–10.5,13.2208,13.1422,"per 100,000 population"
Nebraska,2013,Both Sexes,All Ages,All Races-All Origins,117,1868516,6.2617,0.57889,5.127,7.3963,6.471,0.61228,5.2709,7.671,1.8–7.2,13.9127,13.8005,"per 100,000 population"
Nebraska,2014,Both Sexes,All Ages,All Races-All Origins,125,1881503,6.6436,0.59422,5.4789,7.8083,7.1853,0.65469,5.9022,8.4685,1.8–7.2,14.7574,14.6831,"per 100,000 population"
Nebraska,2015,Both Sexes,All Ages,All Races-All Origins,126,1896190,6.6449,0.59198,5.4846,7.8052,6.9455,0.63278,5.7052,8.1857,1.8–7.2,16.304,16.2923,"per 100,000 population"
Nebraska,2016,Both Sexes,All Ages,All Races-All Origins,120,1907116,6.2922,0.5744,5.1664,7.418,6.4436,0.60236,5.2629,7.6242,1.8–7.2,19.6925,19.7851,"per 100,000 population"
Nebraska,2017,Both Sexes,All Ages,All Races-All Origins,152,1920076,7.9164,0.6421,6.6578,9.1749,8.1221,0.67354,6.802,9.4422,7.2–10.5,21.5637,21.7048,"per 100,000 population"
Nevada,1999,Both Sexes,All Ages,All Races-All Origins,227,1934719,11.733,0.77874,10.2066,13.2593,11.5425,0.76977,10.0338,13.0513,10.5–12.8,6.0382,6.057,"per 100,000 population"
Nevada,2000,Both Sexes,All Ages,All Races-All Origins,273,1998257,13.6619,0.82686,12.0413,15.2825,13.6831,0.83366,12.0491,15.3171,12.8–16.7,6.1882,6.1749,"per 100,000 population"
Nevada,2001,Both Sexes,All Ages,All Races-All Origins,261,2098399,12.4381,0.7699,10.9291,13.9471,12.2689,0.76309,10.7732,13.7645,10.5–12.8,6.8057,6.7922,"per 100,000 population"
Nevada,2002,Both Sexes,All Ages,All Races-All Origins,323,2173791,14.8588,0.82677,13.2384,16.4793,14.75,0.82407,13.1348,16.3652,12.8–16.7,8.1766,8.1957,"per 100,000 population"
Nevada,2003,Both Sexes,All Ages,All Races-All Origins,342,2248850,15.2078,0.82234,13.596,16.8196,15.1916,0.82564,13.5734,16.8099,12.8–16.7,8.8881,8.8765,"per 100,000 population"
Nevada,2004,Both Sexes,All Ages,All Races-All Origins,380,2346222,16.1963,0.83085,14.5678,17.8247,16.031,0.82531,14.4134,17.6486,12.8–16.7,9.366,9.3831,"per 100,000 population"
Nevada,2005,Both Sexes,All Ages,All Races-All Origins,457,2432143,18.79,0.87896,17.0673,20.5128,18.6618,0.87762,16.9416,20.3819,16.7–57.8,10.0884,10.0699,"per 100,000 population"
Nevada,2006,Both Sexes,All Ages,All Races-All Origins,461,2522658,18.2744,0.85112,16.6062,19.9426,17.971,0.84158,16.3215,19.6205,16.7–57.8,11.5373,11.4883,"per 100,000 population"
Nevada,2007,Both Sexes,All Ages,All Races-All Origins,499,2601072,19.1844,0.85881,17.5011,20.8677,18.8504,0.84923,17.1859,20.5149,16.7–57.8,11.9543,11.8775,"per 100,000 population"
Nevada,2008,Both Sexes,All Ages,All Races-All Origins,519,2653630,19.5581,0.85851,17.8754,21.2408,19.1846,0.84771,17.5231,20.8461,16.7–57.8,11.9864,11.8947,"per 100,000 population"
Nevada,2009,Both Sexes,All Ages,All Races-All Origins,550,2684665,20.4867,0.87356,18.7746,22.1989,20.0629,0.86278,18.3719,21.754,16.7–57.8,12.0624,11.9388,"per 100,000 population"
Nevada,2010,Both Sexes,All Ages,All Races-All Origins,578,2700551,21.403,0.89025,19.6582,23.1479,20.7343,0.87129,19.0265,22.442,16.7–57.8,12.4144,12.2966,"per 100,000 population"
Nevada,2011,Both Sexes,All Ages,All Races-All Origins,639,2723322,23.464,0.92822,21.6447,25.2833,22.839,0.91347,21.0486,24.6294,16.7–57.8,13.2674,13.1852,"per 100,000 population"
Nevada,2012,Both Sexes,All Ages,All Races-All Origins,602,2758931,21.82,0.88932,20.077,23.5631,20.962,0.86501,19.2666,22.6574,16.7–57.8,13.2208,13.1422,"per 100,000 population"
Nevada,2013,Both Sexes,All Ages,All Races-All Origins,614,2790136,22.0061,0.88809,20.2654,23.7468,21.1188,0.86387,19.4256,22.812,16.7–57.8,13.9127,13.8005,"per 100,000 population"
Nevada,2014,Both Sexes,All Ages,All Races-All Origins,545,2839099,19.1962,0.82228,17.5846,20.8079,18.4096,0.80075,16.8401,19.9791,16.7–57.8,14.7574,14.6831,"per 100,000 population"
Nevada,2015,Both Sexes,All Ages,All Races-All Origins,619,2890845,21.4124,0.86064,19.7256,23.0993,20.3662,0.83312,18.7333,21.9991,16.7–57.8,16.304,16.2923,"per 100,000 population"
Nevada,2016,Both Sexes,All Ages,All Races-All Origins,665,2940058,22.6186,0.87711,20.8995,24.3377,21.6704,0.85656,19.9915,23.3492,16.7–57.8,19.6925,19.7851,"per 100,000 population"
Nevada,2017,Both Sexes,All Ages,All Races-All Origins,676,2998039,22.5481,0.86723,20.8483,24.2479,21.5756,0.8475,19.9146,23.2367,16.7–57.8,21.5637,21.7048,"per 100,000 population"
New Hampshire,1999,Both Sexes,All Ages,All Races-All Origins,54,1222015,4.4189,0.60134,3.3196,5.7657,4.2753,0.58323,3.2117,5.5783,1.8–7.2,6.0382,6.057,"per 100,000 population"
New Hampshire,2000,Both Sexes,All Ages,All Races-All Origins,45,1235786,3.6414,0.54283,2.6561,4.8725,3.4259,0.51201,2.4989,4.5841,1.8–7.2,6.1882,6.1749,"per 100,000 population"
New Hampshire,2001,Both Sexes,All Ages,All Races-All Origins,79,1255517,6.2922,0.70793,4.9816,7.842,6.0784,0.68636,4.8047,7.5861,1.8–7.2,6.8057,6.7922,"per 100,000 population"
New Hampshire,2002,Both Sexes,All Ages,All Races-All Origins,111,1269089,8.7464,0.83017,7.1193,10.3736,8.6655,0.82604,7.0464,10.2845,7.2–10.5,8.1766,8.1957,"per 100,000 population"
New Hampshire,2003,Both Sexes,All Ages,All Races-All Origins,127,1279840,9.9231,0.88053,8.1973,11.649,9.5299,0.85054,7.8629,11.197,7.2–10.5,8.8881,8.8765,"per 100,000 population"
New Hampshire,2004,Both Sexes,All Ages,All Races-All Origins,124,1290121,9.6115,0.86314,7.9198,11.3033,9.5546,0.86389,7.8614,11.2479,7.2–10.5,9.366,9.3831,"per 100,000 population"
New Hampshire,2005,Both Sexes,All Ages,All Races-All Origins,142,1298492,10.9358,0.91771,9.1371,12.7345,10.6508,0.90139,8.8841,12.4175,10.5–12.8,10.0884,10.0699,"per 100,000 population"
New Hampshire,2006,Both Sexes,All Ages,All Races-All Origins,149,1308389,11.3881,0.93295,9.5595,13.2166,11.2345,0.9302,9.4113,13.0577,10.5–12.8,11.5373,11.4883,"per 100,000 population"
New Hampshire,2007,Both Sexes,All Ages,All Races-All Origins,186,1312540,14.171,1.03907,12.1344,16.2076,13.8113,1.02883,11.7948,15.8279,12.8–16.7,11.9543,11.8775,"per 100,000 population"
New Hampshire,2008,Both Sexes,All Ages,All Races-All Origins,126,1315906,9.5752,0.85302,7.9032,11.2471,9.3666,0.85054,7.6996,11.0337,7.2–10.5,11.9864,11.8947,"per 100,000 population"
New Hampshire,2009,Both Sexes,All Ages,All Races-All Origins,168,1316102,12.765,0.98484,10.8347,14.6953,12.4778,0.986,10.5452,14.4103,10.5–12.8,12.0624,11.9388,"per 100,000 population"
New Hampshire,2010,Both Sexes,All Ages,All Races-All Origins,160,1316470,12.1537,0.96084,10.2705,14.037,11.8137,0.95936,9.9333,13.6941,10.5–12.8,12.4144,12.2966,"per 100,000 population"
New Hampshire,2011,Both Sexes,All Ages,All Races-All Origins,210,1318194,15.9309,1.09934,13.7762,18.0856,15.3496,1.09359,13.2062,17.4931,12.8–16.7,13.2674,13.1852,"per 100,000 population"
New Hampshire,2012,Both Sexes,All Ages,All Races-All Origins,173,1320718,13.0989,0.99589,11.147,15.0509,13.3933,1.04369,11.3477,15.4389,12.8–16.7,13.2208,13.1422,"per 100,000 population"
New Hampshire,2013,Both Sexes,All Ages,All Races-All Origins,203,1323459,15.3386,1.07656,13.2285,17.4486,15.0864,1.09327,12.9436,17.2292,12.8–16.7,13.9127,13.8005,"per 100,000 population"
New Hampshire,2014,Both Sexes,All Ages,All Races-All Origins,334,1326813,25.1731,1.37741,22.4734,27.8728,26.2125,1.47516,23.3212,29.1038,16.7–57.8,14.7574,14.6831,"per 100,000 population"
New Hampshire,2015,Both Sexes,All Ages,All Races-All Origins,422,1330608,31.7148,1.54385,28.6889,34.7408,34.3196,1.71552,30.9571,37.682,16.7–57.8,16.304,16.2923,"per 100,000 population"
New Hampshire,2016,Both Sexes,All Ages,All Races-All Origins,481,1334795,36.0355,1.64308,32.8151,39.2559,38.9902,1.82691,35.4095,42.571,16.7–57.8,19.6925,19.7851,"per 100,000 population"
New Hampshire,2017,Both Sexes,All Ages,All Races-All Origins,467,1342795,34.7782,1.60934,31.6239,37.9325,36.9559,1.76194,33.5025,40.4094,16.7–57.8,21.5637,21.7048,"per 100,000 population"
New Jersey,1999,Both Sexes,All Ages,All Races-All Origins,557,8359593,6.663,0.28232,6.1097,7.2164,6.5027,0.27628,5.9611,7.0442,1.8–7.2,6.0382,6.057,"per 100,000 population"
New Jersey,2000,Both Sexes,All Ages,All Races-All Origins,643,8414350,7.6417,0.30136,7.051,8.2324,7.5388,0.29801,6.9547,8.1229,7.2–10.5,6.1882,6.1749,"per 100,000 population"
New Jersey,2001,Both Sexes,All Ages,All Races-All Origins,705,8492671,8.3013,0.31264,7.6885,8.9141,8.1382,0.30699,7.5365,8.7399,7.2–10.5,6.8057,6.7922,"per 100,000 population"
New Jersey,2002,Both Sexes,All Ages,All Races-All Origins,813,8552643,9.5058,0.33338,8.8524,10.1593,9.3301,0.32785,8.6875,9.9726,7.2–10.5,8.1766,8.1957,"per 100,000 population"
New Jersey,2003,Both Sexes,All Ages,All Races-All Origins,721,8601402,8.3824,0.31218,7.7705,8.9942,8.2881,0.30922,7.6821,8.8942,7.2–10.5,8.8881,8.8765,"per 100,000 population"
New Jersey,2004,Both Sexes,All Ages,All Races-All Origins,590,8634561,6.833,0.28131,6.2816,7.3844,6.7748,0.27965,6.2267,7.3229,1.8–7.2,9.366,9.3831,"per 100,000 population"
New Jersey,2005,Both Sexes,All Ages,All Races-All Origins,823,8651974,9.5123,0.33158,8.8624,10.1622,9.4132,0.32926,8.7679,10.0586,7.2–10.5,10.0884,10.0699,"per 100,000 population"
New Jersey,2006,Both Sexes,All Ages,All Races-All Origins,847,8661679,9.7787,0.336,9.1201,10.4373,9.6644,0.33392,9.01,10.3189,7.2–10.5,11.5373,11.4883,"per 100,000 population"
New Jersey,2007,Both Sexes,All Ages,All Races-All Origins,727,8677885,8.3776,0.31071,7.7686,8.9866,8.3715,0.31219,7.7596,8.9834,7.2–10.5,11.9543,11.8775,"per 100,000 population"
New Jersey,2008,Both Sexes,All Ages,All Races-All Origins,702,8711090,8.0587,0.30416,7.4625,8.6548,7.9673,0.30286,7.3737,8.5609,7.2–10.5,11.9864,11.8947,"per 100,000 population"
New Jersey,2009,Both Sexes,All Ages,All Races-All Origins,263,8755602,3.0038,0.18522,2.6408,3.3668,2.9967,0.18614,2.6319,3.3615,1.8–7.2,12.0624,11.9388,"per 100,000 population"
New Jersey,2010,Both Sexes,All Ages,All Races-All Origins,868,8791894,9.8727,0.3351,9.2159,10.5295,9.7672,0.33505,9.1105,10.4239,7.2–10.5,12.4144,12.2966,"per 100,000 population"
New Jersey,2011,Both Sexes,All Ages,All Races-All Origins,1012,8821155,11.4724,0.36063,10.7656,12.1793,11.306,0.36022,10.6,12.0121,10.5–12.8,13.2674,13.1852,"per 100,000 population"
New Jersey,2012,Both Sexes,All Ages,All Races-All Origins,1222,8864590,13.7852,0.39435,13.0123,14.5581,13.7399,0.39822,12.9593,14.5204,12.8–16.7,13.2208,13.1422,"per 100,000 population"
New Jersey,2013,Both Sexes,All Ages,All Races-All Origins,1294,8899339,14.5404,0.40421,13.7481,15.3327,14.4943,0.40854,13.6936,15.295,12.8–16.7,13.9127,13.8005,"per 100,000 population"
New Jersey,2014,Both Sexes,All Ages,All Races-All Origins,1253,8938175,14.0185,0.39603,13.2423,14.7947,14.0172,0.40195,13.2294,14.8051,12.8–16.7,14.7574,14.6831,"per 100,000 population"
New Jersey,2015,Both Sexes,All Ages,All Races-All Origins,1454,8958013,16.2313,0.42567,15.397,17.0656,16.3351,0.43537,15.4817,17.1884,12.8–16.7,16.304,16.2923,"per 100,000 population"
New Jersey,2016,Both Sexes,All Ages,All Races-All Origins,2056,8944469,22.9863,0.50694,21.9927,23.9799,23.2077,0.52045,22.1876,24.2278,16.7–57.8,19.6925,19.7851,"per 100,000 population"
New Jersey,2017,Both Sexes,All Ages,All Races-All Origins,2685,9005644,29.8146,0.57538,28.6869,30.9424,30.0014,0.59007,28.8449,31.1579,16.7–57.8,21.5637,21.7048,"per 100,000 population"
New Mexico,1999,Both Sexes,All Ages,All Races-All Origins,266,1808082,14.7117,0.90203,12.9437,16.4797,15.0102,0.92415,13.1989,16.8216,12.8–16.7,6.0382,6.057,"per 100,000 population"
New Mexico,2000,Both Sexes,All Ages,All Races-All Origins,271,1819046,14.8979,0.90498,13.1242,16.6717,15.1327,0.92353,13.3225,16.9428,12.8–16.7,6.1882,6.1749,"per 100,000 population"
New Mexico,2001,Both Sexes,All Ages,All Races-All Origins,258,1831690,14.0854,0.87692,12.3666,15.8041,14.3563,0.89702,12.5982,16.1145,12.8–16.7,6.8057,6.7922,"per 100,000 population"
New Mexico,2002,Both Sexes,All Ages,All Races-All Origins,287,1855309,15.4691,0.91311,13.6794,17.2588,16.1031,0.95312,14.235,17.9712,12.8–16.7,8.1766,8.1957,"per 100,000 population"
New Mexico,2003,Both Sexes,All Ages,All Races-All Origins,358,1877574,19.0672,1.00773,17.092,21.0423,19.7372,1.04924,17.6807,21.7937,16.7–57.8,8.8881,8.8765,"per 100,000 population"
New Mexico,2004,Both Sexes,All Ages,All Races-All Origins,314,1903808,16.4933,0.93077,14.669,18.3176,16.942,0.96229,15.0559,18.8281,16.7–57.8,9.366,9.3831,"per 100,000 population"
New Mexico,2005,Both Sexes,All Ages,All Races-All Origins,373,1932274,19.3037,0.99951,17.3446,21.2627,20.0844,1.04806,18.0302,22.1386,16.7–57.8,10.0884,10.0699,"per 100,000 population"
New Mexico,2006,Both Sexes,All Ages,All Races-All Origins,418,1962137,21.3033,1.04198,19.261,23.3456,21.756,1.07591,19.6472,23.8648,16.7–57.8,11.5373,11.4883,"per 100,000 population"
New Mexico,2007,Both Sexes,All Ages,All Races-All Origins,462,1990070,23.2153,1.08007,21.0983,25.3322,23.3884,1.1018,21.2289,25.5479,16.7–57.8,11.9543,11.8775,"per 100,000 population"
New Mexico,2008,Both Sexes,All Ages,All Races-All Origins,518,2010662,25.7627,1.13195,23.544,27.9813,26.6852,1.18976,24.3533,29.0172,16.7–57.8,11.9864,11.8947,"per 100,000 population"
New Mexico,2009,Both Sexes,All Ages,All Races-All Origins,438,2036802,21.5043,1.02752,19.4904,23.5182,22.0362,1.07173,19.9356,24.1368,16.7–57.8,12.0624,11.9388,"per 100,000 population"
New Mexico,2010,Both Sexes,All Ages,All Races-All Origins,478,2059179,23.2131,1.06174,21.1321,25.2942,23.8186,1.11115,21.6408,25.9965,16.7–57.8,12.4144,12.2966,"per 100,000 population"
New Mexico,2011,Both Sexes,All Ages,All Races-All Origins,529,2082224,25.4055,1.10459,23.2405,27.5705,26.308,1.17056,24.0137,28.6023,16.7–57.8,13.2674,13.1852,"per 100,000 population"
New Mexico,2012,Both Sexes,All Ages,All Races-All Origins,492,2085538,23.591,1.06357,21.5064,25.6756,24.6608,1.13837,22.4296,26.892,16.7–57.8,13.2208,13.1422,"per 100,000 population"
New Mexico,2013,Both Sexes,All Ages,All Races-All Origins,458,2085287,21.9634,1.02628,19.9519,23.9749,22.6256,1.08551,20.498,24.7532,16.7–57.8,13.9127,13.8005,"per 100,000 population"
New Mexico,2014,Both Sexes,All Ages,All Races-All Origins,547,2085572,26.2278,1.12142,24.0298,28.4258,27.2892,1.1969,24.9433,29.6351,16.7–57.8,14.7574,14.6831,"per 100,000 population"
New Mexico,2015,Both Sexes,All Ages,All Races-All Origins,501,2085109,24.0275,1.07347,21.9235,26.1315,25.3107,1.16029,23.0365,27.5848,16.7–57.8,16.304,16.2923,"per 100,000 population"
New Mexico,2016,Both Sexes,All Ages,All Races-All Origins,500,2081015,24.0267,1.07451,21.9207,26.1328,25.1877,1.15761,22.9187,27.4566,16.7–57.8,19.6925,19.7851,"per 100,000 population"
New Mexico,2017,Both Sexes,All Ages,All Races-All Origins,493,2088070,23.6103,1.06336,21.5261,25.6945,24.8367,1.14745,22.5877,27.0857,16.7–57.8,21.5637,21.7048,"per 100,000 population"
New York,1999,Both Sexes,All Ages,All Races-All Origins,959,18882726,5.0787,0.164,4.7573,5.4002,5.0382,0.16284,4.7191,5.3574,1.8–7.2,6.0382,6.057,"per 100,000 population"
New York,2000,Both Sexes,All Ages,All Races-All Origins,767,18976457,4.0419,0.14594,3.7558,4.3279,3.9861,0.14418,3.7035,4.2687,1.8–7.2,6.1882,6.1749,"per 100,000 population"
New York,2001,Both Sexes,All Ages,All Races-All Origins,1079,19082838,5.6543,0.17213,5.3169,5.9917,5.5798,0.17009,5.2464,5.9131,1.8–7.2,6.8057,6.7922,"per 100,000 population"
New York,2002,Both Sexes,All Ages,All Races-All Origins,923,19137800,4.8229,0.15875,4.5118,5.1341,4.785,0.1577,4.4759,5.0941,1.8–7.2,8.1766,8.1957,"per 100,000 population"
New York,2003,Both Sexes,All Ages,All Races-All Origins,964,19175939,5.0271,0.16191,4.7098,5.3445,4.9695,0.16026,4.6554,5.2836,1.8–7.2,8.8881,8.8765,"per 100,000 population"
New York,2004,Both Sexes,All Ages,All Races-All Origins,831,19171567,4.3345,0.15036,4.0398,4.6293,4.2568,0.148,3.9667,4.5468,1.8–7.2,9.366,9.3831,"per 100,000 population"
New York,2005,Both Sexes,All Ages,All Races-All Origins,944,19132610,4.934,0.16059,4.6192,5.2487,4.7922,0.15657,4.4853,5.0991,1.8–7.2,10.0884,10.0699,"per 100,000 population"
