PropNum,Prop ID,Boro,AMPSDistrict,Prop Name,Site Name,Prop Location,Site Location,Acres,Category,Sub-Category,Rated,Reason Not Rated,Council District,ZipCode,COMMUNITYBOARD,Jurisdiction,NYSAssembly,NYSSenate,USCongress,Precinct,ComfortStation,PermitDistrict,GISBoro,GIS Site Location
X316,X316,X,03,GENESIS PARK COMMUNITY GARDEN,,Franklin Ave. Bet E. 167th & E. 168th St,Franklin Ave. Bet E. 167th & E. 168th St,0.054,Small Park,Greenthumb,0,,16,10456,203,DPR,79,32,15,42,0,X-03,X,Franklin Av bet. E 167 St and E 168 St
B421,B421,B,02,BROOKLYN BEARS CARLTON AVE GARDEN,,CARLTON AVE BET GREENE ST & FULTON ST,Carlton Ave Bet Greene St & Fulton St,0.14,Small Park,Greenthumb,0,Greenthumb,35,11238,302,DPR,57,25,8,88,0,B-02,B,Carlton Ave. between Greene Ave. and Fulton St.
X233,X233,X,01,FOUNTAIN OF YOUTH PLAYGROUND,,UNION AVE & E 150 ST,"Union Ave, E 150 St",1.375,Small Park,JOP,1,,8,10455,201,DPR/DOE,84,29,15,40,0,X-01,X,Union Av bet. E 150 St and  e 152 St
B150,B150-01,B,14,Rachel Haber Cohen Playground,,"Ave L, E 17 To E 18 Sts","Ave L, E 17 To E 18 Sts",2.036,,,0,Rated under parent,44,11230,314,DPR,48,17,9,70,0,,B,"Ave L, E 17 To E 18 Sts"
BZ209,BZ209,B,14,GREENSTREET,,ALBEMARLE RD BET. WESTMINSTER RD & ARGYLE RD,Albemarle Rd Bet. Westminster Rd & Argyle Rd,0.112,Greenstreet,Type 2,0,Just trees (type 2).,40,11218,314,DOT,44,21,9,70,0,,B,Albemarle Rd btw Westminster Rd & Argyle Rd
M208G,MZ227,M,11,GREENSTREET,,1ST AVE & E 127 ST (HARLEM RIVER DRIVE PARK EAST),1st Ave & E 127 St (harlem River Drive Park East),0.201,Greenstreet,Type 2,0,Just trees (type 2).,8,10035,111,DOT,68,29,13,25,0,,M,1st Ave & E 127 St
B093,B093,B,03,WEEKSVILLE PLGD,,"N/O ATLANTIC, HOWARD AVES, HERKIMER ST",N/o Atlantic & Howard Aves,0.295,Small Park,Neighborhood Plgd,1,,41,11233,303,DPR,55,25,8,81,0,B-03,B,Howard Ave. bet. Atlantic Ave. and  Herkimer St.
B125,B125,B,13,DREIER-OFFERMAN PARK,,"GRAVESEND BAY, BAY 44-BAY 49 STS, SHORE PKWY","Gravesend Bay, Bay 44-bay 49 Sts, Shore Pkwy",85.527,Large Park,Large Park,0,Rated as separate zones,"43,47",11214,313,DPR,"46, 47",23,11,60,0,B-13,B,"Gravesend Bay, Bay 44 St. to Bay 49 St., Shore Pkwy."
QZ50,QZ50,Q,05,GREENSTREET,,"GRAND AVENUE, FLUSHING AVENUE, 64TH STREET","Grand Avenue, Flushing Avenue, 64th Street",0.06,Greenstreet,Type 1,1,,30,11378,405,DOT,30,15,6,104,0,,Q,Grand Av & Flushing Av & 64 St
X228,X228,X,01,I AM PARK,,"E 147 ST, JACKSON AVE, E 144 ST, ST MARYS PK","147 St, Jackson Ave",0.712,Small Park,JOP,1,,8,10455,201,DPR/DOE,84,29,15,40,0,X-01,X,Jackson Av bet. E 147 St and E 145 St
B493,B493,B,05,UPON THIS ROCK COMM. GARDEN,,2556 Pitkin Ave.,2556 Pitkin Ave.,0.081,Small Park,Greenthumb,0,,37,11208,305,DPR,54,18,8,75,0,B-05,B,Pitkin Ave. and Montauk Ave.
MZ235,MZ235,M,14,GREENSTREET,,RIVERSIDE DR BET. 114 ST & 115 ST,Riverside Dr Bet. 114 St & 115 St,0.039,Greenstreet,Type 2,0,Just trees (type 2).,9,10024,109,DOT,69,"30, 31",10,26,0,,M,Riverside Drive Bet W 114 St And W 115 St
Q283,QZ581,Q,13,GREENSTREET,,225 ST BET. 141 AVE & 135 AVE (3),225 St Bet. 141 Ave & 135 Ave (3),0.209,Greenstreet,Type 1,0,Rated as Q283,31,11413,413,DOT,29,14,5,105,0,,Q,225 St Bet. 141 Ave &135 Ave (3)
QT20,QT20,Q,01,SEVEN OAKS,,"37 ST, 24 AVE, ASTORIA BLVD NORTH","37 St, 24 Ave, Astoria Blvd North",0,Small Park,Sitting Area/Triangle/Mall,1,,22,11103,401,CDOT,36,12,14,114,0,Q-01,Q,"Astoria Blvd., 37 St., 24 Ave."
Q373,Q373,Q,03,EAST ELMHURST PLGD (PS 127),,25 AVE BET 98 & 100 STS,25 Ave & 98 St,3.827,Small Park,JOP,1,,21,11369,403,DPR/DOE,35,13,14,115,1,Q-03,Q,"100 St., 98 St. bet. 24 Ave. and 25 Ave."
R129,R129-01,R,02,BLOOD ROOT VALLEY (GREENBELT),,"Rockland, Manor & Brielle Aves, Forest Hill Rd","Brielle Ave, Rockland Ave, Walcott Ave",2.945,Small Park,Plgd Within Park,1,,50,10314,502,DPR,63,24,11,122,0,,R,"Brielle Ave, Rockland Ave, Walcott Ave"
R033,RZ242,R,01,GREENSTREET,,CASTLETON AVE & JEWETT AVE (LEVY PARK),Castleton Ave & Jewett Ave (levy Park),0.082,Greenstreet,Type 1,0,overlaps with Levy Plgd,49,10302,501,DOT,61,23,11,120,0,,R,Castleton Ave & Jewett Ave (levy Park)
RZ01,RZ01,R,02,LEONARD CIRCLE,,CLOVE RD & HYLAN BLVD (N),Clove Rd & Hylan Blvd (n),0.031,Greenstreet,Type 1,1,,50,10305,502,DOT,64,24,11,122,0,,R,"Hylan Blvd & Clove Rd, east triangle"
X321,X321,X,04,CLAREMONT NEIGHBORHOOD GARDEN,,E. 169th St & Teller Ave,E. 169th St & Teller Ave,0.19,Small Park,Greenthumb,0,,16,10456,204,DPR,77,32,15,44,0,X-04,X,E 169th St bet. Teller Av and Clay Av
M010,M010-ZN01,M,13,CENTRAL PARK,,"5 AVE - CENTRAL PARK W, 59 - 110 STS",5th Ave From 60th St. To 65th St.,13.379,Large Park,Flagship Park Zone,1,,6,10023,164,DPR,75,29,10,5,0,,M,5 Ave Btw E 60 and E 65 Sts
XZ143,XZ143,X,10,GREENSTREET,,BAYCHESTER AVE BET. DONZETTI AND DARROW,Baychester Ave Bet. Donzetti And Darrow,0.217,Greenstreet,Type 2,0,Just trees (type 2).,12,10475,210,DOT,82,36,16,45,0,,X,New England Ty And Co-op City Blvd.
X071,X071,X,06,WHALEN GROVE,,"CROTONA AVE, GARDEN ST, GROTE ST","Crotona Ave, Garden St, Grote St",0.13,Small Park,Sitting Area/Triangle/Mall,1,,15,10457,206,DPR,78,33,15,48,0,X-06,X,Crotona Ave. at Grote St. and Garden St.
B073,B073-ZN27,B,14,PROSPECT PARK,,"PROSPECT PK W, FLATBUSH, PARKSIDE, OCEAN AVES","Coney Is. Av., Arglye Rd., Parkside Av., Caton Av.",19.972,Large Park,Flagship Park Zone,1,,40,11226,314,DPR,42,21,9,9,0,,B,"Coney Is. Ave., Arglye Rd., Parkside Av., Caton Ave."
X043,X043,X,01,RYAN TRIANGLE,,"E 143 ST, E 144 ST & MORRIS AVE","E 143 St, E 144 St & Morris Ave",0.22,Small Park,Sitting Area/Triangle/Mall,1,,8,10451,201,DPR,84,29,15,40,0,X-01,X,"E. 144 St., E. 143 St., Morris Ave."
Q313,Q313,Q,14,ARVERNE PLGD,,ARVERNE BLVD & B 55 ST,Arverne Blvd & B 55 St,0.993,Small Park,Neighborhood Plgd,1,,31,11692,414,DPR,31,10,5,101,0,Q-14,Q,Arverne Blvd. bet. Beach 56 St. and Beach 54 St.
M056,M056-ZN05,M,09,MORNINGSIDE PARK,,"W 110 TO W 123 ST,MANHATTAN AVE TO MORNINGSIDE DR","116 To 122 Sts, Morningside Dr To Upper Path",3.955,Large Park,Large Park Zone,1,,7,10026,109,DPR,70,30,13,26,0,,M,"116 To 122 Sts, Morningside Dr To Upper Path"
QZ700,QZ700,Q,16,GREENSTREET,,FOREST PARKWAY AND FOREST PARK DRIVE OPPOSITE OAK RIDGE,Forest Parkway And Forest Park Drive Opposite Oak Ridge,0.027,Greenstreet,Type 1,0,,30,11385,482,DOT,38,12,6,102,0,,Q,Forest Pkwy & Forest Pk Dr by Oak Ridge
Q123,Q123,Q,01,ASTORIA HEALTH CENTER PLGD,,"14 ST, 31 RD","14 St, 31rd",0.207,Small Park,Neighborhood Plgd,1,,22,11106,401,DPR,36,12,12,114,0,Q-01,Q,14 St. bet. 31 Ave. and 31 Dr.
QZ731,QZ731,Q,12,Greenstreet,,Springfield Bl Bet Carson St & 137 Av,Springfield Bl Bet Carson St & 137 Av,0.034,Greenstreet,,0,,31,11413,412,DOT,29,14,5,113,0,,Q,Springfield Bl Bet Carson St & 137 Av
BZ326,BZ326,B,01,GREENSTREET,,CALYER ST & GREENPOINT AVE & MCGUINNESS BLVD,Calyer St & Greenpoint Ave & Mcguinness Blvd,0.084,Greenstreet,Type 1,1,,33,11222,301,DOT,50,"26, 18",12,94,0,,B,Mcguinness Blvd Bet Greenpoint Ave & Calyer st
Q001,Q001-99,Q,07A,ALLEY POND PARK,,"LITTLE NECK BAY TO SPRING BLVD, UNION TPKE","Nr Springfield Lot, Ballfields",0.342,Small Park,Plgd Within Park,1,,23,11364,411,DPR,24,16,6,111,1,,Q,"Nr Springfield Lot, Ballfields"
QZ548,QZ548,Q,13,GREENSTREET,,137 AVE BET. 224 ST & 225 ST,137 Ave Bet. 224 St & 225 St,0.031,Greenstreet,Type 2,0,Just trees (type 2).,31,11413,413,DOT,29,14,5,105,0,,Q,137 Av Bet 224 St & 225 St
RZ324,RZ324,R,03,GREENSTREET,,"Amboy & Vincent, N Site","Amboy & Vincent, N Site",0.015,Greenstreet,,0,,50,10306,502,DOT,62,24,11,122,0,,R,"Amboy & Vincent, N Site"
B379,BZ362,B,13,GREENSTREET,,BAYVIEW AVE & W 37 ST (BAYVIEW GARDENS),Bayview Ave & W 37 St (bayview Gardens),0.102,Greenstreet,Type 1,0,Rated under B379,47,11224,313,DOT,46,23,8,60,0,,B,Bayview Ave & W 37 St (Bayview Gardens)
RZ281,RZ281,R,02B,GREENSTREET,,FR CAPODANNO AND ALEX CIR,Fr Capodanno And Alex Cir,0.228,Greenstreet,,0,,50,10305,502,DOT,64,23,11,122,0,,R,FR CAPODANNO AND ALEX CIR
Q396,Q396,Q,12,MONTBELLIER PARK,,SPRINGFIELD BLVD BET EASTGATE PLAZA & 139 AVE,Springfield Blvd & 139 Ave,4.427,Small Park,Neighborhood Plgd,1,,27,11413,412,DPR,29,14,5,113,1,Q-12,Q,"Springfield Blvd., Sloan St. bet. 139 Ave. and Eastgate Plaza"
B471,B471,B,05,GREEN GEMS,,933-943 Glenmore Ave./ 147 & 143 Fountain Ave.,"933-943 Glenmore Ave.,  147 & 143 Fountain Ave.",0.494,Small Park,Greenthumb,0,,37,11208,305,DPR,54,18,8,75,0,B-05,B,Glenmore Ave. and Fountain Ave.
B057,B057-05,B,18,MARINE PARK,,"FLATBUSH, GERRITSEN & FILLMORE AVES, JAMAICA BAY",Gerritsen Ave & Ave X,6.029,Small Park,Plgd Within Park,1,,46,11234,318,DPR,59,22,8,61,0,,B,Gerritsen Ave & Ave X
Q082,Q082,Q,13,WAYANDA PARK,,HOLLIS AVE & ROBARD LANE,"Hollis Ave, Robard Lane & 217 Lane",2.554,Small Park,JOP,1,,27,11429,413,DPR,33,14,5,105,1,Q-13,Q,Robard La. bet. Hollis Ave. and Montery St.
B194,B194,B,01,ARLINGTON SQUARE (T),,"MIDDLETON ST, UNION & HARRISON AVES","Middleton St, Union & Harrison Aves",0.1,Small Park,Sitting Area/Triangle/Mall,1,,33,11206,301,DPR,53,26,7,90,0,B-01,B,"Middleton St., Harrison Ave., Union Ave."
M037,M037-08,M,12A,HIGHBRIDGE PARK,,"W 155 & DYCKMAN STS, EDGECOMBE & AMSTERDAM AVES",Edgecombe Ave. Between 155 St & 157 St,0.188,Small Park,Plgd Within Park,1,,10,10032,112,DPR,72,31,13,33,0,,M,Edgecombe Ave. Between 155 St & 157 St
BT12,BT12,B,06,Erie Basin Park,,Erie Basin bet. Columbia St. and Beard St.,Erie Basin Bet. Columbia St. And Beard St. (ikea),4.594,Other,REDEC,1,,38,11231,306,Private,51,25,10,76,0,,B,Eire Basin bet. Columbia St. and Beard St.
XZ314,XZ314,X,06,GREENSTREET,,BRONX PARK SOUTH & SOUTHERN BLVD (CROTONA MALLS 1),Bronx Park South & Southern Blvd (crotona Malls 1),0,Greenstreet,Type 1,0,will rate as part of zone,15,,206,DPR,,,,0,0,,X,BRONX PARK SOUTH & SOUTHERN BLVD (CROTONA MALLS 1)
X329,X329,X,06,MIRACLE GARDEN,,Marmion Ave Bet. Elsemere Pl & Fairmount Pl.,Marmion Ave Bet. Elsemere Pl & Fairmount Pl.,0.11,Small Park,Greenthumb,0,,17,10460,206,DPR,79,33,15,48,0,X-06,X,Marmion Av bet. Fairmount Pl and Elsmere Pl
RZ255,RZ255,R,02,GREENSTREET,,WEST SHORE EXPY TO 1100 SOUTH AVE (3),West Shore Expy To 1100 South Ave (3),0.244,Greenstreet,Type 1,1,,50,10314,502,DOT,63,24,11,122,0,,R,South And Teleport
R106,R106-ZN01,R,03,BLOOMINGDALE PARK,,"RICHMOND PKWY, BLOOMINGDALE RD, LENEVAR AVE",Natural Area West Of Bloomingdale Rd And East Of Drumgoole Rd W,23.391,Large Park,Large Park Zone,1,,51,10309,503,DPR,62,24,11,123,0,,R,Natural Area West Of Bloomingdale Rd And East Of Drumgoole Rd W
QZ986,QZ986,Q,14,Greenstreet,,Breezy Point Blvd & Rockaway Point Blvd (5),Breezy Point Blvd & Rockaway Point Blvd (5),0.028,Greenstreet,,0,,32,11697,484,DOT,23,15,5,100,0,,Q,Breezy Point Blvd & Rockaway Point Blvd (5)
XZ270,XZ270,X,12,GREENSTREET,,PRATT AVE & E 233 ST,Pratt Ave & E 233 St,0.037,Greenstreet,Type 1,1,,12,10466,212,DOT,83,36,16,47,0,,X,Durvey Ave. And East 233rd St.
Q084B,QZ841,Q,08,Greenstreet,,S s GCP & Homelawn St,S S Gcp & Homelawn St,0.411,Greenstreet,,0,,24,11432,408,DOT,24,11,6,107,0,,Q,S s GCP & Homelawn St
B051,B051,B,15,Kelly Park Playground,,"AVE S, E 14 & E 8 STS","Ave S, E 14 & E 15 Sts",3.449,Small Park,Neighborhood Plgd,1,,48,11229,315,DPR,45,17,11,61,1,B-15,B,Ave. S bet. E. 14 St. and E. 15 St.
B073,B073-ZN18,B,19,PROSPECT PARK,,"PROSPECT PK W, FLATBUSH, PARKSIDE, OCEAN AVES","East Dr., Center Dr., SE Of Upper Long Meadow",21.015,Large Park,Flagship Park Zone,1,,39,11215,355,DPR,44,21,9,2,0,,B,"East Dr., Center Dr., SE Of Upper Long Meadow"
X039,X039-G02,X,15,Split Rock Golf Course,,,,208.775,Other,Golf Course,1,,13,10464,228,DPR,82,34,14,45,0,,X,"Bruckner Blvd,eastchester By,hutchinson"
XZ215,XZ215,X,03,GREENSTREET,,BOSTON RD & CLAREMONT PKWY (SOUTHWEST),Boston Rd & Claremont Pkwy (southwest),0.033,Greenstreet,Type 1,1,,16,10460,203,DOT,79,33,15,42,0,,X,"Boston Rd. and Lewis Nine Blvd, W site"
Q106,Q106,Q,12,DANIEL M OCONNELL PLAYGROUND,,"113 & MURDOCK AVES, 196 ST",113 Ave & 196 St,2.043,Small Park,Neighborhood Plgd,1,,27,11412,412,DPR,33,14,5,113,1,Q-12,Q,"197 St., 196 St. bet. 113 Ave. and Murdock Ave."
XZ231,XZ231,X,10,GREENSTREET,,CALHOUN AVE & RANDALL AVE,Calhoun Ave & Randall Ave,0.11,Greenstreet,Type 1,1,,13,10465,210,DOT,82,34,14,45,0,,X,"Randall Ave, Calhoun Ave, and Cross Bronx Expy"
X010,X010-ZN07,X,03,CROTONA PARK,,"FULTON AVE, CROTONA PK N,S,E","Crotona Ave, Claremont Pkwy, Crotona Park East",7.727,Large Park,Large Park Zone,1,,17,10456,203,DPR,79,33,15,42,0,,X,"Crotona Ave, Claremont Pkwy, Crotona Park East"
QZ94,QZ94,Q,09,SITTING AREA,,"LEFFERTS BLVD, AUSTIN ST","Lefferts Blvd, Austin St",0,Small Park,Sitting Area/Triangle/Mall,0,not parks property.  BD 2/13/03,29,,409,DPR,,,,0,0,,Q,"LEFFERTS BLVD, AUSTIN ST"
QZ507,QZ507,Q,12,GREENSTREET,,LAKEWOOD AVE & 109 AVE & 142 ST,Lakewood Ave & 109 Ave & 142 St,0.028,Greenstreet,Type 1,1,,28,11435,412,DOT,32,10,5,103,0,,Q,Lakewood Av & 109 Av & 142 St
QZ794,QZ794,Q,14,Greenstreet,,Beach 142 St Bet. Beah Baffle and Rockaway Beach Blvd (2),Beach 142 St Bet. Beah Baffle And Rockaway Beach Blvd (2),0.083,Greenstreet,,0,,32,11694,414,DOT,23,15,5,100,0,,Q,Beach 142 St Bet. Beah Baffle and Rockaway Beach Blvd (2)
X232,X232,X,11,BURNS PLGD,,"MACE, LODOVICK & GUNTHER AVES",Mace & Gunther Aves,1.623,Small Park,JOP,1,,13,10469,211,DPR/DOE,80,34,14,49,1,X-11,X,Mace Ave. bet. Lodovick Ave. and Gunther Ave.
Q231,Q231,Q,10,SERGEANT COYLER SQ,,"ROCKAWAY BLVD, 120 AVE & 133 ST","Rockaway Blvd, 120 Ave & 133 St",0.104,Small Park,Sitting Area/Triangle/Mall,1,,28,11420,410,DPR,31,10,5,106,0,Q-10,Q,"Rockaway Blvd., 120 Ave. bet. 132 St. and 133 St."
B028,BZ503,B,10,Greenstreet,,Dyker Beach Park (inside by parkhouse),Dyker Beach Park (inside By Parkhouse),0.127,Greenstreet,,0,,50,11228,310,DOT,46,22,11,68,0,,B,"Dyker Beach Park, NW of Bay 8th St & Independence Ave"
QZ730,QZ730,Q,13,Greenstreet,,sawyer av & spencer av,Sawyer Av & Spencer Av,0.013,Greenstreet,,0,,23,11427,413,DOT,24,14,5,105,0,,Q,sawyer av & spencer av
B073,B073-ZN25,B,19,PROSPECT PARK,,"PROSPECT PK W, FLATBUSH, PARKSIDE, OCEAN AVES","Prospect Lake, S Lake Dr., Carriage Concourse",9.434,Large Park,Flagship Park Zone,1,,39,11215,355,DPR,44,21,9,78,0,,B,"Prospect Lake, S Lake Dr., Carriage Concourse"
MZ123,MZ123,M,03,GREENSTREET,,CHERRY ST. & PIKE SLIP & SOUTH ST.,Cherry St. & Pike Slip & South St.,0.063,Greenstreet,Type 1,1,,1,10002,103,DOT,65,26,7,5,0,,M,Pike Slip Bet. Water St. And Fdr Drive
X037,X037,X,05,OBRIEN OVAL,,"E 176 ST, TREMONT, WEBSTER & CARTER AVES","E 176 St, Tremont, Webster & Carter Aves",0.232,Small Park,Sitting Area/Triangle/Mall,1,,15,10457,205,DPR,86,33,15,46,0,X-05,X,E. Tremont Ave. at Valentine Ave. bet. Carter Ave.
B223DI,B223DI,B,02,BROOKLYN HEIGHTS PROMENADE,,"BQE PROMENADE, COLUMBIA HTS, PINEAPPLE ST","Bqe Promenade, Columbia Hts, Pineapple St",0.138,Small Park,Sitting Area/Triangle/Mall,0,LP,33,11201,302,DPR,52,26,7,84,0,B-02,B,Pineapple St. bet. Columbia Heights and the BQE
XZ358,XZ358,X,11,GREENSTREET,,BRONX RIVER PKWY & RANAQUA EXIT,Bronx River Pkwy & Ranaqua Exit,0.031,Greenstreet,Type 1,1,,15,10462,227,DOT,87,33,14,49,0,,X,Bronx River Pkwy & Ranaqua Exit Ramp
B293,B293,B,02,CLASSON PLGD,,LAFAYETTE & CLASSON AVES,Lafayette & Classon Aves,1.336,Small Park,JOP,1,,35,11205,302,DPR,57,25,8,88,0,B-02,B,Lafayette Ave. and Classon Ave.
M300,M300,M,12,SHERMAN CREEK PARK,,"SHRMN CRK H20FT, HARLEM RVR DRVWY, 10TH AVENUE","Shrmn Crk H20ft, Harlem Rvr Drvwy, 10th Avenue",15.383,Small Park,Neighborhood Park,1,,10,10040,112,DPR,72,31,13,34,1,M-12,M,10 Ave. bet. Academy St. and the Harlem River
M071,MZ279,M,14,Greenstreet,,Riverside Drive & W 108 St,Riverside Drive & W 108 St,0.052,Greenstreet,,0,,9,10025,107,DOT,69,31,10,24,0,,M,Riverside Drive & W 108 St
B479,B479,B,03,LEFFERTS PL. BLOCK ASSOCIATION,,162 Lefferts Pl.,162 Lefferts Pl.,0.068,Small Park,Greenthumb,0,,36,11238,303,DPR,57,25,8,79,0,B-03,B,Lefferts Pl. between Classon Ave. and Franklin Ave.
QZ926,QZ926,Q,14,Greenstreet,,Reads la bet Mobile rd & Empire Av,Reads La Bet Mobile Rd & Empire Av,0.028,Greenstreet,,0,,31,11691,414,DOT,23,15,5,101,0,,Q,Reads la bet Mobile rd & Empire Av
B223PE,B223PE,B,01,RODNEY PLAYGROUND NORTH,,"GRAND, RODNEY & S 1 STS","Grand, Rodney & S 1 Sts",0.29,Small Park,Neighborhood Plgd,1,,34,11211,301,DPR,53,18,7,90,0,B-01,B,"Borinquen Pl., Rodney St. and S. 1 St."
M259,M259,M,03,MCKINLEY PLGD,,E 3 ST BETWEEN AVE A & 1 AVE,E 3 St Between Ave A & 1 Ave,0.563,Small Park,JOP,1,,2,10009,103,DPR/DOE,74,27,12,9,1,M-03,M,"Ave. A, E. 3 St. to E. 4 St."
QZ407,QZ407,Q,08,GREENSTREET,,SURREY & MIDLAND,Surrey & Midland,0.028,Greenstreet,Type 1,1,,24,11432,408,DOT,24,11,5,107,0,,Q,Surrey Pl & Midland Pkwy
B450,B450,B,05,CLARA'S GARDEN,,573 Thru 579 Glenmore Ave.,573 Thru 579 Glenmore Ave.,0.129,Small Park,Greenthumb,0,,37,11207,305,DPR,55,18,8,75,0,B-05,B,Glenmore Ave. between Schenck Ave. and Hendrix St.
Q246,Q246,Q,07,TRAVIS TRIANGLE,,"MURRAY ST,  MURRAY LANE, 34 AVE","Murray St,  Murray Lane, 34 Ave",0.221,Small Park,Sitting Area/Triangle/Mall,1,,20,11354,407,DPR,40,16,6,109,0,Q-07,Q,"Murray La., Murray St. bet. 34 Ave. and 35 Ave."
MZ244,MZ244,M,02,GREENSTREET,,6TH AVE & CHRISTOPHER ST & GREENWICH AVE,6th Ave & Christopher St & Greenwich Ave,0.048,Greenstreet,Type 1,1,,3,10014,102,DOT,66,27,10,6,0,,M,"Christopher St, Greenwich Ave, and Avenue of the Americas"
M393,M393,M,04,Oasis Garden,,W. 52 Street bet. 11 Ave. and 10 Ave.,W. 52 Street Bet. 11 Ave. And 10 Ave.,0.122,,,0,,3,10019,104,DPR,67,27,10,18,0,M-04,M,W. 52 Street bet. 11 Ave. and 10 Ave.
Q030,QZ901,Q,08,Greenstreets,,Midland Py btw GCP & Surrey Pl,Midland Py Btw Gcp & Surrey Pl,0.011,Greenstreet,,0,,24,11432,408,DOT,24,11,5,107,0,,Q,Midland Py btw GCP & Surrey Pl
M053,M053,M,07,THEODORE ROOSEVELT PARK,,"CENTRAL PARK W, COLUMBUS AVE, W 77 TO W 81 STS","Central Park W, Columbus Ave, W 77 To W 81 Sts",17.581,Large Park,Large Park,1,,6,10024,107,DPR,67,29,10,20,0,M-07,M,"Central Park W, Columbus Av, W 77 To W 81 Sts"
Q135,QZ936,Q,13,Greenstreet,,Cross Isl& Pkwy & Jamaica Av,Cross Isl& Pkwy & Jamaica Av,0.42,Greenstreet,,0,,23,11426,413,DOT,33,11,3,105,0,,Q,Cross Isl& Pkwy & Jamaica Av
Q163,Q163-ZN05A,Q,14,ROCKAWAY BEACH & BOARDWALK,,B 73 TO B 109 STS,B 73 To B 81 Sts,20.317,Large Park,Beach Zone,1,,32,"11692, 11693",414,DPR,23,15,5,100,0,,Q,B 73 To B 81 Sts
X148G2,X148G2,X,06,PARK STRIP (GRASSY AREA),,"S/S CROSS BRONX EXWY, E 175 ST & CROTONA AVE","S/s Cross Bronx Exwy, E 175 St & Crotona Ave",0.046,Other,EXWY,0,EXWY,15,10457,206,DPR,79,33,15,48,0,X-06,X,S/B Cross Bronx Exwy bet. Arthur Av and Crotona Av
R043,R043,R,01,LYONS POOL,,Murray Hulbert Ave. bet. Victory Blvd. and Hannah St.,Murray Hulbert Ave. Bet. Victory Blvd. And Hannah St.,3.195,Small Center,Recreation Center,1,,49,10301,501,DPR,61,23,11,120,0,R-01,R,Murray Julbert Ave. bet. Victory Blvd. and Hannah St.
XZ507,XZ507,X,06,GREENSTREET,,Oak Tree Place and Hughes Avenue,Oak Tree Place And Hughes Avenue,0.006,Greenstreet,,0,,15,10457,206,DOT,86,33,15,48,0,,X,Oak Tree Place and Hughes Avenue
BZ102,BZ102,B,18,GREENSTREET,,SEAVIEW AVENUE & CANARSIE ROAD & EAST 95TH STREET,Seaview Avenue & Canarsie Road & East 95th Street,0.074,Greenstreet,Type 1,1,,46,11236,318,DOT,59,19,8,69,0,,B,Seaview Avenue btw Canarsie Road & East 95 St
B448,B448,B,03,CEDAR TREE GARDEN,,305 Greene Ave.,305 Greene Ave.,0.177,Small Park,Greenthumb,0,,35,11238,303,DPR,57,25,8,79,0,B-03,B,Greene Ave. between Classon Ave. and Franklin Ave.
QZ16,QZ16,Q,12,MALLS,,"LIBERTY AVE TO MAYVILLE ST, BRINKERHOFF AND FONDA","Liberty Ave To Mayville St, Brinkerhoff And Fonda",0,Small Park,Sitting Area/Triangle/Mall,1,,27,,412,DPR,,,,0,0,,Q,"LIBERTY AVE TO MAYVILLE ST, BRINKERHOFF AND FONDA"
XZ371,XZ371,X,12,GREENSTREET,,Bussing Ave. And East 232nd St.,Bussing Ave. And East 232nd St.,0.059,Greenstreet,,0,,12,10466,212,DOT,83,36,16,47,0,,X,Bussing Ave. And East 232nd St.
QZ415,QZ415,Q,08,GREENSTREET,,UNION TPKE BET. 194 ST & 199 ST (3),Union Tpke Bet. 194 St & 199 St (3),0.032,Greenstreet,Type 2,0,Just trees (type 2).,23,11423,408,DOT,"24, 25",11,6,107,0,,Q,Union Tpke Bet 194 St & 199 St  3
X056,X056,X,03,PARK,,"THIRD AVE, BOSTON RD, E 164TH ST","Third Ave, Boston Rd, E 164th St",0.06,Small Park,Sitting Area/Triangle/Mall,1,,16,10456,203,DPR,79,32,15,42,0,X-03,X,"E. 164 St., Boston Rd., 3 Ave."
Q107,Q107-01,Q,13,SPRINGFIELD PARK,,"149 AVE, SPRINGFIELD BLVD, 145 RD, 184 ST",147 Ave & 184 St,1.18,Small Park,Plgd Within Park,1,,31,11413,413,DPR,31,10,5,105,0,,Q,147 Ave & 184 St
Q023,Q023,Q,12,RUFUS KING PARK,,"JAMAICA AVE, 153 ST, 89 AVE, 150 ST","Jamaica Ave, 153 St, 89 Ave, 150 St",11.5,Large Park,Large Park,1,,24,11432,412,DPR,32,14,5,103,1,Q-12,Q,"Jamaica Ave., 89 Ave. bet. 150 St. and 153 St."
M056,M056-ZN02,M,09,MORNINGSIDE PARK,,"W 110 TO W 123 ST,MANHATTAN AVE TO MORNINGSIDE DR","Btw 114th & 120th, Morningside Ave To Upper Path",7.355,Large Park,Large Park Zone,1,,7,10026,109,DPR,70,30,13,26,0,,M,"Btw 114th & 120th, Morningside Ave To Upper Path"
M125D,M125D,M,02,MINETTA TRIANGLE,,N/E CORNER AVE OF AMERICAS & MINETTA ST,N/e Corner Ave Of Americas & Minetta St,0.075,Small Park,Sitting Area/Triangle/Mall,1,,1,10012,102,DPR,66,27,10,6,0,M-02,M,N/e Corner Ave. of Americas and Minetta St.
QZ622,QZ622,Q,13,GREENSTREET,,LAKEVILLE RD & UNION TPKE & LANGDALE ST,Lakeville Rd & Union Tpke & Langdale St,0.105,Greenstreet,Type 1,1,,23,11040,413,DOT,26,11,3,105,0,,Q,Lakeville Rd & Union Tpke & Hewlett St
