Meeting Body Name,Committee,Begin Date Time,Is All Day,Has End,End Date Time,Building Name,Room,Address,Address2,City,State,Zip,Webcast URL,Webcast Plugin,Is Video Conf,Is Conf Call,Conf Call Number,Conf Call ID,Conf Call Password,Contact First Name,Contact Last Name,Phone,Email,Notes,Materials URL,Archived URL,Publication Date,Amendments,Amendment Date,LatLng
Water Protection Forum,,08/12/2020 10:00:00 AM,0,0,,Lewis and Clark State Office Building,,1101 Riverside Drive,,Jefferson City,,65101,,,0,0,,,,Krista,Welshmeyer,(573) 751-6721,,,,,2019-11-26 12:27:44.0,,,"(38.5695013, -92.15548869999999)"
Missouri Technology Corporation,Executive Committee,04/17/2020 11:00:00 AM,0,0,,,,,,,,,,,0,1,,,,Amy,Steinman,(573) 751-7265,,Portions of this meeting may be closed pursuant to Section 610.021 RSMo.,,,2020-04-13 22:45:30.0,,,"(44.5165436, -67.5845034)"
Missouri Arts Council,,04/20/2020 10:00:00 AM,0,0,,,,,,,,,,,0,1,,,,Virginia,Sanders,(314) 340-6851,virginia.sanders@ltgov.mo.gov,,,,2020-04-17 13:55:18.0,,,"(44.5165436, -67.5845034)"
Missouri Preventive Health and Health Services (PHHS) Block Grant,Advisory Committee,05/18/2020 10:00:00 AM,0,0,,,,,,,,,,,0,1,,,,Lisa,Cox,(573) 751-6061,,Those interested in participating should contact Cheryl West at Cheryl.Lynn.West@health.mo.gov or 573-751-6476 for information on how to join the call and to receive copies of the meeting documents.,,,2020-04-17 20:01:48.0,,,"(44.5165436, -67.5845034)"
Missouri Board of Pharmacy,,04/22/2020 08:00:00 AM,0,0,,,,,,,,,https://stateofmo.webex.com/stateofmo/j.php?MTID=m18effaccda104b2789eaf83e51429d0d,283 883 867,0,1,,283 883 867,,,,(573) 751-0091,,"Portions of this meeting may be closed pursuant to Section 610.021 (1)(14), RSMo, and Section 324.001.8 and 324.001.9, RSMo.",,,2020-04-20 14:55:43.0,,,"(44.5165436, -67.5845034)"
911 Service Board,,04/22/2020 01:00:00 PM,0,0,,,,,,,,,https://zoom.us/j/602094226,,1,1,,602 094 226,,,,(573) 522-1714,,,,,2020-04-20 16:34:53.0,,,"(44.5165436, -67.5845034)"
Division of Professional Registration,Missouri State Board of Optometry,10/15/2020 10:00:00 AM,0,0,,Chateau on the Lake,,415 North State Highway 265,,Branson,,65616,,,0,0,,,,,,(573) 751-0814,,Portions of this meeting will be closed pursuant to Section (1)(3)(5)(7)(13)(14) RMSo. and Chapter 324.001.8 and 324.001.9 RSMo.,,,2020-02-19 16:21:28.0,,,"(36.6111051, -93.306833)"
Division of Tourism,Missouri Tourism Commission,04/22/2020 02:00:00 PM,0,0,,,,,,,,,,,0,1,,281 149 784,,Jadrien,Bopp,(573) 751-4133,,,,,2020-04-20 20:28:02.0,,,"(44.5165436, -67.5845034)"
Missouri Veterans Commission,,04/21/2020 06:00:00 PM,0,0,,,,,,,,,,,0,1,,,,Shawn,Holzhauser,(573) 751-3779,shawn.holzhauser@mvc.dps.mo.gov,This meeting will go into a closed meeting to discuss Personnel/HR pursuant to Sections 610.021 and 610.022 RSMo.,,,2020-04-20 21:48:35.0,,,"(44.5165436, -67.5845034)"
Higher Education Loan Authority of the State of Missouri (MOHELA),Audit and Finance Committee,05/15/2020 10:00:00 AM,0,0,,Office of the Authority,,555 Vandiver Drive,,Columbia,,65202,,,0,0,,,,Christine,Martin,(636) 733-3706,,Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(13)RSMo.,,,2020-05-06 18:42:12.0,,,"(39.0272076, -92.3221622)"
Higher Education Loan Authority of the State of Missouri (MOHELA),Compensation Committee,05/14/2020 10:00:00 AM,0,0,,Office of the Authority,,555 Vandiver Drive,,Columbia,,65202,,,0,0,,,,Christine,Martin,(636) 733-3706,,Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(13)RSMo.,,,2020-05-06 18:39:38.0,,,"(39.0272076, -92.3221622)"
Missouri State Board of Accountancy,Board Meeting,06/11/2020 08:00:00 AM,0,0,,Missouri Council of School Administrators,Education and Conference Center,3550 Amazonas Drive,,Jefferson City,,65109,,,0,0,,,,,,(573) 751-0012,,Portions of this meeting may be closed pursant to Section 610.021 subsections (1)(3)(6)(7)(11)(13)(14) and Sections 324.001.8 and 324.001.9 RSMo,,,2020-05-06 18:16:10.0,,2020-05-06 18:20:51.0,"(38.589792, -92.25171999999999)"
Missouri State Board of Accountancy,Board Meeting,09/02/2020 08:00:00 AM,0,0,,Missouri Council of School Administrators,Education and Conference Center,3550 Amazonas Drive,,Jefferson City,,65109,,,0,0,,,,,,(573) 751-0012,,Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(6)(7)(11)(13)(14) RSMo and Section 324.001.8 and 324.001.9 RSMo.,,,2020-05-06 18:20:06.0,,,"(38.589792, -92.25171999999999)"
Missouri State Board of Accountancy,Board Meeting,09/03/2020 08:00:00 AM,0,0,,Missouri Council of School Administrators,Education and Conference Center,3550 Amazonas Drive,,Jefferson City,,65109,,,0,0,,,,,,(573) 751-0012,,Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(6)(7)(11)(13)(14) RSMo and Section 324.001.8 and 324.001.9 RSMo.,,,2020-05-06 18:20:32.0,,,"(38.589792, -92.25171999999999)"
Missouri Board for Respiratory Care,,05/15/2020 10:00:00 AM,0,0,,Division of Professional Registration,,3605 Missouri Boulevard,,Jefferson City,,65109,,,0,1,,804 593 204,,,,(573) 522-5864,,Portions of this meeting are closed pursuant to Sections 610.021 (1) (3) (5) (7) (13) (14) RSMo. and Sections 324.001.8 and 324.001.9 RSMo.,,,2020-05-06 18:13:17.0,,,"(38.581448, -92.252301)"
Missouri State Board of Accountancy,Board Meeting,06/12/2020 08:00:00 AM,0,0,,Missouri Council of School Administrators,Education and Conference Center,3550 Amazonas Drive,,Jefferson City,,65109,,,0,0,,,,,,(573) 751-0012,,Portions of this meeting may be closed pursant to Section 610.021 subsections (1)(3)(6)(7)(11)(13)(14) and Sections 324.001.8 and 324.001.9 RSMo,,,2020-05-06 18:16:39.0,,2020-05-06 18:21:03.0,"(38.589792, -92.25171999999999)"
Division of Developmental Disabilities,Southwest Parent Advisory Council,09/08/2020 06:30:00 PM,0,0,,MARC,,822 West Mount Vernon Boulevard,,Mount Vernon,,65712,,,0,0,,,,Matt,Waggoner,(417) 629-3576,,,,,2020-02-06 12:54:14.0,,,
Central Missouri Autism Project Parent Advisory Committee,,09/08/2020 05:30:00 PM,0,0,,Easter Seals,,918 Bernadette Drive,,Columbia,,65203,,,0,1,,,,Darcy,Armstrong,(573) 441-6289,darcy.armstrong@dmh.mo.gov,,,,2019-12-10 16:28:31.0,,,"(38.8996376, -92.4406387)"
Personnel Advisory Board,,05/12/2020 09:30:00 AM,0,0,,,,,,,,,,,0,1,,288 397 162,,Kathy,Miller,(573) 526-9560,kathy.miller@oa.mo.gov,A portion of this meeting will be closed pursuant to Section 610.021 (3) (14) RSMo.For questions about accessibility or to request accommodations please see contact information above. Advance notice is appreciated and will allow additional opportunity to provide requested accommodation(s).,,,2020-05-05 19:10:48.0,MEETING HAS BEEN CANCELLED,2020-05-07 11:34:17.0,"(44.5165436, -67.5845034)"
Missouri Commission for the Deaf and Hard of Hearing,,04/29/2020 09:00:00 AM,0,0,,,,,,,,,,,0,1,,282 788 860,,Laura,Lister,(573) 522-1859,Laurie.Lister@mcdhh.mo.gov,Password:  8hjPbppx7M2,,,2020-04-21 16:08:39.0,,,"(44.5165436, -67.5845034)"
Missouri Public Utility Alliance,Missouri Joint Municipal Electric Utility Commission - SPP RTO Committee,04/24/2020 03:00:00 PM,0,0,,,,,,,,,,,0,1,,1122,,Konda,Bentley,(573) 445-3279,kbentley@mpua.org,,,,2020-04-21 16:14:15.0,,,"(44.5165436, -67.5845034)"
Missouri Real Estate Appraisers Commission,,04/15/2020 08:30:00 AM,0,0,,Division of Professional Registration,,3605 Missouri Boulevard,,Jefferson City,,65109,,,0,1,,807 967 397,,Patty,Morrow,(573) 751-0038,patty.morrow@pr.mo.gov,Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(5)(7)(13)(14) and Section 324.001.8 and 324.001.9 RSMo.,,,2020-04-03 16:48:31.0,,,"(38.581448, -92.252301)"
Missouri State Board of Accountancy,Board Meeting,06/11/2020 08:00:00 AM,0,0,,Missouri Council of School Administrators,Education and Conference Center,3550 Amazonas Drive,,Jefferson City,,65109,,,0,0,,,,,,(573) 751-0012,,Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(6)(7)(11)(13)(14) RSMo and Section 324.001.8 and 324.001.9 RSMo.,,,2020-04-06 18:53:42.0,MEETING DATE AND LOCATION UPDATED - 4-21-2020,2020-04-21 20:14:35.0,"(38.589792, -92.25171999999999)"
Missouri State Board of Accountancy,Board Meeting,06/12/2020 08:00:00 AM,0,0,,Missouri Council of School Administrators,Education and Conference Center,3550 Amazonas Drive,,Jefferson City,,65109,,,0,0,,,,,,(573) 751-0012,,Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(6)(7)(11)(13)(14) RSMo and Section 324.001.8 and 324.001.9 RSMo.,,,2020-01-27 17:29:43.0,MEETING DATE AND LOCATION UPDATED - 4-21-2020,2020-04-21 20:15:25.0,"(38.589792, -92.25171999999999)"
Department of Health and Senior Services,Section for Women's Health - Pregnancy-Associated Mortality Review Meeting,05/06/2020 10:00:00 AM,0,0,,Department of Health and Senior Services,,930 Wildwood Drive,,Jefferson City,,65109,,,0,0,,,,Ashlie,Otto,(573) 522-4107,,Portions of this meeting may be closed pursuant to Section 610.021 (5)(14)(16) RSMo. and 192.067 RSMo.,,,2020-04-22 15:01:07.0,,,"(38.570698, -92.24806)"
Missouri Real Estate Appraisers Commission,Via Conference Call,04/15/2020 08:30:00 AM,0,0,,Division of Professional Registration,,3605 Missouri Boulevard,,Jefferson City,,65109,,,0,1,,807 967 397,,Patty,Morrow,(573) 751-0038,patty.morrow@pr.mo.gov,Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(5)(7)(13)(14) and Section 324.001.8 and 324.001.9 RSMo.,,,2020-04-03 22:24:31.0,,,"(38.581448, -92.252301)"
Missouri Veterans Commission,,04/13/2020 06:00:00 PM,0,0,,,,,,,,,,,0,1,,809 599 802 #,,Shawn,Holzhauser,(573) 751-3779,shawn.holzhauser@mvc.dps.mo.gov,Portions of this meeting may be closed pursuant to Sections 610.021 and 610.022 RSMo.,,,2020-04-06 11:52:24.0,,,"(44.5165436, -67.5845034)"
Division of Environmental Quality,Clean Water Fees Stakeholder Meeting,07/21/2020 01:00:00 PM,0,0,,Lewis and Clark State Office Building,LaCharrette/Nightingale Conference Room,1101 Riverside Drive,,Jefferson City,,65101,,,0,0,,,,Krista,Welshmeyer,(573) 751-6721,,,,,2019-12-16 15:20:39.0,,,"(38.5695013, -92.15548869999999)"
Missouri State Board of Accountancy,Board Meeting,04/29/2020 08:00:00 AM,0,0,,,,,,,,,,,0,1,,804 210 358,,,,(573) 751-0012,,Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(6)(7)(11)(13)(14) RSMo and Section 324.001.8 and 324.001.9 RSMo.,,,2020-04-06 17:18:55.0,CONFERENCE CALL NUMBER UPDATED,2020-04-22 20:14:13.0,"(44.5165436, -67.5845034)"
Eastern Missouri Autism Project Parent Advisory Council,,10/19/2020 06:00:00 PM,0,0,,The St. Louis Office for Deveopmental Disability Resources,,2121 Hampton Avenue,,St. Louis,,63139,,,0,1,,2486405831,,TJ,Moore,,Tauvaris.Moore@dmh.mo.gov,,,,2019-12-16 14:31:38.0,,2020-04-13 15:14:33.0,
Missouri Dental Board,,04/23/2020 08:00:00 AM,0,0,,Missouri Council of State Administrators,,3550 Amazonas Drive,,Jefferson City,,65109,,,0,0,,,,,,(573) 751-0040,,Portions of this meeting may be closed pursuant to Section 610.021 (1) (3) (5) (7) (13) (14) RSMo and Chapter 324.001.8 and 324.001.9 RSMo.,,,2019-07-09 13:33:35.0,MEETING CANCELLED,2020-04-06 14:09:18.0,"(38.589792, -92.25171999999999)"
Missouri Dental Board,,04/24/2020 08:00:00 AM,0,0,,Missouri Council of State Administrators,,3550 Amazonas Drive,,Jefferson City,,65109,,,0,0,,,,,,(573) 751-0040,,Portions of this meeting may be closed pursuant to Section 610.021 (1) (3) (5) (7) (13) (14) RSMo and Chapter 324.001.8 and 324.001.9 RSMo.,,,2019-07-09 13:33:56.0,MEETING CANCELLED,2020-04-06 14:09:37.0,"(38.589792, -92.25171999999999)"
Missouri Housing Development Commission,Regular Meeting,04/24/2020 09:30:00 AM,0,0,,,,,,,,,,,0,1,,517221,,Lynn,Sigler,(816) 759-6822,lsigler@mhdc.com,,,,2020-04-23 13:31:42.0,,,"(44.5165436, -67.5845034)"
Governor's Council on Disability,Via Conference Call,05/01/2020 10:00:00 AM,0,0,,,,,,Jefferson City,,65102,,,0,1,,,,Jessica,Zimmer,(573) 751-2600,Jessica.Zimmer@oa.mo.gov,,,,2019-11-27 12:26:21.0,,2020-04-03 22:16:20.0,"(38.5, -92.14999999999999)"
Missouri Dental Board,Mail Ballot Notice,04/29/2020 09:00:00 AM,0,0,,,,,,,,,,,0,0,,,,,,(573) 751-0040,,Portions of this meeting may be closed pursuant to Section 610.021 (1)(14) RSMo and Chapter 324.001.8 and 324.001.9 RSMo.,,,2020-04-28 14:20:40.0,,,"(44.5165436, -67.5845034)"
MO HealthNet Division,Rare Disease Advisory Council,05/12/2020 10:30:00 AM,0,0,,,,,,,,,,,0,1,,287 000 936,,,,(573) 751-6961,,Join from a video system or applicationDial 287000936@stateofmo.webex.com  You can also dial 173.243.2.68 and enter your meeting number - 287 000 936,,,2020-05-07 11:33:05.0,,,"(44.5165436, -67.5845034)"
Missouri State Board of Optometry,,06/05/2020 11:00:00 AM,0,0,,Division of Professional Registration,Main Conference Room,3605 Missouri Boulevard,,Jefferson City,,65102,,,0,0,,,,,,(573) 751-0814,,Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(5)(7)(13)(14) RSMo. and Chapter 324.001.8 and 324.001.9 RSMo.,,,2019-06-10 18:04:04.0,,,"(38.581448, -92.252301)"
Children's Trust Fund,Board of Directors,04/17/2020 01:00:00 PM,0,0,,,,,,,,,,,0,1,,809 450 803,,Paula,Cunningham,(573) 751-5147,paula.cunningham@oa.mo.gov,,,,2020-04-06 17:16:14.0,,,"(44.5165436, -67.5845034)"
Division of Environmental Quality,Missouri Air Conservation Commission,04/29/2020 09:00:00 AM,0,0,,Kansas City Regional Office,Missouri River Conference Room,500 Northeast Colbern Road,,Lee's Summit,,64086,,,0,0,,,,,,(573) 751-4817,,,,,2019-12-19 14:12:20.0,,,"(38.9474974, -94.3687338)"
Division of Environmental Quality,Missouri Air Conservation Commission,05/28/2020 09:00:00 AM,0,0,,Elm Street Conference Center,Bennett Springs Conference Room,1730 East Elm Street,,Jefferson City,,65101,,,0,0,,,,,,(573) 751-4817,,,,,2019-12-19 14:13:49.0,,2019-12-19 14:26:36.0,"(38.5531201, -92.15244589999999)"
Children's Trust Fund,Board of Directors,04/30/2020 01:00:00 PM,0,0,,,,,,,,,,,0,1,,804 205 837,,Paula,Cunningham,(573) 751-5147,paula.cunningham@oa.mo.gov,,,,2020-04-06 17:17:35.0,,,"(44.5165436, -67.5845034)"
Utilities and Energy Industries Stakeholder Meeting,,09/11/2020 10:00:00 AM,0,0,,Lewis and Clark State Office Building,LaCharrette Conference Room,1101 Riverside Drive,,Jefferson City,,65101,,,0,0,,,,Melissa,Newman,(573) 751-3195,,,http://dnr.mo.gov/modnr-stakeholders/?/kitchen-cabinet/,,2019-11-05 16:24:03.0,,2019-11-05 16:33:03.0,"(38.5695013, -92.15548869999999)"
Division of Developmental Disabilities,Missouri Parent Advisory Committee on Autism,09/11/2020 10:00:00 AM,0,0,,Department of Mental Health,Conference Room B,1706 East Elm Street,,Jefferson City,,65102,,,0,1,,801 034 040,,Kerri,Tesreau,(573) 751-8213,Kerri.Tesreau@dmh.mo.gov,,,,2020-01-27 15:02:13.0,,,"(38.5551799, -92.15435110000001)"
Children's Trust Fund,Board of Directors,04/27/2020 02:00:00 PM,0,0,,,,,,,,,,,0,1,,282 170 232,,Paula,Cunningham,(573) 751-5147,paula.cunningham@oa.mo.gov,,,,2020-04-06 17:17:01.0,,,"(44.5165436, -67.5845034)"
Missouri Eating Disorders Council Meeting,,07/27/2020 10:00:00 AM,0,0,,Department of Mental Health,Conference Room B,1706 East Elm Street,,Jefferson City,,65102,,,0,1,,,,Elaina,Henry,(573) 522-0076,Elaina.Henry@dmh.mo.gov,,,,2019-07-31 11:46:36.0,,,"(38.5551799, -92.15435110000001)"
Missouri Board of Pharmacy,,05/13/2020 01:00:00 PM,0,0,,,,,,,,,https://stateofmo.webex.com/stateofmo/j.php?MTID=mfc8392d507801d6cdbf4956956a284ce,282 237 842,0,1,,282 237 842,,,,(573) 751-0091,,"***Public participants will be required to provide a name and e-mail address whenjoining the WebEx meeting online. WebEx will provide a conference call telephonenumber to access the audio portion of the call after you join. Telephone charges mayapply as assessed by your service provider. ***Portions of this meeting may be closed pursuant to Section 610.021 (1)(14)(17), RSMo, and Section 324.001.8 and 324.001.9, RSMo.",,,2020-05-07 14:06:56.0,,,"(44.5165436, -67.5845034)"
Missouri State Board of Nursing,,05/19/2020 08:30:00 AM,0,0,,,,,,,,,,,0,1,,,,Elizabeth,Willard,(573) 751-0681,elizabeth.willard@pr.mo.gov,"Notice is hereby given that the Missouri State Board of Nursing will conduct a virtual meeting initiated from the Division of Professional Registration, 3605 Missouri Boulevard, Jefferson City, Missouri at 8:30 a.m. on May 19, 2020. The public may observe and attend the meeting via WebEx. Please contact Elizabeth Willard at elizabeth.willard@pr.mo.gov for the WebEx information.Portions of this meeting may be closed pursuant to Section 610.021 (1)(5)(14) RSMo. and Chapter 324.001.8 and 324.001.9 RSMo. and 335.068 RSMo.",,,2020-05-07 14:27:54.0,,,"(44.5165436, -67.5845034)"
Missouri Board of Pharmacy,,04/14/2020 08:00:00 AM,0,0,,Hilton Garden Inn Columbia,,3300 Vandiver Drive,,Columbia,,,,,0,0,,,,,,(573) 751-0093,,"Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(5)(6)(7)(13)(14)(17), RSMo, and Section 324.001.8 and 324.001.9, RSMo.",,,2019-12-04 15:48:40.0,,2020-03-06 22:59:13.0,
911 Service Board,,05/08/2020 10:00:00 AM,0,0,,,,,,,,,https://zoom.us/j/92407731628,,1,1,,924 0773 1628,,,,(573) 522-1714,,,,,2020-05-07 11:36:45.0,MEETING TIME AND CONF CALL INFO UPDATED,2020-05-07 14:32:30.0,"(44.5165436, -67.5845034)"
Board of Embalmers and Funeral Directors,,06/30/2020 10:00:00 AM,0,0,,Division of Professional Registration,,3605 Missouri Boulevard,,Jefferson City,,65102,,,0,0,,,,,,(573) 751-0813,,Portions of this meeting may be closed pursuant to Sections 610.021 (1)(3)(5)(7)(13)(14) RSMo and Sections 324.001.8 and 324.001.9 RSMo.,,,2020-04-28 19:10:35.0,,2020-04-28 19:11:24.0,"(38.581448, -92.252301)"
Committee of Interpreters,,07/22/2020 10:00:00 AM,0,0,,Division of Professional Registration,Main Conference Room,3605 Missouri Boulevard,,Jefferson City,,65102,,,0,0,,,,Roxy,Brockman,(573) 536-7787,Interpreters@pr.mo.gov,Portions of this meeting may be closed pursuant to Section 610.021 (1) (3) (5) (7) (13) (14) RSMo. And Chapter 324.001.8 and 324-001.9 RSMo.,,,2020-04-28 19:46:54.0,,,"(38.581448, -92.252301)"
Board of Embalmers and Funeral Directors,,06/29/2020 02:00:00 PM,0,0,,Division of Professional Registration,,3605 Missouri Boulevard,,Jefferson City,,65102,,,0,0,,,,,,(573) 751-0813,,Portions of this meeting may be closed pursuant to Sections 610.021 (1)(3)(5)(7)(13)(14) RSMo and Sections 324.001.8 and 324.001.9 RSMo.,,,2020-04-28 19:08:45.0,,2020-04-28 19:11:10.0,"(38.581448, -92.252301)"
Missouri Wine and Grape Board,,05/04/2020 01:00:00 PM,0,0,,,,,,,,,,,0,1,,,,Christy,Moody,(573) 751-3374,,,,,2020-04-28 19:06:21.0,,,"(44.5165436, -67.5845034)"
Division of Developmental Disabilities,Southwest Parent Advisory Council,04/14/2020 06:30:00 PM,0,0,,,,,,,,,,,0,1,,806 166 026,,Matt,Waggoner,(417) 629-3576,,,,,2020-02-06 12:47:41.0,MEETING HELD VIA WEBEX ONLY,2020-03-19 11:39:57.0,"(44.5165436, -67.5845034)"
Division of Developmental Disabilities,Southwest Parent Advisory Council,06/09/2020 06:30:00 PM,0,0,,,,,,,,,,,0,1,,801 780 397,,Matt,Waggoner,(417) 629-3576,,,,,2020-02-06 12:51:12.0,MEETING HELD VIA WEBEX ONLY,2020-03-19 11:43:14.0,"(44.5165436, -67.5845034)"
Mental Health Commission,,05/14/2020 10:00:00 AM,0,1,05/14/2020 12:00:00 PM,Department of Mental Health,Conference Room B,1706 East Elm Street,,Jefferson City,,65101,,,0,1,,284 902 415,,Rachel,Plaggenberg,(573) 751-3070,rachel.plaggenberg@dmh.mo.gov,The agenda for this meeting will be posted on the Department of Mental Health webpage (https://dmh.mo.gov/about/commission/meeting-schedule/2020) prior to the meeting date.,,,2020-05-07 14:56:13.0,,,"(38.5551799, -92.15435110000001)"
Division of Environmental Quality,Clean Water Fees Stakeholder Meeting,06/16/2020 01:00:00 PM,0,0,,Lewis and Clark State Office Building,LaCharrette/Nightingale Conference Room,1101 Riverside Drive,,Jefferson City,,65101,,,0,0,,,,Krista,Welshmeyer,(573) 751-6721,,,,,2019-12-16 15:20:12.0,,,"(38.5695013, -92.15548869999999)"
Missouri Board of Pharmacy,,04/16/2020 08:00:00 AM,0,0,,Hilton Garden Inn Columbia,,3300 Vandiver Drive,,Columbia,,,,,0,0,,,,,,(573) 751-0093,,"Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(5)(6)(7)(13)(14)(17), RSMo, and Section 324.001.8 and 324.001.9, RSMo.",,,2019-12-04 15:49:29.0,,,
Board of Private Investigator and Private Fire Investigator Examiners,,08/28/2020 09:30:00 AM,0,0,,Division of Professional Registration,Main Conference Room,3605 Missouri Boulevard,,Jefferson City,,65102,,,0,0,,,,Roxy,Brockman,(573) 522-7744,pi@pr.mo.gov,Portions of this meeting will be closed pursuant to Section (1)(3)(5)(7)(13)(14) RMSo. and Chapter 324.001.8 and 324.001.9 RSMo.,,,2020-04-28 20:11:53.0,,2020-04-28 20:12:31.0,"(38.581448, -92.252301)"
Board of Geologist Registration,,08/17/2020 10:00:00 AM,0,0,,Division of Professional Registration,Main Conference Room,3605 Missouri Boulevard,,Jefferson City,,65102,,,0,0,,,,Roxy,Brockman,(573) 526-7625,geology@pr.mo.gov,Portions of this meeting may be closed pursuant to Section 610.021 (1) (3) (5) (7) (13) (14) RSMo. And Chapter 324.001.8 and 324-001.9 RSMo.,,,2020-04-28 20:49:06.0,,,"(38.581448, -92.252301)"
Division of Professional Registration,,10/16/2020 10:00:00 AM,0,0,,Margaritaville Lake Resort,,494 Tan Tar A Drive,,Osage Beach,,65065,,,0,0,,,,Roxy,Brockman,(573) 526-7787,interpreters@pr.mo.gov,Portions of this meeting may be closed pursuant to Section 610.021 (1) (3) (5) (7) (13) (14) RSMo. And Chapter 324.001.8 and 324-001.9 RSMo.,,,2020-04-28 20:01:07.0,,,"(38.1280947, -92.6685736)"
Industry Stakeholder Meeting,,04/16/2020 10:00:00 AM,0,0,,Lewis and Clark State Office Building,LaCharrette Conference Room,1101 Riverside Drive,,Jefferson City,,65101,,,0,0,,,,Melissa,Newman,(573) 751-3195,missy.newman@dnr.mo.gov,,http://dnr.mo.gov/modnr-stakeholders/?/kitchen-cabinet/,,2019-11-05 16:22:13.0,MEETING CANCELLED - WILL BE RESCHEDULED AT A LATER DATE,2020-03-20 15:26:02.0,"(38.5695013, -92.15548869999999)"
Division of Environmental Quality,Missouri Air Conservation Commission,09/24/2020 09:00:00 AM,0,0,,Southwest Regional Office,East and West Conference Rooms,2040 West Woodland,,Springfield,,65807,,,0,0,,,,,,(573) 751-4817,,,,,2019-12-19 14:19:02.0,,,"(37.1756964, -93.3288183)"
Missouri State Board of Accountancy,Board Meeting,06/10/2020 08:00:00 AM,0,0,,Lodge of Four Seasons,,315 Four Seasons Drive,,Lake Ozark,,,,,0,0,,,,,,(573) 751-0012,,Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(6)(7)(11)(13)(14) RSMo and Section 324.001.8 and 324.001.9 RSMo.,,,2020-04-06 18:54:27.0,,,"(38.1870041, -92.68599909999999)"
Solid Waste Advisory Board,,05/06/2020 01:00:00 PM,0,0,,,,,,,,,,,0,1,,,,Ashley,Uptegrove,(573) 526-3900,ashley.uptegrove@dnr.mo.gov,Portions of this meeting may be closed pursuant to Section 610.021 RSMo.,https://dnr.mo.gov/videos/archive-meetings.htm,,2020-04-29 15:05:41.0,,,"(44.5165436, -67.5845034)"
Missouri Highways and Transportation Commission,,05/06/2020 02:00:00 PM,0,0,,Department of Transportation,,105 West Capitol Avenue,,Jefferson City,,65102,,,0,0,,,,Pamela,Harlan,(573) 751-3704,,"Open meeting at 2:00pm.  Closed meeting at 9:30am.  Portions of this meeting are closed pursuant to Sections 610.021(1), (3), (11), (12), and (13) RSMo.This meeting will take place via electronic means.  For information about how to get connected to this meeting, please contact the Secretary to the Commission.",https://www.modot.org/meeting-datesagendas,,2020-04-29 16:54:01.0,,,"(38.5780268, -92.1712986)"
Soil and Water Districts Commission,,06/24/2020 01:30:00 PM,0,0,,Lincoln University George Washington Carver Farm,,3804 Bald Hill Road,,Jefferson City,,65101,,,0,0,,,,Bill,Wilson,,Bill.Wilson@dnr.mo.gov,,,,2020-04-29 19:49:49.0,,,"(38.5259799, -92.141024)"
Missouri Arts Council,Organizations of Color,05/05/2020 10:00:00 AM,0,0,,,,,,,,,,,0,1,,,,Virginia,Sanders,(314) 340-6851,virginia.sanders@ltgov.mo.gov,,,,2020-04-30 11:32:14.0,,,"(44.5165436, -67.5845034)"
State Board of Podiatric Medicine,,05/18/2020 03:30:00 PM,0,0,,Division of Professional Registration,,3605 Missouri Boulevard,,Jefferson City,,65109,,,0,0,,,,,,(573) 751-0873,,Portions of this meeting will be closed pursuant to Section 610.021(1)(3)(5)(7)(13)(14) RSMo and Section 324.001.8 and 324.001.9 RSMo,,,2020-05-07 16:04:41.0,,,"(38.581448, -92.252301)"
Missouri Arts Council,,05/13/2020 03:30:00 PM,0,0,,,,,,,,,,,0,1,,,,Virginia,Sanders,(314) 340-6851,virginia.sanders@ltgov.mo.gov,,,,2020-05-07 16:31:00.0,,,"(44.5165436, -67.5845034)"
Division of Tourism,Tourism Commission Task Force,05/15/2020 12:00:00 PM,0,0,,,,,,,,,https://stateofmo.webex.com/stateofmo/j.php?MTID=m4bf411be6fac3ab7081fa0c6cd9e3fac,,0,1,,280 561 357,,Jadrien,Bopp,(573) 751-4133,,"The meeting is open to the public and interested members of the public are invited to attend, but no public comments will be accepted at that time.",,,2020-05-08 00:30:20.0,,,"(44.5165436, -67.5845034)"
Division of Tourism,Tourism Commission Task Force,05/12/2020 12:00:00 PM,0,0,,,,,,,,,https://stateofmo.webex.com/stateofmo/j.php?MTID=m4bf411be6fac3ab7081fa0c6cd9e3fac,,0,1,,280 561 357,,Jadrien,Bopp,(573) 751-4133,,"The meeting is open to the public and interested members of the public are invited to attend, but no public comments will be accepted at that time.",,,2020-05-08 00:25:48.0,,,"(44.5165436, -67.5845034)"
Missouri Arts Council,Visual Arts,05/13/2020 10:00:00 AM,0,0,,,,,,,,,,,0,1,,,,Virginia,Sanders,(314) 340-6851,virginia.sanders@ltgov.mo.gov,,,,2020-04-30 11:36:27.0,,,"(44.5165436, -67.5845034)"
