Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Max†","Cryptosporidiosis, Previous 52 weeks Max†, flag","Cryptosporidiosis, Cum 2020†","Cryptosporidiosis, Cum 2020†, flag","Cryptosporidiosis, Cum 2019†","Cryptosporidiosis, Cum 2019†, flag","Cyclosporiasis, Current week","Cyclosporiasis, Current week, flag","Cyclosporiasis, Previous 52 weeks Max†","Cyclosporiasis, Previous 52 weeks Max†, flag","Cyclosporiasis, Cum 2020†","Cyclosporiasis, Cum 2020†, flag","Cyclosporiasis, Cum 2019†","Cyclosporiasis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
MONTANA,2020,5,,-,5,,4,,2,,,-,1,,,-,,-,MONTANA,,20200552,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,5,,-,51,,33,,79,,,-,60,,,-,1,,,WEST NORTH CENTRAL,20200520,
MASSACHUSETTS,2020,5,1,,15,,13,,21,,,-,60,,,-,,-,MASSACHUSETTS,,20200505,POINT (-71.481104 42.151077)
MOUNTAIN,2020,5,1,,34,,43,,51,,,-,15,,,-,,-,,MOUNTAIN,20200548,
INDIANA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200516,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,5,,-,2,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200569,
US TERRITORIES,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200563,
US RESIDENTS,2020,6,49,,434,,550,,948,,,-,548,,9,,10,,,US RESIDENTS,20200601,
NEW HAMPSHIRE,2020,6,,-,4,,2,,12,,,-,2,,,-,,-,NEW HAMPSHIRE,,20200606,POINT (-71.57139 43.680429)
NEW YORK,2020,6,4,,27,,39,,24,,,-,85,,,-,,-,NEW YORK,,20200611,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2020,6,9,,69,,47,,84,,,-,127,,,-,2,,,WEST SOUTH CENTRAL,20200643,
NEBRASKA,2020,6,2,,8,,9,,11,,,-,6,,,-,,-,NEBRASKA,,20200625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,6,1,,45,,31,,69,,,-,17,,,-,,-,,EAST SOUTH CENTRAL,20200638,
NORTH DAKOTA,2020,6,,-,3,,,-,2,,,N,,NC,,N,,N,NORTH DAKOTA,,20200626,POINT (-100.46931 47.446305)
ILLINOIS,2020,6,,-,24,,11,,39,,,-,51,,,-,1,,ILLINOIS,,20200615,POINT (-89.148632 40.124144)
IOWA,2020,6,,-,30,,23,,45,,,-,48,,,-,,-,IOWA,,20200621,POINT (-93.500061 42.074659)
TEXAS,2020,6,7,,55,,29,,48,,,-,119,,,-,2,,TEXAS,,20200647,POINT (-99.317341 31.447238)
ALASKA,2020,6,,-,2,,,-,,-,,-,0,,,-,,-,ALASKA,,20200658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,6,,-,1,,,-,4,,,-,11,,,-,,-,DISTRICT OF COLUMBIA,,20200630,POINT (-77.016275 38.904785)
WASHINGTON,2020,6,1,,10,,13,,27,,,-,4,,,-,1,,WASHINGTON,,20200662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,6,3,,26,,27,,54,,,-,91,,,-,,-,,NEW ENGLAND,20200602,
RHODE ISLAND,2020,6,,-,7,,3,,2,,,-,5,,,-,,-,RHODE ISLAND,,20200607,POINT (-71.534637 41.572574)
OREGON,2020,6,,-,11,,5,,34,,,-,1,,,-,,-,OREGON,,20200661,POINT (-120.605279 43.940449)
DELAWARE,2020,6,,-,4,,2,,1,,,-,2,,,-,,-,DELAWARE,,20200629,POINT (-75.452394 38.994926)
ALABAMA,2020,6,1,,14,,16,,25,,,N,,NC,,N,,N,ALABAMA,,20200639,POINT (-86.844516 32.756889)
KANSAS,2020,6,,-,4,,,-,8,,,-,2,,,-,,-,KANSAS,,20200622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,6,,-,10,,17,,24,,,-,31,,,-,1,,NORTH CAROLINA,,20200634,POINT (-79.130883 35.52603)
GUAM,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200666,POINT (144.653198 13.3532)
NEW JERSEY,2020,6,,-,18,,12,,21,,,-,48,,1,,,-,NEW JERSEY,,20200610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,6,,-,8,,5,,4,,,-,4,,,-,,-,NEW MEXICO,,20200654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,6,12,,111,,106,,161,,,-,121,,5,,1,,,EAST NORTH CENTRAL,20200614,
TENNESSEE,2020,6,,-,13,,9,,20,,,-,17,,,-,,-,TENNESSEE,,20200642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,6,,-,5,,,-,10,,,-,26,,,-,,-,CONNECTICUT,,20200603,POINT (-72.738288 41.575155)
MARYLAND,2020,6,3,,6,,12,,4,,,-,78,,2,,,-,MARYLAND,,20200633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,6,,-,7,,7,,11,,,-,4,,,-,,-,SOUTH CAROLINA,,20200635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,6,1,,10,,8,,11,,,N,,NC,,N,,N,OKLAHOMA,,20200646,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200665,POINT (145.725693 15.1834)
OHIO,2020,6,11,,32,,65,,43,,,-,37,,4,,,-,OHIO,,20200618,POINT (-82.70936 40.415534)
MINNESOTA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200623,POINT (-94.198308 46.349153)
LOUISIANA,2020,6,,-,18,,4,,19,,,-,14,,,-,,-,LOUISIANA,,20200645,POINT (-91.840238 30.921314)
HAWAII,2020,6,,-,1,,,-,1,,,-,0,,,-,,-,HAWAII,,20200660,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,6,4,,79,,66,,167,,,-,220,,3,,2,,,SOUTH ATLANTIC,20200628,
PENNSYLVANIA,2020,6,4,,21,,38,,48,,,N,,NC,,N,,N,PENNSYLVANIA,,20200613,POINT (-77.838886 40.896694)
UTAH,2020,6,,-,14,,9,,13,,,-,3,,,-,1,,UTAH,,20200655,POINT (-111.678222 39.323779)
COLORADO,2020,6,2,,14,,20,,9,,,-,10,,,-,,-,COLORADO,,20200650,POINT (-105.547832 38.998552)
VERMONT,2020,6,,-,2,,3,,4,,,-,5,,,-,,-,VERMONT,,20200608,POINT (-72.662695 44.075252)
KENTUCKY,2020,6,,-,21,,,-,20,,,-,0,,,-,,-,KENTUCKY,,20200640,POINT (-85.290484 37.526683)
PUERTO RICO,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200667,POINT (-66.414655 18.215692)
MAINE,2020,6,,-,12,,3,,2,,,-,0,,,-,,-,MAINE,,20200604,POINT (-69.06137 45.117911)
VIRGINIA,2020,6,1,,51,,28,,21,,,-,47,,1,,,-,VIRGINIA,,20200636,POINT (-78.666382 37.510861)
ARIZONA,2020,6,1,,8,,8,,16,,,-,5,,,-,,-,ARIZONA,,20200649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200664,
WISCONSIN,2020,6,1,,40,,22,,43,,,-,28,,1,,,-,WISCONSIN,,20200619,POINT (-89.732969 44.639954)
IDAHO,2020,6,,-,10,,5,,10,,,N,,NC,,N,,N,IDAHO,,20200651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200668,POINT (-64.840836 18.060868)
MICHIGAN,2020,6,,-,20,,8,,36,,,-,69,,,-,,-,MICHIGAN,,20200617,POINT (-85.730977 44.874798)
GEORGIA,2020,6,,-,23,,,-,28,,,-,14,,,-,,-,GEORGIA,,20200632,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,6,1,,19,,28,,36,,,-,44,,,-,,-,,NEW YORK CITY,20200612,
ARKANSAS,2020,6,1,,9,,6,,6,,,-,7,,,-,,-,ARKANSAS,,20200644,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,6,,-,8,,6,,4,,,N,,NC,,N,,N,MISSISSIPPI,,20200641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,6,,-,11,,6,,10,,,-,6,,,-,,-,SOUTH DAKOTA,,20200627,POINT (-100.230491 44.43614)
WYOMING,2020,6,,-,5,,,-,3,,,-,1,,,-,,-,WYOMING,,20200656,POINT (-107.55145 42.999627)
MISSOURI,2020,6,2,,24,,12,,24,,,-,16,,,-,1,,MISSOURI,,20200624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,6,9,,70,,117,,129,,,-,159,,1,,,-,,MIDDLE ATLANTIC,20200609,
CALIFORNIA,2020,6,3,,28,,35,,61,,,-,8,,,-,2,,CALIFORNIA,,20200659,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,6,,-,4,,,-,9,,,-,2,,,-,,-,WEST VIRGINIA,,20200637,POINT (-80.613729 38.642579)
FLORIDA,2020,6,,-,21,,,-,65,,,-,114,,,-,1,,FLORIDA,,20200631,POINT (-82.420978 28.260731)
MONTANA,2020,6,,-,5,,4,,2,,,-,1,,,-,,-,MONTANA,,20200652,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,6,4,,51,,50,,100,,,-,60,,,-,1,,,WEST NORTH CENTRAL,20200620,
MASSACHUSETTS,2020,6,3,,15,,16,,24,,,-,60,,,-,,-,MASSACHUSETTS,,20200605,POINT (-71.481104 42.151077)
MOUNTAIN,2020,6,3,,34,,53,,61,,,-,15,,,-,1,,,MOUNTAIN,20200648,
INDIANA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200616,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,6,,-,2,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200669,
US TERRITORIES,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200663,
TOTAL,2020,7,62,,435,,732,,1080,,,-,549,,11,,11,,,TOTAL,20200770,
US RESIDENTS,2020,7,62,,435,,732,,1080,,,-,549,,11,,11,,,US RESIDENTS,20200701,
NEW HAMPSHIRE,2020,7,,-,4,,3,,15,,,-,2,,,-,,-,NEW HAMPSHIRE,,20200706,POINT (-71.57139 43.680429)
NEW YORK,2020,7,2,,27,,41,,29,,,-,85,,,-,,-,NEW YORK,,20200711,POINT (-75.59655 42.921241)
PACIFIC,2020,7,6,,43,,61,,135,,,-,9,,,-,3,,,PACIFIC,20200757,
WEST SOUTH CENTRAL,2020,7,3,,69,,55,,101,,,-,127,,,-,2,,,WEST SOUTH CENTRAL,20200743,
NEBRASKA,2020,7,2,,8,,12,,13,,,-,6,,,-,,-,NEBRASKA,,20200725,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,7,1,,45,,42,,75,,,-,17,,,-,,-,,EAST SOUTH CENTRAL,20200738,
NORTH DAKOTA,2020,7,,-,3,,,-,2,,,N,,NC,,N,,N,NORTH DAKOTA,,20200726,POINT (-100.46931 47.446305)
NEVADA,2020,7,,-,4,,3,,4,,,N,,NC,,N,,N,NEVADA,,20200753,POINT (-114.916992 39.283294)
ILLINOIS,2020,7,,-,24,,21,,45,,,-,51,,1,,1,,ILLINOIS,,20200715,POINT (-89.148632 40.124144)
IOWA,2020,7,1,,30,,33,,52,,,-,48,,,-,,-,IOWA,,20200721,POINT (-93.500061 42.074659)
TEXAS,2020,7,3,,55,,37,,59,,,-,119,,,-,2,,TEXAS,,20200747,POINT (-99.317341 31.447238)
ALASKA,2020,7,,-,2,,,-,,-,,-,0,,,-,,-,ALASKA,,20200758,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,7,,-,2,,,-,5,,,-,11,,,-,,-,DISTRICT OF COLUMBIA,,20200730,POINT (-77.016275 38.904785)
WASHINGTON,2020,7,,-,10,,13,,31,,,-,4,,,-,1,,WASHINGTON,,20200762,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,7,4,,26,,34,,58,,,-,91,,,-,,-,,NEW ENGLAND,20200702,
RHODE ISLAND,2020,7,,-,7,,5,,2,,,-,5,,,-,,-,RHODE ISLAND,,20200707,POINT (-71.534637 41.572574)
OREGON,2020,7,2,,11,,7,,35,,,-,1,,,-,,-,OREGON,,20200761,POINT (-120.605279 43.940449)
DELAWARE,2020,7,1,,4,,3,,1,,,-,2,,,-,,-,DELAWARE,,20200729,POINT (-75.452394 38.994926)
ALABAMA,2020,7,,-,14,,18,,25,,,N,,NC,,N,,N,ALABAMA,,20200739,POINT (-86.844516 32.756889)
KANSAS,2020,7,,-,4,,,-,10,,,-,2,,,-,,-,KANSAS,,20200722,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,7,,-,10,,21,,29,,,-,31,,,-,1,,NORTH CAROLINA,,20200734,POINT (-79.130883 35.52603)
GUAM,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200766,POINT (144.653198 13.3532)
NEW JERSEY,2020,7,,-,18,,12,,21,,,-,48,,1,,,-,NEW JERSEY,,20200710,POINT (-74.655514 40.110253)
NEW MEXICO,2020,7,,-,8,,6,,4,,,-,4,,,-,,-,NEW MEXICO,,20200754,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,7,17,,111,,142,,193,,,-,121,,6,,2,,,EAST NORTH CENTRAL,20200714,
TENNESSEE,2020,7,1,,13,,17,,23,,,-,17,,,-,,-,TENNESSEE,,20200742,POINT (-86.343226 35.842998)
CONNECTICUT,2020,7,,-,5,,,-,11,,,-,26,,,-,,-,CONNECTICUT,,20200703,POINT (-72.738288 41.575155)
MARYLAND,2020,7,5,,6,,17,,4,,,-,78,,2,,,-,MARYLAND,,20200733,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,7,,-,7,,8,,15,,,-,4,,,-,,-,SOUTH CAROLINA,,20200735,POINT (-80.864614 33.878572)
OKLAHOMA,2020,7,,-,10,,8,,11,,,N,,NC,,N,,N,OKLAHOMA,,20200746,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200765,POINT (145.725693 15.1834)
OHIO,2020,7,11,,32,,76,,57,,,-,37,,4,,,-,OHIO,,20200718,POINT (-82.70936 40.415534)
MINNESOTA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200723,POINT (-94.198308 46.349153)
LOUISIANA,2020,7,,-,18,,4,,24,,,-,14,,,-,,-,LOUISIANA,,20200745,POINT (-91.840238 30.921314)
HAWAII,2020,7,,-,1,,,-,2,,,-,0,,,-,,-,HAWAII,,20200760,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,7,18,,79,,140,,197,,,-,220,,4,,2,,,SOUTH ATLANTIC,20200728,
PENNSYLVANIA,2020,7,3,,21,,41,,53,,,N,,NC,,N,,N,PENNSYLVANIA,,20200713,POINT (-77.838886 40.896694)
UTAH,2020,7,,-,14,,10,,14,,,-,3,,,-,1,,UTAH,,20200755,POINT (-111.678222 39.323779)
COLORADO,2020,7,1,,14,,22,,9,,,-,10,,,-,,-,COLORADO,,20200750,POINT (-105.547832 38.998552)
VERMONT,2020,7,1,,2,,5,,4,,,-,5,,,-,,-,VERMONT,,20200708,POINT (-72.662695 44.075252)
KENTUCKY,2020,7,,-,21,,,-,22,,,-,0,,,-,,-,KENTUCKY,,20200740,POINT (-85.290484 37.526683)
PUERTO RICO,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200767,POINT (-66.414655 18.215692)
MAINE,2020,7,,-,12,,3,,2,,,-,0,,,-,,-,MAINE,,20200704,POINT (-69.06137 45.117911)
VIRGINIA,2020,7,3,,51,,32,,25,,,-,47,,1,,,-,VIRGINIA,,20200736,POINT (-78.666382 37.510861)
ARIZONA,2020,7,3,,8,,11,,19,,,-,5,,,-,,-,ARIZONA,,20200749,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,7,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200764,
WISCONSIN,2020,7,6,,40,,32,,46,,,-,28,,1,,1,,WISCONSIN,,20200719,POINT (-89.732969 44.639954)
IDAHO,2020,7,,-,10,,5,,10,,,N,,NC,,N,,N,IDAHO,,20200751,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200768,POINT (-64.840836 18.060868)
MICHIGAN,2020,7,,-,20,,13,,45,,,-,69,,,-,,-,MICHIGAN,,20200717,POINT (-85.730977 44.874798)
GEORGIA,2020,7,2,,23,,24,,31,,,-,14,,,-,,-,GEORGIA,,20200732,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,7,,-,19,,32,,38,,,-,44,,,-,,-,,NEW YORK CITY,20200712,
ARKANSAS,2020,7,,-,9,,6,,7,,,-,7,,,-,,-,ARKANSAS,,20200744,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,7,,-,8,,7,,5,,,N,,NC,,N,,N,MISSISSIPPI,,20200741,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,7,,-,11,,7,,11,,,-,6,,,-,,-,SOUTH DAKOTA,,20200727,POINT (-100.230491 44.43614)
WYOMING,2020,7,,-,5,,2,,4,,,-,1,,,-,,-,WYOMING,,20200756,POINT (-107.55145 42.999627)
MISSOURI,2020,7,,-,24,,12,,26,,,-,16,,,-,1,,MISSOURI,,20200724,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,7,5,,70,,126,,141,,,-,159,,1,,,-,,MIDDLE ATLANTIC,20200709,
CALIFORNIA,2020,7,4,,28,,41,,67,,,-,8,,,-,2,,CALIFORNIA,,20200759,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,7,,-,4,,,-,12,,,-,2,,,-,,-,WEST VIRGINIA,,20200737,POINT (-80.613729 38.642579)
FLORIDA,2020,7,7,,21,,35,,75,,,-,114,,1,,1,,FLORIDA,,20200731,POINT (-82.420978 28.260731)
MONTANA,2020,7,1,,5,,9,,2,,,-,1,,,-,,-,MONTANA,,20200752,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,7,3,,51,,64,,114,,,-,60,,,-,1,,,WEST NORTH CENTRAL,20200720,
MASSACHUSETTS,2020,7,3,,15,,18,,24,,,-,60,,,-,,-,MASSACHUSETTS,,20200705,POINT (-71.481104 42.151077)
MOUNTAIN,2020,7,5,,34,,68,,66,,,-,15,,,-,1,,,MOUNTAIN,20200748,
INDIANA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200716,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,7,,-,2,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200769,
US TERRITORIES,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200763,
WEST NORTH CENTRAL,2020,16,4,,75,,169,,379,,,-,87,,2,,10,,,WEST NORTH CENTRAL,20201620,
TOTAL,2020,8,74,,435,,873,,1227,,1,,549,,14,,18,,,TOTAL,20200870,
US RESIDENTS,2020,8,74,,435,,873,,1227,,1,,549,,14,,18,,,US RESIDENTS,20200801,
NEW HAMPSHIRE,2020,8,,-,4,,4,,15,,,-,2,,,-,,-,NEW HAMPSHIRE,,20200806,POINT (-71.57139 43.680429)
NEW YORK,2020,8,9,,27,,50,,31,,,-,85,,,-,,-,NEW YORK,,20200811,POINT (-75.59655 42.921241)
PACIFIC,2020,8,5,,43,,76,,148,,,-,9,,,-,3,,,PACIFIC,20200857,
WEST SOUTH CENTRAL,2020,8,19,,69,,85,,119,,1,,127,,1,,3,,,WEST SOUTH CENTRAL,20200843,
NEBRASKA,2020,8,,-,8,,12,,19,,,-,6,,,-,,-,NEBRASKA,,20200825,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,8,4,,45,,53,,81,,,-,17,,1,,,-,,EAST SOUTH CENTRAL,20200838,
NORTH DAKOTA,2020,8,,-,3,,,-,2,,,N,,NC,,N,,N,NORTH DAKOTA,,20200826,POINT (-100.46931 47.446305)
NEVADA,2020,8,,-,4,,4,,5,,,N,,NC,,N,,N,NEVADA,,20200853,POINT (-114.916992 39.283294)
ILLINOIS,2020,8,,-,24,,21,,49,,,-,51,,1,,2,,ILLINOIS,,20200815,POINT (-89.148632 40.124144)
IOWA,2020,8,1,,30,,38,,56,,,-,48,,,-,,-,IOWA,,20200821,POINT (-93.500061 42.074659)
TEXAS,2020,8,14,,55,,62,,67,,1,,119,,1,,3,,TEXAS,,20200847,POINT (-99.317341 31.447238)
ALASKA,2020,8,,-,2,,,-,,-,,-,0,,,-,,-,ALASKA,,20200858,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,8,,-,2,,,-,5,,,-,11,,,-,,-,DISTRICT OF COLUMBIA,,20200830,POINT (-77.016275 38.904785)
WASHINGTON,2020,8,,-,10,,14,,34,,,-,4,,,-,1,,WASHINGTON,,20200862,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,8,1,,26,,40,,59,,,-,91,,1,,,-,,NEW ENGLAND,20200802,
RHODE ISLAND,2020,8,,-,7,,5,,2,,,-,5,,,-,,-,RHODE ISLAND,,20200807,POINT (-71.534637 41.572574)
OREGON,2020,8,,-,11,,8,,40,,,-,1,,,-,,-,OREGON,,20200861,POINT (-120.605279 43.940449)
DELAWARE,2020,8,,-,4,,3,,1,,,-,2,,,-,,-,DELAWARE,,20200829,POINT (-75.452394 38.994926)
ALABAMA,2020,8,,-,14,,18,,27,,,N,,NC,,N,,N,ALABAMA,,20200839,POINT (-86.844516 32.756889)
KANSAS,2020,8,,-,4,,1,,12,,,-,2,,,-,,-,KANSAS,,20200822,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,8,,-,10,,23,,33,,,-,31,,,-,1,,NORTH CAROLINA,,20200834,POINT (-79.130883 35.52603)
GUAM,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200866,POINT (144.653198 13.3532)
NEW JERSEY,2020,8,,-,18,,13,,26,,,-,48,,1,,1,,NEW JERSEY,,20200810,POINT (-74.655514 40.110253)
NEW MEXICO,2020,8,,-,7,,6,,4,,,-,4,,,-,,-,NEW MEXICO,,20200854,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,8,16,,111,,162,,224,,,-,121,,6,,4,,,EAST NORTH CENTRAL,20200814,
TENNESSEE,2020,8,1,,13,,24,,24,,,-,17,,1,,,-,TENNESSEE,,20200842,POINT (-86.343226 35.842998)
CONNECTICUT,2020,8,,-,5,,4,,11,,,-,26,,,-,,-,CONNECTICUT,,20200803,POINT (-72.738288 41.575155)
MARYLAND,2020,8,1,,6,,18,,6,,,-,78,,2,,,-,MARYLAND,,20200833,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,8,4,,7,,12,,17,,,-,4,,,-,,-,SOUTH CAROLINA,,20200835,POINT (-80.864614 33.878572)
OKLAHOMA,2020,8,4,,10,,12,,13,,,N,,NC,,N,,N,OKLAHOMA,,20200846,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200865,POINT (145.725693 15.1834)
OHIO,2020,8,11,,32,,87,,67,,,-,37,,4,,,-,OHIO,,20200818,POINT (-82.70936 40.415534)
MINNESOTA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200823,POINT (-94.198308 46.349153)
LOUISIANA,2020,8,,-,18,,4,,30,,,-,14,,,-,,-,LOUISIANA,,20200845,POINT (-91.840238 30.921314)
HAWAII,2020,8,,-,1,,,-,2,,,-,0,,,-,,-,HAWAII,,20200860,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,8,14,,79,,163,,220,,,-,220,,4,,3,,,SOUTH ATLANTIC,20200828,
PENNSYLVANIA,2020,8,1,,21,,46,,64,,,N,,NC,,N,,N,PENNSYLVANIA,,20200813,POINT (-77.838886 40.896694)
UTAH,2020,8,,-,14,,10,,17,,,-,3,,,-,1,,UTAH,,20200855,POINT (-111.678222 39.323779)
COLORADO,2020,8,,-,14,,23,,11,,,-,10,,,-,,-,COLORADO,,20200850,POINT (-105.547832 38.998552)
VERMONT,2020,8,,-,2,,5,,4,,,-,5,,,-,,-,VERMONT,,20200808,POINT (-72.662695 44.075252)
KENTUCKY,2020,8,,-,21,,,-,22,,,-,0,,,-,,-,KENTUCKY,,20200840,POINT (-85.290484 37.526683)
PUERTO RICO,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200867,POINT (-66.414655 18.215692)
MAINE,2020,8,,-,12,,3,,2,,,-,0,,,-,,-,MAINE,,20200804,POINT (-69.06137 45.117911)
VIRGINIA,2020,8,7,,51,,41,,27,,,-,47,,1,,,-,VIRGINIA,,20200836,POINT (-78.666382 37.510861)
ARIZONA,2020,8,3,,8,,16,,22,,,-,5,,,-,,-,ARIZONA,,20200849,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,8,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200864,
WISCONSIN,2020,8,5,,40,,40,,57,,,-,28,,1,,1,,WISCONSIN,,20200819,POINT (-89.732969 44.639954)
IDAHO,2020,8,,-,10,,5,,13,,,N,,NC,,N,,N,IDAHO,,20200851,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200868,POINT (-64.840836 18.060868)
MICHIGAN,2020,8,,-,20,,14,,51,,,-,69,,,-,1,,MICHIGAN,,20200817,POINT (-85.730977 44.874798)
GEORGIA,2020,8,1,,23,,30,,34,,,-,14,,,-,1,,GEORGIA,,20200832,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,8,1,,19,,38,,43,,,-,44,,,-,2,,,NEW YORK CITY,20200812,
ARKANSAS,2020,8,1,,9,,7,,9,,,-,7,,,-,,-,ARKANSAS,,20200844,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,8,3,,8,,11,,8,,,N,,NC,,N,,N,MISSISSIPPI,,20200841,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,8,,-,11,,9,,13,,,-,6,,,-,,-,SOUTH DAKOTA,,20200827,POINT (-100.230491 44.43614)
WYOMING,2020,8,,-,5,,2,,5,,,-,1,,,-,,-,WYOMING,,20200856,POINT (-107.55145 42.999627)
MISSOURI,2020,8,,-,24,,12,,31,,,-,16,,,-,1,,MISSOURI,,20200824,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,8,11,,70,,147,,164,,,-,159,,1,,3,,,MIDDLE ATLANTIC,20200809,
CALIFORNIA,2020,8,5,,28,,54,,72,,,-,8,,,-,2,,CALIFORNIA,,20200859,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,8,,-,4,,,-,14,,,-,2,,,-,,-,WEST VIRGINIA,,20200837,POINT (-80.613729 38.642579)
FLORIDA,2020,8,1,,21,,36,,83,,,-,114,,1,,1,,FLORIDA,,20200831,POINT (-82.420978 28.260731)
MONTANA,2020,8,,-,5,,9,,2,,,-,1,,,-,,-,MONTANA,,20200852,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,8,1,,51,,72,,133,,,-,60,,,-,1,,,WEST NORTH CENTRAL,20200820,
