County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude,Georeference
Erie,Creekside Market Farm Stand,13971 Route 62 Collins,13971 Route 62,Collins,NY,14034,Alan Butzer,7165481863,http://www.creeksideproduce.com,Daily 10am-6pm,April 8-December 26,P/M/X,Y,Y,N,Y,42.49846,-78.92872,"(42.49846, -78.92872)"
Suffolk,HOG Farm Stand-Brookhaven,319 Beaverdam Rd. Brookhaven,319 Beaverdam Rd,Brookhaven,NY,11719,Lauren Napoli,6317902561,http://thehogfarm.org,"Saturday  9am-1pm, M/W/F 3:30pm-6:30pm",May 20-December 20,P/M/X,N,N,N,Y,40.77329,-72.90525,"(40.77329, -72.90525)"
Columbia,City of Hudson WINTER Farmers' Market,"601 Union St. Hudson, sidewalk",601 Union St.,Hudson,NY,12534,Marilyn Cederoth,5189650552,http://www.hudsonfarmersmarketny.com,Saturday  10am-1pm,"Dec, February-April 25, 2020",X/W/P,N,N,N,Y,42.24738,-73.78535,"(42.24738, -73.78535)"
Erie,Bowman Farms Farm stand,11259 Gowanda State Rd. North Collins,11259 Gowanda State Rd.,North Collins,NY,14111,Susan Bowman,7163372695,http://www.bowmanfarmsinc.com,Daily  9am-5pm,June-October,M,Y,Y,N,Y,42.57506,-78.93838,"(42.57506, -78.93838)"
Sullivan,Callicoon Farmers' Market,Callicoon Creek Park Audrey Dorrer Dr.,Audrey Dorrer Dr,Callicoon,NY,12723,Eugene Thalmann,6313327948,http://callicoonfarmersmarket.org/,Sunday  11am-2pm,May 3-November 29,P/M,N,Y,N,Y,41.76559,-75.05797,"(41.76559, -75.05797)"
Erie,South Buffalo Farmers' Market,Cazenovia Park Casino Buffalo,"Cazenovia Casino, Cazenovia Park",Buffalo,NY,14220,Peggy Shea,7168515169,https://www.facebook.com/SouthBuffaloMarket,Sunday  9am-1pm,June 7-September 27,M,N,N,N,Y,42.847895,-78.805781,"(42.847895, -78.805781)"
New York,82nd Street Saint Stephen's Greenmarket,408 E 82nd St.  btwn 1st & York Aves.,408 East 82nd Street,New York,NY,10128,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/manhattan/82nd-street,Saturday  9am-2:30pm,Year-round,YR,N,Y,N,Y,40.77394,-73.9506,"(40.77394, -73.9506)"
Wayne,Sodus Farmers' Market,Sodus Methodist Church 58 W. Main St.,58 West Main St,Sodus,NY,14551,Sandy Hall,3154838029,http://www.sutmc.org/sodus-farmers-market,Wed  2:30pm-6pm,June 10-October 7,M,Y,Y,N,Y,43.23615,-77.06587,"(43.23615, -77.06587)"
Albany,Veggie Mobile-North Albany YMCA,616 N. Pearl St. Albany,616 North Pearl Street,Albany,NY,12204,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 4:45pm-5:45pm,Year-round,YR,N,Y,Y,Y,42.67368,-73.73953,"(42.67368, -73.73953)"
Niagara,North Tonawanda City Sat Farmers' Market,Robinson Rd. & Payne Ave.,310 Robinson Road,North Tonawanda,NY,14120,Matt Parrish,7166958555,http://www.northtonawanda.org/Departments/City%20Market.htm,Saturday  7am-1pm,Year-round,YR,N,Y,N,Y,43.03377,-78.87021,"(43.03377, -78.87021)"
Oswego,Fulton Farmers' Market,"Canalview Mall Parking Lot, Off Route 41 Fulton",Canalview Mall,Fulton,NY,13069,Sara Broadwell,3153437681,,Saturday  8am-12pm,June 13-October 10,M,N,Y,N,Y,43.3111,-76.40499,"(43.3111, -76.40499)"
Chenango,Sunrise Farms Farm Stand,252 Plymouth-North Norwich Rd.  Plymouth,252 Plymouth-North Norwich Rd.,Plymouth,NY,13832,Kathryn Clemens,6073365834,,Mon-Fri  8am-6pm                       Sat 12pm-5pm                                     Sun 1pm-5pm,4/1/20-11/30/20,P/M,N,N,N,Y,42.62427,-75.59152,"(42.62427, -75.59152)"
Madison,Kubeckas Farm Stand,691 Chestnut Rdige Rd. Kirkville,691 Chestnut Ridge Rd,Kirkville,NY,13082,Karissa Atwood,3156322739,,Mon-Fri 10a-6p                                   Sat 10a-5p                                           Sun 11a-3p,June 13-October 31,M,N,N,N,Y,43.11239,-75.94782,"(43.11239, -75.94782)"
Orleans,Panek's Pickin' Patch,13420 W County House Rd  Albion,13420 W County House Rd.,Albion,NY,14411,Guinevere Panek,5855896155,http://www.panekspickinpatch.com,Daily  9am-5pm,June 1-October 31,M,N,N,N,Y,43.21866,-78.2551,"(43.21866, -78.2551)"
Ontario,Outback Farm Farm Market,2135 County Rd. 8 Canandaigua,2135 County Rd 8,Canandaigua,NY,14424,Marlin & Leann Sensenig,7175870079,,"Mon-Fri 8am-8pm, Saturday 8am-4pm",April 20-November 30,P/M,Y,N,N,Y,42.92848,-77.30929,"(42.92848, -77.30929)"
Nassau,Roslyn Farmers' Market,Christopher Morley Park 500 Searingtown Rd. Roslyn,500 Searingtown Rd,Roslyn Heights,NY,11577,Ethel Terry,6313233653,http://www.longislandgrowersmarket.com,Wednesday  7am-1pm,June 3-November 25,M,Y,N,N,Y,40.78188,-73.66277,"(40.78188, -73.66277)"
Albany,Veggie Mobile-Creighton Storey Homes,158 3rd Street Albany,158 3rd Street,Albany,NY,12202,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu 5pm-5:45pm,Year-round,YR,N,Y,Y,Y,42.66205,-73.7578,"(42.66205, -73.7578)"
New York,Dag Hammarskjold Plaza Greenmarket,245 E 47th St. btwn 1st & 2nd Aves.,East 47th St and Second Ave,New York,NY,10017,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/manhattan/dag-hammarskjold,Wednesday  8am-4pm,Year-round,YR,N,Y,N,Y,40.75298,-73.96989,"(40.75298, -73.96989)"
Chautauqua,Abers Acres Farm Stand,884 Route 394  Kennedy,884 Rte. 394,Kennedy,NY,14747,Sue Abers,7162672431,http://www.abersacres.com,"Daily 9am-6:30pm, Nov-May 10am-5pm",Year-round,YR,Y,Y,N,Y,42.14495,-79.10996,"(42.14495, -79.10996)"
Seneca,Waterloo Rotary Farmers' Market,"22 Locust Street, parking lot near Save a Lot",22 Locust Street,Waterloo,NY,13165,Dan Grillone,8133820889,http://www.waterloofarmmarket.com,Saturday  9am-1pm,June 20-October 3,M,Y,Y,N,Y,42.90253,-76.86587,"(42.90253, -76.86587)"
Erie,Groundwork Market Garden Farm Stand,1698 Genesee St.  Buffalo,1698 Genesee St.,Buffalo,NY,14211,Mayda Pozantides,7169087396,http://www.groundworkmg.com,Tuesday  4pm-7pm,June 9-October 27,M,Y,Y,N,Y,42.91092,-78.81813,"(42.91092, -78.81813)"
Wyoming,Perry Farmers' Market,Perry Festival Plaza  S. Main Street,Main St and Borden Ave,Perry,NY,14530,Rick Hauser,5859913893,http://www.perryfarmersmarket.com,Sat  8:30am-12:30pm,June 20-September 26,M,Y,N,N,Y,42.71842,-78.00218,"(42.71842, -78.00218)"
Oneida,Oneida County WINTER Public Market,"Inside Main Lobby Union Station, 321 Main Street Downtown Utica",321 Main Street,Utica,NY,13501,Elizabeth Irons,3157983639,http://www.oneidacountymarket.com,"closed until further notice., Alt Saturdays  9am-1pm","November 9-Apr 25, 2020",M/X/W/P,N,Y,N,Y,43.10393,-75.2239,"(43.10393, -75.2239)"
Clinton,Pray's Family Farm Stand-Keesville,391 Route 9N  Keeseville,391 Route 9N,Keeseville,NY,12944,Darcy Pray,5188349130,http://www.praysmarket.com,"Daily  8:30am-7pm, Winter: hours change",Year-Round,YR,N,N,N,Y,44.49367,-73.50798,"(44.49367, -73.50798)"
Madison,Mosher Farms Farm Stand,3214 Fargo Rd Bouckville,3214 Fargo Rd,Bouckville,NY,13310,Terry Mosher,3158937173,http://www.mosherfarms.com,"Mon-Sat 9am-6pm, Sunday 10am-6pm",June 10-October 31,M,N,N,N,Y,42.87972,-75.57175,"(42.87972, -75.57175)"
St. Lawrence,Massena Farmers and Artisans Co-op-Sunday,Tractor Supply 105 Harte Haven Plaza,105 Harte Haven Plaza,Massena,NY,13662,Matt Martin,3158428052,,Sunday 10am-2pm,July 14-October 13,M,N,Y,N,Y,44.92199,-74.88432,"(44.92199, -74.88432)"
Monroe,Brockport Farmers' Market,Market St. off Main St. Brockport,Main St and Market St,Brockport,NY,14420,Charlene Veltz,5857503382,http://www.brockportny.org/community/farmers-market,Sunday  8am-1pm,June 21 -October 25,M,Y,N,N,Y,43.21556,-77.9385,"(43.21556, -77.9385)"
Schenectady,Veggie Mobile-Hillside View Apts,602 Craig Street  Schenectady,602 Craig Street,Schenectady,NY,12307,Audrey Bridge,5182748685,http://www.captialroots.org,Friday 2:15pm-3pm,Year-round,YR,N,Y,Y,Y,42.80323,-73.93741,"(42.80323, -73.93741)"
Dutchess,Z Farms Farm Stand,355 Poplar Hill Rd.  Dover Plains,355 Poplar Hill Road,Dover Plains,NY,12522,Diana Zlotnikov,9173196414,http://www.zfarmsorganic.com,Mon 8am-4pm                          Tues-Sun 10am-6pm,Year-round,YR,N,N,N,Y,41.75631,-73.55278,"(41.75631, -73.55278)"
Rensselaer,Veggie Mobile-Kennedy Towers Apts,2100 6th Ave. Troy,2100 6th Avenue,Troy,NY,12180,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu 2:45pm-3:45pm,Year-round,YR,N,Y,Y,Y,42.73495,-73.68493,"(42.73495, -73.68493)"
Orleans,Lori's Market Basket Farm Stand,51 State St.  Holley,51 State Street,Holley,NY,14470,Lori Passarell,5853310708,,Daily  9am-6pm,May 1-November 30,P/M,Y,N,N,Y,43.22135,-78.02329,"(43.22135, -78.02329)"
Niagara,Schwab Farm Stand,9035 Rochester Rd. Gasport,9035 Rochester Rd,Gasport,NY,14067,Sharon Brent,7165600853,http://www.schwabsfarm.com,"Mon-Fri  8am-7pm, Saturday  8am-6pm, Sunday  9am-5pm",Year-round,YR,N,Y,N,Y,43.20425,-78.52308,"(43.20425, -78.52308)"
Rockland,Palisades Indoor WINTER Farmers' Market,"Palisades Community Center, 675 Oak Tree Rd",675 Oak Tree Rd,Palisades,NY,10964,Carol Baxter,8453593988,http://www.palisadesfm.org,Saturday  9am-1pm,December 7-May,W/P,N,N,N,Y,41.011524,-73.917671,"(41.011524, -73.917671)"
Allegany,On the River Farm Stand,7579 Route 19 Belfast,7579 Route 19,Belfast,NY,14711,Stephen Demarte,7165605594,,"Mon-Fri 3pm-6pm, Saturday 10am-7pm, Sunday 12pm-6pm",June-November,M,N,N,N,Y,42.34485,-78.11563,"(42.34485, -78.11563)"
Herkimer,MAWS Farm Stand,7342 Main Street Newport,7342 Main Street,Newport,NY,13416,Michael Skwara,3159850088,http://www.mawsfarm.com,"Mon-Sat  9am-6pm, Sunday  10am-6pm, hours change Nov-Apr",Year-round,YR,N,Y,N,Y,43.18096,-75.01054,"(43.18096, -75.01054)"
Suffolk,Montauk Farmers' Market,Village Green 743 Montauk Hwy,742 Montauk Hwy,Montauk,NY,11954,Laraine Creegan,6316682355,http://www.facebook.com/montaukfarmersmarket,Thur 9am-2pm,June 11-September 10,M,Y,N,N,Y,41.03436,-71.94424,"(41.03436, -71.94424)"
Orange,Village of Monroe Farmers' Market,"Park & Ride Commuter Lot , Millpond Parkway",68 Millpond Pkwy,Monroe,NY,10950,Dorey Houle,9175382821,http://www.facebook.com/villageofmonroefarmersmarket,Sunday  9am-2pm,June 7-November 22,M,Y,N,N,Y,41.32983,-74.189196,"(41.32983, -74.189196)"
Chemung,Chemung Valley ECL Market,800 West Broad St. Horseheads,800 West Broad Street,Horseheads,NY,14845,Cassidy L Mallernee,6077954430,,Thursday 3pm-6pm,June 4-September 24,M,N,N,N,Y,42.16027,-76.82182,"(42.16027, -76.82182)"
Warren,Bolton Landing Farmers' Market,5 Cross St directly behind Town Hall,5 Cross Street,Bolton,NY,12814,Penelope Jewell,5184809118,http://www.boltonlandingfarmersmarket.com,Friday  9am-2pm,June 26-September 4,M,Y,N,N,Y,43.55744,-73.65727,"(43.55744, -73.65727)"
Kings,Brooklyn Grange Farm Stand @ SSP,"850 3rd Ave, rooftop  Brooklyn",850 3rd Ave,Brooklyn,NY,11232,Ben Flanner,,http://www.brooklyngrangefarm.org,Sunday 10am-4pm,May 24-November 1,M,Y,N,N,Y,40.6594,-74.0044,"(40.6594, -74.0044)"
Sullivan,Rock Hill Farmers' Market,223 Rock Hill Drive,223 Rock Hill Drive,Rock Hill,NY,12775,Melinda Meddaugh,8453970376,http://www.rockhillfarmersmarket.com,Saturday  10am-1pm,June 6-September 26,M,Y,N,N,Y,41.62515,-74.59634,"(41.62515, -74.59634)"
Wayne,Newark Farmers' Market,303 East Ave,303 East Avenue,Newark,NY,14513,Andrew Bodine,3158791120,http://www.facebook.com/newarkfarmersmarket,Thursday  2pm-6pm,June 25-October 22,M,N,Y,N,Y,43.04412,-77.09252,"(43.04412, -77.09252)"
Oneida,Boonville Farmers' Market,"Erwin Park parking lot, Route 12","Erwin Park parking lot, Route 12",Boonville,NY,13309,Michelle Bartelotte,3159425112,http://boonvillechamber.com,Thur 12:30pm-5:30pm,June 11-October 1,M,Y,N,N,Y,43.48178,-75.34404,"(43.48178, -75.34404)"
Albany,The Gade Farm Farm Stand,2479 Western Avenue Altamont,2479 Western Avenue,Altamont,NY,12009,Amy Castillo,5188698019,http://www.gadefarm.com,"Sunday  9am-5pm, Mon-Sat 9am-6pm",March 20-December 24,P/M/X,Y,N,N,Y,42.71055,-73.92593,"(42.71055, -73.92593)"
Erie,Peaceful Soul Farmers' Market,11359 Southwestern Blvd (Native Pride) Irving,11359 Southwestern Blvd,Irving,NY,14081,Azalia Garlow,7169037066,http://www.peacefulsoulfarmersmarket.com,Tuesday  10am-3pm,June 16-October 27,M,N,Y,N,Y,42.57394,-79.09044,"(42.57394, -79.09044)"
Jefferson,Watertown Saturday Farmers' Market,"Pavilion at J.B. Wise , 175 Black River Pkway",175 Black River Parkway,Watertown,NY,13601,Shawn Chamberlain,3154081088,http://www.facebook.com/Watertown-Saturday-Farmers-Market-106662177762/,Saturday  9am-2pm,May 30-October 31,M,Y,N,N,Y,43.97651,-75.90988,"(43.97651, -75.90988)"
Bronx,TFFJ Fresh Farm Market-Bronx,100 W Mosholu Pkwy South,100 W Mosholu Pkwy South,Bronx,NY,10468,Katherine Soll,9292411029,http://www.teensforfoodjustice.org,Thursday 3pm-6pm,Year-Round,YR,N,Y,N,Y,40.88007,-73.88593,"(40.88007, -73.88593)"
Cortland,Plunkett Farms Farm Stand,2180 Tower Road Cortland,2180 Tower Road,Cortland,NY,13045,John and Carla Plunkett,6077530001,,Daily 9am-5pm,July 1-October 31,M,Y,N,N,Y,42.55495,-76.13123,"(42.55495, -76.13123)"
Nassau,Restoration Farm Farm Stand,140 Bethpage-Sweet Hollow Road,140 Bethpage-Sweet Hollow Road,Old Bethpage,NY,11804,Caroline Fanning,7183094220,http://www.restorationfarm.com,"Saturday 10am-1pm, Tu/Th 3pm-6pm, hours change Oct 31",May 16-December 19,M/X,Y,N,N,Y,40.76181,-73.44488,"(40.76181, -73.44488)"
New York,Tompkins Square Greenmarket,Tompkins Square Park 111 Ave at E 7 St.,Avenue A and East 7th St,New York,NY,10009,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/manhattan/tompkins-square,Sunday  9am-5pm,Year-round,YR,N,Y,N,Y,40.72602,-73.98353,"(40.72602, -73.98353)"
Lewis,Owls Landing Farm Farm Stand,7411 West Rd Lowville,7411 West Road,Lowville,NY,13367,John Ingham,3153762268,http://owlslandingfarm.com,"Mon-Thu 3p-6p                             Fri 3p-5p                 , Sat/Sun 1p-6pm",September 1-Nov 30,M,N,N,N,Y,43.78906,-75.54409,"(43.78906, -75.54409)"
Saratoga,Bowman Orchards Farm Stand,141 Sugarhill Road Rexford,141 Sugarhill Road,Rexford,NY,12148,Kevin Bowman,5183712042,http://www.bowmanorchards.com,Daily 9am-5pm,May 1-December 23,P/M/X,Y,N,N,Y,42.81576,-73.83953,"(42.81576, -73.83953)"
Chautauqua,Fredonia Farmers' Market,"Village Hall Barker Commons , 9 Church St.",11 Church St,Fredonia,NY,14063,Thomas Degolier,,http://www.facebook.com/FredoniaFarmersMarket,Saturday  9am-1pm,May 16-October 31,P/M,N,Y,N,Y,42.44064,-79.33235,"(42.44064, -79.33235)"
Westchester,Ossining Farmers' Market,Market Square 100 Main Street @ Spring St.,100 Main Street,Ossining,NY,10562,Miriam Haas,9149234837,http://www.downtoearthmarkets.com,Saturday 9am-1pm,Year-Round,YR,N,Y,Y,Y,41.16105,-73.86351,"(41.16105, -73.86351)"
Delaware,Walton Farmers' Market,Veteran's Plaza  181 Delaware St.,181 Delware Street,Walton,NY,13856,Jeanne Darling,6078656531,http://www.ccedelaware.org,Friday 10am-2pm,July 3-September 25,M,Y,N,N,Y,42.16855,-75.13157,"(42.16855, -75.13157)"
Queens,Brooklyn Grange Farm Stand @ LIC,"On the rooftop 37-18 Northern Blvd. , Long Island City",37-18 Northern Blvd.,Long Island City,NY,11101,Ben Flanner,,http://www.brooklyngrangefarm.com,Saturday  10am-4pm,May 16-October 31,P/M,Y,Y,N,Y,40.75201,-73.92583,"(40.75201, -73.92583)"
Queens,Rockaway Youth Task Force Farm Stand,310 Beach 58th Street,310 Beach 58th Street,Far Rockaway,NY,11691,Tamera Jacobs,7186730263,http://www.rytf.org,Saturday  9am-3pm,July 6-November 21,M,Y,Y,N,Y,40.59453,-73.78803,"(40.59453, -73.78803)"
Onondaga,Central NY Saturday Regional Market Authority,2100 Park St. Syracuse,2100 Park Street,Syracuse,NY,13208,Amanda Vitale,3154228647,http://www.cnyrma.com,Saturday  7am-2pm,Year-round,YR,N,Y,Y,Y,43.07269,-76.16835,"(43.07269, -76.16835)"
Montgomery,Canajoharie Farmers' Market,24 Church Street Wagner Square parking lot,24 Church Street,Canajoharie,NY,13317,Janet L. Stanley,5186730292,http://www.canajohariefarmersmarket.com,Sunday  11am-2pm,June 9-October 11,M,Y,N,N,Y,42.90515,-74.57222,"(42.90515, -74.57222)"
Otsego,Richfield Springs Area Thurs Farmers' Market,"Spring Park Main St. (Rt. 20), across from Post Office",Main St and Church St,Richfield Springs,NY,13439,Ronald Bayzon,3158582703,,Thursday  2pm-6pm,June 25-October 29,M,Y,N,N,Y,42.85341,-74.98506,"(42.85341, -74.98506)"
Herkimer,Dolgeville Farmers' Market,Village Pavilion on S. Helmer Ave.,South Helmer Avenue,Dolgeville,NY,13329,Christin Reynolds,3158684557,http://www.facebook.com/DolgevilleFarmersMarket/,Saturday  9am-1pm,June 6-October 10,M,N,N,N,Y,43.10057,-74.7755,"(43.10057, -74.7755)"
Suffolk,Country Fresh Tanger Outlets Farmers' Market,152 The Arches Circle  Deer Park,152 The Arches Circle,Deer Park,NY,11747,Mary Schneider,6316735844,,Saturday  10am-3pm,June 6-October 31,M,Y,N,N,Y,40.76307,-73.30507,"(40.76307, -73.30507)"
Albany,Veggie Mobile-Arbor Hill/Oak Street Park,Oak Street & Second Street Albany,Second Street & Oak Street,Albany,NY,12210,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu 12:15pm-1pm,Year-round,YR,N,Y,Y,Y,42.6629,-73.76094,"(42.6629, -73.76094)"
Kings,Park Slope Farmers' Market,289 4th Street at 5th Ave.  near PS 51 Brooklyn,289 4th Street,Brooklyn,NY,11215,Miriam Haas,9149234837,http://www.downtoearthmarkets.com,Sunday 10am-4pm,Year-round,YR,N,Y,N,Y,40.6722,-73.98379,"(40.6722, -73.98379)"
Steuben,Corning Farmers' Market,"1 Riverfront Plaza Gaffer District, Riverfront Centennial Park",Centennial Park East Tioga Ave,Corning,NY,14830,Matthew Luma,6079376292,http://www.gafferdistrict.com,Thursday  10am-3pm,June 4-October 29,M,N,N,N,Y,42.1443,-77.05339,"(42.1443, -77.05339)"
Cattaraugus,South Dayton Farmers' Market,Village Square Park  Rt 322 & Park St,Rt 322 and Park st.,South Dayton,NY,14138,Linda Dewey,7166729004,http://www.facebook.com/pages/South-Dayton-Farmers-Market/1662449950658252,Saturday  9am-3pm,June 6-October 24,M,Y,N,N,Y,42.3609,-79.04925,"(42.3609, -79.04925)"
Saratoga,Saratoga Farmers' Market-Saturday,"High Rock Park, 112 High Rock Avenue",High Rock Ave and York Street,Saratoga Springs,NY,12866,Emily Meagher,5187083698,http://www.saratogafarmersmarket.com,Saturday  9am-1pm,May 2-October 31,P/M,Y,Y,Y,Y,43.08552,-73.78121,"(43.08552, -73.78121)"
Jefferson,Cape Street Market,Village Green 357 Broadway St.,357 Gouvello St.,Cape Vincent,NY,13618,Shelley Higgins,3156542481,http://www.capevincent.org,Saturday  11am-5:30pm,June 20-September 19,M,Y,N,N,Y,44.12838,-76.33472,"(44.12838, -76.33472)"
Franklin,Saranac Lake WINTER Farmers' Market,Hotel Saranac 100 Main St. Saranac Lake,100 Main St,Saranac Lake,NY,12983,Jacob Vennie Vollrath,5182172495,http://www.ausablevalleygrangefarmersmarkets.com/,"Saturday  10am-2pm, pick up only - contact market","October 19-March 21, 2020",M/X/W,N,N,N,Y,44.32717,-74.13016,"(44.32717, -74.13016)"
Ulster,Kingston WINTER Farmers' Market,"Bethany Hall Old Dutch Church Outside, 272 Wall Street corner Wall & Main St.",272 Wall Street,Kingston,NY,12401,Laura Crimmins,6462624672,http://www.kingstonfarmersmarket.org,Alt Saturdays  10am-2pm,December 7-April 25,X/W/P,N,Y,N,Y,41.93286,-74.01884,"(41.93286, -74.01884)"
Erie,Holland Farmers' Market,"25 North Main St. Holland, Municipal lot Next to Fire Dept",25 North Main St.,Holland,NY,14080,Marg Wnek,7165379590,http://www.thehollandmkt.com,Sunday  8:30am-1pm,May 3-October 25,P/M,Y,N,N,Y,42.64149,-78.54248,"(42.64149, -78.54248)"
Queens,Sunnyside Greenmarket,41-15 Skillman Ave. at 42nd St,Skillman Ave and 42nd St,Sunnyside,NY,11104,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/queens/sunnyside,Saturday  8am-2pm,Year-round,YR,N,Y,N,Y,40.74694,-73.92139,"(40.74694, -73.92139)"
New York,Union Square Saturday Greenmarket,"31 Union Square W , NW side of Park",Broadway and East 17th St,New York,NY,10003,Siobahn Keys,2127887476,https://www.grownyc.org/greenmarket,Saturday  8am-4pm,Year-round,YR,N,Y,N,Y,40.7371,-73.99032,"(40.7371, -73.99032)"
Erie,Clinton Bailey Sat Farmers' Market,"1443-1517 Clinton St. Buffalo, corner of Clinton & Bailey Sts.",Bailey Ave and Clinton St,Buffalo,NY,14206,Sharon Baldi,7162080003,http://www.clintonbaileymarket.com,"Saturday  4am-6pm, Nov-Apr  6am-12pm",Year-round,YR,N,Y,N,Y,42.87205,-78.81998,"(42.87205, -78.81998)"
Montgomery,Fort Plain Farm Stand,Parking lot on 12 Willet St. Ft. Plain,12 Willet Street,Fort Plain,NY,13339,Annette Rorick,5189934271,,Thu/Fri  10am-3pm,June 25-October 30,M,Y,N,N,Y,42.9316,-74.62182,"(42.9316, -74.62182)"
Rensselaer,Veggie Mobile Sprout-Barker Park,Corner 3rd & State St. Troy,3rd and State St.,Troy,NY,12180,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 11:30am-12pm,Year-round,YR,N,Y,Y,Y,42.73006,-73.69055,"(42.73006, -73.69055)"
Chenango,Enough...and a Little Bit More Farm Stand,4776 State Highway 41 Greene,4776 State Highway 41,Greene,NY,13778,Jim Girton,6076567242,http://www.enoughandalittlebitmore.com,"Mon-Fri  11am-6pm, Sat/Sun  3pm-7pm",May 1-October 31,P/M,N,N,N,Y,42.37041,-75.78369,"(42.37041, -75.78369)"
Lewis,Harrisville Farmers' Market,"the Scenic View lot , State Street  Harrisville",State Street and Main Street,Harrisville,NY,13648,Laura La Platney,3157771689,,Saturday  9am-4pm,May 30-October 31,P/M,Y,N,N,Y,44.14849,-75.31571,"(44.14849, -75.31571)"
Monroe,Rochester Public Market-Saturday,280 N. Union St. off East Main St.,280 North Union St.,Rochester,NY,14609,Cindy De Coste,5854286907,http://www.cityofrochester.gov/publicmarket,Saturday 5am-3pm,Year-round,YR,Y,Y,N,Y,43.1657,-77.59016,"(43.1657, -77.59016)"
Delaware,Pakatakan Farmers' Market,"Round Barn of Halcottville, 46676 State Hwy 30",46676 State Highway 30,Halcottville,NY,12438,Georgianna Fairlie,8452544290,http://roundbarnmarket.org,"Saturday  9am-1pm, hours change Oct 17",May 16-November 28,P/M,Y,N,N,Y,42.20103,-74.59909,"(42.20103, -74.59909)"
Suffolk,East Hampton Farmers' Market,136 N. Main St. Nick & Toni's lot,136 North Main St,East Hampton,NY,11937,Katherine Plumb,6317259133,http://www.facebook.com/East-Hampton-Farmers-Market-177816025660504/,Friday  9am-1pm,May 15-Sept 1,P/M,N,Y,N,Y,40.97017,-72.18133,"(40.97017, -72.18133)"
Kings,Bushwick Hope Ball Field Farmers' Market,Knickerbocker Ave btwn Menahan St & Grove St. Bushwick,Knickerbocker Ave,Bushwick,NY,10301,Novelette Scott,7188210254,http://www.riseboro.org,Wednesday 9am-3pm,May 20-November 24,P/M,Y,N,N,Y,40.70117,-73.92252,"(40.70117, -73.92252)"
Albany,Farmers' Market at the Crossings,580 Albany Shaker Rd. Loudonville,580 Albany Shaker Rd,Colonie,NY,12211,Laura Archambault,5187832760,http://www.colonie.org,Saturday  9am-1pm,June 13-September 26,P/M,N,N,N,Y,42.71016,-73.78029,"(42.71016, -73.78029)"
Erie,Elmwood Village Farmers' Market,Bidwell Parkway corner of Elmwood Ave.,Elmwood Ave and Bidwell Pkwy,Buffalo,NY,14222,Ashley Smith,7168810707,http://www.elmwoodmarket.org,Saturday  8am-1pm,May 9-November 28,P/M,Y,Y,N,Y,42.92371,-78.87702,"(42.92371, -78.87702)"
Broome,CHOW MM-Town&Country Apts,100 Roberts St. Binghamton,100 Robers St,Binghamton,NY,13901,Jack Seman,6077249130,http://www.broomecouncil.net,Wednesday 12:30pm-2pm,Year-round,YR,N,Y,N,Y,42.1093,-75.90168,"(42.1093, -75.90168)"
Schenectady,Veggie Mobile-Schenectady DSS,797 Broadway,797 Broadway,Schenectady,NY,12305,Audrey Bridge,5182748685,http://www.capitalroots.org,Mon  3pm-3:45pm,Year-round,YR,N,Y,Y,Y,42.80375,-73.95193,"(42.80375, -73.95193)"
Erie,Farm This Way Farm Stand,11086 Brant Reservation Rd. Brant,11086 Brant Reservation Road,Brant,NY,14027,Carolyn Rosier,7165491038,,Daily 9am-5pm,May 1-October 31,P/M,Y,N,N,Y,42.58029,-79.01732,"(42.58029, -79.01732)"
Chenango,Pires Farmers' Market,6066 State Hwy 12  Norwich,6066 State Highway 12,Norwich,NY,13815,Richard Williams,6073342676,,"Mon-Sat  9am-5pm, Sunday  9am-4pm",May 1-November 30,P/M,Y,Y,N,Y,42.54525,-75.52498,"(42.54525, -75.52498)"
Erie,Downtown Buffalo Country Thursday Market,350 Main St. outside btwn Court & Church Streets,350 Main St. outside btwn Court & Church Streets,Buffalo,NY,14203,Taylor Potenza,7168563150,https://buffaloplace.com/play/our-events/#countrymarket,Thu  10am-2:30pm,May 14-October 22,P/M,Y,Y,N,Y,42.8844,-78.8754,"(42.8844, -78.8754)"
Rensselaer,Veggie Mobile-Van Rensselaer Heights,460 Forbes Ave. Rensselaer,460 Forbes Avenue,Rensselaer,NY,12144,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu 10:45am-11:15am,Year-round,YR,N,Y,Y,Y,42.65953,-73.73008,"(42.65953, -73.73008)"
