Date,Program,Item,Value
04/01/2018,Cash Assistance Children,SNA (formerly HR)**,"20,183"
05/01/2018,Cash Assistance Children,SNA (formerly HR)**,"19,304"
06/01/2018,Cash Assistance Children,SNA (formerly HR)**,"19,858"
07/01/2018,Cash Assistance Children,SNA (formerly HR)**,"19,663"
08/01/2018,Cash Assistance Children,SNA (formerly HR)**,"19,130"
09/01/2018,Cash Assistance Children,SNA (formerly HR)**,"19,459"
10/01/2018,Cash Assistance Children,SNA (formerly HR)**,"19,877"
11/01/2018,Cash Assistance Children,SNA (formerly HR)**,"18,978"
12/01/2018,Cash Assistance Children,SNA (formerly HR)**,"19,176"
01/01/2019,Cash Assistance Children,SNA (formerly HR)**,"19,525"
02/01/2019,Cash Assistance Children,SNA (formerly HR)**,"18,036"
03/01/2019,Cash Assistance Children,SNA (formerly HR)**,"16,758"
04/01/2019,Cash Assistance Children,SNA (formerly HR)**,"16,839"
05/01/2019,Cash Assistance Children,SNA (formerly HR)**,"16,376"
06/01/2019,Cash Assistance Children,SNA (formerly HR)**,"16,434"
07/01/2019,Cash Assistance Children,SNA (formerly HR)**,"17,066"
08/01/2019,Cash Assistance Children,SNA (formerly HR)**,"16,680"
09/01/2019,Cash Assistance Children,SNA (formerly HR)**,"16,924"
10/01/2019,Cash Assistance Children,SNA (formerly HR)**,"17,182"
11/01/2019,Cash Assistance Children,SNA (formerly HR)**,"16,587"
12/01/2019,Cash Assistance Children,SNA (formerly HR)**,"16,732"
01/01/2016,Cash Assistance Recipients,60 Month converted to SNA,"86,418"
02/01/2016,Cash Assistance Recipients,60 Month converted to SNA,"87,823"
03/01/2016,Cash Assistance Recipients,60 Month converted to SNA,"87,719"
04/01/2016,Cash Assistance Recipients,60 Month converted to SNA,"87,424"
05/01/2016,Cash Assistance Recipients,60 Month converted to SNA,"87,936"
06/01/2016,Cash Assistance Recipients,60 Month converted to SNA,"87,764"
07/01/2016,Cash Assistance Recipients,60 Month converted to SNA,"87,192"
08/01/2016,Cash Assistance Recipients,60 Month converted to SNA,"87,817"
09/01/2016,Cash Assistance Recipients,60 Month converted to SNA,"87,756"
10/01/2016,Cash Assistance Recipients,60 Month converted to SNA,"87,798"
11/01/2016,Cash Assistance Recipients,60 Month converted to SNA,"88,401"
12/01/2016,Cash Assistance Recipients,60 Month converted to SNA,"88,579"
01/01/2017,Cash Assistance Recipients,60 Month converted to SNA,"87,826"
02/01/2017,Cash Assistance Recipients,60 Month converted to SNA,"88,745"
03/01/2017,Cash Assistance Recipients,60 Month converted to SNA,"87,692"
04/01/2017,Cash Assistance Recipients,60 Month converted to SNA,"87,138"
05/01/2017,Cash Assistance Recipients,60 Month converted to SNA,"86,178"
06/01/2017,Cash Assistance Recipients,60 Month converted to SNA,"88,361"
07/01/2017,Cash Assistance Recipients,60 Month converted to SNA,"88,292"
08/01/2017,Cash Assistance Recipients,60 Month converted to SNA,"89,976"
09/01/2017,Cash Assistance Recipients,60 Month converted to SNA,"89,215"
10/01/2017,Cash Assistance Recipients,60 Month converted to SNA,"88,969"
11/01/2017,Cash Assistance Recipients,60 Month converted to SNA,"90,866"
12/01/2017,Cash Assistance Recipients,60 Month converted to SNA,"90,839"
01/01/2018,Cash Assistance Recipients,60 Month converted to SNA,"89,799"
02/01/2018,Cash Assistance Recipients,60 Month converted to SNA,"90,932"
03/01/2018,Cash Assistance Recipients,60 Month converted to SNA,"89,926"
04/01/2018,Cash Assistance Recipients,60 Month converted to SNA,"88,027"
05/01/2018,Cash Assistance Recipients,60 Month converted to SNA,"88,717"
06/01/2018,Cash Assistance Recipients,60 Month converted to SNA,"87,398"
07/01/2018,Cash Assistance Recipients,60 Month converted to SNA,"85,903"
08/01/2018,Cash Assistance Recipients,60 Month converted to SNA,"86,815"
09/01/2018,Cash Assistance Recipients,60 Month converted to SNA,"85,930"
10/01/2018,Cash Assistance Recipients,60 Month converted to SNA,"85,269"
11/01/2018,Cash Assistance Recipients,60 Month converted to SNA,"86,279"
12/01/2018,Cash Assistance Recipients,60 Month converted to SNA,"85,016"
01/01/2019,Cash Assistance Recipients,60 Month converted to SNA,"81,326"
02/01/2019,Cash Assistance Recipients,60 Month converted to SNA,"85,824"
03/01/2019,Cash Assistance Recipients,60 Month converted to SNA,"86,443"
04/01/2019,Cash Assistance Recipients,60 Month converted to SNA,"82,431"
05/01/2019,Cash Assistance Recipients,60 Month converted to SNA,"80,767"
06/01/2019,Cash Assistance Recipients,60 Month converted to SNA,"83,974"
07/01/2019,Cash Assistance Recipients,60 Month converted to SNA,"83,312"
08/01/2019,Cash Assistance Recipients,60 Month converted to SNA,"82,783"
09/01/2019,Cash Assistance Recipients,60 Month converted to SNA,"82,667"
10/01/2019,Cash Assistance Recipients,60 Month converted to SNA,"82,431"
11/01/2019,Cash Assistance Recipients,60 Month converted to SNA,"82,745"
12/01/2019,Cash Assistance Recipients,60 Month converted to SNA,"82,810"
01/01/2016,Cash Assistance Recipients,Cash Assistance Recipients,"367,127"
02/01/2016,Cash Assistance Recipients,Cash Assistance Recipients,"368,420"
03/01/2016,Cash Assistance Recipients,Cash Assistance Recipients,"370,232"
04/01/2016,Cash Assistance Recipients,Cash Assistance Recipients,"370,201"
05/01/2016,Cash Assistance Recipients,Cash Assistance Recipients,"368,430"
06/01/2016,Cash Assistance Recipients,Cash Assistance Recipients,"369,505"
07/01/2016,Cash Assistance Recipients,Cash Assistance Recipients,"369,303"
08/01/2016,Cash Assistance Recipients,Cash Assistance Recipients,"370,574"
09/01/2016,Cash Assistance Recipients,Cash Assistance Recipients,"371,995"
10/01/2016,Cash Assistance Recipients,Cash Assistance Recipients,"374,885"
11/01/2016,Cash Assistance Recipients,Cash Assistance Recipients,"370,695"
12/01/2016,Cash Assistance Recipients,Cash Assistance Recipients,"374,316"
01/01/2017,Cash Assistance Recipients,Cash Assistance Recipients,"370,505"
02/01/2017,Cash Assistance Recipients,Cash Assistance Recipients,"365,512"
03/01/2017,Cash Assistance Recipients,Cash Assistance Recipients,"366,430"
04/01/2017,Cash Assistance Recipients,Cash Assistance Recipients,"363,629"
05/01/2017,Cash Assistance Recipients,Cash Assistance Recipients,"362,409"
06/01/2017,Cash Assistance Recipients,Cash Assistance Recipients,"364,393"
07/01/2017,Cash Assistance Recipients,Cash Assistance Recipients,"365,493"
08/01/2017,Cash Assistance Recipients,Cash Assistance Recipients,"367,036"
09/01/2017,Cash Assistance Recipients,Cash Assistance Recipients,"367,670"
10/01/2017,Cash Assistance Recipients,Cash Assistance Recipients,"368,425"
11/01/2017,Cash Assistance Recipients,Cash Assistance Recipients,"366,387"
12/01/2017,Cash Assistance Recipients,Cash Assistance Recipients,"367,997"
01/01/2018,Cash Assistance Recipients,Cash Assistance Recipients,"367,321"
02/01/2018,Cash Assistance Recipients,Cash Assistance Recipients,"364,834"
03/01/2018,Cash Assistance Recipients,Cash Assistance Recipients,"364,247"
04/01/2018,Cash Assistance Recipients,Cash Assistance Recipients,"359,638"
05/01/2018,Cash Assistance Recipients,Cash Assistance Recipients,"358,400"
06/01/2018,Cash Assistance Recipients,Cash Assistance Recipients,"356,265"
07/01/2018,Cash Assistance Recipients,Cash Assistance Recipients,"351,961"
08/01/2018,Cash Assistance Recipients,Cash Assistance Recipients,"352,948"
09/01/2018,Cash Assistance Recipients,Cash Assistance Recipients,"351,069"
10/01/2018,Cash Assistance Recipients,Cash Assistance Recipients,"352,797"
11/01/2018,Cash Assistance Recipients,Cash Assistance Recipients,"347,937"
12/01/2018,Cash Assistance Recipients,Cash Assistance Recipients,"346,145"
01/01/2019,Cash Assistance Recipients,Cash Assistance Recipients,"344,972"
02/01/2019,Cash Assistance Recipients,Cash Assistance Recipients,"342,564"
03/01/2019,Cash Assistance Recipients,Cash Assistance Recipients,"341,290"
04/01/2019,Cash Assistance Recipients,Cash Assistance Recipients,"335,117"
05/01/2019,Cash Assistance Recipients,Cash Assistance Recipients,"333,578"
06/01/2019,Cash Assistance Recipients,Cash Assistance Recipients,"331,694"
07/01/2019,Cash Assistance Recipients,Cash Assistance Recipients,"332,987"
08/01/2019,Cash Assistance Recipients,Cash Assistance Recipients,"332,407"
09/01/2019,Cash Assistance Recipients,Cash Assistance Recipients,"330,709"
10/01/2019,Cash Assistance Recipients,Cash Assistance Recipients,"334,151"
11/01/2019,Cash Assistance Recipients,Cash Assistance Recipients,"328,623"
12/01/2019,Cash Assistance Recipients,Cash Assistance Recipients,"328,618"
01/01/2016,Cash Assistance Recipients,FAP (formerly AFDC),"143,957"
02/01/2016,Cash Assistance Recipients,FAP (formerly AFDC),"142,891"
03/01/2016,Cash Assistance Recipients,FAP (formerly AFDC),"142,822"
04/01/2016,Cash Assistance Recipients,FAP (formerly AFDC),"141,423"
05/01/2016,Cash Assistance Recipients,FAP (formerly AFDC),"140,104"
06/01/2016,Cash Assistance Recipients,FAP (formerly AFDC),"140,391"
07/01/2016,Cash Assistance Recipients,FAP (formerly AFDC),"140,209"
08/01/2016,Cash Assistance Recipients,FAP (formerly AFDC),"141,306"
09/01/2016,Cash Assistance Recipients,FAP (formerly AFDC),"142,068"
10/01/2016,Cash Assistance Recipients,FAP (formerly AFDC),"143,525"
11/01/2016,Cash Assistance Recipients,FAP (formerly AFDC),"141,271"
12/01/2016,Cash Assistance Recipients,FAP (formerly AFDC),"141,911"
01/01/2017,Cash Assistance Recipients,FAP (formerly AFDC),"138,929"
02/01/2017,Cash Assistance Recipients,FAP (formerly AFDC),"134,973"
03/01/2017,Cash Assistance Recipients,FAP (formerly AFDC),"134,469"
04/01/2017,Cash Assistance Recipients,FAP (formerly AFDC),"131,593"
05/01/2017,Cash Assistance Recipients,FAP (formerly AFDC),"130,247"
06/01/2017,Cash Assistance Recipients,FAP (formerly AFDC),"129,715"
07/01/2017,Cash Assistance Recipients,FAP (formerly AFDC),"129,882"
08/01/2017,Cash Assistance Recipients,FAP (formerly AFDC),"130,114"
09/01/2017,Cash Assistance Recipients,FAP (formerly AFDC),"130,217"
10/01/2017,Cash Assistance Recipients,FAP (formerly AFDC),"130,403"
11/01/2017,Cash Assistance Recipients,FAP (formerly AFDC),"127,966"
12/01/2017,Cash Assistance Recipients,FAP (formerly AFDC),"128,226"
01/01/2018,Cash Assistance Recipients,FAP (formerly AFDC),"127,411"
02/01/2018,Cash Assistance Recipients,FAP (formerly AFDC),"125,282"
03/01/2018,Cash Assistance Recipients,FAP (formerly AFDC),"123,965"
04/01/2018,Cash Assistance Recipients,FAP (formerly AFDC),"121,570"
05/01/2018,Cash Assistance Recipients,FAP (formerly AFDC),"121,793"
06/01/2018,Cash Assistance Recipients,FAP (formerly AFDC),"121,014"
07/01/2018,Cash Assistance Recipients,FAP (formerly AFDC),"119,762"
08/01/2018,Cash Assistance Recipients,FAP (formerly AFDC),"120,354"
09/01/2018,Cash Assistance Recipients,FAP (formerly AFDC),"119,645"
10/01/2018,Cash Assistance Recipients,FAP (formerly AFDC),"121,176"
11/01/2018,Cash Assistance Recipients,FAP (formerly AFDC),"118,852"
12/01/2018,Cash Assistance Recipients,FAP (formerly AFDC),"118,255"
01/01/2019,Cash Assistance Recipients,FAP (formerly AFDC),"119,581"
02/01/2019,Cash Assistance Recipients,FAP (formerly AFDC),"115,548"
03/01/2019,Cash Assistance Recipients,FAP (formerly AFDC),"115,028"
04/01/2019,Cash Assistance Recipients,FAP (formerly AFDC),"114,072"
05/01/2019,Cash Assistance Recipients,FAP (formerly AFDC),"115,104"
06/01/2019,Cash Assistance Recipients,FAP (formerly AFDC),"110,250"
07/01/2019,Cash Assistance Recipients,FAP (formerly AFDC),"111,054"
08/01/2019,Cash Assistance Recipients,FAP (formerly AFDC),"111,220"
09/01/2019,Cash Assistance Recipients,FAP (formerly AFDC),"109,982"
10/01/2019,Cash Assistance Recipients,FAP (formerly AFDC),"112,166"
11/01/2019,Cash Assistance Recipients,FAP (formerly AFDC),"109,499"
12/01/2019,Cash Assistance Recipients,FAP (formerly AFDC),"109,066"
01/01/2016,Cash Assistance Recipients,SNA (formerly HR)**,"136,752"
02/01/2016,Cash Assistance Recipients,SNA (formerly HR)**,"137,706"
03/01/2016,Cash Assistance Recipients,SNA (formerly HR)**,"139,691"
04/01/2016,Cash Assistance Recipients,SNA (formerly HR)**,"141,354"
05/01/2016,Cash Assistance Recipients,SNA (formerly HR)**,"140,390"
06/01/2016,Cash Assistance Recipients,SNA (formerly HR)**,"141,350"
07/01/2016,Cash Assistance Recipients,SNA (formerly HR)**,"141,902"
08/01/2016,Cash Assistance Recipients,SNA (formerly HR)**,"141,451"
09/01/2016,Cash Assistance Recipients,SNA (formerly HR)**,"142,171"
10/01/2016,Cash Assistance Recipients,SNA (formerly HR)**,"143,562"
11/01/2016,Cash Assistance Recipients,SNA (formerly HR)**,"141,023"
12/01/2016,Cash Assistance Recipients,SNA (formerly HR)**,"143,826"
01/01/2017,Cash Assistance Recipients,SNA (formerly HR)**,"143,750"
02/01/2017,Cash Assistance Recipients,SNA (formerly HR)**,"141,794"
03/01/2017,Cash Assistance Recipients,SNA (formerly HR)**,"144,269"
04/01/2017,Cash Assistance Recipients,SNA (formerly HR)**,"144,898"
05/01/2017,Cash Assistance Recipients,SNA (formerly HR)**,"145,984"
06/01/2017,Cash Assistance Recipients,SNA (formerly HR)**,"146,317"
07/01/2017,Cash Assistance Recipients,SNA (formerly HR)**,"147,319"
08/01/2017,Cash Assistance Recipients,SNA (formerly HR)**,"146,946"
09/01/2017,Cash Assistance Recipients,SNA (formerly HR)**,"148,238"
10/01/2017,Cash Assistance Recipients,SNA (formerly HR)**,"149,053"
11/01/2017,Cash Assistance Recipients,SNA (formerly HR)**,"147,555"
12/01/2017,Cash Assistance Recipients,SNA (formerly HR)**,"148,932"
01/01/2018,Cash Assistance Recipients,SNA (formerly HR)**,"150,111"
02/01/2018,Cash Assistance Recipients,SNA (formerly HR)**,"148,620"
03/01/2018,Cash Assistance Recipients,SNA (formerly HR)**,"150,356"
04/01/2018,Cash Assistance Recipients,SNA (formerly HR)**,"150,041"
05/01/2018,Cash Assistance Recipients,SNA (formerly HR)**,"147,890"
06/01/2018,Cash Assistance Recipients,SNA (formerly HR)**,"147,853"
07/01/2018,Cash Assistance Recipients,SNA (formerly HR)**,"146,296"
08/01/2018,Cash Assistance Recipients,SNA (formerly HR)**,"145,779"
09/01/2018,Cash Assistance Recipients,SNA (formerly HR)**,"145,494"
10/01/2018,Cash Assistance Recipients,SNA (formerly HR)**,"146,352"
11/01/2018,Cash Assistance Recipients,SNA (formerly HR)**,"142,806"
12/01/2018,Cash Assistance Recipients,SNA (formerly HR)**,"142,874"
01/01/2019,Cash Assistance Recipients,SNA (formerly HR)**,"144,065"
02/01/2019,Cash Assistance Recipients,SNA (formerly HR)**,"141,192"
03/01/2019,Cash Assistance Recipients,SNA (formerly HR)**,"139,819"
04/01/2019,Cash Assistance Recipients,SNA (formerly HR)**,"138,614"
05/01/2019,Cash Assistance Recipients,SNA (formerly HR)**,"137,707"
06/01/2019,Cash Assistance Recipients,SNA (formerly HR)**,"137,470"
07/01/2019,Cash Assistance Recipients,SNA (formerly HR)**,"138,621"
08/01/2019,Cash Assistance Recipients,SNA (formerly HR)**,"138,404"
09/01/2019,Cash Assistance Recipients,SNA (formerly HR)**,"138,060"
10/01/2019,Cash Assistance Recipients,SNA (formerly HR)**,"139,554"
11/01/2019,Cash Assistance Recipients,SNA (formerly HR)**,"136,379"
12/01/2019,Cash Assistance Recipients,SNA (formerly HR)**,"136,742"
01/01/2016,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"367,127"
02/01/2016,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"368,420"
03/01/2016,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"370,232"
04/01/2016,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"370,201"
05/01/2016,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"368,430"
06/01/2016,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"369,505"
07/01/2016,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"369,303"
08/01/2016,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"370,574"
09/01/2016,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"371,995"
10/01/2016,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"374,885"
11/01/2016,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"370,695"
12/01/2016,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"374,316"
01/01/2017,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"370,505"
02/01/2017,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"365,512"
03/01/2017,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"366,430"
04/01/2017,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"363,629"
05/01/2017,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"362,409"
06/01/2017,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"364,213"
07/01/2017,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"365,493"
08/01/2017,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"367,036"
09/01/2017,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"367,670"
10/01/2017,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"368,425"
11/01/2017,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"366,387"
12/01/2017,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"367,997"
01/01/2018,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"367,321"
02/01/2018,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"364,834"
03/01/2018,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"364,247"
04/01/2018,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"359,638"
05/01/2018,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"358,400"
06/01/2018,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"356,265"
07/01/2018,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"351,961"
08/01/2018,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"352,948"
09/01/2018,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"351,069"
10/01/2018,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"352,797"
11/01/2018,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"347,937"
12/01/2018,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"346,145"
01/01/2019,Cash Assistance Unduplicated,Cash Assistance Unduplicated,"344,972"
01/01/2016,Cash Assistance Unduplicated,Emergency Benefits,"8,997"
02/01/2016,Cash Assistance Unduplicated,Emergency Benefits,"8,198"
03/01/2016,Cash Assistance Unduplicated,Emergency Benefits,"8,384"
04/01/2016,Cash Assistance Unduplicated,Emergency Benefits,"7,974"
05/01/2016,Cash Assistance Unduplicated,Emergency Benefits,"7,158"
06/01/2016,Cash Assistance Unduplicated,Emergency Benefits,"8,152"
07/01/2016,Cash Assistance Unduplicated,Emergency Benefits,"8,218"
08/01/2016,Cash Assistance Unduplicated,Emergency Benefits,"9,738"
09/01/2016,Cash Assistance Unduplicated,Emergency Benefits,"9,772"
10/01/2016,Cash Assistance Unduplicated,Emergency Benefits,"9,958"
11/01/2016,Cash Assistance Unduplicated,Emergency Benefits,"9,311"
12/01/2016,Cash Assistance Unduplicated,Emergency Benefits,"10,439"
01/01/2017,Cash Assistance Unduplicated,Emergency Benefits,"8,702"
02/01/2017,Cash Assistance Unduplicated,Emergency Benefits,"6,833"
03/01/2017,Cash Assistance Unduplicated,Emergency Benefits,"7,363"
04/01/2017,Cash Assistance Unduplicated,Emergency Benefits,"6,731"
05/01/2017,Cash Assistance Unduplicated,Emergency Benefits,"7,252"
06/01/2017,Cash Assistance Unduplicated,Emergency Benefits,"7,359"
07/01/2017,Cash Assistance Unduplicated,Emergency Benefits,"7,287"
08/01/2017,Cash Assistance Unduplicated,Emergency Benefits,"8,817"
09/01/2017,Cash Assistance Unduplicated,Emergency Benefits,"8,694"
10/01/2017,Cash Assistance Unduplicated,Emergency Benefits,"7,504"
11/01/2017,Cash Assistance Unduplicated,Emergency Benefits,"6,775"
12/01/2017,Cash Assistance Unduplicated,Emergency Benefits,"6,668"
01/01/2018,Cash Assistance Unduplicated,Emergency Benefits,"6,714"
02/01/2018,Cash Assistance Unduplicated,Emergency Benefits,"6,280"
03/01/2018,Cash Assistance Unduplicated,Emergency Benefits,"5,796"
04/01/2018,Cash Assistance Unduplicated,Emergency Benefits,"4,978"
05/01/2018,Cash Assistance Unduplicated,Emergency Benefits,"6,873"
06/01/2018,Cash Assistance Unduplicated,Emergency Benefits,"6,504"
07/01/2018,Cash Assistance Unduplicated,Emergency Benefits,"5,498"
08/01/2018,Cash Assistance Unduplicated,Emergency Benefits,"7,489"
09/01/2018,Cash Assistance Unduplicated,Emergency Benefits,"6,858"
10/01/2018,Cash Assistance Unduplicated,Emergency Benefits,"9,459"
11/01/2018,Cash Assistance Unduplicated,Emergency Benefits,"8,542"
12/01/2018,Cash Assistance Unduplicated,Emergency Benefits,"8,537"
01/01/2019,Cash Assistance Unduplicated,Emergency Benefits,"10,087"
01/01/2016,Cash Assistance Unduplicated,Recurring Benefits,"358,130"
02/01/2016,Cash Assistance Unduplicated,Recurring Benefits,"360,222"
03/01/2016,Cash Assistance Unduplicated,Recurring Benefits,"361,848"
04/01/2016,Cash Assistance Unduplicated,Recurring Benefits,"362,227"
05/01/2016,Cash Assistance Unduplicated,Recurring Benefits,"361,272"
06/01/2016,Cash Assistance Unduplicated,Recurring Benefits,"361,353"
07/01/2016,Cash Assistance Unduplicated,Recurring Benefits,"361,085"
08/01/2016,Cash Assistance Unduplicated,Recurring Benefits,"360,836"
09/01/2016,Cash Assistance Unduplicated,Recurring Benefits,"362,223"
10/01/2016,Cash Assistance Unduplicated,Recurring Benefits,"364,927"
11/01/2016,Cash Assistance Unduplicated,Recurring Benefits,"361,384"
12/01/2016,Cash Assistance Unduplicated,Recurring Benefits,"363,877"
01/01/2017,Cash Assistance Unduplicated,Recurring Benefits,"361,803"
02/01/2017,Cash Assistance Unduplicated,Recurring Benefits,"358,679"
03/01/2017,Cash Assistance Unduplicated,Recurring Benefits,"359,067"
04/01/2017,Cash Assistance Unduplicated,Recurring Benefits,"356,898"
05/01/2017,Cash Assistance Unduplicated,Recurring Benefits,"355,157"
06/01/2017,Cash Assistance Unduplicated,Recurring Benefits,"356,854"
07/01/2017,Cash Assistance Unduplicated,Recurring Benefits,"358,206"
08/01/2017,Cash Assistance Unduplicated,Recurring Benefits,"358,219"
09/01/2017,Cash Assistance Unduplicated,Recurring Benefits,"358,976"
10/01/2017,Cash Assistance Unduplicated,Recurring Benefits,"360,921"
11/01/2017,Cash Assistance Unduplicated,Recurring Benefits,"359,612"
12/01/2017,Cash Assistance Unduplicated,Recurring Benefits,"361,329"
01/01/2018,Cash Assistance Unduplicated,Recurring Benefits,"360,607"
02/01/2018,Cash Assistance Unduplicated,Recurring Benefits,"358,554"
03/01/2018,Cash Assistance Unduplicated,Recurring Benefits,"358,451"
04/01/2018,Cash Assistance Unduplicated,Recurring Benefits,"354,660"
05/01/2018,Cash Assistance Unduplicated,Recurring Benefits,"351,527"
06/01/2018,Cash Assistance Unduplicated,Recurring Benefits,"349,761"
07/01/2018,Cash Assistance Unduplicated,Recurring Benefits,"346,463"
08/01/2018,Cash Assistance Unduplicated,Recurring Benefits,"345,459"
09/01/2018,Cash Assistance Unduplicated,Recurring Benefits,"344,211"
10/01/2018,Cash Assistance Unduplicated,Recurring Benefits,"343,338"
11/01/2018,Cash Assistance Unduplicated,Recurring Benefits,"339,395"
12/01/2018,Cash Assistance Unduplicated,Recurring Benefits,"337,608"
01/01/2019,Cash Assistance Unduplicated,Recurring Benefits,"334,885"
01/01/2016,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"598,432"
02/01/2016,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"600,238"
03/01/2016,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"599,943"
04/01/2016,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"600,076"
05/01/2016,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"600,610"
06/01/2016,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"601,757"
07/01/2016,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"601,757"
08/01/2016,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"604,821"
09/01/2016,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"606,426"
10/01/2016,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"607,458"
11/01/2016,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"606,311"
12/01/2016,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"605,559"
01/01/2017,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"607,813"
02/01/2017,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"604,541"
03/01/2017,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"601,747"
04/01/2017,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"601,133"
05/01/2017,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"599,628"
06/01/2017,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"598,627"
07/01/2017,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"597,756"
08/01/2017,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"597,317"
09/01/2017,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"597,506"
10/01/2017,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"595,990"
11/01/2017,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"597,102"
12/01/2017,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"596,876"
01/01/2018,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"594,476"
02/01/2018,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"593,968"
03/01/2018,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"592,581"
04/01/2018,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"591,671"
05/01/2018,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"592,282"
06/01/2018,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"593,928"
07/01/2018,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"592,729"
08/01/2018,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"593,326"
09/01/2018,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"594,084"
10/01/2018,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"593,679"
11/01/2018,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"593,591"
12/01/2018,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"593,821"
01/01/2019,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"591,082"
02/01/2019,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"588,772"
03/01/2019,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"586,026"
04/01/2019,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"582,254"
05/01/2019,Cash Assistance Unduplicated (12 months),Cash Assistance Unduplicated (12 months),"578,947"
