Business Id,Business Name,Business Address1,Business Address2,Business City,Business State,Business Zip4,Business Zip5,Mailing Address1,Mailing Address2,Mailing Zip4,Mailing Zip5,Mailing City,Mailing State,Email Id,Date Incorporated,Location
1314834,WATERCOLOR INC,,,,,,,,,,,,,EXCELLISA@YAHOO.COM,07/09/2019,
1315665,LUCKY TASTY INC,,,,,,,,,,,,,JOCELYN@ZZAUSA.COM,07/17/2019,
1316276,AGCT-CORP,24 W. MAIN STREET,SUITE 418,CLINTON,CT,,06413,24 W. MAIN STREET,SUITE 418,,06413,CLINTON,CT,agctus@gmail.com,07/24/2019,
1318310,BESTWAY OF LEDYARD INC.,1949 CENTER GROTON RD,,LEDYARD,CT,,06339,65 TIMBER RIDGE DRIVE,,,06379,PAWCATUCK,CT,bestway411@yahoo.com,08/13/2019,
1319076,YI LIN NAIL INC,,,,,,,,,,,,,EXCELLISA@YAHOO.COM,08/21/2019,
1319924,CREDIT BOOST INC,,,,,,,,,,,,,ASIM.HAFEEZ8@GMAIL.COM,08/26/2019,
1320511,GLOBAL CONSULTING INC,,,,,,,,,,,,,JOE@BEHARCPA.COM,09/05/2019,
1320991,RIVERA CONSTRUCTION & DEVELOPMENT INC,,,,,,,,,,,,,SPEEDLIMIT31@PROTONMAIL.COM,09/10/2019,
1325186,MIDDLETOWN HAIR CITY INC,,,,,,,,,,,,,JHAIRCITY@GMAIL.COM,10/22/2019,
1325578,FARO APOSTOLICO DE STAMFORD INC,132 GLENBROOK RD,,STAMFORD,CT,,06902,132 GLENBROOK RD,,,06902,STAMFORD,CT,FAROAPOSTOLICOSTAMFORD@OUTLOOK.COM,10/25/2019,
1325768,STANDARD INC,492 MIDDLEBURY RD,,MIDDLEBURY,CT,,06762,1540 STRAITS TPKE,,,06762,MIDDLEBURY,CT,standardinc4@gmail.com,10/28/2019,
1327098,GOLDEN CITY DISTRIBUTION CORPORATION,,,,,,,,,,,,,2533AGAG@GMAIL.COM,11/09/2019,
1328264,SKYE BY DESIGN INC.,120 WAUREGAN RD.,,BROOKLYN,CT,,06234,120 WAUREGAN RD.,,,06234,BROOKLYN,CT,SKYE@SKYEBYDESIGN.COM,11/21/2019,
1328831,CYGM INC.,,,,,,,,,,,,,DKI.INC@GMAIL.COM,11/27/2019,
1328847,HFC CORPORATION INC,,,,,,,,,,,,,HFC.CORPORATION@GMAIL.COM,11/27/2019,
1329465,"NAVTEC HYDRAULICS, INC",,,,,,,,,,,,,INFO@NAVTECHYDRAULICS.COM,12/06/2019,
1332505,S &S AUTO GROUP INC,456 DERBY AVE,,WEST HAVEN,CT,,06516,456 DERBY AVE,,,06516,WEST HAVEN,CT,SAM8SALAM@GMAIL.COM,01/09/2020,
1333143,SUN 759 CORP.,,,,,,,,,,,,,T1CPAUSA@GMAIL.COM,01/15/2020,
1333259,NAIL NORWALK INC,,,,,,,,,,,,,YKK3455@YAHOO.COM,01/16/2020,
1334412,JUGG'S PAVING & MASONRY INC,,,,,,,,,,,,,KEITH@SPEEDYATXESINC.COM,01/28/2020,
1337330,MJ NAIL & SPA INC,101 ELIZABETH ST UNIT 1A,101,DERBY,CT,,06418,101 ELIZABETH ST UNIT 1A,,,06418,DERBY,CT,718HRB@GMAIL.COM,02/24/2020,
1337607,PENN FURNITURE CORPORATION,,,,,,,,,,,,,2533AGAG@GMAIL.COM,02/26/2020,
1337716,TOP ONE NAILS & SPA INC,,,,,,,,,,,,,EXCELLISA@YAHOO.COM,02/27/2020,
1338086,TUMEN CONSTRUCTION INC.,,,,,,,,,,,,,TYUMENYK@OPTIMUM.NET,03/03/2020,
1338651,NEW RAN NAIL SPA INC,,,,,,,,,,,,,HNLCPAFIRM@GMAI.COM,03/06/2020,
1339025,S & S HARTFORD INC.,,,,,,,,,,,,,AMJID@RZSMOKE.COM,03/10/2020,
1339666,DOCTY INC.,58 STONERIDGE CIRCLE,,STAMFORD,CT,,06902,58 STONERIDGE CIRCLE,,,06902,STAMFORD,CT,,03/17/2020,
1340015,SCRATCH SALAD INC,,,,,,,,,,,,,GMALHOTRA0123@GMAIL.COM,03/19/2020,
1340504,BHUMIKA & PREM INC,,,,,,,,,,,,,AAACOMPUTERASSOCIATES@GMAIL.COM,03/28/2020,
1340594,GROUND UP ENGINEERING SERVICES INC,,,,,,,,,,,,,BEACONADHESIVES00@GMAIL.COM,03/30/2020,
1341161,UKUEDOJOR ROYAL CARRIERS CORP.,,,,,,,,,,,,,ORIUKUEDOJORTECHS@GMAIL.COM,04/07/2020,
