the_geom,OBJECTID,OwnerName,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType
POINT (-90.067049441458 29.974737015023),431975,P & N ENTERPRISES INC,DANNY'S PACKAGE LIQUOR & SEAFOOD MKT,1812 ONZAGA ST,,NEW ORLEANS,LA,70116,504-949-8666,1101 - CONVENIENCE STORES
POINT (-90.064770504246 29.958101613683),432144,"ROUSE'S ENTERPRISES, LLC",ROUSES MARKET #30,701 ROYAL ST,,NEW ORLEANS,LA,70116,504-447-5998,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.096031144406 29.937276218218),432037,MAZIN INC,KEY FOOD STORE,2600 LOUISIANA AVE,,NEW ORLEANS,LA,70115,504-897-6514,1101 - CONVENIENCE STORES
POINT (-90.035956879636 30.00513891837),432006,FUEL ZONE LLC,FUEL ZONE,4500 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,,1101 - CONVENIENCE STORES
POINT (-90.09943017857 29.978305643036),432232,WINN DIXIE MONTGOMERY LLC,WINN DIXIE STORE #1472,401 N CARROLLTON AVE,,NEW ORLEANS,LA,70119,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.022968620619 29.940426723668),431894,"ALGIERS SUPERMARKET,LLC",ALGIERS SUPERMARKET,3141 GENERAL MEYER AVE,,NEW ORLEANS,LA,70114,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.080712101078 29.923530885399),432095,BACKUP JIC LLC,NICKS SUPERMARKET,746 WASHINGTON AVE,,NEW ORLEANS,LA,70130,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.10707115022 29.920594604826),432128,RAINBOW MAGAZINE LLC,RAINBOW GROCERY,4837 MAGAZINE ST,,NEW ORLEANS,LA,70115,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.117321255614 30.005890747715),432046,"TWO-O-SEVEN, LLC",LAKEVIEW MINI MART,207 W HARRISON AVE,,NEW ORLEANS,LA,70124,504-872-0522,1101 - CONVENIENCE STORES
POINT (-90.054241836446 29.969012037347),432123,"ALL ABOUT CONVENIENCE, LLC",QUICK STOP SHOP,2301 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,,1101 - CONVENIENCE STORES
POINT (-90.070033208846 29.951946172854),432150,"LA 405 CHEN, LLC",S & K GIFT AND SNACKS,201 ST CHARLES AVE,#223,NEW ORLEANS,LA,70170,,1101 - CONVENIENCE STORES
POINT (-90.097981138239 29.978399614138),431967,CREOLE COUNTRY INC,CREOLE COUNTRY INC,512 DAVID ST,,NEW ORLEANS,LA,70119,,1103 - MEAT MARKETS
POINT (-90.007948358098 29.918707807633),432201,TIGER MART LLC.,TIGER MART,3450 KABEL DR,,NEW ORLEANS,LA,70131,504-394-0240,1101 - CONVENIENCE STORES
POINT (-90.07532784664 29.965989087219),432127,"R&B GROCERY, LLC",R&B GROCERY,1921 ORLEANS AVE,,NEW ORLEANS,LA,70116,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.061834922165 30.023425087106),431989,"M & S  OIL SERVICES, L.L.C.",ELYSIAN FIELDS SHELL,6300 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,504-884-8766,1101 - CONVENIENCE STORES
POINT (-90.063233957185 29.956002452179),431911,BIG EASY MARDI GRAS CO LLC,BIG EASY MARDI GRAS CO,600 DECATUR ST,,NEW ORLEANS,LA,70130,504-524-4729,1101 - CONVENIENCE STORES
POINT (-90.109986602005 29.965227078608),431958,"CIRCLE K STORES, INC.",CIRCLE K #2707673,3725 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,504-486-8377,1101 - CONVENIENCE STORES
POINT (-89.947117755696 30.027698665013),432038,KING OF SOFT SHELL CRAB LLC,KING OF SOFT SHELL CRAB,4949 BULLARD AVE,,NEW ORLEANS,LA,70127,,0135 - FISH & SEAFOOD WHLSRS
POINT (-89.801162595894 30.071416277476),431950,"LOUIS VIAVANT BOAT HARBOVIAVANT, GEORGE L",CHEF HARBOR,21135 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70129,504-662-5511,"1111 - SPECIALTY FOOD STORES, ALL OTHER"
POINT (-90.020639725897 29.925316567452),432074,"ZEGAR, INC",MIKE'S DISCOUNT 2,3600 MACARTHUR BLVD,B-2,NEW ORLEANS,LA,70114,504-368-1350,1101 - CONVENIENCE STORES
POINT (-90.097667892428 29.96474221975),431928,NEW CITY MART LLC,BROWN DERBY #3,3326 TULANE AVE,,NEW ORLEANS,LA,70119,504-827-7899,1101 - CONVENIENCE STORES
POINT (-90.114475359747 30.00498527935),431955,CHRIS SPECIALTY FOODS LLC,CHRIS SPECIALTY FOODS LLC,6251 WEST END BLVD,,NEW ORLEANS,LA,70124,,1103 - MEAT MARKETS
POINT (-90.062683322551 29.966698347872),431899,THE ORANGE STORE,AYYAD RAMPART,1700 N RAMPART ST,,NEW ORLEANS,LA,70116,,1101 - CONVENIENCE STORES
POINT (-90.037161039214 29.94512400381),431925,NEWTON BROTHERS INC,BROTHERS FOOD MART NO 122,1926 NEWTON ST,,NEW ORLEANS,LA,70114,504-366-2413,1101 - CONVENIENCE STORES
POINT (-90.078228009937 29.993840794513),432184,STOPJOCKIN,STOPJOCKIN,3600 JUMONVILLE ST,,NEW ORLEANS,LA,70122,,1101 - CONVENIENCE STORES
POINT (-90.118667263273 29.941047550523),432206,SODEXO MANAGEMENT INC,TULANE CATERING,31 MCALISTER DR,,NEW ORLEANS,LA,70118,504-865-5254,1101 - CONVENIENCE STORES
POINT (-89.991699695334 30.02762875068),431923,CROWDER BROTHERS LLC,BROTHERS FOOD MART  NO 132,5701 CROWDER BLVD,,NEW ORLEANS,LA,70127,504-366-2413,1101 - CONVENIENCE STORES
POINT (-89.912066147199 30.039183783686),432058,THU HUONG INC,LY'S SUPERMARKET,14401 PELTIER DR,130,NEW ORLEANS,LA,70129,504-254-4380,1101 - CONVENIENCE STORES
POINT (-90.063293825977 29.94773526893),431969,HILTON MANAGEMENT LLC,CRESCENT CITY MARKETPLACE,2 POYDRAS ST,,NEW ORLEANS,LA,70130,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.076989294557 29.951922709288),432089,NEW ORLEANS FISH HOUSECO,NEW ORLEANS FISH HOUSE,P.O BOX 4126,,NEW ORLEANS,LA,70178,504-821-9700,0135 - FISH & SEAFOOD WHLSRS
POINT (-90.068615888491 29.953830693614),432208,SAM & SONS INC.,UNIQUE GENERAL STORE,127 ROYAL ST,,NEW ORLEANS,LA,70130,,1101 - CONVENIENCE STORES
POINT (-90.061051429526 29.958835382612),431947,CENTRAL GROCERY CO. LLC,CENTRAL GROCERY CO.,923 DECATUR ST,,NEW ORLEANS,LA,70116,504-523-1620,1101 - CONVENIENCE STORES
POINT (-90.058664858541 29.960791786166),432027,"KIM, YOUNG DUK",J C DELI,65 FRENCH MARKET PL,,NEW ORLEANS,LA,70116,504-522-2961,1101 - CONVENIENCE STORES
POINT (-90.067831029863 29.950467848896),432086,"NESBIT'S MAGAZINE STREET MARKET, LLC",NESBIT'S MAGAZINE STREET MARKET,301 MAGAZINE ST,,NEW ORLEANS,LA,70130,,1101 - CONVENIENCE STORES
POINT (-90.076989294557 29.951922709288),432010,GENTILLY FOOD MART INC,GENTILLY FOOD MART INC,1929 GENTILLY BLVD,,NEW ORLEANS,LA,70119,,1101 - CONVENIENCE STORES
POINT (-89.989427025353 30.024450327616),432042,LA FOOD INC,LA FOOD,5200 CROWDER BLVD,,NEW ORLEANS,LA,70127,504-638-1350,1101 - CONVENIENCE STORES
POINT (-90.091631734139 29.929169182979),432056,"AMERA,INC",LOUISIANA SUPER SAVER,1641 LOUISIANA AVE,A,NEW ORLEANS,LA,70115,504-891-6670,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.078000362258 29.94062806453),431961,"CK'S HOT SHOPPE, LLC",CK'S  HOT SHOPPE,1433 BARONNE ST,,NEW ORLEANS,LA,70113,504-309-5150,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.076989294557 29.951922709288),432084,"XUAN TUYEN, INC",NEIGHBORHOOD DISCOUNT SUPERMARKET,3222 BARONNE ST,,NEW ORLEANS,LA,70115,504-899-4954,1101 - CONVENIENCE STORES
POINT (-90.099760439501 29.958456034924),432021,"HUEY LONG FOODS, LLC","HUEY LONG FOODS, LLC",4333 EUPHROSINE ST,,NEW ORLEANS,LA,70125,,"1111 - SPECIALTY FOOD STORES, ALL OTHER"
POINT (-90.012855752183 29.971371185869),432008,BURNELL COTLON,GALVEZ GOODIES,2036 CAFFIN AVE,,NEW ORLEANS,LA,70117,504-319-5886,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.094371638917 29.965858020913),432112,"SAINT GEORGE,LLC",PARAISO GROCERY,3128 BANKS ST,,NEW ORLEANS,LA,70119,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.019215416948 29.961809584525),432177,"RAED 5330,LLC",ST CLAUDE FRESH MARKET,5330 ST CLAUDE AVE,UNIT A,NEW ORLEANS,LA,70117,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.099718212342 29.940895179154),432034,K & T COMMUNITY INC.,K & T COMMUNITY,3733 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,504-822-8915,1101 - CONVENIENCE STORES
POINT (-89.973931758757 30.032979759903),432158,"MORAN FOODS, LLC",SAVE A LOT - #464-4744,9999 LAKE FOREST BLVD,,NEW ORLEANS,LA,70127,504-244-1538,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.073399463627 29.961144757696),432004,FRENCH QUATER FOOD MART,FRENCH QUATER FOOD MART,1534 SAINT LOUIS ST,A,NEW ORLEANS,LA,70112,,1101 - CONVENIENCE STORES
POINT (-90.049458441916 29.968660468099),432018,"YOUSEF ODEH, LLC",HANK'S SEAFOOD & SUPERMARKET,2634 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,504-247-3731,1101 - CONVENIENCE STORES
POINT (-90.0205062234 29.962674429417),432108,"THE AMAZING GOOD SHEPHERD,LLC",ORANGE FOOD STORE,5131 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.972487173775 30.046546723894),432040,"ND GROUP ENTERPRISES, IN",KWIK PIK,11040 MORRISON RD,,NEW ORLEANS,LA,70127,504-606-2833,1101 - CONVENIENCE STORES
POINT (-90.041379393805 29.953988448223),432135,A. B. & R. FINE FOODS LL,RIVER FINE FOODS STORE,1403 PATTERSON ST,,NEW ORLEANS,LA,70114,504-362-4795,1101 - CONVENIENCE STORES
POINT (-90.129463224697 29.955137610335),432115,PIGEON TOWN FOOD MART LLC,PIGEON TOWN FOOD MART,8601 HICKORY ST,,NEW ORLEANS,LA,70118,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.076688850127 29.962241854081),432011,"HILLIARD, GLORIA",GLORIA'S GROCERY,1800 CONTI ST,,NEW ORLEANS,LA,70112,,1101 - CONVENIENCE STORES
POINT (-90.014875401181 30.010130317941),431999,SHIVAS LLC,FOOD PLUS,6232 CHEF MENTEUR HWY,UNIT A,NEW ORLEANS,LA,70126,504-246-2628,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.061506984558 29.964690060342),431990,ALLAN'S GROCERY LLC,ESPLANADE MINI MART,839 ESPLANADE AVE,,NEW ORLEANS,LA,70116,504-329-8179,1101 - CONVENIENCE STORES
POINT (-90.071705469347 29.983691972989),432102,"AAA BUI,INC",NORTH BROAD SUPERMARKET,1901 N BROAD ST,,NEW ORLEANS,LA,70119,504-945-7369,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.090573356516 29.933201095767),432210,"UPTOWN FOOD MARKET, INC",UPTOWN FOOD MARKET,2001 SEVENTH ST,,NEW ORLEANS,LA,70115,504-555-1234,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.079356799319 29.968677610168),431932,ABUALI FADI A,BUSY BEE FOOD STORE,2401 ORLEANS AVE,A,NEW ORLEANS,LA,70119-5027,504-821-5586,1101 - CONVENIENCE STORES
POINT (-90.079916568456 29.944893970647),432209,UPTOWN DISCOUNT STORE INC,UPTOWN DISCOUNT STORE,1141 SIMON BOLIVAR AVE,,NEW ORLEANS,LA,70113,504-610-7162,1101 - CONVENIENCE STORES
POINT (-90.064811286358 29.98138426885),432134,SUNSHINE DISCOUNT FOOD INC,RICHARD'S FOOD STORE,2001 N ROCHEBLAVE ST,,NEW ORLEANS,LA,70119,504-944-2891,1101 - CONVENIENCE STORES
POINT (-90.027092734627 30.032274434875),432174,COMPAK DELI INC,SPEED RACER,8020 DOWNMAN RD,104,NEW ORLEANS,LA,70126,504-248-2005,1101 - CONVENIENCE STORES
POINT (-90.085226895461 29.980645150829),432193,"TERRANOVA, BENJAMIN A",TERRANOVA BROS SUPERETTE,3308 ESPLANADE AVE,,NEW ORLEANS,LA,70119,,1101 - CONVENIENCE STORES
POINT (-90.089237394851 29.944319676401),432029,JACKSON FOOD STORE INC.,JACKSON FOOD STORE,2801 JACKSON AVE,,NEW ORLEANS,LA,70113,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.070068409211 29.9297687441),431954,KAWTHAR ESMAIL,CHIPPEWA FOOD STORE,1684 CHIPPEWA ST,,NEW ORLEANS,LA,70130,,1101 - CONVENIENCE STORES
POINT (-90.035416980875 29.965899379565),432075,"NADA M, INC",MIKE'S FOOD MART,3935 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,225-573-4326,1101 - CONVENIENCE STORES
POINT (-90.079283058695 29.995957749312),432175,SPIDERS I LLC,SPIDERS  MEAT MARKET,3800 ST BERNARD AVE,,NEW ORLEANS,LA,70122,504-455-8170,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.110329331671 29.981336791496),432199,THE HERB IMPORT COMPANY INC,THE HERB IMPORT COMPANY,5055 CANAL ST,,NEW ORLEANS,LA,70119,504-488-4889,"1111 - SPECIALTY FOOD STORES, ALL OTHER"
POINT (-90.096821081852 29.976576256069),432143,"ROUSE'S ENTERPRISES, LLC",ROUSES MARKET #29(CARROLLTON),400 N CARROLLTON AVE,,NEW ORLEANS,LA,70119,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.068562777066 29.953152671905),431968,MAGNOLIA ENTERPRISES INC,CREOLE SUPERSTORE,623 CANAL ST,,NEW ORLEANS,LA,70130,504-586-0703,1101 - CONVENIENCE STORES
POINT (-90.038217741155 29.977338645439),432118,POPPA ENTERPRISES,POPPA'S SEAFOOD & DELI,3311 N GALVEZ ST,,NEW ORLEANS,LA,70117,504-947-3373,1104 - FISH & SEAFOOD MARKETS
POINT (-89.967193907869 30.018323343739),432191,BIEN V NGUYEN,TAN VIET WAREHOUSE,10100 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70127,504-241-9903,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.076989294557 29.951922709288),431964,"DURGA ENTERPRISES, INC",COMPAK FOOD & DELI,501 DAUPHINE ST,,NEW ORLEANS,LA,70130,504-525-2311,1101 - CONVENIENCE STORES
POINT (-90.101526277026 29.951966448953),432148,RUSTYS POBOY SEAFOOD INC,RUSTY'S POBOY SEAFOOD,4122 WASHINGTON AVE,,NEW ORLEANS,LA,70125,504-821-1771,1101 - CONVENIENCE STORES
POINT (-90.066380753172 29.95102175518),431933,DEEP SOUTH GROCERY CO IN,CAJUN COUNTRY STORE,400 CANAL ST,,NEW ORLEANS,LA,70130,504-586-8753,1101 - CONVENIENCE STORES
POINT (-90.068459565509 29.952451187846),431979,DEEP SOUTH GROCERY CO   INC,DEEP SOUTH TRADING CO,600 CANAL ST,,NEW ORLEANS,LA,70130,504-586-8753,1101 - CONVENIENCE STORES
POINT (-90.009551503804 30.011552259434),432194,TEX MART INC,TEX MART,6733 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,504-333-6282,1101 - CONVENIENCE STORES
POINT (-90.072243269939 29.944546989035),432215,VHKR & ASSOCTIATES INC,VHKR & ASSOCIATES INC D/B/A   PRICE BUSTERS,867 ST CHARLES AVE,,NEW ORLEANS,LA,70130,504-529-3759,1101 - CONVENIENCE STORES
POINT (-90.123197589996 29.962114347706),432072,"MCKENZIE FOOD STORE,INC",MCKENZIE FOOD STORE,8638 BELFAST ST,,NEW ORLEANS,LA,70118,504-866-4970,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.113504034513 30.025113324481),432044,"LAKESHORE MARINE & FUEL, LLC","LAKESHORE MARINE & FUEL, LLC",7840 LAKESHORE DR,,NEW ORLEANS,LA,70124,504-723-3717,1101 - CONVENIENCE STORES
POINT (-90.090253277829 29.948293294504),432081,MOUSA INC,MOUSA'S GROCERY,3208 THALIA ST,,NEW ORLEANS,LA,70125,504-324-7586,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.07338263653 29.925467088509),432190,"JOE KIND SUPERMARKET, INC",T & T SEAFOOD,548 JACKSON AVE,,NEW ORLEANS,LA,70130,,1104 - FISH & SEAFOOD MARKETS
POINT (-90.064759399398 29.941956775949),432082,"N'AWLINS GOODS, LLC",N'AWLINS GOODS,901 CONVENTION CENTER BLVD,STE 114,NEW ORLEANS,LA,70130,,1101 - CONVENIENCE STORES
POINT (-90.104075543615 29.968764171495),432154,"SALOMON, ELGIN",SANDWICH SHOP,645 S PIERCE ST,,NEW ORLEANS,LA,70119,504-482-3295,1101 - CONVENIENCE STORES
POINT (-90.073560939023 30.001370666506),432228,WILLIBY'S CATFISH LLC,WILLIBY'S CATFISH LLC,4327 PARIS AVE,,NEW ORLEANS,LA,70122,,0135 - FISH & SEAFOOD WHLSRS
POINT (-89.959536188257 30.02103640939),431949,"AMA DISCOUNT, INC",CHEF DISCOUNT MARKET,10833 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70127,504-329-8179,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.016879628305 29.961722425935),432180,MARK NGUYEN,ST. MAURICE GROCERY,5467 ST CLAUDE AVE,A,NEW ORLEANS,LA,70117,504-000-0000,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.084936422734 29.93863354083),431952,"CHICKEN MART, INC",CHICKEN MART,2200 SIMON BOLIVAR AVE,,NEW ORLEANS,LA,70113,504-522-8893,1103 - MEAT MARKETS
POINT (-90.086452516052 29.943962410888),432036,GENGO MICHAEL A,KELLER MARKET FOOD STORE,1802 MAGNOLIA ST,,NEW ORLEANS,LA,70113,504-523-8648,1101 - CONVENIENCE STORES
POINT (-90.061175279022 29.96209733698),432214,"THE VERTI MARTE, INC",VERTI MARTE INC,1201 ROYAL ST,,NEW ORLEANS,LA,70116,504-525-4767,1101 - CONVENIENCE STORES
POINT (-90.126049679722 29.960795598782),431981,ARIYAN INC,DISCOUNT CORNER,8733 S CLAIBORNE AVE,,NEW ORLEANS,LA,70118,504-864-0057,1101 - CONVENIENCE STORES
POINT (-90.053270056191 29.99675665197),431912,"BIG EASY POBOY & SEAFOOD, LLC",BIG EASY POBOY & SEAFOOD,3700 CLEMATIS ST,,NEW ORLEANS,LA,70122,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.076989294557 29.951922709288),432188,"BEVO VINO, LLC",SWIRL,3141 3143 PONCE DE LEON ST,,NEW ORLEANS,LA,70119,504-304-0635,"1110 - BEER, WINE & LIQUOR STORES"
POINT (-90.066932898 29.944944834434),432087,"NESBIT'S JULIA ST MARKET,LLC",NESBITS JULIA ST MARKET,333 JULIA ST,,NEW ORLEANS,LA,70130,,1101 - CONVENIENCE STORES
POINT (-90.024856015032 29.928114644834),431991,MALAK 2000 INC,EVERGREEN SUPERMARKET,3011 SANDRA DR,,NEW ORLEANS,LA,70114,504-368-1581,1101 - CONVENIENCE STORES
POINT (-90.014464227185 29.920483535643),432146,"ROUSE'S ENTERPRISES, LLC",ROUSES MARKET #36(DE GAULLE),4001 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70114,985-447-5998,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.034488229446 29.992567882868),432052,SHAED LLC,LOUISA MINI MART,3423 LOUISA ST,,NEW ORLEANS,LA,70126,504-392-5513,1101 - CONVENIENCE STORES
POINT (-89.960450915049 30.020878530563),432078,MINI MARKET LA CONSENTIDA LLC,MINI MARKET LA CONSENTIDA LLC,10715 CHEF MENTEUR HWY,STE A,NEW ORLEANS,LA,70127,,1101 - CONVENIENCE STORES
POINT (-90.072237969408 29.957895506674),431905,BASIN SUPERMARKET INC,BASIN SUPERMARKET,237 BASIN ST,,NEW ORLEANS,LA,70112,504-522-7947,1101 - CONVENIENCE STORES
POINT (-90.076793346064 29.97738118601),431917,"DON DO, INC",BROADVIEW SEAFOOD,1468 N BROAD ST,,NEW ORLEANS,LA,70119,504-945-2118,1104 - FISH & SEAFOOD MARKETS
POINT (-90.033864631369 29.964517456049),432205,ROBERT H LUTZ,TRY ME COFFEE MILLS,1014 FRANCE ST,,NEW ORLEANS,LA,70117-5331,504-945-4314,"0138 - GROCERY & RELATED PRDCTS WHLSRS, OTH"
POINT (-90.06746963407 29.950841421164),432126,R & E MAGAZINE,R & E MAGAZINE,212 MAGAZINE ST,A,NEW ORLEANS,LA,70130,,"1169 - MISC STORE RTLERS (EX TOBAC), ALL OTH"
POINT (-90.051260302514 29.950789428731),431998,"FAUBOURG FRESH MARKET, LLC",FAUBOURG FRESH MARKET,541 BERMUDA ST,,NEW ORLEANS,LA,70114,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.077115563802 29.92953730034),432181,AU LAIT CRU LLC,STEIN'S MARKET AND DELI,2207 MAGAZINE ST,,NEW ORLEANS,LA,70130,504-527-0771,"1169 - MISC STORE RTLERS (EX TOBAC), ALL OTH"
POINT (-89.969569805861 30.057042239228),431994,"RANCH, INC",FAMILY RANCH MARKET,11950 HAYNE BLVD,,NEW ORLEANS,LA,70128,504-243-1944,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.97762350639 30.03850855821),431935,"CAJUN SEAFOOD #4,LLC",CAJUN SEAFOOD #4,7020 READ BLVD,,NEW ORLEANS,LA,70127,504-241-1396,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.108479443221 29.924484284776),432196,"CREOLE CONES, INC",THE CREOLE CREAMERY,4924 PRYTANIA ST,,NEW ORLEANS,LA,70115,504-885-7028,1101 - CONVENIENCE STORES
POINT (-90.038540952832 29.97745500641),432160,"SAVERS, LLC",SAVERS,3233 N GALVEZ ST,,NEW ORLEANS,LA,70117,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.068486455332 29.941694279561),432116,POEYFARRE MARKET LLC,POEYFARRE MARKET,925 POEYFARRE ST,,NEW ORLEANS,LA,70130,504-522-5252,1101 - CONVENIENCE STORES
POINT (-90.073182612543 29.943511889095),431957,"CIRCLE K STORES, INC.",CIRCLE K #2707672,704 HOWARD AVE,,NEW ORLEANS,LA,70130,504-586-3042,1101 - CONVENIENCE STORES
POINT (-90.000904322955 29.911994827896),431891,"ALG DISCOUNT, LLC",ALG DISCOUNT,5101 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70131,504-253-1254,1101 - CONVENIENCE STORES
POINT (-90.076989294557 29.951922709288),432053,TRIPLE A CAVIAR L.L.C.,LOUISIANA CAVIAR CO.,829 SAINT CHARLES AVE,,NEW ORLEANS,LA,70130,,0135 - FISH & SEAFOOD WHLSRS
POINT (-90.054206857653 30.028183997923),432145,"ROUSE'S ENTERPRISES, LLC",ROUSES MARKET #35(GENTILLY),6600 FRANKLIN AVE,,NEW ORLEANS,LA,70122,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.089232387222 29.974850454542),432031,JOHN & MARY INC,JOHN & MARY FOOD STORE,3238 ORLEANS AVE,,NEW ORLEANS,LA,70119,504-482-1144,1101 - CONVENIENCE STORES
POINT (-90.018529134678 29.92403131143),431920,"EXXON GENERAL DEGAULLE, LLC",BROTHER FOOD MART NO. 136,3622 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70114,504-366-2413,1101 - CONVENIENCE STORES
POINT (-90.132402986615 29.935202377356),432169,"NGU CORPORATION         NGUYEN, MAN V",SINGLETON MINI MART,7446 GARFIELD ST,,NEW ORLEANS,LA,70118,504-866-4741,1101 - CONVENIENCE STORES
POINT (-90.011105556545 29.959686103792),432100,M & J FOOD STORE INC,NOLA VILLAGE MARKET,6100 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,504-377-0670,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.091364216493 29.944658711819),432173,"ZAK DANIELS,LLC",SOUTH CLAIBORNE MARKET,2349 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.061142064221 29.95874955114),432167,SIDNEY'S LLC,SIDNEY'S WINE CELLAR,917 DECATUR ST,,NEW ORLEANS,LA,70116,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.066684402037 29.947361153343),432043,"LAFAYETTE MINI MART, LLC",LAFAYETTE MINI MART,322 LAFAYETTE ST,,NEW ORLEANS,LA,70130,504-522-1710,1101 - CONVENIENCE STORES
POINT (-90.121798454337 29.964868360332),432026,"ABJ & R GROCERY,LLC",J & P SUPERETTE,2941 EAGLE ST,,NEW ORLEANS,LA,70118,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.012022035652 29.923630354496),432230,WINN DIXIE MONTGOMERY LLC,WINN DIXIE #1426,3008 HOLIDAY DR,,NEW ORLEANS,LA,70131,504-398-0313,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.071760684628 29.988947579743),432079,MANIFESTED MIRACLES,MIRACLES TO GO,3040 BRUXELLES ST,,NEW ORLEANS,LA,70119,504-252-8290,1101 - CONVENIENCE STORES
POINT (-90.064357803439 29.961789081768),432070,TEN-O-ONE CORPORATION,MATASSA'S MARKET,1001 DAUPHINE ST,,NEW ORLEANS,LA,70116,504-412-8700,1101 - CONVENIENCE STORES
POINT (-90.052082721172 29.946698174992),431892,"ALGIERS CENTRAL,INC",ALGIERS CENTRAL MARKET,840 TECHE ST,,NEW ORLEANS,LA,70114,504-366-3221,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.076989294557 29.951922709288),432059,M & K MEAT MARKET INC,M & K MEAT MARKET,1330 ODEON AVE,,NEW ORLEANS,LA,70114,973-248-7786,1103 - MEAT MARKETS
POINT (-90.090161901843 29.937801891841),432005,JENNEFER TRAN INC,FRIENDLY SUPERMARKET,2704 LA SALLE ST,,NEW ORLEANS,LA,70113,,1101 - CONVENIENCE STORES
POINT (-90.076989294557 29.951922709288),432131,LINA GROCERY INC,READ SUPERMARKET,7045 READ BLVD,A,NEW ORLEANS,LA,70127,504-244-0741,1101 - CONVENIENCE STORES
POINT (-90.100564500453 29.951143569012),431995,MONA REALTY LLC,FAST STOP,2745 S BROAD ST,,NEW ORLEANS,LA,70125,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.087905076467 29.923505269288),431913,BIG FISHERMAN SEAFOOD INC,BIG FISHERMAN SEAFOOD,3301 MAGAZINE ST,,NEW ORLEANS,LA,70115,504-897-9907,1104 - FISH & SEAFOOD MARKETS
POINT (-90.076989294557 29.951922709288),432171,SHAWNTELL MANUEL,SOUL FOOD CUSINE EXPRESS,3146 GEN MEYER AVE,,NEW ORLEANS,LA,70114,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.116208668355 29.950540239962),431918,BWC INC,BROADWAY FOOD STORE,2223 BROADWAY ST,,NEW ORLEANS,LA,70118-5409,504-861-0505,1101 - CONVENIENCE STORES
