Borough,CouncilDist,Food_Scrap_Drop_Off_Site_Name,Hours_from,Hours_to,Latitude,Location,Longitude,NTAName,Notes,ObjectId,Operation_Day,Open_Months,Serviced_by,Website,boroCD,ct2010,point,zip_code,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
Brooklyn,42,OPEN FOR SEASON: Pink Houses Community Farm,12:00 PM,10:00 AM,40.66829,1257 Loring Avenue,-73.86444,East New York,,171,Saturdays,"Seasonal Market, June-November",East New York Farms!,https://ucceny.org/enyf/,305,1000,POINT (-73.86444 40.668292),11208,17215,45,2,25,47
Queens,26,CLOSING JULY 8: Junkluggers,06:00 PM,10:00 AM,40.76557,"33-56 11th Street, Queens",-73.93752,Queensbridge-Ravenswood-Long Island City,,55,Mondays,Year Round,NYC Compost Project,,401,1001,POINT (-73.937525 40.76556599999999),11106,16863,39,3,33,72
Manhattan,1,Bowling Green Greenmarket,2pm,8am,40.70472,"Broadway at Battery Place,New York,NY, 10004",-74.01353,Battery Park City-Lower Manhattan,,36,Tuesday,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,101,9,POINT (-74.01353 40.704718),10004,11725,56,4,32,1
Manhattan,4,OPEN FOR SEASON: Bryant Park,2:30pm,12:30pm,40.75418,6th Avenue and 41st Sreet,-73.9846,Midtown-Midtown South,"For schedule, holiday, and inclement weather updates, please visit: http://bryantpark.org/programs/waste-sorting-concierge",152,Monday,"Seasonal, May-November",Bryant Park Corporation,http://bryantpark.org/programs/waste-sorting-concierge,105,84,POINT (-73.98459514 40.75417679),10018,13094,11,4,51,8
Brooklyn,40,Cortelyou Greenmarket,01:00 PM,08:00 AM,40.64082,"Cortelyou Rd at Rugby Rd, Brooklyn, NY, 11226",-73.9653,Flatbush,,75,Sundays,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,314,520,POINT (-73.96530067 40.64082469),11226,13510,60,2,11,43
Manhattan,1,Tribeca Greenmarket,1pm,8am,40.7163,"Greenwich Street at Chambers Street,New York,NY",-74.01096,Battery Park City-Lower Manhattan,,235,Saturday,Year Round,"GrowNYC, NYC Dept of Sanitation & Community Partners",http://www.grownyc.org/compost/locations,101,21,POINT (-74.0109663 40.71630244),10007,11728,56,4,32,1
Brooklyn,36,Imani Garden,Dusk,Dawn,40.67651,1680 Pacific Street,-73.93298,Crown Heights North,,119,Everyday,Year Round,Imani Garden,N/A,308,1003,POINT (-73.932987 40.676511999999995),11213,17615,16,2,49,49
Manhattan,5,Roosevelt Island under the Helix,02:30 PM,09:00 AM,40.76379,Main Street under the Helix,-73.94736,Lenox Hill-Roosevelt Island,,207,Saturdays,Year Round,NYC Compost Project,http://www.bigreuse.org/compost,108,23801,POINT (-73.947367 40.763788),10044,13099,23,4,1,72
Manhattan,3,Hudson River Park's Pier 40 at W. Houston St.,7pm,7am,40.72911,Pier 40 at Houston St. near dog park,-74.01067,West Village,,114,Everyday,Year Round,Hudson River Park Trust,https://www.hudsonriverpark.org/,102,37,POINT (-74.01067255 40.729112259999994),10014,12077,57,4,10,1
Bronx,8,OPEN FOR SEASON: Target Bronx Community Garden,2pm,10:30am,40.83281,1025 Anderson Avenue,-73.92702,Highbridge,,175,Friday,Seasonal,Target Bronx Community Garden/ NYRP,www.nyrp.org,204,2000,POINT (-73.927022 40.832809000000005),10452,10930,50,5,35,27
Manhattan,10,Inwood Greenmarket,1pm,8am,40.869,"Isham St at Cooper,New York,NY, 10034",-73.92032,park-cemetery-etc-Manhattan,,120,Saturday,Year Round,New York Restoration Project & GrowNYC,http://www.grownyc.org/compost/locations,112,303,POINT (-73.92031901 40.869000429999986),10034,13092,47,4,39,22
Manhattan,10,181st Street,11:15am,6:45am,40.85213,Fort Washington Ave btw. 183rd & 185th - W (Bennett Park Entrance),-73.93782,Washington Heights North,,11,Wednesday,Year Round,GrowNYC,https://www.grownyc.org/compost-go,112,273,POINT (-73.93781992 40.852128539999995),10033,13091,47,4,39,22
Bronx,11,Mosholu Preservation,04:00 PM,12:00 PM,40.879,3400 Reservoir Oval East,-73.87569,Norwood,,143,Mondays,Year Round,Mosholu Preservation,www.mpcbronx.org,207,1001,POINT (-73.875698 40.879000999999995),10467,11605,24,5,40,34
Manhattan,9,145th Street,10am,6:30am,40.82365,145th & Edgecombe Ave - NE Corner (Jackie Robinson Park Entrance),-73.94385,Hamilton Heights,,4,Wednesday,Year Round,GrowNYC,https://www.grownyc.org/compost-go,109,227,POINT (-73.94384437 40.82364702),10030,12427,37,4,36,19
Manhattan,1,"West Village (Closed Thursday, 7/4 - Independence Day)",11am,8am,40.73293,6th Avenue and Waverly Place - SE Corner,-74.00007,West Village,,246,Thursday,Year Round,NYC Compost Project,www.lesecologycenter.org,102,63,POINT (-74.00006495 40.73292796),10011,12077,57,4,32,3
Brooklyn,37,Bushwick Grows! Community Garden,01:00 PM,10:00 AM,40.69761,1474 Gates Ave.,-73.9137,Bushwick North,,43,Saturdays,Year Round,Bushwick Grows! Community Garden,riseboro.org,304,3002,POINT (-73.913701 40.697607),11237,13828,42,2,37,53
Manhattan,10,Dyckman Street,11:30 AM,06:30 AM,40.86506,"Broadway, Riverside Drive, Dyckman Street (Anne Loftus Playground/Fort Tyron Park Entrance)",-73.92841,Washington Heights North,,82,Wednesdays,Year Round,GrowNYC,https://www.grownyc.org/compost-go,112,3001,POINT (-73.928413 40.865055999999996),10040,13092,47,4,39,22
Bronx,16,St. Augustine Food Pantry,5pm,12:30pm,40.82907,1168 Franklin Ave,-73.90429,Morrisania-Melrose,,216,Thursday,Year Round,St. Augustine Food Pantry,,203,2000,POINT (-73.904291 40.829067),10456,10934,34,5,42,25
Manhattan,1,SoHo Broadway and Spring Street,dusk,dawn,40.72302,Broadway at Spring Street,-73.99881,SoHo-TriBeCa-Civic Center-Little Italy,,214,Everyday. Register to get access: https://mdicus.wufoo.com/forms/p1b9sjtg0d3oukc/,Year Round,SoHo Broadway Initiative,www.sohobroadway.org,102,43,POINT (-73.99881307000001 40.72302212999998),10012,12075,57,4,32,1
Manhattan,9,Harlem Grown,5pm,9am,40.8138,118 W 134th St,-73.94282,Central Harlem North-Polo Grounds,,100,Monday,Year Round,Harlem Grown,http://www.harlemgrown.org/,110,1000,POINT (-73.942816 40.81380399999999),10030,12427,18,4,36,20
Queens,23,Queens County Farm Museum,05:00 PM,10:00 AM,40.74761,73-50 Little Neck Parkway,-73.7241,Bellerose,,203,Everyday,Year Round,Queens County Farm Museum,http://queensfarm.org/,413,1000,POINT (-73.724096 40.74760899999998),11004,24335,63,3,16,63
Manhattan,2,El Sol Brilliante- Children's Garden,dusk,dawn,40.72811,544 East 12th St.,-73.97945,East Village,,87,Everyday,Year Round,El Sol Brilliante- Children's Garden,,103,2000,POINT (-73.979449 40.728107),10009,11729,70,4,50,5
Bronx,15,OPENING JUNE 14: Fordham Plaza Greenmarket,01:00 PM,11:30 AM,40.8617,E Fordham Rd btw Webster Ave & Third Ave - S,-73.89138,Fordham South,,184,Fridays,Year Round,GrowNYC,https://www.google.com/url?q=https://www.grownyc.org/greenmarket/bronx/fordham&sa=D&ust=1529701744031000&usg=AFQjCNEeS7ccxGr2iqQtxYX1e5-bazhCXA,207,397,POINT (-73.89138067 40.86170061999999),10458,10936,6,5,22,29
Manhattan,1,Commuter Composting at East Broadway & Rutgers Street,11am,8am,40.71405,"East Broadway & Rutgers Street (SE corner), Manhattan",-73.99019,Lower East Side,,68,Wednesday,Year Round,NYC Compost Project,www.lesecologycenter.org,103,6,POINT (-73.99018838 40.71405459),10002,11723,70,4,32,4
Bronx,17,The Point CDC,6pm,10am,40.81822,940 Garrison Avenue,-73.89046,Hunts Point,,231,Thursday,Year Round,The Point CDC,thepoint.org,202,2005,POINT (-73.890465 40.818220999999994),10474,12343,8,5,43,24
Brooklyn,39,Grand Army Plaza Greenmarket,03:30 PM,08:00 AM,40.67256,"Prospect Park West & Plaza Street West, Brooklyn, 11238",-73.96987,Park Slope-Gowanus,,99,Saturdays,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,306,165,POINT (-73.969871 40.672562000000006),11238,,13,2,27,50
Queens,29,Commuter Composting at Kew Gardens E/F,09:30 AM,07:30 AM,40.71304,"Kew Gardens Road and 81st. Avenue, Kew Gardens 11415",-73.82981,Kew Gardens,,72,Tuesdays,Year Round,NYC Compost Project,,409,216,POINT (-73.82981059 40.7130399),11415,24011,46,3,28,60
Manhattan,7,"Columbia University Greenmarket (Closed Thursday, 7/4 - Independence Day)",3pm,8am,40.80671,"Broadway at West 114 St,New York,NY,10025",-73.96485,Morningside Heights,,57,Thursday,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,109,199,POINT (-73.96484935 40.80670668999999),10025,12422,37,4,23,17
Manhattan,7,The Brotherhood/Sister Sol,7pm,11am,40.8243,512 West 143rd Street,-73.95,Hamilton Heights,,226,Friday,Year Round,The Brotherhood/Sister Sol,https://brotherhood-sistersol.org/,109,2001,POINT (-73.950001 40.824301),10031,12428,37,4,23,19
Queens,26,Queens Library at Broadway,07:00 PM,01:00 PM,40.75848,"40-20 Broadway, Long Island City, NY, 11103",-73.91862,Astoria,,204,Mondays,Year Round,NYC Compost Project,http://www.bigreuse.org/compost/drop-off-list/,401,1000,POINT (-73.918628 40.758475000000004),11103,16860,39,3,33,72
Manhattan,10,"OPENING JUNE 27: 175th Street Greenmarket (Closed Thursday, 7/4 - Independence Day)",2pm,8am,40.84595,"175th Street between Wadsworth Avenue and Broadway, New York, NY",-73.93781,Washington Heights South,,189,Thursday,"Seasonal Market, June-November",GrowNYC,http://www.grownyc.org/compost/locations,112,263,POINT (-73.93781124 40.84594745999999),10033,13091,47,4,39,21
Manhattan,2,LES Ecology Center Garden,5:30pm,8am,40.72465,213 E. 7th St,-73.97964,Lower East Side,,130,Sunday,Year Round,NYC Compost Project,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,103,2001,POINT (-73.979638 40.724648),10009,11729,70,4,50,5
Brooklyn,75,Carroll Gardens Greenmarket,01:00 PM,08:00 AM,40.68054,"Carroll St. btwn Smith & Court Sts, Brooklyn, NY 11231",-73.99465,Carroll Gardens-Columbia Street-Red Hook,,44,Sundays,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,39,75,POINT (-73.99465319 40.68054127),11231,13514,14,2,27,48
Manhattan,10,Swindler Cove,4pm,8am,40.8577,3703 10th Avenue,-73.92226,Marble Hill-Inwood,,221,Everyday,Year Round,Swindler Cove,nyrp.org,112,2021,POINT (-73.922263 40.857702),10034,13092,47,4,39,22
Queens,29,OPEN FOR SEASON: The Compost Collective,12:00 PM,11:00 AM,40.71698,73-24 Yellowstone Blvd.,-73.85765,Forest Hills,,177,Saturdays,Seasonal,The Compost Collective,thecompostcollective.com,406,2004,POINT (-73.85764900000001 40.71698399999999),11375,14786,40,3,28,70
Manhattan,6,"Tucker Square Greenmarket (Closed Thursday, 7/4 - Independence Day)",3:30pm,8am,40.77372,"Columbus Ave & W 66th St, New York, NY 10023",-73.9819,Lincoln Square,,236,Thursday,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,107,149,POINT (-73.9819 40.773720999999995),10023,12420,20,4,19,12
Bronx,17,Project H.O.P.E. Fresh Food Box,6:30pm,3pm,40.81809,854 Hunts Point Ave,-73.88842,Hunts Point,,194,Wednesday,Year Round,GrowNYC,https://www.grownyc.org/compost/locations,202,2001,POINT (-73.888417 40.818087),10474,12343,8,5,43,24
Manhattan,9,Harlem Grown,5pm,9am,40.8138,118 W 134th St,-73.94282,Central Harlem North-Polo Grounds,,104,Friday,Year Round,Harlem Grown,http://www.harlemgrown.org/,110,1000,POINT (-73.942816 40.81380399999999),10030,12427,18,4,36,20
Queens,20,Queens Botanical Garden Public Food Scrap Drop-Off,"4:30 PM(Nov-Mar),06:00PM(Apr-Oct)",08:00 AM,40.75173,"Parking Garden at QBG
42-80 Crommelin Avenue, Flushing, NY 11355",-73.83,Flushing,,199,Thursdays,Year Round,NYC Compost Project,https://queensbotanical.org,407,1004,POINT (-73.83000300000002 40.751732000000004),11355,14190,22,3,3,67
Brooklyn,43,4th Avenue Presbyterian Church,05:00 PM,10:00 AM,40.63547,6753 4th Avenue,-74.0228,Bay Ridge,,12,Tuesdays,Year Round,4th Avenue Presbyterian Church,http://www.fourthavenuepresbyterian.org/,310,1004,POINT (-74.0228 40.63547299999999),11220,18180,10,2,44,41
Queens,22,Commuter Composting at Broadway N/W,11:00 AM,08:00 AM,40.76157,"32-15 31st St, Astoria, NY 11106 ?",-73.92551,Astoria,,67,Tuesdays,Year Round,NYC Compost Project,http://www.bigreuse.org/compost/drop-off-list/,401,3001,POINT (-73.92551 40.76156499999999),11106,16863,39,3,4,72
Manhattan,1,OPEN FOR SEASON: M'Finda Kalunga Garden,7:30pm,5:50pm,40.72103,Rivington and Forsyth,-73.9915,Chinatown,,162,Thursday,"Seasonal, April-October",M'Finda Kalunga Garden,www.mkgarden.org,103,18,POINT (-73.99150413 40.72102638),10002,11723,70,4,32,2
Manhattan,9,FACES NY at 115th,2pm,10am,40.80194,"121 West 115th, 10026",-73.95099,Central Harlem South,,89,Wednesday,Year Round,FACES NY,www.facesny.org,110,2000,POINT (-73.950989 40.80193699999998),10026,12423,18,4,36,18
Manhattan,2,Commuter Composting at 1st Ave and 1st St.,11am,8am,40.72293,First Avenue between Houston and First Street (West Side),-73.98864,Chinatown,,61,Friday,Year Round,NYC Compost Project,www.lesecologycenter.org,103,3001,POINT (-73.98863937 40.72293373999999),10002,11723,70,4,32,2
Manhattan,2,Creative Little Garden,dusk,dawn,40.72465,530 East 6th Street,-73.98259,East Village,,76,Everyday,Year Round,Creative Little Garden,www.creativelittlegarden.org,103,6000,POINT (-73.98258900000002 40.72464899999999),10009,11729,70,4,50,5
Bronx,17,Mary Mitchell Center,06:00 PM,10:00 AM,40.84494,"2007 Mapes Ave, Bronx 10460 at E 178th St",-73.88741,East Tremont,,135,Wednesday,Year Round- following the DOE calendar. Please look at https://www.schools.nyc.gov/calendar for closures.,Mary Mitchell Center,http://themarymitchellfyc.org/,206,2001,POINT (-73.887411 40.844941),10460,11269,35,5,43,31
Brooklyn,39,Big Reuse Brooklyn,06:00 PM,10:00 AM,40.67172,"One 12th St, Brooklyn, NY, 11215",-73.99671,Park Slope-Gowanus,,29,Thursdays,Year Round,NYC Compost Project & Community Partners,http://www.bigreuse.org/compost/drop-off-list/,306,119,POINT (-73.996711 40.671721),11215,17617,14,2,27,50
Brooklyn,41,OPEN FOR SEASON: Phoenix Community Garden,-07:00PM,04:00PM,40.67852,20 Somers Street,-73.91161,Ocean Hill,,167,Thursdays,"Seasonal, April-November",Phoenix Community Garden,,316,5002,POINT (-73.911613 40.678515000000004),11233,13516,55,2,17,46
Manhattan,5,96th Street,10:30am,7:15am,40.78587,96th Street & Lexington Ave - SE Corner (Samuel Seabury Playground),-73.95093,Upper East Side-Carnegie Hill,,18,Wednesday,Year Round,GrowNYC,https://www.grownyc.org/compost-go,108,15801,POINT (-73.95092872 40.785866369999994),10128,10099,7,4,1,14
Queens,20,OPEN FOR SEASON: Queens Botanical Garden DTE Farmers Market,-4:00 PM,8:30 AM,40.75142,82 Dahlia Avenue,-73.82734,Flushing,,172,Fridays,"Seasonal, June to November",Down to Earth Markets,downtoearthmarkets.com,407,79702,POINT (-73.827339 40.751421999999984),11355,14190,22,3,3,67
Manhattan,2,Union Square Greenmarket,5pm,8am,40.73682,"E 17th St & Union Square E, New York, NY",-73.99004,Hudson Yards-Chelsea-Flatiron-Union Square,,241,Wednesday,Year Round,NYC Compost Project,http://www.grownyc.org/compost/locations,105,50,POINT (-73.990043 40.73682199999999),10003,11724,11,4,50,7
Manhattan,7,137th Street - City College,11am,7:15am,40.82138,137th St & Broadway - SW (Montefiore Square),-73.95413,Manhattanville,,3,Wednesday,Year Round,GrowNYC,https://www.grownyc.org/compost-go,109,22301,POINT (-73.95413258 40.821381689999996),10031,12428,37,4,23,19
Brooklyn,34,Scholes Street Children's Garden,,,40.70848,"134 Scholes St, Brooklyn, NY 11206",-73.94431,East Williamsburg,,209,Tuesdays,Year Round,Scholes Street Children's Garden,www.nyrp.org,301,2000,POINT (-73.944309 40.708478),11206,17213,36,2,30,56
Bronx,16,OPEN FOR SEASON: Bronx Borough Hall Greenmarket,02:00 PM,08:00 AM,40.82737,"Grand Concourse and 161 St, Bronx, NY, 10451",-73.92281,West Concourse,,150,Tuesdays,"Seasonal Market, June-November",GrowNYC,http://www.grownyc.org/compost/locations,204,18301,POINT (-73.922805 40.827368),10451,10930,50,5,35,27
Bronx,8,Brook Park,6pm,10am,40.8096,494 East 141 St.,-73.9187,Mott Haven-Port Morris,,40,Saturday,Year Round,Brook Park,,201,4000,POINT (-73.9187 40.80959899999999),10454,10932,49,5,35,23
Staten Island,49,Olivet Heavenly Harvest,01:00 PM,10:00 AM,40.6302,"97 Myrtle Avenue, Staten Island, NY",-74.11597,New Brighton-Silver Lake,,145,Tuesdays,"Seasonal, March-November",Olivet Presbyterian Church,www.olivetcares.org,501,4006,POINT (-74.115963 40.630199),10310,10697,4,1,13,74
Queens,22,Hellgate Farm,08:00 PM,08:00 AM,40.76889,14-33 30th Drive,-73.92995,Old Astoria,,108,Saturdays,Year Round,Hellgate Farm,https://www.hellgatefarm.com/,401,1004,POINT (-73.929944 40.768893),11102,16859,39,3,4,72
Manhattan,6,B'nai Jeshurun Community House,9pm,7am,40.79037,270 West 89th Street,-73.976,Upper West Side,,35,Friday,Year Round,B'nai Jeshrun,www.bj.org,107,4001,POINT (-73.975999 40.79037300000001),10024,12421,20,4,19,15
Manhattan,1,"OPEN FOR SEASON: Earth Matter, Compost Learning Center",04:00 PM,12:00 PM,40.68695,"758 Enright Rd, New York, NY 10004",-74.02043,park-cemetery-etc-Manhattan,,157,Saturdays,"Seasonal, May-October",NYC Compost Project,https://earthmatter.org/nyc-compost-project/,101,5,POINT (-74.020433 40.686955999999995),10004,11725,56,4,32,1
Manhattan,2,OPENING JULY 7: La Plaza Cultural Community Garden,5pm,10am,40.72541,674 East 9th Street,-73.97862,Lower East Side,Find instructions here for composting at La Plaza: https://drive.google.com/file/d/0BwYV2m0W1uasckhWd2ZZdTRzSVk/view?usp=sharing,182,Saturday,Seasonal,La Plaza Cultural Community Garden,laplazacultural.com,103,2000,POINT (-73.978623 40.725414),10009,11729,70,4,50,5
Manhattan,2,14th Street Y,9pm,7am,40.73121,344 E 14th Street,-73.98336,East Village,,8,Sunday,Year Round,14th Street Y,https://www.14streety.org/about-us/sustainability/,103,6000,POINT (-73.983363 40.731214),10003,11724,70,4,50,5
Brooklyn,35,Fort Greene Greenmarket,03:00 PM,08:00 AM,40.68962,"Washington Park between Willoughby Avenue & Dekalb Avenue, Brooklyn, NY 11201",-73.97312,Fort Greene,,93,Saturdays,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,302,31,POINT (-73.9731253 40.68962070999999),11217,17212,68,2,48,55
Manhattan,2,CLOSED FOR SEASON: Carmen Pabon del Amanecer Community Garden,5pm,10am,40.72445,115 Avenue C,-73.97887,Lower East Side,,50,Saturday,Seasonal,Carmen Pabon del Amanecer Community Garden,,103,2001,POINT (-73.97887300000001 40.72445299999999),10009,11729,70,4,50,5
Bronx,11,Meg's Community Garden @ Dewitt Clinton High School Campus,Dusk,04:00 PM,40.88145,100 West Mosholu Parkway,-73.88664,Van Cortlandt Village,,140,Tuesdays,"Seasonal, May-November",James Baldwin Outdoor Learning Center,,207,409,POINT (-73.886643 40.881451),10468,11606,24,5,40,34
Manhattan,3,Hudson Square,11:00 AM,08:00 AM,40.72562,6th Avenue & Spring Street -NE Corner,-74.00448,SoHo-TriBeCa-Civic Center-Little Italy,,118,Tuesdays,Year Round,NYC Compost Project,www.lesecologycenter.org,102,37,POINT (-74.004482 40.72562099999998),10013,12076,57,4,10,1
Queens,22,Astoria Library,06:00 PM,10:00 AM,40.77238,"14-01 Astoria Blvd, Astoria, NY 11102",-73.92874,Old Astoria,,25,Fridays,Year Round,NYC Compost Project,"http://www.queenslibrary.org/branch/Astoria

http://www.bigreuse.org/compost/drop-off-list/",401,2001,POINT (-73.92874200000001 40.772375999999994),11102,16859,39,3,4,72
Manhattan,1,Hudson River Park's Pier 25 at N. Moore St.,7pm,7am,40.72032,Pier 25 at N. Moore St. near kid's playground,-74.01217,SoHo-TriBeCa-Civic Center-Little Italy,,113,Everyday,Year Round,Hudson River Park Trust,https://www.hudsonriverpark.org/,101,39,POINT (-74.01216827 40.7203179),10013,12076,56,4,32,1
Queens,22,Astoria Library,06:00 PM,01:00 PM,40.77238,"14-01 Astoria Blvd, Astoria, NY 11102",-73.92874,Old Astoria,,22,Tuesdays,Year Round,NYC Compost Project,"http://www.queenslibrary.org/branch/Astoria

http://www.bigreuse.org/compost/drop-off-list/",401,2001,POINT (-73.92874200000001 40.772375999999994),11102,16859,39,3,4,72
Bronx,17,We Stay/Nos Quedamos,4pm,12pm,40.82114,754 Melrose Avenue,-73.91493,Melrose South-Mott Haven North,,245,Tuesday,Year Round,GrowNYC,https://www.grownyc.org/compost/locations,201,1003,POINT (-73.914935 40.82114000000001),10451,10929,49,5,43,23
Manhattan,2,14th Street Y,9pm,7am,40.73121,344 E 14th Street,-73.98336,East Village,,7,Thursday,Year Round,14th Street Y,https://www.14streety.org/about-us/sustainability/,103,6000,POINT (-73.983363 40.731214),10003,11724,70,4,50,5
Brooklyn,41,OPEN FOR SEASON: Phoenix Community Garden,-07:00PM,04:00PM,40.67852,20 Somers Street,-73.91161,Ocean Hill,,168,Fridays,"Seasonal, April-November",Phoenix Community Garden,,316,5002,POINT (-73.911613 40.678515000000004),11233,13516,55,2,17,46
Manhattan,7,Dorothy K. McGowan Memorial Garden,4pm,1pm,40.83402,513 West 158th Street,-73.94226,Washington Heights South,,81,Sunday,Year Round,Dorothy K. McGowan Memorial Garden,,112,7000,POINT (-73.94226400000001 40.834024),10032,13090,47,4,23,21
Queens,26,Socrates Sculpture Park,Dusk,09:00 AM,40.76777,"Broadway & Vernon Blvd, Queens, NY 11106",-73.93623,Queensbridge-Ravenswood-Long Island City,,213,Every Day,Year Round,NYC Compost Project,"http://socratessculpturepark.org/programevent/socratesmarket/

http://www.bigreuse.org/compost/drop-off-list/",401,37,POINT (-73.936225 40.767770999999996),11106,16863,39,3,33,72
Queens,31,Edgemere Farm,Dusk,Dawn,40.59537,385 Beach 45th St,-73.77673,Hammels-Arverne-Edgemere,,86,Everyday,Year Round,Edgemere Farm,http://www.edgemerefarm.org/,414,2003,POINT (-73.776735 40.595368),11691,20529,51,3,47,59
Bronx,8,Brook Ave,10:45am,6:45am,40.80756,"138th, Brook Ave - NW Corner",-73.91923,Mott Haven-Port Morris,,39,Friday,Year Round,GrowNYC,https://www.grownyc.org/compost-go,201,25,POINT (-73.9192258 40.80755932000001),10454,10932,49,5,35,23
Bronx,17,Mary Mitchell Center,06:00 PM,10:00 AM,40.84494,"2007 Mapes Ave, Bronx 10460 at E 178th St",-73.88741,East Tremont,,136,Thursday,Year Round- following the DOE calendar. Please look at https://www.schools.nyc.gov/calendar for closures.,Mary Mitchell Center,http://themarymitchellfyc.org/,206,2001,POINT (-73.887411 40.844941),10460,11269,35,5,43,31
Queens,25,JH Scraps,01:00 PM,11:00 AM,40.74986,35-20 69th Street,-73.8963,Jackson Heights,,125,Saturdays,Year Round,JH Scraps,,403,4001,POINT (-73.896299 40.749864),11377,14783,65,3,5,73
Manhattan,2,CLOSED FOR SEASON: Peach Tree Garden,8pm,1pm,40.72168,236 East 2nd Street,-73.98202,Lower East Side,,54,Sunday,"Seasonal, April-October",Peach Tree Garden,,103,1001,POINT (-73.98202 40.72167600000001),10009,11729,70,4,50,5
Manhattan,9,Harlem Grown,5pm,9am,40.8138,118 W 134th St,-73.94282,Central Harlem North-Polo Grounds,,103,Thursday,Year Round,Harlem Grown,http://www.harlemgrown.org/,110,1000,POINT (-73.942816 40.81380399999999),10030,12427,18,4,36,20
Queens,20,Queens Botanical Garden Public Food Scrap Drop-Off,"4:30 PM(Nov-Mar),06:00PM(Apr-Oct)",08:00 AM,40.75173,"Parking Garden at QBG
42-80 Crommelin Avenue, Flushing, NY 11355",-73.83,Flushing,,200,Fridays,Year Round,NYC Compost Project,https://queensbotanical.org,407,1004,POINT (-73.83000300000002 40.751732000000004),11355,14190,22,3,3,67
Queens,21,OPENING JUNE 21: Corona Greenmarket,03:00 PM,08:00 AM,40.74987,"Corona Plaza, Roosevelt Ave at 103 Street, Queens",-73.86272,North Corona,,185,Fridays,"Seasonal Market, July-November",GrowNYC,http://www.grownyc.org/greenmarket/queens/corona,403,405,POINT (-73.86272586 40.74986910999999),11368,14510,65,3,21,73
Bronx,17,The Point CDC,6pm,10am,40.81822,940 Garrison Avenue,-73.89046,Hunts Point,,230,Wednesday,Year Round,The Point CDC,thepoint.org,202,2005,POINT (-73.890465 40.818220999999994),10474,12343,8,5,43,24
Manhattan,9,Garden of Love,6pm,10am,40.8044,302 West 116 Street,-73.95605,Central Harlem South,,98,Sunday,Year Round,Garden of Love,,110,2000,POINT (-73.956048 40.804396),10026,12423,18,4,36,18
Manhattan,4,OPEN FOR SEASON: Bryant Park,2:30pm,12:30pm,40.75418,6th Avenue and 41st Sreet,-73.9846,Midtown-Midtown South,"For schedule, holiday, and inclement weather updates, please visit: http://bryantpark.org/programs/waste-sorting-concierge",153,Tuesday,"Seasonal, May-November",Bryant Park Corporation,http://bryantpark.org/programs/waste-sorting-concierge,105,84,POINT (-73.98459514 40.75417679),10018,13094,11,4,51,8
Queens,20,Queens Botanical Garden Public Food Scrap Drop-Off,"4:30 PM(Nov-Mar),06:00PM(Apr-Oct)",08:00 AM,40.75173,"Parking Garden at QBG
42-80 Crommelin Avenue, Flushing, NY 11355",-73.83,Flushing,,198,Wednesdays,Year Round,NYC Compost Project,https://queensbotanical.org,407,1004,POINT (-73.83000300000002 40.751732000000004),11355,14190,22,3,3,67
,17,OPENING JULY 7: La Familia Verde Farmer's Market,1pm,9am,40.84649,"E Tremont Ave, between Lafontaine and Arthur Aves, Bronx 10457",-73.89434,Claremont-Bathgate,,181,Tuesday,"Seasonal, July-November",GrowNYC,https://www.grownyc.org/compost/locations; http://www.lafamiliaverde.org/,206,395,POINT (-73.89433678000002 40.846486719999994),10457,10935,35,5,22,31
Bronx,11,Church of the Mediator/La Iglesia El Mediador,10:00 AM,08:00 AM,40.87981,W 231 St & Kingsbridge Ave,-73.90658,Spuyten Duyvil-Kingsbridge,,49,Tuesdays,Year Round,Serviced/Managed by Volunteers from Church of the Mediator,churchofthemediator.org,208,289,POINT (-73.90657532 40.879806959999996),10463,11272,48,5,40,33
Manhattan,1,Commuter Composting at Grand Street & Clinton Street,11am,8am,40.71595,"Grand Street & Clinton Street (SW corner), Manhattan",-73.98672,Lower East Side,,71,Friday,Year Round,NYC Compost Project,www.lesecologycenter.org,103,1401,POINT (-73.98672147 40.71595360999999),10002,11723,70,4,32,4
Queens,24,Commuter Composting at Briarwood E/F,09:30 AM,07:30 AM,40.70999,Briarwood E/F Subway Station Entrance (North Side of Queens Boulevard),-73.81996,Kew Gardens,,66,Tuesdays,Year Round,NYC Compost Project,,408,22001,POINT (-73.819962 40.70998699999999),11435,24670,25,3,24,65
Bronx,17,The Point CDC,6pm,10am,40.81822,940 Garrison Avenue,-73.89046,Hunts Point,,232,Friday,Year Round,The Point CDC,thepoint.org,202,2005,POINT (-73.890465 40.818220999999994),10474,12343,8,5,43,24
Brooklyn,37,Irving Square Park,11:00 AM,08:00 AM,40.69299,Corner of Halsey and Knickerbocker,-73.9083,Bushwick North,,121,Mondays,Year Round,NYC Compost Project,,304,437,POINT (-73.9083 40.69298499999999),11207,17214,42,2,37,53
