  Site,Date,Giardia / 50L,Cryptosporidium / 50L,Qualifiers
DEL18,08/23/2010,2,0,"The IR gun was out of calibration when the temps were taken. However, the IR gun is checked daily against a NIST calibrated thermometer and was in range."
1CR21,09/06/2016,0,0,
1CR21,07/11/2016,1,3,
CROGH,11/09/2015,0,0,
CROGH,08/03/2015,0,0,
DEL18,10/31/2011,4,0,
DEL18DT,04/24/2017,0,0,
CROGH,05/05/2014,8,0,
CRO1B,10/24/2011,1,0,
DEL18,11/01/2010,2,0,
CROGH,12/27/2011,7,0,
CROGH,08/16/2010,0,0,"The IR gun was out of calibration when the temps were taken. However, the IR gun is checked daily against a NIST calibrated thermometer and was in range."
DEL18,06/14/2010,0,0,
DEL18,02/22/2011,3,0,
DEL18,07/12/2010,0,0,
DEL18,06/13/2011,0,0,
DEL18DT,04/13/2015,0,0,
DEL18DT,02/21/2017,2,0,Heat Dissociation
DEL18DT,07/08/2013,1,0,
DEL18DT,12/08/2014,2,0,
DEL18,08/29/2011,0,0,
DEL18DT,05/08/2017,2,0,
CATLEFF,05/10/2010,0,0,Elution buffer component-Laureth 12 stock- had expired on 5/8/10
CRO1T,10/15/2018,0,0,
CATLEFF,05/29/2012,0,0,
DEL18DT,10/30/2017,1,0,
CATLEFF,01/24/2011,2,0,
DEL18DT,09/29/2014,1,0,
DEL18DT,07/10/2017,0,0,
CRO1B,03/26/2018,7,0,
DEL18,12/05/2011,0,0,
1CR21,03/28/2016,5,0,
DEL18DT,05/15/2017,0,0,
DEL18DT,01/17/2017,7,0,Heat Dissociation
DEL18DT,07/01/2013,1,0,
1CR21,05/11/2015,0,0,
CATLEFF,06/07/2010,2,0,
CATLEFF,05/23/2011,2,0,
CRO1T,04/11/2011,4,0,
DEL18DT,10/09/2012,0,0,
1CR21,02/06/2017,0,1,
CATLEFF,07/06/2010,1,0,
DEL18DT,03/30/2015,3,0,
DEL18DT,03/04/2019,5,0,
DEL18DT,08/21/2017,1,0,
CATLEFF,03/22/2010,0,0,
DEL18DT,06/12/2017,4,0,
CATLEFF,05/14/2012,2,0,
DEL18DT,07/28/2014,0,0,
CATLEFF,04/25/2011,3,0,
DEL18DT,07/01/2019,1,0,
DEL18DT,12/12/2016,2,0,
CRO1B,02/06/2012,1,0,
DEL18DT,02/12/2018,2,0,
CRO1T,03/08/2010,3,0,
DEL18DT,05/09/2016,0,0,
CRO1B,10/01/2012,0,0,
1CR21,10/24/2016,0,0,
DEL18DT,05/26/2015,0,0,
DEL18DT,04/02/2018,3,0,
DEL18DT,12/01/2014,1,0,
DEL18DT,02/09/2015,3,0,5 filters with 10 liters each
CATLEFF,09/07/2010,2,0,
DEL18,02/21/2012,4,0,
1CR21,06/13/2016,5,0,
CRO1B,08/22/2011,1,0,
CATLEFF,10/03/2011,2,0,
DEL18DT,09/02/2014,0,0,
CRO1B,09/17/2018,0,0,Analysis omitted deliberately.  Duplicate analysis was not needed.
DEL18DT,05/04/2015,1,0,
1CR21,03/14/2016,0,0,
DEL18DT,09/18/2017,1,0,
CRO1B,11/07/2011,0,0,
1CR21,08/31/2015,0,0,
CATLEFF,05/02/2011,2,0,
DEL18DT,08/24/2015,0,0,
CATLEFF,11/08/2010,0,0,
DEL18DT,12/18/2017,3,0,
DEL18DT,06/13/2016,0,0,
DEL18,07/09/2012,0,0,
DEL18DT,04/18/2016,0,0,Heat Dissociation
1CR21,10/01/2018,0,0,
DEL18,06/28/2010,0,0,
1CR21,09/19/2016,0,0,
DEL18,05/29/2012,0,0,
CATLEFF,12/13/2010,3,0,
CROGH,07/06/2015,0,0,
DEL18DT,08/29/2016,0,0,
DEL18DT,11/05/2018,0,0,
CRO1B,05/07/2012,0,0,"Analytical procedure error.  discarded sample prior to analysis., Bottle lost.  Disposed of prior to analysis."
CRO1T,07/14/2014,0,0,The spike analysis was not within the control limits.
DEL18,10/03/2011,1,0,
DEL18DT,11/07/2016,0,0,
DEL18DT,11/24/2014,1,0,
CRO1T,02/22/2011,2,0,
CATLEFF,02/21/2012,2,0,
DEL18,09/20/2010,0,0,
CATLEFF,05/03/2010,3,0,
CRO1B,09/10/2018,0,0,
CATLEFF,04/19/2010,1,0,
DEL18DT,04/14/2014,0,0,
DEL18DT,04/07/2014,2,0,
DEL18DT,08/10/2015,0,0,
CRO1B,05/16/2011,2,0,
DEL18,07/16/2012,0,0,
1CR21,10/11/2016,Cancel,Cancel,
DEL18DT,04/28/2014,0,0,
DEL18DT,10/26/2015,1,0,
DEL18DT,04/23/2018,0,0,
DEL18DT,03/07/2016,5,2,
CRO1T,10/18/2010,0,0,
CRO1B,06/06/2011,3,0,
CROGH,03/03/2014,2,0,
DEL18DT,10/01/2012,0,0,
DEL18,01/17/2012,4,0,
1CR21,08/15/2016,0,4,
DEL18DT,08/05/2013,1,0,
DEL18DT,09/17/2018,2,0,
DEL18DT,04/01/2019,1,0,
CRO1B,03/05/2012,2,0,"QC failed.  Failed field reference check, twice.  Second check not logged, so not shown here in LIMS."
DEL18,07/26/2010,0,0,
CATLEFF,07/09/2012,0,0,
1CR21,08/01/2016,0,1,
CATLEFF,09/19/2011,2,0,
DEL18DT,06/30/2014,1,0,
DEL18DT,09/24/2018,0,0,
CRO1T,02/07/2011,3,0,
DEL18DT,07/06/2015,0,0,
1CR21,01/25/2016,1,0,
DEL18DT,02/13/2017,0,0,
CROGH,01/17/2012,1,0,
DEL18,07/19/2010,0,0,
DEL18DT,12/24/2018,3,0,
1CR21,10/19/2015,0,0,
DEL18DT,11/26/2012,0,0,
DEL18DT,05/30/2017,1,0,
CRO1B,03/26/2012,0,0,
DEL18DT,03/05/2018,2,0,
DEL18DT,02/22/2016,3,0,
DEL18DT,07/18/2016,1,0,"Heat Dissociation, The duplicate analysis was not within the control limits."
1CR21,07/18/2016,0,0,
DEL18DT,11/04/2013,0,0,
CATLEFF,04/12/2010,1,0,
DEL18,08/09/2010,0,0,"The IR gun was out of calibration when the temps were taken. However, the IR gun is checked daily against a NIST calibrated thermometer and was in range."
CATLEFF,10/12/2010,2,0,
CRO1B,07/18/2011,1,0,
CATLEFF,06/04/2012,1,0,
DEL18DT,11/09/2015,1,0,
1CR21,09/21/2015,0,0,
DEL18DT,10/29/2018,0,0,
DEL18DT,06/15/2015,1,0,
DEL18DT,06/10/2013,2,0,
CATLEFF,05/25/2010,0,0,
DEL18DT,06/27/2016,0,0,
DEL18DT,02/19/2019,3,0,
CRO1B,02/13/2012,1,0,
DEL18DT,08/03/2015,0,0,
1CR21,11/30/2015,0,0,
DEL18DT,06/10/2019,2,0,
DEL18,11/14/2011,3,0,
CATLEFF,10/17/2011,1,0,
DEL18DT,03/20/2017,0,0,
DEL18DT,11/17/2014,3,0,
DEL18DT,01/26/2015,1,0,
1CR21,06/22/2015,0,0,
CATLEFF,10/11/2011,1,0,
DEL18DT,05/22/2017,0,0,
CRO1B,11/28/2011,3,0,
DEL18DT,10/31/2012,0,0,
DEL18DT,08/18/2014,0,0,
CATLEFF,06/20/2011,0,0,
DEL18,12/20/2010,5,0,
DEL18DT,08/29/2011,4,0,
DEL18DT,06/29/2015,0,0,
1CR21,10/05/2015,0,0,
CRO1B,06/04/2012,0,0,
DEL18,05/14/2012,3,0,
DEL18DT,10/02/2017,1,0,
CATLEFF,04/05/2010,1,0,
CROGH,12/07/2015,1,0,
CROGH,09/08/2015,0,0,
DEL18,03/22/2010,3,0,
DEL18,01/24/2011,3,0,
CRO1T,07/21/2014,0,0,
CRO1B,08/14/2017,0,0,
DEL18,03/07/2011,2,0,
DEL18,07/25/2011,0,0,
DEL18,12/12/2011,0,0,
DEL18,10/11/2011,2,0,
DEL18DT,02/16/2016,0,0,
DEL18DT,02/17/2015,4,0,
CROGH,09/07/2010,0,0,Datum was not recorded.  Data was not recorded by field crew.
CROGH,01/23/2012,0,0,
CRO1B,05/21/2012,1,0,
DEL18DT,08/12/2013,0,0,
1CR21,04/20/2015,Cancel,Cancel,
CRO1B,02/21/2012,3,0,
DEL18,09/06/2011,3,0,
DEL18,10/05/2011,1,0,
DEL18,09/12/2011,3,0,
CRO1B,05/14/2012,0,0,
CRO1T,11/29/2010,0,0,
DEL18DT,01/19/2016,0,0,
DEL18DT,11/03/2014,0,0,
DEL18DT,04/06/2015,0,0,
DEL18,07/30/2012,0,0,
1CR21,08/22/2016,1,0,
DEL18DT,09/26/2016,1,0,The spike analysis was not within the control limits.
DEL18DT,12/03/2012,0,0,
DEL18DT,07/09/2018,2,0,
CATLEFF,02/04/2011,0,0,
CATLEFF,07/23/2012,0,0,
DEL18DT,01/17/2017,0,0,The spike analysis was not within the control limits.
DEL18,05/02/2011,2,0,
DEL18DT,08/28/2017,2,0,
DEL18DT,02/25/2013,2,0,
DEL18DT,02/04/2011,2,0,
DEL18DT,02/21/2017,3,0,
CATLEFF,08/02/2010,1,0,
CROGH,02/08/2016,1,0,The spike analysis was not within the control limits.
DEL18DT,01/03/2017,2,1,
1CR21,05/09/2016,4,0,
DEL18DT,01/05/2015,6,0,
CRO1T,02/28/2011,4,0,
CRO1T,08/04/2014,0,0,
DEL18DT,12/17/2012,0,0,
1CR21,12/14/2015,0,0,
DEL18DT,12/21/2015,0,0,
DEL18DT,11/10/2014,0,0,
CRO1B,09/19/2011,2,0,
DEL18DT,06/03/2019,0,0,
CRO1T,09/27/2010,0,0,
DEL18DT,07/05/2016,0,0,
DEL18DT,01/27/2014,5,0,
1CR21,09/26/2016,0,0,
DEL18DT,10/31/2016,0,0,
1CR21,04/25/2016,4,0,
DEL18DT,11/06/2017,0,0,
CATLEFF,08/06/2012,0,0,
1CR21,05/16/2016,3,1,
DEL18DT,11/20/2017,0,0,
CRO1T,12/19/2011,2,0,
DEL18DT,10/15/2018,0,1,
DEL18,08/31/2010,2,0,
DEL18DT,05/04/2016,1,0,
CRO1B,02/12/2018,1,0,
DEL18DT,08/06/2018,2,0,
DEL18DT,06/09/2014,0,0,
CRO1T,12/20/2010,0,1,
DEL18DT,03/17/2014,3,0,
1CR21,08/03/2015,0,0,
CATLEFF,03/29/2010,2,0,
DEL18DT,07/07/2014,0,0,
DEL18DT,08/13/2018,1,0,
DEL18DT,08/11/2014,0,0,
1CR21,05/02/2016,1,0,
CRO1B,03/12/2018,2,0,
DEL18DT,10/22/2012,0,0,
DEL18,05/09/2011,2,0,
CATLEFF,11/14/2011,2,0,
DEL18DT,07/13/2015,0,1,
CATLEFF,12/06/2010,2,0,
DEL18DT,12/09/2013,1,0,
1CR21,04/18/2016,2,0,
DEL18,07/23/2012,0,0,
CATLEFF,01/28/2011,1,0,
CRO1B,09/24/2018,0,0,
1CR21,11/02/2015,0,0,
CATLEFF,10/04/2010,1,0,
1CR21,07/05/2016,0,1,
DEL18DT,02/03/2015,10,2,Special Investigation.  5 filters by 10L each
DEL18DT,10/20/2014,1,0,
CATLEFF,11/01/2010,2,0,
CRO1B,11/13/2017,0,0,
DEL18DT,02/24/2014,6,0,
DEL18DT,08/31/2011,1,0,
DEL18DT,01/22/2013,3,0,
CRO1B,06/11/2012,0,0,
CRO1B,03/21/2011,7,0,
CRO1B,05/15/2017,0,0,
DEL18DT,11/27/2017,1,0,
DEL18DT,08/14/2017,0,0,
CATLEFF,12/20/2010,6,0,
DEL18DT,01/23/2017,4,0,
1CR21,09/14/2015,0,0,The spike analysis was not within the control limits.
1CR21,01/17/2017,2,0,
DEL18DT,09/05/2017,1,0,
DEL18DT,03/10/2014,1,0,
CROGH,06/28/2010,0,0,
DEL18,11/22/2010,3,0,
DEL18DT,10/29/2012,0,0,
DEL18,05/07/2012,0,0,
CATLEFF,05/09/2011,0,0,
CRO1B,04/02/2018,1,0,
DEL18,03/19/2012,1,0,
DEL18DT,09/08/2014,0,0,
DEL18DT,11/16/2015,0,0,
DEL18DT,01/22/2019,4,0,
CRO1B,05/29/2012,0,0,
DEL18DT,06/24/2019,2,0,
DEL18DT,11/13/2012,1,0,
CRO1B,04/19/2010,0,0,
DEL18DT,11/18/2013,1,0,
CRO1T,11/08/2010,1,0,
DEL18DT,01/13/2014,4,0,
DEL18DT,01/04/2016,1,0,
CATLEFF,07/05/2011,1,0,
CATLEFF,08/23/2010,0,0,"The IR gun was out of calibration when the temps were taken. However, the IR gun is checked daily against a NIST calibrated thermometer and was in range."
CATLEFF,02/27/2012,2,1,
DEL18,07/02/2012,1,0,
1CR21,07/06/2015,0,0,
DEL18,10/17/2011,1,0,
1CR21,05/18/2015,0,0,
DEL18DT,08/20/2012,0,0,
CROGH,02/18/2014,2,0,
CRO1B,08/27/2018,0,0,
DEL18DT,04/25/2016,0,0,
DEL18DT,04/17/2017,3,0,Heat Dissociation
