Reporting Area,MMWR Year,MMWR Week,"Shiga toxin-producing E. coli (STEC)§, Current week","Shiga toxin-producing E. coli (STEC)§, Current week, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2016","Shiga toxin-producing E. coli (STEC)§, Cum 2016, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2015","Shiga toxin-producing E. coli (STEC)§, Cum 2015, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Med","Shigellosis, Previous 52 weeks Med, flag","Shigellosis, Previous 52 weeks Max","Shigellosis, Previous 52 weeks Max, flag","Shigellosis, Cum 2016","Shigellosis, Cum 2016, flag","Shigellosis, Cum 2015","Shigellosis, Cum 2015, flag",Location 1,Location 2
MASSACHUSETTS,2016,11,,-,1,,6,,11,,7,,,-,3,,13,,18,,28,,"MASSACHUSETTS
(42.268546, -72.085064)",
MICHIGAN,2016,11,1,,2,,7,,15,,14,,3,,9,,23,,68,,97,,"MICHIGAN
(44.66399, -84.711206)",
SOUTH DAKOTA,2016,11,,-,1,,5,,3,,5,,,-,3,,20,,3,,12,,"SOUTH DAKOTA
(44.35371, -100.373709)",
TEXAS,2016,11,,-,10,,38,,57,,51,,23,,96,,354,,750,,481,,"TEXAS
(31.827233, -99.423022)",
PACIFIC,2016,11,2,,24,,119,,69,,183,,10,,47,,168,,355,,417,,,
VIRGIN ISL.,2016,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
WASHINGTON,2016,11,,-,0,,104,,,-,6,,5,,2,,27,,38,,23,,"WASHINGTON
(47.517368, -120.467672)",
MISSISSIPPI,2016,11,,-,0,,3,,2,,2,,,-,1,,7,,10,,20,,"MISSISSIPPI
(32.738663, -89.537312)",
NEW HAMPSHIRE,2016,11,,-,0,,4,,1,,5,,,-,0,,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
KENTUCKY,2016,11,,-,1,,6,,9,,7,,4,,5,,21,,48,,111,,"KENTUCKY
(37.64591, -84.774043)",
HAWAII,2016,11,,-,0,,3,,2,,15,,,-,1,,6,,6,,12,,"HAWAII
(21.30992, -157.858158)",
W.N. CENTRAL,2016,11,2,,9,,22,,47,,60,,2,,24,,61,,206,,249,,,
MID. ATLANTIC,2016,11,17,,12,,22,,83,,65,,20,,26,,55,,223,,612,,,
E.N. CENTRAL,2016,11,3,,16,,33,,53,,91,,25,,46,,114,,679,,460,,,
RHODE ISLAND,2016,11,,-,0,,2,,,-,3,,1,,0,,6,,6,,2,,"RHODE ISLAND
(41.707447, -71.522488)",
UNITED STATES,2016,11,32,,120,,222,,502,,666,,177,,412,,689,,3507,,3633,,,
TENNESSEE,2016,11,1,,3,,11,,32,,14,,2,,3,,10,,36,,76,,"TENNESSEE
(35.681402, -85.774444)",
DELAWARE,2016,11,,-,0,,1,,,-,,-,,-,0,,3,,5,,11,,"DELAWARE
(39.008676, -75.574561)",
VIRGINIA,2016,11,1,,1,,6,,2,,8,,8,,6,,22,,62,,30,,"VIRGINIA
(37.542699, -78.45822)",
IOWA,2016,11,,-,3,,10,,12,,8,,,-,12,,41,,98,,27,,"IOWA
(42.46942, -93.815856)",
NEW YORK CITY,2016,11,7,,2,,8,,17,,13,,8,,9,,24,,91,,327,,NEW YORK CITY,
NEVADA,2016,11,,-,0,,7,,2,,5,,,-,0,,6,,,-,9,,"NEVADA
(39.491833, -117.070159)",
MAINE,2016,11,,-,0,,3,,2,,3,,,-,0,,1,,,-,1,,"MAINE
(45.252223, -68.986647)",
NEBRASKA,2016,11,2,,2,,7,,18,,15,,2,,2,,8,,36,,24,,"NEBRASKA
(41.640503, -99.367122)",
ARIZONA,2016,11,1,,2,,11,,17,,8,,17,,12,,40,,308,,81,,"ARIZONA
(34.869712, -111.760902)",
CONNECTICUT,2016,11,,-,1,,8,,7,,14,,,-,1,,4,,3,,14,,"CONNECTICUT
(41.544654, -72.651713)",
MISSOURI,2016,11,,-,0,,0,,,-,19,,,-,0,,0,,,-,172,,"MISSOURI
(38.636168, -92.566292)",
ALABAMA,2016,11,,-,1,,5,,5,,6,,5,,10,,31,,74,,127,,"ALABAMA
(32.839182, -86.631125)",
MINNESOTA,2016,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
FLORIDA,2016,11,4,,2,,8,,36,,28,,7,,27,,86,,143,,358,,"FLORIDA
(28.915325, -81.922409)",
PUERTO RICO,2016,11,,-,0,,1,,,-,,-,,-,0,,7,,3,,1,,"PUERTO RICO
(18.215692, -66.414655)",
GEORGIA,2016,11,,-,2,,7,,7,,14,,13,,24,,47,,155,,239,,"GEORGIA
(32.836038, -83.631709)",
DIST. OF COL.,2016,12,,-,0,,1,,,-,,-,,-,0,,3,,,-,9,,DIST. OF COL.,
PACIFIC,2016,12,1,,23,,128,,73,,196,,6,,47,,168,,389,,459,,,
CALIFORNIA,2016,12,,-,15,,34,,48,,140,,4,,39,,158,,292,,416,,"CALIFORNIA
(37.640735, -121.002435)",
VIRGINIA,2016,12,6,,2,,6,,8,,8,,8,,6,,22,,74,,33,,"VIRGINIA
(37.542699, -78.45822)",
PUERTO RICO,2016,12,,-,0,,1,,,-,,-,,-,0,,7,,3,,1,,"PUERTO RICO
(18.215692, -66.414655)",
SOUTH DAKOTA,2016,12,,-,1,,5,,3,,5,,,-,3,,20,,3,,13,,"SOUTH DAKOTA
(44.35371, -100.373709)",
FLORIDA,2016,12,,-,2,,8,,36,,30,,6,,26,,86,,149,,391,,"FLORIDA
(28.915325, -81.922409)",
MASSACHUSETTS,2016,12,,-,2,,6,,16,,7,,,-,3,,13,,28,,31,,"MASSACHUSETTS
(42.268546, -72.085064)",
W.N. CENTRAL,2016,12,1,,9,,22,,51,,68,,7,,25,,61,,261,,257,,,
UNITED STATES,2016,12,31,,120,,231,,564,,736,,144,,413,,693,,3846,,3945,,,
VIRGIN ISL.,2016,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
NEW YORK CITY,2016,12,1,,2,,8,,18,,15,,9,,9,,24,,100,,339,,NEW YORK CITY,
NEBRASKA,2016,12,1,,2,,7,,20,,19,,,-,2,,8,,38,,27,,"NEBRASKA
(41.640503, -99.367122)",
MAINE,2016,12,1,,0,,3,,3,,3,,,-,0,,1,,,-,1,,"MAINE
(45.252223, -68.986647)",
NEW HAMPSHIRE,2016,12,,-,0,,4,,2,,7,,,-,0,,2,,1,,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MISSISSIPPI,2016,12,,-,0,,3,,2,,3,,,-,1,,7,,10,,25,,"MISSISSIPPI
(32.738663, -89.537312)",
ALASKA,2016,12,,-,0,,2,,3,,3,,,-,0,,1,,,-,1,,"ALASKA
(64.836661, -147.738891)",
WEST VIRGINIA,2016,12,,-,0,,3,,2,,2,,,-,0,,4,,,-,2,,"WEST VIRGINIA
(38.668501, -80.709421)",
ARIZONA,2016,12,1,,2,,11,,19,,10,,22,,13,,40,,336,,89,,"ARIZONA
(34.869712, -111.760902)",
VERMONT,2016,12,,-,0,,4,,2,,4,,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
LOUISIANA,2016,12,,-,0,,12,,,-,11,,3,,4,,16,,67,,28,,"LOUISIANA
(31.2931, -92.463284)",
W.S. CENTRAL,2016,12,,-,15,,49,,71,,89,,29,,125,,371,,1076,,675,,,
TENNESSEE,2016,12,2,,3,,11,,36,,15,,1,,3,,10,,37,,80,,"TENNESSEE
(35.681402, -85.774444)",
AMER. SAMOA,2016,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,AMER. SAMOA,
MOUNTAIN,2016,12,4,,14,,39,,55,,65,,26,,20,,43,,384,,137,,,
DELAWARE,2016,12,,-,0,,1,,,-,,-,,-,0,,3,,5,,12,,"DELAWARE
(39.008676, -75.574561)",
SOUTH CAROLINA,2016,12,,-,0,,7,,5,,3,,5,,4,,44,,71,,35,,"SOUTH CAROLINA
(34.009286, -81.037094)",
OHIO,2016,12,2,,4,,19,,22,,27,,24,,13,,54,,330,,94,,"OHIO
(40.056807, -82.405897)",
IDAHO,2016,12,1,,3,,9,,20,,6,,4,,1,,5,,20,,2,,"IDAHO
(43.680635, -114.364237)",
C.N.M.I.,2016,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
WYOMING,2016,12,,-,0,,1,,,-,4,,,-,0,,4,,3,,,-,"WYOMING
(43.23558, -108.110518)",
NEW JERSEY,2016,12,,-,0,,6,,9,,18,,,-,5,,13,,15,,88,,"NEW JERSEY
(40.104655, -74.386686)",
MISSOURI,2016,12,,-,0,,0,,,-,19,,,-,0,,0,,,-,172,,"MISSOURI
(38.636168, -92.566292)",
RHODE ISLAND,2016,12,,-,0,,2,,,-,3,,,-,0,,6,,6,,2,,"RHODE ISLAND
(41.707447, -71.522488)",
MID. ATLANTIC,2016,12,8,,13,,22,,93,,70,,14,,25,,55,,242,,635,,,
NEW YORK,2016,12,6,,4,,14,,36,,18,,3,,4,,10,,38,,147,,"NEW YORK
(42.826892, -75.544286)",
NEW ENGLAND,2016,12,4,,3,,18,,36,,38,,,-,5,,17,,39,,49,,,
S. ATLANTIC,2016,12,7,,11,,21,,73,,76,,26,,73,,154,,547,,885,,,
ILLINOIS,2016,12,,-,3,,9,,12,,25,,,-,17,,35,,90,,160,,"ILLINOIS
(40.477092, -88.993221)",
OKLAHOMA,2016,12,,-,1,,32,,8,,6,,8,,16,,165,,171,,72,,"OKLAHOMA
(35.468494, -97.521264)",
GEORGIA,2016,12,,-,2,,7,,7,,15,,4,,24,,47,,170,,267,,"GEORGIA
(32.836038, -83.631709)",
E.S. CENTRAL,2016,12,2,,6,,15,,53,,34,,4,,24,,47,,176,,358,,,
KENTUCKY,2016,12,,-,1,,6,,9,,7,,1,,5,,21,,50,,120,,"KENTUCKY
(37.64591, -84.774043)",
NORTH CAROLINA,2016,12,,-,1,,6,,4,,11,,,-,5,,31,,46,,69,,"NORTH CAROLINA
(35.47995, -79.180571)",
INDIANA,2016,12,,-,2,,8,,3,,7,,,-,5,,10,,54,,91,,"INDIANA
(39.76845, -86.156212)",
NORTH DAKOTA,2016,12,,-,1,,6,,4,,4,,,-,0,,2,,1,,2,,"NORTH DAKOTA
(47.475879, -100.121011)",
IOWA,2016,12,,-,3,,10,,13,,8,,5,,13,,41,,139,,31,,"IOWA
(42.46942, -93.815856)",
OREGON,2016,12,1,,4,,11,,20,,31,,1,,2,,10,,52,,6,,"OREGON
(44.567912, -120.156945)",
KANSAS,2016,12,,-,2,,5,,11,,13,,2,,3,,14,,80,,12,,"KANSAS
(38.345528, -98.201847)",
E.N. CENTRAL,2016,12,4,,16,,33,,59,,100,,32,,46,,114,,732,,490,,,
NEVADA,2016,12,,-,0,,7,,2,,6,,,-,0,,6,,,-,9,,"NEVADA
(39.491833, -117.070159)",
MARYLAND,2016,12,1,,1,,6,,11,,7,,3,,3,,13,,32,,67,,"MARYLAND
(39.290443, -76.612333)",
GUAM,2016,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
ALABAMA,2016,12,,-,1,,5,,6,,9,,2,,10,,31,,79,,133,,"ALABAMA
(32.839182, -86.631125)",
CONNECTICUT,2016,12,3,,1,,8,,13,,14,,,-,1,,4,,4,,15,,"CONNECTICUT
(41.544654, -72.651713)",
MICHIGAN,2016,12,2,,2,,7,,19,,14,,3,,9,,23,,74,,99,,"MICHIGAN
(44.66399, -84.711206)",
WISCONSIN,2016,12,,-,3,,10,,3,,27,,5,,4,,31,,184,,46,,"WISCONSIN
(44.395526, -89.834513)",
MONTANA,2016,12,1,,2,,6,,10,,8,,,-,0,,2,,2,,6,,"MONTANA
(47.062617, -109.430168)",
WASHINGTON,2016,12,,-,0,,113,,,-,6,,1,,2,,26,,39,,23,,"WASHINGTON
(47.517368, -120.467672)",
TEXAS,2016,12,,-,10,,38,,60,,61,,16,,96,,353,,803,,570,,"TEXAS
(31.827233, -99.423022)",
UTAH,2016,12,1,,1,,8,,3,,8,,,-,0,,8,,14,,9,,"UTAH
(39.359772, -111.584173)",
NEW MEXICO,2016,12,,-,0,,3,,1,,4,,,-,1,,5,,9,,11,,"NEW MEXICO
(34.520396, -106.244402)",
COLORADO,2016,12,,-,3,,16,,,-,19,,,-,2,,8,,,-,11,,"COLORADO
(38.841772, -106.132562)",
HAWAII,2016,12,,-,0,,3,,2,,16,,,-,1,,6,,6,,13,,"HAWAII
(21.30992, -157.858158)",
PENNSYLVANIA,2016,12,1,,3,,12,,30,,19,,2,,8,,24,,89,,61,,"PENNSYLVANIA
(40.789676, -77.858055)",
MINNESOTA,2016,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
ARKANSAS,2016,12,,-,1,,7,,3,,11,,2,,3,,7,,35,,5,,"ARKANSAS
(34.748745, -92.275105)",
RHODE ISLAND,2016,13,,-,0,,2,,,-,3,,,-,0,,6,,6,,3,,"RHODE ISLAND
(41.707447, -71.522488)",
FLORIDA,2016,13,5,,2,,8,,42,,31,,12,,26,,86,,161,,416,,"FLORIDA
(28.915325, -81.922409)",
PACIFIC,2016,13,4,,23,,127,,86,,219,,3,,47,,168,,406,,495,,,
COLORADO,2016,13,,-,3,,16,,,-,22,,,-,2,,8,,,-,12,,"COLORADO
(38.841772, -106.132562)",
MID. ATLANTIC,2016,13,17,,13,,22,,113,,77,,15,,25,,55,,262,,662,,,
CONNECTICUT,2016,13,1,,1,,23,,38,,14,,,-,1,,4,,6,,16,,"CONNECTICUT
(41.544654, -72.651713)",
C.N.M.I.,2016,13,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
VIRGINIA,2016,13,1,,2,,7,,17,,11,,10,,6,,22,,92,,38,,"VIRGINIA
(37.542699, -78.45822)",
S. ATLANTIC,2016,13,7,,11,,21,,92,,82,,42,,72,,154,,607,,941,,,
KENTUCKY,2016,13,,-,1,,6,,11,,7,,1,,5,,21,,53,,130,,"KENTUCKY
(37.64591, -84.774043)",
DELAWARE,2016,13,,-,0,,1,,1,,,-,,-,0,,3,,5,,12,,"DELAWARE
(39.008676, -75.574561)",
ALASKA,2016,13,1,,0,,2,,4,,3,,,-,0,,1,,,-,2,,"ALASKA
(64.836661, -147.738891)",
E.S. CENTRAL,2016,13,1,,6,,15,,57,,38,,9,,24,,47,,199,,377,,,
PENNSYLVANIA,2016,13,,-,4,,12,,33,,21,,7,,8,,24,,100,,62,,"PENNSYLVANIA
(40.789676, -77.858055)",
IOWA,2016,13,,-,3,,10,,18,,9,,3,,13,,41,,170,,33,,"IOWA
(42.46942, -93.815856)",
WASHINGTON,2016,13,,-,0,,113,,,-,12,,,-,2,,26,,39,,24,,"WASHINGTON
(47.517368, -120.467672)",
SOUTH CAROLINA,2016,13,,-,1,,7,,7,,3,,6,,4,,44,,78,,36,,"SOUTH CAROLINA
(34.009286, -81.037094)",
INDIANA,2016,13,,-,2,,8,,3,,10,,,-,5,,10,,61,,97,,"INDIANA
(39.76845, -86.156212)",
MICHIGAN,2016,13,,-,2,,7,,19,,20,,,-,9,,23,,74,,108,,"MICHIGAN
(44.66399, -84.711206)",
HAWAII,2016,13,,-,0,,3,,2,,17,,,-,1,,6,,6,,14,,"HAWAII
(21.30992, -157.858158)",
UTAH,2016,13,,-,1,,8,,3,,9,,1,,0,,8,,16,,9,,"UTAH
(39.359772, -111.584173)",
MINNESOTA,2016,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
MAINE,2016,13,,-,0,,3,,4,,3,,,-,0,,1,,,-,1,,"MAINE
(45.252223, -68.986647)",
SOUTH DAKOTA,2016,13,,-,1,,5,,3,,7,,,-,3,,20,,3,,15,,"SOUTH DAKOTA
(44.35371, -100.373709)",
OREGON,2016,13,3,,4,,11,,26,,32,,1,,2,,10,,58,,6,,"OREGON
(44.567912, -120.156945)",
NEW YORK CITY,2016,13,1,,2,,8,,19,,18,,6,,9,,24,,106,,352,,NEW YORK CITY,
MONTANA,2016,13,,-,2,,6,,11,,8,,,-,0,,2,,3,,6,,"MONTANA
(47.062617, -109.430168)",
AMER. SAMOA,2016,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,AMER. SAMOA,
E.N. CENTRAL,2016,13,5,,16,,33,,70,,117,,23,,47,,115,,776,,530,,,
KANSAS,2016,13,,-,2,,5,,11,,16,,,-,4,,14,,84,,13,,"KANSAS
(38.345528, -98.201847)",
W.N. CENTRAL,2016,13,,-,9,,22,,56,,75,,3,,26,,61,,296,,264,,,
CALIFORNIA,2016,13,,-,15,,34,,54,,155,,2,,39,,158,,303,,449,,"CALIFORNIA
(37.640735, -121.002435)",
ARKANSAS,2016,13,,-,1,,7,,5,,13,,9,,3,,7,,44,,6,,"ARKANSAS
(34.748745, -92.275105)",
ARIZONA,2016,13,5,,2,,11,,25,,12,,34,,14,,40,,373,,108,,"ARIZONA
(34.869712, -111.760902)",
NORTH CAROLINA,2016,13,,-,1,,6,,4,,12,,,-,5,,31,,49,,72,,"NORTH CAROLINA
(35.47995, -79.180571)",
VERMONT,2016,13,,-,0,,4,,4,,4,,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
IDAHO,2016,13,2,,3,,9,,24,,8,,3,,1,,5,,23,,2,,"IDAHO
(43.680635, -114.364237)",
OKLAHOMA,2016,13,1,,1,,32,,9,,6,,15,,16,,165,,186,,80,,"OKLAHOMA
(35.468494, -97.521264)",
WISCONSIN,2016,13,,-,3,,10,,6,,31,,2,,4,,31,,194,,49,,"WISCONSIN
(44.395526, -89.834513)",
VIRGIN ISL.,2016,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
MARYLAND,2016,13,,-,1,,6,,11,,7,,3,,3,,13,,35,,70,,"MARYLAND
(39.290443, -76.612333)",
MISSISSIPPI,2016,13,,-,0,,3,,3,,4,,,-,1,,7,,11,,27,,"MISSISSIPPI
(32.738663, -89.537312)",
PUERTO RICO,2016,13,,-,0,,1,,,-,,-,,-,0,,7,,3,,1,,"PUERTO RICO
(18.215692, -66.414655)",
TEXAS,2016,13,,-,10,,38,,63,,65,,85,,101,,356,,1008,,627,,"TEXAS
(31.827233, -99.423022)",
ILLINOIS,2016,13,,-,3,,9,,15,,29,,,-,16,,35,,96,,175,,"ILLINOIS
(40.477092, -88.993221)",
NEW ENGLAND,2016,13,1,,4,,25,,64,,39,,,-,5,,17,,41,,54,,,
GEORGIA,2016,13,1,,2,,7,,8,,16,,11,,24,,47,,187,,283,,"GEORGIA
(32.836038, -83.631709)",
UNITED STATES,2016,13,43,,121,,230,,683,,820,,246,,415,,699,,4325,,4222,,,
TENNESSEE,2016,13,1,,3,,11,,37,,18,,1,,3,,10,,42,,85,,"TENNESSEE
(35.681402, -85.774444)",
MOUNTAIN,2016,13,7,,14,,39,,66,,73,,38,,21,,43,,427,,157,,,
MISSOURI,2016,13,,-,0,,0,,,-,19,,,-,0,,0,,,-,172,,"MISSOURI
(38.636168, -92.566292)",
NEW HAMPSHIRE,2016,13,,-,0,,4,,2,,8,,,-,0,,2,,1,,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ALABAMA,2016,13,,-,1,,5,,6,,9,,7,,10,,31,,93,,135,,"ALABAMA
(32.839182, -86.631125)",
MASSACHUSETTS,2016,13,,-,2,,6,,16,,7,,,-,3,,13,,28,,34,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW MEXICO,2016,13,,-,0,,3,,1,,4,,,-,1,,5,,9,,11,,"NEW MEXICO
(34.520396, -106.244402)",
OHIO,2016,13,5,,4,,19,,27,,27,,21,,14,,54,,351,,101,,"OHIO
(40.056807, -82.405897)",
NEW JERSEY,2016,13,,-,0,,6,,9,,18,,,-,5,,13,,16,,93,,"NEW JERSEY
(40.104655, -74.386686)",
GUAM,2016,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEW YORK,2016,13,16,,4,,14,,52,,20,,2,,4,,10,,40,,155,,"NEW YORK
(42.826892, -75.544286)",
WEST VIRGINIA,2016,13,,-,0,,3,,2,,2,,,-,0,,4,,,-,2,,"WEST VIRGINIA
(38.668501, -80.709421)",
LOUISIANA,2016,13,,-,0,,12,,2,,16,,4,,4,,16,,73,,29,,"LOUISIANA
(31.2931, -92.463284)",
NORTH DAKOTA,2016,13,,-,1,,6,,4,,4,,,-,0,,2,,1,,2,,"NORTH DAKOTA
(47.475879, -100.121011)",
NEVADA,2016,13,,-,0,,7,,2,,6,,,-,0,,6,,,-,9,,"NEVADA
(39.491833, -117.070159)",
WYOMING,2016,13,,-,0,,0,,,-,4,,,-,0,,4,,3,,,-,"WYOMING
(43.23558, -108.110518)",
NEBRASKA,2016,13,,-,2,,7,,20,,20,,,-,2,,8,,38,,29,,"NEBRASKA
(41.640503, -99.367122)",
W.S. CENTRAL,2016,13,1,,15,,49,,79,,100,,113,,128,,374,,1311,,742,,,
DIST. OF COL.,2016,13,,-,0,,1,,,-,,-,,-,0,,3,,,-,12,,DIST. OF COL.,
MARYLAND,2016,14,,-,1,,6,,11,,7,,3,,3,,13,,38,,72,,"MARYLAND
(39.290443, -76.612333)",
MONTANA,2016,14,,-,2,,6,,11,,9,,,-,0,,2,,3,,6,,"MONTANA
(47.062617, -109.430168)",
C.N.M.I.,2016,14,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
NORTH CAROLINA,2016,14,,-,1,,6,,4,,12,,,-,5,,30,,49,,77,,"NORTH CAROLINA
(35.47995, -79.180571)",
INDIANA,2016,14,,-,2,,8,,5,,10,,,-,5,,10,,63,,102,,"INDIANA
(39.76845, -86.156212)",
MINNESOTA,2016,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
WEST VIRGINIA,2016,14,,-,0,,3,,2,,2,,,-,0,,4,,,-,2,,"WEST VIRGINIA
(38.668501, -80.709421)",
S. ATLANTIC,2016,14,2,,12,,24,,95,,92,,23,,72,,144,,644,,988,,,
NEW YORK CITY,2016,14,,-,2,,8,,19,,18,,7,,8,,24,,113,,355,,NEW YORK CITY,
SOUTH DAKOTA,2016,14,,-,1,,5,,3,,8,,,-,3,,20,,4,,20,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEBRASKA,2016,14,,-,2,,7,,21,,20,,4,,1,,8,,43,,29,,"NEBRASKA
(41.640503, -99.367122)",
PUERTO RICO,2016,14,,-,0,,1,,,-,,-,,-,0,,7,,3,,2,,"PUERTO RICO
(18.215692, -66.414655)",
LOUISIANA,2016,14,,-,0,,12,,3,,16,,3,,4,,16,,76,,33,,"LOUISIANA
(31.2931, -92.463284)",
WISCONSIN,2016,14,,-,3,,11,,6,,35,,6,,5,,31,,213,,52,,"WISCONSIN
(44.395526, -89.834513)",
WYOMING,2016,14,,-,0,,0,,,-,4,,,-,0,,4,,3,,,-,"WYOMING
(43.23558, -108.110518)",
MICHIGAN,2016,14,,-,2,,7,,25,,23,,1,,8,,23,,82,,113,,"MICHIGAN
(44.66399, -84.711206)",
NORTH DAKOTA,2016,14,,-,1,,6,,4,,5,,,-,0,,2,,1,,2,,"NORTH DAKOTA
(47.475879, -100.121011)",
OHIO,2016,14,2,,4,,19,,29,,29,,21,,16,,54,,382,,106,,"OHIO
(40.056807, -82.405897)",
MAINE,2016,14,,-,0,,3,,4,,4,,,-,0,,1,,,-,1,,"MAINE
(45.252223, -68.986647)",
OREGON,2016,14,1,,4,,11,,28,,38,,1,,2,,10,,59,,6,,"OREGON
(44.567912, -120.156945)",
FLORIDA,2016,14,1,,3,,8,,43,,31,,9,,26,,86,,170,,449,,"FLORIDA
(28.915325, -81.922409)",
KANSAS,2016,14,,-,2,,5,,11,,16,,,-,4,,14,,86,,16,,"KANSAS
(38.345528, -98.201847)",
ALASKA,2016,14,,-,0,,2,,3,,4,,,-,0,,1,,,-,2,,"ALASKA
(64.836661, -147.738891)",
IOWA,2016,14,,-,3,,10,,25,,10,,,-,13,,41,,189,,37,,"IOWA
(42.46942, -93.815856)",
VIRGINIA,2016,14,1,,2,,7,,18,,9,,4,,6,,22,,98,,39,,"VIRGINIA
(37.542699, -78.45822)",
NEW YORK,2016,14,7,,5,,16,,58,,24,,1,,4,,10,,41,,162,,"NEW YORK
(42.826892, -75.544286)",
AMER. SAMOA,2016,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,AMER. SAMOA,
UNITED STATES,2016,14,43,,123,,240,,782,,906,,144,,410,,699,,4611,,4496,,,
CONNECTICUT,2016,14,,-,1,,33,,55,,15,,,-,1,,4,,6,,16,,"CONNECTICUT
(41.544654, -72.651713)",
ALABAMA,2016,14,,-,1,,5,,7,,12,,7,,10,,31,,100,,141,,"ALABAMA
(32.839182, -86.631125)",
ILLINOIS,2016,14,,-,3,,9,,15,,34,,,-,16,,35,,96,,194,,"ILLINOIS
(40.477092, -88.993221)",
NEW MEXICO,2016,14,,-,0,,3,,1,,4,,,-,1,,5,,10,,12,,"NEW MEXICO
(34.520396, -106.244402)",
NEVADA,2016,14,,-,0,,7,,2,,7,,,-,0,,6,,,-,9,,"NEVADA
(39.491833, -117.070159)",
UTAH,2016,14,,-,1,,8,,4,,10,,,-,1,,8,,20,,9,,"UTAH
(39.359772, -111.584173)",
TENNESSEE,2016,14,2,,3,,11,,39,,20,,,-,3,,10,,43,,89,,"TENNESSEE
(35.681402, -85.774444)",
DELAWARE,2016,14,,-,0,,1,,1,,,-,,-,0,,3,,7,,12,,"DELAWARE
(39.008676, -75.574561)",
KENTUCKY,2016,14,,-,1,,6,,11,,7,,1,,5,,21,,54,,135,,"KENTUCKY
(37.64591, -84.774043)",
VIRGIN ISL.,2016,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
NEW HAMPSHIRE,2016,14,,-,0,,4,,2,,8,,,-,0,,2,,1,,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
W.S. CENTRAL,2016,14,6,,15,,49,,94,,106,,32,,128,,379,,1353,,839,,,
MISSOURI,2016,14,,-,0,,0,,,-,19,,,-,0,,0,,,-,172,,"MISSOURI
(38.636168, -92.566292)",
OKLAHOMA,2016,14,,-,1,,32,,9,,6,,,-,16,,165,,186,,87,,"OKLAHOMA
(35.468494, -97.521264)",
HAWAII,2016,14,,-,0,,3,,5,,19,,,-,1,,6,,9,,16,,"HAWAII
(21.30992, -157.858158)",
CALIFORNIA,2016,14,,-,15,,34,,60,,172,,3,,39,,158,,340,,475,,"CALIFORNIA
(37.640735, -121.002435)",
MISSISSIPPI,2016,14,,-,0,,3,,3,,5,,,-,1,,7,,11,,30,,"MISSISSIPPI
(32.738663, -89.537312)",
TEXAS,2016,14,5,,10,,38,,75,,71,,27,,101,,361,,1045,,711,,"TEXAS
(31.827233, -99.423022)",
MASSACHUSETTS,2016,14,,-,2,,6,,16,,10,,,-,3,,13,,38,,35,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW JERSEY,2016,14,,-,0,,6,,9,,18,,,-,5,,13,,19,,99,,"NEW JERSEY
(40.104655, -74.386686)",
GEORGIA,2016,14,,-,1,,7,,8,,26,,4,,25,,40,,201,,288,,"GEORGIA
(32.836038, -83.631709)",
