the_geom,OBJECTID,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType,OwnerName,LocationX,LocationY
POINT (-90.069048663681 29.954955898111),1337746,GALATOIRE'S RESTAURANT,209 BOURBON ST,,NEW ORLEANS,LA,70130,504-525-2021,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),NEW ORLEANS EQUITY LLC,3681194.16892,531318.345474
POINT (-90.076989294557 29.951922709288),1338031,NEW ORLEANS HAMBURGER & SEAFOOD CO.,12000 I-10 SERVICE RD,,NEW ORLEANS,LA,70128,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"NOHSCNO EAST #1,LLC",3678691.8167,530187.70942
POINT (-90.066230120367 29.955080582288),1337857,KINGFISH,339 CHARTRES ST,,NEW ORLEANS,LA,70112,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),337 CHARTRES LLC,3682086.17436,531373.544003
POINT (-90.037660316456 30.004497931093),1337466,BURGER KING #5783,4454 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"GPS HOSPITALITY PARTNERS IV, LLC",3690929.73564,549444.688979
POINT (-90.076989294557 29.951922709288),1337382,ATCHAFALAYA,901-903 LOUISIANA AVE,,NEW ORLEANS,LA,70115,504-891-9623,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),JAFFE REST LLC,3678691.8167,530187.70942
POINT (-90.074614686423 29.93169335354),1337671,DOWN THE HATCH,1921 SOPHIE WRIGHT PL,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),GIUSEPPE'S  BISTRO  LLC,3679524.58088,522839.832827
POINT (-90.021900610937 29.939928124141),1338187,RIO GRANDE TACOS,3211 GENERAL MEYER AVE,,NEW ORLEANS,LA,70114,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"RIO GRANDE TACOS,LLC",3696186.36886,526021.526334
POINT (-90.074991157744 29.953550921348),1337732,FRENCHEEZE AT THE PYTHIAN,234 LOYOLA AVE,SPC 16,NEW ORLEANS,LA,70112,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),FRENCHEEZE AT THE PYTHIAN,3679318.05544,530786.730434
POINT (-90.009340545976 29.964582195816),1337506,CAJUN JOE'S SEAFOOD,6024 N CLAIBORNE AVE,,NEW ORLEANS,LA,70117,504-942-0202,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),THANH CHAU CORPORATION,3700060.5704,535032.34247
POINT (-90.074081708859 29.941358249238),1338337,THAT'S AMORE PIZZERIA ST CHARLES AVE,1205 ST CHARLES AVE,STE C,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"JAZZ VENTURE,LLC",3679654.76706,526356.192382
POINT (-90.089930137045 29.962165894619),1337354,ADDIS NOLA ETHIOPIAN AUTHENTIC CUISINE AND CULTURA,424 S BROAD ST,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),ADDIS NOLA ETHIOPIAN AUTHENTIC CUISINE AND CULTURA,3674553.47777,533867.817221
POINT (-90.087544975909 29.923353629287),1338172,REGINELLI'S PIZZERIA,3244 MAGAZINE ST,,NEW ORLEANS,LA,70115,504-835-6613,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),NEW GARDEN DIST CAFE INC,3675462.14581,519762.45068
POINT (-90.096658043698 29.941798514216),1337576,CITY DONUTS AND CAFE,3301 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"CITY DONUTS AND CAFE, LLC",3672503.13287,526438.417726
POINT (-90.076989294557 29.951922709288),1337513,CAPTAIN SAL'S SEAFOOD & CHICKEN,3168 SAINT CLAUDE AVE,,NEW ORLEANS,LA,70117,504-948-9990,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"VU & SONS, LLC",3678691.8167,530187.70942
POINT (-90.067573577506 29.954992794813),1337621,CURIO,301 ROYAL ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),301 ROYAL LLC,3681661.11458,531336.91917
POINT (-90.099507779003 29.975008638234),1338438,VENEZIA RESTAURANT,134 N CARROLLTON AVE,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),VENEZIA INC,3671470.58945,538505.152521
POINT (-90.074865266996 29.940423925583),1338470,WENDY'S #209,1301  ST CHARLES AVE,,NEW ORLEANS,LA,70130,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"HAZA FOODS OF LOUISIANA, LLC",3679410.34639,526013.71219
POINT (-90.07467813417 29.957304591878),1338281,SUBWAY,1409 CANAL ST,,NEW ORLEANS,LA,70112,504-522-4373,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),SANGSAMI ENTERPRISE LLC,3679402.18363,532152.792771
POINT (-90.054206857653 30.028183997923),1337677,EAST OF ITALY,6600 FRANKLIN AVE,A1,NEW ORLEANS,LA,70122,504-286-1022,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CAFE ROMA LAKEFRONT, LLC",3685596.64431,557999.040667
POINT (-90.076989294557 29.951922709288),1337344,1300 HOOTS ON THE AVE,1300 ST. BERNARD AVE,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),1300 HOOTS ON THE AVE LLC,3678691.8167,530187.70942
POINT (-90.060536143871 29.961231668159),1338250,SONIAT HOUSE,1133 CHARTRES ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),SONIAT HOUSE INC,3683864.35426,533630.287429
POINT (-90.06832530473 29.955758653291),1337483,CAFE BEIGNET IV,311 BOURBON ST,,NEW ORLEANS,LA,70130,504-524-8695,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CAFE BEIGNET, LLC",3681420.00156,531612.784835
POINT (-90.076989294557 29.951922709288),1337374,AQUARIUM OF AMER. & WOLDENBERG RF PK,1 CANAL ST,,NEW ORLEANS,LA,70130,504-595-3474,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),AUDUBON NATURE INSTITUTEINC.,3678691.8167,530187.70942
POINT (-90.070445905909 29.954430069288),1337803,I HOP,833 CANAL ST,,NEW ORLEANS,LA,70112,504-593-0440,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),RUBY IV LLC,3680753.83163,531122.255938
POINT (-90.06127010916 29.958616505851),1338488,WILLIE'S CHICKEN SHACK,911 DECATUR ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),WILLIE'S DECATUR LLC,3683642.51221,532676.737668
POINT (-90.109093512159 29.934892488369),1337632,DAT DOGS,5030 FRERET ST,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),DAT DOGS ENTERPRISES LLC,3668591.67258,523884.837372
POINT (-90.062604262675 29.967861569331),1338344,THE BOURBON SQUARE,1139 ST BERNARD AVE,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"A & E RESTAURANT,LLC",3683182.77832,536033.897031
POINT (-90.072064026229 29.945886996426),1337437,BONCI PIZZERIA,726 JULIA ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"BONCI OPERATING,LLC",3680275.63739,528010.037695
POINT (-90.061748170298 29.958112765827),1338425,TUJAGUE'S REST,823 DECATUR ST,,NEW ORLEANS,LA,70116,504-525-8676,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),TUJAGUE'S INC,3683493.16981,532491.87898
POINT (-90.07166079606 29.953942824124),1338383,"THE ROOSEVELT HOTEL, A WALDORF ASTORIA COLLECTION",123 BARONNE ST,,NEW ORLEANS,LA,70112,504-648-1200,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"WALDORF=ASTORIA MANAGEMENT, LLC",3680371.07893,530940.837378
POINT (-90.09523054203 29.973343617729),1337904,LIUZZA'S REST & BAR,234 N TELEMACHUS ST,,NEW ORLEANS,LA,70119,504-482-9120,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),LIUZZA'S REST & BAR INC,3672831.27368,537914.292873
POINT (-89.994182764868 30.027940127002),1338121,PIZZA HUT #30993,5790 CROWDER BLVD,,NEW ORLEANS,LA,70127,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"HORIZON RIVER RESTAURANTS, LLC",3704590.60766,558127.357339
POINT (-90.09921482106 29.920877540491),1338144,QUE RICO CUBAN CAFE,4200 MAGAZINE ST,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"QUE RICO CUBAN CAFE, LLC",3671775.34369,518822.053879
POINT (-90.068065574515 29.940740811652),1338369,THE MILL,1051 ANNUNCIATION ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"THE MILL OF THE COTTON MILL,LLC",3681562.54812,526152.658558
POINT (-90.108510782993 29.935109890114),1337430,BLAZE PIZZA,5001 FRERET ST,STE: A,NEW ORLEANS,LA,70115,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"SADDLES BLAZIN,LLC",3668775.38983,523965.865212
POINT (-90.060878638485 29.962203541969),1337995,MONA LISA RESTAURANT,1212 ROYAL ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"MARY MALES, LLC",3683751.98396,533982.492229
POINT (-90.076989294557 29.951922709288),1337597,COPPER VINE,1009 POYDRAS STREET,STE B,NEW ORLEANS,LA,70112,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"RAMPART 442, LLC",3678691.8167,530187.70942
POINT (-90.065618184594 29.953462313862),1337810,INDUSTRY BAR & KITCHEN,240 DECATUR ST,,NEW ORLEANS,LA,70130,504-895-1600,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),PARSA INC,3682286.45756,530787.225666
POINT (-90.066951523242 29.954564823859),1338380,THE PELICAN CLUB,615 BIENVILLE ST,,NEW ORLEANS,LA,70130-2208,504-523-1504,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),RIVER ROADS FOOD COMPANY,3681859.81148,531183.469826
POINT (-90.101710763138 29.926288401861),1338307,SUPERIOR SEAFOOD,4338 ST CHARLES AVE,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"SUPERIOR  SEAFOOD & OYSTER BAR, LLC.",3670963.56865,520781.133241
POINT (-90.066591350283 29.956119089289),1337451,BRENNAN'S,417 ROYAL ST,,NEW ORLEANS,LA,70130,504-539-5512,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),417 ROYAL RESTAURANT LLC,3681967.61423,531749.918531
POINT (-90.063955354864 29.960419362774),1338044,NOLA POBOYS,908 BOURBON ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"NOLA POBOYS, LLC",3682784.98338,533322.893188
POINT (-90.076989294557 29.951922709288),1338371,THE MUNCH FACTORY,6514 CONGRESS ST,,NEW ORLEANS,LA,70126,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),THE MUNCH FACTORY,3678691.8167,530187.70942
POINT (-90.051202841869 29.952665608403),1338059,ONE STONE,323 VERRET ST,,NEW ORLEANS,LA,70114,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"AP COFFEE & WINE, LLC",3686854.46044,530548.304898
POINT (-90.076989294557 29.951922709288),1337564,CHINESE TEA GARDEN,5226-28 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),LAGRAIZE & LIN LLC,3678691.8167,530187.70942
POINT (-90.072350191007 29.953189730397),1338411,TM COFFEE AND PASTRIES LLC,201 BARONNE ST,,NEW ORLEANS,LA,70116,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),TM COFFEE AND PASTRIES LLC,3680155.78946,530664.581762
POINT (-90.121352842584 29.922202850715),1338173,REGINELLI'S PIZZERIA,5961 MAGAZINE ST,,NEW ORLEANS,LA,70115-5839,504-899-1414,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),UPTOWN CAFE LLC,3664757.69831,519229.135159
POINT (-90.065160566149 29.95815759982),1337481,CAFE BEIGNET,714 ST PETER ST,,NEW ORLEANS,LA,70116,504-717-8302,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CAFE BEIGNET LLC,3682412.47042,532496.207428
POINT (-90.093460963896 29.986550267986),1338160,RALPH BRENNAN'S COURTYARD CAFE,1 COLLINS DIBOLL CIR,,NEW ORLEANS,LA,70130,504-482-1264,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CHARTRES 310 INC.,3673339.55284,542722.803277
POINT (-90.10552762159 29.934968325349),1338346,THE COMPANY BURGER,4600 FRERET ST,STE A,NEW ORLEANS,LA,70115,404-514-6437,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"BIDS CORP, LLC",3669720.76724,523924.498876
POINT (-90.050882003712 30.013724393296),1338364,THE JUJU BAG,5363 FRANKLIN AVE,,NEW ORLEANS,LA,70122,504-872-0969,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"VOICES IN THE DARK PRODUCTIONS,LLC",3686707.55311,552752.713814
POINT (-90.106269538582 29.968535703303),1337460,BURGER KING #13204,4068 TULANE AVE,,NEW ORLEANS,LA,70119,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"GPS HOSPITALITY PARTNERS IV, LLC",3669355.07086,536128.353543
POINT (-90.054206857653 30.028183997923),1337379,ASIAN PANDA,6600 FRANKLIN AVE,A-6,NEW ORLEANS,LA,70122,504-288-3378,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),ASIAN PANDA LLC,3685596.64431,557999.040667
POINT (-90.100281423391 29.973989308765),1338407,THEOS PIZZA (CANAL),4024 CANAL ST,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),4024 CANAL ST LLC,3671229.64782,538131.847945
POINT (-90.070278403843 29.950244964209),1337812,INTER CONTINENTAL,444 ST CHARLES AVE,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),NORTHWEST AIRMOTIVE INC,3680823.64776,529600.982337
POINT (-90.108148516553 29.934840278651),1337665,DOMINO'S PIZZA INC #5201,4938 FRERET ST,,NEW ORLEANS,LA,70115-6463,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),DOMINO'S PIZZA INC,3668891.17492,523869.051131
POINT (-90.060960275887 29.958589606713),1337941,MARCHE,914 N PETERS ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"914 N. PETERS, LLC",3683740.72751,532668.045508
POINT (-90.100266368349 29.975363691683),1338499,ZASU,127 N CARROLLTON AVE,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),OSTRAZ LLC,3671229.03604,538631.678281
POINT (-90.067697882024 29.971130081104),1337508,CAJUN SEAFOOD # 3,1479 N CLAIBORNE AVE,,NEW ORLEANS,LA,70112,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),C & H SEAFOOD LLC,3681556.9366,537204.60148
POINT (-90.076989294557 29.951922709288),1337821,JACKSON SQUARE CAFE PONTALBA,546 SAINT PETER ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),JACKSON SQUARE CAFE INC,3678691.8167,530187.70942
POINT (-90.065514774341 29.963509027928),1337682,EFFERVESCENCE,1036 N RAMPART ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),EFFERVESCENCE LLC,3682278.78056,534440.943557
POINT (-90.072371293461 29.947723844336),1337394,BALISE RESTAURANT,640 CARONDELET ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"640 CARONDELET, LLC.",3680170.98011,528676.911424
POINT (-90.118713740516 29.916084770997),1338474,WENDY'S #235,5600 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70115,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"HAZA FOODS OF LOUISIANA, LLC",3665617.2457,517013.228213
POINT (-90.085398282933 29.94441172108),1338215,SAINTS RESTAURANT & BAR,2600 MARTIN LUTHER KING JR BLVD,,NEW ORLEANS,LA,70113,504-638-3049,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"2600 MLK, LLC",3676058.72661,527427.337151
POINT (-90.111914554346 29.963387808083),1337952,MCDONALD'S  SCOTT MANAGEMENT,3443 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"SCOTT MANAGEMENT TEAM, INC",3667587.73671,534237.282949
POINT (-90.057835335742 29.96240536559),1338437,VASO,1407 DECATUR ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),VASO LLC,3684714.77468,534066.596421
POINT (-90.081451307581 29.960628407945),1337971,MENCHIES FROZEN YOGURT,2000 CANAL ST,,NEW ORLEANS,LA,70112,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"NOLA YOGURT,LLC",3677244.2644,533337.961476
POINT (-90.109089116102 29.924939896996),1337865,LA CREPE NANOU INC,1410 ROBERT ST,,NEW ORLEANS,LA,70115-4036,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),LACREPE NANOU INC,3668631.73274,520265.722552
POINT (-90.098724408825 29.920904516496),1337996,MONA'S CAFE,4126 MAGAZINE ST,,NEW ORLEANS,LA,70115,000-000-0504,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"MONEM, NIHAD A",3671930.58299,518833.536887
POINT (-90.071182335662 29.94993606098),1338299,SUBWAY SANDWICHES,701 POYDRAS ST,,NEW ORLEANS,LA,70139-0003,504-581-6099,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"SHELL SQUARE SUBWAY, INC",3680538.63643,529485.499841
POINT (-90.076989294557 29.951922709288),1337361,ALI BABA RESTAURANT,732 SAINT PETER ST,,NEW ORLEANS,LA,70116,504-412-8111,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),LUISA ZETON,3678691.8167,530187.70942
POINT (-90.067903176741 29.96866557964),1337897,LIL DIZZY'S,1500 ESPLANADE AVE,,NEW ORLEANS,LA,70116,504-288-9953,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"EDDIE'S RESTAURANT, LLC",3681501.83669,536307.698567
POINT (-90.076989294557 29.951922709288),1337679,EASY SEAFOOD,13243 CHEF MENTEUR HWY,A,NEW ORLEANS,LA,70129,504-254-3757,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),T & K PARTNERS INC,3678691.8167,530187.70942
POINT (-90.06846640909 29.953760922027),1338054,OLE SAINT KITCHEN AND TAP,132 ROYAL ST,,NEW ORLEANS,LA,70130,9857921201,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),BWM ROYAL LLC,3681383.33935,530885.843266
POINT (-90.073416242777 29.93911295597),1338230,SEED,1330 PRYTANIA ST,,NEW ORLEANS,LA,70130,504-416-4260,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),SYMBIOTIC RESTAURANTS LLC,3679874.49659,525542.039165
POINT (-90.074357463829 29.953257933224),1338401,THE TROUBLEDOUR HOTEL,1111 GRAVIER ST,,NEW ORLEANS,LA,70112,504-330-3648,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"HP CONCESSIONS, LLC.",3679519.89135,530682.39341
POINT (-90.11982108435 29.948843106848),1337914,LUCA EATS,7329 COHN ST,,NEW ORLEANS,LA,70118,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"LOWERCOHN, LLC",3665140.30439,528921.668992
POINT (-90.076989294557 29.951922709288),1337782,HEARD KITCHEN,2520 FELICITY ST,,NEW ORLEANS,LA,70113,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),AUDREY MAES CATERING LLC,3678691.8167,530187.70942
POINT (-90.074888273766 29.957461141533),1338018,MR.BUBBLES,1441 CANAL ST,SUITE 1,NEW ORLEANS,LA,70112,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),SMITH & NGUYEN LLC,3679335.018,532208.988931
POINT (-90.102952903595 30.004862514681),1338403,THE VELVET CACTUS,6300 ARGONNE BLVD,,NEW ORLEANS,LA,70124,504-669-4164,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),THE VELVET CACTUS LLC.,3670263.31745,549349.481619
POINT (-90.068797991638 29.955838482173),1337377,ARNAUD'S RESTAURANT,813 BIENVILLE ST,,NEW ORLEANS,LA,70112,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"ARNAUD'S RESTAURANT,INC",3681270.00348,531640.161347
POINT (-90.106055865833 29.96904589663),1338023,NAMESE,4077 TULANE AVE,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CONNECTING EXPRESS, LLC",3669420.73556,536314.603975
POINT (-90.130354460142 29.947115181957),1337574,CIBO,1114 S CARROLLTON AVE,A,NEW ORLEANS,LA,70118,845-206-8091,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CIBO LLC,3661811.22758,528258.155712
POINT (-90.094193392956 29.963759682553),1337907,LOS CATRACHOS RESTAURANT,3001 TULANE AVE,STE 4A,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),LOS CATRACHOS TULANE INC,3673197.32155,534432.755781
POINT (-90.104030310257 29.92921441228),1337536,CHARLIES STEAK HOUSE,4510 DRYADES ST,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),DRYADES ENTERTAINMENT LLC,3670217.44314,521837.24825
POINT (-90.076828162678 29.977233964989),1338113,PIROGUES,2565 BAYOU RD,,NEW ORLEANS,LA,70119,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"RESTAURANT TEAM, LLC",3678641.9108,539392.391946
POINT (-90.109822522776 30.00514089328),1337724,FRANCESCA,515 HARRISON AVE,,NEW ORLEANS,LA,70124,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"SCOTIESTEPH,LLC",3668088.01421,549427.430483
POINT (-90.109117090316 29.991058356973),1338123,PJ'S COFFEE,5555 CANAL BLVD,,NEW ORLEANS,LA,70124,504-309-3398,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),JUN DA LLC,3668365.99425,544308.835535
POINT (-90.067266974529 30.02762669913),1337544,CHARTWELLS/SUSHIC,6657 FOUNDERS RD,101,NEW ORLEANS,LA,70148,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"COMPASS GROUP USA, INC",3681466.36373,557750.487259
POINT (-90.075488832888 29.949935750897),1337819,J-K SANDWICH,1100 POYDRAS ST,120,NEW ORLEANS,LA,70163,504-582-2433,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"THONG, XYPAY",3679174.89243,529470.390785
POINT (-90.05065667633 30.012550600808),1337778,HAPPY DISCOUNT,5301 FRANKLIN AVE,,NEW ORLEANS,LA,70122,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),MARAH LLC,3686783.64028,552326.675094
POINT (-90.066171287145 29.9528925547),1338388,THE RUBY SLIPPER CAFE,204 DECATUR ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"RSC DECATUR,LLC",3682113.60322,530578.103042
POINT (-90.067741906956 29.951911435443),1338234,SHERATON NEW ORLEANS HOTEL & RESTAURANT,500 CANAL ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),SHERATON OPERATING CORP ATTN ACCOUNTS PAYABLE,3681620.18831,530215.835265
POINT (-90.087122775836 29.930086347403),1337764,GRACIOUS BAKERY,2854 ST CHARLES AVE,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),THE GROCERY INC.,3675569.25301,522212.16409
POINT (-90.119533083122 29.921924636472),1337429,BISTRO DAISY,5831 MAGAZINE ST,,NEW ORLEANS,LA,70115,504-913-8567,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"ITALIAN RESTAURATEURS,INC",3665335.1986,519134.067575
POINT (-90.068970412144 29.935643184576),1338427,TWISTED WAFFLES LLC,1420 ANNUNCIATION ST,2117,NEW ORLEANS,LA,70130,504-303-2909,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),TWISTED WAFFLES LLC,3681296.43989,524295.815036
POINT (-90.06761791601 29.952493040037),1338034,NEW ORLEANS MARRIOTT HOTEL-[REST],555 CANAL ST,,NEW ORLEANS,LA,70130,504-581-1000,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),MARRIOTT HOTEL SERVICES,3681657.1156,530427.761794
POINT (-90.134103679583 29.944238651479),1338171,REFUEL CAFE,8124 HAMPSON ST,,NEW ORLEANS,LA,70118,504-872-0187,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"REFUEL CAFE, LLC",3660634.86394,527199.692415
POINT (-90.112800835365 29.962587870936),1337563,CHINESE KITCHEN,3327 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,601-799-2654,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),WOO-KEE TRADING CO INC,3667310.21185,533943.404741
POINT (-90.065095800655 29.95085973894),1338081,PANDA CAFE,333 CANAL ST,SUITE 351,NEW ORLEANS,LA,70130,504-524-8422,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"DINH, HOUNG T",3682462.35061,529842.664897
POINT (-90.134107916557 29.94516762248),1337869,LA MANSION RESTAURANT,724 DUBLIN ST,,NEW ORLEANS,LA,70118,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),LA MANSION RESTAURANT LLC,3660629.98694,527537.487871
POINT (-90.084245919433 29.980522514741),1337343,1000 FIGS,3141 PONCE DE LEON ST,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"THE SUNNY KITCHEN,LLC",3676280.52334,540562.560011
POINT (-90.015128136276 29.923944807593),1338179,RENDEZ-VOUS CREOLE,3042 GENERAL COLLINS AVE,,NEW ORLEANS,LA,70114,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),KONBIT MANGEMENT GROUP LLC,3698398.08644,520234.064568
POINT (-90.068000580644 29.955654459927),1338201,ROYAL SONESTA HOTEL,300 BOURBON ST,,NEW ORLEANS,LA,70130,504-553-2304,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),SONESTA INTERNATIONAL HOTELS CORPORATION,3681523.24488,531576.031683
POINT (-90.073004188613 29.953819786659),1337713,FIERY CRAB SEAFOOD RESTAURANT & BAR,925 COMMON ST,,NEW ORLEANS,LA,70112,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),FIERY CRAB 925 INC,3679946.17397,530891.414786
POINT (-90.066588764406 29.952698491963),1337602,COTERIE RESTAURANT,135 DECATUR ST,,NEW ORLEANS,LA,70130,504-529-8600,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),JRKW ENTERPRISES LLC,3681982.18421,530506.07277
POINT (-90.074852768468 29.951401852443),1338376,THE ORIGINAL ITALIAN PIE,417 S RAMPART ST,,NEW ORLEANS,LA,70112,504-522-7552,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),TRILLION ENTERPRISE LLC.,3679370.46088,530005.730945
