inci_no,Alm_Date,Address,Inci_type,Content_Loss,Property_Loss,Total_Loss,Pre_Inci_Value,Saved
29766,11/25/2013,1506 S 36TH na City of Louisville KY 40211,"113 - Cooking fire, confined to container",100,0,100,0,-100
29748,11/25/2013,522 DENMARK N/A City of Louisville KY 40215,111 - Building fire,10000,20000,30000,63300,33300
29741,11/25/2013,3038 ROSELAWN N/A City of Cambridge KY 40220,111 - Building fire,20000,30000,50000,30000,-20000
29835,11/26/2013,6609 STRAWBERRY 4 City of Louisville KY 40214,112 - Fires in structure other than in a building,75,0,75,NULL,NULL
29821,11/26/2013,1317 S 32ND N/A City of Louisville KY 40211,163 - Outside gas or vapor combustion explosion,0,5000,5000,15000,10000
29934,11/27/2013,1141 S 6TH 2 City of Louisville KY 40203,111 - Building fire,10000,40000,50000,100000,50000
29927,11/27/2013,231 E CHESTNUT na City of Louisville KY 40202,131 - Passenger vehicle fire,0,1000,1000,1000,0
29917,11/27/2013,325 ALGER N/A City of Louisville KY 40214,111 - Building fire,10000,15000,25000,55000,30000
29903,11/27/2013,2112 DIXDALE N/A City of Louisville KY 40210,111 - Building fire,3000,7000,10000,60000,50000
29977,11/28/2013,1802 ALGONQUIN N/A City of Louisville KY 40210,111 - Building fire,0,2000,2000,100000,98000
29977,11/28/2013,1800 DIXIE N/A City of Louisville KY 40210,131 - Passenger vehicle fire,0,1000,1000,2000,1000
30008,11/28/2013,5103 SOUTHERN n/a City of Louisville KY 40214,111 - Building fire,0,1500,1500,1500,0
29989,11/28/2013,S 10TH City of Louisville KY 40203,131 - Passenger vehicle fire,0,2500,2500,2500,0
30062,11/29/2013,S 8TH City of Louisville KY 40202,131 - Passenger vehicle fire,100,500,600,15000,14400
30169,11/30/2013,945 S 5TH 909 City of Louisville KY 40203,"118 - Trash or rubbish fire, contained",500,0,500,NULL,NULL
30118,11/30/2013,N 22ND City of Louisville KY 40212,131 - Passenger vehicle fire,0,1000,1000,1000,0
30274,12/2/2013,2118 MCCLOSKEY na City of Louisville KY 40210,111 - Building fire,10000,20000,30000,20000,-10000
30251,12/2/2013,3322 W KENTUCKY N/A City of Louisville KY 40211,"113 - Cooking fire, confined to container",0,500,500,20470,19970
30249,12/2/2013,S 2ND City of Louisville KY 40214,131 - Passenger vehicle fire,500,3000,3500,3000,-500
30399,12/3/2013,518 WAINWRIGHT None City of Louisville KY 40217,111 - Building fire,1000,5000,6000,7000,1000
30378,12/3/2013,2513 ST XAVIER None City of Louisville KY 40212,131 - Passenger vehicle fire,0,500,500,500,0
30488,12/4/2013,1815 GREENWOOD N/A City of Louisville KY 40210,111 - Building fire,0,500,500,45500,45000
30486,12/4/2013,2116 W KENTUCKY N/A City of Louisville KY 40210,"151 - Outside rubbish, trash or waste fire",0,200,200,600,400
30536,12/5/2013,611 BAXTER 2 City of Louisville KY 40204,111 - Building fire,20000,50000,70000,50000,-20000
30536,12/5/2013,613 BAXTER n/a City of Louisville KY 40204,111 - Building fire,50000,150000,200000,150000,-50000
30648,12/6/2013,3648 MANSLICK 3 City of Louisville KY 40215,111 - Building fire,0,1000,1000,60000,59000
30735,12/7/2013,114 S 35TH n/a City of Louisville KY 40212,111 - Building fire,0,1000,1000,20000,19000
30767,12/7/2013,1910 S 35th N/A City of Louisville KY 40211,111 - Building fire,5000,15000,20000,80000,60000
30907,12/9/2013,1939 GOLDSMITH n/a City of Louisville KY 40218,164 - Outside mailbox fire,100,0,100,0,-100
30874,12/9/2013,38 NICHOLS na City of Louisville KY 40215,111 - Building fire,7000,7000,14000,70000,56000
30953,12/10/2013,1210 E WASHINGTON N/A City of Louisville KY 40206,163 - Outside gas or vapor combustion explosion,0,2000,2000,500000,498000
30990,12/10/2013,2502 ST CECILIA N/A City of Louisville KY 40212,111 - Building fire,0,1000,1000,1000,0
30983,12/10/2013,4025 FAYETTE NA City of Audubon Park KY 40213,111 - Building fire,0,500,500,92700,92200
31064,12/11/2013,2305 BOLLING na City of Louisville KY 40210,111 - Building fire,0,1000,1000,32490,31490
31064,12/11/2013,2309 BOLLING na City of Louisville KY 40210,111 - Building fire,3000,10000,13000,30900,17900
31108,12/12/2013,911 ALGONQUIN na City of Louisville KY 40208,131 - Passenger vehicle fire,0,3000,3000,3000,0
31105,12/12/2013,901 BAXTER n/a City of Louisville KY 40204,111 - Building fire,0,200,200,15200,15000
31105,12/12/2013,901 BAXTER n/a City of Louisville KY 40204,154 - Dumpster or other outside trash receptacle fire,0,200,200,15200,15000
31181,12/12/2013,2336 W MUHAMMAD ALI None City of Louisville KY 40212,131 - Passenger vehicle fire,0,2000,2000,2000,0
31177,12/12/2013,769 S SHELBY N/A City of Louisville KY 40203,111 - Building fire,0,500,500,500,0
31197,12/13/2013,2507 HIKES N/A City of Louisville KY 40218,111 - Building fire,5000,25000,30000,92000,62000
31496,12/16/2013,2704 W CHESTNUT N/A City of Louisville KY 40211,111 - Building fire,5000,25000,30000,30000,0
31442,12/16/2013,230 ALBANY N/A City of Louisville KY 40206,111 - Building fire,200,1000,1200,3000,1800
31520,12/17/2013,3033 BOAIRES N/A City of Cambridge KY 40220,111 - Building fire,15000,30000,45000,100000,55000
31557,12/17/2013,4032 TAYLORSVILLE Restaurant City of Cambridge KY 40220,111 - Building fire,2000,10000,12000,500000,488000
31596,12/18/2013,501 CREEL na City of Louisville KY 40208,131 - Passenger vehicle fire,0,3000,3000,3000,0
31745,12/19/2013,704 ZORN 2 City of Louisville KY 40206,"113 - Cooking fire, confined to container",200,0,200,NULL,NULL
31851,12/20/2013,3036 WILSON na City of Louisville KY 40211,131 - Passenger vehicle fire,0,150,150,1200,1050
31808,12/20/2013,4817 S 3RD 2 City of Louisville KY 40214,111 - Building fire,10000,30000,40000,200000,160000
31801,12/20/2013,10 I 71 South N/A City of Louisville KY 40206,132 - Road freight or transport vehicle fire,1000,75000,76000,75000,-1000
31781,12/20/2013,2741 W MARKET n/a City of Louisville KY 40212,111 - Building fire,0,12000,12000,27500,15500
31953,12/21/2013,545 S JACKSON Emergency Psych City of Louisville KY 40202,"118 - Trash or rubbish fire, contained",100,0,100,NULL,NULL
32173,12/23/2013,525 N 19TH n/a City of Louisville KY 40203,111 - Building fire,200,0,200,30000,29800
32249,12/24/2013,208 W KENWOOD n/a City of Louisville KY 40214,111 - Building fire,5000,10000,15000,15000,0
32286,12/25/2013,201 W TENNY N/A City of Louisville KY 40214,111 - Building fire,500,1500,2000,94000,92000
32510,12/27/2013,640 S SHELBY 201 City of Louisville KY 40202,111 - Building fire,50,0,50,NULL,NULL
32476,12/27/2013,3808 RIVER PARK N/A City of Louisville KY 40211,111 - Building fire,0,50000,50000,50000,0
32730,12/30/2013,2216 STANDARD na City of Louisville KY 40210,111 - Building fire,0,100,100,100,0
170,1/2/2014,5115 NEW CUT na City of Louisville KY 40214,111 - Building fire,0,1000,1000,300000,299000
163,1/2/2014,517 E JEFFERSON 204 City of Louisville KY 40202,"118 - Trash or rubbish fire, contained",1000,1000,2000,300000,298000
144,1/2/2014,1203 FISCHER n/a City of Louisville KY 40204,"151 - Outside rubbish, trash or waste fire",0,100,100,100,0
381,1/4/2014,518 E BRECKINRIDGE N/A City of Louisville KY 40203,111 - Building fire,10000,90000,100000,90000,-10000
297,1/4/2014,726 DEARBORN N/A City of Louisville KY 40211,111 - Building fire,2000,5000,7000,54850,47850
597,1/6/2014,3801 POWELL n/a City of Louisville KY 40215,111 - Building fire,5000,41300,46300,41300,-5000
564,1/6/2014,2034 GOLDSMITH N/A City of Louisville KY 40218,112 - Fires in structure other than in a building,2000,3000,5000,110000,105000
648,1/7/2014,4156 SHERMAN NA City of Audubon Park KY 40213,111 - Building fire,500,2000,2500,107500,105000
646,1/7/2014,2506 BOLLING N/A City of Louisville KY 40210,111 - Building fire,2000,10000,12000,21470,9470
641,1/7/2014,4121 S 2ND N/A City of Louisville KY 40214,111 - Building fire,5000,25000,30000,25000,-5000
806,1/7/2014,5414 ROLLING RIDGE na City of Louisville KY 40214,111 - Building fire,0,1000,1000,1000,0
641,1/7/2014,4125 S 2ND N/A City of Louisville KY 40214,111 - Building fire,0,8000,8000,8000,0
939,1/8/2014,E BROADWAY City of Louisville KY 40202,132 - Road freight or transport vehicle fire,100000,175000,275000,225000,-50000
1180,1/9/2014,409 E MUHAMMAD ALI 9th Floor City of Louisville KY 40202,"113 - Cooking fire, confined to container",500,1000,1500,1000,-500
1173,1/9/2014,2828 DESHLER NA City of Audubon Park KY 40213,111 - Building fire,0,250,250,73900,73650
1149,1/9/2014,2222 S 9TH N/A City of Louisville KY 40208,111 - Building fire,1500,15000,16500,350000,333500
1134,1/9/2014,3001 CRITTENDEN N/A City of Louisville KY 40209,131 - Passenger vehicle fire,0,800,800,2500,1700
1229,1/10/2014,205 E SOUTHLAND 2 City of Louisville KY 40214,111 - Building fire,1000,25000,26000,137550,111550
1285,1/10/2014,N 2ND City of Louisville KY 40202,131 - Passenger vehicle fire,0,500,500,1500,1000
1453,1/11/2014,3623 NICHOLS MEADOW na City of Louisville KY 40215,111 - Building fire,0,100,100,80000,79900
1476,1/12/2014,120 MCCREADY N/A City of Louisville KY 40206,"116 - Fuel burner/boiler malfunction, fire confined",2000,5000,7000,230000,223000
1862,1/16/2014,2031 S 41ST N/A City of Louisville KY 40211,131 - Passenger vehicle fire,0,4000,4000,6000,2000
1878,1/16/2014,610 W BRECKINRIDGE 2B City of Louisville KY 40203,"113 - Cooking fire, confined to container",50,500,550,100000,99450
1941,1/17/2014,1026 W MUHAMMAD ALI Apt City of Louisville KY 40203,"113 - Cooking fire, confined to container",1000,1000,2000,40000,38000
1954,1/17/2014,415 E MUHAMMAD ALI 811 City of Louisville KY 40202,"113 - Cooking fire, confined to container",500,0,500,0,-500
2065,1/19/2014,1334 MORTON n/a City of Louisville KY 40204,161 - Outside storage fire,50,100,150,100,-50
2085,1/19/2014,911 GRADE NA City of Audubon Park KY 40213,131 - Passenger vehicle fire,0,2500,2500,2500,0
2105,1/19/2014,2305 W MADISON N/A City of Louisville KY 40211,111 - Building fire,0,15000,15000,65000,50000
2147,1/20/2014,13080 I 65 North N/A City of Audubon Park KY 40213,131 - Passenger vehicle fire,0,5000,5000,5000,0
2209,1/20/2014,CARL City of Louisville KY 40215,"151 - Outside rubbish, trash or waste fire",10,0,10,0,-10
2238,1/21/2014,1341 S 20TH N/A City of Louisville KY 40210,131 - Passenger vehicle fire,500,8000,8500,8000,-500
2322,1/22/2014,1307 SOUTHGATE n/a City of Louisville KY 40215,111 - Building fire,3000,5000,8000,60110,52110
2333,1/22/2014,837 S 28TH N/A City of Louisville KY 40211,111 - Building fire,0,5000,5000,25000,20000
2371,1/22/2014,1340 S 1ST n/a City of Louisville KY 40208,111 - Building fire,1000,5000,6000,200000,194000
2381,1/22/2014,1135 S 2ND 201 City of Louisville KY 40203,111 - Building fire,0,900,900,140000,139100
2398,1/22/2014,4608 SOUTHERN 10 City of Louisville KY 40214,111 - Building fire,10000,10000,20000,250000,230000
2598,1/24/2014,729 S 41ST N/A City of Louisville KY 40211,111 - Building fire,500,1500,2000,72680,70680
2879,1/27/2014,2421 MAPLE N/A City of Louisville KY 40211,111 - Building fire,0,10000,10000,25700,15700
2891,1/27/2014,930 W CHESTNUT na City of Louisville KY 40203,131 - Passenger vehicle fire,0,1000,1000,3000,2000
2901,1/27/2014,228 POPE N/A City of Louisville KY 40206,111 - Building fire,10000,30000,40000,100000,60000
2928,1/28/2014,13080 I 264 East n/a City of Audubon Park KY 40213,131 - Passenger vehicle fire,0,4000,4000,5000,1000
2949,1/28/2014,S 44TH City of Louisville KY 40211,"151 - Outside rubbish, trash or waste fire",0,100,100,100,0
2953,1/28/2014,1030 WALTER n/a City of Louisville KY 40215,131 - Passenger vehicle fire,300,3500,3800,4500,700
3144,1/30/2014,1704 LIBERTY BELL 1 City of Louisville KY 40215,"113 - Cooking fire, confined to container",500,0,500,0,-500
3447,2/2/2014,921 E MADISON 2 City of Louisville KY 40204,131 - Passenger vehicle fire,0,2000,2000,2000,0
3552,2/3/2014,2644 CLEVELAND 26 City of Louisville KY 40206,111 - Building fire,1000,1000,2000,50000,48000
3554,2/3/2014,223 S 24TH N/A City of Louisville KY 40212,111 - Building fire,0,1500,1500,65000,63500
3759,2/5/2014,4203 LYNNBROOK N/A City of Cambridge KY 40220,131 - Passenger vehicle fire,200,300,500,1500,1000
3769,2/5/2014,S 4TH City of Louisville KY 40203,131 - Passenger vehicle fire,0,2000,2000,2000,0
3799,2/5/2014,3514 COLMAR N/A City of Louisville KY 40211,131 - Passenger vehicle fire,0,100,100,10000,9900
3812,2/6/2014,2702 VIRGINIA N/A City of Louisville KY 40211,131 - Passenger vehicle fire,0,2000,2000,3500,1500
3881,2/6/2014,2221 HALE na City of Louisville KY 40210,111 - Building fire,2000,20000,22000,28110,6110
3974,2/7/2014,1801 W MARKET NA City of Louisville KY 40203,111 - Building fire,50000,150000,200000,150000,-50000
4004,2/8/2014,2716 LAMONT N/A City of Kingsley KY 40205,111 - Building fire,0,30000,30000,30000,0
4013,2/8/2014,623 S 22ND N/A City of Louisville KY 40211,111 - Building fire,2000,20000,22000,30150,8150
4060,2/9/2014,121 I 64 West na City of Louisville KY 40212,131 - Passenger vehicle fire,200,5000,5200,5000,-200
4101,2/9/2014,2618 ROWAN N/A City of Louisville KY 40212,111 - Building fire,50000,15000,65000,20000,-45000
4163,2/10/2014,3502 HALE n/a City of Louisville KY 40211,111 - Building fire,0,5000,5000,40760,35760
4290,2/11/2014,2412 DUMESNIL N/a City of Louisville KY 40210,111 - Building fire,500,22000,22500,35000,12500
4290,2/11/2014,2414 DUMESNIL N/A City of Louisville KY 40210,111 - Building fire,0,1000,1000,35000,34000
4433,2/13/2014,4522 SWAKO n/a City of Louisville KY 40216,131 - Passenger vehicle fire,0,500,500,4000,3500
4403,2/13/2014,RIVER Orange Lot City of Louisville KY 40206,131 - Passenger vehicle fire,0,500,500,500,0
4470,2/14/2014,1090 EASTERN n/a City of Louisville KY 40217,111 - Building fire,100,500,600,365500,364900
4592,2/15/2014,2307 RODMAN n/a City of Louisville KY 40208,111 - Building fire,2000,20000,22000,20000,-2000
4712,2/17/2014,2800 BRECKENRIDGE 0 City of Cambridge KY 40220,111 - Building fire,1,0,1,0,-1
4814,2/18/2014,744 S SHELBY n/a City of Louisville KY 40203,111 - Building fire,1000,3000,4000,90000,86000
4806,2/18/2014,634 S 42ND n/a City of Louisville KY 40211,131 - Passenger vehicle fire,0,500,500,4000,3500
4912,2/19/2014,2700 CRITTENDEN none City of Louisville KY 40209,111 - Building fire,0,1000,1000,400000,399000
5096,2/21/2014,751 S 12th N/A City of Louisville KY 40210,"115 - Incinerator overload or malfunction, fire confined",40000,0,40000,500000,460000
5177,2/22/2014,2504 HOWARD N/A City of Louisville KY 40211,111 - Building fire,2000,10000,12000,75000,63000
5144,2/22/2014,3444 LARKWOOD n/a City of Louisville KY 40212,142 - Brush or brush-and-grass mixture fire,0,1000,1000,1000,0
5139,2/22/2014,2326 GREENWOOD n/a City of Louisville KY 40210,142 - Brush or brush-and-grass mixture fire,0,200,200,200,0
5105,2/22/2014,3419 RADIANCE n/a City of Cambridge KY 40220,111 - Building fire,4000,30000,34000,70000,36000
5101,2/22/2014,105 E MARKET na City of Louisville KY 40202,131 - Passenger vehicle fire,0,250,250,1500,1250
5234,2/23/2014,EASTERN City of Louisville KY 40217,131 - Passenger vehicle fire,0,100,100,1000,900
5191,2/23/2014,3721 CLIFF n/a City of Louisville KY 40215,111 - Building fire,1000,10000,11000,48000,37000
5188,2/23/2014,1920 DEERWOOD n/a City of Kingsley KY 40205,111 - Building fire,5000,25000,30000,300000,270000
5356,2/25/2014,121 I 64 West None City of Louisville KY 40212,131 - Passenger vehicle fire,0,1000,1000,1000,0
5353,2/25/2014,1315 S 6TH 2 City of Louisville KY 40208,111 - Building fire,0,500,500,200000,199500
5442,2/26/2014,2710 W Broadway n/a City of Louisville KY 40211,162 - Outside equipment fire,1500,0,1500,0,-1500
5519,2/27/2014,4105 LAURELWOOD n/a City of Cambridge KY 40220,111 - Building fire,2000,0,2000,0,-2000
5598,2/28/2014,1311 SOUTHGATE none City of Louisville KY 40215,143 - Grass fire,0,500,500,50000,49500
5561,2/28/2014,2801 RAINBOW N/A City of Louisville KY 40206,111 - Building fire,400,2500,2900,891190,888290
5560,2/28/2014,1001 BAXTER n/a City of Louisville KY 40204,111 - Building fire,0,2500,2500,400000,397500
5656,3/1/2014,1015 MAGAZINE basement City of Louisville KY 40203,"116 - Fuel burner/boiler malfunction, fire confined",500,0,500,0,-500
5686,3/1/2014,2415 NORTHWESTERN n/a City of Louisville KY 40212,111 - Building fire,1000,10000,11000,25500,14500
5750,3/2/2014,2222 EDDY N/A City of Louisville KY 40212,111 - Building fire,1000,0,1000,27400,26400
5713,3/2/2014,116 E BURNETT 2 City of Louisville KY 40208,111 - Building fire,15000,50000,65000,101650,36650
5812,3/3/2014,1540 BERRY na City of Louisville KY 40215,111 - Building fire,0,3000,3000,100000,97000
5812,3/3/2014,1540 BERRY na City of Louisville KY 40215,111 - Building fire,10000,30000,40000,100000,60000
5859,3/4/2014,1155 EASTERN n/a City of Louisville KY 40217,111 - Building fire,100,0,100,0,-100
5852,3/4/2014,4307 LARKWOOD 2 City of Louisville KY 40212,111 - Building fire,20000,50000,70000,74380,4380
5880,3/4/2014,3301 NEWBURG N/A City of Louisville KY 40218,131 - Passenger vehicle fire,0,2500,2500,2500,0
6004,3/5/2014,662 S BARBEE N/A City of Louisville KY 40217,111 - Building fire,0,70000,70000,70000,0
5985,3/5/2014,1522 RUFER n/a City of Louisville KY 40204,131 - Passenger vehicle fire,0,1472,1472,1472,0
6195,3/7/2014,N 26TH City of Louisville KY 40212,131 - Passenger vehicle fire,0,2500,2500,2500,0
6173,3/7/2014,3209 DUVALLE N/A City of Louisville KY 40211,"113 - Cooking fire, confined to container",100,0,100,0,-100
6412,3/10/2014,960 S 4TH 310 City of Louisville KY 40203,111 - Building fire,100,100,200,100,-100
6558,3/11/2014,3545 LENTZ back yard City of Louisville KY 40215,143 - Grass fire,0,100,100,100,0
6517,3/11/2014,13301 I 65 North n/a City of Louisville KY 40217,131 - Passenger vehicle fire,0,800,800,7000,6200
6630,3/12/2014,S 11TH City of Louisville KY 40203,131 - Passenger vehicle fire,200,1500,1700,2000,300
6682,3/12/2014,N 28TH City of Louisville KY 40212,131 - Passenger vehicle fire,0,500,500,500,0
6866,3/15/2014,1935 OLIVE N/A City of Louisville KY 40210,131 - Passenger vehicle fire,0,2000,2000,2000,0
6966,3/15/2014,2427 BARDSTOWN N/A City of Kingsley KY 40205,131 - Passenger vehicle fire,0,3000,3000,10000,7000
6966,3/15/2014,2427 BARDSTOWN N/A City of Kingsley KY 40205,131 - Passenger vehicle fire,0,5000,5000,6500,1500
6963,3/15/2014,4013 W MARKET N/A City of Louisville KY 40212,112 - Fires in structure other than in a building,100,500,600,500,-100
7056,3/16/2014,1724 WILLIAM E SUMMERS III N/A City of Louisville KY 40211,"113 - Cooking fire, confined to container",0,1000,1000,50000,49000
7038,3/16/2014,3524 BROCKTON n/a City of Cambridge KY 40220,"151 - Outside rubbish, trash or waste fire",0,3000,3000,4500,1500
7100,3/17/2014,4105 W Market 0 City of Louisville KY 40212,111 - Building fire,3000,25000,28000,60000,32000
7159,3/17/2014,4136 W BROADWAY n/a City of Louisville KY 40211,111 - Building fire,500,1500,2000,70000,68000
7327,3/19/2014,2431 W BROADWAY n/a City of Louisville KY 40211,112 - Fires in structure other than in a building,300,300,600,300,-300
7330,3/19/2014,2431 W BROADWAY 0 City of Louisville KY 40211,"160 - Special outside fire, other",1000,1000,2000,1000,-1000
7350,3/19/2014,4130 TAYLOR n/a City of Louisville KY 40215,"118 - Trash or rubbish fire, contained",0,1000,1000,10000,9000
7365,3/20/2014,300BLK W FLORENCE n/a City of Louisville KY 40214,131 - Passenger vehicle fire,0,1500,1500,2000,500
7467,3/21/2014,2615 W JEFFERSON N/A City of Louisville KY 40212,111 - Building fire,1000,10000,11000,24000,13000
7517,3/21/2014,1926 BANK N/A City of Louisville KY 40203,111 - Building fire,30000,33470,63470,33470,-30000
7517,3/21/2014,1930 BANK N/A City of Louisville KY 40203,111 - Building fire,0,25000,25000,39110,14110
7517,3/21/2014,1924 BANK N/A City of Louisville KY 40203,111 - Building fire,0,2000,2000,30150,28150
7539,3/22/2014,1935 GARDINER F106 City of Kingsley KY 40205,111 - Building fire,50,1500,1550,300000,298450
7632,3/22/2014,129 N 26TH n/a City of Louisville KY 40212,111 - Building fire,0,3000,3000,22500,19500
7613,3/22/2014,4017 LENTZ n/a City of Louisville KY 40215,111 - Building fire,0,100,100,58890,58790
7600,3/22/2014,TAYLORSVILLE City of Cambridge KY 40220,131 - Passenger vehicle fire,0,2500,2500,2500,0
7596,3/22/2014,1449 OLIVE N/A City of Louisville KY 40210,131 - Passenger vehicle fire,0,2000,2000,5500,3500
7594,3/22/2014,501 WIMBLETON 7 City of Louisville KY 40218,111 - Building fire,2000,6000,8000,400000,392000
7571,3/22/2014,2622 W BROADWAY N/A City of Louisville KY 40211,111 - Building fire,0,5000,5000,35000,30000
7562,3/22/2014,1518 W MUHAMMAD ALI 3 City of Louisville KY 40203,111 - Building fire,500,500,1000,200000,199000
7669,3/23/2014,1410 CATALPA 2 City of Louisville KY 40211,111 - Building fire,50,0,50,0,-50
7645,3/23/2014,N 19TH City of Louisville KY 40203,"151 - Outside rubbish, trash or waste fire",0,1000,1000,150000,149000
7645,3/23/2014,N 19TH City of Louisville KY 40203,"151 - Outside rubbish, trash or waste fire",0,1000,1000,150000,149000
7814,3/24/2014,1033 S JACKSON 4 City of Louisville KY 40203,"113 - Cooking fire, confined to container",600,0,600,0,-600
7800,3/24/2014,4104 LEE n/a City of Audubon Park KY 40213,111 - Building fire,5000,15000,20000,70000,50000
7784,3/24/2014,7312 MANSLICK n/a City of Louisville KY 40214,111 - Building fire,1000,3000,4000,200000,196000
7826,3/25/2014,7310 MANSLICK n/a City of Louisville KY 40214,111 - Building fire,0,4000,4000,200000,196000
7826,3/25/2014,7312 MANSLICK n/a City of Louisville KY 40214,111 - Building fire,20000,200000,220000,200000,-20000
7957,3/26/2014,402 MACLEAN n/a City of Louisville KY 40209,111 - Building fire,0,200,200,1000000,999800
7912,3/26/2014,2513 DUNCAN n/a City of Louisville KY 40212,131 - Passenger vehicle fire,0,5000,5000,5000,0
8028,3/27/2014,4135 VIRGINIA n/a City of Louisville KY 40211,111 - Building fire,0,4000,4000,20000,16000
7992,3/27/2014,1340 S 3RD N/A City of Louisville KY 40208,131 - Passenger vehicle fire,0,2875,2875,2875,0
7974,3/27/2014,FETTER City of Louisville KY 40217,111 - Building fire,2000,10000,12000,203000,191000
8154,3/28/2014,1265 GOSS n\a City of Louisville KY 40217,131 - Passenger vehicle fire,0,500,500,500,0
8104,3/28/2014,4610 S 3RD n/a City of Louisville KY 40214,111 - Building fire,15000,20000,35000,82000,47000
8311,3/30/2014,3211 UTAH 3 City of Louisville KY 40215,131 - Passenger vehicle fire,0,2000,2000,2000,0
8279,3/30/2014,1502 MOORE C City of Louisville KY 40210,111 - Building fire,10000,10000,20000,10000,-10000
8328,3/31/2014,2023 LYTLE None City of Louisville KY 40203,111 - Building fire,0,15000,15000,24000,9000
8384,3/31/2014,PAYNE City of Louisville KY 40206,131 - Passenger vehicle fire,0,1000,1000,5000,4000
8369,3/31/2014,2911 TAYLOR 0 City of Louisville KY 40208,111 - Building fire,1,1,2,1,-1
8353,3/31/2014,1612 GARDINER N/A City of Kingsley KY 40205,131 - Passenger vehicle fire,0,1400,1400,1400,0
8627,4/3/2014,2419 LINDSAY 4 City of Louisville KY 40206,111 - Building fire,1000,3000,4000,200000,196000
8604,4/3/2014,1561 FERNWOOD 2 City of Kingsley KY 40205,"160 - Special outside fire, other",0,500,500,500,0
8601,4/3/2014,1426 S 28TH N/A City of Louisville KY 40211,111 - Building fire,0,400,400,800,400
8713,4/4/2014,7419 JUDY 1 City of Louisville KY 40214,"113 - Cooking fire, confined to container",100,0,100,NULL,NULL
8814,4/5/2014,2108 W KENTUCKY N/A City of Louisville KY 40210,131 - Passenger vehicle fire,0,3000,3000,3000,0
8775,4/5/2014,1363 S 1ST 2 City of Louisville KY 40208,111 - Building fire,0,1000,1000,130000,129000
8908,4/7/2014,4149 W MARKET n/a City of Louisville KY 40212,111 - Building fire,0,20000,20000,85000,65000
9066,4/8/2014,1377 S 20TH N/A City of Louisville KY 40210,111 - Building fire,0,1000,1000,5000,4000
9028,4/8/2014,27 COLLEGE N/A City of Louisville KY 40203,111 - Building fire,500,1500,2000,15900,13900
9025,4/8/2014,2526 W MADISON 708 City of Louisville KY 40211,111 - Building fire,1000,1000,2000,1000000,998000
9143,4/9/2014,1700 BARDSTOWN N/A City of Kingsley KY 40205,111 - Building fire,50,100,150,100,-50
9134,4/9/2014,S 6TH City of Louisville KY 40202,131 - Passenger vehicle fire,0,1000,1000,2500,1500
9185,4/10/2014,2803 YORKSHIRE N/A City of Cambridge KY 40220,131 - Passenger vehicle fire,0,5000,5000,5000,0
9267,4/11/2014,4005 W MUHAMMAD ALI n/a City of Louisville KY 40212,111 - Building fire,0,2000,2000,60000,58000
9335,4/11/2014,S 29TH City of Louisville KY 40211,131 - Passenger vehicle fire,0,3000,3000,3000,0
9320,4/11/2014,653 S 23RD N/A City of Louisville KY 40211,131 - Passenger vehicle fire,0,3000,3000,3000,0
9538,4/13/2014,300 S 1ST on sidewalk City of Louisville KY 40202,"140 - Natural vegetation fire, other",0,100,100,100,0
9666,4/14/2014,1052 OAKWOOD n/a City of Louisville KY 40215,131 - Passenger vehicle fire,0,3000,3000,3000,0
9651,4/14/2014,850 MIDWAY N/A City of Louisville KY 40211,131 - Passenger vehicle fire,0,2000,2000,3000,1000
9745,4/15/2014,3316 NOE 25 City of Cambridge KY 40220,111 - Building fire,200,400,600,125000,124400
9794,4/16/2014,601 W BRECKINRIDGE 3 City of Louisville KY 40203,111 - Building fire,1000,4000,5000,150000,145000
9892,4/17/2014,3728 TAYLORSVILLE n/a City of Cambridge KY 40220,131 - Passenger vehicle fire,0,3000,3000,3500,500
9873,4/17/2014,1349 S 20TH N/A City of Louisville KY 40210,131 - Passenger vehicle fire,0,3000,3000,3000,0
9906,4/17/2014,S 4TH City of Louisville KY 40203,131 - Passenger vehicle fire,0,6000,6000,6000,0
10027,4/18/2014,3706 E WHEATMORE Building G City of Louisville KY 40215,"150 - Outside rubbish fire, other",0,250,250,250,0
9991,4/18/2014,71 COLLEGE n/a City of Louisville KY 40203,111 - Building fire,500,100,600,500000,499400
10083,4/19/2014,2074 SHERWOOD N/A City of Kingsley KY 40205,142 - Brush or brush-and-grass mixture fire,0,200,200,300000,299800
10074,4/19/2014,329 N 20TH N/A City of Louisville KY 40203,"113 - Cooking fire, confined to container",250,1000,1250,1000,-250
10073,4/19/2014,819 PHILLIPS n/a City of Louisville KY 40209,142 - Brush or brush-and-grass mixture fire,0,800,800,800000,799200
10083,4/19/2014,2074 SHERWOOD N/A City of Kingsley KY 40205,142 - Brush or brush-and-grass mixture fire,0,200,200,300000,299800
10110,4/19/2014,4821 ST LEO n/a City of Louisville KY 40214,111 - Building fire,0,800,800,55000,54200
10206,4/20/2014,6608 NORWAY na City of Louisville KY 40214,111 - Building fire,1000,1000,2000,170000,168000
10171,4/20/2014,306 S 41ST None City of Louisville KY 40212,"160 - Special outside fire, other",0,50,50,500,450
10332,4/22/2014,2717 GARDINER n/a City of Kingsley KY 40205,131 - Passenger vehicle fire,500,1000,1500,1000,-500
10425,4/23/2014,725 E OAK n/a City of Louisville KY 40203,111 - Building fire,15000,75000,90000,225000,135000
