Reporting Area,MMWR Year,MMWR Week,"Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Current week","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Current week, flag ","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Previous 52 weeks Max†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Previous 52 weeks Max†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2019†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2019†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2018†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2018†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Current week","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Current week, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Previous 52 weeks Max†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Previous 52 weeks Max†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2019†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2019†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2018†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2018†, flag",Location 1,Location 2
MICHIGAN,2019,3,,-,4,,,-,,-,,-,2,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
IDAHO,2019,3,,N,,NC,,N,,N,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
US RESIDENTS,2019,4,2,,111,,19,,29,,3,,41,,12,,28,,,US RESIDENTS
NEW ENGLAND,2019,4,,-,14,,2,,3,,,-,4,,2,,,-,,NEW ENGLAND
MIDDDLE ATLANTIC,2019,4,1,,13,,3,,3,,1,,7,,1,,1,,,MIDDDLE ATLANTIC
NEW YORK CITY,2019,4,,-,4,,1,,1,,,-,3,,,-,,-,,NEW YORK CITY
EAST NORTH CENTRAL,2019,4,,-,11,,1,,2,,1,,7,,2,,1,,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,4,,-,5,,,-,1,,1,,4,,1,,3,,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,4,,-,20,,5,,9,,,-,8,,2,,6,,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,4,,-,5,,2,,1,,,-,4,,2,,3,,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,4,,-,9,,1,,,-,,-,11,,,-,6,,,WEST SOUTH CENTRAL
PACIFIC,2019,4,1,,48,,5,,6,,,-,13,,1,,1,,,PACIFIC
US TERRITORIES,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
AMERICAN SAMOA,2019,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
NON-US RESIDENTS,2019,4,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
TOTAL,2019,4,2,,111,,19,,29,,3,,41,,12,,28,,,TOTAL
NORTH DAKOTA,2019,4,,-,1,,,-,,-,,-,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
DELAWARE,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
WYOMING,2019,4,,-,0,,,-,,-,,-,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
NEVADA,2019,4,,-,1,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
GEORGIA,2019,4,,-,3,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
U.S. VIRGIN ISLANDS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
WISCONSIN,2019,4,,-,3,,,-,,-,,-,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
MINNESOTA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
WASHINGTON,2019,4,1,,22,,3,,,-,,-,7,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
PENNSYLVANIA,2019,4,1,,4,,2,,,-,1,,2,,1,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
ALABAMA,2019,4,,-,3,,1,,,-,,-,2,,2,,2,,"ALABAMA
(32.839182, -86.631125)",
VIRGINIA,2019,4,,-,6,,,-,,-,,-,4,,,-,2,,"VIRGINIA
(37.542699, -78.45822)",
VERMONT,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
GUAM,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MISSOURI,2019,4,,-,3,,,-,,-,1,,3,,1,,1,,"MISSOURI
(38.636168, -92.566292)",
NEW MEXICO,2019,4,,-,1,,,-,,-,,-,2,,,-,2,,"NEW MEXICO
(34.520396, -106.244402)",
NEW YORK,2019,4,,-,7,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
KENTUCKY,2019,4,,-,1,,,-,,-,,-,4,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
OKLAHOMA,2019,4,,-,3,,,-,,-,,-,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
MASSACHUSETTS,2019,4,,-,8,,2,,,-,,-,2,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW JERSEY,2019,4,,-,5,,,-,2,,,-,4,,,-,1,,"NEW JERSEY
(40.104655, -74.386686)",
FLORIDA,2019,4,,-,17,,,-,6,,,-,5,,,-,1,,"FLORIDA
(28.915325, -81.922409)",
ARKANSAS,2019,4,,-,3,,,-,,-,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
IDAHO,2019,4,,N,,NC,,N,,N,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
IOWA,2019,4,,N,,NC,,N,,N,,N,,NC,,N,,N,"IOWA
(42.46942, -93.815856)",
NEW HAMPSHIRE,2019,4,,-,2,,,-,1,,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ARIZONA,2019,4,,-,3,,,-,,-,,-,2,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
RHODE ISLAND,2019,4,,-,2,,,-,,-,,-,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
SOUTH CAROLINA,2019,4,,-,3,,4,,,-,,-,2,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
PUERTO RICO,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MONTANA,2019,4,,-,2,,,-,,-,,-,3,,,-,,-,"MONTANA
(47.062617, -109.430168)",
OREGON,2019,4,,-,8,,1,,1,,,-,3,,,-,,-,"OREGON
(44.567912, -120.156945)",
TENNESSEE,2019,4,,-,2,,1,,1,,,-,2,,,-,1,,"TENNESSEE
(35.681402, -85.774444)",
NORTH CAROLINA,2019,4,,-,4,,1,,,-,,-,3,,,-,1,,"NORTH CAROLINA
(35.47995, -79.180571)",
ILLINOIS,2019,4,,-,6,,,-,1,,,-,4,,1,,,-,"ILLINOIS
(40.477092, -88.993221)",
MAINE,2019,4,,-,2,,,-,1,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
UTAH,2019,4,,-,4,,,-,1,,,-,1,,,-,,-,"UTAH
(39.359772, -111.584173)",
WEST VIRGINIA,2019,4,,-,0,,,-,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
CALIFORNIA,2019,4,,-,28,,1,,4,,,-,6,,1,,1,,"CALIFORNIA
(37.640735, -121.002435)",
MARYLAND,2019,4,,-,5,,,-,2,,,-,4,,2,,2,,"MARYLAND
(39.290443, -76.612333)",
DISTRICT OF COLUMBIA,2019,4,,-,1,,,-,1,,,-,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
CONNECTICUT,2019,4,,-,6,,,-,1,,,-,3,,2,,,-,"CONNECTICUT
(41.544654, -72.651713)",
OHIO,2019,4,,-,5,,1,,,-,,-,2,,,-,1,,"OHIO
(40.056807, -82.405897)",
INDIANA,2019,4,,-,2,,,-,,-,,-,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
LOUISIANA,2019,4,,-,3,,1,,,-,,-,2,,,-,3,,"LOUISIANA
(31.2931, -92.463284)",
TEXAS,2019,4,,-,8,,,-,,-,,-,11,,,-,3,,"TEXAS
(31.827233, -99.423022)",
SOUTH DAKOTA,2019,4,,-,1,,,-,1,,,-,1,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
HAWAII,2019,4,,-,3,,,-,1,,,-,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NORTHERN MARIANA ISLANDS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
ALASKA,2019,4,,-,3,,,-,,-,,-,3,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MISSISSIPPI,2019,4,,-,2,,,-,,-,,-,1,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MICHIGAN,2019,4,,-,4,,,-,1,,1,,2,,1,,,-,"MICHIGAN
(44.66399, -84.711206)",
NEBRASKA,2019,4,,-,1,,,-,,-,,-,4,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
COLORADO,2019,4,,-,6,,,-,3,,,-,3,,1,,4,,"COLORADO
(38.841772, -106.132562)",
KANSAS,2019,4,,-,3,,,-,,-,,-,2,,,-,2,,"KANSAS
(38.345528, -98.201847)",
US RESIDENTS,2019,5,1,,108,,19,,37,,1,,40,,21,,34,,,US RESIDENTS
NEW ENGLAND,2019,5,,-,14,,2,,3,,,-,4,,2,,1,,,NEW ENGLAND
MIDDDLE ATLANTIC,2019,5,1,,13,,3,,3,,,-,7,,4,,2,,,MIDDDLE ATLANTIC
NEW YORK CITY,2019,5,,-,4,,1,,1,,,-,3,,,-,1,,,NEW YORK CITY
EAST NORTH CENTRAL,2019,5,,-,11,,1,,2,,,-,7,,3,,2,,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,5,,-,5,,,-,1,,1,,4,,3,,3,,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,5,,-,20,,5,,13,,,-,8,,3,,6,,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,5,,-,5,,2,,1,,,-,4,,2,,3,,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,5,,-,9,,1,,1,,,-,11,,,-,7,,,WEST SOUTH CENTRAL
MOUNTAIN,2019,5,,-,8,,,-,4,,,-,3,,2,,9,,,MOUNTAIN
PACIFIC,2019,5,,-,48,,5,,9,,,-,13,,2,,1,,,PACIFIC
US TERRITORIES,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
AMERICAN SAMOA,2019,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
NON-US RESIDENTS,2019,5,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
TOTAL,2019,5,1,,108,,19,,37,,1,,40,,21,,34,,,TOTAL
ARKANSAS,2019,5,,-,3,,,-,,-,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
U.S. VIRGIN ISLANDS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
OREGON,2019,5,,-,8,,1,,1,,,-,3,,,-,,-,"OREGON
(44.567912, -120.156945)",
OKLAHOMA,2019,5,,-,3,,,-,,-,,-,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
KENTUCKY,2019,5,,-,1,,,-,,-,,-,4,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
TEXAS,2019,5,,-,8,,,-,1,,,-,11,,,-,4,,"TEXAS
(31.827233, -99.423022)",
PUERTO RICO,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
OHIO,2019,5,,-,5,,1,,,-,,-,2,,,-,1,,"OHIO
(40.056807, -82.405897)",
NEW YORK,2019,5,1,,7,,1,,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
MICHIGAN,2019,5,,-,4,,,-,1,,,-,2,,1,,,-,"MICHIGAN
(44.66399, -84.711206)",
IDAHO,2019,5,,N,,NC,,N,,N,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
MISSISSIPPI,2019,5,,-,2,,,-,,-,,-,1,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
GEORGIA,2019,5,,-,3,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
ALABAMA,2019,5,,-,3,,1,,,-,,-,2,,2,,2,,"ALABAMA
(32.839182, -86.631125)",
DELAWARE,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MASSACHUSETTS,2019,5,,-,8,,2,,,-,,-,2,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
MONTANA,2019,5,,-,2,,,-,,-,,-,3,,,-,1,,"MONTANA
(47.062617, -109.430168)",
WEST VIRGINIA,2019,5,,-,0,,,-,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
RHODE ISLAND,2019,5,,-,2,,,-,,-,,-,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
VIRGINIA,2019,5,,-,6,,,-,,-,,-,4,,,-,2,,"VIRGINIA
(37.542699, -78.45822)",
ALASKA,2019,5,,-,3,,,-,1,,,-,3,,,-,,-,"ALASKA
(64.836661, -147.738891)",
INDIANA,2019,5,,-,2,,,-,,-,,-,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
VERMONT,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NEW HAMPSHIRE,2019,5,,-,2,,,-,1,,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
UTAH,2019,5,,-,4,,,-,1,,,-,1,,1,,,-,"UTAH
(39.359772, -111.584173)",
NEBRASKA,2019,5,,-,1,,,-,,-,,-,4,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NEW JERSEY,2019,5,,-,5,,,-,2,,,-,5,,2,,1,,"NEW JERSEY
(40.104655, -74.386686)",
PENNSYLVANIA,2019,5,,-,4,,1,,,-,,-,2,,2,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
COLORADO,2019,5,,-,6,,,-,3,,,-,3,,1,,5,,"COLORADO
(38.841772, -106.132562)",
HAWAII,2019,5,,-,3,,,-,1,,,-,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NEW MEXICO,2019,5,,-,1,,,-,,-,,-,2,,,-,2,,"NEW MEXICO
(34.520396, -106.244402)",
NORTH DAKOTA,2019,5,,-,1,,,-,,-,,-,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MAINE,2019,5,,-,2,,,-,1,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
WISCONSIN,2019,5,,-,3,,,-,,-,,-,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
MINNESOTA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
KANSAS,2019,5,,-,3,,,-,,-,,-,2,,,-,2,,"KANSAS
(38.345528, -98.201847)",
GUAM,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
DISTRICT OF COLUMBIA,2019,5,,-,1,,,-,1,,,-,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
CONNECTICUT,2019,5,,-,6,,,-,1,,,-,3,,2,,1,,"CONNECTICUT
(41.544654, -72.651713)",
MARYLAND,2019,5,,-,5,,,-,3,,,-,4,,2,,2,,"MARYLAND
(39.290443, -76.612333)",
NORTHERN MARIANA ISLANDS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
SOUTH CAROLINA,2019,5,,-,3,,4,,,-,,-,2,,1,,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
LOUISIANA,2019,5,,-,3,,1,,,-,,-,2,,,-,3,,"LOUISIANA
(31.2931, -92.463284)",
FLORIDA,2019,5,,-,17,,,-,9,,,-,5,,,-,1,,"FLORIDA
(28.915325, -81.922409)",
ARIZONA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
NORTH CAROLINA,2019,5,,-,4,,1,,,-,,-,3,,,-,1,,"NORTH CAROLINA
(35.47995, -79.180571)",
MISSOURI,2019,5,,-,3,,,-,,-,1,,3,,3,,1,,"MISSOURI
(38.636168, -92.566292)",
SOUTH DAKOTA,2019,5,,-,1,,,-,1,,,-,1,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
ILLINOIS,2019,5,,-,6,,,-,1,,,-,4,,2,,1,,"ILLINOIS
(40.477092, -88.993221)",
NEVADA,2019,5,,-,1,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
WASHINGTON,2019,5,,-,22,,3,,,-,,-,7,,1,,,-,"WASHINGTON
(47.517368, -120.467672)",
TENNESSEE,2019,5,,-,2,,1,,1,,,-,2,,,-,1,,"TENNESSEE
(35.681402, -85.774444)",
IOWA,2019,5,,N,,NC,,N,,N,,N,,NC,,N,,N,"IOWA
(42.46942, -93.815856)",
CALIFORNIA,2019,5,,-,28,,1,,6,,,-,6,,1,,1,,"CALIFORNIA
(37.640735, -121.002435)",
WYOMING,2019,5,,-,0,,,-,,-,,-,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
US RESIDENTS,2019,6,,-,108,,24,,44,,1,,39,,26,,46,,,US RESIDENTS
NEW ENGLAND,2019,6,,-,15,,2,,4,,,-,4,,2,,1,,,NEW ENGLAND
MIDDDLE ATLANTIC,2019,6,,-,13,,3,,5,,,-,7,,4,,2,,,MIDDDLE ATLANTIC
NEW YORK CITY,2019,6,,-,4,,1,,1,,,-,3,,,-,1,,,NEW YORK CITY
EAST NORTH CENTRAL,2019,6,,-,11,,2,,2,,,-,7,,5,,4,,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,6,,-,5,,,-,1,,,-,4,,3,,5,,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,6,,-,20,,9,,14,,,-,8,,4,,9,,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,6,,-,5,,2,,1,,,-,4,,2,,4,,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,6,,-,9,,1,,3,,,-,11,,,-,10,,,WEST SOUTH CENTRAL
MOUNTAIN,2019,6,,-,8,,,-,4,,1,,3,,4,,9,,,MOUNTAIN
PACIFIC,2019,6,,-,48,,5,,10,,,-,13,,2,,2,,,PACIFIC
US TERRITORIES,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
AMERICAN SAMOA,2019,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
NON-US RESIDENTS,2019,17,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
NON-US RESIDENTS,2019,6,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
TOTAL,2019,6,,-,108,,24,,44,,1,,39,,26,,46,,,TOTAL
U.S. VIRGIN ISLANDS,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW YORK,2019,6,,-,7,,1,,2,,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
WYOMING,2019,6,,-,0,,,-,,-,,-,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
FLORIDA,2019,6,,-,17,,,-,9,,,-,5,,,-,2,,"FLORIDA
(28.915325, -81.922409)",
PUERTO RICO,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
ARIZONA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
NEW HAMPSHIRE,2019,6,,-,2,,,-,1,,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
TENNESSEE,2019,6,,-,2,,1,,1,,,-,2,,,-,2,,"TENNESSEE
(35.681402, -85.774444)",
DELAWARE,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
IDAHO,2019,6,,N,,NC,,N,,N,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
CALIFORNIA,2019,6,,-,28,,1,,7,,,-,6,,1,,2,,"CALIFORNIA
(37.640735, -121.002435)",
ALASKA,2019,6,,-,3,,,-,1,,,-,3,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MINNESOTA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
KANSAS,2019,6,,-,3,,,-,,-,,-,2,,,-,3,,"KANSAS
(38.345528, -98.201847)",
AMERICAN SAMOA,2019,7,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
GUAM,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
CONNECTICUT,2019,6,,-,6,,,-,2,,,-,3,,2,,1,,"CONNECTICUT
(41.544654, -72.651713)",
IOWA,2019,6,,N,,NC,,N,,N,,N,,NC,,N,,N,"IOWA
(42.46942, -93.815856)",
ARKANSAS,2019,6,,-,3,,,-,,-,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NEW JERSEY,2019,6,,-,5,,,-,2,,,-,5,,2,,1,,"NEW JERSEY
(40.104655, -74.386686)",
NORTH DAKOTA,2019,6,,-,1,,,-,,-,,-,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
OKLAHOMA,2019,6,,-,3,,,-,,-,,-,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
MASSACHUSETTS,2019,6,,-,8,,2,,,-,,-,2,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
HAWAII,2019,6,,-,3,,,-,1,,,-,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
UTAH,2019,6,,-,4,,,-,1,,,-,1,,1,,,-,"UTAH
(39.359772, -111.584173)",
SOUTH CAROLINA,2019,6,,-,3,,5,,,-,,-,2,,1,,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEVADA,2019,6,,-,1,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
KENTUCKY,2019,6,,-,1,,,-,,-,,-,4,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
OREGON,2019,6,,-,8,,1,,1,,,-,3,,,-,,-,"OREGON
(44.567912, -120.156945)",
TEXAS,2019,6,,-,8,,,-,2,,,-,11,,,-,7,,"TEXAS
(31.827233, -99.423022)",
MISSISSIPPI,2019,6,,-,2,,,-,,-,,-,1,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
GEORGIA,2019,6,,-,3,,2,,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MARYLAND,2019,6,,-,5,,1,,4,,,-,4,,3,,2,,"MARYLAND
(39.290443, -76.612333)",
OHIO,2019,6,,-,5,,1,,,-,,-,2,,,-,1,,"OHIO
(40.056807, -82.405897)",
MISSOURI,2019,6,,-,3,,,-,,-,,-,3,,3,,2,,"MISSOURI
(38.636168, -92.566292)",
COLORADO,2019,6,,-,6,,,-,3,,1,,3,,3,,5,,"COLORADO
(38.841772, -106.132562)",
WASHINGTON,2019,6,,-,22,,3,,,-,,-,7,,1,,,-,"WASHINGTON
(47.517368, -120.467672)",
MONTANA,2019,6,,-,2,,,-,,-,,-,3,,,-,1,,"MONTANA
(47.062617, -109.430168)",
NORTH CAROLINA,2019,6,,-,4,,1,,,-,,-,3,,,-,3,,"NORTH CAROLINA
(35.47995, -79.180571)",
VIRGINIA,2019,6,,-,6,,,-,,-,,-,4,,,-,2,,"VIRGINIA
(37.542699, -78.45822)",
NEW MEXICO,2019,6,,-,1,,,-,,-,,-,2,,,-,2,,"NEW MEXICO
(34.520396, -106.244402)",
SOUTH DAKOTA,2019,6,,-,1,,,-,1,,,-,1,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MAINE,2019,6,,-,2,,,-,1,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
RHODE ISLAND,2019,6,,-,2,,,-,,-,,-,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
WISCONSIN,2019,6,,-,3,,,-,,-,,-,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
ALABAMA,2019,6,,-,3,,1,,,-,,-,2,,2,,2,,"ALABAMA
(32.839182, -86.631125)",
PENNSYLVANIA,2019,6,,-,4,,1,,,-,,-,2,,2,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
MICHIGAN,2019,6,,-,4,,1,,1,,,-,2,,2,,,-,"MICHIGAN
(44.66399, -84.711206)",
ILLINOIS,2019,6,,-,6,,,-,1,,,-,4,,3,,2,,"ILLINOIS
(40.477092, -88.993221)",
LOUISIANA,2019,6,,-,3,,1,,1,,,-,2,,,-,3,,"LOUISIANA
(31.2931, -92.463284)",
DISTRICT OF COLUMBIA,2019,6,,-,1,,,-,1,,,-,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
VERMONT,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
INDIANA,2019,6,,-,2,,,-,,-,,-,1,,,-,1,,"INDIANA
(39.76845, -86.156212)",
NEBRASKA,2019,6,,-,1,,,-,,-,,-,4,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NORTHERN MARIANA ISLANDS,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
WEST VIRGINIA,2019,6,,-,0,,,-,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
US RESIDENTS,2019,7,,-,111,,27,,56,,2,,41,,38,,57,,,US RESIDENTS
NEW ENGLAND,2019,7,,-,15,,2,,4,,,-,4,,3,,1,,,NEW ENGLAND
MIDDDLE ATLANTIC,2019,7,,-,13,,3,,6,,,-,7,,5,,3,,,MIDDDLE ATLANTIC
NEW YORK CITY,2019,7,,-,4,,1,,1,,,-,3,,,-,1,,,NEW YORK CITY
EAST NORTH CENTRAL,2019,7,,-,11,,2,,2,,,-,7,,5,,4,,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,7,,-,5,,,-,2,,,-,4,,3,,5,,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,7,,-,20,,9,,16,,1,,8,,6,,11,,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,7,,-,5,,2,,1,,,-,4,,3,,5,,,EAST SOUTH CENTRAL
