EventDate,Activity,Site_Serve,the_geom,LONG,LAT
11/5/2018,Seniors - Streetwise,Benjamin Rosenthal Senior Center,POINT (-73.82033118673401 40.75176504305723),-73.8203311867,40.7517650431
11/5/2018,Seniors - Streetwise,CCNS Senior Center,POINT (-73.8397771915462 40.68602644421602),-73.8397771915,40.6860264442
11/20/2018,Seniors - Streetwise,Chinese American United Association,POINT (-73.99872665515673 40.71400559209116),-73.9987266552,40.7140055921
11/16/2018,Seniors - Streetwise,Elmhurst Care Center,POINT (-73.87041271511463 40.76875363476079),-73.8704127151,40.7687536348
11/13/2018,Seniors - Streetwise,Florence Smith Senior Center,POINT (-73.86598754892826 40.75574122130748),-73.8659875489,40.7557412213
11/20/2018,Seniors - Streetwise,Golden Age of Brooklyn SC,POINT (-73.89817813191041 40.63682411931099),-73.8981781319,40.6368241193
11/16/2018,Seniors - Streetwise,Isabella Fort George VISTAS NORC,POINT (-73.92781950138759 40.85744194641292),-73.9278195014,40.8574419464
11/8/2018,Seniors - Streetwise,Penn South Senior Center,POINT (-73.99954525309609 40.7489243691001),-73.9995452531,40.7489243691
11/21/2018,Seniors - Streetwise,PSS Andrew Jackson Senior Center,POINT (-73.91447743512427 40.828657301640945),-73.9144774351,40.8286573016
11/20/2018,Seniors - Streetwise,RAIN Inwood Senior Center,POINT (-73.92312838457222 40.86583769712272),-73.9231283846,40.8658376971
11/26/2018,Seniors - Streetwise,Senior Citizen League of Flatbush,POINT (-73.9710573610809 40.62721762755453),-73.9710573611,40.6272176276
11/30/2018,Seniors - Streetwise,Senior Citizen League of Flatbush Midwood Center,POINT (-73.9557426823935 40.6223407484119),-73.9557426824,40.6223407484
11/19/2018,Seniors - Streetwise,Star Senior Center,POINT (-73.93249388845106 40.853679044969276),-73.9324938885,40.853679045
11/27/2018,Seniors - Streetwise,Young Israel of Queens Valley Senior League,POINT (-73.81982213508803 40.72112725120044),-73.8198221351,40.7211272512
9/7/2018,Seniors - Streetwise,Alpha Phi Alpha,POINT (-73.74000433610287 40.69510516357307),-73.7400043361,40.6951051636
9/24/2018,"Seniors - Streetwise
Seniors - Streetwise",CCBQ Narrows senior Center,POINT (-74.00288243704084 40.636978956268194),-74.002882437,40.6369789563
9/27/2018,Seniors - Streetwise,Deshi Senior Center,POINT (-73.85688027613399 40.68376807781433),-73.8568802761,40.6837680778
9/25/2018,Seniors - Streetwise,Grand Street Settlement Pitt Street Senior Center,POINT (-73.98244978583428 40.718327259647246),-73.9824497858,40.7183272596
9/28/2018,Seniors - Streetwise,JASA Scheuer House of CI Senior Center,POINT (-74.00158742518607 40.573143264774686),-74.0015874252,40.5731432648
10/11/2018,Seniors - Streetwise,BCA Neighborhood Senior Center,POINT (-74.01513682585622 40.638869154802634),-74.0151368259,40.6388691548
10/10/2018,Seniors - Streetwise,BCAA 20th Avenue Senior Center,POINT (-73.9877645408426 40.614679666623076),-73.9877645408,40.6146796666
10/17/2018,Seniors - Streetwise,BCAA 8 Avenue Senior Center,POINT (-74.00601756940463 40.64233116786614),-74.0060175694,40.6423311679
10/3/2018,Seniors - Streetwise,Bellevue Hospital Geriatric Clinic,POINT (-73.97686183398184 40.739172693304035),-73.976861834,40.7391726933
10/30/2018,Seniors - Streetwise,BRC Senior Center,POINT (-73.99226907840243 40.719791294328004),-73.9922690784,40.7197912943
10/25/2018,Seniors - Streetwise,Catherine Sheridan Senior Center,POINT (-73.88370294878717 40.751547279615),-73.8837029488,40.7515472796
10/18/2018,Seniors - Streetwise,East Harlem Senior Center,POINT (-73.93903729712845 40.80170327257144),-73.9390372971,40.8017032726
10/9/2018,Seniors - Streetwise,El Cemi House Senior Housing,POINT (-73.93839044418033 40.798137527370585),-73.9383904442,40.7981375274
10/19/2018,Seniors - Streetwise,Elmcor Senior Center,POINT (-73.87108948757405 40.76229601061063),-73.8710894876,40.7622960106
10/11/2018,Seniors - Streetwise,Friendship Senior Center,POINT (-73.78913620491659 40.70619300062288),-73.7891362049,40.7061930006
10/29/2018,Seniors - Streetwise,Golden Age of Brooklyn SC,POINT (-73.89817813191041 40.63682411931099),-73.8981781319,40.6368241193
10/5/2018,Seniors - Streetwise,HANAC Angelo Petromelis Senior Center,POINT (-73.84477231535878 40.786178495441376),-73.8447723154,40.7861784954
10/31/2018,Seniors - Streetwise,Hudson Guild NORC Program,POINT (-74.00181538495838 40.74919608610555),-74.001815385,40.7491960861
10/25/2018,Seniors - Streetwise,John Paul II Friendship Center,POINT (-73.98501640818371 40.726682666739286),-73.9850164082,40.7266826667
10/19/2018,Seniors - Streetwise,Newtown Senior Center,POINT (-73.8796864972161 40.737204567433736),-73.8796864972,40.7372045674
10/24/2018,Seniors - Streetwise,Pomonok Senior Center,POINT (-73.81472561921937 40.735032361656835),-73.8147256192,40.7350323617
10/22/2018,Seniors - Streetwise,Schomburg Plaza Senior Citizens Center,POINT (-73.94890133018187 40.79730826851304),-73.9489013302,40.7973082685
10/26/2018,Seniors - Streetwise,Selfhelp Latimer Gardens Senior Center,POINT (-73.82993507078527 40.76604408428864),-73.8299350708,40.7660440843
10/18/2018,Seniors - Streetwise,Stapleton NYCHA Center,POINT (-74.08283845985963 40.62312364618562),-74.0828384599,40.6231236462
10/26/2018,Seniors - Streetwise,The Neighborhood Center for Adults,POINT (-73.95481267135119 40.804178045056084),-73.9548126714,40.8041780451
8/14/2018,Seniors - Streetwise,CPC Open Door Senior Center,POINT (-73.99828642911754 40.71968998524792),-73.9982864291,40.7196899852
8/10/2018,Seniors - Streetwise,DFTA Foster Grandparents Program,POINT (-74.00358555132313 40.71372283344058),-74.0035855513,40.7137228334
8/6/2018,Seniors - Streetwise,DFTA Foster Grandparetns Program,POINT (-74.00358555132313 40.71372283344058),-74.0035855513,40.7137228334
8/8/2018,Seniors - Streetwise,HANAC Angelo Petromelis Senior Center,POINT (-73.84477231535878 40.786178495441376),-73.8447723154,40.7861784954
8/13/2018,Seniors - Streetwise,JASA Brighton Beach Senior Center,POINT (-73.95356728200454 40.58039389769997),-73.953567282,40.5803938977
8/9/2018,Seniors - Streetwise,JASA Senior Center,POINT (-73.9541269079494 40.57802535671775),-73.9541269079,40.5780253567
8/1/2018,Seniors - Streetwise,Long Island Living Center,POINT (-73.75422093607709 40.59897802445718),-73.7542209361,40.5989780245
8/6/2018,Seniors - Streetwise,Riis Settlement Senior Center,POINT (-73.94532756398773 40.755487809606855),-73.945327564,40.7554878096
8/13/2018,Seniors - Streetwise,SNAP senior center,POINT (-73.73274872479374 40.67439561440575),-73.7327487248,40.6743956144
7/12/2018,Seniors - Streetwise,Alpha Phi Alpha,POINT (-73.74000433610287 40.69510516357307),-73.7400043361,40.6951051636
7/26/2018,Seniors - Streetwise,Arrochar Friendship Club,POINT (-74.07537709012404 40.59671286672416),-74.0753770901,40.5967128667
7/20/2018,Other Special Event,Bay Parkway Senior Center,POINT (-73.98923543341174 40.60636857549254),-73.9892354334,40.6063685755
7/3/2018,Seniors - Streetwise,Bayside Senior Center,POINT (-73.75685198205696 40.74963662865967),-73.7568519821,40.7496366287
7/16/2018,Seniors - Streetwise,CCBQ Glenwood Senior Center,POINT (-73.92155520618216 40.63328794226652),-73.9215552062,40.6332879423
7/24/2018,Seniors - Streetwise,Diana Jones Senior Center,POINT (-73.93567515927856 40.70016224981923),-73.9356751593,40.7001622498
7/5/2018,Senior Walking Club,East Harlem Senior Center,POINT (-73.93903729712845 40.80170327257144),-73.9390372971,40.8017032726
7/27/2018,Seniors - Streetwise,Florence Smith Senior Center,POINT (-73.86598754892826 40.75574122130748),-73.8659875489,40.7557412213
7/10/2018,Seniors - Streetwise,Grandparents Family Apartment,POINT (-73.9005354695716 40.82231680140193),-73.9005354696,40.8223168014
7/20/2018,Seniors - Streetwise,JASA Senior Alliance Center,POINT (-73.9541269079494 40.57802535671775),-73.9541269079,40.5780253567
7/12/2018,Seniors - Streetwise,Kennedy Senior Center,POINT (-73.9396449703894 40.81270170365384),-73.9396449704,40.8127017037
7/23/2018,Safer Streets,PSS Parkside Senior Center,POINT (-73.8691060446486 40.86967006419504),-73.8691060446,40.8696700642
7/31/2018,Seniors - Streetwise,Rockaway Park Neighborhood Center,POINT (-73.82671334995185 40.58072274585101),-73.82671335,40.5807227459
7/25/2018,Seniors - Streetwise,Selfhelp Austin Street Senior Center,POINT (-73.84733504063132 40.722119452505396),-73.8473350406,40.7221194525
7/19/2018,Seniors - Streetwise,Selfhelp Innovative Senior Center,POINT (-73.82033118673401 40.75176504305723),-73.8203311867,40.7517650431
7/10/2018,Seniors - Streetwise,St. Nicholas Senior Center,POINT (-73.9461401305563 40.81297664775059),-73.9461401306,40.8129766478
7/17/2018,Seniors - Streetwise,St. Vincent Manor Senior Housing,POINT (-74.13394701195234 40.63524312341813),-74.133947012,40.6352431234
7/11/2018,Seniors - Streetwise,VNS Chinatown Community Center,POINT (-73.99871944191162 40.713945207382764),-73.9987194419,40.7139452074
6/27/2018,Other Theater,Arrochar Friendship Club,POINT (-74.07537709012404 40.59671286672416),-74.0753770901,40.5967128667
6/6/2018,Seniors - Streetwise,Bellevue Hospital Geriatric Clinic,POINT (-73.97686183398184 40.739172693304035),-73.976861834,40.7391726933
6/6/2018,Seniors - Streetwise,Brooks Senior Center,POINT (-73.80355402721045 40.68856412144289),-73.8035540272,40.6885641214
6/7/2018,Seniors - Streetwise,Eileen Dugan Senior Center,POINT (-73.99639095021496 40.68137026212902),-73.9963909502,40.6813702621
6/22/2018,Other Theater,Goddard Riverside Community Center,POINT (-73.97090431747291 40.78821165258872),-73.9709043175,40.7882116526
6/20/2018,Other Theater,Great Kills Friendship Club,POINT (-74.14979466852732 40.55260226150795),-74.1497946685,40.5526022615
6/20/2018,Seniors - Streetwise,Homecrest Bensonhurst Senior Center,POINT (-74.00093284418303 40.61227861985945),-74.0009328442,40.6122786199
6/29/2018,Other Theater,JSPOA Friendship Neighborhood Senior Center,POINT (-73.78913620491659 40.70619300062288),-73.7891362049,40.7061930006
6/26/2018,Seniors - Streetwise,Mt. Ararat Senior Center,POINT (-73.91284908701772 40.67316611790857),-73.912849087,40.6731661179
6/12/2018,Seniors - Streetwise,Park Slope Center for Successful Aging,POINT (-73.9812012575069 40.66841893461852),-73.9812012575,40.6684189346
6/25/2018,Seniors - Streetwise,Penn Wortman Neighborhood Center,POINT (-73.88865218102525 40.65596566327737),-73.888652181,40.6559656633
6/13/2018,Seniors - Streetwise,Philip Howard Senior Center,POINT (-73.94475658585658 40.630095516909684),-73.9447565859,40.6300955169
6/13/2018,Seniors - Streetwise,Rosetta Gaston Neighborhood Senior Center,POINT (-73.90222248966023 40.66514007931318),-73.9022224897,40.6651400793
6/26/2018,Other Theater,SAGE (Advocacy & Services for LGBT Elders),POINT (-73.99365540166653 40.74681622810671),-73.9936554017,40.7468162281
6/27/2018,Other Special Event,The Lodge Senior Center,POINT (-73.99728791754816 40.61208645555049),-73.9972879175,40.6120864556
6/5/2018,Seniors - Streetwise,JASA Starrett City Senior Center,POINT (-73.87761270409283 40.648214152334575),-73.8776127041,40.6482141523
5/7/2018,Seniors - Streetwise,Bay Ridge Senior Center,POINT (-74.02332129309309 40.63347702408948),-74.0233212931,40.6334770241
5/9/2018,Seniors - Streetwise,Beatrice Lewis Senior Center,POINT (-73.9352673314914 40.80446790121723),-73.9352673315,40.8044679012
5/31/2018,Seniors - Streetwise,Caipa Adult Social Day Care Center,POINT (-74.0123553466306 40.63968743285421),-74.0123553466,40.6396874329
5/1/2018,Other Theater,Carmine Carro Senior Center,POINT (-73.93746690695171 40.6085918218249),-73.937466907,40.6085918218
5/2/2018,Seniors - Streetwise,Catherine Sheridan Senior Center,POINT (-73.88370294878717 40.751547279615),-73.8837029488,40.7515472796
5/29/2018,Seniors - Streetwise,East Harlem Senior Center,POINT (-73.93903729712845 40.80170327257144),-73.9390372971,40.8017032726
5/23/2018,Seniors - Streetwise,Grand Street Settlement Best,POINT (-73.98026767412495 40.717006676685486),-73.9802676741,40.7170066767
5/30/2018,Seniors - Streetwise,PSS Harlem Senior Center,POINT (-73.93815798645254 40.834532394963375),-73.9381579865,40.834532395
5/8/2018,Other Theater,PSS Highbridge Neighborhood Senior Center,POINT (-73.92570561920876 40.837231331470214),-73.9257056192,40.8372313315
5/25/2018,Seniors - Streetwise,PSS Manhattanville Senior Center,POINT (-73.95447804270037 40.81812659265089),-73.9544780427,40.8181265927
5/3/2018,Other Theater,Roundtable Senior Center,POINT (-73.91990704703679 40.69170670324125),-73.919907047,40.6917067032
5/31/2018,Seniors - Streetwise,SNAP senior center - Winchester,POINT (-73.73402127184376 40.737684880045066),-73.7340212718,40.73768488
5/15/2018,Seniors - Streetwise,Theodore Jackson Senior Center,POINT (-73.79410812822114 40.7044563260954),-73.7941081282,40.7044563261
5/10/2018,Other Theater,Young Israel of Wavecrest,POINT (-73.7657368259889 40.60414858842929),-73.765736826,40.6041485884
5/2/2018,Other Theater,Riverstone Senior Center,POINT (-73.94373785911836 40.838509593701495),-73.9437378591,40.8385095937
4/2/2018,Grandparents Day,Bellevue Hospital,POINT (-73.97686183398184 40.739172693304035),-73.976861834,40.7391726933
4/24/2018,Seniors - Streetwise,Caipa Adult Social Day Care Center,POINT (-74.0123553466306 40.63968743285421),-74.0123553466,40.6396874329
4/14/2018,Community Fair,Chinatown YMCA Spring into Health Fair,POINT (-73.9930919288784 40.71655253025264),-73.9930919289,40.7165525303
4/6/2018,Grandparents Day,Elmhurst Hospital,POINT (-73.8860972442814 40.74441606465536),-73.8860972443,40.7444160647
4/17/2018,Seniors - Streetwise,Encore Senior Center,POINT (-73.98531187550806 40.761143041294424),-73.9853118755,40.7611430413
4/11/2018,Seniors - Streetwise,Friendship Senior Center,POINT (-73.78913620491659 40.70619300062288),-73.7891362049,40.7061930006
4/17/2018,Seniors - Streetwise,Greenwich House Senior Center,POINT (-73.99770520248003 40.73178062977849),-73.9977052025,40.7317806298
4/18/2018,Seniors - Streetwise,Heights Neighborhood Senior Center,POINT (-73.91680422346238 40.85198354881042),-73.9168042235,40.8519835488
4/4/2018,Grandparents Day,Independence Senior Center,POINT (-73.96370166766062 40.70550758041671),-73.9637016677,40.7055075804
4/27/2018,Seniors - Streetwise,John Paul II Friendship Center,POINT (-73.98501640818371 40.726682666739286),-73.9850164082,40.7266826667
4/20/2018,Seniors - Streetwise,Knickerbocker Village Senior Center,POINT (-73.99472284691481 40.71154342729969),-73.9947228469,40.7115434273
4/26/2018,Seniors - Streetwise,MET Council Senior Residence Towers VI,POINT (-73.81332101456528 40.73022127326126),-73.8133210146,40.7302212733
4/3/2018,Grandparents Day,New York Presbyterian Hospital Queens,POINT (-73.82615501024004 40.746816955247546),-73.8261550102,40.7468169552
4/20/2018,Seniors - Streetwise,Newtown Senior Center,POINT (-73.8796864972161 40.737204567433736),-73.8796864972,40.7372045674
4/25/2018,Seniors - Streetwise,NYPL Allerton Branch,POINT (-73.86348723919741 40.86618327647862),-73.8634872392,40.8661832765
4/16/2018,Seniors - Streetwise,Queens Library Hillcrest Branch,POINT (-73.78190215605072 40.72898031272384),-73.7819021561,40.7289803127
4/10/2018,Seniors - Streetwise,Rego Park Senior Center,POINT (-73.86604357865883 40.73146943235758),-73.8660435787,40.7314694324
4/9/2018,Seniors - Streetwise,Roundtable Senior Center,POINT (-73.91990704703679 40.69170670324125),-73.919907047,40.6917067032
4/4/2018,Grandparents Day,Shore Hill Senior Center,POINT (-74.04024425422443 40.62209244686078),-74.0402442542,40.6220924469
4/4/2018,Grandparents Day,Sunset Park Senior Citizen Center,POINT (-73.97923933411319 40.683029033516924),-73.9792393341,40.6830290335
4/6/2018,Grandparents Day,United Senior Center,POINT (-74.01276690913741 40.64385946243647),-74.0127669091,40.6438594624
4/2/2018,Grandparents Day,Vandalia Neighborhood Center,POINT (-73.88675969631667 40.64979902987104),-73.8867596963,40.6497990299
4/3/2018,Grandparents Day,Brookdale Hospital Center,POINT (-73.91158368713447 40.65416304094712),-73.9115836871,40.6541630409
3/14/2018,Seniors - Streetwise,Good Old Lower East Side Senior Program,POINT (-73.9834872045823 40.72448390705272),-73.9834872046,40.7244839071
3/6/2018,Seniors - Streetwise,Grand Street Settlement Senior Housing,POINT (-73.97893093433447 40.72336879134971),-73.9789309343,40.7233687913
3/6/2018,Class Visit,HASC center of Wiiliamsburg,POINT (-73.96604749071054 40.70977091404426),-73.9660474907,40.709770914
3/13/2018,Seniors - Streetwise,Knickerbocker Village Senior Center,POINT (-73.99472284691481 40.71154342729969),-73.9947228469,40.7115434273
3/23/2018,Seniors - Streetwise,RAIN - Bailey Senior Canter,POINT (-73.90685922695789 40.870746953011),-73.906859227,40.870746953
3/8/2018,Seniors - Streetwise,Senior Vibes,POINT (-73.93816905559845 40.67096747691131),-73.9381690556,40.6709674769
3/16/2018,Seniors - Streetwise,Two Bridges Senior Apartment Building,POINT (-73.98987146765563 40.71063184158788),-73.9898714677,40.7106318416
3/6/2018,Seniors - Streetwise,Mt Carmel Center,POINT (-73.88155776098021 40.85377248544141),-73.881557761,40.8537724854
3/6/2018,Seniors - Streetwise,Queens Library E. Flushing Branch,POINT (-73.78480350612794 40.75787709936405),-73.7848035061,40.7578770994
3/22/2018,Seniors - Streetwise,Tilden Senior Center,POINT (-73.90527792985046 40.66347106450413),-73.9052779299,40.6634710645
2/26/2018,Seniors - Streetwise,CCNS - The Bay Senior Center,POINT (-73.94082479272673 40.594965680238516),-73.9408247927,40.5949656802
2/15/2018,Seniors - Streetwise,CCNS Howard Beach Senior Center,POINT (-73.84115206861749 40.66437204083749),-73.8411520686,40.6643720408
2/9/2018,Seniors - Streetwise,Centerlight Flushing Center,POINT (-73.82933538658511 40.761980971569905),-73.8293353866,40.7619809716
2/28/2018,Seniors - Streetwise,Grand Street Settlement Essex Crossing Senior Center,POINT (-73.98500405067439 40.71746576598712),-73.9850040507,40.717465766
2/13/2018,Seniors - Streetwise,Independence Plaza Senior Center,POINT (-74.0106670952727 40.71760348618585),-74.0106670953,40.7176034862
2/14/2018,Seniors - Streetwise,JASA Bay Eden Senior Center,POINT (-73.84220405381097 40.88401038300719),-73.8422040538,40.884010383
2/9/2018,Seniors - Streetwise,JASA Mechler Hall Senior Center,POINT (-73.85186909890447 40.82958746401426),-73.8518690989,40.829587464
2/2/2018,Seniors - Streetwise,Korean American Senior Center of Flushing,POINT (-73.80033467116469 40.75938997662221),-73.8003346712,40.7593899766
2/26/2018,Seniors - Streetwise,Mott Street Senior Center,POINT (-73.99589459520499 40.720499628915746),-73.9958945952,40.7204996289
2/28/2018,Seniors - Streetwise,RAIN - Boston Rd,POINT (-73.84503965276961 40.8776712387493),-73.8450396528,40.8776712387
2/21/2018,Seniors - Streetwise,RAIN - Nereid,POINT (-73.85356829316144 40.898157757410566),-73.8535682932,40.8981577574
2/2/2018,Seniors - Streetwise,RAIN - Tolentine Senior Center,POINT (-73.90607682820337 40.861502175924144),-73.9060768282,40.8615021759
2/28/2018,Seniors - Streetwise,Selfhelp Maspeth Senior Center,POINT (-73.89355568071194 40.72701870599106),-73.8935556807,40.727018706
2/15/2018,Seniors - Streetwise,Van Dyck Senior Center,POINT (-73.90330769351746 40.66498179967414),-73.9033076935,40.6649817997
1/16/2018,Seniors - Streetwise,CCBQ Ozone Park Senior Center,POINT (-73.8397771915462 40.68602644421602),-73.8397771915,40.6860264442
1/11/2018,Seniors - Streetwise,Jamaica Service Program for Older Adults,POINT (-73.79529508735206 40.70786470421927),-73.7952950874,40.7078647042
1/24/2018,Seniors - Streetwise,JASA Roy Reuther Senior Center,POINT (-73.74218707330563 40.595995497258436),-73.7421870733,40.5959954973
1/3/2018,Seniors - Streetwise,Mill Basin Senior Center,POINT (-73.91022563741352 40.618864009582815),-73.9102256374,40.6188640096
1/10/2018,Seniors - Streetwise,QCH Forest Hills Senior Center,POINT (-73.8502118149305 40.73591015878081),-73.8502118149,40.7359101588
1/22/2018,Seniors - Streetwise,RAIN Westchester Senior Center,POINT (-73.85104614427695 40.87114402630424),-73.8510461443,40.8711440263
1/22/2018,Seniors - Streetwise,Senior Center at Our Lady of Pompeii Church,POINT (-74.0029550218685 40.73017767740113),-74.0029550219,40.7301776774
1/22/2018,Seniors - Streetwise,Senior Center on the Square,POINT (-73.99759338178602 40.73088309264222),-73.9975933818,40.7308830926
1/26/2018,Seniors - Streetwise,Senior Citizen League of Flatbush,POINT (-73.9710573610809 40.62721762755453),-73.9710573611,40.6272176276
1/23/2018,Seniors - Streetwise,Senior Citizen League of Flatbush Midwood,POINT (-73.9557426823935 40.6223407484119),-73.9557426824,40.6223407484
1/17/2018,Seniors - Streetwise,St. James Episcopal Church Senior Program,POINT (-73.87836821097301 40.73983540261492),-73.878368211,40.7398354026
1/30/2018,Seniors - Streetwise,Vandalia Senior Center,POINT (-73.88675969631667 40.64979902987104),-73.8867596963,40.6497990299
1/9/2018,Seniors - Streetwise,Young Israel of Wavecrest Senior League,POINT (-73.7657368259889 40.60414858842929),-73.765736826,40.6041485884
1/18/2018,Seniors - Streetwise,Allen Senior Center,POINT (-73.78314731995951 40.69005357355574),-73.78314732,40.6900535736
10/12/2017,Seniors - Streetwise,Afro American Daycare,POINT (-73.79470762482177 40.68734918997586),-73.7947076248,40.68734919
10/27/2017,Seniors - Streetwise,BRC Senior Center,POINT (-73.99226763422398 40.71978303475559),-73.9922676342,40.7197830348
10/5/2017,Seniors - Streetwise,Bushwick Adult Day Center at Trinity,POINT (-73.77070552011918 40.682700869069876),-73.7707055201,40.6827008691
10/20/2017,Seniors - Streetwise,Canaan Senior Center,POINT (-73.95136996831475 40.80271640791021),-73.9513699683,40.8027164079
10/23/2017,Seniors - Streetwise,CCBQ Lodge Senior Center,POINT (-73.99728647744125 40.61207821754867),-73.9972864774,40.6120782175
10/5/2017,Seniors - Streetwise,CCNS Senior Center,POINT (-73.85294486737091 40.69044661969565),-73.8529448674,40.6904466197
10/17/2017,Seniors - Streetwise,CYO Senior Center,POINT (-74.1344204796113 40.634918680841565),-74.1344204796,40.6349186808
10/18/2017,Seniors - Streetwise,DFTA Foster Grandparent Program Bronx,POINT (-73.9028125384695 40.83313836489634),-73.9028125385,40.8331383649
10/10/2017,Seniors - Streetwise,Fort Greene Neighborhood S. C,POINT (-73.94569541978497 40.643419152017444),-73.9456954198,40.643419152
10/6/2017,Community Fair,Henry Street Settlement,POINT (-73.98323604055372 40.713257780605424),-73.9832360406,40.7132577806
10/13/2017,Community Fair,Isabella Community Center,POINT (-73.92790771179577 40.8547740979076),-73.9279077118,40.8547740979
10/11/2017,Seniors - Streetwise,JASA Brighton/Manhattan Beach Senior Center,POINT (-73.9535658586 40.580385664533594),-73.9535658586,40.5803856645
10/2/2017,Seniors - Streetwise,Midwood Senior Center,POINT (-73.92981814290496 40.63040301093742),-73.9298181429,40.6304030109
10/12/2017,Community Fair,Penn Wortman Neighborhood Cener,POINT (-73.88865077350655 40.65595741317326),-73.8886507735,40.6559574132
10/24/2017,Seniors - Streetwise,Peter Cardella Senior Center,POINT (-73.89567945273002 40.70388502082903),-73.8956794527,40.7038850208
10/17/2017,Seniors - Streetwise,QCH Rego Park Senior Center,POINT (-73.86604217355901 40.73146116674855),-73.8660421736,40.7314611667
10/23/2017,Seniors - Streetwise,Queens Community Senior Center,POINT (-73.8502104152566 40.73590189118742),-73.8502104153,40.7359018912
10/10/2017,Seniors - Streetwise,TSA Bensonhurst Corps Senior Center,POINT (-73.99489836979345 40.61443865876306),-73.9948983698,40.6144386588
10/12/2017,Seniors - Streetwise,Heart to Heart Social Adult Care Center,POINT (-73.95531735543447 40.66363586526476),-73.9553173554,40.6636358653
10/4/2017,Seniors - Streetwise,Howard Beach Senior Center,POINT (-73.84115067626364 40.6643637874729),-73.8411506763,40.6643637875
7/31/2017,Senior Presentation,NY Public Library Morris Park Branch,POINT (-73.85670643208603 40.847900759589955),-73.8567064321,40.8479007596
7/19/2017,Senior Presentation,Jay-Harama Neighborhood Senior Center,POINT (-73.95118407950844 40.59814902286538),-73.9511840795,40.5981490229
7/20/2017,Senior Presentation,Teresa Moore Neighborhood Senior Center,POINT (-73.86451262420753 40.6691997858277),-73.8645126242,40.6691997858
7/19/2017,Senior Presentation,Fort Greene Senior Center,POINT (-73.96217682021066 40.682478461589945),-73.9621768202,40.6824784616
7/17/2017,Senior Presentation,Holliswood Senior Center,POINT (-73.76510517383844 40.72493988323173),-73.7651051738,40.7249398832
9/7/2017,Senior Presentation,Borinquen Court Senior Center,POINT (-73.92668020940955 40.81074538994276),-73.9266802094,40.8107453899
9/26/2017,Senior Presentation,Roundtable Senior Center,POINT (-73.91990562780556 40.691698447247035),-73.9199056278,40.6916984472
9/26/2017,Senior Presentation,Catherine Sheridan Senior Center,POINT (-73.88370153752663 40.75153901063942),-73.8837015375,40.7515390106
9/12/2017,Senior Presentation,Catholic Charities Brooklyn and Queens,POINT (-73.78743428583948 40.59475137530899),-73.7874342858,40.5947513753
8/31/2017,Senior Presentation,NYC DFTA,POINT (-74.00358410350701 40.713714575804616),-74.0035841035,40.7137145758
8/18/2017,Senior Presentation,DellaMOnica Steinway Senior Center,POINT (-73.93000918654738 40.76427639171999),-73.9300091865,40.7642763917
8/17/2017,Senior Presentation,QCH Rego Park Neighborhood Senior Center,POINT (-73.86604217355901 40.73146116674855),-73.8660421736,40.7314611667
8/10/2017,Senior Presentation,QCH Pomonok Senior Center,POINT (-73.81472423107009 40.73502409364324),-73.8147242311,40.7350240936
8/4/2017,Senior Presentation,Rochdale Village Senior Center,POINT (-73.77063926009225 40.67261366021392),-73.7706392601,40.6726136602
8/4/2017,Senior Presentation,Emblem Health Community Office,POINT (-73.98758968677012 40.59814499772476),-73.9875896868,40.5981449977
8/3/2017,Senior Presentation,Selfhelp Innovative Senior Center,POINT (-73.82032979518172 40.75175677152509),-73.8203297952,40.7517567715
8/1/2017,Senior Presentation,Bayside Senior Center,POINT (-73.7565580823647 40.74967988790018),-73.7565580824,40.7496798879
8/8/2017,Senior Presentation,Reverend R Brown Senior Center,POINT (-73.91284767023276 40.673157865411504),-73.9128476702,40.6731578654
7/27/2017,Senior Presentation,JCCSI Stapleton Senior Center,POINT (-74.08283699241024 40.62311540928091),-74.0828369924,40.6231154093
7/26/2017,Senior Presentation,The Tides of Charleston Community,POINT (-74.23969284547098 40.52903101122251),-74.2396928455,40.5290310112
7/25/2017,Senior Presentation,JSPOA Rockaway Senior Center,POINT (-73.79572411270075 40.67451366256439),-73.7957241127,40.6745136626
7/19/2017,Senior Presentation,Dorchester Senior Citizens Center,POINT (-73.96468766209642 40.63896353128655),-73.9646876621,40.6389635313
7/18/2017,Senior Presentation,Elmcor Senior Center,POINT (-73.87108807884125 40.76228773879329),-73.8710880788,40.7622877388
7/14/2017,Senior Presentation,NY Public Library City Island Branch,POINT (-73.78660827002564 40.847583786406766),-73.78660827,40.8475837864
7/13/2017,Senior Presentation,Howard Beach Senior Center,POINT (-73.84115067626364 40.6643637874729),-73.8411506763,40.6643637875
7/11/2017,Senior Presentation,Bushwick Center Adult Day Health Care at Ridgewood,POINT (-73.90138427318381 40.70450762196946),-73.9013842732,40.704507622
7/6/2017,Senior Presentation,RAIN,POINT (-73.85104473577991 40.871135732777816),-73.8510447358,40.8711357328
7/7/2017,Senior Presentation,Throggs Neck Senior Center,POINT (-73.82706006657403 40.821653573959004),-73.8270600666,40.821653574
7/5/2017,Other Theater,Encore Sr Ctr,POINT (-73.98531043011323 40.761134773578064),-73.9853104301,40.7611347736
7/6/2017,Senior Presentation,Bushwick Center Adult Day Health Care,POINT (-73.89804059596324 40.67638727634204),-73.898040596,40.6763872763
7/26/2017,Senior Presentation,Alpha Phi Alpha,POINT (-73.74000297341111 40.6950969000557),-73.7400029734,40.6950969001
