Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Type,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Pedestrian Type,Pedestrian Movement,Pedestrian Actions,Pedestrian Location,Pedestrian Obeyed Traffic Signal,Pedestrian Visibility,At Fault,Injury Severity,Safety Equipment,Latitude,Longitude,Location
DD5614001T,17000330,Rockville Police Departme,Injury Crash,01/03/2017 07:35:00 AM,Municipality,WOOTTON PKWY,Other Public Roadway,PAULSBORO DR,,N/A,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,RAINING,WET,DAWN,N/A,NONE DETECTED,NONE DETECTED,CC75B347-83DE-44F0-ACD4-EFB06DF72020,PEDESTRIAN,Walking to/from school,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,POSSIBLE INJURY,NONE,39.07759833,-77.18217333,"(39.07759833, -77.18217333)"
MCP2695000W,16047338,Montgomery County Police,Injury Crash,09/15/2016 12:01:00 PM,County,LOCKWOOD DR,Maryland (State),NEW HAMPSHIRE AVE,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,N/A,N/A,A68A07D2-1361-49A9-B844-BDD4E03A0C9B,PEDESTRIAN,Cross/Enter at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,N/A,MIXED CLOTHING,No,POSSIBLE INJURY,N/A,39.0393207,-76.99142575,"(39.0393207, -76.99142575)"
MCP2874000W,15058210,MONTGOMERY,Injury Crash,11/14/2015 08:07:00 PM,Maryland (State),GEORGIA AVE,County,SHOREFIELD RD,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,UNKNOWN,0265D3BF-51A5-4DC2-9C1F-30170CF57E07,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,UNKNOWN,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.053245,-77.05103333,"(39.053245, -77.05103333)"
MCP2917003Q,190008744,Montgomery County Police,Injury Crash,02/23/2019 08:10:00 PM,Maryland (State),GEORGIA AVE,County,HEATHFIELD RD,,N/A,PEDESTRIAN,SAME DIRECTION LEFT TURN,RAINING,WET,DARK NO LIGHTS,NO CONTROLS,NONE DETECTED,NONE DETECTED,60FB7AF8-EB40-4391-8E96-D7BA90690165,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.08792833,-77.07951167,"(39.08792833, -77.07951167)"
MCP30850013,190010007,Montgomery County Police,Injury Crash,03/03/2019 06:50:00 PM,County,CANDLELIGHT LA,County,TUCKERMAN LA,,N/A,PEDESTRIAN,SINGLE VEHICLE,RAINING,WET,DARK LIGHTS ON,N/A,UNKNOWN,NONE DETECTED,3C0F4C8D-5FE2-4CA0-BC2F-E87CE9812393,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,POSSIBLE INJURY,N/A,39.04152562,-77.16875628,"(39.04152562, -77.16875628)"
MCP1575003J,15061927,MONTGOMERY,Injury Crash,12/04/2015 10:16:00 AM,County,SHADY GROVE RD,County,TRAVILLE  GATEWAY DR,,N/A,PEDESTRIAN,OTHER,N/A,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,ED59A379-0930-455E-A395-66ACA65A31D3,PEDESTRIAN,Cross/Enter at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,UNKNOWN,Yes,SUSPECTED SERIOUS INJURY,NONE,39.09114667,-77.20452833,"(39.09114667, -77.20452833)"
MCP27800022,16048970,Montgomery County Police,Injury Crash,09/23/2016 03:09:00 PM,Maryland (State),FREDERICK RD,County,OXBRIDGE DR,,N/A,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,48AA231D-9931-42D2-A198-75D6768A11C8,BICYCLIST,Walking/Riding against Traffic,IN ROADWAY IMPROPERLY,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes,POSSIBLE INJURY,NONE,39.19000833,-77.24130667,"(39.19000833, -77.24130667)"
MCP13970015,180025254,Montgomery County Police,Injury Crash,05/23/2018 07:59:00 AM,County,WATKINS MILL RD,County,GREENRIVER TERR,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,PERSON,N/A,NONE DETECTED,5978E481-B408-4BB5-B52C-FF4F132BB2B8,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,OTHER,N/A,REFLECTIVE MATERIAL,No,SUSPECTED MINOR INJURY,N/A,39.19040595,-77.22419858,"(39.19040595, -77.22419858)"
DD5617000Q,17012078,Rockville Police Departme,Injury Crash,03/07/2017 07:56:00 PM,County,TWINBROOK PKWY,Maryland (State),VEIRS MILL RD,,N/A,PEDESTRIAN,OTHER,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,89CDE1DF-3947-4DE1-BD6A-222BC9301A60,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No,POSSIBLE INJURY,NONE,39.07336938,-77.11198837,"(39.07336938, -77.11198837)"
MCP14750015,170517250,Montgomery County Police,Injury Crash,07/04/2017 12:12:00 PM,County,LOST KNIFE RD,County,CONTOUR RD,,N/A,BICYCLIST,OTHER,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,FF64A3F5-CB6A-4362-AAE4-D894AE003BDD,BICYCLIST,Walking/Riding against Traffic,WRONG WAY RIDING OR WALKING,ON ROADWAY NOT AT CROSSWALK,OTHER,MIXED CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,39.15500675,-77.20109403,"(39.15500675, -77.20109403)"
MCP2847000N,15004014,Montgomery County Police,Injury Crash,01/25/2015 08:53:00 AM,County,ATHERTON DR,County,RANDOLPH RD,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,6CDFBA21-8C89-44A5-AC91-3FF904DC38E2,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,,POSSIBLE INJURY,N/A,39.05713167,-77.07692833,"(39.05713167, -77.07692833)"
MCP2363000Y,16051042,Montgomery County Police,Injury Crash,10/04/2016 07:15:00 PM,Maryland (State),HUNGERFORD DR,Municipality,E MIDDLE LA,,ROCKVILLE,PEDESTRIAN,OTHER,CLEAR,DRY,DUSK,TRAFFIC SIGNAL,NONE DETECTED,UNKNOWN,747421AE-843C-485D-9E04-12CBD7B1CB21,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,AT INTERSECTION MARKED CROSSWALK,UNKNOWN,MIXED CLOTHING,Unknown,SUSPECTED SERIOUS INJURY,NONE,39.08511469,-77.14820623,"(39.08511469, -77.14820623)"
MCP2274000R,16026160,Montgomery County Police,Injury Crash,05/26/2016 08:35:00 AM,Municipality,BANK ST,Maryland (State),QUINCE ORCHARD RD,,N/A,BICYCLIST,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,AC598001-1D24-4EAF-8F5A-D6216B0D8047,BICYCLIST,Cross/Enter at Intersection,FAILURE TO YIELD RIGHT OF WAY,UNKNOWN,N/A,REFLECTIVE MATERIAL,Yes,SUSPECTED SERIOUS INJURY,UNKNOWN,39.14035833,-77.22306833,"(39.14035833, -77.22306833)"
MCP3117000X,180030357,Montgomery County Police,Injury Crash,06/20/2018 09:18:00 PM,County,LLOYD RD,County,BETTEKER LA,,N/A,OTHER,OTHER,CLEAR,DRY,DARK NO LIGHTS,NO CONTROLS,ILLEGAL DRUG PRESENT,N/A,24E774C9-F812-4953-B50D-9A0CF3AA143B,OTHER,Standing,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.05958735,-77.20637798,"(39.05958735, -77.20637798)"
MCP3031000C,17008136,Montgomery County Police,Injury Crash,02/14/2017 09:36:00 PM,County,HEWITT AVE,Maryland (State),GEORGIA AVE,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,N/A,N/A,NONE DETECTED,NONE DETECTED,99EC0EDB-7520-4EAB-A853-AFC6C99AD818,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No,POSSIBLE INJURY,NONE,39.07932869,-77.06799611,"(39.07932869, -77.06799611)"
MCP2789005B,180058992,Montgomery County Police,Injury Crash,11/25/2018 06:39:00 PM,Maryland (State),COLESVILLE RD,Maryland (State),EAST WEST HWY,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,N/A,N/A,68DFD821-06C2-4A9D-89CD-275920E6A41D,PEDESTRIAN,Cross/Enter at Intersection,INATTENTIVE,AT INTERSECTION MARKED CROSSWALK,DISOBEYED PED. SIGNAL,DARK CLOTHING,Yes,POSSIBLE INJURY,NONE,38.99607833,-77.02777333,"(38.99607833, -77.02777333)"
DD5633000T,180055238,Rockville Police Departme,Property Damage Crash,11/03/2018 09:27:00 PM,Municipality,WOOTTON PKWY,Municipality,W EDMONSTON DR,,ROCKVILLE,BICYCLIST,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,D19F4527-2A3A-4DED-AB62-98FC68FF23AD,BICYCLIST,Cross/Enter at Intersection,NOT VISIBLE,AT INTERSECTION MARKED CROSSWALK,DISOBEYED PED. SIGNAL,DARK CLOTHING,No,NO APPARENT INJURY,NONE,39.07287556,-77.1381867,"(39.07287556, -77.1381867)"
MCP1174000Y,15036273,MONTGOMERY,Injury Crash,07/23/2015 09:56:00 AM,Maryland (State),OLD GEORGETOWN RD,County,CORDELL AVE,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,OTHER,NONE DETECTED,N/A,C81C50F9-5C55-42D8-8697-E50BFF21CF6E,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,NONE,38.98785167,-77.09937333,"(38.98785167, -77.09937333)"
MCP22780016,16010630,MONTGOMERY,Injury Crash,03/03/2016 05:00:00 AM,County,CALVERTON BLVD,County,GALWAY DR,,N/A,PEDESTRIAN,OTHER,N/A,DRY,DUSK,TRAFFIC SIGNAL,UNKNOWN,NONE DETECTED,E0FA2CE4-A975-412B-8765-63DF2B274676,PEDESTRIAN,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,SHOULDER,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.05621431,-76.94444284,"(39.05621431, -76.94444284)"
MCP2671000Y,15057392,MONTGOMERY,Injury Crash,11/10/2015 05:20:00 PM,County,FOREST GLEN RD,Government,SLIGO CREEK PKWY,,N/A,PEDESTRIAN,SINGLE VEHICLE,RAINING,WET,DARK NO LIGHTS,OTHER,NONE DETECTED,NONE DETECTED,EB715312-379F-4AAB-97C7-F2D98B2C1E55,PEDESTRIAN,Cross/Enter at Intersection,NOT VISIBLE,ON ROADWAY AT CROSSWALK,OTHER,DARK CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.0161057,-77.0331046,"(39.0161057, -77.0331046)"
MCP2717003D,15053034,MONTGOMERY,Injury Crash,10/19/2015 02:10:00 PM,,,,,Chipotle Parking Lot (10526 Connecticut Avenue),,PEDESTRIAN,OTHER,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,22361CF8-13BD-45DB-8B04-E7B351F6F90F,PEDESTRIAN,Other,FAILURE TO YIELD RIGHT OF WAY,OTHER,NO PED. SIGNAL,MIXED CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,39.02779385,-77.07665563,"(39.02779385, -77.07665563)"
MCP2848005W,170550147,Montgomery County Police,Injury Crash,12/22/2017 01:03:00 PM,,,,,NORDSTORM PARKING GARAGE-7111 DEMOCRACY BLVD,,PEDESTRIAN,OTHER,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,150D3CCB-B772-420B-AC69-D563B65446E2,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,OTHER,NO PED. SIGNAL,MIXED CLOTHING,No,POSSIBLE INJURY,NONE,39.02394667,-77.14436667,"(39.02394667, -77.14436667)"
MCP158000BH,190025744,Montgomery County Police,Injury Crash,05/30/2019 10:22:00 AM,,,,,"15740 SHADY GROVE RD,  HOME DEPOT STORE PARKING LOT",,PEDESTRIAN,OTHER,CLEAR,,DAYLIGHT,N/A,NONE DETECTED,NONE DETECTED,413A20BC-D49C-47CD-B5E8-24B483D86EFB,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,N/A,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.11479667,-77.18677833,"(39.11479667, -77.18677833)"
EJ7847000Q,15001725,Gaithersburg Police Depar,Injury Crash,01/11/2015 03:00:00 PM,,,,,"Parking lot of 18435 Lost Knife Circle, Montgomery Village, MD 20877",,PEDESTRIAN,OTHER,CLEAR,,DAYLIGHT,NO CONTROLS,N/A,N/A,FB4C7CC5-417A-4BB6-B923-CA0A8589FAEE,PEDESTRIAN,Getting off/on Vehicle,DART DASH,OTHER,N/A,LIGHT CLOTHING,,SUSPECTED MINOR INJURY,NONE,39.15674,-77.20306167,"(39.15674, -77.20306167)"
MCP2690001B,16011767,MONTGOMERY,Injury Crash,03/09/2016 07:11:00 PM,County,SHADY GROVE RD,County,EPSILON DR,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,7FA0C343-FB82-471E-B117-BAED52162760,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.13842,-77.15335833,"(39.13842, -77.15335833)"
MCP1334004M,17001589,Montgomery County Police,Injury Crash,01/10/2017 09:56:00 AM,,,,,PARKING LOT OF 19227 WATKINS MILL RD,,PEDESTRIAN,SINGLE VEHICLE,CLOUDY,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,1608CFB5-7D3A-470B-8B94-4621203DD3D1,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.17128211,-77.20726177,"(39.17128211, -77.20726177)"
MCP27170030,15048327,MONTGOMERY,Injury Crash,09/23/2015 07:37:00 PM,Maryland (State),EAST WEST HWY,Maryland (State),BROOKVILLE RD,,N/A,BICYCLIST,OTHER,CLEAR,DRY,DARK NO LIGHTS,NO CONTROLS,NONE DETECTED,NONE DETECTED,0759C71A-CD01-4D79-B220-EC19BC6C8D85,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,SIDEWALK,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,MC/BIKE HELMET,38.99202106,-77.07198858,"(38.99202106, -77.07198858)"
DD5595003T,170500400,Rockville Police Departme,Injury Crash,04/04/2017 06:17:00 PM,Municipality,E MIDDLE LA,Municipality,MONROE ST,,ROCKVILLE,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,OTHER,NONE DETECTED,NONE DETECTED,3B0DA91C-E5AB-449D-B6C4-7083ECD25DEC,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,POSSIBLE INJURY,NONE,39.08516617,-77.14921633,"(39.08516617, -77.14921633)"
MCP3150000C,180018782,Montgomery County Police,Injury Crash,04/17/2018 06:39:00 PM,,,,,INSIDE PARKING GARAGE LOCATED AT 1215 E. WEST HIGHWAY,,PEDESTRIAN,OTHER,CLEAR,,DARK LIGHTS ON,NO CONTROLS,N/A,N/A,622C85B5-9821-402E-B3AC-057EADEA8017,PEDESTRIAN,Other,OTHER,OTHER,NO PED. SIGNAL,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,NONE,38.99133833,-77.03088333,"(38.99133833, -77.03088333)"
MCP28640014,15025726,Montgomery County Police,Injury Crash,05/28/2015 03:22:00 PM,Maryland (State),DARNESTOWN RD,County,AMBIANCE DR,,N/A,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,AF976D7B-A431-49EE-9341-52A3C596461A,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,,SUSPECTED MINOR INJURY,N/A,39.11341833,-77.24281833,"(39.11341833, -77.24281833)"
MCP1227000F,15058046,MONTGOMERY,Fatal Crash,11/13/2015 06:11:00 PM,Maryland (State),FREDERICK RD,Other Public Roadway,MAGNOLIA DR,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DARK NO LIGHTS,NO CONTROLS,NONE DETECTED,NONE DETECTED,20B85BBE-DA98-46F9-AD23-64FF7B134EAD,PEDESTRIAN,Cross/Enter not at Intersection,UNKNOWN,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Unknown,FATAL INJURY,NONE,39.176967,-77.2383821,"(39.176967, -77.2383821)"
HA2399000Q,16001370,Maryland-National Capital,Injury Crash,11/07/2016 08:02:00 AM,Government,LITTLE FALLS PKWY,County,ARLINGTON RD,,N/A,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,N/A,N/A,N/A,50EFC924-A225-4E7D-AE18-2A925649BED9,BICYCLIST,Cross/Enter at Intersection,N/A,AT INTERSECTION MARKED CROSSWALK,N/A,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,MC/BIKE HELMET,38.97335842,-77.1013239,"(38.97335842, -77.1013239)"
MCP2134000L,16010777,MONTGOMERY,Fatal Crash,03/04/2016 07:55:00 AM,County,E RANDOLPH RD,County,WITHAN DR,,N/A,PEDESTRIAN,OTHER,N/A,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,UNKNOWN,4B7B9650-F435-4269-B4B9-090FFE01F17B,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,Unknown,FATAL INJURY,N/A,39.06569359,-76.9736588,"(39.06569359, -76.9736588)"
MCP29170049,190022554,Montgomery County Police,Injury Crash,05/13/2019 03:14:00 PM,County,IRIS ST,County,MAGELLAN AVE,,N/A,PEDESTRIAN,OTHER,RAINING,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,9742EAD3-85E0-493C-ACFF-40EC27533BEA,PEDESTRIAN,Other,DART DASH,ON ROADWAY NOT AT CROSSWALK,UNKNOWN,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.07511,-77.09338167,"(39.07511, -77.09338167)"
MCP3007002F,170535765,Montgomery County Police,Injury Crash,10/10/2017 08:15:00 AM,County,BEL PRE RD,Maryland (State),GEORGIA AVE,,N/A,PEDESTRIAN,SINGLE VEHICLE,N/A,DRY,DAYLIGHT,N/A,N/A,N/A,00F23021-79CB-4733-A375-A2D832DE66C1,PEDESTRIAN,Cross/Enter not at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,UNKNOWN,Yes,SUSPECTED MINOR INJURY,NONE,39.09347325,-77.07867265,"(39.09347325, -77.07867265)"
MCP271700BX,170505676,Montgomery County Police,Injury Crash,05/03/2017 01:20:00 PM,County,ELM ST,Maryland (State),WISCONSIN AVE,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,1AB604B0-C6AB-4BCE-9C7B-2BE431077056,PEDESTRIAN,Cross/Enter at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY AT CROSSWALK,OTHER,MIXED CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,38.98229883,-77.09302983,"(38.98229883, -77.09302983)"
MCP2504003S,190001829,Montgomery County Police,Injury Crash,01/11/2019 06:03:00 PM,County,GLEN MILL RD,County,DARNESTOWN RD,,N/A,BICYCLIST,SAME DIRECTION RIGHT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,UNKNOWN,NONE DETECTED,C6BCB9CC-1274-4649-85FE-E25CABA29793,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No,POSSIBLE INJURY,NONE,39.09224667,-77.194515,"(39.09224667, -77.194515)"
MCP3022000R,17510254,Montgomery County Police,Property Damage Crash,05/27/2017 04:45:00 PM,,,,,PARKING LOT OF 19900 BLOCK OF CENTURY BLVD,,PEDESTRIAN,OTHER,CLEAR,,DAYLIGHT,STOP SIGN,N/A,N/A,DE111010-87A4-402B-AD00-5AF6F7A5E5BF,PEDESTRIAN,Unknown,UNKNOWN,AT INTERSECTION BUT NO CROSSWALK,N/A,N/A,Unknown,NO APPARENT INJURY,N/A,39.18317167,-77.26259167,"(39.18317167, -77.26259167)"
DD5582000Z,16027886,Rockville Police Departme,Property Damage Crash,06/03/2016 09:35:00 PM,,,,,ENTRANCE/EXIT FROM CONGRESSIONAL NORTH PLAZA,,PEDESTRIAN,OTHER,CLOUDY,,DARK LIGHTS ON,NO CONTROLS,N/A,N/A,A5638D90-0743-4421-9C20-15D55FA39A87,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,DRIVEWAY ACCESS MARKED CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,NO APPARENT INJURY,NONE,39.06377,-77.12707167,"(39.06377, -77.12707167)"
EJ7857001R,170534764,Gaithersburg Police Depar,Injury Crash,10/04/2017 05:18:00 PM,Maryland (State),W DIAMOND AVE,Ramp,RAMP 7 FR MD 117 WB TO RAMP 6 (TO IS270),,N/A,BICYCLIST,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,OTHER,NONE DETECTED,NONE DETECTED,F8341DA4-9D08-4E9C-BCEE-C7EA836AD1B2,BICYCLIST,Other,N/A,OTHER,OTHER,DARK CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.14052333,-77.21426,"(39.14052333, -77.21426)"
MCP2348003S,180025738,Montgomery County Police,Injury Crash,05/25/2018 04:33:00 PM,Maryland (State),VEIRS MILL RD,Unknown,SPUR TO MD 193,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,AC2645B4-5207-4099-9429-06580CB16D90,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes,SUSPECTED MINOR INJURY,N/A,39.040785,-77.057075,"(39.040785, -77.057075)"
MCP27470011,15007153,Montgomery County Police,Injury Crash,02/12/2015 03:29:00 PM,,,,,Parking lot of 141-1 Georgia Ave,,PEDESTRIAN,OTHER,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,C005B639-5550-45DD-A521-3651D3331D46,PEDESTRIAN,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,SIDEWALK,NO PED. SIGNAL,DARK CLOTHING,,SUSPECTED MINOR INJURY,N/A,39.08538333,-77.07814667,"(39.08538333, -77.07814667)"
MCP2720002P,17011450,Montgomery County Police,Injury Crash,03/05/2017 02:48:00 AM,County,WINDMILL LA,County,ROSSITER CT,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DARK -- UNKNOWN LIGHTING,NO CONTROLS,UNKNOWN,NONE DETECTED,7D14A6BC-F8DA-4650-A86B-09BCFF7DEC8B,PEDESTRIAN,Other,NO IMPROPER ACTIONS,SHOULDER,N/A,N/A,No,SUSPECTED MINOR INJURY,NONE,39.09209167,-77.06885333,"(39.09209167, -77.06885333)"
MCP3004001P,170518567,Montgomery County Police,Property Damage Crash,07/11/2017 09:19:00 PM,Municipality,ROSEMARY ST #2,Maryland (State),CONNECTICUT AVE,,N/A,BICYCLIST,OTHER,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,UNKNOWN,NONE DETECTED,D72A766C-5E81-4AB6-B02D-3AF84C7106C9,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No,NO APPARENT INJURY,NONE,38.97785721,-77.07724303,"(38.97785721, -77.07724303)"
DD5617001M,180027101,Rockville Police Departme,Injury Crash,06/02/2018 03:13:00 AM,Municipality,FALLSGROVE DR,Maryland (State),W MONTGOMERY AVE,,N/A,OTHER,SAME DIRECTION SIDESWIPE,RAINING,WET,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,N/A,E0D3A0BA-39EF-43C0-A7F0-D52678573841,OTHER,N/A,N/A,N/A,N/A,N/A,No,NO APPARENT INJURY,N/A,39.09979305,-77.18738794,"(39.09979305, -77.18738794)"
MCP91100010,170528191,Montgomery County Police,Injury Crash,09/01/2017 04:46:00 PM,Maryland (State),CLOPPER RD,Other Public Roadway,VILLAGE FOUNTAIN DR,,N/A,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,256442B3-68A6-412F-9DD0-BA131151FF5D,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,Yes,SUSPECTED SERIOUS INJURY,N/A,39.1608614,-77.27916107,"(39.1608614, -77.27916107)"
MCP2664003L,170525978,Montgomery County Police,Injury Crash,08/21/2017 09:30:00 AM,Maryland (State),UNIVERSITY BLVD W,County,DENNIS AVE,,N/A,PEDESTRIAN,SINGLE VEHICLE,N/A,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,492A875C-0792-4DB5-B622-F9365D45F730,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.02660333,-77.02022,"(39.02660333, -77.02022)"
