LOCATION,DATES,CLOSURE TYPE,PURPOSE,HOTLINE
43RD AVE & DOBBINS RD,03-30-2020 - 06/15/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
43RD AVE & DOBBINS RD,03-30-2020 - 06/15/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
43RD AVE & DOBBINS RD,03-30-2020 - 06/15/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
43RD AVE & DOBBINS RD,03-30-2020 - 06/15/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
43RD AVE & DOBBINS RD,03-30-2020 - 06/15/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
43RD AVE & CACTUS RD,03-30-2020 - 06/20/2020,PARTIAL,UTILITY WORK,602-441-9400
43RD AVE & CACTUS RD,03-30-2020 - 06/20/2020,PARTIAL,UTILITY WORK,602-441-9400
43RD AVE & CACTUS RD,03-30-2020 - 06/20/2020,PARTIAL,UTILITY WORK,602-441-9400
48TH ST & PIEDMONT RD,04-22-2020 - 06/22/2020,PARTIAL,STREET TRANSPORTATION WORK,623-825-3444
ELLIOT RD & 51ST ST,04-24-2020 - 06/24/2020,PARTIAL,STREET TRANSPORTATION WORK,623-825-3444
64TH ST & MAYO BLVD,01-01-2020 - 06/30/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
DESERT FOOTHILLS PKWY & CHANDLER BLVD,05-01-2020 - 07/01/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
VINEYARD RD & 40TH ST,05-05-2020 - 07/05/2020,PARTIAL,STREET TRANSPORTATION WORK,623-825-3444
75TH AVE & ROOSEVELT ST,05-10-2020 - 07/10/2020,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
VAN BUREN ST & 43RD AVE,05-11-2020 - 07/11/2020,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
3RD AVE & ROOSEVELT ST,04-23-2020 - 07/23/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
23RD AVE & ROSE GARDEN LN,04-09-2020 - 08/23/2020,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
19TH AVE & ROSE GARDEN LN,04-09-2020 - 08/23/2020,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
34TH WAY & BELL RD,04-09-2020 - 08/23/2020,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
40TH ST & BELL RD,04-09-2020 - 08/23/2020,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
1ST AVE & WASHINGTON ST,03-09-2020 - 08/28/2020,PARTIAL,LIGHT RAIL,NOT APPLICABLE
