Major PIN,Contract Number,Region,Project Title,Project Description,Status,In/Future Development Start Date,Bid Opening Date,Construction Start Date,Construction End Date,Construction Amount,Federal Funding,State Funding,Local Funding,Type of Work,Public Friendly Description,Contract Award Date,Contract Award Amount,Approved Cost Changes,Current Award Amount,Estimated or Actual Completed Date,Schedule Performance,Cost Performance
360310,,03 CENTRAL NEW YORK,"MBC - RT 5, THOMPSON RD TO RT 92, TOWN OF DEWITT","MbC - Route 5 (Erie Blvd), Thompson Road to Route 92, Town of Dewitt, Onondaga County",Future Development,,Spring 2021,Spring 2021,Fall 2021,3300000.00,Yes,Yes,No,This project involves repaving roads using a single overlay of pavement.,"This project will remove and replace the top 1.5 inches of asphalt surface in both directions of Route 5 from Thompson Road to Route 92 in the Town of DeWitt, a distance of approximately 1.8 miles. Traffic will be maintained on-site using daily lane closu",,,,,,,
360311,D263337,03 CENTRAL NEW YORK,MBC - RT 104; CITY OF OSWEGO WEST LINE TO EAST 13TH ST,"COLD MILLING AND PAVEMENT RESURFACING MBC - ROUTE 104; CITY OF OSWEGO WEST LINE TO EAST 13TH STREET, CITY OF OSWEGO, OSWEGO COUNTY, PREVENTIVE MAINTENANCE EXTEND SERVICE LIFE OF PAVEMENT",Completed Project,Spring 2015,02/22/2018,,,,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project will remove and replace the top 1.5 inches of asphalt surface in both directions of NY 104 from the west city of Oswego line to East 13th Street, a distance of 2.6 miles. Traffic will be maintained on-site using daily lane closures.",03/19/2018,2545610,343944,2889554,10/30/2019,RED,RED
360313,,03 CENTRAL NEW YORK,MBC - RT 49; VILLAGE OF CENTRAL SQUARE WEST LINE TO CR 12,"MbC Route 49; Village of Central Square West Line to County Route 12, Village of Central Square, Oswego County",Future Development,,Fall 2030,Winter 2030/2031,Winter 2030/2031,200000.00,Yes,Yes,No,This project involves repaving roads using a single overlay of pavement.,"This project will remove and replace the top 1.5 inches of asphalt surface in both directions of Route 49 from the western Village of Central Square line to County Route 12, a distance of just under 0.5 miles. Traffic will be maintained on-site using dail",,,,,,,
360314,,03 CENTRAL NEW YORK,MBC - RT 11; VILLAGE OF PULASKI SOUTH LINE TO NORTH LINE,"PAVEMENT RESURFACING MBC - ROUTE 11, VILLAGE OF PULASKI SOUTH LINE TO NORTH LINE, VILLAGE OF PULASKI, OSWEGO COUNTY, PREVENTIVE MAINTENANCE EXTEND SERVICE LIFE OF PAVEMENT",Future Development,,Fall 2030,Winter 2030/2031,Fall 2031,700000.00,Yes,Yes,No,This project involves repaving roads using a single overlay of pavement.,"This project will remove and replace the top 1.5 inches of asphalt surface in both directions of Route 11 from the south Village of Pulaski line to the North Village of Pulaski line, a distance of approximately 1.3 miles. Traffic will be maintained on-sit",,,,,,,
360355,,03 CENTRAL NEW YORK,"VPP/CIPR RT 80, RT 20 TO VESPER, ONONDAGA COUNTY","VPP/CIPR ROUTE 80, ROUTE 20 TO VESPER, TOWNS OF ONONDAGA, OTISCO AND TULLY, ONONDAGA COUNTY",Future Development,,Fall 2019,Winter 2019/2020,Fall 2020,2000000.00,No,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,This project will address pavement cracking by performing a recycling of the exitsing asphalt surface and applying a new top layer of asphalt. This will restore the pavement to a good condition and extend the service life of the road. Work will take place,,,,,,,
360363,,03 CENTRAL NEW YORK,"VPP/MILL RT 34, RT 370 TO OSWEGO CO LINE","VPP/MILL ROUTE 34, ROUTE 370 TO OSWEGO COUNTY LINE, TOWN OF IRA, TOWN AND VILLAGE OF CATO, CAYUGA COUNTY",Future Development,,Winter 2018/2019,Spring 2019,Fall 2019,1000000.00,Yes,Yes,No,This project involves repaving roads using a single overlay of pavement.,"This project will remove and replace the top 1-1/2 inches of asphalt on Route 34 from Route 370 to the Oswego County line, a distance of 6 miles in the Towns of Ira and Cato and the Village of Cato in Cayuga County.",,,,,,,
360365,,03 CENTRAL NEW YORK,"VPP/T&L RT 34B, TOMPKINS CO LINE TO RT 90","VPP/T&L ROUTE 34B, TOMPKINS COUNTY LINE TO ROUTE 90, TOWN OF GENOA, CAYUGA COUNTY",Future Development,,Fall 2030,Winter 2030/2031,Spring 2031,700000.00,Yes,Yes,No,This project involves repaving roads using a single overlay of pavement.,"This project will true and level the existing surface then place 1-1/2 inches of new asphalt on Route34B from the Tompkins County Line to Route 90, a distance of approximately 2.7 miles in the Town of Genoa, Cayuga County.",,,,,,,
360370,,03 CENTRAL NEW YORK,"MBC RT 11, I-81 MATTYDALE OVAL TO TAFT RD","MbC  ROUTE 11, I-81 MATTYDALE OVAL TO TAFT ROAD, TOWNS OF CLAY AND SALINA, ONONDAGA COUNTY",Future Development,,Fall 2030,Winter 2030/2031,Spring 2031,700000.00,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project will remove and replace the top 1-1/2 inches of asphalt on Route 11 from the I-81 Mattydale oval to Taft Road, a distance of just under 1 mile in the Towns of Clay and Salina, Onondaga County.",,,,,,,
360371,,03 CENTRAL NEW YORK,"VPP/MILL RT 20, RT 11A TO POMPEY TOWN LINE","VPP/MILL ROUTE 20, ROUTE 11A TO POMPEY TOWN LINE, TOWN OF LAFAYETTE, ONONDAGA COUNTY",Future Development,,Fall 2019,Winter 2019/2020,Fall 2020,1800000.00,Yes,Yes,No,This project involves repaving roads using a single overlay of pavement.,"This project will remove and replace the top 1-1/2 inches of asphalt on Route 20 from Route 11A to the Pompey Town line, a distance of 6 miles in the Town of Lafayette, Onondaga County.",,,,,,,
360372,,03 CENTRAL NEW YORK,"VPP/CIPR RT 11A, RT 80 TO THE ONONDAGA NATION","VPP/CIPR ROUTE 11A, ROUTE 80 TO THE ONONDAGA NATION, TOWNS OF LAFAYETTE AND TULLY, ONONDAGA COUNTY",In Development,,Spring 2019,Summer 2019,Fall 2019,2700000.00,No,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,This project will address pavement cracking by performing a recycling of the existing asphalt surface and applying a new top layer of asphalt. This will restore the pavement to a good condition and extend the service life of the road. Work will take place,,,,,,,
360376,,03 CENTRAL NEW YORK,"VPP/MILL RT 69, RT 17A TO ONEIDA CO LINE, OSWEGO COUNTY","VPP/MILL ROUTE 69, ROUTE 17A TO ONEIDA COUNTY LINE, TOWN OF  AMBOY, OSWEGO COUNTY",Future Development,,Fall 2019,Winter 2019/2020,Fall 2020,600000.00,No,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project will remove and replace the top 1-1/2 inches of asphalt on Route 69 from County Route 17A to the Oneida County line, a distance of over 3.5 miles in the Town of Amboy, Oswego County.",,,,,,,
360377,,03 CENTRAL NEW YORK,"VPP/CIPR RT 11, HEALTH CAMP RD TO ONONDAGA CO LINE","VPP/CIPR ROUTE 11, HEALTH CAMP ROAD TO ONONDAGA COUNTY LINE, TOWNS OF HOMER AND PREBLE, CORTLAND COUNTY",In Development,,Spring 2019,Summer 2019,Fall 2019,2400000.00,No,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,This project will address pavement cracking by performing a recycling of the existing asphalt surface and applying a new top layer of asphalt. This will restore the pavement to a good condition and extend the service life of the road. Work will take place,,,,,,,
360379,,03 CENTRAL NEW YORK,"MBC RT 366, ITHACA CITY LINE TO RT 13/366 INTERSECTION","MBC ROUTE 366, ITHACA CITY LINE TO 13/366 INTERSECTION, TOWNS OF ITHACA AND DRYDEN, TOMPKINS COUNTY",In Development,Fall 2016,Winter 2021/2022,Spring 2022,Summer 2023,5000000.00,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project will remove and replace the top 1-1/2 inches of asphalt on Route 366 from the City of Ithaca to the Route 13 interchange, a distance of 3.8 miles in the towns of Ithaca and Dryden in Tompkins County.",,,,,,,
360380,,03 CENTRAL NEW YORK,"VPP/CIPR RT 366, RT 13 TO VILLAGE OF FREEVILLE","VPP/CIPR ROUTE 366, ROUTE 13 TO VILLAGE OF FREEVILLE LINE,  TOWN OF DRYDEN, TOMPKINS COUNTY",In Development,,Spring 2019,Summer 2019,Fall 2019,900000.00,No,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,This project will address pavement cracking by performing a recycling of the existing asphalt surface and applying a new top layer of asphalt. This will restore the pavement to a good condition and extend the service life of the road. Work will take place,,,,,,,
360392,,03 CENTRAL NEW YORK,"VPP/CIPR RT 176, RT 370 TO OSWEGO COUNTY LINE, CAYUGA COUNTY","VPP/CIPR RT 176, RT 370 TO OSWEGO COUNTY LINE, TOWNS OF IRA AND CATO, CAYUGA COUNTY",Future Development,,Winter 2018/2019,Spring 2019,Fall 2019,1800000.00,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,This project will address pavement cracking by performing a recycling of the existing asphalt surface and applying a new top layer of asphalt. This will restore the pavement to a good condition and extend the service life of the road. Work will take place,,,,,,,
360393,,03 CENTRAL NEW YORK,"VPP/MILL RT 49, HATCHERY RD TO ONEIDA CO LINE, OSWEGO CO","VPP/MILL RT 49, HATCHERY RD TO ONEIDA CO LINE, TOWN OF CONSTANTIA, VILLAGE OF CLEVELAND, OSWEGO COUNTY",Future Development,,Winter 2018/2019,Spring 2019,Fall 2019,900000.00,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project will remove and replace the top 1-1/2 inches of asphalt on Route 49 from Hatchery Road to the Oneida County line, a distance of over 6.5 miles in the Town of Constantia and Village of Cleveland, Oswego County.",,,,,,,
360394,,03 CENTRAL NEW YORK,"VPP/MILL RT 48, BROWN ST TO OSWEGO COUNTY LINE, ONONDAGA CO","VPP/MILL RT 48, BROWN ST IN VILLAGE OF BALDWINSVILLE TO OSWEGO COUNTY LINE, TOWN OF LYSANDER, VILLAGE OF BALDWINSVILLE, ONONDAGA COUNTY",Future Development,,Winter 2018/2019,Spring 2019,Fall 2019,800000.00,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project will remove and replace the top 1-1/2 inches of asphalt on Route 48, from Brown Street in the Village of Baldwinsville to the Oswego County Line, a distance of approximately 5 miles in the Town of Lysander and Village of Baldwinsville, Ononda",,,,,,,
360395,,03 CENTRAL NEW YORK,"VPP/MILL RT 34, MOSHER RD TO AUBURN CITY LINE, CAYUGA COUNTY","VPP/MILL RT 34, MOSHER RD (RM 1152) TO AUBURN CITY LINE, TOWNS OF SCIPIO AND FLEMING, CAYUGA COUNTY",Future Development,,Winter 2018/2019,Spring 2019,Fall 2019,1300000.00,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project will remove and replace the top 1-1/2 inches of asphalt on Route 34 from Mosher Road to the Auburn City line, a distance of 6.3 miles in the Towns of Scipio and Fleming, Cayuga County.",,,,,,,
360396,,03 CENTRAL NEW YORK,"VPP/MILL RT 41A, RT 41 TO CAYUGA COUNTY LINE, CORTLAND CO","VPP/MILL RT 41A, RT 41 TO CAYUGA COUNTY LINE, TOWN OF HOMER, CORTLAND COUNTY",Future Development,,Winter 2018/2019,Spring 2019,Fall 2019,470000.00,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project will remove and replace the top 1.5 inches of asphalt on Route 41A from Route 41 to the Cayuga County line, a distance of 2.8 miles in the Town of Homer, Cortland County.",,,,,,,
360397,,03 CENTRAL NEW YORK,"VPP/MILL RT 41A, CORTLAND CO LINE TO REYNOLDS RD, CAYUGA CO","VPP/MILL RT 41A, CORTLAND COUNTY LINE TO REYNOLDS ROAD, TOWNS OF SEMPRONIUS AND SUMMERHILL, CAYUGA COUNTY",Future Development,,Fall 2019,Winter 2019/2020,Fall 2020,1100000.00,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project will remove and replace the top 1.5 inches of asphalt on Route 41A from the Cortland County line to Reynolds Road, a distance of approximately 7 miles in the Towns of Sempronius and Summerhill, Cayuga County.",,,,,,,
360398,,03 CENTRAL NEW YORK,"VPP/MILL RT 90, RT 34B KING FERRY TO AURORA RM 1273","VPP/MILL ROUTE 90, ROUTE 34B KING FERRY TO AURORA RM 1273, TOWNS OF GENOA AND LEDYARD, VILLAGE OF AURORA, CAYUGA COUNTY",Future Development,,Fall 2019,Winter 2019/2020,Fall 2020,1100000.00,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project will remove and replace the top 1.5 inches of asphalt on Route 90 from Route 34B in King Ferry to the Village of Aurora, a distance of over 7 miles in the Towns of Genoa and Ledyard and Village of Aurora, Cayuga County",,,,,,,
360399,,03 CENTRAL NEW YORK,"VPP/MILL RT 96, HALLS CORNER RD TO OVID, SENECA COUNTY","VPP/MILL ROUTE 96, HALLS CORNER ROAD TO OVID, TOWNS OF COVERT, OVID AND ROMULUS, VILLAGES OF INTERLAKEN AND OVID, SENECA COUNTY",Future Development,,Fall 2019,Winter 2019/2020,Summer 2020,1600000.00,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project will remove and replace the top 1.5 inches of asphalt on Route 96 from Halls Corner Road to Ovid, a distance of over 10.5 miles in the Towns of Covert, Ovid and Romulus and the Villages of Interlaken and Ovid, Seneca County.",,,,,,,
360400,,03 CENTRAL NEW YORK,"VPP/CIPR RT 80, OTISCO TOWN LINE TO RT 11/281","VPP/CIPR RT 80, OTISCO TOWN LINE TO RT 11/281, TOWN OF TULLY, ONONDAGA COUNTY",In Development,,Spring 2019,Summer 2019,Fall 2019,1300000.00,No,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,This project will address pavement cracking by performing a recycling of the existing asphalt surface and applying a new top layer of asphalt. This will restore the pavement to a good condition and extend the service life of the road. Work will take place,,,,,,,
360401,,03 CENTRAL NEW YORK,"VPP/MILL RT 49, RT 264 TO RT 11 RM 2140","VPP/MILL RT 49, RT 264 TO RT 11 RM 2140, TOWNS OF PALERMO, SCHROEPPEL AND HASTINGS, VILLAGE OF CENTRAL SQUARE, OSWEGO COUNTY",In Development,,Spring 2019,Summer 2019,Fall 2019,1100000.00,No,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project will remove and replace the top 1.5 inches of asphalt on Route 49 from Route 264 to Route 11, a distance of just under 8 miles in the Towns of Palermo, Schroeppel and Hastings and the Village of Central Square, in Oswego County.",,,,,,,
360402,,03 CENTRAL NEW YORK,"VPP/MILL RT 38 AND RT 437, CAYUGA COUNTY","VPP/MILL RT 38 AND RT 437, RT 38 FROM N OF WYCKOFF RD RM 1187 TO AUBURN CITY LINE AND ENTIRE LENGTH OF RT 437, TOWNS OF FLEMING AND OWASCO, CAYUGA COUNTY",In Development,,Spring 2019,Summer 2019,Fall 2019,1200000.00,No,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project will remove and replace the top 1.5 inches of asphalt on Route 38 from North of Wyckoff Road to the Auburn city line and the entire length of Route 437. This project covers a distance of over 5 miles in the Towns of Fleming and Owasco, Cayuga",,,,,,,
360403,,03 CENTRAL NEW YORK,"VPP/CIPR RT 91, ONONDAGA CO LINE TO RT 13, CORTLAND CO","VPP/CIPR RT 91, RT 13 TO THE ONONDAGA COUNTY LINE , TOWN OF TRUXTON, CORTLAND COUNTY",In Development,,Spring 2019,Summer 2019,Fall 2019,1500000.00,No,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,This project will address pavement cracking by performing a recycling of the existing asphalt surface and applying a new top layer of asphalt. This will restore the pavement to a good condition and extend the service life of the road. Work will take place,,,,,,,
360404,,03 CENTRAL NEW YORK,"VPP/MILL RT 321, RT 20 SKANEATELES TO KINGSTON RD, ONON CO","VPP/MILL RT 321, RT 20 SKANEATELES TO KINGSTON RD, TOWNS OF SKANEATELES AND ELBRIDGE, VILLAGE OF SKANEATELES, ONONDAGA COUNTY",In Development,,Spring 2019,Summer 2019,Fall 2019,800000.00,No,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project will remove and replace the top 1.5 inches of asphalt on Route 321 from Route 20 in the Village of Skaneateles to Kingston Road, a distance of 4.7 miles in the Town and Village of Skaneateles and the Town of Elbridge, Onondaga County.",,,,,,,
380286,,03 CENTRAL NEW YORK,"MBC- RT 49, CO RT 37 TO FISH HATCHERY RD, OSWEGO CO.","MBC-  ROUTE 49 FROM COUNTY ROUTE 37 TO HATCHERY RD,  TOWNS OF CONSTANTIA AND WEST MONROE, OSWEGO COUNTY",Future Development,,Spring 2030,Spring 2030,Spring 2031,1000000.00,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project will mill and resurface 1.5 inches of asphalt to improve pavement integrity and rideability on Route 49 from County Route 37 to Fish Hatchery Road in the Towns of West Monroe and Constantia, Oswego County.",,,,,,,
380424,,03 CENTRAL NEW YORK,"BRIDGE PAINTING PROJECT, CORTLAND COUNTY","BRIDGE PAINTING PROJECT, CORTLAND COUNTY, CYCLICAL HIGHWAY MAINTENANCE TO  EXTEND SERVICE LIFE.",Future Development,,Spring 2023,Spring 2023,Fall 2023,2000000.00,Yes,Yes,No,This project involves bridge painting to protect bridges from the elements.,This project will preserve the remaining life of steel bridges by removing any rust and painting them. Work will take place on bridges on State routes in Central New York.,,,,,,,
380426,,03 CENTRAL NEW YORK,"REGIONAL BRIDGE PAINTING PROJECT, CAYUGA AND SENECA CO","REGIONAL BRIDGE PAINTING PROJECT, CAYUGA AND SENECA COUNTIES,  CYCLICAL HIGHWAY MAINTENANCE TO  EXTEND SERVICE LIFE.",Future Development,,Summer 2021,Fall 2021,Fall 2022,2000000.00,Yes,Yes,No,This project involves bridge painting to protect bridges from the elements.,This project will preserve the remaining life of steel bridges by removing any rust and painting them. Work will take place on bridges on State routes in Cayuga and Seneca Counties.,,,,,,,
380429,,03 CENTRAL NEW YORK,"BRIDGE PAINTING PROJECT, ONONDAGA COUNTY","BRIDGE PAINTING PROJECT, ONONDAGA COUNTY CYCLICAL HIGHWAY MAINTENANCE TO  EXTEND SERVICE LIFE.",Future Development,,Spring 2022,Spring 2022,Fall 2022,1900000.00,Yes,Yes,No,This project involves bridge painting to protect bridges from the elements.,This project will preserve the remaining life of steel bridges by removing any rust and painting them. Work will take place on bridges on State routes in Onondaga County.,,,,,,,
380430,,03 CENTRAL NEW YORK,"BRIDGE PAINTING PROJECT, OSWEGO COUNTY","BRIDGE PAINTING PROJECT, OSWEGO COUNTY CYCLICAL HIGHWAY MAINTENANCE TO  EXTEND SERVICE LIFE.",Future Development,,Fall 2024,Winter 2024/2025,Fall 2025,2000000.00,Yes,Yes,No,This project involves bridge painting to protect bridges from the elements.,This project will preserve the remaining life of steel bridges by removing any rust and painting them. Work will take place on bridges on State routes in Oswego County.,,,,,,,
380431,,03 CENTRAL NEW YORK,GUIDE RAIL REPLACEMENT PROJECT I-690,"GUIDE RAIL REPLACEMENT PROJECT, I-690 FROM I-481 TO THE THRUWAY, ONONDAGA COUNTY",Future Development,,Winter 2023/2024,Winter 2023/2024,Summer 2024,1100000.00,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"This project involves the repair, replacement and installation of guide rail at various locations along State highways in Central New York.",,,,,,,
380432,,03 CENTRAL NEW YORK,WHERE AND WHEN BRIDGE REPAIR PROJECT,"WHERE AND WHEN BRIDGE REPAIR PROJECT, VARIOUS LOCATIONS, CAYUGA, SENECA, OSWEGO, ONONDAGA, CORTLAND AND TOMPKINS COUNTIES",Future Development,,Fall 2022,Winter 2022/2023,Spring 2023,2000000.00,No,Yes,No,This project involves emergency bridge repairs.,"This is a ""where and when"" type of project. It provides a mechanism to have a bridge repair contractor available to a site on very short notice. The contractor would provide repairs to bridges that are beyond the capabilities of NYSDOT bridge repair crews",,,,,,,
380433,,03 CENTRAL NEW YORK,WHERE AND WHEN BRIDGE REPAIR PROJECT,"WHERE AND WHEN BRIDGE REPAIR PROJECT, VARIOUS LOCATIONS, CAYUGA, SENECA, OSWEGO, ONONDAGA, CORTLAND AND TOMPKINS COUNTIES",Future Development,,Fall 2024,Winter 2024/2025,Fall 2026,2000000.00,No,Yes,No,This project involves emergency bridge repairs.,"This is a ""where and when"" type of project. It provides a mechanism to have a bridge repair contractor available to a site on very short notice. The contractor would provide repairs to bridges that are beyond the capabilities of NYSDOT bridge repair crews",,,,,,,
380501,,03 CENTRAL NEW YORK,REGIONAL BRIDGE DECK AND JOINT REPAIR PROJECT,"REGIONAL BRIDGE DECK AND JOINT REPAIR PROJECT - PREVENTATIVE MAINTENANCE OF BRIDGES TO EXTEND SERVICE LIFE, CAYUGA, CORTLAND, ONONDAGA, OSWEGO, SENECA AND TOMPKINS COUNTIES",Future Development,,Fall 2030,Winter 2030/2031,Fall 2031,1500000.00,Yes,Yes,No,This project involves general bridge repairs.,This project will repair or replace deficient or damaged bridge joints to minimize water leakage at the joints to extend the service life and preserve bridge decks by either sealing the surface or by applying a thin overlay on state owned bridges in Cayug,,,,,,,
380502,,03 CENTRAL NEW YORK,REGIONAL BRIDGE DECK AND JOINT REPAIR PROJECT,"REGIONAL BRIDGE DECK AND JOINT REPAIR PROJECT - PREVENTATIVE MAINTENANCE OF BRIDGES TO EXTEND SERVICE LIFE, CAYUGA, CORTLAND,  OSWEGO AND SENECA COUNTIES",Future Development,,Fall 2024,Winter 2024/2025,Fall 2025,1500000.00,Yes,Yes,No,This project involves general bridge repairs.,This project will repair or replace deficient or damaged bridge joints to minimize water leakage at the joints to extend the service life and preserve bridge decks by either sealing the surface or by applying a thin overlay on state owned bridges in Cayug,,,,,,,
380507,,03 CENTRAL NEW YORK,RETAINING WALL PROJECT ONONDAGA COUNTY,"RETAINING WALL PROJECT, RT 174, ONONDAGA  COUNTY, PREVENTIVE MAINTENENCE TO BRING TO A STATE OF GOOD REPAIR",Future Development,,Fall 2030,Winter 2030/2031,Fall 2031,1000000.00,Yes,Yes,No,This project involves the building of retaining walls to protect traffic.,This project involves the repair of highway retaining walls at various locations along State highways in Onondaga County.,,,,,,,
380518,,03 CENTRAL NEW YORK,"REGIONAL SIGNAL PROJECT CAYUGA, SENECA, CORTLAND & OSWEGO","REGIONAL SIGNAL PROJECT, MULTIPLE LOCATIONS ON FEDERAL AID SYSTEM, SAFETY IMPROVEMENTS, CAYUGA, CORTLAND, OSWEGO AND SENECA COUNTIES",Future Development,,Summer 2021,Fall 2021,Fall 2023,3000000.00,Yes,Yes,No,This project involves the installation or improvement of traffic signals.,"This project will install or rehabilitate traffic signals, controller boxes, pavement detection loops, signal poles and other traffic signal related equipment at locations in Cayuga, Cortland, Oswego and Seneca counties.",,,,,,,
380525,,03 CENTRAL NEW YORK,REGIONAL TREE REMOVAL PROJECT,REGIONAL TREE REMOVAL PROJECT,Future Development,,Fall 2030,Winter 2030/2031,Fall 2031,500000.00,Yes,Yes,No,This project involves the removal of brush and trees.,This project will cut down and remove trees and brush at various locations which represent a potential hazard along State highways in Central New York.,,,,,,,
380528,,03 CENTRAL NEW YORK,REGIONAL GROUND MOUNTED SIGN REPLACEMENT PROJECT,"REGIONAL GROUND MOUNTED SIGN REPLACEMENT PROJECT , VARIOUS LOCATIONS, CAYUGA, CORTLAND, ONONDAGA, OSWEGO, SENECA, AND TOMPKINS COUNTIES",Future Development,,Fall 2025,Winter 2025/2026,Fall 2021,500000.00,Yes,Yes,No,This project involves the installation and maintenance of traffic signs.,This project will replace deficient and non-standard roadside signs at various locations along State highways in Central New York.,,,,,,,
380531,,03 CENTRAL NEW YORK,"REGIONAL RETAINING WALL PROJECT, CAYUGA, CORTLAND & SENECA","REGIONAL RETAINING WALL PROJECT,  MULTIPLE LOCATIONS ON FEDERAL AID SYSTEM, CAYUGA, CORTLAND AND SENECA  COUNTIES, PREVENTIVE MAINTENENCE TO BRING TO A STATE OF GOOD REPAIR",Future Development,,Fall 2024,Winter 2024/2025,Fall 2025,1000000.00,Yes,Yes,No,This project involves the building of retaining walls to protect traffic.,This project involves the repair of highway retaining walls at various locations along State highways in Central New York.,,,,,,,
380534,,03 CENTRAL NEW YORK,REGIONAL GUIDE RAIL REPLACEMENT PROJECT,"REGIONAL GUIDE RAIL REPLACEMENT PROJECT, VARIOUS LOCATIONS",Future Development,,Fall 2030,Winter 2030/2031,Fall 2031,1000000.00,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"This project involves the repair, replacement and installation of guide rail at various locations along State highways in Central New York.",,,,,,,
380550,,03 CENTRAL NEW YORK,"GORHAM ST BR REMOVAL OVER CAYUGA-SENECA CANAL, SENECA CO","REMOVAL OF GORHAM ST BRIDGE OVER CAYUGA-SENECA CANAL, VILLAGE OF WATERLOO, SENECA CO",Future Development,,Fall 2030,Winter 2030/2031,Winter 2030/2031,500000.00,Yes,Yes,No,This project involves the removal of a bridge.,"This project involves the removal of the old Gorham Street bridge over the Cayuga-Seneca Canal in the Village of Waterloo, Seneca County.",,,,,,,
380553,,03 CENTRAL NEW YORK,LARGE CULVERT REHAB/REPLACEMENT PROJECT ONONDAGA CO,"LARGE CULVERT REHABILITATION/REPLACEMENT PROJECT, ONONDAGA AND OSWEGO COUNTIES",Future Development,,Spring 2024,Summer 2024,Fall 2024,2200000.00,Yes,Yes,No,This project involves the repair and replacement of culverts.,This project will rehabilitate and replace various large culverts and maintain and improve the overall highway drainage systems at these locations along State highways in Central New York.,,,,,,,
380555,D263625,03 CENTRAL NEW YORK,OVERHEAD SIGN STRUCTURE & PANEL REPAIR/REPLACE PROJECT,"OVERHEAD SIGN STRUCTURE & PANEL REPAIR/REPLACEMENT PROJECT RT 5, RT 695, I-81 AND I-690, TOWNS OF CAMILLUS, GEDDES AND SALINA, ONONDAGA COUNTY.  HIGHWAY SAFETY.",Completed Project,Winter 2007/2008,01/11/2018,,,,Yes,Yes,No,This project involves repair or replacement of overhead sign structures.,"This project will repair or replace structurally deficient overhead sign structures in Onondaga County. Work may address weld cracks, missing or loose bolts, corrosion, deteriorated footings and may include the repalcement of sign panels.",02/23/2018,1514902,-47668,1467233,05/21/2019,RED,GREEN
380561,,03 CENTRAL NEW YORK,OVERHEAD SIGN STRUCTURE & PANEL REPAIR/REPLACE PROJECT,"REGIONAL OVERHEAD SIGN STRUCTURE & PANEL REPAIR/REPLACEMENT PROJECT.  CAYUGA, CORTLAND, OSWEGO AND SENECA COUNTIES.  RECONSTRUCTION.  HIGHWAY SAFETY.",Future Development,,Fall 2025,Winter 2025/2026,Fall 2026,500000.00,Yes,Yes,No,This project involves repair or replacement of overhead sign structures.,"This project will repair or replace structurally deficient overhead sign structures in Cayuga, Cortland, Oswego and Seneca counties. Work may address weld cracks, missing or loose bolts, corrosion, deteriorated footings and may include the repalcement of ",,,,,,,
380562,,03 CENTRAL NEW YORK,RT 48 OVER TANNERY CREEK BRIDGE REPLACEMENT BIN 1026130,"RT 48 OVER TANNERY CREEK BRIDGE REPLACEMENT BIN 1026130, TOWN OF GRANBY, OSWEGO COUNTY, NEW STRUCTURE TO REPLACE DEFICIENT STRUCTURE",In Development,Fall 2017,Fall 2020,Winter 2020/2021,Spring 2021,3000000.00,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This project will replace the bridge carrying Route 48 over Tannery Creek in the Town of Granby, Oswego County.",,,,,,,
