the_geom,OBJECTID,SSTYPE,SSSTAT,PROJID
"MULTILINESTRING ((-90.038981610464 29.971866351273, -90.03896081354 29.971957559667, -90.038886782734 29.97221382323, -90.038877516902 29.97224589924, -90.03873511796 29.972715658506, -90.038677405346 29.972906046598))",594272,Sewer Line Repair (SSERP),Complete,RR166
"MULTILINESTRING ((-90.089370775457 29.94295252146, -90.089990932674 29.942604635307))",591804,Sewer Line Repair (SSERP),Complete,RR023
"MULTILINESTRING ((-90.123313901118 29.965000982523, -90.123475961127 29.965038994539, -90.124046381395 29.965141791075, -90.124576333429 29.965237571412))",590989,"Drainage Line, Sewer Line, and Water Line Replacement",Complete,DPW050
"MULTILINESTRING ((-90.066815451331 29.949295759142, -90.06692110589 29.948959659248, -90.066949564928 29.948858084969))",595104,Sewer Line Repair (SSERP),Complete,DPW195
"MULTILINESTRING ((-90.057629003907 29.994983737884, -90.056570044834 29.995037200645, -90.056495691444 29.995040488899))",592356,Sewer Line Repair (SSERP),Complete,RR051
"MULTILINESTRING ((-90.097699644055 29.918217335722, -90.097701103763 29.918240822752, -90.097704515125 29.918295730242, -90.097781905422 29.919047576421))",590311,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR036
"MULTILINESTRING ((-90.119744014502 29.9550880978, -90.11979414151 29.955128556569, -90.119804639618 29.955137030409, -90.120006112952 29.955299930869, -90.120081346442 29.955360760408, -90.120132412755 29.95540204874, -90.12022705325 29.955478570019, -90.120341752149 29.955571417875, -90.12052527803 29.955719980637))",589913,"Drainage Line, Sewer Line (ESSA), and Water Line Replacement",Complete,SELA24B
"MULTILINESTRING ((-90.096216606434 29.962797809342, -90.096328376329 29.962847832853, -90.09694340334 29.963131537692))",591642,Sewer Line Repair (SSERP),Planned,RR124
"MULTILINESTRING ((-89.994872697272 30.037343324146, -89.994899908512 30.037355256581, -89.994924450676 30.037370969973, -89.994945635818 30.037390026486, -89.994962870966 30.037411890163, -89.99499992829 30.037468543816, -89.995655107502 30.0385286022))",589099,Sewer Line Repair (SSERP),Planned,
"MULTILINESTRING ((-90.078804366829 29.966134584665, -90.079510482241 29.966530832861, -90.079640494072 29.966604408444))",591208,Sewer Line Repair (SSERP),Complete,RR182
"MULTILINESTRING ((-90.034395554582 29.965553052349, -90.034373084234 29.965635123813, -90.034344495383 29.965734136489, -90.034282893176 29.965947561628, -90.034281613766 29.965951993353, -90.034172836417 29.966328813958))",593535,Water Line Replacement (SWB)/Sewer Line Repair (SSERP),Planned,RR167
"MULTILINESTRING ((-90.10313639155 29.990453167768, -90.103233166546 29.990410280965, -90.103341253823 29.990367951936, -90.103742679009 29.990206236961))",588580,Sewer Line Replacement (ESSA),Complete,RR132
"MULTILINESTRING ((-90.079690957791 29.943441560964, -90.080203992581 29.94274853489))",591831,Sewer Line Repair (SSERP),Complete,RR022
"MULTILINESTRING ((-90.115775583367 29.972048839528, -90.115720255089 29.972099709032, -90.11510715705 29.972663396929, -90.115016484879 29.972754088125))",588966,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR017
"MULTILINESTRING ((-90.120290422443 29.967816482928, -90.121093870592 29.968470648748))",589283,"Drainage Line, Sewer Line (ESSA), and Water Line Replacement",Planned,RR065
"MULTILINESTRING ((-90.067948603402 29.949652298419, -90.067975662731 29.949562670375, -90.068064967248 29.949248046813, -90.068081178172 29.949199256939, -90.0681053154 29.949118960442))",595103,Sewer Line Repair (SSERP),Complete,DPW113
"MULTILINESTRING ((-90.089963584886 29.943744274966, -90.090315827961 29.944213290746, -90.090316131708 29.944213695951, -90.090340537554 29.94424619202, -90.09052006719 29.944485235171, -90.090572669165 29.944555274791))",591786,Sewer Line Repair (SSERP),Complete,RR023
"MULTILINESTRING ((-90.1355388082 29.949306264522, -90.13550443275 29.94933838025, -90.13505967244 29.949753890496, -90.134836650315 29.949962244207, -90.134743252968 29.950047397039))",589379,Sewer Line Repair (SSERP),Planned,
"MULTILINESTRING ((-90.084576270384 29.972823448972, -90.08467996662 29.972892781738, -90.085412895996 29.973394486195))",591231,Sewer Line Repair (SSERP),Planned,
"MULTILINESTRING ((-90.039046959552 29.978536675979, -90.038965084814 29.978807667701, -90.038890178197 29.979055567039))",593972,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.052035749833 30.025729166653, -90.051938262529 30.025735196702, -90.05107365836 30.025789360976, -90.050993473045 30.025795981029))",592163,Sewer Line Repair (SSERP),Complete,RR130
"MULTILINESTRING ((-90.014613554573 29.958562164367, -90.014520562405 29.958541967027, -90.01385312207 29.95838865874, -90.013757764609 29.958358129134))",594172,Sewer Line Repair (SSERP),Complete,PWF129
"MULTILINESTRING ((-90.091223266228 29.965373805041, -90.09171294674 29.964836881906, -90.09194552793 29.964576545706, -90.091986831909 29.964528861156))",591603,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",Planned,DPW458
"MULTILINESTRING ((-90.070922604361 29.952727174274, -90.07096410863 29.952663096518, -90.070983098019 29.952618911608, -90.071015881 29.952531226382, -90.07118746282 29.952058250628, -90.071219246238 29.951960274026))",592083,Water Line Replacement (FEMA)/Sewer Line Repair (SSERP),Complete,DPW023
"MULTILINESTRING ((-90.10205524736 29.927575151568, -90.102150245498 29.928544098608))",592975,"Drainage Line, Sewer Line, and Water Line Replacement",Complete,SELA23
"MULTILINESTRING ((-90.042370858624 29.973742857789, -90.042350306242 29.973822424041, -90.042243150482 29.97419120157, -90.042222747971 29.974256533))",594261,Sewer Line Repair (SSERP),Planned,RR166
"MULTILINESTRING ((-90.120072913761 29.962370727348, -90.119745225134 29.96266926204, -90.11940068373 29.96299638968, -90.11930816779 29.963083040156))",589518,Sewer Line Repair (SSERP),Planned,RR099
"MULTILINESTRING ((-90.073219594916 29.994027991071, -90.072325458902 29.994083723048, -90.072045276867 29.99410091641))",588598,Sewer Line Repair (SSERP),Complete,RR031
"MULTILINESTRING ((-90.121371109754 29.956797720721, -90.121430290764 29.956845921176, -90.121580281934 29.956968223044, -90.121853504976 29.957191006653, -90.122235645069 29.957501478811))",589586,"Drainage Line, Sewer Line, and Water Line Replacement",Complete,SELA24B
"MULTILINESTRING ((-89.993366465702 29.909274773454, -89.993361372025 29.909379350797, -89.993365285788 29.909615128845, -89.993354870065 29.909762204356, -89.993345683719 29.90993180236, -89.993337202074 29.910029470886, -89.993321769265 29.91010391269, -89.993236923915 29.91018423538))",595678,"Drainage Line, Sewer Line, and Water Line Replacement",Complete,DPW212
"MULTILINESTRING ((-90.087126534553 29.943426697675, -90.087946748566 29.942888944571, -90.088077044747 29.942789798675))",592039,Water Line Replacement (FEMA),Planned,RR023
"MULTILINESTRING ((-90.081910076576 29.935635933569, -90.082803199896 29.935046664094, -90.083298781017 29.934727582809))",591999,Sewer Line Repair (SSERP),Complete,RR022
"MULTILINESTRING ((-90.052343743704 29.993877647647, -90.052451949856 29.994045191674, -90.053338792013 29.995418629085, -90.053394982629 29.995507689055))",592334,Sewer Line Repair (SSERP),Complete,RR051
"MULTILINESTRING ((-90.00638954234 29.967249799862, -90.006287193889 29.967210368022, -90.005441375456 29.966908792853, -90.005441333205 29.966908777995))",593501,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR104
"MULTILINESTRING ((-90.066785477043 30.021768882837, -90.066797276599 30.021849370611, -90.066835198665 30.022317767054, -90.066921717036 30.023386380972, -90.066925476042 30.023466912291))",592144,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Planned,RR161
"MULTILINESTRING ((-90.080585981576 29.960840519218, -90.080601983031 29.960851393612, -90.081196832509 29.961253035011, -90.08145716132 29.961432280385))",591105,Sewer Line Repair (SSERP),Planned,
"MULTILINESTRING ((-90.106701816723 30.025342974503, -90.105893934301 30.025271546813, -90.105807533927 30.025263908134))",588180,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Planned,RR081
"MULTILINESTRING ((-90.097982789519 29.921078114178, -90.098097479836 29.921068214642, -90.099125894464 29.920992594801))",593114,Sewer Line Repair (SSERP),Complete,DPW114
"MULTILINESTRING ((-90.061694585295 30.014522102556, -90.061700707051 30.014591044452, -90.061751125412 30.015158846979, -90.061820886904 30.016061418391, -90.06185383121 30.016513289798, -90.061858239553 30.016581826161))",592232,Sewer Line Repair (ESSA),Complete,RR159
"MULTILINESTRING ((-90.052758944324 30.010389638021, -90.052671004062 30.010393737708, -90.052393539033 30.010411095803, -90.051935909143 30.010439702721, -90.051849533665 30.010446096096))",592515,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR059
"MULTILINESTRING ((-90.106482224211 30.019636927886, -90.106968787874 30.019676645269, -90.10705595014 30.019684912836, -90.10744063576 30.019716900378, -90.107534174119 30.019724994322))",590778,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.058406113474 30.019019427617, -90.058413342002 30.01910285287, -90.058478410838 30.019964774, -90.058485733755 30.020036365672))",592224,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR131
"MULTILINESTRING ((-90.125741412563 29.938601975588, -90.125721033168 29.938630215749, -90.125491627151 29.93892086205, -90.125458195457 29.938963351271))",590051,Sewer Line Replacement (SSERP),Planned,RR002
"MULTILINESTRING ((-90.078192365925 29.969815505659, -90.078123675073 29.969893705938, -90.07749662044 29.970593495792, -90.077409592483 29.970688775861))",591181,Sewer Line Repair (SSERP),Complete,RR182
"MULTILINESTRING ((-90.041943334099 29.978162549844, -90.041870270069 29.978146106302, -90.041401014263 29.978039601512, -90.041249647095 29.978005084159, -90.041117077523 29.977897647251))",595620,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.059279463302 29.96838511154, -90.059205918917 29.968399884505, -90.058347555524 29.968572299199, -90.058245802248 29.968592128659, -90.058161584246 29.96860683001))",594431,"Drainage Line, Sewer Line, and Water Line Replacement",Complete,RTA01
"MULTILINESTRING ((-90.017524640595 29.959223413194, -90.016520830447 29.958998409728))",594192,Sewer Line Repair (SSERP),Complete,PWF170
"MULTILINESTRING ((-90.030461697269 29.975480321793, -90.030375038787 29.975461393105, -90.029879308382 29.975346545169, -90.029468727218 29.975251421633))",593365,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.06138517381 29.963405093436, -90.061323160398 29.963472238779, -90.061220419882 29.96358620285, -90.061134843762 29.963681118185, -90.060918693337 29.963920888595, -90.060889623304 29.963953537057))",594891,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.013225263204 29.969353112056, -90.013201387813 29.969427455547, -90.013016000861 29.970001119184, -90.01291418823 29.970316169062, -90.012890658688 29.970383148233))",593469,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.113034805898 30.01292114762, -90.113029376282 30.012996750727, -90.112986550895 30.013593024917, -90.112938658146 30.014202827643))",588065,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Planned,RR087
"MULTILINESTRING ((-89.955674476529 30.053785130771, -89.955532295618 30.053858588763, -89.955416356624 30.053908293022, -89.955157759393 30.053998035812, -89.954920544328 30.054074268123, -89.954777555838 30.054128808739, -89.954684289304 30.054166165535, -89.954517730799 30.054241236569, -89.954362894976 30.054319676426, -89.954223171156 30.054395160554, -89.954162439869 30.054429856671, -89.954070720702 30.054487495891, -89.953963644374 30.054558498351))",589096,Sewer Line Repair (SSERP),Planned,
"MULTILINESTRING ((-89.932762521545 30.04271137801, -89.932846740826 30.042704565873, -89.933560923944 30.042651174148))",587709,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR189
"MULTILINESTRING ((-90.113432790752 29.927116135829, -90.113482797699 29.927126657588, -90.113655251491 29.92716294285, -90.114320789822 29.927295087177, -90.114418082255 29.927321552498))",593159,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.110819832013 29.966755811085, -90.110929938121 29.966845304076, -90.111017824402 29.966915397574, -90.112307453673 29.967964368203, -90.112452578814 29.96808465105))",589489,Water Line Replacement (FEMA),Planned,RR014
"MULTILINESTRING ((-90.095073688108 29.970926786447, -90.095009038337 29.971000087331, -90.094940151468 29.971073457608, -90.09476982818 29.971268384372, -90.094321716654 29.97176986559))",591295,Sewer Line Repair (SSERP),Complete,RR124
"MULTILINESTRING ((-89.982726785546 30.045630264011, -89.983402537655 30.04672247199, -89.983407000824 30.046729685816, -89.983680972268 30.047179995427))",589089,Sewer Line Repair (SSERP),Planned,
"MULTILINESTRING ((-90.121259839299 29.972556159675, -90.121370616583 29.972643992516, -90.122072551059 29.973212940824))",589291,Sewer Line Repair (SSERP),Planned,
"MULTILINESTRING ((-89.993360540451 30.008579908923, -89.993375413681 30.008730549222, -89.993494138011 30.009932964508, -89.993533618591 30.010332810422, -89.993535443747 30.010351289426, -89.99358645707 30.010888594173, -89.993588940215 30.010914740783, -89.993620693575 30.011208045076, -89.993623141403 30.011230650036, -89.99362437055 30.011251422759, -89.993624191195 30.01125744241, -89.993623607096 30.011277076268, -89.993620284946 30.011299350771, -89.993614377699 30.011321430538, -89.993605847845 30.011343127042, -89.993594650727 30.011364256965, -89.993580778641 30.011384565732, -89.993557489655 30.011411642833))",588626,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.13206051375 29.945240354162, -90.132121171886 29.9452898165, -90.132416970553 29.945531480734, -90.132417434245 29.945531859316, -90.132491039468 29.945591993957, -90.132539770659 29.945631806335, -90.132954075803 29.945957901816))",588926,Sewer Line Replacement (SSERP),Planned,RR097
"MULTILINESTRING ((-90.12552441022 29.961512723637, -90.125428163532 29.961605034344, -90.124771339567 29.96221831899))",589525,Sewer Line Repair (SSERP),Planned,RR062
"MULTILINESTRING ((-90.071135285741 29.959760307842, -90.070984516987 29.959924203763, -90.070307790858 29.960651441267, -90.070150688108 29.960756692911))",595275,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.105820575699 29.939900953351, -90.105954218761 29.939891941, -90.106167496815 29.939873751294, -90.106318408718 29.939864240001, -90.106406083029 29.939861001215, -90.106479468985 29.939860606514, -90.106566836903 29.939862975805, -90.106654353876 29.939868228947, -90.106754489576 29.939877776145, -90.106822599651 29.939886569049, -90.106890289399 29.939897171498, -90.107037948138 29.939924959608))",590454,Water Line Replacement (SWB WLM Project),Planned,SWBTM003A
"MULTILINESTRING ((-90.094672188336 30.023466620969, -90.094628824518 30.02330243727, -90.094590042459 30.023178233145))",589970,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR075
"MULTILINESTRING ((-90.116251267112 30.012229366722, -90.116337465837 30.012237881009, -90.117197044013 30.012287462679))",588108,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR195
"MULTILINESTRING ((-90.042059739584 29.974778497523, -90.040399563813 29.974408192203, -90.040305382941 29.974386006867))",594319,Water Line Replacement (SWB),Planned,RR166
"MULTILINESTRING ((-90.009705747992 29.970777248395, -90.009594177196 29.970727641089, -90.00945089557 29.970675412433, -90.008915091001 29.970479940039, -90.008732419234 29.970414653937, -90.008633744091 29.970382404813))",595580,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",Complete,DPW130
"MULTILINESTRING ((-90.069992710448 29.983030621307, -90.068829377555 29.983099121118))",591143,Sewer Line Repair (SSERP),Planned,RR003
"MULTILINESTRING ((-90.089913308442 29.930026829311, -90.090009744567 29.929983306766, -90.09048106768 29.929778034664, -90.090603274334 29.929724810099, -90.090651242446 29.929703918302))",590332,Sewer Line Repair (SSERP),Complete,RR022
"MULTILINESTRING ((-90.104317900702 30.008334494876, -90.10414983534 30.009818526036, -90.104111099706 30.010141562433))",588478,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Planned,RR088
"MULTILINESTRING ((-90.118859983876 29.936465529744, -90.118965545505 29.936512012516, -90.119651035672 29.936781565303, -90.119660313205 29.936785213822))",593205,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.130336620782 29.945168947803, -90.130697419689 29.945465110821, -90.13081275955 29.945559788053, -90.131102683339 29.945788094453))",588912,Sewer Line Replacement (SSERP),Planned,RR033
"MULTILINESTRING ((-90.067069774836 29.957040705125, -90.067007488145 29.957112449024, -90.066367635654 29.957828428737))",595211,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",Planned,DPW623
"MULTILINESTRING ((-90.072733644456 29.938549946393, -90.072722812317 29.93856663935, -90.072680583385 29.938631975685, -90.072469188638 29.939347424748, -90.072459845038 29.939380516501))",594595,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.020398504952 29.977560166684, -90.019340934198 29.977318885354))",593688,"Drainage Line, Sewer Line, and Water Line Replacement",Complete,PWF080
"MULTILINESTRING ((-90.003912449552 29.918348473322, -90.003920414249 29.918251182421, -90.00407465395 29.915484228052, -90.004080307045 29.915372368781, -90.004084093696 29.915339056637, -90.004091208559 29.915298802117, -90.004100035768 29.915261997818, -90.004116492242 29.915210242173, -90.004130045069 29.915176269096, -90.004147335144 29.915144431552, -90.004160348791 29.915123486664, -90.004287110774 29.914919473228))",595654,"Drainage Line, Sewer Line, and Water Line Replacement",Complete,DPW319
"MULTILINESTRING ((-90.135549490913 29.950702553844, -90.135116405033 29.951107817578, -90.134801955403 29.951402062899))",589369,Sewer Line Replacement (ESSA),Planned,RR097
"MULTILINESTRING ((-90.052593170558 30.017308238445, -90.052495392366 30.01731682291, -90.052111664029 30.017333055662, -90.051964384823 30.017341048045, -90.051671771342 30.017350969094, -90.05155743236 30.017358161078))",595345,Sewer Line Repair (SSERP),Complete,RR130
"MULTILINESTRING ((-89.965762095404 30.025163292835, -89.965869987446 30.026269647987, -89.965920729557 30.026756510767))",587751,"Drainage Line, Sewer Line, and Water Line Replacement",Complete,DPW022
"MULTILINESTRING ((-90.037867906007 29.979378766634, -90.037845010792 29.979458679935, -90.037554009816 29.980414704681))",593343,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.072576729332 30.022518615019, -90.072527946352 30.022543619406, -90.071796836877 30.022901206212))",590751,Sewer Line Repair (SSERP),Complete,DPW555
"MULTILINESTRING ((-90.078704737475 30.000831260083, -90.07869961669 30.001027547236, -90.078692200006 30.001120821203, -90.078681938349 30.00118144375, -90.078670253909 30.001232956608, -90.078650090732 30.001302151652, -90.078634241362 30.001346581001, -90.078602044908 30.001424320825, -90.078588750981 30.001465021534, -90.078572914473 30.001522680273, -90.07855820475 30.001592271884, -90.078551966722 30.001663787472, -90.078550866336 30.001726851303, -90.078553873472 30.001789875789, -90.078562139926 30.00187352814, -90.078688286749 30.003438607932, -90.078692937912 30.003542273068))",588308,Sewer Line Repair (SSERP),Complete,RR042
"MULTILINESTRING ((-90.077300719207 29.939087962706, -90.077816475874 29.938393885307))",591878,Sewer Line Repair (SSERP),Complete,RR022
"MULTILINESTRING ((-90.070871893795 29.981957908782, -90.070924864945 29.982041732707, -90.071137307436 29.982421283388, -90.07122242628 29.982560659634, -90.071298803354 29.982685721244, -90.071421811811 29.982892593371, -90.071443313235 29.982930217439))",591136,Sewer Line Repair (SSERP),Complete,DPW348
"MULTILINESTRING ((-90.06457089485 29.956624468514, -90.064611353488 29.956651546521, -90.065469414315 29.957225961462))",595120,Sewer Line Repair (SSERP),Complete,DPW376
"MULTILINESTRING ((-90.100956419359 29.947800147706, -90.100974758905 29.947861888303, -90.101042096973 29.948066550192, -90.101081327479 29.948185784094, -90.10123959154 29.94866679771, -90.10126623387 29.948756592166))",590596,Sewer Line Repair (SSERP),Complete,RR010
"MULTILINESTRING ((-90.106649046389 29.997210646309, -90.107156608703 29.99725608687, -90.107563332517 29.997291099556, -90.10765167137 29.997299193977))",589966,Sewer Line Repair (SSERP),Complete,PWF172
"MULTILINESTRING ((-90.121219009524 29.971188875573, -90.121308309973 29.971264334233, -90.121569354006 29.971466923861))",589290,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR065
"MULTILINESTRING ((-90.069570819844 29.940973593394, -90.069627906768 29.940987732815, -90.069841932211 29.941033764122, -90.070068842899 29.941087892486, -90.070212114472 29.941122068679))",594765,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.112627281046 29.94842054733, -90.11315238669 29.948644524335, -90.113168299818 29.9486513113))",589715,Water Line Replacement (FEMA),Planned,RR123
"MULTILINESTRING ((-90.065316381349 29.946011253996, -90.065294399912 29.945231568247))",594512,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.074577221931 29.97386192564, -90.074816084376 29.974113464124, -90.075230543963 29.974575966259, -90.075289293336 29.974635057085))",594436,Sewer Line Repair (SSERP),Planned,
"MULTILINESTRING ((-90.018964833848 30.03334767117, -90.019235073968 30.034120364863))",589113,Sewer Line Repair (SSERP),Planned,
"MULTILINESTRING ((-90.109012702768 29.922368894042, -90.109088553582 29.922369993362, -90.109960826665 29.922401588271))",590483,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR184
"MULTILINESTRING ((-89.969185581674 30.046692185662, -89.969288191642 30.046620276539, -89.969553366023 30.046453429706, -89.969633965144 30.046397737049, -89.969707729841 30.046341529889, -89.969768145831 30.046283347586, -89.969801022421 30.046248910711, -89.969829888638 30.046216083534, -89.969880598553 30.046152666098, -89.969918390024 30.046099939735, -89.969946908538 30.046052947518, -89.969980689529 30.045987576502, -89.969998384854 30.04594720649, -89.970012845515 30.045909210131, -89.970048973899 30.045796842067))",589149,Sewer Line Repair (SSERP),Planned,RR100
"MULTILINESTRING ((-90.077435887216 29.999890437956, -90.077489000873 30.000543596349, -90.077516038558 30.000903669263))",590129,Sewer Line Repair (SSERP),Complete,RR042
"MULTILINESTRING ((-90.083917259674 29.958679083355, -90.083970677338 29.958703403084, -90.084558112711 29.95897119029, -90.084755805213 29.959058124636, -90.08481129261 29.959083589525))",591115,Water Line Replacement (FEMA),Complete,RR068
"MULTILINESTRING ((-90.062954841862 29.971227853722, -90.063028585355 29.972173268791, -90.063030844555 29.972242993954))",591480,Water Line Replacement (FEMA),Planned,RR004
"MULTILINESTRING ((-90.090644811815 29.971813256636, -90.090752403347 29.971883590429, -90.090975890165 29.972037606809, -90.091574654552 29.972450242864))",591332,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR125
"MULTILINESTRING ((-90.077137816476 30.016648056883, -90.077197579119 30.017398688816, -90.077208759572 30.017473640753))",588198,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR038
"MULTILINESTRING ((-90.01344302997 29.964969407398, -90.013331310218 29.96494371082, -90.012629656363 29.964782322513))",593875,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR114
"MULTILINESTRING ((-90.095073688108 29.970926786447, -90.09513708604 29.970970025545, -90.095893941545 29.971482806333))",591351,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.057369899354 29.97767998002, -90.057383647267 29.977848186237, -90.057390720177 29.97793472244, -90.057425719616 29.978382102178, -90.057450348562 29.978696928246))",591038,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.132496989903 29.936376871423, -90.13231030868 29.936550259413, -90.131743884475 29.937076343452))",588784,Sewer Line Replacement (SSERP),Planned,RR008
"MULTILINESTRING ((-90.115744584811 29.937187841506, -90.115841369995 29.937198880938, -90.11602463402 29.937257070654, -90.116183686803 29.937302216324, -90.116209428905 29.937312068621, -90.116236823114 29.937354121213, -90.116306148502 29.937510278442, -90.116335151666 29.937560241228, -90.116381642141 29.937583838784, -90.116660178266 29.937693516414, -90.117025421493 29.937844759373))",593186,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.122195454232 29.98546486606, -90.122277363844 29.985469582314, -90.122534841859 29.985483611285, -90.123095917927 29.985510713356))",588300,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR096
"MULTILINESTRING ((-90.016391937545 29.955868083801, -90.016299366494 29.956147871685, -90.01628994278 29.956176770483, -90.016163044646 29.956565911673, -90.016081473901 29.956824254348))",594165,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.073701464291 29.986888982792, -90.073608075945 29.986893558227, -90.072951007561 29.986925748051, -90.072855259426 29.986931867627))",591595,Sewer Line Repair (SSERP),Complete,RR003
"MULTILINESTRING ((-90.10023746458 30.015273050792, -90.100221289884 30.015352010278, -90.10002637548 30.017083192496))",588239,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Planned,RR087
"MULTILINESTRING ((-90.040618119586 29.973344942917, -90.040518383233 29.97332178549, -90.039750209861 29.973151055927))",594316,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR174
"MULTILINESTRING ((-89.96983508639 30.043598714802, -89.969862035995 30.043633636427, -89.970253198219 30.044106808186, -89.970324443506 30.044189369119))",589183,Sewer Line Repair (SSERP),Planned,
"MULTILINESTRING ((-90.070903750816 29.944111097668, -90.071068536196 29.943560073123, -90.07108268619 29.943512757156, -90.071086557898 29.94350012881, -90.071122745534 29.94338207724, -90.07113823641 29.943331544002, -90.071139254282 29.94332822455, -90.07120110547 29.943132242931, -90.071230909726 29.943054709718))",594532,Sewer Line Repair (SSERP),Complete,DPW019
"MULTILINESTRING ((-90.087745454497 29.946989386341, -90.087745744396 29.94698899027, -90.08807936779 29.946607773202, -90.088253046367 29.946373929982))",590942,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.124715124279 29.960859448897, -90.12427666315 29.961267978662, -90.123961846496 29.961561301685))",589529,Water Line Replacement (SWB)/Sewer Line Repair (ESSA),Planned,RR062
"MULTILINESTRING ((-90.114168066104 29.99220136071, -90.11426775997 29.992209507149, -90.114590338297 29.992240526066))",590798,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",Planned,DPW087
"MULTILINESTRING ((-90.110707476141 30.010727275782, -90.110698647434 30.010802406219, -90.110493519495 30.012536249523))",588467,Sewer Line Repair (SSERP),Complete,RR084
"MULTILINESTRING ((-90.064723480777 29.945103169274, -90.064818976834 29.945124610216, -90.064841014775 29.945129558499, -90.065217496783 29.945214087866, -90.065223342817 29.945215400148, -90.065294399912 29.945231568247))",595277,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.065718969609 30.021832094069, -90.065724519061 30.021915810303, -90.065742126028 30.022181412739, -90.065753664218 30.022307359984, -90.065758492286 30.022360069842, -90.065768324565 30.02244908911, -90.06577422816 30.022496059462, -90.065803203536 30.022726619028, -90.065837040444 30.023026030588, -90.06586161585 30.023358299987, -90.065866640285 30.023578275168))",592252,Water Line Replacement (FEMA)/Sewer Line Repair (SSERP),Planned,RR159
"MULTILINESTRING ((-90.122163430931 29.964658093603, -90.122260976908 29.964690817178, -90.122587444651 29.964799087056, -90.122828184416 29.964876074224, -90.122921715532 29.964904111369, -90.122996560686 29.964926546855, -90.123045850698 29.964938108332, -90.123313901118 29.965000982523))",590987,"Drainage Line, Sewer Line, and Water Line Replacement",Complete,DPW050
"MULTILINESTRING ((-90.054316149594 29.981931886354, -90.054319379354 29.982007275212, -90.054386334552 29.982918379984))",594090,Sewer Line Repair (SSERP),Complete,RR180
"MULTILINESTRING ((-90.071239350282 29.971302621679, -90.071302387232 29.971346173017, -90.071457285771 29.971453115891, -90.072112023449 29.971902836081))",594439,Sewer Line Repair (SSERP),Complete,DPW366
"MULTILINESTRING ((-90.073031464991 29.932468154366, -90.073085295154 29.932277681261, -90.073101357898 29.932216337301))",594669,Sewer Line Repair (SSERP),Complete,DPW114
"MULTILINESTRING ((-90.086277795883 29.983077676785, -90.085877561283 29.984179175026))",590606,"Drainage Line, Sewer Line (SSERP), and Water Line Replacement",Planned,RR005
"MULTILINESTRING ((-90.120712470281 29.958941949688, -90.120444136786 29.959190812528, -90.119954406799 29.95964500523))",589539,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR098
