mixedUseAssessmentKey,provalLrsnId,realEstatePropertyCode,assessmentChangeReasonTypeDsc,mixedUseAssessmentDate,commercialLandAmt,commercialImprovementAmt,totalCommercialAmt,residentialLandAmt,residentialImprovementAmt,totalResidentialAmt
1638,54282,35003003,01- Annual,2014-01-01T00:00:00.000Z,242300,2301800,2544100,9980900,129894800,139875700
1642,54282,35003003,,2009-01-01T00:00:00.000Z,242300,4157400,4399700,9410600,107386200,116796800
1646,54282,35003003,,2011-01-01T00:00:00.000Z,222100,1914000,2136100,8555100,106549900,115105000
1650,54283,35003004,,2010-01-01T00:00:00.000Z,174300,0,174300,7179600,0,7179600
1654,54283,35003004,,2008-01-01T00:00:00.000Z,217900,0,217900,8461700,0,8461700
827,28667,17003012,01- Annual,2018-01-01T00:00:00.000Z,0,0,0,6426700,0,6426700
831,28667,17003012,01- Annual,2020-01-01T00:00:00.000Z,0,0,0,7361900,0,7361900
835,28926,17003298,01- Annual,2014-01-01T00:00:00.000Z,0,0,0,16700,0,16700
839,28926,17003298,,2010-01-01T00:00:00.000Z,0,0,0,13300,0,13300
843,28927,17003299,01- Annual,2013-01-01T00:00:00.000Z,0,0,0,41700,0,41700
847,28927,17003299,01- Annual,2019-01-01T00:00:00.000Z,0,0,0,348500,0,348500
851,28927,17003299,01- Annual,2015-01-01T00:00:00.000Z,0,0,0,48400,0,48400
855,28928,17003300,01- Annual,2016-01-01T00:00:00.000Z,0,0,0,328200,0,328200
859,28928,17003300,01- Annual,2017-01-01T00:00:00.000Z,0,0,0,348500,0,348500
863,28928,17003300,,2012-01-01T00:00:00.000Z,0,0,0,41700,0,41700
867,29225,17005002,,2010-01-01T00:00:00.000Z,93900,0,93900,4518000,0,4518000
871,29227,17005004,,2012-01-01T00:00:00.000Z,80400,0,80400,3835100,0,3835100
875,29229,17005006,,2011-01-01T00:00:00.000Z,134700,0,134700,6008100,0,6008100
879,29230,17005007,,2010-01-01T00:00:00.000Z,34300,0,34300,1648200,0,1648200
883,29232,17005009,,2012-01-01T00:00:00.000Z,53900,0,53900,2572900,0,2572900
887,29233,17005010,,2011-01-01T00:00:00.000Z,51700,0,51700,2304900,0,2304900
891,29234,17005011,,2010-01-01T00:00:00.000Z,103600,0,103600,4985400,0,4985400
895,29284,17011007,,2011-01-01T00:00:00.000Z,81400,0,81400,713400,0,713400
899,29286,17011009,,2010-01-01T00:00:00.000Z,95200,0,95200,520800,0,520800
903,29289,17011013,,2008-01-01T00:00:00.000Z,200200,0,200200,895100,1000,896100
907,29290,17011015,,2010-01-01T00:00:00.000Z,356400,0,356400,1949900,0,1949900
911,29291,17011016,,2008-01-01T00:00:00.000Z,1284700,0,1284700,5744800,1000,5745800
915,29293,17011018,,2011-01-01T00:00:00.000Z,485400,1000,486400,4252100,0,4252100
919,29329,17013017,01- Annual,2015-01-01T00:00:00.000Z,40700,534900,575600,23399600,113152300,136551900
923,29329,17013017,01- Annual,2018-01-01T00:00:00.000Z,40700,0,40700,26134700,0,26134700
927,29329,17013017,,2008-01-01T00:00:00.000Z,40700,385300,426000,20084800,85644400,105729200
931,29330,17013019,01- Annual,2020-01-01T00:00:00.000Z,59900,0,59900,35527300,107985000,143512300
935,29330,17013019,,2010-01-01T00:00:00.000Z,44200,0,44200,23166300,60509100,83675400
939,29330,17013019,01- Annual,2017-01-01T00:00:00.000Z,55300,0,55300,35527300,96134100,131661400
943,29330,17013019,01- Annual,2014-01-01T00:00:00.000Z,55300,0,55300,24786500,85407700,110194200
947,29332,17014001,05- Review,2015-07-28T00:00:00.000Z,901700,4564800,5466500,19558000,65459600,85017600
951,29332,17014001,,2011-01-01T00:00:00.000Z,826500,0,826500,15240000,20000,15260000
955,32270,18003111,01- Annual,2013-01-01T00:00:00.000Z,108000,940800,1048800,40250000,161311500,201561500
959,32270,18003111,,2009-11-01T00:00:00.000Z,108000,861100,969100,37950000,134205800,172155800
963,32270,18003111,03- Board of Equalization,2017-10-10T00:00:00.000Z,108000,866900,974900,49450000,137262000,186712000
967,32270,18003111,03- Board of Equalization,2019-10-24T00:00:00.000Z,108000,763800,871800,49450000,156811600,206261600
971,32270,18003111,03- Board of Equalization,2015-09-28T00:00:00.000Z,201600,1022216,1223816,44275000,148228584,192503584
975,32270,18003111,01- Annual,2014-01-01T00:00:00.000Z,108000,1140600,1248600,40250000,158869400,199119400
979,32675,18003602,03- Board of Equalization,2015-11-03T00:00:00.000Z,144000,1347300,1491300,43428000,164129700,207557700
983,32675,18003602,01- Annual,2018-01-01T00:00:00.000Z,144000,1100200,1244200,48504000,155261900,203765900
987,32675,18003602,,2010-01-01T00:00:00.000Z,115200,801900,917100,31584000,130646300,162230300
991,32685,18004066,01- Annual,2013-01-01T00:00:00.000Z,613600,6398100,7011700,17478600,102251700,119730300
995,32685,18004066,,2012-01-01T00:00:00.000Z,613600,6010200,6623800,14981600,101700300,116681900
999,32685,18004066,01- Annual,2018-01-01T00:00:00.000Z,376300,0,376300,13169700,0,13169700
1003,32685,18004066,03- Board of Equalization,2019-09-12T00:00:00.000Z,527700,6671500,7199200,18466200,104276600,122742800
1007,32685,18004066,03- Board of Equalization,2014-10-13T00:00:00.000Z,613600,6718600,7332200,17478600,105589900,123068500
1011,32685,18004066,01- Annual,2020-01-01T00:00:00.000Z,527200,7164600,7691800,18466700,110007900,128474600
1015,32691,18005040,01- Annual,2015-01-01T00:00:00.000Z,359500,0,359500,11265600,0,11265600
1019,32691,18005040,03- Board of Equalization,2019-09-12T00:00:00.000Z,309200,0,309200,10822000,0,10822000
1023,32691,18005040,03- Board of Equalization,2016-10-04T00:00:00.000Z,330700,0,330700,10902736,0,10902736
1027,32691,18005040,,2011-01-01T00:00:00.000Z,329600,0,329600,8778400,0,8778400
1031,32691,18005040,,2008-01-01T00:00:00.000Z,359500,0,359500,9656200,0,9656200
1035,32889,18007031,,2008-01-01T00:00:00.000Z,75000,88900,163900,17424000,37541100,54965100
1039,32889,18007031,,2011-01-01T00:00:00.000Z,68800,81400,150200,15840000,42410800,58250800
1043,32943,18013005,,2008-01-01T00:00:00.000Z,1577200,0,1577200,2622900,0,2622900
1047,32947,18013009,,2008-01-01T00:00:00.000Z,245100,0,245100,407600,0,407600
1051,33220,18029007,01- Annual,2013-01-01T00:00:00.000Z,1245400,7393500,8638900,9120000,46910900,56030900
1055,33220,18029007,01- Annual,2018-01-01T00:00:00.000Z,1245400,11078000,12323400,9120000,56373200,65493200
1059,33220,18029007,01- Annual,2016-01-01T00:00:00.000Z,1245400,9121200,10366600,10640000,52946000,63586000
1063,33352,18038019,,2012-01-01T00:00:00.000Z,956600,0,956600,6442600,1983700,8426300
1067,33353,18038020,,2010-01-01T00:00:00.000Z,348100,0,348100,2279500,0,2279500
1071,33424,18041002,,2011-01-01T00:00:00.000Z,11000,841100,852100,220000,199100,419100
1075,33424,18041002,,2009-01-01T00:00:00.000Z,11000,927100,938100,264000,137900,401900
1079,33610,18054007,01- Annual,2016-01-01T00:00:00.000Z,137500,76100,213600,631800,1483600,2115400
1083,33610,18054007,01- Annual,2019-01-01T00:00:00.000Z,144400,132400,276800,663400,1744600,2408000
1087,33610,18054007,05- Review,2013-08-21T00:00:00.000Z,137500,49500,187000,546000,1191800,1737800
1091,33610,18054007,,2012-01-01T00:00:00.000Z,137500,89700,227200,546000,1091300,1637300
1095,33614,18054011,,2010-01-01T00:00:00.000Z,15000,317400,332400,198000,248000,446000
1099,33614,18054011,01- Annual,2015-01-01T00:00:00.000Z,213100,554800,767900,0,539400,539400
1103,33616,18054013,,2008-01-01T00:00:00.000Z,270000,421500,691500,264000,95300,359300
1107,33616,18054013,,2012-01-01T00:00:00.000Z,294000,333300,627300,240000,174700,414700
1111,34352,18084003,,2010-01-01T00:00:00.000Z,260900,101900,362800,11984000,7566600,19550600
1115,34352,18084003,01- Annual,2016-01-01T00:00:00.000Z,326100,157800,483900,17334000,8598700,25932700
1119,34352,18084003,01- Annual,2018-01-01T00:00:00.000Z,326100,613100,939200,18404000,15310500,33714500
1123,34491,19007003,01- Annual,2017-01-01T00:00:00.000Z,114100,99400,213500,2815600,1529000,4344600
1127,34495,19007007,01- Annual,2017-01-01T00:00:00.000Z,60800,51900,112700,1500800,797700,2298500
1131,35640,20012019,01- Annual,2020-01-01T00:00:00.000Z,852900,0,852900,10648200,0,10648200
1135,35975,20012359,01- Annual,2015-01-01T00:00:00.000Z,132200,793600,925800,12551000,39268400,51819400
1139,40065,23034017,03- Board of Equalization,2018-07-26T00:00:00.000Z,1738500,0,1738500,9339500,0,9339500
1143,40066,23034018,01- Annual,2020-01-01T00:00:00.000Z,2440700,14495900,16936600,11919900,42567100,54487000
1147,40066,23034018,05- Review,2017-04-03T00:00:00.000Z,2440700,1000,2441700,12792000,0,12792000
1151,40067,23034019,01- Annual,2018-01-01T00:00:00.000Z,119300,0,119300,640600,0,640600
1155,40416,23040009,01- Annual,2017-01-01T00:00:00.000Z,381500,0,381500,10974700,1000,10975700
1159,40994,24015015,03- Board of Equalization,2018-11-14T00:00:00.000Z,588000,3005200,3593200,10505100,18002700,28507800
1163,40994,24015015,01- Annual,2013-01-01T00:00:00.000Z,705600,1250100,1955700,12255900,9414000,21669900
1167,40994,24015015,01- Annual,2020-01-01T00:00:00.000Z,646800,902600,1549400,10505100,35533200,46038300
1171,40995,24015017,,2010-01-01T00:00:00.000Z,606100,0,606100,0,0,0
1175,40995,24015017,01- Annual,2015-01-01T00:00:00.000Z,43400,0,43400,852400,0,852400
1179,42114,25016006,,2008-01-01T00:00:00.000Z,2280900,0,2280900,7730600,0,7730600
1183,42117,25016011,,2008-01-01T00:00:00.000Z,184300,0,184300,624500,0,624500
1187,43303,27002001,01- Annual,2013-01-01T00:00:00.000Z,0,0,0,31869700,2588900,34458600
1191,43303,27002001,01- Annual,2017-01-01T00:00:00.000Z,0,0,0,38384400,982300,39366700
1195,43303,27002001,01- Annual,2015-01-01T00:00:00.000Z,0,0,0,34894900,3677400,38572300
1199,43303,27002001,05- Review,2020-03-31T00:00:00.000Z,0,0,0,38384400,8611300,46995700
1203,43306,27002004,01- Annual,2014-01-01T00:00:00.000Z,100000,92800,192800,4272900,747200,5020100
1207,43306,27002004,01- Annual,2018-01-01T00:00:00.000Z,0,345600,345600,5132800,1201600,6334400
1211,43306,27002004,,2010-01-01T00:00:00.000Z,96000,58800,154800,3395400,53100,3448500
1215,43306,27002004,,2008-01-01T00:00:00.000Z,120000,70500,190500,3999600,390000,4389600
1219,43307,27002005,,2010-01-01T00:00:00.000Z,0,0,0,12089900,212300,12302200
1223,43307,27002005,01- Annual,2018-01-01T00:00:00.000Z,0,0,0,18276300,4252700,22529000
1227,43307,27002005,01- Annual,2014-01-01T00:00:00.000Z,0,0,0,15214500,2644800,17859300
1231,43308,27002006,05- Review,2020-03-31T00:00:00.000Z,0,0,0,16924700,3809800,20734500
1235,43308,27002006,01- Annual,2015-01-01T00:00:00.000Z,0,0,0,15386100,1626900,17013000
4,8773,05031006,,2009-01-01T00:00:00.000Z,156800,181100,337900,349100,204700,553800
8,8773,05031006,01- Annual,2015-01-01T00:00:00.000Z,396900,-19000,377900,0,792300,792300
12,8862,05038013,,2008-01-01T00:00:00.000Z,87000,66500,153500,210400,139100,349500
16,8862,05038013,,2012-01-01T00:00:00.000Z,73900,85100,159000,280500,96500,377000
20,9321,05056002,,2009-01-01T00:00:00.000Z,586600,0,586600,3234000,1000,3235000
24,9712,06002031,01- Annual,2013-01-01T00:00:00.000Z,166500,215600,382100,56000,56200,112200
28,9712,06002031,01- Annual,2014-01-01T00:00:00.000Z,166500,233400,399900,56000,99600,155600
32,10406,06028015,,2012-01-01T00:00:00.000Z,74500,245800,320300,132000,105800,237800
36,10406,06028015,,2009-01-01T00:00:00.000Z,74500,276200,350700,132000,104400,236400
40,10855,07006012,01- Annual,2013-01-01T00:00:00.000Z,495900,643400,1139300,220000,192800,412800
44,10855,07006012,01- Annual,2014-01-01T00:00:00.000Z,495900,684500,1180400,220000,352800,572800
48,10859,07006016,01- Annual,2014-01-01T00:00:00.000Z,8400,240500,248900,363100,845900,1209000
52,10859,07006016,,2010-01-01T00:00:00.000Z,50400,171400,221800,365200,687600,1052800
56,10859,07006016,01- Annual,2020-01-01T00:00:00.000Z,52500,390500,443000,442400,1313600,1756000
60,11215,07007037,01- Annual,2013-01-01T00:00:00.000Z,118800,292000,410800,322600,700000,1022600
64,11215,07007037,01- Annual,2019-01-01T00:00:00.000Z,118800,702800,821600,396500,798000,1194500
68,11406,07012015,01- Annual,2015-01-01T00:00:00.000Z,486500,-33100,453400,0,316900,316900
72,11406,07012015,,2010-01-01T00:00:00.000Z,374500,3800,378300,112000,84400,196400
76,15138,10028012,,2008-01-01T00:00:00.000Z,104000,619300,723300,396000,12900,408900
80,15138,10028012,,2011-01-01T00:00:00.000Z,170000,534800,704800,330000,28600,358600
84,15235,10035023,,2012-01-01T00:00:00.000Z,1102000,117400,1219400,198000,120700,318700
88,15235,10035023,,2009-01-01T00:00:00.000Z,1102000,122000,1224000,198000,110400,308400
92,16195,11012008,,2008-01-01T00:00:00.000Z,37800,0,37800,1371400,0,1371400
96,16207,11012021,,2008-01-01T00:00:00.000Z,56000,0,56000,2029900,0,2029900
100,19076,13018012,01- Annual,2018-01-01T00:00:00.000Z,10700,29600,40300,612400,1299100,1911500
104,19080,13018017,01- Annual,2018-01-01T00:00:00.000Z,9100,29600,38700,523300,1299100,1822400
108,19601,13031015,,2010-01-01T00:00:00.000Z,181500,84400,265900,56000,390000,446000
112,21915,14022010,,2011-01-01T00:00:00.000Z,139600,146300,285900,165000,101700,266700
116,21915,14022010,,2009-01-01T00:00:00.000Z,238600,500800,739400,66000,36800,102800
120,22480,14032001,01- Annual,2017-01-01T00:00:00.000Z,142200,534100,676300,9129900,33230700,42360600
124,22506,14035001,01- Annual,2013-01-01T00:00:00.000Z,55000,0,55000,2674500,0,2674500
128,22511,14035006,01- Annual,2013-01-01T00:00:00.000Z,51600,0,51600,2505100,0,2505100
132,22516,14035013,01- Annual,2013-01-01T00:00:00.000Z,41200,0,41200,2004100,0,2004100
136,22520,14035018,01- Annual,2013-01-01T00:00:00.000Z,12900,0,12900,626300,0,626300
140,22750,14041013,01- Annual,,0,0,0,0,0,0
144,23311,14042574,01- Annual,2015-01-01T00:00:00.000Z,287700,2218100,2505800,29491000,124247100,153738100
148,23311,14042574,01- Annual,2018-01-01T00:00:00.000Z,287700,1921800,2209500,32938000,111902800,144840800
152,23311,14042574,,2008-01-01T00:00:00.000Z,287700,1511600,1799300,25278000,93891000,119169000
156,23311,14042574,,2012-01-01T00:00:00.000Z,287700,1666000,1953700,26810000,105883200,132693200
160,23343,14045008,,2012-10-01T00:00:00.000Z,1611700,8446100,10057800,35630000,117263600,152893600
164,23343,14045008,,2008-01-01T00:00:00.000Z,1611700,7468400,9080100,33594000,96140900,129734900
168,23343,14045008,01- Annual,2019-01-01T00:00:00.000Z,1611700,9484100,11095800,43774000,122543800,166317800
172,23343,14045008,03- Board of Equalization,2016-09-06T00:00:00.000Z,1611700,7938800,9550500,41229000,106429900,147658900
176,23343,14045008,01- Annual,2016-01-01T00:00:00.000Z,1611700,8256800,9868500,41229000,121990500,163219500
180,23344,14046006,01- Annual,2015-01-01T00:00:00.000Z,18700,0,18700,2679200,0,2679200
184,23344,14046006,01- Annual,2019-01-01T00:00:00.000Z,18700,0,18700,2992400,0,2992400
188,23344,14046006,,2010-01-01T00:00:00.000Z,14900,0,14900,1948500,0,1948500
192,23348,14046026,01- Annual,2020-01-01T00:00:00.000Z,1600,0,1600,230800,0,230800
196,23348,14046026,,2009-01-01T00:00:00.000Z,1400,0,1400,177100,0,177100
200,23348,14046026,01- Annual,2018-01-01T00:00:00.000Z,1400,0,1400,230800,0,230800
204,23348,14046026,01- Annual,2016-01-01T00:00:00.000Z,1400,0,1400,217400,0,217400
208,23349,14046027,01- Annual,2017-01-01T00:00:00.000Z,8000,0,8000,1279300,0,1279300
212,23349,14046027,,2008-01-01T00:00:00.000Z,8000,0,8000,981800,0,981800
216,23349,14046027,,2012-01-01T00:00:00.000Z,8000,0,8000,1041300,0,1041300
220,23350,14046028,,2011-01-01T00:00:00.000Z,8600,0,8600,1043900,0,1043900
224,23350,14046028,01- Annual,2013-01-01T00:00:00.000Z,9300,0,9300,1217800,0,1217800
228,23350,14046028,01- Annual,2014-01-01T00:00:00.000Z,9300,0,9300,1217800,0,1217800
232,23351,14046029,01- Annual,2015-01-01T00:00:00.000Z,155800,1271600,1427400,22349100,89113900,111463000
236,23351,14046029,01- Annual,2018-01-01T00:00:00.000Z,155800,897200,1053000,24961300,92100500,117061800
240,23351,14046029,03- Board of Equalization,2013-08-12T00:00:00.000Z,155800,1099700,1255500,20317400,95093800,115411200
244,23351,14046029,,2009-01-01T00:00:00.000Z,155800,971200,1127000,19156400,75958400,95114800
248,23351,14046029,01- Annual,2020-01-01T00:00:00.000Z,168700,1391600,1560300,24961300,94401000,119362300
252,23353,14047019,,2011-01-01T00:00:00.000Z,311300,3671500,3982800,20013100,158549400,178562500
256,23353,14047019,01- Annual,2013-01-01T00:00:00.000Z,339600,4161800,4501400,23348600,186308100,209656700
260,23353,14047019,01- Annual,2017-01-01T00:00:00.000Z,339600,5589500,5929100,28685400,192111700,220797100
264,23353,14047019,01- Annual,2016-01-01T00:00:00.000Z,339600,6688000,7027600,27017600,201300800,228318400
268,23354,14047020,01- Annual,2017-01-01T00:00:00.000Z,387300,0,387300,32718600,0,32718600
272,23354,14047020,,2008-01-01T00:00:00.000Z,387300,0,387300,25109600,0,25109600
276,23354,14047020,,2012-01-01T00:00:00.000Z,387300,0,387300,26631400,0,26631400
280,23846,14050036,,2010-01-01T00:00:00.000Z,470400,1083500,1553900,24528000,94678900,119206900
284,23846,14050036,01- Annual,2020-01-01T00:00:00.000Z,637000,3375300,4012300,37410000,139934300,177344300
288,23846,14050036,03- Board of Equalization,2014-09-09T00:00:00.000Z,588000,2101500,2689500,30660000,130982200,161642200
292,23850,14051019,01- Annual,2017-01-01T00:00:00.000Z,552000,0,552000,20382000,1000,20383000
296,23850,14051019,01- Annual,2018-01-01T00:00:00.000Z,552000,0,552000,20382000,1000,20383000
300,23850,14051019,,2008-01-01T00:00:00.000Z,552000,0,552000,15642000,1000,15643000
304,23850,14051019,,2012-01-01T00:00:00.000Z,552000,0,552000,16590000,1000,16591000
308,24294,14060026,,2009-01-01T00:00:00.000Z,6064400,1000,6065400,3511000,0,3511000
312,24302,14060050,,2009-01-01T00:00:00.000Z,16897000,1000,16898000,9782400,0,9782400
316,25775,15062003,,2009-01-01T00:00:00.000Z,215200,164900,380100,132000,78700,210700
320,25775,15062003,,2011-01-01T00:00:00.000Z,237200,96200,333400,110000,94800,204800
324,25815,15064001,,2011-01-01T00:00:00.000Z,369400,235700,605100,110000,99600,209600
328,25815,15064001,,2009-01-01T00:00:00.000Z,347400,312000,659400,132000,83900,215900
332,25841,15066001,,2012-01-01T00:00:00.000Z,464400,387700,852100,120000,122900,242900
336,25841,15066001,01- Annual,2015-01-01T00:00:00.000Z,584400,317100,901500,0,316900,316900
340,25865,15067008,,2011-01-01T00:00:00.000Z,505600,20500,526100,55000,56900,111900
344,25865,15067008,,2009-01-01T00:00:00.000Z,494600,29300,523900,66000,46900,112900
348,25996,15074008,,2011-01-01T00:00:00.000Z,31100,1395500,1426600,2485200,62575200,65060400
352,25996,15074008,01- Annual,2014-01-01T00:00:00.000Z,33900,1863700,1897600,2899400,14075600,16975000
356,25996,15074008,01- Annual,2016-01-01T00:00:00.000Z,33900,1862900,1896800,3355000,14656500,18011500
360,25996,15074008,01- Annual,2018-01-01T00:00:00.000Z,33900,0,33900,3562100,0,3562100
364,25997,15074009,01- Annual,2017-01-01T00:00:00.000Z,33900,0,33900,3562100,14549700,18111800
368,25997,15074009,03- Board of Equalization,2019-10-10T00:00:00.000Z,34500,0,34500,3550000,15225000,18775000
372,25997,15074009,01- Annual,2015-01-01T00:00:00.000Z,33900,0,33900,3189400,14550400,17739800
376,25997,15074009,,2009-01-01T00:00:00.000Z,33900,0,33900,2724400,0,2724400
380,25998,15074010,,2010-01-01T00:00:00.000Z,20400,0,20400,1733700,0,1733700
384,25998,15074010,,2008-01-01T00:00:00.000Z,25400,0,25400,2043300,0,2043300
388,25998,15074010,05- Review,2015-09-03T00:00:00.000Z,25400,0,25400,2392000,10934900,13326900
392,25998,15074010,01- Annual,2019-01-01T00:00:00.000Z,25400,0,25400,2671600,11848600,14520200
396,25998,15074010,01- Annual,2020-01-01T00:00:00.000Z,28000,0,28000,2662500,11879700,14542200
400,25999,15074011,03- Board of Equalization,2018-08-21T00:00:00.000Z,25700,0,25700,2695500,11239700,13935200
404,25999,15074011,03- Board of Equalization,2016-09-19T00:00:00.000Z,25700,0,25700,2538700,11118200,13656900
408,25999,15074011,01- Annual,2013-01-01T00:00:00.000Z,25700,0,25700,2194000,8524900,10718900
412,25999,15074011,,2012-01-01T00:00:00.000Z,25700,0,25700,2194000,0,2194000
416,26000,15074012,,2011-01-01T00:00:00.000Z,15700,0,15700,1253700,0,1253700
1,8773,05031006,,2012-01-01T00:00:00.000Z,123000,231900,354900,273900,291600,565500
5,8773,05031006,,2008-01-01T00:00:00.000Z,156800,193200,350000,349100,160700,509800
9,8862,05038013,01- Annual,2015-01-01T00:00:00.000Z,383400,-217600,165800,0,621600,621600
13,8862,05038013,,2009-01-01T00:00:00.000Z,87000,98300,185300,280500,106400,386900
17,9321,05056002,,2012-01-01T00:00:00.000Z,488900,0,488900,2940000,0,2940000
21,9321,05056002,,2008-01-01T00:00:00.000Z,586600,0,586600,3234000,1000,3235000
25,9712,06002031,,2010-01-01T00:00:00.000Z,166500,153800,320300,56000,37500,93500
29,9712,06002031,01- Annual,2015-01-01T00:00:00.000Z,222500,177400,399900,0,158500,158500
33,10406,06028015,,2011-01-01T00:00:00.000Z,74500,233700,308200,132000,91900,223900
37,10406,06028015,,2008-01-01T00:00:00.000Z,108400,234700,343100,132000,86100,218100
41,10855,07006012,,2010-01-01T00:00:00.000Z,491900,472800,964700,224000,90400,314400
45,10855,07006012,01- Annual,2015-01-01T00:00:00.000Z,715900,464500,1180400,0,633800,633800
49,10859,07006016,01- Annual,2019-01-01T00:00:00.000Z,52500,371300,423800,442400,1275700,1718100
53,10859,07006016,01- Annual,2013-01-01T00:00:00.000Z,52500,191100,243600,363100,841700,1204800
57,11215,07007037,01- Annual,2020-01-01T00:00:00.000Z,118800,740200,859000,396500,953700,1350200
61,11215,07007037,,2010-01-01T00:00:00.000Z,114000,233700,347700,327400,515900,843300
65,11215,07007037,01- Annual,2014-01-01T00:00:00.000Z,40300,384000,424300,322600,703400,1026000
69,11406,07012015,01- Annual,2014-01-01T00:00:00.000Z,366500,86900,453400,120000,191300,311300
73,11406,07012015,01- Annual,2013-01-01T00:00:00.000Z,366500,66700,433200,120000,104300,224300
77,15138,10028012,,2009-01-01T00:00:00.000Z,104000,594400,698400,396000,28000,424000
81,15138,10028012,,2012-01-01T00:00:00.000Z,140000,647800,787800,360000,100400,460400
85,15235,10035023,,2011-01-01T00:00:00.000Z,1102000,43500,1145500,198000,87800,285800
89,15235,10035023,,2008-01-01T00:00:00.000Z,1102000,108100,1210100,198000,77100,275100
93,16196,11012009,,2008-01-01T00:00:00.000Z,34100,0,34100,1235700,0,1235700
97,16210,11012025,,2008-01-01T00:00:00.000Z,67000,0,67000,2428600,0,2428600
101,19077,13018013,01- Annual,2018-01-01T00:00:00.000Z,45000,29600,74600,2580300,1299100,3879400
105,19601,13031015,,2008-01-01T00:00:00.000Z,171500,232200,403700,66000,18300,84300
109,19601,13031015,,2011-01-01T00:00:00.000Z,182500,84900,267400,55000,445100,500100
113,21915,14022010,,2010-01-01T00:00:00.000Z,136600,135300,271900,168000,74800,242800
117,21915,14022010,,2008-01-01T00:00:00.000Z,238600,136500,375100,66000,28200,94200
121,22481,14032002,01- Annual,2017-01-01T00:00:00.000Z,23900,0,23900,1534000,5582700,7116700
125,22507,14035002,01- Annual,2013-01-01T00:00:00.000Z,41200,0,41200,2004100,0,2004100
129,22512,14035008,01- Annual,2013-01-01T00:00:00.000Z,82500,0,82500,4008200,0,4008200
133,22517,14035014,01- Annual,2013-01-01T00:00:00.000Z,41200,0,41200,2004100,0,2004100
137,22521,14035019,01- Annual,2013-01-01T00:00:00.000Z,12900,0,12900,626300,0,626300
141,23311,14042574,01- Annual,2017-01-01T00:00:00.000Z,287700,2261800,2549500,32938000,112999200,145937200
145,23311,14042574,03- Board of Equalization,2014-09-09T00:00:00.000Z,287700,1889100,2176800,26810000,126024000,152834000
149,23311,14042574,01- Annual,2019-01-01T00:00:00.000Z,287700,2048400,2336100,32938000,121394400,154332400
153,23311,14042574,,2009-01-01T00:00:00.000Z,287700,1439700,1727400,25278000,81508800,106786800
157,23343,14045008,,2012-01-01T00:00:00.000Z,1611700,8427600,10039300,35630000,128250900,163880900
161,23343,14045008,,2010-10-01T00:00:00.000Z,1289300,6234700,7524000,28504000,88194800,116698800
165,23343,14045008,01- Annual,2013-01-01T00:00:00.000Z,1611700,8427600,10039300,35630000,128250900,163880900
169,23343,14045008,03- Board of Equalization,2018-07-25T00:00:00.000Z,1611700,7637500,9249200,43774000,121872400,165646400
173,23343,14045008,01- Annual,2014-01-01T00:00:00.000Z,1611700,9546700,11158400,35630000,137308900,172938900
177,23343,14045008,03- Board of Equalization,2015-07-20T00:00:00.000Z,1649600,7682600,9332200,39193000,116757800,155950800
181,23344,14046006,01- Annual,2014-01-01T00:00:00.000Z,18700,0,18700,2435700,0,2435700
185,23344,14046006,01- Annual,2013-01-01T00:00:00.000Z,18700,0,18700,2435700,0,2435700
189,23344,14046006,,2011-01-01T00:00:00.000Z,17100,0,17100,2087700,0,2087700
193,23348,14046026,,2012-01-01T00:00:00.000Z,1400,0,1400,187800,0,187800
197,23348,14046026,,2008-01-01T00:00:00.000Z,1400,0,1400,177100,0,177100
201,23348,14046026,01- Annual,2017-01-01T00:00:00.000Z,1400,0,1400,230800,0,230800
205,23349,14046027,01- Annual,2016-01-01T00:00:00.000Z,8000,0,8000,1204900,0,1204900
209,23349,14046027,01- Annual,2018-01-01T00:00:00.000Z,8000,0,8000,1279300,0,1279300
213,23349,14046027,,2009-01-01T00:00:00.000Z,8000,0,8000,981800,0,981800
217,23349,14046027,01- Annual,2020-01-01T00:00:00.000Z,8600,0,8600,1279300,0,1279300
221,23350,14046028,,2010-01-01T00:00:00.000Z,7500,0,7500,974300,0,974300
225,23350,14046028,01- Annual,2019-01-01T00:00:00.000Z,9300,0,9300,1496200,0,1496200
229,23350,14046028,01- Annual,2015-01-01T00:00:00.000Z,9300,0,9300,1339600,0,1339600
233,23351,14046029,03- Board of Equalization,2014-10-06T00:00:00.000Z,155800,1015200,1171000,20317400,67225500,87542900
237,23351,14046029,03- Board of Equalization,2017-10-24T00:00:00.000Z,155800,919500,1075300,24961300,88328700,113290000
241,23351,14046029,,2009-09-01T00:00:00.000Z,155800,971200,1127000,19156400,77861500,97017900
245,23351,14046029,,2010-01-01T00:00:00.000Z,124600,920800,1045400,16253900,70169800,86423700
249,23351,14046029,03- Board of Equalization,2019-10-30T00:00:00.000Z,155800,1191600,1347400,24961300,88354100,113315400
253,23353,14047019,,2010-01-01T00:00:00.000Z,271700,3464600,3736300,18678800,129817800,148496600
257,23353,14047019,01- Annual,2019-01-01T00:00:00.000Z,339600,6781900,7121500,28685400,203928700,232614100
261,23353,14047019,01- Annual,2014-01-01T00:00:00.000Z,339600,4195400,4535000,23348600,198297800,221646400
265,23354,14047020,01- Annual,2016-01-01T00:00:00.000Z,387300,0,387300,30816400,0,30816400
