ID,Year,Method,"CLL.A.1_Quality of cultural and learning services and programs in Austin (e.g. libraries, museums, cultural centers and events)","CLL.A.3_Quality of the City's cultural and learning facilities (e.g. libraries, cultural centers, City museums)",CLL.A.4_Attended a cultural event or program organizedby the City in the past 6 months,CLL.A.5_Overall quality of life in the city,CLL.A.5_Have you participated in a City of Austin recreation program/event?,CLL.C.1_The City of Austin as a place where I feel welcome,CLL.D.1_Austin is a place that honors and preserves my personal heritage,CLL.E.1_CLL.E.2_Have you participated in a lifelong learning activity in the past 3 months (learning activity or class unrelated to work),"CLL.E.3_City-offered lifelong learning events, activities, and resources (Classes or learning materials)",HE.C.3_Overall quality of City of Austin parks and recreation programs or classesoffered by the City,"HE.C.3_Quality of City of Austin Park facilities (includes recreation, senior, nature,cultural centers and museums)",HE.C.3_Special/Weighted Measure,HE.E.2_I have frequent contact with friends and neighbors outside of my home,S.A.1_I feel safe in my neighborhood during the day,S.A.1_I feel safe in my neighborhood at night,S.A.1_I feel safe walking alone downtown during the day,S.A.1_I feel safe in my home,S.A.1_I feel safe walking alone downtown at night,S.A.1_S.B.4_I feel safe in my workplace,S.A.1_I feel safe in city parks,S.A.1_Special/Weighted Measure,S.A.2_I trust Austin Police Department (APD),S.A.2_I trust Austin Fire Department (AFD),S.A.2_I trust Emergency Medical Services (EMS),S.A.2_Special/Weighted Measure,"S.A.3_I am confident that in case of an emergency, my response will be delivered effectively","S.B.3_I have sufficient knowledge and understanding of community laws, codes, and ordinances",S.C.2_I have access to information and education on disasters and other major emergencies,"S.C.3_I feel prepared to help myself, my family, and my neighbors to respond to disasters and major emergencies","S.D.2_I feel I was treated fairly during my enforcement process (arrests, tickets, warnings, code violations)","S.D.2_I feel I was treated fairly during my judicial process (traffic and parking ticket processing, fine collections, misdemeanor court case appearances)",S.D.2_Special/Weighted Measure,M.B.2_Cost of transportation to get around Austin,M.B.3_Did your household reduce the total number of cars owned/leased in the household by one or more within the last year?,"M.C.2_Transportation options (aside from personal vehicle) to get around Austin (e.g. ride share, but/train, bike, walk)","M.E.1_Condition of major city streets (Congress Ave, Lamar, South First, Burnet, etc.)",M.E.2_Overall maintenance of city sidewalks,"GTW.B.6_Condition of City facilities and buildings (e.g. clean, safe, accessible)",GTW.B.6_Special/Weighted Measure,GTW.C.1_Services provided by the City’s 3-1-1 assistance telephone number,GTW.C.2_GTW.F.1_Overall quality of services provided by the City of Austin,GTW.C.3_Overall value that you receive for your city tax dollars and fees,GTW.E.2_Civic engagement experience with the City,GTW.E.3_The City’s effort to support dialogue between residents and government,GTW.G.1_Employees of the City of Austin are ethical in the way they conduct City business.,GTW.G.6_The City's efforts to be fair,GTW.G.6_The City's efforts to be transparent,GTW.G.6_Special/Weighted Measure,City,Council District,Block Level X Longitude,Block Level Y Latitude
2017_5108,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,2,2,0.6448,,4,2,2,,2,,2,,,,,,,,,,,,,,,,2,1,,,1,2,2,,2,4,,,,Austin,8,-97.785,30.222
2017_5110,01/01/2017 12:00:00 AM,Mail,,,,5,0,,,,,5,5,0.6448,,5,5,4,,3,,5,,,,,,,,,,,,,,,,4,3,,,5,5,4,,4,4,,,,Austin,9,-97.889,30.218
2017_5111,01/01/2017 12:00:00 AM,Mail,,,,9,0,,,,,9,4,0.6448,,4,2,4,,2,,3,,,,,,,,,,,,,,,,2,3,,,4,3,3,,2,9,,,,Austin,4,-97.723,30.254
2017_5112,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,3,2,0.6448,,4,3,4,,2,,3,,,,,,,,,,,,,,,,2,2,,,9,4,4,,9,4,,,,Austin,2,-97.763,30.233
2017_5113,01/01/2017 12:00:00 AM,Mail,,,,3,0,,,,,3,4,0.6448,,5,4,5,,4,,4,,,,,,,,,,,,,,,,4,3,,,5,4,4,,4,4,,,,Austin,1,-97.82,30.204
2017_5114,01/01/2017 12:00:00 AM,Mail,,,,3,0,,,,,3,3,0.6448,,5,4,5,,4,,3,,,,,,,,,,,,,,,,2,1,,,4,3,2,,1,4,,,,Austin,4,-97.793,30.174
2017_5115,01/01/2017 12:00:00 AM,Mail,,,,3,0,,,,,3,2,0.6448,,4,4,3,,2,,4,,,,,,,,,,,,,,,,3,2,,,9,3,2,,3,3,,,,Austin,7,-97.91,30.188
2017_5116,01/01/2017 12:00:00 AM,Mail,,,,3,0,,,,,9,3,0.6448,,4,4,4,,2,,3,,,,,,,,,,,,,,,,1,3,,,2,3,1,,1,3,,,,Austin,4,-97.733,30.305
2017_5117,01/01/2017 12:00:00 AM,Mail,,,,4,1,,,,,9,5,0.6448,,5,5,5,,3,,5,,,,,,,,,,,,,,,,4,2,,,4,4,4,,4,4,,,,Austin,9,-97.808,30.437
2017_5118,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,9,9,0.6448,,4,4,2,,1,,4,,,,,,,,,,,,,,,,2,2,,,3,3,4,,9,9,,,,Austin,4,-97.699,30.404
2017_5119,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,5,4,0.6448,,4,4,2,,2,,4,,,,,,,,,,,,,,,,4,3,,,5,4,3,,5,4,,,,Austin,4,-97.851,30.209
2017_5120,01/01/2017 12:00:00 AM,Mail,,,,4,1,,,,,9,5,0.6448,,5,5,5,,9,,3,,,,,,,,,,,,,,,,4,9,,,9,4,4,,5,9,,,,Austin,8,-97.883,30.194
2017_5121,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,9,5,0.6448,,5,5,5,,9,,5,,,,,,,,,,,,,,,,9,2,,,9,3,3,,9,9,,,,Austin,8,-97.73,30.256
2017_5122,01/01/2017 12:00:00 AM,Mail,,,,5,0,,,,,4,4,0.6448,,4,3,4,,2,,3,,,,,,,,,,,,,,,,4,4,,,4,5,5,,9,4,,,,Austin,5,-97.85,30.209
2015_894,01/01/2015 12:00:00 AM,,,,,4,1,,,,,9,9,0.6257,,4,4,3,,2,,3,,,,,,,,,,,,,,,,2,,,,9,3,4,,,2,,,,Austin,6,-97.798,30.495
2017_5124,01/01/2017 12:00:00 AM,Mail,,,,3,0,,,,,3,3,0.6448,,4,3,2,,1,,3,,,,,,,,,,,,,,,,2,3,,,3,3,2,,2,3,,,,Austin,6,-97.701,30.396
2017_5125,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,9,5,0.6448,,5,4,4,,3,,4,,,,,,,,,,,,,,,,5,4,,,5,4,4,,4,4,,,,Austin,3,-97.667,30.156
2017_5126,01/01/2017 12:00:00 AM,Mail,,,,5,0,,,,,9,4,0.6448,,5,4,5,,3,,5,,,,,,,,,,,,,,,,4,4,,,4,5,4,,4,3,,,,Austin,8,-97.725,30.232
2017_5127,01/01/2017 12:00:00 AM,Mail,,,,5,0,,,,,9,4,0.6448,,5,5,4,,3,,4,,,,,,,,,,,,,,,,4,4,,,4,5,5,,4,4,,,,Austin,10,-97.741,30.163
2017_5128,01/01/2017 12:00:00 AM,Mail,,,,4,1,,,,,5,4,0.6448,,4,4,2,,2,,2,,,,,,,,,,,,,,,,2,2,,,4,4,2,,2,2,,,,Austin,5,-97.79,30.19
2017_5129,01/01/2017 12:00:00 AM,Mail,,,,4,1,,,,,4,3,0.6448,,4,4,4,,2,,4,,,,,,,,,,,,,,,,4,2,,,5,3,2,,9,9,,,,Austin,1,-97.703,30.365
2017_5519,01/01/2017 12:00:00 AM,Mail,,,,4,1,,,,,4,4,0.6448,,5,4,4,,1,,4,,,,,,,,,,,,,,,,3,3,,,4,9,9,,9,9,,,,Austin,5,-97.846,30.377
2017_5130,01/01/2017 12:00:00 AM,Mail,,,,4,1,,,,,2,4,0.6448,,5,4,4,,1,,4,,,,,,,,,,,,,,,,4,5,,,5,4,2,,4,4,,,,Austin,8,-97.778,30.262
2017_5131,01/01/2017 12:00:00 AM,Mail,,,,5,1,,,,,4,4,0.6448,,5,5,5,,4,,5,,,,,,,,,,,,,,,,4,4,,,4,5,5,,4,5,,,,Austin,9,-97.673,30.38
2017_5132,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,9,9,0.6448,,5,5,4,,2,,3,,,,,,,,,,,,,,,,4,9,,,9,3,2,,3,3,,,,Austin,5,-97.757,30.241
2017_5133,01/01/2017 12:00:00 AM,Mail,,,,4,1,,,,,4,4,0.6448,,4,4,4,,3,,4,,,,,,,,,,,,,,,,4,2,,,4,4,3,,4,9,,,,Austin,3,-97.779,30.21
2017_5134,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,9,9,0.6448,,4,2,4,,3,,4,,,,,,,,,,,,,,,,1,9,,,5,3,3,,9,9,,,,Austin,3,-97.814,30.431
2017_5135,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,9,4,0.6448,,4,4,4,,4,,4,,,,,,,,,,,,,,,,3,2,,,9,3,4,,9,4,,,,Austin,1,-97.66,30.284
2017_5559,01/01/2017 12:00:00 AM,Mail,,,,3,0,,,,,2,9,0.6448,,4,4,9,,9,,4,,,,,,,,,,,,,,,,3,3,,,9,2,2,,9,9,,,,Austin,6,-97.831,30.431
2017_5136,01/01/2017 12:00:00 AM,Mail,,,,3,0,,,,,3,3,0.6448,,5,3,4,,3,,4,,,,,,,,,,,,,,,,2,4,,,3,3,3,,4,4,,,,Austin,9,-97.669,30.384
2017_5137,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,9,9,0.6448,,5,5,5,,4,,5,,,,,,,,,,,,,,,,5,4,,,9,4,9,,9,9,,,,Austin,9,-97.745,30.162
2017_5138,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,9,9,0.6448,,5,5,5,,5,,5,,,,,,,,,,,,,,,,3,3,,,3,4,4,,9,9,,,,Austin,4,-97.779,30.413
2017_5139,01/01/2017 12:00:00 AM,Mail,,,,2,0,,,,,9,9,0.6448,,4,4,5,,4,,4,,,,,,,,,,,,,,,,4,4,,,9,2,1,,9,2,,,,Austin,7,-97.841,30.186
2017_5140,01/01/2017 12:00:00 AM,Mail,,,,4,1,,,,,9,4,0.6448,,5,5,5,,4,,5,,,,,,,,,,,,,,,,4,3,,,4,3,3,,3,9,,,,Austin,8,-97.766,30.28
2017_5141,01/01/2017 12:00:00 AM,Mail,,,,2,1,,,,,2,3,0.6448,,4,4,4,,2,,3,,,,,,,,,,,,,,,,4,4,,,5,3,3,,9,9,,,,Austin,10,-97.806,30.439
2015_895,01/01/2015 12:00:00 AM,,,,,3,0,,,,,4,2,0.6257,,5,5,4,,2,,3,,,,,,,,,,,,,,,,3,,,,4,3,3,,,4,,,,Austin,2,-97.702,30.199
2017_5142,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,5,9,0.6448,,5,4,5,,3,,4,,,,,,,,,,,,,,,,3,2,,,9,3,3,,9,9,,,,Austin,9,-97.799,30.437
2017_5143,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,9,4,0.6448,,4,3,5,,2,,9,,,,,,,,,,,,,,,,4,1,,,5,3,2,,1,9,,,,Austin,3,-97.75,30.243
2017_5144,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,4,4,0.6448,,4,4,4,,3,,3,,,,,,,,,,,,,,,,1,2,,,9,3,3,,3,9,,,,Austin,9,-97.74,30.198
2017_5145,01/01/2017 12:00:00 AM,Mail,,,,3,0,,,,,9,3,0.6448,,4,2,4,,2,,5,,,,,,,,,,,,,,,,4,1,,,5,3,2,,9,9,,,,Austin,9,-97.858,30.206
2017_5146,01/01/2017 12:00:00 AM,Mail,,,,3,1,,,,,4,4,0.6448,,4,4,3,,1,,4,,,,,,,,,,,,,,,,3,4,,,2,4,2,,9,5,,,,Austin,5,-97.798,30.444
2017_5147,01/01/2017 12:00:00 AM,Mail,,,,3,0,,,,,9,2,0.6448,,5,5,4,,9,,4,,,,,,,,,,,,,,,,3,3,,,9,3,2,,3,3,,,,Austin,10,-97.789,30.354
2016_2524,01/01/2016 12:00:00 AM,,,,,3,0,,,,,4,3,0.6421,,4,4,3,,2,,4,,,,,,,,,,,,,,,,2,3,,,3,4,2,,,3,,,,Austin,8,-97.847,30.252
2017_5149,01/01/2017 12:00:00 AM,Mail,,,,4,1,,,,,3,3,0.6448,,5,4,3,,2,,4,,,,,,,,,,,,,,,,1,2,,,2,3,3,,2,4,,,,Austin,4,-97.788,30.201
2017_5150,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,9,4,0.6448,,4,4,5,,3,,4,,,,,,,,,,,,,,,,2,3,,,3,4,2,,2,2,,,,Austin,9,-97.774,30.427
2017_5151,01/01/2017 12:00:00 AM,Mail,,,,3,0,,,,,3,2,0.6448,,2,1,2,,1,,3,,,,,,,,,,,,,,,,2,2,,,5,2,2,,4,3,,,,Austin,1,-97.693,30.344
2017_5152,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,4,3,0.6448,,5,4,4,,2,,3,,,,,,,,,,,,,,,,3,3,,,5,3,3,,3,9,,,,Austin,10,-97.866,30.22
2017_5153,01/01/2017 12:00:00 AM,Mail,,,,4,1,,,,,3,3,0.6448,,5,4,4,,2,,4,,,,,,,,,,,,,,,,4,4,,,3,4,4,,2,4,,,,Austin,10,-97.768,30.363
2017_5154,01/01/2017 12:00:00 AM,Mail,,,,5,1,,,,,5,5,0.6448,,5,4,5,,5,,5,,,,,,,,,,,,,,,,4,4,,,9,4,3,,3,1,,,,Austin,9,-97.762,30.422
2016_2530,01/01/2016 12:00:00 AM,,,,,3,1,,,,,5,4,0.6421,,4,4,4,,2,,3,,,,,,,,,,,,,,,,2,3,,,3,2,2,,,4,,,,Austin,7,-97.736,30.358
2017_5155,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,4,4,0.6448,,4,3,4,,2,,4,,,,,,,,,,,,,,,,3,3,,,9,4,2,,9,9,,,,Austin,8,-97.658,30.396
2017_5156,01/01/2017 12:00:00 AM,Mail,,,,3,0,,,,,5,5,0.6448,,5,5,5,,3,,5,,,,,,,,,,,,,,,,2,3,,,5,2,1,,3,4,,,,Austin,10,-97.741,30.227
2017_5157,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,4,4,0.6448,,9,9,9,,9,,9,,,,,,,,,,,,,,,,4,4,,,4,4,3,,4,4,,,,Austin,10,-97.738,30.298
2017_5158,01/01/2017 12:00:00 AM,Mail,,,,3,1,,,,,1,1,0.6448,,4,4,4,,1,,4,,,,,,,,,,,,,,,,4,9,,,4,1,4,,1,4,,,,Austin,2,-97.752,30.304
2017_5159,01/01/2017 12:00:00 AM,Mail,,,,4,1,,,,,4,3,0.6448,,5,5,1,,1,,4,,,,,,,,,,,,,,,,3,3,,,4,4,3,,4,4,,,,Austin,6,-97.754,30.281
2017_5160,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,4,4,0.6448,,5,5,5,,9,,4,,,,,,,,,,,,,,,,3,3,,,9,4,4,,3,4,,,,Austin,10,-97.777,30.294
2015_304,01/01/2015 12:00:00 AM,,,,,4,1,,,,,4,4,0.6257,,4,4,2,,1,,3,,,,,,,,,,,,,,,,3,,,,4,4,2,,,9,,,,Austin,2,-97.791,30.193
2017_5162,01/01/2017 12:00:00 AM,Mail,,,,5,0,,,,,9,4,0.6448,,5,5,5,,5,,5,,,,,,,,,,,,,,,,3,5,,,9,3,2,,3,3,,,,Austin,10,-97.822,30.44
2017_5163,01/01/2017 12:00:00 AM,Mail,,,,2,1,,,,,4,4,0.6448,,4,2,2,,2,,4,,,,,,,,,,,,,,,,1,1,,,4,2,2,,2,4,,,,Austin,3,-97.871,30.214
2017_5164,01/01/2017 12:00:00 AM,Mail,,,,4,1,,,,,4,4,0.6448,,4,4,5,,4,,4,,,,,,,,,,,,,,,,4,4,,,4,4,3,,2,5,,,,Austin,10,-97.876,30.193
2017_5165,01/01/2017 12:00:00 AM,Mail,,,,5,0,,,,,5,5,0.6448,,5,4,4,,3,,4,,,,,,,,,,,,,,,,4,4,,,5,4,4,,2,4,,,,Austin,3,-97.837,30.209
2017_5166,01/01/2017 12:00:00 AM,Mail,,,,2,1,,,,,4,4,0.6448,,5,5,5,,1,,4,,,,,,,,,,,,,,,,2,2,,,4,3,1,,4,4,,,,Austin,10,-97.686,30.275
2017_5167,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,4,2,0.6448,,5,5,4,,4,,4,,,,,,,,,,,,,,,,4,4,,,4,4,2,,9,2,,,,Austin,9,-97.756,30.343
2017_5168,01/01/2017 12:00:00 AM,Mail,,,,1,1,,,,,4,4,0.6448,,4,4,4,,1,,3,,,,,,,,,,,,,,,,1,3,,,4,1,1,,2,2,,,,Austin,6,-97.838,30.287
2017_5169,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,4,4,0.6448,,5,4,9,,9,,4,,,,,,,,,,,,,,,,3,3,,,5,4,4,,4,5,,,,Austin,10,-97.682,30.412
2017_5170,01/01/2017 12:00:00 AM,Mail,,,,4,1,,,,,4,4,0.6448,,5,5,5,,5,,5,,,,,,,,,,,,,,,,4,3,,,5,4,3,,3,5,,,,Austin,9,-97.772,30.308
2017_5171,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,2,2,0.6448,,5,5,5,,2,,4,,,,,,,,,,,,,,,,2,2,,,5,2,2,,2,4,,,,Austin,10,-97.691,30.318
2017_5172,01/01/2017 12:00:00 AM,Mail,,,,5,1,,,,,9,9,0.6448,,5,5,5,,5,,9,,,,,,,,,,,,,,,,3,3,,,9,5,5,,9,5,,,,Austin,10,-97.699,30.265
2017_5173,01/01/2017 12:00:00 AM,Mail,,,,3,1,,,,,4,4,0.6448,,4,4,4,,2,,4,,,,,,,,,,,,,,,,2,2,,,4,4,2,,1,9,,,,Austin,8,-97.778,30.159
2017_5174,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,3,9,0.6448,,5,5,5,,3,,3,,,,,,,,,,,,,,,,3,1,,,4,3,3,,9,9,,,,Austin,6,-97.791,30.249
2017_5175,01/01/2017 12:00:00 AM,Mail,,,,3,1,,,,,5,5,0.6448,,4,3,2,,1,,3,,,,,,,,,,,,,,,,3,3,,,3,3,2,,3,3,,,,Austin,10,-97.745,30.35
2017_5176,01/01/2017 12:00:00 AM,Mail,,,,2,0,,,,,9,9,0.6448,,5,4,3,,2,,9,,,,,,,,,,,,,,,,3,4,,,9,4,1,,9,2,,,,Austin,6,-97.774,30.214
2017_5178,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,9,3,0.6448,,5,5,5,,5,,4,,,,,,,,,,,,,,,,1,3,,,3,3,3,,3,4,,,,Austin,10,-97.688,30.269
2017_5179,01/01/2017 12:00:00 AM,Mail,,,,5,1,,,,,9,4,0.6448,,5,4,5,,4,,4,,,,,,,,,,,,,,,,4,4,,,9,4,4,,4,9,,,,Austin,9,-97.778,30.447
2017_5180,01/01/2017 12:00:00 AM,Mail,,,,5,0,,,,,4,4,0.6448,,5,5,5,,4,,4,,,,,,,,,,,,,,,,4,4,,,4,5,4,,4,4,,,,Austin,10,-97.691,30.419
2017_5181,01/01/2017 12:00:00 AM,Mail,,,,5,0,,,,,2,2,0.6448,,5,4,2,,2,,2,,,,,,,,,,,,,,,,4,4,,,5,4,4,,4,4,,,,Austin,10,-97.796,30.264
2017_5182,01/01/2017 12:00:00 AM,Mail,,,,5,0,,,,,5,5,0.6448,,4,4,4,,2,,3,,,,,,,,,,,,,,,,3,5,,,5,5,4,,4,3,,,,Austin,6,-97.8,30.218
2017_5183,01/01/2017 12:00:00 AM,Mail,,,,3,0,,,,,4,4,0.6448,,4,4,3,,2,,3,,,,,,,,,,,,,,,,2,2,,,4,3,2,,3,3,,,,Austin,6,-97.664,30.386
2017_5184,01/01/2017 12:00:00 AM,Mail,,,,3,1,,,,,5,5,0.6448,,4,3,3,,2,,3,,,,,,,,,,,,,,,,3,3,,,4,3,3,,4,4,,,,Austin,10,-97.789,30.188
2017_5185,01/01/2017 12:00:00 AM,Mail,,,,4,1,,,,,5,5,0.6448,,5,5,5,,4,,5,,,,,,,,,,,,,,,,4,4,,,5,3,3,,9,5,,,,Austin,9,-97.731,30.348
2017_5186,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,9,9,0.6448,,4,3,4,,4,,4,,,,,,,,,,,,,,,,2,9,,,5,3,2,,2,4,,,,Austin,9,-97.796,30.181
2017_5187,01/01/2017 12:00:00 AM,Mail,,,,4,9,,,,,9,4,0.6448,,4,4,3,,3,,3,,,,,,,,,,,,,,,,3,2,,,3,4,4,,9,9,,,,Austin,7,-97.772,30.32
2015_314,01/01/2015 12:00:00 AM,,,,,4,1,,,,,4,4,0.6257,,5,5,5,,4,,5,,,,,,,,,,,,,,,,4,,,,4,4,4,,,4,,,,Austin,2,-97.756,30.18
2017_5189,01/01/2017 12:00:00 AM,Mail,,,,3,0,,,,,4,4,0.6448,,3,3,3,,2,,3,,,,,,,,,,,,,,,,2,1,,,5,2,2,,1,1,,,,Austin,1,-97.735,30.226
2017_5190,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,3,3,0.6448,,5,5,4,,2,,4,,,,,,,,,,,,,,,,1,5,,,4,2,1,,4,2,,,,Austin,10,-97.673,30.36
2017_5191,01/01/2017 12:00:00 AM,Mail,,,,5,1,,,,,9,4,0.6448,,5,4,5,,4,,4,,,,,,,,,,,,,,,,5,4,,,9,4,4,,4,3,,,,Austin,3,-97.768,30.403
2017_5192,01/01/2017 12:00:00 AM,Mail,,,,5,0,,,,,4,5,0.6448,,5,5,5,,5,,5,,,,,,,,,,,,,,,,3,2,,,3,4,5,,9,1,,,,Austin,9,-97.748,30.344
2017_5193,01/01/2017 12:00:00 AM,Mail,,,,5,0,,,,,9,4,0.6448,,5,4,5,,4,,5,,,,,,,,,,,,,,,,4,2,,,4,4,4,,4,4,,,,Austin,1,-97.772,30.397
2017_5194,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,4,5,0.6448,,5,5,5,,3,,5,,,,,,,,,,,,,,,,3,3,,,5,5,3,,5,5,,,,Austin,8,-97.712,30.429
2017_5195,01/01/2017 12:00:00 AM,Mail,,,,2,0,,,,,4,3,0.6448,,5,4,3,,1,,3,,,,,,,,,,,,,,,,2,1,,,4,4,2,,3,9,,,,Austin,10,-97.767,30.501
2017_5196,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,9,9,0.6448,,4,4,4,,3,,4,,,,,,,,,,,,,,,,3,2,,,9,3,3,,3,3,,,,Austin,8,-97.754,30.293
2017_5197,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,9,4,0.6448,,5,5,4,,3,,9,,,,,,,,,,,,,,,,4,2,,,3,4,1,,4,4,,,,Austin,5,-97.76,30.249
2017_5198,01/01/2017 12:00:00 AM,Mail,,,,3,0,,,,,9,9,0.6448,,5,4,3,,2,,3,,,,,,,,,,,,,,,,2,2,,,4,4,1,,3,4,,,,Austin,10,-97.648,30.375
2017_5199,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,9,9,0.6448,,4,4,9,,9,,9,,,,,,,,,,,,,,,,4,3,,,5,4,2,,9,9,,,,Austin,1,-97.729,30.336
2017_5200,01/01/2017 12:00:00 AM,Mail,,,,2,0,,,,,9,4,0.6448,,4,4,9,,9,,9,,,,,,,,,,,,,,,,4,9,,,2,2,2,,2,4,,,,Austin,1,-97.794,30.182
2016_2548,01/01/2016 12:00:00 AM,,,,,4,0,,,,,4,4,0.6421,,4,2,4,,2,,3,,,,,,,,,,,,,,,,3,3,,,5,4,4,,,5,,,,Austin,4,-97.723,30.322
2017_5201,01/01/2017 12:00:00 AM,Mail,,,,3,0,,,,,3,4,0.6448,,5,5,5,,2,,4,,,,,,,,,,,,,,,,2,1,,,4,2,2,,1,3,,,,Austin,7,-97.738,30.347
2017_5202,01/01/2017 12:00:00 AM,Mail,,,,5,1,,,,,9,9,0.6448,,5,5,5,,5,,5,,,,,,,,,,,,,,,,4,2,,,9,4,4,,5,5,,,,Austin,10,-97.684,30.428
2017_5203,01/01/2017 12:00:00 AM,Mail,,,,4,1,,,,,9,4,0.6448,,5,5,5,,4,,5,,,,,,,,,,,,,,,,4,4,,,5,4,4,,9,4,,,,Austin,10,-97.733,30.406
2017_5204,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,9,4,0.6448,,5,4,4,,3,,5,,,,,,,,,,,,,,,,4,4,,,4,4,4,,4,4,,,,Austin,9,-97.782,30.195
2017_5205,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,4,4,0.6448,,4,3,4,,3,,3,,,,,,,,,,,,,,,,3,3,,,4,2,3,,4,2,,,,Austin,7,-97.695,30.42
2017_5206,01/01/2017 12:00:00 AM,Mail,,,,3,0,,,,,9,4,0.6448,,4,4,4,,2,,4,,,,,,,,,,,,,,,,3,2,,,4,3,2,,9,4,,,,Austin,9,-97.821,30.459
2017_5207,01/01/2017 12:00:00 AM,Mail,,,,4,1,,,,,4,4,0.6448,,4,4,3,,3,,3,,,,,,,,,,,,,,,,4,3,,,3,4,4,,4,4,,,,Austin,1,-97.812,30.191
2017_5208,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,9,9,0.6448,,5,4,5,,3,,3,,,,,,,,,,,,,,,,2,4,,,4,3,2,,1,2,,,,Austin,9,-97.679,30.3
2017_5392,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,3,4,0.6448,,5,4,2,,1,,2,,,,,,,,,,,,,,,,4,4,,,9,3,3,,3,3,,,,Austin,6,-97.738,30.164
2017_5209,01/01/2017 12:00:00 AM,Mail,,,,4,1,,,,,9,4,0.6448,,4,4,5,,3,,5,,,,,,,,,,,,,,,,4,2,,,4,2,2,,4,4,,,,Austin,9,-97.729,30.302
2016_2162,01/01/2016 12:00:00 AM,,,,,3,0,,,,,4,4,0.6421,,5,4,3,,2,,9,,,,,,,,,,,,,,,,3,3,,,4,3,3,,,4,,,,Austin,6,-97.821,30.456
2017_5210,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,9,2,0.6448,,5,5,5,,4,,4,,,,,,,,,,,,,,,,3,2,,,9,4,2,,2,4,,,,Austin,5,-97.815,30.157
2017_5211,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,4,3,0.6448,,5,5,3,,1,,3,,,,,,,,,,,,,,,,3,4,,,2,4,3,,9,1,,,,Austin,6,-97.671,30.318
2017_5212,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,3,3,0.6448,,5,5,5,,4,,5,,,,,,,,,,,,,,,,2,1,,,4,2,2,,2,2,,,,Austin,9,-97.734,30.241
2017_5213,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,9,3,0.6448,,3,2,3,,2,,3,,,,,,,,,,,,,,,,3,9,,,5,4,3,,9,3,,,,Austin,9,-97.812,30.202
2017_5214,01/01/2017 12:00:00 AM,Mail,,,,4,1,,,,,4,5,0.6448,,5,5,5,,2,,3,,,,,,,,,,,,,,,,3,3,,,9,4,2,,3,4,,,,Austin,10,-97.749,30.179
2017_5215,01/01/2017 12:00:00 AM,Mail,,,,2,0,,,,,4,9,0.6448,,4,4,4,,2,,9,,,,,,,,,,,,,,,,2,2,,,4,2,2,,2,4,,,,Austin,10,-97.781,30.501
2017_5216,01/01/2017 12:00:00 AM,Web,,,,4,0,,,,,5,5,0.6448,,5,5,4,,4,,5,,,,,,,,,,,,,,,,4,4,,,9,5,5,,5,5,,,,Austin,9,-97.719,30.289
2017_5217,01/01/2017 12:00:00 AM,Mail,,,,5,1,,,,,5,5,0.6448,,4,3,4,,3,,4,,,,,,,,,,,,,,,,4,3,,,4,4,3,,4,5,,,,Austin,3,-97.716,30.264
