Reporting Area,MMWR Year,MMWR Week,"Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Current week","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Current week, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Previous 52 weeks Max†","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Previous 52 weeks Max†, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Cum 2019†","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Cum 2019†, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Cum 2018†","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Cum 2018†, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Current week","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Current week, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Previous 52 weeks Max†","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Previous 52 weeks Max†, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Cum 2019†","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Cum 2019†, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Cum 2018†","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Cum 2018†, flag",Location 1,Location 2
NEW ENGLAND,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND
MIDDDLE ATLANTIC,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,MIDDDLE ATLANTIC
NEW YORK CITY,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
EAST NORTH CENTRAL,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL
MOUNTAIN,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,MOUNTAIN
PACIFIC,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,PACIFIC
US TERRITORIES,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
AMERICAN SAMOA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA
NON-US RESIDENTS,2019,4,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
TOTAL,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,TOTAL
U.S. VIRGIN ISLANDS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
INDIANA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
KENTUCKY,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
IOWA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
TENNESSEE,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
WYOMING,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
WISCONSIN,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
VIRGINIA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
ARKANSAS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NEVADA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
COLORADO,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
TEXAS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
MARYLAND,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
NEW JERSEY,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
FLORIDA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
ARIZONA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
MICHIGAN,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NORTH CAROLINA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
HAWAII,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
WEST VIRGINIA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
ALASKA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
DELAWARE,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MISSOURI,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
GUAM,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WASHINGTON,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
NORTH DAKOTA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
OKLAHOMA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
LOUISIANA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
SOUTH DAKOTA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
KANSAS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
PUERTO RICO,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MISSISSIPPI,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEW HAMPSHIRE,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
DISTRICT OF COLUMBIA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
VERMONT,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NEBRASKA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
SOUTH CAROLINA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
MASSACHUSETTS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
MONTANA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NEW YORK,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
OHIO,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
NEW MEXICO,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
MAINE,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
RHODE ISLAND,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
CALIFORNIA,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
OREGON,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
ALABAMA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
NORTHERN MARIANA ISLANDS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
GEORGIA,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MINNESOTA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
CONNECTICUT,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
IDAHO,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
ILLINOIS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
PENNSYLVANIA,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
UTAH,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
US RESIDENTS,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,US RESIDENTS
NEW ENGLAND,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND
MIDDDLE ATLANTIC,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,MIDDDLE ATLANTIC
NEW YORK CITY,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
EAST NORTH CENTRAL,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL
MOUNTAIN,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,MOUNTAIN
PACIFIC,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,PACIFIC
US TERRITORIES,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
AMERICAN SAMOA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA
NON-US RESIDENTS,2019,5,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
TOTAL,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,TOTAL
TENNESSEE,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
KANSAS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
COLORADO,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
WYOMING,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
IOWA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
NEW HAMPSHIRE,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
FLORIDA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
VERMONT,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NORTH CAROLINA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
PUERTO RICO,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
SOUTH CAROLINA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
NORTHERN MARIANA ISLANDS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
KENTUCKY,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
ALABAMA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
SOUTH DAKOTA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MISSOURI,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
OHIO,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
NEW YORK,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
UTAH,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
VIRGINIA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NEW JERSEY,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
MICHIGAN,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
MINNESOTA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MONTANA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NORTH DAKOTA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
CONNECTICUT,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
DISTRICT OF COLUMBIA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ALASKA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
LOUISIANA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
OKLAHOMA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
DELAWARE,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
INDIANA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
WEST VIRGINIA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MASSACHUSETTS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
CALIFORNIA,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
ARKANSAS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
TEXAS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
NEBRASKA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NEVADA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
WISCONSIN,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
GEORGIA,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
WASHINGTON,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
U.S. VIRGIN ISLANDS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW MEXICO,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
MARYLAND,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
GUAM,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
ILLINOIS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
RHODE ISLAND,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MAINE,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
PENNSYLVANIA,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
MISSISSIPPI,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
ARIZONA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
HAWAII,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
OREGON,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
IDAHO,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
US RESIDENTS,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,,US RESIDENTS
NEW ENGLAND,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND
MIDDDLE ATLANTIC,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,,MIDDDLE ATLANTIC
NEW YORK CITY,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
EAST NORTH CENTRAL,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL
MOUNTAIN,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,MOUNTAIN
PACIFIC,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,,PACIFIC
US TERRITORIES,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
AMERICAN SAMOA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA
NON-US RESIDENTS,2019,6,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
TOTAL,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,,TOTAL
ILLINOIS,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
KENTUCKY,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
FLORIDA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
NEW HAMPSHIRE,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
OHIO,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
PUERTO RICO,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
GUAM,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEW JERSEY,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
OKLAHOMA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
NEW MEXICO,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
NORTHERN MARIANA ISLANDS,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
KANSAS,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
NORTH CAROLINA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
TEXAS,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
WEST VIRGINIA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
CALIFORNIA,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
NORTH DAKOTA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MISSISSIPPI,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
VIRGINIA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
MONTANA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
INDIANA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
OREGON,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
ARKANSAS,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MINNESOTA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MICHIGAN,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
PENNSYLVANIA,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
ALABAMA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MARYLAND,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
WASHINGTON,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
WYOMING,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
IDAHO,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
SOUTH DAKOTA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
DISTRICT OF COLUMBIA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
GEORGIA,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
WISCONSIN,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
TENNESSEE,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
CONNECTICUT,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
SOUTH CAROLINA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
VERMONT,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MAINE,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
IOWA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
NEW YORK,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
ALASKA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MASSACHUSETTS,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
DELAWARE,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
ARIZONA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
HAWAII,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
U.S. VIRGIN ISLANDS,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
COLORADO,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
NEBRASKA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NEVADA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MISSOURI,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
LOUISIANA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
UTAH,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
RHODE ISLAND,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
US RESIDENTS,2019,7,,-,1,,,-,,-,,-,0,,,-,,-,,US RESIDENTS
NEW ENGLAND,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND
MIDDDLE ATLANTIC,2019,7,,-,1,,,-,,-,,-,0,,,-,,-,,MIDDDLE ATLANTIC
NEW YORK CITY,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
EAST NORTH CENTRAL,2019,7,,-,1,,,-,,-,,-,0,,,-,,-,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,7,,-,1,,,-,,-,,-,0,,,-,,-,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL
MOUNTAIN,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,MOUNTAIN
PACIFIC,2019,7,,-,1,,,-,,-,,-,0,,,-,,-,,PACIFIC
US TERRITORIES,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
AMERICAN SAMOA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA
NON-US RESIDENTS,2019,7,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
TOTAL,2019,7,,-,1,,,-,,-,,-,0,,,-,,-,,TOTAL
