Project Number,Description,Start Date,Target Date,Campus,Economic Development Region,Project Phase,Purpose,Managed by SUCF,Project Status
07xA84,Construct School of Pharmacy,02/14/2014,10/22/2021,Binghamton University,Southern Tier,Pending Final Construction Payment,New Facilities and Equipment Replacement,Y,Active
07XA85,Replace Event Center Roof,05/19/2014,02/20/2015,Binghamton University,Southern Tier,Closed,Preservation of Facilities,N,Complete
07XA86,Rehab Laboratories Science II,03/06/2014,10/18/2016,Binghamton University,Southern Tier,Closed,Preservation of Facilities,N,Complete
07XA87, Reconstruct East Drive,05/19/2014,11/26/2014,Binghamton University,Southern Tier,Closed,Preservation of Facilities,N,Complete
07XA88, Replace Emergency Generators,04/15/2015,01/30/2017,Binghamton University,Southern Tier,Closed,"Health, Safety, Security",N,Complete
07XA89,Rehab Nelson A. Rockefeller Center,03/06/2014,10/03/2016,Binghamton University,Southern Tier,Closed,Preservation of Facilities,N,Complete
07XA90,Rehab/ Addition for Globalization Center,07/25/2016,11/29/2018,Binghamton University,Southern Tier,Closed,Program Improvement or Program Change,N,Complete
07XA91,Replace Sprinkler System-Fine Arts Museum,05/26/2014,03/13/2015,Binghamton University,Southern Tier,Closed,Preservation of Facilities,N,Complete
07XA92,Renovate Lecture Hall & Library - Various Spaces,10/01/2014,09/13/2016,Binghamton University,Southern Tier,Closed,Preservation of Facilities,N,Complete
07XM08,Minor Rehab 08-13,04/01/2008,06/10/2014,Binghamton University,Southern Tier,Closed,Preservation of Facilities,N,Complete
07XM13,Minor Critical Maintenance,04/01/2013,08/19/2014,Binghamton University,Southern Tier,Closed,Preservation of Facilities,N,Complete
07xM14,Minor Critical Maintenance,04/21/2015,08/19/2016,Binghamton University,Southern Tier,Closed,Preservation of Facilities,N,Complete
081000,"Upgrade HVAC Systems at Dorsky Museum, Bldg. No. 31B",11/10/2014,05/13/2020,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,Y,Complete
081001,CPR Engineering Hub 20/20,08/03/2015,01/07/2019,SUNY New Paltz,Mid - Hudson,In Construction,Program Improvement or Program Change,N,Active
081002,Minor Critical Maintenance 2015-16,05/11/2015,09/28/2016,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
081003,Upgrade Chiller McKenna,05/20/2015,06/01/2016,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
081004,Replace Railing Pedestrian Walkway Bridge,11/02/2015,07/31/2018,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
081005,"Replace Roof, Fine Arts Building",09/01/2015,06/05/2020,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,Y,Complete
081006,Replace Pump Seals - Central Heating Plant,07/31/2015,08/31/2017,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
081007,"Upgrade HVAC Systems, Coykendall Science Bldg.",11/02/2015,11/30/2020,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,Y,Complete
081009,Renovate Parker Theatre Cafe,12/17/2015,08/31/2017,SUNY New Paltz,Mid - Hudson,Closed,Program Improvement or Program Change,N,Complete
081010,Renovate Hasbrook Hall for Bakery,02/02/2016,03/20/2018,SUNY New Paltz,Mid - Hudson,Closed,Program Improvement or Program Change,N,Complete
081011,Minor Critical Maintenance 16-17,03/08/2016,03/05/2018,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
081012,Emergency Floor Replacement - Fine Arts,05/20/2016,08/07/2017,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
081013,Exterior Rehab Various Buildings,06/08/2016,06/09/2023,SUNY New Paltz,Mid - Hudson,In Construction,Preservation of Facilities,Y,Active
081014,Replace Freight Elevator- Fine Arts Building,06/08/2016,12/11/2018,SUNY New Paltz,Mid - Hudson,In Guarantee,Preservation of Facilities,Y,Complete
081015,Site Representative- Campus (JL),05/23/2016,05/15/2020,SUNY New Paltz,Mid - Hudson,In Construction,Preservation of Facilities,N,Active
081016,Site Representative- SUCF  (LN),05/23/2016,12/29/2020,SUNY New Paltz,Mid - Hudson,In Construction,Preservation of Facilities,N,Active
081017,Site Representative- Campus (GN),05/23/2016,12/31/2020,SUNY New Paltz,Mid - Hudson,In Construction,Preservation of Facilities,N,Active
081018,Upgrade Lecture Center Mechanical System,06/10/2016,12/21/2023,SUNY New Paltz,Mid - Hudson,In Design,Preservation of Facilities,Y,Active
081019,Replace Roof - Rehabilitate 4th Floors Student Union,06/14/2016,07/13/2023,SUNY New Paltz,Mid - Hudson,In Design,Preservation of Facilities,Y,Active
081020,Renovate Speech-Language Hearing Center,10/13/2015,06/27/2018,SUNY New Paltz,Mid - Hudson,Closed,Accreditation,N,Complete
081021,Asbestos Abatement Campus Wide,07/21/2016,03/29/2021,SUNY New Paltz,Mid - Hudson,In Construction,"Health, Safety, Security",N,Active
081022,Renovate Corridors & Locker Areas - Smiley Arts,07/21/2016,05/06/2019,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
081023,Site Representative- Campus (NAME2),07/21/2016,07/17/2019,SUNY New Paltz,Mid - Hudson,In Planning,Preservation of Facilities,N,Active
081024,Site Representative- SUCF (ME),07/21/2016,07/17/2019,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
081025,Renovate Basement Haggerty Hall,11/03/2016,08/20/2018,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
081026,Restore Stained Glass Windows - Old Main,11/03/2016,12/31/2018,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
081027,Rehab Athletic Courts,12/15/2016,08/18/2020,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
081028,Replace Sprinklers at Baseball and Softball Fields,03/08/2017,09/03/2020,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
081029,Install Interior LED Lighting- Campus-wide,03/08/2017,12/27/2018,SUNY New Paltz,Mid - Hudson,Closed,Energy Conservation,N,Complete
081030,Minor Critical Maintenance 17-18,05/08/2017,04/05/2019,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
081031,Site Representative - Campus (ET),06/08/2017,03/31/2020,SUNY New Paltz,Mid - Hudson,In Construction,Preservation of Facilities,N,Active
081032,Update Facility Master Plan,09/25/2017,09/21/2018,SUNY New Paltz,Mid - Hudson,Closed,Program Improvement or Program Change,N,Complete
081033,Replace HTHW line to Old Library,12/18/2017,04/07/2022,SUNY New Paltz,Mid - Hudson,In Guarantee,Preservation of Facilities,Y,Active
081034,"Repair Replace Facade, Fine Arts Building",12/18/2017,05/13/2024,SUNY New Paltz,Mid - Hudson,In Design,Preservation of Facilities,Y,Active
081035,"Masonry Restoration, Various Buildings, Phase 1",12/18/2017,09/08/2021,SUNY New Paltz,Mid - Hudson,In Construction,Preservation of Facilities,Y,Active
081036,"Replace VAT Floors at Smiley Arts, McKenna & Jacobson",02/13/2018,12/02/2020,SUNY New Paltz,Mid - Hudson,In Construction,Preservation of Facilities,N,Active
081037,Renovate Student Union 2nd Floor Lobby,03/13/2018,05/11/2020,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
081038,Minor Critical Maintenance FY2018/19,04/16/2018,06/29/2020,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Cancelled
081039,"Hardscape Improvements, Campus-Wide",07/16/2018,11/25/2020,SUNY New Paltz,Mid - Hudson,In Construction,Preservation of Facilities,N,Active
081040,Replace Master Meters Water,07/16/2018,12/03/2020,SUNY New Paltz,Mid - Hudson,In Construction,Energy Conservation,N,Active
081041,Central Heating Plant Assessment Study,07/18/2018,12/14/2020,SUNY New Paltz,Mid - Hudson,In Design,Energy Conservation,N,Active
081042,Comprehensive Energy Master Plan,08/15/2018,09/12/2018,SUNY New Paltz,Mid - Hudson,Closed,Energy Conservation,N,Complete
081043,Masonry Repairs at Exterior Entrances and Site Work - Old Main,11/08/2018,05/22/2024,SUNY New Paltz,Mid - Hudson,In Design,Preservation of Facilities,Y,Active
081044,"CANCELLED  Replace Fire Alarm System, Various Bldgs.",11/08/2018,09/18/2023,SUNY New Paltz,Mid - Hudson,Closed,"Health, Safety, Security",Y,Cancelled
081045,Replace Roof Old Library,11/16/2018,09/29/2021,SUNY New Paltz,Mid - Hudson,In Construction,Preservation of Facilities,N,Active
081046,Service Building Addition,11/29/2018,03/31/2026,SUNY New Paltz,Mid - Hudson,In Planning,Program Improvement or Program Change,N,Active
081047,"Replace Roofs - Smiley Arts, College Theater, Dorsky Museum  and Faculty Office Building",02/07/2019,06/26/2024,SUNY New Paltz,Mid - Hudson,In Design,Preservation of Facilities,Y,Active
081048,Replace Central Heating Plant Makeup Tank/ HTHW Controls and Boiler Controls,02/06/2019,09/22/2021,SUNY New Paltz,Mid - Hudson,In Planning,Preservation of Facilities,N,Active
081049,Upgrade Exterior Wayfinding/Directional/Informational Signage Campus Wide,02/06/2019,05/12/2022,SUNY New Paltz,Mid - Hudson,In Design,Preservation of Facilities,N,Active
081050,Replace HTHW Heat Exchanger at Fine Arts Building,02/05/2019,08/19/2021,SUNY New Paltz,Mid - Hudson,In Construction,Preservation of Facilities,N,Active
081051,"Replace Condensate Pipes in Coykendall Science, Student Union and Old Main",02/11/2019,06/07/2022,SUNY New Paltz,Mid - Hudson,In Planning,Preservation of Facilities,N,Active
081052,Minor Critical Maintenance FY 2019-2020,02/11/2019,03/24/2021,SUNY New Paltz,Mid - Hudson,In Construction,Preservation of Facilities,N,Active
081053,Rehab Haggerty Administration Building Plaza Stairs & Flatwork,02/13/2019,08/26/2021,SUNY New Paltz,Mid - Hudson,In Construction,"Health, Safety, Security",N,Active
081054,Information Technology System Master Plan,04/08/2019,02/11/2021,SUNY New Paltz,Mid - Hudson,In Planning,Preservation of Facilities,Y,Active
081055,"Replace Existing Interior Lighting with LED Lighting, Various Buildings",04/16/2019,12/29/2021,SUNY New Paltz,Mid - Hudson,In Construction,Energy Conservation,N,Active
081056,"Renovate Peregrine Dining Hall, Bldg. No. 032",04/16/2019,02/08/2030,SUNY New Paltz,Mid - Hudson,In Planning,Preservation of Facilities,Y,Active
081057,Renovate Smiley Arts for DigiFab Lab/ Theatre Rehearsal Space,05/02/2019,08/03/2020,SUNY New Paltz,Mid - Hudson,Closed,Program Improvement or Program Change,N,Complete
081058,Upgrade Elevators Campus Wide,08/23/2019,09/08/2026,SUNY New Paltz,Mid - Hudson,In Planning,"Health, Safety, Security",Y,Active
081059,"Replace Emergency Generators - Campus Wide, Phase I",09/10/2019,01/14/2025,SUNY New Paltz,Mid - Hudson,In Planning,"Health, Safety, Security",Y,Active
081060,Renovate HAB Basement for Scholar's Mentorship Suite,11/22/2019,12/06/2021,SUNY New Paltz,Mid - Hudson,In Construction,Preservation of Facilities,N,Active
081061,"Renovate Studley Theatre, Old Main",12/04/2019,07/21/2022,SUNY New Paltz,Mid - Hudson,In Planning,Preservation of Facilities,N,Active
081062,Renovate College & Shango Hall,12/02/2019,03/11/2030,SUNY New Paltz,Mid - Hudson,In Planning,Program Improvement or Program Change,Y,Active
081063,Replace Haggerty Administration Building North Steps,05/01/2020,09/23/2021,SUNY New Paltz,Mid - Hudson,In Planning,Preservation of Facilities,N,Active
081064,Minor Critical Maintenance 2020-2021,02/26/2020,06/09/2021,SUNY New Paltz,Mid - Hudson,In Planning,Preservation of Facilities,N,Active
081065,Hardscape Improvements Campus-Wide Phase 2,05/03/2021,10/27/2022,SUNY New Paltz,Mid - Hudson,In Planning,Preservation of Facilities,N,Active
08X397,Construct Athletic Center,07/30/1999,01/08/2021,SUNY New Paltz,Mid - Hudson,Pending Final Construction Payment,New Facilities and Equipment Replacement,Y,Active
08X416,Replace High Temperature Hot Water Lines,04/04/2003,07/12/2016,SUNY New Paltz,Mid - Hudson,Final Construction Payment,Preservation of Facilities,Y,Active
08X436,Upgrade Site Electric Distribution System,08/01/2009,08/05/2020,SUNY New Paltz,Mid - Hudson,In Guarantee,Preservation of Facilities,Y,Active
08X438,Renovate Building 1 - Old Main,03/01/2006,10/28/2020,SUNY New Paltz,Mid - Hudson,Pending Final Construction Payment,Preservation of Facilities,Y,Active
08X467,Replace Roofs - Various Buildings,03/12/2008,01/03/2017,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,Y,Complete
08X468,Site Renovation - Phase I & II,04/01/2008,12/07/2018,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
08X471,Library Renovation Sojourner Truth Library,04/01/2008,07/31/2020,SUNY New Paltz,Mid - Hudson,In Guarantee,Program Improvement or Program Change,Y,Active
08X472,Abate Asbestos - Various Buildings,04/01/2008,02/17/2015,SUNY New Paltz,Mid - Hudson,Closed,"Health, Safety, Security",N,Complete
08X473,New Science Building,09/01/2009,04/30/2021,SUNY New Paltz,Mid - Hudson,In Guarantee,New Facilities and Equipment Replacement,Y,Active
08X474,ADA Improvements - Various Bldgs / Site,10/31/2008,02/23/2015,SUNY New Paltz,Mid - Hudson,Closed,Facilities for Physically Disabled,N,Complete
08X475,Wooster Building Renovations,10/20/2008,03/18/2021,SUNY New Paltz,Mid - Hudson,In Guarantee,Preservation of Facilities,Y,Active
08X476,Pavement and Walkway Upgrades Campus Wid,05/01/2009,03/31/2014,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
08X481,Jacobson Faculty Tower Elevator Rehabilitation,03/01/2011,12/29/2014,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
08X482,"Renovate Elting Athletic Facility, Building No. 05",11/01/2016,08/15/2030,SUNY New Paltz,Mid - Hudson,Closed,Program Improvement or Program Change,Y,Complete
08x489,Refurbish Pool-Elting Athletic Facility,08/07/2013,04/21/2016,SUNY New Paltz,Mid - Hudson,Closed,"Health, Safety, Security",N,Complete
08X490,"Renovate Locker Rooms, Elting Athletic Complex, Building No. 5",12/10/2010,05/19/2020,SUNY New Paltz,Mid - Hudson,In Guarantee,Preservation of Facilities,Y,Active
08X491,"Renovate Service Building, Bldg. No. 029",01/10/2014,08/29/2016,SUNY New Paltz,Mid - Hudson,Closed,Program Improvement or Program Change,N,Complete
08x492,Coykendall Fire Alarm Upgrade,12/02/2013,06/05/2015,SUNY New Paltz,Mid - Hudson,Closed,"Health, Safety, Security",N,Complete
08x493,Humanities Building Basement Remediation,02/07/2014,05/22/2015,SUNY New Paltz,Mid - Hudson,Closed,"Health, Safety, Security",N,Complete
08X494,Reconstruct Campus Walkways and Paths,12/31/2014,11/05/2015,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
08X495,Wooster Cafe,01/15/2015,06/20/2016,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
08X496,"Replace Plaza Deck, Haggerty Administration & Student Union Bldgs 39 and 38",09/15/2014,06/18/2020,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,Y,Complete
08X497,Construct 3D Printing Lab - 20/20,09/01/2017,01/11/2019,SUNY New Paltz,Mid - Hudson,Closed,Program Improvement or Program Change,N,Cancelled
08X498,Rebuild Generator #3 - Central Heating Plant,12/01/2014,05/11/2020,SUNY New Paltz,Mid - Hudson,Final Construction Payment,Preservation of Facilities,Y,Active
08X499,Exterior LED Lighting - Campus Wide,04/03/2017,05/21/2020,SUNY New Paltz,Mid - Hudson,In Construction,Energy Conservation,N,Active
08X642,Site Representative - LN - SUCF,02/19/2008,06/01/2016,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
08X643,Site Representative - (JL) - Campus,08/24/2010,06/01/2016,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
08X645,Site Representative - Campus,07/25/2011,03/31/2014,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
08X646,Site Representative - Campus,07/25/2011,05/03/2016,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
08X7A7,Site Storm Water Remediation - HAB,06/01/2011,08/15/2014,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,Y,Complete
08X7B3,Old Main Renovation - Project Close-out,07/01/2011,12/31/2013,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,Y,Complete
08X7B5,Additional Project Close-Out - Old Main,04/30/2014,05/26/2016,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,Y,Complete
08X7B6,"Asbestos Remediation, Library",10/03/2012,10/01/2014,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,Y,Complete
08X7B7,"Mechancial and Electrical Remediation, Library",10/03/2012,05/20/2015,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,Y,Complete
08X7B8,Restore Athletic Field,05/02/2013,05/12/2014,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,Y,Complete
08X7B9,Selective Abatement - Sojourner Truth Library,12/20/2012,02/26/2014,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,Y,Complete
08X7C1,Lower East Side and Ground Floor Renovation - STL,01/21/2013,02/26/2014,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,Y,Complete
08X7C2,"Acoustical - Mechanical Renovations, Bldg. No. 1, Theater",08/20/2013,08/18/2015,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,Y,Complete
08X833,Analysis & Scoping Study,03/04/2008,03/29/2013,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
08X840,Utility Infrastructure Study,03/27/2015,01/05/2016,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,Y,Cancelled
08XA01, Student Union Roof Repair,04/15/2015,03/01/2016,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
08XA02,Van Denburg Hall Metal Roof Repair,02/10/2015,11/01/2017,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
08XM08,Minor Rehab 08-13,07/18/2007,03/18/2015,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
08xM13,Minor Critical Maintenance 13-14,04/01/2013,10/29/2015,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
08XM14,Minor Critical Maintenance 14-15,08/01/2015,10/11/2016,SUNY New Paltz,Mid - Hudson,Closed,Preservation of Facilities,N,Complete
091000,Replace Boiler - MOC,03/18/2015,10/17/2019,College at Oneonta,Mohawk Valley,Closed,Preservation of Facilities,Y,Complete
091001,Minor Critical Maintenance 2015,04/01/2015,12/29/2017,College at Oneonta,Mohawk Valley,Closed,Preservation of Facilities,N,Complete
091002,Rehabilitate Mechanical Systems - Morris Hall,02/02/2015,04/21/2021,College at Oneonta,Mohawk Valley,Closed,Preservation of Facilities,Y,Complete
091003,Replace Humidification and DHW Systems - Milne Library,06/19/2015,06/01/2020,College at Oneonta,Mohawk Valley,Closed,Preservation of Facilities,Y,Complete
091004,Rehab Food Service employee Restrooms,03/17/2015,05/03/2022,College at Oneonta,Mohawk Valley,Closed,Preservation of Facilities,Y,Cancelled
091005,Rehab Elevators Mills and Wilsbach Halls,03/17/2015,04/21/2026,College at Oneonta,Mohawk Valley,Closed,Preservation of Facilities,Y,Cancelled
091006,Replace Campus Sidewalks - Various Locations,07/23/2015,11/21/2017,College at Oneonta,Mohawk Valley,Closed,Preservation of Facilities,N,Complete
091007,Replace Folding Partition Doors Chase PE & Hunt Union,10/03/2016,07/31/2020,College at Oneonta,Mohawk Valley,Closed,Preservation of Facilities,N,Complete
091008,Renovate Bathrooms for ADA - Bacon & Morris Halls,11/24/2015,01/03/2025,College at Oneonta,Mohawk Valley,Closed,Preservation of Facilities,Y,Cancelled
091009,Replace Theater Lighting System - Fine Arts,01/26/2016,12/30/2019,College at Oneonta,Mohawk Valley,Closed,Preservation of Facilities,N,Complete
091010,Rehabilitate Choral Room - Fine Arts,11/25/2015,07/30/2020,College at Oneonta,Mohawk Valley,In Guarantee,Preservation of Facilities,N,Active
091011,Replace Ceiling and Lighting Free weight Rm - Chase PE,11/24/2015,07/31/2020,College at Oneonta,Mohawk Valley,Closed,Preservation of Facilities,N,Complete
091012,Abate & Demolish Clinton Street Apts,02/12/2016,08/23/2017,College at Oneonta,Mohawk Valley,Closed,"Health, Safety, Security",N,Complete
091013,Site Representative - Campus (AD),05/16/2016,05/04/2021,College at Oneonta,Mohawk Valley,In Design,Preservation of Facilities,N,Active
091014,Minor Critical Maintenance 2016-17,05/23/2016,12/26/2018,College at Oneonta,Mohawk Valley,Closed,Preservation of Facilities,N,Complete
091015,Rehabilitate Alumni Hall,02/21/2017,09/09/2027,College at Oneonta,Mohawk Valley,In Design,Preservation of Facilities,Y,Active
091016,Repair Masonry - Hunt Union/Alumni Hall,06/09/2016,09/02/2021,College at Oneonta,Mohawk Valley,In Guarantee,Preservation of Facilities,Y,Active
091017,Rehab Roofs Various Buildings,05/12/2016,01/13/2022,College at Oneonta,Mohawk Valley,In Guarantee,Preservation of Facilities,Y,Active
091018,Install Fireproofing - Hulbert Hall,03/01/2017,08/15/2019,College at Oneonta,Mohawk Valley,Closed,"Health, Safety, Security",N,Complete
091019,Replace Water Mains - East Dorm Drive,08/26/2016,02/02/2022,College at Oneonta,Mohawk Valley,In Guarantee,Preservation of Facilities,Y,Active
091020,Rehabilitate West Dormitory Drive for Pedestrian Safety,08/26/2016,02/22/2023,College at Oneonta,Mohawk Valley,In Design,"Health, Safety, Security",Y,Active
091021,Replace Deteriorated Sheds - College Camp,12/21/2016,12/26/2018,College at Oneonta,Mohawk Valley,Closed,New Facilities and Equipment Replacement,N,Complete
091022,Program Study Renovate Alumni Hall,01/03/2017,07/28/2017,College at Oneonta,Mohawk Valley,Closed,Preservation of Facilities,Y,Cancelled
091023,Renovate Hunt Union- West for Applied Learning,02/08/2017,08/26/2022,College at Oneonta,Mohawk Valley,In Construction,Preservation of Facilities,Y,Active
091024,Minor Critical Maintenance 2017-18,04/03/2017,07/30/2020,College at Oneonta,Mohawk Valley,Closed,Preservation of Facilities,N,Complete
091025,Upgrade HVAC Systems Science Building I,03/15/2017,10/18/2018,College at Oneonta,Mohawk Valley,Closed,Preservation of Facilities,N,Complete
091026,Replace Windows and Roof - Netzer Admin & Morris Complex,03/16/2017,09/05/2025,College at Oneonta,Mohawk Valley,In Design,Preservation of Facilities,Y,Active
091027,Interior Renovations Various Buildings,03/16/2017,12/15/2022,College at Oneonta,Mohawk Valley,In Design,Preservation of Facilities,Y,Active
091028,Site Improvements & Safety Upgrades Hunt Union Parking - Water Lines & Bugbee rd,03/16/2017,02/18/2022,College at Oneonta,Mohawk Valley,In Guarantee,"Health, Safety, Security",Y,Active
091029,Site Improvements & Safety Upgrades Baseball-Softball Fields,05/09/2017,11/15/2022,College at Oneonta,Mohawk Valley,In Construction,Environment Protection or Improvements,Y,Active
091030,Construct New Emergency Services Building,05/19/2017,09/06/2023,College at Oneonta,Mohawk Valley,In Construction,"Health, Safety, Security",Y,Active
091031,Rehab Elevators - Various Buildings,05/19/2017,08/25/2023,College at Oneonta,Mohawk Valley,Closed,Preservation of Facilities,Y,Cancelled
091032,Upgrade HVAC Systems Netzer Hall - Ph 2,10/25/2016,01/06/2020,College at Oneonta,Mohawk Valley,Closed,Preservation of Facilities,N,Complete
091033,Mitigate Deficiencies Moe Pond Dam,12/26/2017,08/31/2020,College at Oneonta,Mohawk Valley,Closed,Preservation of Facilities,N,Complete
091034,Minor Critical Maintenance FY2018/19,04/02/2018,01/05/2021,College at Oneonta,Mohawk Valley,Closed,Preservation of Facilities,N,Complete
091035,Energy Master Plan,04/05/2018,04/30/2020,College at Oneonta,Mohawk Valley,In Design,Energy Conservation,Y,Active
091036,ADA Accessibility Study,04/05/2018,08/02/2019,College at Oneonta,Mohawk Valley,Closed,Facilities for Physically Disabled,Y,Complete
091038,Replace Roof - Hulbert Kitchen,08/07/2018,01/16/2025,College at Oneonta,Mohawk Valley,In Planning,Preservation of Facilities,Y,Active
091039,Rehab Mechanical Systems - Milne  & Perna Science,05/01/2018,01/04/2021,College at Oneonta,Mohawk Valley,Closed,Preservation of Facilities,N,Complete
091040,Replace Heating Plant Roof,10/22/2018,09/14/2020,College at Oneonta,Mohawk Valley,Closed,Preservation of Facilities,N,Complete
091041,Abate & Rehabilitate Tanks - Central Heating Plant,10/29/2018,07/14/2021,College at Oneonta,Mohawk Valley,Closed,Preservation of Facilities,N,Complete
091042,Replace Grease Trap - Mills Hall,06/05/2018,07/31/2020,College at Oneonta,Mohawk Valley,Closed,Preservation of Facilities,N,Complete
091043,Rehabilitate Elevators Milne Library,11/21/2018,11/21/2022,College at Oneonta,Mohawk Valley,In Construction,Preservation of Facilities,Y,Active
091044,Upgrade Fire Alarm - Fine Arts & Chase PE,12/27/2018,06/30/2021,College at Oneonta,Mohawk Valley,In Construction,"Health, Safety, Security",N,Active
091045,Replace Water Line - Huntington Site,02/22/2019,05/06/2021,College at Oneonta,Mohawk Valley,Closed,Preservation of Facilities,N,Complete
091046,Site Representative  - CL,11/01/2019,11/23/2022,College at Oneonta,Mohawk Valley,In Design,Preservation of Facilities,N,Active
091047,Reconstruct Dock & Walkways - Biological Field Station,05/15/2019,08/06/2020,College at Oneonta,Mohawk Valley,Closed,Preservation of Facilities,N,Complete
091048,Minor Critical Maintenance FY 2019/20,04/26/2019,08/02/2021,College at Oneonta,Mohawk Valley,In Construction,Preservation of Facilities,N,Active
091049,Upgrade IT & Communications - PE Education & Human Ecology,04/26/2019,08/08/2022,College at Oneonta,Mohawk Valley,In Design,Preservation of Facilities,N,Active
091050,Reconstruct Structural Planking - Fitzelle Hall Bridge,05/03/2019,08/02/2021,College at Oneonta,Mohawk Valley,In Construction,Preservation of Facilities,N,Active
091051,Update Facilities Master Plan,07/11/2019,08/09/2021,College at Oneonta,Mohawk Valley,In Design,Preservation of Facilities,Y,Active
091052,Site Representative - Campus (MK),07/01/2019,07/01/2022,College at Oneonta,Mohawk Valley,In Design,Preservation of Facilities,N,Active
091053,Repair Electrical Feeder & Substation,07/31/2019,12/29/2020,College at Oneonta,Mohawk Valley,In Guarantee,Preservation of Facilities,N,Active
091054,"Replace Chillers - Instructional Resource Center, Mills, and Milne Library",08/26/2019,07/18/2022,College at Oneonta,Mohawk Valley,In Design,"Health, Safety, Security",N,Active
091055,Replace Roof Sections - Fine Arts,08/23/2019,10/20/2022,College at Oneonta,Mohawk Valley,In Design,Preservation of Facilities,N,Active
091056,Upgrade Emergency Generators - Alumni Field House & Maintenance and Operations Center,08/23/2019,10/05/2022,College at Oneonta,Mohawk Valley,In Design,"Health, Safety, Security",N,Active
091057,Upgrade Fire Alarms - Wilsbach Hall & Instructional Resource Center,08/23/2019,07/30/2021,College at Oneonta,Mohawk Valley,In Construction,"Health, Safety, Security",N,Active
091058,Replace Medium Temperature Water Line - Hulbert Tunnel,09/30/2019,08/15/2022,College at Oneonta,Mohawk Valley,In Design,Preservation of Facilities,N,Active
091059,Site Accessibility Upgrades,11/12/2019,09/10/2024,College at Oneonta,Mohawk Valley,In Planning,Facilities for Physically Disabled,Y,Active
091060,Reconstruct Masonry - Perna Stair Tower,01/27/2020,08/01/2022,College at Oneonta,Mohawk Valley,In Planning,Preservation of Facilities,N,Active
091061,Minor Critical Maintenance FY2020-21,02/14/2020,03/31/2022,College at Oneonta,Mohawk Valley,In Construction,Preservation of Facilities,N,Active
091062,Replace Site Stairs - Adjacent Welcome Center,01/27/2020,07/29/2022,College at Oneonta,Mohawk Valley,In Design,Preservation of Facilities,N,Active
091063,Rehabilitate Vivarium Mechanical Systems - Perna Science,01/24/2020,08/01/2022,College at Oneonta,Mohawk Valley,In Planning,Preservation of Facilities,N,Active
