Permit Number,Permit Category,Name,Address,Date Application Received,Sanitarian,Location 1,FoodID
,Food - New Construction,KEY INGREDIENTS CATERING,"8555 ZIGGY LANE, GAITHERSBURG, MD 20877",09/21/2018,,"8555 ZIGGY LANE
GAITHERSBURG, MD 20877
(39.130389, -77.175404)",34525
NA,Food - Equipment Replacement,LOS PRIMOS TEX MEX GRILL,"12303 TWINBROOK PARKWAY, ROCKVILLE, MD 20852",08/30/2018,,"12303 TWINBROOK PARKWAY
ROCKVILLE, MD 20852
(39.058675, -77.119318)",33483
na,Food - New Construction,GREAT SHOALS TAKOMA PARK,"7050 CARROLL AVE, TAKOMA PARK, MD 20912",10/11/2018,,"7050 CARROLL AVE
TAKOMA PARK, MD 20912
(38.975048, -77.010832)",35617
,Food - New Construction,ZBOUNCE,"7101 DEMOCRACY BLVD, BETHESDA, MD 20817",10/16/2018,,"7101 DEMOCRACY BLVD
BETHESDA, MD 20817
(39.0242, -77.1459)",35574
840737,Food - New Construction,COMMONWEALTH INDIAN,"11610 OLD GEORGETOWN RD, NORTH BETHESDA, MD 20852",08/14/2018,,"11610 OLD GEORGETOWN RD
NORTH BETHESDA, MD 20852
(39.049174, -77.116479)",33446
23218,Food - New Construction,ST. VEG,"14929-M SHADY GROVE RD, ROCKVILLE, MD 20850",07/17/2018,,"14929-M SHADY GROVE RD
ROCKVILLE, MD 20850
(39.098612, -77.192803)",33387
,Food - New Construction,GREAT SHOALS TAKOMA PARK,"7050 CARROLL AVE, TAKOMA PARK, MD 20912",10/11/2018,,"7050 CARROLL AVE
TAKOMA PARK, MD 20912
(38.975048, -77.010832)",35568
840591,Food - Remodel,FLOWER CHILD,"10209 OLD GEORGETOWN RD, BETHESDA, MD 20814",06/11/2018,,"10209 OLD GEORGETOWN RD
BETHESDA, MD 20814
(39.022788, -77.123714)",33323
819098,Food - New Construction,ARTIS SENIOR LIVING,"8301 RIVER RD, BETHESDA, MD 20817",11/19/2018,,"8301 RIVER RD
BETHESDA, MD 20817
(38.997748, -77.170903)",35605
836844,Food - New Construction,KUSSHI,"11826 TRADE CT, ROCKVILLE, MD 20852",05/14/2018,,"11826 TRADE CT
ROCKVILLE, MD 20852
(39.050932, -77.116381)",33270
827916,Food - New Construction,AUTOZONE STORE # 6512- DAMASCUS,"9936- MAIN ST, DAMASCUS, MD 20872",08/28/2018,,"9936 MAIN ST
DAMASCUS, MD 20872
(39.288484, -77.20443)",33470
836683,Food - New Construction,CIELO ROJO,"7056 CARROLL AVE , TAKOMA PARK, MD 20912",05/23/2018,,"7056 CARROLL AVE
TAKOMA PARK, MD 20912
(38.975136, -77.010318)",33285
,Food - New Construction,SIENA'S,"4840 BOILINGBROOK PKWY, ROCKVILLE, MD 20852",08/14/2018,,"4840 BOILINGBROOK PKWY
ROCKVILLE, MD 20852
(39.0463, -77.097931)",33442
828920,Food - New Construction,KNOWLES STATION WINE & CO,"10414 DETRICK AVE, KENSINGTON, MD 20895",07/25/2018,,"10414 DETRICK AVE
KENSINGTON, MD 20895
(39.027961, -77.077937)",33413
NA,Food - Equipment Replacement,HOLIDAY INN EXPRESS GERMANTOWN,"20260 GOLDENROD LN, GERMANTOWN, MD 20876",11/27/2018,,"20260 GOLDENROD LN
GERMANTOWN, MD 20876
(39.186833, -77.251449)",35614
23296,Food - New Construction,LEBANESE TAVERNA,"1629 ROCKVILLE PIKE, ROCKVILLE, MD 20852",08/15/2018,,"1629 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.063406, -77.125462)",33448
2019-23420,Food - Remodel,BISMILLAH 355,"765 ROCKVILLE PIKE, ROCKVILLE, MD 20852",02/05/2019,,"765 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.077779, -77.140579)",36816
,Food - Remodel,MANGINO'S PIZZA,"13015 WISTERIA DR, GERMANTOWN, MD 20874",06/04/2018,,"13015 WISTERIA DR
GERMANTOWN, MD 20874
(39.177602, -77.271282)",33325
17741-2018,Food - New Construction,HOT POT HERO,"100 PARMOUNT PARK DR, GAITHERSBURG, MD 20879",10/19/2018,,"100 PARMOUNT PARK DR
GAITHERSBURG, MD 20879
(39.159485, -77.22167)",35769
844763,Food - New Construction,URBAN PLATES,"7101 DEMOCRACY BLVD, STORE 2350, BETHESDA, MD 20817",07/17/2018,,"7101 DEMOCRACY BLVD
BETHESDA, MD 20817
(39.0242, -77.1459)",33389
NA,Food - New Construction,KING POLLO,"12009 GEORGIA AVE, WHEATON, MD 20902",07/31/2018,,"12009 GEORGIA AVE
WHEATON, MD 20902
(39.051753, -77.051212)",33425
,Food - New Construction,BRIGHTVIEW BETHESDA WOODMONT CAFE,"4907 RUGBY AVE, BETHESDA, MD 20814",10/04/2018,,"4907 RUGBY AVE
BETHESDA, MD 20814
(38.990843, -77.09964)",35550
17010-2018,Food - New Construction,TACO DADDY,"555 QUINCE ORCHARD RD, GAITHERSBURG, MD 20878",08/02/2018,,"555 QUINCE ORCHARD RD
GAITHERSBURG, MD 20878
(39.143586, -77.220512)",33429
BLD2019-23379,Pool - Remodel,ROCKVILE SWIM & FITNESS CENTER,"355 MARTINS LN, ROCKVILLE, MD 20850",08/07/2018,,"355 MARTINS LN
ROCKVILLE, MD 20850
(39.092607, -77.15923)",33441
832201,Food - New Construction,EL SAPO RESTAURANT,"8455 FENTON STREET # 1, SILVER SPRING, MD 20910",07/05/2018,,"8455 FENTON STREET
SILVER SPRING, MD 20910
(38.995995, -77.024661)",33366
,Pool - Equipment Replacement,VERANDAHS,"9308 WILLOWS CREEK DR, GAITHERSBURG, MD 20886",07/06/2018,,"9308 WILLOWS CREEK DR
GAITHERSBURG, MD 20886
(39.156505, -77.194533)",33363
NA,Food - New Construction,SPICE LIFE INDIAN RESTAURANT,"128 ELLINGTON BLVD, GAITHERSBURG, MD 20878",10/30/2018,,"128 ELLINGTON BLVD
GAITHERSBURG, MD 20878
(39.115476, -77.204291)",35637
,Food - New Construction,THE BEER & WINE CELLAR,"146-150 CONGRESSIONAL LANE, ROCKVILLE, MD 20852",11/19/2018,,"146 150 CONGRESSIONAL LANE
ROCKVILLE, MD 20852
(39.063255, -77.127789)",35606
17349-2018,Food - New Construction,KUNG FU TEA,"6 GRAND CORNER AVE, GAITHERSBURG, MD 20878",09/04/2018,,"6 GRAND CORNER AVE
GAITHERSBURG, MD 20878
(39.118584, -77.201858)",34484
852682,Food - New Construction,POKE PAPA,"7101 DEMOCRACY BLVD, SPACE 2354, BETHESDA, MD 20817",09/21/2018,,"7101 DEMOCRACY BLVD
BETHESDA, MD 20817
(39.0242, -77.1459)",34523
842259,Food - New Construction,JIMMY JOHNS,"19847 CENURY BLVD, STE E, GERMANTOWN, MD 20874",08/14/2018,,"19847 CENURY BLVD
GERMANTOWN, MD 20874
(39.182012, -77.265319)",33444
TBD,Food - New Construction,JERRY'S SUBS AND PIZZA,"10005 STEDWICK RD, MONTGOMERY VILLAGE, MD 20886",11/13/2018,,"10005 STEDWICK RD
MONTGOMERY VILLAGE, MD 20886
(39.170128, -77.206458)",35590
,Food - New Construction,VILLAGE WEST LIQUOR,"19520 WATERS RD, GERMANTOWN, MD 20874",06/11/2018,,"19520 WATERS RD
GERMANTOWN, MD 20874
(39.175905, -77.273136)",33321
2018-23151,Food - New Construction,JAPONG PUFF HOUSE,"785 - I  ROCKVILLE PIKE, ROCKVILLE, MD 20852",05/29/2018,,"785 I ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.077237, -77.139804)",33296
BLD2018-23084,Pool - New Construction,ONELIFEFITNESS-RESEARCH BLVD,"1407 RESEARCH BLVD ROCKVILLE, MD 20850",05/22/2018,,"1407 RESEARCH BLVD
ROCKVILLE, MD 20850
(39.091495, -77.178639)",33302
850693,Food - New Construction,DISTRICT TACO,"1310 EAST WEST HWY, SILVER SPRING, MD 20910",10/16/2018,,"1310 EAST WEST HWY
SILVER SPRING, MD 20910
(38.99282, -77.031575)",35576
847066,Food - New Construction,GRAPE AND GRAIN,"19233 WATKINS MILL RD, MONTGOMERY VILLAGE, MD 20886",08/16/2018,,"19233 WATKINS MILL RD
MONTGOMERY VILLAGE, MD 20886
(39.171384, -77.208688)",33452
853469,Food - New Construction,SOLO POLLO,"13653 CONNECTICUT AVE, ASPEN HILL, MD 20906",09/28/2018,,"13653 CONNECTICUT AVE
ASPEN HILL, MD 20906
(39.078505, -77.080709)",35534
,Food - New Construction,TROPICAL SMOOTHIE CAFE,"554 NORTH FREDERICK AVE, GAITHERSBURG, MD 20877",11/07/2018,,"554 NORTH FREDERICK AVE
GAITHERSBURG, MD 20877
(39.149545, -77.20849)",35644
,Pool - Remodel,TILDEN WOODS SWIM CLUB,"6806 TILDEN LN, ROCKVILLE, MD 20852",03/19/2019,Murrell,"6806 TILDEN LN
ROCKVILLE, MD 20852
(39.044115, -77.138811)",36911
852439,Food - New Construction,DOMINICAN RESTAURANT,"8640 FLOWER AVE, TAKOMA PARK, MD 20912",11/14/2018,,"8640 FLOWER AVE
TAKOMA PARK, MD 20912
(38.997753, -77.003466)",35603
,Food - New Construction,VILLA MAYA RESTAURANT,"12051 CHESTNUT BRANCH WAY, CLAKRSBURG, MD 20871",07/11/2018,,"12051 CHESTNUT BRANCH WAY
CLAKRSBURG, MD 20871
(39.229719, -77.249405)",33377
828404,Food - New Construction,JOSIAH HENSON PARK VISITOR CENTER,"11410 OLD GEORGETOWN RD, ROCKVILLE, MD 20852",07/31/2018,,"11410 OLD GEORGETOWN RD
ROCKVILLE, MD 20852
(39.043373, -77.121316)",33423
850752,Food - Remodel,GO STIR FRY EXPRESS,"11160 VEIRS MILL RD, EXHIBIT A2, WHEATON, MD 20902",09/28/2018,,"11160 VEIRS MILL RD
WHEATON, MD 20902
(39.038321, -77.052915)",35538
,Food - New Construction,ORANGE LATIN MARKET,"15914 SHADY GROVE RD , GAITHERSBURG, MD 20877",06/18/2018,,"15914 SHADY GROVE RD
GAITHERSBURG, MD 20877
(39.118083, -77.183277)",33341
,Food - New Construction,GUMBO YA YA TO GEAUX,"701 RUSSELL AVE, GAITHERSBURG, MD 20877",12/05/2018,Zenner,"701 RUSSELL AVE
GAITHERSBURG, MD 20877
(39.151037, -77.205424)",35656
,Food - New Construction,FOREVER 21,"701 RUSSELL AVE, STE F217, GAITHERSBURG, MD 20878",10/04/2018,Haynes,"701 RUSSELL AVE
GAITHERSBURG, MD 20878
(39.151037, -77.205424)",35559
,,QUAIL VALLEY,"18701 QUAIL VALLEY DR, GAITHERSBURG MD 20879",05/13/2019,Murrell,"18701 QUAIL VALLEY DR
GAITHERSBURG, MD 20879
(39.161591, -77.185978)",37047
,Food - New Construction,ELDER PINE BREWING & BLENDING CO,"4200 SUNDOWN RD, GAITHERSBURG, MD 20882",04/08/2019,Zenner,"4200 SUNDOWN RD
GAITHERSBURG, MD 20882
(39.222288, -77.083768)",36951
,Food - New Construction,MONUMENTAL MARKETS,"16060 INDUSTRIAL DR, GAITHERSBURG, MD 20877",02/15/2019,Patel,"16060 INDUSTRIAL DR
GAITHERSBURG, MD 20877
(39.123129, -77.189407)",36853
,Food - New Construction,SHUVAM BEER AND WINE,"10313 WESTLAKE DR, BETHESDA, MD 20817",11/29/2018,Zenner,"10313 WESTLAKE DR
BETHESDA, MD 20817
(39.026357, -77.147965)",35622
,Food - New Construction,MOD PIZZA,"12027 ROCKVILLE PIKE, ROCKVILLE, MD 20852",12/18/2018,Zenner,"12027 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.054258, -77.117475)",35700
858048,Food - New Construction,BRANDYWINE LIVING AT POTOMAC,"10800 POTOMAC TENNIS LANE, POTOMAC, MD 20854",12/20/2018,Zenner,"10800 POTOMAC TENNIS LANE
POTOMAC, MD 20854
(39.031363, -77.20146)",35702
NA,Food - Equipment Replacement,OLNEY EXXON,"18000 GEORGIA AVE, OLNEY, MD 20832",09/21/2018,Dossa,"18000 GEORGIA AVE
OLNEY, MD 20832
(39.15115, -77.066868)",34516
,Pool - Equipment Replacement,MANOR WOODS SWIM CLUB-MAIN POOL,"14410 BAUER DR, ROCKVILLE, MD 20853",03/13/2019,Murrell,"14410 BAUER DR
ROCKVILLE, MD 20853
(39.090971, -77.101403)",36910
,Food - New Construction,THE ROCKVILLE PIKE,"1800 ROCKVILLE PIKE, STE D, ROCKVILLE, MD 20852",01/15/2019,Zenner,"1800 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.059819, -77.122136)",35751
862785,Food - New Construction,KOKEE CAFE,"11160 VEIRS MILL RD, #9240, WHEATON, MD 20902",02/21/2019,Zenner,"11160 VEIRS MILL RD
WHEATON, MD 20902",36865
,Food - New Construction,BBQ CHICKEN,"9712 TRAVEILLE GATEWAY DR, ROCKVILLE, MD 20850",01/31/2019,Zenner,"9712 TRAVEILLE GATEWAY DR
ROCKVILLE, MD 20850
(39.091562, -77.204036)",36803
17262-2018,Food - New Construction,YAHO SUSHI,"328 MAIN STREET, GAITHERSBURG, MD 20878",10/02/2018,Alfonso,"328 MAIN STREET
GAITHERSBURG, MD 20878
(39.121556, -77.238034)",35545
870603,Pool - New Construction,CLARKSBURG SQUARE,"85 WEALD WAY, CLARKSBURG, MD 20871",05/02/2019,Murrell,"85 WEALD WAY
CLARKSBURG, MD 20871",37020
,Food - New Construction,FOREVER 21,"11160 VEIRS MILL RD, SILVER SPIRNG, MD 20902",10/04/2018,Singleton,"11160 VEIRS MILL RD
SILVER SPIRNG, MD 20902
(39.038338, -77.052937)",35560
,Food - New Construction,KHYBER KITCHEN,"904 BONIFANT ST, SILVER SPRING, MD 20910",02/14/2019,Royer,"904 BONIFANT ST
SILVER SPRING, MD 20910
(38.994103, -77.024792)",36849
NA,Food - New Construction,ISLAND ZESTS,"11252 GEORGIA AVE, SILVER SPRING, MD 20902",01/11/2019,Zenner,"11252 GEORGIA AVE
SILVER SPRING, MD 20902
(39.03999, -77.051373)",35742
,Food - New Construction,RAHAMA AFRICAN RESTAURANT,"11454 CHERRY HILL RD, SILVER SPRING, MD 20904",10/29/2018,Zenner,"11454 CHERRY HILL RD
SILVER SPRING, MD 20904
(39.045682, -76.951822)",35711
,Food - Equipment Replacement,PIZZA & STEAK STOP,"13525 CLOPPER RD, GERMANTOWN, MD 20874",01/28/2019,Alfonso,"13525 CLOPPER RD
GERMANTOWN, MD 20874
(39.161829, -77.280968)",36784
2019-00370,Pool - Remodel,GOLDFISH SWIM SCHOOL,"1701 ROCKVILE PK #B11, ROCVILLE, MD 20852",05/15/2019,Murrell,"1701 ROCKVILE PK
ROCVILLE, MD 20852",37054
861699,Food - New Construction,CINNABON,"7101 DEMOCRACY BLVD, BETHESDA, MD 20817",12/24/2018,Zenner,"7101 DEMOCRACY BLVD
BETHESDA, MD 20817
(39.0242, -77.1459)",35708
87386E,Food - New Construction,NEUHAUS CHOCOLITIER,"7123 BETHESDA LANE, BETHESDA, MD 20814",04/30/2019,Murrell,"7123 BETHESDA LANE
BETHESDA, MD 20814
(38.981822, -77.097825)",37007
,Food - New Construction,CINEPOLIS LUXURY CINEMAS,"629 CENTER POINT WAY, GAITHERSBURG, MD 20878",06/14/2018,Zenner,"629 CENTER POINT WAY
GAITHERSBURG, MD 20878
(39.121887, -77.234083)",33339
,Food - New Construction,ZERO DEGREE ICE CREAM,"11160 VEIRS MILL RD, SPACE #9240, WHEATON, MD 20902",06/22/2018,Singleton,"11160 VEIRS MILL RD
WHEATON, MD 20902",33350
854332,Pool - New Construction,ELMS AT CENTURY,"12835 FAIRCHILD DR, GERMANTOWN, MD 20874",01/22/2019,Murrell,"12835 FAIRCHILD DR
GERMANTOWN, MD 20874",35776
,Food - New Construction,MICHALES STORES #1250,"8661 COLESVILLE RD, # A104, SILVER SPRING, MD 20910",03/08/2019,Zenner,"8661 COLESVILLE RD
SILVER SPRING, MD 20910
(38.997321, -77.027255)",36885
857458,Food - New Construction,BURGER KING,"15421 NEW HAMPSHIRE AVE, SILVER SPRING, MD 20905",12/18/2018,Zenner,"15421 NEW HAMPSHIRE AVE
SILVER SPRING, MD 20905
(39.109522, -76.997005)",35692
,Food - Remodel,YANZI NOODLE HOUSE,"15108 FREDERICK RD, ROCKVILLE, MD 20850",01/15/2019,Murrell,"15108 FREDERICK RD
ROCKVILLE, MD 20850
(39.105051, -77.157338)",35749
,Food - New Construction,PARTY CITY # 1100,"11006 VEIRS MILL RD, WHEATON, MD 20902",04/08/2019,Zenner,"11006 VEIRS MILL RD
WHEATON, MD 20902
(39.03606, -77.050094)",36953
,Food - New Construction,LENOX PARK BEER AND WINE GOURMET MARKET,"8395 COLESVILLE RD E, SILVER SPRING, MD 20910",01/15/2019,Murrell,"8395 COLESVILLE RD E
SILVER SPRING, MD 20910
(38.993375, -77.032939)",35744
,Food - New Construction,INDONESIAN  & ASIAN MARKET,"17613 REDLAND RD, DERWOOD, MD 20855",01/16/2019,Zenner,"17613 REDLAND RD
DERWOOD, MD 20855
(39.144392, -77.144672)",35761
,Food - New Construction,SIRIWAN & SECTORS,"20640 SENECA MEADOWS PKWY, D-1, GERMANTOWN, MD 20876",02/06/2019,Murrell,"20640 SENECA MEADOWS PKWY
GERMANTOWN, MD 20876
(39.198236, -77.255163)",36826
859541,Food - New Construction,KLAY RESTAURANT,"9736 TRAVILLE GATEWAY DR, ROCKVILLE, MD 20850",01/25/2019,Mallet,"9736 TRAVILLE GATEWAY DR
ROCKVILLE, MD 20850
(39.091793, -77.203832)",35783
,Food - Equipment Replacement,THE THAI KITCHEN,"7015 WISCONSIN AVE, CHEVY CHASE, MD 20815",08/24/2018,,"7015 WISCONSIN AVE
CHEVY CHASE, MD 20815
(38.979661, -77.091865)",33466
182922019,Food - New Construction,ALL AFRICAN FOOD STORES,"18525 N FREDERICK AVE, GAITHERSBURG, MD 20879",01/31/2019,Haynes,"18525 N FREDERICK AVE
GAITHERSBURG, MD 20879
(39.160812, -77.221197)",36800
,Food - New Construction,GOLDFISH SWIM SCHOOL - SILVER SPRING,"11800 TECH RD, STE SS10, SILVER SPRING, MD 20404",03/22/2019,Murrell,"11800 TECH RD
SILVER SPRING, MD 20404
(39.050583, -76.972137)",36916
,Pool - Equipment Replacement,MONTGOMERY COLLEGE PHYSICAL EDU BUILDING,"51 MANNAKEE ST, ROCKVILLE 20850",05/06/2019,Murrell,"51 MANNAKEE ST
ROCKVILLE 20850",37035
858248,Food - New Construction,MATCHBOX SILVER SPRING,"919 ELLSWORTH DR, SILVER SPRING, MD 20910",12/18/2018,Zenner,"919 ELLSWORTH DR
SILVER SPRING, MD 20910
(38.996048, -77.026287)",35694
2019-07775,Food - Remodel,T-SWIRL CREPE & BUBBLE TEA,"313 N WASHINGTON ST, ROCKVILLE, MD 20850",03/19/2019,Murrell,"313 N WASHINGTON ST
ROCKVILLE, MD 20850
(39.089147, -77.153718)",36906
16963-2018,Food - New Construction,LANZHOU HAND PULL NOODLES,"3 GRAND CORNER AVE, GAITHERSBURG, MD 20878",06/29/2018,Mallet,"3 GRAND CORNER AVE
GAITHERSBURG, MD 20878
(39.118336, -77.20124)",33361
859020,Food - New Construction,PITA ON THE PLAZA,"3 BETHESDA METRO CENTER, BETHESDA, MD 20814",11/30/2018,Zenner,"3 BETHESDA METRO CENTER
BETHESDA, MD 20814
(38.9841, -77.0953)",35629
,Food - New Construction,BLAIR G EWING CENTER AT PLUM ORCHARD,"12120 PLUM ORCHARD DR, STE 110, SILVER SPRING, MD 20904",12/06/2018,Zenner,"12120 PLUM ORCHARD DR
SILVER SPRING, MD 20904
(39.054722, -76.957672)",35666
,Pool - Equipment Replacement,KENSINGTON HEIGHTS RECREATION ASSOC,"2900 FAULKNER PL, KENSINGTON, MD 20895",02/13/2019,Murrell,"2900 FAULKNER PL
KENSINGTON, MD 20895
(39.03618, -77.058777)",36862
WHE18063,Food - New Construction,FRESH CRUSH,"11160 VEIRS MILL RD, WHEATON, MD 20902",06/18/2018,Singleton,"11160 VEIRS MILL RD
WHEATON, MD 20902",33344
NA,Food - New Construction,JERSEY MIKE'S SUB,"14933 SHADY GROVE RD, STE L, ROCKVILLE, MD 20850",04/22/2019,Zenner,"14933 SHADY GROVE RD
ROCKVILLE, MD 20850
(39.098878, -77.192577)",36985
867469,Food - Equipment Replacement,CALIFORNIA BISTRO,"17609 REDLAND RD, DERWOOD, MD 20855",03/01/2019,Dossa,"17609 REDLAND RD
DERWOOD, MD 20855
(39.144464, -77.14465)",36878
862065,Food - New Construction,CAFE ESSENCE,"4924 DEL RAY AVE, UNIT A, BETHESDA, MD 20814",12/31/2018,Zenner,"4924 DEL RAY AVE
BETHESDA, MD 20814
(38.989154, -77.099515)",35721
859753,Food - New Construction,EL ENCANTO,"12335-H GEORGIA AVE, SILVER SPRING, MD 20906",11/30/2018,Zenner,"12335-H GEORGIA AVE
SILVER SPRING, MD 20906
(39.059654, -77.050443)",35631
,Food - New Construction,FOREVER 21,"7101 DEMOCRACY BLVD, SPACE 1252, BETHESDA, MD 20817",10/04/2018,Telahun,"7101 DEMOCRACY BLVD
BETHESDA, MD 20817
(39.0242, -77.1459)",35553
,Food - New Construction,FOREVER 21,"8661 COLESVILLE RD, SILVER SPRING, MD 20910",10/04/2018,Royer,"8661 COLESVILLE RD
SILVER SPRING, MD 20910
(38.997321, -77.027255)",35555
,Food - New Construction,MOSUN'S KITCHEN,"303 MUDDY BRANCH RD, GAITHERSBURG, MD 20878",01/30/2019,Zenner,"303 MUDDY BRANCH RD
GAITHERSBURG, MD 20878
(39.127503, -77.209837)",36793
,Food - New Construction,LOTUS GRILL AND BAR,"4929 ELM STREET, BETHESDA, MD 20814",02/05/2019,Zenner,"4929 ELM STREET
BETHESDA, MD 20814
(38.982101, -77.097491)",36814
,Food - New Construction,HOOK REEL,"9643 LOST KNIFE RD, GAITHERSBURG, MD 20877",11/02/2019,Murrell,"9643 LOST KNIFE RD
GAITHERSBURG, MD 20877
(39.154061, -77.200045)",35765
NA,Food - Equipment Replacement,TACO BAR,"18100 GEORGIA AVE, OLNEY, MD 20832",09/17/2018,Dossa,"18100 GEORGIA AVE
OLNEY, MD 20832
(39.153859, -77.066953)",34511
843687,Pool - New Construction,RIPLEY EAST BETHEL,"8250 GEORGIA AVE, SILVER SPRING, MD 20910",01/22/2019,Murrell,"8250 GEORGIA AVE
SILVER SPRING, MD 20910
(38.993035, -77.026748)",35775
,Food - New Construction,BRIGHTVIEW BETHESDA WOODMONT,"4907 RUGBY AVE, BETHESDA, MD 20814",12/04/2018,Zenner,"4907 RUGBY AVE
BETHESDA, MD 20814
(38.990843, -77.09964)",35673
,Pool - Equipment Replacement,KENSINGTON HEIGHTS REC ASSOC,"2900 FAULKNER PL, KENSINGTON 20895",02/13/2019,Murrell,"2900 FAULKNER PL
KENSINGTON 20895
(39.03618, -77.058777)",36863
,Pool - Equipment Replacement,MANOR WOODS SWIM CENTER-WADING POOL,"14410 BAURER DR, ROCKVILLE, MD 20853",03/25/2019,Murrell,"14410 BAURER DR
ROCKVILLE, MD 20853
(39.090971, -77.101403)",36918
,Food - New Construction,INGLESIDE AT KING FARM (NEW BUILDING),"701 KING FARM BLVD, ROCKVILLE, MD 20850",12/03/2018,Zenner,"701 KING FARM BLVD
ROCKVILLE, MD 20850
(39.11154, -77.178777)",35640
,Food - New Construction,DIRE CONVENIENCE STORE,"6480 NEW HAMPSHIRE AVE # 100, TAKOMA PARK, MD 20912",02/05/2019,Royer,"6480 NEW HAMPSHIRE AVE
TAKOMA PARK, MD 20912
(38.968374, -77.000589)",36823
873452,Pool - New Construction,CABIN BRANCH APARTMENTS,"22551 CABIN BRANCH AVE, CLARKSBURG, MD 20871",05/02/2019,Murrell,"22551 CABIN BRANCH AVE
CLARKSBURG, MD 20871
(39.223166, -77.286785)",37019
NA,Food - Equipment Replacement,DOUGH LIFE,"11160 VEIRS MILL RD, SPACE # H1, WHEATON, MD 20902",08/22/2018,Singleton,"11160 VEIRS MILL RD
WHEATON, MD 20902",33460
,Food - New Construction,CASA OAXACA,"4905 FAIRMONT AVE, BETHESDA, MD 20814",03/25/2019,Zenner,"4905 FAIRMONT AVE
BETHESDA, MD 20814
(38.987839, -77.097231)",36919
NA,Food - Equipment Replacement,POP CULTURE CRAFT POPS,"7101 DEMOCRACY BLVD , UNIT 2154, BETHESDA, MD 20817",09/17/2018,Telahun,"7101 DEMOCRACY BLVD
BETHESDA, MD 20817
(39.0242, -77.1459)",34514
859043,Food - New Construction,SUNDAY MORNING BAKEHOUSE,"11869 GRAND PARK AVE, NORTH BETHESDA, MD 20852",12/05/2018,Zenner,"11869 GRAND PARK AVE
NORTH BETHESDA, MD 20852
(39.050391, -77.117345)",35659
,Food - New Construction,CVS PHARMACY,"22701 GOSNELL FARM DR, CLARKSBURG, MD 20871",12/10/2018,Zenner,"22701 GOSNELL FARM DR
CLARKSBURG, MD 20871",35671
,Food - Equipment Replacement,MOORENKO'S ICE CREAM,"215 BOARDWALK PLACE, GAITHERSBURG, MD 20878",05/28/2019,Mallet,"215 BOARDWALK PLACE
GAITHERSBURG, MD 20878
(39.116915, -77.198522)",37076
828923,Food - New Construction,LA GELATTERIA,"10414 DETRICK AVE, # 500, KENSINGTON, MD 20895",12/13/2018,Zenner,"10414 DETRICK AVE
KENSINGTON, MD 20895
(39.027961, -77.077937)",35688
,Pool - Equipment Replacement,MARTIN LUTHER KING SWIM CENTER,"1201 JACKSON RD, SILVER SPRING, MD 20904",04/03/2019,Murrell,"1201 JACKSON RD
SILVER SPRING, MD 20904
(39.055072, -76.982795)",36946
782266/782262,Food - Remodel,JANICE'S ESPRESSO,"8600 OLD GEORGETOWN RD. BETHESDA, MD 20874",08/31/2018,Davis,"8600 OLD GEORGETOWN RD
BETHESDA, MD 20874
(38.997251, -77.10922)",34481
,Pool - Equipment Replacement,FAIRWAYS CONDO,"3776 BEL PRE RD, SILVER SPRING, MD 20906",05/16/2019,Murrell,"3776 BEL PRE RD
SILVER SPRING, MD 20906
(39.093592, -77.075262)",37053
NA,Food - New Construction,SUBWAY,"9815 MAIN STREET, DAMASCUS, MD 20872",12/03/2018,Zenner,"9815 MAIN STREET
DAMASCUS, MD 20872
(39.288235, -77.203484)",35646
