Permit Number,Status,Street Number,Pre-direction,Street Name,Street Suffix,Post-direction,City,State,Zip code,Work Type,Use Code,Added Date,Issue Date,Final Date,Description,Application Type,Location
334449,Open,5805,,LINDER,LN,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,02/27/2004,,,,DEMOLITION OR MOVE PERMIT,"5805 LINDER LN
BETHESDA, MD 20817
(39.012246, -77.119242)"
334468,Finaled,5916,,ANNISTON,RD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,02/27/2004,05/04/2004,02/06/2008,Cash Bond PS4A17046,DEMOLITION OR MOVE PERMIT,"5916 ANNISTON RD
BETHESDA, MD 20817
(39.007887, -77.119456)"
334798,Completed,4405,,STANFORD,ST,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,02/27/2004,06/13/2005,08/16/2005,,DEMOLITION OR MOVE PERMIT,"4405 STANFORD ST
CHEVY CHASE, MD 20815
(38.978909, -77.087603)"
335034,Completed,4809,,ENFIELD,RD,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,02/28/2004,09/27/2004,12/15/2004,Cash Bond PS4A16627,DEMOLITION OR MOVE PERMIT,"4809 ENFIELD RD
BETHESDA, MD 20814
(39.011474, -77.096661)"
335695,Completed,1139,,EAST WEST,HWY,,SILVER SPRING,MD,20912,DEMOLISH,STORAGE BUILDING,03/01/2004,06/07/2004,08/20/2004,"AUTO REPAIR
PS4 16276",DEMOLITION OR MOVE PERMIT,"1139 EAST WEST HWY
SILVER SPRING, MD 20912
(38.989147, -77.0282)"
335696,Completed,1141,,EAST WEST,HWY,,SILVER SPRING,MD,20912,DEMOLISH,BUSINESS BUILDING,03/01/2004,05/26/2004,08/20/2004,"EMPTY USE CAR DEALERSHIP
pb bond  ps4 16275",DEMOLITION OR MOVE PERMIT,"1141 EAST WEST HWY
SILVER SPRING, MD 20912
(38.989173, -77.028225)"
335807,Completed,3227,,GEIGER,AVE,,KENSINGTON,MD,20895,DEMOLISH,SINGLE FAMILY DWELLING,03/01/2004,06/22/2004,08/30/2004,CASH BOND TRACKING #PS4A17772,DEMOLITION OR MOVE PERMIT,"3227 GEIGER AVE
KENSINGTON, MD 20895
(39.037401, -77.065878)"
335808,Completed,3616,,SAUL,RD,,KENSINGTON,MD,20895,DEMOLISH,SINGLE FAMILY DWELLING,03/01/2004,05/07/2004,05/18/2004,,DEMOLITION OR MOVE PERMIT,"3616 SAUL RD
KENSINGTON, MD 20895
(39.015747, -77.073248)"
335809,Completed,6407,,MACARTHUR,BLVD,,BETHESDA,MD,20816,DEMOLISH,SINGLE FAMILY DWELLING,03/01/2004,03/23/2004,11/19/2004,,DEMOLITION OR MOVE PERMIT,"6407 MACARTHUR BLVD
BETHESDA, MD 20816
(38.944975, -77.118782)"
335811,Completed,6409,,MACARTHUR,BLVD,,BETHESDA,MD,20816,DEMOLISH,SINGLE FAMILY DWELLING,03/01/2004,03/23/2004,11/19/2004,,DEMOLITION OR MOVE PERMIT,"6409 MACARTHUR BLVD
BETHESDA, MD 20816
(38.944978, -77.118797)"
335815,Completed,3322,,JONES BRIDGE,CT,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,03/01/2004,06/10/2004,07/26/2007,,DEMOLITION OR MOVE PERMIT,"3322 JONES BRIDGE CT
CHEVY CHASE, MD 20815
(38.998065, -77.068547)"
335986,Completed,11020,,LOCKWOOD,DR,,SILVER SPRING,MD,20901,DEMOLISH,SINGLE FAMILY DWELLING,03/02/2004,06/08/2004,07/30/2004,Single family house plus 2 out buildings,DEMOLITION OR MOVE PERMIT,"11020 LOCKWOOD DR
SILVER SPRING, MD 20901
(39.036776, -76.995703)"
336377,Completed,1313,,BONIFANT,RD,,SILVER SPRING,MD,20906,DEMOLISH,STORAGE BUILDING,03/05/2004,04/07/2004,05/04/2004,,DEMOLITION OR MOVE PERMIT,"1313 BONIFANT RD
SILVER SPRING, MD 20906
(39.094682, -77.029666)"
336427,Open,5527,,SOUTHWICK,ST,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,03/05/2004,,,,DEMOLITION OR MOVE PERMIT,"5527 SOUTHWICK ST
BETHESDA, MD 20817
(38.999401, -77.112088)"
336508,Completed,4318,,ROSEDALE,AVE,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,03/08/2004,08/17/2004,10/27/2004,,DEMOLITION OR MOVE PERMIT,"4318 ROSEDALE AVE
BETHESDA, MD 20814
(38.992804, -77.086265)"
336915,Completed,8619,,MELWOOD,RD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,03/11/2004,06/09/2004,02/10/2006,,DEMOLITION OR MOVE PERMIT,"8619 MELWOOD RD
BETHESDA, MD 20817
(38.998053, -77.128428)"
337030,Finaled,4712,,CHESTNUT,ST,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,03/11/2004,07/20/2004,03/30/2006,CASH BOND PS4A17779,DEMOLITION OR MOVE PERMIT,"4712 CHESTNUT ST
BETHESDA, MD 20814
(38.993487, -77.095145)"
337048,Finaled,10800,,RED BARN,LN,,POTOMAC,MD,20854,DEMOLISH,SINGLE FAMILY DWELLING,03/12/2004,06/10/2004,10/14/2004,Cash Bond PS4A16193,DEMOLITION OR MOVE PERMIT,"10800 RED BARN LN
POTOMAC, MD 20854
(39.053981, -77.222833)"
334219,Completed,8802,,MONTGOMERY,AVE,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,02/26/2004,09/09/2004,07/03/2019,"CASH BOND PS4A15956 
(4/19/10 CORRECT BT# TO USE IN FAMIS IS PS3A15956...HSMITH)",DEMOLITION OR MOVE PERMIT,"8802 MONTGOMERY AVE
CHEVY CHASE, MD 20815
(38.999874, -77.072688)"
337091,Completed,19901,,FREDERICK,RD,,GERMANTOWN,MD,20876,DEMOLISH,BUSINESS BUILDING,03/12/2004,05/12/2004,07/05/2019,,DEMOLITION OR MOVE PERMIT,"19901 FREDERICK RD
GERMANTOWN, MD 20876
(39.182003, -77.238298)"
239168,Finaled,301,,WEST SIDE,DR,,GAITHERSBURG,MD,20878,DEMOLISH,SINGLE FAMILY DWELLING,01/24/2001,03/09/2001,01/04/2002,,DEMOLITION OR MOVE PERMIT,"301 WEST SIDE DR
GAITHERSBURG, MD 20878
(39.12526, -77.20396)"
337267,Completed,8618,,EWING,DR,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,03/15/2004,08/20/2004,09/28/2004,,DEMOLITION OR MOVE PERMIT,"8618 EWING DR
BETHESDA, MD 20817
(38.997538, -77.122969)"
337525,Completed,11736,,GAINSBOROUGH,RD,,POTOMAC,MD,20854,DEMOLISH,SINGLE FAMILY DWELLING,03/17/2004,05/19/2004,04/29/2005,Demo of single family structure-Tracking NO.16936/COG 3704,DEMOLITION OR MOVE PERMIT,"11736 GAINSBOROUGH RD
POTOMAC, MD 20854
(39.049052, -77.158812)"
337640,Completed,11429,,MAPLEVIEW,DR,,SILVER SPRING,MD,20902,DEMOLISH,SINGLE FAMILY DWELLING,03/18/2004,07/13/2004,11/10/2004,CASH BOND TRACKING #PS5A18081,DEMOLITION OR MOVE PERMIT,"11429 MAPLEVIEW DR
SILVER SPRING, MD 20902
(39.044261, -77.07087)"
337979,Completed,24310,,WOODFIELD SCHOOL,RD,,GAITHERSBURG,MD,20882,DEMOLISH,SINGLE FAMILY DWELLING,03/22/2004,12/14/2004,07/08/2005,,DEMOLITION OR MOVE PERMIT,"24310 WOODFIELD SCHOOL RD
GAITHERSBURG, MD 20882
(39.256843, -77.189109)"
338070,Finaled,5924,,WILMETT,RD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,03/23/2004,05/19/2004,02/06/2008,,DEMOLITION OR MOVE PERMIT,"5924 WILMETT RD
BETHESDA, MD 20817
(39.008447, -77.12126)"
338134,Completed,7507,,HONEYWELL,LN,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,03/23/2004,04/28/2004,07/05/2019,,DEMOLITION OR MOVE PERMIT,"7507 HONEYWELL LN
BETHESDA, MD 20814
(38.985575, -77.111441)"
338143,Finaled,19961,,FISHER,AVE,,POOLESVILLE,MD,20837,DEMOLISH,STORAGE BUILDING,03/23/2004,04/27/2004,12/17/2008,SHED,DEMOLITION OR MOVE PERMIT,"19961 FISHER AVE
POOLESVILLE, MD 20837
(39.146221, -77.417396)"
338381,Finaled,4213,,COLCHESTER,DR,,KENSINGTON,MD,20895,DEMOLISH,SINGLE FAMILY DWELLING,03/25/2004,05/05/2004,06/03/2004,,DEMOLITION OR MOVE PERMIT,"4213 COLCHESTER DR
KENSINGTON, MD 20895
(39.027318, -77.082068)"
338516,Finaled,3701,,UNDERWOOD,ST,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,03/25/2004,05/28/2004,10/05/2004,CASH BOND PS4A16461,DEMOLITION OR MOVE PERMIT,"3701 UNDERWOOD ST
CHEVY CHASE, MD 20815
(38.98314, -77.073925)"
338794,Completed,6707,,TILDENWOOD,LN,,ROCKVILLE,MD,20852,DEMOLISH,SINGLE FAMILY DWELLING,03/29/2004,06/11/2004,08/20/2004,,DEMOLITION OR MOVE PERMIT,"6707 TILDENWOOD LN
ROCKVILLE, MD 20852
(39.052843, -77.13683)"
338795,Completed,6714,,MONTROSE,RD,,ROCKVILLE,MD,20852,DEMOLISH,SINGLE FAMILY DWELLING,03/29/2004,06/11/2004,08/24/2004,,DEMOLITION OR MOVE PERMIT,"6714 MONTROSE RD
ROCKVILLE, MD 20852
(39.053727, -77.137467)"
338988,Finaled,5817,,LONE OAK,DR,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,03/30/2004,08/30/2004,01/11/2005,Cash Bond PS5A18865,DEMOLITION OR MOVE PERMIT,"5817 LONE OAK DR
BETHESDA, MD 20814
(39.019762, -77.117939)"
339427,Completed,1252,,WINDMILL,LN,,SILVER SPRING,MD,20905,DEMOLISH,SINGLE FAMILY DWELLING,04/01/2004,04/26/2004,05/20/2004,,DEMOLITION OR MOVE PERMIT,"1252 WINDMILL LN
SILVER SPRING, MD 20905
(39.096547, -76.982008)"
339538,Completed,12328,,MCCROSSIN,LN,,POTOMAC,MD,20854,DEMOLISH,SINGLE FAMILY DWELLING,04/02/2004,07/30/2004,08/04/2004,,DEMOLITION OR MOVE PERMIT,"12328 MCCROSSIN LN
POTOMAC, MD 20854
(39.072865, -77.254924)"
339551,Completed,5209,,MARLYN,DR,,BETHESDA,MD,20816,DEMOLISH,SINGLE FAMILY DWELLING,04/02/2004,04/20/2004,08/26/2004,,DEMOLITION OR MOVE PERMIT,"5209 MARLYN DR
BETHESDA, MD 20816
(38.958669, -77.11618)"
339767,Completed,6111,,DUNLEER,CT,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,04/05/2004,05/26/2004,07/26/2004,,DEMOLITION OR MOVE PERMIT,"6111 DUNLEER CT
BETHESDA, MD 20817
(39.002439, -77.125001)"
339874,Completed,6400,,ORCHID,DR,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,04/06/2004,09/20/2004,10/08/2004,,DEMOLITION OR MOVE PERMIT,"6400 ORCHID DR
BETHESDA, MD 20817
(38.984368, -77.128056)"
339990,Issued,1901,,EAST WEST,HWY,,SILVER SPRING,MD,20910,DEMOLISH,SWIMMING POOL,04/07/2004,05/14/2004,,POOLHOUSE-ROSEMARY VILLAGE (IN GROUND SWIMMING POOL),DEMOLITION OR MOVE PERMIT,"1901 EAST WEST HWY
SILVER SPRING, MD 20910
(38.995555, -77.042141)"
340605,Completed,10304,,DARNESTOWN,RD,,ROCKVILLE,MD,20850,DEMOLISH,BUSINESS BUILDING,04/13/2004,05/03/2004,07/19/2004,,DEMOLITION OR MOVE PERMIT,"10304 DARNESTOWN RD
ROCKVILLE, MD 20850
(39.099857, -77.213057)"
340656,Completed,8709,,CRANBROOK,CT,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,04/13/2004,05/21/2004,07/19/2004,,DEMOLITION OR MOVE PERMIT,"8709 CRANBROOK CT
BETHESDA, MD 20817
(38.998652, -77.133112)"
340659,Completed,8915,,MONTGOMERY,AVE,,CHEVY CHASE,MD,20815,DEMOLISH,GARAGE,04/13/2004,04/28/2004,05/07/2004,detached garage,DEMOLITION OR MOVE PERMIT,"8915 MONTGOMERY AVE
CHEVY CHASE, MD 20815
(39.002831, -77.072891)"
340736,Finaled,2606,,TRIADELPHIA LAKE,RD,,BROOKEVILLE,MD,20833,DEMOLISH,STORAGE BUILDING,04/14/2004,06/18/2004,02/17/2005,BARN  Cash Bond (PS4A17746),DEMOLITION OR MOVE PERMIT,"2606 TRIADELPHIA LAKE RD
BROOKEVILLE, MD 20833
(39.230217, -77.053476)"
340864,Finaled,7032,,WILSON,LN,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,04/14/2004,06/02/2004,07/27/2004,,DEMOLITION OR MOVE PERMIT,"7032 WILSON LN
BETHESDA, MD 20817
(38.97642, -77.143154)"
341039,Completed,4007,,MUNCASTER MILL,RD,,ROCKVILLE,MD,20853,DEMOLISH,SINGLE FAMILY DWELLING,04/15/2004,04/21/2005,06/02/2005,,DEMOLITION OR MOVE PERMIT,"4007 MUNCASTER MILL RD
ROCKVILLE, MD 20853
(39.109252, -77.080487)"
313707,Finaled,11,,RUSSELL,RD,,CABIN JOHN,MD,20818,DEMOLISH,SINGLE FAMILY DWELLING,07/29/2003,10/08/2003,12/22/2003,building permit #317082,DEMOLITION OR MOVE PERMIT,"11 RUSSELL RD
CABIN JOHN, MD 20818
(38.972412, -77.155679)"
332576,Completed,7519,,OLD CHESTER,RD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,02/17/2004,04/27/2004,05/12/2004,,DEMOLITION OR MOVE PERMIT,"7519 OLD CHESTER RD
BETHESDA, MD 20817
(38.985224, -77.118017)"
341115,Completed,123,,OLNEY SANDY SPRING,RD,,ASHTON,MD,20861,DEMOLISH,SINGLE FAMILY DWELLING,04/16/2004,06/16/2004,04/27/2005,,DEMOLITION OR MOVE PERMIT,"123 OLNEY SANDY SPRING RD
ASHTON, MD 20861
(39.149215, -77.015375)"
341127,Completed,14139,,DARNESTOWN,RD,,GERMANTOWN,MD,20874,DEMOLISH,SINGLE FAMILY DWELLING,04/16/2004,05/25/2004,09/10/2004,,DEMOLITION OR MOVE PERMIT,"14139 DARNESTOWN RD
GERMANTOWN, MD 20874
(39.10477, -77.294254)"
341299,Completed,4500,,WINDSOR,LN,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,04/19/2004,06/14/2004,06/23/2004,Cash Bond PS4-17660,DEMOLITION OR MOVE PERMIT,"4500 WINDSOR LN
BETHESDA, MD 20814
(38.995442, -77.089109)"
341339,Completed,7726,,BRADLEY,BLVD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,04/19/2004,07/06/2004,07/08/2005,CASH BOND PS4A16789,DEMOLITION OR MOVE PERMIT,"7726 BRADLEY BLVD
BETHESDA, MD 20817
(39.012542, -77.15777)"
341780,Completed,18930,,NEW HAMPSHIRE,AVE,,BRINKLOW,MD,20862,DEMOLISH,BUSINESS BUILDING,04/22/2004,02/18/2005,02/24/2006,"POST OFFICE
CERTIFICATE OF GUARANTEE BOND TRACKING #21338",DEMOLITION OR MOVE PERMIT,"18930 NEW HAMPSHIRE AVE
BRINKLOW, MD 20862
(39.167599, -77.01609)"
341897,Completed,6004,,HIGHLAND,DR,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,04/23/2004,06/30/2004,08/30/2004,"Demo & Construct
CASH BOND TRACKING# PS4A17807",DEMOLITION OR MOVE PERMIT,"6004 HIGHLAND DR
CHEVY CHASE, MD 20815
(38.969905, -77.107792)"
341899,Completed,8801,,PERSIMMON TREE,RD,,POTOMAC,MD,20854,DEMOLISH,SINGLE FAMILY DWELLING,04/23/2004,06/07/2004,03/10/2006,Demo only,DEMOLITION OR MOVE PERMIT,"8801 PERSIMMON TREE RD
POTOMAC, MD 20854
(38.999506, -77.196343)"
342121,Finaled,12926,,MIDDLEBROOK,RD,,GERMANTOWN,MD,20874,DEMOLISH,MERCANTILE BUILDING,04/26/2004,05/17/2004,06/08/2004,"12922,12926,12930,12932,12934,12936,12938,12940,12944,12948,12956,12958,12964,12968,12970,12972 Middlebrook Road.",DEMOLITION OR MOVE PERMIT,"12926 MIDDLEBROOK RD
GERMANTOWN, MD 20874
(39.180307, -77.268754)"
342122,Finaled,12930,,MIDDLEBROOK,RD,,GERMANTOWN,MD,20874,DEMOLISH,MERCANTILE BUILDING,04/26/2004,05/17/2004,06/08/2004,"12922,12926,12930,12932,12934,12936,12938,12940,12944,12948,12956,12958,12964,12968,12970,12972 Middlebrook Road.",DEMOLITION OR MOVE PERMIT,"12930 MIDDLEBROOK RD
GERMANTOWN, MD 20874
(39.180368, -77.268804)"
342123,Finaled,12932,,MIDDLEBROOK,RD,,GERMANTOWN,MD,20874,DEMOLISH,MERCANTILE BUILDING,04/26/2004,05/17/2004,06/08/2004,"12922,12926,12930,12932,12934,12936,12938,12940,12944,12948,12956,12958,12964,12968,12970,12972 Middlebrook Road.",DEMOLITION OR MOVE PERMIT,"12932 MIDDLEBROOK RD
GERMANTOWN, MD 20874
(39.180398, -77.268829)"
342124,Finaled,12934,,MIDDLEBROOK,RD,,GERMANTOWN,MD,20874,DEMOLISH,MERCANTILE BUILDING,04/26/2004,05/17/2004,06/08/2004,"12922,12926,12930,12932,12934,12936,12938,12940,12944,12948,12956,12958,12964,12968,12970,12972 Middlebrook Road.",DEMOLITION OR MOVE PERMIT,"12934 MIDDLEBROOK RD
GERMANTOWN, MD 20874
(39.180428, -77.268855)"
342125,Finaled,12936,,MIDDLEBROOK,RD,,GERMANTOWN,MD,20874,DEMOLISH,MERCANTILE BUILDING,04/26/2004,05/17/2004,06/08/2004,"12922,12926,12930,12932,12934,12936,12938,12940,12944,12948,12956,12958,12964,12968,12970,12972 Middlebrook Road.",DEMOLITION OR MOVE PERMIT,"12936 MIDDLEBROOK RD
GERMANTOWN, MD 20874
(39.180458, -77.26888)"
342126,Finaled,12938,,MIDDLEBROOK,RD,,GERMANTOWN,MD,20874,DEMOLISH,MERCANTILE BUILDING,04/26/2004,05/17/2004,06/08/2004,"12922,12926,12930,12932,12934,12936,12938,12940,12944,12948,12956,12958,12964,12968,12970,12972 Middlebrook Road.",DEMOLITION OR MOVE PERMIT,"12938 MIDDLEBROOK RD
GERMANTOWN, MD 20874
(39.180489, -77.268905)"
342127,Finaled,12940,,MIDDLEBROOK,RD,,GERMANTOWN,MD,20874,DEMOLISH,MERCANTILE BUILDING,04/26/2004,05/17/2004,06/08/2004,"12922,12926,12930,12932,12934,12936,12938,12940,12944,12948,12956,12958,12964,12968,12970,12972 Middlebrook Road.",DEMOLITION OR MOVE PERMIT,"12940 MIDDLEBROOK RD
GERMANTOWN, MD 20874
(39.18038, -77.268815)"
342128,Finaled,12944,,MIDDLEBROOK,RD,,GERMANTOWN,MD,20874,DEMOLISH,MERCANTILE BUILDING,04/26/2004,05/17/2004,06/08/2004,"12922,12926,12930,12932,12934,12936,12938,12940,12944,12948,12956,12958,12964,12968,12970,12972 Middlebrook Road.",DEMOLITION OR MOVE PERMIT,"12944 MIDDLEBROOK RD
GERMANTOWN, MD 20874
(39.180549, -77.268956)"
342129,Finaled,12948,,MIDDLEBROOK,RD,,GERMANTOWN,MD,20874,DEMOLISH,MERCANTILE BUILDING,04/26/2004,05/17/2004,06/08/2004,"12922,12926,12930,12932,12934,12936,12938,12940,12944,12948,12956,12958,12964,12968,12970,12972 Middlebrook Road.",DEMOLITION OR MOVE PERMIT,"12948 MIDDLEBROOK RD
GERMANTOWN, MD 20874
(39.180613, -77.26901)"
310019,Completed,5504,,NELSON,RD,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,06/23/2003,08/26/2003,07/03/2019,,DEMOLITION OR MOVE PERMIT,"5504 NELSON RD
BETHESDA, MD 20814
(39.013158, -77.11162)"
249346,Completed,3330,,JONES BRIDGE,CT,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,05/30/2001,02/14/2002,03/06/2002,,DEMOLITION OR MOVE PERMIT,"3330 JONES BRIDGE CT
CHEVY CHASE, MD 20815
(38.997993, -77.068877)"
318162,Issued,5004,,RIVER,RD,,BETHESDA,MD,20816,MOVE,SINGLE FAMILY DWELLING,09/10/2003,03/31/2004,,,DEMOLITION OR MOVE PERMIT,"5004 RIVER RD
BETHESDA, MD 20816
(38.961779, -77.099112)"
342130,Finaled,12956,,MIDDLEBROOK,RD,,GERMANTOWN,MD,20874,DEMOLISH,MERCANTILE BUILDING,04/26/2004,05/17/2004,06/08/2004,"12922,12926,12930,12932,12934,12936,12938,12940,12944,12948,12956,12958,12964,12968,12970,12972 Middlebrook Road.",DEMOLITION OR MOVE PERMIT,"12956 MIDDLEBROOK RD
GERMANTOWN, MD 20874
(39.180741, -77.269117)"
342131,Finaled,12958,,MIDDLEBROOK,RD,,GERMANTOWN,MD,20874,DEMOLISH,MERCANTILE BUILDING,04/26/2004,05/17/2004,06/08/2004,"12922,12926,12930,12932,12934,12936,12938,12940,12944,12948,12956,12958,12964,12968,12970,12972 Middlebrook Road.",DEMOLITION OR MOVE PERMIT,"12958 MIDDLEBROOK RD
GERMANTOWN, MD 20874
(39.180741, -77.269117)"
342132,Finaled,12964,,MIDDLEBROOK,RD,,GERMANTOWN,MD,20874,DEMOLISH,MERCANTILE BUILDING,04/26/2004,05/17/2004,06/08/2004,"12922,12926,12930,12932,12934,12936,12938,12940,12944,12948,12956,12958,12964,12968,12970,12972 Middlebrook Road.",DEMOLITION OR MOVE PERMIT,"12964 MIDDLEBROOK RD
GERMANTOWN, MD 20874
(39.180829, -77.26919)"
342133,Finaled,12968,,MIDDLEBROOK,RD,,GERMANTOWN,MD,20874,DEMOLISH,MERCANTILE BUILDING,04/26/2004,05/17/2004,06/08/2004,"12922,12926,12930,12932,12934,12936,12938,12940,12944,12948,12956,12958,12964,12968,12970,12972 Middlebrook Road.",DEMOLITION OR MOVE PERMIT,"12968 MIDDLEBROOK RD
GERMANTOWN, MD 20874
(39.180887, -77.269239)"
342134,Finaled,12970,,MIDDLEBROOK,RD,,GERMANTOWN,MD,20874,DEMOLISH,MERCANTILE BUILDING,04/26/2004,05/17/2004,06/08/2004,"12922,12926,12930,12932,12934,12936,12938,12940,12944,12948,12956,12958,12964,12968,12970,12972 Middlebrook Road.",DEMOLITION OR MOVE PERMIT,"12970 MIDDLEBROOK RD
GERMANTOWN, MD 20874
(39.180916, -77.269263)"
342135,Finaled,12972,,MIDDLEBROOK,RD,,GERMANTOWN,MD,20874,DEMOLISH,MERCANTILE BUILDING,04/26/2004,05/17/2004,06/08/2004,"12922,12926,12930,12932,12934,12936,12938,12940,12944,12948,12956,12958,12964,12968,12970,12972 Middlebrook Road.",DEMOLITION OR MOVE PERMIT,"12972 MIDDLEBROOK RD
GERMANTOWN, MD 20874
(39.180945, -77.269288)"
342153,Finaled,15304,,BITTERROOT,WAY,,ROCKVILLE,MD,20853,DEMOLISH,SINGLE FAMILY DWELLING,04/26/2004,07/21/2004,09/14/2004,CASH BOND PS5A18233,DEMOLITION OR MOVE PERMIT,"15304 BITTERROOT WAY
ROCKVILLE, MD 20853
(39.106441, -77.096316)"
342449,Completed,8301,,OLD GEORGETOWN,RD,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,04/28/2004,06/03/2004,07/05/2019,cash bond tracking # ps4a17496,DEMOLITION OR MOVE PERMIT,"8301 OLD GEORGETOWN RD
BETHESDA, MD 20814
(38.993022, -77.107667)"
342553,Completed,3914,,KINCAID,TER,,KENSINGTON,MD,20895,DEMOLISH,SINGLE FAMILY DWELLING,04/28/2004,06/18/2004,07/21/2004,PS-4 17747,DEMOLITION OR MOVE PERMIT,"3914 KINCAID TER
KENSINGTON, MD 20895
(39.036975, -77.07723)"
342726,Completed,5123,,SARATOGA,AVE,,BETHESDA,MD,20816,DEMOLISH,SINGLE FAMILY DWELLING,04/29/2004,06/21/2004,10/28/2004,CASH BOND PS4A16996,DEMOLITION OR MOVE PERMIT,"5123 SARATOGA AVE
BETHESDA, MD 20816
(38.958917, -77.096253)"
343111,Completed,5610,,OAKMONT,AVE,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,05/04/2004,07/08/2004,07/16/2004,CASH BOND PS4A17047,DEMOLITION OR MOVE PERMIT,"5610 OAKMONT AVE
BETHESDA, MD 20817
(39.00435, -77.114695)"
343179,Completed,10004,,SORREL,AVE,,POTOMAC,MD,20854,DEMOLISH,SINGLE FAMILY DWELLING,05/04/2004,05/18/2004,10/04/2005,,DEMOLITION OR MOVE PERMIT,"10004 SORREL AVE
POTOMAC, MD 20854
(39.019658, -77.199265)"
343361,Completed,6204,,TILDEN,LN,,ROCKVILLE,MD,20852,DEMOLISH,SINGLE FAMILY DWELLING,05/05/2004,06/30/2004,08/12/2004,CASH BOND PS4A17892,DEMOLITION OR MOVE PERMIT,"6204 TILDEN LN
ROCKVILLE, MD 20852
(39.043955, -77.127827)"
343378,Completed,14855,,SUGARLAND,RD,,POOLESVILLE,MD,20837,DEMOLISH,SINGLE FAMILY DWELLING,05/05/2004,06/11/2004,04/22/2005,CASH BOND PS4A17651,DEMOLITION OR MOVE PERMIT,"14855 SUGARLAND RD
POOLESVILLE, MD 20837
(39.09934, -77.386361)"
343647,Completed,101,,OLD BONIFANT,RD,,SILVER SPRING,MD,20905,DEMOLISH,SINGLE FAMILY DWELLING,05/07/2004,09/29/2004,06/08/2007,,DEMOLITION OR MOVE PERMIT,"101 OLD BONIFANT RD
SILVER SPRING, MD 20905
(39.093392, -77.003896)"
343705,Completed,9001,,LINDALE,DR,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,05/07/2004,06/22/2004,08/06/2004,CASH BOND TRACKING# PS4A17775,DEMOLITION OR MOVE PERMIT,"9001 LINDALE DR
BETHESDA, MD 20817
(39.002295, -77.12109)"
343784,Completed,19235,,LIBERTY HEIGHTS,LN,,GERMANTOWN,MD,20874,DEMOLISH,SINGLE FAMILY DWELLING,05/10/2004,05/24/2004,06/18/2004,,DEMOLITION OR MOVE PERMIT,"19235 LIBERTY HEIGHTS LN
GERMANTOWN, MD 20874
(39.172051, -77.274965)"
344222,Finaled,5929,,KIRBY,RD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,05/12/2004,06/21/2004,05/18/2005,,DEMOLITION OR MOVE PERMIT,"5929 KIRBY RD
BETHESDA, MD 20817
(38.988159, -77.121222)"
344368,Completed,6409,,DAHLONEGA,RD,,BETHESDA,MD,20816,DEMOLISH,SINGLE FAMILY DWELLING,05/13/2004,10/29/2004,03/08/2005,CASH BOND 17218,DEMOLITION OR MOVE PERMIT,"6409 DAHLONEGA RD
BETHESDA, MD 20816
(38.965731, -77.129825)"
344385,Completed,10010,,COUNSELMAN,RD,,POTOMAC,MD,20854,DEMOLISH,SINGLE FAMILY DWELLING,05/13/2004,09/22/2004,12/16/2004,Performance Bond Tracking No:  19245,DEMOLITION OR MOVE PERMIT,"10010 COUNSELMAN RD
POTOMAC, MD 20854
(39.019514, -77.206631)"
