Reporting Area,MMWR Year,MMWR Week,"Salmonella Paratyphi infection§, Current week","Salmonella Paratyphi infection§, Current week, flag","Salmonella Paratyphi infection§, Previous 52 weeks Max†","Salmonella Paratyphi infection§, Previous 52 weeks Max†, flag","Salmonella Paratyphi infection§, Cum 2020†","Salmonella Paratyphi infection§, Cum 2020†, flag","Salmonella Paratyphi infection§, Cum 2019†","Salmonella Paratyphi infection§, Cum 2019†, flag","Salmonella Typhi infection¶, Current week","Salmonella Typhi infection¶, Current week, flag","Salmonella Typhi infection¶, Previous 52 weeks Max†","Salmonella Typhi infection¶, Previous 52 weeks Max†, flag","Salmonella Typhi infection¶, Cum 2020†","Salmonella Typhi infection¶, Cum 2020†, flag","Salmonella Typhi infection¶, Cum 2019†","Salmonella Typhi infection¶, Cum 2019†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Current week","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Current week, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Previous 52 weeks Max†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Previous 52 weeks Max†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2020†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2020†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2019†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
ARIZONA,2020,8,,-,1,,,-,,-,,-,1,,3,,1,,2,,38,,73,,116,,ARIZONA,,20200849,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200864,
WISCONSIN,2020,8,,-,0,,,-,,-,,-,1,,,-,,-,4,,36,,77,,94,,WISCONSIN,,20200819,POINT (-89.732969 44.639954)
IDAHO,2020,8,,-,1,,,-,,-,,-,1,,,-,,-,,-,12,,2,,24,,IDAHO,,20200851,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200868,POINT (-64.840836 18.060868)
MICHIGAN,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20200817,POINT (-85.730977 44.874798)
GEORGIA,2020,8,,-,1,,,-,2,,,-,0,,,-,,-,3,,96,,77,,109,,GEORGIA,,20200832,POINT (-83.426574 32.638481)
ARKANSAS,2020,8,,-,2,,,-,,-,,-,1,,,-,,-,4,,42,,33,,19,,ARKANSAS,,20200844,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200841,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,9,,20,,SOUTH DAKOTA,,20200827,POINT (-100.230491 44.43614)
WYOMING,2020,8,,-,1,,,-,1,,,-,0,,,-,,-,,-,5,,3,,,-,WYOMING,,20200856,POINT (-107.55145 42.999627)
MISSOURI,2020,8,,-,0,,,-,,-,,-,1,,1,,2,,,-,36,,27,,70,,MISSOURI,,20200824,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,8,,-,2,,,-,1,,,-,5,,3,,10,,21,,174,,219,,243,,,MIDDLE ATLANTIC,20200809,
CALIFORNIA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20200859,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,10,,2,,,-,WEST VIRGINIA,,20200837,POINT (-80.613729 38.642579)
FLORIDA,2020,8,,-,1,,,-,,-,,-,5,,,-,,-,10,,234,,468,,579,,FLORIDA,,20200831,POINT (-82.420978 28.260731)
MONTANA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,8,,11,,MONTANA,,20200852,POINT (-109.645127 47.033521)
TOTAL,2020,7,,-,6,,5,,13,,1,,12,,14,,30,,181,,1415,,1888,,2564,,,TOTAL,20200770,
US RESIDENTS,2020,7,,-,6,,5,,13,,1,,12,,14,,30,,181,,1415,,1888,,2564,,,US RESIDENTS,20200701,
NEW HAMPSHIRE,2020,7,,-,0,,,-,,-,,-,5,,,-,,-,,-,10,,5,,14,,NEW HAMPSHIRE,,20200706,POINT (-71.57139 43.680429)
NEW YORK,2020,7,,-,2,,,-,,-,1,,3,,1,,2,,13,,62,,95,,103,,NEW YORK,,20200711,POINT (-75.59655 42.921241)
PACIFIC,2020,7,,-,1,,1,,2,,,-,2,,,-,1,,1,,46,,63,,75,,,PACIFIC,20200757,
WEST SOUTH CENTRAL,2020,7,,-,3,,,-,1,,,-,6,,2,,1,,37,,337,,258,,337,,,WEST SOUTH CENTRAL,20200743,
NEBRASKA,2020,7,,-,0,,,-,,-,,-,1,,,-,,-,4,,18,,23,,,-,NEBRASKA,,20200725,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,7,,-,1,,1,,,-,,-,1,,,-,,-,3,,116,,110,,161,,,EAST SOUTH CENTRAL,20200738,
NORTH DAKOTA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,4,,12,,NORTH DAKOTA,,20200726,POINT (-100.46931 47.446305)
NEVADA,2020,7,,-,1,,,-,,-,,-,1,,,-,1,,1,,15,,6,,16,,NEVADA,,20200753,POINT (-114.916992 39.283294)
ILLINOIS,2020,7,,-,1,,,-,3,,,-,3,,,-,5,,,-,95,,12,,146,,ILLINOIS,,20200715,POINT (-89.148632 40.124144)
IOWA,2020,7,,-,1,,1,,,-,,-,2,,,-,,-,2,,118,,43,,61,,IOWA,,20200721,POINT (-93.500061 42.074659)
TEXAS,2020,7,,-,3,,,-,1,,,-,6,,1,,1,,19,,256,,165,,227,,TEXAS,,20200747,POINT (-99.317341 31.447238)
ALASKA,2020,7,,-,1,,,-,,-,,-,0,,,-,1,,,-,6,,,-,5,,ALASKA,,20200758,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,7,,-,1,,,-,,-,,-,0,,,-,,-,,-,3,,,-,,-,DISTRICT OF COLUMBIA,,20200730,POINT (-77.016275 38.904785)
WASHINGTON,2020,7,,-,1,,1,,2,,,-,2,,,-,,-,1,,21,,56,,50,,WASHINGTON,,20200762,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,7,,-,2,,2,,1,,,-,6,,3,,4,,2,,81,,89,,138,,,NEW ENGLAND,20200702,
RHODE ISLAND,2020,7,,-,1,,,-,,-,,-,1,,,-,,-,,-,10,,8,,,-,RHODE ISLAND,,20200707,POINT (-71.534637 41.572574)
OREGON,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20200761,POINT (-120.605279 43.940449)
DELAWARE,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200729,POINT (-75.452394 38.994926)
ALABAMA,2020,7,,-,1,,1,,,-,,-,0,,,-,,-,1,,53,,58,,74,,ALABAMA,,20200739,POINT (-86.844516 32.756889)
KANSAS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200722,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,7,,-,0,,,-,,-,,-,2,,,-,1,,,-,109,,,-,125,,NORTH CAROLINA,,20200734,POINT (-79.130883 35.52603)
GUAM,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200766,POINT (144.653198 13.3532)
NEW JERSEY,2020,7,,-,1,,,-,,-,,-,2,,,-,4,,,-,58,,4,,107,,NEW JERSEY,,20200710,POINT (-74.655514 40.110253)
NEW MEXICO,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,21,,25,,32,,NEW MEXICO,,20200754,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,7,,-,1,,,-,3,,,-,3,,1,,6,,13,,138,,181,,267,,,EAST NORTH CENTRAL,20200714,
TENNESSEE,2020,7,,-,1,,,-,,-,,-,1,,,-,,-,2,,52,,42,,48,,TENNESSEE,,20200742,POINT (-86.343226 35.842998)
CONNECTICUT,2020,7,,-,1,,,-,1,,,-,1,,,-,2,,,-,26,,,-,33,,CONNECTICUT,,20200703,POINT (-72.738288 41.575155)
MARYLAND,2020,7,,-,1,,,-,1,,,-,2,,,-,2,,5,,47,,74,,78,,MARYLAND,,20200733,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,7,,-,0,,,-,,-,,-,1,,1,,,-,3,,86,,71,,71,,SOUTH CAROLINA,,20200735,POINT (-80.864614 33.878572)
OKLAHOMA,2020,7,,-,0,,,-,,-,,-,1,,1,,,-,14,,74,,52,,42,,OKLAHOMA,,20200746,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200765,POINT (145.725693 15.1834)
OHIO,2020,7,,-,1,,,-,,-,,-,1,,1,,1,,11,,66,,101,,119,,OHIO,,20200718,POINT (-82.70936 40.415534)
MINNESOTA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200723,POINT (-94.198308 46.349153)
LOUISIANA,2020,7,,-,1,,,-,,-,,-,0,,,-,,-,,-,53,,12,,52,,LOUISIANA,,20200745,POINT (-91.840238 30.921314)
HAWAII,2020,7,,-,0,,,-,,-,,-,1,,,-,,-,,-,24,,7,,20,,HAWAII,,20200760,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,7,,-,3,,,-,5,,,-,6,,1,,6,,85,,550,,729,,946,,,SOUTH ATLANTIC,20200728,
PENNSYLVANIA,2020,7,,-,1,,,-,,-,,-,2,,3,,,-,4,,66,,88,,2,,PENNSYLVANIA,,20200713,POINT (-77.838886 40.896694)
UTAH,2020,7,,-,0,,,-,,-,,-,1,,,-,,-,,-,15,,,-,30,,UTAH,,20200755,POINT (-111.678222 39.323779)
COLORADO,2020,7,,-,1,,,-,1,,,-,2,,,-,2,,8,,27,,59,,64,,COLORADO,,20200750,POINT (-105.547832 38.998552)
VERMONT,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,1,,8,,4,,1,,VERMONT,,20200708,POINT (-72.662695 44.075252)
KENTUCKY,2020,7,,-,1,,,-,,-,,-,1,,,-,,-,,-,27,,10,,39,,KENTUCKY,,20200740,POINT (-85.290484 37.526683)
PUERTO RICO,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200767,POINT (-66.414655 18.215692)
MAINE,2020,7,,-,1,,,-,,-,,-,1,,,-,,-,,-,7,,4,,12,,MAINE,,20200704,POINT (-69.06137 45.117911)
VIRGINIA,2020,7,,-,2,,,-,2,,,-,2,,,-,3,,3,,58,,60,,63,,VIRGINIA,,20200736,POINT (-78.666382 37.510861)
ARIZONA,2020,7,,-,1,,,-,,-,,-,1,,2,,,-,8,,38,,71,,102,,ARIZONA,,20200749,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200764,
WISCONSIN,2020,7,,-,0,,,-,,-,,-,1,,,-,,-,2,,30,,68,,2,,WISCONSIN,,20200719,POINT (-89.732969 44.639954)
IDAHO,2020,7,,-,1,,,-,,-,,-,1,,,-,,-,,-,12,,2,,22,,IDAHO,,20200751,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200768,POINT (-64.840836 18.060868)
MICHIGAN,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20200717,POINT (-85.730977 44.874798)
GEORGIA,2020,7,,-,1,,,-,2,,,-,0,,,-,,-,1,,96,,64,,98,,GEORGIA,,20200732,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,7,,-,0,,,-,,-,,-,1,,,-,2,,,-,0,,,-,,-,,NEW YORK CITY,20200712,
ARKANSAS,2020,7,,-,2,,,-,,-,,-,1,,,-,,-,4,,42,,29,,16,,ARKANSAS,,20200744,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200741,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,2,,14,,SOUTH DAKOTA,,20200727,POINT (-100.230491 44.43614)
WYOMING,2020,7,,-,1,,,-,,-,,-,0,,,-,,-,,-,5,,3,,,-,WYOMING,,20200756,POINT (-107.55145 42.999627)
MISSOURI,2020,7,,-,0,,,-,,-,,-,1,,1,,1,,,-,36,,27,,65,,MISSOURI,,20200724,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,7,,-,2,,,-,,-,1,,5,,4,,8,,17,,174,,187,,212,,,MIDDLE ATLANTIC,20200709,
CALIFORNIA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20200759,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,10,,2,,,-,WEST VIRGINIA,,20200737,POINT (-80.613729 38.642579)
FLORIDA,2020,7,,-,1,,,-,,-,,-,5,,,-,,-,73,,234,,458,,511,,FLORIDA,,20200731,POINT (-82.420978 28.260731)
MONTANA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,6,,10,,MONTANA,,20200752,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,7,,-,1,,1,,,-,,-,2,,1,,1,,6,,134,,99,,152,,,WEST NORTH CENTRAL,20200720,
MASSACHUSETTS,2020,7,,-,2,,2,,,-,,-,2,,3,,2,,1,,50,,68,,78,,MASSACHUSETTS,,20200705,POINT (-71.481104 42.151077)
MOUNTAIN,2020,7,,-,1,,,-,1,,,-,2,,2,,3,,17,,101,,172,,276,,,MOUNTAIN,20200748,
INDIANA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200716,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,20200769,
US TERRITORIES,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200763,
WEST NORTH CENTRAL,2020,8,,-,1,,1,,,-,,-,2,,1,,2,,1,,134,,109,,286,,,WEST NORTH CENTRAL,20200820,
MASSACHUSETTS,2020,8,,-,2,,2,,,-,,-,2,,3,,2,,6,,50,,76,,88,,MASSACHUSETTS,,20200805,POINT (-71.481104 42.151077)
MOUNTAIN,2020,8,,-,1,,,-,2,,,-,2,,3,,4,,9,,101,,195,,315,,,MOUNTAIN,20200848,
INDIANA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200816,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,20200869,
US TERRITORIES,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200863,
TOTAL,2020,16,1,,6,,22,,37,,1,,13,,37,,104,,118,,1458,,4653,,7736,,,TOTAL,20201670,
IDAHO,2020,16,,-,1,,,-,,-,,-,1,,,-,,-,,-,12,,6,,53,,IDAHO,,20201651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201668,POINT (-64.840836 18.060868)
MICHIGAN,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20201617,POINT (-85.730977 44.874798)
GEORGIA,2020,16,,-,1,,,-,5,,,-,0,,,-,,-,,-,98,,155,,289,,GEORGIA,,20201632,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,16,,-,0,,,-,,-,,-,1,,,-,6,,,-,0,,,-,,-,,NEW YORK CITY,20201612,
ARKANSAS,2020,16,,-,2,,,-,1,,,-,1,,,-,2,,3,,42,,65,,62,,ARKANSAS,,20201644,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20201641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,11,,46,,SOUTH DAKOTA,,20201627,POINT (-100.230491 44.43614)
WYOMING,2020,16,,-,0,,,-,2,,,-,0,,,-,,-,,-,5,,3,,6,,WYOMING,,20201656,POINT (-107.55145 42.999627)
MISSOURI,2020,16,,-,0,,,-,,-,,-,1,,1,,2,,,-,36,,72,,177,,MISSOURI,,20201624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,16,,-,2,,3,,3,,,-,5,,7,,25,,21,,175,,463,,628,,,MIDDLE ATLANTIC,20201609,
CALIFORNIA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20201659,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,10,,3,,9,,WEST VIRGINIA,,20201637,POINT (-80.613729 38.642579)
FLORIDA,2020,16,,-,1,,1,,1,,,-,5,,,-,5,,,-,234,,945,,1239,,FLORIDA,,20201631,POINT (-82.420978 28.260731)
MONTANA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,8,,35,,MONTANA,,20201652,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,16,,-,1,,1,,,-,,-,3,,1,,4,,8,,134,,304,,858,,,WEST NORTH CENTRAL,20201620,
MASSACHUSETTS,2020,16,,-,2,,2,,2,,,-,2,,3,,3,,3,,50,,152,,210,,MASSACHUSETTS,,20201605,POINT (-71.481104 42.151077)
MOUNTAIN,2020,16,,-,2,,3,,3,,1,,2,,4,,10,,9,,101,,426,,713,,,MOUNTAIN,20201648,
INDIANA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20201616,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,20201669,
US TERRITORIES,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201663,
US RESIDENTS,2020,16,1,,6,,22,,37,,1,,13,,37,,104,,118,,1458,,4653,,7736,,,US RESIDENTS,20201601,
NEW HAMPSHIRE,2020,16,,-,0,,,-,,-,,-,5,,,-,,-,,-,10,,21,,43,,NEW HAMPSHIRE,,20201606,POINT (-71.57139 43.680429)
NEW YORK,2020,16,,-,2,,3,,2,,,-,3,,3,,11,,11,,62,,216,,302,,NEW YORK,,20201611,POINT (-75.59655 42.921241)
PACIFIC,2020,16,,-,1,,1,,3,,,-,3,,4,,8,,3,,46,,140,,227,,,PACIFIC,20201657,
WEST SOUTH CENTRAL,2020,16,1,,3,,2,,4,,,-,6,,6,,8,,29,,364,,683,,1017,,,WEST SOUTH CENTRAL,20201643,
NEBRASKA,2020,16,,-,0,,,-,,-,,-,1,,,-,1,,6,,18,,47,,25,,NEBRASKA,,20201625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,16,,-,1,,2,,2,,,-,1,,,-,1,,8,,116,,276,,463,,,EAST SOUTH CENTRAL,20201638,
NORTH DAKOTA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,10,,35,,NORTH DAKOTA,,20201626,POINT (-100.46931 47.446305)
NEVADA,2020,16,,-,2,,2,,,-,,-,1,,,-,4,,,-,10,,13,,86,,NEVADA,,20201653,POINT (-114.916992 39.283294)
ILLINOIS,2020,16,,-,1,,1,,4,,,-,3,,,-,14,,,-,74,,137,,494,,ILLINOIS,,20201615,POINT (-89.148632 40.124144)
IOWA,2020,16,,-,1,,1,,,-,,-,2,,,-,,-,2,,33,,99,,265,,IOWA,,20201621,POINT (-93.500061 42.074659)
TEXAS,2020,16,1,,3,,2,,3,,,-,6,,4,,6,,19,,335,,395,,706,,TEXAS,,20201647,POINT (-99.317341 31.447238)
ALASKA,2020,16,,-,1,,,-,,-,,-,0,,,-,1,,,-,6,,,-,17,,ALASKA,,20201658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,16,,-,1,,,-,,-,,-,0,,,-,,-,,-,3,,1,,10,,DISTRICT OF COLUMBIA,,20201630,POINT (-77.016275 38.904785)
WASHINGTON,2020,16,,-,1,,1,,3,,,-,2,,4,,6,,3,,21,,119,,170,,WASHINGTON,,20201662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,16,,-,3,,5,,6,,,-,6,,3,,7,,4,,81,,273,,411,,,NEW ENGLAND,20201602,
RHODE ISLAND,2020,16,,-,0,,,-,1,,,-,1,,,-,,-,,-,8,,11,,23,,RHODE ISLAND,,20201607,POINT (-71.534637 41.572574)
OREGON,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20201661,POINT (-120.605279 43.940449)
DELAWARE,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20201629,POINT (-75.452394 38.994926)
ALABAMA,2020,16,,-,1,,1,,,-,,-,0,,,-,,-,2,,53,,109,,165,,ALABAMA,,20201639,POINT (-86.844516 32.756889)
KANSAS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,24,,65,,90,,KANSAS,,20201622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,16,,-,0,,,-,,-,,-,2,,1,,3,,,-,109,,66,,324,,NORTH CAROLINA,,20201634,POINT (-79.130883 35.52603)
GUAM,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201666,POINT (144.653198 13.3532)
NEW JERSEY,2020,16,,-,1,,,-,1,,,-,2,,,-,7,,,-,58,,7,,252,,NEW JERSEY,,20201610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,1,,18,,51,,73,,NEW MEXICO,,20201654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,16,,-,1,,1,,5,,,-,3,,2,,17,,15,,145,,480,,1011,,,EAST NORTH CENTRAL,20201614,
TENNESSEE,2020,16,,-,1,,1,,,-,,-,1,,,-,1,,4,,52,,133,,150,,TENNESSEE,,20201642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,16,,-,1,,3,,3,,,-,1,,,-,3,,,-,26,,67,,99,,CONNECTICUT,,20201603,POINT (-72.738288 41.575155)
MARYLAND,2020,16,,-,1,,1,,1,,,-,2,,1,,8,,,-,47,,113,,161,,MARYLAND,,20201633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,16,,-,0,,,-,,-,,-,1,,2,,,-,13,,86,,163,,174,,SOUTH CAROLINA,,20201635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,16,,-,0,,,-,,-,,-,1,,2,,,-,,-,74,,108,,96,,OKLAHOMA,,20201646,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201665,POINT (145.725693 15.1834)
OHIO,2020,16,,-,1,,,-,1,,,-,1,,2,,2,,10,,66,,191,,319,,OHIO,,20201618,POINT (-82.70936 40.415534)
MINNESOTA,2020,16,,-,1,,,-,,-,,-,1,,,-,1,,,-,34,,,-,220,,MINNESOTA,,20201623,POINT (-94.198308 46.349153)
LOUISIANA,2020,16,,-,1,,,-,,-,,-,0,,,-,,-,7,,53,,115,,153,,LOUISIANA,,20201645,POINT (-91.840238 30.921314)
HAWAII,2020,16,,-,0,,,-,,-,,-,1,,,-,1,,,-,24,,21,,40,,HAWAII,,20201660,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,16,,-,3,,4,,11,,,-,6,,10,,24,,21,,554,,1608,,2408,,,SOUTH ATLANTIC,20201628,
TOTAL,2020,13,1,,6,,17,,27,,,-,12,,32,,73,,105,,1421,,3797,,5581,,,TOTAL,20201370,
TOTAL,2020,9,1,,6,,12,,19,,5,,12,,25,,42,,196,,1421,,2608,,3714,,,TOTAL,20200970,
US RESIDENTS,2020,9,1,,6,,12,,19,,5,,12,,25,,42,,196,,1421,,2608,,3714,,,US RESIDENTS,20200901,
NEW HAMPSHIRE,2020,9,,-,0,,,-,,-,,-,5,,,-,,-,,-,10,,7,,23,,NEW HAMPSHIRE,,20200906,POINT (-71.57139 43.680429)
NEW YORK,2020,9,1,,2,,1,,,-,1,,3,,1,,5,,20,,62,,128,,139,,NEW YORK,,20200911,POINT (-75.59655 42.921241)
PACIFIC,2020,9,,-,1,,1,,2,,,-,2,,4,,2,,3,,46,,80,,118,,,PACIFIC,20200957,
WEST SOUTH CENTRAL,2020,9,,-,3,,1,,1,,1,,6,,4,,2,,32,,359,,355,,461,,,WEST SOUTH CENTRAL,20200943,
NEBRASKA,2020,9,,-,0,,,-,,-,,-,1,,,-,,-,,-,18,,23,,,-,NEBRASKA,,20200925,POINT (-99.810595 41.527099)
US RESIDENTS,2020,13,1,,6,,17,,27,,,-,12,,32,,73,,105,,1421,,3797,,5581,,,US RESIDENTS,20201301,
EAST SOUTH CENTRAL,2020,9,,-,1,,1,,,-,,-,1,,,-,,-,4,,116,,144,,195,,,EAST SOUTH CENTRAL,20200938,
NORTH DAKOTA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,6,,21,,NORTH DAKOTA,,20200926,POINT (-100.46931 47.446305)
NEVADA,2020,9,,-,1,,,-,,-,,-,1,,,-,1,,,-,15,,8,,22,,NEVADA,,20200953,POINT (-114.916992 39.283294)
ILLINOIS,2020,9,,-,1,,1,,3,,,-,3,,,-,5,,,-,95,,41,,286,,ILLINOIS,,20200915,POINT (-89.148632 40.124144)
IOWA,2020,9,,-,1,,1,,,-,,-,2,,,-,,-,3,,33,,50,,194,,IOWA,,20200921,POINT (-93.500061 42.074659)
TEXAS,2020,9,,-,3,,1,,1,,1,,6,,2,,2,,21,,330,,239,,309,,TEXAS,,20200947,POINT (-99.317341 31.447238)
ALASKA,2020,9,,-,1,,,-,,-,,-,0,,,-,1,,,-,6,,,-,8,,ALASKA,,20200958,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,9,,-,1,,,-,,-,,-,0,,,-,,-,,-,3,,,-,1,,DISTRICT OF COLUMBIA,,20200930,POINT (-77.016275 38.904785)
WASHINGTON,2020,9,,-,1,,1,,2,,,-,2,,4,,1,,3,,21,,71,,86,,WASHINGTON,,20200962,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,9,,-,3,,5,,2,,,-,6,,3,,4,,4,,81,,148,,200,,,NEW ENGLAND,20200902,
RHODE ISLAND,2020,9,,-,1,,,-,,-,,-,1,,,-,,-,,-,8,,9,,12,,RHODE ISLAND,,20200907,POINT (-71.534637 41.572574)
