Reporting Area,MMWR Year,MMWR Week,"Invasive pneumococcal disease, age < 5 years§, Confirmed, Current week","Invasive pneumococcal disease, age < 5 years§, Confirmed, Current week, flag","Invasive pneumococcal disease, age < 5 years§, Confirmed, Previous 52 weeks Max†","Invasive pneumococcal disease, age < 5 years§, Confirmed, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2020†","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2020†, flag","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2019†","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2019†, flag","Invasive pneumococcal disease, age < 5 years§, Probable, Current week","Invasive pneumococcal disease, age < 5 years§, Probable, Current week, flag","Invasive pneumococcal disease, age < 5 years§, Probable, Previous 52 weeks Max†","Invasive pneumococcal disease, age < 5 years§, Probable, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, age < 5 years§, Probable,  Cum 2020†","Invasive pneumococcal disease, age < 5 years§, Probable,  Cum 2020†, flag","Invasive pneumococcal disease, age < 5 years§, Probable,  Cum 2019†","Invasive pneumococcal disease, age < 5 years§, Probable, Cum 2019†, flag","Legionellosis, Current week","Legionellosis, Current week, flag","Legionellosis, Previous 52 weeks Max†","Legionellosis, Previous 52 weeks Max†, flag","Legionellosis, Cum 2020†","Legionellosis, Cum 2020†, flag","Legionellosis, Cum 2019†","Legionellosis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
PENNSYLVANIA,2020,9,,-,1,,1,,2,,,-,1,,,-,,-,2,,29,,35,,76,,PENNSYLVANIA,,20200913,POINT (-77.838886 40.896694)
UTAH,2020,9,,-,2,,7,,4,,,-,0,,,-,1,,,-,3,,,-,2,,UTAH,,20200955,POINT (-111.678222 39.323779)
COLORADO,2020,9,1,,4,,9,,3,,,-,0,,,-,,-,,-,6,,5,,11,,COLORADO,,20200950,POINT (-105.547832 38.998552)
VERMONT,2020,9,,-,1,,,-,,-,,-,0,,,-,,-,,-,2,,,-,1,,VERMONT,,20200908,POINT (-72.662695 44.075252)
KENTUCKY,2020,9,,-,2,,2,,2,,,-,0,,,-,,-,,-,8,,3,,24,,KENTUCKY,,20200940,POINT (-85.290484 37.526683)
PUERTO RICO,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200967,POINT (-66.414655 18.215692)
MAINE,2020,9,,-,1,,,-,3,,,-,0,,,-,,-,1,,3,,2,,6,,MAINE,,20200904,POINT (-69.06137 45.117911)
VIRGINIA,2020,9,,-,3,,4,,4,,,-,0,,,-,,-,6,,10,,18,,21,,VIRGINIA,,20200936,POINT (-78.666382 37.510861)
ARIZONA,2020,9,,-,3,,5,,10,,,-,0,,,-,,-,,-,6,,17,,21,,ARIZONA,,20200949,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,9,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200964,
WISCONSIN,2020,9,,-,4,,5,,3,,,-,0,,,-,,-,,-,8,,,-,25,,WISCONSIN,,20200919,POINT (-89.732969 44.639954)
IDAHO,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,1,,3,,IDAHO,,20200951,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200968,POINT (-64.840836 18.060868)
MICHIGAN,2020,9,,-,3,,4,,9,,,-,1,,,-,,-,,-,26,,16,,42,,MICHIGAN,,20200917,POINT (-85.730977 44.874798)
GEORGIA,2020,9,1,,4,,3,,11,,,-,0,,,-,,-,,-,9,,7,,5,,GEORGIA,,20200932,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,9,,-,4,,8,,8,,,-,0,,,-,,-,,-,39,,22,,45,,,NEW YORK CITY,20200912,
ARKANSAS,2020,9,4,,4,,6,,2,,,-,0,,,-,,-,,-,3,,4,,6,,ARKANSAS,,20200944,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,9,,-,3,,3,,3,,,-,0,,,-,,-,,-,4,,5,,4,,MISSISSIPPI,,20200941,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,9,,-,1,,2,,2,,,-,0,,,-,,-,,-,3,,,-,2,,SOUTH DAKOTA,,20200927,POINT (-100.230491 44.43614)
WYOMING,2020,9,,-,0,,,-,1,,,-,0,,,-,,-,,-,1,,1,,1,,WYOMING,,20200956,POINT (-107.55145 42.999627)
MISSOURI,2020,9,,-,2,,4,,5,,,-,1,,,-,,-,,-,18,,9,,11,,MISSOURI,,20200924,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,9,,-,6,,18,,16,,,-,1,,,-,1,,8,,92,,93,,194,,,MIDDLE ATLANTIC,20200909,
CALIFORNIA,2020,9,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,14,,,-,114,,CALIFORNIA,,20200959,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,9,,-,2,,1,,4,,,-,0,,,-,,-,,-,7,,,-,15,,WEST VIRGINIA,,20200937,POINT (-80.613729 38.642579)
FLORIDA,2020,9,1,,6,,17,,14,,,-,1,,1,,1,,6,,17,,58,,60,,FLORIDA,,20200931,POINT (-82.420978 28.260731)
MONTANA,2020,9,,-,1,,,-,1,,,-,0,,,-,,-,,-,1,,,-,1,,MONTANA,,20200952,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,9,,-,4,,6,,17,,,-,1,,,-,1,,2,,32,,28,,44,,,WEST NORTH CENTRAL,20200920,
MASSACHUSETTS,2020,9,,-,3,,2,,7,,,-,0,,,-,,-,,-,12,,2,,33,,MASSACHUSETTS,,20200905,POINT (-71.481104 42.151077)
TOTAL,2020,7,5,,32,,104,,133,,,-,2,,7,,5,,26,,334,,397,,784,,,TOTAL,20200770,
US RESIDENTS,2020,7,5,,32,,104,,133,,,-,2,,7,,5,,26,,334,,397,,784,,,US RESIDENTS,20200701,
NEW HAMPSHIRE,2020,7,,-,1,,,-,1,,,-,0,,,-,,-,,-,4,,4,,2,,NEW HAMPSHIRE,,20200706,POINT (-71.57139 43.680429)
NEW YORK,2020,7,1,,6,,6,,1,,,-,1,,,-,,-,4,,48,,24,,34,,NEW YORK,,20200711,POINT (-75.59655 42.921241)
PACIFIC,2020,7,,-,1,,,-,1,,,-,0,,,-,1,,1,,18,,22,,110,,,PACIFIC,20200757,
WEST SOUTH CENTRAL,2020,7,,-,13,,13,,16,,,-,2,,,-,,-,3,,25,,24,,33,,,WEST SOUTH CENTRAL,20200743,
NEBRASKA,2020,7,,-,2,,,-,1,,,-,0,,,-,,-,,-,6,,3,,2,,NEBRASKA,,20200725,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,7,,-,8,,8,,11,,,-,0,,,-,,-,,-,25,,18,,55,,,EAST SOUTH CENTRAL,20200738,
NORTH DAKOTA,2020,7,,-,2,,,-,3,,,-,0,,,-,,-,,-,2,,,-,2,,NORTH DAKOTA,,20200726,POINT (-100.46931 47.446305)
NEVADA,2020,7,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,3,,3,,NEVADA,,20200753,POINT (-114.916992 39.283294)
ILLINOIS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,43,,24,,39,,ILLINOIS,,20200715,POINT (-89.148632 40.124144)
IOWA,2020,7,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,8,,4,,2,,IOWA,,20200721,POINT (-93.500061 42.074659)
TEXAS,2020,7,,-,10,,10,,10,,,-,2,,,-,,-,3,,22,,20,,26,,TEXAS,,20200747,POINT (-99.317341 31.447238)
ALASKA,2020,7,,-,1,,,-,,-,,-,0,,,-,1,,,-,1,,,-,,-,ALASKA,,20200758,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,7,,-,1,,,-,,-,,-,0,,,-,,-,,-,3,,2,,6,,DISTRICT OF COLUMBIA,,20200730,POINT (-77.016275 38.904785)
WASHINGTON,2020,7,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,9,,10,,WASHINGTON,,20200762,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,7,,-,3,,2,,13,,,-,0,,,-,,-,1,,22,,7,,49,,,NEW ENGLAND,20200702,
RHODE ISLAND,2020,7,,-,1,,,-,2,,,-,0,,,-,,-,,-,5,,2,,7,,RHODE ISLAND,,20200707,POINT (-71.534637 41.572574)
OREGON,2020,7,,N,,NC,,N,,N,,N,,NC,,N,,N,1,,4,,10,,6,,OREGON,,20200761,POINT (-120.605279 43.940449)
DELAWARE,2020,7,,-,3,,,-,,-,,-,0,,,-,,-,,-,4,,1,,2,,DELAWARE,,20200729,POINT (-75.452394 38.994926)
ALABAMA,2020,7,,-,2,,2,,3,,,-,0,,,-,,-,,-,6,,6,,6,,ALABAMA,,20200739,POINT (-86.844516 32.756889)
KANSAS,2020,7,,-,2,,,-,5,,,-,1,,,-,1,,,-,5,,,-,6,,KANSAS,,20200722,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,7,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,112,,4,,13,,NORTH CAROLINA,,20200734,POINT (-79.130883 35.52603)
GUAM,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200766,POINT (144.653198 13.3532)
NEW JERSEY,2020,7,,-,4,,3,,1,,,-,0,,,-,,-,,-,8,,,-,19,,NEW JERSEY,,20200710,POINT (-74.655514 40.110253)
NEW MEXICO,2020,7,,-,2,,1,,5,,,-,0,,,-,,-,,-,2,,2,,1,,NEW MEXICO,,20200754,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,7,,-,8,,19,,23,,,-,2,,6,,1,,9,,115,,135,,157,,,EAST NORTH CENTRAL,20200714,
TENNESSEE,2020,7,,-,3,,1,,5,,,-,0,,,-,,-,,-,10,,7,,12,,TENNESSEE,,20200742,POINT (-86.343226 35.842998)
CONNECTICUT,2020,7,,-,1,,,-,2,,,-,0,,,-,,-,,-,8,,,-,5,,CONNECTICUT,,20200703,POINT (-72.738288 41.575155)
MARYLAND,2020,7,,-,3,,1,,4,,,-,0,,,-,,-,,-,16,,15,,45,,MARYLAND,,20200733,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,7,,-,2,,4,,1,,,-,0,,,-,,-,,-,6,,4,,5,,SOUTH CAROLINA,,20200735,POINT (-80.864614 33.878572)
OKLAHOMA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,15,,,-,,-,OKLAHOMA,,20200746,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200765,POINT (145.725693 15.1834)
OHIO,2020,7,,-,3,,10,,5,,,-,2,,6,,1,,9,,68,,96,,65,,OHIO,,20200718,POINT (-82.70936 40.415534)
MINNESOTA,2020,7,,-,2,,,-,1,,,-,0,,,-,,-,,-,7,,,-,16,,MINNESOTA,,20200723,POINT (-94.198308 46.349153)
LOUISIANA,2020,7,,-,2,,2,,4,,,-,0,,,-,,-,,-,6,,,-,3,,LOUISIANA,,20200745,POINT (-91.840238 30.921314)
HAWAII,2020,7,,-,1,,,-,1,,,-,0,,,-,,-,,-,2,,3,,6,,HAWAII,,20200760,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,7,2,,9,,23,,28,,,-,1,,,-,1,,6,,141,,85,,151,,,SOUTH ATLANTIC,20200728,
PENNSYLVANIA,2020,7,,-,1,,,-,2,,,-,1,,,-,,-,,-,29,,25,,63,,PENNSYLVANIA,,20200713,POINT (-77.838886 40.896694)
UTAH,2020,7,1,,2,,5,,2,,,-,0,,,-,1,,,-,3,,,-,,-,UTAH,,20200755,POINT (-111.678222 39.323779)
COLORADO,2020,7,1,,4,,7,,3,,,-,0,,,-,,-,2,,6,,5,,10,,COLORADO,,20200750,POINT (-105.547832 38.998552)
VERMONT,2020,7,,-,1,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,VERMONT,,20200708,POINT (-72.662695 44.075252)
KENTUCKY,2020,7,,-,2,,2,,1,,,-,0,,,-,,-,,-,15,,3,,35,,KENTUCKY,,20200740,POINT (-85.290484 37.526683)
PUERTO RICO,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200767,POINT (-66.414655 18.215692)
MAINE,2020,7,,-,1,,,-,2,,,-,0,,,-,,-,1,,3,,1,,5,,MAINE,,20200704,POINT (-69.06137 45.117911)
VIRGINIA,2020,7,,-,3,,3,,4,,,-,0,,,-,,-,1,,10,,8,,17,,VIRGINIA,,20200736,POINT (-78.666382 37.510861)
ARIZONA,2020,7,,-,3,,7,,5,,,-,0,,,-,,-,,-,6,,14,,20,,ARIZONA,,20200749,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,7,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200764,
WISCONSIN,2020,7,,-,4,,5,,3,,,-,0,,,-,,-,,-,8,,,-,17,,WISCONSIN,,20200719,POINT (-89.732969 44.639954)
IDAHO,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,1,,2,,IDAHO,,20200751,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200768,POINT (-64.840836 18.060868)
MICHIGAN,2020,7,,-,3,,2,,8,,,-,1,,,-,,-,,-,26,,15,,36,,MICHIGAN,,20200717,POINT (-85.730977 44.874798)
GEORGIA,2020,7,,-,4,,2,,6,,,-,0,,,-,,-,,-,9,,7,,3,,GEORGIA,,20200732,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,7,,-,4,,7,,5,,,-,0,,,-,,-,,-,39,,15,,37,,,NEW YORK CITY,20200712,
ARKANSAS,2020,7,,-,4,,1,,2,,,-,0,,,-,,-,,-,3,,4,,4,,ARKANSAS,,20200744,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,7,,-,3,,3,,2,,,-,0,,,-,,-,,-,4,,2,,2,,MISSISSIPPI,,20200741,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,7,,-,1,,1,,2,,,-,0,,,-,,-,,-,3,,,-,2,,SOUTH DAKOTA,,20200727,POINT (-100.230491 44.43614)
WYOMING,2020,7,,-,1,,,-,1,,,-,0,,,-,,-,,-,1,,1,,1,,WYOMING,,20200756,POINT (-107.55145 42.999627)
MISSOURI,2020,7,,-,2,,2,,3,,,-,1,,1,,,-,,-,18,,9,,9,,MISSOURI,,20200724,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,7,1,,6,,16,,9,,,-,1,,,-,,-,4,,92,,64,,153,,,MIDDLE ATLANTIC,20200709,
CALIFORNIA,2020,7,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,14,,,-,88,,CALIFORNIA,,20200759,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,7,,-,2,,,-,3,,,-,0,,,-,,-,,-,7,,,-,11,,WEST VIRGINIA,,20200737,POINT (-80.613729 38.642579)
FLORIDA,2020,7,2,,6,,13,,10,,,-,1,,,-,1,,5,,17,,44,,49,,FLORIDA,,20200731,POINT (-82.420978 28.260731)
MONTANA,2020,7,,-,1,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,MONTANA,,20200752,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,7,,-,5,,3,,15,,,-,1,,1,,1,,,-,32,,16,,39,,,WEST NORTH CENTRAL,20200720,
MASSACHUSETTS,2020,7,,-,3,,2,,6,,,-,0,,,-,,-,,-,12,,,-,30,,MASSACHUSETTS,,20200705,POINT (-71.481104 42.151077)
MOUNTAIN,2020,7,2,,5,,20,,17,,,-,0,,,-,1,,2,,13,,26,,37,,,MOUNTAIN,20200748,
INDIANA,2020,7,,-,3,,2,,7,,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200716,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200769,
US TERRITORIES,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200763,
TOTAL,2020,8,12,,33,,130,,155,,1,,2,,8,,6,,31,,331,,462,,867,,,TOTAL,20200870,
US RESIDENTS,2020,8,12,,33,,130,,155,,1,,2,,8,,6,,31,,331,,462,,867,,,US RESIDENTS,20200801,
NEW HAMPSHIRE,2020,8,,-,1,,,-,1,,,-,0,,,-,,-,,-,4,,4,,5,,NEW HAMPSHIRE,,20200806,POINT (-71.57139 43.680429)
NEW YORK,2020,8,,-,6,,6,,3,,,-,1,,,-,,-,5,,48,,29,,39,,NEW YORK,,20200811,POINT (-75.59655 42.921241)
PACIFIC,2020,8,,-,1,,1,,1,,,-,0,,,-,1,,1,,18,,22,,125,,,PACIFIC,20200857,
WEST SOUTH CENTRAL,2020,8,3,,14,,21,,20,,,-,2,,,-,1,,3,,25,,32,,44,,,WEST SOUTH CENTRAL,20200843,
NEBRASKA,2020,8,,-,2,,,-,1,,,-,0,,,-,,-,1,,6,,4,,2,,NEBRASKA,,20200825,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,8,,-,8,,10,,12,,,-,0,,,-,,-,,-,20,,19,,45,,,EAST SOUTH CENTRAL,20200838,
NORTH DAKOTA,2020,8,,-,2,,,-,3,,,-,0,,,-,,-,,-,2,,,-,2,,NORTH DAKOTA,,20200826,POINT (-100.46931 47.446305)
NEVADA,2020,8,,-,2,,1,,,-,,-,0,,,-,,-,,-,2,,3,,3,,NEVADA,,20200853,POINT (-114.916992 39.283294)
ILLINOIS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,43,,33,,43,,ILLINOIS,,20200815,POINT (-89.148632 40.124144)
IOWA,2020,8,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,8,,5,,3,,IOWA,,20200821,POINT (-93.500061 42.074659)
TEXAS,2020,8,2,,10,,14,,14,,,-,2,,,-,1,,3,,22,,28,,34,,TEXAS,,20200847,POINT (-99.317341 31.447238)
ALASKA,2020,8,,-,1,,,-,,-,,-,0,,,-,1,,,-,1,,,-,,-,ALASKA,,20200858,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,8,,-,1,,,-,,-,,-,0,,,-,,-,,-,3,,2,,6,,DISTRICT OF COLUMBIA,,20200830,POINT (-77.016275 38.904785)
WASHINGTON,2020,8,,N,,NC,,N,,N,,N,,NC,,N,,N,1,,4,,10,,12,,WASHINGTON,,20200862,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,8,,-,3,,2,,14,,,-,0,,,-,,-,,-,22,,18,,55,,,NEW ENGLAND,20200802,
RHODE ISLAND,2020,8,,-,1,,,-,2,,,-,0,,,-,,-,,-,5,,2,,7,,RHODE ISLAND,,20200807,POINT (-71.534637 41.572574)
OREGON,2020,8,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,10,,7,,OREGON,,20200861,POINT (-120.605279 43.940449)
DELAWARE,2020,8,,-,3,,,-,,-,,-,0,,,-,,-,,-,4,,1,,2,,DELAWARE,,20200829,POINT (-75.452394 38.994926)
ALABAMA,2020,8,,-,2,,2,,3,,,-,0,,,-,,-,,-,6,,6,,6,,ALABAMA,,20200839,POINT (-86.844516 32.756889)
KANSAS,2020,8,,-,2,,,-,5,,,-,1,,,-,1,,,-,5,,,-,6,,KANSAS,,20200822,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,8,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,112,,4,,14,,NORTH CAROLINA,,20200834,POINT (-79.130883 35.52603)
GUAM,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200866,POINT (144.653198 13.3532)
NEW JERSEY,2020,8,,-,4,,3,,1,,,-,0,,,-,,-,,-,8,,,-,23,,NEW JERSEY,,20200810,POINT (-74.655514 40.110253)
NEW MEXICO,2020,8,,-,2,,2,,5,,,-,0,,,-,,-,,-,2,,2,,1,,NEW MEXICO,,20200854,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,8,1,,8,,22,,25,,,-,2,,6,,1,,11,,115,,156,,179,,,EAST NORTH CENTRAL,20200814,
TENNESSEE,2020,8,,-,3,,3,,5,,,-,0,,,-,,-,,-,10,,7,,15,,TENNESSEE,,20200842,POINT (-86.343226 35.842998)
CONNECTICUT,2020,8,,-,1,,,-,2,,,-,0,,,-,,-,,-,8,,9,,7,,CONNECTICUT,,20200803,POINT (-72.738288 41.575155)
MARYLAND,2020,8,1,,3,,2,,4,,,-,0,,,-,,-,4,,16,,19,,48,,MARYLAND,,20200833,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,8,,-,2,,4,,1,,,-,0,,,-,,-,1,,6,,6,,6,,SOUTH CAROLINA,,20200835,POINT (-80.864614 33.878572)
OKLAHOMA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,15,,,-,1,,OKLAHOMA,,20200846,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200865,POINT (145.725693 15.1834)
OHIO,2020,8,1,,3,,11,,6,,,-,2,,6,,1,,11,,68,,107,,79,,OHIO,,20200818,POINT (-82.70936 40.415534)
MINNESOTA,2020,8,,-,2,,,-,1,,,-,0,,,-,,-,,-,7,,,-,17,,MINNESOTA,,20200823,POINT (-94.198308 46.349153)
LOUISIANA,2020,8,,-,2,,5,,4,,,-,0,,,-,,-,,-,6,,,-,4,,LOUISIANA,,20200845,POINT (-91.840238 30.921314)
HAWAII,2020,8,,-,1,,1,,1,,,-,0,,,-,,-,,-,1,,2,,6,,HAWAII,,20200860,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,8,5,,9,,29,,32,,1,,1,,1,,1,,8,,141,,95,,166,,,SOUTH ATLANTIC,20200828,
PENNSYLVANIA,2020,8,,-,1,,1,,2,,,-,1,,,-,,-,,-,29,,26,,68,,PENNSYLVANIA,,20200813,POINT (-77.838886 40.896694)
UTAH,2020,8,1,,2,,7,,4,,,-,0,,,-,1,,,-,3,,,-,1,,UTAH,,20200855,POINT (-111.678222 39.323779)
COLORADO,2020,8,1,,4,,8,,3,,,-,0,,,-,,-,,-,6,,5,,11,,COLORADO,,20200850,POINT (-105.547832 38.998552)
VERMONT,2020,8,,-,1,,,-,,-,,-,0,,,-,,-,,-,2,,,-,1,,VERMONT,,20200808,POINT (-72.662695 44.075252)
KENTUCKY,2020,8,,-,2,,2,,2,,,-,0,,,-,,-,,-,8,,3,,22,,KENTUCKY,,20200840,POINT (-85.290484 37.526683)
PUERTO RICO,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200867,POINT (-66.414655 18.215692)
MAINE,2020,8,,-,1,,,-,2,,,-,0,,,-,,-,,-,3,,1,,5,,MAINE,,20200804,POINT (-69.06137 45.117911)
VIRGINIA,2020,8,1,,3,,4,,4,,,-,0,,,-,,-,3,,10,,12,,18,,VIRGINIA,,20200836,POINT (-78.666382 37.510861)
ARIZONA,2020,8,,-,3,,6,,8,,,-,0,,,-,,-,2,,6,,17,,20,,ARIZONA,,20200849,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,8,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200864,
WISCONSIN,2020,8,,-,4,,5,,3,,,-,0,,,-,,-,,-,8,,,-,19,,WISCONSIN,,20200819,POINT (-89.732969 44.639954)
IDAHO,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,1,,2,,IDAHO,,20200851,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200868,POINT (-64.840836 18.060868)
MICHIGAN,2020,8,,-,3,,3,,9,,,-,1,,,-,,-,,-,26,,16,,38,,MICHIGAN,,20200817,POINT (-85.730977 44.874798)
GEORGIA,2020,8,,-,4,,2,,7,,,-,0,,,-,,-,,-,9,,7,,3,,GEORGIA,,20200832,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,8,,-,4,,7,,6,,,-,0,,,-,,-,,-,39,,18,,41,,,NEW YORK CITY,20200812,
ARKANSAS,2020,8,1,,4,,2,,2,,,-,0,,,-,,-,,-,3,,4,,5,,ARKANSAS,,20200844,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,8,,-,3,,3,,2,,,-,0,,,-,,-,,-,4,,3,,2,,MISSISSIPPI,,20200841,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,8,1,,1,,2,,2,,,-,0,,,-,,-,,-,3,,,-,2,,SOUTH DAKOTA,,20200827,POINT (-100.230491 44.43614)
WYOMING,2020,8,,-,1,,,-,1,,,-,0,,,-,,-,,-,1,,1,,1,,WYOMING,,20200856,POINT (-107.55145 42.999627)
MISSOURI,2020,8,,-,2,,2,,5,,,-,1,,1,,,-,,-,18,,9,,10,,MISSOURI,,20200824,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,8,,-,6,,17,,12,,,-,1,,,-,,-,5,,92,,73,,171,,,MIDDLE ATLANTIC,20200809,
CALIFORNIA,2020,8,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,14,,,-,100,,CALIFORNIA,,20200859,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,8,,-,2,,1,,3,,,-,0,,,-,,-,,-,7,,,-,14,,WEST VIRGINIA,,20200837,POINT (-80.613729 38.642579)
FLORIDA,2020,8,3,,6,,16,,13,,1,,1,,1,,1,,,-,17,,44,,55,,FLORIDA,,20200831,POINT (-82.420978 28.260731)
MONTANA,2020,8,,-,1,,,-,1,,,-,0,,,-,,-,,-,1,,,-,1,,MONTANA,,20200852,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,8,1,,5,,4,,17,,,-,1,,1,,1,,1,,32,,18,,42,,,WEST NORTH CENTRAL,20200820,
MASSACHUSETTS,2020,8,,-,3,,2,,7,,,-,0,,,-,,-,,-,12,,2,,30,,MASSACHUSETTS,,20200805,POINT (-71.481104 42.151077)
MOUNTAIN,2020,8,2,,5,,24,,22,,,-,0,,,-,1,,2,,13,,29,,40,,,MOUNTAIN,20200848,
INDIANA,2020,8,,-,3,,3,,7,,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200816,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200869,
US TERRITORIES,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200863,
MOUNTAIN,2020,9,1,,4,,24,,26,,,-,0,,,-,1,,,-,13,,31,,43,,,MOUNTAIN,20200948,
INDIANA,2020,9,,-,3,,3,,8,,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200916,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200969,
US TERRITORIES,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200963,
