the_geom,OBJECTID,SURVEY_MONUMENT_ID,MONUMENT_NAME,Y_COORDINATE,X_COORDINATE,ELEVATION,STREET,CROSS_STREET,GRID,SURVEY_MONUMENT_SOURCE
POINT (-97.689634283679 30.284824375462),192,2030262,M-23-1001(CB29),10077239.32,3130950.39,513.07,MLK JR BLVD,BOGGY CREEK,M-23,
POINT (-97.908983315632 30.394431903395),234,2030041,A046,10115515.84,3060865.52,750.13,OLD RR 620,MANSFIELD DAM,A-33,
POINT (-97.39574514995 30.405791057135),95,2030111,T029,10123544.95,3222521.13,584.71,LUND CARLSON ROAD,N LUND ROAD,EB-34,
POINT (-97.683937408572 30.302231287903),132,2030071,M-25-4007,10083611.01,3132597.25,594.15,MANOR RD,COVENTRY LN,M-25,
POINT (-97.77926492139 30.431285090899),267,2030231,G-36-3001,10129830.41,3101444.71,923.69,SPICEWOOD SPRINGS RD,CHANCELLROY,G-36,
POINT (-97.675656684038 30.313779110639),213,2030076,M-26-3003,10087871.95,3135109.39,543.01,AUBURNHILL DRIVE,AUBURNDALE DRIVE,M-26,
POINT (-97.784899014051 30.294016479544),93,2030109,ADAM,10079879.85,3100813.15,513.75,LAKE AUSTIN BLVD,TOM MILLER DAM,G-24,
POINT (-97.735201725476 30.254146715436),126,2030050,J-21-3002,10065746.38,3116832.28,456.64,WALLER ST,CLERMONT AVE,J-21,
POINT (-97.340818756697 30.334649228358),78,2030088,A284,10098142.36,3240525.87,535.43,CO ROAD 113,CO ROAD 114,ED-28,
POINT (-97.657382215717 30.441300881629),44,2030146,N-37-4004,10134374.86,3139758.52,806.96,MAXINES CV,DRUSILLAS DR,N-37,
POINT (-97.740479844031 30.264265220666),148,2030173,J-22-4001,10069386.5,3115080.48,467.44,TRINTY STREET,EAST 3RD STREET,J-22,
POINT (-97.693952980791 30.233794159053),108,2030126,L-19-2001,10058653,3130027.95,479.86,VARGAS ROAD,FELIX AVENUE,L-19,
POINT (-97.81104327215 30.433878630858),181,2030062,F-36-1002,10130544.91,3091410.8,899.78,LOCKERBIE DRIVE,PICKFAIR DRIVE,F-36,
POINT (-97.726741191313 30.297125031754),18,2030217,K-25-4001,10081435.34,3119136.61,580.47,EAST 38TH STREET,GREENWAY,K-25,
POINT (-97.796978100162 30.136820767629),36,2043924,F-11-3001,10022636.88,3098305.34,634.54,IH 35 SOUTH,ONION CREEK PARKWAY,F-11,
POINT (-97.680448050401 30.267568974732),52,2030266,M-22-4003,10071034.52,3133998.71,458.63,TERRY DR,TURA LN,M-22,
POINT (-97.829915362526 30.195912758176),33,2049778,E-16-4001,10043886.93,3087412.32,767.71,WESTGATE BLVD.,SISKIN DR.,E-16,
POINT (-97.629766436554 30.323489728955),279,2030249,P-27-3001,10091751.45,3149499.57,630.5,JOHNNY MORRIS ROAD,DAFFAN LANE,P-27,
POINT (-97.849701896176 30.567747850968),15,2030214,T034,10178945.17,3078143.81,983.81,LACY DRIVE,SONNY DRIVE,D-48,
POINT (-97.623683277883 30.331039820197),275,2030242,Q-27-1001,10094543.21,3151351.41,630.22,HWY 290 EAST,JOHNNY MORRIS ROAD,Q-27,
POINT (-97.814143520304 30.208591316277),165,2049770,E-17-3001,10048609.31,3092289.37,720.68,BERKELEY AVE.,WESTGATE BLVD.,E-17,
POINT (-97.710285462441 30.308425594992),116,2030148,K-25-2002,10085666.15,3124231.61,644.01,INTERSTATE 35,EAST 51ST ST,K-25,
POINT (-97.675880788661 30.269467323271),42,2030134,M-22-2001,10071759.14,3135423.65,540.44,HAROLD CT,TANNEHILL LN,M-22,
POINT (-97.747183157894 30.292920859509),72,2030075,J-24-1001(CB59),10079756.18,3112722.54,515.95,NORTH LAMAR BLVD,SHOAL CREEK BLVD,J-24,
POINT (-97.814823680612 30.214487144439),57,2049775,E-17-1002,10050748.16,3092026.03,696.47,WESTGATE BLVD.,HEADLY DR.,E-17,
POINT (-97.712513630605 30.263220742933),261,2030222,K-22-3001(CB41),10069213.62,3123915.99,475.95,WEBBERVILLE ROAD,FRANCISCO STREET,K-22,
POINT (-98.047971291448 30.388021547146),2,2030187,H103,10112257.42,3017103.62,992.42,BEE CREEK ROAD,THURMAN BEND ROAD,WT-32,
POINT (-97.718083766251 30.327677032295),12,2030210,K-27-2001(CB02),10092607.81,3121606.89,671.71,DENSON DRIVE,WALLER CREEK,K-27,
POINT (-97.788345515828 30.216182278437),278,2030248,G-18-4002,10051554.83,3100373.27,623.85,MEADOW CREEK CIRCLE,MEADOW CREEK DR,G-18,
POINT (-97.809268301106 30.208913377844),252,2049760,F-17-4001,10048761.31,3093826.31,737,BOLEYNWOOD,ALDFORD,F-17,
POINT (-97.641696344295 30.222323223124),259,2030063,P-18-1001 (EUD 278),10054877.74,3146626.87,438.38,FM 973,,P-18,
POINT (-97.768651806982 30.263358605404),210,2050854,H-22-4003(CB10),10068850.7,3106196.53,466.85,ROBERT E LEE RD,BARTON SPRINGS RD,H-22,
POINT (-98.132843348637 30.33148820122),139,2030160,T028,10091161.43,2990755.82,981,STAGECOACH RANCH RD,,WP-27,
POINT (-97.712493052061 30.296085330636),201,2030277,K-24-2001(CB24),10081162.96,3123640.91,578.29,WILSHIRE BLVD,BOGGY CREEK,K-24,
POINT (-97.75706725837 30.277382686047),25,2030156,H-23-3001,10074034.25,3109734.74,530.56,W 10TH ST,LORRAIN ST,H-23,
POINT (-97.754405096438 30.195716316984),254,2030205,H-16-3001,10044360.41,3111263.38,584.87,JACARANDA DR,TALLOW TREE DR,H-16,
POINT (-97.809458344827 30.21734791544),169,2049753,F-18-4002,10051826.74,3093696.71,674.65,WESTGATE BOULEVARD,COATBRIDGE DR.,F-18,
POINT (-97.639576338357 30.311188621432),112,2030140,P-26-4001,10087203.91,3146513.7,644.72,JOHNNY MORRIS ROAD,BREEZY HILL DRIVE,P-26,
POINT (-97.787181273011 30.303629797521),104,2030118,G-25-1002,10083358.7,3100013.03,588.47,WESTLAKE PASS,WESTLAKE DRIVE,G-25,
POINT (-97.738395922558 30.298789175069),13,2030212,J-25-3001(CB05),10081954.42,3115445.33,577.4,WEST 33RD STREET,HEMPHILL PARK,J-25,
POINT (-97.770790740046 30.264810503897),185,2050865,H-22-4001,10069361.76,3105510.13,465.02,WILLIAM BARTON,ANDREW ZILKER,H-22,
POINT (-97.676626317515 30.282401746319),180,2030121,M-23-2001,10076456.29,3135076.03,510.81,WEBBERVILLE RD,HELFIN LN,M-23,
POINT (-97.745082845554 30.295549646961),141,2032663,J-24-1002,10080727.4,3113362.99,574.35,SALADO ST,28TH 1/2 ST,J-24,
POINT (-97.77745746137 30.192704980017),231,2030038,G-16-3001,10043097.43,3104007.62,660.97,WILLIAM CANON DRIVE,CIRCLE S ROAD,G-16,
POINT (-97.837362708791 30.185146360355),64,2049635,D-15-3001,10039919.38,3085147.97,780.98,WESTGATE BOULEVARD,NESBIT DR,D-15,
POINT (-97.693921100148 30.311659372777),237,2030045,L-26-3001(CB21),10086964.04,3129366.16,609.93,BERKMAN DRIVE,NORTHRIDGE DRIVE,L-26,
POINT (-97.729769958916 30.295172314658),260,2030220,J-24-2001,10080702.97,3118197.63,572.66,HARRIS AVENUUE,HARRIS PARK,J-24,
POINT (-97.709990056087 30.275431034278),223,2030028,K-23-3001(CB34),10073671.92,3124607.76,511.38,EAST 12TH STREET,BOGGY CREEK,K-23,
POINT (-97.708825959422 30.285985317959),291,2030225,L-24-4001(CB28),10077518,3124884.57,547,MANOR ROAD,BANTON ROAD,L-24,
POINT (-97.691248660027 30.258736057543),7,2030198,L-21-2003,10067741.84,3130666.31,452.03,BOLM ROAD,BOGGY CREEK,L-21,
POINT (-97.68267789734 30.26769567678),136,2030072,M-22-4002,10071063.81,3133293.87,454.07,PROCK LN,OMEGA AVE,M-22,
POINT (-97.711884882575 30.306634545706),198,2030270,K-25-2001(RM01),10085003.05,3123742.39,633.72,INTERSTATE 35,EAST 51ST ST,K-25,
POINT (-97.855590378509 30.238545602307),173,2030100,C-20-3001(EUD169),10059206.68,3078957.64,801.03,PARKWOOD DRIVE,SCHOOL ROAD,C-20,
POINT (-97.726301604026 30.320763927975),158,2030275,K-27-4004,10090033.43,3119073.84,651.92,FRANKLIN BLVD,GUADALUPE ST,K-27,
POINT (-97.679095721763 30.280758645104),269,2030235,M-23-1002(CB32),10075840.28,3134311.06,491.63,WEBBERVILLE ROAD,DOWNS DRIVE,M-23,
POINT (-97.741322203265 30.207403189627),45,2030120,J-17-4001,10048705.73,3115296.44,630.21,E ST ELMO RD,TODD LN,J-17,
POINT (-97.657082563949 30.212446125765),51,2030048,N-17-1001,10051169.33,3141855.13,491.48,E SH 71 SVRD WB,CARDINAL LOOP,N-17,
POINT (-97.679327062868 30.291123687024),228,2030034,M-24-4001(CB26),10079607.12,3134148.13,527.87,SPRINGDALE ROAD,PECAN SPRINGS ROAD,M-24,
POINT (-98.10574053745 30.506488397487),96,2030112,T065,10154964.2,2998030.17,813.62,SHAW DRIVE,END OF STREET,WQ-41,
POINT (-97.787719859361 30.216245669352),194,2030265,G-18-4001,10051582.4,3100570.31,627.92,MEADOW CREEK DRIVE,MEADOW CREEK CIRCLE,G-18,
POINT (-97.598309575162 30.187161164126),151,2030176,T032,10042427.67,3160640.41,496.36,STATE HWY 71,DR SCOTT DRIVE,R-15,
POINT (-97.786972206951 30.305083178289),189,2030258,G-25-1001,10083888.65,3100066.89,584.86,WESTLAKE PASS,,G-25,
POINT (-97.695142569691 30.290079684116),83,2030199,L-24-3002(RM07),10079108.81,3129166.95,583.93,MANOR RD.,E. M. FRANKLIN AVE.,L-24,
POINT (-97.697842234783 30.303283388342),69,2030070,L-25-3001(RM04),10083889.31,3128201.37,603.68,EAST 51ST ST.,BERKMAN DR.,L-25,
POINT (-97.753860107859 30.197980128538),27,2030127,H-16-2001,10045087.51,3111416.4,594.63,TALLOW TREE DR,DEADWOOD DR,H-16,
POINT (-97.635276826968 30.294881057119),167,2030196,P-24-2001,10081307.65,3148013.84,544.92,LOYOLA LN,WENTWORTH DR,P-24,
POINT (-97.703234603817 30.306075155678),5,2030193,L-25-1001(RM03),10084864.09,3126476.15,621.77,EAST 51ST ST.,BERKMAN DR.,L-25,
POINT (-97.948969550461 30.478179698522),152,2030178,A194,10145694.38,3047608.96,945.5,FM 1431,OLD FM 1431,WY-40,
POINT (-97.654203089828 30.395996678525),106,2030122,N-33-3001,10117927.19,3141156.83,710.97,PARMER LANE,HARRISGLENN DRIVE,N-33,
POINT (-97.685498148626 30.300545141825),146,2030169,M-25-4001(CB23),10082986.22,3132119.45,566.91,MANOR RD,WESTMINSTER DR,M-25,
POINT (-97.73336467822 30.289459508516),115,2030145,J-24-3001(CB06),10078599.32,3117112,531.17,HARRIS PARK,PARK PLACE,J-24,
POINT (-97.675744134391 30.313840552076),290,2030058,M-26-3001,10087893.63,3135081.27,542.92,AUBURNHILL DRIVE,NORTHEAST DR,M-26,
POINT (-97.720174979987 30.30382080275),163,2032662,K-25-1002,10083918.46,3121151.1,625.36,RED RIVER ST,ELLINGSON LN,K-25,
POINT (-97.812277774829 30.433682033527),182,2030280,F-36-1001,10130464.61,3091023.47,884.77,LOCKERBIE DRIVE,LOCKERBIE CIRCLE,F-36,
POINT (-97.745935596955 30.291365630366),121,2032614,J-24-1004,10079199.87,3113129.33,602.21,SAN PEDRO ST,POPLAR ST,J-24,
POINT (-97.686064895967 30.245109625969),43,2030247,M-20-1001,10062826.35,3132420.39,452.65,HERGOTZ LN,KIMBLE LN,M-20,
POINT (-97.778358635045 30.431595911435),103,2030099,G-36-3002,10129949.98,3101727.66,926.71,SPICEWOOD SPRINGS RD,HEATHROW DR,G-36,
POINT (-97.756929313971 30.264670506402),188,2030064,H-22-3001,10069413.21,3109885.34,454.98,SOUTH LAMAR BLVD,RIVERSIDE DRIVE,H-22,
POINT (-97.735842585588 30.263043130212),272,2030238,J-22-3001,10068976.31,3116554.45,483.84,IH 35 NORTH,EAST 3RD STREET,J-22,
POINT (-97.749228918596 30.264623742958),77,2030087,J-22-4004,10069452.59,3112316.1,457.39,WEST CESAR CHAVEZ,SAN ANTONIO STREET,J-22,
POINT (-97.684447133902 30.261313617484),97,2030113,M-21-1001(CB38),10068730.07,3132790.76,449.45,JAIN LANE,PERRY ROAD,M-21,
POINT (-97.665817477844 30.441330383894),49,2030264,N-37-4001,10134321.75,3137100.89,819.61,W WELLS BRANCH PKWY,FM 1825 RD,N-37,
POINT (-98.05664495842 30.575592460549),244,2030036,USFW,10180404.18,3012973.36,943.11,COW CREEK ROAD,,WT-48,
POINT (-97.764907757167 30.379421655929),209,2030137,H-32-1004,10111077.53,3106403.72,820.65,SPICEWOOD SPRINGS RD,ADIRONDACK TRL,H-32,
POINT (-97.801254274952 30.445138013511),84,2030096,F-37-2002,10134708.82,3094401.78,983.89,SWAN DRIVE,LIRIOPE COVE,F-37,
POINT (-97.680623883998 30.233017821216),59,2030042,M-19-1002,10058470.85,3134242.84,448.51,PATTON AVE,LOURIE ST,M-19,
POINT (-97.743957449966 30.253923834488),200,2030276,J-21-4001(CB08),10065600.89,3114070.43,441.68,RIVERSIDE DRIVE,NEWING AVENUE,J-21,
POINT (-97.690076303844 30.278551085859),197,2030269,L-23-3001(CB33),10074955.12,3130865.12,490.36,EAST 12TH STREET,COMETA DRIVE,L-23,
POINT (-97.706193144375 30.231956930178),270,2030236,L-19-4001,10057893.51,3126179.35,497.04,GROVE BLVD,RIVERSIDE DRIVE,L-19,
POINT (-97.697033728552 30.422186337928),71,2030073,L-35-1001,10127126.78,3127431.71,760.47,SINGLETREE AVENUE,CHROMITE STREET,L-35,
POINT (-97.707895349675 30.27560722768),161,2030251,L-23-4001,10073751.58,3125267.29,528.94,E 12TH ST,HARGRAVE ST,L-23,
POINT (-97.712966450518 30.192898219389),94,2030110,TPWD,10043641.69,3124375.47,584.39,SMITH SCHOOL ROAD,,K-16,
POINT (-97.667235926276 30.224692901809),30,2030170,M-18-2002,10055545.09,3138542.16,437.25,CARSON CREEK BLVD,COOL SHADOW DR,M-18,
POINT (-97.754201583037 30.251988763179),147,2030171,H-21-3002 (CB10),10064822.18,3110853.18,491.51,SOUTH 1ST STREET,GIBSON STREET,H-21,
POINT (-97.679607046679 30.26893939544),47,2030157,M-22-1002,10071539.12,3134252.24,460.45,LEDESMA RD,TERRY DR,M-22,
POINT (-97.888854780493 30.208050053944),248,2030060,B-17-4002,10047886.02,3068699.48,897.25,SLAUGHTER LANE,BARSTOW AVE,B-17,
POINT (-97.746862921839 30.263953766455),172,2030224,J-22-4003(EUD157),10069226.35,3113068.51,462.49,WEST CESAR CHAVEZ,SOUTH 1ST STREET,J-22,
POINT (-97.789470542844 30.194321632602),31,2030190,G-16-4002,10043598.25,3100199.81,679.79,S 1ST ST,THELMA DR,G-16,
POINT (-97.686977645459 30.267410104395),179,2030254,M-22-4001,10070927.66,3131939.33,454.93,SARA DR,PROCK LN,M-22,
POINT (-97.665025659303 30.222403608119),127,2030133,N-18-1001,10054729.47,3139260,478.67,CARSON CREEK BLVD,THORNBERRY RD,N-18,
POINT (-97.698078455398 30.305054260529),226,2030031,L-25-2001(CB22),10084531.41,3128111.59,595.3,BERKMAN DRIVE,GREEENBROOK PKWY,L-25,
POINT (-97.74844160157 30.266741959408),195,2030267,J-22-4005,10070228.53,3112546.69,471.61,SAN ANTONIO STREET,WEST 3RD STREET,J-22,
POINT (-97.691725365862 30.271676290641),224,2030029,L-22-2001(CB36),10072443.17,3130404.1,472.73,SPRINGDALE ROAD,SARA DRIVE,L-22,
POINT (-97.747979306758 30.327139734037),159,2030043,J-27-1001,10092192,3112182.13,639.71,HANCOCK DR,TURNABOUT LN,J-27,
POINT (-97.695943159225 30.283660041917),205,2030282,L-23-2001(CB30),10076768.72,3128969.69,542.6,MLK JR BLVD,E.M. FRANKLIN AVENUE,M-23,
POINT (-97.63430397466 30.205396866725),46,2030125,P-17-3001,10048780.15,3149110.33,452.3,FALLWELL LN,PUEBLA DR,P-17,
POINT (-97.755303884478 30.269025283357),118,2030151,H-22-2001,10071008.46,3110361.65,469.27,NORTH LAMAR BLVD,WEST 3RD STREET,H-22,
POINT (-97.798348242096 30.195872774715),138,2030158,F-16-3002,10044098.22,3097382.95,702.02,CROSSWOOD DRIVE,MATTHEWS LANE,F-16,
